ѝ	i
изминавалата	izmiˈnavəɫət̪ə
изминавали	izmiˈnavəli
изминавалите	izmiˈnavəlit̪ɛ
изминавалия	izmiˈnavəlijə
изминавалият	izmiˈnavəlijət̪
изминавало	izmiˈnavəɫo̝
изминавалото	izmiˈnavəɫo̝t̪o̝
изминавам	izmiˈnavəm
изминаваме	izmiˈnavəmɛ
изминаван	izmiˈnavən
изминавана	izmiˈnavənə
изминаваната	izmiˈnavənət̪ə
изминаване	izmiˈnavənɛ
изминаванета	izmiˈnavənɛt̪ə
изминаванетата	izmiˈnavənɛt̪ət̪ə
изминаването	izmiˈnavənɛt̪o̝
изминавани	izmiˈnavəni
изминаваните	izmiˈnavənit̪ɛ
изминавания	izmiˈnavənijə
изминаваният	izmiˈnavənijət̪
изминаванията	izmiˈnavənijət̪ə
изминавано	izmiˈnavəno̝
изминаваното	izmiˈnavəno̝t̪o̝
изминават	izmiˈnavət̪
изминавате	izmiˈnavət̪ɛ
изминавах	izmiˈnavəx
изминаваха	izmiˈnavəxə
изминавахме	izmiˈnavəxmɛ
изминавахте	izmiˈnavəxt̪ɛ
изминаваш	izmiˈnavəʃ
изминаваше	izmiˈnavəʃɛ
изминаващ	izmiˈnavəʃt̪
изминаваща	izmiˈnavəʃt̪ə
изминаващата	izmiˈnavəʃt̪ət̪ə
изминаващи	izmiˈnavəʃt̪i
изминаващите	izmiˈnavəʃt̪it̪ɛ
изминаващия	izmiˈnavəʃt̪ijə
изминаващият	izmiˈnavəʃt̪ijət̪
изминаващо	izmiˈnavəʃt̪o̝
изминаващото	izmiˈnavəʃt̪o̝t̪o̝
изминал	izˈminəɫ
изминала	izˈminəɫə
изминалата	izˈminəɫət̪ə
изминали	izˈminəli
изминалите	izˈminəlit̪ɛ
изминалия	izˈminəlijə
изминалият	izˈminəlijət̪
изминало	izˈminəɫo̝
изминалото	izˈminəɫo̝t̪o̝
изминат	izˈminət̪
измината	izˈminət̪ə
изминатата	izˈminət̪ət̪ə
изминати	izˈminət̪i
изминатите	izˈminət̪it̪ɛ
изминатия	izˈminət̪ijə
изминатият	izˈminət̪ijət̪
изминато	izˈminət̪o̝
изминатото	izˈminət̪o̝t̪o̝
изминах	izˈminəx
изминаха	izˈminəxə
изминахме	izˈminəxmɛ
изминахте	izˈminəxt̪ɛ
измине	izˈminɛ
изминел	izˈminɛɫ
изминела	izˈminɛɫə
изминели	izˈminɛli
изминело	izˈminɛɫo̝
изминем	izˈminɛm
изминете	izˈminɛt̪ɛ
изминете	izmiˈnɛt̪ɛ
изминех	izˈminɛx
изминеха	izˈminɛxə
изминехме	izˈminɛxmɛ
изминехте	izˈminɛxt̪ɛ
изминеш	izˈminɛʃ
изминеше	izˈminɛʃɛ
измини	izmiˈni
измира	izˈmiɾə
измирай	izˈmiɾəj
измирайки	izˈmiɾəjkʲi
измирайте	izˈmiɾəjt̪ɛ
измирал	izˈmiɾəɫ
измирала	izˈmiɾəɫə
измиралата	izˈmiɾəɫət̪ə
измирали	izˈmiɾəli
измиралите	izˈmiɾəlit̪ɛ
измиралия	izˈmiɾəlijə
измиралият	izˈmiɾəlijət̪
измирало	izˈmiɾəɫo̝
измиралото	izˈmiɾəɫo̝t̪o̝
измирам	izˈmiɾəm
измираме	izˈmiɾəmɛ
измиране	izˈmiɾənɛ
измиранета	izˈmiɾənɛt̪ə
измиранетата	izˈmiɾənɛt̪ət̪ə
измирането	izˈmiɾənɛt̪o̝
измирания	izˈmiɾənijə
измиранията	izˈmiɾənijət̪ə
измират	izˈmiɾət̪
измирате	izˈmiɾət̪ɛ
измирах	izˈmiɾəx
измираха	izˈmiɾəxə
измирахме	izˈmiɾəxmɛ
измирахте	izˈmiɾəxt̪ɛ
измираш	izˈmiɾəʃ
измираше	izˈmiɾəʃɛ
измиращ	izˈmiɾəʃt̪
измираща	izˈmiɾəʃt̪ə
измиращата	izˈmiɾəʃt̪ət̪ə
измиращи	izˈmiɾəʃt̪i
измиращите	izˈmiɾəʃt̪it̪ɛ
измиращия	izˈmiɾəʃt̪ijə
измиращият	izˈmiɾəʃt̪ijət̪
измиращо	izˈmiɾəʃt̪o̝
измиращото	izˈmiɾəʃt̪o̝t̪o̝
измита	izˈmit̪ə
измитай	izˈmit̪əj
измитайки	izˈmit̪əjkʲi
измитайте	izˈmit̪əjt̪ɛ
измитал	izˈmit̪əɫ
измитала	izˈmit̪əɫə
измиталата	izˈmit̪əɫət̪ə
измитали	izˈmit̪əli
измиталите	izˈmit̪əlit̪ɛ
измиталия	izˈmit̪əlijə
измиталият	izˈmit̪əlijət̪
измитало	izˈmit̪əɫo̝
измиталото	izˈmit̪əɫo̝t̪o̝
измитам	izˈmit̪əm
измитаме	izˈmit̪əmɛ
измитан	izˈmit̪ən
измитана	izˈmit̪ənə
измитаната	izˈmit̪ənət̪ə
измитане	izˈmit̪ənɛ
измитанета	izˈmit̪ənɛt̪ə
измитанетата	izˈmit̪ənɛt̪ət̪ə
измитането	izˈmit̪ənɛt̪o̝
измитани	izˈmit̪əni
измитаните	izˈmit̪ənit̪ɛ
измитания	izˈmit̪ənijə
измитаният	izˈmit̪ənijət̪
измитанията	izˈmit̪ənijət̪ə
измитано	izˈmit̪əno̝
измитаното	izˈmit̪əno̝t̪o̝
измитат	izˈmit̪ət̪
измитате	izˈmit̪ət̪ɛ
измитах	izˈmit̪əx
измитаха	izˈmit̪əxə
измитахме	izˈmit̪əxmɛ
измитахте	izˈmit̪əxt̪ɛ
измиташ	izˈmit̪əʃ
измиташе	izˈmit̪əʃɛ
измитащ	izˈmit̪əʃt̪
измитаща	izˈmit̪əʃt̪ə
измитащата	izˈmit̪əʃt̪ət̪ə
измитащи	izˈmit̪əʃt̪i
измитащите	izˈmit̪əʃt̪it̪ɛ
измитащия	izˈmit̪əʃt̪ijə
измитащият	izˈmit̪əʃt̪ijət̪
измитащо	izˈmit̪əʃt̪o̝
измитащото	izˈmit̪əʃt̪o̝t̪o̝
измра	izˈmrɤ
измрат	izˈmrɤt̪
измре	izˈmrɛ
измрели	izˈmrɛli
измрелите	izˈmrɛlit̪ɛ
измрелия	izˈmrɛlijə
измрелият	izˈmrɛlijət̪
измрем	izˈmrɛm
измрете	izˈmrɛt̪ɛ
измреш	izˈmrɛʃ
измреше	izˈmrɛʃɛ
измри	izˈmri
измря	izˈmrʲa
измрял	izˈmrʲaɫ
измряла	izˈmrʲaɫə
измрялата	izˈmrʲaɫət̪ə
измряло	izˈmrʲaɫo̝
измрялото	izˈmrʲaɫo̝t̪o̝
измрях	izˈmrʲax
измряха	izˈmrʲaxə
измряхме	izˈmrʲaxmɛ
измряхте	izˈmrʲaxt̪ɛ
измяна	izˈmʲanə
изнася	izˈnasʲə
изнасяй	izˈnasʲəj
изнасяйки	izˈnasʲəjkʲi
изнасяйте	izˈnasʲəjt̪ɛ
изнасял	izˈnasʲəɫ
изнасяла	izˈnasʲəɫə
изнасялата	izˈnasʲəɫət̪ə
изнасяли	izˈnasʲəli
изнасялите	izˈnasʲəlit̪ɛ
изнасялия	izˈnasʲəlijə
изнасялият	izˈnasʲəlijət̪
изнасяло	izˈnasʲəɫo̝
изнасялото	izˈnasʲəɫo̝t̪o̝
изнасям	izˈnasʲəm
изнасяме	izˈnasʲəmɛ
изнасян	izˈnasʲən
изнасяна	izˈnasʲənə
изнасяната	izˈnasʲənət̪ə
изнасяне	izˈnasʲənɛ
изнасянета	izˈnasʲənɛt̪ə
изнасянетата	izˈnasʲənɛt̪ət̪ə
изнасянето	izˈnasʲənɛt̪o̝
изнасяни	izˈnasʲəni
изнасяните	izˈnasʲənit̪ɛ
изнасяния	izˈnasʲənijə
изнасяният	izˈnasʲənijət̪
изнасянията	izˈnasʲənijət̪ə
изнасяно	izˈnasʲəno̝
изнасяното	izˈnasʲəno̝t̪o̝
изнасят	izˈnasʲət̪
изнасяте	izˈnasʲət̪ɛ
изнасях	izˈnasʲəx
изнасяха	izˈnasʲəxə
изнасяхме	izˈnasʲəxmɛ
изнасяхте	izˈnasʲəxt̪ɛ
изнасяш	izˈnasʲəʃ
изнасяше	izˈnasʲəʃɛ
изнасящ	izˈnasʲəʃt̪
изнасяща	izˈnasʲəʃt̪ə
изнасящата	izˈnasʲəʃt̪ət̪ə
изнасящи	izˈnasʲəʃt̪i
изнасящите	izˈnasʲəʃt̪it̪ɛ
изнасящия	izˈnasʲəʃt̪ijə
изнасящият	izˈnasʲəʃt̪ijət̪
изнасящо	izˈnasʲəʃt̪o̝
изнасящото	izˈnasʲəʃt̪o̝t̪o̝
изневяра	iznɛˈvʲarə
изнеса	iznɛˈsɤ
изнесат	iznɛˈsɤt̪
изнесе	iznɛˈsɛ
изнесе	izˈnɛsɛ
изнесели	iznɛˈsɛli
изнесем	iznɛˈsɛm
изнесен	izˈnɛsɛn
изнесена	izˈnɛsɛnə
изнесената	izˈnɛsɛnət̪ə
изнесени	izˈnɛsɛni
изнесените	izˈnɛsɛnit̪ɛ
изнесения	izˈnɛsɛnijə
изнесеният	izˈnɛsɛnijət̪
изнесено	izˈnɛsɛno̝
изнесеното	izˈnɛsɛno̝t̪o̝
изнесете	iznɛˈsɛt̪ɛ
изнесеш	iznɛˈsɛʃ
изнесеше	iznɛˈsɛʃɛ
изнеси	iznɛˈsi
изнесла	izˈnɛsɫə
изнеслата	izˈnɛsɫət̪ə
изнесли	izˈnɛsli
изнеслите	izˈnɛslit̪ɛ
изнеслия	izˈnɛslijə
изнеслият	izˈnɛslijət̪
изнесло	izˈnɛsɫo̝
изнеслото	izˈnɛsɫo̝t̪o̝
изнесох	izˈnɛso̝x
изнесоха	izˈnɛso̝xə
изнесохме	izˈnɛso̝xmɛ
изнесохте	izˈnɛso̝xt̪ɛ
изнесъл	izˈnɛsəɫ
изнесял	iznɛˈsʲaɫ
изнесяла	iznɛˈsʲaɫə
изнесяло	iznɛˈsʲaɫo̝
изнесях	iznɛˈsʲax
изнесяха	iznɛˈsʲaxə
изнесяхме	iznɛˈsʲaxmɛ
изнесяхте	iznɛˈsʲaxt̪ɛ
изнудва	izˈnud̪və
изнудвай	izˈnud̪vəj
изнудвайки	izˈnud̪vəjkʲi
изнудвайте	izˈnud̪vəjt̪ɛ
изнудвал	izˈnud̪vəɫ
изнудвала	izˈnud̪vəɫə
изнудвалата	izˈnud̪vəɫət̪ə
изнудвали	izˈnud̪vəli
изнудвалите	izˈnud̪vəlit̪ɛ
изнудвалия	izˈnud̪vəlijə
изнудвалият	izˈnud̪vəlijət̪
изнудвало	izˈnud̪vəɫo̝
изнудвалото	izˈnud̪vəɫo̝t̪o̝
изнудвам	izˈnud̪vəm
изнудваме	izˈnud̪vəmɛ
изнудван	izˈnud̪vən
изнудвана	izˈnud̪vənə
изнудваната	izˈnud̪vənət̪ə
изнудване	izˈnud̪vənɛ
изнудванета	izˈnud̪vənɛt̪ə
изнудванетата	izˈnud̪vənɛt̪ət̪ə
изнудването	izˈnud̪vənɛt̪o̝
изнудвани	izˈnud̪vəni
изнудваните	izˈnud̪vənit̪ɛ
изнудвания	izˈnud̪vənijə
изнудваният	izˈnud̪vənijət̪
изнудванията	izˈnud̪vənijət̪ə
изнудвано	izˈnud̪vəno̝
изнудваното	izˈnud̪vəno̝t̪o̝
изнудват	izˈnud̪vət̪
изнудвате	izˈnud̪vət̪ɛ
изнудвах	izˈnud̪vəx
изнудваха	izˈnud̪vəxə
изнудвахме	izˈnud̪vəxmɛ
изнудвахте	izˈnud̪vəxt̪ɛ
изнудваш	izˈnud̪vəʃ
изнудваше	izˈnud̪vəʃɛ
изнудващ	izˈnud̪vəʃt̪
изнудваща	izˈnud̪vəʃt̪ə
изнудващата	izˈnud̪vəʃt̪ət̪ə
изнудващи	izˈnud̪vəʃt̪i
изнудващите	izˈnud̪vəʃt̪it̪ɛ
изнудващия	izˈnud̪vəʃt̪ijə
изнудващият	izˈnud̪vəʃt̪ijət̪
изнудващо	izˈnud̪vəʃt̪o̝
изнудващото	izˈnud̪vəʃt̪o̝t̪o̝
изнудел	izˈnud̪ɛɫ
изнудела	izˈnud̪ɛɫə
изнудели	izˈnud̪ɛli
изнудело	izˈnud̪ɛɫo̝
изнуден	izˈnud̪ɛn
изнудена	izˈnud̪ɛnə
изнудената	izˈnud̪ɛnət̪ə
изнудени	izˈnud̪ɛni
изнудените	izˈnud̪ɛnit̪ɛ
изнудения	izˈnud̪ɛnijə
изнуденият	izˈnud̪ɛnijət̪
изнудено	izˈnud̪ɛno̝
изнуденото	izˈnud̪ɛno̝t̪o̝
изнудете	iznoˈd̪ɛt̪ɛ
изнудех	izˈnud̪ɛx
изнудеха	izˈnud̪ɛxə
изнудехме	izˈnud̪ɛxmɛ
изнудехте	izˈnud̪ɛxt̪ɛ
изнудеше	izˈnud̪ɛʃɛ
изнуди	izˈnud̪i
изнуди	iznoˈd̪i
изнудил	izˈnud̪iɫ
изнудила	izˈnud̪iɫə
изнудилата	izˈnud̪iɫət̪ə
изнудили	izˈnud̪ili
изнудилите	izˈnud̪ilit̪ɛ
изнудилия	izˈnud̪ilijə
изнудилият	izˈnud̪ilijət̪
изнудило	izˈnud̪iɫo̝
изнудилото	izˈnud̪iɫo̝t̪o̝
изнудим	izˈnud̪im
изнудите	izˈnud̪it̪ɛ
изнудих	izˈnud̪ix
изнудиха	izˈnud̪ixə
изнудихме	izˈnud̪ixmɛ
изнудихте	izˈnud̪ixt̪ɛ
изнудиш	izˈnud̪iʃ
изнудя	izˈnudʲə
изнудят	izˈnudʲət̪
изобретател	izobrɛˈtatɛl
изобретателка	izobrɛˈtatɛlkə
изора	izoˈrɤ
изора	izoˈra
изорава	izoˈravə
изоравай	izoˈravəj
изоравайки	izoˈravəjkʲi
изоравайте	izoˈravəjt̪ɛ
изоравал	izoˈravəɫ
изоравала	izoˈravəɫə
изоравалата	izoˈravəɫət̪ə
изоравали	izoˈravəli
изоравалите	izoˈravəlit̪ɛ
изоравалия	izoˈravəlijə
изоравалият	izoˈravəlijət̪
изоравало	izoˈravəɫo̝
изоравалото	izoˈravəɫo̝t̪o̝
изоравам	izoˈravəm
изораваме	izoˈravəmɛ
изораван	izoˈravən
изоравана	izoˈravənə
изораваната	izoˈravənət̪ə
изораване	izoˈravənɛ
изораванета	izoˈravənɛt̪ə
изораванетата	izoˈravənɛt̪ət̪ə
изораването	izoˈravənɛt̪o̝
изоравани	izoˈravəni
изораваните	izoˈravənit̪ɛ
изоравания	izoˈravənijə
изораваният	izoˈravənijət̪
изораванията	izoˈravənijət̪ə
изоравано	izoˈravəno̝
изораваното	izoˈravəno̝t̪o̝
изорават	izoˈravət̪
изоравате	izoˈravət̪ɛ
изоравах	izoˈravəx
изораваха	izoˈravəxə
изоравахме	izoˈravəxmɛ
изоравахте	izoˈravəxt̪ɛ
изораваш	izoˈravəʃ
изораваше	izoˈravəʃɛ
изораващ	izoˈravəʃt̪
изораваща	izoˈravəʃt̪ə
изораващата	izoˈravəʃt̪ət̪ə
изораващи	izoˈravəʃt̪i
изораващите	izoˈravəʃt̪it̪ɛ
изораващия	izoˈravəʃt̪ijə
изораващият	izoˈravəʃt̪ijət̪
изораващо	izoˈravəʃt̪o̝
изораващото	izoˈravəʃt̪o̝t̪o̝
изорал	izoˈraɫ
изорала	izoˈraɫə
изоралата	izoˈraɫət̪ə
изорали	izoˈrali
изоралите	izoˈralit̪ɛ
изоралия	izoˈralijə
изоралият	izoˈralijət̪
изорало	izoˈraɫo̝
изоралото	izoˈraɫo̝t̪o̝
изоран	izoˈran
изорана	izoˈranə
изораната	izoˈranət̪ə
изорани	izoˈrani
изораните	izoˈranit̪ɛ
изорания	izoˈranijə
изораният	izoˈranijət̪
изорано	izoˈrano̝
изораното	izoˈrano̝t̪o̝
изорат	izoˈrɤt̪
изорах	izoˈrax
изораха	izoˈraxə
изорахме	izoˈraxmɛ
изорахте	izoˈraxt̪ɛ
изоре	izoˈrɛ
изорели	izoˈrɛli
изорем	izoˈrɛm
изорете	izoˈrɛt̪ɛ
изореш	izoˈrɛʃ
изореше	izoˈrɛʃɛ
изори	izoˈri
изорял	izoˈrʲaɫ
изоряла	izoˈrʲaɫə
изоряло	izoˈrʲaɫo̝
изорях	izoˈrʲax
изоряха	izoˈrʲaxə
изоряхме	izoˈrʲaxmɛ
изоряхте	izoˈrʲaxt̪ɛ
изпаса	ispaˈsɤ
изпасат	ispɐˈsɤt̪
изпасва	isˈpasvə
изпасвай	isˈpasvəj
изпасвайки	isˈpasvəjkʲi
изпасвайте	isˈpasvəjt̪ɛ
изпасвал	isˈpasvəɫ
изпасвала	isˈpasvəɫə
изпасвалата	isˈpasvəɫət̪ə
изпасвали	isˈpasvəli
изпасвалите	isˈpasvəlit̪ɛ
изпасвалия	isˈpasvəlijə
изпасвалият	isˈpasvəlijət̪
изпасвало	isˈpasvəɫo̝
изпасвалото	isˈpasvəɫo̝t̪o̝
изпасвам	isˈpasvəm
изпасваме	isˈpasvəmɛ
изпасван	isˈpasvən
изпасвана	isˈpasvənə
изпасваната	isˈpasvənət̪ə
изпасване	isˈpasvənɛ
изпасванета	isˈpasvənɛt̪ə
изпасванетата	isˈpasvənɛt̪ət̪ə
изпасването	isˈpasvənɛt̪o̝
изпасвани	isˈpasvəni
изпасваните	isˈpasvənit̪ɛ
изпасвания	isˈpasvənijə
изпасваният	isˈpasvənijət̪
изпасванията	isˈpasvənijət̪ə
изпасвано	isˈpasvəno̝
изпасваното	isˈpasvəno̝t̪o̝
изпасват	isˈpasvət̪
изпасвате	isˈpasvət̪ɛ
изпасвах	isˈpasvəx
изпасваха	isˈpasvəxə
изпасвахме	isˈpasvəxmɛ
изпасвахте	isˈpasvəxt̪ɛ
изпасваш	isˈpasvəʃ
изпасваше	isˈpasvəʃɛ
изпасващ	isˈpasvəʃt̪
изпасваща	isˈpasvəʃt̪ə
изпасващата	isˈpasvəʃt̪ət̪ə
изпасващи	isˈpasvəʃt̪i
изпасващите	isˈpasvəʃt̪it̪ɛ
изпасващия	isˈpasvəʃt̪ijə
изпасващият	isˈpasvəʃt̪ijət̪
изпасващо	isˈpasvəʃt̪o̝
изпасващото	isˈpasvəʃt̪o̝t̪o̝
изпасе	ispɐˈsɛ
изпасе	isˈpasɛ
изпасели	ispɐˈsɛli
изпасем	ispɐˈsɛm
изпасен	isˈpasɛn
изпасена	isˈpasɛnə
изпасената	isˈpasɛnət̪ə
изпасени	isˈpasɛni
изпасените	isˈpasɛnit̪ɛ
изпасения	isˈpasɛnijə
изпасеният	isˈpasɛnijət̪
изпасено	isˈpasɛno̝
изпасеното	isˈpasɛno̝t̪o̝
изпасете	ispɐˈsɛt̪ɛ
изпасеш	ispɐˈsɛʃ
изпасеше	ispɐˈsɛʃɛ
изпаси	ispɐˈsi
изпасла	isˈpasɫə
изпаслата	isˈpasɫət̪ə
изпасли	isˈpasli
изпаслите	isˈpaslit̪ɛ
изпаслия	isˈpaslijə
изпаслият	isˈpaslijət̪
изпасло	isˈpasɫo̝
изпаслото	isˈpasɫo̝t̪o̝
изпасох	isˈpaso̝x
изпасоха	isˈpaso̝xə
изпасохме	isˈpaso̝xmɛ
изпасохте	isˈpaso̝xt̪ɛ
изпасъл	isˈpasəɫ
изпасял	ispɐˈsʲaɫ
изпасяла	ispɐˈsʲaɫə
изпасяло	ispɐˈsʲaɫo̝
изпасях	ispɐˈsʲax
изпасяха	ispɐˈsʲaxə
изпасяхме	ispɐˈsʲaxmɛ
изпасяхте	ispɐˈsʲaxt̪ɛ
изпее	isˈpɛɛ
изпеел	isˈpɛɛɫ
изпеела	isˈpɛɛɫə
изпеели	isˈpɛɛli
изпеело	isˈpɛɛɫo̝
изпеем	isˈpɛɛm
изпеете	isˈpɛɛt̪ɛ
изпеех	isˈpɛɛx
изпееха	isˈpɛɛxə
изпеехме	isˈpɛɛxmɛ
изпеехте	isˈpɛɛxt̪ɛ
изпееш	isˈpɛɛʃ
изпееше	isˈpɛɛʃɛ
изпей	isˈpɛj
изпейте	isˈpɛjt̪ɛ
изпека	ispɛˈkɤ
изпекат	ispɛˈkɤt̪
изпекла	isˈpɛkɫə
изпеклата	isˈpɛkɫət̪ə
изпекли	isˈpɛkli
изпеклите	isˈpɛklit̪ɛ
изпеклия	isˈpɛklijə
изпеклият	isˈpɛklijət̪
изпекло	isˈpɛkɫo̝
изпеклото	isˈpɛkɫo̝t̪o̝
изпекох	isˈpɛko̝x
изпекоха	isˈpɛko̝xə
изпекохме	isˈpɛko̝xmɛ
изпекохте	isˈpɛko̝xt̪ɛ
изпекъл	isˈpɛkəɫ
изпели	isˈpɛli
изпелите	isˈpɛlit̪ɛ
изпелия	isˈpɛlijə
изпелият	isˈpɛlijət̪
изпети	isˈpɛt̪i
изпетите	isˈpɛt̪it̪ɛ
изпетия	isˈpɛt̪ijə
изпетият	isˈpɛt̪ijət̪
изпечал	ispɛˈtʃaɫ
изпечала	ispɛˈtʃaɫə
изпечали	ispɛˈtʃali
изпечало	ispɛˈtʃaɫo̝
изпечах	ispɛˈtʃax
изпечаха	ispɛˈtʃaxə
изпечахме	ispɛˈtʃaxmɛ
изпечахте	ispɛˈtʃaxt̪ɛ
изпече	ispɛˈtʃɛ
изпече	isˈpɛtʃɛ
изпечел	ispɛˈtʃɛɫ
изпечела	ispɛˈtʃɛɫə
изпечели	ispɛˈtʃɛli
изпечело	ispɛˈtʃɛɫo̝
изпечем	ispɛˈtʃɛm
изпечен	isˈpɛtʃɛn
изпечена	isˈpɛtʃɛnə
изпечената	isˈpɛtʃɛnət̪ə
изпечени	isˈpɛtʃɛni
изпечените	isˈpɛtʃɛnit̪ɛ
изпечения	isˈpɛtʃɛnijə
изпеченият	isˈpɛtʃɛnijət̪
изпечено	isˈpɛtʃɛno̝
изпеченото	isˈpɛtʃɛno̝t̪o̝
изпечете	ispɛˈtʃɛt̪ɛ
изпечех	ispɛˈtʃɛx
изпечеха	ispɛˈtʃɛxə
изпечехме	ispɛˈtʃɛxmɛ
изпечехте	ispɛˈtʃɛxt̪ɛ
изпечеш	ispɛˈtʃɛʃ
изпечеше	ispɛˈtʃɛʃɛ
изпечи	ispɛˈtʃi
изпея	isˈpɛjə
изпеят	isˈpɛjət̪
изпи	isˈpi
изпива	isˈpivə
изпивай	isˈpivəj
изпивайки	isˈpivəjkʲi
изпивайте	isˈpivəjt̪ɛ
изпивал	isˈpivəɫ
изпивала	isˈpivəɫə
изпивалата	isˈpivəɫət̪ə
изпивали	isˈpivəli
изпивалите	isˈpivəlit̪ɛ
изпивалия	isˈpivəlijə
изпивалият	isˈpivəlijət̪
изпивало	isˈpivəɫo̝
изпивалото	isˈpivəɫo̝t̪o̝
изпивам	isˈpivəm
изпиваме	isˈpivəmɛ
изпиван	isˈpivən
изпивана	isˈpivənə
изпиваната	isˈpivənət̪ə
изпиване	isˈpivənɛ
изпиванета	isˈpivənɛt̪ə
изпиванетата	isˈpivənɛt̪ət̪ə
изпиването	isˈpivənɛt̪o̝
изпивани	isˈpivəni
изпиваните	isˈpivənit̪ɛ
изпивания	isˈpivənijə
изпиваният	isˈpivənijət̪
изпиванията	isˈpivənijət̪ə
изпивано	isˈpivəno̝
изпиваното	isˈpivəno̝t̪o̝
изпиват	isˈpivət̪
изпивате	isˈpivət̪ɛ
изпивах	isˈpivəx
изпиваха	isˈpivəxə
изпивахме	isˈpivəxmɛ
изпивахте	isˈpivəxt̪ɛ
изпиваш	isˈpivəʃ
изпиваше	isˈpivəʃɛ
изпиващ	isˈpivəʃt̪
изпиваща	isˈpivəʃt̪ə
изпиващата	isˈpivəʃt̪ət̪ə
изпиващи	isˈpivəʃt̪i
изпиващите	isˈpivəʃt̪it̪ɛ
изпиващия	isˈpivəʃt̪ijə
изпиващият	isˈpivəʃt̪ijət̪
изпиващо	isˈpivəʃt̪o̝
изпиващото	isˈpivəʃt̪o̝t̪o̝
изпие	isˈpiɛ
изпиел	isˈpiɛɫ
изпиела	isˈpiɛɫə
изпиели	isˈpiɛli
изпиело	isˈpiɛɫo̝
изпием	isˈpiɛm
изпиете	isˈpiɛt̪ɛ
изпиех	isˈpiɛx
изпиеха	isˈpiɛxə
изпиехме	isˈpiɛxmɛ
изпиехте	isˈpiɛxt̪ɛ
изпиеш	isˈpiɛʃ
изпиеше	isˈpiɛʃɛ
изпий	isˈpij
изпийте	isˈpijt̪ɛ
изпил	isˈpiɫ
изпила	isˈpiɫə
изпилата	isˈpiɫət̪ə
изпили	isˈpili
изпилите	isˈpilit̪ɛ
изпилия	isˈpilijə
изпилият	isˈpilijət̪
изпило	isˈpiɫo̝
изпилото	isˈpiɫo̝t̪o̝
изпит	isˈpit̪
изпита	isˈpit̪ə
изпитам	izˈpitəm
изпитата	isˈpit̪ət̪ə
изпитвам	izˈpitvəm
изпити	isˈpit̪i
изпитите	isˈpit̪it̪ɛ
изпития	isˈpit̪ijə
изпитият	isˈpit̪ijət̪
изпито	isˈpit̪o̝
изпитото	isˈpit̪o̝t̪o̝
изпих	isˈpix
изпиха	isˈpixə
изпихме	isˈpixmɛ
изпихте	isˈpixt̪ɛ
изпича	isˈpitʃə
изпичай	isˈpitʃəj
изпичайки	isˈpitʃəjkʲi
изпичайте	isˈpitʃəjt̪ɛ
изпичал	isˈpitʃəɫ
изпичала	isˈpitʃəɫə
изпичалата	isˈpitʃəɫət̪ə
изпичали	isˈpitʃəli
изпичалите	isˈpitʃəlit̪ɛ
изпичалия	isˈpitʃəlijə
изпичалият	isˈpitʃəlijət̪
изпичало	isˈpitʃəɫo̝
изпичалото	isˈpitʃəɫo̝t̪o̝
изпичам	isˈpitʃəm
изпичаме	isˈpitʃəmɛ
изпичан	isˈpitʃən
изпичана	isˈpitʃənə
изпичаната	isˈpitʃənət̪ə
изпичане	isˈpitʃənɛ
изпичанета	isˈpitʃənɛt̪ə
изпичанетата	isˈpitʃənɛt̪ət̪ə
изпичането	isˈpitʃənɛt̪o̝
изпичани	isˈpitʃəni
изпичаните	isˈpitʃənit̪ɛ
изпичания	isˈpitʃənijə
изпичаният	isˈpitʃənijət̪
изпичанията	isˈpitʃənijət̪ə
изпичано	isˈpitʃəno̝
изпичаното	isˈpitʃəno̝t̪o̝
изпичат	isˈpitʃət̪
изпичате	isˈpitʃət̪ɛ
изпичах	isˈpitʃəx
изпичаха	isˈpitʃəxə
изпичахме	isˈpitʃəxmɛ
изпичахте	isˈpitʃəxt̪ɛ
изпичаш	isˈpitʃəʃ
изпичаше	isˈpitʃəʃɛ
изпичащ	isˈpitʃəʃt̪
изпичаща	isˈpitʃəʃt̪ə
изпичащата	isˈpitʃəʃt̪ət̪ə
изпичащи	isˈpitʃəʃt̪i
изпичащите	isˈpitʃəʃt̪it̪ɛ
изпичащия	isˈpitʃəʃt̪ijə
изпичащият	isˈpitʃəʃt̪ijət̪
изпичащо	isˈpitʃəʃt̪o̝
изпичащото	isˈpitʃəʃt̪o̝t̪o̝
изпия	isˈpijə
изпият	isˈpijət̪
изплаша	isˈpɫaʃə
изплашат	isˈpɫaʃət̪
изплашва	isˈpɫaʃvə
изплашвай	isˈpɫaʃvəj
изплашвайки	isˈpɫaʃvəjkʲi
изплашвайте	isˈpɫaʃvəjt̪ɛ
изплашвал	isˈpɫaʃvəɫ
изплашвала	isˈpɫaʃvəɫə
изплашвалата	isˈpɫaʃvəɫət̪ə
изплашвали	isˈpɫaʃvəli
изплашвалите	isˈpɫaʃvəlit̪ɛ
изплашвалия	isˈpɫaʃvəlijə
изплашвалият	isˈpɫaʃvəlijət̪
изплашвало	isˈpɫaʃvəɫo̝
изплашвалото	isˈpɫaʃvəɫo̝t̪o̝
изплашвам	isˈpɫaʃvəm
изплашваме	isˈpɫaʃvəmɛ
изплашван	isˈpɫaʃvən
изплашвана	isˈpɫaʃvənə
изплашваната	isˈpɫaʃvənət̪ə
