абдулла	ɑbduɫːɑ
нәжип	næʑip
нәркәс	nærkæs
нәркәс	nærkæs
нәсихәт	næsʲiχæt
нәтижә	nætʲiʒæ
нәфрәт	næfræt
нәшриәт	næʃrʲiʲæt
нәҙек	næðɪ̞k
нөктә	nʏ̞ktæ
ожмах	ʊ̞ʐmɑχ
ойошма	ʊ̞jʊ̞ʂmɑ
ойоштороусы	ʊ̞jʊ̞ʂtʊ̞rʊ̞wsɯ̞
ойоштороусы	ʊ̞jʊ̞ʂtʊ̞rʊ̞wsʊ̞
оло	ʊ̞ɫʊ̞
олон	ʊ̞ɫʊ̞n
олтораҡ	ʊ̞ɫtʊ̞rɑq
ондатра	ändäträ
опто	ʊ̞ptʊ̞
орлоҡ	ʊ̞rɫʊ̞q
оро	ʊ̞rʊ̞
орсоҡ	ʊ̞rsʊ̞q
орҙоҡ	ʊ̞rðʊ̞q
ос	ʊ̞s
осор	ʊ̞sʊ̞r
осраҡ	ʊ̞srɑ̹q
осраҡлы	ʊ̞srɑ̹qɫɯ̞
остаз	ʊ̞stɑz
осҡон	ʊ̞sqʊ̞n
осһоҙ	ʊ̞shʊ̞ð
офоҡ	ʊ̞fʊ̞q
оя	ʊ̞jɑ
оят	ʊ̞jɑt
оҙаҡ	ʊ̞ðɑq
оҙон	ʊ̞ðʊ̞n
оҙонлоҡ	ʊ̞ðʊ̞nɫʊ̞q
оҡшаш	ʊ̞qʂɑʂ
оҫта	ʊ̞θtɑ
поезд	pojɪz
поезд	pojɯ̞z
поезд	pojɪzd
поезд	pojɯ̞zd
помидор	pämʲidɔr
пәйғәмбәр	pæʁæmbær
пәрҙә	pærðæ
раббы	rɑbːɯ̞
рашҡы	rɑʂqɯ̞
редакция	rʲɪdäkt͜sɯjä
редакция	rʲɪdakt͜sɨjə
ринат	rʲinät
рифҡәт	rʲifqæt
ришат	rʲiʂät
ришүәт	rʲiʃwæt
ришүәтсе	rʲiʃwætsɪ̞
риүәйәт	rʲiwæjæt
рух	ruχ
рәйхана	ræjχänä
рәмил	ræmʲil
рәсем	ræsɪ̞m
рәсимә	ræsʲimæ
рәсми	ræsmʲi
рәссам	ræsːäm
рәссам	ræsːæm
рәссам	rasːäm
рәсәй	ræsæj
рәт	ræt
рәхмәт	ræχmæt
рәҡәғәт	ræqæʁæt
рәүеф	ræwɪ̞f
рәүеш	ræwɪ̞ʃ
рөстәм	rʏ̞stæm
рөхсәт	rʏ̞χsæt
сабата	sɑβɑtɑ
сабира	sɑbʲirɑ
сабый	sɑβɯ̞j
сабыр	sɑbɯ̞r
салауат	sɑɫɑwɑt
салауат	sɑɫɑwɑt
салбар	sɑɫβɑr
салғы	sɑɫʁɯ̞
самауыр	sɑmɑwɯ̞r
самолёт	sɐmɐlʲɵt
самолёт	sämälʲɵt
самолёт	səmɐlʲɵt
сана	sɑnɑ
сания	sɑnʲijɑ
сара	sɑrɑ
сара	sɑrɑ
сауап	sɑwɑp
сауҙа	sɑwðɑ
саян	sɑjɑn
саған	sɑʁɑn
саҡ	sɑq
саҡрым	sɑqrɯ̞m
саң	sɑŋ
саң	sɑŋ
саңғы	sɑŋɢɯ̞
светофор	sᵊvʲitäfor
себен	sɪ̞βɪ̞n
себер	sɪ̞βɪ̞r
себеш	sɪ̞βɪ̞ʃ
сей	sɪ̞j
сеймал	sɪ̞jmɑɫ
сейә	sɪ̞jæ
секунд	sʲikunt
селдә	sɪ̞ldæ
селлә	sɪ̞lːæ
селән	sɪ̞læn
селәүсен	sɪ̞læwsɪ̞n
сепрәк	sɪ̞præk
сер	sɪ̞r
серек	sɪ̞rɪ̞k
серәкәй	sɪ̞rækæj
сик	sik
силәбе	sʲilæbɪ̞
силәбе	sʲilæβɪ̞
симешкә	sʲimɪ̞ʃkæ
синыф	sʲi̠nɯ̞f
сипарат	sʲïpɑrɑt
сипарат	sʲïpärät
сирек	sʲirɪ̞k
сиркәү	sʲirkæw
сифат	sʲi̠fät
сихыр	sʲïχɯ̞r
сихырлы	sʲïχɯ̞rɫɯ̞
сихырсы	sʲïχɯ̞rsɯ̞
сиған	sʲïʁɑn
сиған	sʲïʁän
сиңерткә	sʲiŋɪ̞rtkæ
солан	sʊ̞ɫɑn
социаль	sät͡sɯälʲ
социаль	sɐt͡sɨalʲ
соҡор	sʊ̞qʊ̞r
суйын	sujɯ̞n
сулпан	suɫpɑn
сумаҙан	sumɑðɑn
суртан	surtɑn
сусҡа	susqɑ
сутый	sutɯ̞j
суфыйсылыҡ	sufɯ̞jsɯ̞ɫɯ̞q
сыбар	sɯ̞βɑr
сыбыртҡы	sɯ̞βɯ̞rtqɯ̞
сыбыҡ	sɯ̞βɯ̞q
сыйырсыҡ	sɯ̞jɯ̞rsɯ̞q
сынйыр	sɯ̞njɯ̞r
сыр	sɯ̞r
сығанаҡ	sɯ̞ʁɑnɑq
сыңғыҙ	sɯ̞ŋɢɯ̞ð
сүкеш	sʏkɪ̞ʃ
сүл	sʏl
сүллек	sʏllɪ̞k
сүмес	sʏmɪ̞s
сүп	sʏp
сүриә	sʏriʲæ
сүрә	sʏræ
сәбәп	sæβæp
сәй	sæj
сәйер	sæjɪ̞r
сәйет	sæjɪ̞t
сәйнүк	sæjnʏk
сәйхана	sæjχänä
сәйәсәт	sæjæsæt
сәйәхәт	sæjæχæt
сәкинә	sækʲinæ
сәлимә	sælʲimæ
сәләм	sælæm
сәмреғош	sæmrɪ̞ʁʊ̞ʂ
сәнске	sænskɪ̞
сәнғәт	sæŋɢæt
сәнғәт	sænɢæt
сәнәғәт	sænæɢæt
сәркәтип	særkætʲip
сәс	sæs
сәскә	sæskæ
сәсән	sæsæn
сәтләүек	sætlæwɪ̞k
сәхнә	sæχnæ
сәғит	sæʁit
сәғәт	sæʁæt
сәңгелдәк	sæŋɡɪ̞ldæk
сәүкә	sæwkæ
сөгөлдөр	sʏ̞ɡʏ̞ldʏ̞r
сөй	sʏ̞j
сөнки	sʏ̞nkʲi
сөнки	sʏ̞nkʲi
сөсө	sʏ̞sʏ̞
таба	tɑβɑ
таба	tɑbɑ
табаҡ	tɑβɑq
табаҡ	tɑbɑq
табут	tɑβut
таж	tɑʒ
тайфур	tɑjfur
тайғаҡ	tɑjʁɑq
тал	tɑɫ
талап	tɑɫɑp
талапсан	tɑɫɑpsɑn
талаҡ	tɑɫɑq
талпан	tɑɫpɑn
талха	tɑɫχɑ
талғат	tɑɫʁɑt
тамам	tɑmɑm
тамаша	tɑmɑʂɑ
тамашасы	tɑmɑʂɑsɯ̞
тамаҡ	tɑmɑq
тамсы	tɑmsɯ̞
тамуҡ	tɑmuq
тамға	tɑmʁɑ
танау	tɑnɑw
тантана	tɑntɑnɑ
таныш	tɑnɯ̞ʂ
тап	tɑp
тапҡыр	tɑpqɯ̞r
тар	tɑr
тараф	tɑrɑf
тарафынан	tɑrɑfɯ̞nɑn
тараҡ	tɑrɑq
тараҡан	tɑrɑqɑn
тарма	tɑrmɑ
тармаҡ	tɑrmɑq
тартма	tɑrtmɑ
тартынҡы	tartɯ̞ŋqɯ̞
тары	tɑrɯ̞
татыу	tɑtɯ̞w
татыулыҡ	tɑtɯ̞wɫɯ̞q
тауар	tɑwɑr
тауис	täwïs
тауыш	tɑwɯ̞ʂ
тауыҡ	tɑwɯ̞q
таш	tɑʂ
ташбаш	tɑʂbɑʂ
ташлама	tɑʂɫɑmɑ
ташҡын	tɑʂqɯ̞n
таяҡ	tɑjɑq
таҙа	tɑðɑ
таҡмаҡ	tɑqmɑq
таҡта	tɑqtɑ
таҡтаташ	tɑqtɑtɑʂ
таҡыр	tɑqɯ̞r
таҡырбаш	tɑqɯ̞rbɑʂ
таңһылыу	tɑŋhɯ̞ɫɯ̞w
таҫма	tɑθmɑ
таҫтамал	tɑθtɑmɑɫ
театр	tʲiätər
театр	tʲiätrɯ̞
тегенсе	tɪ̞ɡɪ̞nsɪ̞
тейен	tɪ̞jɪ̞n
тейеш	tɪ̞jɪ̞ʃ
текә	tɪ̞kæ
тел	tɪ̞l
телевизор	tʲilʲivʲizɯ̞r
телефон	tʲilʲifon
телмәр	tɪ̞lmær
теләк	tɪ̞læk
тере	tɪ̞rɪ̞
терегөмөш	tɪ̞rɪ̞ɡʏ̞mʏ̞ʃ
теркәүес	tɪ̞rkæwɪ̞s
терпе	tɪ̞rpɪ̞
терһәк	tɪ̞rhæk
теш	tɪ̞ʃ
теүәл	tɪ̞wæl
тибет	tʲibʲe̞t
тигеҙ	tʲiɡɪ̞ð
тимер	tʲimɪ̞r
тимерсыбыҡ	tʲimɪ̞rsɯ̞βɯ̞q
тимәк	tʲimæk
тин	tʲinĕ
тир	tʲir
тире	tʲirɪ̞
тиреҫ	tʲirɪ̞θ
тирмә	tʲirmæ
тирмән	tʲirmæn
тирмәнсе	tʲirmænsɪ̞
тирәк	tʲiræk
тишек	tʲiʃɪ̞k
тиҙ	tʲið
тиҙ	tʲið
тиҙлек	tʲiðlɪ̞k
тиҙәк	tʲiðæk
тиҫбе	tʲiθbɪ̞
тиҫтә	tiθtæ
тойғо	tʊ̞jʁʊ̞
тол	tʊ̞ɫ
толом	tʊ̞ɫʊ̞m
толпар	tʊɫpɑr
томан	tʊ̞mɑn
томбойоҡ	tʊ̞mbʊ̞jʊ̞q
торлаҡ	tʊ̞rɫɑq
тормош	tʊ̞rmʊ̞ʂ
торна	tʊ̞rnɑ
торош	tʊ̞rʊ̞ʂ
тотҡа	tʊ̞tqɑ
тояҡ	tʊ̞jɑq
тоғро	tʊ̞ʁrʊ̞
тоҙ	tʊ̞ð
тоҙаҡ	tʊ̞ðɑq
тоҡ	tʊ̞q
тоҡом	tʊ̞qʊ̞m
тоҡор	tʊ̞qʊ̞r
тоҡсай	tʊ̞qsɑj
тубырсыҡ	tuβɯ̞rsɯ̞q
тубыҡ	tuβɯ̞q
туй	tuj
тулы	tuɫɯ̞
тулҡын	tuɫqɯ̞n
тумыртҡа	tumɯ̞rtqɑ
тун	tun
туп	tup
тупраҡ	tuprɑq
тупһа	tuphɑ
тура	turɑ
тураһында	turɑhɯ̞ndɑ
турғай	turʁɑj
тут	tut
тутыйғош	tutɯ̞jʁʊ̞ʂ
туфан	tufɑn
туфан	tufɑn
туғай	tuʁɑj
туғыҙ	tuʁɯ̞ð
туҙ	tuð
туҙан	tuðɑn
туҡ	tuq
туҡал	tuqɑɫ
туҡталыш	tuqtɑɫɯ̞ʂ
туҡыма	tuqɯ̞mɑ
туң	tuŋ
туңдырма	tuŋdɯ̞rmɑ
тылсым	tɯ̞ɫsɯ̞m
тылсымлы	tɯ̞ɫsɯ̞mɫɯ̞
тылсымсы	tɯ̞ɫsɯ̞msɯ̞
тымау	tɯ̞mɑw
тынсыу	tɯ̞nsɯ̞w
тыныс	tɯ̞nɯ̞s
тыныслыҡ	tɯnɯ̞sɫɯ̞q
тырма	tɯ̞rmɑ
тырнаҡ	tɯ̞rnɑq
тырыш	tɯ̞rɯ̞ʂ
тышау	tɯ̞ʂɑw
тығыҙ	tɯ̞ʁɯ̞ð
тыҡрыҡ	tɯ̞qrɯ̞q
түбән	tʏbæn
түбән	tʏβæn
түгел	tʏɡɪ̞l
түгел	tʏɡɪ̞l
түр	tʏr
түрә	tʏræ
түтәл	tʏtæl
түш	tʏʃ
түшәм	tʏʃæm
түҙемлек	tʏðɪ̞mlɪ̞k
түңәрәк	tʏŋæræk
тәбиғи	tæβiʁï͜i
тәбиғәт	tæβiʁæt
тәгәрмәс	tæɡærmæs
тәжрибә	tæʒrʲibæ
тәкә	tækæ
тәкәббер	tækæbːɪ̞r
тәлғәт	tælʁæt
тәм	tæm
тәмле	tæmlɪ̞
тәмһеҙ	tæmhɪ̞ð
тәмәке	tæmækɪ̞
тәнҡит	tæŋqit
тәнәфес	tænæfɪ̞s
тәпәш	tæpæʃ
тәрбиә	tærbʲiʲæ
тәре	tærɪ̞
тәржемә	tærʒɪ̞mæ
тәржемәсе	tærʒɪ̞mæsɪ̞
тәрилкә	tærʲilkæ
тәртешкә	tærtɪ̞ʃkæ
тәртип	tærtʲip
тәрән	tæræn
тәсбих	tæsbʲiχ
тәхет	tæχɪ̞t
тәғлимәт	tæʁlʲimæt
тәҙрә	tæðræ
тәҡдим	tæqdʲim
тәҡдир	tæqdʲir
тәңкә	tæŋkæ
тәңре	tæŋrɪ̞
тәү	tæw
тәүге	tæwɡɪ̞
тәүге	tæwɡɪ̞
тәүлек	tæwlɪ̞k
тәүтормош	tæwtʊ̞rmʊ̞ʂ
тәүҙә	tæwðæ
тәүҙә	tæwðæ
тәһәрәт	tæhæræt
төбәк	tʏ̞βæk
төймә	tʏ̞jmæ
төйөн	tʏ̞jʏ̞n
төкөрөк	tʏ̞kʏ̞rʏ̞k
төлкө	tʏ̞lkʏ
төн	tʏ̞n
төндөк	tʏ̞ndʏ̞k
төньяҡ	tʏ̞njɑq
төнәтмә	tʏ̞nætmæ
төп	tʏ̞p
төр	tʏ̞r
төркиә	tʏ̞rkʲiʲæ
төркөм	tʏ̞rkʏ̞m
төрлө	tʏ̞rlʏ̞
төрлө	tʏ̞rlʏ̞
төрмә	tʏ̞rmæ
төрткө	tʏ̞rtkʏ̞
төрҙө	tʏ̞rðʏ̞
төрөкмәнстан	tʏ̞rʏ̞kmænstän
төтөн	tʏ̞tʏ̞n
төш	tʏ̞ʃ
төшөнсә	tʏ̞ʃʏ̞nsæ
төҙ	tʏ̞ð
төҫ	tʏ̞θ
ужым	uʐɯ̞m
уй	uj
уймаҡ	ujmɑq
уйылдан	ujɯ̞ɫdɑn
уйын	ujɯ̞n
уйынсыҡ	ujɯ̞nsɯ̞q
украина	ukraina
ул	uɫ
ул	uɫ
улар	uɫɑr
ултырғыс	uɫtɯ̞rʁɯ̞s
ултырғыс	utɯ̞rʁɯ̞s
умарта	umɑrtɑ
умырзая	umɯ̞rzɑjɑ
ун	un
унан	unɑn
унда	undɑ
уны	unɯ̞
уның	unɯ̞ŋ
упҡын	upqɯ̞n
урал	urɑɫ
урам	urɑm
ураҡ	urɑq
урман	urmɑn
урта	urtɑ
уртаҡ	urtɑq
урын	urɯ̞n
урынбаҫар	urɯ̞nbɑθɑr
урынбаҫар	urɯ̞nbɑθɑr
урынлы	urɯ̞nɫɯ̞
урыҫ	urɯ̞θ
ус	us
усаҡ	usɑq
ут	ut
утрау	utrɑw
утын	utɯ̞n
утҡойроҡ	utqʊ̞jrʊ̞q
уға	uʁɑ
уғры	u̞ʁrɯ̞
уҡ	uq
уҡ	uq
уҡлау	uqɫɑw
уҡсы	uqsɯ̞
уҡытыусы	uqɯ̞tɯ̞wsɯ̞
уҡыусы	uqɯ̞wsɯ̞
уң	uŋ
уңайлы	uŋɑjɫɯ̞
уңайҙы	uŋɑjðɯ̞
уңыш	uŋɯ̞ʂ
уҫаҡ	uθɑq
фажиғә	faʒïʁæ
фажиғә	faʑiʁæ
файҙа	fɑjðɑ
фатима	fätʲi̠mä
фатир	fätʲïr
фатиха	fätʲïχä
фекер	fɪkɪr
фил	fʲil̠
фирғәүен	fʲirʁæwɪ̞n
форсат	fʊ̞rsɑt
фәлсәфә	fælsæfæ
фәлсәфәүи	fælsæfæwi
фәлән	fælæn
фән	fæn
фәрештә	færɪ̞ʃtæ
фәрит	færʲit
хаж	χɑʐ
хазина	χäzʲïnä
хаким	χäkʲi̠m
халыҡ	χɑɫɯ̞q
хас	χɑs
хас	χäs
хата	χɑtɑ
хатта	χɑtːɑ
хатта	χɑtːɑ
хаҡ	χɑq
хаҡында	χɑqɯ̞ndɑ
хеҙмәт	χɪ̞ðmæt
хикәйә	χɨ̯͜ikæjæ
хис	χɨ̯͜is
хисап	iθæp
хоҙай	χʊ̞ðɑj
хоҡуҡ	χʊ̞quq
хужа	χuʐɑ
хужабикә	χuʐɑbʲikæ
хужалыҡ	χuʐɑɫɯ̞q
хыял	χɯ̞jɑɫ
хәбәр	χæβær
хәбәрсе	χæβærsɪ̞
хәйер	χæjɪ̞r
хәйерсе	χæjɪ̞rsɪ̞
хәл	χæl
хәмзә	χæmzæ
хәрби	χærbʲi
хәрби	χærbʲij
хәреф	χærɪ̞f
хәрәкәт	χærækæt
хәсән	χæsæn
хәтер	χætɪ̞r
хәҙер	χæðɪ̞r
хәҡиҡәт	χæqɨ̯͜iqæt
хөкүмәт	χʏ̞kʏmæt
хөрмәт	χʏ̞rmæt
хөрмәтенә	χʏ̞rmætɪ̞næ
хөрәфәт	χʏ̞ræfæt
хөсәйен	χʏ̞sæjɪ̞n
шайтан	ʂɑjtɑn
шайыҡ	ʂɑjɯ̞q
шалҡан	ʂɑɫqɑn
шама	ʂɑmɑ
шарап	ʂɑrɑp
шарлауыҡ	ʂɑrɫɑwɯ̞q
шарт	ʂɑrt
шаршамбы	ʂɑrʂɑmbɯ̞
шаршау	ʂɑrʂɑw
шат	ʂɑt
шаян	ʂɑjɑn
шағир	ʂäʁi̠r
шағирә	ʂäʁi̠ræ
шаҡмаҡ	ʂɑqmɑq
шаһит	ʂɑhït
шеләгәй	ʃɪ̞læɡæj
шешә	ʃɪ̞ʃæ
шифа	ʃifä
шифа	ɕifä
шифахана	ʃifäχänä
шифахана	ʃifɑχɑnɑ
шишмә	ʃiʃmæ
шишә	ɕiʃæ
шишәмбе	ʃiʃæmbɪ̞
шишәмбе	ɕiʃæmbɪ̞
шиғри	ɕiʁri
шиғриәт	ɕiʁriʲæt
шиғыр	ʃiʁɯ̞r
шиғыр	ɕiʁɯ̞r
шоңҡар	ʂʊ̞ŋqɑr
шыйыҡ	ʂɯ̞jɯ̞q
шым	ʂɯ̞m
шыма	ʂɯ̞mɑ
шырау	ʂɯ̞rɑw
шырпы	ʂɯ̞rpɯ̞
шыршы	ʂɯ̞rʂɯ̞
шүлгән	ʃʏlɡæn
шәжәрә	ʃæʒæræ
шәкерт	ʃækɪ̞rt
шәкәр	ʃækær
шәл	ʃæl
шәм	ʃæm
шәмбе	ʃæmbɪ̞
шәп	ʃæp
шәреҡ	ʂærɪ̞q
шәриғәт	ʃærʲiʁæt
шәрә	ʃæræ
шәрәлек	ʃærælɪ̞k
шәхси	ʃæχsʲi
шәүрә	ʃæwræ
ыласын	ɯ̞ɫɑsɯ̞n
ылаҡ	ɯ̞ɫɑq
ымлыҡ	ɯ̞mɫɯ̞q
ынйы	ɯ̞njɯ̞
ырымбур	ɯ̞rɯ̞mbur
ырыу	ɯ̞rɯ̞w
ырғаҡ	ɯ̞rʁɑq
ырғаҡ	ɯ̞rɢɑq
ысул	ɯ̞suɫ
ысын	ɯ̞sɯ̞n
ысынбарлыҡ	ɯ̞sɯ̞nbɑrɫɯ̞q
ысынбарлыҡ	ɯ̞sɯ̞nbɑrɫɯ̞q
ысыҡ	ɯ̞sɯ̞q
ыуылдырыҡ	ɯ̞wɯ̞ɫdɯ̞rɯ̞q
ыуыҙ	ɯ̞wɯ̞ð
ышаныс	ɯ̞ʂɑnɯ̞s
ыңғай	ɯ̞ŋɢɑj
эйе	ɪ̞jɪ̞
эйәк	ɪ̞jæk
эйәр	ɪ̞jær
элек	ɪ̞lɪ̞k
эне	ɪ̞nɪ̞
энә	ɪ̞næ
эре	ɪ̞rɪ
эремсек	i̞ri̞msi̞k
эрен	ɪ̞rɪ̞n
эсемлек	ɪ̞sɪ̞mlɪ̞k
эскәмйә	ɪ̞skæmjæ
эстәлек	ɪ̞stælɪ̞k
эсәк	ɪ̞sæk
эт	ɪ̞t
этморон	ɪ̞tmʊ̞rʊ̞n
эш	ɪ̞ʃ
эшләпә	ɪ̞ʃlæpæ
эшсе	ɪ̞ʃsɪ̞
эшҡыуар	ɪ̞ʃqɯ̞wɑr
эшҡыуарлыҡ	ɪ̞ʃqɯ̞wɑrɫɯ̞q
эҙ	ɪ̞ð
эңер	ɪ̞ŋɪ̞r
эҫе	ɪ̞θɪ̞
юйғыс	jujʁɯ̞s
юл	jul
юлай	juɫɑj
юлбарыҫ	juɫbɑrɯ̞θ
юлбашсы	juɫbɑʂsɯ̞
юлбаҫар	juɫbɑθɑr
юлдаш	juɫdɑʂ
юрға	jurʁɑ
юрған	jurʁɑn
юғары	juʁɑrɯ̞
юҡ	juq
ябай	jɑβɑj
ябыҡ	jɑβɯ̞q
яй	jɑj
ял	jɑɫ
ялан	jɑɫɑn
яланғас	jɑɫɑŋɢɑs
ялағай	jɑɫɑʁɑj
ялтыр	jɑɫtɯ̞r
ялыу	jɑɫɯ̞w
ялған	jɑɫʁɑn
ялҡау	jɑɫqɑw
ялҡаулыҡ	jɑɫqɑwɫɯ̞q
ялҡын	jɑɫqɯ̞n
яман	jɑmɑn
ямау	jɑmɑw
ямғыр	jɑmʁɯ̞r
янсыҡ	jɑnsɯ̞q
япония	jäpo̞nʲijä
япраҡ	jɑprɑq
яр	jɑr
яра	jɑrɑ
ярлы	jɑrɫɯ̞
ярма	jɑrmɑ
ярсыҡ	jɑrsɯ̞q
ярты	jɑrtɯ̞
яры	jɑrɯ̞
ярым	jɑrɯ̞m
ярым	jɑrɯ̞m
ярым	jɑrɯ̞m
ярымутрау	jɑrɯ̞mutrɑw
ярыш	jɑrɯ̞ʂ
ярыҡ	jɑrɯ̞q
ярғанат	jɑrʁɑnɑt
ярҙам	jɑrðɑm
ярҙамсы	jɑrðɑmsɯ̞
ят	jɑt
яуап	jɑwɑp
яуаплы	jɑwɑpɫɯ̞
яуаплылыҡ	jɑwɑpɫɯ̞ɫɯ̞q
яулыҡ	jɑwɫɯ̞q
яхин	jäxʲin
яхъя	jɑχjɑ
яға	jɑʁɑ
яғалбай	jɑʁɑɫbɑj
яғыулыҡ	jɑʁɯ̞wɫɯ̞q
яҙ	jɑð
яҙма	jɑðmɑ
яҙмыш	jɑðmɯ̞ʂ
яҙылыусы	jɑðɯ̞ɫɯ̞wsɯ̞
яҙыусы	jɑðɯ̞wsɯ̞
яҙыҡ	jɑðɯ̞q
яҡ	jɑq
яҡа	jɑqɑ
яҡты	jɑqtɯ̞
яҡуп	jɑqup
яҡшы	jɑqʂɯ̞
яҡын	jɑqɯ̞n
яңы	jɑŋɯ̞
яңы	jɑŋɯ̞
яңы	jɑŋɯ̞
яңылыш	jɑŋɯ̞ɫɯ̞ʂ
яңылыҡ	jɑŋɯ̞ɫɯ̞q
яңғыҙ	jɑŋɢɯ̞ð
яҫмыҡ	jɑθmɯ̞q
ғабдулла	ɢɑbduɫːɑ
ғабдулла	ʁɑbduɫːɑ
ғазраил	ɢɑzrɑïɫ
ғазраил	ɢɑzrɑjɯ̞ɫ
ғазраил	ʁɑzrɑïɫ
ғазраил	ʁɑzrɑjɯ̞ɫ
ғаилә	ɢäjlæ
ғайса	ʁɑjsɑ
ғалим	ʁɑlʲïm
ғалим	ɢɑlʲïm
ғариза	ɢärʲizä
ғасыр	ɢɑsɯ̞r
ғасыр	ʁɑsɯ̞r
ғауға	ɢɑwɢɑ
ғауға	ɢɑwʁɑ
ғашиҡ	ɢäʃi̠q
ғашиҡ	ʁäʃi̠q
ғашиҡ	ɢäɕi̠q
ғашиҡ	ʁäɕi̠q
ғибәҙәт	ɢɨ̯ibæðæt
ғибәҙәтхана	ɢɨ̯ibæðætχänä
ғинуар	ʁïnwär
ғорур	ʁʊ̞rur
ғүмер	ʁ̝ʏmɪ̞r
ғүмерлек	ʁ̝ʏmɪ̞rlɪ̞k
ғүмәр	ʁʏmær
ғәжәп	ɢæʒæp
ғәжәп	ʁæʒæp
ғәйбәт	ʁæjbæt
ғәйбәт	ɢæjβæt
ғәйбәт	ʁæjβæt
ғәйеп	ʁæjɪ̞p
ғәйеп	ɢæjɪ̞p
ғәйшә	ɢæjʃæ
ғәйшә	ʁæjʃæ
ғәли	ʁælʲi
ғәлиәссәләм	ɢælʲiæsːælæm
ғәләм	ɢælæm
ғәмәл	ʁæmæl
ғәрәп	ɢæræp
ғәрәп	ʁæræp
ғәскәр	ʁæskær
ғәскәр	ɢæskær
ғәҙел	ɢæðɪ̞l
ғәҙәт	ɢæðæt
ғәҙәт	ʁæðæt
ғәҙәттә	ɢæðætːæ
ғөбәйҙулла	ʁʏ̞βæjðuɫːɑ
ғөмүмән	ʁʏ̞mʏmæn
ғөмүмән	ɢʏ̞mʏmæn
ҙур	ður
ҙурлыҡ	ðurɫɯq
ҡабат	qɑβɑt
ҡабырға	qɑβɯ̞rʁɑ
ҡабыҡ	qɑβɯ̞q
ҡаймаҡ	qɑjmɑq
ҡайнатма	qɑjnɑtmɑ
ҡайсы	qɑjsɯ̞
ҡайын	qɑjɯ̞n
ҡайыш	qɑjɯ̞ʂ
ҡайғы	qɑjʁɯ̞
ҡайҙа	qɑjðɑ
ҡайҙан	qɑjðɑn
ҡайһы	qɑjhɯ̞
ҡала	qɑɫɑ
ҡалай	qɑɫɑj
ҡалай	qɑɫɑj
ҡалдыҡ	qɑɫdɯ̞q
ҡалын	qɑɫɯ̞n
ҡалып	qɑɫɯ̞p
ҡалҡан	qɑɫqɑn
ҡамыр	qɑmɯ̞r
ҡамыш	qɑmɯ̞ʂ
ҡан	qɑn
ҡанат	qɑnɑt
ҡанун	qɑnun
ҡапыл	qɑpɯ̞ɫ
ҡапыл	qɑpɯ̞ɫ
ҡапҡа	qɑpqɑ
ҡапҡас	qɑpqɑs
ҡар	qɑr
ҡара	qɑrɑ
ҡарабойҙай	qɑrɑbʊ̞jðɑj
ҡарама	qɑrɑmɑ
ҡарамаҫтан	qɑrɑmɑθtɑn
ҡарасҡы	qɑrɑsqɯ̞
ҡарағай	qɑrɑʁɑj
ҡарағанда	qɑrɑʁɑndɑ
ҡарағас	qɑrɑʁɑs
ҡарағат	qɑrɑʁɑt
ҡараңғы	qɑrɑŋʁɯ̞
ҡарлуғас	qɑrɫuʁɑs
ҡармаҡ	qɑrmɑq
ҡарсыға	qɑrsɯ̞ʁɑ
ҡарсыҡ	qɑrsɯ̞q
ҡарт	qɑrt
ҡаршы	qɑrʂɯ̞
ҡарға	qɑrʁɑ
ҡарғыш	qɑrʁɯ̞ʂ
ҡарһылыу	qɑrhɯ̞ɫɯ̞w
ҡасан	qɑsɑn
ҡасҡын	qɑsqɯ̞n
ҡат	qɑt
ҡатнашыусы	qɑtnɑʂɯ̞wsɯ̞
ҡаты	qɑtɯ̞
ҡатын	qɑtɯ̞n
ҡатырға	qɑtɯ̞rʁɑ
ҡатыҡ	qɑtɯ̞q
ҡауаҡ	qɑwɑq
ҡаурый	qɑwrɯ̞j
ҡауын	qɑwɯ̞n
ҡауырһын	qɑwɯ̞rhɯ̞n
ҡауҙы	qɑwðɯ̞
ҡаш	qɑʂ
ҡашығаяҡ	qɑʂɯ̞ʁɑjɑq
ҡая	qɑjɑ
ҡағиҙә	qäʁɨ̯i͜ðæ
ҡағыҙ	qɑʁɯ̞ð
ҡаҙ	qɑð
ҡаҙан	qɑðɑn
ҡаҙаныш	qɑðɑnɯ̞ʂ
ҡаҙағстан	qɑðɑɢ̞ɯ̞̆stɑn
ҡаҙаҡ	qɑðɑq
ҡаҙы	qɑðɯ̞
ҡаҡырыҡ	qɑqɯ̞rɯ̞q
ҡибла	qɨ̯ibɫä
ҡиммәт	qimːæt
ҡитға	qɯ̽͜ɪ̈tʁä
ҡойма	qʊ̞jmɑ
ҡоймаҡ	qʊ̞jmɑq
ҡойо	qʊ̞jʊ̞
ҡойроҡ	qʊ̞jrʊ̞q
ҡол	qʊ̞ɫ
ҡолаҡ	qʊ̞ɫɑq
ҡом	qʊ̞m
ҡомалаҡ	qʊ̞mɑɫɑq
ҡомартҡы	qʊ̞mɑrtqɯ̞
ҡомағай	qʊ̞mɑʁɑj
ҡомһоҙ	qʊ̞mhʊ̞ð
ҡондоҙ	qʊ̞ndʊ̞ð
ҡоно	qʊ̞nʊ̞
ҡорал	qʊ̞rɑɫ
ҡорбан	qʊ̞rβɑn
