ігла	jiɣɫa
толькі	tolʲkʲi
тонкі	tonkʲi
трактар	traktar
трохвугольнік	troxvuɣolʲnʲik
труна	truna
трус	trus
труцень	trut͡sʲenʲ
трымаць	trɨmat͡sʲ
трыснёг	trɨsʲnʲox
туалет	tualʲet
тугі	tuɣʲi
тупы	tupɨ
тут	tut
тыдзень	tɨd͡zʲenʲ
тысячагоддзе	tɨsʲat͡ʂaɣod͡zʲːe
увага	uvaɣa
удзячны	ud͡zʲat͡ʂnɨ
ужо	uʐo
узровень	uzrovʲenʲ
уключаць	uklʲut͡ʂat͡sʲ
улада	uɫada
уладзімер	uɫad͡zʲimʲer
уласны	uɫasnɨ
умова	umova
унук	unuk
унутраны	unutranɨ
упарты	upartɨ
упершыню	upʲerʂɨnʲu
уплыў	upɫɨu̯
уплывовы	upɫɨvovɨ
урад	urat
уражальны	uraʐalʲnɨ
уражанне	uraʐanʲːe
усё	usʲo
усе	usʲe
усеагульны	usʲeaɣulʲnɨ
усёмагутны	usʲomaɣutnɨ
усход	usxot
усюды	usʲudɨ
ухіліцца	uxʲilʲit͡sːa
учора	ut͡ʂora
фіялетавы	fʲijalʲetavɨ
фах	fax
хітры	xʲitrɨ
хава	xava
хадзіць	xad͡zʲit͡sʲ
халадзільнік	xaɫad͡zʲilʲnʲik
халодны	xaɫodnɨ
харобры	xarobrɨ
хацець	xat͡sʲet͡sʲ
хваля	xvalʲa
хвароба	xvaroba
хворы	xvorɨ
хвост	xvost
хмара	xmara
холад	xoɫat
хрушч	xruʂt͡ʂ
хто	xto
худы	xudɨ
хуткі	xutkʲi
ці	t͡sʲi
ціхі	t͡sʲixʲi
цана	t͡sana
цвёрды	t͡sʲvʲordɨ
цвярозы	t͡sʲvʲarozɨ
цела	t͡sʲeɫa
цёмны	t͡sʲomnɨ
цемя	t͡sʲemʲa
цёплы	t͡sʲopɫɨ
цесны	t͡sʲesnɨ
цеста	t͡sʲesta
цнатлівы	t͡snatlʲivɨ
цнота	t͡snota
цуд	t͡sut
цыбуля	t͡sɨbulʲa
цыгарэта	t͡sɨɣareta
цырульнік	t͡sɨrulʲnʲik
цырульня	t͡sɨrulʲnʲa
цэлы	t͡seɫɨ
цюлень	t͡sʲulʲenʲ
цягаць	t͡sʲaɣat͡sʲ
цяжар	t͡sʲaʐar
цяжарны	t͡sʲaʐarnɨ
цяжкі	t͡sʲaʂkʲi
цяля	t͡sʲalʲa
цяпло	t͡sʲapɫo
цярплівы	t͡sʲarplʲivɨ
цясла	t͡sʲasɫa
чакаць	t͡ʂakat͡sʲ
чалавек	t͡ʂaɫavʲek
чалавецтва	t͡ʂaɫavʲet͡stva
чало	t͡ʂaɫo
чаму	t͡ʂamu
чараўнік	t͡ʂarau̯nʲik
чаравік	t͡ʂaravʲik
чарапаха	t͡ʂarapaxa
чарот	t͡ʂarot
чарпак	t͡ʂarpak
чарэшня	t͡ʂareʂnʲa
часам	t͡ʂasam
часнок	t͡ʂasnok
часта	t͡ʂasta
частка	t͡ʂastka
часты	t͡ʂastɨ
чатыры	t͡ʂatɨrɨ
чацвёрты	t͡ʂat͡sʲvʲortɨ
човен	t͡ʂovʲen
чорны	t͡ʂornɨ
чужаземны	t͡ʂuʐazʲemnɨ
чужы	t͡ʂuʐɨ
чутны	t͡ʂutnɨ
чуць	t͡ʂut͡sʲ
чырвоны	t͡ʂɨrvonɨ
чысты	t͡ʂɨstɨ
чытаць	t͡ʂɨtat͡sʲ
чэрава	t͡ʂerava
чэрап	t͡ʂerap
чэрвень	t͡ʂervʲenʲ
чэсць	t͡ʂesʲt͡sʲ
ш	ʂ
шабля	ʂablʲa
шалёны	ʂalʲonɨ
шалом	ʂaɫom
шапка	ʂapka
шкілет	ʂkʲilʲet
шкадаваць	ʂkadavat͡sʲ
шкло	ʂkɫo
шкода	ʂkoda
шлюб	ʂlʲup
шлях	ʂlʲax
шмат	ʂmat
шоўк	ʂou̯k
шруба	ʂruba
што	ʂto
штосьці	ʂtosʲt͡sʲi
штурхаць	ʂturxat͡sʲ
шукальнік	ʂukalʲnʲik
шукаць	ʂukat͡sʲ
шчака	ʂt͡ʂaka
шчаслівы	ʂt͡ʂasʲlʲivɨ
шчасце	ʂt͡ʂasʲt͡sʲe
шчодры	ʂt͡ʂodrɨ
шчыльны	ʂt͡ʂɨlʲnɨ
шчыры	ʂt͡ʂɨrɨ
шчыт	ʂt͡ʂɨt
шыбеніца	ʂɨbʲenʲit͡sa
шырата	ʂɨrata
шырокі	ʂɨrokʲi
шыць	ʂɨt͡sʲ
шэршань	ʂerʂanʲ
шэры	ʂerɨ
ы	ɨ
эпістэмалогія	epʲistemaɫoɣʲija
этымалогія	etɨmaɫoɣʲija
юны	junɨ
ябаць	jabat͡sʲ
яблык	jabɫɨk
ягада	jaɣada
ягня	jaɣnʲa
ядраны	jadranɨ
ядраны	jadranɨ
язык	jazɨk
яйка	jajka
яйцо	jajt͡so
які	jakʲi
якасць	jakasʲt͡sʲ
японія	japonʲija
яркі	jarkʲi
ярмо	jarmo
ясны	jasnɨ
ястраб	jastrap
ячмень	jat͡ʂmʲenʲ
яшчарка	jaʂt͡ʂarka
яшчэ	jaʂt͡ʂe
