אבא	ʔɛbɑʔ
קורבא	qurbɑʔ
קורבא	qurɑbɑʔ
קורבנא	qurbɑnɑʔ
קטילא	qtˤilaʔ
קטילתא	qtˤiltaʔ
קטלא	qɛtˤlɑʔ
קטמא	qɛtˤmɑʔ
קטמא	qtˤɑmɑʔ
קיניא	qajnɑjɑʔ
קינתא	qintɑʔ
קיסא	qajsɑʔ
קיסונא	qajsonɑʔ
קיתרא	qitɑrɑʔ
קלא	qɑlɑʔ
קלא	qlɑʔ
קליא	qɪljaʔ
קלידא	qlidɑʔ
קלילא	qlilaʔ
קלילתא	qliltaʔ
קליתא	qlitaʔ
קמחא	qamħɑʔ
קנא	qɛnɑʔ
קנא	qnɑʔ
קנומא	qnomɑʔ
קניא	qanjɑ
קנינא	qɛnjɑnɑʔ
קפיסא	qpisaʔ
קפיסתא	qpistaʔ
קפלאון	qepaleʔon
קפס	qpæs
קפסא	qapsɑʔ
קפסא	qpɑsɑʔ
קפסא	qɑpsɑʔ
קרבא	qrɑbɑʔ
קריבא	qæribaʔ
קריבתא	qæribtaʔ
קרירא	qæriraʔ
קרירתא	qærirtaʔ
קרישא	qæriʃaʔ
קרישתא	qæriʃtaʔ
קריתא	qɑritɑʔ
קריתא	qrɑjtɑʔ
קריתא	qritɑʔ
קרנא	qarnɑʔ
קרקפתא	qarqaftɑ
קרתא	qartɑʔ
קשיא	qæʃjaʔ
קשישא	qaʃiʃɑʔ
קשישתא	qaʃiʃtɑʔ
קשיתא	qæʃitaʔ
קשתא	qɛʃtɑʔ
קשתא	qaʃɑtɑʔ
ראשא	reʃɑ
רבא	rabɑʔ
רבותא	rɛbutɑʔ
רבי	ribi
רבתא	rabtɑʔ
רגגא	rɡɑɡɑʔ
רגיגא	rɡiɡaʔ
רגיגתא	rɡiɡaʔ
רגלא	rɛɡlɑʔ
רגלא	raɡɑlɑʔ
רגתא	rɛɡtɑʔ
רדיא	rɛdjɑʔ
רוחא	ruħɑʔ
רוחא	rwɑħɑʔ
רוחקא	ruħqɑʔ
רוככא	rukɑkɑʔ
רומא	rawmɑʔ
רומחא	rumħɑʔ
רומנא	rumːɑnɑʔ
רוקא	rawqɑʔ
רחיא	raħjɑʔ
רחימא	rħimaʔ
רחימתא	rħimtaʔ
רחיקא	ræħiqaʔ
רחיקתא	ræħiqtaʔ
רחמא	rɑħmɑʔ
רחמא	raħmeʔ
רחמותא	rɑħmutɑʔ
רחמנא	ræħmanaʔ
רחמנותא	raħmɑnutɑʔ
רחמנתא	ræħmantaʔ
רחמתא	rɑħmtɑʔ
רחמתא	rɛħmtɑʔ
רטיבא	rætˤibaʔ
רטיבתא	rætˤibtaʔ
ריחא	riħɑʔ
רימונא	rimːoːnɑʔ
ריקא	rejqɑʔ
ריקתא	rejqtɑʔ
רירא	rirɑʔ
רישא	reʃɑ
רכיכא	rækikaʔ
רכיכתא	rækiktaʔ
רככא	rkɑkɑʔ
רכשא	rakʃɑʔ
רכשתא	rakʃɑtɑʔ
רמא	raːmaːʔ
רמא	rəmaː
רמונא	rimːoːnɑʔ
רמכא	ramkɑʔ
רמכא	ramɑkɑʔ
רמשא	ramʃɑʔ
רמתא	rɑmtɑʔ
רעיא	rɛʕjɑʔ
רעיא	rɑʕjɑʔ
רעילא	ræʕilaʔ
רעילתא	ræʕiltaʔ
רעלא	rʕɑlɑʔ
רעלא	rɛʕlɑʔ
רעמא	raʕmɑʔ
רפיא	ræpjaʔ
רפיתא	ræpitaʔ
רפפא	rpɑpɑʔ
רקדא	raqdɑʔ
רקדא	raqɑdɑʔ
רקדא	rqɑdɑʔ
רקדתא	raqɑdtɑʔ
רקיעא	rqiʕɑʔ
רשא	rʃɑʔ
רשיעא	ræʃiʕaʔ
רשיעתא	ræʃiʕtaʔ
רשעא	rʃɑʕɑʔ
רתיתא	rtitɑʔ
שבבא	ʃbɑbɑʔ
שבבותא	ʃbɑbutɑʔ
שבבתא	ʃbɑbtɑʔ
שבועא	ʃɑboʕɑʔ
שגושיא	ʃɡuʃjɑʔ
שוחדא	ʃuħdɑʔ
שוחרא	ʃuħɑrɑʔ
שולטנא	ʃultˤɑnɑʔ
שופא	ʃawpɑʔ
שופיא	ʃupjɑʔ
שופנינא	ʃupninɑʔ
שופנינתא	ʃupnintɑʔ
שופרא	ʃuprɑʔ
שוקא	ʃuqɑʔ
שורא	ʃurɑʔ
שורא	ʃwɑrɑʔ
שושא	ʃwɑʃɑʔ
שושא	ʃuʃɑʔ
שושנתא	ʃuʃantɑʔ
שושפא	ʃuʃɛpɑʔ
שותפותא	ʃawtɑputɑʔ
שחד	ʃħæd
שחידא	ʃħidaʔ
שחידתא	ʃħidtaʔ
שחינא	ʃæħinaʔ
שחינתא	ʃæħintaʔ
שחנא	ʃħɑnɑʔ
שחתא	ʃħɑtɑʔ
שטיפתא	ʃɑtˤiputɑʔ
שיול	ʃjol
שישא	ʃeːʃɑʔ
שישא	ʃiːʃɑʔ
שישלתא	ʃiʃaltɑʔ
שכרא	ʃakrɑʔ
שלדא	ʃladɑʔ
שלחא	ʃɛlħɑʔ
שלחא	ʃlɑħɑʔ
שליחא	ʃliħɑʔ
שליחותא	ʃliħutɑʔ
שליחתא	ʃliħtaʔ
שליטא	ʃlitˤaʔ
שליטתא	ʃlitˤtaʔ
שלימון	ʃlejmon
שלמא	ʃlɑmɑʔ
שלפוחתא	ʃalpuħtɑʔ
שמיא	ʃmajɑʔ
שמשא	ʃɛmʃɑʔ
שמשא	ʃamɑʃɑʔ
שמשנא	ʃɪmʃanaʔ
שמשנתא	ʃɪmʃantaʔ
שנא	ʃɛnɑʔ
שניא	ʃnajɑʔ
שעא	ʃɑʕeʔ
שעא	ʃʕɑʔ
שעותא	ʃʕotɑʔ
שעתא	ʃɑʕtɑʔ
שפירתא	ʃæpirtaʔ
שקיפא	ʃqipɑʔ
שרבתא	ʃarbtɑʔ
שרותא	ʃɑrutɑʔ
שרירא	ʃæriraʔ
שרירותא	ʃarirutɑʔ
שרירתא	ʃærirtaʔ
שרשא	ʃɛrʃɑʔ
שתאסתא	ʃɛtɛʔstɑʔ
שתיקא	ʃætiqaʔ
שתיקתא	ʃætiqtaʔ
תאביל	teʔbejl
תאומא	tɑʔwmɑʔ
תאמא	tɑʔmɑʔ
תאמא	tɑʔmeʔ
תאנתא	teʔntɑʔ
תביל	tebejl
תגא	tɑɡɑʔ
תגרא	taɡɑrɑʔ
תגרתא	taɡɑrtɑʔ
תדא	tdɑʔ
תולעא	tawlʕɑʔ
תומא	tumɑʔ
תונא	tawɑnɑʔ
תורא	tawrɑ
תורא	tɔːrɑ
תורא	tawːɑːrɑ
תורא	toːrɑ
תורגמא	turɡɑmɑʔ
תורתא	tawrtɑʔ
תותא	twɑtɑʔ
תותא	tutɑʔ
תחומא	təħumɑʔ
תחתיא	tæħtajaʔ
תחתיתא	tæħtajtaʔ
תטלילא	tatˤlilɑʔ
תימנא	tajmnɑʔ
תישא	tajʃɑʔ
תלא	tɛlɑʔ
תלא	tlɑʔ
תלגא	talɡɑʔ
תליא	tlɑjɑʔ
תליא	tɛljɑʔ
תלילא	tælilaʔ
תלילתא	tæliltaʔ
תליתא	tlitaʔ
תלמידא	talmidɑʔ
תלמידותא	talmidutɑʔ
תלמידתא	talmidtɑʔ
תמהא	tɛmhɑʔ
תמימא	tæmimaʔ
תמימתא	tæmimtaʔ
תמן	tamɑn
תמרא	tɛmrɑʔ
תמרא	tamreʔ
תמרתא	tmartɑʔ
תנורא	tanurɑʔ
תנינא	tanːinɑ
תנינא	tɛnjɑnɑ
תניניתא	tɪnjanitaʔ
תננא	tɛnɑnɑʔ
תעלא	taʕlɑʔ
תעלתא	taʕltɑʔ
תפוחא	tapuħɑʔ
תפיא	tpajɑʔ
תרודא	tarwɑdɑʔ
תריצא	trisˤaʔ
תריצותא	trisˤutɑʔ
תריצתא	trisˤtaʔ
תרמלא	tarmɑlɑʔ
תרנגולתא	tarnɑɡultɑʔ
תרנגלא	tarnɑɡlɑʔ
תרעתא	tarɑʕtɑʔ
תשבוחתא	tɛʃboħtɑʔ
תשמשתא	tɛʃmɛʃtɑʔ
תשריתא	tɛʃrjɑtɑʔ
ܝܫܘܥ	jeʃuʕ
ܡܫܝܚܐ	məʃiħɑʔ
𐡀𐡆𐡓𐡔𐡋𐡌	ʔurɪʃlɛm
𐡁𐡁𐡀	bɑvɑʔ
𐡂𐡁𐡓𐡀	ɡabrɑʔ
