abad	ɑbɑd
pəncərə	pend͡ʒæræ
pəncərə	pend͡zæræ
qab	ɡɑb
qab	ɡɑb̥
qabaq	ɡɑbɑχ
qabaq	ɡɑvɑχ
qabaqcadan	ɡɑbɑɣd͡ʒɑdɑn
qabaqcadan	ɡɑbɑɣd͡ʒɑdɑn
qabaqcıl	ɡɑbɑɣd͡zɯɫ
qabaqcıl	ɡɑbɑɣd͡zɯɫ
qabaqlamaq	ɡɑbɑɣɫɑmɑχ
qabağında	ɡɑbɑɣɯndɑ
qabırğa	ɡɑbɯrɣɑ
qabırğa	ɢɑbɯrɣɑ
qadağa	ɡɑdɑɣɑ
qadağan	ɡɑdɑɣɑn
qadın	ɡɑdɯn
qadın	kɑdɯn
qafqaz	ɡɑfkɑz
qafqaz	ɡɑfɡɑz
qalay	ɡɑɫɑj
qalayçı	ɡɑɫɑjt͡ʃɯ
qalayçı	ɡɑɫɑjt͡sɯ
qaldırmaq	ɡɑldɯrmɑχ
qaldırmaq	ɢɑldɯrmɑχ
qalmaq	ɡɑɫmɑχ
qaluboy	ɡɑɫuboj
qaluboy	ɢɑɫuboj
qalxmaq	ɡɑɫχmɑχ
qalibiyyət	ɡɑːlibijjæt
qan	ɡɑn
qanad	ɡɑnɑd
qanmaq	ɡɑnmɑχ
qanmaq	ɡɑmːɑχ
qanmaz	ɡɑnmɑz
qanmaz	ɡɑmːɑz
qanun	ɡɑːnun
qapmaq	ɡɑpmɑχ
qar	ɡɑr
qara	ɡɑrɑ
qara	ɢæræ
qara	ɡæræ
qarın	ɡɑrɯn
qarınca	ɡɑrɯnd͡ʒɑ
qarınca	ɡɑrɯnd͡zɑ
qarışmaq	ɡɑrɯʃmɑχ
qarışqa	ɡɑrɯʃɡɑ
qarışqa	ɡɑrɯʃkɑ
qarşı	ɡɑrʃɯ
qasırğa	ɡɑsɯrɣa
qayıdış	ɡɑjɯdɯʃ
qayınana	ɡɑjɯnɑnɑ
qayınata	ɡɑjɯnɑtɑ
qayıtmaq	ɡɑjɯtmɑχ
qayıtmaq	ɡejitmɑχ
qayıtmaq	ɢejitmɑχ
qaytarmaq	ɡɑjtɑrmɑχ
qaytarmaq	ɡejtærmɑχ
qaytarmaq	ɢejtærmɑχ
qayçı	ɡɑjt͡ʃɯ
qayçı	ɡejt͡si
qayğı	ɡɑjɣɯ
qaz	ɡɑz
qazanc	ɡɑzɑnd͡ʒ
qazanc	ɡɑzɑnd͡z
qazanmaq	ɡɑzɑnmɑχ
qazanmaq	ɡɑzɑmːɑχ
qazıntı	ɡɑzɯntɯ
qazmaq	ɡɑzmɑχ
qaçqın	ɡɑt͡ʃɡɯn
qaçqın	ɡɑt͡sɡɯn
qaş	ɡɑʃ
qaşımaq	ɡɑʃɯmɑχ
qaşınmaq	ɡɑʃɯnmɑχ
qaşıq	ɡɑʃɯχ
qeyri	ɡejri
qılmaq	ɡɯɫmɑχ
qılmaq	ɢɯɫmɑχ
qınaq	ɡɯnɑχ
qırmaq	ɡɯrmɑχ
qırmızı	ɡɯrmɯzɯ
qırxmaq	ɡɯrχmɑχ
qırğın	ɡɯrɣɯn
qısa	ɡɯsɑ
qısa	kɯ̥sɑ
qızdırmaq	ɡɯzdɯrmaχ
qızılquş	ɡɯzɯɫɡuʃ
qızışmaq	ɡɯzɯʃmaχ
qızlıq	ɡɯzɫɯχ
qızmaq	ɡɯzmɑχ
qığılcım	ɡɯɣɯɫd͡ʒɯm
qığılcım	ɡɯɣɯɫd͡zɯm
qış	ɡɯʃ
qışlaq	ɡɯʃlɑχ
qışlaq	ɡɯʃtɑχ
qışqırmaq	ɡɯʃɡɯrmɑχ
qışqırmaq	kɯʃkɯrmɑχ
qoboy	ɡoboj
qoca	ɡod͡ʒɑ
qoca	ɡod͡zɑ
qocalıq	ɡod͡ʒɑɫɯχ
qocalıq	ɡod͡zɑɫɯχ
qohum	ɡohum
qohumluq	ɡohumɫuχ
qol	ɡoɫ
qoltuq	ɡoɫtuχ
qonaq	ɡonɑχ
qonaqpərvər	ɡonɑχpærvær
qonaqpərəst	ɡonɑχpæræst
qoruqçu	ɡoruχt͡ʃu
qoruqçu	ɡoruχt͡su
qorxaq	ɡorχɑχ
qorxaqlıq	ɡorχɑχɫɯχ
qorxmaz	ɡorχmɑz
qorxu	ɡorχu
qovmaq	ɡovmɑχ
qovulma	ɡovuɫma
qovulmaq	ɡovuɫmaχ
qovun	ɡovun
qovun	ɡovun
qoymaq	ɡojmɑχ
qoşmaq	ɡoʃmaχ
qoşulmaq	ɡoʃuɫmaχ
qoşun	ɡoʃun
qoşun	ɡoʃun
qunduz	ɡunduz
qurbağa	ɡurbɑɣɑ
qurmaq	ɡurmɑχ
qurtarmaq	ɡurtɑrmɑχ
qurtarmaq	kutarmɑχ
quru	ɡuru
qurutmaq	ɡurutmɑχ
qusmaq	ɡusmɑχ
quyruq	ɡujruɣ
quyu	ɡuju
quş	ɡuʃ
qiymət	ɡijmæt
qiymət	ɢijmæt
qəbiristan	ɡæbristɑn
qədər	ɡædæɾ̥
qədər	ɡædæɾ
qədər	ɢædæɾ̥
qədər	χædær
qəhbə	ɡæhbæ
qəhbə	ɡæhpæ
qəhbəlik	ɡæhbælik
qəhbəlik	ɡæhpælik
qəhbəlik	ɡæhbælij
qəhbəlik	ɡæhpælij
qəhrəman	ɡæhræmɑn
qəhrəmanlıq	ɡæhræmɑnɫɯχ
qəhvə	ɡæhvæ
qəlb	ɡælb
qəlb	ɢælb
qələbə	ɡælæbæ
qərənfil	ɟæɾænfɪl
qəssab	ɡæsːɑb
qəssab	ɢæsːɑb
qətl	ɡætl
qəzet	ɡæzet
rahat	rɑhɑt
rahatlıq	rɑhɑtlɯχ
rejissor	reʒisːor
rüşvət	ryʃvæt
rəfiqə	ræfiːɡæ
rəhbər	ræhbær
rəngləmək	ræŋlæmæk
rəğbət	ræɣbæt
rəğmən	ræɣmæn
saat	sɑɑt
sabah	sɑbɑh
sabit	sɑːbit
sadalamaq	sɑdɑɫɑmɑχ
sadaq	sɑdɑχ
sahib	sɑhib
salmaq	sɑɫmɑχ
saniyə	sɑːnijæ
sarplıq	sɑrpɫɯχ
satıcı	sɑtɯd͡ʒɯ
satıcı	sɑtɯd͡zɯ
satış	sɑtɯʃ
satqın	sɑtɡɯn
savaş	sɑvɑʃ
saxlamaq	sɑχlɑmɑχ
sayaq	sɑjɑχ
sayıq	sɑjɯχ
saymaq	sɑjmɑχ
saz	sɑz
saziş	ʃɑːziʃ
saç	sɑt͡ʃ
saç	sɑt͡s
sağ	sɑɣ
sağol	sɑɣɔɫ
sağol	sɑɔɫ
sağsağan	sɑɣsaɣan
sevmək	sevmæk
sevmək	sevmæj
sevmək	sœjmɑχ
sevindirmək	sevindirmæk
sevindirmək	sevindirmæj
sevindirici	sevindirid͡ʒi
sevindirici	sevindirid͡zi
sevinmək	sevinmæk
sevinmək	sevinmæj
sevinmək	sœjynmɑχ
seçki	set͡ʃki
seçki	set͡ski
seçmək	set͡ʃmæk
seçmək	set͡ʃmæj
seçmək	set͡smæk
seçmək	set͡smæj
seçmək	seʃmɑχ
seçici	set͡ʃid͡ʒi
seçici	set͡sid͡zi
seçim	set͡ʃim
seçim	set͡sim
sıfır	sɯfɯɾ
sındırmaq	sɯndɯrmɑχ
sınmaq	sɯmːɑχ
sırğa	sɯrɣɑ
sıxmaq	sɯχmaχ
sıçmaq	sɯt͡ʃmɑχ
sıçmaq	sɯt͡smɑχ
sığmaq	sɯɣmɑχ
sol	soɫ
son	son
sonra	sonrɑ
sonra	soŋra
sonra	sonram
soxmaq	soχmɑχ
soyad	sojɑd
soyuducu	sojudud͡ʒu
soyuducu	sojudud͡zu
soyunmaq	sojumːɑχ
soyuq	sojuχ
stul	stuɫ
stəkan	stækʲʰɑn
stəkan	istækʲʰɑn
stəkan	iskʲʰɑn
stəkan	iskæn
su	su
subay	subɑj
sumka	sumkɑ
susdurmaq	susturmaχ
susmaq	susmaχ
söhbət	sœhbæt
söhbət	sœhb̥æt
söhbət	sœjbæt
söhbət	sœːbæt
sökmək	sœkmæk
sökmək	sœkmæj
söküntü	sœkynty
söküntü	sœt͡ʃynty
söndürmək	sœndyrmæk
söndürmək	sœndyrmæj
söndürmək	sœndyrmɑχ
söykəmək	sœjkæmæk
söykəmək	sœjkæmæj
söykənmək	sœjkænmæk
söykənmək	sœjkænmæj
söyüş	sœjyʃ
süfrə	syfræ
sümük	symyk
sümük	symyj
sürgün	syrɡyn
sürmək	syrmæk
sürmək	syrmæj
sürmək	syrmɑχ
sürü	syry
sürücü	syryd͡ʒy
sürücü	syryd͡zy
sürüşkən	syryʃkæn
sürüşkən	syryʃɡæn
silahlanmaq	silɑhlɑmːaχ
sincab	sind͡ʒɑb
sincab	sind͡zɑb
siqaret	siɡɑret
sirkə	sirkæ
siyasət	sijɑsæt
səbəb	sæbæb
səhər	sæhær̥
səhər	sæhær
səkkiz	sæcciz
səkkizinci	sæccizind͡ʒi
səksəninci	sæçsænind͡ʒi
səndemə	sændemæ
səpmək	sæpmæj
sərxoş	særχoʃ
sərçə	sært͡ʃæ
sərçə	sært͡sæ
sərin	særin
sərinləmək	særinːæmæk
sərinləmək	særinːæmæj
səriştə	særiʃtæ
səs	sæs
səsvermə	sæsvermæ
səviyyə	sævijːæ
tala	tɑɫɑ
tamaşa	tɑmɑʃɑ
tamaşaçı	tɑmɑʃɑt͡ʃɯ
tamaşaçı	tɑmɑʃɑt͡sɯ
tanışmaq	tɑnɯʃmɑχ
tanrı	tɑnrɯ
tapdalamaq	tɑptɑɫɑmɑχ
tapıntı	tɑpɯntɯ
tapmaq	tɑpmɑχ
tarakan	tɑrɑkɑn
tarix	tɑˑriχ
tarixçi	tɑˑriχt͡ʃi
tarixçi	tɑˑriχt͡si
tarixi	tɑːriχi
tarixən	tɑˑriχæn
taxmaq	tɑχmɑχ
tel	tel
tıncıxmaq	tɯnd͡ʒɯχmɑχ
tıncıxmaq	tɯnd͡zɯχmɑχ
tısbağa	tɯsbɑɣɑ
torpaq	torpɑχ
torpaq	torpɑχ
toxum	toχum
toxunmaq	toχumːɑχ
toyuq	tojuχ
toz	toz
tozsoran	tosːorɑn
tutmaq	tutmɑχ
tökmək	tœkmæk
tökmək	tœkmæj
tökmək	tœkmɑχ
tülkü	tylky
tüstü	tysty
tüstü	tysːi
tibb	tib
tikmək	tikʲmækʲ
tikmək	tit͡ʃmæç
tikmək	tikmæj
tikmək	tikmej
tikmək	tit͡ʃmɑχ
tikili	tikili
tikili	tit͡ʃili
tikinti	tikinti
tikinti	tit͡ʃinti
tilişkə	tɪlɪʃkæ
tire	tire
təbii	tæbɪː
tədbir	tædbir
təhqir	tæhɡir
tək	tæk
tək	tæç
tək	tæh
təki	tækʲi
təkər	tækær
təkər	tæt͡ʃʂær
tələbat	tælæbɑt
tələbat	tæɫɑbɑt
tələbə	tælæbæ
tələffüz	tælæfːyz
təmizkar	tæmizkʲʰɑr
təmizkarlıq	tæmizkʲʰɑrɫɯχ
tər	tær
tərcüməçi	tæɾd͡ʒymæt͡ʃi
tərcüməçi	tæɾd͡zymæt͡si
tərgitmək	tærɡitmæk
tərgitmək	tærɡitmæj
tərləmək	tærːæmæk
tərləmək	tærːæmæj
tərləmək	tærːæmɑχ
tərpənmək	tærpæmːmæj
təsirli	tæsirli
təsirli	tæsirːi
təsirsiz	tæsirsiz
təsis	tæˑsis
təxir	tæχir
təzyiq	tʰæːzɪɡ
təzyiq	tʰæːziɡ
təzə	tæzæ
ucadan	ud͡ʒɑdɑn
ucadan	ud͡zɑdɑn
ucuz	ud͡ʒuz
ucuz	ud͡zuz
udmaq	udmɑχ
uduş	udɯʃ
ulduz	uɫdúz
unutmaq	unutmɑχ
utanc	utɑnd͡ʒ
utanc	utɑnd͡z
utanmaq	utɑmːɑχ
uzanmaq	uzɑnmɑχ
uzanmaq	uzɑmːɑχ
uzaq	uzɑχ
uzun	uzun
uçmaq	ut͡ʃmɑχ
uçmaq	ut͡smɑχ
uçuş	ut͡ʃɯʃ
uçuş	ut͡sɯʃ
uşaq	uʃɑχ
uşaqbaz	uʃɑχbɑz̥
uşaqbazlıq	uʃɑχbɑzɫɯχ
valideyn	vɑlidejn
vanil	vɑnil
varmaq	vɑrmɑχ
vağzal	vɑɣzɑɫ
vergül	verɡyl
vergi	verɡi
vergi	værɡi
vergiçi	verɡit͡ʃi
vergiçi	verɡit͡si
vermək	vermæk
vermək	vermæj
vermək	værmæj
vermək	vermɑχ
verilmək	verilmæk
verilmək	verilmæj
verilmək	værylmej
verilmək	værilmɑχ
verilənlər	verilænlær
vədə	vædæ
vəkil	vækil
vərəq	væræɡ
vərəq	væræk
vətənpərvər	vætænpærvær
vətənpərəst	vætænpæræst
vəzi	væzi
vəziyyət	væzijjæt
xala	χɑɫɑ
xalq	χɑɫɡ
xalq	χɑɫk
xalq	χɑlχ
xam	χɑm
xudbin	χudbin
xəbər	χæbær
xəstə	χæstæ
xəstəlik	xæstælɪc
xəstəxana	χæstæχɑnɑ
xəzinə	xæziːnæ
yaba	jɑbɑ
yad	jɑd
yaddaş	jɑdːaʃ
yadplanetli	jɑdplɑnetli
yal	jɑɫ
yalamaq	jɑɫɑmɑχ
yalan	jaɫan
yalın	jɑɫɯn
yalınayaq	jɑɫɯnɑjɑɣ
yalnız	jɑɫnɯz
yalnız	jaɫnɯz
yalvarmaq	jɑɫvɑrmɑχ
yaman	jɑmɑn
yanacaq	jɑnɑd͡ʒɑχ
yanacaq	jɑnɑd͡zɑχ
yanaq	jɑnɑχ
yandırmaq	jɑndɯrmɑχ
yanında	jɑnɯndɑ
yanmaq	jɑnmɑχ
yanmaq	jɑmːɑχ
yanğın	jɑnɣɯn
yanğın	jɑŋɣɯn
yanğınsöndürən	jɑnɣɯnsœndyræn
yapışdırmaq	jɑpɯʃdɯrmɑχ
yara	jɑrɑ
yaramaq	jɑrɑmɑχ
yaramaz	jɑrɑmɑz
yaranmaq	jɑrɑnmɑχ
yarasa	jɑrɑsɑ
yaratmaq	jɑrɑtmɑχ
yaraşmaq	jɑrɑʃmɑχ
yardım	jɑɾdɯm
yarımada	jɑrɯmɑdɑ
yarış	jɑrɯʃ
yarpaq	jɑrpɑχ
yarpaq	jæprɑx
yarğan	jɑrɣɑn
yasaq	jɑsɑχ
yastıq	jɑstɯχ
yataq	jɑtɑχ
yataqxana	jɑtɑχːɑnɑ
yatmaq	jɑtmɑχ
yavaş	jɑvɑʃ
yaxın	jɑχɯn
yaxmaq	jɑχmɑχ
yaxşı	jɑχʃɯ
yaxşı	jɑχʃɯ̥
yaxşı	jɑχt͡ʃɯ
yaxşı	jɑχt͡sɯ
yay	jɑj
yaylaq	jɑjlɑχ
yaylıq	jɑjɫɯχ
yazıq	jɑːzɯɣ
yazıq	jɑːzɯχ
yazıçı	jɑzɯt͡ʃɯ
yazıçı	jɑzɯt͡sɯ
yazmaq	jɑzmɑχ
yağış	jaɣɯʃ
yaş	jɑʃ
yaşasın	jɑʃɑsɯn
yaşayış	jɑʃɑjɯʃ
yaşdaş	jɑʃdɑʃ
yaşlı	jɑʃɫɯ
yeddi	jetːi
yeddinci	jetːind͡ʒi
yeddinci	jetːind͡zi
yekə	jet͡ʃæ
yel	jel
yelpik	jelpik
yelpik	jelpij
yelpik	jelpiç
yemək	jemæk
yemək	jemæj
yemək	jemɑχ
yengə	jeŋɡæ
yeni	jeni
yenilməz	jenilmæz
yer	jerʲ
yerləşdirmək	jerlæʃdirmæj
yerləşdirmək	jerːæʃdirmæj
yerləşmək	jerlæʃmæj
yerləşmək	jerːæʃmæj
yersiz	jersiz
yerimək	jerimæk
yerimək	jerimæj
yetmiş	jetmiʃ
yetmişinci	jetmiʃind͡ʒi
yetim	jetim
yetişdirmək	jetiʃdirmæk
yetişdirmək	jetiʃdirmæj
yeznə	jeznæ
yırtıcı	jɯrtɯd͡ʒɯ
yırtıcı	jɯrtɯd͡zɯ
yırtmaq	jɯrtmɑχ
yıxmaq	jɯχmɑχ
yığışdırmaq	jɯɣɯʃdɯrmɑχ
yığışmaq	jɯɣɯʃmɑχ
yığmaq	jɯɣmɑχ
yorulmaq	jorulmɑχ
yorulmaz	joruɫmɑz
yorğan	jorɣɑn
yorğanağı	jorɣɑnɑɣɯ
yorğun	jorɣun
yox	joχ
yoxsa	joχsɑ
yoxsul	joxsuɫ
yumaq	jumɑχ
yumruq	jumruχ
yumruq	jumuruχ
yumurta	jumurtɑ
yumşaq	jumʃaχ
yumşaq	jumuʃaχ
yuva	juvɑ
yuva	uvɑ
yüksək	jyksæk
yükçü	jykt͡ʃy
yükçü	jykt͡sy
yüngül	jynɡyl
yürümək	jyrymæk
yürümək	jyrymæj
yüzüncü	jyzynd͡ʒy
yiyə	jijæ
yiyəsiz	jijæsiz
yəqin	jæɡin
yəqin	jæːɡin
zaman	zɑmɑn
zaqafqaziya	zɑɡɑfkɑzjɑ
zaqafqaziya	zɑɡɑfɡazijɑ
zorakılıq	zorɑkɯlɯχ
zorlama	zorɫɑmɑ
zorlama	zorːɑmɑ
zorlamaq	zorɫɑmɑχ
zorlamaq	zorːɑmɑχ
zəfər	zæfæɾ
zəfəran	zæfærɑn
zəhmət	zæhmæt
zəncir	zænd͡ʒir
zəncir	zænd͡zir
zəncəfil	zænd͡ʒæfil
zəncəfil	zænd͡zæfil
zərər	zærær
zəif	zæif
zəiflik	zæifliç
zəiflik	zæiflij
çalışmaq	t͡ʃɑɫɯʃmɑχ
çalışmaq	t͡sɑɫɯʃmɑχ
çalma	t͡ʃɑɫmɑ
çalma	t͡sɑɫmɑ
çanta	t͡ʃɑntɑ
çanta	t͡sɑntɑ
çaqqı	t͡sɑkːɯ
çatdırmaq	t͡ʃɑtːɯrmɑχ
çatdırmaq	t͡sɑtːɯrmɑχ
çatmaq	t͡ʃɑtmɑχ
çatmaq	t͡sɑtmɑχ
çayxana	t͡ʃɑjχɑnɑ
çayxana	t͡sɑjχɑnɑ
çağ	t͡ʃɑɣ
çağ	t͡sɑɣ
çıxartmaq	t͡ʃɯχɑrtmɑχ
çıxartmaq	t͡sɯχɑrtmɑχ
çıxış	t͡ʃɯχɯʃ
çıxış	t͡sɯχɯʃ
çıxmaq	t͡ʃɯχmɑχ
çıxmaq	t͡sɯχmɑχ
çox	t͡ʃɔχ
çox	t͡sɔχ
çoxlu	t͡ʃɔχlu
çoxlu	t͡ʃɔχlɯ
çoxlu	t͡sɔχlu
çoxlu	t͡sɔχlɯ
çuğundur	t͡ʃuɣundur
çökmək	t͡ʃœkmæj
çökmək	t͡ʃœkmæk
çökmək	t͡sœkmæt͡ʃ
çömçəquyruq	t͡ʃœmt͡ʃæɡujruχ
çörək	t͡ʃœræk
çörək	t͡ʃœræj
çörək	t͡sœræt͡ʃ
çörək	t͡sœræj
çünki	t͡ʃynki
çünki	t͡synki
çünki	t͡ʃynky
çünki	t͡synky
çibin	t͡ʃibin
çibin	t͡sibin
çimizdirmək	t͡ʃimizdirmæk
çimizdirmək	t͡simizdirmæk
çimizdirmək	t͡ʃimizdirmæj
çirk	t͡ʃirk
çirk	t͡sirt͡ʃ
çirkli	t͡ʃirkli
çirkli	t͡sirt͡ʃli
çirkin	t͡ʃirkin
çirkin	t͡sirt͡ʃin
çiy	t͡ʃij
çiy	t͡sij
çiyin	t͡ʃijin
çiyin	t͡sijin
çiyələk	t͡ʃijælæk
çiçək	t͡ʃit͡ʃæk
çiçək	t͡ʃit͡ʃæj
çiçək	t͡sit͡sæk
çiçək	t͡sit͡sæj
çəkmək	t͡ʃækmæk
çəkmək	t͡ʃækmæj
çəkmək	t͡sækmæk
çəkmək	t͡sækmæj
çəkmək	tsæt͡ʃmɑχ
çəkic	t͡ʃækid͡ʒ
çəkic	t͡sæt͡ʃid͡z
çəkilmək	t͡ʃækilmæk
çəkilmək	t͡ʃækilmæj
çəkilmək	t͡sæt͡çilmæt͡ç
çəkilmək	t͡sækilmæj
çəngəl	t͡ʃæŋɡæl
çəngəl	t͡sæŋɡæl
çənə	t͡ʃænæ
çətin	t͡ʃætin
çətin	t͡sætin
ödəniş	œdæniʃ
ögey	œɡej
ögey	œɡæj
öküz	œkyz
öküz	œt͡ʃʂyz
öldürmək	œldyrmæk
öldürmək	œldyrmæj
öldürmək	œldyrmɑχ
ölkə	œlkæ
ölmək	œlmæk
ölmək	œlmɑχ
ölçmək	œlt͡ʃmæk
ölçmək	œlt͡smæk
ölçmək	œlt͡ʃmæj
ölçmək	œlt͡smæj
ölçü	œlt͡ʃy
ölçü	œlt͡sy
ölüm	œlym
öndər	œndær
öpmək	œpmæk
öpmək	œpmæj
öpüş	œpyʃ
öpüşmək	œpyʃmæk
öpüşmək	œpœpyʃmæj
ördək	œrdæk
ördək	œrdæç
ördək	œrdæj
ördəkburun	œrdækburun
örpək	œrpæj
örpək	œrpæç
örtmək	œrtmæk
örtmək	œrtmæj
örtük	œrtyj
örtük	œrtyç
öskürmək	œskyrmæj
öskürmək	œsɡyrmɑχ
ötkəm	œtkæm
ötrü	œtry
övlad	œvlɑd
övlad	evlɑd
övrə	œvræ
öyrənmək	œjrænmæk
öyrənmək	œjrænmæj
öyrətmək	œjrætmæk
öyrətmək	œjrætmæj
ülgü	ylɡy
ülgüc	ylɡyd͡ʒ
ümid	ymid
ümid	ümüd
ünsür	ynsyr
ünvan	ynvɑn
ürək	yræj
ürək	yræç
üstündə	ystyndæ
ütü	yty
üzbəüz	yzbæyz
üzük	yzyk
üzük	yzyj
üçün	yt͡ʃyn
üçün	yt͡syn
üçüncü	yt͡ʃynd͡ʒy
ibrə	ibræ
iclas	id͡ʒɫɑs
iclas	id͡zɫɑs
idmançı	idmɑnt͡ʃɯ
idmançı	idmɑnt͡sɯ
idi	idi
igidlik	iɡidlik
igidlik	iɡidlij
ikiarvadlı	ikiɑrvɑdɫɯ
ikiarvadlılıq	ikiɑrvɑdɫɯlɯχ
ikinci	icind͡ʒi
ilbiz	ilbiz
ildırım	iɫdɯrɯm
ilıq	iɫɯχ
ilk	ilk
ilə	ilæ
imkan	imkʲɑn
imkan	imt͡ʃɑn
inad	inɑd
inadkar	inɑdt̝͡ɕɑr
inadkarlıq	inɑdt̝͡ɕɑrlɯχ
inanc	inɑnd͡ʒ
inanc	inɑnd͡z
inanmaq	inɑmːɑχ
indi	indi
insan	insɑn
intihar	intihɑr
inşaatçı	inʃɑɑt͡ʃːɯ
inşaatçı	inʃɑɑtt͡sːɯ
irlandiyalı	irɫɑndijɑlɯ
iri	iri
irin	irin
irəli	iræli
islandiyalı	isɫɑndijɑlɯ
istedadlı	istedɑdɫɯ
istedadsız	istedɑdsɯz
isti	isti
isti	isːi
istifadə	istifɑːdæ
istiot	istiot
istirahət	istirɑːhæt
istəmək	istæmæk
istəmək	istæmæj
istəmək	istæmej
istəmək	istæmɑχ
isveçli	isvet͡ʃli
isveçli	isvet͡sli
isveçrəli	isvet͡ʃræli
isveçrəli	isvet͡sræli
itaət	itɑæt
itaətsizlik	itɑætsizlik
itburnu	itburnu
itirmək	itirmæk
itirmək	itirmæj
itirmək	itirmej
itirmək	itirmɑχ
itələmək	itælæmæk
itələmək	itælæmæj
iynə	ijnæ
iyirmi	ijirmi
iyirmi	iɡirmi
iyirminci	ijiɾmind͡ʒi
izləmək	izlæmæk
izləmək	izlæmæj
izləmək	izlæmej
izləmək	izlæmɑχ
içkili	it͡ʃkili
içkili	it͡st͡ʃili
içmək	itʃmæc
içizdirmək	it͡ʃizdirmæk
içizdirmək	it͡sizdirmæk
içizdirmək	it͡ʃizdirmæj
içəri	it͡ʃæri
içəri	it͡særi
işıq	iʃɯχ
işləmək	iʃlæmæk
işləmək	iʃtæmæj
işləmək	iʃtæmej
işləmək	iʃlæmɑχ
iştibah	iʃtibɑh
iştirak	iʃtirɑk
işçi	iʃt͡ʃi
işçi	iʃt͡si
şad	ʃɑd
şagird	ʃɑˑɡird
şagird	ʃɑˑɡir
şahmat	ʃɑhmɑt
şapalaq	ʃɑpɑɫɑχ
şair	ʃɑːir
şer	ʃeir
şer	ʃer
şeir	ʃejir
şüar	ʃyɑr
şüar	ʃuɑr
şüur	ʃyuːr
şüşə	ʃyʃæ
şimşək	ʃimʃæk
şimşək	ʃimʃæj
şirkət	ʃirkʲæt
şişirtmək	ʃiʃirmæk
şişirtmək	ʃiʃirmæj
şəhər	ʃæhæɾ
şəkil	ʃækil
şəkər	ʃæçæɾ
şənbə	ʃæmbæ
şəxsiyyət	ʃæχsijæt
əbədiyyət	æbædijæt
ədat	ædat
ədviyyəli	ædvijæli
əfsanəvi	æfsɑːnævɪː
əgər	æɡʲæɾ
əgər	æɡʲær̥
əgər	æjæɾ
əgər	æd͡ʒær
əjdaha	æʒdɑhɑː
əkmək	ækmæk
əkmək	ækmæj
əksəriyyət	æksærijæt
əkinçi	ækɪint͡ʃi
əkinçi	ækɪint͡si
əla	æːɫɑ
əlaqə	æɫɑːɡæ
əlaçı	æːɫɑt͡ʃɯ
əlaçı	æːɫɑt͡sɯ
əlcək	æld͡ʒæk
əlcək	æld͡zæk
əlcəzair	ældʒæzɑːiɾ
əlcəzairli	ældʒæzɑːiɾli
əlli	ælli
əllinci	ællind͡ʒi
əlüstü	ælysty
əliyalın	ɑælijɑɫɯn
əmcək	æmd͡ʒæj
əmcək	æmd͡zæj
əmn	æmn
əmr	æmr
əmi	æmi
əmək	æmæk
əmək	æmæj
əməl	æmæl
ənis	ænis
ər	æɾ
ərimək	ærimæk
ərimək	ærimæj
əriş	æriʃ
əsarət	æsɑːræt
əsgər	æskær
əski	æski
əsnəmək	æsnæmæk
əsnəmək	æsnæmæj
əsir	æsir
əsər	æsær
əsər	æsær̥
ət	æt
əvvəl	ævːæl
əzizə	æzizæ
əşya	æʃjɑ
једди	jeddi
јүз	jyz
јүзүнҹү	jyzynd͡ʒy
тысбаға	tɯsbɑɣɑ
тысбаға	tɯsbɑːɑ
түлкү	tylcy
улдуз	uɫdúz
филм	film
чијәләк	t͡ʃijælæc
шаһмат	ʃɑhmɑt
шәһәр	ʃæhæɾ
ҝүнәш	ɡʲynæʃ
ҝәми	ɡʲæmi
ҝөјдәлән	ɡʲœjdælæn
һөрүмчәк	hœrymt͡ʃæc
әр	æɾ
آدا	adá
آرخیو	ɑɾxiv
ار	æɾ
بێچاق	bɯtʃɑːɡ
توراتان	torʌtʌn
تۆلکۆ	tylcy
دالغا	dɑɫɣɑ
دوندورما	dɔnduɾmɑ
زلزله	zælzælæ
سامیسئن	sɑmɪsen
ظفر	zæfæɾ
فیلم	film
مدرسە	mædræsæ
میسمار	mismɑɾ
هؤرومچک	hœrymt͡ʃæc
کؤلگه	cœlɟæ
کرتنکله	kærtænkælæ
کلبتین	cælbætɪn
گونش	ɡʲynæʃ
