!kung	kʌŋ
!kung	ǃkʌŋ
appalachia	æpəlætʃə
appalachian	æpəleɪtʃən
appalachian	æpəlætʃən
appalachians	æpəleɪʃənz
appalachians	æpəleɪtʃənz
appalachians	æpəlætʃənz
appall	əpɔl
appallingly	ʌpɑlɪŋli
appaloosa	æpəlusə
apparatchik	apəɹatʃɪk
apparatchik	æpəɹæt͡ʃɪk
apparatus	æpəɹeɪtəs
apparatus	æpəɹætəs
apparatus	æpəɹɑːtəs
apparel	əpæɹəl
apparel	ʌpæɹəl
apparel	ʌpɛɹəl
apparent	əpæɹənt
apparent	əpæɹənt
apparent	əpɛɹənt
apparently	əpaɹəntli
apparently	əpæɹɨntli
apparition	æpəɹɪʃn̩
apparition	æpɚɪʃn̩
apparition	æpɚɪʃən
appeal	əpiːl
appealed	əpiːld
appealing	ʌpiəlɪŋ
appealingly	əpɪilɪŋli
appear	əpɪə
appear	əpɪɹ
appear	əpiːɹ
appearance	əpɪəɹəns
appearance	əpɪɹəns
appeared	əpɪɹd
appeared	əpɪəd
appeared	əpiːɹd
appearing	əpɪəɹɪŋ
appears	əpɪəz
appears	əpɪɹz
appears	əpiːɹz
appease	əpiːz
appeasement	əpɪizmənt
appel	əpɛl
appel	əpɛl
appel	ɑpɛl
äppel	æpəl
appellant	əpɛln̩t
appellate	əpɛlət
appellation	æpəleɪʃən
appellee	æpəli
appellee	æpəli
append	ʌpɛnd
append	əpɛnd
appendical	əpɛndɪkəl
appendicitis	əpɛndɪsaɪtəs
appendix	əpɛndɪks
appendment	əpɛndmənt
apperception	æpəsɛpʃən
apperception	æpɚsɛpʃən
appertain	æpɚteɪn
appetence	æpɪtəns
appetite	æpətaɪt
appetitive	æppɛtaɪtɪv
appetizing	æpətaɪzɪŋ
appetizingly	æpətaɪzɪŋli
appian	æpiən
applaud	əplɔːd
applaud	əplɔd
applaud	əplɑd
applause	əplɔːz
applause	əplɔz
applause	əplɑz
applauseometer	əplɔːzəʊmiːtə
apple	æpəl
apple	æpəl
appled	æpəld
apples	æpl̩z
apples	æpəlz
appley	æpl̩iː
appliable	əplʌɪəbəl
appliance	əplaɪəns
applicable	æplɪkəbəl
applicable	əplɪkəbəl
applicant	æpləkɪnt
application	æplɪkeɪʃən
application	aplɪkeɪʃən
application	æpləkeɪʃən
applied	əplaɪd
applique	əpliːkeɪ
applique	æplɪkeɪ
applique	æplɪkeɪ
apply	əplaɪ
apply	æpəli
appoggiatura	əpɒdʒətʊɹə
appoint	əpɔɪnt
appointed	əpɔɪntɪd
appointee	əpoɪntiː
appointment	əpɔɪntmɛnt
appointment	əpɔɪntmɪnt
appom	ɑpɒm
apport	əpɔːt
apport	əpɔɹt
apportion	əpɔːʃən
apportion	əpɔɹʃən
apposite	apəzɪt
apposite	æpəzɪt
apposite	əpɒzɪt
appraisal	əpɹeɪzəl
appraisals	əpɹeɪzəlz
appraise	əpɹeɪz
appraised	əpɹeɪzd
appraises	əpɹeɪzɪz
appraising	əpɹeɪzɪŋ
appraisings	əpɹeɪzɪŋz
appreciable	əpɹiːʃəbl
appreciate	əpɹiːʃieɪt
appreciate	əpɹiːsieɪt
appreciate	əpɹɪʃieɪt
appreciation	əpɹiːʃieɪʃən
appreciatively	ʌpɹiʃətɪvli
apprehend	æpɹihɛnd
apprehension	æpɹɪhɛnʃən
apprehension	æpɹihɛnʃən
apprentice	əpɹɛntɪs
apprise	əpɹaɪ̯z
approach	əpɹoʊt͡ʃ
approach	əpɹəʊt͡ʃ
approached	əpɹoʊtʃt
approached	əpɹəʊtʃt
approaching	əpɹoʊtʃɪŋ
approaching	əpɹəʊtʃɪŋ
approbation	æpɹəʊbeɪʃən
approbation	æpɹəbeɪʃən
approbation	æpɹoʊbeɪʃən
approbation	æpɹəbeɪʃən
approbative	æpɹəbeɪtɪv
approbative	əpɹəʊbeɪtɪv
approbative	æpɹəbeɪtɪv
approbative	əpɹoʊbeɪtɪv
appropriate	əpɹəʊpɹiːɪt
appropriate	əpɹəʊpɹiːət
appropriate	əpɹoʊpɹiɪt
appropriate	əpɹoʊpɹiət
appropriate	əpɹəʊpɹiːeɪt
appropriate	əpɹoʊpɹieɪt
appropriation	əpɹoʊpɹieɪʃən
approval	əpɹuːvəl
approval	əpɹuvəl
approve	əpɹuːv
approved	əpɹuːvd
approves	əpɹuːvz
approving	ʌpɹuvɪŋ
approximant	əpɹɑksɪmənt
approximant	ʌpɹɔksɪmənt
approximate	əpɹɒksɪmət
approximate	əpɹɑksəmət
approximate	əpɹɑksɪmət
approximate	əpɹɒksɪmeɪt
approximate	əpɹɑksəmeɪt
approximately	əpɹɑksɪmətli
approximately	əpɹɒksɪmətli
approximation	əpɹɒksɪmeɪʃn
approximation	əpɹɑksɪmeɪʃn
appulse	æpʌls
apraxia	əpɹæksɪə
apricate	æpɹɪkeɪt
apricate	æpɹikeɪt
aprication	æpɹɪkeɪʃən
aprication	æpɹikeɪʃən
apricot	eɪpɹɪkɒt
apricot	eɪpɹɪkɒt
apricot	æpɹɪkɒt
april	eɪpɹɪl
april	eɪpɹəl
april	eɪpɹəl
aprils	eɪpɹəlz
apron	eɪpɹən
aprons	eɪpɹənz
apropos	æpɹəpəʊ
apropos	æpɹəpoʊ
aprosdoketon	æpɹəsdɑkɪtɑn
aprosdoketon	əpɹɑsdəkitɑn
aprosopia	æpɹəsəʊpɪə
apse	æps
apsis	æpsɪs
apt	æpt
apter	æptə
apter	æptɚ
aptitude	æptɪtjuːd
aptly	æptli
aptness	æptnəs
aptonym	æptoʊnɪm
aptonym	æptənɪm
aptonyms	æptoʊnɪmz
aptonyms	æptənɪmz
aptotic	æptɒtɪk
apuleius	æpjuliəs
apulian	əpuːliːən
apus	eɪpəs
apush	eɪpʊʃ
aqaba	ækəbə
aqua	ækwə
aqua	ɑkwə
aquabib	ækwəbɪb
aquafaba	ɑːkwəfɑːbə
aquafaba	ækwəfɑːbə
aquafauna	ækwəfɔːnə
aquamarine	ækwəməɹiːn
aquaponics	ækwəpɒnɪks
aquaponics	ɑkwəpɑnɪks
aquaponics	ækwə-
aquarius	əkwɛəɹɪəs
aquarius	əkwɛɹɪəs
aquatecture	ɑkwətɛktʃɚ
aquatic	əkwɑtɪk
aquatic	əkwætɪk
aquatic	əkwɒtɪk
aquatic	əkwætɪk
aquatic	ɘkwɔtɘk
aqueduct	ækwɪdʌkt
aqueduct	ækwədʌkt
aqueduct	ɑkwədʌkt
aqueous	ækwiəs
aqueous	eɪkwiəs
aquifer	ɑkwɪfɝ
aquifer	ækwɪfɝ
aquila	ækwɪlə
aquiline	ækwɪlaɪn
ar	ɑː
ar	ɑɹ
ar	ɑɹə
arab	æɹəb
arab	ɛɹəb
arab	eɪɹæb
arabesque	æɹəbɛsk
arabesque	æɹəbɛsk
arabetic	æɹəbɛtɪk
arabia	əɹeɪbiə
arabian	əɹeɪbiən
arabic	æɹəbɪk
arabic	æɹəbɪk
arabic	ɛɹəbɪk
arabica	ə-ɹăbĭ-kə
arabist	aɹəbɪst
arable	æɹəbl̩
arabness	æɹəbnəs
arabness	eɪɹəbnəs
arabs	ɛɹəbz
arabs	eɪɹæbz
aracari	aɹəsɑːɹi
aracari	aɹəkɑːɹi
aracari	ɑːɹəsɑːɹi
arachne	əɹækni
arachnid	əɹæknɪd
arachnidism	əɹæknɪdɪzm
arachnoidian	əɹæknɔɪdɪən
arachnolysin	æɹæknəlaɪsɪn
arachnophobia	æɹæknəfəʊbɪə
aragon	æɹəɡən
aragon	eɹəɡɑːn
aramaean	æɹəmiːən
aramaic	æɹəmeiɪk
aran	æɹən
arancino	æɹəntʃiːnəʊ
arancino	ɑɹəntʃinoʊ
arans	æɹənz
arapaho	əɹæpəhoʊ
araphostic	æɹəfɑstɪk
ararat	æɹəɹæt
aras	æɹæs
arational	eɪɹaʃənəl
aratus	əɹeɪtəs
araucaria	arɔːkɛːriə
araxes	əɹæksiːz
arbela	ɑːbiːlə
arbela	ɑːɹbiːlə
arbëresh	ɑːbəɹɛʃ
arbiter	ɑːbɪtəɹ
arbitrage	ɑːɹbɪtɹɑːʒ
arbitrage	ɑːɹbɪtɹɪdʒ
arbitrageur	ɑːɹbɪtɹɑʒɝɹ
arbitral	ɑːbɪtɹəl
arbitrament	ɑːbɪtɹəmənt
arbitrary	ɑːbɪtɹəɹi
arbitrary	ɑːbɪtɹi
arbitrary	ɑɹbɪtɹɛəɹi
arblast	ɑːblɑːst
arboreal	ɑɹbɔɹiəl
arborescent	ɑːbəɹɛsənt
arborescent	ɑːɹbəɹɛsənt
arboretum	ɑːɹbəɹiːtəm
arboriculture	ɑːɹbɔːɹɨkʌlt͡ʃɚ
arboriculture	ɑːbɒɹɪkʌlt͡ʃə
arborio	ɑːbɔːɹɪəʊ
arborio	ɑɹbɔɹioʊ
arborvitae	ɑɹbɚvaɪti
arborvitae	ɑɹbɚvaɪtə
arbroath	ɑːɹbɹoʊθ
arbuscle	ɑːbʌsəl
arbuscular	ɑːbʌskjələ
arbuscular	ɑːbʌskjʊlə
arc	ɑːk
arc	ɑɹk
arcade	ɑɹkeɪd
arcade	ɑːkeɪd
arcadia	ɑɹkeɪdiə
arcadian	ɑːɹkeɪdiən
arcadian	ɑɹkeɪdiən
arcana	ɑɹkeɪnə
arcana	ɑɹkɑːnə
arcane	ɑɹkeɪn
arcanum	ɑɹkeɪnəm
arcanum	ɑɹkɑːnəm
arced	ɑːkt
arceneaux	æɹsənoʊ
arch	ɑ˞tʃ
arch	ɑ˞k
archaeographist	ɑːkiːɒɡɹəfɪst
archaeography	ɑːkiːɒɡɹəfɪ
archaeolinguistics	ɑɹkiəlɪŋɡwɪstɪks
archaeology	ɑːɹkiɒlədʒi
archaeology	ɑɹkiɑlədʒi
archaeophyte	ɑːɹkiːəfaɪt
archaeophyte	ɑːɹkiəfaɪt
archæopteryges	ɑːkiːɒptɛɹɪdʒiːz
archaic	ɑːkeɪɪk
archaic	ɑɹkeɪɪk
archaism	ɑːɹkeɪɪzəm
archaism	ɑːɹkiɪzəm
archaistic	ɑːkeɪɪstɪk
archangel	ɑːɹkeɪndʒəl
archbishop	ɑːɹtʃbɪʃəp
archbishop	ɑɹtʃbɪʃəp
archbishophood	ɑːtʃbɪʃəphʊd
archchancellor	ɑːtʃtʃɑːnsələ
archchancellor	ɑɹtʃtʃænsəlɚ
archchancellor	ɑɹtʃtʃænslɚ
archdiocesan	ɑɹtʃdaɪɑsɪsən
archdiocese	ɑːtʃdaɪəsɪs
archdiocese	ɑɹtʃdaɪəsɪs
archducal	ɑːtʃdjuːkəl
arched	ɑɹtʃt
archeology	ɑɹkɪɒlɘdʒɪ
archeopteryx	ɑɹkiɒptəɹɪks
archeopteryx	ɑːkiːɒptəɹɪks
archer	ɑːɹtʃəɹ
archer	ɑɹtʃɚ
archeress	ɑːtʃəɹɪs
archery	ɑɹtʃəɹiː
archery	ɑːtʃəɹiː
archetype	ɑːkɪtaɪp
archetype	ɑɹkɪtaɪp
archeus	ɑːkiːəs
archi	ɑːɹtʃiː
archiater	ɑɹkieɪtɚ
archiater	ɑːkieɪtə
archibald	ɑːɹtʃɪbɔːld
archibald	ɑːɹtʃɪbəld
archidiaconal	ɑːkɪdʌɪakənəl
archie	ɑːtʃi
archie	ɑɹtʃi
archie	ɑːki
archie	ɑɹki
archimage	ɑːkɪmeɪdʒ
archimandrite	ɑːkɪmændɹaɪt
archimedean	ɑːkɪmiːdiən
archimedean	ɑːɹkɪmiːdiən
archimedes	ɑːkɪmiːdiːz
archimedes	ɑːɹkɪmiːdiːz
archimime	ɑːkɪmaɪm
archipelagic	ɑːkɪpəlædʒɪk
archipelago	ɑːkɪpɛləɡəʊ
archipelago	ɑɹkɪpɛləɡoʊ
architect	ɑːkɪtɛkt
architect	ɑɹkɪtɛkt
architectress	ɑɹkɪtɛktɹəs
architectress	ɑːkɪtɛktɹəs
architectural	ɑɹkɪtɛktʃəɹəl
architectural	ɑɹkɪtɛktjəɹəl
architecture	ɑːkɪtɛktʃə
architecture	ɑɹkɪtɛktʃɚ
architranseme	ɑːkɪtɹænziːm
architranseme	ɑːkɪtɹɑːnziːm
architranseme	ɑːɹkɪtɹænziːm
architrave	ɑɹkɪtɹeɪv
archive	ɑːkaɪv
archive	ɑɹkaɪv
archivist	ɑːɹkəvɪst
archivist	ɑːɹkaɪvɪst
archology	ɑːkɒlədʒɪ
archon	ɑːɹkən
archontes	ɑːkəntɛz
archontology	ɑːkɒntɒləd͡ʒɪ
archy	ɑɹtʃi
archy	ɑɹki
arcing	ɑɹkɪŋ
arcing	ɑːkɪŋ
arctic	ɑːktɪk
arctic	ɑɹktɪk
arctician	ɑɹktɪʃən
arcturus	ɑɹktjʊəɹəs
arcweld	ɑɹkwɛld
ard	ɑɹd
ard	ɑːd
ardent	ɑːdənt
ardent	ɑɹdənt
ardor	ɑːdə
ardor	ɑːɹdəɹ
ardor	ɑːɹdəɹ
arduity	ɑːdjuːɪti
arduous	ɑːdjuːəs
arduous	ɑːɹd͡ʒuəs
arduousness	ɑːdjuːəsnəs
are	ɑːɹ
are	ɑɹ
are	ɐːɹ
are	ɛəɹ
are	ɛːɹ
are	aʊɚ
are	aʊə
are	əɹ
are	ɘɹ
are	ɚ
are	ɛə
are	ɛː
are	ɛəɹ
are	ɛɹ
area	ɛə̯ɹɪə̯
area	æɹiə
area	ɛɹiə
arefaction	æɹɪfækʃən
arena	əɹiːnə
arenas	əɹiːnəz
aren'chu	ɑːntʃuː
aren't	ɑːnt
aren't	ɑːɹnt
areola	əɹiələ
areola	əɹiələ
areola	ɛɹioʊlə
areola	æɹioʊlə
areopagite	æɹiːɒpəɡaɪt
ares	eəɹiːz
arete	æɹɪtiː
arête	əɹɛt
arête	əɹeɪt
arethusa	æɹɨθjuːzə
arezzo	əɹɛtsəʊ
argad'z	ɑɹɡædz
argent	ɑːdʒənt
argent	ɑɹdʒənt
argentina	ɑːd͡ʒəntiːnə
argentina	ɑɹd͡ʒəntinə
argentinan	ɑɹdʒɨntiːnən
argentine	ɑːɹdʒəntiːn
argentine	ɑːɹdʒəntaɪn
argentine	ɑːdʒəntaɪn
argentine	ɑːdʒəntiːn
argentinian	ɑɹdʒɨntɪniən
argentinian	ɑɹdʒɨntiːniən
argentocracy	ɑːd͡ʒəntɒkɹəsɪ
argh	ɑɹː
argh	ɑɹɡ
argillaceous	ɑːdʒɪleɪʃəs
arginine	ɑɹɡɪniːn
arginyl	ɑɹdʒənɪl
argive	ɑɹɡaɪv
argive	ɑːɡaɪv
argive	ɐːɡɒev
argon	ɑːɹɡɒn
argot	ɑːɡəʊ
argot	ɑɹɡoʊ
argot	ɑɹɡət
arguable	ɑːɡjuəbl
arguable	ɑɹɡjuəbl
argue	ɑːɡjuː
argue	ɑɹɡju
argument	ɑːɡjʊmənt
argument	ɑɹɡjumənt
argument	ɑɹɡjʊmənt
argument	ɑɹɡjəmənt
argumenta	ɑːɡjuːmɛntə
argumentative	ɑːrɡjʊmɛntətɪv
arguments	ɑːɡjʊmənts
arguments	ɑɹɡjəmənts
argumentum	ɑːɡjuːmɛntəm
argumentum	aɹɡuːmentum
argute	ɑːɡjuːt
argutely	ɑːɡjuːtli
argyle	ɑːɡaɪl
argyle	ɑ˞ɡaɪl
arhat	ɑːhæt
arhythmical	əɹɪðmɪkəl
arhythmical	eɪɹɪðmɪkəl
aria	ɑːɹɪə
ariadne	æɹiædni
ariadne	æɹiædni
arian	ɛəɹiən
arianism	ɛəɹɪənɪzəm
arians	ɛəɹɪənz
arid	æɹɪd
arid	æɹɪd
arid	ɛəɹɪd
arie	ɑːɹiɛ
aries	ɛəɹiːz
aries	ɛɹiz
arietiform	ɛəriɛtɪfɔːrm
arigato	ɑɹiɡɑtoʊ
aright	əɹʌɪt
aright	əɹaɪt
arikara	ərɪkərə
ariose	ɒɹiːəʊs
ariose	æ-
ariose	ɑɹioʊs
ariose	æ-
arise	əɹaɪz
arised	əɹaɪzd
arisen	əɹɪzən
arises	əɹaɪzɪz
arising	əɹaɪzɪŋ
aristaeus	æɹɨstiːəs
aristarch	æɹɪstɑːk
aristocracy	æɹɪstɒkɹəsi
aristocracy	ɛɹɪstɑkɹəsi
aristocrat	æɹɪstəkɹæt
aristocrat	əɹɪstəkɹæt
aristocratic	æɹɪstəkɹætɪk
aristolochic	əɹɪstəloʊkɪk
aristophanes	æɹɪstɒfəniːz
aristophanes	ɛɹɪstɑfəniz
arithmetic	əɹɪθmətɪk
arithmetic	æɹɪθmɛtɪk
arithmetician	əɹɪθmətɪʃən
arity	æɹɪti
arity	eəɹɪti
arius	ɛəɹiəs
arizona	æɹɪzoʊnə
arizona	ɛɹɪzoʊnə
arizona	æɹɪzəʊnə
arizonite	aɹɪzəʊnʌɪt
arizonite	æɹəzoʊnaɪt
ark	ɑːk
ark	ɑɹk
arkansan	ɑːɹkənsɔːn
arkansas	ɑɹkənsɔ
arkansas	ɑɹkænzəs
arkansasan	ɑːɹkənsɔːn
arlo	ɑːɹloʊ
arm	ɑːm
arm	ɑɹm
armada	ɑːmɑːdə
armada	ɑːɹmɑːdə
armada	ɑːmɑːdə
armadillo	ɑɹmədɪloʊ
armadillo	ɑːmədɪləʊ
armageddon	ɑːɹməɡɛdn̩
armageddon	-ɡɛdən
armageddon	ɑɹməɡɛdn̩
armageddon	-ɡɛdən
armageddon	ɑːɹməɡɛdn̩
armageddon	-ɡɛdən
armageddon	ɑɹməɡɛdn̩
armageddon	-ɡɛdən
armagh	ɑɹmɑː
armagh	ɑːmɑː
armagh	aːɹmaː
armatole	ɑːmətəʊl
armatole	ɑɹmətoʊl
armchair	ɑːɹmtʃɛəɹ
armchair	ɑɹmtʃɛɚ
armed	ɑɹmd
armed	ɑːmd
armed	ɑːɹmɪd
armenia	ɑːmiːniə
armenia	ɑɹminiə
armenian	ɑːmiːniən
armenian	ɑːɹmiːniən
armful	ɑːrmfʊl
armhole	ɑɹmhoʊl
armies	ɑɹmiz
armies	ɑːmiz
armiger	ɑːmɪdʒə
armiger	ɑːɹmɪdʒəɹ
armigerous	ɑːmɪdʒəɹəs
armigerous	ɑɹmɪdʒɚəs
armistice	ɑːmɪstɪs
armistice	ɑɹmɪstɪs
armistice	-məstəs
armistice	ɑːmɪstɪs
armistice	ɑɹmɪstɪs
armistice	-məstəs
armlet	ɑːmlət
armoire	ɑːmwɑː
armoire	ɑɹmwɑɹ
armor	ɑːɹmɚ
armor	ɑːmə
armorica	ɑːmɒɹɪkə
armour	ɑːmə
armour	ɑːɹmɚ
armpit	ɑɹmpɪt
arms	ɑɹmz
arms	ɑːmz
armshouse	ɑːmzhaʊs
armshouse	ɑɹmzhaʊs
army	ɑːmiː
army	ɑɹmi
arnold	ɑɹnəld
aroint	əɹɔɪnt
aroma	əɹəʊmə
aroma	əɹoʊmə
aromanian	æɹəʊmeɪnɪən
aromanian	æɹoʊmeɪniən
aromantic	eɪɹəʊmantɪk
aromatase	əɹoʊ̯məteɪ̯s
aromatase	əɹoʊ̯məteɪ̯z
aromatic	æɹəmætɪk
arose	əɹoʊz
around	əɹaʊnd
around	əɹæwnd
arousal	əɹaʊzəl
arouse	əɹaʊz
aroused	əɹaʊzd
arousing	əɹaʊzɪŋ
arpanet	ɑɹpənɛt
arpeggio	ɑɹpɛdʒioʊ
arpitan	ɑɹpitən
arquebus	ɑːkwɨbəs
arquebus	ɑɹkwɨbəs
arquebus	ɑɹkɨbəs
arr	ɑːɹ
arrabbiata	aɹəbjɑːtə
arrabbiata	ɑɹəbiɑːtə
arraign	əɹeɪn
arraigned	əɹeɪnd
arraigning	əɹeɪnɪŋ
arraigns	əɹeɪnz
arran	æɹən
arrange	əɹeɪndʒ
arranged	əɹeɪndʒd
arrangement	əɹeɪnd͡ʒmənt
arrangements	əɹeɪnd͡ʒmənts
arranges	əɹeɪndʒɪz
arranging	əɹeɪndʒɪŋ
arrangings	əɹeɪndʒɪŋz
arrant	æɹənt
arrant	æɹənt
arrant	ɛɹənt
arras	æɹəs
array	əɹeɪ
array	æɹɛ͡ɪ
arrayed	əɹeɪd
arrays	əɹeɪz
arrear	əɹɪə
arrears	əɹɪəɹz
arrect	əɹekt
arrest	əɹɛst
arrested	əɹɛstɪd
arretine	æɹɪtaɪn
arrey	əɹeɪ
arrhizal	əɹaɪzəl
arrhythmia	eɪɹɪðmɪə
arrhythmia	əɹɪðmiə
arris	æɹɪs
arrival	əɹaɪvəl
arrivals	əɹaɪvəlz
arrive	əɹaɪv
arrived	əɹaɪvd
arrivederci	əɹiːvədɛətʃi
arrives	əɹaɪvz
arriving	əɹaɪvɪŋ
arrivisme	æɹɪvɪzəm
arriviste	æɹɪviːst
arrogance	æɹəɡəns
arrogance	æɹoʊɡəns
arrogancy	aɹəɡənsi
arrogant	æɹəɡənt
arrow	æɹəʊ
arrow	æɹoʊ
arrow	ɛəɹoʊ
arrow	ɛɹoʊ
arrowroot	æɹəʊɹuːt
arrowroot	æɹoʊɹut
arrows	æɹəʊz
arrows	ɛɹoʊz
arroyo	əɹɔɪəʊ
arroyo	əɹɔɪoʊ
arsaces	ɑɹsəsiz
arsaces	ɑɹseɪsiz
arsaces	ɑːsəsiz
arsaces	ɑːseɪsiz
arsacid	ɑɹsəsɪd
arse	ɑːs
arse	ɐːs
arse	ɑɹs
arsecheek	ɑːstʃik
arsecheek	ɑɹstʃik
arsed	ɑːst
arsedine	ɑːɹsədin
arsedine	ɑːɹsədaɪn
arsenal	ɑːɹsənəl
arsenal	ɑːɹsnəl
arsenic	ɑːɹsənɪk
arsenic	ɑɹsənɪk
arsenic	ɑːɹsɛnɪk
arsenic	ɑɹsɛnɪk
arsenical	ɑːsɛnɪkl̩
arsenide	aɹsənaɪd
arsesmart	ɑːsmɑːt
arson	ɑɹsən
arson	ɑːsən
arsonist	ɑɹsənəst
arsonist	ɑːsənɪst
arsphenamine	ɑːsfɛnəmaɪn
arsphenamine	ɑːsfɛnəmiːn
art	ɑːt
art	ɑɹt
artaxerxes	ɑːtəzɜːksiːz
artel	ɑːtɛl
artemis	ɑɹtəmɪs
artemisia	ɑːtɪmɪzɪə
arteriosclerosis	ɑɹtiɹioʊsklɚoʊsəs
artery	ɑːtəɹi
artery	ɑɹtəɹɪ
artful	ɑːɹtfəl
arthralgia	ɑːθɹældʒiə
arthralgia	ɑɹθɹældʒiə
arthritic	ɑːɹθɹɪtɪk
arthritis	ɑːɹθɹaɪtɪs
arthropodean	ɑːθɹəpɒdiːən
arthur	ɑːθəɹ
arthur	ɑɹθəɹ
artic	ɑɹtɪk
artichoke	ɑɹtɪtʃəʊk
artichoke	ɑːtɪtʃəʊk
article	ɑːtɪkəl
article	ɑɹtɪkəl
article	ɑɹtəkl̩
articles	ɑɹtɪkəlz
articles	ɑːtɪkəlz
articulate	ɑːɹtɪkjʊlət
articulate	ɑːɹtɪkjələt
articulate	ɑːɹtɪkjʊleɪt
articulate	ɑːɹtɪkjəleɪt
articulation	ɑːtɪkjəleɪʃən
articulation	ɑɹtɪkjəleɪʃən
artifact	ɑːtɪfækt
artifact	ɑɹtɪfækt
artifice	ɑːɹtɪfɪs
artificer	ɑɹtɪfəsəɹ
artificial	ɑːɹtəfɪʃəl
artificiality	ɑːɹtɪfɪʃiælɪti
artillery	ɑːtɪləɹi
artillery	ɑɹtɪləɹi
artina	ɑɹtinə
artiodactyl	ɑːtɪəʊdaktɪl
artisan	ɑːɹtɪzən
artisan	ɑːɹtɪzæn
artisan	ɑɹtɪzən
artisan	ɑɹtɪsən
artisanal	ɑːtɪzənəl
artist	ɑːtɪst
artist	ɑɹtɪst
artistic	ɑɹtɪstɪk
artistic	ɑːtɪstɪk
artists	ɑːtɪsts
artists	ɑɹtɪsts
artless	ɑɹtlɪs
arts	ɑɹts
arts	ɑːts
artsy	ɑɹtsi
artwork	ɑːtwɜːk
artwork	ɑɹtwɝk
aruba	æɹuːbə
arugula	əɹuɡələ
arum	ɛəɹəm
arundel	æɹəndəl
arvanite	ɑːvənaɪt
arvanitic	ɑːvənɪtɪk
arvanitika	ɑːvənɪtɪkə
arverni	ɑːrvɜːrnaɪ
arvo	ɐːvəʉ
arvo	ɑːɹvəʊ
aryan	ɛəɹiən
aryan	ɛəɹjən
aryan	ɑɹiən
aryan	ɑɹjən
as	æz
as	əz
as	æs
as	eɪz
as	æz
asac	eɪsæk
asafoetida	æsəfɛtɪdə
asail	əseɪl
asana	ɑːsənə
asap	eɪɛseɪpi
asap	eɪsæp
ásatrú	ɑsɑtɹu
asbestos	æsbɛstɒs
asbestos	æsbɛstəs
asbestos	æzbɛstəs
asbestosis	æsbɛstəʊsɪs
asbo	æzbəʊ
ascanius	æskeɪniəs
ascend	əsɛnd
ascended	əsɛndɪd
ascent	əsɛnt
ascertain	æsəteɪn
ascertain	æsɚteɪn
ascertainable	æsəteɪnəbl̩
ascertainable	æsɚteɪnəbl̩
ascertained	æsɚteɪnd
ascertained	æsəteɪnd
asceses	əsiːsiːz
asceses	əsisiz
asceses	æ-
asceses	əskiːsiːz
asceses	æ-
ascesis	əsiːsɪs
ascesis	əsisɪs
ascesis	æ-
ascesis	əskiːsɪs
ascesis	æ-
ascetic	əsɛtɪk
asceticism	əsɛtəsɪzəm
asceticist	əsɛtəsɪst
äscht	æʃt
ascii	æski
ascii	æski
asclepius	əskliːpiəs
asclepius	æskliːpiəs
ascot	æskət
ascribe	əskɹaɪb
ascribed	əskɹaɪbd
ascribes	əskɹaɪbz
ascribing	əskɹaɪbɪŋ
asean	æziɑn
asean	ɑziɑn
aseity	əsiːɪti
aseptic	əsɛptɪk
asexual	eɪsɛkʃuəl
asgard	æsɡɑɹd
asgard	æzɡɑɹd
asgard	ɑsɡɑɹd
asgard	ɑzɡɑɹd
ash	æʃ
ashame	əʃeɪm
ashamed	əʃeɪmd
ashanti	əʃɑːntiː
ashanti	əʃæntiː
ashed	æʃt
ashen	æʃɪn
asher	æʃɚ
asher	æʃə
ashes	æʃɪz
ashes	æʃəz
ashfield	æʃfiːld
ashford	æʃfəd
ashkenazi	æʃkɪnɑːzi
ashkenazi	æʃkɪnəziː
ashkenazi	ɑːʃkɪnɑːzi
ashkenazi	ɑːʃkɪnəziː
ashkenazim	æʃkɪnɑːzɪm
ashkenazim	æʃkɪnəzɪm
ashkenazim	ɑːʃkɪnɑːzɪm
ashkenazim	ɑːʃkɪnəziːm
ashlar	æʃlə
ashlar	æʃlɚ
ashley	æʃli
ashoka	əʃoʊkə
ashoka	əʃəʊkə
ashore	əʃɔɹ
ashore	əʃɔː
ashore	əʃoːɹ
ashore	əʃoə
ashplant	æʃplænt
ashtray	æʃtɹeɪ
ashy	æʃi
asia	eɪʒə
asia	eɪʃə
asian	eɪʒən
asian	eɪʃən
aside	əsaɪd
asides	əsaɪdz
asinine	æsɪnaɪn
asinine	æsənaɪn
ask	ɑːsk
ask	ask
ask	ɑːks
ask	æsk
ask	eəsk
ask	æks
askance	əskæns
askance	əskɑːns
askance	əskæns
asked	ɑːskt
asked	æskt
asker	æskɚ
asker	ɑːskə
askers	æskɚz
askers	ɑːskəz
askeses	əskiːsiːz
askeses	əskisiz
askeses	æ-
askesis	əskiːsɪs
askesis	əskisɪs
askesis	æ-
askew	əskjuː
asking	æskɪŋ
asking	ɑːskɪŋ
asking	askɪŋ
asking	eəskɪŋ
asking	æksɪŋ
asks	ɑːsks
asks	æsks
asmara	æsmɑːɹə
asmrtist	eɪɛsɛmɑːtɪst
asmrtist	eɪɛsɛmɑɹtɪst
asmrtist	-ɾɪst
asocial	eɪsəʊʃəl
asparaginyl	æspəɹædʒɪnəl
asparagus	əspɛɹəɡəs
asparagus	əspæɹəɡəs
asparagus	əspæɹəɡəs
aspartame	əspɑːteɪm
aspartame	æspəɹteɪm
aspartamine	æspɑːɹtəmiːn
