aalenian	aːlenian
eram	eram
erați	erat͡sʲ
erau	eraw
erecție	ɛrɛktsijɛ
erogen	erod͡ʒen
erogenă	erod͡ʒenə
erogene	erod͡ʒene
erogeni	erodʒenʲ
eroi	eroj
erotic	erotik
erotica	erotika
erotică	erotikə
erotice	erotit͡ʃe
eroticei	erotit͡ʃej
eroticele	erotit͡ʃele
eroticelor	erotit͡ʃelor
erotici	erotit͡ʃʲ
eroticii	erotit͡ʃiː
eroticilor	erotit͡ʃilor
eroticul	erotikul
eroticul	erotiku
eroticului	erotikuluj
erou	eɾow
esență	esentsə
este	jeste
este	este
estoniană	estonianə
ești	jeʃtʲ
eu	jew
eu	jo
evanghelie	evanɡelie
eventualitate	eventualitate
evlavia	evlavia
evlavie	evlavie
evlaviei	evlaviej
evlavii	evlaviː
evlaviile	evlaviːle
evlaviilor	evlaviːlor
evlavioasa	evlavio̯asa
evlavioasă	evlavio̯asə
evlavioase	evlavio̯ase
evlavioasei	evlavio̯asej
evlavioasele	evlavio̯asele
evlavioaselor	evlavio̯aselor
evlaviosul	evlaviosul
evlaviosul	evlaviosu
evlaviosului	evlaviosuluj
evlavioși	evlavioʃʲ
evlavioșii	evlavioʃiː
evlavioșilor	evlavioʃilor
evoluție	evolutsie
examen	eɡzamen
excava	ekskava
excavai	ekskavaj
excavam	ekskavam
excavară	ekskavarə
excavarăm	ekskavarəm
excavarăți	ekskavarətsʲ
excavase	ekskavase
excavasem	ekskavasem
excavaseră	ekskavaserə
excavaserăm	ekskavaserəm
excavaserăți	ekskavaserətsʲ
excavaseși	ekskavaseʃʲ
excavași	ekskavaʃʲ
excavat	ekskavat
excavați	ekskavat͡sʲ
excavau	ekskavaw
excavă	ekskavə
excavăm	ekskavəm
excavând	ekskavɨnd
excavează	ekskavjazə
excavez	ekskavez
excaveze	ekskaveze
excavezi	ekskavezʲ
excitat	ekstʃitat
exclusivitate	eksklusivitate
exemple	eɡzemple
exemplele	eɡzemplele
exemplelor	eɡzemplelor
exemplu	eɡzemplu
exemplul	eɡzemplul
exemplul	eɡzemplu
exemplului	eɡzemplului
exist	eɡzist
exista	eɡzista
explica	eksplika
explicare	eksplikare
explicație	eksplikat͡sie
expoziție	ekspozit͡sie
expune	ekspune
extern	ekstern
fac	fak
facă	fakə
face	fatʃe
facem	fat͡ʃem
faceți	fat͡ʃet͡sʲ
faci	fat͡ʃʲ
facilitate	fatʃilitate
facilități	fatʃilitətsʲ
familia	familia
familie	familie
fantezia	fantezia
fantezie	fantezie
fanteziei	fanteziej
fantezii	fanteziː
fanteziile	fanteziːle
fanteziilor	fanteziːlor
fapt	fapt
fapte	fapte
faptele	faptele
faptelor	faptelor
faptul	faptul
faptul	faptu
faptului	faptuluj
farfurie	faɾfuɾie
fata	fata
fată	fatə
fața	fatsa
fă	fə
făcând	fəkɨnd
făcea	fət͡ʃe̯a
făceai	fət͡ʃe̯aj
făceam	fət͡ʃe̯am
făceați	fət͡ʃe̯at͡sʲ
făceau	fət͡ʃe̯aw
făcu	fəku
făcui	fəkuj
făcură	fəkurə
făcurăm	fəkurəm
făcurăți	fəkurət͡sʲ
făcuse	fəkuse
făcusem	fəkusem
făcuseră	fəkuserə
făcuserăm	fəkuserəm
făcuserăți	fəkuserət͡sʲ
făcuseși	fəkuseʃʲ
făcuși	fəkuʃʲ
făcut	fəkut
făgăraș	fəɡəraʃ
fără	fərə
fântână	fɨntɨnə
fel	fel
felația	felatsia
felație	felatsie
felației	felatsiej
felații	felatsiː
felațiile	felatsiːle
felațiilor	felatsiːlor
femeie	femeje
femeiește	femejeʃte
feminin	feminin
feminitate	feminitate
fereastră	fere̯astrə
fericirea	feritʃiræ
ferocitate	ferot͡ʃitate
fertilitate	fertilitate
fete	fete
fetei	fetej
fetele	fetele
fetelor	fetelor
fețe	fetse
feței	fetsej
fețele	fetsele
fețelor	fetselor
fi	fi
fie	fie
fierbinte	fjerbinte
fii	fiː
fiică	fijkə
fiind	fiːnd
fiindcă	fiindkə
fiindcă	fiːŋkə
fildeș	fildeʃ
fim	fim
finitate	finitate
finlanda	finlanda
finlandei	finlandej
finlandez	finlandez
finlandeză	finlandezə
fișier	fiʃier
fiți	fit͡sʲ
fiu	fiw
flacără	flakərə
flexibilitate	fleksibilitate
floci	flot͡ʃʲ
florin	florin
florina	florina
fluture	fluture
fluvial	fluvial
foaie	fo̯aje
foarte	fo̯arte
folosea	folosja
foloseai	folosjaj
foloseam	folosjam
folosească	folosjaskə
foloseați	folosjatsʲ
foloseau	folosjaw
folosesc	folosesk
folosește	foloseʃte
folosești	foloseʃtʲ
folosi	folosi
folosii	folosiː
folosim	folosim
folosind	folosind
folosiră	folosirə
folosirăm	folosirəm
folosirăți	folosirətsʲ
folosise	folosise
folosisem	folosisem
folosiseră	folosiserə
folosiserăm	folosiserəm
folosiserăți	folosiserətsʲ
folosiseși	folosiseʃʲ
folosiși	folosiʃʲ
folosit	folosit
folosita	folosita
folosită	folositə
folosite	folosite
folositei	folositej
folositele	folositele
folositelor	folositelor
folositor	folositor
folositul	folositul
folositul	folositu
folositului	folosituluj
folosiți	folosit͡sʲ
folosiții	folosit͡siː
folosiților	folosit͡silor
fonetica	fonetika
fonetici	fonetit͡ʃʲ
forma	forma
forma	forma
forma	forma
formai	formaj
formalitate	formalitate
formam	formam
formară	formarə
formarăm	formarəm
formarăți	formarət͡sʲ
formase	formase
formasem	formasem
formaseră	formaserə
formaserăm	formaserəm
formaserăți	formaserət͡sʲ
formaseși	formaseʃʲ
formași	formaʃʲ
formatei	formatej
formatele	formatele
formatelor	formatelor
formatul	formatul
formatul	formatu
formatului	formatuluj
formați	format͡sʲ
formații	format͡siː
formaților	format͡silor
formau	formaw
formă	formə
formă	formə
formăm	forməm
formând	formɨnd
forme	forme
formează	formjazə
formei	formej
formele	formele
formelor	formelor
formez	formez
formeze	formeze
formezi	formezʲ
fost	fost
fostă	fostə
foste	foste
foști	foʃtʲ
francez	frant͡ʃez
franceză	frant͡ʃezə
francezi	frant͡ʃezʲ
franța	frant͡sa
franțuzește	frant͡suzeʃte
frasin	frasin
frate	frate
fraternitate	fraternitate
fraternității	fraternitət͡siʲ
frați	frat͡sʲ
frățesc	frət͡sesk
frățește	frət͡seʃte
freacă	frʲækə
frec	frek
freca	freka
frecai	frekaj
frecam	frekam
frecară	frekarə
frecarăm	frekarəm
frecarăți	frekarət͡sʲ
frecase	frekase
frecasem	frekasem
frecaseră	frekaserə
frecaserăm	frekaserəm
frecaserăți	frekaserət͡sʲ
frecaseși	frekaseʃʲ
frecași	frekaʃʲ
frecat	frekat
frecați	frekat͡sʲ
frecau	frekaw
frecă	frekə
frecăm	frekəm
frece	fret͡ʃe
freci	fret͡ʃʲ
frontieră	frontierə
frumoasa	frumo̯asa
frumoasă	frumo̯asə
frumoase	frumo̯ase
frumoasei	frumo̯asej
frumoasele	frumo̯asele
frumoaselor	frumo̯aselor
frumos	frumos
frumosul	frumosul
frumosul	frumosu
frumosului	frumosuluj
frumoși	frumoʃʲ
frumoșii	frumoʃij
frumoșilor	frumoʃilor
frumusețe	frumusetse
frumusețea	frumusetsʲæ
frumuseți	frumusetsʲ
frumuseții	frumusetsiː
frumusețile	frumusetsile
frumuseților	frumusetsilor
frunză	frunzə
fu	fu
fui	fuj
fulg	fulɡ
fuma	fuma
fumai	fumaj
fumam	fumam
fumară	fumarə
fumarăm	fumarəm
fumarăți	fumarətsʲ
fumase	fumase
fumasem	fumasem
fumaseră	fumaserə
fumaserăm	fumaserəm
fumaserăți	fumaserətsʲ
fumaseși	fumaseʃʲ
fumași	fumaʃʲ
fumat	fumat
fumați	fumat͡sʲ
fumau	fumaw
fumă	fumə
fumăm	fuməm
fumând	fumɨnd
fumează	fumjazə
fumez	fumez
fumeze	fumeze
fumezi	fumezʲ
funcție	funkt͡sie
funcționa	funkt͡siona
funcționai	funkt͡sionaj
funcționam	funkt͡sionam
funcționară	funkt͡sionarə
funcționarăm	funkt͡sionarəm
funcționarăți	funkt͡sionarətsʲ
funcționase	funkt͡sionase
funcționasem	funkt͡sionasem
funcționaseră	funkt͡sionaserə
funcționaserăm	funkt͡sionaserəm
funcționaserăți	funkt͡sionaserətsʲ
funcționaseși	funkt͡sionaseʃʲ
funcționași	funkt͡sionaʃʲ
funcționat	funkt͡sionat
funcționați	funkt͡sionat͡sʲ
funcționau	funkt͡sionaw
funcționă	funkt͡sionə
funcționăm	funkt͡sionəm
funcționând	funkt͡sionɨnd
funcționează	funkt͡sionjazə
funcționez	funkt͡sionez
funcționeze	funkt͡sioneze
funcționezi	funkt͡sionezʲ
fund	fund
fundamentală	fundamentalə
fundamentale	fundamentale
fundamentali	fundamentalʲ
fundași	fundaʃʲ
funicular	funikulaʳ
fur	fur
fură	furə
furăm	furəm
furăți	furət͡sʲ
furculiță	furkulit͡sə
furi	furʲ
furnică	furnikə
furtuna	furtuna
furtună	furtunə
fuse	fuse
fusei	fusej
fuseră	fuserə
fuserăm	fuserəm
fuserăți	fuserət͡sʲ
fusese	fusese
fusesem	fusesem
fuseseră	fuseserə
fuseserăm	fuseserəm
fuseserăți	fuseserət͡sʲ
fuseseși	fuseseʃʲ
fuseși	fuseʃʲ
fuși	fuʃʲ
fut	fut
fută	futə
fute	fute
futea	fute̯a
futeai	fute̯aj
futeam	fute̯am
futeați	fute̯at͡sʲ
futeau	fute̯au
futem	futem
futeți	futet͡sʲ
futu	futu
futui	futuʲ
futură	futurə
futurăm	futurəm
futurăți	futurət͡sʲ
futuse	futuse
futusem	futusem
futuseră	futuserə
futuserăm	futuserəm
futuserăți	futuserət͡sʲ
futuseși	futuseʃʲ
futuși	futuʃʲ
futut	futut
fututa	fututa
futută	fututə
futute	futute
fututei	fututej
fututele	fututele
fututelor	fututelor
fututul	fututul
fututul	fututu
fututului	fututuluj
futuți	futut͡sʲ
futuții	futut͡siː
futuților	futut͡silor
fuți	fut͡sʲ
gard	ɡard
gay	ɡej
găoază	ɡəwazə
găozar	ɡəwzar
găsea	ɡəsja
găseai	ɡəsjaj
găseam	ɡəsjam
găsească	ɡəsjaskə
găseați	ɡəsjatsʲ
găseau	ɡəsjaw
găsesc	ɡəsesk
găsește	ɡəseʃte
găsești	ɡəseʃtʲ
găsi	ɡəsi
găsii	ɡəsiː
găsim	ɡəsim
găsind	ɡəsind
găsiră	ɡəsirə
găsirăm	ɡəsirəm
găsirăți	ɡəsirətsʲ
găsise	ɡəsise
găsisem	ɡəsisem
găsiseră	ɡəsiserə
găsiserăm	ɡəsiserəm
găsiserăți	ɡəsiserətsʲ
găsiseși	ɡəsiseʃʲ
găsiși	ɡəsiʃʲ
găsit	ɡəsit
găsita	ɡəsita
găsită	ɡəsitə
găsite	ɡəsite
găsitei	ɡəsitej
găsitele	ɡəsitele
găsitelor	ɡəsitelor
găsitul	ɡəsitul
găsitul	ɡəsitu
găsitului	ɡəsituluj
găsiți	ɡəsit͡sʲ
găsiții	ɡəsit͡siː
găsiților	ɡəsit͡silor
gândac	ɡɨndak
gândea	ɡɨndja
gândeai	ɡɨndjaj
gândeam	ɡɨndjam
gândească	ɡɨndjaskə
gândeați	ɡɨndjatsʲ
gândeau	ɡɨndjaw
gândesc	ɡɨndesk
gândește	ɡɨndeʃte
gândești	ɡɨndeʃtʲ
gândi	ɡɨndi
gândii	ɡɨndiː
gândim	ɡɨndim
gândind	ɡɨndind
gândiră	ɡɨndirə
gândirăm	ɡɨndirəm
gândirăți	ɡɨndirətsʲ
gândise	ɡɨndise
gândisem	ɡɨndisem
gândiseră	ɡɨndiserə
gândiserăm	ɡɨndiserəm
gândiserăți	ɡɨndiserətsʲ
gândiseși	ɡɨndiseʃʲ
gândiși	ɡɨndiʃʲ
gândit	ɡɨndit
gândita	ɡɨndita
gândită	ɡɨnditə
gândite	ɡɨndite
gânditei	ɡɨnditej
gânditele	ɡɨnditele
gânditelor	ɡɨnditelor
gânditul	ɡɨnditul
gânditul	ɡɨnditu
gânditului	ɡɨndituluj
gândiți	ɡɨndit͡sʲ
gândiții	ɡɨndit͡siː
gândiților	ɡɨndit͡silor
gânduri	ɡɨndurʲ
gât	ɡɨt
geană	d͡ʒe̯anə
geantă	d͡ʒe̯antə
genă	d͡ʒenə
generație	d͡ʒenerat͡sie
genetic	d͡ʒenetik
genetică	d͡ʒenetikə
genunchi	dʒenunkʲ
ger	d͡ʒer
ghiduri	ɡidurʲ
ghiuj	ɡjuʒ
ghizi	ɡizʲ
giacă	dʒjakə
giuvaier	d͡ʒiwvajer
glonte	ɡlonte
glonț	ɡlont͡s
graniță	ɡranit͡sə
gratis	ɡratis
gravita	ɡravita
gravitai	ɡravitaj
gravitam	ɡravitam
gravitară	ɡravitarə
gravitarăm	ɡravitarəm
gravitarăți	ɡravitarətsʲ
gravitase	ɡravitase
gravitasem	ɡravitasem
gravitaseră	ɡravitaserə
gravitaserăm	ɡravitaserəm
gravitaserăți	ɡravitaserətsʲ
gravitaseși	ɡravitaseʃʲ
gravitași	ɡravitaʃʲ
gravitat	ɡravitat
gravitate	ɡravitate
gravitați	ɡravitat͡sʲ
gravitație	ɡravitat͡sie
gravitau	ɡravitaw
gravită	ɡravitə
gravităm	ɡravitəm
gravitând	ɡravitɨnd
gravitează	ɡravitjazə
gravitez	ɡravitez
graviteze	ɡraviteze
gravitezi	ɡravitezʲ
grăbea	ɡrəbja
grăbeai	ɡrəbjaj
grăbeam	ɡrəbjam
grăbească	ɡrəbjaskə
grăbeați	ɡrəbjatsʲ
grăbeau	ɡrəbjaw
grăbesc	ɡrəbesk
grăbește	ɡrəbeʃte
grăbești	ɡrəbeʃtʲ
grăbi	ɡrəbi
grăbii	ɡrəbiː
grăbim	ɡrəbim
grăbind	ɡrəbind
grăbiră	ɡrəbirə
grăbirăm	ɡrəbirəm
grăbirăți	ɡrəbirətsʲ
grăbise	ɡrəbise
grăbisem	ɡrəbisem
grăbiseră	ɡrəbiserə
grăbiserăm	ɡrəbiserəm
grăbiserăți	ɡrəbiserətsʲ
grăbiseși	ɡrəbiseʃʲ
grăbiși	ɡrəbiʃʲ
grăbit	ɡrəbit
grăbita	ɡrəbita
grăbită	ɡrəbitə
grăbite	ɡrəbite
grăbitei	ɡrəbitej
grăbitele	ɡrəbitele
grăbitelor	ɡrəbitelor
grăbitul	ɡrəbitul
grăbitul	ɡrəbitu
grăbitului	ɡrəbituluj
grăbiți	ɡrəbit͡sʲ
grăbiții	ɡrəbit͡siː
grăbiților	ɡrəbit͡silor
grădină	ɡɾədinə
gripă	ɡripə
habar	habar
hai	haj
haiduc	hajduk
haiduci	hajdutʃʲ
halucina	halut͡ʃina
halucinație	halut͡ʃinat͡sie
halucinogen	halut͡ʃinod͡ʒen
hamac	hamak
hamace	hamat͡ʃe
hamacuri	hamakurʲ
haos	haos
haotic	haotik
harpă	harpə
harpe	harpe
harpist	harpist
hămesi	həmesi
hemoroid	hemorojd
homofob	homofob
homofobie	homofobie
homosexuala	homoseksuala
homosexuală	homoseksualə
homosexuale	homoseksuale
homosexualei	homoseksualej
homosexualele	homoseksualele
homosexualelor	homoseksualelor
homosexuali	homoseksualʲ
homosexualii	homoseksualiʲ
homosexualilor	homoseksualilor
homosexualul	homoseksualul
homosexualul	homoseksualu
homosexualului	homoseksualuluj
hotărî	hotərɨ
huligan	huliɡan
hypnos	hipnos
iacobescu	iakobesku
iar	jar
iarăși	jarəʃʲ
iarbă	jarbə
iași	jaʃʲ
identitate	identitate
ierburi	jerburʲ
ignorai	iɡnoraj
ii	iː
iluzie	iluzie
iluzii	iluziʲ
iluzoria	iluzoria
iluzorie	iluzorie
iluzorii	iluzoriː
iluzoriii	iluzoriji
iluzoriile	iluzoriːle
iluzoriilor	iluzoriːlor
iluzoriul	iluzorjul
iluzoriul	iluzorju
iluzoriului	iluzorjuluj
imaturitate	imaturitate
important	important
indiscret	indiskret
indiscreta	indiskreta
indiscrete	indiskrete
indiscreție	indiskret͡sie
infinitate	infinitate
infix	infiks
inflorescență	infloɾestʃentsə
inimă	inimə
insecuritate	insekuritate
instant	instant
insula	insula
insulă	insulə
interacțiune	interaktsiune
interacțiuni	interaktsiunʲ
interesant	interesant
intern	intern
interveni	interveni
introduce	introdut͡ʃe
intui	intui
invizibilitate	invizibilitate
ion	ion
ionuț	ionut͡s
irațional	irat͡sional
ironic	ironik
ironie	ironje
istoricește	istorit͡ʃeʃte
isus	isus
italia	italia
italiană	italianə
italiancă	italiankə
iubea	jubʲæ
iubeai	jubʲæj
iubeam	jubʲæm
iubească	jube̯askə
iubeați	jubʲæt͡sʲ
iubeau	jubʲæu
iubesc	jubesk
iubește	jubeʃte
iubești	jubeʃtʲ
iubi	jubi
iubii	jubiː
iubim	jubim
iubind	jubind
iubiră	jubirə
iubirăm	jubirəm
iubirăți	jubirət͡sʲ
iubire	jubire
iubiri	jubirʲ
iubirii	jubiriː
iubirile	jubirile
iubirilor	jubirilor
iubise	jubise
iubisem	jubisem
iubiseră	jubiserə
iubiserăm	jubiserəm
iubiserăți	jubiserət͡sʲ
iubiseși	jubiseʃʲ
iubiși	jubiʃʲ
iubit	jubit
iubită	jubitə
iubite	jubite
iubiți	jubit͡sʲ
iudaism	judaism
ivorian	ivorian
izraelit	izraelit
izvor	izvoɾ
îi	ɨj
îmbăta	ɨmbəta
îmbrăca	ɨmbrəka
îmbrăcat	ɨmbrəkat
îmbunătățea	ɨmbunətətsja
îmbunătățeai	ɨmbunətətsjaj
îmbunătățeam	ɨmbunətətsjam
îmbunătățească	ɨmbunətətsjaskə
îmbunătățeați	ɨmbunətətsjatsʲ
îmbunătățeau	ɨmbunətətsjaw
îmbunătățesc	ɨmbunətətsesk
îmbunătățește	ɨmbunətətseʃte
îmbunătățești	ɨmbunətətseʃtʲ
îmbunătăți	ɨmbunətətsi
îmbunătății	ɨmbunətətsiː
îmbunătățim	ɨmbunətətsim
îmbunătățind	ɨmbunətətsind
îmbunătățiră	ɨmbunətətsirə
îmbunătățirăm	ɨmbunətətsirəm
îmbunătățirăți	ɨmbunətətsirətsʲ
îmbunătățire	ɨmbunətət͡sire
îmbunătățise	ɨmbunətətsise
îmbunătățisem	ɨmbunətətsisem
îmbunătățiseră	ɨmbunətətsiserə
îmbunătățiserăm	ɨmbunətətsiserəm
îmbunătățiserăți	ɨmbunətətsiserətsʲ
îmbunătățiseși	ɨmbunətətsiseʃʲ
îmbunătățiși	ɨmbunətətsiʃʲ
îmbunătățit	ɨmbunətətsit
îmbunătățita	ɨmbunətət͡sita
îmbunătățită	ɨmbunətət͡sitə
îmbunătățite	ɨmbunətət͡site
îmbunătățitei	ɨmbunətət͡sitej
îmbunătățitele	ɨmbunətət͡sitele
îmbunătățitelor	ɨmbunətət͡sitelor
îmbunătățitul	ɨmbunətət͡situl
îmbunătățitul	ɨmbunətət͡situ
îmbunătățitului	ɨmbunətət͡situluj
îmbunătățiți	ɨmbunətət͡sit͡sʲ
îmbunătățiții	ɨmbunətət͡sit͡siː
îmbunătățiților	ɨmbunətət͡sit͡silor
îmi	ɨmʲ
împărăteasă	ɨmpərəte̯asə
în	ɨn
înălțime	ɨnəlt͡sime
începe	ɨntʃepe
închide	ɨnkide
îndoi	ɨndoi
îndoi	ɨndoi
îndoi	ɨndoj
îngeri	ɨndʒerʲ
înghețată	ɨŋɡetsatə
înjurătură	ɨnʒurəturə
înjurături	ɨnʒurəturʲ
însușire	ɨnsuʃirɛ
întărea	ɨntərja
întăreai	ɨntərjaj
întăream	ɨntərjam
întărească	ɨntərjaskə
întăreați	ɨntərjatsʲ
întăreau	ɨntərjaw
întăresc	ɨntəresk
întărește	ɨntəreʃte
întărești	ɨntəreʃtʲ
întări	ɨntəri
întării	ɨntəriː
întărim	ɨntərim
întărind	ɨntərind
întăriră	ɨntərirə
întărirăm	ɨntərirəm
întărirăți	ɨntərirətsʲ
întărise	ɨntərise
întărisem	ɨntərisem
întăriseră	ɨntəriserə
întăriserăm	ɨntəriserəm
întăriserăți	ɨntəriserətsʲ
întăriseși	ɨntəriseʃʲ
întăriși	ɨntəriʃʲ
întărit	ɨntərit
întărita	ɨntərita
întărită	ɨntəritə
întărite	ɨntərite
întăritei	ɨntəritej
întăritele	ɨntəritele
întăritelor	ɨntəritelor
întăritul	ɨntəritul
întăritul	ɨntəritu
întăritului	ɨntərituluj
întăriți	ɨntərit͡sʲ
întăriții	ɨntərit͡siː
întăriților	ɨntərit͡silor
întâia	ɨntɨja
întâiul	ɨntɨjul
întâlnea	ɨntɨlnja
întâlneai	ɨntɨlnjaj
întâlneam	ɨntɨlnjam
întâlnească	ɨntɨlnjaskə
întâlneați	ɨntɨlnjatsʲ
întâlneau	ɨntɨlnjaw
întâlnesc	ɨntɨlnesk
întâlnește	ɨntɨlneʃte
întâlnești	ɨntɨlneʃtʲ
întâlni	ɨntɨlni
întâlnii	ɨntɨlniː
întâlnim	ɨntɨlnim
întâlnind	ɨntɨlnind
întâlniră	ɨntɨlnirə
întâlnirăm	ɨntɨlnirəm
întâlnirăți	ɨntɨlnirətsʲ
întâlnise	ɨntɨlnise
întâlnisem	ɨntɨlnisem
întâlniseră	ɨntɨlniserə
întâlniserăm	ɨntɨlniserəm
întâlniserăți	ɨntɨlniserətsʲ
întâlniseși	ɨntɨlniseʃʲ
întâlniși	ɨntɨlniʃʲ
întâlnit	ɨntɨlnit
întâlnita	ɨntɨlnita
întâlnită	ɨntɨlnitə
întâlnite	ɨntɨlnite
întâlnitei	ɨntɨlnitej
întâlnitele	ɨntɨlnitele
întâlnitelor	ɨntɨlnitelor
întâlnitul	ɨntɨlnitul
întâlnitul	ɨntɨlnitu
întâlnitului	ɨntɨlnituluj
întâlniți	ɨntɨlnit͡sʲ
întâlniții	ɨntɨlnit͡siː
întâlniților	ɨntɨlnit͡silor
întoarceți	ɨntwart͡ʃet͡sʲ
întrebare	ɨntrebare
întristai	ɨntristaj
întristam	ɨntristam
întristară	ɨntristarə
întristarăm	ɨntristarəm
întristarăți	ɨntristarətsʲ
întristase	ɨntristase
întristasem	ɨntristasem
întristaseră	ɨntristaserə
întristaserăm	ɨntristaserəm
întristaserăți	ɨntristaserətsʲ
întristaseși	ɨntristaseʃʲ
întristași	ɨntristaʃʲ
întristat	ɨntristat
întristați	ɨntristat͡sʲ
întristau	ɨntristaw
întristă	ɨntristə
întristăm	ɨntristəm
întristând	ɨntristɨnd
întristează	ɨntristjazə
întristez	ɨntristez
întristeze	ɨntristeze
întristezi	ɨntristezʲ
înțeleg	ɨnt͡seleɡ
înțelege	ɨntseledʒe
înțelegem	ɨnt͡seled͡ʒem
înțelegeți	ɨntseledʒetsʲ
înțelegi	ɨnt͡seled͡ʒʲ
înțeles	ɨntseles
învăța	ɨnvətsa
înzestra	ɨnzestra
înzestrai	ɨnzestraj
înzestram	ɨnzestram
înzestrară	ɨnzestrarə
înzestrarăm	ɨnzestrarəm
înzestrarăți	ɨnzestrarətsʲ
înzestrase	ɨnzestrase
înzestrasem	ɨnzestrasem
înzestraseră	ɨnzestraserə
înzestraserăm	ɨnzestraserəm
înzestraserăți	ɨnzestraserətsʲ
înzestraseși	ɨnzestraseʃʲ
înzestrași	ɨnzestraʃʲ
înzestrată	ɨnzestratə
înzestrate	ɨnzestrate
înzestrați	ɨnzestrat͡sʲ
înzestrau	ɨnzestraw
înzestră	ɨnzestrə
înzestrăm	ɨnzestrəm
înzestrând	ɨnzestrɨnd
înzestrează	ɨnzestrjazə
înzestrez	ɨnzestrez
înzestreze	ɨnzestreze
înzestrezi	ɨnzestrezʲ
îs	ɨs
îți	ɨtsʲ
jachetă	ʒaketə
japonez	ʒaponez
jertfă	ʒertfə
joc	ʒok
jos	ʒos
jucărie	ʒukərie
juisa	ʒuisa
juisați	ʒuisat͡sʲ
juisăm	ʒuisəm
juisează	ʒuise̯azə
juisez	ʒuisez
juiseze	ʒuisəze
juisezi	ʒuisezʲ
jupui	ʒupui
jurase	ʒurase
jure	ʒure
kidnapping	kidnapiŋ
laba	laba
labă	labə
laboare	laboare
lacrima	lakrima
lacrimă	lakrimə
lapte	lapte
laptele	laptele
laptelui	lapteluj
larg	larɡ
lasciv	last͡ʃiv
lascivitate	last͡ʃivitate
latină	latinə
lăbar	ləbar
lăsa	ləsa
lebădă	lebədə
leg	leɡ
legământ	leɡəmɨnt
legea	led͡ʒja
legi	led͡ʒʲ
leoaică	leo̯wai̯kə
lexem	leksem
libertate	libertate
libidinos	libidinos
lichidă	likidə
ligament	liɡament
limba	limba
limbi	limbi
limbii	limbiː
limbile	limbile
limbilor	limbilor
limita	limita
limita	limita
limitai	limitaj
limitam	limitam
limitară	limitarə
limitarăm	limitarəm
limitarăți	limitarətsʲ
limitase	limitase
limitasem	limitasem
limitaseră	limitaserə
limitaserăm	limitaserəm
limitaserăți	limitaserətsʲ
limitaseși	limitaseʃʲ
limitași	limitaʃʲ
limitat	limitat
limitați	limitat͡sʲ
limitau	limitaw
limită	limitə
limită	limitə
limităm	limitəm
limitând	limitɨnd
limitează	limitjazə
limitez	limitez
limiteze	limiteze
limitezi	limitezʲ
lindic	lindik
ling	liŋɡ
linge	lindʒe
lingi	lindʒʲ
lingura	liŋɡura
lingură	liŋɡurə
linguri	liŋɡurʲ
lingurii	liŋɡuriː
lingurile	liŋɡurile
lingurilor	liŋɡurilor
liniști	liniʃti
liniștit	liniʃtit
lins	lins
lipsea	lipsja
lipseai	lipsjaj
lipseam	lipsjam
lipsească	lipsjaskə
lipseați	lipsjatsʲ
lipseau	lipsjaw
lipsesc	lipsesk
lipsește	lipseʃte
lipsești	lipseʃtʲ
lipsii	lipsiː
lipsim	lipsim
lipsiră	lipsirə
lipsirăm	lipsirəm
lipsirăți	lipsirətsʲ
lipsise	lipsise
lipsisem	lipsisem
lipsiseră	lipsiserə
lipsiserăm	lipsiserəm
lipsiserăți	lipsiserətsʲ
lipsiseși	lipsiseʃʲ
lipsiși	lipsiʃʲ
lipsit	lipsit
lipsita	lipsita
lipsită	lipsitə
lipsite	lipsite
lipsitei	lipsitej
lipsitele	lipsitele
lipsitelor	lipsitelor
lipsitul	lipsitul
lipsitul	lipsitu
lipsitului	lipsituluj
lipsiți	lipsit͡sʲ
lipsiții	lipsit͡siː
lipsiților	lipsit͡silor
literă	literə
lituania	lituania
localitate	lokalitate
locuace	lokwat͡ʃe
locui	lokui
locvace	lokvat͡ʃe
lovit	lovit
lsd	elesde
lua	lua
lubrifia	lubrifia
lubrifiant	lubrifiant
lucia	lutʃja
lucian	lut͡ʃjan
lucrez	lukrez
lucreze	lukreze
lucru	lukru
lucrul	lukrul
lucrul	lukru
lucrului	lukruluj
lucruri	lukrurʲ
lucrurile	lukrurile
lucrurilor	lukrurilor
lume	lume
lumi	lumʲ
lumină	luminə
lumini	luminʲ
lună	lunə
lup	lup
macabra	makabra
macabră	makabrə
macabre	makabre
macabrei	makabrej
macabrele	makabrele
macabrelor	makabrelor
macabri	makabri
macabrii	makabrij
macabrilor	makabrilor
macabru	makabru
macabrul	makabrul
macabrul	makabru
macabrului	makabruluj
macedonean	mat͡ʃedone̯an
macedoneancă	mat͡ʃedone̯ankə
macedonia	mat͡ʃedonia
madalina	madalina
majoritate	maʒoritate
manechin	manekin
manechine	manekine
manechinele	manekinele
manechinelor	manekinelor
manechinul	manekinul
manechinul	manekinu
manechinului	manekinuluj
mari	marʲ
marijuana	mariwana
marijuana	marihwana
maro	maɾo
mascul	maskul
masculine	maskuline
masculinitate	maskulinitate
masiv	masiv
masturba	masturba
masturbai	masturbaj
masturbam	masturbam
masturbară	masturbarə
masturbarăm	masturbarəm
masturbarăți	masturbarət͡sʲ
masturbase	masturbase
masturbaseră	masturbaserə
masturbaserăm	masturbaserəm
masturbaserăți	masturbaserət͡sʲ
masturbaseși	masturbaseʃʲ
