abak	áːbak
grško	ɡə́rʃkɔ
gruzija	ɡrúːzija
gruzijski	ɡrúːzijski
gruzinski	ɡruzíːnski
guba	ɡùːba
gubiti	ɡubìːti
gubiti	ɡubíːti
gumb	ɡúːmp
gvajana	ɡʋajáːna
gvineja	ɡʋinɛ́ːja
haag	xáːk
habakuk	xabakúːk
hadron	xadróːn
hafnij	xàːfnij
haitijski	xaíːtijski
halucinacija	xalut͡sinàːt͡sija
harfa	xáːrfa
harmonika	xarmòːnika
hasidizem	xasidíːzəm
hašiš	xáːʃiʃ
hči	xt͡ʃíː
heksagon	xɛksaɡóːn
hektoliter	xéːktɔlìːtər
helij	xèːlij
hematologija	xɛmatɔlɔɡíːja
heraldika	xɛràːldika
herbivor	xɛrbiʋóːr
hercegovina	xɛrt͡sɛɡɔʋìːna
hermelin	xɛrmɛlíːn
herodot	xɛróːdɔt
heteroseksualnost	xɛtɛrɔsɛksuáːlnɔst
heziod	xɛzijóːt
hiba	xìːba
hidrat	xidráːt
hidrolog	xidrɔlóːk
hidrologija	xidrɔlɔɡíːja
hidžra	xíːd͡ʒra
hijena	xijéːna
hinavski	xináːʋski
hip	xíːp
historičen	xistòːrit͡ʃən
hiša	xìːʃa
hišen	xíːʃən
hitreje	xitrɛ̀ːjɛ
hitrejše	xitrɛ̀ːjʃɛ
hitro	xìːtrɔ
hitrost	xitróːst
hlače	xlàːt͡ʃɛ
hladen	xláːdən
hladilnik	xladíːlnik
hleb	xléːp
hleb	xlɛ́p
hmelj	xméːl
hmelj	xmɛ́l
hobotnica	xɔbóːtnit͡sa
hoditi	xɔdìːti
hoditi	xɔdíːti
holandski	xɔláːntski
holm	xòːlm
holm	xóːlm
holmij	xòːlmij
homoseksualec	xɔmɔsɛksuáːlət͡s
homoseksualen	xɔmɔsɛksuáːlən
homoseksualnost	xɔmɔsɛksuáːlnɔst
horvat	xɔ́ːrʋat
hosta	xóːsta
hostnik	xóːstnik
hoteti	xɔtèːti
hrana	xràːna
hraniti	xranìːti
hraniti	xraníːti
hraniti	xràːniti
hrast	xràːst
hrbet	xə̀rbət
hrbet	xərbə́t
hrbtenjača	xərptɛnjàːt͡ʃa
hrček	xə́rt͡ʃək
hren	xrɛ́n
hrib	xrìːp
hripav	xrìːpaʋ
hropsti	xrɔ̀ːpsti
hrošč	xrɔ́ʃt͡ʃ
hrup	xrúːp
hruška	xrúːʃka
hrvaščina	xərʋáːʃt͡ʃina
hrvaška	xərʋáːʃka
hrvaški	xərʋáːʃki
hud	xúːt
hudič	xudìːt͡ʃ
hujši	xúːjʃi
hurija	xùːrija
huriska	xuríːska
husit	xusíːt
hvala	xʋàːla
hvaliti	xʋalìːti
hvaliti	xʋalíːti
hvaliti	xʋàːliti
idila	idíːla
igla	íːɡla
iglica	íːɡlit͡sa
iglokožec	iɡlɔkóːʒət͡s
igo	iɡóː
igra	íːɡra
igrača	iɡràːt͡ʃa
igralec	iɡráːlət͡s
igrati	iɡràːti
ime	iméː
imenovalnik	imɛnɔʋáːlnik
imenovati	imɛnɔʋàːti
imeti	imèːti
in	in
indij	ìːndij
indija	ìːndija
indijec	íːndijət͡s
indijka	ìːndijka
indijski	ìːndijski
indonezija	indɔnèːzija
informatik	infɔrmàːtik
ingver	ìːnɡʋɛr
ingver	íːnɡʋɛr
insekt	inséːkt
instrumental	íːnstrumɛntal
instrumental	instrumɛntáːl
instrumentalen	instrumɛntáːlən
inštitut	inʃtitúːt
invazija	inʋazíːja
irak	iráːk
irec	íːrət͡s
iridij	irìːdij
irka	íːrka
ironija	irɔníːja
irska	íːrska
irski	íːrski
irsko	íːrskɔ
irščina	íːrʃt͡ʃina
iskati	iskàːti
iskra	ìːskra
islam	íːslam
islandija	islàːndija
islandski	isláːntski
istanbul	íːstanbul
isti	íːsti
istra	íːstra
italija	itàːlija
italijan	italiján
italijan	italijáːn
italijanka	italijáːnka
italijanski	italijáːnski
italijansko	italijáːnskɔ
italijanščina	italijáːnʃt͡ʃina
iterbij	itɛ̀ːrbij
iti	ìːti
iti	íːti
itrij	ìːtrij
ivan	íːʋan
iz	is
izbira	izbíːra
izboljšava	izbɔlʃáːʋa
izbrati	izbràːti
izdajalec	izdajáːlət͡s
izdati	izdàːti
izglagolski	izɡlàːɡɔlski
izgovoriti	izɡɔʋɔrìːti
izgovoriti	izɡɔʋɔríːti
izgovorjava	izɡɔʋɔrjáːʋa
izgubiti	izɡubìːti
izgubiti	izɡubíːti
izključiti	iskljùːt͡ʃiti
izklopiti	isklɔpìːti
izklopiti	isklɔpíːti
izklopiti	isklòːpiti
izklopiti	isklóːpiti
izkrcanje	íːskərt͡sàːnjɛ
izložba	izlóːʒba
izmolsti	izmɔ̀ːʋsti
izpeljanka	ispɛljàːnka
izpeljati	ispɛljàːti
izposoditi	ispɔsɔdìːti
izposoditi	ispɔsɔdíːti
izposoditi	ispɔsòːditi
izrael	íːzraɛl
izraz	izrás
izsiljevalski	issiljɛʋáːʋski
izsiljevalski	issiljɛʋáːlski
izuti	izùːti
izvijač	izʋijàːt͡ʃ
izvir	izʋíːr
ja	jàː
ja	jáː
jablana	jàːblana
jablana	jáːblana
jabolko	jàːbɔʋkɔ
jadro	jàːdrɔ
jadro	jáːdrɔ
jagnje	jàːɡnjɛ
jagnjec	jàːɡnjɛt͡s
jagnjec	jáːɡnjɛt͡s
jagnjetina	jàːɡnjɛtina
jagnjetina	jaɡnjɛtìːna
jagoda	jàːɡɔda
jahati	jàːxati
jahati	jáːxati
jajce	jàːjt͡sɛ
jajčevec	jàːjt͡ʃɛʋət͡s
jajčevec	jáːjt͡ʃɛʋət͡s
jajčnik	jáːjt͡ʃnik
jak	jáːk
jakac	jáːkat͡s
jama	jàːma
jamajka	jamáːjka
janez	jàːnɛs
janež	jàːnɛʃ
jantar	jàːntar
jantar	jáːntar
januar	jáːnuar
japonska	japóːnska
jarek	jàːrək
jarek	jáːrək
jarem	jàːrəm
jasen	jàːsən
jasnejši	jàːsnɛjʃi
jasnejši	jasnɛ́ːjʃi
jasniti	jasnìːti
jasniti	jasníːti
jaspis	jáːspis
jaspisen	jáːspisən
jastreb	jáːstrɛp
javiti	jàːʋiti
javor	jàːʋɔr
jaz	jás
jazbec	jáːzbət͡s
jazon	jáːzɔn
je	jɛ́
je	jèː
jebati	jéːbati
jebati	jɛ́ːbati
ječmen	jɛ̀ːt͡ʃmɛn
jedec	jéːdət͡s
jegulja	jɛɡùːlja
jeklo	jɛ̀ːklɔ
jelen	jɛ̀ːlɛn
jelka	jèːlka
jelša	jèːʋʃa
jemati	jɛmàːti
jemen	jèːmən
jerebica	jɛrɛbìːt͡sa
jeremija	jɛrɛmíːja
jeruzalem	jɛrúːzalɛm
jesen	jɛséːn
jesen	jɛ̀ːsɛn
jesti	jèːsti
jeti	jèːti
jetika	jèːtika
jetra	jèːtra
jeza	jèːza
jezen	jèːzən
jezero	jéːzɛrɔ
jezik	jɛ̀ːzik
jezikoslovec	jɛzikɔslɔ́ːʋət͡s
jezikoslovje	jɛzikɔslɔ́ːʋjɛ
jeznejši	jèːznɛjʃi
jezus	jéːzus
jež	jèːʃ
jež	jéːʃ
jež	jèːʃ
jež	jéːʃ
ježevec	jèːʒɛʋət͡s
ježevec	jéːʒɛʋət͡s
jod	jóːt
joga	jóːɡa
jogurt	jóːɡurt
jokati	jòːkati
jokati	jɔkàːti
jordanija	jɔrdàːnija
jordanski	jɔrdáːnski
jože	jóːʒɛ
jožef	jóːʒɛf
judovstvo	jùːdɔʋstʋɔ
jug	júːk
jug	júk
jugoslavija	juɡɔslàːʋija
juha	jùːxa
julij	jùːlij
junij	jùːnij
jupiter	júːpitər
jur	jùːr
jurij	jùːrij
jutri	júːtri
jutro	jùːtrɔ
juvan	júːʋan
južen	jùːʒən
južina	jùːʒina
južnejši	jùːʒnɛjʃi
južnoameriški	juʒnɔamɛ́ːriʃki
južnoslovanski	juʒnɔslɔʋáːnski
kača	kàːt͡ʃa
kad	kát
kadar	kádar
kadilo	kadìːlɔ
kaditi	kadìːti
kaditi	kadíːti
kadmij	kàːdmij
kaj	kàːj
kaj	káj
kajak	káːjak
kako	kakòː
kako	kakóː
kakor	kákɔr
kakovost	kakɔ̀ːʋɔst
kakšen	kàːkʃən
kakšen	káːkʃən
kalcij	kàːlt͡sij
kalifornij	kalifòːrnij
kalifornija	kalifòːrnija
kalij	kàːlij
kaliti	kalìːti
kaliti	kalíːti
kaliti	kalìːti
kaliti	kalíːti
kaliti	kalìːti
kaliti	kalíːti
kamela	kaméːla
kamen	kàːmən
kamerun	káːmɛrun
kamin	kamíːn
kamion	kamijóːn
kanada	káːnada
kanjon	káːnjɔn
kapati	kàːpati
kapetan	kapéːtan
kapetanka	kapéːtanka
kapitalist	kapitalíːst
kapitalizem	kapitalìːzəm
kaplja	kàːplja
kapsula	káːpsula
karamela	karaméːla
kardinal	kardináːl
karel	kàːrəl
karta	káːrta
kartagina	kartáːɡina
kašelj	kàːʃəl
kašljati	káːʃljati
katalonija	katalòːnija
katalonski	katalóːnski
katalonščina	katalóːnʃt͡ʃina
katedrala	katɛdráːla
kategorialen	katɛɡɔrijáːlən
kategorija	katɛɡɔríːja
kateter	katèːtər
kava	kàːʋa
kavarna	kaʋáːrna
kavčič	káːʋt͡ʃit͡ʃ
kavka	káːʋka
kavkaz	kaʋkáːs
kavsati	káːʋsati
kazahstan	káːzaxstan
kazalec	kazáːlət͡s
kazati	kàːzati
kazati	kazàːti
kazen	káːzən
kaznovati	kaznɔʋàːti
kdaj	ɡdàːj
kdaj	ɡdáːj
kdaj	ɡdáj
kdo	ɡdòː
kdo	ɡdóː
kdor	ɡdóːr
kdor	ɡdɔ́r
kelih	kèːlix
kelt	kéːlt
kemija	kɛmíːja
kenguru	kɛnɡurúː
kenija	kèːnija
kenta	kéːnta
ker	kɛr
kern	kɛ́ːrn
kersnik	kɛrsnìːk
ki	ki
kikiriki	kikirikíː
kilometer	kilɔmèːtər
kinin	kiníːn
kino	kíːnɔ
kip	kíːp
kirij	kirìːj
kis	kíːs
kisel	kìːsəʋ
kisik	kisíːk
kislina	kislìːna
kit	kíːt
kit	kíːt
kita	kìːta
kitajec	kitáːjət͡s
kitajka	kitáːjka
kitajska	kitáːjska
kitajski	kitáːjski
kitajščina	kitáːjʃt͡ʃina
kitara	kitáːra
kje	kjèː
kje	kjéː
kjer	kjéːr
kladivce	klàːdiʋt͡sɛ
kladivce	kladìːʋt͡sɛ
kladivce	kladíːʋt͡sɛ
kladivo	klàːdiʋɔ
kladivo	kladìːʋɔ
klarinet	klarinéːt
klas	kláːs
klasičen	klàːsit͡ʃən
klasti	klàːsti
klati	klàːti
klavir	klaʋíːr
klečati	klɛt͡ʃàːti
kleopatra	klɛóːpatra
klepati	klɛpàːti
klepec	klɛ̀ːpət͡s
klešče	klèːʃt͡ʃɛ
klic	klíːt͡s
klicaj	klit͡sáːj
klicati	klìːt͡sati
klima	klìːma
klima	klíːma
ključ	kljùːt͡ʃ
ključavnica	kljut͡ʃáːʋnit͡sa
ključiti	kljùːt͡ʃiti
kljukica	kljùːkit͡sa
kljun	kljúːn
kljunaš	kljunàːʃ
klobasa	klɔbàːsa
klobuk	klɔbùːk
klofuta	klɔfùːta
klokan	klóːkan
klop	klóːp
klop	klɔ́p
klopotača	klɔpɔtàːt͡ʃa
klor	klóːr
klorofil	klɔrɔfíːl
klošar	klɔʃàːr
klošar	klóːʃar
klošč	klɔ́ʃt͡ʃ
klovn	klɔ̀ːʋn
kmalu	kmáːlu
kmet	kmɛ́t
kmet	kmɛ́t
kmetija	kmɛtíːja
kneginja	knéːɡinja
knez	knéːs
knjiga	knjìːɡa
knjigarna	knjiɡáːrna
književnost	knjiʒéːʋnɔst
ko	kɔ
kobalt	kóːbalt
kobarid	kɔbaríːt
kobila	kɔbìːla
kobilica	kɔbìːlit͡sa
kocka	kóːt͡ska
kockati	kóːt͡skati
kočija	kɔt͡ʃíːja
koder	kòːdər
koder	kòːdər
kokalj	kòːkal
kokolj	kòːkɔl
kokoš	kɔkóːʃ
kokot	kɔkóːt
kola	kɔ̀ːla
kola	kóːla
koledar	kɔlɛdàːr
koledž	kóːlɛtʃ
koleno	kɔlèːnɔ
kolesariti	kɔlɛsàːriti
količina	kɔlit͡ʃìːna
kolidž	kóːlitʃ
koliko	kòːlikɔ
koliko	kóːlikɔ
kolo	kɔlóː
kolo	kóːlɔ
komaj	kóːmaj
komar	kɔmàːr
komarček	kɔmàːrt͡ʃək
komarček	kɔmáːrt͡ʃək
komet	kɔméːt
komolec	kɔmóːlət͡s
komori	kɔmóːri
kompas	kóːmpas
kompas	kɔmpáːs
komunizem	kɔmunìːzəm
končati	kɔnt͡ʃàːti
končen	kɔ̀ːnt͡ʃən
končno	kɔ̀ːnt͡ʃnɔ
kondom	kɔndóːm
konec	kɔ̀ːnət͡s
konj	kɔ́n
konkreten	kɔnkréːtən
konkretno	kɔnkréːtnɔ
kontinent	kɔntinɛ́nt
kontrabas	kóːntrabáːs
kop	kóːp
kopalnica	kɔpáːlnit͡sa
kopati	kòːpati
kopati	kɔpàːti
kopati	kɔpàːti
kopel	kɔpéːl
kopel	kòːpɛʋ
koper	kòːpər
koper	kɔ̀ːpər
kopito	kɔpìːtɔ
kopje	kòːpjɛ
kopno	kɔ̀ːpnɔ
kopno	kɔ́ːpnɔ
kopno	kóːpnɔ
korak	kɔráːk
koreja	kɔrɛ́ːja
koren	kɔréːn
koren	kɔréːn
korenina	kɔrɛnìːna
korenje	kɔrɛ̀ːnjɛ
korenje	kɔréːnjɛ
korošec	kɔróːʃət͡s
koroška	kɔróːʃka
koruza	kɔrùːza
kos	kóːs
kos	kóːs
kos	kóːs
kosilo	kɔsìːlɔ
kosinus	kɔ́síːnus
kosinus	kóːsinus
kosinus	kóːzinus
kositer	kɔsìːtər
kositi	kòːsiti
kositi	kɔsìːti
kositi	kɔsíːti
kosmulja	kɔsmùːlja
kost	kóːst
kostanj	kɔ̀ːstan
kostnica	kóːstnit͡sa
koš	kɔ́ʃ
košara	kɔʃáːra
košarka	kɔʃáːrka
kot	kɔt
kot	kòːt
kovač	kɔʋàːt͡ʃ
kovač	kɔʋàːt͡ʃ
kovanec	kɔʋàːnət͡s
kovati	kɔʋàːti
kovinski	kɔʋíːnski
kovnica	kɔ́ːʋnit͡sa
koza	kɔ̀ːza
kozarec	kɔzáːrət͡s
kozel	kɔ̀ːzəʋ
kozmologija	kɔzmɔlɔɡíːja
kozorog	kɔzɔróːk
kozorog	kɔzɔróːk
koža	kòːʒa
kraj	kráj
krajina	kràːjina
krajina	kráːjina
krajšava	krajʃáːʋa
krajši	kráːjʃi
kralj	kràːl
kraljestvo	kraljéːstʋɔ
kraljevina	kraljɛʋìːna
kraljica	kraljìːt͡sa
krap	kráp
kras	kráːs
kras	krás
krastača	krastàːt͡ʃa
krasti	kràːsti
kratek	kràːtək
krater	kràːtɛr
kratica	kratìːt͡sa
kratkovaloven	kratkɔʋalɔ́ːʋən
krava	kràːʋa
kravžati	kráːʋʒati
kreda	kréːda
krema	kréːma
krempelj	krèːmpəl
kreniti	krɛnìːti
kreniti	krɛníːti
kres	kréːs
kreta	kréːta
kri	kríː
krik	kríːk
krilo	krìːlɔ
kripton	kríːptɔn
kristal	kristáːl
kristalizacija	kristalizàːt͡sija
kristjan	kristjáːn
kristus	kríːstus
kriti	krìːti
krivda	kríːʋda
krivoverec	kriʋɔʋéːrət͡s
križ	krìːʃ
križanje	krìːʒanjɛ
križanje	kríːʒanjɛ
križanka	kríːʒanka
krma	kə̀rma
krma	kə̀rma
krog	krɔk
krog	króːk
krogla	króːɡla
krojač	krɔjàːt͡ʃ
krokar	króːkar
krom	króːm
krom	krɔ́m
krompir	krɔmpìːr
krompir	krɔmpíːr
krona	króːna
kronati	króːnati
krst	kə́rst
krsta	kə̀rsta
krščanstvo	kərʃt͡ʃáːnstʋɔ
krt	kə́rt
kruh	krúx
krut	krúːt
krutejši	krùːtɛjʃi
krutejši	krúːtɛjʃi
krvaveti	kərʋaʋèːti
krzno	kə́rznɔ
ksenofobija	ksɛnɔfɔbíːja
ksenon	kséːnɔn
ksilofon	ksilɔfóːn
kuba	kúːba
kuga	kùːɡa
kuhar	kúːxar
kuhati	kùːxati
kuhinja	kùːxinja
kukavica	kùːkaʋit͡sa
kuna	kùːna
kunec	kùːnət͡s
kunec	kúːnət͡s
kup	kúp
kupa	kùːpa
kupiti	kupìːti
kupiti	kupíːti
kupiti	kùːpiti
kupovati	kupɔʋàːti
kura	kùːra
kurba	kúːrba
kurdščina	kúːrtʃt͡ʃina
kurec	kúːrət͡s
kurva	kúːrʋa
kuščar	kùːʃt͡ʃar
kuščar	kúːʃt͡ʃar
kuža	kúːʒa
kvadrat	kʋadráːt
kvar	kʋáːr
kvark	kʋáːrk
kvartet	kʋartéːt
kvas	kʋáːs
labod	labóːt
lačen	làːt͡ʃən
ladja	làːdja
lagati	laɡàːti
lahek	làːxək
lahko	laxkóː
lajati	láːjati
lama	làːma
lama	làːma
lani	làːni
lantan	lantáːn
las	láːs
last	láːst
lasten	làːstən
lastnina	lastnìːna
lastnost	lastnóːst
lastovica	làːstɔʋit͡sa
lastovka	làːstɔʋka
latinica	latíːnit͡sa
latinski	latíːnski
latinščina	latíːnʃt͡ʃina
latvija	làːtʋija
latvijec	làːtʋijət͡s
latvijka	làːtʋijka
latvijski	làːtʋijski
latvijsko	làːtʋijskɔ
latvijščina	làːtʋijʃt͡ʃina
lavrencij	laʋrèːnt͡sij
laž	láːʃ
lažji	láːʒji
lažnivec	laʒníːʋət͡s
le	lɛ́
leči	lèːt͡ʃi
led	léːt
ledenik	lɛdɛnìːk
legendaren	lɛɡɛndáːrən
leha	lèːxa
lek	léːk
lemež	léːmɛʃ
lemež	lɛ̀ːmɛʃ
len	léːn
len	lɛ́n
lenivec	lɛníːʋət͡s
leon	léːɔn
lep	léːp
lep	léːp
lepiti	lɛpìːti
lepiti	lɛpíːti
lepiti	lèːpiti
lepota	lɛpɔ̀ːta
lepši	léːpʃi
les	léːs
leska	lèːska
lesketati	lɛskɛtàːti
lesti	lèːsti
lestvica	lèːstʋit͡sa
lešnik	lèːʃnik
let	lɛ́t
letališče	lɛtalìːʃt͡ʃɛ
letalo	lɛtàːlɔ
leten	léːtən
leteti	lɛtèːti
leto	lèːtɔ
lev	lɛ́ʋ
levinja	lɛʋìːnja
levinja	lɛ̀ːʋinja
levinja	lɛ́ːʋinja
lezbijka	lèːzbijka
ležaj	lɛʒáːj
ležati	lɛʒàːti
libanon	líːbanɔn
liberija	libɛ̀ːrija
libidinozen	libidinóːzən
libido	líːbidɔ
libija	lìːbija
lice	lìːt͡sɛ
lice	líːt͡sɛ
ličinka	lit͡ʃíːnka
ličnica	líːt͡ʃnit͡sa
liga	lìːɡa
lijak	lijàːk
likalnik	likáːlnik
likati	líːkati
limona	limóːna
limonada	limɔnáːda
lipa	lìːpa
lipovec	lìːpɔʋət͡s
lira	líːra
lisica	lisìːt͡sa
lisička	lisìːt͡ʃka
list	líːst
lišaj	liʃáːj
liter	lìːtər
literatura	litɛratúːra
liti	lìːti
litij	lìːtij
litovec	lìːtɔʋət͡s
litovka	lìːtɔʋka
litovski	líːtɔʋski
litovsko	líːtɔʋskɔ
litovščina	lìːtɔʋʃt͡ʃina
liturgija	liturɡíːja
litva	líːtʋa
lizati	lìːzati
lizati	lizàːti
lizbona	lizbóːna
ljubeč	ljubɛ́t͡ʃ
ljubezen	ljubéːzən
ljubit	ljùːbit
ljubiti	ljubìːti
ljubiti	ljubíːti
ljubiti	ljùːbiti
ljubiti	ljúːbiti
ljubljana	ljubljàːna
ljubljenje	ljùːbljɛnjɛ
ljubljenje	ljúːbljɛnjɛ
ljubosumen	ljubɔsùːmən
ljubosumnejši	ljubɔsùːmnɛjʃi
ljubosumnost	ljubɔsùːmnɔst
ljudski	ljúːtski
lobanja	lɔbàːnja
ločevati	lɔt͡ʃɛʋàːti
ločiti	lɔt͡ʃìːti
ločiti	lɔt͡ʃíːti
ločiti	lòːt͡ʃiti
log	lóːk
lok	lóːk
lokacija	lɔkàːt͡sija
lokativ	lóːkatiʋ
lokomotiva	lɔkɔmɔtíːʋa
lom	lɔ́m
lombardija	lɔmbardíːja
lomiti	lɔmìːti
lomiti	lɔmíːti
lonec	lɔ̀ːnət͡s
lopata	lɔpàːta
lopov	lóːpɔʋ
lopov	lɔ́ːpɔʋ
los	lóːs
losos	lóːsɔs
lotos	lóːtɔs
lovec	lɔ̀ːʋət͡s
loviti	lɔʋìːti
loviti	lɔʋíːti
lubenica	lúːbɛnit͡sa
lubje	lùːbjɛ
luč	lùːt͡ʃ
luč	lúːt͡ʃ
lug	lùːk
lug	lúːk
luka	lùːka
luka	lùːka
luknja	lúːknja
luksemburg	lúːksɛmburk
luksemburški	lúːksɛmburʃki
luksemburški	luksɛmbúːrʃki
lulček	lúːlt͡ʃək
luna	lùːna
luna	lùːna
lunaren	lunáːrən
luska	lùːska
lutecij	lutèːt͡sij
luteranec	lutɛráːnət͡s
lutnja	lúːtnja
m	ɛm
macesen	mat͡sɛ̀ːsən
mačeha	màːt͡ʃɛxa
maček	màːt͡ʃək
mačka	máːt͡ʃka
madžar	mad͡ʒáːr
madžarka	mad͡ʒáːrka
madžarska	mad͡ʒáːrska
madžarski	mad͡ʒáːrski
madžarsko	mad͡ʒáːrskɔ
madžarščina	mad͡ʒáːrʃt͡ʃina
mafija	màːfija
magnezij	maɡnéːzij
mah	máːx
maj	màːj
maja	màːja
majati	majàːti
majati	màːjati
majhen	máːjxən
majoneza	majɔnéːza
majorka	majóːrka
mak	mák
mak	máːk
makedonec	makɛdóːnət͡s
makedonija	makɛdòːnija
makedonka	makɛdóːnka
makedonski	makɛdóːnski
makedonščina	makɛdóːnʃt͡ʃina
malarija	malàːrija
maldivi	maldíːʋi
malezija	malèːzija
malina	malìːna
malo	màːlɔ
malta	máːlta
malte	máːltɛ
malteščina	maltéːʃt͡ʃina
malteški	maltéːʃki
malteško	maltéːʃkɔ
maltežan	maltɛʒán
maltežan	maltɛʒáːn
maltežanka	maltɛʒáːnka
malti	máːlti
malto	máːltɔ
mamilo	mamìːlɔ
mamut	máːmut
mandolina	mandɔlíːna
mangan	manɡáːn
manjkati	máːnkati
manjšalnica	manʃáːlnit͡sa
manjši	máːnʃi
marec	màːrət͡s
marelica	maréːlit͡sa
marija	maríːja
marjan	máːrjan
marko	màːrkɔ
maroko	maróːkɔ
mars	máːrs
masa	máːsa
maslo	màːslɔ
masturbacija	masturbàːt͡sija
masturbirati	masturbíːrati
maša	màːʃa
matej	matɛ́ːj
matematika	matɛmàːtika
materen	máːtɛrən
maternica	máːtɛrnit͡sa
mati	màːti
matica	máːtit͡sa
mavec	màːʋət͡s
mavretanija	maʋrɛtàːnija
mavrica	máːʋrit͡sa
me	méː
meč	mɛ́t͡ʃ
mečji	méːt͡ʃji
med	mɛt
med	méːt
med	méːt
meden	mɛdéːn
meden	mɛdéːn
medenica	mɛdɛnìːt͡sa
medicina	mɛdit͡síːna
medved	mɛ̀ːdʋɛt
medvedka	mɛdʋéːtka
megavat	méːɡaʋáːt
megla	məɡlá
megla	mə̀ɡla
meglica	məɡlìːt͡sa
meh	méːx
mehaničen	mɛxàːnit͡ʃən
mehek	mɛ̀ːxək
mehika	méːxika
mehkužec	mɛxkúːʒət͡s
mehur	mɛxùːr
meja	mɛ̀ːja
mejak	mɛjàːk
mejiti	mɛjìːti
mejiti	mɛjíːti
meka	mèːka
melancana	mɛlant͡sáːna
melodija	mɛlɔdíːja
mendelevij	mɛndɛlèːʋij
menih	mɛnìːx
menih	mənìːx
meniti	mɛnìːti
meniti	mɛníːti
meniti	mèːniti
meniti	mɛnìːti
meniti	mɛníːti
menjati	mèːnjati
menjati	mɛnjàːti
meriti	mèːriti
merjasec	mɛrjàːsət͡s
merkur	mɛrkúːr
mesar	mɛsàːr
mesec	méːsət͡s
mesec	méːsət͡s
mesija	mɛsíːja
meso	mɛsóː
mesojedec	mɛsɔjéːdət͡s
mesti	mɛ̀ːsti
mesti	mèːsti
mesti	mɛ̀ːsti
mestnik	méːstnik
mesto	mèːstɔ
mešati	mèːʃati
mešati	mɛʃàːti
met	mɛ́t
meta	méːta
metafizika	mɛtafìːzika
metati	mɛtàːti
metež	méːtɛʃ
meti	mèːti
metla	mɛ̀ːtla
metulj	mɛtùːl
mezeg	məzə́k
mezeg	mə̀zək
mezinec	mɛzíːnət͡s
mezon	mɛzóːn
mi	míː
miha	mìːxa
mihael	míːxaɛl
mihaela	míːxaɛla
mil	míːl
miličnica	milíːt͡ʃnit͡sa
miličnik	milíːt͡ʃnik
milijon	milijóːn
milimeter	milimèːtər
milisekunda	míːlisɛkúːnda
militi	mìːliti
militi	míːliti
militi	mìːliti
milo	mìːlɔ
milo	mìːlɔ
mina	míːna
mineralogija	minɛralɔɡíːja
miniti	minìːti
miniti	miníːti
minuta	minúːta
mir	míːr
mirta	mìːrta
misel	míːsəʋ
misliti	mìːsliti
miš	míʃ
mišica	míːʃit͡sa
mišičen	míːʃit͡ʃən
mišjak	míːʃjak
miška	míːʃka
miti	mìːti
mitologija	mitɔlɔɡíːja
mitološki	mitɔlóːʃki
miza	mìːza
mizantropija	mizantrɔpíːja
mjanmar	mjanmáːr
mlad	mláːt
mladič	mladít͡ʃ
mladina	mladìːna
mladost	mladóːst
mlajši	mláːjʃi
mlečen	mlèːt͡ʃən
mleko	mlèːkɔ
mlesti	mlèːsti
mleti	mlèːti
mlin	mlíːn
množina	mnɔʒìːna
moč	móːt͡ʃ
moča	mòːt͡ʃa
močerad	mɔt͡ʃɛrát
moči	mɔ̀ːt͡ʃi
močvirje	mɔt͡ʃʋíːrjɛ
moder	mòːdər
moder	mòːdər
modernizirati	mɔdɛrnizíːrati
modnik	móːdnik
modo	mòːdɔ
modo	móːdɔ
modrec	móːdrət͡s
modrejši	mɔdrɛ́ːjʃi
modrejši	mòːdrɛjʃi
modrost	mòːdrɔst
modrost	mɔdróːst
mogoče	mɔɡòːt͡ʃɛ
mohamed	mòːxamɛt
mohar	mɔ̀ːxar
moj	mòːj
mojzes	móːjzɛs
moka	mòːka
moker	mòːkər
molčati	mɔʋt͡ʃàːti
moldavija	mɔldàːʋija
molekula	mɔléːkula
molibden	mɔlibdéːn
molitev	mɔlíːtəʋ
moliti	mɔlìːti
moliti	mɔlíːti
moliti	mɔlìːti
moliti	mɔlíːti
molsti	mɔ̀ːʋsti
monako	mɔnáːkɔ
monom	mɔnóːm
monoteizem	mɔnɔtɛìːzəm
morati	móːrati
moravec	mɔràːʋət͡s
morda	mɔrdá
moriti	mɔrìːti
moriti	mɔríːti
morje	móːrjɛ
morje	mɔrjéː
mornarica	mɔrnáːrit͡sa
mornarka	mɔrnàːrka
morski	mɔ̀ːrski
moskva	móːskʋa
most	móːst
mošeja	mɔʃɛ́ːja
moški	mɔ̀ːʃki
mošt	mɔ́ʃt
motika	mɔtíːka
motor	móːtɔr
mož	móːʃ
možen	mòːʒən
možgani	mɔʒɡáːni
možnar	mòːʒnar
možnost	mòːʒnɔst
mravlja	mràːʋlja
mravlja	mráːʋlja
mraz	mrás
mreti	mrèːti
mreža	mrèːʒa
mrhovina	mərxɔʋìːna
mrkev	mə̀rkəʋ
mrkva	mə̀rkʋa
mrož	mróːʃ
mrtev	mə̀rtəʋ
muditi	mudìːti
muditi	mudíːti
muflon	muflóːn
muha	mùːxa
mujezin	mujɛzíːn
mula	mùːla
mungo	múːnɡɔ
murva	múːrʋa
muskularen	muskuláːrən
musliman	muslimáːn
muslimanka	muslimáːnka
muslimanski	muslimáːnski
mušnica	múːʃnit͡sa
muzej	muzɛ́ːj
muzikalen	muzikáːlən
