က	ka̰
ဂျော့ခ်ျ	d͡ʑɔ̰kʰျ
ဂျော်ဂျီယာ	d͡ʑɔ̀d͡ʑìjà
ဂျော်ဒန်	d͡ʑɔ̀dàɴ
ဂျော်နီ	d͡ʑɔ̀nì
ဂြိုဟ်	d͡ʑò
ဂြိုဟ်တု	d͡ʑòhdṵ
ဂွမ်း	ɡʊ́ɴ
ဂွါတီမာလာ	ɡwàtìmàlà
ဃကြီး	ɡa̰d͡ʑí
င	ŋa̰
ငတ်	ŋaʔ
ငန်	ŋàɴ
ငန်း	ŋáɴ
ငယ်	ŋɛ̀
ငရုတ်	ŋəjoʊʔ
ငရုတ်ကောင်း	ŋəjoʊʔkáʊɴ
ငရဲ	ŋəjɛ́
ငရဲကြီးရှစ်ထပ်	ŋəjɛ́d͡ʑíʃɪʔtʰaʔ
ငရဲမင်း	ŋəjɛ́mɪ́ɴ
ငရဲသား	ŋəjɛ́ðá
ငါ	ŋà
ငါတို့	ŋàto̰
ငါ့	ŋa̰
ငါး	ŋá
ငါးပိ	ŋəpḭ
ငါးပိထောင်း	ŋápḭtʰáʊɴ
ငါးပိရည်	ŋəpḭjè
ငါးပုဏ္ဏား	ŋəpùnná
ငါးပေါင်းထုပ်	ŋəbáʊɴdoʊʔ
ငါးဖန်ခွက်	ŋəpʰàɴɡwɛʔ
ငါးဖယ်	ŋəpʰɛ̀
ငါးမန်း	ŋəmáɴ
ငါးမုန့်	ŋámo̰ʊɴ
ငါးမျှားတံ	ŋəm̥jádàɴ
ငါးရံ့	ŋəja̰ɴ
ငါးသလောက်ပေါင်း	ŋəθəlaʊʔbáʊɴ
ငါးဥ	ŋáʔṵ
ငို	ŋò
ငူတူတူ	ŋùtùdù
ငံ	ŋàɴ
ငံပြာရည်	ŋàɴbjàjè
ငြာ	ɲà
ငြိမ်းချမ်းရေး	ɲéɪɴd͡ʑáɴjé
ငွေ	ŋwè
ငွေကြေး	ŋwèt͡ɕé
ငွေသား	ŋwèðá
ငွေ့ငွေ့	ŋwḛŋwḛ
ငှက်	ŋ̊ɛʔ
ငှက်ဆိုး	ŋ̊ɛʔsʰó
ငှက်ပျော	ŋəpjɔ́
ငှက်ပျောပေါင်း	ŋ̊əbjɔ́báʊɴ
ငှက်ဖျား	ŋ̊ɛʔpʰjá
ငှါး	ŋ̊á
ငှား	ŋ̊á
စ	sa̰
စကတ်	səkaʔ
စကား	zəɡá
စကားထာ	zəɡətʰà
စကားပုံ	zəɡəbòʊɴ
စကားပြန်	zəɡəbjàɴ
စကားပြောကြေးနန်း	zəɡábjɔ́t͡ɕénáɴ
စကားလုံး	zəɡəlóʊɴ
စကားဝှက်	zəɡəʍɛʔ
စက္ကန့်	sɛʔka̰ɴ
စက္ကရီတေရီ	sɛʔkəɹìtèjì
စက္ကူ	sɛʔkù
စက်	sɛʔ
စက်ခေါင်း	sɛʔɡáʊɴ
စက်ဆုပ်	sɛʔsʰoʊʔ
စက်တင်ဘာ	sɛʔtɪ̀ɴbà
စက်ဘီး	sɛʔbéɪɴ
စက်ရုပ်	sɛʔjoʊʔ
စက်ရုံ	sɛʔjòʊɴ
စက်လှေကား	sɛʔl̥èɡá
စက်သုံးဆီဆိုင်	sɛʔθóʊɴsʰìsʰàɪɴ
စက်သေနတ်	sɛʔθənaʔ
စကြဝဠာ	sɛʔt͡ɕàwəlà
စကြာ	sɛʔt͡ɕà
စကြာဝဠာဗေဒ	sɛʔt͡ɕàwəlàbèda̰
စခန်း	səkʰáɴ
စင်	sɪ̀ɴ
စင်ကာပူ	sɪ̀ɴɡəpù
စင်စင်	sɪ̀ɴzɪ̀ɴ
စင်း	sɪ́ɴ
စင်္ကာပူ	sɪ̀ɴɡəpù
စင်္ကြံ	zɪ́ɴd͡ʑàɴ
စစ်	sɪʔ
စစ်ကိုင်း	zəɡáɪɴ
စစ်ကဲ	sɪʔkɛ́
စစ်တပ်	sɪʔtaʔ
စစ်တုရင်	sɪʔbəjɪ̀ɴ
စစ်တွေ	sɪʔtwè
စစ်ဗိုလ်	sɪʔbò
စစ်သား	sɪʔθá
စဉ်းစား	sɪ́ɴzá
စည်	sì
စည်ပိုင်း	sìbáɪɴ
စည်း	sí
စည်းပုံ	síbòʊɴ
စတိုး	sətó
စတု	zətṵ
စတုဂံ	sətṵɡàɴ
စတုတ္ထ	zədoʊʔtʰa̰
စတုဒိသာ	sa̰tṵdḭθà
စတုရန်း	sətṵjáɴ
စတေဒီယံ	sətèdìjàɴ
စနစ်	sənɪʔ
စနေ	sənè
စန္ဒရား	sàɴdəjá
စန္ဒာ	sàɴdà
စန္ဒီ	sàɴdì
စန္ဒြမာသ	sàɴdɹa̰màθa̰
စန္ဒြာ	sàɴdɹà
စန်း	sáɴ
စပါး	zəbá
စပါးလင်	zəbəlɪ̀ɴ
စပိန်	səpèɪɴ
စပ်	saʔ
စပျစ်	zəbjɪʔ
စပျစ်သီး	zəbjɪʔθí
စပွတ်နစ်	səpʊʔnɪʔ
စမူဆာ	səmùzà
စမူဆာသုပ်	səmùzàθoʊʔ
စမ်း	sáɴ
စရိုက်	zəjaɪʔ
စလုံး	sa̰lóʊɴ
စလွယ်	səlwè
စအို	səʔò
စာ	sà
စာကိုယ်	sàɡò
စာကြည့်တိုက်	sàt͡ɕḭdaɪʔ
စာစောင်	sàzàʊɴ
စာဆို	sàzò
စာတိုက်	sàdaɪʔ
စာပို့	sàpo̰
စာပို့	sàbo̰
စာပေ	sàpè
စာဖတ်	sàpʰaʔ
စာမရီ	sàma̰jì
စာမေးပွဲ	sàmébwɛ́
စာမျက်နှာ	sàmjɛʔn̥à
စာရင်း	səjɪ́ɴ
စာရင်းကိုင်	səjɪ́ɴɡàɪɴ
စာရင်းကိုင်ပညာ	səjɪ́ɴɡàɪɴpjɪ̀ɴɲà
စာရေး	səjé
စာရေးဆရာ	sàjésʰəjà
စာရွက်စာတမ်း	sàjwɛʔsàdáɴ
စာလုံးပေါင်းသတ်ပုံ	səlóʊɴbáʊɴθaʔpòʊɴ
စာသင်ခန်း	sàθɪ̀ɴɡáɴ
စာသား	sàðá
စာအိတ်	sàʔeɪʔ
စာအုပ်	sàʔoʊʔ
စာအုပ်ဆိုင်	sàʔoʊʔsʰàɪɴ
စား	sá
စားချဉ့်ပြန်	sət͡ɕʰɪ̰ɴpjàɴ
စားစရာ	sázəjà
စားတော်ဆက်	sádɔ̀sʰɛʔ
စားတော်ဆက်	sádɔ̀zɛʔ
စားပြီးပြီလား	sápíbìlá
စားပွဲ	zəbwɛ́
စားပွဲ	sábwɛ́
စားပွဲထိုး	zábwɛ́dó
စားဖို	səpʰò
စားဖိုဆောင်	səpʰòzàʊɴ
စားသောက်ဆိုင်	sáθaʊʔsʰàɪɴ
စိတ္တဗေဒ	seɪʔta̰bèda̰
စိတ်	seɪʔ
စိတ်ဆိုး	seɪʔsʰó
စိတ်ဓာတ်	seɪʔdàt
စိတ်ပညာ	seɪʔpjɪ̀ɴɲà
စိတ်မှတ်	seɪʔm̥aʔ
စိတ်ရောဂါ	seɪʔjɔ́ɡà
စိန်	sèɪɴ
စိန်ဖြူ	sèɪɴpʰjù
စိမ့်	sḛɪɴ
စိမ်း	séɪɴ
စိမ်းစားဥ	séɪɴzáʔṵ
စို	sò
စိုက်	saɪʔ
စိုက်ပျိုးရေး	saɪʔpjójé
စိုင်း	sáɪɴ
စိုထိုင်း	sòtʰáɪɴ
စီဒီ	sìdì
စီး	sí
စီး	sí
စီး	sí
စီးကရက်	síkəɹɛʔ
စီးကလိပ်	síkəleɪʔ
စီးပွား	síbwá
စီးပွားရေး	síbwájé
စီးပွားရေးသမား	síbwájéðəmá
စုတ်	soʊʔ
စုပ်	soʊʔ
စုပ်စုပ်	soʊʔsoʊʔ
စုလျား	sṵjá
စုံစမ်း	sòʊɴzáɴ
စုံဖက်	sòʊɴpʰɛʔ
စူပါမားကတ်	sùpəmákaʔ
စူးစူး	súzú
စေတနာ	sèdənà
စေတနာရှင်	sèdənàʃɪ̀ɴ
စေတီ	zèdì
စော	sɔ́
စောက်	saʊʔ
စောင့်	sa̰ʊɴ
စောင်	sàʊɴ
စောင်း	sáʊɴ
စောစော	sɔ́zɔ́
စောပြာ	sɔ́bjà
စော်ဘွား	sɔ̀bwá
စေ့စပ်	sḛzaʔ
စံပယ်	zəbɛ̀
စွင့်	swɪ̰ɴ
စွတ်စွတ်နာ	sʊʔsʊʔnà
စွတ်ဖါး	sʊʔpʰá
စွန်	sʊ̀ɴ
စွန်ကုပ်	sʊ̀ɴɡoʊʔ
စွပ်	sʊʔ
စွပ်ပြုတ်	sʊʔpjoʊʔ
စွမ်း	swáɴ
စွမ်းအင်	swáɴʔɪ̀ɴ
စွယ်	swɛ̀
စွေ့စွေ့	swḛzwḛ
ဆက္ကဂံ	sʰɛʔkəɡàɴ
ဆက်	sʰɛʔ
ဆက်ဆံ	sʰɛʔsʰàɴ
ဆက်သွယ်ရေး	sʰɛʔθwɛ̀jé
ဆင့်	sʰɪ̰ɴ
ဆင်	sʰɪ̀ɴ
ဆင်ခြေထောက်ရောဂါ	sʰɪ̀ɴt͡ɕʰèdaʊʔjɔ́ɡà
ဆင်စွယ်	sʰɪ̀ɴzwɛ̀
ဆင်ဝင်	sʰɪ̀ɴwɪ̀ɴ
ဆင်း	sʰɪ́ɴ
ဆင်းရဲ	sʰɪ́ɴjɛ́
ဆစ်ဒနီ	sʰɪʔdənì
ဆဋ္ဌမ	sʰaʔtʰəma̰
ဆန္ဒ	sʰàɴda̰
ဆန်	sʰàɴ
ဆန်ခါ	zəɡà
ဆန်ပြုတ်	sʰàɴbjoʊʔ
ဆန်မာရီနို	sʰàɴmàɹìnò
ဆန်း	sʰáɴ
ဆန်းဒဝစ်	sʰáɴdəwɪʔ
ဆနွင်းမကင်း	sʰənwɪ́ɴməkɪ́ɴ
ဆပ်ကပ်	sʰaʔkaʔ
ဆပ်ပြာ	sʰaʔpjà
ဆပ်သွားဖူး	sʰaʔθwápʰú
ဆယ့်တစ်	sʰɛ̰tɪʔ
ဆယ့်နှစ်	sʰɛ̰n̥ɪʔ
ဆယ့်နှစ်ရာသီ	sʰɛ̰n̥əjàθì
ဆယ်	sʰɛ̀
ဆရာ	sʰəjà
ဆရာတော်	sʰəjàdɔ̀
ဆရာမ	sʰəjàma̰
ဆရာလေး	sʰəjàlé
ဆရာဝန်	sʰa̰jàwʊ̀ɴ
ဆရာသမား	sʰa̰jàθəmá
ဆလတ်	sʰəlaʔ
ဆလဗ	sʰəla̰ba̰
ဆလိမ်	sʰa̰lèɪɴ
ဆလိုင်း	sʰəláɪɴ
ဆလိုဗားကီးယား	sʰəlòbákíjá
ဆလိုဗေးနီးယား	sʰəlòbéníjá
ဆာ	sʰà
ဆာဂျင်	sʰàd͡ʑɪ̀ɴ
ဆာမူရိုင်း	sʰàmùɹáɪɴ
ဆာယာ	sʰàjà
ဆာရီ	sʰàɹì
ဆား	sʰá
ဆားဘီးယား	sʰábíjá
ဆိတ်	sʰeɪʔ
ဆိတ်ကုလား	sʰeɪʔkəlá
ဆိတ်ချေး	sʰeɪʔt͡ɕʰí
ဆိတ်ထီး	sʰeɪʔtʰí
ဆိတ်မ	sʰeɪʔma̰
ဆိပ်	sʰeɪʔ
ဆိပ်ကမ်း	sʰeɪʔkáɴ
ဆို	sʰò
ဆိုကရေးတီး	sʰòkəɹétí
ဆိုကရေးတီး	sʰòka̰jétí
ဆိုက်	sʰaɪʔ
ဆိုက်ကား	sʰaɪʔká
ဆိုက်ပရပ်စ်	sʰaɪʔpəɹaʔs
ဆိုက်ဘေးရီးယား	sʰaɪʔbéɹíjá
ဆိုင်	sʰàɪɴ
ဆိုင်း	sʰáɪɴ
ဆိုင်းထိုး	sʰáɪɴtʰó
ဆိုင်းဘုတ်	sʰáɪɴboʊʔ
ဆိုင်းဝိုင်း	sʰáɪɴwáɪɴ
ဆိုထုံး	sʰòdóʊɴ
ဆိုဒီယမ်	sʰòdìjàɴ
ဆိုဖာ	sʰòpʰà
ဆိုဗီယက်	sʰòbìjɛʔ
ဆိုမာလီယာ	sʰòmàlìjà
ဆိုး	sʰó
ဆီ	sʰì
ဆီချက်	sʰìd͡ʑɛʔ
ဆီချက်ခေါက်ဆွဲ	sʰìd͡ʑɛʔkʰaʊʔsʰwɛ́
ဆီထမင်း	sʰìtʰəmɪ́ɴ
ဆီနီဂေါ	sʰìnìɡɔ́
ဆီပြန်	sʰìbjàɴ
ဆီယူ	sʰìjù
ဆီရာလီယွန်	sʰìɹàlìjʊ̀ɴ
ဆီး	sʰí
ဆီးချို	sʰíd͡ʑò
ဆီးချုပ်ရောဂါ	sʰíd͡ʑoʊʔjɔ́ɡà
ဆီးပူညောင်းကျ	sʰípùɲáʊɴt͡ɕa̰
ဆီးဖြူ	zíbjù
ဆီးရီးယား	sʰíɹíjá
ဆီးအောင့်ရောဂါ	sʰíʔa̰ʊɴjɔ́ɡà
ဆု	sʰṵ
ဆုံး	sʰóʊɴ
ဆူ	sʰù
ဆူဒန်	sʰùdàɴ
ဆူရာနမ်	sʰùɹànàɴ
ဆူရှီ	sʰùʃì
ဆူး	sʰú
ဆူးပုပ်	sʰúboʊʔ
ဆောက်	sʰaʊʔ
ဆောင်	sʰàʊɴ
ဆောင်ပုဒ်	sʰàʊɴboʊʔ
ဆောင်း	sʰáʊɴ
ဆောင်းပါး	sʰáʊɴbá
ဆောင်းဦး	sʰáʊɴʔú
ဆောရီး	sʰɔ́ɹí
ဆော့	sʰɔ̰
ဆော့ဖ်ဝဲလ်	sʰaʊʔwɛ́
ဆော်ဒီအာရေဗ္ယ	sʰɔ̀dìʔàɹèbja̰
ဆေး	sʰé
ဆေးခန်း	sʰékʰáɴ
ဆေးခြောက်	sʰéd͡ʑaʊʔ
ဆေးဆိုင်	sʰézàɪɴ
ဆေးတံ	sʰédàɴ
ဆေးပေါ့လိပ်	sʰébɔ̰leɪʔ
ဆေးပြင်းလိပ်	sʰébjɪ́ɴleɪʔ
ဆေးဘဲဥ	sʰébɛ́ʔṵ
ဆေးရုံ	sʰéjòʊɴ
ဆေးရှဲ	sʰéʃɛ́
ဆေးလုံး	sʰélóʊɴ
ဆံ	sʰàɴ
ဆံတော်ချ	sʰàɴtɔ̀t͡ɕʰa̰
ဆံပင်	zəbɪ̀ɴ
ဆံပင်တု	zəbɪ̀ɴdṵ
ဆွစ်ဇာလန်	sʰwɪʔzəlàɴ
ဆွဆွ	sʰwa̰zwa̰
ဆွပ်	sʰʊʔ
ဆွမ်း	sʰʊ́ɴ
ဆွမ်းမွှေး	sʰʊ́ɴm̥wé
ဆွမ်းအုပ်	sʰʊ́ɴʔoʊʔ
ဆွယ်တာ	sʰwɛ̀tà
ဆွာဇီလန်	sʰwàzìlàɴ
ဆွီဒင်	sʰwìdɪ̀ɴ
ဆွေခုနစ်ဆက်မျိုးခုနစ်ဆက်	sʰwèkʰənəzɛʔmjókʰənəzɛʔ
ဆွဲ	sʰwɛ́
ဇကွဲ	za̰ɡwɛ́
ဇင့်ခ်	zɪ̰ɴ
ဇင်ဘာဘွေ	zɪ̀ɴbàbwè
ဇင်းမယ်	zɪ́ɴmɛ̀
ဇင်္ဂမဥစ္စာ	zɪ̀ɴɡəma̰ʔoʊʔsà
ဇစ်	zɪʔ
ဇနပုဒ်	zənəpoʊʔ
ဇနီး	zəní
ဇန်နဝါရီ	zàɴnəwàɹì
ဇမ်ဘီယာ	zàɴbìjà
ဇယ	zəja̰
ဇယား	zəjá
ဇရပ်	zəjaʔ
ဇလဗေဒ	zəla̰bèda̰
ဇာ	zà
ဇာဂနာ	zàɡənà
ဇာတိ	zàtḭ
ဇာတ်	zaʔ
ဇာတ်ကား	zaʔká
ဇာတ်ကြီးဆယ်ဘွဲ့	zàtd͡ʑísʰɛ̀bwɛ̰
ဇာတ်ဆောင်	zaʔsʰàʊɴ
ဇာတ်ညွှန်း	zàtɲ̊ʊ́ɴ
ဇာတ်တော်	zàt
ဇာတ်ရုံ	zaʔjòʊɴ
ဇာနည်	zànì
ဇိန	zḭna̰
ဇိမ်မယ်	zèɪɴmɛ̀
ဇီဝ	zìwa̰
ဇီဝကမ္မဗေဒ	zìwa̰kàɴma̰bèda̰
ဇီဝစက်	zìwa̰sɛʔ
ဇီဝဓာတုဗေဒ	zìwa̰dàtṵbèda̰
ဇီဝဗေဒ	zìwa̰bèda̰
ဇူလိုင်	zùlàɪɴ
ဇေ	zè
ဇေယျ	zèja̰
ဇေယျာပူရ	zèjàpùɹa̰
ဇော်ဂျီ	zɔ̀d͡ʑì
ဇွန်	zʊ̀ɴ
ဇွန်း	zʊ́ɴ
ဈမျဉ်းဆွဲ	za̰mjɪ́ɴzwɛ́
ဈာန်	zàn
ဈာပန	zàpəna̰
ဈေး	zé
ဈေးကြီး	zét͡ɕí
ဈေးချို	zét͡ɕʰò
ဈေးနှုန်း	zén̥óʊɴ
ဉာဏ်	ɲàn
ဉာဏ်ပူဇော်ခ	ɲànpùzɔ̀kʰa̰
ည	ɲa̰
ညကလေး	ɲa̰kəlé
ညကြီး	ɲa̰t͡ɕí
ညစာ	ɲa̰zà
ညစ်	ɲɪʔ
ညစ်ထည်း	ɲɪʔtʰé
ညည်း	ɲí
ညနေ	ɲa̰nè
ညနေခင်း	ɲa̰nèɡɪ́ɴ
ညာ	ɲà
ညို	ɲò
ညီ	ɲì
ညီနောင်	ɲìnàʊɴ
ညီမ	ɲìma̰
ညီမျှခြင်း	ɲìm̥ja̰d͡ʑɪ́ɴ
ညီလာခံ	ɲìlàɡàɴ
ညီအစ်ကို	ɲìʔəkò
ညီအစ်မ	ɲìʔəma̰
ညောင်	ɲàʊɴ
ညောင်ဗောဓိ	ɲàʊɴbɔ́dḭ
ညောင်လေးပင်	ɲàʊɴlépɪ̀ɴ
ညောင်းကျရောဂါ	ɲáʊɴt͡ɕa̰jɔ́ɡà
ညံစာစာ	ɲàɴsàzà
ညွန့်	ɲʊ̰ɴ
ညှင်း	ɲ̊ɪ́ɴ
ညှစ်	ɲ̊ɪʔ
ညှပ်	ɲ̊aʔ
ညှာ	ɲ̊à
ဌာန	tʰàna̰
ဌာပနာ	tʰàpənà
ဌေး	tʰé
တကယ်	dəɡɛ̀
တကာ	dəɡà
တက္ကစီ	tɛʔkəsì
တက္ကဗေဒ	tɛʔka̰bèda̰
တက္ကသိုလ်	tɛʔkəθò
တက်	tɛʔ
တကွ	dəɡwa̰
တချို့	tət͡ɕʰo̰
တင့်ကား	tɪ̰ɴká
တင်	tɪ̀ɴ
တင်ကူး	tɪ̀ɴɡú
တင်ဒါ	tɪ̀ɴdà
တင်ပါ့ဘုရား	tɪ̀ɴba̰pʰəjá
တင်းတင်း	tɪ́ɴtɪ́ɴ
တင်းထိမ်	tɪ́ɴdèɪɴ
တင်းနစ်	tɪ́ɴnɪʔ
တစပြင်	dəza̰bjɪ̀ɴ
တစောင်း	dəzáʊɴ
တစ္ဆေ	təsʰè
တစ်	tɪʔ
တစ်ခုလပ်	təkʰṵlaʔ
တစ်ဆယ်	təzɛ̀
တစ်ထောင်	tətʰàʊɴ
တစ်ပင်တိုင်မင်းသမီး	dəbɪ̀ɴdàɪɴmɪ́ɴðəmí
တစ်ရာ	təjà
တဆယ်	təzɛ̀
တဆေး	təsʰé
တညင်း	dəɲɪ́ɴ
တည်	tɛ̀
တည်	tì
တည်း	tʰɛ́
တဏှာ	tən̥à
တတိယ	ta̰tḭja̰
တတ်	taʔ
တန	ta̰na̰
တနင်္ဂနွေ	tənɪ̀ɴɡənwè
တနင်္လာ	tənɪ́ɴlà
တန်ခူး	dəɡú
တန်ဆောင်မုန်း	dəzàʊɴmóʊɴ
တန်ဇေးနီးယား	tàɴzéníjá
တပည့်တော်	dəbḭdɔ̀
တပည့်တော်မ	dəbḭdɔ̀ma̰
တပို့တွဲ	dəbo̰dwɛ́
တပေါင်း	dəbáʊɴ
တပေါင်းလပြည့်နေ့	dəbáʊɴla̰pjḭnḛ
တပ်	taʔ
တပ်ကြပ်	taʔt͡ɕaʔ
တပ်ကြပ်ကြီး	taʔt͡ɕaʔt͡ɕí
တပ်ခွဲတပ်ကြပ်ကြီး	taʔkʰwɛ́taʔt͡ɕaʔt͡ɕí
တပ်မတော်	taʔmədɔ̀
တပ်မတော်နေ့	taʔmədɔ̀nḛ
တဘက်	dəbɛʔ
တမန်	təmàɴ
တမန်တော်	təmàɴdɔ̀
တယော	təjɔ́
တယ်	tɛ̀
တယ်	tɛ̀
တယ်လီဖုန်း	tɛ̀lìpʰóʊɴ
တယ်လီဗီးရှင်း	tɛ̀lìbíʃɪ́ɴ
တရား	təjá
တရားခံ	təjəkʰàɴ
တရားစွဲ	təjáswɛ́
တရားရုံး	təjájóʊɴ
တရားလွှတ်တော်	təjál̥ʊʔtɔ̀
တရားလွှတ်တော်ချုပ်	təjál̥ʊʔtɔ̀d͡ʑoʊʔ
တရားသူကြီး	təjáðùd͡ʑí
တရုတ်	təjoʊʔ
တရုတ်စံကား	ta̰joʊʔsàɴká
တရုတ်ဆီးသီး	təjoʊʔzíθí
တရုတ်နံနံ	ta̰joʊʔnàɴnàɴ
တရုတ်နှင်းသီး	ta̰joʊʔn̥ɪ́ɴθí
တလိုင်း	təláɪɴ
တလွဲ	təlwɛ́
တာချီလိတ်	tàt͡ɕʰìleɪʔ
တာဂျစ်ကစ္စတန်	tàd͡ʑɪʔkɪʔsətàɴ
တာမွေ	tàmwè
တာယာ	tàjà
တာရာ	tàjà
တာလုဇ	tàlṵza̰
တာဝတိံသာ	tàwa̰tèɪɴθà
တာဝန်	tàwʊ̀ɴ
တာ့ခ်မင်နစ္စတန်	ta̰kʰmɪ̀ɴnɪʔsətàɴ
တား	tá
တိတ်	teɪʔ
တိပိဋက	tḭpḭtəka̰
တိမ်	tèɪɴ
တိရစ္ဆာန်	təɹeɪʔsʰàɴ
တိရစ္ဆာန်ရုံ	təɹeɪʔsʰàɴjòʊɴ
တို	tò
တိုက်	taɪʔ
တိုက်ခန်း	taɪʔkʰáɴ
တိုက်ပုံ	taɪʔpòʊɴ
တိုက်ပွဲ	taɪʔpwɛ́
တိုက်အိမ်	taɪʔʔèɪɴ
တိုကျို	tòt͡ɕò
တိုဂို	tòɡò
တိုင်	tàɪɴ
တိုင်ကီ	tàɪɴkì
တိုင်ပင်	tàɪɴbɪ̀ɴ
တိုင်းရင်းသား	táɪɴjɪ́ɴðá
တိုဖူး	tòpʰú
တိုရှေ	tòʃè
တိုဟူး	tòhú
တိုဟူးနွေး	tòhúnwé
တိုဟူးသုပ်	tòhúθoʊʔ
တို့	do̰
တိုး	tó
တိုးတက်	tótɛʔ
တိုးတက်ခြင်း	tótɛʔd͡ʑɪ̀ɴ
တိုးတက်ရေး	tótɛʔjé
တိုးတိုး	tódó
တိုးနရား	tónəjá
တီကောင်	tìɡàʊɴ
တီဗီ	tìbì
တီရှပ်	tìʃaʔ
တီးတိုးပြော	tídópjɔ́
တုတ်	doʊʔ
တုတ်မီး	doʊʔmí
တုံး	tóʊɴ
တူ	tù
တူနီးရှား	tùníʃá
တူမ	tùma̰
တူရကီ	tùɹəkì
တူရိယာ	tùɹḭjà
တူး	tú
တူးမြောင်း	túmjáʊɴ
တူးရစ်	túɹɪʔ
တေဇော	tèzɔ́
တေသံ	tèðàɴ
တော	tɔ́
တောက်တဲ့	taʊʔtɛ̰
တောခွေး	tɔ́ɡwé
တောင်	tàʊɴ
တောင်ကိုရီးယား	tàʊɴkòɹíjá
တောင်ကြား	tàʊɴd͡ʑá
တောင်ကြီး	tàʊɴd͡ʑí
တောင်ငူ	tàʊɴŋù
တောင်ဆူဒန်	tàʊɴsʰùdàɴ
တောင်ပံ	tàʊɴbàɴ
တောင်ဖက်ဝန်း	tàʊɴpʰɛʔwʊ́ɴ
တောင်သူ	tàʊɴðù
တောင်သူလယ်သမား	tàʊɴðùlɛ̀ðəmá
တောင်သူလယ်သမားနေ့	tàʊɴðùlɛ̀θəmánḛ
တောင်အာဖရိက	tàʊɴʔàpʰəɹḭka̰
တောင်း	táʊɴ
တောင်းပန်	táʊɴbàɴ
တောသား	tɔ́ðá
တော်	tɔ̀
တော်ပြီ	tɔ̀bì
တော်လေးဝ	tɔ̀léwa̰
တော်လှန်	tɔ̀l̥àɴ
တော်လှန်ရေး	tɔ̀l̥àɴjé
တော်သလင်း	tɔ̀ðəlɪ́ɴ
တေးသံရှင်	téθàɴʃɪ̀ɴ
တေးသွား	téðwá
တဲ	tɛ́
တံ	tàɴ
တံခါး	dəɡá
တံခွန်	dəɡʊ̀ɴ
တံခွန်တိုင်	dəɡʊ̀ɴdàɪɴ
တံငါ	təŋà
တံစဉ်	dəzɪ̀ɴ
တံစဉ်း	dəzɪ́ɴ
တံဆိပ်	dəzeɪʔ
တံဆိပ်ခေါင်း	dəzeɪʔɡáʊɴ
တံတား	dədá
တံတိုင်း	dədáɪɴ
တံတောင်	dədàʊɴ
တံပိုး	dəbó
တံပူ	dəbù
တံမြက်စည်း	dəbjɛʔsí
တံ့တံ့	ta̰ɴda̰ɴ
တြိ	təɹḭ
တြိဂံ	tɹḭɡàɴ
တြိပူရ	təɹḭpùja̰
တွက်	twɛʔ
တွင်	twɪ̀ɴ
တွင်း	twɪ́ɴ
တွန်း	tʊ́ɴ
တွပ်	tʊʔ
တွေ့	twḛ
တွေး	twé
ထ	tʰa̰
ထက်	tʰɛʔ
ထင်	tʰɪ̀ɴ
ထင်စား	tʰɪ̀ɴzá
ထင်း	tʰɪ́ɴ
ထည်	tʰɛ̀
ထန်း	tʰáɴ
ထန်းလျက်	tʰəɲɛʔ
ထပ်	tʰaʔ
ထပ်တစ်ရာ	tʰaʔtəjà
ထဘီ	tʰəmì
ထမင်း	tʰəmɪ́ɴ
ထမင်းကြော်	tʰəmɪ́ɴd͡ʑɔ̀
ထမင်းချဉ်	tʰəmɪ́ɴd͡ʑɪ̀ɴ
ထမင်းဆိုင်	tʰəmɪ́ɴzàɪɴ
ထမင်းသုပ်	tʰa̰mɪ́ɴθoʊʔ
ထမနဲ	tʰa̰ma̰nɛ́
ထယ်	tʰɛ̀
ထာဝရ	tʰàwəja̰
ထာဝရဥစ္စာ	tʰàwəja̰ʔoʊʔsà
ထား	tʰá
ထားဝယ်	dəwɛ̀
ထိ	tʰḭ
ထိကပေါက်	tʰḭɡəbaʊʔ
ထိပ်ခေါင်တင်	tʰeɪʔkʰàʊɴtɪ̀ɴ
ထိပ်စုဖုရား	tʰeɪʔsṵpʰəjá
ထိမ်းမြား	tʰéɪɴmjá
ထို	tʰò
ထိုင်	tʰàɪɴ
ထိုင်ခုံ	tʰàɪɴɡòʊɴ
ထိုင်ပေ	tʰàɪɴpè
ထိုင်မသိမ်း	tʰàɪɴməθéɪɴ
ထိုင်ဝမ်	tʰàɪɴwàɴ
ထိုင်း	tʰáɪɴ
ထိုမှာ	tʰòm̥à
ထိုး	tʰó
ထိုးမုန့်	tʰómo̰ʊɴ
ထီ	tʰì
ထီး	tʰí
ထီးတင်	tʰítɪ̀ɴ
ထီးဖြူ	tʰíbjù
ထုတ်ကုန်	tʰoʊʔkòʊɴ
ထုံးစံ	tʰóʊɴzàɴ
ထူ	tʰù
ထူထဲ	tʰùdɛ́
ထူပါ	tʰùpà
ထူး	tʰú
ထေရဝါဒ	tʰèja̰wàda̰
ထောက်	tʰaʊʔ
ထောက်ခံ	tʰaʊʔkʰàɴ
ထောင့်	da̰ʊɴ
ထောင်	tʰàʊɴ
ထောင်ကဲ	tʰàʊɴkɛ́
ထောင်သား	tʰàʊɴðá
ထောပတ်	tʰɔ́baʔ
ထောပတ်ထမင်း	tʰɔ́paʔtʰa̰mɪ́ɴ
ထောပတ်သီး	tʰɔ́paʔθí
ထဲ	tʰɛ́
