.f	ʔɛf
mḥyt	məħeːʔəʔ
mḥyt	məħeːʔ
mḥyt	maħiːjVt
mḥyt	maħiːjVʔ
mḥyt	məħeːʔəʔ
mḥyt	məħeːʔ
mḥyt	mɛħiːt
mḥyt	maħuːjVt
mḥyt	maħuːjVʔ
mḥyt	məħuːʔəʔ
mḥyt	məħeːʔ
mḥyt	maħuːjVt
mḥyt	maħuːjVʔ
mḥyt	məħuːʔəʔ
mḥyt	məħeːʔ
mḥyt	mɛħiːt
mṯn	mɛt͡ʃɛn
mṯwn	mɛt͡ʃuːn
mẖ	mɛç
mẖnt	mɛçnɛt
mẖr	mɛçɛr
mẖtw	mɛçtuː
mẖꜥqt	mɛçɑːkɛt
mꜣj	maːʀVj
mꜣj	maːʀVj
mꜣj	moːj
mꜣj	maːʀVj
mꜣj	maːʀVj
mꜣj	moːj
mꜣj	mɑi
mꜣqt	mɑkɛt
mꜣqꜣrꜣ	mɛkɛr
mꜣt	mɑt
mꜣtt	mɑtɛt
mꜣwj	miʀwit
mꜣwj	miʀwiʔ
mꜣwj	miːwə
mꜣwj	miʀwit
mꜣwj	miʀwiʔ
mꜣwj	miːwə
mꜣwj	mɑuːi
mꜣwt	maʀwat
mꜣwt	maʀwaʔ
mꜣwt	moːwə
mꜣwt	maʀwat
mꜣwt	maʀwaʔ
mꜣwt	moːwə
mꜣwt	mɑuːt
mꜣy	mɑiː
mꜣẖ	mɑç
mꜣꜣ	mɑʔɑ
mꜣꜥ	mɑʔɑː
mꜣꜥt	muʀʕat
mꜣꜥt	muʀʕaʔ
mꜣꜥt	muʔʕəʔ
mꜣꜥt	møʔʕə
mꜣꜥt	muʀʕat
mꜣꜥt	muʀʕaʔ
mꜣꜥt	muʔʕəʔ
mꜣꜥt	møʔʕə
mꜣꜥt	mɑʔɑːt
mꜣꜥtj	mɑʔɑːti
mꜣꜥtj	mɑʔɑːti
mꜥbꜣ	mɑːbɑ
mꜥkꜣ	mɑːkɑ
mꜥnḏt	mɑːnd͡ʒɛt
mꜥq	mɑːk
n	ni
n	ni
n	ne
n	ni
n	ni
n	ne
n	ɛn
n	ɛn
n	ɛn
nb	nɛb
nb	niːbuw
nb	niːbuw
nb	neːβ
nb	niːbuw
nb	niːbuw
nb	nib
nb	neːβ
nb	nep
nb	nɛb
nb	nɛb
nbj	nɛbi
nbs	nɛbɛs
nbt	niːbat
nbt	niːbaʔ
nbt	niːβə
nbt	niːbat
nbt	niːbaʔ
nbt	niːβə
nbt	nɛbɛt
nbt	nɛbɛt
nbtj	nɛbti
nbw	naːbaw
nbw	naːbaw
nbw	noːβ
nbw	naːbaw
nbw	naːbaw
nbw	noːβ
nbw	nɛbuː
nf	nɛf
nfj	nɛfi
nfr	naːfiɾ
nfr	naːfiʔ
nfr	naːfa
nfr	noːfə
nfr	naːfiɾ
nfr	naːfiʔ
nfr	naːfa
nfr	noːfə
nfr	nɛfɛr
nfrt	nafɾat
nfrt	nafɾaʔ
nfrt	nafɾə
nfrt	nafɾat
nfrt	nafɾaʔ
nfrt	nafɾə
nfrt	nɛfɛrɛt
nfrtj	nɛfɛrti
nfrw	nɛfɛruː
nfꜣ	nɛfɑ
ngꜣw	nɛɡɑuː
nhj	nɛhi
nhm	nɛhɛm
nhmhm	nɛhɛmhɛm
nht	nɛhɛt
nhw	nɛhuː
nhzj	nihzit
nhzj	nihsiʔ
nhzj	nehsə
nhzj	nihzit
nhzj	nihsiʔ
nhzj	nehsə
nhzj	nɛhzi
nj	ni
njs	nis
njtjt	nitit
njw	niuː
njꜣj	niɑi
nkt	nukut
nkt	nukuʔ
nkt	nəkøʔ
nkt	nukut
nkt	nukuʔ
nkt	nəkøʔ
nkt	nɛkɛt
nmj	nɛmi
nmt	nɛmɛt
nmtj	nɛmti
nmw	nɛmuː
nmḥ	nɛmɛħ
nmꜣrṯ	nɛmɑrɛt͡ʃ
nmꜥ	nɛmɑː
nn	nɛn
nnj	nɛni
nnw	naːnaw
nnw	naːnaw
nnw	noːn
nnw	naːnaw
nnw	naːnaw
nnw	noːn
nnw	nɛnuː
nnšm	nanʃVm
nnšm	nanʃVw
nnšm	najʃ
nnšm	nanʃVm
nnšm	nanʃVw
nnšm	najʃ
nnšm	n
nnšm	j
nnšm	nɛnʃɛm
nrj	nɛri
nrt	nɛrɛt
nrw	nɛruː
ns	lis
ns	lis
ns	les
ns	lis
ns	lis
ns	les
ns	nɛs
nst	nɛsɛt
nswt	nɛsuːt
nswtyw	nɛsuːtiːuː
nsyt	nɛsiːt
nt	nɛt
ntf	nataf
ntf	nataf
ntf	nətof
ntf	nataf
ntf	nataf
ntf	nətof
ntf	nɛtɛf
ntf	ɛntɛf
ntj	nɛti
ntj	ɛnti
ntk	nɛtɛk
ntk	ɛntɛk
nts	nɛtɛs
nts	ɛntɛs
ntsn	nɛtɛsɛn
ntsn	ɛntɛsɛn
ntsnj	nɛtɛsɛni
ntsnj	ɛntɛsɛni
ntt	nɛtɛt
ntt	ɛntɛt
ntt	nɛtɛt
ntt	ɛntɛt
nttn	nɛtɛtɛn
nttn	ɛntɛtɛn
ntw	nɛtuː
ntw	ɛntuː
ntṯ	natac
ntṯ	nataʔ
ntṯ	nətoʔ
ntṯ	natac
ntṯ	nataʔ
ntṯ	nətoʔ
ntṯ	nɛtɛt͡ʃ
ntṯ	ɛntɛt͡ʃ
ntṯn	nataːcan
ntṯn	nataːtan
ntṯn	nətoːtən
ntṯn	nataːcan
ntṯn	nataːtan
ntṯn	nətoːtən
ntṯn	nɛtɛt͡ʃɛn
ntṯn	ɛntɛt͡ʃɛn
nw	nuː
nw	nuwwuw
nw	nuwwuw
nw	nøww
nw	nuwwuw
nw	nuwwuw
nw	nøww
nwd	nuːd
nwj	nuːi
nwt	nuːʔat
nwt	nuːʔaʔ
nwt	neːʔə
nwt	nuːʔat
nwt	nuːʔaʔ
nwt	neːʔə
nwt	nuːt
nwt	nuːt
nwt	nuːt
nwtj	nuːti
nwtwt	nuːtuːt
nwy	nuːiː
nwyt	nuːiːt
nwḥ	nawaħ
nwḥ	nawaħ
nwḥ	nəwoħ
nwḥ	nawaħ
nwḥ	nawaħ
nwḥ	nəwoħ
nwḥ	nuːħ
nznzn	nɛzɛnzɛn
nš	nɛʃ
nšm	nɛʃɛm
nšt	nɛʃɛt
nḏ	nɛd͡ʒ
nḏdnḏd	nɛd͡ʒɛdnɛd͡ʒɛd
nḏm	naːcʼim
nḏm	naːtʼim
nḏm	noːtʼəm
nḏm	naːcʼim
nḏm	naːtʼim
nḏm	noːtʼəm
nḏm	nɛd͡ʒɛm
nḏnḏ	nɛd͡ʒnɛd͡ʒ
nḏrj	nɛd͡ʒɛri
nḏs	nɛd͡ʒɛs
nḏt	nɛd͡ʒɛt
nḏꜣḏꜣ	nɛd͡ʒɑd͡ʒɑ
nḥ	nɛħ
nḥbt	nɛħbɛt
nḥd	nɛħɛd
nḥm	nɛħɛm
nḥmn	nɛħmɛn
nḥrj	nɛħri
nḥsj	nɛħsi
nḥtj	niħtit
nḥtj	niħtiʔ
nḥtj	neħtə
nḥtj	niħtit
nḥtj	niħtiʔ
nḥtj	neħtə
nḥtj	nɛħɛti
nḥḏt	nuħcʼat
nḥḏt	nuħtʃʼaʔ
nḥḏt	nøħtʃʼə
nḥḏt	nuħcʼat
nḥḏt	nuħtʃʼaʔ
nḥḏt	nutʃʼħaʔ
nḥḏt	nøħtʃʼə
nḥḏt	nøtʃʼħə
nḥḏt	nɛħd͡ʒɛt
nḥḥ	nijħaħ
nḥḥ	nijħaħ
nḥḥ	neʔħəħ
nḥḥ	nijħaħ
nḥḥ	nijħaħ
nḥḥ	neʔħəħ
nḥḥ	nɛħɛħ
nḥḥ	nɛħɛħ
nḫ	nɛx
nḫbḫb	nɛxɛbxɛb
nḫt	nɛxɛt
nḫꜣw	nɛxɑuː
nṯr	naːcaɾ
nṯr	naːtaʔ
nṯr	naːtaʔ
nṯr	noːtə
nṯr	naːcaɾ
nṯr	naːtaʔ
nṯr	naːtaʔ
nṯr	noːtə
nṯr	nɛt͡ʃɛr
nṯrj	nɛt͡ʃɛri
nṯrj	nucɾij
nṯrj	nutɾij
nṯrj	nətɾeʔ
nṯrj	nucɾij
nṯrj	nucɾit
nṯrj	nutɾij
nṯrj	nutɾiʔ
nṯrj	nətɾeʔ
nṯrj	nɛt͡ʃri
nṯrt	nacaːɾat
nṯrt	nataːɾaʔ
nṯrt	nətoːɾə
nṯrt	nacaːɾat
nṯrt	nataːɾaʔ
nṯrt	nətoːɾə
nṯrt	nɛt͡ʃɛrɛt
nṯrtj	nɛt͡ʃɛrti
nṯrw	nacuːɾaw[1]
nṯrw	natuːɾaw
nṯrw	nəteːɾə
nṯrw	nacuːɾaw[1]
nṯrw	natuːɾaw
nṯrw	nəteːɾə
nṯrw	nɛt͡ʃɛruː
nṯryt	nɛt͡ʃriːt
nẖs	nɛçɛs
nꜣ	niʀ
nꜣ	niʀ
nꜣ	nəʔ
nꜣ	niʀ
nꜣ	niʀ
nꜣ	nəʔ
nꜣ	nɑ
nꜣj	nɑi
nꜣyw	nɑiːuː
nꜣḏꜣrw	nɑd͡ʒɑruː
nꜥr	nɑːr
nꜥrt	nɑːrɛt
nꜥꜥ	nɑːʔɑː
p	pɛ
pds	pɛdɛs
pf	pɛf
pfꜣ	pɛfɑ
pgꜣ	pɛɡɑ
pj	pi
pn	pɛn
pnw	piːnuw
pnw	piːnuw
pnw	piːn
pnw	piːnuw
pnw	piːnuw
pnw	piːn
pnw	pɛnuː
pnꜥ	pɛnɑː
ppy	pɛpiː
pr	paːɾuw
pr	paːɾuw
pr	paːɾəʔ
pr	poːɾ
pr	paːɾuw
pr	paːɾuw
pr	paːɾəʔ
pr	poːɾ
pr	pɛr
prj	pɛri
prt	paɾaːtij
prt	paɾaːtij
prt	pəɾoːt
prt	paɾaːtij
prt	paɾaːtij
prt	pəɾoːt
prt	pɛrɛt
prt	puɾut
prt	puɾuʔ
prt	pəɾøʔ
prt	puɾut
prt	puɾuʔ
prt	pəɾøʔ
prt	pɛrɛt
prwypwsꜣ	pɛruːiːpuːsɑ
psg	pɛsɛɡ
psmṯk	pɛsmɛt͡ʃɛk
psšt	pɛsʃɛt
psḏ	pɛsɛd͡ʒ
psḏj	pɛsɛd͡ʒi
psḏjw	pɛsɛd͡ʒiuː
psḏnw	pɛsɛd͡ʒnuː
psḏt	pisiːcʼat
psḏt	pisiːtʼaʔ
psḏt	pəsiːtʼə
psḏt	pisiːcʼat
psḏt	pisiːtʼaʔ
psḏt	pəsiːtʼə
psḏt	pɛsɛd͡ʒɛt
psḏw	pisiːcʼaw
psḏw	pisiːtʼaw
psḏw	pəsiːtʼəʔ
psḏw	pəsiːtʼ
psḏw	pisiːcʼaw
psḏw	pisiːtʼaw
psḏw	pəsiːtʼəʔ
psḏw	pəsiːtʼ
psḏw	pɛsɛd͡ʒuː
pt	pit
pt	piʔ
pt	peʔ
pt	pit
pt	puːwat
pt	piʔ
pt	puːwaʔ
pt	peʔ
pt	peːwə
pt	pɛt
ptpt	pɛtpɛt
ptr	pɛtɛr
ptr	pɛtɛr
ptwꜣrwmys	pɛtuːɑruːmiːs
ptḥ	pitaħ
ptḥ	pitaħ
ptḥ	pətaħ
ptḥ	pitaħ
ptḥ	pitaħ
ptḥ	pətaħ
ptḥ	pɛtɛħ
pw	puː
pwnt	puːnɛt
pwntjw	puːntiuː
pwrꜣsꜣtj	puːrɑsɑti
pwy	puːiː
py	piː
pzn	pɛzɛn
pzḥ	pɛzɛħ
pšn	pɛʃɛn
pḏt	piːcʼat
pḏt	piːtʼaʔ
pḏt	piːtʼə
pḏt	piːcʼat
pḏt	piːtʼaʔ
pḏt	piːtʼə
pḏt	pɛd͡ʒɛt
pḏtj	pɛd͡ʒɛti
pḥ	pɛħ
pḥrr	pɛħrɛr
pḥtj	piħtaj
pḥtj	piħtaj
pḥtj	peħtə
pḥtj	piħtaj
pḥtj	piħtaj
pḥtj	peħtə
pḥtj	pɛħti
pḥwj	pɛħuːi
pẖr	pɛçɛr
pẖrt	pɛçrɛt
pꜣj	pɑi
pꜣq	pɑk
pꜣqj	piʀqʼit
pꜣqj	piʀqʼiʔ
pꜣqj	piːqʼə
pꜣqj	piʀqʼit
pꜣqj	piʀqʼiʔ
pꜣqj	piːqʼə
pꜣqj	pɑki
pꜣqt	pɑkɛt
pꜣw	pɑuː
pꜣwtj	pɑuːti
pꜣy	pɑiː
pꜣḫd	pɑxɛd
pꜥt	pɑːt
qbb	qʼabab
qbb	qʼabab
qbb	qʼəβap
qbb	qʼabab
qbb	qʼabab
qbb	qʼəβap
qbb	kɛbɛb
qbw	kɛbuː
qbḥ	kɛbɛħ
qbḥw	kɛbɛħuː
qd	kɛd
qdd	kɛdɛd
qdj	qʼitʼjit
qdj	qʼitʼjiʔ
qdj	qʼitʼʔa
qdj	qʼetʼʔə
qdj	qʼitʼjit
qdj	qʼitʼjiʔ
qdj	qʼitʼʔa
qdj	qʼetʼʔə
qdj	kɛdi
qdnw	kɛdnuː
qdt	kɛdɛt
qdtt	kɛdtɛt
qdš	kɛdɛʃ
qdšw	kɛdʃuː
qjs	kis
qmꜣ	kɛmɑ
qnbt	kɛnbɛt
qnj	kɛni
qnj	kɛni
qnj	qʼinjit
qnj	qʼinjiʔ
qnj	qʼenjə
qnj	qʼinjit
qnj	qʼinjiʔ
qnj	qʼenjə
qnj	kɛni
qnjt	kɛnit
qnjw	kɛniuː
qnt	kɛnɛt
qnyt	kɛniːt
qqtj	kɛkti
qrf	qʼaɾaf
qrf	qʼaɾaf
qrf	qʼəɾaf
qrf	qʼaɾaf
qrf	qʼaɾaf
qrf	qʼəɾaf
qrf	kɛrɛf
qrft	kɛrfɛt
qrrt	kɛrɛrɛt
qrs	kɛrɛs
qrs	qʼaːɾas
qrs	qʼaːʔs
qrs	qʼoːʔs
qrs	qʼaːɾas
qrs	qʼaːʔs
qrs	qʼoːʔs
qrst	kɛrɛsɛt
qrwjwꜣpꜣdrꜣ	kɛruːiuːɑpɑdrɑ
qs	qʼis
qs	qʼis
qs	qʼes
qs	qʼis
qs	qʼis
qs	qʼes
qs	kɛs
qsn	kɛsɛn
qsnt	kɛsɛnɛt
qysrs	kiːsrɛs
qꜣb	kɑb
qꜣdt	kɑdɛt
qꜣqꜣw	kɑkɑuː
qꜣꜥ	kɑʔɑː
qꜥḥ	kɑːħ
r	ɾaʀ
r	ɾaʀ
r	ɾaʔ
r	ɾaʀ
r	ɾaːʀaw
r	ɾaʀ
r	ɾaːʀaw
r	ɾaʔ
r	ɾoːw
r	ɛr
r	ɝ
rbw	rɛbuː
rd	ɾitʼ
rd	ɾitʼ
rd	ɾetʼ
rd	ɾitʼ
rd	ɾitʼ
rd	ɾetʼ
rd	rɛd
rd	ɾaːtʼuw
rd	ɾaːtʼuw
rd	ɾoːtʼ
rd	ɾaːtʼuw
rd	ɾatʼwaw
rd	ɾaːtʼuw
rd	ɾatʼwaw
rd	ɾoːtʼ
rd	ɾatʼʔ
rd	rɛd
rhn	rɛhɛn
rk	rɛk
rkḥ	rɛkɛħ
rm	rɛm
rmj	ɾiːmit
rmj	ɾiːmiʔ
rmj	ɾiːma
rmj	ɾiːmə
rmj	ɾiːmit
rmj	ɾiːmiʔ
rmj	ɾiːma
rmj	ɾiːmə
rmj	rɛmi
rmn	rɛmɛn
rmyt	rɛmiːt
rmṯ	ɾaːmac
rmṯ	ɾaːmaʔ
rmṯ	ɾoːmə
rmṯ	ɾaːmac
rmṯ	ɾaːmaʔ
rmṯ	ɾoːmə
rmṯ	rɛmɛt͡ʃ
rmṯt	rɛmɛt͡ʃɛt
rn	ɾin
rn	ɾin
rn	ɾen
rn	ɾin
rn	ɾin
rn	ɾen
rn	rɛn
rn	rɛn
rnpj	rɛnɛpi
rnpt	ɾanpat
rnpt	ɾanpaʔ
rnpt	ɾanpə
rnpt	ɾanpat
rnpt	ɾanpawwat
rnpt	ɾanpaʔ
rnpt	ɾanpawwaʔ
rnpt	ɾanpə
rnpt	ɾənpawwə
rnpt	rɛnpɛt
rnpwt	rɛnpuːt
rrj	ɾiːɾij
rrj	ɾiːɾij
rrj	ɾiːɾ
rrj	ɾiːɾij
rrj	ɾiːɾij
rrj	ɾiːɾ
rrj	rɛri
rs	rɛs
rsj	rɛsi
rsw	rɛsuː
rswt	rɛsuːt
rwd	ruːd
rwj	ruːi
rwj	ruːi
rwt	ruːt
rwḏ	ruːd͡ʒ
rš	rɛʃ
ršrš	rɛʃrɛʃ
ršw	rɛʃuː
ršwt	ɾaʃwat
ršwt	ɾaʃwaʔ
ršwt	ɾaʃʔə
ršwt	ɾaʃwat
ršwt	ɾaʃwaʔ
ršwt	ɾaʃʔə
ršwt	rɛʃuːt
rḏj	rɛd͡ʒi
rḏw	rɛd͡ʒuː
rḥw	rɛħuː
rḥwj	rɛħuːi
rḫ	rɛx
rḫs	rɛxɛs
rḫyt	ɾaχjat
rḫyt	ɾaχjaʔ
rḫyt	ɾaχʔə
rḫyt	ɾaχjat
rḫyt	ɾaχjaʔ
rḫyt	ɾaχʔə
rḫyt	rɛxiːt
rṯnw	rɛt͡ʃɛnuː
rꜥ	ɾiːʕuw
rꜥ	ɾiːʕuw
rꜥ	ɾiːʕəʔ
rꜥ	ɾeːʕ
rꜥ	ɾiːʕuw
rꜥ	ɾiːʕuw
rꜥ	ɾiːʕəʔ
rꜥ	ɾeːʕ
rꜥ	rɑː
s	sɛ
sbj	sɛbi
sbjw	sɛbiuː
sbk	sɛbɛk
sbn	sɛbɛn
sbnw	sɛbɛnuː
sbq	sɛbɛk
sbtj	sɛbti
sbḥ	sɛbɛħ
sbḫt	sɛbxɛt
sbꜣgj	sɛbɑɡi
sbꜣqj	sɛbɑki
sbꜣyt	sabaʀjat
sbꜣyt	sabaʀjaʔ
sbꜣyt	səβoːʔ
sbꜣyt	sabaʀjat
sbꜣyt	sabaʀjaʔ
sbꜣyt	səβoːʔ
sbꜣyt	sɛbɑiːt
sd	sɛd
sdb	sɛdɛb
sdm	sɛdɛm
sdmj	sɛdɛmi
sdyt	sɛdiːt
sf	sɛf
sfkk	sɛfɛkɛk
sfsf	sɛfsɛf
sfḫ	sɛfɛx
sfḫjw	sɛfxiuː
sfḫnw	sɛfɛxnuː
sfḫw	safχaw
sfḫw	safχaw
sfḫw	safχəʔ
sfḫw	saχf
sfḫw	safχaw
sfḫw	safχaw
sfḫw	safχəʔ
sfḫw	saχf
sfḫw	sɛfɛxuː
sfḫw	sɛfɛxuː
sfḫḫ	sɛfɛxɛx
sgnn	sakʼnan
sgnn	sakʼan
sgnn	sokʼən
sgnn	sakʼnan
sgnn	sakʼan
sgnn	sokʼən
sgnn	sɛɡɛnɛn
sgr	sɛɡɛr
shꜣj	sɛhɑi
sj	si
sjdj	sɛidi
sjhm	sɛihɛm
sjm	sim
sjnj	sini
sjsjw	sisiuː
sjsnw	sisnuː
sjsw	saɾsaw
sjsw	sajsaw
sjsw	səʔsaw
sjsw	ʔəssaw
sjsw	saɾsaw
sjsw	i
sjsw	sajsaw
sjsw	səʔsaw
sjsw	ʔəssaw
sjsw	sisuː
sjzj	sɛizi
sjꜣ	siɑ
sk	sɛk
skj	sɛki
sksk	sɛksɛk
skt	sɛkɛt
sm	sɛm
smj	sɛmi
smn	simiːnit
smn	simiːniʔ
smn	səmiːnə
smn	simiːnit
smn	simiːniʔ
smn	səmiːnə
smn	sɛmɛn
smn	sɛmɛn
smnmn	sɛmɛnmɛn
smnḫ	sɛmɛnɛx
smr	sɛmɛr
smr	sɛmɛr
smsj	sɛmɛsi
smsw	sɛmɛsuː
smw	sɛmuː
smwn	sɛmuːn
smḥ	sɛmɛħ
smḥj	sɛmħi
smḫ	sɛmɛx
smꜣ	sɛmɑ
smꜣwj	sɛmɑuːi
sn	san
sn	san
sn	san
sn	san
sn	sanuːwaw
sn	san
sn	sanuːwaw
sn	san
sn	səneːw
sn	sɛn
snb	sɛnɛb
snb.tj	sɛnɛbʔti
snbb	sɛnbɛb
snbj	sɛnbi
snd	sɛnɛd
snfj	sɛnɛfi
snj	sɛni
snm	sɛnɛm
snnw	sɛnɛnuː
snq	sɛnɛk
snsn	sansan
snsn	sansan
snsn	sansən
snsn	sansan
snsn	sansan
snsn	sansən
snsn	sɛnsɛn
snt	saːnat
snt	saːnaʔ
snt	soːnə
snt	saːnat
snt	saːnaʔ
snt	soːnə
snt	sɛnɛt
snwj	sinuwwaj
snwj	sinuwwaj
snwj	sənuwwəʔ
snwj	sənøww
snwj	sinuwwaj
snwj	sinuwwaj
snwj	sənuwwəʔ
snwj	sənøww
snwj	sɛnuːi
snwtt	sɛnuːtɛt
snwḫ	sɛnuːx
snšmšm	sɛnɛʃɛmʃɛm
snḏ	sɛnɛd͡ʒ
snḏm	sɛnɛd͡ʒɛm
snḏw	sɛnɛd͡ʒuː
snḫbḫb	sɛnɛxɛbxɛb
snḫn	sɛnɛxɛn
snṯr	sɛnɛt͡ʃɛr
spd	sɛpɛd
spdt	sɛpɛdɛt
spdt	saptʼat
spdt	saptʼaʔ
spdt	saptʼə
spdt	saptʼat
spdt	saptʼaʔ
spdt	saptʼə
spdt	sɛpdɛt
spdt	sopdɛt
spdw	sɛpduː
spdḏ	sɛpdɛd͡ʒ
spj	sɛpi
spr	sɛpɛr
sprw	sɛpɛruː
spt	saːpat
spt	saːpaʔ
spt	soːpə
spt	saːpat
spt	saːpaʔ
spt	soːpə
spt	sɛpɛt
spꜣt	sɛpɑt
sqbb	sɛkɛbɛb
sqbbwj	sɛkɛbɛbuːi
sqd	sɛkɛd
sqdj	sɛkɛdi
sqr	sɛkɛr
sr	sɛr
srd	sɛrɛd
srmj	sɛrɛmi
srt	sɛrɛt
srw	sɛruː
srwj	sɛruːi
srwḏ	sɛruːd͡ʒ
srwḫ	sɛruːx
srḫ	sɛrɛx
ssf	sɛsɛf
ssm	sɛsɛm
ssmt	sɛsɛmɛt
ssn	sɛsɛn
sspd	sɛsɛpɛd
ssḫ	sɛsɛx
st	sɛt
stj	sɛti
stp	saːtap
stp	saːtap
stp	soːtəp
stp	saːtap
stp	satpaw
stp	sVtpa-
stp	saːtap
stp	soːtəp
stp	sɛtɛp
stp	sɛtɛp
stpt	sɛtɛpɛt
stt	sɛtɛt
stwt	sɛtuːt
stwt	sɛtuːt
stẖ	sɛtɛç
stẖj	sɛtçi
stꜣ	sɛtɑ
sw	suw
sw	suw
sw	su
sw	suw
sw	suw
sw	su
sw	suː
swdfj	sɛwɛdɛfi
swn	suːn
swn	sɛwɛn
swnw	suːnuː
swsḫ	sɛwɛsɛx
swt	suːt
swḏ	sɛwɛd͡ʒ
swḏꜣ	sɛwɛd͡ʒɑ
swḥt	suːħɛt
swꜣj	suːɑi
sšm	sɛʃɛm
sšmj	sɛʃɛmi
sšmm	sɛʃɛmɛm
sšpt	saʃaːpat
sšpt	ʃaːpaʔ
sšpt	ʃoːpə
sšpt	saʃaːpat
sšpt	ʃaːpaʔ
sšpt	ʃoːpə
sšpt	sɛʃpɛt
sšr	sɛʃɛr
sšrw	sɛʃruː
sḏ	sɛd͡ʒ
sḏd	sicʼtʼit
sḏd	sit͡ʃʼʔiʔ
sḏd	set͡ʃʼə
sḏd	sicʼtʼit
sḏd	sit͡ʃʼʔiʔ
sḏd	tʼ
sḏd	ʔ
sḏd	set͡ʃʼə
sḏd	sɛd͡ʒɛd
sḏm	saːcʼam
sḏm	saːtʼam
sḏm	soːtʼəm
sḏm	saːcʼam
sḏm	sacʼimna
sḏm	sacʼma
sḏm	saːcʼim
sḏm	sacʼmiw
sḏm	saːtʼam
sḏm	soːtʼəm
sḏm	sɛd͡ʒɛm
sḏmw	sɛd͡ʒɛmuː
sḏr	sɛd͡ʒɛr
sḏt	sɛd͡ʒɛt
sḏwj	sɛd͡ʒuːi
sḏꜣ	sɛd͡ʒɑ
sḥd	sɛħɛd
sḥqr	sɛħɛkɛr
sḥqꜣ	sɛħɛkɑ
sḥrj	sɛħɛri
sḥtm	sɛħɛtɛm
sḥtp	sɛħɛtɛp
sḥḏ	sɛħɛd͡ʒ
sḥḏw	siħcʼVw
sḥḏw	siħtʼVw
sḥḏw	seħtʼ
sḥḏw	siħcʼVw
sḥḏw	siħtʼVw
sḥḏw	seħtʼ
sḥḏw	sɛħd͡ʒuː
sḥꜣj	sɛħɑi
sḫd	sɛxɛd
sḫdḫd	sɛxɛdxɛd
sḫm	sɛxɛm
sḫmt	siχmit
sḫmt	siχmiʔ
sḫmt	seχmə
sḫmt	siχmit
sḫmt	siχmiʔ
sḫmt	seχmə
sḫmt	sɛxmɛt
sḫn	sɛxɛn
sḫntj	sɛxɛnɛti
sḫpj	sɛxɛpi
sḫpr	sɛxɛpɛr
sḫr	sɛxɛr
sḫr	sɛxɛr
sḫry	sɛxriː
sḫt	saːχat
sḫt	saːχaʔ
sḫt	soːχə
sḫt	saːχat
sḫt	saːχaʔ
sḫt	soːχə
sḫt	sɛxɛt
sḫtj	sɛxti
sḫtj	siχtVj
sḫtj	siχtVj
sḫtj	seχt
sḫtj	siχtVj
sḫtj	siχtVj
sḫtj	seχt
sḫtj	sɛxti
sḫꜣj	sɛxɑi
sḫꜣw	sɛxɑuː
sḫꜥj	sɛxɑːi
sṯ	sɛt͡ʃ
sṯnj	sɛt͡ʃɛni
sṯt	sɛt͡ʃɛt
sṯzj	sɛt͡ʃɛzi
sṯzw	sɛt͡ʃɛzuː
sṯꜣ	sɛt͡ʃɑ
sṯꜣt	sɛt͡ʃɑt
sẖt	sɛçɛt
sꜣbt	sɑbɛt
sꜣdjꜥmj	sɑdiɑːmi
sꜣgꜣ	sɛɡ
sꜣj	sɑi
sꜣj	siːʀit
sꜣj	siːʀiʔ
sꜣj	siːʔa
sꜣj	siːʔə
sꜣj	siːʀit
sꜣj	siːʀiʔ
sꜣj	siːʔa
sꜣj	siːʔə
sꜣngꜣr	sɑnɡɑr
sꜣq	sɑk
sꜣrꜣqw	sɑrɑkuː
sꜣsꜣ	sɑsɑ
sꜣḥ	sɑħ
sꜣḫ	sɛɑx
sꜣḫꜣḫ	sɛɑxɑx
sꜥnḫ	sɛɑːnx
sꜥq	sɛɑːk
sꜥr	sɛɑːr
sꜥsꜥ	sɑːsɑː
sꜥḥ	sɑːħ
sꜥꜣj	sɛɑːʔɑi
t	tɛ
tf	tɛf
tf	tɛf
tf	tif
tf	tif
tf	tef
tf	tif
tf	tif
tf	tef
tf	tɛf
tfn	tɛfɛn
tfnt	tɛfnɛt
tfnwt	tɛfnuːt
tfꜣ	tɛfɑ
thj	tɛhi
thm	tɛhɛm
tj	ti
tjkrṯ	tikrɛt͡ʃ
tjmsqw	timɛskuː
tjsw	tisuː
tjt	tit
tjw	tiuː
tkk	tɛkɛk
tkn	tɛkɛn
tm	tɛm
tm	jataːmuw
tm	jataːmuw
tm	ʔataːməʔ
tm	ʔatoːm
tm	jataːmuw
tm	jataːmuw
tm	ʔataːməʔ
tm	ʔatoːm
tmm	tɛmɛm
tmt	tɛmɛt
tn	tɛn
tnj	tɛni
tnm	tɛnɛm
tnmw	tɛnɛmuː
tnw	tɛnuː
tnṯ	tɛnɛt͡ʃ
tp	tʼap
tp	tʼap
tp	tʼap
tp	tʼap
tp	cʼap
tp	tʼap
tp	tʼap
tp	tɛp
tpj	tapij
tpj	tapij
tpj	təpej
tpj	tapij
tpj	tapij
tpj	təpej
tpj	tɛpi
tpr	tɛpɛr
tpt	tɛpɛt
tr	tɛr
ttj	tɛti
tw	tuː
tw.j	tuːʔi
tw.k	tuːʔɛk
tw.n	tuːʔɛn
tw.t	tuːʔɛt
tw.tn	tuːʔtɛn
tw.tw	tuːʔtuː
twt	tawaːtij
twt	tawaːtij
twt	təwaːtəʔ
