aaron	aːaron
effrico	ɛffrɪkoː
effringo	ɛffrɪŋɡoː
effudit	ɛffuːdɪt
effugio	ɛffʊɡioː
effugium	ɛffʊɡiʊ̃
effugo	ɛffʊɡoː
effulgent	ɛffʊɫɡɛnt
effulgeo	ɛffʊɫɡeoː
effundo	ɛffʊndoː
effusco	ɛffʊskoː
effusio	ɛffuːsioː
effusus	ɛffuːsʊs
effutuo	ɛffʊtʊoː
egelesta	ɛɡɛɫɛsta
egelidus	eːɡɛlɪdʊs
egenus	ɛɡeːnʊs
egeo	ɛɡeoː
egerimus	eːɡɛrɪmʊs
egerimus	eːɡɛriːmʊs
egeris	eːɡɛrɪs
egeris	eːɡɛriːs
egeritis	eːɡɛrɪtɪs
egeritis	eːɡɛriːtɪs
egero	eːɡɛroː
egestas	ɛɡɛstaːs
egeta	ɛɡɛta
eggius	ɛɡɡiʊs
egilius	ɛɡɪliʊs
egnatius	ɛŋnaːtiʊs
egnatuleius	ɛŋnaːtʊɫeːiʊs
ego	ɛɡoː
ego	eːɡo
ego	ɛɡɔ
egredior	eːɡrɛdiɔr
egregie	eːɡrɛɡieː
egregius	eːɡrɛɡiʊs
egregius	eɡreːd͡ʒius
egressus	eːɡrɛssʊs
egrilius	ɛɡrɪliʊs
egula	ɛɡʊɫa
ehem	ɛhɛ̃
eheu	eːhɛw
eho	ɛhɔ
eiaculatio	eːjakʊɫaːtioː
eiaculatus	eːjakʊɫaːtʊs
eiaculor	eːjakʊɫɔr
eicio	eːjɪkioː
eiecit	eːjeːkɪt
eiectamenta	eːjɛktaːmɛnta
eiectio	eːjɛktioː
eiecto	eːjɛktoː
eiero	eːjɛroː
einsteinium	ei̯nstei̯niʊ̃
eiulabundus	ɛjjʊɫaːbʊndʊs
eiulatus	ɛjjʊɫaːtʊs
eiulo	ɛjjʊɫoː
eius	ɛjjʊs
eiusdem	ɛjjʊsdɛ̃
eiusmodi	ɛjjʊsmɔdɪ
ejaculatio	eːjakʊɫaːtioː
ejecto	eːjɛktoː
ejicio	eːjɪkioː
ejusdem	ɛjjʊsdɛ̃
ejusmodi	ɛjjʊsmɔdɪ
el	ɛɫ
elabor	eːɫaːbɔr
elaboro	eːɫaboːroː
elacaten	eːɫakateːn
elacatena	eːɫakateːna
elacatenes	eːɫakateːnɛs
elaeus	ɛɫae̯uːs
elamentabilis	eːɫaːmɛntaːbɪlɪs
elamiticus	ɛɫamiːtɪkʊs
elanguesco	eːɫaŋɡᶣeːskoː
elaphoboscon	ɛɫapʰɔbɔskɔn
elaphonnesus	ɛɫapʰɔnneːsʊs
elaphus	ɛɫapʰʊs
elaphus	ɛɫapʰʊs
elaqueatio	eːɫakᶣeaːtioː
elaqueatione	eːɫakᶣeaːtioːnɛ
elaqueationem	eːɫakᶣeaːtioːnɛ̃
elaqueo	eːɫakᶣeoː
elaqueo	elaːkweo
elate	eːɫaːteː
elate	ɛɫateː
elatea	ɛɫateːa
elaterium	ɛɫateːriʊ̃
elatio	eːɫaːtioː
elatio	elaːt͡sio
elatium	ɛɫatiʊ̃
elaver	ɛɫawɛr
elbocori	ɛɫbɔkɔriː
eldamari	ɛɫdamariː
electissimus	eːɫeːktɪssɪmʊs
electricitas	eːɫɛktrɪkɪtaːs
electricus	eːɫɛktrɪkʊs
electriso	eːɫɛktrɪsoː
electromagneticus	eːɫɛktrɔmaŋneːtɪkʊs
electronica	eːɫɛktroːnɪka
electronicus	eːɫɛktroːnɪkʊs
electrum	eːɫɛktrʊ̃
electuarium	eːɫɛktʊaːriʊ̃
eleemosyna	ɛɫeeːmɔsʏna
eleemosyna	eleemoːzina
elegans	eːɫɛɡãːs
elegantes	eːɫɛɡanteːs
elegantia	eːɫɛɡantia
elegantulus	eːɫɛɡantʊɫʊs
elegea	ɛɫɛɡeːa
elegi	ɛɫɛɡiː
elegi	eːɫeːɡiː
elegia	ɛɫɛɡiːa
elementaris	ɛɫɛmɛntaːrɪs
elementarius	ɛɫɛmɛntaːriʊs
elementum	ɛɫɛmɛntʊ̃
elenchus	ɛɫɛŋkʰʊs
eleon	ɛɫeoːn
elephans	ɛɫɛpʰãːs
elephantinus	ɛɫɛpʰantiːnʊs
elephantinus	ɛɫɛpʰantɪnʊs
elephantus	ɛɫɛpʰantʊs
elephas	ɛɫɛpʰaːs
elephas	eːlefas
elesitaiensis	ɛɫɛsɪtajjẽːsɪs
eleusa	ɛɫeuːsa
eleusis	ɛɫeu̯sɪs
eleutherna	ɛɫeu̯tʰɛrna
eleutherus	ɛɫeu̯tʰɛrʊs
elevo	eːɫɛwoː
elgonensis	ɛɫɡɔnẽːsɪs
elias	eːlias
elicio	eːlɪkioː
eligans	eːlɪɡãːs
eligibilis	eːlɪɡɪbɪlɪs
eligo	eːlɪɡoː
eliminatio	eːlɪmɪnaːtioː
elimino	eːliːmɪnoː
elingo	eːlɪŋɡoː
elinguis	eːlɪŋɡᶣɪs
elis	eːlɪs
elisa	ɛliːsa
elisabetha	ɛlɪsabɛtʰa
elisabetha	elizaːbeta
eliseus	ɛliːseʊs
eliseus	eliːzeus
elissa	ɛlɪssa
elix	eːlɪks
elixus	eːlɪksʊs
ellipsis	ɛlliːpsɪs
ellipticus	ɛlliːptɪkʊs
ellopia	ɛllɔpia
eloco	eːɫɔkoː
elogium	eːɫɔɡiʊ̃
elone	eːɫoːneː
elongatus	eːɫɔŋɡaːtʊs
elongo	eːɫɔŋɡoː
eloquentia	eːɫɔkᶣɛntia
eloquium	eːɫɔkᶣiʊ̃
eloquium	eloːkwium
eloquor	eːɫɔkʷɔr
eloquor	eːlokwor
eluceo	eːɫuːkeoː
elucido	eːɫuːkɪdoː
eluctor	eːɫuːktɔr
elucubro	eːɫuːkʊbroː
eludo	eːɫuːdoː
elugeo	eːɫuːɡeoː
elumbis	eːɫʊmbɪs
eluo	eːɫʊoː
elusa	ɛɫʊsa
elymais	ɛlʏmaːɪs
elymi	ɛlʏmiː
elyrus	ɛlʏrʊs
em	ɛ̃
emancipatio	eːmaŋkɪpaːtioː
emancipo	eːmaŋkɪpoː
emarcus	eːmarkʊs
emargino	eːmarɡɪnoː
emax	ɛmaːks
embamma	ɛmbamma
emblema	ɛmbɫeːma
emblicus	ɛmblɪkʊs
embolus	ɛmbɔɫʊs
emendare	eːmɛndaːrɛ
emendator	eːmɛndaːtɔr
emendico	eːmɛndiːkoː
emendo	eːmɛndoː
ementior	eːmɛntiɔr
emercor	eːmɛrkɔr
emereo	eːmɛreoː
emereor	eːmɛreɔr
emergo	eːmɛrɡoː
emesa	ɛmɛsa
emesenus	ɛmɛseːnʊs
emetior	eːmeːtiɔr
emico	eːmɪkoː
emigro	eːmɪɡroː
eminens	eːmɪnẽːs
eminentes	eːmɪnɛnteːs
emineo	eːmɪneoː
eminus	eːmɪnʊs
emisceo	eːmɪskeoː
emissio	eːmɪssioː
emitto	eːmɪttoː
emodulor	eːmɔdʊɫɔr
emodus	ɛmoːdʊs
emolior	eːmoːliɔr
emollio	eːmɔllioː
emona	ɛmoːna
emoneo	eːmɔneoː
emorior	eːmɔriɔr
emoveo	eːmɔweoː
empedocles	ɛmpɛdɔkɫeːs
emperice	ɛmpeːrɪkɛ
empericus	ɛmpeːrɪkʊs
emphasis	ɛmpʰasɪs
empirica	ɛmpiːrɪka
empirice	ɛmpiːrɪkeː
empirice	ɛmpiːrɪkɛ
empiricus	ɛmpiːrɪkʊs
emplastrum	ɛmpɫastrʊ̃
emporium	ɛmpɔriʊ̃
empticius	eːmptiːkiʊs
emptor	eːmptɔr
empulum	ɛmpʊɫʊ̃
emulgeo	eːmʊɫɡeoː
emundo	eːmʊndoː
emungo	eːmʊŋɡoː
emydas	ɛmʏdas
emydi	ɛmʏdiː
emydos	ɛmʏdɔs
emys	ɛmʏs
en	ɛn
enascor	eːnaːskɔr
enavigo	eːnaːwɪɡoː
encaustum	ɛŋkau̯stʊ̃
encaustus	ɛŋkau̯stʊs
encaustus	eŋkau̯stus
encephalicus	ɛŋkɛpʰalɪkʊs
encolpiae	ɛŋkɔɫpiae̯
encomium	ɛŋkoːmiʊ̃
encyclicus	ɛŋkʏklɪkʊs
encyclopaedia	ɛŋkʏkɫɔpae̯diːa
encyclopaedia	ent͡ʃiklopɛdiːa
endovellicus	ɛndɔwɛllɪkʊs
eneco	eːnɛkoː
energia	ɛnɛrɡiːa
enervo	eːnɛrwoː
enganensis	ɛŋɡanẽːsɪs
engyum	ɛŋɡʏʊ̃
enhygros	ɛnhʏɡrɔs
enigma	eːnɪɡma
enim	ɛnɪ̃
enipeu	ɛniːpeu̯
enipeus	ɛniːpeu̯s
enipi	ɛnɪpiː
enispe	ɛnɪspeː
eniteo	eːnɪteoː
enitesco	eːnɪteːskoː
enitor	eːniːtɔr
enixio	ɛniːksioː
ennius	ɛnniʊs
enorchis	ɛnɔrkʰɪs
enormis	eːnoːrmɪs
enoto	eːnɔtoː
ens	ẽːs
ense	ẽːsɛ
ensifer	ẽːsɪfɛr
ensiger	ẽːsɪɡɛr
ensis	ẽːsɪs
entella	ɛntɛlla
enteritidis	ɛntɛriːtɪdɪs
enterocoliticus	ɛntɛrɔkoːliːtɪkʊs
entheca	ɛntʰeːka
enthusiasmo	ɛntʰuːsiasmoː
enthusiasmus	ɛntʰuːsiasmʊs
enthusiasta	ɛntʰuːsiasta
enthusiastas	ɛntʰuːsiastaːs
enthusiastes	ɛntʰuːsiasteːs
entitas	ɛntɪtaːs
enumerate	eːnʊmɛraːtɛ
enumeratio	eːnʊmɛraːtioː
enumero	eːnʊmɛroː
enuntiabilis	eːnuːntiaːbɪlɪs
enuntiabilis	enunt͡siaːbilis
enyo	ɛnyːoː
enzymum	ɛnzʏmʊ̃
eordaea	eɔrdae̯a
eorum	eoːrʊ̃
epagerritae	ɛpaɡɛrriːtae̯
epagoge	ɛpaɡoːɡeː
epaminondas	ɛpamiːnoːndaːs
epanterii	ɛpantɛrɪj
epeii	ɛpei̯iː
epetium	ɛpɛtiʊ̃
ephebus	ɛpʰeːbʊs
ephemeris	ɛpʰeːmɛrɪs
ephesius	ɛpʰɛsiʊs
ephesus	ɛpʰɛsʊs
ephippium	ɛpʰɪppiʊ̃
ephippus	ɛpʰɪppʊs
ephorus	ɛpʰɔrʊs
ephraim	ɛpʰraːɪ̃
ephraimites	ɛpʰraːɪmiːteːs
ephraimiticus	ɛpʰraːɪmiːtɪkʊs
ephraimus	ɛpʰraːɪmʊs
ephyra	ɛpʰʏra
epicharmus	ɛpɪkʰarmʊs
epiclintae	ɛpɪklɪntae̯
epicopus	ɛpɪkoːpʊs
epictetus	ɛpɪkteːtʊs
epicus	ɛpɪkʊs
epicus	eːpikus
epicydes	ɛpɪkʏdeːs
epidaurus	ɛpɪdau̯rʊs
epidelium	ɛpɪdeːliʊ̃
epidermis	ɛpɪdɛrmɪs
epidii	ɛpɪdiiː
epidius	ɛpɪdiʊs
epigia	ɛpɪɡiːa
epiglottide	ɛpɪɡɫoːttɪdɛ
epiglottidem	ɛpɪɡɫoːttɪdɛ̃
epiglottidibus	ɛpɪɡɫoːttɪdɪbʊs
epiglottidis	ɛpɪɡɫoːttɪdɪs
epiglottidum	ɛpɪɡɫoːttɪdʊ̃
epiglottis	ɛpɪɡɫoːttɪs
epigramma	ɛpɪɡramma
epigraphicus	ɛpɪɡrapʰɪkʊs
epilepticus	ɛpɪɫeːptɪkʊs
epileus	ɛpɪɫeːʊs
epilogus	ɛpɪɫɔɡʊs
epimaranitae	ɛpɪmaraniːtae̯
epimelas	ɛpɪmɛɫaːs
epimenides	ɛpɪmɛnɪdeːs
epinyctis	ɛpɪnʏktɪs
epiphania	ɛpɪpʰaniːa
epipterygius	ɛpɪptɛrʏɡiʊs
episcopalis	ɛpɪskɔpaːlɪs
episcopalis	episkopaːlis
episcopus	ɛpɪskɔpʊs
epistola	ɛpɪstɔɫa
epistrophe	ɛpɪstrɔpʰeː
epistula	ɛpɪstʊɫa
epitalium	ɛpɪtaliʊ̃
epitaphium	ɛpɪtapʰiʊ̃
epitomate	ɛpɪtɔmaːtɛ
epitome	ɛpɪtɔmeː
epitomo	ɛpɪtɔmoː
epops	ɛpɔps
epopta	ɛpɔpta
epopta	ebɔpta
epoptes	ɛpɔpteːs
epoptes	ebɔptes
eporedia	ɛpɔrɛdia
eporedorix	ɛpɔrɛdɔriːks
epos	ɛpɔs
eppius	ɛppiʊs
eprius	ɛpriʊs
epulae	ɛpʊɫae̯
epularis	ɛpʊɫaːrɪs
epulo	ɛpʊɫoː
epulor	ɛpʊɫɔr
epulum	ɛpʊɫʊ̃
equa	ɛkʷa
eques	ɛkᶣɛs
equester	ɛkᶣɛstɛr
equinus	ɛkᶣiːnʊs
equiria	ɛkᶣiːria
equis	ɛkᶣiːs
equisimilis	ɛkᶣɪsɪmɪlɪs
equiso	ɛkᶣiːsoː
equisonem	ɛkᶣiːsoːnɛ̃
equitatum	ɛkᶣɪtaːtʊ̃
equito	ɛkᶣɪtoː
equitulus	ɛkᶣɪtʊɫʊs
equuleus	ɛkʷʊɫeʊs
equulus	ɛkʷʊɫʊs
equus	ɛkʷʊs
er	ɛr
era	ɛra
eram	ɛrã
eramus	ɛraːmʊs
erana	ɛrana
erannaboas	ɛrannabɔaːs
erant	ɛrant
eras	ɛraːs
erase	eːraːsɛ
erasinus	ɛrasiːnʊs
erasistratus	ɛrasɪstratʊs
erasmianus	ɛrasmiaːnʊs
erasmine	ɛrasmiːnɛ
erasmus	ɛrasmʊs
erat	ɛrat
eratis	ɛraːtɪs
eratosthenes	ɛratɔstʰɛneːs
eravisci	ɛrawɪskiː
erbessus	ɛrbeːssʊs
erbium	ɛrbiʊ̃
erdini	ɛrdɪniː
erebinthote	ɛrɛbɪntʰoːteː
erechtheus	ɛrɛkʰtʰeʊs
erectus	eːreːktʊs
eremicus	ɛreːmɪkʊs
eremita	ɛreːmiːta
eremiticus	ɛreːmiːtɪkʊs
eremiticus	eremiːtikus
eremiticus	eremideɡos
erennesis	ɛrɛnnɛsɪs
eresus	ɛrɛsʊs
eretria	ɛrɛtria
erga	ɛrɡaː
ergavica	ɛrɡawɪka
ergetium	ɛrɡɛtiʊ̃
erginus	ɛrɡiːnʊs
ergo	ɛrɡoː
erica	ɛriːka
erice	ɛriːkeː
ericinium	ɛrɪkɪniʊ̃
ericius	eːrɪkiʊs
ericus	ɛriːkʊs
ericusa	ɛrɪkuːsa
eridanus	eːrɪdanʊs
erigo	eːrɪɡoː
erigon	ɛrɪɡoːn
erilis	ɛriːlɪs
erimus	ɛrɪmʊs
erinaceus	eːrɪnaːkeʊs
erindes	ɛrɪndeːs
erineus	ɛriːneʊs
eriophoros	ɛriɔpʰɔrɔs
eripias	eːrɪpiaːs
eripio	eːrɪpioː
eris	eːrɪs
eris	ɛrɪs
erisma	ɛriːsma
erit	ɛrɪt
erithace	ɛrɪtʰakeː
eritis	ɛrɪtɪs
ernaginum	ɛrnaːɡɪnʊ̃
erneum	ɛrneʊ̃
ernodurum	ɛrnɔduːrʊ̃
ero	ɛroː
erochus	ɛroːkʰʊs
erogate	eːrɔɡaːtɛ
erogati	eːrɔɡaːtiː
erogatio	eːrɔɡaːtioː
erogato	eːrɔɡaːtoː
erogator	eːrɔɡaːtɔr
erogatorius	eːrɔɡaːtoːriʊs
erogo	eːrɔɡoː
eroticus	ɛroːtɪkʊs
erotylus	ɛroːtʏɫʊs
errabundus	ɛrraːbʊndʊs
errata	ɛrraːta
errata	ɛrraːtaː
erraticus	ɛrraːtɪkʊs
erraverimus	ɛrraːwɛrɪmʊs
erraverimus	ɛrraːwɛriːmʊs
erraveris	ɛrraːwɛrɪs
erraveris	ɛrraːwɛriːs
erraveritis	ɛrraːwɛrɪtɪs
erraveritis	ɛrraːwɛriːtɪs
erro	ɛrroː
erroneus	ɛrroːneʊs
error	ɛrrɔr
erubesco	eːrʊbeːskoː
erubrus	ɛrʊbrʊs
erucius	ɛrʊkiʊs
erudio	eːrʊdioː
erudite	eːrʊdiːteː
erudite	eːrʊdiːtɛ
eruditio	eːrʊdiːtioː
eruditulus	eːrʊdiːtʊɫʊs
eruditus	eːrʊdiːtʊs
erugino	eːruːɡɪnoː
erumpo	eːrʊmpoː
erunco	eːrʊŋkoː
erunt	ɛrʊnt
eruo	eːrʊoː
eruptio	eːrʊptioː
erus	ɛrʊs
ervilia	ɛrwɪlia
ervilia	erviːlia
ervum	ɛrwʊ̃
erymandrus	ɛrʏmandrʊs
erymandus	ɛryːmandʊs
erymanthus	ɛrʏmantʰʊs
erynge	eːrʏŋɡeː
eryngion	eːrʏŋɡiɔn
erysimon	ɛrʏsɪmɔn
erysimum	ɛrʏsɪmʊ̃
erythallis	ɛrʏtʰallɪs
erythinus	ɛrʏtʰiːnʊs
erythrae	ɛryːtʰrae̯
erythrocarpus	ɛrʏtʰrɔkarpʊs
erythrocephalus	ɛrʏtʰrɔkɛpʰaɫʊs
erythrogaster	ɛrʏtʰrɔɡastɛr
erythropes	ɛrʏtʰrɔpeːs
erythrophthalmus	ɛrʏtʰrɔpʰtʰaɫmʊs
erythropterus	ɛrʏtʰrɔptɛrʊs
erythropus	ɛrʏtʰrɔpʊs
eryx	ɛrʏks
es	ɛs
es	ɛs
esaianus	eːsaːiaːnʊs
esaias	ezaːias
esbonitae	ɛsbɔnɪtae̯
escado	ɛskadoː
escaio	ɛskajjoː
escaire	ɛskaiːrɛ
escarius	eːskaːriʊs
escarius	eskaːrius
escarius	eskarʲoos
escendo	eːskɛndoː
eschado	ɛskʰadoː
eschatologicus	ɛskʰatɔɫɔɡɪkʊs
escimaicus	ɛskɪmaɪkʊs
esculentior	ɛskʊɫɛntiɔr
esculentus	eːskʊɫɛntʊs
esdra	ɛsdraː
esdra	ɛsdra
esdrae	ɛsdrae̯
esdras	ɛsdraːs
esor	eːsɔr
esox	ɛsɔks
esperanticus	ɛspɛrantɪkʊs
esquimensis	ɛskᶣɪmẽːsɪs
esse	ɛssɛ
esse	eːssɛ
essedones	ɛsseːdɔneːs
essedum	ɛssɛdʊ̃
essem	ɛssɛ̃
essemus	ɛsseːmʊs
essemus	eːsseːmʊs
esseni	ɛsseːniː
essent	ɛssɛnt
essent	eːssɛnt
essentia	ɛssɛntia
essentiale	ɛssɛntiaːɫɛ
essentialis	ɛssɛntiaːlɪs
essentialis	essent͡siaːlis
esses	ɛsseːs
esset	ɛssɛt
esset	eːssɛt
essetis	ɛsseːtɪs
essetis	eːsseːtɪs
est	ɛst
este	eːstɛ
este	ɛstɛ
esther	ɛstʰeːr
estis	ɛstɪs
estis	eːstɪs
esto	ɛstoː
estonicus	ɛstɔnɪkʊs
estote	ɛstoːtɛ
estote	eːstoːtɛ
estuarinus	ɛstʊaːriːnʊs
esurient	eːsʊriɛnt
esurio	eːsʊrioː
et	ɛt
etanna	ɛtanna
etaxalos	ɛtaksaɫɔs
etene	ɛteːneː
etenim	ɛtɛnɪ̃
eteonus	ɛteoːnʊs
ethicus	eːtʰɪkʊs
ethnicus	ɛtʰnɪkʊs
ethos	eːtʰɔs
etiam	ɛtiã
etiam	eːt͡siam
etiamdum	ɛtiamdʊ̃
etiamsi	ɛtiãːsiː
etiamtum	ɛtiantʊ̃
etiamtunc	ɛtiantʊŋk
etruria	ɛtruːria
etruria	etruːria
etruria	ɛtruːriaː
etruria	etruːria
etruriae	ɛtruːriae̯
etruriam	ɛtruːriã
etruscus	ɛtruːskʊs
etsi	ɛtsiː
etymologia	ɛtʏmɔɫɔɡia
etymologiam	ɛtʏmɔɫɔɡiã
etymologicon	ɛtʏmɔɫɔɡɪkɔn
etymologicus	ɛtʏmɔɫɔɡɪkʊs
etymon	ɛtʏmɔn
eubulus	eu̯buːɫʊs
eucharis	eu̯kʰarɪs
eucharistia	eu̯kʰarɪstia
eucharisticus	eu̯kʰarɪstɪkʊs
eudemia	eu̯dɛmia
eudoses	eu̯dɔseːs
euforbea	eu̯fɔrbea
euforbia	eu̯fɔrbia
euge	eu̯ɡɛ
eugeneus	eu̯ɡɛneːʊs
eugenius	eu̯ɡɛniːʊs
eugepae	eu̯ɡɛpae̯
eulaeus	eu̯ɫae̯ʊs
eum	eʊ̃
eumaeus	eu̯mae̯ʊs
eumeces	eu̯meːkɛs
eumenes	eu̯mɛneːs
eundus	eʊndʊs
eunicus	eu̯nɪkʊs
eunt	eʊnt
euntibus	eʊntɪbʊs
eunto	eʊntoː
eunuchus	eu̯nuːkʰʊs
eunuchus	eu̯nuːkus
euonymos	ɛwoːnʏmɔs
eupagium	eu̯paɡiʊ̃
eupalium	eu̯paliʊ̃
eupetalos	eu̯pɛtaɫɔs
euphemus	eu̯pʰeːmʊs
euphemus	eu̯feːmus
euphorbium	eu̯pʰɔrbiʊ̃
eupilis	eu̯pɪlɪs
euripide	eu̯riːpɪdɛ
euripide	eu̯riːpɪdeː
euripides	eu̯riːpɪdeːs
euripideus	eu̯riːpɪdeːʊs
euripidi	eu̯riːpɪdiː
euripus	eu̯riːpʊs
euromus	eu̯roːmʊs
europaeus	eu̯roːpae̯ʊs
europaeus	eu̯ropɛːus
europaeus	eu̯roːpae̯ʊs
europaeus	eu̯ropɛːus
europensis	eu̯roːpẽːsɪs
europium	eu̯roːpiʊ̃
europus	eu̯roːpʊs
eurous	eu̯roːʊs
euryclea	eu̯rʏkɫeːa
euryclia	eu̯rʏkliːa
eurydice	eu̯rʏdɪkeː
eurydice	eu̯riːdit͡ʃe
eurygnatha	eu̯rʏŋnatʰa
eurygnatha	eu̯rʏŋnatʰaː
eurygnathus	eu̯rʏŋnatʰʊs
eurymedon	eu̯rʏmɛdoːn
eusebes	eu̯sɛbeːs
eusebio	eu̯sɛbioː
eusebius	eu̯sɛbiʊs
euzomon	eu̯zoːmɔn
euzomon	eu̯d͡zoːmon
eva	ɛwa
eva	eːva
eva	eːva
evacuo	eːwakʊoː
evadit	eːwaːdɪt
evagor	eːwaɡɔr
evagoras	ɛwaɡɔraːs
evangelicus	eːwaŋɡɛlɪkʊs
evangelista	eːwaŋɡɛlɪsta
evangelium	eːwaŋɡɛliʊ̃
evangelium	evand͡ʒeːlium
evangelizo	eːwaŋɡɛlɪzoː
evanidus	eːwaːnɪdʊs
eveho	eːwɛhoː
evello	eːwɛlloː
evenerimus	eːweːnɛrɪmʊs
evenerimus	eːweːnɛriːmʊs
eveneris	eːweːnɛrɪs
eveneris	eːweːnɛriːs
eveneritis	eːweːnɛrɪtɪs
eveneritis	eːweːnɛriːtɪs
evenimus	eːwɛniːmʊs
evenimus	eːweːnɪmʊs
evenio	eːwɛnioː
evenit	eːwɛnɪt
evenit	eːweːnɪt
evenor	ɛweːnɔr
eventum	eːwɛntʊ̃
eventus	eːwɛntʊs
evenus	ɛweːnʊs
everro	eːwɛrroː
everso	eːwɛrsoː
everto	eːwɛrtoː
evestigatus	eːwɛstiːɡaːtʊs
evexus	eːwɛksʊs
evibro	eːwɪbroː
evidens	eːwɪdẽːs
evidentes	eːwɪdɛnteːs
evigilo	eːwɪɡɪɫoː
evincio	eːwɪŋkioː
evinco	eːwɪŋkoː
eviratus	eːwɪraːtʊs
eviro	eːwɪroː
evitabilis	eːwiːtaːbɪlɪs
evocatio	eːwɔkaːtioː
evocatio	evokaːt͡sio
evocator	eːwɔkaːtɔr
evoco	eːwɔkoː
evoco	eːvoko
evolo	eːwɔɫoː
evolvo	eːwɔɫwoː
evomo	eːwɔmoː
evulgo	eːwʊɫɡoː
ex	ɛks
exacerbo	ɛksakɛrboː
exactas	ɛksaːktaːs
exacte	ɛksaːktɛ
exactio	ɛksaːktioː
exacto	ɛksaːktoː
exactor	ɛksaːktɔr
exacum	ɛksakʊ̃
exacuo	ɛksakʊoː
exadversum	ɛksadwɛrsʊ̃
exaedifico	ɛksae̯dɪfɪkoː
exaequo	ɛksae̯kʷoː
exaeresimus	ɛksae̯rɛsɪmʊs
exaestuo	ɛksae̯stʊoː
exaggerate	ɛksaɡɡɛraːtɛ
exaggeratio	ɛksaɡɡɛraːtioː
exaggero	ɛksaɡɡɛroː
exagito	ɛksaɡɪtoː
exagium	ɛksaɡiʊ̃
exalbesco	ɛksaɫbeːskoː
exalbo	ɛksaɫboː
exalbo	esalβo
exalto	ɛksaɫtoː
examen	ɛksaːmɛn
examino	ɛksaːmɪnoː
exampaeus	ɛksampae̯ʊs
examplexor	ɛksampɫɛksɔr
examussim	ɛksamʊssɪ̃
exanimis	ɛksanɪmɪs
exanimo	ɛksanɪmoː
exaratio	ɛksaraːtioː
exarchalis	ɛksarkʰaːlɪs
exardeo	ɛksardeoː
exardesco	ɛksardeːskoː
exaresco	ɛksaːreːskoː
exaro	ɛksaroː
exasperante	ɛksaspɛrantɛ
exasperanti	ɛksaspɛrantiː
exasperanto	ɛksaspɛrantoː
exasperas	ɛksaspɛraːs
exasperat	ɛksaspɛrat
exasperata	ɛksaspɛraːta
exasperata	ɛksaspɛraːtaː
exasperate	ɛksaspɛraːtɛ
exasperati	ɛksaspɛraːtiː
exasperatio	ɛksaspɛraːtioː
exasperato	ɛksaspɛraːtoː
exaspero	ɛksaspɛroː
exasperor	ɛksaspɛrɔr
exauctoro	ɛksau̯ktoːroː
exaudibilis	ɛksau̯diːbɪlɪs
exaudio	ɛksau̯dioː
exauditor	ɛksau̯diːtɔr
exaugeo	ɛksau̯ɡeoː
exauguro	ɛksau̯ɡʊroː
excado	ɛkskadoː
excaeco	ɛkskae̯koː
excalceo	ɛkskaɫkeoː
excaldo	ɛkskaɫdoː
excandesco	ɛkskandeːskoː
excanto	ɛkskantoː
excavo	ɛkskawoː
excedo	ɛkskeːdoː
excellens	ɛkskɛllẽːs
excellentia	ɛkskɛllɛntia
excellentior	ɛkskɛllɛntiɔr
excellentissime	ɛkskɛllɛntɪssɪmeː
excellentius	ɛkskɛllɛntiʊs
excello	ɛkskɛlloː
excelsior	ɛkskɛɫsiɔr
excelsis	ɛkskɛɫsiːs
excelsus	ɛkskɛɫsʊs
exceptio	ɛkskɛptioː
excepto	ɛkskɛptoː
excerebro	ɛkskɛrɛbroː
excerno	ɛkskɛrnoː
excerpo	ɛkskɛrpoː
excessivus	ɛkskɛssiːwʊs
excetra	ɛkskeːtra
excidere	ɛkskɪdɛrɛ
excidere	ɛkskɪdeːrɛ
excidere	ɛkskiːdɛrɛ
excido	ɛkskɪdoː
excido	ɛkskiːdoː
excieo	ɛkskieoː
excieo	ekst͡ʃiːeo
excio	ɛkskioː
excipio	ɛkskɪpioː
excisum	ɛkskiːsʊ̃
excitatio	ɛkskɪtaːtioː
excito	ɛkskɪtoː
excitus	ɛkskiːtʊs
excitus	ekst͡ʃiːtus
excitus	ɛkskɪtʊs
exclamo	ɛkskɫaːmoː
excludo	ɛkskɫuːdoː
exclusivus	ɛkskɫuːsiːwʊs
excogito	ɛkskoːɡɪtoː
excolo	ɛkskɔɫoː
excommunicatio	ɛkskɔmmuːnɪkaːtioː
excoquo	ɛkskɔkʷoː
excorio	ɛkskɔrioː
excors	ɛkskɔrs
excrementum	ɛkskreːmɛntʊ̃
excremo	ɛkskrɛmoː
excreo	ɛkskreoː
excretio	ɛkskreːtioː
excribo	ɛkskriːboː
excrucio	ɛkskrʊkioː
excubo	ɛkskʊboː
excudo	ɛkskuːdoː
exculco	ɛkskʊɫkoː
exculpo	ɛkskʊɫpoː
excultio	ɛkskʊɫtioː
excurro	ɛkskʊrroː
excursatio	ɛkskʊrsaːtioː
excursator	ɛkskʊrsaːtɔr
excursio	ɛkskʊrsioː
excursor	ɛkskʊrsɔr
excursus	ɛkskʊrsʊs
excusabundus	ɛkskuːsaːbʊndʊs
excusatio	ɛkskuːsaːtioː
excusatio	ekskuzaːt͡sio
excuso	ɛkskuːsoː
excutio	ɛkskʊtioː
execrabilis	ɛkseːkraːbɪlɪs
execror	ɛksɛkrɔr
