abilità	ɐbɪlɪta
lejla	lɛjlɐ
lemin	lɛmiːn
lessiku	lɛssɪkʊ
lewn	lɛwn
leħen	lɛħɛn
lgħabt	laːpt
lgħabt	lapt
lgħabt	laˤːpt
lhud	luːt
lhudi	luːdi
li	li
liba	liːbɐ
libertà	lɪbɛrta
librerija	lɪbrɛrijɐ
lifgħa	lɪfa
lifgħa	lɪfaˤː
lifgħat	lɪfaːt
lifgħat	lɪfaˤːt
lingwa	lɪnɡwɐ
lingwi	lɪnɡwɪ
live	laɪ̯f
llum	lluːm
logħba	lɔːba
logħba	lɔˤːba
logħbiet	lɔbɪːt
logħbiet	lɔˤːbɪːt
logħob	lɔːp
logħob	lɔˤːp
lsien	lsɪːn
ltaqa'	ltaʔa
ltim	ltiːm
lukanda	lʊkɐndɐ
lupu	luːpʊ
lħit	lħiːt
ma	maː
ma'	maː
madankollu	madankɔllʊ
magħluq	maluːʔ
magħluq	maˤːluːʔ
magħmudija	mamʊdiːja
magħmudija	maˤːmʊdiːja
magħqud	maʔuːt
magħqud	maˤːʔuːt
magħżul	mazuːl
magħżul	maˤːzuːl
malta	mɐltɐ
malti	mɐltɪ
maltija	mɐltiːjɐ
maltin	mɐltiːn
mana'	mana
maqtugħ	maʔtuːħ
maqtugħa	maʔtuːwa
maqtugħa	maʔtuˤːaˤ
maqtugħin	maʔtʊwɛjn
maqtugħin	maʔtʊˤɛˤjn
mar	maːr
mara	mara
martell	mɐrtɛll
masġar	mɐsdʒɐr
maħbub	mɐħbuːp
maħniex	maħnɪːʃ
mbagħad	mbaːt
mbagħad	mbaˤːt
mbegħdin	mbɛdiːn
mbegħdin	mbɛˤːdiːn
mbiegħda	mbɛːda
mbiegħda	mbɛˤːda
mbiegħed	mbɪːjɛt
mbiegħed	mbɪˤːɛˤt
mejjet	mɛjːɛt
mela	mɛla
mera	mɛːrɐ
merħba	mɛrħbɐ
meta	mɛta
mewt	mɛwt
mexa	mɛʃɐ
meħud	mɛħʊt
mfietaħ	mfɪːtɐħ
mgħallem	maːllɛm
mgħallem	maˤːllɛm
mgħallma	maːllma
mgħallma	maˤːllma
mgħallmin	mallmiːn
mgħallmin	maˤːllmiːn
mgħaref	maːrɛf
mgħaref	maˤːrɛf
mgħarfa	maːrfa
mgħarfa	maˤːrfa
mgħażqa	maːsʔa
mgħażqa	maˤːsʔa
mhux	muːʃ
mibegħda	mɪbɛːda
mibegħda	mɪbɛˤːda
mibgħut	mɪbɔwt
mibgħut	mɪbɛˤwt
mibjugħ	mɪbjuːħ
midinbin	mɪdɪmbiːn
midneb	mɪdnɛp
miet	mɪːt
mija	miːja
milgħaqa	mɪlaːʔa
milgħaqa	mɪlaˤːʔa
milgħaqiet	mɪlaʔɪːt
milgħaqiet	mɪlaˤːʔɪːt
milied	mɪlɪːt
milsa	mɪlsa
miniex	mɪnɪːʃ
mintix	mɪntiːʃ
mintomx	mɪntɔmʃ
mira	miːra
mirja	mɪrjɐ
misilmin	mɪsɪlmiːn
mislem	mɪslɛm
missier	mɪssɪːr
missirijiet	mɪssɪrɪjɪːt
mistagħġba	mɪstaːd͡ʒba
mistagħġba	mɪstaˤːd͡ʒba
mistagħġbin	mɪstad͡ʒbiːn
mistagħġbin	mɪstaˤːd͡ʒbiːn
mistagħġeb	mɪstaːd͡ʒɛp
mistagħġeb	mɪstaˤːd͡ʒɛp
mistoqsija	mɪstɔʔsiːja
mitejn	mɪtɛjn
mitt	mɪt
mitt	mɪtt‿
mkisser	mkɪssɛr
mmisja	mmɪsja
mnieħer	mnɪːħɛr
mogħdija	mɔdiːja
mogħdijiet	mɔdɪjɪːt
mogħdrija	mɔˤːdriːjɐ
mogħoż	mɔːs
mogħoż	mɔˤːs
mogħti	mɔːtɪ
mogħża	mɔːza
mogħża	mɔˤːza
moħriet	mɔħrɪːt
moħħ	mɔħː
mqareb	mʔaːrɛp
msaren	msɐːrɛn
msiebaħ	msɪːbaħ
msiemer	msɪːmɛr
mtaten	mtɐːtɛn
muftieħ	mʊftɪːħ
muntanja	mʊntanja
muntun	mʊntuːn
musbieħ	mʊzbɪːħ
musmar	mʊsmɐːr
musrana	mʊsrɐːnɐ
musulman	mʊsʊlmaːn
muswaf	mʊswaːf
muġugħ	mʊd͡ʒuːħ
muġugħa	mʊd͡ʒuːwa
muġugħin	mʊd͡ʒʊwɛjn
mużikali	mʊzɪkaːlɪ
mħabba	mħabba
mħadda	mħɐdːɐ
mħaded	mħɐdɛd
mħatra	mħaːtra
mħuħ	mħuːħ
nabelschnur	naːbəlʃnuːɐ̯
naddaf	naddaf
nagħaġ	naːt͡ʃ
nagħaġ	naˤːt͡ʃ
nagħniegħ	nanɪːħ
nagħġa	naːd͡ʒa
nagħġa	naˤːd͡ʒa
namra	nɐmrɐ
naqqas	nɐʔːɐs
nar	naːr
navigazzjoni	nɐvɪɡɐt͡t͡sjɔːnɪ
nazzjon	nɐt͡t͡sjɔːn
naħla	naːħlɐ
nbid	mbiːt
nbigħ	mbɪːħ
nbigħu	mbiːjɔw
nbigħu	mbiˤːɛˤw
nejba	nɛjba
nejka	nɛjkɐ
nemel	nɛmɛl
nemla	nɛmlɐ
nemliet	nɛmlɪːt
nemus	nɛmuːs
nemusa	nɛmuːsɐ
nesa	nɛsa
ngħata	naːta
ngħata	naˤːta
nhar	naːr
niek	nɪːk
nisa	nɪsa
nisrani	nɪsrɐːnɪ
nisranija	nɪsrɐnɪːjɐ
nixxiegħa	nɪʃʃɪːja
nixxiegħa	nɪʃʃɪˤːaˤ
nkiser	nkɪsɛr
nofs	nɔfs
nofsijiet	nɔfsɪjɪːt
nom	nɔːm
nqata'	nʔata
nsara	nsɐːrɐ
ntnesa	ntnɛsa
nukleari	nʊklɛaːrɪ
numru	nʊmrʊ
nuċċali	nʊtːʃalɪ
nħeba	nħɛba
omm	ɔmː
opportunità	ɔpːɔrtʊnɪta
oqbra	ɔʔbra
ordna	ɔrdna
organiżżazzjonali	ɔrɡɐnɪzːɐtːsjɔnaːlɪ
organiżżazzjoni	ɔrɡɐnɪzːɐtːsjɔːnɪ
oxxenità	ɔʃːɛnɪta
oħra	ɔħrɐ
oħrajn	ɔħrajn
oħt	ɔħt
oħxon	ɔħʃɔn
pagun	pɐɡuːn
pajjiż	pajjiːs
palma	pɐlmɐ
papra	pɐprɐ
papri	pɐprɪ
parteċipazzjoni	partɛt͡ʃɪpatt͡sjɔːnɪ
passat	passat
passjoni	pɐsːjɔːnɪ
patata	pɐtaːtɐ
paċi	paːt͡ʃɪ
paċi	pat͡ʃɪ
paġni	pɐd͡ʒnɪ
pene	pɛnɛ
penetrazzjoni	pɛnɛtrɐtːsjɔːnɪ
periklu	pɛrɪklʊ
plural	plʊrɐːl
politika	pɔliːtɪka
politiki	pɔliːtɪkɪ
politiku	pɔliːtɪkʊ
politiċi	pɔliːtɪt͡ʃɪ
popli	pɔplɪ
poplu	pɔplʊ
popolazzjoni	pɔpɔlɐt͡t͡sjɔːnɪ
pornografija	pɔrnɔɡraːfɪjɐ
pornografiku	pɔrnɔɡraːfɪkʊ
poġġa	pɔdd͡ʒa
pożizzjoni	pɔzɪtːsjɔːnɪ
pparteċipa	ppartɛt͡ʃiːpa
ppenetra	ppɛnɛːtra
ppersegwita	ppɛrsɛɡwiːta
pprojbixxa	pprɔjbɪʃʃa
ppromwova	pprɔmwɔːva
pprova	pprɔːva
prepuzju	prɛpuːtsjʊ
produzzjoni	prɔdʊtːsjɔːnɪ
profond	prɔfɔnt
profonditajiet	prɔfɔndɪtajɪːt
profondità	prɔfɔndɪtaː
promozzjoni	prɔmɔtt͡sjɔːnɪ
pronom	prɔnɔːm
pronunzja	prɔnʊntsjɐ
pronunzji	prɔnʊnt͡sjɪ
prostata	prɔstaːtɐ
protezzjoni	prɔtɛtːsjɔːnɪ
proġett	prɔdʒɛtː
pubblikazzjoni	pʊbːlɪkɐtːsjɔːnɪ
q	ʔ
q	q
qabad	ʔabat
qabar	ʔabar
qabeż	ʔabɛs
qabilha	ʔabɪla
qabla	ʔɐblɐ
qablu	ʔablʊ
qadim	ʔɐdiːm
qagħad	ʔaˤːt
qagħda	ʔaːda
qagħda	ʔaˤːda
qagħdiet	ʔadɪːt
qagħdiet	ʔaˤːdɪːt
qal	ʔaːl
qala'	ʔala
qalb	ʔalp
qam	ʔaːm
qamar	ʔamar
qamħ	ʔamħ
qanfud	ʔɐnfuːt
qanpiena	ʔampɪːna
qantar	ʔantaːr
qantarejn	ʔantarɛjn
qaqoċċ	ʔaʔɔt͡ʃ
qaqoċċa	ʔaʔɔtt͡ʃa
qarib	ʔɐriːp
qassata	ʔassaːta
qassatat	ʔassataːt
qassis	ʔɐsːiːs
qassisin	ʔɐsːɪsiːn
qata'	ʔata
qatel	ʔatɛl
qatgħa	ʔata
qatgħa	ʔataˤː
qatgħat	ʔataːt
qatgħat	ʔataˤːt
qatra	ʔaːtrɐ
qatt	ʔat
qattus	ʔattuːs
qawl	ʔɐwl
qawmien	ʔawmɪːn
qaws	ʔɐws
qawwi	ʔɐwːɪ
qażquż	ʔɐsʔuːs
qeda	ʔɛda
qegħdin	ʔɛdiːn
qegħdin	ʔɛˤːdiːn
qiegħ	ʔɪːħ
qiegħda	ʔɛːda
qiegħda	ʔɛˤːda
qiegħed	ʔɪːjɛt
qiegħed	ʔɪːt
qiegħed	ʔɪˤːɛˤt
qigħan	ʔɪjaːn
qigħan	ʔɪˤaˤːn
qlub	ʔluːp
qmis	ʔmiːs
qnatar	ʔnaːtar
qniefed	ʔnɪːfɛt
qniepen	ʔnɪːpɛn
qoffa	ʔɔfːɐ
qofof	ʔɔfɔf
qorq	ʔɔrʔ
qorriegħa	ʔɔrrɪːja
qorriegħa	ʔɔrrɪˤːaˤ
qorrigħat	ʔɔrrɪjaːt
qorrigħat	ʔɔrrɪˤaˤːt
qorti	ʔɔrtɪ
qoxra	ʔɔʃra
qrati	ʔrɐːtɪ
qrejjaq	ʔrɛjːɐʔ
qrib	ʔriːp
qrieq	ʔrɪːʔ
qroqqa	ʔrɔʔːɐ
qtates	ʔtɐːtɛs
qwas	ʔwɐːs
qwiebel	ʔwɪːbɛl
qwiel	ʔwɪːl
qżieqeż	ʔzɪːʔɛs
ra	raː
ragħa	raː
ragħa	raˤː
ragħaj	raj
ragħaj	raˤj
ragħajja	rajja
ragħajja	raˤjja
randan	randaːn
rappreżentazzjoni	rɐpːrɛzɛntɐtːsjɔːnɪ
raqad	raʔat
ras	rɐːs
ratal	ratal
ratlejn	ratlɛjn
raħal	raħal
reazzjoni	rɛatt͡sjɔːnɪ
rebaħ	rɛːbɐħ
rebbiegħa	rɛbbɪːja
rebbiegħa	rɛbbɪˤːaˤ
rebħa	rɛbħɐ
regħba	rɛːba
regħba	rɛˤːba
relazzjoni	rɛlɐtːsjɔːnɪ
resaq	rɛsaʔ
reġina	rɛdʒiːnɐ
rgħib	rɛjp
rgħib	rɛˤjp
ried	rɪːt
rikeb	rɪkɛp
rix	riːʃ
rixa	riːʃɐ
rixiet	riʃɪːt
riġel	rɪd͡ʒɛl
riġlejn	rɪd͡ʒlɛjn
riħ	rɪːħ
riħ	riːħ
rjieħ	rjɪːħ
rkoppa	rkɔppa
rkopptejn	rkɔptɛjn
rkupptejn	rkʊptɛjn
rmied	rmɪːt
rokna	rɔknɐ
romol	rɔmɔl
rqad	rʔaːt
rqiq	rʔɪːʔ
rreaġixxa	ɪrrɛad͡ʒɪʃʃa
rrisponda	rrɪspɔnda
rtal	rtaːl
rummien	rʊmːɪːn
rummiena	rʊmːɪːnɐ
russu	rʊssʊ
ruħ	ruːħ
rwieħ	rwɪːħ
rwol	rwɔːl
rċieva	rt͡ʃɪːva
rħula	rħuːla
sa	sa
sab	saːp
saba'	saba
sabi	sabɪ
sabiħ	sabɪːħ
sabiħa	sabɪːħa
sagħtar	saːtar
sagħtar	saˤːtar
sagħtejn	satɛjn
sagħtejn	saˤːtɛjn
sahar	saːr
sahra	saːra
sahriet	sarɪːt
sajf	sɐɪ̯f
salib	sɐliːp
saltna	sɐltnɐ
saltniet	sɐltnɪːt
sama'	sama
saqaf	sɐʔɐf
saqsa	saʔsa
saħħar	sɐħːɐːr
saħħara	sɐħːɐːrɐ
sbatax	zbataːʃ
sbejjaħ	zbɛjːɐħ
sbejħa	zbɛjħɐ
sbejħin	zbɛjħiːn
sbieħ	zbɪːħ
sbuħija	zbʊħiːjɐ
seba'	sɛba
sebat	sɛbat
sebgħa	sɛba
sebgħa	sɛbaˤː
sebgħin	sɛbɛjn
sebgħin	sɛbɛˤjn
sehem	sɛːm
sejf	sɛɪ̯f
sekonda	sɛkɔndɐ
sekwenza	sɛkwɛntsɐ
sekwenzjali	sɛkwɛntsjaːlɪ
sekwenzjalment	sɛkwɛntsjɐlmɛnt
selezzjoni	sɛlɛtt͡sjɔːnɪ
sellum	sɛlːuːm
sema	sɛma
sema'	sɛma
semgħu	sɛmɔw
semgħu	sɛmɛˤw
sena	sɛna
senduq	sɛnduːʔ
sengħa	sɛna
sengħa	sɛnaˤː
sentejn	sɛntɛjn
seraq	sɛrɐʔ
serduq	sɛrduːʔ
serp	sɛrp
serq	sɛrʔ
sess	sɛsː
sesswali	sɛsːwaːlɪ
sesswalment	sɛsːwɐlmɛnt
seta'	sɛta
setgħa	sɛta
setgħa	sɛtaˤː
setgħat	sɛtaːt
setgħat	sɛtaˤːt
sewda	sɛwdɐ
sfafar	sfɐːfɐr
sibt	sɪpt
sider	sɪdɛr
siegħa	sɪːja
siegħa	sɪˤːaˤ
sieq	sɪːʔ
sies	sɪːs
sieħeb	sɪːħɛp
sigriet	sɪɡrɪːt
sigħat	sɪjaːt
sigħat	sɪˤaˤːt
siket	sɪkɛt
sikkina	sɪkːiːnɐ
sillabazzjoni	sɪllɐbɐt͡t͡sjɔːnɪ
silġ	sɪltʃ
simpatiku	sɪmpaːtɪkʊ
singulari	sɪnɡulɐːrɪ
sinna	sɪnːɐ
sinonimu	sɪnɔːnɪmʊ
sistema	sɪstɛːmɐ
sistematikament	sɪstɛmɐtɪkɐmɛnt
sistematiku	sɪstɛmaːtɪkʊ
sitt	sɪt
sitt	sɪtt‿
sitta	sɪtta
sittax	sɪttaːʃ
siġra	sɪdʒrɐ
siġġu	sɪdːʒʊ
skejjel	skɛjjɛl
skieken	skɪːkɛn
skiet	skɪːt
skola	skɔːla
skorpjun	skɔrpjuːn
slaten	slɐːtɛn
slielem	slɪːlɛm
sliem	slɪːm
smajt	smajt
smewwiet	smɛwwɪːt
snajja'	snajja
sniedaq	snɪːdɐʔ
snien	snɪːn
snin	snɪn
sodda	sɔdda
sodod	sɔdɔt
soqfa	sɔʔfɐ
sorm	sɔrm
sottomissjoni	sɔtːɔmisːjɔːnɪ
spanjol	spɐɲɲɔːl
sperma	spɛrmɐ
speċifikament	spɛtʃɪfɪkɐmɛnt
speċifiku	spɛtʃɪfɪkʊ
sptar	sptaːr
sqaq	sʔaːʔ
sriedaq	srɪːdɐʔ
sriep	srɪːp
ssieħeb	ssɪːħɛp
ssuġerixxa	ssʊd͡ʒɛrɪʃʃa
stagħġeb	staːd͡ʒɛp
stagħġeb	staˤːd͡ʒɛp
stenna	stɛnna
stess	stɛs
stilla	stɪllɐ
stimula	stiːmʊlɐ
stimulazzjoni	stɪmʊlɐtːsjɔːnɪ
stonku	stɔnkʊ
subgħajn	sʊbajn
subgħajn	sʊbaˤjn
subien	sʊbɪːn
suf	suːf
suffara	sʊfːɐːrɐ
sultan	sʊltɐːn
summiena	sʊmːɪːnɐ
suq	suːʔ
suwed	sʊwɛt
svediż	zvɛdiːs
swaba'	swaːba
swied	swɪːt
swieq	swɪːʔ
sħab	sħaːp
sħaba	sħaːba
sħabiet	sħabɪːt
sħana	sħaːnɐ
sħaħar	sħɐːħɐr
sħun	sħʊn
ta	taː
ta'	taː
tabib	tɐbip
tagħha	taħħa
tagħhom	taħħɔm
tagħkom	taːkɔm
tagħkom	taˤːkɔm
tagħna	taːna
tagħna	taˤːna
tajba	tɐjbɐ
tajbin	tajbiːn
tajjeb	tajjɛp
tala'	tɐlɐ
talab	talap
taljan	tɐljɐːn
tar	taːr
tarbija	tɐrbiːjɐ
tari	taːrɪ
tassew	tɐsːɛw
taġen	taːd͡ʒɛn
tbigħ	dbɪːħ
tbigħu	dbiːjɔw
tbigħu	dbiˤːɛˤw
tebut	tɛbuːt
telaq	tɛlɐʔ
televixin	tɛlɛvɪʒɪn
televixins	tɛlɛvɪʒɪns
tensjoni	tɛnsjɔːnɪ
tfajjel	tfajjɛl
tfajla	tfajla
tfal	tfaːl
tfejjaq	tfɛjjaʔ
tfissed	tfɪssɛt
tfittxija	tfɪtːʃiːjɐ
tgħallem	taːllɛm
tgħallem	taˤːllɛm
tgħammed	taːmmɛt
tgħammed	taˤːmmɛt
tgħatta	taːtta
tgħatta	taˤːtta
tiegħek	tɪːjɛk
tiegħek	tɪˤːɛˤk
tiegħi	tɪːjɛj
tiegħi	tɪˤːɛˤj
tiegħu	tɪːjɔw
tiegħu	tɪˤːɛˤw
tieġ	tɪːtʃ
tifel	tɪfɛl
tifla	tɪfla
tirma	tɪrmɐ
tlettax	tlɛttaːʃ
tliet	tlɪːt
tlieta	tlɪːta
tlitt	tlɪtt‿
tmiem	tmɪːm
tmien	tmɪːn
tmienja	tmɪːnja
tmint	tmɪnt
tmintax	tmɪntaːʃ
tnax	tnaːʃ
tnejn	tnɛjn
togħma	tɔːma
togħma	tɔˤːma
toqba	tɔʔbɐ
toqob	tɔʔɔp
toroq	tɔrɔʔ
tqal	tʔaːl
tqil	tʔiːl
tqila	tʔiːla
trabi	trɐːbɪ
tradizzjoni	trɐdɪtːsjɔːnɪ
traduzzjoni	tradʊtt͡sjɔːnɪ
tranżizzjoni	trɐnzɪtːsjɔːnɪ
trijonf	trɪjɔnf
trijonf	trɪjɔmf
triq	trɪːʔ
triqat	trɪʔaːt
ttraduċa	ttraduːt͡ʃa
tuffieħa	tʊffɪːħa
twal	twaːl
twaġen	twaːd͡ʒɛn
twiebet	twɪːbɛt
twil	twiːl
twila	twiːlɐ
uffiċjali	ʊfːɪtʃjaːlɪ
uffiċjalment	ʊfːɪtʃjɐlmɛnt
ukoll	ʊkɔll
ulied	ʊlɪːt
umbrelel	ʊmbrɛlɛl
umbrella	ʊmbrɛlla
unità	ʊnɪta
universitajiet	ʊnɪvɛrsɪtajɪːt
università	ʊnɪvɛrsɪtaː
unur	ʊnuːr
uqija	ʊʔiːja
uqijiet	ʊʔɪjɪːt
uqitejn	ʊʔɪtɛjn
uretra	ʊrɛtrɐ
usa'	uːsa
utilità	ʊtɪlɪta
uċuħ	ʊt͡ʃuːħ
uġigħ	ʊd͡ʒɪːħ
vanità	vɐnɪta
vaġina	vɐdʒiːnɐ
veloċità	vɛlɔtʃɪta
verità	vɛrɪta
vers	vɛrs
vjaġġ	vjɐt͡t͡ʃ
vjolazzjoni	vjɔlatt͡sjɔːnɪ
vjolentement	vjɔlɛntɛmɛnt
vjolenti	vjɔlɛntɪ
vjolenza	vjɔlɛntsɐ
vrus	vruːs
vuċi	vut͡ʃɪ
vvjola	vvjɔːla
waqaf	waːʔɐf
waqt	wɐʔt
warda	wɐrdɐ
wardiet	wɐrdɪːt
warrab	warrap
wegħda	wɛːda
wegħda	wɛˤːda
wegħdiet	wɛdɪːt
wegħdiet	wɛˤːdɪːt
wera	wɛrɐ
weraq	wɛraʔ
werqa	wɛrʔɐ
werqat	wɛrʔaːt
werqiet	wɛrʔɪːt
werqtejn	wɛrʔtɛjn
wesgħin	wɛsɛjn
weġġaħ	wɛdd͡ʒaħ
widien	wɪdɪːn
widna	wɪdna
widnejn	wɪdnɛjn
wied	wɪːt
wiegħed	wɪːjɛt
wiegħed	wɪˤːɛˤt
wiesa'	wɪːsa
wiesgħa	wɪːsa
wiesgħa	wɪːsaˤː
wieġeb	wɪːd͡ʒɛp
wisgħin	wɪsɛjn
wisq	wɪsʔ
wistin	wistiːn
wiċċ	wɪt͡ʃː
wiżgħa	wɪza
wiżgħa	wɪzaˤː
wiżintejn	wɪzɪntɛjn
wiżna	wɪzna
wiżniet	wɪznɪːt
wiżża	wɪzːɐ
wkoll	wkɔll
x'	ʃ
x'inhi	ʃɪnɪ
x'inhija	ʃɪniːja
x'inhu	ʃɪnʊ
x'inhuma	ʃɪnʊma
x'inhuwa	ʃɪnuːwa
x'jismek	ʃjɪsmɛk
xadin	ʃɐdɪːn
xadina	ʃɐdɪːnɐ
xafra	ʃɐfrɐ
xagħar	ʃaːr
xagħar	ʃaˤːr
xagħra	ʃaːra
xagħra	ʃaˤːra
xagħriet	ʃarɪːt
xagħriet	ʃaˤːrɪːt
xahar	ʃaːr
xahrejn	ʃarɛjn
xatt	ʃɐtː
xbieha	ʒbɪːja
xbihat	ʒbɪjaːt
xebb	ʃɛp
xebba	ʃɛbba
xebbah	ʃɛbbaħ
xebbaħ	ʃɛbbaħ
xebh	ʃɛpħ
xebħ	ʃɛpħ
xegħel	ʃɛːl
xegħel	ʃɛˤːl
xehed	ʃɛːt
xellug	ʃɛlluːk
xema'	ʃɛma
xemgħa	ʃɛma
xemgħa	ʃɛmaˤː
xemgħat	ʃɛmaːt
xemgħat	ʃɛmaˤːt
xemx	ʃɛmʃ
xena	ʃɛːnɐ
xettiku	ʃɛtːɪkʊ
xewka	ʃɛwkɐ
xewqa	ʃɛwʔa
xewqat	ʃɛwʔaːt
xhieda	ʃɪːda
xhur	ʃuːr
xi	ʃɪ
xiex	ʃɪːʃ
xita	ʃɪtɐ
xitan	ʃɪtaːn
xitla	ʃɪtlɐ
xitwa	ʃɪtwɐ
xiħ	ʃɪːħ
xjaten	ʃjaːtɛn
xjentifiku	ʃjɛntɪfɪkʊ
xjenza	ʃjɛntsɐ
xkupilja	ʃkʊpɪljɐ
xlokk	ʃlɔk
xmajjar	ʃmajjar
xmara	ʃmaːra
xmun	ʃmuːn
xniegħa	ʃnɪːja
xniegħa	ʃnɪˤːaˤ
xnigħat	ʃnɪjaːt
xnigħat	ʃnɪˤaˤːt
xoffa	ʃɔffa
xofftejn	ʃɔftɛjn
xogħlijiet	ʃɔlɪjɪːt
xogħlijiet	ʃɔˤːlɪjɪːt
xogħol	ʃɔːl
xogħol	ʃɔˤːl
xorb	ʃɔrp
xtaq	ʃtaːʔ
xtara	ʃtaːrɐ
xtieli	ʃtɪːlɪ
xufftejn	ʃʊftɛjn
xurban	ʃʊrbaːn
zija	t͡siːjɐ
ziju	t͡siːjʊ
zokkor	tsɔkːɔr
ċavetta	t͡ɕɑvɛttɑ
ċawl	t͡ʃɐwl
ċawla	t͡ʃɐwlɐ
ċawliet	t͡ʃɐwlɪːt
ċaħad	t͡ʃaħat
ċentru	tʃɛntrʊ
ċentupied	t͡ʃɛntʊpɪːt
ċentupiedi	t͡ʃɛntʊpɪːdɪ
ċirasa	t͡ʃɪrɐsɐ
ċirku	tʃɪrkʊ
ċkejken	t͡ʃkɛjkɛn
ċkejkna	t͡ʃkɛjknɐ
ċkejknin	t͡ʃkɛjkniːn
ċuċ	t͡ʃuːt͡ʃ
ċwieċ	t͡ʃwɪːt͡ʃ
ġabar	dʑaːbɐr
ġabar	dʑabar
ġabar	dʑɑbɑr
ġakbu	d͡ʒaːɡbʊ
ġakobb	d͡ʒakɔp
ġar	d͡ʒaːr
ġawhar	d͡ʒawwar
ġawhra	d͡ʒawra
ġdid	d͡ʒdiːt
ġebel	d͡ʒɛbɛl
ġebla	d͡ʒɛbla
ġebliet	d͡ʒɛblɪːt
ġemel	d͡ʑɛːmɛl
ġemel	dʑemel
ġenitali	dʒɛnɪtaːlɪ
ġenna	d͡ʒɛnna
ġens	d͡ʒɛns
ġermaniż	d͡ʒɛrmɐniːs
ġeru	d͡ʒɛrʊ
ġewnaħ	d͡ʒɛwnɐħ
ġie	d͡ʒɪː
ġieħ	d͡ʒɪːħ
ġilda	dʒɪldɐ
ġimagħtejn	d͡ʒɪmatɛjn
ġimagħtejn	d͡ʒɪmaˤːtɛjn
ġimgħa	d͡ʒɪma
ġimgħa	d͡ʒɪmaˤː
ġimgħat	d͡ʒɪmaːt
ġimgħat	d͡ʒɪmaˤːt
ġirasol	dʒɪrɐsɔl
ġisem	dʒiːsɛm
ġlud	d͡ʒluːt
ġmiel	dʒmɪːl
ġnejna	d͡ʒnɛjnɐ
ġnien	d͡ʒnɪːn
ġnus	d͡ʒnuːs
ġo	dʒɔ
ġobon	d͡ʒɔbɔn
ġranet	d͡ʒraːnɛt
ġrieden	d͡ʒrɪːdɛn
ġriewi	d͡ʒrɪːwɪ
ġuf	d͡ʒuːf
ġurdien	dʑʊrdɪːn
ġurdien	dʑurdiːn
ġurnata	d͡ʒʊrnaːta
ġustizzja	dʑʊstɪt̚tsʲɐ
ġustizzja	dʑustitsʲːa
ġuvni	d͡ʒʊvnɪ
ġuvnott	d͡ʑʊvnɔt
ġuvnott	dʑuvnot̚
ġwann	d͡ʒwɐnː
ġwief	d͡ʒwɪːf
ġwienaħ	d͡ʒwɪːnɐħ
ħ	ħ
ħa	ħaː
ħabb	ħap
ħabib	ħabiːp
ħabrieki	ħabrɪːkɪ
ħabs	ħaps
ħadd	ħat
ħadd	ħat
ħaddejn	ħaddɛjn
ħadid	ħɐdiːt
ħadt	ħat
ħafer	ħafɛr
ħajja	ħɐjːɐ
ħalaq	ħalaʔ
ħalib	ħɐliːp
ħalq	ħalʔ
ħames	ħamɛs
ħamest	ħamɛst
ħamiema	ħamɪːma
ħamsa	ħamsa
ħanek	ħanɛk
ħanfusa	ħɐnfuːsɐ
ħanut	ħanuːt
ħanżir	ħɐnziːr
ħanżira	ħɐnziːrɐ
ħaraq	ħaraʔ
ħares	ħaːrɛs
ħareġ	ħarɛtʃ
ħarifa	ħɐriːfɐ
ħarir	ħɐriːr
ħaruf	ħɐruːf
ħaseb	ħasɛp
ħasel	ħasɛl
ħassar	ħɐsːɐr
ħaswa	ħɐswɐ
ħatar	ħɐtɐr
ħatt	ħat
ħawħ	ħawħ
ħawħa	ħawħa
ħawħiet	ħawħɪːt
ħaxix	ħɐʃiːʃ
ħaġa	ħaːd͡ʒa
ħaġar	ħad͡ʒar
ħaġeb	ħad͡ʒɛp
ħaġeb	ħaːd͡ʒɛp
ħaġel	ħɐd͡ʒɛl
ħaġla	ħɐd͡ʒlɐ
ħaġra	ħad͡ʒra
ħaġriet	ħad͡ʒrɪːt
ħaġġar	ħadd͡ʒar
ħażin	ħaziːn
ħbieb	ħbɪːp
ħbiżtejn	ħbɪstɛjn
ħdax	ħdaːʃ
ħeba	ħɛba
ħello	ħɛloʊ̯
ħelsinki	ħɛlsɪnkɪ
ħelu	ħɛlʊ
ħelwa	ħɛlwɐ
ħelwin	ħɛlwiːn
ħeġġeġ	ħɛdːʒɛtʃ
ħieles	ħɪːlɛs
ħlejjaq	ħlɛjːɐʔ
ħlieqa	ħlɪːʔɐ
ħluq	ħluːʔ
ħmar	ħmɐːr
ħmistax	ħmɪstaːʃ
ħniefes	ħnɪːfɛs
ħnieżer	ħnɪːzɛr
ħobż	ħɔps
ħobża	ħɔbza
ħobżiet	ħɔbzɪːt
ħolm	ħɔlm
ħolma	ħɔlmɐ
ħolmiet	ħɔlmɪːt
ħolom	ħɔlɔm
ħsibijiet	ħsɪbɪjɪːt
ħsieb	ħsɪːp
ħu	ħuː
ħurrieqa	ħʊrːɪːʔɐ
ħuta	ħuːta
ħuttaf	ħʊtːɐf
ħuttafa	ħʊtːɐfɐ
ħuġbejn	ħʊd͡ʒbɛjn
ħwejjeġ	ħwɛjjɛt͡ʃ
ħwienet	ħwɪːnɛt
ħxien	ħʃɪːn
ħġieġ	ħdʒɪːtʃ
ż	z
żagħżugħ	zazuːħ
