a	ˈɒ
bokeh	ˈbokeː
bokeh	ˈbokɛ
bóklászik	ˈboːklaːsik
bókok	ˈboːkok
bókol	ˈboːkol
bokor	ˈbokor
bokorról	ˈbokorːoːl
bokra	ˈbokrɒ
bokrai	ˈbokrɒʲi
bokraid	ˈbokrɒʲid
bokraik	ˈbokrɒʲik
bokraim	ˈbokrɒʲim
bokraink	ˈbokrɒʲiŋk
bokraitok	ˈbokrɒʲitok
bokrod	ˈbokrod
bokrok	ˈbokrok
bokrom	ˈbokrom
bokron	ˈbokron
bokrotok	ˈbokrotok
bokruk	ˈbokruk
bokrunk	ˈbokruŋk
boksa	ˈbokʃɒ
boksz	ˈboks
bokszbajnok	ˈboɡzbɒjnok
bokszbajnokok	ˈboɡzbɒjnokok
bokszok	ˈboksok
bokszoló	ˈboksoloː
bokszolók	ˈboksoloːk
bokszutca	ˈboksut͡sːɒ
boldizsár	ˈboldiʒaːr
boldog	ˈboldoɡ
boldogabb	ˈboldoɡɒbː
boldogan	ˈboldoɡɒn
boldogít	ˈboldoɡiːt
boldogok	ˈboldoɡok
boldogság	ˈboldokʃaːɡ
boldogsága	ˈboldokʃaːɡɒ
boldogságaik	ˈboldokʃaːɡɒʲik
boldogságaim	ˈboldokʃaːɡɒʲim
boldogságaink	ˈboldokʃaːɡɒʲiŋk
boldogságaitok	ˈboldokʃaːɡɒʲitok
boldogságban	ˈboldokʃaːɡbɒn
boldogságod	ˈboldokʃaːɡod
boldogságok	ˈboldokʃaːɡok
boldogságokon	ˈboldokʃaːɡokon
boldogságokra	ˈboldokʃaːɡokrɒ
boldogságom	ˈboldokʃaːɡom
boldogságon	ˈboldokʃaːɡon
boldogságot	ˈboldokʃaːɡot
boldogságotok	ˈboldokʃaːɡotok
boldogságra	ˈboldokʃaːɡrɒ
boldogságuk	ˈboldokʃaːɡuk
boldogságunk	ˈboldokʃaːɡuŋk
boldogtalan	ˈboldoktɒlɒn
boldogtalanabb	ˈboldoktɒlɒnɒbː
boldogtalanság	ˈboldoktɒlɒnʃaːɡ
boldogtalanságok	ˈboldoktɒlɒnʃaːɡok
boldogtalanul	ˈboldoktɒlɒnul
boldogul	ˈboldoɡul
bolgár	ˈbolɡaːr
bolgárok	ˈbolɡaːrok
bolha	ˈbolɦɒ
bolhák	ˈbolɦaːk
bolhapiac	ˈbolɦɒpiʲɒt͡s
bolhapiacok	ˈbolɦɒpiʲɒt͡sok
bólint	ˈboːlint
bólintás	ˈboːlintaːʃ
bólintások	ˈboːlintaːʃok
bolívari	ˈboliːvɒri
bolívia	ˈboliːviʲɒ
bolond	ˈbolond
bolondít	ˈbolondiːt
bolondos	ˈbolondoʃ
bolondság	ˈbolont͡ʃaːɡ
bolondságok	ˈbolont͡ʃaːɡok
bolondul	ˈbolondul
bolsevizmus	ˈbolʃɛvizmuʃ
bolt	ˈbolt
boltba	ˈboldbɒ
boltban	ˈboldbɒn
bolti	ˈbolti
boltja	ˈbolcɒ
boltkóros	ˈboltkoːroʃ
boltkórosok	ˈboltkoːroʃok
boltok	ˈboltok
boltokba	ˈboltoɡbɒ
boltokban	ˈboltoɡbɒn
boly	ˈboj
bolyai	ˈboːjɒʲi
bolygó	ˈbojɡoː
bolygóideg	ˈbojɡoːʲidɛɡ
bolygóidegek	ˈbojɡoːʲidɛɡɛk
bolygók	ˈbojɡoːk
bolygón	ˈbojɡoːn
bolygórendszer	ˈbojɡoːrɛntsɛr
bolyh	ˈbojx
bolyhok	ˈbojhok
bolyok	ˈbojok
bomba	ˈbombɒ
bombák	ˈbombaːk
bombardíroz	ˈbombɒrdiːroz
bombarobbanás	ˈbombɒrobːɒnaːʃ
bombasztikus	ˈbombɒstikuʃ
bombáz	ˈbombaːz
bombázás	ˈbombaːzaːʃ
bombázások	ˈbombaːzaːʃok
bombázó	ˈbombaːzoː
bomlaszt	ˈbomlɒst
bomlékony	ˈbomleːkoɲ
bomlik	ˈbomlik
bon	ˈboːn
bonc	ˈbont͡s
boncok	ˈbont͡sok
boncol	ˈbont͡sol
boncolás	ˈbont͡solaːʃ
boncolások	ˈbont͡solaːʃok
bonok	ˈbonok
bonszai	ˈbonsaːj
bonszaiok	ˈbonsaːjok
bont	ˈbont
bontani	ˈbontɒni
bonyodalmak	ˈboɲodɒlmɒk
bonyodalom	ˈboɲodɒlom
bonyolít	ˈboɲoliːt
bonyolult	ˈboɲolult
bonyolultabb	ˈboɲolultɒbː
bonyolultság	ˈboɲolult͡ʃaːɡ
bonyolultságok	ˈboɲolult͡ʃaːɡok
bor	ˈbor
bór	ˈboːr
bora	ˈborɒ
bóra	ˈboːrɒ
bórák	ˈboːraːk
borász	ˈboraːs
borászat	ˈboraːsɒt
borászati	ˈboraːsɒti
borászatok	ˈboraːsɒtok
borászok	ˈboraːsok
borát	ˈboraːt
borba	ˈborbɒ
borbála	ˈborbaːlɒ
borbély	ˈborbeːj
borbélyok	ˈborbeːjok
borbolya	ˈborbojɒ
borbolya	ˈborbojɒ
borda	ˈbordɒ
bordai	ˈbordɒʲi
bordás	ˈbordaːʃ
bordásfal	ˈbordaːʃfɒl
bordatörés	ˈbordɒtøreːʃ
bordáz	ˈbordaːz
bordély	ˈbordeːj
bordélyház	ˈbordeːjhaːz
borecet	ˈborɛt͡sɛt
borecetek	ˈborɛt͡sɛtɛk
borig	ˈboriɡ
borít	ˈboriːt
boríték	ˈboriːteːk
borítékok	ˈboriːteːkok
borító	ˈboriːtoː
borítók	ˈboriːtoːk
borjú	ˈborjuː
borjúhús	ˈborjuːhuːʃ
borkősav	ˈborkøːʃɒv
borkősavak	ˈborkøːʃɒvɒk
bornak	ˈbornɒk
bornit	ˈbornit
borogat	ˈboroɡɒt
borogatás	ˈboroɡɒtaːʃ
borogatások	ˈboroɡɒtaːʃok
borok	ˈborok
bórok	ˈboːrok
boróka	ˈboroːkɒ
borókák	ˈboroːkaːk
boron	ˈboron
borona	ˈboronɒ
boronák	ˈboronaːk
borong	ˈboroŋɡ
borongó	ˈboroŋɡoː
borongós	ˈboroŋɡoːʃ
boros	ˈboroʃ
borosta	ˈboroʃtɒ
borosták	ˈboroʃtaːk
borostyán	ˈboroʃcaːn
borostyánok	ˈboroʃcaːnok
borostyánsárga	ˈboroʃcaːnʃaːrɡɒ
borotok	ˈborotok
borotva	ˈborotvɒ
borotvaéles	ˈborotvɒʲeːlɛʃ
borotvák	ˈborotvaːk
borotvál	ˈborotvaːl
borotválkozik	ˈborotvaːlkozik
borotvapamacs	ˈborotvɒpɒmɒt͡ʃ
borpince	ˈborpint͡sɛ
borra	ˈborːɒ
borrá	ˈborːaː
bórra	ˈboːrːɒ
bors	ˈborʃ
borsa	ˈborʃɒ
bórsav	ˈboːrʃɒv
borsikafű	ˈborʃikɒfyː
borsmenta	ˈborʃmɛntɒ
borsmenták	ˈborʃmɛntaːk
borsó	ˈborʃoː
borsócsont	ˈborʃoːt͡ʃont
borsócsontok	ˈborʃoːt͡ʃontok
borsok	ˈborʃok
borsók	ˈborʃoːk
borsokat	ˈborʃokɒt
borson	ˈborʃon
borsos	ˈborʃoʃ
borsosabb	ˈborʃoʃɒbː
borsot	ˈborʃot
borsót	ˈborʃoːt
borsuk	ˈborʃuk
borszakértő	ˈborsɒkeːrtøː
borszakértők	ˈborsɒkeːrtøːk
bort	ˈbort
bortudomány	ˈbortudomaːɲ
bortudományok	ˈbortudomaːɲok
ború	ˈboruː
borúk	ˈboruːk
borul	ˈborul
borúlátás	ˈboruːlaːtaːʃ
borúlátások	ˈboruːlaːtaːʃok
borulékony	ˈboruleːkoɲ
borús	ˈboruːʃ
borz	ˈborz
borzad	ˈborzɒd
borzadály	ˈborzɒdaːj
borzadályok	ˈborzɒdaːjok
borzalmak	ˈborzɒlmɒk
borzalmas	ˈborzɒlmɒʃ
borzalom	ˈborzɒlom
borzaszt	ˈborzɒst
borzasztó	ˈborzɒstoː
borzok	ˈborzok
bosnyák	ˈboʃɲaːk
bosszant	ˈbosːɒnt
bosszú	ˈbosːuː
bosszúk	ˈbosːuːk
bosszúkat	ˈbosːuːkɒt
bosszús	ˈbosːuːʃ
bosszúság	ˈbosːuːʃaːɡ
bosszúságok	ˈbosːuːʃaːɡok
bosszút	ˈbosːuːt
boszniai	ˈbosniʲɒʲi
boszorka	ˈbosorkɒ
boszorkák	ˈbosorkaːk
boszorkány	ˈbosorkaːɲ
boszorkányok	ˈbosorkaːɲok
boszorkányság	ˈbosorkaːɲʃaːɡ
boszorkányságok	ˈbosorkaːɲʃaːɡok
boszorkányüldözés	ˈbosorkaːɲyldøzeːʃ
boszporusz	ˈbosporus
bot	ˈbot
botanika	ˈbotɒnikɒ
botanikus	ˈbotɒnikuʃ
botanikusok	ˈbotɒnikuʃok
botja	ˈbocːɒ
botját	ˈbocːaːt
botkormány	ˈbotkormaːɲ
botkormányok	ˈbotkormaːɲok
botlik	ˈbotlik
botok	ˈbotok
boton	ˈboton
botond	ˈbotond
botrány	ˈbotraːɲ
botrányok	ˈbotraːɲok
botswana	ˈbot͡svaːnɒ
botswanai	ˈbot͡svaːnɒʲi
botswanaiak	ˈbot͡svaːnɒʲiʲɒk
bottá	ˈbotːaː
bouvet-sziget	ˈbuvɛsiɡɛt
bóvli	ˈboːvli
bowlingozik	ˈboːliŋɡozik
bozontos	ˈbozontoʃ
bp.	ˈbudɒpɛʃt
bp.-en	ˈbudɒpɛʃtɛn
brácsa	ˈbraːt͡ʃɒ
brácsák	ˈbraːt͡ʃaːk
brassó	ˈbrɒʃːoː
bravó	ˈbrɒvoː
brazil	ˈbrɒzil
brazília	ˈbrɒziːliʲɒ
brekeg	ˈbrɛkɛɡ
brekeke	ˈbrɛkɛkɛ
bréma	ˈbreːmɒ
bretagne	ˈbrøtaːɲ
bricsesz	ˈbrit͡ʃɛs
bricseszek	ˈbrit͡ʃɛsɛk
bridzs	ˈbrid͡ʒː
bridzshez	ˈbrit͡ʃhɛz
bridzstől	ˈbrit͡ʃtøːl
brigád	ˈbriɡaːd
brigadéros	ˈbriɡɒdeːroʃ
brigadérosok	ˈbriɡɒdeːroʃok
brigádok	ˈbriɡaːdok
briganti	ˈbriɡɒnti
brigantik	ˈbriɡɒntik
briliáns	ˈbriliʲaːnʃ
bringa	ˈbriŋɡɒ
bringák	ˈbriŋɡaːk
briós	ˈbriʲoːʃ
briósok	ˈbriʲoːʃok
brokkoli	ˈbrokːoli
brokkolik	ˈbrokːolik
brokkolit	ˈbrokːolit
bróm	ˈbroːm
brómok	ˈbroːmok
bronz	ˈbronz
bronzérem	ˈbronzeːrɛm
bronzérmek	ˈbronzeːrmɛk
bronzkor	ˈbronskor
bronzkorok	ˈbronskorok
bronzok	ˈbronzok
bross	ˈbroʃː
brossok	ˈbroʃːok
brosstű	ˈbroʃtyː
brr	ˈbr
brum	ˈbrum
brumm	ˈbrumː
brummog	ˈbrumːoɡ
brutális	ˈbrutaːliʃ
brutálisan	ˈbrutaːliʃɒn
brutalitás	ˈbrutɒlitaːʃ
brutalitások	ˈbrutɒlitaːʃok
bruttó	ˈbrutːoː
brüsszel	ˈbrysːɛl
brüsszeli	ˈbrysːɛli
btk.	ˈbeːteːkaː
bú	ˈbuː
búb	ˈbuːb
bubi	ˈbubi
bubifrizura	ˈbubifrizurɒ
búbok	ˈbuːbok
buborék	ˈbuboreːk
buborékok	ˈbuboreːkok
buborékol	ˈbuboreːkol
buborékos	ˈbuboreːkoʃ
búbos	ˈbuːboʃ
búbot	ˈbuːbot
bucka	ˈbut͡skɒ
búcsú	ˈbuːt͡ʃuː
búcsúcsók	ˈbuːt͡ʃuːt͡ʃoːk
búcsúk	ˈbuːt͡ʃuːk
búcsút	ˈbuːt͡ʃuːt
búcsúzás	ˈbuːt͡ʃuːzaːʃ
búcsúzik	ˈbuːt͡ʃuːzik
buda	ˈbudɒ
budai	ˈbudɒʲi
budán	ˈbudaːn
budapest	ˈbudɒpɛʃt
budapesten	ˈbudɒpɛʃtɛn
budapesti	ˈbudɒpɛʃti
budapestre	ˈbudɒpɛʃtrɛ
buddha	ˈbuthɒ
buddhista	ˈbuthiʃtɒ
buddhisták	ˈbuthiʃtaːk
buddhizmus	ˈbuthizmuʃ
budi	ˈbudi
budoár	ˈbudoaːr
budoárok	ˈbudoaːrok
búg	ˈbuːɡ
bugyborékol	ˈbuɟboreːkol
bugyborékolva	ˈbuɟboreːkolvɒ
bugyi	ˈbuɟi
bugyik	ˈbuɟik
bugyog	ˈbuɟoɡ
bugyogó	ˈbuɟoɡoː
bugyogók	ˈbuɟoɡoːk
buja	ˈbujɒ
bújik	ˈbuːjik
bukarest	ˈbukɒrɛʃt
bukás	ˈbukaːʃ
bukephalosz	ˈbukɛfɒlos
bukik	ˈbukik
bukkan	ˈbukːɒn
bukni	ˈbukni
bukó	ˈbukoː
bukósisak	ˈbukoːʃiʃɒk
bukósisakok	ˈbukoːʃiʃɒkok
bukószél	ˈbukoːseːl
bukószelek	ˈbukoːsɛlɛk
bukott	ˈbukotː
bukottabb	ˈbukotːɒbː
buksza	ˈbuksɒ
buldog	ˈbuldoɡ
buldogok	ˈbuldoɡok
buldózer	ˈbuldoːzɛr
bulgária	ˈbulɡaːriʲɒ
buli	ˈbuli
bulik	ˈbulik
bulit	ˈbulit
bulvárlap	ˈbulvaːrlɒp
bumeráng	ˈbumɛraːŋɡ
bumerángok	ˈbumɛraːŋɡok
bunda	ˈbundɒ
bundák	ˈbundaːk
bundás	ˈbundaːʃ
bungaló	ˈbuŋɡɒloː
bungalók	ˈbuŋɡɒloːk
bungalókkal	ˈbuŋɡɒloːkːɒl
bunsen-égő	ˈbunzɛneːɡøː
bunyó	ˈbuɲoː
búr	ˈbuːr
bura	ˈbuːrɒ
búra	ˈbuːrɒ
búrák	ˈbuːraːk
búrára	ˈbuːraːrɒ
burgonya	ˈburɡoɲɒ
burgonyák	ˈburɡoɲaːk
burgonyaleves	ˈburɡoɲɒlɛvɛʃ
burjánzik	ˈburjaːnzik
burka	ˈburkɒ
burkok	ˈburkok
burkol	ˈburkol
burkolt	ˈburkolt
burkoltabb	ˈburkoltɒbː
burkom	ˈburkom
burnót	ˈburnoːt
burnótok	ˈburnoːtok
burnótszelence	ˈburnoːtsɛlɛnt͡sɛ
burnusz	ˈburnus
burnuszok	ˈburnusok
burok	ˈburok
búrok	ˈbuːrok
burundi	ˈburundi
bús	ˈbuːʃ
busa	ˈbuʃɒ
busák	ˈbuʃaːk
busát	ˈbuʃaːt
búskomor	ˈbuːʃkomor
búskomorabb	ˈbuːʃkomorɒbː
busszal	ˈbusːɒl
busz	ˈbus
buszállomás	ˈbusaːlːomaːʃ
buszállomások	ˈbusaːlːomaːʃok
buszban	ˈbuzbɒn
buszmegálló	ˈbusmɛɡaːlːoː
buszmegállók	ˈbusmɛɡaːlːoːk
busznál	ˈbusnaːl
buszok	ˈbusok
buszokat	ˈbusokɒt
buszoknál	ˈbusoknaːl
buszon	ˈbuson
buszpályaudvar	ˈbuspaːjɒudvɒr
buszpályaudvarok	ˈbuspaːjɒudvɒrok
buszra	ˈbusrɒ
buszsáv	ˈbusʃaːv
buszsávok	ˈbusʃaːvok
buszt	ˈbust
buszvezető	ˈbusvɛzɛtøː
buta	ˈbutɒ
butadién	ˈbutɒdiʲeːn
bután	ˈbutaːn
butaság	ˈbutɒʃaːɡ
butaságok	ˈbutɒʃaːɡok
butik	ˈbutik
butikok	ˈbutikok
bútor	ˈbuːtor
bútora	ˈbuːtorɒ
bútorai	ˈbuːtorɒʲi
bútoraid	ˈbuːtorɒʲid
bútoraik	ˈbuːtorɒʲik
bútoraim	ˈbuːtorɒʲim
bútoraink	ˈbuːtorɒʲiŋk
bútoraitok	ˈbuːtorɒʲitok
bútordarab	ˈbuːtordɒrɒb
bútornak	ˈbuːtornɒk
bútorod	ˈbuːtorod
bútorok	ˈbuːtorok
bútorokat	ˈbuːtorokɒt
bútorokkal	ˈbuːtorokːɒl
bútoroknak	ˈbuːtoroknɒk
bútorokon	ˈbuːtorokon
bútorokra	ˈbuːtorokrɒ
bútorom	ˈbuːtorom
bútoron	ˈbuːtoron
bútorotok	ˈbuːtorotok
bútorra	ˈbuːtorːɒ
bútorral	ˈbuːtorːɒl
bútort	ˈbuːtort
bútoruk	ˈbuːtoruk
bútorunk	ˈbuːtoruŋk
búvár	ˈbuːvaːr
búvárok	ˈbuːvaːrok
búza	ˈbuːzɒ
búzák	ˈbuːzaːk
búzavirág	ˈbuːzɒviraːɡ
búzavirágkék	ˈbuːzɒviraːkːeːk
buzgalom	ˈbuzɡɒlom
buzgó	ˈbuzɡoː
buzgóság	ˈbuzɡoːʃaːɡ
buzi	ˈbuzi
buzogány	ˈbuzoɡaːɲ
buzogányok	ˈbuzoɡaːɲok
byte	ˈbaːjt
bő	ˈbøː
bőbeszédű	ˈbøːbɛseːdyː
bőbeszédűség	ˈbøːbɛseːdyːʃeːɡ
bőg	ˈbøːɡ
böglyök	ˈbøɡjøk
böglyökre	ˈbøɡjøkrɛ
böglyökön	ˈbøɡjøkøn
böglyön	ˈbøɡjøn
böglyük	ˈbøɡjyk
bögre	ˈbøɡrɛ
bögrében	ˈbøɡreːbɛn
bögrék	ˈbøɡreːk
bögöly	ˈbøɡøj
bögölyre	ˈbøɡøjrɛ
bögölyök	ˈbøɡøjøk
bögölyökre	ˈbøɡøjøkrɛ
bögölyökön	ˈbøɡøjøkøn
bögölyön	ˈbøɡøjøn
bögölyük	ˈbøɡøjyk
böhöm	ˈbøhøm
böjt	ˈbøjt
böjtök	ˈbøjtøk
böjtöl	ˈbøjtøl
böjtölök	ˈbøjtøløk
böjtös	ˈbøjtøʃ
bökkenő	ˈbøkːɛnøː
bökkenők	ˈbøkːɛnøːk
bölcs	ˈbølt͡ʃ
bölcsek	ˈbølt͡ʃɛk
bölcsesség	ˈbølt͡ʃɛʃːeːɡ
bölcsességek	ˈbølt͡ʃɛʃːeːɡɛk
bölcsességfog	ˈbølt͡ʃɛʃːeːkfoɡ
bölcsességfogak	ˈbølt͡ʃɛʃːeːkfoɡɒk
bölcsész	ˈbølt͡ʃeːs
bölcső	ˈbølt͡ʃøː
bölcsődal	ˈbølt͡ʃøːdɒl
bölcsődalok	ˈbølt͡ʃøːdɒlok
bölcsőde	ˈbølt͡ʃødɛ
bölcsődék	ˈbølt͡ʃødeːk
bölcsők	ˈbølt͡ʃøːk
bölény	ˈbøleːɲ
bölények	ˈbøleːɲɛk
bölényszárny	ˈbøleːɲsaːrɲ
bölömbika	ˈbølømbikɒ
bölömbikák	ˈbølømbikaːk
bömböl	ˈbømbøl
böngészés	ˈbøŋɡeːseːʃ
böngészések	ˈbøŋɡeːseːʃɛk
böngésző	ˈbøŋɡeːsøː
böngészők	ˈbøŋɡeːsøːk
böngészőket	ˈbøŋɡeːsøːkɛt
böngészőt	ˈbøŋɡeːsøːt
bőr	ˈbøːr
bőrbaj	ˈbøːrbɒj
bőrcipő	ˈbøːrt͡sipøː
bőre	ˈbøːrɛ
bőregér	ˈbøːrɛɡeːr
bőrét	ˈbøːreːt
bőrgyár	ˈbøːrɟaːr
bőrgyárak	ˈbøːrɟaːrɒk
bőrgyógyász	ˈbøːrɟoːɟaːs
bőrgyógyászat	ˈbøːrɟoːɟaːsɒt
bőrgyógyászati	ˈbøːrɟoːɟaːsɒti
bőrgyógyászok	ˈbøːrɟoːɟaːsok
bőrgyulladás	ˈbøːrɟulːɒdaːʃ
bőrig	ˈbøːriɡ
bőrre	ˈbøːrːɛ
bőrré	ˈbøːrːeː
bőrrel	ˈbøːrːɛl
bőrt	ˈbøːrt
börtön	ˈbørtøn
börtönbe	ˈbørtømbɛ
börtönben	ˈbørtømbɛn
börtönből	ˈbørtømbøːl
börtönök	ˈbørtønøk
börtönökben	ˈbørtønøɡbɛn
bőrök	ˈbøːrøk
bőröket	ˈbøːrøkɛt
bőrökké	ˈbøːrøkːeː
bőrön	ˈbøːrøn
bőrönd	ˈbøːrønd
bőröndök	ˈbøːrøndøk
bőrű	ˈbøːryː
bőség	ˈbøːʃeːɡ
bőségek	ˈbøːʃeːɡɛk
bőséges	ˈbøːʃeːɡɛʃ
bőségesebb	ˈbøːʃeːɡɛʃɛbː
bőségesen	ˈbøːʃeːɡɛʃɛn
böszörmény	ˈbøsørmeːɲ
böszörmények	ˈbøsørmeːɲɛk
bővebb	ˈbøːvɛbː
bővebben	ˈbøːvɛbːɛn
bőven	ˈbøːvɛn
bővít	ˈbøːviːt
bővíteni	ˈbøːviːtɛni
bővítés	ˈbøːviːteːʃ
bővítése	ˈbøːviːteːʃɛ
bővítések	ˈbøːviːteːʃɛk
bővítést	ˈbøːviːteːʃt
bővítmény	ˈbøːviːtmeːɲ
bővítmények	ˈbøːviːtmeːɲɛk
bővül	ˈbøːvyl
bővülő	ˈbøːvyløː
büdzsé	ˈbyd͡ʒeː
büdös	ˈbydøʃ
büfé	ˈbyfeː
büfék	ˈbyfeːk
bükk	ˈbykː
bükkök	ˈbykːøk
bűn	ˈbyːn
bűnbak	ˈbyːmbɒk
bűnbakok	ˈbyːmbɒkok
bűnbánat	ˈbyːmbaːnɒt
bűncselekmény	ˈbyːnt͡ʃɛlɛkmeːɲ
bűncselekmények	ˈbyːnt͡ʃɛlɛkmeːɲɛk
bűnt	ˈbyːnt
büntet	ˈbyntɛt
büntetés	ˈbyntɛteːʃ
büntetés-végrehajtás	ˈbyntɛteːʃveːɡrɛɦɒjtaːʃ
büntetések	ˈbyntɛteːʃɛk
büntetést	ˈbyntɛteːʃt
büntető	ˈbyntɛtøː
büntetődobás	ˈbyntɛtøːdobaːʃ
büntetőjog	ˈbyntɛtøːjoɡ
büntetőjogi	ˈbyntɛtøːjoɡi
büntetőkamat	ˈbyntɛtøːkɒmɒt
bűnök	ˈbyːnøk
bűnös	ˈbyːnøʃ
bűnösnek	ˈbyːnøʃnɛk
bűnösök	ˈbyːnøʃøk
bűnöz	ˈbyːnøz
bűnözés	ˈbyːnøzeːʃ
bűnözések	ˈbyːnøzeːʃɛk
bűnöző	ˈbyːnøzøː
bűnözők	ˈbyːnøzøːk
bűnügy	ˈbyːnyɟ
bűnügyi	ˈbyːnyɟi
bürkök	ˈbyrkøk
bürokrácia	ˈbyrokraːt͡siʲɒ
bürokráciák	ˈbyrokraːt͡siʲaːk
bürokrata	ˈbyrokrɒtɒ
bürokraták	ˈbyrokrɒtaːk
bürokratikus	ˈbyrokrɒtikuʃ
bürök	ˈbyrøk
büszke	ˈbyskɛ
büszkébben	ˈbyskeːbːɛn
büszkék	ˈbyskeːk
büszkélkedik	ˈbyskeːlkɛdik
büszkén	ˈbyskeːn
büszkeség	ˈbyskɛʃeːɡ
büszkeségek	ˈbyskɛʃeːɡɛk
büszkeséggel	ˈbyskɛʃeːɡːɛl
bűvész	ˈbyːveːs
bűvészek	ˈbyːveːsɛk
bűvöl	ˈbyːvøl
bűvös	ˈbyːvøʃ
bűvösebb	ˈbyːvøʃɛbː
bűz	ˈbyːz
bűzlik	ˈbyːzlik
bűzösborz	ˈbyːzøʒborz
c	ˈt͡s
c	ˈt͡seː
cadik	ˈt͡sɒdik
cáfol	ˈt͡saːfol
cáfolat	ˈt͡saːfolɒt
cakompakk	ˈt͡sɒkompɒkː
cammog	ˈt͡sɒmːoɡ
cápa	ˈt͡saːpɒ
cápák	ˈt͡saːpaːk
cápáktól	ˈt͡saːpaːktoːl
capin	ˈt͡sɒpin
cár	ˈt͡saːr
cári	ˈt͡saːri
cárnő	ˈt͡saːrnøː
cárok	ˈt͡saːrok
casco	ˈkɒskoː
ccd	ˈt͡seːt͡seːdeː
cd	ˈt͡seːdeː
cd-lejátszó	ˈt͡seːdeːlɛjaːt͡sːoː
cd-lejátszók	ˈt͡seːdeːlɛjaːt͡sːoːk
cd-n	ˈt͡seːdeːn
cd-t	ˈt͡seːdeːt
cé	ˈt͡seː
cech	ˈt͡sɛxː
cecília	ˈt͡sɛt͡siːliʲɒ
cécó	ˈt͡seːt͡soː
cédé	ˈt͡seːdeː
cédrus	ˈt͡seːdruʃ
cédrusfa	ˈt͡seːdruʃfɒ
cédrusfába	ˈt͡seːdruʃfaːbɒ
cédrusfában	ˈt͡seːdruʃfaːbɒn
cédrusfából	ˈt͡seːdruʃfaːboːl
cédrusfád	ˈt͡seːdruʃfaːd
cédrusfáért	ˈt͡seːdruʃfaːʲeːrt
cédrusfához	ˈt͡seːdruʃfaːɦoz
cédrusfái	ˈt͡seːdruʃfaːʲi
cédrusfáid	ˈt͡seːdruʃfaːʲid
cédrusfáig	ˈt͡seːdruʃfaːʲiɡ
cédrusfáik	ˈt͡seːdruʃfaːʲik
cédrusfáim	ˈt͡seːdruʃfaːʲim
cédrusfáink	ˈt͡seːdruʃfaːʲiŋk
cédrusfáitok	ˈt͡seːdruʃfaːʲitok
cédrusfája	ˈt͡seːdruʃfaːjɒ
cédrusfájuk	ˈt͡seːdruʃfaːjuk
cédrusfák	ˈt͡seːdruʃfaːk
cédrusfákat	ˈt͡seːdruʃfaːkɒt
cédrusfákba	ˈt͡seːdruʃfaːɡbɒ
cédrusfákban	ˈt͡seːdruʃfaːɡbɒn
cédrusfákból	ˈt͡seːdruʃfaːɡboːl
cédrusfaként	ˈt͡seːdruʃfɒkeːnt
cédrusfákért	ˈt͡seːdruʃfaːkeːrt
cédrusfákhoz	ˈt͡seːdruʃfaːkhoz
cédrusfákig	ˈt͡seːdruʃfaːkiɡ
cédrusfákká	ˈt͡seːdruʃfaːkːaː
cédrusfákkal	ˈt͡seːdruʃfaːkːɒl
cédrusfákként	ˈt͡seːdruʃfaːkːeːnt
cédrusfáknak	ˈt͡seːdruʃfaːknɒk
cédrusfáknál	ˈt͡seːdruʃfaːknaːl
cédrusfákon	ˈt͡seːdruʃfaːkon
cédrusfákra	ˈt͡seːdruʃfaːkrɒ
cédrusfákról	ˈt͡seːdruʃfaːkroːl
cédrusfáktól	ˈt͡seːdruʃfaːktoːl
cédrusfám	ˈt͡seːdruʃfaːm
cédrusfán	ˈt͡seːdruʃfaːn
cédrusfának	ˈt͡seːdruʃfaːnɒk
cédrusfánál	ˈt͡seːdruʃfaːnaːl
cédrusfánk	ˈt͡seːdruʃfaːŋk
cédrusfára	ˈt͡seːdruʃfaːrɒ
cédrusfáról	ˈt͡seːdruʃfaːroːl
cédrusfát	ˈt͡seːdruʃfaːt
cédrusfátok	ˈt͡seːdruʃfaːtok
cédrusfától	ˈt͡seːdruʃfaːtoːl
cédrusfává	ˈt͡seːdruʃfaːvaː
cédrusfával	ˈt͡seːdruʃfaːvɒl
cédrusok	ˈt͡seːdruʃok
cefotaxim	ˈt͡sɛfotɒksim
cég	ˈt͡seːɡ
cége	ˈt͡seːɡɛ
céged	ˈt͡seːɡɛd
cégei	ˈt͡seːɡɛʲi
cégeid	ˈt͡seːɡɛʲid
cégeik	ˈt͡seːɡɛʲik
cégeim	ˈt͡seːɡɛʲim
cégeink	ˈt͡seːɡɛʲiŋk
cégeitek	ˈt͡seːɡɛʲitɛk
cégek	ˈt͡seːɡɛk
cégeken	ˈt͡seːɡɛkɛn
cégeket	ˈt͡seːɡɛkɛt
cégekkel	ˈt͡seːɡɛkːɛl
cégeknek	ˈt͡seːɡɛknɛk
cégekre	ˈt͡seːɡɛkrɛ
cégem	ˈt͡seːɡɛm
cégen	ˈt͡seːɡɛn
céges	ˈt͡seːɡɛʃ
céget	ˈt͡seːɡɛt
cégetek	ˈt͡seːɡɛtɛk
céggel	ˈt͡seːɡːɛl
cégnek	ˈt͡seːɡnɛk
cégnél	ˈt͡seːɡneːl
cégre	ˈt͡seːɡrɛ
cégük	ˈt͡seːɡyk
cégünk	ˈt͡seːɡyŋk
céh	ˈt͡seː
céh	ˈt͡seːɦ
céh	ˈt͡seːx
