アイアイ	ai-ai
オートバイシクル	ōtobaishikuru
オートパイロット	ōtopairotto
オートマチック	ōtomachikku
オートミール	ōtomīru
オートメーション	ōtomēshon
オード	ōdo
オードトワレ	ōdotoware
オードトワレット	ōdotowaretto
オードブル	ōdoburu
オーナー	ōnā
オオナゴ	ōnago
オオハクチョウ	ōhakuchō
オオバン	ōban
オーバー	ōbā
オーバーオール	ōbāōru
オーバーコート	ōbākōto
オーバータイム	ōbātaimu
オーバードライブ	ōbādoraibu
オーバードース	ōbādōsu
オーバーブラウス	ōbāburausu
オーバーライド	ōbāraido
オーブラスチ	ōburasuchi
オーブン	ōbun
オープニング	ōpuningu
オープン	ōpun
オーボエ	ōboe
オーボー	ōbō
オーム	ōmu
オオムギ	ōmugi
オオメジロザメ	ōmejirozame
オオヤマネコ	ōyamaneko
オーラ	ōra
オーライ	ōrai
オーランド	ōrando
オーリーオーン	ōrīōn
オーリンズ	ōrinzu
オール	ōru
オールスター	ōrusutā
オールスパイス	ōrusupaisu
オールバニ	ōrubani
オールバニー	ōrubanī
オーレ	ōre
オーロクス	ōrokusu
オーロックス	ōrokkusu
オーロラ	ōrora
オカ	oka
オカズ	okazu
オカピ	okapi
オカマ	okama
オカメインコ	okameinko
オカルト	okaruto
オガタマ	ogatama
オキサゾール	okisazōru
オキシトシン	okishitoshin
オキシム	okishimu
オクタデカン	okutadekan
オクタン	okutan
オクラ	okura
オクローシカ	okurōshika
オグロ	oguro
オケ	oke
オケアノス	okeanosu
オコジョ	okojo
オコゼ	okoze
オサゾン	osazon
オシャレ	oshare
オス	osu
オスカー	osukā
オストメイト	osutomeito
オスマン	osuman
オスミウム	osumiumu
オセロ	osero
オゾン	ozon
オタ	-ota
オタク	otaku
オタマジャクシ	otamajakushi
オダマキ	odamaki
オックスフォード	okkusufōdo
オッケー	okkē
オッサン	ossan
オットー	ottō
オットセイ	ottosei
オットマン	ottoman
オッドアイ	oddoai
オッパイ	oppai
オトメン	otomen
オナニー	onanī
オナベ	onabe
オナペット	onapetto
オナホ	onaho
オナホール	onahōru
オニウム	oniumu
オニオコゼ	oniokoze
オニダルマオコゼ	onidarumaokoze
オネェ	onē
オノマトペ	onomatope
オバマ	obama
オバマケア	obamakea
オパール	opāru
オフ	ofu
オファー	ofā
オフィス	ofisu
オフホワイト	ofuhowaito
オフレコ	ofureko
オブジェ	obuje
オブジェクト	obujekuto
オブリガート	oburigāto
オプション	opushon
オペアンプ	opeanpu
オペラ	opera
オペラグラス	operagurasu
オペレーション	operēshon
オペレーター	operētā
オペレッタ	operetta
オマージュ	omāju
オマーン	omān
オマキザル	omakizaru
オミナエシ	ominaeshi
オムニバス	omunibasu
オムレツ	omuretsu
オメー	omē
オモラシ	omorashi
オヤジ	oyaji
オランウータン	oran'ūtan
オリーブ	orību
オリエンテーション	orientēshon
オリオン	orion
オリキャラ	orikyara
オリコン	orikon
オリジナル	orijinaru
オリュンピア	oryunpia
オリュンポス	oryunposu
オルガスムス	orugasumusu
オルガン	orugan
オルドス	orudosu
オルバニ	orubani
オルバニー	orubanī
オレ	ore
オレイアス	oreiasu
オレフィン	orefin
オレンジ	orenji
オレンジジュース	orenjijūsu
オワコン	owakon
オン	on
オングストローム	ongusutorōmu
オンライン	onrain
オヴァ	ova
オヴム	ovumu
ヵ	-ka
ケ	ga
ヶ	-ka
カー	kā
カーゲーベー	kāgēbē
ガーゴイル	gāgoiru
ガーゼ	gāze
カーソル	kāsoru
カーソン	kāson
カーテン	kāten
カーディガン	kādigan
カーディフ	kādifu
ガーデン	gāden
カート	kāto
カード	kādo
ガード	gādo
ガードマン	gādoman
ガードル	gādoru
ガーナ	gāna
カーナーヴォン	kānāvon
カーナビ	kānabi
カーニバル	kānibaru
カーニング	kāningu
カーネーション	kānēshon
ガーネット	gānetto
カーネル	kāneru
カーパーク	kāpāku
カービン	kābin
カーブ	kābu
カーブル	kāburu
カーペット	kāpetto
カーホップ	kāhoppu
カーマ	kāma
カーライル	kārairu
カーラジオ	kārajio
カーリー	kārī
カーリーヘア	kārīhea
カーリナ	kārina
カーリング	kāringu
カール	kāru
ガール	gāru
カールスクルーナ	kārusukurūna
ガールズ	gāruzu
ガールフレンド	gārufurendo
ガイア	gaia
ガイアナ	gaiana
カイエビ	kaiebi
カイエンヌ	kaiennu
カイコ	kaiko
カイコガ	kaikoga
カイチュウ	kaichū
カイツブリ	kaitsuburi
ガイド	gaido
ガイドブック	gaidobukku
ガイドライン	gaidorain
カイピリーニャ	kaipirīnya
カイリ	kairi
カイロ	kairo
カイロプラクター	kairopurakutā
カイン	kain
ガウチョ	gaucho
カウボーイ	kaubōi
ガウル	gauru
カウロン	kauron
ガウン	gaun
カウンタ	kaunta
カウンター	kauntā
カウンターテナー	kauntātenā
カウントダウン	kauntodaun
カエサル	kaesaru
カエル	kaeru
ガオー	gaō
カオス	kaosu
カカオ	kakao
カキ	kaki
カキコ	kakiko
カグツチ	kagutsuchi
カゲロウ	kagerō
カササギ	kasasagi
ガザ	gaza
カザグルマ	kazaguruma
カシミール	kashimīru
カシミヤ	kashimiya
ガシャポン	gashapon
カシュー	kashū
カシューナッツ	kashūnattsu
カシュミール	kashumīru
カシワ	kashiwa
カジキ	kajiki
カジノ	kajino
カジュアル	kajuaru
カス	kasu
ガス	gasu
カスタード	kasutādo
カスタネット	kasutanetto
カスタム	kasutamu
カスティーリャ	kasutīrya
カストラート	kasutorāto
カスバ	kasuba
ガスパチョ	gasupacho
カスミソウ	kasumisō
ガスレンジ	gasurenji
カズー	kazū
ガセ	gase
カセット	kasetto
カゼ	kaze
ガゼル	gazeru
カソード	kasōdo
カソリック	kasorikku
ガソリン	gasorin
カタール	katāru
カタクチイワシ	katakuchiiwashi
カタストロフィ	katasutorofi
カタツムリ	katatsumuri
カタパルト	kataparuto
カタマラン	katamaran
カタル	kataru
カタルーニャ	katarūnya
カタルシス	katarushisu
カタログ	katarogu
ガタンゴトン	gatangoton
ガチ	gachi
ガチガチ	gachigachi
ガチャポン	gachapon
カチューシャ	kachūsha
ガチョウ	gachō
カチンコ	kachinko
ガチンコ	gachinko
ガッ	ga'
カックロ	kakkuro
カッコウ	kakkō
ガッツポーズ	gattsupōzu
カッティング	kattingu
ガッデム	gaddemu
カット	katto
カップ	kappu
カップケーキ	kappukēki
カップリング	kappuringu
カップル	kappuru
カッリオペー	karriopē
カツ	katsu
ガツ	gatsu
カツオ	katsuo
カツラ	katsura
カツレツ	katsuretsu
カテーテル	katēteru
カテゴリー	kategorī
カトマンズ	katomanzu
カドミウム	kadomiumu
ガドリニウム	gadoriniumu
カナカナ	kanakana
カナダドル	kanadadoru
カナリヤ	kanariya
カニ	kani
カニカマ	kanikama
カニバリズム	kanibarizumu
カヌー	kanū
カノジョ	kanojo
カバ	kaba
カバノキ	kabanoki
カバラ	kabara
カバン	kaban
カバー	kabā
ガビアル	gabiaru
ガビアルモドキ	gabiaru-modoki
カピカピ	kapikapi
カピタン	kapitan
カピバラ	kapibara
カフ	kafu
カフェ	kafe
カフェアラクレーム	kafearakurēmu
カフェオレ	kafeore
カフェテリア	kafeteria
カフェラテ	kaferate
カフカス	kafukasu
カフタン	kafutan
カブトムシ	kabutomushi
ガブリエル	gaburieru
カブリオレ	kaburiore
カブール	kabūru
カプセルホテル	kapuseruhoteru
カプチーノ	kapuchīno
カベルネ	kaberune
カボチャ	kabocha
ガボローネ	gaborōne
ガボン	gabon
カマキリ	kamakiri
カマンベール	kamanbēru
カミソール	kamisōru
カミツレ	kamitsure
ガム	gamu
カムチャツカ	kamuchatsuka
ガムテープ	gamutēpu
ガムプション	gamupushon
ガムラン	gamuran
カメ	kame
カメオ	kameo
カメコ	kameko
カメハメハ	kamehameha
カメラ	kamera
カメラマン	kameraman
カメラワーク	kamerawāku
カメルーン	kamerūn
カモ	kamo
カモシカ	kamoshika
カモフラージュ	kamofurāju
カモミール	kamomīru
カモメ	kamome
カモン	kamon
カヤ	kaya
カラー	karā
カラーチ	karāchi
カラオケ	karaoke
ガラガラ	garagara
ガラガラヘビ	garagarahebi
ガラクトース	garakutōsu
ガラケー	garakē
カラス	karasu
ガラス	garasu
カラチ	karachi
カラット	karatto
カラフ	karafu
カラフル	karafuru
カラマズー	karamazū
カラン	karan
カリ	kari
ガリ	gari
ガリア	garia
カリーニングラード	karīningurādo
ガリウム	gariumu
カリオペ	kariope
カリカチュア	karikachua
ガリガリ	garigari
カリキュラム	karikyuramu
カリグラフィー	karigurafī
ガリシア	garishia
カリスマ	karisuma
カリフラワー	karifurawā
カリブー	karibū
カリホルニヤ	karihoruniya
カルーガ	karūga
カルグーリー	karugūrī
ガルシア	garushia
ガルソン	garuson
カルチャー	karuchā
カルテ	karute
カルデラ	karudera
カルト	karuto
カルトゥーシュ	karutūshu
カルバゾール	karubazōru
カルパス	karupasu
カルビ	karubi
カルビルアミン	karubiruamin
カルボキシル	karubokishiru
カルボナーラ	karubonāra
カルボニル	karuboniru
カルボリン	karuborin
カルマ	karuma
ガルム	garumu
カルロス	karurosu
カレ	kare
カレイ	karei
カレー	karē
ガレージ	garēji
カレーライス	karēraisu
カレシ	kareshi
カレッジ	karejji
ガレット	garetto
カレドニア	karedonia
カレンダー	karendā
カロチン	karochin
ガロッシュ	garosshu
カロテノイド	karotenoido
カロテン	karoten
カロリー	karorī
カロリーナ	karorīna
ガロン	garon
カワイルカ	kawairuka
カワウソ	kawauso
カワセミ	kawasemi
カワユス	kawayusu
カワリアリモズ	kawariarimozu
カン	-kan
ガン	gan
カンウォンド	kanwondo
カンガルー	kangarū
ガンジス	ganjisu
ガンジャ	ganja
カンスト	kansuto
カンゾウ	kanzō
カンタータ	kantāta
カンタン	kantan
カンダハル	kandaharu
カンチョー	kanchō
カンテラ	kantera
カンデラ	kandera
カントリー	kantorī
カンニング	kanningu
カンバス	kanbasu
カンパ	kanpa
カンパチ	kanpachi
カンパニー	kanpanī
カンパラ	kanpara
ガンビア	ganbia
カンファレンス	kanfarensu
カンファン	kanfan
カンフー	kanfū
カンフェン	kanfen
カンプチア	kanpuchia
ガンプラ	ganpura
カンボジア	kanbojia
カンボディア	kanbodia
カンマ	kanma
ガンマ	ganma
カヴァ	kava
カヴァラ	kavara
ギア	gia
キー	kī
ギー	gī
キーウィ	kīwi
キーウィー	kīwī
キーキー	kīkī
キースホンド	kīsuhondo
キーパー	kīpā
キービジュ	kībiju
キーフレーム	kīfurēmu
キーホルダー	kī-horudā
キーボード	kībōdo
キーマン	kīman
キーワード	kīwādo
キーンコーンカーンコーン	kīnkōnkānkōn
キウィ	kiwi
キウイ	kiui
キエフ	kiefu
ギガ	giga-
ギガバイト	gigabaito
キガリ	kigari
ギギ	gigi
キク	kiku
キサンチン	kisanchin
キサンテン	kisanten
ギシギシアンアン	gishigishian'an
キシナウ	kishinau
キシリトール	kishiritōru
キジ	kiji
キズ	kizu
キセル	kiseru
キタ	kita
ギター	gitā
キタキツネ	kitakitsune
キタテハ	kitateha
キタリス	kitarisu
ギタリスト	gitarisuto
キチガイ	kichigai
キック	kikku
キックオフ	kikkuofu
キッス	kissu
キッズ	kizzu
キッチン	kitchin
キッチンカー	kitchinkā
キツツキ	kitsutsuki
キツネ	kitsune
キツネザル	kitsunezaru
キヅタ	kizuta
キト	kito
キトサン	kitosan
キトンボ	kitonbo
キナゾリン	kinazorin
ギニア	ginia
ギニアビサウ	ginia-bisau
ギニー	ginī
キヌア	kinua
キネマ	kinema
キノキサリン	kinokisarin
キノコ	kinoko
キノリン	kinorin
キノン	kinon
キビナゴ	kibinago
キビバイト	kibibaito
ギビバイト	gibibaito
キビビット	kibibitto
ギビビット	gibibitto
ギフト	gifuto
ギブス	gibusu
キブツ	kibutsu
ギプス	gipusu
キボンヌ	kibonnu
キミ	kimi
ギミック	gimikku
キム	kimu
キモオタ	kimoota
キモカワイイ	kimokawaī
キモス	kimosu
キャー	kyā
ギャグ	gyagu
キャスター	kyasutā
キャスティング	kyasutingu
キャスト	kyasuto
キャセロール	kyaserōru
キャッシュ	kyasshu
キャッシュカード	kyasshukādo
キャッチ	kyatchi
キャッチホン	kyatchihon
キャッチボール	kyatchibōru
キャッチャー	kyatchā
キャット	kyatto
キャップ	kyappu
キャディー	kyadī
キャデラック	kyaderakku
キャノン	kyanon
ギャバ	gyaba
ギャバジン	gyabajin
キャバレー	kyabarē
キャパシタ	kyapashita
キャパシター	kyapashitā
キャビネット	kyabinetto
キャビン	kyabin
ギャフ	gyafu
キャプション	kyapushon
キャプスタン	kyapusutan
キャプテン	kyaputen
キャミソール	kyamisōru
キャメラマン	kyameraman
キャラ	kyara
キャラクター	kyarakutā
ギャラリー	gyararī
キャリア	kyaria
キャリアウーマン	kyariaūman
ギャル	gyaru
ギャルゲー	gyarugē
ギャルゲーム	gyarugēmu
ギャルソン	gyaruson
ギャロップ	gyaroppu
ギャング	gyangu
キャンセル	kyanseru
キャンディー	kyandī
キャンデー	kyandē
キャンピング	kyanpingu
キャンプサイト	kyanpusaito
キャンプファイア	kyanpufaia
キャンプファイヤー	kyanpufaiyā
キャンベラ	kyanbera
キュー	kyū
キューバ	kyūba
キュービズム	kyūbizumu
キューピッド	kyūpiddo
キュウリ	kyūri
キュクロープス	kyukurōpusu
キュクロプス	kyukuropusu
キュリー	kyurī
キョウオウ	kyōō
ギョウザ	gyōza
ギョウチュウ	gyōchū
キョウチョウ	kyōchō
ギョーザ	gyōza
キョンシー	kyonshī
ギヨチン	giyochin
キラキラ	kirakira
キリギリス	kirigirisu
ギリシア	girishia
キリシタン	kirishitan
ギリシャ	girisha
キリル	kiriru
キリン	kirin
ギルガメッシュ	girugamesshu
ギルダー	girudā
キレイ	kirei
ギロチン	girochin
キロバイト	kirobaito
キロメートル	kiromētoru
キロワット	kirowatto
キンカジュー	kinkajū
キンカチョウ	kinkachō
キンカン	kinkan
ギンガム	gingamu
キンキ	kinki
ギンギツネ	gingitsune
キンギョ	kingyo
キングストン	kingusuton
キンセアニェーラ	kinseanyēra
ギンダラ	gindara
ギンナン	ginnan
キンパツ	kinpatsu
キンポウゲ	kinpōge
キンメダイ	kinmedai
キンモクセイ	kinmokusei
ギンモクセイ	ginmokusei
クアッガ	kuagga
クアッハ	kuahha
グアテマラ	guatemara
グアナコ	guanako
グアニジン	guanijin
グアノ	guano
グアバ	guaba
グアム	guamu
グアヴァ	guava
クィーン	kwīn
クィディッチ	kwiditchi
クイーン	kuīn
クイーンズ	kuīnzu
クイーンズランド	kuīnzurando
クイズ	kuizu
クイナ	kuina
グー	gū
クウェート	kuwēto
グーグル	gūguru
グーグー	gūgū
クーゲル	kūgeru
グーゴル	gūgoru
クーニャン	kūnyan
グーフィー	gūfī
クーポン	kūpon
クーラー	kūrā
クーリー	kūrī
クーリングオフ	kūringuofu
クール	kūru
クーロン	kūron
クーヴァーズ	kūvāzu
クェゼリン	kwezerin
クエーカー	kuēkā
クエーサー	kuēsā
クエスト	kuesuto
クエリ	kueri
クォーク	kwōku
クォーター	kwōtā
クォーターバック	kwōtābakku
クォリティ	kworiti
クオーク	kuōku
クオーター	kuōtā
クオーターバック	kuōtābakku
クオータリー	kuōtarī
クオピオ	kuopio
クオリティ	kuoriti
クコ	kuko
クサリヘビ	kusarihebi
クシー	kushī
クジャク	kujaku
クジラ	kujira
グスタフ	gusutafu
グズグズ	guzuguzu
クズリ	kuzuri
クセノパネス	kusenopanesu
クソ	kuso
クソカキコ	kusokakiko
クソガキ	kusogaki
クソゲー	kusogē
クソコラ	kusokora
クソリプ	kusoripu
クチクラ	kuchikura
クチナシ	kuchinashi
グチャグチャ	guchagucha
クチャラー	kucharā
クチュリエ	kuchurie
クッキー	kukkī
クッション	kusshon
グッジョブ	gujjobu
グッズ	guzzu
グッバイ	gubbai
グッピー	guppī
グッモーニン	gummōnin
クニッシュ	kunisshu
グノーシス	gunōshisu
クピド	kupido
クマ	kuma
クマジャコウネコ	kumajakōneko
クマタカ	kumataka
クマネズミ	kumanezumi
グミ	gumi
クモ	kumo
クラーク	kurāku
クライアント	kuraianto
グライダー	guraidā
クラウド	kuraudo
クラウン	kuraun
グラウンド	guraundo
クラクション	kurakushon
クラゲ	kurage
グラサン	gurasan
クラシック	kurashikku
クラス	kurasu
グラス	gurasu
グラスゴー	gurasugō
クラスター	kurasutā
グラスノスチ	gurasunosuchi
クラスノヤルスク	kurasunoyarusuku
クラスメート	kurasumēto
クラッカー	kurakkā
クラッキング	kurakkingu
クラッシュ	kurasshu
クラッチ	kuratchi
グラデーション	guradēshon
グラドル	guradoru
グラノーラ	guranōra
グラビア	gurabia
グラフ	gurafu
グラフィッカー	gurafikkā
グラフィック	gurafikku
グラフィックス	gurafikkusu
グラフィティ	gurafiti
グラボ	gurabo
グラム	guramu
グラムトン	guramuton
クランク	kuranku
グラント	guranto
グランド	gurando
グランプリ	guranpuri
クランベリー	kuranberī
クリ	kuri
クリア	kuria
グリーグ	gurīgu
クリーチャー	kurīchā
グリーティングカード	gurītingukādo
クリーニング	kurīningu
クリーブランド	kurīburando
クリーム	kurīmu
クリーン	kurīn
グリーン	gurīn
グリーンアノール	gurīn'anōru
グリーンウィッチ	gurīnwitchi
グリーンピース	gurīnpīsu
グリーンランド	gurīnrando
クリエイティブ	kurieitibu
クリオ	kurio
クリオーリョ	kuriōryo
クリオール	kuriōru
グリコーゲン	gurikōgen
グリコシド	gurikoshido
クリスタル	kurisutaru
クリスチャン	kurisuchan
クリスティアン	kurisutian
クリスティーナ	kurisutīna
クリスマスカード	kurisumasukādo
グリズリー	gurizurī
グリセリド	guriserido
グリセリン	guriserin
グリセロール	guriserōru
グリッサンド	gurissando
クリップ	kurippu
クリップボード	kurippubōdo
クリトリス	kuritorisu
グリニッジ	gurinijji
クリノリン	kurinorin
グリフォン	gurifon
クリプトン	kuriputon
クリミア	kurimia
クリムゾン	kurimuzon
グリュイエール	guryuiēru
グリル	guriru
クルアーン	kuruān
クルー	kurū
グルーオン	gurūon
クルーズ	kurūzu
グループ	gurūpu
グルグル	guruguru
グルコース	gurukōsu
グルジア	gurujia
クルゼイロ	kuruzeiro
グルタミン	gurutamin
グルテン	guruten
クルミ	kurumi
グルメ	gurume
グレイ	gurei
クレイオ	kureio
クレイオー	kureiō
グレイカップ	gureikappu
クレイモア	kureimoa
グレー	gurē
グレーカップ	gurēkappu
グレースケール	gurēsukēru
グレーテル	gurēteru
グレート	gurēto
グレード	gurēdo
グレービー	gurēbī
クレープ	kurēpu
グレープフルーツ	gurēpufurūtsu
クレーマー	kurēmā
クレーム	kurēmu
クレーン	kurēn
クレオール	kureōru
クレカ	kureka
グレコローマン	gureko-rōman
クレジット	kurejitto
グレナダ	gurenada
グレナディーン	gurenadīn
クレパス	kurepasu
クレヨン	kureyon
グレリン	gurerin
クレンジング	kurenjingu
グロ	guro
クロアチア	kuroachia
クローク	kurōku
クロークルーム	kurōkurūmu
クローゼット	kurōzetto
クローネ	kurōne
グローバリゼーション	gurōbarizēshon
グローバル	gurōbaru
クローバー	kurōbā
グローブ	gurōbu
クローラ	kurōra
グローリア	gurōria
クローン	kurōn
クロガケジグモ	kurogakejigumo
クロガモ	kurogamo
グログラン	guroguran
クロサギ	kurosagi
クロス	kurosu
クロスオーバー	kurosuōbā
グロスター	gurosutā
クロスワード	kurosuwādo
クロックラジオ	kurokkurajio
クロッケー	kurokkē
グロテスク	gurotesuku
クロテン	kuroten
クロナガアリ	kuronagaari
クロマキー	kuromakī
クロマチン	kuromachin
クロム	kuromu
クロモリ	kuromori
クロライチョウ	kuroraichō
グロリア	guroria
クロロベンゼン	kurorobenzen
クロロホルム	kurorohorumu
クワガタ	kuwagata
クワガタムシ	kuwagatamushi
クワス	kuwasu
クワルク	kuwaruku
クンカクンカ	kunkakunka
グングニル	gunguniru
クヴァルク	kuvaruku
ゲイ	gei
ケイタイ	keitai
ケインズ	keinzu
ケー	kē
ゲー	gē
ケーキ	kēki
ケージ	kēji
ゲージ	gēji
ケージービー	kējībī
ケース	kēsu
ケーススタディー	kēsusutadī
ケースバイケース	kēsubaikēsu
ゲーセン	gēsen
ケータイ	kētai
ゲート	gēto
ケーブル	kēburu
ケーブルカー	kēburukā
ケープ	kēpu
ケープタウン	kēputaun
ケーペウス	kēpeusu
ゲーム	gēmu
ゲームセンター	gēmusentā
ケール	kēru
ゲオルク	georuku
ケガ	kega
ゲシュタポ	geshutapo
ゲシュタルト	geshutaruto
ゲジ	geji
ゲスト	gesuto
ゲタ	geta
ケチ	kechi
ゲッ	ge'
ケッテイ	kettei
ゲット	getto
ゲットウ	gettō
ケツ	ketsu
ケツバット	ketsubatto
ゲテモノ	getemono
ケトン	keton
ケニア	kenia
ケネディ	kenedi
ゲノム	genomu
ケフィア	kefia
ケフェウス	kefeusu
ケミ	kemi
ケモナー	kemonā
ケモノ	kemono
ケヤキ	keyaki
ケラ	kera
ケラツツキ	keratsutsuki
ケラバ	keraba
ケリ	keri
ゲリマンダー	gerimandā
ゲリラ	gerira
ゲル	geru
ゲルマニウム	gerumaniumu
ゲルマン	geruman
ケルヴィン	keruvin
ケレース	kerēsu
ケレス	keresu
ゲロ	gero
ケロイド	keroido
ケロケロ	kerokero
ゲロゲロ	gerogero
ケロシン	keroshin
ケン	ken
ケンカ	kenka
ケンケン	kenken
ゲンゴロウブナ	gengorōbuna
ケンタッキー	kentakkī
ゲンマン	genman
コア	koa
ゴア	goa
コアラ	koara
ゴイサギ	goisagi
コイル	koiru
コイン	koin
コイントス	kointosu
コインパーキング	koinpākingu
コインランドリー	koinrandorī
コウカンチョウ	kōkanchō
コウジカビ	kōjikabi
コウナゴ	kōnago
コウノトリ	kōnotori
コウモリガ	kōmoriga
コエンザイム	koenzaimu
ゴー	gō
コーカサス	kōkasasu
コーカソイド	kōkasoido
ゴーギャン	gōgyan
コーク	kōku
コークス	kōkusu
コークスクリュー	kōkusukuryū
ゴーグル	gōguru
コース	kōsu
コースター	kōsutā
ゴースト	gōsuto
コーチ	kōchi
コーデ	kōde
コーディネーター	kōdinētā
コーディネート	kōdinēto
コーデュロイ	kōdyuroi
コート	kōto
コートドレス	kōtodoresu
コード	kōdo
コーナー	kōnā
コーヒー	kōhī
コーヒーポット	kōhīpotto
コーヒーメーカー	kōhīmēkā
コーポ	kōpo
コーラ	kōra
コーラス	kōrasu
コーラン	kōran
コーラングレ	kōrangure
コーリコード	kōrikōdo
コール	kōru
ゴール	gōru
ゴールキーパー	gōrukīpā
コールスロー	kōrusurō
コールセンター	kōrusentā
ゴールデン	gōruden
ゴールド	gōrudo
コーレーグス	kōrēgusu
ゴーレム	gōremu
コオロギ	kōrogi
コーン	kōn
コーンウォール	kōnwōru
コーンビーフ	kōnbīfu
コカイン	kokain
コカコーラ	kokakōra
コカトリス	kokatorisu
コガネムシ	koganemushi
コガモ	kogamo
ゴキブリ	gokiburi
コギャル	kogyaru
コクタン	kokutan
コクチョウ	kokuchō
ゴクラクチョウ	gokurakuchō
コクレン	kokuren
コケコッコー	kokekokkō
ココア	kokoa
ココアバター	kokoabatā
ココナッツ	kokonattsu
ココヤシ	kokoyashi
ココロ	kokoro
コサージュ	kosāju
ゴシック	goshikku
コショウ	koshō
ゴジラ	gojira
コス	kosu
コスタリカ	kosutarika
コスチューム	kosuchūmu
コスト	kosuto
コスパ	kosupa
コスプレ	kosupure
コスプレイヤー	kosupureiyā
ゴスペル	gosuperu
コスメ	kosume
コスメチック	kosumechikku
コスモス	kosumosu
コゼー	kozē
コソボ	kosobo
コソヴォ	kosovo
コタツ	kotatsu
コチ	kochi
コチコチ	kochikochi
コック	kokku
ゴックン	gokkun
コッコラ	kokkora
ゴッサム	gossamu
ゴッデム	goddemu
ゴットランド	gottorando
コットン	kotton
ゴッド	goddo
コップ	koppu
コツ	kotsu
コテハン	kotehan
コト	koto
コトカ	kotoka
コトドリ	kotodori
コトヌー	kotonū
コナクリ	konakuri
コネ	kone
コネティカット	konetikatto
コネリー	konerī
コノザマ	konozama
コノシロ	konoshiro
コノハズク	konohazuku
コノハナノサクヤヒメ	konohananosakuyahime
コバルト	kobaruto
コピペ	kopipe
コピュラ	kopyura
コピー	kopī
コピーライター	kopīraitā
コブウシ	kobuushi
ゴブリン	goburin
コプチシン	kopuchishin
コプラ	kopura
コペンハーゲン	kopenhāgen
ゴホゴホ	gohogoho
コマ	koma
ゴマ	goma
コマーシャル	komāsharu
コマーシャルメッセージ	komāsharumessēji
コマイ	komai
コマツグミ	komatsugumi
コマツナ	komatsuna
コマドリ	komadori
コマンド	komando
コミ	komi
ゴミ	gomi
コミカライズ	komikaraizu
コミックス	komikkusu
コミッショナー	komisshonā
コミット	komitto
コミューン	komyūn
コミュニケ	komyunike
コミュニケーション	komyunikēshon
コミュニティ	komyuniti
コミュニティー	komyunitī
ゴム	gomu
コムーネ	komūne
コムギ	komugi
コムソモリスク・ナ・アムーレ	komusomorisuku-na-amūre
コメ	kome
コメディ	komedi
コメディアン	komedian
コメディー	komedī
コメディクラブ	komedikurabu
ゴメン	gomen
コメント	komento
コモティニ	komotini
コモド	komodo
コヨーテ	koyōte
コラ	kora
コラージュ	korāju
コラーン	korān
コライダー	koraidā
コラボレーション	koraborēshon
コラム	koramu
コランダー	korandā
コリア	koria
ゴリアテ	goriate
コリアンダー	koriandā
コリー	korī
ゴリラ	gorira
コリン	korin
コリント	korinto
ゴルァ	gorwa
コルクスクリュー	korukusukuryū
ゴルゴンゾーラ	gorugonzōra
コルサージュ	korusāju
コルセット	korusetto
コルチコステロン	koruchikosuteron
コルナ	koruna
コルヒチン	koruhichin
ゴルフ	gorufu
コルホーズ	koruhōzu
コレータ	korēta
コレクション	korekushon
コローニェ	korōnye
コローニュ	korōnyu
ゴロゴロ	gorogoro
コロセウム	koroseumu
コロッケ	korokke
コロッセウム	korosseumu
コロナ	korona
コロニー	koronī
コロネード	koronēdo
コロムビア	koromubia
コロンボ	koronbo
コン	kon
コンクール	konkūru
コンクリート	konkurīto
ゴング	gongu
コングラ	kongura
コンコード	konkōdo
コンコン	konkon
コンサート	konsāto
コンシェルジュ	konsheruju
コンシューマー	konshūmā
コンシュマー	konshumā
コンスタンチノープル	konsutanchinōpuru
コンスタンティノープル	konsutantinōpuru
コンストラクタ	konsutorakuta
コンセプト	konseputo
コンセンサス	konsensasu
コンセント	konsento
コンタクト	kontakuto
コンタクトレンズ	kontakutorenzu
コンティニュイティ	kontinyuiti
コンティニュー	kontinyū
コンテキスト	kontekisuto
コンテクスト	kontekusuto
コンテスト	kontesuto
コンテナ	kontena
コンテンツ	kontentsu
コンデンサー	kondensā
コント	konto
コントラスト	kontorasuto
コントラルト	kontoraruto
コントロール	kontorōru
ゴンドラ	gondora
コンドル	kondoru
コンドロイチン	kondoroichin
コンバイン	konbain
コンパ	konpa
コンパイラ	konpaira
コンパクト	konpakuto
コンパニオン	konpanion
コンパートメント	konpātomento
コンビ	konbi
コンビナート	konbināto
コンビニ	konbini
コンビネーション	konbinēshon
コンピュータ	konpyūta
コンピューター	konpyūtā
コンピュータリゼーション	konpyūtarizēshon
コンピューティング	konpyūtingu
コンピュニケーション	konpyunikēshon
コンプライアンス	konpuraiansu
コンベックス	konbekkusu
コンボ	konbo
コンボボックス	konbobokkusu
コンポーネント	konpōnento
コンリー	konrī
コンロ	konro
ザ	za
サーカス	sākasu
サーキット	sākitto
サークル	sākuru
ザーザー	zāzā
サーズ	sāzu
サーチライト	sāchiraito
サーティーン	sātīn
サード	sādo
サーバル	sābaru
サーバー	sābā
サービス	sābisu
サーファー	sāfā
サーフィン	sāfin
サーフボード	sāfubōdo
サーブル	sāburu
サーベル	sāberu
ザーメン	zāmen
サーモスタット	sāmosutatto
サーモン	sāmon
サーロイン	sāroin
サイ	sai
ザイール	zaīru
サイエンス	saiensu
サイオン	saion
