アイアイ	ai-ai
ウィルオウィスプ	wiruowisupu
ウィルス	wirusu
ウィルソン	wiruson
ヴィルヘルム	viruherumu
ウィンター	wintā
ヴィントフック	vintofukku
ヴィヴァルディ	vivarudi
ウイグル	uiguru
ウイザード	uizādo
ウイリアムス	uiriamusu
ウイリアムズ	uiriamuzu
ウインカー	uinkā
ウイングレット	uinguretto
ウインチ	uinchi
ウゥルカーヌス	wurukānusu
ウゥルカヌス	wurukanusu
ウーパールーパー	ūpārūpā
ウーマノミクス	ūmanomikusu
ウーマン	ūman
ウーラニアー	ūraniā
ウーラン	ūran
ウェア	wea
ウェイ	wei
ウェイター	weitā
ウェイト	weito
ウェー	wē
ヴェー	vē
ウェーバ	wēba
ウェールズ	wēruzu
ウェッジ	wejji
ウェットスーツ	wettosūtsu
ウェディングドレス	wedingudoresu
ヴェニス	venisu
ヴェネツィア	venetsia
ウェブ	webu
ウェリントン	werinton
ヴェルスタ	verusuta
ヴェロキラプトル	verokiraputoru
ウエア	uea
ウエイ	uei
ウエイト	ueito
ウエイトレス	ueitoresu
ウエート	uēto
ウエートレス	uētoresu
ウエスタン	uesutan
ウォークマン	wōkuman
ウォーター	wōtā
ヴォールト	vōruto
ウォールフラワー	wōrufurawā
ウォツカ	wotsuka
ヴォラピュク	vorapyuku
ヴォルヴォ	voruvo
ウオツカ	uotsuka
ウオトカ	uotoka
ウグイ	ugui
ウコン	ukon
ウサギ	usagi
ウシ	ushi
ウシザメ	ushizame
ウスター	usutā
ウズベキスタン	uzubekisutan
ウズラ	uzura
ウッド	uddo
ウド	udo
ウナギ	unagi
ウバメガシ	ubamegashi
ウファ	ufa
ウマ	uma
ウミガメ	umigame
ウミネコ	umineko
ウミヘビ	umihebi
ウミユリ	umiyuri
ウムラウト	umurauto
ウメオ	umeo
ヴュルテンベルク	vyurutenberuku
ウラシル	urashiru
ウラジオストク	urajiosutoku
ウラニア	urania
ウランバートル	uranbātoru
ウリ	uri
ウルグアイ	uruguai
ウルトラ	urutora
ウルトラマリン	urutoramarin
ウルムチ	urumuchi
ウルル	ururu
ウワン	uwan
ウンウンヘキシウム	un'unhekishiumu
ウンカ	unka
ウンコ	unko
ウンディーネ	undīne
ウンピョウ	unpyō
ウンブリア	unburia
エア	ea
エアコンディショナー	eakondishonā
エアバス	eabasu
エアメール	eamēru
エアロック	earokku
エイエイオー	eieiō
エイズ	eizu
エイブラハム	eiburahamu
エウテルペ	euterupe
エウローペー	eurōpē
エージェンシー	ējenshī
エース	ēsu
エーテル	ēteru
エール	ēru
エカテリンブルク	ekaterinburuku
エキス	ekisu
エキセントリック	ekisentorikku
エクサバイト	ekusabaito
エクスタシー	ekusutashī
エクステンション	ekusutenshon
エクストリーム	ekusutorīmu
エクスビバイト	ekusubibaito
エグゼクティブ	eguzekutibu
エゲレス	egeresu
エコー	ekō
エコノミスト	ekonomisuto
エゴサ	egosa
エジプシャン	ejipushan
エスクード	esukūdo
エスケープ	esukēpu
エステ	esute
エステル	esuteru
エスパニョール	esupanyōru
エスパー	esupā
エスポー	esupō
エタノール	etanōru
エタン	etan
エチュード	echūdo
エチン	echin
エッセイ	essei
エッセー	essē
エツ	etsu
エディプス	edipusu
エドモントン	edomonton
エドワーズ	edowāzu
エドワード	edowādo
エネルギッシュ	enerugisshu
エノキ	enoki
エノキタケ	enokitake
エビ	ebi
エビゼ	ebize
エビフライ	ebifurai
エピクレーシス	epikurēshisu
エピゴーネン	epigōnen
エピネフリン	epinefurin
エフェクター	efekutā
エフェドリン	efedorin
エベント	ebento
エホバ	ehoba
エボシガラ	eboshigara
エボシドリ	eboshidori
エボナイト	ebonaito
エボラ	ebora
エマ	ema
エミュー	emyū
エミュレータ	emyurēta
エミュレーター	emyurētā
エラー	erā
エラト	erato
エラトー	eratō
エリザベス	erizabesu
エリック	erikku
エルサレム	erusaremu
エルビウム	erubiumu
エルンスト	erunsuto
エレキベース	erekibēsu
エレクトラ	erekutora
エレバン	ereban
エレベーター	erebētā
エロース	erōsu
エロシェンコ	eroshenko
エンカウント	enkaunto
エンジニア	enjinia
エンジニアリング	enjiniaringu
エンスト	ensuto
エンタメ	entame
エンチラーダ	enchirāda
エンデューロ	endyūro
エントロピー	entoropī
エンドカード	endokādo
エンドルフィン	endorufin
エンバク	enbaku
エンブレム	enburemu
エンベロープ	enberōpu
エンメイギク	enmeigiku
オイタナジー	oitanajī
オイル	oiru
オウム	ōmu
オウムガイ	ōmugai
オウル	ōru
オウレン	ōren
オーウェル	ōweru
オーエル	ōeru
オーガ	ōga
オーガズム	ōgazumu
オーケアノス	ōkeanosu
オーケー	ōkē
オーケストラ	ōkesutora
オオコウモリ	ōkōmori
オオサンショウウオ	ōsanshōuo
オオジカ	ōjika
オースティン	ōsutin
オーストラリアクロトキ	ōsutorariakurotoki
オーストリア	ōsutoria
オーストリー	ōsutorī
オーソリティー	ōsoritī
オータム	ōtamu
オーダーメイド	ōdāmeido
オーディオ	ōdio
オーディション	ōdishon
オーディン	ōdin
オーデンヴァルト	ōdenvaruto
オート	ōto
オオトカゲ	ōtokage
オートバイ	ōtobai
オートパイロット	ōtopairotto
オートメーション	ōtomēshon
オード	ōdo
オードトワレ	ōdotoware
オードトワレット	ōdotowaretto
オードブル	ōdoburu
オオナゴ	ōnago
オオバン	ōban
オーバーオール	ōbāōru
オーバーコート	ōbākōto
オーバータイム	ōbātaimu
オーバードース	ōbādōsu
オープニング	ōpuningu
オーボエ	ōboe
オーム	ōmu
オオメジロザメ	ōmejirozame
オーラ	ōra
オーライ	ōrai
オーランド	ōrando
オール	ōru
オールバニー	ōrubanī
オーレ	ōre
オーロクス	ōrokusu
オーロラ	ōrora
オカ	oka
オカズ	okazu
オカピ	okapi
オカマ	okama
オカメインコ	okameinko
オキシトシン	okishitoshin
オクタデカン	okutadekan
オクタン	okutan
オグロ	oguro
オケ	oke
オケアノス	okeanosu
オコジョ	okojo
オコゼ	okoze
オサゾン	osazon
オシャレ	oshare
オスカー	osukā
オスミウム	osumiumu
オセロ	osero
オタマジャクシ	otamajakushi
オッケー	okkē
オッサン	ossan
オットー	ottō
オットセイ	ottosei
オットマン	ottoman
オトメン	otomen
オナニー	onanī
オナベ	onabe
オナペット	onapetto
オナホ	onaho
オネェ	onē
オノマトペ	onomatope
オバマケア	obamakea
オファー	ofā
オフレコ	ofureko
オブジェクト	obujekuto
オブリガート	oburigāto
オペラグラス	operagurasu
オマージュ	omāju
オマキザル	omakizaru
オムニバス	omunibasu
オムレツ	omuretsu
オメー	omē
オヤジ	oyaji
オリーブ	orību
オリエンテーション	orientēshon
オリオン	orion
オリコン	orikon
オリジナル	orijinaru
オリュンピア	oryunpia
オルガスムス	orugasumusu
オルガン	orugan
オルバニ	orubani
オレ	ore
オレフィン	orefin
オレンジ	orenji
オワコン	owakon
オン	on
オングストローム	ongusutorōmu
オンライン	onrain
オヴァ	ova
オヴム	ovumu
ケ	ga
カー	kā
ガーゴイル	gāgoiru
カーテン	kāten
カーディフ	kādifu
ガーデン	gāden
カード	kādo
ガード	gādo
ガードル	gādoru
カーナーヴォン	kānāvon
カーナビ	kānabi
カーネーション	kānēshon
カーネル	kāneru
カービン	kābin
カーペット	kāpetto
カーホップ	kāhoppu
カーリー	kārī
カーリーヘア	kārīhea
カーリナ	kārina
ガール	gāru
ガールフレンド	gārufurendo
カイエビ	kaiebi
カイエンヌ	kaiennu
カイコガ	kaikoga
カイツブリ	kaitsuburi
ガイド	gaido
ガイドブック	gaidobukku
カイピリーニャ	kaipirīnya
カイリ	kairi
カイロ	kairo
カイン	kain
ガウル	gauru
ガウン	gaun
カウンター	kauntā
カウンターテナー	kauntātenā
カウントダウン	kauntodaun
カエサル	kaesaru
カエル	kaeru
ガオー	gaō
カオス	kaosu
カキ	kaki
カキコ	kakiko
カササギ	kasasagi
ガザ	gaza
カザグルマ	kazaguruma
カシミール	kashimīru
ガシャポン	gashapon
カシューナッツ	kashūnattsu
カシワ	kashiwa
カジノ	kajino
カス	kasu
ガス	gasu
カスタード	kasutādo
カスタネット	kasutanetto
ガスパチョ	gasupacho
カスミソウ	kasumisō
ガスレンジ	gasurenji
ガセ	gase
カセット	kasetto
ガゼル	gazeru
カソード	kasōdo
カタール	katāru
カタクチイワシ	katakuchiiwashi
カタストロフィ	katasutorofi
カタツムリ	katatsumuri
カタパルト	kataparuto
カタマラン	katamaran
カタル	kataru
カタルーニャ	katarūnya
カタルシス	katarushisu
カタログ	katarogu
ガタンゴトン	gatangoton
ガチ	gachi
ガチガチ	gachigachi
ガチャガチャ	gachagacha
ガチャポン	gachapon
カチューシャ	kachūsha
ガチョウ	gachō
カチンコ	kachinko
ガチンコ	gachinko
ガッ	ga'
カックロ	kakkuro
カッコウ	kakkō
ガッツポーズ	gattsupōzu
カッティング	kattingu
ガッデム	gaddemu
カット	katto
カップ	kappu
カップケーキ	kappukēki
カップリング	kappuringu
カッリオペー	karriopē
カツ	katsu
ガツ	gatsu
カツオ	katsuo
カツレツ	katsuretsu
カトマンズ	katomanzu
カドミウム	kadomiumu
ガドリニウム	gadoriniumu
カナリヤ	kanariya
カニ	kani
カニカマ	kanikama
カニバリズム	kanibarizumu
カヌー	kanū
カノジョ	kanojo
カバ	kaba
カバラ	kabara
カバン	kaban
ガビアル	gabiaru
ガビアルモドキ	gabiaru-modoki
カピカピ	kapikapi
カピタン	kapitan
カピバラ	kapibara
カフ	kafu
カフェ	kafe
カフェアラクレーム	kafearakurēmu
カフェオレ	kafeore
カフェテリア	kafeteria
カフェラテ	kaferate
カフカス	kafukasu
カフタン	kafutan
カブトムシ	kabutomushi
ガブリエル	gaburieru
カブリオレ	kaburiore
カブール	kabūru
カプチーノ	kapuchīno
カボチャ	kabocha
カマキリ	kamakiri
カミソール	kamisōru
カミツレ	kamitsure
ガム	gamu
ガムプション	gamupushon
カメ	kame
カメハメハ	kamehameha
カメラ	kamera
カメラマン	kameraman
カメラワーク	kamerawāku
カモ	kamo
カモシカ	kamoshika
カモフラージュ	kamofurāju
カモミール	kamomīru
カモメ	kamome
カモン	kamon
カヤ	kaya
ガラクトース	garakutōsu
ガラケー	garakē
カラス	karasu
ガラス	garasu
カラチ	karachi
カラフル	karafuru
カラマズー	karamazū
カラン	karan
カリ	kari
ガリ	gari
ガリア	garia
カリーニングラード	karīningurādo
カリカチュア	karikachua
ガリガリ	garigari
ガリシア	garishia
カリスマ	karisuma
カリブー	karibū
カリホルニヤ	karihoruniya
カルーガ	karūga
カルグーリー	karugūrī
ガルシア	garushia
ガルソン	garuson
カルテ	karute
カルデラ	karudera
カルトゥーシュ	karutūshu
カルパス	karupasu
カルビルアミン	karubiruamin
カルボキシル	karubokishiru
カルボナーラ	karubonāra
カルボニル	karuboniru
カルマ	karuma
カルロス	karurosu
カレ	kare
カレイ	karei
カレー	karē
ガレージ	garēji
カレーライス	karēraisu
カレシ	kareshi
カレッジ	karejji
ガレット	garetto
カレンダー	karendā
カロチン	karochin
ガロッシュ	garosshu
カロテノイド	karotenoido
カロテン	karoten
カロリー	karorī
ガロン	garon
カワイルカ	kawairuka
カワウソ	kawauso
カワセミ	kawasemi
カワユス	kawayusu
ガン	gan
カンウォンド	kanwondo
カンガルー	kangarū
カンゾウ	kanzō
カンタータ	kantāta
カンタン	kantan
カンダハル	kandaharu
カンテラ	kantera
カンデラ	kandera
カントリー	kantorī
カンバス	kanbasu
カンパ	kanpa
カンパニー	kanpanī
カンファレンス	kanfarensu
カンフー	kanfū
カンフェン	kanfen
カンプチア	kanpuchia
ガンプラ	ganpura
カンボジア	kanbojia
カンボディア	kanbodia
カンマ	kanma
ガンマ	ganma
カヴァ	kava
ギア	gia
ギー	gī
キーウィ	kīwi
キーキー	kīkī
キースホンド	kīsuhondo
キーパー	kīpā
キービジュ	kībiju
キーホルダー	kī-horudā
キーマン	kīman
キーワード	kīwādo
キウィ	kiwi
キウイ	kiui
ギガバイト	gigabaito
キガリ	kigari
ギギ	gigi
キク	kiku
キサンチン	kisanchin
ギシギシアンアン	gishigishian'an
キシナウ	kishinau
キシリトール	kishiritōru
キジ	kiji
キズ	kizu
キセル	kiseru
キタ	kita
ギター	gitā
キタテハ	kitateha
キタリス	kitarisu
ギタリスト	gitarisuto
キチガイ	kichigai
キック	kikku
キックオフ	kikkuofu
キッス	kissu
キッズ	kizzu
キッチン	kitchin
キッチンカー	kitchinkā
キツツキ	kitsutsuki
キツネザル	kitsunezaru
キヅタ	kizuta
キトサン	kitosan
キナゾリン	kinazorin
ギニア	ginia
ギニアビサウ	ginia-bisau
ギニー	ginī
キヌア	kinua
キネマ	kinema
キノキサリン	kinokisarin
キノコ	kinoko
キノリン	kinorin
キノン	kinon
キビナゴ	kibinago
ギビバイト	gibibaito
キビビット	kibibitto
ギフト	gifuto
ギブス	gibusu
キブツ	kibutsu
キボンヌ	kibonnu
ギミック	gimikku
キモカワイイ	kimokawaī
キャー	kyā
ギャグ	gyagu
キャスター	kyasutā
キャセロール	kyaserōru
キャッシュ	kyasshu
キャッシュカード	kyasshukādo
キャッチホン	kyatchihon
キャッチボール	kyatchibōru
キャット	kyatto
キャディー	kyadī
キャデラック	kyaderakku
キャノン	kyanon
ギャバジン	gyabajin
キャバレー	kyabarē
キャパシタ	kyapashita
キャパシター	kyapashitā
キャビネット	kyabinetto
キャビン	kyabin
ギャフ	gyafu
キャプテン	kyaputen
キャミソール	kyamisōru
キャラ	kyara
キャラクター	kyarakutā
ギャラリー	gyararī
キャリア	kyaria
キャリアウーマン	kyariaūman
ギャル	gyaru
ギャルゲー	gyarugē
ギャルゲーム	gyarugēmu
ギャルソン	gyaruson
ギャロップ	gyaroppu
ギャング	gyangu
キャンセル	kyanseru
キャンディー	kyandī
キャンデー	kyandē
キャンピング	kyanpingu
キャンプサイト	kyanpusaito
キャンプファイア	kyanpufaia
キャンプファイヤー	kyanpufaiyā
キャンベラ	kyanbera
キュー	kyū
キュービズム	kyūbizumu
キューピッド	kyūpiddo
キュウリ	kyūri
キュクロープス	kyukurōpusu
キュクロプス	kyukuropusu
キュリー	kyurī
ギョウチュウ	gyōchū
キョウチョウ	kyōchō
ギョーザ	gyōza
ギヨチン	giyochin
キラキラ	kirakira
キリギリス	kirigirisu
ギリシア	girishia
ギリシャ	girisha
キリン	kirin
ギルダー	girudā
キレイ	kirei
ギロチン	girochin
キロメートル	kiromētoru
キンカジュー	kinkajū
キンカチョウ	kinkachō
キンカン	kinkan
ギンガム	gingamu
キンキ	kinki
ギンギツネ	gingitsune
キンギョ	kingyo
キングストン	kingusuton
ギンナン	ginnan
キンパツ	kinpatsu
キンポウゲ	kinpōge
キンメダイ	kinmedai
キンモクセイ	kinmokusei
ギンモクセイ	ginmokusei
クアッガ	kuagga
グアニジン	guanijin
グアノ	guano
グアバ	guaba
グアム	guamu
グアヴァ	guava
クィーン	kwīn
クィディッチ	kwiditchi
クイーン	kuīn
クイーンズ	kuīnzu
クイーンズランド	kuīnzurando
クイズ	kuizu
クイナ	kuina
グー	gū
クウェート	kuwēto
グーグル	gūguru
クーゲル	kūgeru
グーゴル	gūgoru
クーニャン	kūnyan
グーフィー	gūfī
クーポン	kūpon
クーラー	kūrā
クーリー	kūrī
クーリングオフ	kūringuofu
クール	kūru
クーロン	kūron
クーヴァーズ	kūvāzu
クェゼリン	kwezerin
クエーカー	kuēkā
クエーサー	kuēsā
クエスト	kuesuto
クエリ	kueri
クォーク	kwōku
クォーター	kwōtā
クォーターバック	kwōtābakku
クォリティ	kworiti
クオーターバック	kuōtābakku
クオータリー	kuōtarī
クオピオ	kuopio
クオリティ	kuoriti
クコ	kuko
クサリヘビ	kusarihebi
クシー	kushī
クジャク	kujaku
クジラ	kujira
グズグズ	guzuguzu
クソカキコ	kusokakiko
クソゲー	kusogē
クチクラ	kuchikura
クチナシ	kuchinashi
グチャグチャ	guchagucha
クチャラー	kucharā
クチュリエ	kuchurie
クッキー	kukkī
クッション	kusshon
グッズ	guzzu
グッピー	guppī
グノーシス	gunōshisu
クマ	kuma
クマジャコウネコ	kumajakōneko
クマネズミ	kumanezumi
グミ	gumi
クモ	kumo
クラーク	kurāku
クライアント	kuraianto
グライダー	guraidā
クラウド	kuraudo
クラウン	kuraun
グラウンド	guraundo
クラクション	kurakushon
クラゲ	kurage
グラサン	gurasan
クラシック	kurashikku
グラスゴー	gurasugō
グラスノスチ	gurasunosuchi
クラスノヤルスク	kurasunoyarusuku
クラスメート	kurasumēto
クラッカー	kurakkā
クラッキング	kurakkingu
クラッシュ	kurasshu
クラッチ	kuratchi
グラデーション	guradēshon
グラノーラ	guranōra
グラビア	gurabia
グラフ	gurafu
グラフィッカー	gurafikkā
グラフィック	gurafikku
グラフィックス	gurafikkusu
グラボ	gurabo
グラム	guramu
グラムトン	guramuton
クランク	kuranku
グラント	guranto
グランド	gurando
クランベリー	kuranberī
クリア	kuria
グリーグ	gurīgu
グリーティングカード	gurītingukādo
クリーブランド	kurīburando
クリーム	kurīmu
クリーン	kurīn
グリーン	gurīn
グリーンウィッチ	gurīnwitchi
グリーンピース	gurīnpīsu
グリーンランド	gurīnrando
クリエイティブ	kurieitibu
クリオーリョ	kuriōryo
クリオール	kuriōru
グリコーゲン	gurikōgen
グリコシド	gurikoshido
クリスティアン	kurisutian
クリスティーナ	kurisutīna
グリズリー	gurizurī
グリセリン	guriserin
グリッサンド	gurissando
クリップ	kurippu
クリップボード	kurippubōdo
クリトリス	kuritorisu
グリフォン	gurifon
クリプトン	kuriputon
クリミア	kurimia
クリムゾン	kurimuzon
グリル	guriru
クルアーン	kuruān
グルーオン	gurūon
クルーズ	kurūzu
グループ	gurūpu
グルグル	guruguru
グルコース	gurukōsu
グルジア	gurujia
クルゼイロ	kuruzeiro
グルタミン	gurutamin
グルテン	guruten
クルミ	kurumi
グルメ	gurume
グレイ	gurei
クレイオ	kureio
クレイオー	kureiō
グレイカップ	gureikappu
クレイモア	kureimoa
グレー	gurē
グレーカップ	gurēkappu
グレーテル	gurēteru
グレート	gurēto
グレービー	gurēbī
クレープ	kurēpu
クレーマー	kurēmā
クレーム	kurēmu
クレーン	kurēn
クレオール	kureōru
グレコローマン	gureko-rōman
クレジット	kurejitto
グレナダ	gurenada
グレナディーン	gurenadīn
クレパス	kurepasu
クレヨン	kureyon
グレリン	gurerin
クレンジング	kurenjingu
クロアチア	kuroachia
クローク	kurōku
クローネ	kurōne
グローバリゼーション	gurōbarizēshon
クローバー	kurōbā
クローラ	kurōra
グローリア	gurōria
クロガケジグモ	kurogakejigumo
グログラン	guroguran
クロサギ	kurosagi
クロス	kurosu
クロスオーバー	kurosuōbā
クロスワード	kurosuwādo
クロックラジオ	kurokkurajio
グロテスク	gurotesuku
クロナガアリ	kuronagaari
クロマキー	kuromakī
クロモリ	kuromori
クロライチョウ	kuroraichō
クロロベンゼン	kurorobenzen
クワガタ	kuwagata
クワス	kuwasu
クワルク	kuwaruku
クンカクンカ	kunkakunka
グングニル	gunguniru
ゲイ	gei
ケイタイ	keitai
ケインズ	keinzu
ケー	kē
ケーキ	kēki
ケージ	kēji
ケージービー	kējībī
ケーススタディー	kēsusutadī
ケースバイケース	kēsubaikēsu
ケータイ	kētai
ゲート	gēto
ケープタウン	kēputaun
ケーペウス	kēpeusu
ゲーム	gēmu
ゲームセンター	gēmusentā
ケール	kēru
ケガ	kega
ゲシュタルト	geshutaruto
ゲジ	geji
ゲスト	gesuto
ゲタ	geta
ケチ	kechi
ケツ	ketsu
ケツバット	ketsubatto
ケニア	kenia
ケネディ	kenedi
ケフィア	kefia
ケミ	kemi
ケモノ	kemono
ケラ	kera
ケラツツキ	keratsutsuki
ケラバ	keraba
ケリ	keri
ゲリマンダー	gerimandā
ゲリラ	gerira
ゲルマニウム	gerumaniumu
ゲルマン	geruman
ケルヴィン	keruvin
ケレス	keresu
ケロケロ	kerokero
ゲロゲロ	gerogero
ケロシン	keroshin
ケン	ken
ケンカ	kenka
ゲンゴロウブナ	gengorōbuna
ケンタッキー	kentakkī
ゲンマン	genman
ゴア	goa
コイントス	kointosu
コインランドリー	koinrandorī
コウカンチョウ	kōkanchō
コウジカビ	kōjikabi
コウナゴ	kōnago
コウノトリ	kōnotori
コウモリガ	kōmoriga
コエンザイム	koenzaimu
ゴー	gō
コーカサス	kōkasasu
コーカソイド	kōkasoido
ゴーギャン	gōgyan
コーク	kōku
コークス	kōkusu
ゴーグル	gōguru
コース	kōsu
ゴースト	gōsuto
コーチ	kōchi
コーディネーター	kōdinētā
コーディネート	kōdinēto
コーデュロイ	kōdyuroi
コート	kōto
コートドレス	kōtodoresu
コード	kōdo
コーヒーポット	kōhīpotto
コーヒーメーカー	kōhīmēkā
コーポ	kōpo
コーラ	kōra
コーラス	kōrasu
コーリコード	kōrikōdo
コール	kōru
ゴールキーパー	gōrukīpā
コールスロー	kōrusurō
コールセンター	kōrusentā
ゴールデン	gōruden
コーンビーフ	kōnbīfu
コカイン	kokain
コカコーラ	kokakōra
コカトリス	kokatorisu
コガネムシ	koganemushi
コギャル	kogyaru
コクタン	kokutan
ゴクラクチョウ	gokurakuchō
コクレン	kokuren
コケコッコー	kokekokkō
ココア	kokoa
ココアバター	kokoabatā
ココヤシ	kokoyashi
ココロ	kokoro
コサージュ	kosāju
コショウ	koshō
ゴジラ	gojira
コスチューム	kosuchūmu
コスト	kosuto
コスパ	kosupa
コスプレ	kosupure
コスプレイヤー	kosupureiyā
ゴスペル	gosuperu
コスメ	kosume
コスモス	kosumosu
コゼー	kozē
コソボ	kosobo
コタツ	kotatsu
コチ	kochi
コック	kokku
ゴックン	gokkun
コッコラ	kokkora
ゴッサム	gossamu
ゴッデム	goddemu
コットン	kotton
ゴッド	goddo
コップ	koppu
コツ	kotsu
コテハン	kotehan
コト	koto
コトカ	kotoka
コトドリ	kotodori
コナクリ	konakuri
コネ	kone
コネリー	konerī
コノハナノサクヤヒメ	konohananosakuyahime
コバルト	kobaruto
コピュラ	kopyura
コピー	kopī
コブウシ	kobuushi
コプチシン	kopuchishin
コプラ	kopura
コマ	koma
コマーシャルメッセージ	komāsharumessēji
コマイ	komai
コマツグミ	komatsugumi
コマツナ	komatsuna
コマドリ	komadori
コマンド	komando
コミューン	komyūn
コミュニケ	komyunike
コミュニティー	komyunitī
ゴム	gomu
コムーネ	komūne
コムソモリスク・ナ・アムーレ	komusomorisuku-na-amūre
コメ	kome
コメディアン	komedian
コメディー	komedī
コメディクラブ	komedikurabu
コモティニ	komotini
コモド	komodo
コヨーテ	koyōte
コラージュ	korāju
コラーン	korān
コライダー	koraidā
コラボレーション	koraborēshon
コランダー	korandā
コリア	koria
ゴリアテ	goriate
コリー	korī
コリン	korin
コリント	korinto
コルサージュ	korusāju
コルチコステロン	koruchikosuteron
コルナ	koruna
コルヒチン	koruhichin
ゴルフ	gorufu
コルホーズ	koruhōzu
コローニュ	korōnyu
ゴロゴロ	gorogoro
コロセウム	koroseumu
コロッケ	korokke
コロッセウム	korosseumu
コロナ	korona
コロニー	koronī
コロネード	koronēdo
コロムビア	koromubia
コロンボ	koronbo
コン	kon
コンクール	konkūru
コンクリート	konkurīto
ゴング	gongu
コングラ	kongura
コンコード	konkōdo
コンシェルジュ	konsheruju
コンシューマー	konshūmā
コンシュマー	konshumā
コンセプト	konseputo
コンセント	konsento
コンタクト	kontakuto
コンタクトレンズ	kontakutorenzu
コンティニュイティ	kontinyuiti
コンティニュー	kontinyū
コンテキスト	kontekisuto
コンテクスト	kontekusuto
コンテスト	kontesuto
コンテナ	kontena
コンテンツ	kontentsu
コンデンサー	kondensā
コント	konto
ゴンドラ	gondora
コンドル	kondoru
コンドロイチン	kondoroichin
コンバイン	konbain
コンパ	konpa
コンパイラ	konpaira
コンパニオン	konpanion
コンパートメント	konpātomento
コンビ	konbi
コンビニ	konbini
コンビネーション	konbinēshon
コンピュータ	konpyūta
コンピューター	konpyūtā
コンピュータリゼーション	konpyūtarizēshon
コンピューティング	konpyūtingu
コンピュニケーション	konpyunikēshon
コンプライアンス	konpuraiansu
コンベックス	konbekkusu
コンポーネント	konpōnento
コンリー	konrī
コンロ	konro
ザ	za
サーカス	sākasu
サーキット	sākitto
サークル	sākuru
ザーザー	zāzā
サーチライト	sāchiraito
サーティーン	sātīn
サード	sādo
サーバー	sābā
サービス	sābisu
サーファー	sāfā
サーフィン	sāfin
サーフボード	sāfubōdo
サーブル	sāburu
サーベル	sāberu
ザーメン	zāmen
サーモスタット	sāmosutatto
サーモン	sāmon
サーロイン	sāroin
サイ	sai
サイクリング	saikuringu
サイクル	saikuru
サイコメトリー	saikometorī
サイコロ	saikoro
サイコロジー	saikorojī
サイシン	saishin
サイダー	saidā
サイト	saito
サイトマップ	saitomappu
サイドミラー	saidomirā
サイバシ	saibashi
サイバースペース	saibāsupēsu
サイホン	saihon
サイレンサー	sairensā
サイロ	sairo
サインオフ	sain'ofu
サウスハンプトン	sausuhanputon
サウンド	saundo
サギ	sagi
サクサク	sakusaku
ザクセン	zakusen
サクソフォーン	sakusofōn
サクソフォン	sakusofon
サクラ	sakura
サクラソウ	sakurasō
ザクロ	zakuro
サケ	sake
サザエ	sazae
サザンカ	sazanka
サジェスチョン	sajesuchon
サジェスト	sajesuto
サスペンション	sasupenshon
サスペンス	sasupensu
サソリ	sasori
サターン	satān
サタニズム	satanizumu
サッカー	sakkā
サッカリン	sakkarin
ザッハトルテ	zahhatorute
サッフィズム	saffizumu
サテライト	sateraito
サディスティック	sadisutikku
サトウキビ	satōkibi
ザトウムシ	zatōmushi
サナダムシ	sanadamushi
サナトリウム	sanatoriumu
サハラ	sahara
サハリン	saharin
サバヒー	sabahī
サバンナ	sabanna
サビ	sabi
サファイヤ	safaiya
サファリ	safari
サフィズム	safizumu
サブ	sabu
サブカル	sabukaru
サブカルチャー	sabukaruchā
サブマリン	sabumarin
サプリ	sapuri
サボタージ	sabotāji
サボタージュ	sabotāju
サボテン	saboten
ザボン	zabon
サポート	sapōto
サマーラ	samāra
サマエル	samaeru
サミット	samitto
サムゲタン	samugetan
サムネール	samunēru
サモサ	samosa
サモワール	samowāru
ザラ	zara
サラエボ	saraebo
サラソウジュ	sarasōju
サラノキ	saranoki
サラバ	saraba
サラファン	sarafan
サラリー	sararī
サリー	sarī
サル	saru
サルーキ	sarūki
サルスベリ	sarusuberi
サワークリーム	sawākurīmu
ザワザワ	zawazawa
サングリア	sanguria
サンゴ	sango
サンサルバドル	sansarubadoru
サンショウウオ	sanshōuo
サンダル	sandaru
サンダー	sandā
サンチーム	sanchīmu
サンチャゴ	sanchago
サントメプリンシペ	santomepurinshipe
サントラ	santora
サンドペーパー	sandopēpā
サンドレス	sandoresu
サンバ	sanba
サンパン	sanpan
サンプル	sanpuru
サンボ	sanbo
サンボードロモ	sanbōdoromo
サンラータン	sanrātan
サンルーフ	sanrūfu
ジアゼパム	jiazepamu
シアン	shian
シー	shī
ジー	jī
シーエム	shīemu
シーザー	shīzā
シーシュポス	shīshuposu
シーズン	shīzun
シーズー	shīzū
シーソー	shīsō
シータ	shīta
シイタケ	shītake
シーツ	shītsu
シート	shīto
シード	shīdo
シーバス	shībasu
ジーパン	jīpan
シーフード	shīfūdo
シーベルト	shīberuto
シーボーギウム	shībōgiumu
ジーメンス	jīmensu
シーラカンス	shīrakansu
シーランド	shīrando
シール	shīru
シールブック	shīrubukku
ジーンズ	jīnzu
シウマイ	shiumai
シェア	shea
シェアウエア	sheauea
ジェイ	jei
ジェイケー	jeikē
ジェイド	jeido
ジェー	jē
ジェーケー	jēkē
シェーバー	shēbā
ジェームス	jēmusu
ジェームズ	jēmuzu
ジェシカ	jeshika
ジェスチャー	jesuchā
ジェット	jetto
ジェネティック	jenetikku
ジェノヴァ	jenova
シェフ	shefu
ジェフ	jefu
ジェファーソン	jefāson
