アーバーダーン	ābādān
フォトグラフ	fotogurafu
フォトレジスト	fotorejisuto
フォトショ	fotosho
フォーヴィスム	fōvisumu
フォワード	fowādo
フウ	fū
フウチョウ	fūchō
フード	fūdo
フードファイター	fūdofaitā
フエ	fue
フフホト	fufuhoto
フーガ	fūga
フグ	fugu
フジ	fuji
フジツボ	fujitsubo
フキ	fuki
フック	fukku
フクロウ	fukurō
フクロオオカミ	fukuroōkami
フクシャ	fukusha
フクシア	fukushia
フン	fun
フナ	funa
フナフティ	funafuti
フンヌ	funnu
フラゲ	furage
フラッグ	furaggu
フラグ	furagu
フライ	furai
フライドチキン	furaidochikin
フライドポテト	furaidopoteto
フライング	furaingu
フライパン	furaipan
フラメンコ	furamenko
フラミンゴ	furamingo
フラン	furan
フランベルジェ	furanberuje
フランドル	furandoru
フランケンシュタイン	furankenshutain
フランキ	furanki
フランク	furanku
フランクフォート	furankufōto
フランクフルト	furankufuruto
フランクリン	furankurin
フランネル	furanneru
フラノ	furano
フランシス	furanshisu
フランシウム	furanshiumu
フランソワ	furansowa
フランス	furansu
フランツ	furantsu
フラペチーノ	furapechīno
フラッペ	furappe
フラッシュ	furasshu
フラッシュモブ	furasshumobu
フラスコ	furasuko
フラットチェスト	furattochesuto
フラワー	furawā
フラザン	furazan
フレデリック	furederikku
フレキシブル	furekishiburu
フレーム	furēmu
フレンドリー	furendorī
フレロビウム	furerobiumu
フレーズ	furēzu
フレズノ	furezuno
フリー	furī
フリーダイヤル	furīdaiyaru
フリードリヒ	furīdorihi
フリゲート	furigēto
フリッグ	furiggu
フリーマーケット	furīmāketto
フリーメイソン	furīmeison
フリント	furinto
フリップフロップ	furippu-furoppu
フリーライター	furīraitā
フリーランサー	furīransā
フリーランス	furīransu
フリル	furiru
フリーソフト	furīsofuto
フリース	furīsu
フリスビー	furisubī
フリースラント	furīsuranto
フリースタイル	furīsutairu
フリースタイルスキー	furīsutairusukī
フリーター	furītā
フリータイム	furītaimu
フリータウン	furītaun
フリッター	furittā
フリーウエア	furīuea
フリーウェア	furīwea
フリーザー	furīzā
フリーズ	furīzu
フロ	furo
フロア	furoa
フロン	furon
フロンティア	furontia
フロント	furonto
フロントオフィス	furontōfisu
フロッピー	furoppī
フローレンス	furōrensu
フロリダ	furorida
フル	furu
フルボイス	furuboisu
フルボッコ	furubokko
フルクトース	furukutōsu
フルオレン	furuoren
フルート	furūto
フルーツ	furūtsu
フルーツケーキ	furūtsukēki
フッソ	fusso
フタ	futa
フタラジン	futarajin
フタレイン	futarein
フット	futto
フットボール	futtobōru
フットサル	futtosaru
フワフワ	fuwafuwa
フューシャ	fyūsha
ガッ	ga'
ケ	ga
ガビアル	gabiaru
ガビアルモドキ	gabiaru-modoki
ガボン	gabon
ガボローネ	gaborōne
ガブリエル	gaburieru
ガチャガチャ	gachagacha
ガチャポン	gachapon
ガチ	gachi
ガチガチ	gachigachi
ガチンコ	gachinko
ガチョウ	gachō
ガッデム	gaddemu
ガーデン	gāden
ガード	gādo
ガードマン	gādoman
ガドリニウム	gadoriniumu
ガードル	gādoru
ガーゴイル	gāgoiru
ガイア	gaia
ガイアナ	gaiana
ガイド	gaido
ガイドブック	gaidobukku
ガイドライン	gaidorain
ガイジ	gaiji
ガム	gamu
ガムプション	gamupushon
ガムラン	gamuran
ガムテープ	gamutēpu
ガン	gan
ガーナ	gāna
ガンビア	ganbia
ガーネット	gānetto
ガンジャ	ganja
ガンジス	ganjisu
ガンマ	ganma
ガンプラ	ganpura
ガオー	gaō
ガラガラ	garagara
ガラガラヘビ	garagarahebi
ガラケー	garakē
ガラクトース	garakutōsu
ガラス	garasu
ガレージ	garēji
ガレット	garetto
ガリ	gari
ガリア	garia
ガリガリ	garigari
ガリシア	garishia
ガリウム	gariumu
ガロン	garon
ガロッシュ	garosshu
ガール	gāru
ガールフレンド	gārufurendo
ガルム	garumu
ガルシア	garushia
ガルソン	garuson
ガールズ	gāruzu
ガセ	gase
ガシャポン	gashapon
ガソリン	gasorin
ガス	gasu
ガスパチョ	gasupacho
ガスレンジ	gasurenji
ガタンゴトン	gatangoton
ガッチャ	gatcha
ガツ	gatsu
ガッツポーズ	gattsupōzu
ガウチョ	gaucho
ガウン	gaun
ガウル	gauru
ガザ	gaza
ガーゼ	gāze
ガゼル	gazeru
ゲッ	ge'
ゲー	gē
ゲイ	gei
ゲジ	geji
ゲージ	gēji
ゲーム	gēmu
ゲームセンター	gēmusentā
ゲンゴロウブナ	gengorōbuna
ゲンマン	genman
ゲノム	genomu
ゲオルク	georuku
ゲリマンダー	gerimandā
ゲリラ	gerira
ゲロ	gero
ゲロゲロ	gerogero
ゲル	geru
ゲルマン	geruman
ゲルマニウム	gerumaniumu
ゲーセン	gēsen
ゲシュタポ	geshutapo
ゲシュタルト	geshutaruto
ゲスト	gesuto
ゲタ	geta
ゲテモノ	getemono
ゲート	gēto
ゲット	getto
ゲットウ	gettō
ギー	gī
ギア	gia
ギビバイト	gibibaito
ギビビット	gibibitto
ギブス	gibusu
ギフト	gifuto
ギガバイト	gigabaito
ギギ	gigi
ギミック	gimikku
ギンダラ	gindara
ギンガム	gingamu
ギンギツネ	gingitsune
ギニー	ginī
ギニア	ginia
ギニアビサウ	ginia-bisau
ギンモクセイ	ginmokusei
ギンナン	ginnan
ギプス	gipusu
ギリギリ	girigiri
ギリシャ	girisha
ギリシア	girishia
ギロチン	girochin
ギルダー	girudā
ギルガメッシュ	girugamesshu
ギシギシアンアン	gishigishian'an
ギスギス	gisugisu
ギター	gitā
ギタリスト	gitarisuto
ギヨチン	giyochin
ゴー	gō
ゴア	goa
ゴブリン	goburin
ゴッデム	goddemu
ゴッド	goddo
ゴーグル	gōguru
ゴーギャン	gōgyan
ゴホゴホ	gohogoho
ゴイサギ	goisagi
ゴジラ	gojira
ゴキブリ	gokiburi
ゴックン	gokkun
ゴクラクチョウ	gokurakuchō
ゴマ	goma
ゴメン	gomen
ゴミ	gomi
ゴム	gomu
ゴンドラ	gondora
ゴング	gongu
ゴーレム	gōremu
ゴリアテ	goriate
ゴリラ	gorira
ゴロゴロ	gorogoro
ゴール	gōru
ゴールデン	gōruden
ゴールド	gōrudo
ゴルフ	gorufu
ゴルゴンゾーラ	gorugonzōra
ゴールキーパー	gōrukīpā
ゴルァ	gorwa
ゴシック	goshikku
ゴッサム	gossamu
ゴスペル	gosuperu
ゴースト	gōsuto
ゴットランド	gottorando
グー	gū
グアバ	guaba
グアム	guamu
グアナコ	guanako
グアニジン	guanijin
グアノ	guano
グアテマラ	guatemara
グアヴァ	guava
グッバイ	gubbai
グチャグチャ	guchagucha
グーフィー	gūfī
グーゴル	gūgoru
グーグー	gūgū
グーグル	gūguru
グッジョブ	gujjobu
グミ	gumi
グッモーニン	gummōnin
グングニル	gunguniru
グノーシス	gunōshisu
グッピー	guppī
グラビア	gurabia
グラボ	gurabo
グラデーション	guradēshon
グラドル	guradoru
グラフィッカー	gurafikkā
グラフィック	gurafikku
グラフィックス	gurafikkusu
グラフィティ	gurafiti
グラフ	gurafu
グライダー	guraidā
グラム	guramu
グラムトン	guramuton
グランド	gurando
グラノーラ	guranōra
グランプリ	guranpuri
グラント	guranto
グラサン	gurasan
グラス	gurasu
グラスゴー	gurasugō
グラスノスチ	gurasunosuchi
グラウンド	guraundo
グレー	gurē
グレービー	gurēbī
グレード	gurēdo
グレイ	gurei
グレイカップ	gureikappu
グレーカップ	gurēkappu
グレコローマン	gureko-rōman
グレナダ	gurenada
グレナディーン	gurenadīn
グレープフルーツ	gurēpufurūtsu
グレリン	gurerin
グレースケール	gurēsukēru
グレーテル	gurēteru
グレート	gurēto
グリフォン	gurifon
グリーグ	gurīgu
グリコーゲン	gurikōgen
グリコシド	gurikoshido
グリーン	gurīn
グリーンアノール	gurīn'anōru
グリニッジ	gurinijji
グリーンピース	gurīnpīsu
グリーンランド	gurīnrando
グリーンウィッチ	gurīnwitchi
グリル	guriru
グリセリド	guriserido
グリセリン	guriserin
グリセロール	guriserōru
グリッサンド	gurissando
グリーティングカード	gurītingukādo
グリズリー	gurizurī
グロ	guro
グローバリゼーション	gurōbarizēshon
グローバル	gurōbaru
グローブ	gurōbu
グログラン	guroguran
グロリア	guroria
グローリア	gurōria
グロスター	gurosutā
グロテスク	gurotesuku
グルグル	guruguru
グルジア	gurujia
グルコース	gurukōsu
グルメ	gurume
グルーオン	gurūon
グループ	gurūpu
グルタミン	gurutamin
グルテン	guruten
グリュイエール	guryuiēru
グスタフ	gusutafu
グズグズ	guzuguzu
グッズ	guzzu
ギャバ	gyaba
ギャバジン	gyabajin
ギャフ	gyafu
ギャグ	gyagu
ギャング	gyangu
ギャラリー	gyararī
ギャロップ	gyaroppu
ギャル	gyaru
ギャルゲー	gyarugē
ギャルゲーム	gyarugēmu
ギャルソン	gyaruson
ギョウチュウ	gyōchū
ギョウザ	gyōza
ギョーザ	gyōza
ハ	ha
ハーバード	hābādo
ハバナ	habana
ハバロフスク	habarofusuku
ハボローネ	haborōne
ハブ	habu
ハーブ	hābu
ハブーブ	habūbu
ハブソウ	habusō
ハチドリ	hachidori
ハチクイ	hachikui
ハチミツ	hachimitsu
ハチスズメ	hachisuzume
ハーデース	hādēsu
ハード	hādo
ハードカバー	hādokabā
ハドル	hadoru
ハードル	hādoru
ハードトップ	hādotoppu
ハードウエア	hādouea
ハードウェア	hādowea
ハエ	hae
ハエドクソウ	haedokusō
ハーフ	hāfu
ハーフミラー	hāfu-mirā
ハフニウム	hafuniumu
ハゲワシ	hagewashi
ハギ	hagi
ハグ	hagu
ハーグ	hāgu
ハイ	hai
ハイビジョン	haibijon
ハイビスカス	haibisukasu
ハイチ	haichi
ハイドラ	haidora
ハイエナ	haiena
ハイフン	haifun
ハイフネーション	haifunēshon
ハイカラ	haikara
ハイキング	haikingu
ハインリヒ	hainrihi
ハイパーインフレーション	haipāinfurēshon
ハイパーリンク	haipārinku
ハイパーテキスト	haipātekisuto
ハイライト	hairaito
ハイセンス	haisensu
ハイソ	haiso
ハイテク	haiteku
ハイテンション	haitenshon
ハイツ	haitsu
ハッジ	hajji
ハーケン	hāken
ハーケンクロイツ	hākenkuroitsu
ハキリアリ	hakiriari
ハッカ	hakka
ハッカー	hakkā
ハッキリ	hakkiri
ハック	hakku
ハコベ	hakobe
ハコベラ	hakobera
ハクビシン	hakubishin
ハクチョウ	hakuchō
ハクレン	hakuren
ハクション	hakushon
ハクトウオウ	hakutōō
ハクトウワシ	hakutōwashi
ハマチ	hamachi
ハマダラカ	hamadaraka
ハマグリ	hamaguri
ハマル	hamaru
ハーメルン	hāmerun
ハミルトン	hamiruton
ハミウリ	hamiuri
ハモ	hamo
ハーモニー	hāmonī
ハーモニカ	hāmonika
ハム	hamu
ハムスター	hamusutā
ハナバチ	hanabachi
ハナグマ	hanaguma
ハナウド	hanaudo
ハナザメ	hanazame
ハンバーガー	hanbāgā
ハンバーグ	hanbāgu
ハンブルク	hanburuku
ハンディフォン	handifon
ハンドバッグ	handobaggu
ハンドボール	handobōru
ハンドウイルカ	handōiruka
ハンドモデル	handomoderu
ハンドル	handoru
ハンドルキーパー	handorukīpā
ハンドルネーム	handorunēmu
ハネムーン	hanemūn
ハンガー	hangā
ハンガリー	hangarī
ハングル	hanguru
ハニー	hanī
ハニカム	hanikamu
ハニームーン	hanīmūn
ハンカチ	hankachi
ハンマー	hanmā
ハンモック	hanmokku
ハンプシャー	hanpushā
ハンサム	hansamu
ハンスト	hansuto
ハンター	hantā
ハント	hanto
ハピハコ	hapihako
ハピコア	hapikoa
ハッピー	happī
ハープ	hāpu
ハープーン	hāpūn
ハラハラ	harahara
ハラミツ	haramitsu
ハラッパー	harappā
ハラレ	harare
ハレム	haremu
ハーレム	hāremu
ハレルヤ	hareruya
ハリー	harī
ハリボテ	haribote
ハリケーン	harikēn
ハリネズミ	harinezumi
ハリスバーグ	harisubāgu
ハリストス	harisutosu
ハリウッド	hariuddo
ハロウィン	harowin
ハロウィーン	harowīn
ハルビン	harubin
ハールレム	hāruremu
ハルツーム	harutsūmu
ハサミムシ	hasamimushi
ハシビロコウ	hashibirokō
ハシゴ	hashigo
ハッシウム	hasshiumu
ハッシュタグ	hasshutagu
ハスカップ	hasukappu
ハスキー	hasukī
ハタ	hata
ハタハタ	hatahata
ハーテビースト	hātebīsuto
ハト	hato
ハート	hāto
ハートフォード	hātofōdo
ハートフル	hātofuru
ハトホル	hatohoru
ハトシ	hatoshi
ハツカネズミ	hatsukanezumi
ハツカウサギ	hatsukausagi
ハット	hatto
ハウス	hausu
ハワード	hawādo
ハワイ	hawai
ハヤブサ	hayabusa
ハヤシライス	hayashiraisu
ハヤトウリ	hayatouri
ハズ	hazu
ハズバンド	hazubando
ヘ	he
ヘア	hea
ヘアバンド	heabando
ヘアネット	heanetto
ヘアピン	heapin
ヘアピンカーブ	heapinkābu
ヘアスタイル	heasutairu
ヘアースタイル	heāsutairu
ヘビ	hebi
ヘビー	hebī
ヘビメタ	hebimeta
ヘブライ	heburai
ヘブライズム	heburaizumu
ヘチマ	hechima
ヘッド	heddo
ヘッドフォン	heddofon
ヘッドホン	heddohon
ヘッドホーン	heddohōn
ヘッドライト	heddoraito
ヘッドセット	heddosetto
ヘディング	hedingu
ヘドニズム	hedonizumu
ヘドロ	hedoro
ヘファイストス	hefaisutosu
ヘイトクライム	heitokuraimu
ヘキサン	hekisan
ヘクタール	hekutāru
ヘクトパスカル	hekutopasukaru
ヘモグロビン	hemogurobin
ヘンリー	henrī
ヘンテコ	henteko
ヘントウ	hentō
ヘンゼル	henzeru
ヘパイストス	hepaisutosu
ヘーパイストス	hēpaisutosu
ヘプタン	heputan
ヘラ	hera
ヘーラー	hērā
ヘラジカ	herajika
ヘラクレス	herakuresu
ヘーラクレース	hērakurēsu
ヘラルド	herarudo
ヘラサギ	herasagi
ヘレ	here
ヘレン	heren
ヘレナ	herena
ヘレネ	herene
ヘレネー	herenē
ヘリ	heri
ヘリコプター	herikoputā
ヘリウム	heriumu
ヘロイン	heroin
ヘルクレス	herukuresu
ヘルメース	herumēsu
ヘルメット	herumetto
ヘルペス	herupesu
ヘルシンキ	herushinki
ヘルス	herusu
ヘルスメーター	herusumētā
ヘルツェゴビナ	herutsegobina
ヘルツ	herutsu
ヘシオドス	heshiodosu
ヘーシオドス	hēshiodosu
ヘソイノシシ	hesoinoshishi
ヘッセン	hessen
ヘスティア	hesutia
ヘスティアー	hesutiā
ヘタウマ	hetauma
ヘーゼルナッツ	hēzerunattsu
ヒアリ	hiari
ヒバリ	hibari
ヒドラ	hidora
ヒドラジン	hidorajin
ヒドラゾン	hidorazon
ヒドロキシルアミン	hidorokishiruamin
ヒガンバナ	higanbana
ヒグマ	higuma
ヒグラシ	higurashi
ヒヒ	hihi
ヒイラギ	hiiragi
ヒイラギモチ	hiiragimochi
ヒジャーブ	hijābu
ヒジュラー	hijurā
ヒキガエル	hikigaeru
ヒッキー	hikkī
ヒクイドリ	hikuidori
ヒマラヤ	himaraya
ヒマラヤン	himarayan
ヒマラヤスギ	himarayasugi
ヒマワリ	himawari
ヒメハジロ	himehajiro
ヒミコ	himiko
ヒミツ	himitsu
ヒナギク	hinagiku
ヒンドゥー	hindū
ヒント	hinto
ヒンズー	hinzū
ヒポコンデリー	hipokonderī
ヒポクラテス	hipokuratesu
ヒッポクラテース	hippokuratēsu
ヒップ	hippu
ヒップホップ	hippuhoppu
ヒラメ	hirame
ヒレ	hire
ヒーロー	hīrō
ヒロイック	hiroikku
ヒロイン	hiroin
ヒロイズム	hiroizumu
ヒロポン	hiropon
ヒル	hiru
ヒシ	hishi
ヒーター	hītā
ヒタキ	hitaki
ヒト	hito
ヒトデ	hitode
ヒトカラ	hitokara
ヒトラー	hitorā
ヒツジ	hitsuji
ヒット	hitto
ヒヨドリ	hiyodori
ヒヨス	hiyosu
ホ	ho
ホバークラフト	hobākurafuto
ホバート	hobāto
ホビット	hobitto
ホチキス	hochikisu
ホーチミン	hōchimin
ホーデン	hōden
ホグワーツ	hoguwātsu
ホホジロザメ	hohojirozame
ホイップ	hoippu
ホイール	hoīru
ホオジロザメ	hōjirozame
ホキ	hoki
ホッケ	hokke
ホッケー	hokkē
ホック	hokku
ホッキョクギツネ	hokkyokugitsune
ホッキョクグマ	hokkyokuguma
ホコサキ	hokosaki
ホーク	hōku
ホクシャ	hokusha
ホークス	hōkusu
ホーマー	hōmā
ホメオスタシス	homeosutashisu
ホメロス	homerosu
ホメーロス	homērosu
ホモ	homo
ホモフォビア	homofobia
ホモサピエンス	homosapiensu
ホーム	hōmu
ホームレス	hōmuresu
ホームルーム	hōmurūmu
ホームシアター	hōmushiatā
ホームシネマ	hōmushinema
ホームステイ	hōmusutei
ホン	hon
ホーン	hōn
ホンダ	honda
ホニアラ	honiara
ホンジュラス	honjurasu
ホノルル	honoruru
ホープ	hōpu
ホラー	horā
ホラガイ	horagai
ホラント	horanto
ホウレンソウ	hōrensō
ホーロー	hōrō
ホロホロチョウ	horohorochō
ホロスコープ	horosukōpu
ホール	hōru
ホールディングス	hōrudingusu
ホルマリン	horumarin
ホルミウム	horumiumu
ホルモン	horumon
ホルムアルデヒド	horumuarudehido
ホルン	horun
ホルス	horusu
ホルスター	horusutā
ホルターネック	horutānekku
ホールターネック	hōrutānekku
ホウセンカ	hōsenka
ホソノゲムギ	hosonogemugi
ホース	hōsu
ホスフィン	hosufin
ホースラディッシュ	hōsuradisshu
ホステス	hosutesu
ホスト	hosuto
ホタル	hotaru
ホタテ	hotate
ホタテガイ	hotategai
ホッチキス	hotchikisu
ホテル	hoteru
ホット	hotto
ホットケーキ	hottokēki
ホットキー	hottokī
ホットプレート	hottopurēto
ホットライン	hottorain
ホットソース	hottosōsu
ホワイト	howaito
ホオズキ	hōzuki
ヒョウ	hyō
ヒュバート	hyubāto
ヒュドラ	hyudora
ヒュドラー	hyudorā
ヒュペリオン	hyuperion
ヒュペリーオーン	hyuperīōn
ヒューストン	hyūsuton
ヒューズ	hyūzu
イ	i
イー	ī
イアペトス	iapetosu
イーアペトス	īapetosu
イアーソーン	iāsōn
イベント	ibento
イブ	ibu
イチゴ	ichigo
イチジク	ichijiku
イチョウ	ichō
イデー	idē
イデア	idea
イデオロギー	ideorogī
イエメン	iemen
イエネコ	ieneko
イエレミヤ	ieremiya
イエロー	ierō
イエローカード	ierōkādo
イエローナイフ	ierōnaifu
イエス	iesu
イエスマン	iesuman
イエティ	ieti
イエティー	ietī
イッフィー	iffī
イッフィング	iffingu
イッフ	iffu
イガ	iga
イガイ	igai
イギリス	igirisu
イグアナ	iguana
イグルー	igurū
イグサ	igusa
イヒ	ihi
イカ	ika
イカロス	ikarosu
イーカロス	īkarosu
イカル	ikaru
イカルイト	ikaruito
イカルス	ikarusu
イケボ	ikebo
イケボイス	ikeboisu
イケメン	ikemen
イケメンボイス	ikemenboisu
イッカク	ikkaku
イコクエイラクブカ	ikokueirakubuka
イコノグラフィー	ikonogurafī
イコノロジー	ikonorojī
イコライザ	ikoraiza
イコール	ikōru
イクメン	ikumen
イクラ	ikura
イマジネーション	imajinēshon
イマーム	imāmu
イマトラ	imatora
イメチェン	imechen
イメージ	imēji
イミダゾール	imidazōru
イミフ	imifu
イモリ	imori
イン	in
イナゴ	inago
インバータ	inbāta
インベントリ	inbentori
インベントリー	inbentorī
インボイス	inboisu
インチ	inchi
インダクタ	indakuta
インダゾール	indazōru
インデックス	indekkusu
インデン	inden
インデヤン	indeyan
インディアン	indian
インディアナ	indiana
インディアナポリス	indianaporisu
インディカー	indikā
インディオ	indio
インド	indo
インドネシア	indoneshia
インドール	indōru
インドシナ	indoshina
イネ	ine
インフォ	info
インフォメーション	infomēshon
インフラ	infura
インフラストラクチャー	infurasutorakuchā
インフレ	infure
インフレーション	infurēshon
インフルエンザ	infuruenza
イングランド	ingurando
イングリッシュマフィン	ingurisshumafin
イニング	iningu
イニシャル	inisharu
イニシアル	inishiaru
インジウム	injiumu
インキ	inki
インコ	inko
インク	inku
インキュナブラ	inkyunabura
インマヌエル	inmanueru
イノブタ	inobuta
イノシシ	inoshishi
インパクト	inpakuto
インパール	inpāru
インパウンヤード	inpaun'yādo
インペリウム	inperiumu
インピーダンス	inpīdansu
インポ	inpo
インポテンス	inpotensu
インポテンツ	inpotentsu
インプラント	inpuranto
インプット	inputto
インセスト	insesuto
インシュリン	inshurin
インスペクター	insupekutā
インスピレーション	insupirēshon
インスタ	insuta
インスタント	insutanto
インスタントラーメン	insutantorāmen
インスト	insuto
インストーラー	insutōrā
インストール	insutōru
インストゥルメンタル	insuturumentaru
インター	intā
インタビュー	intabyū
インタビュアー	intabyuā
インタビューアー	intabyūā
インターチェンジ	intāchenji
インターフェース	intāfēsu
インターナショナル	intānashonaru
インターネット	intānetto
インターポール	intāpōru
インターリングア	intāringua
インテリ	interi
インテリア	interia
インテリゲンチャ	interigencha
インテリゲンチア	interigenchia
インテル	interu
インティファーダ	intifāda
イヌ	inu
イヌツゲ	inutsuge
イヌワシ	inuwashi
イオウ	iō
イオン	ion
イオーン	iōn
イオニア	ionia
イオタ	iota
イプシロン	ipushiron
イラーハーバード	irāhābādo
イライラ	iraira
イラク	iraku
イラン	iran
イラスト	irasuto
イラストレーション	irasutorēshon
イラストレーター	irasutorētā
イレブン	irebun
イリアス	iriasu
イーリアス	īriasu
イリジウム	irijiumu
イリノイ	irinoi
イルカ	iruka
イルクーツク	irukūtsuku
イルミネーション	iruminēshon
イールランド	īrurando
イリュリア	iryuria
イサク	isaku
イーサネット	īsanetto
イシス	ishisu
イソニトリル	isonitoriru
イソシアニド	isoshianido
イース	īsu
イスカ	isuka
イスラエル	isuraeru
イスラマバード	isuramabādo
イスラム	isuramu
イスラーム	isurāmu
イスタンブール	isutanbūru
イースト	īsuto
イータ	īta
イタチザメ	itachizame
イタリー	itarī
イタリア	itaria
イタリアン	itarian
イッテルビー	itterubī
イッテルビウム	itterubiumu
イットリウム	ittoriumu
イヴ	ivu
イワシ	iwashi
イヤー	iyā
イヤフォン	iyafon
イヤーフック	iyāfukku
イヤホン	iyahon
イヤホーン	iyahōn
イヤリング	iyaringu
イザナギ	izanagi
イザナキ	izanaki
イザナミ	izanami
イーゼル	īzeru
イズム	izumu
ジャバルプル	jabarupuru
ジャバスクリプト	jabasukuriputo
ジャボ	jabo
ジャガー	jagā
ジャガイモ	jagaimo
ジャグリング	jaguringu
ジャイアント	jaianto
ジャイロスコープ	jairosukōpu
ジャージ	jāji
ジャージー	jājī
ジャカルタ	jakaruta
ジャケット	jaketto
ジャッカル	jakkaru
ジャッキ	jakki
ジャック	jakku
ジャックポット	jakkupotto
ジャックソン	jakkuson
ジャコウネコ	jakōneko
ジャクソン	jakuson
ジャマイカ	jamaika
ジャーマニー	jāmanī
ジャム	jamu
ジャン	jan
ジャーナリスト	jānarisuto
ジャーナル	jānaru
ジャングル	janguru
ジャンパー	janpā
ジャンプ	janpu
ジャンル	janru
ジャパン	japan
ジャパニーズ	japanīzu
ジャップ	jappu
ジャスミン	jasumin
ジャワ	jawa
ジャズ	jazu
ジェー	jē
ジェファーソン	jefāson
ジェファーソンタウン	jefāsontaun
ジェフ	jefu
ジェイ	jei
ジェイド	jeido
ジェイケー	jeikē
ジェイケイ	jeikei
ジェーケー	jēkē
ジェームス	jēmusu
ジェームズ	jēmuzu
ジェンダー	jendā
ジェンダーフリー	jendāfurī
ジェネティック	jenetikku
ジェノヴァ	jenova
ジェラート	jerāto
ジェリー	jerī
ジェル	jeru
ジェシカ	jeshika
ジェスチャー	jesuchā
ジェット	jetto
ジェットコースター	jettokōsutā
ジー	jī
ジアゼパム	jiazepamu
ジビエ	jibie
ジブチ	jibuchi
ジブラルタル	jiburarutaru
ジエンド	jiendo
ジッグラト	jiggurato
ジハード	jihādo
ジーメンス	jīmensu
ジム	jimu
ジムナジウム	jimunajiumu
ジン	jin
ジンバブエ	jinbabue
ジンギスカン	jingisukan
ジンゴイズム	jingoizumu
ジングル	jinguru
ジンジャーブレッド	jinjābureddo
ジーンズ	jīnzu
ジーパン	jīpan
ジパング	jipangu
ジッパー	jippā
ジップファスナー	jippufasunā
ジープ	jīpu
ジラフ	jirafu
ジレー	jirē
ジレンマ	jirenma
ジリジリ	jirijiri
ジロ	jiro
ジルバ	jiruba
ジルコニウム	jirukoniumu
ジスプロシウム	jisupuroshiumu
ジストロフィー	jisutorofī
ジョー	jō
ジョブス	jobusu
ジョブズ	jobuzu
ジョギング	jogingu
ジョイスティック	joisutikku
ジョージ	jōji
ジョージア	jōjia
ジョーカー	jōkā
ジョッキ	jokki
ジョッキー	jokkī
ジョックストラップ	jokkusutorappu
ジョーク	jōku
ジョン	jon
ジョンソン	jonson
ジョーンズ	jōnzu
ジョロウグモ	jorōgumo
ジョセフ	josefu
ジョーゼット	jōzetto
ジュバ	juba
ジュゴン	jugon
ジュージュー	jūjū
ジュークボックス	jūkubokkusu
ジュネーブ	junēbu
ジュネーヴ	junēvu
ジュニア	junia
ジュウニヒトエ	jūni-hitoe
ジュノー	junō
ジュピター	jupitā
ジュール	jūru
ジュース	jūsu
カ	ka
カー	kā
カバ	kaba
カバー	kabā
カバディ	kabadi
カバン	kaban
カバノキ	kabanoki
カバラ	kabara
カベルネ	kaberune
カービン	kābin
カボチャ	kabocha
カーブ	kābu
カブリオレ	kaburiore
カブール	kabūru
カーブル	kāburu
カブトムシ	kabutomushi
カチンコ	kachinko
カチオン	kachion
カチューシャ	kachūsha
カーディフ	kādifu
カーディガン	kādigan
カード	kādo
カドミウム	kadomiumu
カードリーダー	kādorīdā
カエル	kaeru
カエサル	kaesaru
カフェ	kafe
カフェアラクレーム	kafearakurēmu
カフェイン	kafein
カフェオレ	kafeore
カフェラテ	kaferate
カフェテリア	kafeteria
カフ	kafu
カフカス	kafukasu
カフタン	kafutan
カーゲーベー	kāgēbē
カゲロウ	kagerō
カグツチ	kagutsuchi
カーホップ	kāhoppu
カイ	kai
カイチュウ	kaichū
カイエビ	kaiebi
カイエンヌ	kaiennu
カイコ	kaiko
カイコガ	kaikoga
カイマン	kaiman
カイン	kain
カイピリーニャ	kaipirīnya
カイリ	kairi
カイロ	kairo
カイロプラクター	kairopurakutā
カイツブリ	kaitsuburi
カジキ	kajiki
カジノ	kajino
カジュアル	kajuaru
カカオ	kakao
カケス	kakesu
カキ	kaki
カキコ	kakiko
カッコウ	kakkō
カックロ	kakkuro
カクテル	kakuteru
カーマ	kāma
カマキリ	kamakiri
カマンベール	kamanbēru
カメ	kame
カメハメハ	kamehameha
カメコ	kameko
カメオ	kameo
カメラ	kamera
カメラマン	kameraman
カメラワーク	kamerawāku
カメレオン	kamereon
カメルーン	kamerūn
カミソール	kamisōru
カミツレ	kamitsure
カモ	kamo
カモフラージュ	kamofurāju
カモメ	kamome
カモミール	kamomīru
カモン	kamon
カモシカ	kamoshika
カムチャツカ	kamuchatsuka
カーナビ	kānabi
カナダ	kanada
カナダドル	kanadadoru
カナカナ	kanakana
カナリア	kanaria
カナリヤ	kanariya
カーナーヴォン	kānāvon
カンバス	kanbasu
カンボディア	kanbodia
カンボジア	kanbojia
カンブリア	kanburia
カンビュセス	kanbyusesu
カンチョー	kanchō
カンダハル	kandaharu
カンデラ	kandera
カーネル	kāneru
カーネーション	kānēshon
カンファン	kanfan
カンファレンス	kanfarensu
カンフェン	kanfen
カンフー	kanfū
カンガルー	kangarū
カニ	kani
カニバリズム	kanibarizumu
カーニバル	kānibaru
カニカマ	kanikama
カニクイイヌ	kanikuiinu
カーニング	kāningu
カンジダ	kanjida
カンカイ	kankai
カンマ	kanma
カンニング	kanningu
カノジョ	kanojo
カノン	kanon
カンパ	kanpa
カンパチ	kanpachi
カンパニー	kanpanī
カンパラ	kanpara
カンプチア	kanpuchia
