.f	ʔ ɛ f
nnw	n ɛ n uː
nnšm	j
nnšm	n
nnšm	n a j ʃ
nnšm	n a n ʃ V m
nnšm	n a n ʃ V w
nnšm	n ɛ n ʃ ɛ m
nqꜥ	n ɛ k ɑː
nrj	n ɛ r i
nrt	n ɛ r ɛ t
nrw	n ɛ r uː
ns	l e s
ns	l i s
ns	n ɛ s
nst	n ɛ s ɛ t
nswt	n ɛ s uː t
nswtyw	n ɛ s uː t iː uː
nsyt	n ɛ s iː t
nt	n ɛ t
ntf	n a t a f
ntf	n ə t o f
ntf	n ɛ t ɛ f
ntf	ɛ n t ɛ f
ntj	n ɛ t i
ntj	ɛ n t i
ntk	n V t a k
ntk	n ə t a k
ntk	n ɛ t ɛ f
ntk	ɛ n t ɛ k
nts	n V t a s
nts	n ə t a s
nts	n ɛ t ɛ s
nts	ɛ n t ɛ s
ntsn	n ɛ t ɛ s ɛ n
ntsn	ɛ n t ɛ s ɛ n
ntsnj	n ɛ t ɛ s ɛ n i
ntsnj	ɛ n t ɛ s ɛ n i
ntt	n ɛ t ɛ t
ntt	ɛ n t ɛ t
nttn	n ɛ t ɛ t ɛ n
nttn	ɛ n t ɛ t ɛ n
ntw	n ɛ t uː
ntw	ɛ n t uː
ntṯ	n a t a c
ntṯ	n a t a ʔ
ntṯ	n ə t o ʔ
ntṯ	n ɛ t ɛ t͡ʃ
ntṯ	ɛ n t ɛ t͡ʃ
ntṯn	n a t aː c a n
ntṯn	n a t aː t a n
ntṯn	n ə t oː t ə n
ntṯn	n ɛ t ɛ t͡ʃ ɛ n
ntṯn	ɛ n t ɛ t͡ʃ ɛ n
nw	n u w w u w
nw	n uː
nw	n ø w w
nwd	n uː d
nwj	n uː i
nwt	n eː ʔ ə
nwt	n uː t
nwt	n uː ʔ a t
nwt	n uː ʔ a ʔ
nwtj	n uː t i
nwtkꜣrṯ	n uː t k ɑ r ɛ t͡ʃ
nwtwt	n uː t uː t
nwy	n uː iː
nwyt	n uː iː t
nwḥ	n a w a ħ
nwḥ	n uː ħ
nwḥ	n ə w o ħ
nznzn	n ɛ z ɛ n z ɛ n
nꜣ	n i ʀ
nꜣ	n ɑ
nḏ	n ɛ d͡ʒ
nḫ	n ɛ x
nš	n ɛ ʃ
nḥ	n ɛ ħ
nꜣ	n ə ʔ
nḥbt	n ɛ ħ b ɛ t
nḫbḫb	n ɛ x ɛ b x ɛ b
nḥd	n ɛ ħ ɛ d
nḏdnḏd	n ɛ d͡ʒ ɛ d n ɛ d͡ʒ ɛ d
nꜣj	n ɑ i
nꜥj	n ɑː i
nḏm	n aː c ʼ i m
nḏm	n aː t ʼ i m
nḏm	n oː t ʼ ə m
nḏm	n ɛ d͡ʒ ɛ m
nšm	n ɛ ʃ ɛ m
nḥm	n ɛ ħ ɛ m
nḥmn	n ɛ ħ m ɛ n
nḏnḏ	n ɛ d͡ʒ n ɛ d͡ʒ
nṯr	n aː c a ɾ
nṯr	n aː t a ʔ
nṯr	n oː t ə
nṯr	n ɛ t͡ʃ ɛ r
nꜥr	n ɑː r
nṯrj	n u c ɾ i j
nṯrj	n u c ɾ i t
nṯrj	n u t ɾ i j
nṯrj	n u t ɾ i ʔ
nḏrj	n ɛ d͡ʒ ɛ r i
nṯrj	n ə t ɾ e ʔ
nṯrj	n ɛ t͡ʃ r i
nṯrj	n ɛ t͡ʃ ɛ r i
nḥrj	n ɛ ħ r i
nṯrt	n a c aː ɾ a t
nṯrt	n a t aː ɾ a ʔ
nṯrt	n ə t oː ɾ ə
nṯrt	n ɛ t͡ʃ ɛ r ɛ t
nꜥrt	n ɑː r ɛ t
nṯrtj	n ɛ t͡ʃ ɛ r t i
nṯrw	n a c uː ɾ a w [ 1 ]
nṯrw	n a t uː ɾ a w
nṯrw	n ə t eː ɾ ə
nṯrw	n ɛ t͡ʃ ɛ r uː
nṯryt	n ɛ t͡ʃ r iː t
nḏs	n ɛ d͡ʒ ɛ s
nẖs	n ɛ ç ɛ s
nḥsj	n ɛ ħ s i
nḏt	n ɛ d͡ʒ ɛ t
nḫt	n ɛ x ɛ t
nšt	n ɛ ʃ ɛ t
nḥtj	n e ħ t ə
nḥtj	n i ħ t i t
nḥtj	n i ħ t i ʔ
nḥtj	n ɛ ħ ɛ t i
nꜣy	n ɑ iː
nꜣyw	n ɑ iː uː
nḥḥ	n e ʔ ħ ə ħ
nḥḥ	n i j ħ a ħ
nḥḥ	n ɛ ħ ɛ ħ
nꜥꜥ	n ɑː ʔ ɑː
nḥḏt	n u t ʃ ʼ ħ a ʔ
nḥḏt	n u ħ c ʼ a t
nḥḏt	n u ħ t ʃ ʼ a ʔ
nḥḏt	n ø t ʃ ʼ ħ ə
nḥḏt	n ø ħ t ʃ ʼ ə
nḥḏt	n ɛ ħ d͡ʒ ɛ t
nḫꜣw	n ɛ x ɑ uː
nꜣḏꜣrw	n ɑ d͡ʒ ɑ r uː
nḏꜣḏꜣ	n ɛ d͡ʒ ɑ d͡ʒ ɑ
p	p ɛ
pds	p ɛ d ɛ s
pf	p ɛ f
pfꜣ	p ɛ f ɑ
pgꜣ	p ɛ ɡ ɑ
pj	p i
pn	p ɛ n
pnw	p iː n
pnw	p iː n u w
pnw	p ɛ n uː
pnꜥ	p ɛ n ɑː
ppy	p ɛ p iː
pr	p aː ɾ u w
pr	p aː ɾ ə ʔ
pr	p oː ɾ
pr	p ɛ r
prj	p ɛ r i
prt	p a ɾ aː t i j
prt	p u ɾ u t
prt	p u ɾ u ʔ
prt	p ɛ r ɛ t
prt	p ə ɾ oː t
prt	p ə ɾ ø ʔ
prwypwsꜣ	p ɛ r uː iː p uː s ɑ
psg	p ɛ s ɛ ɡ
psmṯk	p ɛ s m ɛ t͡ʃ ɛ k
psḏ	p ɛ s ɛ d͡ʒ
psḏj	p ɛ s ɛ d͡ʒ i
psḏjw	p ɛ s ɛ d͡ʒ i uː
psḏnw	p ɛ s ɛ d͡ʒ n uː
psḏt	p i s iː c ʼ a t
psḏt	p i s iː t ʼ a ʔ
psḏt	p ə s iː t ʼ ə
psḏt	p ɛ s ɛ d͡ʒ ɛ t
psšt	p ɛ s ʃ ɛ t
psḏw	p i s iː c ʼ a w
psḏw	p i s iː t ʼ a w
psḏw	p ə s iː t ʼ
psḏw	p ə s iː t ʼ ə ʔ
psḏw	p ɛ s ɛ d͡ʒ uː
pt	p e ʔ
pt	p eː w ə
pt	p i t
pt	p i ʔ
pt	p uː w a t
pt	p uː w a ʔ
pt	p ɛ t
ptpt	p ɛ t p ɛ t
ptr	p ɛ t ɛ r
ptwꜣrwmys	p ɛ t uː ɑ r uː m iː s
ptḥ	p i t a ħ
ptḥ	p ə t a ħ
ptḥ	p ɛ t ɛ ħ
pw	p uː
pwnt	p uː n ɛ t
pwntjw	p uː n t i uː
pwrꜣsꜣtj	p uː r ɑ s ɑ t i
pwy	p uː iː
py	p iː
pzn	p ɛ z ɛ n
pzḥ	p ɛ z ɛ ħ
pꜣ	p i ʀ
pꜣ	p ɑ
pḥ	p ɛ ħ
pꜣ	p ə ʔ
pꜣj	p ɑ i
pšn	p ɛ ʃ ɛ n
pꜣq	p ɑ k
pꜣqj	p i ʀ q ʼ i t
pꜣqj	p i ʀ q ʼ i ʔ
pꜣqj	p iː q ʼ ə
pꜣqj	p ɑ k i
pꜣqt	p ɑ k ɛ t
pẖr	p ɛ ç ɛ r
pḥrr	p ɛ ħ r ɛ r
pẖrt	p ɛ ç r ɛ t
pḏt	p iː c ʼ a t
pḏt	p iː t ʼ a ʔ
pḏt	p iː t ʼ ə
pḏt	p ɛ d͡ʒ ɛ t
pꜥt	p ɑː t
pḥtj	p e ħ t ə
pḥtj	p i ħ t a j
pḏtj	p ɛ d͡ʒ ɛ t i
pḥtj	p ɛ ħ t i
pꜣw	p ɑ uː
pḥwj	p ɛ ħ uː i
pꜣwt	p ɑ uː t
pꜣwtj	p ɑ uː t i
pꜣy	p ɑ iː
pꜣḏ	p ɑ d͡ʒ
pꜣḫd	p ɑ x ɛ d
qbb	k ɛ b ɛ b
qbb	q ʼ a b a b
qbb	q ʼ ə β a p
qbw	k ɛ b uː
qbḥ	k ɛ b ɛ ħ
qbḥw	k ɛ b ɛ ħ uː
qd	k ɛ d
qdd	k ɛ d ɛ d
qdj	k ɛ d i
qdj	q ʼ e t ʼ ʔ ə
qdj	q ʼ i t ʼ j i t
qdj	q ʼ i t ʼ j i ʔ
qdj	q ʼ i t ʼ ʔ a
qdnw	k ɛ d n uː
qdt	k ɛ d ɛ t
qdtt	k ɛ d t ɛ t
qdš	k ɛ d ɛ ʃ
qdšw	k ɛ d ʃ uː
qjs	k i s
qmꜣ	k ɛ m ɑ
qnbt	k ɛ n b ɛ t
qnj	k ɛ n i
qnj	q ʼ e n j ə
qnj	q ʼ i n j i t
qnj	q ʼ i n j i ʔ
qnjt	k ɛ n i t
qnjw	k ɛ n i uː
qnt	k ɛ n ɛ t
qnyt	k ɛ n iː t
qqtj	k ɛ k t i
qrf	k ɛ r ɛ f
qrf	q ʼ a ɾ a f
qrf	q ʼ ə ɾ a f
qrft	k ɛ r f ɛ t
qrrt	k ɛ r ɛ r ɛ t
qrs	k ɛ r ɛ s
qrs	q ʼ aː ɾ a s
qrs	q ʼ aː ʔ s
qrs	q ʼ oː ʔ s
qrst	k ɛ r ɛ s ɛ t
qrwjwꜣpꜣdrꜣ	k ɛ r uː i uː ɑ p ɑ d r ɑ
qs	k ɛ s
qs	q ʼ e s
qs	q ʼ i s
qsn	k ɛ s ɛ n
qsnt	k ɛ s ɛ n ɛ t
qysrs	k iː s r ɛ s
qꜣb	k ɑ b
qꜣdt	k ɑ d ɛ t
qꜣj	k ɑ i
qꜣqꜣw	k ɑ k ɑ uː
qꜣꜥ	k ɑ ʔ ɑː
qꜥḥ	k ɑː ħ
r	ɝ
r	ɾ a ʀ
r	ɾ a ʔ
r	ɾ aː ʀ a w
r	ɾ oː w
r	ɛ r
rbw	r ɛ b uː
rd	r ɛ d
rd	ɾ a t ʼ w a w
rd	ɾ a t ʼ ʔ
rd	ɾ aː t ʼ u w
rd	ɾ e t ʼ
rd	ɾ i t ʼ
rd	ɾ oː t ʼ
rhn	r ɛ h ɛ n
rk	r ɛ k
rkḥ	r ɛ k ɛ ħ
rm	r ɛ m
rmj	r ɛ m i
rmj	ɾ iː m a
rmj	ɾ iː m i t
rmj	ɾ iː m i ʔ
rmj	ɾ iː m ə
rmn	r ɛ m ɛ n
rmyt	r ɛ m iː t
rmṯ	r ɛ m ɛ t͡ʃ
rmṯ	ɾ aː m a c
rmṯ	ɾ aː m a ʔ
rmṯ	ɾ oː m ə
rmṯt	r ɛ m ɛ t͡ʃ ɛ t
rmṯt	ɾ a m c a t
rmṯt	ɾ a m t a ʔ
rmṯt	ɾ a m t ə
rn	r ɛ n
rn	ɾ e n
rn	ɾ i n
rnpj	r ɛ n ɛ p i
rnpt	r ɛ n p ɛ t
rnpt	ɾ a n p a t
rnpt	ɾ a n p a w w a t
rnpt	ɾ a n p a w w a ʔ
rnpt	ɾ a n p a ʔ
rnpt	ɾ a n p ə
rnpt	ɾ ə n p a w w ə
rnpwt	r ɛ n p uː t
rrj	r ɛ r i
rrj	ɾ iː ɾ
rrj	ɾ iː ɾ i j
rs	r ɛ s
rsj	r ɛ s i
rsw	r ɛ s uː
rswt	r ɛ s uː t
rwd	r uː d
rwj	r uː i
rwt	r uː t
rwḏ	r uː d͡ʒ
rꜣ	r ɑ
rḫ	r ɛ x
rš	r ɛ ʃ
rꜥ	r ɑː
rꜥ	ɾ eː ʕ
rꜥ	ɾ iː ʕ u w
rꜥ	ɾ iː ʕ ə ʔ
rḏj	r ɛ d͡ʒ i
rṯnw	r ɛ t͡ʃ ɛ n uː
ršrš	r ɛ ʃ r ɛ ʃ
rḫs	r ɛ x ɛ s
rḏw	r ɛ d͡ʒ uː
ršw	r ɛ ʃ uː
rḥw	r ɛ ħ uː
rḥwj	r ɛ ħ uː i
ršwt	r ɛ ʃ uː t
ršwt	ɾ a ʃ w a t
ršwt	ɾ a ʃ w a ʔ
ršwt	ɾ a ʃ ʔ ə
rḫyt	r ɛ x iː t
rḫyt	ɾ a χ j a t
rḫyt	ɾ a χ j a ʔ
rḫyt	ɾ a χ ʔ ə
s	s ɛ
sbj	s ɛ b i
sbjw	s ɛ b i uː
sbk	s ɛ b ɛ k
sbn	s ɛ b ɛ n
sbnw	s ɛ b ɛ n uː
sbq	s ɛ b ɛ k
sbtj	s ɛ b t i
sbꜣ	s a b a ʀ
sbꜣ	s iː b a ʀ
sbꜣ	s iː β ə
sbꜣ	s ɛ b ɑ
sbḥ	s ɛ b ɛ ħ
sbꜣ	s ə β a ʔ
sbꜣgj	s ɛ b ɑ ɡ i
sbꜣqj	s ɛ b ɑ k i
sbḫt	s ɛ b x ɛ t
sbꜣyt	s a b a ʀ j a t
sbꜣyt	s a b a ʀ j a ʔ
sbꜣyt	s ɛ b ɑ iː t
sbꜣyt	s ə β oː ʔ
sd	s ɛ d
sdb	s ɛ d ɛ b
sdm	s ɛ d ɛ m
sdmj	s ɛ d ɛ m i
sdyt	s ɛ d iː t
sf	s ɛ f
sfkk	s ɛ f ɛ k ɛ k
sfsf	s ɛ f s ɛ f
sfḫ	s ɛ f ɛ x
sfḫjw	s ɛ f x i uː
sfḫnw	s ɛ f ɛ x n uː
sfḫw	s a f χ a w
sfḫw	s a f χ ə ʔ
sfḫw	s a χ f
sfḫw	s ɛ f ɛ x uː
sfḫḫ	s ɛ f ɛ x ɛ x
sgnn	s a k ʼ a n
sgnn	s a k ʼ n a n
sgnn	s o k ʼ ə n
sgnn	s ɛ ɡ ɛ n ɛ n
sgr	s ɛ ɡ ɛ r
shꜣj	s ɛ h ɑ i
sj	s i
sjdj	s ɛ i d i
sjhm	s ɛ i h ɛ m
sjm	s i m
sjnj	s i n i
sjsjw	s i s i uː
sjsnw	s i s n uː
sjsw	i
sjsw	s a j s a w
sjsw	s a ɾ s a w
sjsw	s i s uː
sjsw	s ə ʔ s a w
sjsw	ʔ ə s s a w
sjzj	s ɛ i z i
sjꜣ	s aː j a ʀ
sjꜣ	s aː ʔ ə ʔ
sjꜣ	s i ɑ
sjꜣ	s oː ʔ
sjꜣt	s ɛ i ɑ t
sk	s ɛ k
skj	s ɛ k i
sksk	s ɛ k s ɛ k
skt	s ɛ k ɛ t
skꜣ	s ɛ k ɑ
sm	s ɛ m
smj	s ɛ m i
smn	s i m iː n i t
smn	s i m iː n i ʔ
smn	s ə m iː n ə
smn	s ɛ m ɛ n
smnmn	s ɛ m ɛ n m ɛ n
smnḫ	s ɛ m ɛ n ɛ x
smr	s ɛ m ɛ r
smsj	s ɛ m ɛ s i
smsw	s ɛ m ɛ s uː
smw	s ɛ m uː
smwn	s ɛ m uː n
smꜣ	s ɛ m ɑ
smḫ	s ɛ m ɛ x
smḥ	s ɛ m ɛ ħ
smḥj	s ɛ m ħ i
smꜣwj	s ɛ m ɑ uː i
sn	s a n
sn	s a n uː w a w
sn	s ɛ n
sn	s ə n eː w
snb	s ɛ n ɛ b
snb.tj	s ɛ n ɛ b ʔ t i
snbb	s ɛ n b ɛ b
snbj	s ɛ n b i
snd	s ɛ n ɛ d
snfj	s ɛ n ɛ f i
snj	s ɛ n i
snm	s ɛ n ɛ m
snnw	s ɛ n ɛ n uː
snq	s ɛ n ɛ k
snsn	s a n s a n
snsn	s a n s ə n
snsn	s ɛ n s ɛ n
snt	s aː n a t
snt	s aː n a ʔ
snt	s oː n ə
snt	s ɛ n ɛ t
snwj	s i n u w w a j
snwj	s ə n u w w ə ʔ
snwj	s ɛ n uː i
snwj	s ə n ø w w
snwtt	s ɛ n uː t ɛ t
snwḫ	s ɛ n uː x
snḏ	s ɛ n ɛ d͡ʒ
snḫbḫb	s ɛ n ɛ x ɛ b x ɛ b
snḏm	s ɛ n ɛ d͡ʒ ɛ m
snšmšm	s ɛ n ɛ ʃ ɛ m ʃ ɛ m
snḫn	s ɛ n ɛ x ɛ n
snṯr	s ɛ n ɛ t͡ʃ ɛ r
snḏw	s ɛ n ɛ d͡ʒ uː
spd	s ɛ p ɛ d
spdt	s a p t ʼ a t
spdt	s a p t ʼ a ʔ
spdt	s a p t ʼ ə
spdt	s o p d ɛ t
spdt	s ɛ p d ɛ t
spdt	s ɛ p ɛ d ɛ t
spdw	s ɛ p d uː
spdḏ	s ɛ p d ɛ d͡ʒ
spj	s ɛ p i
spr	s ɛ p ɛ r
sprw	s ɛ p ɛ r uː
spt	s aː p a t
spt	s aː p a ʔ
spt	s oː p ə
spt	s ɛ p ɛ t
spꜣt	s ɛ p ɑ t
sqbb	s ɛ k ɛ b ɛ b
sqbbwj	s ɛ k ɛ b ɛ b uː i
sqd	s ɛ k ɛ d
sqdj	s ɛ k ɛ d i
sqr	s ɛ k ɛ r
sqꜣj	s ɛ k ɑ i
sr	s ɛ r
srd	s ɛ r ɛ d
srmj	s ɛ r ɛ m i
srt	s ɛ r ɛ t
srw	s ɛ r uː
srwj	s ɛ r uː i
srwḏ	s ɛ r uː d͡ʒ
srwḫ	s ɛ r uː x
srḫ	s ɛ r ɛ x
ssf	s ɛ s ɛ f
ssm	s ɛ s ɛ m
ssmt	s ɛ s ɛ m ɛ t
ssn	s ɛ s ɛ n
sspd	s ɛ s ɛ p ɛ d
ssḫ	s ɛ s ɛ x
st	s ɛ t
stj	s ɛ t i
stp	s V t p a -
stp	s a t p a w
stp	s aː t a p
stp	s oː t ə p
stp	s ɛ t ɛ p
stpt	s ɛ t ɛ p ɛ t
stt	s ɛ t ɛ t
stwt	s ɛ t uː t
stꜣ	s ɛ t ɑ
stẖ	s ɛ t ɛ ç
stẖj	s ɛ t ç i
sw	s u
sw	s u w
sw	s uː
swdfj	s ɛ w ɛ d ɛ f i
swn	s uː n
swn	s ɛ w ɛ n
swnw	s uː n uː
swsḫ	s ɛ w ɛ s ɛ x
swt	s uː t
swḏ	s ɛ w ɛ d͡ʒ
swꜥb	s ɛ w ɑː b
swꜣj	s uː ɑ i
swḥt	s uː ħ ɛ t
swꜣḏ	s ɛ w ɑ d͡ʒ
swḏꜣ	s ɛ w ɛ d͡ʒ ɑ
sꜣ	s ɑ
sḏ	s ɛ d͡ʒ
sṯ	s ɛ t͡ʃ
sꜣbt	s ɑ b ɛ t
sḏd	s e t͡ʃ ʼ ʔ ə
sḏd	s i c ʼ t ʼ i t
sḏd	s i t͡ʃ ʼ ʔ i ʔ
sḏd	s ɛ d͡ʒ ɛ d
sḫd	s ɛ x ɛ d
sḥd	s ɛ ħ ɛ d
sḏd	t ʼ
sḏd	ʔ
sꜣdjꜥmj	s ɑ d i ɑː m i
sḫdḫd	s ɛ x ɛ d x ɛ d
sꜣgꜣ	s ɛ ɡ
sꜣj	s iː ʔ a
sꜣj	s iː ʀ i t
sꜣj	s iː ʀ i ʔ
sꜣj	s iː ʔ ə
sꜣj	s ɑ i
sḏm	s a c ʼ i m n a
sḏm	s a c ʼ m a
sḏm	s a c ʼ m i w
sḏm	s aː c ʼ a m
sḏm	s aː c ʼ i m
sḏm	s aː t ʼ a m
sḏm	s oː t ʼ ə m
sḏm	s ɛ d͡ʒ ɛ m
sḫm	s ɛ x ɛ m
sšm	s ɛ ʃ ɛ m
sšmj	s ɛ ʃ ɛ m i
sšmm	s ɛ ʃ ɛ m ɛ m
sḫmt	s e χ m ə
sḫmt	s i χ m i t
sḫmt	s i χ m i ʔ
sḫmt	s ɛ x m ɛ t
sḏmw	s ɛ d͡ʒ ɛ m uː
sḫn	s ɛ x ɛ n
sꜣngꜣr	s ɑ n ɡ ɑ r
sṯnj	s ɛ t͡ʃ ɛ n i
sꜥnj	s ɛ ɑː n i
sḫntj	s ɛ x ɛ n ɛ t i
sꜥnḫ	s ɛ ɑː n x
sḫpj	s ɛ x ɛ p i
sḫpr	s ɛ x ɛ p ɛ r
sšpt	s a ʃ aː p a t
sšpt	s ɛ ʃ p ɛ t
sšpt	ʃ aː p a ʔ
sšpt	ʃ oː p ə
sꜣq	s ɑ k
sꜥq	s ɛ ɑː k
sḥqr	s ɛ ħ ɛ k ɛ r
sḥqꜣ	s ɛ ħ ɛ k ɑ
sḏr	s ɛ d͡ʒ ɛ r
sḫr	s ɛ x ɛ r
sšr	s ɛ ʃ ɛ r
sꜥr	s ɛ ɑː r
sḥrj	s ɛ ħ ɛ r i
sšrw	s ɛ ʃ r uː
sḫry	s ɛ x r iː
sꜣrꜣqw	s ɑ r ɑ k uː
sꜣsꜣ	s ɑ s ɑ
sꜥsꜥ	s ɑː s ɑː
sḫt	s aː χ a t
sḫt	s aː χ a ʔ
sḫt	s oː χ ə
sḏt	s ɛ d͡ʒ ɛ t
sṯt	s ɛ t͡ʃ ɛ t
sḫt	s ɛ x ɛ t
sẖt	s ɛ ç ɛ t
sḫtj	s e χ t
sḫtj	s i χ t V j
sḫtj	s ɛ x t i
sḥtm	s ɛ ħ ɛ t ɛ m
sḥtp	s ɛ ħ ɛ t ɛ p
sḏwj	s ɛ d͡ʒ uː i
sṯzj	s ɛ t͡ʃ ɛ z i
sṯzw	s ɛ t͡ʃ ɛ z uː
sḏꜣ	s ɛ d͡ʒ ɑ
sṯꜣ	s ɛ t͡ʃ ɑ
sꜣḥ	s ɑ ħ
sꜣḫ	s ɛ ɑ x
sꜣꜣ	s ɑ ʔ ɑ
sḥḏ	s ɛ ħ ɛ d͡ʒ
sꜥḥ	s ɑː ħ
sḥꜣbj	s ɛ ħ ɑ b i
sḫꜣj	s ɛ x ɑ i
sḫꜥj	s ɛ x ɑː i
sḥꜣj	s ɛ ħ ɑ i
sꜥꜣj	s ɛ ɑː ʔ ɑ i
sṯꜣt	s ɛ t͡ʃ ɑ t
sḥḏw	s e ħ t ʼ
sḥḏw	s i ħ c ʼ V w
sḥḏw	s i ħ t ʼ V w
sḫꜣw	s ɛ x ɑ uː
sḥḏw	s ɛ ħ d͡ʒ uː
sꜥšꜣ	s ɛ ɑː ʃ ɑ
sꜥḥꜥ	s ɛ ɑː ħ ɑː
sꜣḫꜣḫ	s ɛ ɑ x ɑ x
t	t ɛ
tf	t e f
tf	t i f
tf	t ɛ f
tfn	t ɛ f ɛ n
tfnt	t ɛ f n ɛ t
tfnwt	t ɛ f n uː t
tfꜣ	t ɛ f ɑ
thj	t ɛ h i
thm	t ɛ h ɛ m
tj	t i
tjkrṯ	t i k r ɛ t͡ʃ
tjmsqw	t i m ɛ s k uː
tjsw	t i s uː
tjt	t i t
tjw	t i uː
tjꜥꜣ	t i ɑː ʔ ɑ
tkk	t ɛ k ɛ k
tkn	t ɛ k ɛ n
tkꜣw	t ɛ k ɑ uː
tm	j a t aː m u w
tm	t ɛ m
tm	ʔ a t aː m ə ʔ
tm	ʔ a t oː m
tmm	t ɛ m ɛ m
tmt	t ɛ m ɛ t
tn	t ɛ n
tnj	t ɛ n i
tnm	t ɛ n ɛ m
tnmw	t ɛ n ɛ m uː
tnw	t ɛ n uː
tnṯ	t ɛ n ɛ t͡ʃ
tp	c ʼ a p
tp	t ʼ a p
tp	t ɛ p
tpj	t a p i j
tpj	t ə p e j
tpj	t ɛ p i
tpr	t ɛ p ɛ r
tpt	t ɛ p ɛ t
tr	t ɛ r
ttj	t ɛ t i
tw	t uː
tw.j	t uː ʔ i
tw.k	t uː ʔ ɛ k
tw.n	t uː ʔ ɛ n
tw.t	t uː ʔ ɛ t
tw.tn	t uː ʔ t ɛ n
tw.tw	t uː ʔ t uː
twt	t a w aː t i j
twt	t uː t
twt	t ə w aː t ə ʔ
twt	t ə w oː t
twy	t uː iː
twꜣ	t uː ɑ
tybꜣrys	t iː b ɑ r iː s
tyts	t iː t ɛ s
tꜣ	t a ʀ
tꜣ	t a ʔ
tꜣ	t i ʀ
tꜣ	t ɑ
tꜣ	t ə ʔ
tꜣhꜣrqꜣ	t ɑ h ɑ r k ɑ
tꜣj	t ɑ i
tḫj	t ɛ x i
tḫn	t ɛ x ɛ n
tꜣw	t a ʀ w a w
tꜣw	t oː w
tꜣw	t ɑ uː
tꜣwj	t a ʀ w V j
tꜣwj	t aː w ə ʔ
tꜣwj	t oː w
tꜣwj	t ɑ uː i
tꜣy	t ɑ iː
tꜣš	t a ʀ a ʃ
tꜣš	t ɑ ʃ
tꜣš	t ə ʔ a ʃ
w	uː
wbn	w ɛ b ɛ n
wbnw	w ɛ b n uː
wbḫ	w a b a χ
wbꜣ	w ɛ b ɑ
wbḫ	w ɛ b ɛ x
wbḫ	w ə β a χ
wbꜣyt	w ɛ b ɑ iː t
wdfj	w ɛ d ɛ f i
wdj	w ɛ d i
wdn	w ɛ d ɛ n
wdpw	w ɛ d p uː
wdḥw	w ɛ d ɛ ħ uː
wfj	w ɛ f i
wgg	w ɛ ɡ ɛ ɡ
wj	w i
wjn	w i n
wjꜣ	w i ɑ
wmt	w ɛ m ɛ t
wmwt	w ɛ m uː t
wn	w a n
wn	w ɛ n
wnb	w ɛ n ɛ b
wngbw	w ɛ n ɛ ɡ b uː
wnj	w ɛ n i
wnjs	w ɛ n i s
wnm	w aː n a m
wnm	w oː n ə m
wnm	w ɛ n ɛ m
wnmj	w ɛ n m i
wnmt	w ɛ n m ɛ t
wnmw	w ɛ n ɛ m uː
wnn	w ɛ n ɛ n
wnnt	w ɛ n ɛ n ɛ t
wnt	w ɛ n ɛ t
wnwn	w ɛ n uː n
wnwt	w V n aː w a t
wnwt	w V n aː w a ʔ
wnwt	w ə n oː w ə
wnwt	w ɛ n uː t
wnḏw	w ɛ n d͡ʒ uː
wnḏwt	w ɛ n ɛ d͡ʒ uː t
wpj	w ɛ p i
wprt	w ɛ p r ɛ t
wps	w ɛ p ɛ s
wpt	w ɛ p ɛ t
wpw	w ɛ p uː
wpwt	w a p w u t
wpwt	w a p w u ʔ
wpwt	w a p w ə
wpwt	w ɛ p uː t
wpwtj	w a p w u t j V w
wpwtj	w a p w uː t i j
wpwtj	w ɛ p uː t i
wpwtj	w ə p w eː t
wpwtj	w ə p w ø t j
wr	w eː ɾ
wr	w uː ɾ a w
wr	w ɛ r
wrr	w a ɾ a ɾ
wrr	w a ɾ a ʔ
wrr	w ɛ r ɛ r
wrr	w ə ɾ a ʔ
wrrt	w V ɾ i ɾ j V t
wrrt	w V ɾ i ʔ j V ʔ
wrrt	w ɛ r ɛ r ɛ t
wrrt	w ə ɾ e ʔ j ə
wrryt	w ɛ r ɛ r iː t
wrs	w ɛ r ɛ s
wrt	w eː ɾ ə
wrt	w uː ɾ a t
wrt	w uː ɾ a ʔ
wrt	w ɛ r ɛ t
wrš	w ɛ r ɛ ʃ
wrḥ	w ɛ r ɛ ħ
wršy	w ɛ r ʃ iː
ws	w ɛ s
wsjr	w a s j iː ɾ i t
wsjr	w a s j iː ɾ i ʔ
wsjr	w ɛ s i r
wsjr	w ə s iː ɾ ə
wsjr	w ə s ʔ iː ɾ a ʔ
wsn	w ɛ s ɛ n
wspjsyns	w ɛ s p i s iː n ɛ s
wsr	w ɛ s ɛ r
wsrw	w ɛ s ɛ r uː
wsḫ	w ɛ s ɛ x
wsṯn	w ɛ s t͡ʃ ɛ n
wsḫt	w e s χ ə
wsḫt	w i s χ a t
wsḫt	w i s χ a ʔ
wsḫt	w ɛ s x ɛ t
wt	w ɛ t
wtṯ	w ɛ t ɛ t͡ʃ
wtḫ	w ɛ t ɛ x
wzfw	w ɛ z ɛ f uː
wzš	w ɛ z ɛ ʃ
wꜥ	w u ʕ ʕ u w
wꜥ	w u ʕ ʕ ə ʔ
wꜥ	w ø ʕ ʕ
wꜣ	w ɑ
wḏ	w ɛ d͡ʒ
wꜥ	w ɑː
wꜥb	w a ʕ a b
wꜥb	w a ʕ b a -
wšb	w aː ʃ a b
wꜥb	w eː ʕ ə p
wꜥb	w iː ʕ a b
