က	k a̰
ချားလ်	t͡ɕʰ á l
ချို	d͡ʑ ò
ချို	t͡ɕʰ ò
ချိုချဉ်	t͡ɕʰ ò t͡ɕʰ ɪ̀ ɴ
ချိုး	t͡ɕʰ ó
ချုပ်	t͡ɕʰ o ʊ ʔ
ချူးအင်းဂမ်း	t͡ɕʰ ú ʔ ɪ́ ɴ ɡ á ɴ
ချေ	t͡ɕʰ è
ချေ	t͡ɕʰ ì
ချေ	d͡ʑ ì
ချေ	t͡ɕʰ è
ချေ	d͡ʑ è
ချော	t͡ɕʰ ɔ́
ချောကလက်	t͡ɕʰ ɔ́ k ə l ɛ ʔ
ချောက်	t͡ɕʰ a ʊ ʔ
ချောင်	t͡ɕʰ à ʊ ɴ
ချောင်း	t͡ɕʰ á ʊ ɴ
ချော်	t͡ɕʰ ɔ̀
ချေး	t͡ɕʰ í
ချေးထုပ်	t͡ɕʰ é tʰ o ʊ ʔ
ချဲ့ချဲ့	t͡ɕʰ ɛ̰ d͡ʑ ɛ̰
ချွန်	t͡ɕʰ ʊ̀ ɴ
ချွန်ထက်	t͡ɕʰ ʊ̀ ɴ tʰ ɛ ʔ
ချွေး	t͡ɕʰ w é
ချွေးမ	t͡ɕʰ w é m a̰
ချွံချွံ	t͡ɕʰ ʊ̀ ɴ d͡ʑ ʊ̀ ɴ
ခြ	t͡ɕʰ a̰
ခြင်	t͡ɕʰ ɪ̀ ɴ
ခြင်း	t͡ɕʰ ɪ́ ɴ
ခြင်းလုံး	t͡ɕʰ ɪ́ ɴ l ó ʊ ɴ
ခြင်္သေ့	t͡ɕʰ ɪ̀ ɴ ð ḛ
ခြင်္သေ့ကလေး	t͡ɕʰ ɪ̀ ɴ ð ḛ ɡ ə l é
ခြင်္သေ့မ	t͡ɕʰ ɪ̀ ɴ ð ḛ m a̰
ခြည်	t͡ɕʰ ì
ခြတောင်ပို့	t͡ɕʰ a̰ t à ʊ ɴ b o̰
ခြမ်း	t͡ɕʰ á ɴ
ခြား	t͡ɕʰ á
ခြားနား	t͡ɕʰ á n á
ခြားနားချက်	t͡ɕʰ á n á d͡ʑ ɛ ʔ
ခြေ	t͡ɕʰ è
ခြေစွပ်	t͡ɕʰ è z ʊ ʔ
ခြေထောက်	t͡ɕʰ è d a ʊ ʔ
ခြေနင်း	t͡ɕʰ è n ɪ́ ɴ
ခြေဖနောင့်	t͡ɕʰ è b ə n a̰ ʊ ɴ
ခြေဖဝါး	t͡ɕʰ è b ə w á
ခြေသည်း	t͡ɕʰ è ð é
ခြေအိတ်	t͡ɕʰ è ʔ e ɪ ʔ
ခြောက်	t͡ɕʰ a ʊ ʔ
ခြံ	t͡ɕʰ à ɴ
ခွက်	kʰ w ɛ ʔ
ခွင့်လွှတ်	kʰ w ɪ̰ ɴ l̥ ʊ ʔ
ခွန်	kʰ ʊ̀ ɴ
ခွန်း	kʰ ʊ́ ɴ
ခွာ	kʰ w à
ခွာနာလျှာနာ	kʰ w à n à ʃ à n à
ခွေး	kʰ w é
ခွေးမ	kʰ w é m a̰
ခွေးမသား	kʰ w é m a̰ ð á
ခွေးရူးပြန်ရောဂါ	kʰ w é j ú b j à ɴ j ɔ́ ɡ à
ခွေးအိမ်	kʰ w é ʔ è ɪ ɴ
ခွဲ	kʰ w ɛ́
ခွံ	kʰ ʊ̀ ɴ
ဂငယ်	ɡ a̰ ŋ ɛ̀
ဂငယ်ကွေ့	ɡ a̰ ŋ ɛ̀ ɡ w ḛ
ဂင်းနီဗစ်ဆော	ɡ ɪ́ ɴ n ì b ɪ ʔ sʰ ɔ́
ဂင်္ဂါ	ɡ ɪ̀ ɴ ɡ à
ဂဏန်း	ɡ ə n á ɴ
ဂဏန်းတွက်စက်	ɡ ə n á ɴ t w ɛ ʔ s ɛ ʔ
ဂန္ထဗေဒ	ɡ à ɴ tʰ a̰ b è d a̰
ဂန္ထဝင်	ɡ à ɴ d ə w ɪ̀ ɴ
ဂန္ဒမာ	ɡ à ɴ d ə m à
ဂန်ဂျာ	ɡ à ɴ d͡ʑ à
ဂန်ဒူး	ɡ à ɴ d ú
ဂမ်ဘီယာ	ɡ à ɴ b ì j à
ဂယ်လက်ဆီ	ɡ ɛ̀ l ɛ ʔ sʰ ì
ဂရပ်	ɡ ə ɹ a ʔ
ဂရမ်	ɡ ə ɹ à ɴ
ဂရိ	ɡ ə ɹ ḭ
ဂရိတ်ဗြိတိန်	ɡ ə ɹ e ɪ ʔ b j ḭ t è ɪ ɴ
ဂရု	ɡ ə j ṵ
ဂလင်း	ɡ ə l ɪ́ ɴ
ဂဠုန်	ɡ ə l ò ʊ ɴ
ဂါထာ	ɡ à tʰ à
ဂါနာ	ɡ à n à
ဂါဘွန်	ɡ à b ʊ̀ ɴ
ဂိတ်	ɡ e ɪ ʔ
ဂိတ်ဆုံး	ɡ e ɪ ʔ sʰ ó ʊ ɴ
ဂိရိမေခလာ	ɡ ḭ ɹ ḭ m è kʰ ə l à
ဂိုင်ယာနာ	ɡ à ɪ ɴ j à n à
ဂိုဏ်း	ɡ ó n
ဂိုဏ်းချုပ်	ɡ á ɪ ɴ d͡ʑ o ʊ ʔ
ဂိုဏ်းထောက်	ɡ ó n d a ʊ ʔ
ဂိုဏ်းအုပ်	ɡ ó n ʔ o ʊ ʔ
ဂိုဒေါင်	ɡ ò d à ʊ ɴ
ဂီတ	ɡ ì t a̰
ဂီတပညာ	ɡ ì t a̰ p a̰ ɲ à
ဂီတသမား	ɡ ì t a̰ ð ə m á
ဂီတာ	ɡ ì t à
ဂီနီ	ɡ ì n ì
ဂုဏ်	ɡ ù n
ဂုရု	ɡ ṵ ɹ ṵ
ဂူ	ɡ ù
ဂေဟဗေဒ	ɡ è h a̰ t a̰ b è d a̰
ဂေါက်	ɡ a ʊ ʔ
ဂေါတမ	ɡ ɔ́ t ə m a̰
ဂေါ်	ɡ ɔ̀
ဂေါ်ဖီထုပ်	ɡ ɔ̀ b ì d o ʊ ʔ
ဂေါ်ဖီပန်း	ɡ ɔ̀ b ì p á ɴ
ဂေါ်မိတ်	ɡ ɔ̀ m e ɪ ʔ
ဂေါ်ရခါး	ɡ ɔ̀ j ə kʰ á
ဂေါ်ရခါးသီး	ɡ ɔ̀ j ə kʰ á θ í
ဂျက်	d͡ʑ ɛ ʔ
ဂျင်	d͡ʑ ɪ̀ ɴ
ဂျင်းဘောင်းဘီ	d͡ʑ ɪ́ ɴ b á ʊ ɴ b ì
ဂျပန်	d͡ʑ ə p à ɴ
ဂျမေကာ	d͡ʑ ə m è k à
ဂျာမနီ	d͡ʑ à m a̰ n ì
ဂျာမန်	d͡ʑ à m à ɴ
ဂျီဘူတီ	d͡ʑ ì b ù t ì
ဂျုံ	d͡ʑ ò ʊ ɴ
ဂျုံမှုန့်	d͡ʑ ò ʊ ɴ m̥ o̰ ʊ ɴ
ဂျူး	d͡ʑ ú
ဂျေရုဆလင်	d͡ʑ è ɹ ṵ sʰ a̰ l ɪ̀ ɴ
ဂျော့ခ်ျ	d͡ʑ ɔ̰ k ʰျ
ဂျော်ဂျီယာ	d͡ʑ ɔ̀ d͡ʑ ì j à
ဂျော်ဒန်	d͡ʑ ɔ̀ d à ɴ
ဂျော်နီ	d͡ʑ ɔ̀ n ì
ဂြိုဟ်	d͡ʑ ò
ဂြိုဟ်တု	d͡ʑ ò h d ṵ
ဂွမ်း	ɡ ʊ́ ɴ
ဂွါတီမာလာ	ɡ w à t ì m à l à
ဂွေး	ɡ w é
ဃကြီး	ɡ a̰ d͡ʑ í
င	ŋ a̰
ငချိတ်	ŋ ə t͡ɕʰ e ɪ ʔ
ငတ်	ŋ a ʔ
ငန်	ŋ à ɴ
ငန်း	ŋ á ɴ
ငယ်	ŋ ɛ̀
ငရုတ်	ŋ ə j o ʊ ʔ
ငရုတ်ကောင်း	ŋ ə j o ʊ ʔ ɡ á ʊ ɴ
ငရဲ	ŋ ə j ɛ́
ငရဲကြီးရှစ်ထပ်	ŋ ə j ɛ́ d͡ʑ í ʃ ɪ ʔ tʰ a ʔ
ငရဲမင်း	ŋ ə j ɛ́ m ɪ́ ɴ
ငရဲသား	ŋ ə j ɛ́ ð á
ငလျင်	ŋ ə l j ɪ̀ ɴ
ငါ	ŋ à
ငါတို့	ŋ à t o̰
ငါ့	ŋ a̰
ငါး	ŋ á
ငါးကျပ်တင်	ŋ á t͡ɕ a ʔ t ɪ̀ ɴ
ငါးခူ	ŋ ə kʰ ù
ငါးပိ	ŋ ə p ḭ
ငါးပိထောင်း	ŋ á p ḭ tʰ á ʊ ɴ
ငါးပိရည်	ŋ ə p ḭ j è
ငါးပုဏ္ဏား	ŋ ə p ù n n á
ငါးပေါင်းထုပ်	ŋ ə b á ʊ ɴ d o ʊ ʔ
ငါးဖန်ခွက်	ŋ ə pʰ à ɴ ɡ w ɛ ʔ
ငါးဖယ်	ŋ ə pʰ ɛ̀
ငါးဖျင်းသလက်	ŋ ə pʰ j ɪ́ ɴ θ ə l ɛ ʔ
ငါးမန်း	ŋ ə m á ɴ
ငါးမုန့်	ŋ á m o̰ ʊ ɴ
ငါးမျှားတံ	ŋ ə m̥ j á d à ɴ
ငါးမြစ်ချင်း	ŋ ə m j ɪ ʔ t͡ɕʰ ɪ́ ɴ
ငါးရံ့	ŋ ə j a̰ ɴ
ငါးသလောက်	ŋ ə θ ə l a ʊ ʔ
ငါးသလောက်ပေါင်း	ŋ ə θ ə l a ʊ ʔ b á ʊ ɴ
ငါးဥ	ŋ á ʔ ṵ
ငို	ŋ ò
ငူတူတူ	ŋ ù t ù d ù
ငံ	ŋ à ɴ
ငံပြာရည်	ŋ à ɴ b j à j è
ငြာ	ɲ à
ငြိမ်းချမ်းရေး	ɲ é ɪ ɴ d͡ʑ á ɴ j é
ငွေ	ŋ w è
ငွေကြေး	ŋ w è t͡ɕ é
ငွေသား	ŋ w è ð á
ငွေ့ငွေ့	ŋ w ḛ ŋ w ḛ
ငှက်	ŋ̊ ɛ ʔ
ငှက်ဆိုး	ŋ̊ ɛ ʔ sʰ ó
ငှက်ပျော	ŋ ə p j ɔ́
ငှက်ပျောပေါင်း	ŋ̊ ə b j ɔ́ b á ʊ ɴ
ငှက်ဖျား	ŋ̊ ɛ ʔ pʰ j á
ငှါး	ŋ̊ á
ငှား	ŋ̊ á
စ	s a̰
စကတ်	s ə k a ʔ
စကား	z ə ɡ á
စကားထာ	z ə ɡ ə tʰ à
စကားပုံ	z ə ɡ ə b ò ʊ ɴ
စကားပြန်	z ə ɡ ə b j à ɴ
စကားပြောကြေးနန်း	z ə ɡ á b j ɔ́ t͡ɕ é n á ɴ
စကားလုံး	z ə ɡ ə l ó ʊ ɴ
စကားဝှက်	z ə ɡ ə ʍ ɛ ʔ
စက္ကန့်	s ɛ ʔ k a̰ ɴ
စက္ကရီတေရီ	s ɛ ʔ k ə ɹ ì t è j ì
စက္ကူ	s ɛ ʔ k ù
စက်	s ɛ ʔ
စက်ခေါင်း	s ɛ ʔ ɡ á ʊ ɴ
စက်ဆုပ်	s ɛ ʔ sʰ o ʊ ʔ
စက်တင်ဘာ	s ɛ ʔ t ɪ̀ ɴ b à
စက်ဘီး	s ɛ ʔ b é ɪ ɴ
စက်ရုပ်	s ɛ ʔ j o ʊ ʔ
စက်ရုံ	s ɛ ʔ j ò ʊ ɴ
စက်လှေကား	s ɛ ʔ l̥ è ɡ á
စက်သုံးဆီဆိုင်	s ɛ ʔ θ ó ʊ ɴ sʰ ì sʰ à ɪ ɴ
စက်သေနတ်	s ɛ ʔ θ ə n a ʔ
စကြဝဠာ	s ɛ ʔ t͡ɕ à w ə l à
စကြာ	s ɛ ʔ t͡ɕ à
စကြာဝဠာဗေဒ	s ɛ ʔ t͡ɕ à w ə l à b è d a̰
စခန်း	s ə kʰ á ɴ
စင်	s ɪ̀ ɴ
စင်ကာပူ	s ɪ̀ ɴ ɡ ə p ù
စင်စင်	s ɪ̀ ɴ z ɪ̀ ɴ
စင်း	s ɪ́ ɴ
စင်္ကာပူ	s ɪ̀ ɴ ɡ ə p ù
စင်္ကြံ	z ɪ́ ɴ d͡ʑ à ɴ
စစ်	s ɪ ʔ
စစ်ကိုင်း	z ə ɡ á ɪ ɴ
စစ်ကဲ	s ɪ ʔ k ɛ́
စစ်တပ်	s ɪ ʔ t a ʔ
စစ်တုရင်	s ɪ ʔ b ə j ɪ̀ ɴ
စစ်တွေ	s ɪ ʔ t w è
စစ်ဗိုလ်	s ɪ ʔ b ò
စစ်သား	s ɪ ʔ θ á
စဉ်းစား	s ɪ́ ɴ z á
စည်	s ì
စည်ပိုင်း	s ì b á ɪ ɴ
စည်း	s í
စည်းပုံ	s í b ò ʊ ɴ
စတိုး	s ə t ó
စတု	z ə t ṵ
စတုဂံ	s ə t ṵ ɡ à ɴ
စတုတ္ထ	z ə d o ʊ ʔ tʰ a̰
စတုဒိသာ	s ə t ṵ d ḭ θ à
စတုရန်း	s ə t ṵ j á ɴ
စတေဒီယံ	s ə t è d ì j à ɴ
စနစ်	s ə n ɪ ʔ
စနေ	s ə n è
စန္ဒရား	s à ɴ d ə j á
စန္ဒာ	s à ɴ d à
စန္ဒီ	s à ɴ d ì
စန္ဒြမာသ	s à ɴ d ɹ a̰ m à θ a̰
စန္ဒြာ	s à ɴ d ɹ à
စန်း	s á ɴ
စပါး	z ə b á
စပါးလင်	z ə b ə l ɪ̀ ɴ
စပိန်	s ə p è ɪ ɴ
စပ်	s a ʔ
စပျစ်	z ə b j ɪ ʔ
စပျစ်သီး	z ə b j ɪ ʔ θ í
စပွတ်နစ်	s ə p ʊ ʔ n ɪ ʔ
စမူဆာ	s ə m ù z à
စမူဆာသုပ်	s ə m ù z à θ o ʊ ʔ
စမ်း	s á ɴ
စရိုက်	z ə j a ɪ ʔ
စလုံး	s a̰ l ó ʊ ɴ
စလွယ်	s ə l w è
စအို	s ə ʔ ò
စာ	s à
စာကိုယ်	s à ɡ ò
စာကြည့်တိုက်	s à t͡ɕ ḭ d a ɪ ʔ
စာချုပ်	s ə t͡ɕʰ o ʊ ʔ
စာစောင်	s à z à ʊ ɴ
စာဆို	s à z ò
စာတိုက်	s à d a ɪ ʔ
စာပို့	s à p o̰
စာပို့	s à b o̰
စာပေ	s à p è
စာဖတ်	s à pʰ a ʔ
စာမရီ	s à m a̰ j ì
စာမေးပွဲ	s à m é b w ɛ́
စာမျက်နှာ	s à m j ɛ ʔ n̥ à
စာရင်း	s ə j ɪ́ ɴ
စာရင်းကိုင်	s ə j ɪ́ ɴ ɡ à ɪ ɴ
စာရင်းကိုင်ပညာ	s ə j ɪ́ ɴ ɡ à ɪ ɴ p j ɪ̀ ɴ ɲ à
စာရေး	s ə j é
စာရေးဆရာ	s à j é sʰ ə j à
စာရွက်စာတမ်း	s à j w ɛ ʔ s à d á ɴ
စာလုံးပေါင်းသတ်ပုံ	s ə l ó ʊ ɴ b á ʊ ɴ θ a ʔ p ò ʊ ɴ
စာသင်ခန်း	s à θ ɪ̀ ɴ ɡ á ɴ
စာသား	s à ð á
စာအိတ်	s à ʔ e ɪ ʔ
စာအုပ်	s à ʔ o ʊ ʔ
စာအုပ်ဆိုင်	s à ʔ o ʊ ʔ sʰ à ɪ ɴ
စား	s á
စားချဉ့်ပြန်	s ə t͡ɕʰ ɪ̰ ɴ p j à ɴ
စားစရာ	s á z ə j à
စားတော်ဆက်	s á d ɔ̀ sʰ ɛ ʔ
စားတော်ဆက်	s á d ɔ̀ z ɛ ʔ
စားပြီးပြီလား	s á p í b ì l á
စားပွဲ	z ə b w ɛ́
စားပွဲ	s á b w ɛ́
စားပွဲထိုး	z á b w ɛ́ d ó
စားဖို	s ə pʰ ò
စားဖိုဆောင်	s ə pʰ ò z à ʊ ɴ
စားသောက်ဆိုင်	s á θ a ʊ ʔ sʰ à ɪ ɴ
စိတ္တဗေဒ	s e ɪ ʔ t a̰ b è d a̰
စိတ်	s e ɪ ʔ
စိတ်ဆိုး	s e ɪ ʔ sʰ ó
စိတ်ဓာတ်	s e ɪ ʔ d à t
စိတ်ပညာ	s e ɪ ʔ p j ɪ̀ ɴ ɲ à
စိတ်မှတ်	s e ɪ ʔ m̥ a ʔ
စိတ်ရောဂါ	s e ɪ ʔ j ɔ́ ɡ à
စိန်	s è ɪ ɴ
စိန်ဖြူ	s è ɪ ɴ pʰ j ù
စိမ့်	s ḛ ɪ ɴ
စိမ်း	s é ɪ ɴ
စိမ်းစားဥ	s é ɪ ɴ z á ʔ ṵ
စို	s ò
စိုက်	s a ɪ ʔ
စိုက်ပျိုးရေး	s a ɪ ʔ p j ó j é
စိုင်း	s á ɪ ɴ
စိုထိုင်း	s ò tʰ á ɪ ɴ
စီဒီ	s ì d ì
စီး	s í
စီး	s í
စီး	s í
စီးကရက်	s í k ə ɹ ɛ ʔ
စီးကလိပ်	s í k ə l e ɪ ʔ
စီးနင်း	s í n ɪ́ ɴ
စီးပွား	s í b w á
စီးပွားရေး	s í b w á j é
စီးပွားရေးသမား	s í b w á j é ð ə m á
စုတ်	s o ʊ ʔ
စုန်း	s ó ʊ ɴ
စုပ်	s o ʊ ʔ
စုပ်စုပ်	s o ʊ ʔ s o ʊ ʔ
စုလျား	s ṵ j á
စုံစမ်း	s ò ʊ ɴ z á ɴ
စုံဖက်	s ò ʊ ɴ pʰ ɛ ʔ
စူပါမားကတ်	s ù p ə m á k a ʔ
စူးစူး	s ú z ú
စေတနာ	s è d ə n à
စေတနာရှင်	s è d ə n à ʃ ɪ̀ ɴ
စေတီ	z è d ì
စော	s ɔ́
စောက်	s a ʊ ʔ
စောင့်	s a̰ ʊ ɴ
စောင်	s à ʊ ɴ
စောင်း	s á ʊ ɴ
စောင်းလျား	z á ʊ ɴ j á
စောစော	s ɔ́ z ɔ́
စောပြာ	s ɔ́ b j à
စော်ဘွား	s ɔ̀ b w á
စေ့စပ်	s ḛ z a ʔ
စံပယ်	z ə b ɛ̀
စွင့်	s w ɪ̰ ɴ
စွတ်စွတ်နာ	s ʊ ʔ s ʊ ʔ n à
စွတ်ဖါး	s ʊ ʔ pʰ á
စွန်	s ʊ̀ ɴ
စွန်ကုပ်	s ʊ̀ ɴ ɡ o ʊ ʔ
စွပ်	s ʊ ʔ
စွပ်ပြုတ်	s ʊ ʔ p j o ʊ ʔ
စွမ်း	s w á ɴ
စွမ်းအင်	s w á ɴ ʔ ɪ̀ ɴ
စွယ်	s w ɛ̀
စွေ့စွေ့	s w ḛ z w ḛ
ဆက္ကဂံ	sʰ ɛ ʔ k ə ɡ à ɴ
ဆက်	sʰ ɛ ʔ
ဆက်ဆံ	sʰ ɛ ʔ sʰ à ɴ
ဆက်သွယ်ရေး	sʰ ɛ ʔ θ w ɛ̀ j é
ဆင့်	sʰ ɪ̰ ɴ
ဆင်	sʰ ɪ̀ ɴ
ဆင်ခြေထောက်ရောဂါ	sʰ ɪ̀ ɴ t͡ɕʰ è d a ʊ ʔ j ɔ́ ɡ à
ဆင်စွယ်	sʰ ɪ̀ ɴ z w ɛ̀
ဆင်ဝင်	sʰ ɪ̀ ɴ w ɪ̀ ɴ
ဆင်း	sʰ ɪ́ ɴ
ဆင်းရဲ	sʰ ɪ́ ɴ j ɛ́
ဆစ်ဒနီ	sʰ ɪ ʔ d ə n ì
ဆဋ္ဌမ	sʰ a ʔ tʰ ə m a̰
ဆန္ဒ	sʰ à ɴ d a̰
ဆန္ဒပြပွဲ	sʰ à ɴ d a̰ p j a̰ b w ɛ́
ဆန်	sʰ à ɴ
ဆန်ခါ	z ə ɡ à
ဆန်ပြုတ်	sʰ à ɴ b j o ʊ ʔ
ဆန်မာရီနို	sʰ à ɴ m à ɹ ì n ò
ဆန်း	sʰ á ɴ
ဆန်းဒဝစ်	sʰ á ɴ d ə w ɪ ʔ
ဆနွင်းမကင်း	sʰ ə n w ɪ́ ɴ m ə k ɪ́ ɴ
ဆပ္ပတ်	sʰ a ʔ p a ʔ
ဆပ်	sʰ a ʔ
ဆပ်ကပ်	sʰ a ʔ k a ʔ
ဆပ်ပြာ	sʰ a ʔ p j à
ဆပ်သွားဖူး	sʰ a ʔ θ w á pʰ ú
ဆယ့်တစ်	sʰ ɛ̰ t ɪ ʔ
ဆယ့်နှစ်	sʰ ɛ̰ n̥ ɪ ʔ
ဆယ့်နှစ်ရာသီ	sʰ ɛ̰ n̥ ə j à θ ì
ဆယ်	sʰ ɛ̀
ဆရာ	sʰ ə j à
ဆရာတော်	sʰ ə j à d ɔ̀
ဆရာမ	sʰ ə j à m a̰
ဆရာလေး	sʰ ə j à l é
ဆရာဝန်	sʰ a̰ j à w ʊ̀ ɴ
ဆရာသမား	sʰ a̰ j à θ ə m á
ဆလတ်	sʰ ə l a ʔ
ဆလဗ	sʰ ə l a̰ b a̰
ဆလိမ်	sʰ a̰ l è ɪ ɴ
ဆလိုင်း	sʰ ə l á ɪ ɴ
ဆလိုဗားကီးယား	sʰ ə l ò b á k í j á
ဆလိုဗေးနီးယား	sʰ ə l ò b é n í j á
ဆာ	sʰ à
ဆာဂျင်	sʰ à d͡ʑ ɪ̀ ɴ
ဆာမူရိုင်း	sʰ à m ù ɹ á ɪ ɴ
ဆာယာ	sʰ à j à
ဆာရီ	sʰ à ɹ ì
ဆား	sʰ á
ဆားဘီးယား	sʰ á b í j á
ဆိတ်	sʰ e ɪ ʔ
ဆိတ်ကုလား	sʰ e ɪ ʔ k ə l á
ဆိတ်ချေး	sʰ e ɪ ʔ t͡ɕʰ í
ဆိတ်ထီး	sʰ e ɪ ʔ tʰ í
ဆိတ်မ	sʰ e ɪ ʔ m a̰
ဆိပ်	sʰ e ɪ ʔ
ဆိပ်ကမ်း	sʰ e ɪ ʔ k á ɴ
ဆို	sʰ ò
ဆိုကရေးတီး	sʰ ò k ə ɹ é t í
ဆိုကရေးတီး	sʰ ò k a̰ j é t í
ဆိုက်	sʰ a ɪ ʔ
ဆိုက်ကား	sʰ a ɪ ʔ k á
ဆိုက်ပရပ်စ်	sʰ a ɪ ʔ p ə ɹ a ʔ s
ဆိုက်ဘေးရီးယား	sʰ a ɪ ʔ b é ɹ í j á
ဆိုင်	sʰ à ɪ ɴ
ဆိုင်း	sʰ á ɪ ɴ
ဆိုင်းထိုး	sʰ á ɪ ɴ tʰ ó
ဆိုင်းဘုတ်	sʰ á ɪ ɴ b o ʊ ʔ
ဆိုင်းဝိုင်း	sʰ á ɪ ɴ w á ɪ ɴ
ဆိုထုံး	sʰ ò d ó ʊ ɴ
ဆိုဒီယမ်	sʰ ò d ì j à ɴ
ဆိုဖာ	sʰ ò pʰ à
ဆိုဗီယက်	sʰ ò b ì j ɛ ʔ
ဆိုမာလီယာ	sʰ ò m à l ì j à
ဆိုး	sʰ ó
ဆီ	sʰ ì
ဆီချက်	sʰ ì d͡ʑ ɛ ʔ
ဆီချက်ခေါက်ဆွဲ	sʰ ì d͡ʑ ɛ ʔ kʰ a ʊ ʔ sʰ w ɛ́
ဆီထမင်း	sʰ ì tʰ ə m ɪ́ ɴ
ဆီနီဂေါ	sʰ ì n ì ɡ ɔ́
ဆီပြန်	sʰ ì b j à ɴ
ဆီယူ	sʰ ì j ù
ဆီရာလီယွန်	sʰ ì ɹ à l ì j ʊ̀ ɴ
ဆီး	sʰ í
ဆီးချို	sʰ í d͡ʑ ò
ဆီးချုပ်ရောဂါ	sʰ í d͡ʑ o ʊ ʔ j ɔ́ ɡ à
ဆီးပူညောင်းကျ	sʰ í p ù ɲ á ʊ ɴ t͡ɕ a̰
ဆီးဖြူ	z í b j ù
ဆီးရီးယား	sʰ í ɹ í j á
ဆီးအောင့်ရောဂါ	sʰ í ʔ a̰ ʊ ɴ j ɔ́ ɡ à
ဆု	sʰ ṵ
ဆုံး	sʰ ó ʊ ɴ
ဆူ	sʰ ù
ဆူဒန်	sʰ ù d à ɴ
ဆူရာနမ်	sʰ ù ɹ à n à ɴ
ဆူရှီ	sʰ ù ʃ ì
ဆူး	sʰ ú
ဆူးပုပ်	sʰ ú b o ʊ ʔ
ဆောက်	sʰ a ʊ ʔ
ဆောင်	sʰ à ʊ ɴ
ဆောင်ပုဒ်	sʰ à ʊ ɴ b o ʊ ʔ
ဆောင်း	sʰ á ʊ ɴ
ဆောင်းပါး	sʰ á ʊ ɴ b á
ဆောင်းဦး	sʰ á ʊ ɴ ʔ ú
ဆောရီး	sʰ ɔ́ ɹ í
ဆော့	sʰ ɔ̰
ဆော့ဖ်ဝဲလ်	sʰ a ʊ ʔ w ɛ́
ဆော်ဒီအာရေဗ္ယ	sʰ ɔ̀ d ì ʔ à ɹ è b j a̰
ဆေး	sʰ é
ဆေးခန်း	sʰ é kʰ á ɴ
ဆေးခြောက်	sʰ é d͡ʑ a ʊ ʔ
ဆေးဆိုင်	sʰ é z à ɪ ɴ
ဆေးတံ	sʰ é d à ɴ
ဆေးပေါ့လိပ်	sʰ é b ɔ̰ l e ɪ ʔ
ဆေးပြင်းလိပ်	sʰ é b j ɪ́ ɴ l e ɪ ʔ
ဆေးဘဲဥ	sʰ é b ɛ́ ʔ ṵ
ဆေးရုံ	sʰ é j ò ʊ ɴ
ဆေးရှဲ	sʰ é ʃ ɛ́
ဆေးလုံး	sʰ é l ó ʊ ɴ
ဆံ	sʰ à ɴ
ဆံတော်ချ	sʰ à ɴ t ɔ̀ t͡ɕʰ a̰
ဆံပင်	z ə b ɪ̀ ɴ
ဆံပင်တု	z ə b ɪ̀ ɴ d ṵ
ဆွစ်ဇာလန်	sʰ w ɪ ʔ z ə l à ɴ
ဆွဆွ	sʰ w a̰ z w a̰
ဆွပ်	sʰ ʊ ʔ
ဆွမ်း	sʰ ʊ́ ɴ
ဆွမ်းမွှေး	sʰ ʊ́ ɴ m̥ w é
ဆွမ်းအုပ်	sʰ ʊ́ ɴ ʔ o ʊ ʔ
ဆွယ်တာ	sʰ w ɛ̀ t à
ဆွာဇီလန်	sʰ w à z ì l à ɴ
ဆွီဒင်	sʰ w ì d ɪ̀ ɴ
ဆွေခုနစ်ဆက်မျိုးခုနစ်ဆက်	sʰ w è kʰ ə n ə z ɛ ʔ m j ó kʰ ə n ə z ɛ ʔ
ဆွဲ	sʰ w ɛ́
ဇကွဲ	z a̰ ɡ w ɛ́
ဇင့်ခ်	z ɪ̰ ɴ
ဇင်ဘာဘွေ	z ɪ̀ ɴ b à b w è
ဇင်းမယ်	z ɪ́ ɴ m ɛ̀
ဇင်္ဂမဥစ္စာ	z ɪ̀ ɴ ɡ ə m a̰ ʔ o ʊ ʔ s à
ဇစ်	z ɪ ʔ
ဇနပုဒ်	z ə n ə p o ʊ ʔ
ဇနီး	z ə n í
ဇန်နဝါရီ	z à ɴ n ə w à ɹ ì
ဇမ်ဘီယာ	z à ɴ b ì j à
ဇယ	z ə j a̰
ဇယား	z ə j á
ဇရပ်	z ə j a ʔ
ဇလဗေဒ	z ə l a̰ b è d a̰
ဇာ	z à
ဇာဂနာ	z à ɡ ə n à
ဇာတိ	z à t ḭ
ဇာတ်	z a ʔ
ဇာတ်ကား	z a ʔ k á
ဇာတ်ကြီးဆယ်ဘွဲ့	z à t d͡ʑ í sʰ ɛ̀ b w ɛ̰
ဇာတ်ခုံ	z a ʔ kʰ ò ʊ ɴ
ဇာတ်ဆောင်	z a ʔ sʰ à ʊ ɴ
ဇာတ်ညွှန်း	z à t ɲ̊ ʊ́ ɴ
ဇာတ်တော်	z à t
ဇာတ်ရုံ	z a ʔ j ò ʊ ɴ
ဇာနည်	z à n ì
ဇိန	z ḭ n a̰
ဇိမ်မယ်	z è ɪ ɴ m ɛ̀
ဇီဝ	z ì w a̰
ဇီဝကမ္မဗေဒ	z ì w a̰ k à ɴ m a̰ b è d a̰
ဇီဝစက်	z ì w a̰ s ɛ ʔ
ဇီဝဓာတုဗေဒ	z ì w a̰ d à t ṵ b è d a̰
