abhag	a f a k
sgimilearachd	s kʲ i m i l ə ɾ ə x k
sgiomalaireachd	s kʲ i m i ɫ ə ɾʲ ə x k
sgoilear	s̪ k ɔ l ɛ ɾ
sgrùdaich	s ɡ r uː d ɪ ç
shalach	h a ɫ̪ ə x
shean	h ɛ n
sheòladh	h j ɔː ɫ̪ ə ɣ
shìl	h iː l
shiùcair	h j uː x k ɪ ɾʲ
shoilleir	h ɤ ʎ ɪ ɾʲ
sìl	ʃ iː l
sìle	ʃ iː lʲ ə
sine	ʃ i n ə
sìne	ʃ iː nʲ ə
sìneag	ʃ iː nʲ a k
sinn	ʃ i ɲ
sionnach	ʃ u n̪ˠ ə x
siubhal	ʃ u ə ɫ̪
siùcair	ʃ uː x k ɪ ɾʲ
siùcar	ʃ uː x k ə r
siùrsach	ʃ uː ɾ s̪ ə x
slàinte	s l aː n t͡ʃ ə
sleagh	ʃ ʎ ɤ ɣ
sleamhainn	ʃ ʎ ɛ̃ v ɪ ɲ
sleamhainn	ʃ ʎ ɛ̃ ũ̯ ɪ ɲ
sloc	s ɫ̪ ɔ x k
slòighre	s̪ ɫ̪ ɤ i ɾʲ ə
smid	s m i tʲ
snaidhm	s̪ n a i m
snas	s̪ n̪ˠ a s̪
snàthad	s̪ n aː h ə t̪
soilleir	s ɤ ʎ ɪ ɾʲ
sorcha	s̪ ɔ ɾ ɔ x ə
sorcha	s̪ ɔ ɾ ɔ x ə
sponsair	s b ɔ n s ɛ rʲ
sponsairich	s b ɔ n s ɛ rʲ ɪ ç
sporan	s p ɔ r a n
sràc	s̪ t̪ ɾ aːʰ k
sràid	s r ɑː t͡ʃ
srath	s̪ t̪ ɾ a
sreap	s t r ɛ h p
sròn	s̪ t̪ ɾ ɔː n
stais	s d a ʃ
strì	s̪ t̪ ɾ iː
suidhe	s̪ ɯ i ə
sùil	s̪ uː l
suirghe	s̪ ɯ ɾʲ ɯ j ə
sunndach	s̪ uː n̪ˠ t̪ˠ ə x
sùnndach	s̪ uː n̪ˠ t̪ˠ ə x
t	t iː
tachd	t a x ɡ
tagair	tʰ a k ɪ rʲ
tagh	tʰ ɤ ɣ
taghairm	t ɤ ɾʲ ɤ m
taigh	tʰ ɤ j
taisteal	t̪ʰ a ʃ tʲ ə l̪ˠ
taobh	t̪ʰ ɯː v
tasdan	t̪ʰ a s̪ t̪ a n
teachd	tʲ ɛ x ɡ
teaghlach	t ʃʰ ɤː ɫ̪ ə x
teanga	tʰʲ ɛ ŋ ɡ ə
teannta	t̪ ʃʰ a u n̪ˠ t̪ʰ ə
teine	tʰʲ e n ə
teth	t ʃʰ e h
tha	h a
tha	h aː
thaigh	h ɤ j
thàinig	h aː n ɪ kʲ
theaghlach	h j ɤː ɫ̪ ə x
their	h eː r
thig	h i kʲ
thinn	h iː ɲ
thiugh	h j u
thòn	h ɔː n
thu	h u
thu	u
tighearna	t͡ʃ i a r n ə
tilg	t ʃʰ i l i kʲ
till	tʰʲ iː ʎ
tìm	tʰʲ iː m
tinn	tʲ ĩː ɲ
tinneas	tʰʲ i ɲ ə s̪
tiodhlaic	tʰʲ i ə ɫ̪ ɪʰ kʰʲ
tioram	t ʃʰ i ɾ ə m
tiugh	tʰʲ u
tobar	t̪ʰ o p ə ɾ
togair	t o ɡ ɪ rʲ
toil	t̪ʰ ɔ l
toinn	tʰ ɤ i ɲ
tolltach	t̪ʰ ɔ u ɫ̪ t̪ʰ ə x
tom	t̪ʰ ɔ u m
tòn	tʰ ɔː n
tòrr	t̪ʰ ɔː rˠ
treun	t̪ʰ ɾʲ eː n
troich	t r ɔ ç
truime	t̪ʰ ɾ ɯ m j ə
tu	t̪ u
tuagh	t̪ʰ u ə ɣ
tuath	t̪ʰ u ə
tuilleadh	t̪ʰ ɯ ʎ ə ɣ
tuit	t̪ʰ uʰ tʰʲ
tumadh	t̪ʰ u m ə ɣ
turas	t̪ʰ u ɾ ə s̪
uachdaran	u ə x k ə r ə n
uaine	u ə ɲ ə
uan	u ə n
uathachas	u ə h ə x ə s
ugan	u k a n
ugh	u
uicipeid	u ç kʲ ɪ p e tʲ
uill	w i l
uill	w ɛ l
uill	w ə l
uilleam	ɯ ʎ ə m
ùire	uː ɾʲ ə
uiseag	ɪ ʃʲ a k
uiseag	ɯ ʃ a k
uisge	ɯ ʃ kʲ ə
ùna	uː n ə
urras	u rˠ ə s̪
