а	a
наумити	n a ǔ m i t i
научити	n a ǔ t ʃ i t i
навијач	n a ʋ ǐ j aː t ʃ
небески	n e b ě s k iː
недељив	n e d ě ʎ i ʋ
некроза	n e k r ǒː z a
непушач	n e p ǔ ʃ aː t ʃ
непажња	n e p ǎ ʒ ɲ a
непалац	n e p ǎː l a t s
нерешив	n e r ě ʃ i ʋ
неуроза	n e u r ǒː z a
незнање	n e z n ǎː ɲ e
ниједан	n i j ě d a n
нијанса	n i j ǎ n s a
нијесмо	n i j ě s m o
нијесте	n i j ě s t e
нијесмо	n i j ěː s m o
нијесте	n i j ěː s t e
никотин	n i k ǒ t iː n
нирвана	n i r ʋ ǎ n a
нијемац	n j ěː m a t s
нудизам	n u d ǐ z a m
надесно	n â d e s n o
надница	n â d n i t s a
најезда	n â j e z d a
наковањ	n â k o ʋ a ɲ
накриво	n â k r iː ʋ o
наоколо	n â o k o l o
наопако	n â o p aː k o
наочаре	n â o t ʃ aː r e
нападај	n â p a d aː j
напамет	n â p a m eː t
напокон	n â p o k o n
наслепо	n â s l eː p o
натечај	n â t e t ʃ aː j
начитан	n â t ʃ i t aː n
навечер	n â ʋ e t ʃ eː r
наговор	n â ɡ o ʋ oː r
навреме	n â ʋ r eː m e
наклада	n âː k l a d a
накнада	n âː k n a d a
намјера	n âː m j e r a
наплата	n âː p l a t a
направа	n âː p r a ʋ a
наслага	n âː s l a ɡ a
награда	n âː ɡ r a d a
небитан	n ê b iː t a n
небодер	n ê b o d eː r
недаван	n ê d aː ʋ a n
недавно	n ê d aː ʋ n o
недужан	n ê d uː ʒ a n
недужно	n ê d uː ʒ n o
некакав	n ê k a k aː ʋ
некидан	n ê k i d aː n
немаран	n ê m aː r a n
немарно	n ê m aː r n o
немиран	n ê m iː r a n
немирно	n ê m iː r n o
неморал	n ê m o r aː l
немоћан	n ê m o t ɕ a n
немоћно	n ê m o t ɕ n o
немогућ	n ê m o ɡ uː t ɕ
ненадан	n ê n aː d a n
непаран	n ê p aː r a n
неретко	n ê r eː t k o
несклад	n ê s k l a d
несвест	n ê s ʋ eː s t
нетачан	n ê t a t ʃ a n
нетопир	n ê t o p iː r
нечасно	n ê t ʃ a s n o
нећачки	n ê t ɕ aː t ʃ k i
нећачки	n ê t ɕ aː t ʃ k iː
нечитак	n ê t ʃ i t a k
нечујан	n ê t ʃ uː j a n
неуспео	n ê u s p e o
неуспех	n ê u s p e x
неуспио	n ê u s p i o
нехуман	n ê x u m aː n
неважан	n ê ʋ aː ʒ a n
неверан	n ê ʋ e r a n
нежност	n ê ʒ n oː s t
невреме	n ê ʋ r eː m e
никакав	n î k a k aː ʋ
никнути	n î k n u t i
нискост	n î s k oː s t
низанка	n î z aː n k a
низбрдо	n î z b r d o
носорог	n ô s o r o ɡ
ноздрва	n ô z d r ʋ a
новинар	n ô ʋ i n aː r
ногомет	n ô ɡ o m eː t
нуклеус	n û k l e u s
нузгред	n û z ɡ r eː d
нужност	n û ʒ n oː s t
набости	n ǎ b o s t i
набрати	n ǎ b r a t i
набусит	n ǎ b u s i t
надарен	n ǎ d aː r e n
недељни	n ě d eː ʎ n iː
недјеља	n ě d j e ʎ a
надвити	n ǎ d ʋ i t i
надвође	n ǎ d ʋ oː d͡ʑ e
нејасан	n ě j a s a n
нејасно	n ě j a s n o
најести	n ǎ j e s t i
немачка	n ě m a t ʃ k aː
немачки	n ě m a t ʃ k i
немачки	n ě m a t ʃ k iː
намлети	n ǎ m l e t i
намљети	n ǎ m ʎ e t i
напасти	n ǎ p a s t i
неписан	n ě p iː s aː n
напрема	n ǎ p r e m a
наранџа	n ǎ r aː n d ʒ a
неретва	n ě r eː t ʋ a
нерешен	n ě r eː ʃ e n
неродан	n ě r o d a n
нерођен	n ě r o d͡ʑ e n
насељен	n ǎ s e ʎ e n
носилац	n ǒ s i l a t s
неслога	n ě s l o ɡ a
наспати	n ǎ s p a t i
несрећа	n ě s r e t͡ɕ a
настати	n ǎ s t a t i
нестати	n ě s t a t i
настран	n ǎ s t r a n
насумце	n ǎ s u m t s eː
несуђен	n ě s uː d ʑ e n
натални	n ǎ t aː l n iː
ноторан	n ǒ t oː r a n
ноторно	n ǒ t oː r n o
ноћашњи	n ǒ t ɕ a ʃ ɲ iː
наудити	n ǎ u d i t i
неукост	n ě u k oː s t
научник	n ǎ u t ʃ n iː k
назадан	n ǎ z a d a n
назални	n ǎ z aː l n iː
нездрав	n ě z d r a ʋ
назвати	n ǎ z ʋ a t i
незгода	n ě z ɡ o d a
негатор	n ě ɡ aː t o r
невелик	n ě ʋ e l i k
неверно	n ě ʋ e r n o
невеста	n ě ʋ e s t a
навести	n ǎ ʋ e s t i
нежељен	n ě ʒ e ʎ e n
навести	n ǎ ʋ eː s t i
невјера	n ě ʋ j e r a
невјешт	n ě ʋ j e ʃ t
нагнути	n ǎ ɡ n u t i
новчани	n ǒ ʋ t ʃ a n iː
новчано	n ǒ ʋ t ʃ a n o
набожан	n ǎː b o ʒ a n
набожно	n ǎː b o ʒ n o
надимак	n ǎː d i m a k
најамни	n ǎː j a m n iː
наказан	n ǎː k a z a n
намеран	n ǎː m e r a n
намерно	n ǎː m e r n o
нападан	n ǎː p a d a n
нападно	n ǎː p a d n o
напитак	n ǎː p i t a k
напоран	n ǎː p oː r a n
напорно	n ǎː p oː r n o
наравно	n ǎː r a ʋ n o
наредба	n ǎː r e d b a
наредни	n ǎː r e d n iː
наречје	n ǎː r e t ʃ j e
народни	n ǎː r o d n iː
нарочит	n ǎː r o t ʃ i t
наруџба	n ǎː r u d ʒ b a
наручје	n ǎː r uː t ʃ j e
насилан	n ǎː s i l a n
насилно	n ǎː s i l n o
наслеђе	n ǎː s l eː d ʑ e
насљеђе	n ǎː s ʎ eː d ʑ e
нагодба	n ǎː ɡ o d b a
наводни	n ǎː ʋ o d n iː
наводно	n ǎː ʋ o d n o
обећање	o b e t ɕ ǎː ɲ e
обрадив	o b r ǎ d i ʋ
обадати	o b ǎ d a t i
обојити	o b ǒ j i t i
обојица	o b ǒ j i t s a
обелиск	o b ě l i s k
оборити	o b ǒ r i t i
обасути	o b ǎ s uː t i
обучити	o b ǔ t ʃ i t i
обећати	o b ě t͡ɕ a t i
обузети	o b ǔ z eː t i
обавити	o b ǎ ʋ i t i
обадати	o b ǎː d a t i
обијати	o b ǐː j a t i
обрнути	o b řː n u t i
обарати	o b ǎː r a t i
обувати	o b ǔː ʋ a t i
одбитак	o d b ǐː t a k
одељење	o d e ʎ ěː ɲ e
одисеја	o d i s ěː j a
одијело	o d j ěː l o
одолети	o d ǒ l e t i
одузети	o d ǔ z eː t i
одржати	o d ř ʒ a t i
одољети	o d ǒ ʎ e t i
одвијач	o d ʋ ǐ j aː t͡ʃ
одвојив	o d ʋ ǒ j i ʋ
оделити	o d ěː l i t i
одавати	o d ǎː ʋ a t i
одевати	o d ěː ʋ a t i
ојачати	o j ǎ t ʃ a t i
окарина	o k a r ǐː n a
оклузив	o k l ǔ z iː ʋ
округао	o k r ǔː ɡ a o
октопод	o k t ǒ p oː d
оковати	o k ǒ ʋ a t i
оканити	o k ǎː n i t i
окивати	o k ǐː ʋ a t i
оличење	o l i t͡ʃ ěː ɲ e
олигарх	o l ǐ ɡ a r x
оличити	o l ǐː t ʃ i t i
омамљив	o m ǎ m ʎ i ʋ
омотати	o m ǒ t a t i
омамити	o m ǎː m i t i
ометати	o m ěː t a t i
онолико	o n o l ǐ k oː
онанија	o n ǎ n i j a
оперета	o p e r ě t a
оплодња	o p l ǒ d ɲ a
опонент	o p ǒ n e n t
опипљив	o p ǐ p ʎ i ʋ
опорећи	o p ǒ r e t ɕ i
опасати	o p ǎ s a t i
опатица	o p ǎ t i t s a
опачина	o p ǎ t ʃ i n a
оповрћи	o p ǒ ʋ r t ɕ i
опадати	o p ǎː d a t i
опијати	o p ǐː j a t i
описати	o p ǐː s a t i
опажати	o p ǎː ʒ a t i
ораница	o r ǎ n i t s a
оружати	o r ǔ ʒ a t i
оргазам	o r ɡ ǎ z a m
оснивач	o s n ǐ ʋ aː t ʃ
остатак	o s t ǎː t a k
осетљив	o s ě t ʎ i ʋ
осовина	o s ǒ ʋ i n a
освајач	o s ʋ ǎ j aː t ʃ
освојив	o s ʋ ǒ j i ʋ
осудити	o s ǔː d i t i
осушити	o s ǔː ʃ i t i
откриће	o t k r ǐː t ɕ e
оценити	o t s ěː n i t i
отопити	o t ǒ p i t i
отварач	o t ʋ ǎ r aː t ʃ
очарати	o t ʃ ǎː r a t i
очувати	o t ʃ ǔː ʋ a t i
отуђити	o t ǔː d ʑ i t i
отапати	o t ǎː p a t i
охолити	o x ǒ l i t i
оволико	o ʋ o l ǐ k oː
оштрина	o ʃ t r ǐ n a
оженити	o ʒ ě n i t i
ошишати	o ʃ ǐː ʃ a t i
оживети	o ʒ ǐː ʋ e t i
оживити	o ʒ ǐː ʋ i t i
пакетић	p a k ě t i t ɕ
палатал	p a l ǎ t aː l
пандора	p a n d ǒː r a
пансион	p a n s ǐ oː n
панамац	p a n ǎː m a t s
папагај	p a p ǎ ɡ a j
пароним	p a r ǒ n i m
паритет	p a r ǐ t eː t
паразит	p a r ǎ z iː t
пасажир	p a s ǎ ʒ iː r
патриот	p a t r ǐ o t
патрола	p a t r ǒː l a
пацифик	p a t s ǐ f i k
патолог	p a t ǒ l o ɡ
патуљак	p a t ǔː ʎ a k
пауница	p a ǔ n i t͡s a
паштета	p a ʃ t ěː t a
пашеног	p a ʃ ě n o ɡ
павиљон	p a ʋ ǐ ʎ oː n
пашанац	p a ʃ ǎː n a t͡s
педофил	p e d ǒ f iː l
педесет	p e d ě s eː t
педагог	p e d ǎ ɡ o ɡ
пеликан	p e l ǐ k aː n
пеливан	p e l ǐ ʋ aː n
пенушав	p e n ǔ ʃ a ʋ
перихел	p e r ǐ x e l
пијанац	p i j ǎː n a t s
пијевац	p i j ěː ʋ a t s
пиленце	p i l ěː n t s e
питомац	p i t ǒː m a t s
пјенити	p j ê n i t i
пјесник	p j ê s n iː k
пјевати	p j ê ʋ a t i
пјешице	p j ê ʃ i t s eː
пијесак	p j ěː s a k
пијетао	p j ěː t a o
планина	p l a n i n a
планина	p l a n ǐ n a
планета	p l a n ěː t a
плавоок	p l a ʋ ǒ o k
плерома	p l e r ǒː m a
плакати	p l â k a t i
плакање	p l â k aː ɲ e
планина	p l â n i n a
плазити	p l â z i t i
плашило	p l â ʃ i l o
плашити	p l â ʃ i t i
плански	p l âː n s k i
плански	p l âː n s k iː
пливати	p l î ʋ a t i
пливање	p l î ʋ aː ɲ e
плодина	p l ô d i n a
плочица	p l ô t ʃ i t s a
плочник	p l ô t ʃ n iː k
плодити	p l ǒ d i t i
планути	p l ǎ n u t i
пласман	p l ǎ s m aː n
плеснив	p l ě s n i ʋ
плутати	p l ǔ t a t i
плутача	p l ǔ t a t͡ʃ a
платина	p l ǎ t i n a
платиша	p l ǎ t i ʃ a
платнен	p l ǎ t n e n
плачљив	p l ǎ t ʃ ʎ i ʋ
плишани	p l ǐ ʃ a n iː
пливаћи	p l ǐ ʋ aː t ɕ iː
пловити	p l ǒ ʋ i t i
плавуша	p l ǎ ʋ u ʃ a
плашљив	p l ǎ ʃ ʎ i ʋ
плесати	p l ěː s a t i
платити	p l ǎː t i t i
плаћати	p l ǎː t ɕ a t i
победив	p o b ě d i ʋ
податак	p o d ǎː t a k
полаган	p o l ǎ ɡ aː n
помагач	p o m ǎ ɡ aː t ʃ
поподне	p o p ǒː d n e
порекло	p o r ěː k l o
постола	p o s t ǒ l a
посвема	p o s ʋ ě m a
почетак	p o t ʃ ěː t a k
поорати	p o ǒ r a t i
поетика	p o ě t i k a
погађач	p o ɡ ǎ d ʑ aː t ʃ
повучен	p o ʋ ǔ t ʃ e n
праотац	p r a ǒ t a t͡s
пријећи	p r j êː t ɕ i
пртљага	p r t ʎ ǎː ɡ a
прастар	p r â s t a r
пратити	p r â t i t i
правило	p r â ʋ i l o
правити	p r â ʋ i t i
прашњав	p r â ʃ ɲ a ʋ
празник	p r âː z n iː k
правник	p r âː ʋ n iː k
предаја	p r ê d a j a
предиво	p r ê d iː ʋ o
премало	p r ê m a l o
пренути	p r ê n u t i
препона	p r ê p o n a
престиж	p r ê s t iː ʒ
пресуда	p r ê s u d a
претеча	p r ê t e t ʃ a
презати	p r ê z a t i
превара	p r ê ʋ a r a
превага	p r ê ʋ a ɡ a
превише	p r ê ʋ i ʃ eː
преврат	p r ê ʋ r aː t
прегршт	p r ê ɡ rː ʃ t
прерија	p r êː r i j a
прибран	p r î b r aː n
пријава	p r î j a ʋ a
приказа	p r î k a z a
примена	p r î m e n a
призрен	p r î z r e n
призвук	p r î z ʋ uː k
пригода	p r î ɡ o d a
примеса	p r îː m e s a
причица	p r îː t ʃ i t s a
продаја	p r ô d a j a
промаха	p r ô m a h a
промаја	p r ô m a j a
промена	p r ô m e n a
просјак	p r ô s j aː k
процена	p r ô t s e n a
провала	p r ô ʋ a l a
пружити	p r û ʒ i t i
пребити	p r ě b i t i
прибити	p r ǐ b i t i
пробити	p r ǒ b i t i
проблем	p r ǒ b l eː m
предати	p r ě d a t i
продати	p r ǒ d a t i
префект	p r ě f e k t
префикс	p r ě f i k s
пријати	p r ǐ j a t i
пројект	p r ǒ j e k t
примаћи	p r ǐ m a t ɕ i
промаћи	p r ǒ m a t ɕ i
пронаћи	p r ǒ n aː t ɕ i
пренети	p r ě n eː t i
пронићи	p r ǒ n i t ɕ i
принцип	p r ǐ n t s iː p
принуда	p r ǐ n u d a
препећи	p r ě p e t͡ɕ i
припећи	p r ǐ p e t͡ɕ i
пропити	p r ǒ p i t i
прорећи	p r ǒ r e t ɕ i
пресећи	p r ě s e t ɕ i
присећи	p r ǐ s eː t ɕ i
просити	p r ǒ s i t i
прослов	p r ǒ s l o ʋ
пристег	p r ǐ s t e ɡ
протест	p r ǒ t e s t
претући	p r ě t uː t ɕ i
причљив	p r ǐ t ʃ ʎ i ʋ
процент	p r ǒ t͡s e n t
прихват	p r ǐ x ʋ a t
презент	p r ě z e n t
прегача	p r ě ɡ a t͡ʃ a
прожети	p r ǒ ʒ eː t i
прашина	p r ǎ ʃ i n a
привићи	p r ǐ ʋ i t ɕ i
прогрес	p r ǒ ɡ r e s
привући	p r ǐ ʋ uː t ɕ i
првенац	p r ʋ ěː n a c
пробати	p r ǒː b a t i
придјев	p r ǐː d j e ʋ
предлог	p r ěː d l o ɡ
предмет	p r ěː d m e t
прилика	p r ǐː l i k a
примати	p r ǐː m a t i
примити	p r ǐː m i t i
примјер	p r ǐː m j e r
промјер	p r ǒː m j e r
припјев	p r ǐː p j e ʋ
природа	p r ǐː r o d a
пресјек	p r ěː s j e k
простор	p r ǒː s t o r
преступ	p r ěː s t u p
приступ	p r ǐː s t u p
претити	p r ěː t i t i
процјеп	p r ǒː t s j e p
причест	p r ǐː t ʃ e s t
причати	p r ǐː t͡ʃ a t i
презати	p r ěː z a t i
презент	p r ěː z e n t
пружати	p r ǔː ʒ a t i
преглас	p r ěː ɡ l a s
преглед	p r ěː ɡ l e d
прднути	p r̂ d n u t i
прснути	p r̂ s n u t i
прљавац	p r̂ ʎ a ʋ a t s
психоза	p s i x ǒː z a
псалтир	p s ǎ l t iː r
псовати	p s ǒ ʋ a t i
птичица	p t î t ʃ i t s a
пчелица	p t ʃ ě l i t s a
пчелињи	p t͡ʃ ě l i ɲ iː
пуризам	p u r ǐ z a m
путељак	p u t ěː ʎ a k
пакосно	p â k o s n o
паметан	p â m e t a n
паметно	p â m e t n o
папирус	p â p i r u s
партнер	p â r t n e r
пасиван	p â s iː ʋ a n
пасивно	p â s iː ʋ n o
пасмина	p â s m i n a
паткица	p â t k i t͡s a
патница	p â t n i t s a
патоген	p â t o ɡ eː n
паћеник	p â t͡ɕ e n iː k
паучина	p â u t͡ʃ i n a
павијан	p â ʋ i j aː n
памтити	p âː m t i t i
пепељав	p ê p e ʎ a ʋ
пискати	p î s k a t i
писмено	p î s m e n o
побачај	p ô b a t͡ʃ aː j
побједа	p ô b j e d a
поближе	p ô b l i ʒ eː
побожан	p ô b o ʒ a n
подесан	p ô d e s a n
подјела	p ô d j e l a
подобан	p ô d o b a n
подсмех	p ô d s m eː x
подвала	p ô d ʋ a l a
покоран	p ô k oː r a n
покорно	p ô k oː r n o
покушај	p ô k u ʃ aː j
помодан	p ô m oː d a n
понован	p ô n oː ʋ a n
поновно	p ô n oː ʋ n o
поплава	p ô p l a ʋ a
попреко	p ô p r eː k o
поротни	p ô r o t n iː
порозан	p ô r oː z a n
посјета	p ô s j e t a
послуга	p ô s l u ɡ a
поспано	p ô s p aː n o
постаја	p ô s t a j a
постеља	p ô s t e ʎ a
посвета	p ô s ʋ e t a
потанко	p ô t a n k o
потајан	p ô t aː j a n
потјера	p ô t j e r a
потпора	p ô t p o r a
потрага	p ô t r a ɡ a
потреба	p ô t r e b a
потврда	p ô t ʋ r d a
похлепа	p ô x l e p a
похотан	p ô x o t a n
похотно	p ô x o t n o
похвала	p ô x ʋ a l a
поздрав	p ô z d r aː ʋ
пожељан	p ô ʒ eː ʎ a n
повисок	p ô ʋ i s o k
погодан	p ô ɡ o d a n
поговор	p ô ɡ o ʋ oː r
повољан	p ô ʋ oː ʎ a n
повољно	p ô ʋ oː ʎ n o
повреда	p ô ʋ r e d a
поштеда	p ô ʃ t e d a
погубан	p ô ɡ uː b a n
пожудан	p ô ʒ uː d a n
пукнути	p û k n u t i
пунашан	p û n aː ʃ a n
пуномоћ	p û n o m oː t͡ɕ
путопис	p û t o p iː s
путница	p ûː t n i t s a
побјећи	p ǒ b j e t ɕ i
публика	p ǔ b l i k a
побости	p ǒ b o s t i
поданик	p ǒ d a n iː k
прдјети	p ř d j e t i
пудлица	p ǔ d l i t s a
поднети	p ǒ d n eː t i
подршка	p ǒ d r ʃ k a
поезија	p ǒ eː z i j a
поимати	p ǒ i m a t i
пијанка	p ǐ j aː n k a
појести	p ǒ j e s t i
појмљив	p ǒ j m ʎ i ʋ
пркосан	p ř k o s a n
пркосно	p ř k o s n o
покрити	p ǒ k r i t i
полазак	p ǒ l a z a k
паланка	p ǎ l aː n k a
палента	p ǎ l eː n t a
полутка	p ǒ l u t k a
помести	p ǒ m e s t i
памфлет	p ǎ m f l eː t
помфрит	p ǒ m f r i t
помоћни	p ǒ m o t ɕ n iː
помусти	p ǒ m u s t i
памучан	p ǎ m u t ʃ a n
пендрек	p ě n d r e k
понекад	p ǒ n e k a d
паничан	p ǎ n i t ʃ a n
панично	p ǎ n i t ʃ n o
поносан	p ǒ n o s a n
поносит	p ǒ n o s i t
поносно	p ǒ n o s n o
пантеон	p ǎ n t e oː n
паперје	p ǎ p eː r j e
папирни	p ǎ p iː r n iː
попрати	p ǒ p r a t i
паприка	p ǎ p r i k a
попрсје	p ǒ p rː s j e
порасти	p ǒ r aː s t i
поредак	p ǒ r e d a k
поредба	p ǒ r e d b a
перфект	p ě r f e k t
паришки	p ǎ r iː ʃ k iː
парошки	p ǎ r o ʃ k iː
партија	p ǎ r t i j a
перзија	p ě r z i j a
посјећи	p ǒ s j e t ɕ i
послати	p ǒ s l a t i
посмрче	p ǒ s m r t ʃ e
песница	p ě s n i t s a
постати	p ǒ s t a t i
постити	p ǒ s t i t i
пустити	p ǔ s t i t i
постићи	p ǒ s t i t ɕ i
петарда	p ě t aː r d a
потиљак	p ǒ t i ʎ a k
поткова	p ǒ t k o ʋ a
поткрај	p ǒ t k r aː j
потомак	p ǒ t o m a k
поточић	p ǒ t o t ʃ i t ɕ
поточни	p ǒ t o t͡ʃ n iː
потпуно	p ǒ t p u n o
пуцњава	p ǔ t s ɲ a ʋ a
печалба	p ě t ʃ aː l b a
почетни	p ǒ t ʃ e t n iː
печурка	p ě t͡ʃ uː r k a
поуздан	p ǒ u z d aː n
пазарни	p ǎ z aː r n iː
познати	p ǒ z n a t i
позвати	p ǒ z ʋ a t i
пљунути	p ʎ û n u t i
пљувати	p ʎ û ʋ a t i
повести	p ǒ ʋ e s t i
пешкати	p ě ʃ k a t i
пигмент	p ǐ ɡ m e n t
пшеница	p ʃ ě n i t s a
погодак	p ǒ ɡ o d a k
поводом	p ǒ ʋ o d o m
поворка	p ǒ ʋ oː r k a
повртни	p ǒ ʋ r t n iː
површан	p ǒ ʋ r ʃ a n
пљеснив	p ʎ ě s n i ʋ
пушчани	p ǔ ʃ t͡ʃ a n iː
пажљиво	p ǎ ʒ ʎ i ʋ o
појмити	p ǒː j m i t i
пензија	p ěː n z i j a
посебан	p ǒː s e b a n
посебно	p ǒː s e b n o
прскати	p řː s k a t i
пустиња	p ǔː s t i ɲ a
постоље	p ǒː s t oː ʎ e
пучанин	p ǔː t ʃ a n i n
пучанка	p ǔː t ʃ aː n k a
пухнути	p ǔː x n u t i
пиздети	p ǐː z d e t i
пиздити	p ǐː z d i t i
позоран	p ǒː z oː r a n
позорно	p ǒː z oː r n o
пивница	p ǐː ʋ n i t s a
пуштати	p ǔː ʃ t a t i
радикал	r a d ǐ k aː l
рамазан	r a m ǎ z aː n
раритет	r a r ǐ t eː t
расизам	r a s ǐ z a m
рачунар	r a t ʃ ǔ n aː r
разарач	r a z ǎ r aː t ʃ
равнина	r a ʋ n ǐ n a
равница	r a ʋ n ǐ t͡s a
редовит	r e d ǒ ʋ i t
режисер	r e ʒ ǐ s eː r
регицид	r e ɡ ǐ t s iː d
риђокос	r i d ʑ ǒ k o s
ријечца	r i j ě t͡ʃ t͡s a
рјешење	r j e ʃ ěː ɲ e
ријетко	r j êː t k o
ријечни	r j êː t ʃ n iː
рјечник	r j êː t ʃ n iː k
рјечито	r j ě t ʃ i t o
рјечица	r j ě t ʃ i t s a
риједак	r j ěː d a k
рубинет	r u b ǐ n e t
рубеола	r u b ě oː l a
рукавац	r u k ǎː ʋ a t s
руптура	r u p t ǔː r a
русофил	r u s ǒ f iː l
русизам	r u s ǐ z a m
ружноћа	r u ʒ n ǒ t ɕ a
радосно	r â d o s n o
рајцати	r â j t͡s a t i
рапидан	r â p iː d a n
рапидно	r â p iː d n o
ратница	r â t n i t s a
разуман	r â z uː m a n
разумно	r â z uː m n o
рањеник	r â ɲ e n iː k
рашпати	r â ʃ p a t i
радијус	r âː d i j u s
радница	r âː d n i t͡s a
разрада	r âː z r a d a
редован	r ê d oː ʋ a n
редовно	r ê d oː ʋ n o
рибизла	r î b iː z l a
ризичан	r î z i t ʃ a n
ризично	r î z i t ʃ n o
ригидан	r î ɡ i d aː n
родбина	r ô d b i n a
родница	r ô d n i t s a
родољуб	r ô d o ʎ uː b
роктати	r ô k t a t i
ромкиња	r ô m k i ɲ a
ропкиња	r ô p k i ɲ a
рудиште	r û d iː ʃ t e
рукомет	r û k o m eː t
рупичав	r û p i t͡ʃ a ʋ
рускиња	r û s k i ɲ a
рушеван	r û ʃ eː ʋ a n
рубешки	r ǔ b e ʃ k iː
рубикон	r ǔ b i k o n
рубрика	r ǔ b r i k a
редатељ	r ě d a t e ʎ
родитељ	r ǒ d i t e ʎ
рукавни	r ǔ k aː ʋ n iː
ронилац	r ǒ n i l a t s
ранилац	r ǎ n i l a t͡s
реплика	r ě p l i k a
ропство	r ǒ p s t ʋ o
рупчага	r ǔ p t ʃ a ɡ a
руралан	r ǔ r aː l a n
расјећи	r ǎ s j e t ɕ i
растати	r ǎ s t a t i
ручурда	r ǔ t͡ʃ uː r d a
разбећи	r ǎ z b e t͡ɕ i
разбити	r ǎ z b i t i
раздати	r ǎ z d a t i
резерва	r ě z eː r ʋ a
размаћи	r ǎ z m a t ɕ i
разнети	r ǎ z n eː t i
ризница	r ǐ z n i t s a
разроко	r ǎ z r o k o
развити	r ǎ z ʋ i t i
решетка	r ě ʃ e t k a
рушилац	r ǔ ʃ i l a t͡s
рушитељ	r ǔ ʃ i t e ʎ
равнало	r ǎ ʋ n a l o
равнати	r ǎ ʋ n a t i
рудјети	r ǔː d j e t i
расипан	r ǎː s i p a n
расипно	r ǎː s i p n o
раслиње	r ǎː s l iː ɲ e
распуст	r ǎː s p u s t
расцјеп	r ǎː s t s j e p
реткост	r ěː t k oː s t
раздоље	r ǎː z d oː ʎ e
разлика	r ǎː z l i k a
размјер	r ǎː z m j e r
разоран	r ǎː z oː r a n
разорно	r ǎː z oː r n o
разврат	r ǎː z ʋ r aː t
ругалац	r ǔː ɡ a l a t͡s
рожница	r ǒː ʒ n i t s a
ревност	r ěː ʋ n oː s t
сабијач	s a b ǐ j aː t͡ʃ
сабирач	s a b ǐ r aː t͡ʃ
саберив	s a b ě r i ʋ
саботер	s a b ǒ t eː r
садизам	s a d ǐ z a m
салицил	s a l ǐ t͡s iː l
салвета	s a l ʋ ě t a
самсара	s a m s ǎ r a
самурај	s a m ǔ r aː j
самоуче	s a m ǒ u t͡ʃ e
сапунар	s a p ǔ n aː r
сардина	s a r d ǐː n a
сарадња	s a r ǎ d ɲ a
сателит	s a t ě l iː t
сахарид	s a x ǎ r iː d
сахарин	s a x ǎ r iː n
саонице	s a ǒ n i t s e
сагорив	s a ɡ ǒ r i ʋ
сажетак	s a ʒ ěː t a k
седмина	s e d m ǐ n a
седатив	s e d ǎ t iː ʋ
секунда	s e k ǔ n d a
семинар	s e m ǐ n aː r
сеновит	s e n ǒ ʋ i t
северац	s e ʋ ěː r a t s
сијамац	s i j ǎː m a t s
сијасет	s i j ǎː s e t
сијевак	s i j ěː ʋ a k
силовит	s i l ǒ ʋ i t
синкопа	s i n k ǒ p a
синтеза	s i n t ěː z a
синоним	s i n ǒ n iː m
синовац	s i n ǒː ʋ a t s
сиромах	s i r ǒ m aː x
сиријац	s i r ǐː j a t s
ситница	s i t n ǐ t s a
сигнета	s i ɡ n ě t a
сједоћа	s j e d ǒ t͡ɕ a
сјахати	s j â x a t i
сјашити	s j â ʃ i t i
сједало	s j ê d a l o
сједати	s j ê d a t i
сјетити	s j ê t i t i
сјећати	s j ê t ɕ a t i
сјечиво	s j ê t ʃ iː ʋ o
сјебати	s j ě b a t i
сједити	s j ě d i t i
сјекира	s j ě k i r a
складан	s k l â d a n
складно	s k l â d n o
склопка	s k l ô p k a
складба	s k l ǎ d b a
склопив	s k l ǒ p i ʋ
скрипта	s k r î p t a
скроман	s k r ô m a n
скромно	s k r ô m n o
скрушен	s k r ûː ʃ e n
скривен	s k r ǐ ʋ e n
скровит	s k r ǒ ʋ i t
скрпати	s k r̂ p a t i
скрпити	s k r̂ p i t i
скупоћа	s k u p ǒ t͡ɕ a
скијати	s k î j a t i
скинути	s k î n u t i
скупина	s k û p i n a
скупити	s k û p i t i
скуцати	s k û t͡s a t i
скувати	s k û x a t i
скалпел	s k ǎ l p e l
скандал	s k ǎ n d aː l
скупљач	s k ǔ p ʎ aː t ʃ
скорбут	s k ǒ r b u t
скочити	s k ǒ t ʃ i t i
скршити	s k ř ʃ i t i
скидати	s k ǐː d a t i
скакати	s k ǎː k a t i
скитати	s k ǐː t a t i
скучити	s k ǔː t͡ʃ i t i
скуњити	s k ǔː ɲ i t i
слабоћа	s l a b ǒ t͡ɕ a
сланоћа	s l a n ǒ t ɕ a
слобода	s l o b ǒ d a
слабети	s l â b e t i
слабине	s l â b i n e
слабити	s l â b i t i
слабост	s l â b oː s t
сластан	s l â s t a n
слачица	s l â t ʃ i t s a
славити	s l â ʋ i t i
сликати	s l î k a t i
слушати	s l û ʃ a t i
службен	s l û ʒ b e n
следећи	s l ě d eː t ɕ iː
следити	s l ě d i t i
сломити	s l ǒ m i t i
сламнат	s l ǎ m n a t
сланина	s l ǎ n i n a
слоница	s l ǒ n i t s a
слаткиш	s l ǎ t k iː ʃ
слагати	s l ǎ ɡ a t i
славина	s l ǎ ʋ i n a
славист	s l ǎ ʋ i s t
сложити	s l ǒ ʒ i t i
сладити	s l ǎː d i t i
