а	ɑ
біомеханіка	bʲ i ɔ m e x ɑ nʲ i k ɐ
біомолекула	bʲ i ɔ m ɔ l ɛ k ʊ l ɐ
бірюзовий	bʲ i rʲ ʊ z ɔ u̯ e i̯
в'язень	ʋ j ɑ z e nʲ
в'язи	ʋ j ɑ z e
вагітна	ʋ ɐ ɦʲ i t n ɐ
вагітний	ʋ ɐ ɦʲ i t n e i̯
важкий	ʋ ɐ ʒ k ɪ i̯
ванна	ʋ ɑ nː ɐ
вантажівка	ʋ ɐ n t ɐ ʒʲ i u̯ k ɐ
вартість	ʋ ɑ r tʲ i sʲ tʲ
варіант	ʋ ɐ rʲ i ɑ n t
вата	ʋ ɑ t ɐ
ватра	ʋ ɑ t r ɐ
ваш	ʋ ɑ ʃ
ваша	ʋ ɑ ʃ ɐ
ваше	ʋ ɑ ʃ e
вдова	w d ɔ u̯ ɑ
вдовець	w d ɔ u̯ ɛ t͡sʲ
ведмідь	ʋ e d mʲ i dʲ
вежа	ʋ ɛ ʒ ɐ
везти	ʋ e z t ɪ
великий	ʋ e l ɪ k e i̯
велосипед	ʋ e l ɔ s e p ɛ d
велосипедист	ʋ e l ɔ s e p e d ɪ s t
велосипедистка	ʋ e l ɔ s e p e d ɪ s t k ɐ
велоспорт	ʋ e l ɔ s p ɔ r t
вена	ʋ ɛ n ɐ
верес	ʋ ɛ r e s
вересень	ʋ ɛ r e s e nʲ
вероніка	ʋ e r o nʲ i k ɐ
вертоліт	ʋ e r t o lʲ i t
верф	ʋ ɛ r f
вершина	ʋ e r ʃ ɪ n ɐ
весна	ʋ e s n ɑ
весняний	ʋ e sʲ nʲ ɐ n ɪ i̯
весілля	ʋ e sʲ i lʲː ɐ
вечір	ʋ ɛ t͡ʃʲ i r
взаємодія	w z ɐ j e m o dʲ i j ɐ
ви	ʋ ɪ
виборець	ʋ ɪ b ɔ r e t͡sʲ
вибори	ʋ ɪ b ɔ r e
вибух	ʋ ɪ b ʊ x
вибір	ʋ ɪ bʲ i r
виверження	ʋ ɪ u̯ e r ʒ e nʲː ɐ
вигляд	ʋ ɪ ɦ lʲ ɐ d
вигук	ʋ ɪ ɦ ʊ k
вид	ʋ ɪ d
видання	ʋ e d ɐ nʲː ɑ
видання	ʋ e d ɑ nʲː ɐ
виделка	ʋ e d ɛ l k ɐ
видра	ʋ ɪ d r ɐ
вижлоктати	ʋ ɪ ʒ l ɔ k t ɐ t e
вижлуктати	ʋ ɪ ʒ l ʊ k t ɐ t e
вижлуктити	ʋ ɪ ʒ l ʊ k t e t e
визначення	ʋ ɪ z n ɐ t͡ʃ e nʲː ɐ
виклад	ʋ ɪ k l ɐ d
виконання	ʋ e k ɔ n ɑ nʲː ɐ
використання	ʋ e k ɔ r e s t ɑ nʲː ɐ
використання	ʋ ɪ k ɔ r e s t ɐ nʲː ɐ
вимова	ʋ e m ɔ u̯ ɐ
вимога	ʋ e m ɔ ɦ ɐ
винник	ʋ ɪ nː e k
вино	ʋ e n ɔ
виноград	ʋ e n ɔ ɦ r ɑ d
виноградник	ʋ e n ɔ ɦ r ɑ d n e k
винокур	ʋ e n o k u r
винокурня	ʋ e n o k u r nʲ ɐ
випадок	ʋ ɪ p ɐ d ɔ k
виробництво	ʋ e r ɔ b n ɪ t͡s t w ɔ
вирішення	ʋ ɪ rʲ i ʃ e nʲː ɐ
висновок	ʋ ɪ s n ɔ u̯ ɔ k
висота	ʋ e s ɔ t ɑ
витрата	ʋ ɪ t r ɐ t ɐ
вихід	ʋ ɪ xʲ i d
власник	w l ɑ s n e k
власність	w l ɑ sʲ nʲ i sʲ tʲ
внесок	w n ɛ s ɔ k
вовк	w ɔ u̯ k
вовна	w ɔ u̯ n ɐ
вогонь	w ɔ ɦ ɔ nʲ
вода	w ɔ d ɑ
водень	w ɔ d e nʲ
вокзал	w ɔ ɡ z ɑ l
волос	w ɔ l ɔ s
волосся	w ɔ l ɔ sʲː ɐ
воля	w ɔ lʲ ɐ
вона	w ɔ n ɑ
вони	w ɔ n ɪ
воно	w ɔ n ɔ
ворон	w ɔ r ɔ n
воша	w ɔ ʃ ɐ
вплив	ʍ p l ɪ u̯
враховувати	w r ɐ x ɔ u̯ ʊ u̯ ɐ t e
втрата	ʍ t r ɑ t ɐ
вугол	w u ɦ ɔ l
вугор	w ʊ ɦ ɔ r
вуж	w u ʒ
вузол	w u z ɔ l
вузький	w ʊ zʲ k ɪ i̯
вулиця	w u l e t͡sʲ ɐ
вухо	w u x ɔ
вчитель	ʍ t͡ʃ ɪ t e lʲ
вівера	ʋʲ i u̯ ɛ r ɐ
вівторок	ʋʲ i u̯ t ɔ r ɔ k
вівця	ʋʲ i u̯ t͡sʲ ɑ
відміна	ʋʲ i dʲ mʲ i n ɐ
відмінок	ʋʲ i dʲ mʲ i n ɔ k
відмінювання	ʋʲ i dʲ mʲ i nʲ ʊ u̯ ɐ nʲː ɐ
віднести	ʋʲ i d n e s t ɪ
відносини	ʋʲ i d n ɔ s e n e
відповідальність	ʋʲ i d p ɔ u̯ʲ i d ɑ lʲ nʲ i sʲ tʲ
відповідь	ʋʲ i d p ɔ u̯ʲ i dʲ
відсоток	ʋʲ i d͡z s ɔ t ɔ k
відсутність	ʋʲ i d͡z s u tʲ nʲ i sʲ tʲ
віз	ʋʲ i z
війна	ʋʲ i i̯ n ɑ
військо	ʋʲ i i̯ sʲ k ɔ
вік	ʋʲ i k
вікно	ʋʲ i k n ɔ
віконце	ʋʲ i k ɔ n t͡s e
вікторія	ʋʲ i k t ɔ rʲ i j ɐ
він	ʋʲ i n
віно	ʋʲ i n ɔ
віра	ʋʲ i r ɐ
віск	ʋʲ i s k
віскі	ʋʲ i sʲ kʲ i
вітер	ʋʲ i t e r
вітка	ʋʲ i t k ɐ
вія	ʋʲ i j ɐ
газета	ɦ ɐ z ɛ t ɐ
гал	ɦ ɑ l
галина	ɦ ɐ l ɪ n ɐ
галиця	ɦ ɑ l e t͡sʲ ɐ
галузь	ɦ ɑ l ʊ zʲ
гарантія	ɦ ɐ r ɑ nʲ tʲ i j ɐ
гарний	ɦ ɑ r n e i̯
гарячий	ɦ ɐ rʲ ɑ t͡ʃ e i̯
гаяти	ɦ ɑ j ɐ t e
герой	ɦ e r ɔ i̯
глава	ɦ l ɐ u̯ ɑ
гладилка	ɦ l ɐ d ɪ l k ɐ
глибина	ɦ l e b e n ɑ
гоголь	ɦ ɔ ɦ ɔ lʲ
голова	ɦ ɔ l ɔ u̯ ɑ
головний	ɦ ɔ l ɔ u̯ n ɪ i̯
голосний	ɦ ɔ l ɔ s n ɪ i̯
голуб	ɦ ɔ l ʊ b
гольф	ɦ ɔ lʲ f
гора	ɦ ɔ r ɑ
горн	ɦ ɔ r n
горох	ɦ ɔ r ɔ x
горілка	ɦ o rʲ i l k ɐ
господарство	ɦ ɔ s p ɔ d ɑ r s t w ɔ
гра	ɦ r ɑ
граната	ɦ r ɐ n ɑ t ɐ
грати	ɦ r ɑ t e
грець	ɦ r ɛ t͡sʲ
гречка	ɦ r ɛ t͡ʃ k ɐ
гривня	ɦ r ɪ u̯ nʲ ɐ
громада	ɦ r ɔ m ɑ d ɐ
грошей	ɦ r ɔ ʃ e i̯
грудень	ɦ r u d e nʲ
група	ɦ r u p ɐ
губа	ɦ ʊ b ɑ
гуляти	ɦ ʊ lʲ ɑ t e
давній	d ɑ u̯ nʲ i i̯
дарина	d ɐ r ɪ n ɐ
два	d ʋ ɑ
двадцятиоднокутник	d ʋ ɐ d͡zʲ t͡sʲ ɐ t e ɔ d n o k u t n e k
дванадцять	d ʋ ɐ n ɑ d͡zʲ t͡sʲ ɐ tʲ
де	d ɛ
дев'ясил	d e u̯ j ɐ s ɪ l
декларація	d e k l ɐ r ɑ t͡sʲ i j ɐ
декорація	d e k ɔ r ɑ t͡sʲ i j ɐ
декілька	d ɛ kʲ i lʲ k ɐ
демократичний	d e m ɔ k r ɐ t ɪ t͡ʃ n e i̯
демократія	d e m ɔ k r ɑ tʲ i j ɐ
день	d ɛ nʲ
депресія	d e p r ɛ sʲ i j ɐ
депутат	d e p ʊ t ɑ t
дерен	d e r ɛ n
дерен	d ɛ r e n
держпозика	d e r ʒ p ɔ z e k ɐ
деркач	d e r k ɑ t͡ʃ
десять	d ɛ sʲ ɐ tʲ
джинси	d͡ʒ ɪ n s e
дзвоник	d͡z w ɔ n e k
дзвонити	d͡z w ɔ n ɪ t e
дзвін	d͡zʲ ʋʲ i n
дзеркало	d͡z ɛ r k ɐ l ɔ
дзьоб	d͡zʲ ɔ b
дивина	d e u̯ e n ɑ
диканя	d e k ɑ nʲ ɐ
директор	d e r ɛ k t ɔ r
дискусія	d e s k u sʲ i j ɐ
дискутант	d e s k ʊ t ɑ n t
дислокація	d e s l ɔ k ɑ t͡sʲ i j ɐ
диспетчер	d e s p ɛ t͡ʃː e r
дитина	d e t ɪ n ɐ
для	dʲ lʲ ɑ
дніпро	dʲ nʲ i p r ɔ
добривечір	d ɔ b r e u̯ ɛ t͡ʃʲ i r
добридень	d ɔ b r e d ɛ nʲ
добрий	d ɔ b r ɪ j
довгий	d ɔ u̯ ɦ e i̯
довіра	d ɔ u̯ʲ i r ɐ
договір	d ɔ ɦ ɔ u̯ʲ i r
долар	d ɔ l ɐ r
долина	d ɔ l ɪ n ɐ
доля	d ɔ lʲ ɐ
домініканський	d ɔ mʲ i nʲ i k ɑ nʲ sʲ k e i̯
донець	d ɔ n ɛ t͡sʲ
допомагати	d ɔ p ɔ m ɐ ɦ ɑ t e
дорога	d ɔ r ɔ ɦ ɐ
дорога	d ɔ r ɔ ɦ ɑ
дорогий	d ɔ r ɔ ɦ ɪ i̯
досвід	d ɔ sʲ ʋʲ i d
дослідження	d o sʲ lʲ i d͡ʒ e nʲː ɐ
доступ	d ɔ s t ʊ p
досягнення	d ɔ sʲ ɑ ɦ n e nʲː ɐ
дохід	d o xʲ i d
дошка	d ɔ ʃ k ɐ
дощовий	d ɔ ʃ t͡ʃ ɔ u̯ ɪ i̯
дрова	d r ɔ u̯ ɐ
друг	d r u ɦ
думати	d u m ɐ t e
дунай	d ʊ n ɑ i̯
дурний	d ʊ r n ɪ i̯
дякую	dʲ ɑ k ʊ j ʊ
діана	dʲ i ɑ n ɐ
дівка	dʲ i u̯ k ɐ
дід	dʲ i d
ділянка	dʲ i lʲ ɑ n k ɐ
дім	dʲ i m
дія	dʲ i j ɐ
екваторіальний	e k ʋ ɐ t ɔ rʲ i ɑ lʲ n e i̯
економіка	e k ɔ n ɔ mʲ i k ɐ
економічний	e k ɔ n o mʲ i t͡ʃ n e i̯
екскурсія	e k s k u r sʲ i j ɐ
експедицій	e k s p e d ɪ t͡sʲ i i̯
експедицію	e k s p e d ɪ t͡sʲ i j ʊ
експедиція	e k s p e d ɪ t͡sʲ i j ɐ
експедиціям	e k s p e d ɪ t͡sʲ i j ɐ m
експедиціями	e k s p e d ɪ t͡sʲ i j ɐ m e
експедиціях	e k s p e d ɪ t͡sʲ i j ɐ x
експедиціє	e k s p e d ɪ t͡sʲ i j e
експедицією	e k s p e d ɪ t͡sʲ i j e j ʊ
експедиції	e k s p e d ɪ t͡sʲ i j i
експерт	e k s p ɛ r t
елемент	e l e m ɛ n t
емілія	e mʲ i lʲ i j ɐ
епідемія	e pʲ i d ɛ mʲ i j ɐ
етап	e t ɑ p
ефективність	e f e k t ɪ u̯ nʲ i sʲ tʲ
жало	ʒ ɐ l ɔ
жало	ʒ ɑ l ɔ
жалоба	ʒ ɐ l ɔ b ɐ
жалоба	ʒ ɑ l ɔ b ɐ
жаль	ʒ ɑ lʲ
живий	ʒ e u̯ ɪ i̯
жлуктати	ʒ l ʊ k t ɑ t e
жлуктити	ʒ l u k t e t e
жовтень	ʒ ɔ u̯ t e nʲ
жовтий	ʒ ɔ u̯ t e i̯
жовтогарячий	ʒ ɔ f t ɔ ɦ ɑ rʲ ɑ t͡ʃ ɪ j
жовток	ʒ ɔ u̯ t ɔ k
журналіст	ʒ ʊ r n ɐ lʲ i s t
жінка	ʒʲ i n k ɐ
жіночий	ʒʲ i n ɔ t͡ʃ e i̯
з'їзд	z j i z d
забезпечення	z ɐ b e z p ɛ t͡ʃ e nʲː ɐ
забрало	z ɐ b r ɑ l ɔ
завдання	z ɐ u̯ d ɑ nʲː ɐ
загроза	z ɐ ɦ r ɔ z ɐ
зазвичай	z ɐ z ʋ e t͡ʃ ɑ i̯
заздрити	z ɑ z d r e t e
займенник	z ɐ i̯ m ɛ nː e k
заклад	z ɐ k l ɑ d
заклад	z ɑ k l ɐ d
законодавство	z ɐ k ɔ n ɔ d ɑ u̯ s t w ɔ
законопроект	z ɐ k ɔ n ɔ p r ɔ ɛ k t
залізний	z ɐ lʲ i z n e i̯
залізо	z ɐ lʲ i z ɔ
замок	z ɐ m ɔ k
замок	z ɑ m ɔ k
запитання	z ɐ p e t ɑ nʲː ɐ
зарплата	z ɐ r p l ɑ t ɐ
засада	z ɐ s ɑ d ɐ
застосування	z ɐ s t ɔ s ʊ u̯ ɑ nʲː ɐ
заступник	z ɐ s t u p n e k
засіб	z ɑ sʲ i b
засідання	z ɐ sʲ i d ɐ nʲː ɐ
захист	z ɑ x e s t
захоплюватися	z ɐ x ɔ p lʲ ʊ u̯ ɐ t e sʲ ɐ
захід	z ɑ xʲ i d
західний	z ɑ xʲ i d n e i̯
заява	z ɐ j ɑ u̯ ɐ
зброя	z b r ɔ j ɐ
збіжжя	zʲ bʲ i ʒʲː ɐ
збільшення	zʲ bʲ i lʲ ʃ e nʲː ɐ
зв'язок	z ʋ j ɐ z ɔ k
зв'язок	z ʋ j ɑ z ɔ k
звернення	z ʋ ɛ r n e nʲː ɐ
звідки	zʲ ʋʲ i d k e
звір	zʲ ʋʲ i r
звісно	zʲ ʋʲ i s n ɔ
згідність	zʲ ɦʲ i dʲ nʲ i sʲ tʲ
здоров'я	z d ɔ r ɔ u̯ j ɐ
здріти	z dʲ rʲ i t e
здійснення	zʲ dʲ i i̯ s n e nʲː ɐ
зелений	z e l ɛ n e i̯
земля	z e m lʲ ɑ
злочин	z l ɔ t͡ʃ e n
змога	z m ɔ ɦ ɐ
зміст	zʲ mʲ i s t
знання	z n ɐ nʲː ɑ
знати	z n ɑ t e
значення	z n ɑ t͡ʃ e nʲː ɐ
знову	z n ɔ u̯ ʊ
золотий	z ɔ l ɔ t ɪ i̯
золото	z ɔ l ɔ t ɔ
зона	z ɔ n ɐ
зростання	z r ɔ s t ɑ nʲː ɐ
зріти	zʲ rʲ i t e
зусилля	z ʊ s ɪ lʲː ɐ
зустріч	z u s tʲ rʲ i t͡ʃ
зіниця	zʲ i n ɪ t͡sʲ ɐ
зір	zʲ i r
й	j
йога	j ɔ ɦ ɐ
його	j ɔ ɦ ɔ
кабінет	k ɐ bʲ i n ɛ t
кавун	k ɐ u̯ u n
казати	k ɐ z ɑ t e
казахстан	k ɐ z ɐ x s t ɑ n
казка	k ɑ z k ɐ
кампанія	k ɐ m p ɑ nʲ i j ɐ
кандидат	k ɐ n d e d ɑ t
капітал	k ɐ pʲ i t ɑ l
карат	k ɐ r ɑ t
карати	k ɐ r ɑ t e
каска	k ɑ s k ɐ
кат	k ɑ t
категорія	k ɐ t e ɦ ɔ rʲ i j ɐ
катерина	k ɐ t e r ɪ n ɐ
кафедра	k ɑ f e d r ɐ
кацап	k ɐ t͡s ɑ p
качка	k ɑ t͡ʃ k ɐ
каштан	k ɐ ʃ t ɑ n
квадрат	k ʋ ɐ d r ɑ t
квадратний	k ʋ ɐ d r ɑ t n e i̯
квітень	k ʋʲ i t e nʲ
квітка	k ʋʲ i t k ɐ
керівник	k e rʲ i u̯ n ɪ k
керівництво	k e rʲ i u̯ n ɪ t͡s t w ɔ
кисть	k ɪ sʲ tʲ
кит	k ɪ t
китайський	k e t ɑ i̯ sʲ k e i̯
київ	k ɪ j i u̯
клавдія	k l ɑ u̯ dʲ i j ɐ
клоччя	k l ɔ t͡ʃʲː ɐ
клятьба	k lʲ ɐ dʲ b ɑ
книжка	k n ɪ ʒ k ɐ
кодекс	k ɔ d e k s
козирок	k ɔ z e r ɔ k
колега	k ɔ l ɛ ɦ ɐ
колір	k ɔ lʲ i r
команда	k ɔ m ɑ n d ɐ
комп'ютер	k ɔ m p j u t e r
компанія	k ɔ m p ɑ nʲ i j ɐ
комплекс	k ɔ m p l e k s
композиція	k ɔ m p ɔ z ɪ t͡sʲ i j ɐ
комісія	k o mʲ i sʲ i j ɐ
комітет	k ɔ mʲ i t ɛ t
конкурс	k ɔ n k ʊ r s
коноплі	k ɔ n ɔ p lʲ i
конституція	k ɔ n s t e t u t͡sʲ i j ɐ
контроль	k ɔ n t r ɔ lʲ
конференція	k ɔ n f e r ɛ nʲ t͡sʲ i j ɐ
конфлікт	k o n f lʲ i k t
конформізм	k ɔ n f o r mʲ i z m
концепція	k ɔ n t͡s ɛ p t͡sʲ i j ɐ
копил	k ɔ p ɪ l
кордон	k ɔ r d ɔ n
корзина	k o r z ɪ n ɐ
коричневий	k ɔ r ɪ t͡ʃ n e u̯ e i̯
корупція	k o r u p t͡sʲ i j ɐ
коріння	k o rʲ i nʲː ɐ
корінь	k ɔ rʲ i nʲ
космонавт	k ɔ s m ɔ n ɑ u̯ t
космос	k ɔ s m ɔ s
космічний	k o sʲ mʲ i t͡ʃ n e i̯
кохати	k ɔ x ɑ t e
кошт	k ɔ ʃ t
краб	k r ɑ b
країна	k r ɐ j i n ɐ
кредит	k r e d ɪ t
кредит	k r ɛ d e t
криза	k r ɪ z ɐ
крим	k r ɪ m
кров	k r ɔ u̯
кропива	k r ɔ p e u̯ ɑ
куди	k ʊ d ɪ
кукурудза	k ʊ k ʊ r u d͡z ɐ
культура	k ʊ lʲ t u r ɐ
купюра	k u pʲ u r ɑ
кур'єр	k ʊ r j ɛ r
курс	k u r s
кухня	k u x nʲ ɐ
кількість	kʲ i lʲ kʲ i sʲ tʲ
кінець	kʲ i n ɛ t͡sʲ
кінчик	kʲ i n t͡ʃ e k
кінь	kʲ i nʲ
кіт	kʲ i t
кішка	kʲ i ʃ k ɐ
ластівка	l ɑ sʲ tʲ i u̯ k ɐ
ластівочка	l ɑ sʲ tʲ i u̯ ɔ t͡ʃ k ɐ
лебединий	l e b e d ɪ n e i̯
лебідь	l ɛ bʲ i dʲ
левурда	l ɛ u̯ ʊ r d ɐ
легкий	l e ɦ k ɪ i̯
летовище	l e t ɔ u̯ e ʃ t͡ʃ e
летіти	l e tʲ i t e
липень	l ɪ p e nʲ
лисий	l ɪ s ɪ j
листопад	l e s t ɔ p ɑ d
лоб	l ɔ b
лов	l ɔ u̯
ловелас	l ɔ u̯ e l ɑ s
логарифм	l ɔ ɦ ɐ r ɪ f m
логіка	l ɔ ɦʲ i k ɐ
ложа	l ɔ ʒ ɐ
ложе	l ɔ ʒ e
ложка	l ɔ ʒ k ɐ
лоза	l ɔ z ɑ
лозунг	l ɔ z ʊ n ɦ
локомотив	l ɔ k ɔ m ɔ t ɪ u̯
локон	l ɔ k ɔ n
локшина	l ɔ k ʃ e n ɐ
лом	l ɔ m
ломака	l ɔ m ɑ k ɐ
ломбард	l ɔ m b ɑ r d
лондон	l ɔ n d ɔ n
лоно	l ɔ n ɔ
лопата	l ɔ p ɑ t ɐ
лопух	l o p u x
лось	l ɔ sʲ
лотерея	l ɔ t e r ɛ j ɐ
лоша	l ɔ ʃ ɑ
лошак	l ɔ ʃ ɑ k
луг	l u ɦ
лукія	l ʊ kʲ i j ɐ
луна	l ʊ n ɑ
лучник	l u t͡ʃ n e k
любисток	lʲ ʊ b ɪ s t ɔ k
любов	lʲ ʊ b ɔ u̯
людський	lʲ ʊ d͡zʲ sʲ k ɪ i̯
люстерко	lʲ ʊ s t ɛ r k ɔ
лютий	lʲ u t e i̯
лякати	lʲ ɐ k ɑ t e
лідер	lʲ i d e r
літера	lʲ i t e r ɐ
літератор	lʲ i t e r ɑ t ɔ r
літераторка	lʲ i t e r ɑ t ɔ r k ɐ
література	lʲ i t e r ɐ t u r ɐ
літр	lʲ i t r
ліфт	lʲ i f t
ліхтар	lʲ i x t ɑ r
м'ясо	m j ɑ s ɔ
м'ята	m j ɑ t ɐ
мавпа	m ɑ u̯ p ɐ
магазин	m ɐ ɦ ɐ z ɪ n
магній	m ɑ ɦ nʲ i i̯
маз	m ɑ z
майдан	m ɐ i̯ d ɑ n
маківка	m ɑ kʲ i u̯ k ɐ
маківочка	m ɑ kʲ i u̯ ɔ t͡ʃ k ɐ
маленький	m ɐ l ɛ nʲ k e i̯
малий	m ɐ l ɪ i̯
малювати	m ɐ lʲ ʊ u̯ ɑ t e
мама	m ɑ m ɐ
марта	m ɑ r t ɐ
марія	m ɐ rʲ i j ɐ
масло	m ɑ s l ɔ
мати	m ɑ t e
матися	m ɑ t e sʲ ɐ
мед	m ɛ d
медицина	m e d e t͡s ɪ n ɐ
межа	m e ʒ ɑ
меланія	m e l ɑ nʲ i j ɐ
мелодій	m e l ɔ dʲ i i̯
мелодію	m e l ɔ dʲ i j ʊ
мелодія	m e l ɔ dʲ i j ɐ
мелодіям	m e l ɔ dʲ i j ɐ m
мелодіями	m e l ɔ dʲ i j ɐ m e
мелодіях	m e l ɔ dʲ i j ɐ x
мелодіє	m e l ɔ dʲ i j e
мелодією	m e l ɔ dʲ i j e j ʊ
мелодії	m e l ɔ dʲ i j i
ментовка	m e n t ɔ u̯ k ɐ
мертвий	m ɛ r t v ɪ j
мета	m e t ɑ
метод	m ɛ t ɔ d
метр	m ɛ t r
механізм	m e x ɐ nʲ i z m
механік	m e x ɑ nʲ i k
механіка	m e x ɑ nʲ i k ɐ
механіст	m e x ɐ nʲ i s t
мешкати	m ɛ ʃ k ɐ t e
ми	m ɪ
мистецтво	m e s t ɛ t͡s t w ɔ
мить	m ɪ tʲ
михайло	m e x ɑ i̯ l ɔ
мобілізація	m ɔ bʲ i lʲ i z ɑ t͡sʲ i j ɐ
модель	m ɔ d ɛ lʲ
молитовник	m ɔ l e t ɔ u̯ n e k
молоття	m ɔ l ɔ tʲː ɑ
молотьба	m ɔ l ɔ dʲ b ɑ
момент	m ɔ m ɛ n t
монархій	m ɔ n ɑ r xʲ i i̯
монархію	m ɔ n ɑ r xʲ i j ʊ
монархія	m ɔ n ɑ r xʲ i j ɐ
монархіям	m ɔ n ɑ r xʲ i j ɐ m
монархіями	m ɔ n ɑ r xʲ i j ɐ m e
монархіях	m ɔ n ɑ r xʲ i j ɐ x
монархіє	m ɔ n ɑ r xʲ i j e
монархією	m ɔ n ɑ r xʲ i j e j ʊ
монархії	m ɔ n ɑ r xʲ i j i
морква	m ɔ r k ʋ ɐ
мороз	m ɔ r ɔ z
москва	m ɔ s k ʋ ɑ
моя	m ɔ j ɑ
моє	m ɔ j ɛ
мрія	m rʲ i j ɐ
мріяти	m rʲ i j ɐ t e
муж	m u ʒ
музей	m ʊ z ɛ i̯
мій	mʲ i i̯
мікроскопічний	mʲ i k r ɔ s k o pʲ i t͡ʃ n e i̯
мілкий	mʲ i l k ɪ j
мільйон	mʲ i lʲ j ɔ n
мільярд	mʲ i lʲ j ɑ r d
міліція	mʲ i lʲ i t͡sʲ i j ɐ
мінськ	mʲ i nʲ sʲ k
міра	mʲ i r ɐ
місто	mʲ i s t ɔ
міць	mʲ i t͡sʲ
навидіти	n ɐ u̯ ɪ dʲ i t e
навидіти	n ɑ u̯ e dʲ i t e
навмання	n ɐ u̯ m ɐ nʲː ɑ
навчання	n ɐ u̯ t͡ʃ ɑ nʲː ɐ
надання	n ɐ d ɑ nʲː ɑ
наймит	n ɑ i̯ m e t
наймичка	n ɑ i̯ m e t͡ʃ k ɐ
намір	n ɑ mʲ i r
напрям	n ɑ p rʲ ɐ m
наразі	n ɐ r ɑ zʲ i
народний	n ɐ r ɔ d n e i̯
нарід	n ɑ rʲ i d
населення	n ɐ s ɛ l e nʲː ɐ
наслідок	n ɑ sʲ lʲ i d ɔ k
наталія	n ɐ t ɑ lʲ i j ɐ
національний	n ɐ t͡sʲ i ɔ n ɑ lʲ n e i̯
нація	n ɑ t͡sʲ i j ɐ
наша	n ɑ ʃ ɐ
наше	n ɑ ʃ e
наявність	n ɐ j ɑ u̯ nʲ i sʲ tʲ
не	n ɛ
небезпека	n e b e z p ɛ k ɐ
нева	n e u̯ ɑ
невралгічний	n e w r ɑ l ɦ i t͡ʃ n ɪ j
неврологічний	n e w r ɔ l ɔ ɦ i t͡ʃ n ɪ j
неділя	n e dʲ i lʲ ɐ
незалежний	n e z ɐ l ɛ ʒ n e i̯
незалежність	n e z ɐ l ɛ ʒ nʲ i sʲ tʲ
необхідність	n e o b xʲ i dʲ nʲ i sʲ tʲ
неоніла	n e o nʲ i l ɐ
низка	n ɪ z k ɐ
низький	n e zʲ k ɪ i̯
норма	n ɔ r m ɐ
ночвах	n ɔ t͡ʃ ʋ ɐ x
ночви	n ɔ t͡ʃ ʋ e
ні	nʲ i
ніж	nʲ i ʒ
ніздре	nʲ i z d r e
ніздрею	nʲ i z d r e j ʊ
ніздрю	nʲ i z dʲ rʲ ʊ
ніздря	nʲ i z dʲ rʲ ɐ
ніздрям	nʲ i z dʲ rʲ ɐ m
ніздрями	nʲ i z dʲ rʲ ɐ m e
ніздрях	nʲ i z dʲ rʲ ɐ x
ніздрі	nʲ i z dʲ rʲ i
ніздрів	nʲ i z dʲ rʲ i u̯
німець	nʲ i m e t͡sʲ
німецький	nʲ i m ɛ t͡sʲ k e i̯
німий	nʲ i m ɪ i̯
ніч	nʲ i t͡ʃ
об'єднання	ɔ b j ɛ d n ɐ nʲː ɐ
об'єкт	ɔ b j ɛ k t
область	ɔ b l ɐ sʲ tʲ
обличчя	ɔ b l ɪ t͡ʃʲː ɐ
обов'язок	ɔ b ɔ u̯ j ɐ z ɔ k
обожнювати	ɔ b ɔ ʒ nʲ ʊ u̯ ɐ t e
обсерваторія	ɔ b s e r ʋ ɐ t ɔ rʲ i j ɐ
обставина	ɔ b s t ɑ u̯ e n ɐ
обсяг	ɔ b sʲ ɐ ɦ
обід	o bʲ i d
обід	ɔ bʲ i d
огляд	ɔ ɦ lʲ ɐ d
однокласниця	ɔ d n ɔ k l ɑ s n e t͡sʲ ɐ
озеро	ɔ z e r ɔ
озерце	ɔ z e r t͡s ɛ
озерце	ɔ z ɛ r t͡s e
ознака	ɔ z n ɑ k ɐ
око	ɔ k ɔ
оладка	ɔ l ɑ d k ɐ
оладок	ɔ l ɑ d ɔ k
олександр	ɔ l e k s ɑ n d r
олівець	ɔ lʲ i u̯ ɛ t͡sʲ
олія	o lʲ i j ɐ
оман	ɔ m ɑ n
онук	o n u k
онука	o n u k ɐ
операція	ɔ p e r ɑ t͡sʲ i j ɐ
опозиція	ɔ p ɔ z ɪ t͡sʲ i j ɐ
оранжевий	ɔ r ɑ n ʒ e u̯ e i̯
освіта	ɔ sʲ ʋʲ i t ɐ
основа	ɔ s n ɔ u̯ ɐ
особа	ɔ s ɔ b ɐ
особливість	ɔ s ɔ b l ɪ u̯ʲ i sʲ tʲ
останній	o s t ɑ nʲː i j
осінній	ɔ s i nʲː i j
отець	ɔ t ɛ t͡sʲ
охорона	ɔ x ɔ r ɔ n ɐ
охоронець	ɔ x ɔ r ɔ n e t͡sʲ
оцінка	o t͡sʲ i n k ɐ
п'яний	p j ɑ n e i̯
п'ятий	p j ɑ t e i̯
п'ятнадцять	p j ɐ t n ɑ d͡zʲ t͡sʲ ɐ tʲ
п'ятниця	p j ɑ t n e t͡sʲ ɐ
п'ять	p j ɑ tʲ
п'єса	p j ɛ s ɐ
палац	p ɐ l ɑ t͡s
паливо	p ɑ l e u̯ ɔ
паморозь	p ɑ m ɔ r ɔ zʲ
панство	p ɑ n s t w ɔ
парламент	p ɐ r l ɑ m e n t
