а	a
изнатепа	i z n a t ɛ p a
изнацрпи	i z n a t͡s r̩ p i
изнацепи	i z n a t͡s ɛ p i
изнавари	i z n a v a ɾ i
изнаврне	i z n a v r̩ n ɛ
изнавезе	i z n a v ɛ z ɛ
изназеме	i z n a z ɛ m ɛ
изнагали	i z n a ɡ a l i
изнашара	i z n a ʃ a ɾ a
изналупа	i z n a ɫ u p a
изнареди	i z n a ɾ ɛ d i
износува	i z n ɔ s u v a
изрипува	i z r i p u v a
изустува	i z u s t u v a
извидник	i z v i d n i k
извидува	i z v i d u v a
извикува	i z v i k u v a
извисува	i z v i s u v a
излачува	i z ɫ a t͡ʃ u v a
изгрицка	i z ɡ r i t͡s k a
излудува	i z ɫ u d u v a
изложбен	i z ɫ ɔ ʒ b ɛ n
ишмукува	i ʃ m u k u v a
игривост	i ɡ r i v ɔ s t
јаболков	j a b ɔ ɫ k ɔ f
јадничок	j a d n i t͡ʃ ɔ k
јадровит	j a d r ɔ v i t
јајценце	j a j t͡s ɛ n t͡s ɛ
јајцевод	j a j t͡s ɛ v ɔ t
јазичник	j a z i t͡ʃ n i k
јазичест	j a z i t͡ʃ ɛ s t
јажарски	j a ʒ a r s k i
јагленче	j a ɡ l ɛ n t͡ʃ ɛ
јагленов	j a ɡ l ɛ n ɔ f
јаглерод	j a ɡ l ɛ ɾ ɔ t
јагненце	j a ɡ n ɛ n t͡s ɛ
јагнешки	j a ɡ n ɛ ʃ k i
јаловост	j a ɫ ɔ v ɔ s t
јунаштво	j u n a ʃ t v ɔ
јорганче	j ɔ r ɡ a n t͡ʃ ɛ
јотација	j ɔ t a t͡s i j a
јогуртче	j ɔ ɡ u r t t͡ʃ ɛ
кафеџија	k a f ɛ d͡ʒ i j a
камионче	k a m i j ɔ n t͡ʃ ɛ
кандилце	k a n d i ɫ t͡s ɛ
картичка	k a r t i t͡ʃ k a
качество	k a t͡ʃ ɛ s t v ɔ
казненик	k a z n ɛ n i k
калорија	k a ɫ ɔ ɾ i j a
кибритче	k i b r i t t͡ʃ ɛ
кифличка	k i f l i t͡ʃ k a
кинетика	k i n ɛ t i k a
кипарски	k i p a r s k i
кликнува	k l i k n u v a
клинички	k l i n i t͡ʃ k i
клекнува	k l ɛ k n u v a
книжарка	k n i ʒ a r k a
краткост	k r a t k ɔ s t
краварка	k r a v a r k a
криумчар	k r i j u m t͡ʃ a r
крикнува	k r i k n u v a
критичар	k r i t i t͡ʃ a r
криволов	k r i v ɔ ɫ ɔ f
круничка	k r u n i t͡ʃ k a
креација	k r ɛ a t͡s i j a
кревкост	k r ɛ f k ɔ s t
крекнува	k r ɛ k n u v a
кромитче	k r ɔ m i t t͡ʃ ɛ
крепкост	k r ɛ p k ɔ s t
крчмичка	k r̩ t͡ʃ m i t͡ʃ k a
крштелен	k r̩ ʃ t ɛ l ɛ n
кујничка	k u j n i t͡ʃ k a
кукличка	k u k l i t͡ʃ k a
курвичка	k u r v i t͡ʃ k a
кугличка	k u ɡ l i t͡ʃ k a
клапнува	k ɫ a p n u v a
комшилак	k ɔ m ʃ i ɫ a k
концизен	k ɔ n t͡s i z ɛ n
копјенце	k ɔ p j ɛ n t͡s ɛ
костимче	k ɔ s t i m t͡ʃ ɛ
костенов	k ɔ s t ɛ n ɔ f
коцкичка	k ɔ t͡s k i t͡ʃ k a
козарски	k ɔ z a r s k i
конфузен	k ɔ ɱ f u z ɛ n
кошничка	k ɔ ʃ n i t͡ʃ k a
клоцнува	k ɫ ɔ t͡s n u v a
кенгурче	k ɛ ŋ ɡ u r t͡ʃ ɛ
лимарски	l i m a r s k i
литанија	l i t a n i j a
литарски	l i t a r s k i
лихварка	l i x v a r k a
лизгачки	l i z ɡ a t͡ʃ k i
лебарник	l ɛ b a r n i k
леденост	l ɛ d ɛ n ɔ s t
лентичка	l ɛ n t i t͡ʃ k a
лепрозен	l ɛ p r ɔ z ɛ n
лезетски	l ɛ z ɛ t s k i
мамутски	m a m u t s k i
манџичка	m a n d͡ʒ i t͡ʃ k a
масленце	m a s l ɛ n t͡s ɛ
мастилен	m a s t i l ɛ n
мачорски	m a t͡ʃ ɔ r s k i
малкуцка	m a ɫ k u t͡s k a
мангупче	m a ŋ ɡ u p t͡ʃ ɛ
милениче	m i l ɛ n i t͡ʃ ɛ
мисиркин	m i s i r k i n
мислител	m i s l i t ɛ ɫ
млечност	m l ɛ t͡ʃ n ɔ s t
множеник	m n ɔ ʒ ɛ n i k
мрачност	m r a t͡ʃ n ɔ s t
мрежичка	m r ɛ ʒ i t͡ʃ k a
медарски	m ɛ d a r s k i
монахува	m ɔ n a x u v a
монаштво	m ɔ n a ʃ t v ɔ
менторка	m ɛ n t ɔ r k a
месингов	m ɛ s i ŋ ɡ ɔ f
местенце	m ɛ s t ɛ n t͡s ɛ
метарски	m ɛ t a r s k i
метличка	m ɛ t l i t͡ʃ k a
моторика	m ɔ t ɔ ɾ i k a
мелничар	m ɛ ɫ n i t͡ʃ a r
мелнички	m ɛ ɫ n i t͡ʃ k i
набрашни	n a b r a ʃ n i
надарува	n a d a ɾ u v a
надзорен	n a d z ɔ ɾ ɛ n
наденува	n a d ɛ n u v a
надотера	n a d ɔ t ɛ ɾ a
наивност	n a i v n ɔ s t
најквирц	n a j k v i r t͡s
најгвирц	n a j ɡ v i r t͡s
накитува	n a k i t u v a
наликува	n a l i k u v a
намамува	n a m a m u v a
наминува	n a m i n u v a
наменски	n a m ɛ n s k i
намотува	n a m ɔ t u v a
намерува	n a m ɛ ɾ u v a
намолува	n a m ɔ ɫ u v a
нанижува	n a n i ʒ u v a
напакува	n a p a k u v a
напасник	n a p a s n i k
наплиска	n a p l i s k a
наплеска	n a p l ɛ s k a
напротив	n a p r ɔ t i f
напомена	n a p ɔ m ɛ n a
нарација	n a r a t͡s i j a
насадува	n a s a d u v a
наситува	n a s i t u v a
наспроти	n a s p r ɔ t i
натажува	n a t a ʒ u v a
наточува	n a t ɔ t͡ʃ u v a
начекува	n a t͡ʃ ɛ k u v a
навасува	n a v a s u v a
наврнува	n a v r̩ n u v a
наводени	n a v ɔ d ɛ n i
назадува	n a z a d u v a
нагазува	n a ɡ a z u v a
нагрдува	n a ɡ r̩ d u v a
нагрнува	n a ɡ r̩ n u v a
никаквец	n i k a k v ɛ t͡s
небричен	n ɛ b r i t͡ʃ ɛ n
недобоен	n ɛ d ɔ b ɔ ɛ n
недопиен	n ɛ d ɔ p i j ɛ n
недопрен	n ɛ d ɔ p r ɛ n
недоучен	n ɛ d ɔ u t͡ʃ ɛ n
недошиен	n ɛ d ɔ ʃ i j ɛ n
неделник	n ɛ d ɛ ɫ n i k
неизмиен	n ɛ i z m i j ɛ n
неказнет	n ɛ k a z n ɛ t
нокширче	n ɔ k ʃ i r t͡ʃ ɛ
немилост	n ɛ m i ɫ ɔ s t
ненаспан	n ɛ n a s p a n
неплатен	n ɛ p ɫ a t ɛ n
непогода	n ɛ p ɔ ɡ ɔ d a
носивост	n ɔ s i v ɔ s t
неумност	n ɛ u m n ɔ s t
негација	n ɛ ɡ a t͡s i j a
необучен	n ɛ ɔ b u t͡ʃ ɛ n
неопишан	n ɛ ɔ p i ʃ a n
неоладен	n ɛ ɔ ɫ a d ɛ n
негодува	n ɛ ɡ ɔ d u v a
парталче	p a r t a ɫ t͡ʃ ɛ
партицип	p a r t i t͡s i p
пародија	p a r ɔ d i j a
палавост	p a ɫ a v ɔ s t
панкерка	p a ŋ k ɛ r k a
палтенце	p a ɫ t ɛ n t͡s ɛ
писменце	p i s m ɛ n t͡s ɛ
питомост	p i t ɔ m ɔ s t
пиварски	p i v a r s k i
пиштолче	p i ʃ t ɔ ɫ t͡ʃ ɛ
плиснува	p l i s n u v a
плиткост	p l i t k ɔ s t
практика	p r a k t i k a
прасенце	p r a s ɛ n t͡s ɛ
примарен	p r i m a ɾ ɛ n
приредба	p r i ɾ ɛ d b a
пребрише	p r ɛ b r i ʃ ɛ
преброди	p r ɛ b r ɔ d i
предипли	p r ɛ d i p l i
предвиди	p r ɛ d v i d i
предводи	p r ɛ d v ɔ d i
предлага	p r ɛ d ɫ a ɡ a
предложи	p r ɛ d ɫ ɔ ʒ i
преиначи	p r ɛ i n a t͡ʃ i
премреже	p r ɛ m r ɛ ʒ ɛ
премрзне	p r ɛ m r̩ z n ɛ
преплете	p r ɛ p l ɛ t ɛ
преплови	p r ɛ p ɫ ɔ v i
препород	p r ɛ p ɔ ɾ ɔ t
преслече	p r ɛ s l ɛ t͡ʃ ɛ
пресними	p r ɛ s n i m i
престрои	p r ɛ s t r ɔ i
пресложи	p r ɛ s ɫ ɔ ʒ i
протресе	p r ɔ t r ɛ s ɛ
претстои	p r ɛ t s t ɔ i
протокол	p r ɔ t ɔ k ɔ ɫ
проточен	p r ɔ t ɔ t͡ʃ ɛ n
пречисти	p r ɛ t͡ʃ i s t i
прочепка	p r ɔ t͡ʃ ɛ p k a
преупати	p r ɛ u p a t i
превитка	p r ɛ v i t k a
преврска	p r ɛ v r̩ s k a
превземе	p r ɛ v z ɛ m ɛ
превласт	p r ɛ v ɫ a s t
презрева	p r ɛ z r ɛ v a
прозорче	p r ɔ z ɔ r t͡ʃ ɛ
прерасне	p r ɛ ɾ a s n ɛ
проодува	p r ɔ ɔ d u v a
преживее	p r ɛ ʒ i v ɛ ɛ
проектен	p r ɔ ɛ k t ɛ n
прегледа	p r ɛ ɡ l ɛ d a
прегради	p r ɛ ɡ r a d i
прегризе	p r ɛ ɡ r i z ɛ
прегрева	p r ɛ ɡ r ɛ v a
прстенче	p r̩ s t ɛ n t͡ʃ ɛ
прсторед	p r̩ s t ɔ ɾ ɛ t
пргавост	p r̩ ɡ a v ɔ s t
пчеличка	p t͡ʃ ɛ l i t͡ʃ k a
пустиник	p u s t i n i k
пламнува	p ɫ a m n u v a
пламенче	p ɫ a m ɛ n t͡ʃ ɛ
планинче	p ɫ a n i n t͡ʃ ɛ
побратим	p ɔ b r a t i m
побрбори	p ɔ b r̩ b ɔ ɾ i
побркува	p ɔ b r̩ k u v a
поборник	p ɔ b ɔ r n i k
побелува	p ɔ b ɛ ɫ u v a
поданица	p ɔ d a n i t͡s a
поддршка	p ɔ d d r̩ ʃ k a
подлизне	p ɔ d l i z n ɛ
подмрдне	p ɔ d m r̩ d n ɛ
поднаучи	p ɔ d n a u t͡ʃ i
подрдори	p ɔ d r̩ d ɔ ɾ i
поделува	p ɔ d ɛ ɫ u v a
покајник	p ɔ k a j n i k
поканува	p ɔ k a n u v a
покривка	p ɔ k r i f k a
покркори	p ɔ k r̩ k ɔ ɾ i
полемика	p ɔ l ɛ m i k a
поморски	p ɔ m ɔ r s k i
понудува	p ɔ n u d u v a
попречен	p ɔ p r ɛ t͡ʃ ɛ n
порабува	p ɔ r a b u v a
пердувче	p ɛ r d u f t͡ʃ ɛ
перничка	p ɛ r n i t͡ʃ k a
персиски	p ɛ r s i s k i
портичка	p ɔ r t i t͡ʃ k a
последок	p ɔ s l ɛ d ɔ k
песничка	p ɛ s n i t͡ʃ k a
постапен	p ɔ s t a p ɛ n
постиска	p ɔ s t i s k a
постелен	p ɔ s t ɛ l ɛ n
постенка	p ɔ s t ɛ ŋ k a
послание	p ɔ s ɫ a n i j ɛ
поседник	p ɔ s ɛ d n i k
потпраша	p ɔ t p r a ʃ a
потркала	p ɔ t r̩ k a ɫ a
потсопне	p ɔ t s ɔ p n ɛ
потточка	p ɔ t t ɔ t͡ʃ k a
петунија	p ɛ t u n i j a
потекува	p ɔ t ɛ k u v a
потонува	p ɔ t ɔ n u v a
плукнува	p ɫ u k n u v a
поучност	p ɔ u t͡ʃ n ɔ s t
повикува	p ɔ v i k u v a
повелбен	p ɔ v ɛ ɫ b ɛ n
погазува	p ɔ ɡ a z u v a
погалами	p ɔ ɡ a ɫ a m i
погалува	p ɔ ɡ a ɫ u v a
погинува	p ɔ ɡ i n u v a
пешкирче	p ɛ ʃ k i r t͡ʃ ɛ
погрицка	p ɔ ɡ r i t͡s k a
поштарка	p ɔ ʃ t a r k a
пловност	p ɫ ɔ v n ɔ s t
полжавче	p ɔ ɫ ʒ a f t͡ʃ ɛ
погодува	p ɔ ɡ ɔ d u v a
поротник	p ɔ ɾ ɔ t n i k
раскрене	r a s k r ɛ n ɛ
раскрсти	r a s k r̩ s t i
распетла	r a s p ɛ t ɫ a
расповие	r a s p ɔ v i j ɛ
растапка	r a s t a p k a
расекува	r a s ɛ k u v a
раселува	r a s ɛ ɫ u v a
раширува	r a ʃ i ɾ u v a
расчепка	r a ʃ t͡ʃ ɛ p k a
расчетка	r a ʃ t͡ʃ ɛ t k a
расчешла	r a ʃ t͡ʃ ɛ ʃ ɫ a
рисјанин	r i s j a n i n
рицарски	r i t͡s a r s k i
рутински	r u t i n s k i
реалност	r ɛ a ɫ n ɔ s t
ребренце	r ɛ b r ɛ n t͡s ɛ
родовник	r ɔ d ɔ v n i k
роковник	r ɔ k ɔ v n i k
релјефен	r ɛ l j ɛ f ɛ n
ресторан	r ɛ s t ɔ r a n
реторика	r ɛ t ɔ ɾ i k a
релација	r ɛ ɫ a t͡s i j a
решеност	r ɛ ʃ ɛ n ɔ s t
самрачен	s a m r a t͡ʃ ɛ n
самохран	s a m ɔ x r a n
сармичка	s a r m i t͡ʃ k a
сибирски	s i b i r s k i
синџирче	s i n d͡ʒ i r t͡ʃ ɛ
сјајност	s j a j n ɔ s t
скршнува	s k r̩ ʃ n u v a
скудност	s k u d n ɔ s t
скокнува	s k ɔ k n u v a
скелетен	s k ɛ l ɛ t ɛ n
скорпија	s k ɔ r p i j a
сликовен	s l i k ɔ v ɛ n
смешност	s m ɛ ʃ n ɔ s t
спикерка	s p i k ɛ r k a
сплеткар	s p l ɛ t k a r
спринтер	s p r i n t ɛ r
спорност	s p ɔ r n ɔ s t
сродност	s r ɔ d n ɔ s t
сретнува	s r ɛ t n u v a
срочиште	s r ɔ t͡ʃ i ʃ t ɛ
сталешки	s t a l ɛ ʃ k i
стиснува	s t i s n u v a
страчкин	s t r a t͡ʃ k i n
стрмност	s t r̩ m n ɔ s t
сторител	s t ɔ ɾ i t ɛ ɫ
сунѓерче	s u n ɟ ɛ r t͡ʃ ɛ
сулфурен	s u ɫ f u ɾ ɛ n
султанов	s u ɫ t a n ɔ f
султанка	s u ɫ t a ŋ k a
суетност	s u ɛ t n ɔ s t
свиларка	s v i ɫ a r k a
свињарка	s v i ɲ a r k a
свеќарка	s v ɛ c a r k a
свеќичка	s v ɛ c i t͡ʃ k a
светлост	s v ɛ t ɫ ɔ s t
славејче	s ɫ a v ɛ j t͡ʃ ɛ
соборува	s ɔ b ɔ ɾ u v a
сеирџија	s ɛ i r d͡ʒ i j a
соленост	s ɔ l ɛ n ɔ s t
соматски	s ɔ m a t s k i
сонценце	s ɔ n t͡s ɛ n t͡s ɛ
септички	s ɛ p t i t͡ʃ k i
сестриче	s ɛ s t r i t͡ʃ ɛ
сословие	s ɔ s ɫ ɔ v i j ɛ
советски	s ɔ v ɛ t s k i
создание	s ɔ z d a n i j ɛ
солзичка	s ɔ ɫ z i t͡ʃ k a
сложенка	s ɫ ɔ ʒ ɛ ŋ k a
ташничка	t a ʃ n i t͡ʃ k a
тигарски	t i ɡ a r s k i
трајност	t r a j n ɔ s t
трансфер	t r a n s f ɛ r
триделен	t r i d ɛ l ɛ n
тревичка	t r ɛ v i t͡ʃ k a
трошочен	t r ɔ ʃ ɔ t͡ʃ ɛ n
тржество	t r̩ ʒ ɛ s t v ɔ
туморски	t u m ɔ r s k i
туѓински	t u ɟ i n s k i
тефтерче	t ɛ f t ɛ r t͡ʃ ɛ
тенорски	t ɛ n ɔ r s k i
топличок	t ɔ p l i t͡ʃ ɔ k
тетратче	t ɛ t r a t t͡ʃ ɛ
тешкичок	t ɛ ʃ k i t͡ʃ ɔ k
црквичка	t͡s r̩ k v i t͡ʃ k a
цвеќенце	t͡s v ɛ c ɛ n t͡s ɛ
чаршафче	t͡ʃ a r ʃ a f t͡ʃ ɛ
чистачки	t͡ʃ i s t a t͡ʃ k i
чизмичка	t͡ʃ i z m i t͡ʃ k a
чепорест	t͡ʃ ɛ p ɔ ɾ ɛ s t
чорбичка	t͡ʃ ɔ r b i t͡ʃ k a
четкичка	t͡ʃ ɛ t k i t͡ʃ k a
четворче	t͡ʃ ɛ t v ɔ r t͡ʃ ɛ
чевличка	t͡ʃ ɛ v l i t͡ʃ k a
човештво	t͡ʃ ɔ v ɛ ʃ t v ɔ
чешмичка	t͡ʃ ɛ ʃ m i t͡ʃ k a
удобност	u d ɔ b n ɔ s t
удопство	u d ɔ p s t v ɔ
уметница	u m ɛ t n i t͡s a
усрдност	u s r̩ d n ɔ s t
усвојлив	u s v ɔ j l i f
услужува	u s ɫ u ʒ u v a
условува	u s ɫ ɔ v u v a
увезувач	u v ɛ z u v a t͡ʃ
уредност	u ɾ ɛ d n ɔ s t
вампирче	v a m p i r t͡ʃ ɛ
варварка	v a r v a r k a
варварин	v a r v a ɾ i n
вбројува	v b r ɔ j u v a
вдовство	v d ɔ f s t v ɔ
видричка	v i d r i t͡ʃ k a
виуличав	v i j u l i t͡ʃ a f
викиншки	v i k i n ʃ k i
винарски	v i n a r s k i
виножито	v i n ɔ ʒ i t ɔ
витештва	v i t ɛ ʃ t v a
витештво	v i t ɛ ʃ t v ɔ
вмрежува	v m r ɛ ʒ u v a
внедрува	v n ɛ d r u v a
вратарка	v r a t a r k a
вреќичка	v r ɛ c i t͡ʃ k a
вреснува	v r ɛ s n u v a
вретенце	v r ɛ t ɛ n t͡s ɛ
влажност	v ɫ a ʒ n ɔ s t
воинство	v ɔ i n s t v ɔ
велигден	v ɛ l i ɡ d ɛ n
венеција	v ɛ n ɛ t͡s i j a
верничка	v ɛ r n i t͡ʃ k a
веселост	v ɛ s ɛ ɫ ɔ s t
вежбанка	v ɛ ʒ b a ŋ k a
воглавно	v ɔ ɡ ɫ a v n ɔ
хартивче	x a r t i f t͡ʃ ɛ
харзувал	x a r z u v a ɫ
забутува	z a b u t u v a
забучува	z a b u t͡ʃ u v a
забулува	z a b u ɫ u v a
забодува	z a b ɔ d u v a
заќутува	z a c u t u v a
задавува	z a d a v u v a
задувува	z a d u v u v a
задушува	z a d u ʃ u v a
зајадува	z a j a d u v a
закалува	z a k a ɫ u v a
закитува	z a k i t u v a
закрпува	z a k r̩ p u v a
закочува	z a k ɔ t͡ʃ u v a
заклучен	z a k ɫ u t͡ʃ ɛ n
заколува	z a k ɔ ɫ u v a
заличува	z a l i t͡ʃ u v a
заледува	z a l ɛ d u v a
залепува	z a l ɛ p u v a
замајува	z a m a j u v a
заматува	z a m a t u v a
замрсува	z a m r̩ s u v a
замесува	z a m ɛ s u v a
замешува	z a m ɛ ʃ u v a
замолува	z a m ɔ ɫ u v a
занишува	z a n i ʃ u v a
западњак	z a p a d ɲ a k
запазува	z a p a z u v a
записник	z a p i s n i k
запржува	z a p r̩ ʒ u v a
запекува	z a p ɛ k u v a
зарекува	z a r ɛ k u v a
засакува	z a s a k u v a
засукува	z a s u k u v a
затајува	z a t a j u v a
зачадува	z a t͡ʃ a d u v a
зачукува	z a t͡ʃ u k u v a
заврнува	z a v r̩ n u v a
завртува	z a v r̩ t u v a
заврзува	z a v r̩ z u v a
завршува	z a v r̩ ʃ u v a
завојува	z a v ɔ j u v a
заладува	z a ɫ a d u v a
залајува	z a ɫ a j u v a
залажува	z a ɫ a ʒ u v a
загинува	z a ɡ i n u v a
зашилува	z a ʃ i ɫ u v a
заемност	z a ɛ m n ɔ s t
загрмува	z a ɡ r̩ m u v a
загубува	z a ɡ u b u v a
загушува	z a ɡ u ʃ u v a
загорува	z a ɡ ɔ ɾ u v a
збиеност	z b i j ɛ n ɔ s t
зближува	z b l i ʒ u v a
збеснува	z b ɛ s n u v a
збороред	z b ɔ ɾ ɔ ɾ ɛ t
здиплува	z d i p ɫ u v a
знаменце	z n a m ɛ n t͡s ɛ
звучност	z v u t͡ʃ n ɔ s t
згаснува	z ɡ a s n u v a
златарка	z ɫ a t a r k a
згазнува	z ɡ a z n u v a
земјичка	z ɛ m j i t͡ʃ k a
згмечува	z ɡ m ɛ t͡ʃ u v a
згрижува	z ɡ r i ʒ u v a
згрешува	z ɡ r ɛ ʃ u v a
згодност	z ɡ ɔ d n ɔ s t
лабавост	ɫ a b a v ɔ s t
ладничок	ɫ a d n i t͡ʃ ɔ k
гајдаџии	ɡ a j d a d͡ʒ i i
лакрдија	ɫ a k r̩ d i j a
ѓаконски	ɟ a k ɔ n s k i
ламбичка	ɫ a m b i t͡ʃ k a
шапкарка	ʃ a p k a r k a
шаторски	ʃ a t ɔ r s k i
гавранче	ɡ a v r a n t͡ʃ ɛ
гавранов	ɡ a v r a n ɔ f
ѓаволест	ɟ a v ɔ l ɛ s t
ѓаволски	ɟ a v ɔ ɫ s k i
шаховски	ʃ a x ɔ f s k i
шашавост	ʃ a ʃ a v ɔ s t
обдарува	ɔ b d a ɾ u v a
обилност	ɔ b i ɫ n ɔ s t
обновлив	ɔ b n ɔ v l i f
обврзник	ɔ b v r̩ z n i k
обемност	ɔ b ɛ m n ɔ s t
одборник	ɔ d b ɔ r n i k
единство	ɛ d i n s t v ɔ
одигрува	ɔ d i ɡ r u v a
одморски	ɔ d m ɔ r s k i
одметник	ɔ d m ɛ t n i k
одмерува	ɔ d m ɛ ɾ u v a
однесува	ɔ d n ɛ s u v a
едноумие	ɛ d n ɔ u m i j ɛ
одродник	ɔ d r ɔ d n i k
одвртува	ɔ d v r̩ t u v a
одведува	ɔ d v ɛ d u v a
одвојува	ɔ d v ɔ j u v a
одлазува	ɔ d ɫ a z u v a
живински	ʒ i v i n s k i
жилавост	ʒ i ɫ a v ɔ s t
екстерен	ɛ k s t ɛ ɾ ɛ n
околност	ɔ k ɔ ɫ n ɔ s t
гледачки	ɡ l ɛ d a t͡ʃ k i
омаеност	ɔ m a ɛ n ɔ s t
гневност	ɡ n ɛ v n ɔ s t
шпионски	ʃ p i j ɔ n s k i
опсадник	ɔ p s a d n i k
опсипува	ɔ p s i p u v a
опсудува	ɔ p s u d u v a
опојност	ɔ p ɔ j n ɔ s t
шпоретче	ʃ p ɔ ɾ ɛ t t͡ʃ ɛ
гракнува	ɡ r a k n u v a
гранитен	ɡ r a n i t ɛ n
гризнува	ɡ r i z n u v a
групичка	ɡ r u p i t͡ʃ k a
гребнува	ɡ r ɛ b n u v a
ергенува	ɛ r ɡ ɛ n u v a
грбавост	ɡ r̩ b a v ɔ s t
грбовник	ɡ r̩ b ɔ v n i k
остарува	ɔ s t a ɾ u v a
островче	ɔ s t r ɔ f t͡ʃ ɛ
оседлува	ɔ s ɛ d ɫ u v a
есеноска	ɛ s ɛ n ɔ s k a
откачува	ɔ t k a t͡ʃ u v a
откинува	ɔ t k i n u v a
откупува	ɔ t k u p u v a
отпадник	ɔ t p a d n i k
отпакува	ɔ t p a k u v a
отпатува	ɔ t p a t u v a
отпишува	ɔ t p i ʃ u v a
отпечати	ɔ t p ɛ t͡ʃ a t i
отрпнува	ɔ t r̩ p n u v a
отстапка	ɔ t s t a p k a
отсекува	ɔ t s ɛ k u v a
отчукува	ɔ t t͡ʃ u k u v a
штедрост	ʃ t ɛ d r ɔ s t
штетност	ʃ t ɛ t n ɔ s t
отшелник	ɔ t ʃ ɛ ɫ n i k
ѓубренце	ɟ u b r ɛ n t͡s ɛ
еуфонија	ɛ u f ɔ n i j a
ѓуптинка	ɟ u p t i ŋ k a
гусарски	ɡ u s a r s k i
гуштерче	ɡ u ʃ t ɛ r t͡ʃ ɛ
еугеника	ɛ u ɡ ɛ n i k a
европски	ɛ v r ɔ p s k i
озрачува	ɔ z r a t͡ʃ u v a
озвучува	ɔ z v u t͡ʃ u v a
гласачки	ɡ ɫ a s a t͡ʃ k i
гласилка	ɡ ɫ a s i ɫ k a
главатар	ɡ ɫ a v a t a r
годишник	ɡ ɔ d i ʃ n i k
генетика	ɡ ɛ n ɛ t i k a
ѓерданче	ɟ ɛ r d a n t͡ʃ ɛ
олтарски	ɔ ɫ t a r s k i
жетварка	ʒ ɛ t v a r k a
ловџиски	ɫ ɔ v d͡ʒ i s k i
огламник	ɔ ɡ ɫ a m n i k
огласник	ɔ ɡ ɫ a s n i k
голтнува	ɡ ɔ ɫ t n u v a
логорува	ɫ ɔ ɡ ɔ ɾ u v a
аболиција	a b ɔ l i t͡s i j a
аберација	a b ɛ r a t͡s i j a
автархија	a f t a r x i j a
автомобил	a f t ɔ m ɔ b i ɫ
ајдутство	a j d u t s t v ɔ
академија	a k a d ɛ m i j a
актерство	a k t ɛ r s t v ɔ
алегорија	a l ɛ ɡ ɔ ɾ i j a
амнестија	a m n ɛ s t i j a
аномалија	a n ɔ m a l i j a
апозиција	a p ɔ z i t͡s i j a
аргентина	a r ɡ ɛ n t i n a
аскетство	a s k ɛ t s t v ɔ
авијација	a v i j a t͡s i j a
аристотел	a ɾ i s t ɔ t ɛ ɫ
балистика	b a l i s t i k a
бандитски	b a n d i t s k i
барабанче	b a r a b a n t͡ʃ ɛ
барателка	b a r a t ɛ ɫ k a
баронство	b a ɾ ɔ n s t v ɔ
биохемија	b i j ɔ x ɛ m i j a
бискупија	b i s k u p i j a
британија	b r i t a n i j a
бројчаник	b r ɔ j t͡ʃ a n i k
брбливост	b r̩ b l i v ɔ s t
благајник	b ɫ a ɡ a j n i k
беќарство	b ɛ c a r s t v ɔ
бендисува	b ɛ n d i s u v a
боцкавост	b ɔ t͡s k a v ɔ s t
блуднички	b ɫ u d n i t͡ʃ k i
безделник	b ɛ z d ɛ ɫ n i k
безумност	b ɛ z u m n ɔ s t
далечност	d a l ɛ t͡ʃ n ɔ s t
дарителка	d a r i t ɛ ɫ k a
дидактика	d i d a k t i k a
дипломски	d i p ɫ ɔ m s k i
дистопија	d i s t ɔ p i j a
дигнатост	d i ɡ n a t ɔ s t
другарува	d r u ɡ a ɾ u v a
државичка	d r̩ ʒ a v i t͡ʃ k a
државност	d r̩ ʒ a v n ɔ s t
добричува	d ɔ b r i t͡ʃ u v a
добришува	d ɔ b r i ʃ u v a
добројува	d ɔ b r ɔ j u v a
додиплува	d ɔ d i p ɫ u v a
доџвакува	d ɔ d͡ʒ v a k u v a
дефлација	d ɛ f ɫ a t͡s i j a
докројува	d ɔ k r ɔ j u v a
докторува	d ɔ k t ɔ ɾ u v a
доличност	d ɔ l i t͡ʃ n ɔ s t
деменција	d ɛ m ɛ n t͡s i j a
допливува	d ɔ p l i v u v a
доплетува	d ɔ p l ɛ t u v a
дорамнува	d ɔ r a m n u v a
достудува	d ɔ s t u d u v a
десетпати	d ɛ s ɛ t p a t i
дослушува	d ɔ s ɫ u ʃ u v a
доткајува	d ɔ t k a j u v a
дотрошува	d ɔ t r ɔ ʃ u v a
дотолчува	d ɔ t ɔ ɫ t͡ʃ u v a
дочистува	d ɔ t͡ʃ i s t u v a
доуредува	d ɔ u r ɛ d u v a
довиткува	d ɔ v i t k u v a
довлекува	d ɔ v l ɛ k u v a
деветпати	d ɛ v ɛ t p a t i
дозакопча	d ɔ z a k ɔ p t͡ʃ a
делфински	d ɛ ɫ f i n s k i
догледува	d ɔ ɡ l ɛ d u v a
догмечува	d ɔ ɡ m ɛ t͡ʃ u v a
догребува	d ɔ ɡ r ɛ b u v a
доострува	d ɔ ɔ s t r u v a
дежурство	d ɛ ʒ u r s t v ɔ
должински	d ɔ ɫ ʒ i n s k i
должничка	d ɔ ɫ ʒ n i t͡ʃ k a
дошепнува	d ɔ ʃ ɛ p n u v a
ѕидарство	d͡z i d a r s t v ɔ
ѕвонарски	d͡z v ɔ n a r s k i
ѕвездичка	d͡z v ɛ z d i t͡ʃ k a
фаличност	f a l i t͡ʃ n ɔ s t
