ababa	aβaβa
adjuntadas	aðxũn̪t̪aðas
adjuntado	aðxũn̪t̪aðo
adjuntados	aðxũn̪t̪aðos
adjuntar	aðxũn̪t̪aɾ
adjunto	aðxũn̪t̪o
adjurado	aðxuɾaðo
adlátere	aðlat̪eɾe
administración	aðminist̪ɾaθjõn
administración	aðminist̪ɾasjõn
administrada	aðminist̪ɾaða
administradas	aðminist̪ɾaðas
administrado	aðminist̪ɾaðo
administrador	aðminist̪ɾaðoɾ
administrados	aðminist̪ɾaðos
administrar	aðminist̪ɾaɾ
administrativo	aðminist̪ɾat̪iβo
admira	aðmiɾa
admirable	aðmiɾaβle
admiración	aðmiɾaθjõn
admiración	aðmiɾasjõn
admiraciones	aðmiɾaθjones
admiraciones	aðmiɾasjones
admirada	aðmiɾaða
admiradas	aðmiɾaðas
admirado	aðmiɾaðo
admirador	aðmiɾaðoɾ
admirados	aðmiɾaðos
admiramos	aðmiɾamos
admirando	aðmiɾãn̪d̪o
admirar	aðmiɾaɾ
admirara	aðmiɾaɾa
admirará	aðmiɾaɾa
admiráramos	aðmiɾaɾamos
admiraras	aðmiɾaɾas
admirarás	aðmiɾaɾas
admirareis	aðmiɾaɾei̯s
admiraremos	aðmiɾaɾemos
admirares	aðmiɾaɾes
admiraríamos	aðmiɾaɾiamos
admiras	aðmiɾas
admiraste	aðmiɾast̪e
admirativo	aðmiɾat̪iβo
admire	aðmiɾe
admiremos	aðmiɾemos
admires	aðmiɾes
admiro	aðmiɾo
admisibilidad	aðmisiβiliðað
admisible	aðmisiβle
admisión	aðmisjõn
admitida	aðmit̪iða
admitidas	aðmit̪iðas
admitido	aðmit̪iðo
admitidos	aðmit̪iðos
admitir	aðmit̪iɾ
admonición	aðmoniθjõn
admonición	aðmonisjõn
admonitorio	aðmonit̪oɾjo
adnado	aðnaðo
adnato	aðnat̪o
adobada	aðoβaða
adobadas	aðoβaðas
adobado	aðoβaðo
adobados	aðoβaðos
adobar	aðoβaɾ
adobe	aðoβe
adobo	aðoβo
adocenado	aðoθenaðo
adocenado	aðosenaðo
adocenamiento	aðoθenamjẽn̪t̪o
adocenamiento	aðosenamjẽn̪t̪o
adocenar	aðoθenaɾ
adocenar	aðosenaɾ
adoctrinada	aðoɣt̪ɾinaða
adoctrinadas	aðoɣt̪ɾinaðas
adoctrinado	aðoɣt̪ɾinaðo
adoctrinados	aðoɣt̪ɾinaðos
adoctrinamiento	aðoɣt̪ɾinamjẽn̪t̪o
adoctrinar	aðoɣt̪ɾinaɾ
adolecer	aðoleθeɾ
adolecer	aðoleseɾ
adolecida	aðoleθiða
adolecida	aðolesiða
adolecidas	aðoleθiðas
adolecidas	aðolesiðas
adolecido	aðoleθiðo
adolecido	aðolesiðo
adolecidos	aðoleθiðos
adolecidos	aðolesiðos
adolescencia	aðolesθẽn̟θja
adolescencia	aðolessẽnsja
adolescente	aðolesθẽn̪t̪e
adolescente	aðolessẽn̪t̪e
adolfito	aðolfit̪o
adolfo	aðolfo
adolorido	aðoloɾiðo
adonde	aðõn̪d̪e
adónde	aðõn̪d̪e
adondequiera	aðõn̪d̪ekjeɾa
adopción	aðoβθjõn
adopción	aðoβsjõn
adoptable	aðoβt̪aβle
adoptada	aðoβt̪aða
adoptadas	aðoβt̪aðas
adoptado	aðoβt̪aðo
adoptados	aðoβt̪aðos
adoptante	aðoβt̪ãn̪t̪e
adoptar	aðoβt̪aɾ
adoptivo	aðoβt̪iβo
adoquín	aðokĩn
adoquinada	aðokinaða
adoquinadas	aðokinaðas
adoquinado	aðokinaðo
adoquinados	aðokinaðos
adoquinar	aðokinaɾ
ador	aðoɾ
adorable	aðoɾaβle
adoración	aðoɾaθjõn
adoración	aðoɾasjõn
adorada	aðoɾaða
adoradas	aðoɾaðas
adorado	aðoɾaðo
adorador	aðoɾaðoɾ
adorados	aðoɾaðos
adorar	aðoɾaɾ
adoratorio	aðoɾat̪oɾjo
adormecedor	aðormeθeðoɾ
adormecedor	aðormeseðoɾ
adormecer	aðormeθeɾ
adormecer	aðormeseɾ
adormecida	aðormeθiða
adormecida	aðormesiða
adormecidas	aðormeθiðas
adormecidas	aðormesiðas
adormecido	aðormeθiðo
adormecido	aðormesiðo
adormecidos	aðormeθiðos
adormecidos	aðormesiðos
adormidera	aðormiðeɾa
adormilada	aðormilaða
adormiladas	aðormilaðas
adormilado	aðormilaðo
adormilados	aðormilaðos
adormilamiento	aðormilamjẽn̪t̪o
adormilar	aðormilaɾ
adornada	aðornaða
adornadas	aðornaðas
adornado	aðornaðo
adornados	aðornaðos
adornamos	aðornamos
adornando	aðornãn̪d̪o
adornar	aðornaɾ
adosada	aðosaða
adosado	aðosaðo
adosar	aðosaɾ
adquirente	aðkiɾẽn̪t̪e
adquirible	aðkiɾiβle
adquirida	aðkiɾiða
adquiridas	aðkiɾiðas
adquirido	aðkiɾiðo
adquiridos	aðkiɾiðos
adquiriente	aðkiɾjẽn̪t̪e
adquirir	aðkiɾiɾ
adquisición	aðkisiθjõn
adquisición	aðkisisjõn
adquisitivo	aðkisit̪iβo
adrede	aðɾeðe
adrenal	aðɾenal
adrenalina	aðɾenalina
adrenérgico	aðɾenerxiko
adri	aðɾi
adrián	aðɾjãn
adriana	aðɾjana
adriano	aðɾjano
adriático	aðɾjat̪iko
adscribir	aðskɾiβiɾ
adscripción	aðskɾiβθjõn
adscripción	aðskɾiβsjõn
adscripta	aðskɾiβt̪a
adscriptas	aðskɾiβt̪as
adscripto	aðskɾiβt̪o
adscriptos	aðskɾiβt̪os
adscrita	aðskɾit̪a
adscritas	aðskɾit̪as
adscrito	aðskɾit̪o
adscritos	aðskɾit̪os
adsorción	aðsoɾθjõn
adsorción	aðsorsjõn
aduana	aðwana
aduanal	aðwanal
aduanero	aðwaneɾo
aduar	aðwaɾ
aducción	aðuɣθjõn
aducción	aðuɣsjõn
aducida	aðuθiða
aducida	aðusiða
aducidas	aðuθiðas
aducidas	aðusiðas
aducido	aðuθiðo
aducido	aðusiðo
aducidos	aðuθiðos
aducidos	aðusiðos
aducir	aðuθiɾ
aducir	aðusiɾ
aductor	aðuɣt̪oɾ
adueñada	aðweɲaða
adueñadas	aðweɲaðas
adueñado	aðweɲaðo
adueñados	aðweɲaðos
adueñar	aðweɲaɾ
adueñarse	aðweɲarse
aduja	aðuxa
adujada	aðuxaða
adujadas	aðuxaðas
adujado	aðuxaðo
adujados	aðuxaðos
adujar	aðuxaɾ
adujas	aðuxas
aduje	aðuxe
adujé	aðuxe
adujo	aðuxo
adujó	aðuxo
adulación	aðulaθjõn
adulación	aðulasjõn
adulada	aðulaða
aduladas	aðulaðas
adulado	aðulaðo
adulador	aðulaðoɾ
adulados	aðulaðos
adulancia	aðulãn̟θja
adulancia	aðulãnsja
adulando	aðulãn̪d̪o
adulante	aðulãn̪t̪e
adular	aðulaɾ
adularia	aðulaɾja
adulo	aðulo
adulón	aðulõn
adulta	aðul̪t̪a
adulteración	aðul̪t̪eɾaθjõn
adulteración	aðul̪t̪eɾasjõn
adulterada	aðul̪t̪eɾaða
adulteradas	aðul̪t̪eɾaðas
adulterado	aðul̪t̪eɾaðo
adulterados	aðul̪t̪eɾaðos
adulterando	aðul̪t̪eɾãn̪d̪o
adulterar	aðul̪t̪eɾaɾ
adulterare	aðul̪t̪eɾaɾe
adulteré	aðul̪t̪eɾe
adulterino	aðul̪t̪eɾino
adulterio	aðul̪t̪eɾjo
adultero	aðul̪t̪eɾo
adúltero	aðul̪t̪eɾo
adultez	aðul̪t̪eθ
adultez	aðul̪t̪es
adulticida	aðul̪t̪iθiða
adulticida	aðul̪t̪isiða
adulto	aðul̪t̪o
adurida	aðuɾiða
aduridas	aðuɾiðas
adurido	aðuɾiðo
aduridos	aðuɾiðos
adurir	aðuɾiɾ
adusto	aðust̪o
advección	aðβeɣθjõn
advección	aðβeɣsjõn
advenedizo	aðβeneðiθo
advenedizo	aðβeneðiso
advenida	aðβeniða
advenidas	aðβeniðas
advenido	aðβeniðo
advenidos	aðβeniðos
advenimiento	aðβenimjẽn̪t̪o
advenir	aðβeniɾ
adventicio	aðβẽn̪t̪iθjo
adventicio	aðβẽn̪t̪isjo
adventista	aðβẽn̪t̪ist̪a
adveración	aðβeɾaθjõn
adveración	aðβeɾasjõn
adveraciones	aðβeɾaθjones
adveraciones	aðβeɾasjones
adverada	aðβeɾaða
adveradas	aðβeɾaðas
adverado	aðβeɾaðo
adverados	aðβeɾaðos
adverar	aðβeɾaɾ
adverbial	aðβerβjal
adverbio	aðβerβjo
adversar	aðβersaɾ
adversaria	aðβersaɾja
adversaría	aðβersaɾia
adversarias	aðβersaɾjas
adversarías	aðβersaɾias
adversario	aðβersaɾjo
adversarios	aðβersaɾjos
adversativo	aðβersat̪iβo
adversidad	aðβersiðað
advertencia	aðβert̪ẽn̟θja
advertencia	aðβert̪ẽnsja
advertible	aðβert̪iβle
advertida	aðβert̪iða
advertidas	aðβert̪iðas
advertido	aðβert̪iðo
advertidos	aðβert̪iðos
advertimiento	aðβert̪imjẽn̪t̪o
advertir	aðβert̪iɾ
adviento	aðβjẽn̪t̪o
advíncula	aðβĩŋkula
advocación	aðβokaθjõn
advocación	aðβokasjõn
advocad	aðβokað
advocada	aðβokaða
advocadas	aðβokaðas
advocado	aðβokaðo
advocados	aðβokaðos
advocando	aðβokãn̪d̪o
advocar	aðβokaɾ
adware	aðweɾ
adyacencia	aðʝaθẽn̟θja
adyacencia	aðʝasẽnsja
adyacente	aðʝaθẽn̪t̪e
adyacente	aðʝasẽn̪t̪e
adyacer	aðʝaθeɾ
adyacer	aðʝaseɾ
adyuvante	aðʝuβãn̪t̪e
aedo	aeðo
aerada	aeɾaða
aeradas	aeɾaðas
aerado	aeɾaðo
aerados	aeɾaðos
aeran	aeɾãn
aerando	aeɾãn̪d̪o
aerareis	aeɾaɾei̯s
aeraste	aeɾast̪e
aeróbic	aeɾoβiɣ
aeróbico	aeɾoβiko
aerobio	aeɾoβjo
aerobús	aeɾoβus
aeródromo	aeɾoðɾomo
aeroestación	aeɾoest̪aθjõn
aeroestación	aeɾoest̪asjõn
aerófobo	aeɾofoβo
aerogenerador	aeɾoxeneɾaðoɾ
aerogeneradores	aeɾoxeneɾaðoɾes
aerografiada	aeɾoɣɾafjaða
aerografiadas	aeɾoɣɾafjaðas
aerografiado	aeɾoɣɾafjaðo
aerografiados	aeɾoɣɾafjaðos
aerolito	aeɾolit̪o
aerolitos	aeɾolit̪os
aeronauta	aeɾonau̯t̪a
aeronaval	aeɾonaβal
aeropuerto	aeɾopwert̪o
aerostato	aeɾost̪at̪o
aeróstato	aeɾost̪at̪o
aerotaxi	aeɾot̪aɣsi
aerotransportable	aeɾot̪ɾãnsport̪aβle
aerotransportada	aeɾot̪ɾãnsport̪aða
aerotransportadas	aeɾot̪ɾãnsport̪aðas
aerotransportado	aeɾot̪ɾãnsport̪aðo
aerotransportados	aeɾot̪ɾãnsport̪aðos
aerotransportar	aeɾot̪ɾãnsport̪aɾ
aerovía	aeɾoβia
afabilidad	afaβiliðað
afable	afaβle
afamada	afamaða
afamadas	afamaðas
afamado	afamaðo
afamados	afamaðos
afán	afãn
afanada	afanaða
afanadas	afanaðas
afanado	afanaðo
afanador	afanaðoɾ
afanados	afanaðos
afanítico	afanit̪iko
afantasmar	afãn̪t̪azmaɾ
afeada	afeaða
afeadas	afeaðas
afeado	afeaðo
afeados	afeaðos
afeamiento	afeamjẽn̪t̪o
afección	afeɣθjõn
afección	afeɣsjõn
afecta	afeɣt̪a
afectable	afeɣt̪aβle
afectación	afeɣt̪aθjõn
afectación	afeɣt̪asjõn
afectada	afeɣt̪aða
afectadas	afeɣt̪aðas
afectado	afeɣt̪aðo
afectados	afeɣt̪aðos
afectamos	afeɣt̪amos
afectando	afeɣt̪ãn̪d̪o
afectante	afeɣt̪ãn̪t̪e
afectar	afeɣt̪aɾ
afectara	afeɣt̪aɾa
afectará	afeɣt̪aɾa
afectáramos	afeɣt̪aɾamos
afectaras	afeɣt̪aɾas
afectarás	afeɣt̪aɾas
afectareis	afeɣt̪aɾei̯s
afectaremos	afeɣt̪aɾemos
afectares	afeɣt̪aɾes
afectaríamos	afeɣt̪aɾiamos
afectas	afeɣt̪as
afectaste	afeɣt̪ast̪e
afecte	afeɣt̪e
afectemos	afeɣt̪emos
afectes	afeɣt̪es
afectísimo	afeɣt̪isimo
afectiva	afeɣt̪iβa
afectividad	afeɣt̪iβiðað
afectivo	afeɣt̪iβo
afecto	afeɣt̪o
afectuosa	afeɣt̪wosa
afectuosidad	afeɣt̪wosiðað
afectuoso	afeɣt̪woso
afectuosos	afeɣt̪wosos
afeita	afei̯t̪a
afeitada	afei̯t̪aða
afeitado	afei̯t̪aðo
afeitadora	afei̯t̪aðoɾa
afeitar	afei̯t̪aɾ
afeitarse	afei̯t̪arse
afeitas	afei̯t̪as
afeito	afei̯t̪o
afeminación	afeminaθjõn
afeminación	afeminasjõn
afeminada	afeminaða
afeminadas	afeminaðas
afeminado	afeminaðo
afeminados	afeminaðos
afeminamiento	afeminamjẽn̪t̪o
afeminando	afeminãn̪d̪o
afeminareis	afeminaɾei̯s
afeminaréis	afeminaɾei̯s
afeminaste	afeminast̪e
aferencia	afeɾẽn̟θja
aferencia	afeɾẽnsja
aferente	afeɾẽn̪t̪e
aferrada	aferaða
aferradas	aferaðas
aferrado	aferaðo
aferrados	aferaðos
aferramiento	aferamjẽn̪t̪o
afgana	avɣana
afganas	avɣanas
afgani	avɣani
afganistán	avɣanist̪ãn
afgano	avɣano
afganos	avɣanos
afianzado	afjãn̟θaðo
afianzado	afjãnsaðo
afianzamiento	afjãn̟θamjẽn̪t̪o
afianzamiento	afjãnsamjẽn̪t̪o
afianzar	afjãn̟θaɾ
afianzar	afjãnsaɾ
afición	afiθjõn
afición	afisjõn
aficionadísimo	afiθjonaðisimo
aficionadísimo	afisjonaðisimo
aficionado	afiθjonaðo
aficionado	afisjonaðo
áfido	afiðo
afiebrar	afjeβɾaɾ
afilada	afilaða
afiladas	afilaðas
afiladera	afilaðeɾa
afilado	afilaðo
afilador	afilaðoɾ
afilados	afilaðos
afilando	afilãn̪d̪o
afilareis	afilaɾei̯s
afilaste	afilast̪e
afiliación	afiljaθjõn
afiliación	afiljasjõn
afiliada	afiljaða
afiliadas	afiljaðas
afiliado	afiljaðo
afiliados	afiljaðos
afiligranada	afiliɣɾanaða
afiligranadas	afiliɣɾanaðas
afiligranado	afiliɣɾanaðo
afiligranados	afiliɣɾanaðos
afiligranar	afiliɣɾanaɾ
afín	afĩn
afinación	afinaθjõn
afinación	afinasjõn
afinada	afinaða
afinadas	afinaðas
afinado	afinaðo
afinador	afinaðoɾ
afinados	afinaðos
afinamiento	afinamjẽn̪t̪o
afinando	afinãn̪d̪o
afincada	afĩŋkaða
afincadas	afĩŋkaðas
afincado	afĩŋkaðo
afincados	afĩŋkaðos
afincamiento	afĩŋkamjẽn̪t̪o
afincamientos	afĩŋkamjẽn̪t̪os
afincar	afĩŋkaɾ
afinidad	afiniðað
afirmación	afirmaθjõn
afirmación	afirmasjõn
afirmada	afirmaða
afirmadas	afirmaðas
afirmado	afirmaðo
afirmados	afirmaðos
afirmativa	afirmat̪iβa
afirmativo	afirmat̪iβo
aflictivo	afliɣt̪iβo
afligida	aflixiða
afligidas	aflixiðas
afligido	aflixiðo
afligidos	aflixiðos
aflojada	afloxaða
aflojadas	afloxaðas
aflojado	afloxaðo
aflojados	afloxaðos
aflorada	afloɾaða
afloradas	afloɾaðas
aflorado	afloɾaðo
aflorados	afloɾaðos
afluente	a̠flue̞nte̞
afluida	aflwiða
afluidas	aflwiðas
afluido	aflwiðo
afluidos	aflwiðos
aforado	afoɾaðo
aforismo	afoɾizmo
aforístico	afoɾist̪iko
aforrada	aforaða
aforradas	aforaðas
aforrado	aforaðo
aforrados	aforaðos
afortunadamente	afort̪unaðamẽn̪t̪e
afortunado	afort̪unaðo
afrancesada	afɾãn̟θesaða
afrancesada	afɾãnsesaða
afrancesadas	afɾãn̟θesaðas
afrancesadas	afɾãnsesaðas
afrancesado	afɾãn̟θesaðo
afrancesado	afɾãnsesaðo
afrancesados	afɾãn̟θesaðos
afrancesados	afɾãnsesaðos
afrancesamiento	afɾãn̟θesamjẽn̪t̪o
afrancesamiento	afɾãnsesamjẽn̪t̪o
afrancesando	afɾãn̟θesãn̪d̪o
afrancesando	afɾãnsesãn̪d̪o
afrancesar	afɾãn̟θesaɾ
afrancesar	afɾãnsesaɾ
afrenta	afɾẽn̪t̪a
afrentado	afɾẽn̪t̪aðo
afrentar	afɾẽn̪t̪aɾ
afrentoso	afɾẽn̪t̪oso
africada	afɾikaða
africado	afɾikaðo
africanismo	afɾikanizmo
africanista	afɾikanist̪a
africanito	afɾikanit̪o
africanizado	afɾikaniθaðo
africanizado	afɾikanisaðo
afrobrasileño	afɾoβɾasileɲo
afrocubano	afɾokuβano
afrodisiaco	afɾoðisjako
afrodisíaco	afɾoðisiako
afrodita	afɾoðit̪a
afroecuatoriana	afɾoekwat̪oɾjana
afroecuatorianas	afɾoekwat̪oɾjanas
afroecuatoriano	afɾoekwat̪oɾjano
afroecuatorianos	afɾoekwat̪oɾjanos
afroestadounidense	afɾoest̪aðou̯niðẽnse
afroestadounidenses	afɾoest̪aðou̯niðẽnses
afrolatino	afɾolat̪ino
afrontada	afɾõn̪t̪aða
afrontadas	afɾõn̪t̪aðas
afrontado	afɾõn̪t̪aðo
afrontados	afɾõn̪t̪aðos
afrontamiento	afɾõn̪t̪amjẽn̪t̪o
afrontamos	afɾõn̪t̪amos
afrontando	afɾõn̪t̪ãn̪d̪o
afrontar	afɾõn̪t̪aɾ
afrutado	afɾut̪aðo
afta	aft̪a
after	aft̪eɾ
aftoso	aft̪oso
afuste	afust̪e
agachada	aɣat͡ʃaða
agachadas	aɣat͡ʃaðas
agachadito	aɣat͡ʃaðit̪o
agachadiza	aɣat͡ʃaðiθa
agachadiza	aɣat͡ʃaðisa
agachado	aɣat͡ʃaðo
agachados	aɣat͡ʃaðos
agachando	aɣat͡ʃãn̪d̪o
agachar	aɣat͡ʃaɾ
agacharse	äɣätʃäɾse̞
agachona	aɣat͡ʃona
agalla	aɣaʎa
agalla	aɣaʝa
agáloco	aɣaloko
agamenón	aɣamenõn
agamí	aɣami
agaña	aɣaɲa
aganchado	aɣãnʲt͡ʃaðo
agandalle	aɣãn̪d̪aʎe
agandalle	aɣãn̪d̪aʝe
agapanto	aɣapãn̪t̪o
ágape	aɣape
agapito	aɣapit̪o
agar	aɣaɾ
agar	aɣaɾ
agarosa	aɣaɾosa
agarrada	aɣaraða
agarradas	aɣaraðas
agarradera	aɣaraðeɾa
agarrado	aɣaraðo
agarrados	aɣaraðos
agarrar	aɣaraɾ
agarrón	aɣarõn
agarrotada	aɣarot̪aða
agarrotadas	aɣarot̪aðas
agarrotado	aɣarot̪aðo
agarrotados	aɣarot̪aðos
agarrotar	aɣarot̪aɾ
agarrotarse	aɣarot̪arse
agasajada	aɣasaxaða
agasajadas	aɣasaxaðas
agasajado	aɣasaxaðo
agasajados	aɣasaxaðos
agasajar	aɣasaxaɾ
agasajo	aɣasaxo
ágata	aɣat̪a
agateador	aɣat̪eaðoɾ
agauchada	aɣau̯t͡ʃaða
agauchadas	aɣau̯t͡ʃaðas
agauchado	aɣau̯t͡ʃaðo
agauchados	aɣau̯t͡ʃaðos
agave	aɣaβe
agavero	aɣaβeɾo
agavilladora	aɣaβiʎaðoɾa
agavilladora	aɣaβiʝaðoɾa
agavillamiento	aɣaβiʎamjẽn̪t̪o
agavillamiento	aɣaβiʝamjẽn̪t̪o
agazapado	aɣaθapaðo
agazapado	aɣasapaðo
agazapar	aɣaθapaɾ
agazapar	aɣasapaɾ
agencia	axẽn̟θja
agencia	axẽnsja
agenciado	axẽn̟θjaðo
agenciado	axẽnsjaðo
agenciar	axẽn̟θjaɾ
agenciar	axẽnsjaɾ
agenda	axẽn̪d̪a
agendada	axẽn̪d̪aða
agendadas	axẽn̪d̪aðas
agendado	axẽn̪d̪aðo
agendados	axẽn̪d̪aðos
agendando	axẽn̪d̪ãn̪d̪o
agendar	axẽn̪d̪aɾ
agendo	axẽn̪d̪o
agente	axẽn̪t̪e
agermanada	axermanaða
agermanadas	axermanaðas
agermanados	axermanaðos
agigantada	axiɣãn̪t̪aða
agigantadas	axiɣãn̪t̪aðas
agigantado	axiɣãn̪t̪aðo
agigantados	axiɣãn̪t̪aðos
agigantar	axiɣãn̪t̪aɾ
agilidad	axiliðað
agilidades	axiliðaðes
agilipollarse	axilipoʝarse
agilización	axiliθaθjõn
agilización	axilisasjõn
agilizada	axiliθaða
agilizada	axilisaða
agilizadas	axiliθaðas
agilizadas	axilisaðas
agilizado	axiliθaðo
agilizado	axilisaðo
agilizados	axiliθaðos
agilizados	axilisaðos
agiotador	axjot̪aðoɾ
agiotadora	axjot̪aðoɾa
agiotadoras	axjot̪aðoɾas
agiotaje	axjot̪axe
agiotista	axjot̪ist̪a
agitación	axit̪aθjõn
agitación	axit̪asjõn
agitaciones	axit̪aθjones
agitaciones	axit̪asjones
agitada	axit̪aða
agitadamente	axit̪aðamẽn̪t̪e
agitadas	axit̪aðas
agitadísimo	axit̪aðisimo
agitado	axit̪aðo
agitador	axit̪aðoɾ
agitadora	axit̪aðoɾa
agitadoras	axit̪aðoɾas
agitadores	axit̪aðoɾes
agitados	axit̪aðos
agitanar	axit̪anaɾ
agitar	axit̪aɾ
agitarse	axit̪arse
agite	axit̪e
agité	axit̪e
agito	axit̪o
agitó	axit̪o
aglianico	aɣljaniko
aglicona	aɣlikona
aglomeración	aɣlomeɾaθjõn
aglomeración	aɣlomeɾasjõn
aglomerada	aɣlomeɾaða
aglomeradas	aɣlomeɾaðas
aglomerado	aɣlomeɾaðo
aglomerados	aɣlomeɾaðos
aglomerante	aɣlomeɾãn̪t̪e
aglomerar	aɣlomeɾaɾ
aglomero	aɣlomeɾo
aglonema	aɣlonema
aglutina	aɣlut̪ina
aglutinación	aɣlut̪inaθjõn
aglutinación	aɣlut̪inasjõn
aglutinada	aɣlut̪inaða
aglutinadas	aɣlut̪inaðas
aglutinado	aɣlut̪inaðo
aglutinador	aɣlut̪inaðoɾ
aglutinados	aɣlut̪inaðos
aglutinamiento	aɣlut̪inamjẽn̪t̪o
aglutinando	aɣlut̪inãn̪d̪o
aglutinante	aɣlut̪inãn̪t̪e
aglutinar	aɣlut̪inaɾ
agnación	aɣnaθjõn
agnación	aɣnasjõn
agnado	aɣnaðo
agnocasto	aɣnokast̪o
agnombre	aɣnõmbɾe
agnosticismo	aɣnost̪iθizmo
agnosticismo	aɣnost̪isizmo
agnóstico	aɣnost̪iko
agobiada	aɣoβjaða
agobiadas	aɣoβjaðas
agobiadísimo	aɣoβjaðisimo
agobiado	aɣoβjaðo
agobiados	aɣoβjaðos
agobiante	aɣoβjãn̪t̪e
agobiar	aɣoβjaɾ
agobio	aɣoβjo
agolpada	aɣolpaða
agolpadas	aɣolpaðas
agolpado	aɣolpaðo
agolpados	aɣolpaðos
agolparse	aɣolparse
agonal	aɣonal
agonía	aɣonia
agónico	aɣoniko
agonista	aɣonist̪a
agonizado	aɣoniθaðo
agonizado	aɣonisaðo
agonizante	aɣoniθãn̪t̪e
agonizante	aɣonisãn̪t̪e
agonizar	aɣoniθaɾ
agonizar	aɣonisaɾ
agora	aɣoɾa
ágora	aɣoɾa
agorado	aɣoɾaðo
agorafobia	aɣoɾafoβja
agorafóbica	aɣoɾafoβika
agorafóbicas	aɣoɾafoβikas
agorafóbico	aɣoɾafoβiko
agorafóbicos	aɣoɾafoβikos
agorar	aɣoɾaɾ
agorero	aɣoɾeɾo
agorismo	aɣoɾizmo
agostadero	aɣost̪aðeɾo
agostar	aɣost̪aɾ
agosteño	aɣost̪eɲo
agostero	aɣost̪eɾo
agostino	aɣost̪ino
agosto	aɣost̪o
agotable	aɣot̪aβle
agotada	aɣot̪aða
agotadas	aɣot̪aðas
agotado	aɣot̪aðo
agotador	aɣot̪aðoɾ
agotados	aɣot̪aðos
agotamiento	aɣot̪amjẽn̪t̪o
agotar	aɣot̪aɾ
agra	aɣɾa
agra	aɣɾa
agracejo	aɣɾaθexo
agracejo	aɣɾasexo
agraciada	aɣɾaθjaða
agraciada	aɣɾasjaða
agraciadas	aɣɾaθjaðas
agraciadas	aɣɾasjaðas
agraciado	aɣɾaθjaðo
agraciado	aɣɾasjaðo
agraciados	aɣɾaθjaðos
agraciados	aɣɾasjaðos
agraciando	aɣɾaθjãn̪d̪o
agraciando	aɣɾasjãn̪d̪o
agradabilísimo	aɣɾaðaβilisimo
agradable	aɣɾaðaβle
agradada	aɣɾaðaða
agradadas	aɣɾaðaðas
agradado	aɣɾaðaðo
agradados	aɣɾaðaðos
agradando	aɣɾaðãn̪d̪o
agradar	aɣɾaðaɾ
agradecer	aɣɾaðeθeɾ
agradecer	aɣɾaðeseɾ
agradecida	aɣɾaðeθiða
agradecida	aɣɾaðesiða
agradecidas	aɣɾaðeθiðas
agradecidas	aɣɾaðesiðas
agradecidísimo	aɣɾaðeθiðisimo
agradecidísimo	aɣɾaðesiðisimo
agradecido	aɣɾaðeθiðo
agradecido	aɣɾaðesiðo
agradecidos	aɣɾaðeθiðos
agradecidos	aɣɾaðesiðos
agradecimiento	aɣɾaðeθimjẽn̪t̪o
agradecimiento	aɣɾaðesimjẽn̪t̪o
agrado	aɣɾaðo
ágrafo	aɣɾafo
agramatical	aɣɾamat̪ikal
agramonte	aɣɾamõn̪t̪e
agramontino	aɣɾamõn̪t̪ino
agrandado	aɣɾãn̪d̪aðo
agrandamiento	aɣɾãn̪d̪amjẽn̪t̪o
agrandar	aɣɾãn̪d̪aɾ
agrario	aɣɾaɾjo
agrarismo	aɣɾaɾizmo
agrarista	aɣɾaɾist̪a
agras	aɣɾas
agravación	aɣɾaβaθjõn
agravación	aɣɾaβasjõn
agravada	aɣɾaβaða
agravadas	aɣɾaβaðas
agravado	aɣɾaβaðo
agravados	aɣɾaβaðos
agravamiento	aɣɾaβamjẽn̪t̪o
agravante	aɣɾaβãn̪t̪e
agravar	aɣɾaβaɾ
agraviado	aɣɾaβjaðo
agraviador	aɣɾaβjaðoɾ
agraviar	aɣɾaβjaɾ
agravio	aɣɾaβjo
agraz	aɣɾaθ
agraz	aɣɾas
agrecano	aɣɾekano
agredida	aɣɾeðiða
agredidas	aɣɾeðiðas
agredido	aɣɾeðiðo
agredidos	aɣɾeðiðos
agredir	aɣɾeðiɾ
agregación	aɣɾeɣaθjõn
agregación	aɣɾeɣasjõn
agregada	aɣɾeɣaða
agregadas	aɣɾeɣaðas
agregado	aɣɾeɣaðo
agregador	aɣɾeɣaðoɾ
agregados	aɣɾeɣaðos
agregaduría	aɣɾeɣaðuɾia
agregar	aɣɾeɣaɾ
agremiación	aɣɾemjaθjõn
agremiación	aɣɾemjasjõn
agremiar	aɣɾemjaɾ
agres	aɣɾes
agresión	aɣɾesjõn
agresividad	aɣɾesiβiðað
agresivo	aɣɾesiβo
agresor	aɣɾesoɾ
agreste	aɣɾest̪e
agriado	aɣɾjaðo
agriar	aɣɾjaɾ
agrícola	aɣɾikola
agricultor	aɣɾikul̪t̪oɾ
agricultura	aɣɾikul̪t̪uɾa
agrietado	aɣɾjet̪aðo
agrietamiento	aɣɾjet̪amjẽn̪t̪o
agrietar	aɣɾjet̪aɾ
agrietarse	aɣɾjet̪arse
agrimensor	aɣɾimẽnsoɾ
agrimensora	aɣɾimẽnsoɾa
agrimensura	aɣɾimẽnsuɾa
agringar	aɣɾĩŋɡaɾ
agrio	aɣɾjo
agripado	aɣɾipaðo
agriparse	aɣɾiparse
agrisada	aɣɾisaða
agrisadas	aɣɾisaðas
agrisado	aɣɾisaðo
