aberystwyth	abɛɹəstʊɨθ
fatality	feɪ̯tʰælɪɾi
fatally	feɪ̯ɾl̩i
fatally	feɪ̯ɾl̩i
fated	feɪ̯ɾɨd
fated	feɪ̯ɾɨd
fattening	fæˀənɪŋ
fatuity	fətuːɨɾi
fauces	fɔːsiːz
fauxtograph	foːtəɡɹɑːf
fauxtography	foːtɒɡɹəfi
fauxtography	foːtɑɡɹəfi
feel	fiːɫ
féiss	fɜɪ̯s
fence	fɛns
fence	fɛnts
fencer	fɛnsɚ
fencer	fɛnsɚ
fettuccini	fɛɾət͡ʃʰini
feudal	fjuːdɫ̩
feudal	fjuɾɫ̩
feudal	fjuɾɫ̩
fiddle	fɪɾl̩
fight	fʌɪt
fighter	faɪ̯ɾɚ
fighty	fʌɪɾi
file	faɪ̯ɫ
filling	fɪɫlɪŋ
filling	fɪɫlɪŋ
filter	fɪɫɾɚ
fire	faɪɚ
fire	fäːɚ
fire	fäːɚ
firm	fɝm
fitra	fɪtˤɾa
fitra	fɪtɾa
fitz	fɪts
flaithiúlach	flæhuːləx
flatter	flæɾɚ
flotation	floʊ̯tʰeɪ̯ʃɪ̈n
flouted	flaʊ̯ɾɨd
flouted	flaʊ̯ɾɨd
flouting	flaʊ̯ɾɪŋ
flouting	flaʊ̯ɾɪŋ
fluid	fluwɪd
fluid	fluwɪd
flutter	flʌɾɚ
foot	fʊt
foot	fʊt̚
foot	fʊt̚
foot	fʊtʰ
foot	fɵʔt
foot	fʊt̚
foot	fʷʊt̚
foot	fʊt̚
foot	fʊt̚
foot	fʊtʰ
foot	fɵʔt
foot	fʊt̚
foot	fʷʊt̚
football	fʊʔtbɔɫ
football	fʊʔt̚bɔɫ
football	fʊʔtbɔɫ
football	fʊʔt̚bɔɫ
football	fʊʔt̚bɔːl
football	fʊʔtʰbɔːl
football	fʊʔbɔːl
football	fʊʔt̚bɔːl
football	fʊʔtʰbɔːl
football	fʊʔbɔːl
football	fʷʊʔt̚bɑɫ
football	fʷʊʔt̚bɑɫ
foretell	foːteɫ
foretell	fɔːtɛɫ
foretell	fɔɹtɛɫ
foretell	foːteɫ
foretell	fɔːtɛɫ
foretell	fɔɹtɛɫ
foretellable	foːtɛɫəbl̩
forever	fəɹɛvɚ
forever	fɚɛvɚ
forever	fɔɹɛvɚ
fortnight	fɔəʔnɐjʔ
fortnite	fɔəʔnɐjʔ
fortunate	foɹt͡ʃənətʰ
fortunate	foɹt͡ʃnətʰ
forty	fɔɹɾi
forty	fɑɹɾij
foundation	faʊ̯ndeɪ̯ʃn̩
fountain	faʊnʔn̩
fountain	faʊnʔn̩
free	fɹɪi̯
friend	fɹ̥end̥
fro	fɹəʊ
frustrating	fɹʌstɹeɪ̯ɾɪŋ
frustrating	fɹʌʃt͡ʃɹeɪ̯ɾɪŋ
fuck	fʌkʰ
fuckability	fʌkəbɪlɪ̈ɾi
fuckability	fʌkɪ̈bɪlɪ̈ɾi
fuhgeddaboudit	fɵɡɛɾəbæʊɾɨʔ
full	fʊɫ
function	fʌŋkʃɪ̈n
function	fʌŋkʃn̩
fur	fɜ̝ː
fur	fɜ̝ː
fur	fɝ
furcal	fɜːkəɫ
furcal	fɝkəɫ
furcal	fɜːkəɫ
furcal	fɝkəɫ
furrier	fɝˑiɚ
furrier	fɝiɚ
fursona	fɵːsɐʉnɜ
furtive	fɜːɾɪv
furtive	fɝɽɪv
futtock	fəɾək
gaeltacht	ɡeɪltəxt
gangtok	ɡæŋtɒk
gasoline	gæsɵlin
gaumy	ɡɔːmi
gawd	ɡɔːd
genetic	d͡ʒənɛtɪk
genetic	d͡ʒɪnɛtɪk
genkan	ɡɛŋkɑn
gentle	d͡ʒɛ̃ɾ̃l̩
gentleman	dʒɛɾ̃əlmən
get	ɡɛʔ
getting	ɡɛɾɪŋ
getting	ɡeʔɪŋ
getting	ɡɛɾɪŋ
getting	ɡeʔɪŋ
gewürztraminer	ɡəvɝtstɹəmiːnɚ
gheada	xeɪ-
gheada	ɡeɪ-
ghee	ɡʱiː
ghetto	ɡɛɾoʊ̯
ghettoize	ɡɛɾoʊ̯aɪ̯z
girl	ɡʏw
glitter	ɡlɪɾɚ
gmail	dʒiːmeɪl
goat	ɡoʊʔt̚
goat	ɡoʊʔt̚
gonna	ɡõ
good	ɡʊ̈d
good	ɡɪ̈d
gotta	ɡɑɾə
gotten	ɡɑʔn̩
gotten	ɡɑt̚n̩
gout	ɡʌut
graffito	ɡɹəfiɾoʊ̯
grandfather	ɡɹ̠ʷẽˑə̯̃ndfɑˑðɚ
grass	ɡɹ̠ɑːs
grass	ɡɹ̠äːs~ɡɹ̠ɐːs
grass	ɡɹ̠ɑːs
grass	ɡɹ̠äːs~ɡɹ̠ɐːs
grass	ɡɹ̠æs~ɡɹ̠ɛəs~ɡɹ̠eəs
grass	ɡɹ̠as~ɡɹ̠æs
grass	ɡɹ̠æs~ɡɹ̠ɛəs~ɡɹ̠eəs
grass	ɡɹ̠as~ɡɹ̠æs
grated	ɡɹeɪ̯ɾɪd
grated	ɡɹeɪ̯ɾɪd
grating	ɡɹeɪ̯ɾɪŋ
grating	ɡɹeɪ̯ɾɪŋ
greater	ɡɹeɪɾɚ
grivna	ɡɹɪvnɑ
grow	ɡɹəʊ̯
grow	ɡɹoʊ̯
grows	ɡɹəʊ̯z
grows	ɡɹoʊ̯z
guesstimate	ɡɛstɪ̈mɪ̈ʔt̚
guesstimate	ɡɜstɪ̈meɪ̯ʔt̚
guileless	ɡaɪɫləs
guilty	ɡɪltʰi
gülenist	ɟylɛnɪst
guttural	ɡʌɾɚɫ̩
guttural	ɡʌɾɚɫ̩
gyros	d͡ʒaɪɹoʊz
h	æɪtʃ
h	æɪtʃ
h	heːtʃ
h	hæɪtʃ
h	heːtʃ
h	hæɪtʃ
habitat	hæbɪtæʔ
háček	hɑːtʃɛk
háček	hɑtʃɛk
háček	hɑətʃɛk
háček	haːtʃɛk
háček	haːtʃek
háček	hɐːtʃek
háček	ɦɑːtʃɛk
háček	hɑːtʃɛk
háček	hɑtʃɛk
háček	hɑətʃɛk
háček	haːtʃɛk
háček	haːtʃek
háček	hɐːtʃek
háček	ɦɑːtʃɛk
háček	hætʃɛk
háček	hatʃɛk
háček	hætʃɛk
háček	hatʃɛk
háček	ɦaːtʃɛk
hadith	hadiːθ
hail	heɪ̯ɫ
halse	hoːs
halse	haːs
halse	hoːz
hang	heɪŋ
hang	heɪŋ
happening	hæpnɪn
harvard	haːvɪd
harvard	haːvəd
harvard	häːvəd
harvard	haːvɪd
harvard	haːvəd
harvard	häːvəd
hat	hat
hawaii	hʊ̈waɪ̯ji
hawaii	hʊ̈wɑji
hawaii	hʊ̈wɔji
he	hi
he	çi
heading	hɛɾɪŋ
heading	hɛɾɪŋ
headlong	hedlɒŋ
health	hɛl̪θ
hearse	hɝs
herno	hɐnoː
hexadecile	hɛksədiːsaɪɫ
high	haɪ̯
him	ɪ̈m
hinoki	hinoki
hinter	hɪɾ̃ɚ
hitherto	hɪðətʰuː
hitherto	hɪðətʰuː
hitherto	hɪðɚtʰu
hitherto	hɪðɚtʰu
hmm	m̥m̩˦˨
hold	həʊɫd
hold	hoəɫd
holding	həʉɫdɪŋ
holding	həʊɫdɪŋ
holding	hoʊɫdɪŋ
holding	həʉɫdɪŋ
holding	həʊɫdɪŋ
holding	hoʊɫdɪŋ
hole	həʊɫ
hole	hɒʊɫ
hole	hoʊɫ
holey	hɒʊli
holey	hɒʊɫli
holier	hɒʊliə
holier	hɒʊɫliə
holiest	hɒʊliɪst
holiest	hɒʊɫliɪst
homophobe	hɒməfəʊb
homophobe	həʊməfəʊb
hon	m̥ɑn
honyock	hɒŋjɒk
hood	hʊ̈d
hood	hɪ̈d
hooter	huɾɚ
hordesman	hɔːdzmn̩
horrible	-bəɫ
horus	hɔːɹəs
houston	hj̊uːstɨn
houston	j̊uːstɨn
hrivna	ɦɹɪu̯nʲɑ
hubris	çju̟ːbɹʷɪs
hue	çu̟ː
hue	çu
hue	çʉː
huge	çu̟ːd͡ʒ
huge	hʊudʒ
huguenot	ɕuɡənɒt
huh	hʌ̃
huh	hə̃
human	çju̟ːmən
human	çju̟ːmn̩
human	çju̟mən
human	çju̟mn̩
humanist	hçuːmənɪst
humanist	çuːmənɪst
humanist	hçuːmənɪst
humanist	çuːmənɪst
humanity	hjumænɪɾi
humongous	çu̟ːmʊŋɡəs
humongous	çu̟ːmɐŋɡəs
humongous	çu̟ːmʊŋɡəs
humongous	çu̟ːmɐŋɡəs
humph	hʌmf
humph	hɪ̈mf
hunter	hʌɾ̃ɚ
hurry	hɝɹi
hydra	haɪ̯dɹə
hydra	haɪ̯d͡ʒɹə
hydropsy	haɪ̯dɹɑpsi
hyperhidrosis	haɪpəɹhaɪdɹoʊsɪs
iced	aɪ̯st
illegal	ɪɫliɡəɫ
illegitimate	ɪlɨd͡ʒɪɾəmɨt
illusion	ɪluːʒən
imma	aːmə
importance	-ʔn̩s
important	ɪmpʰɔːʔn̩t
important	ɪmpʰɔɹʔn̩t
important	ɪmpʰoːɹtn̩t
important	ɪmpʰɔɹʔɪ̃nt̚
important	ɪmpʰoətn̩t
inamorata	ɪnæmɒɹɑːtə
inamorata	ɪnæməɹɑːɾə
incel	ʔɪ̃nsɛɫ
incidental	ɪnsɪdɛɾ̃əl
incidental	ɪnsɪdɛntʰəl
incidental	ɪnsɪdɛɾ̃əl
incidental	ɪnsɪdɛntʰəl
indical	ɪndɪkl̩
inferrible	ɪnfəɹɪbl̩
installation	ɪnstəleɪʃən
insufferable	ɪnsʌfɹəbl̩
insufferable	ɪnsʌfɹəbl̩
interchangeable	ɪɾ̃ɚtʃeɪndʒəbl̩
international	ɪntənæʃənəɫ
international	ɪntɚnæʃənəɫ
international	ɪɾ̃ɚnæʃənəɫ
interstate	ɪɾ̃ɚsteɪ̯t
investigate	ɪnvestɪɡeɪ̯t
ira	aɪɹə
ireland	ɑɪɚlənd~ʌɪɚlənd~əɪɚlənd
ireland	aɪɚlənd
ireland	äɪɚɫɪ̈nd
ireland	ɑɪɚlənd~ʌɪɚlənd~əɪɚlənd
ireland	aɪɚlənd
ireland	äɪɚɫɪ̈nd
ireland	ɑɪələnd
ireland	ɑɪələnd
irrelative	-ɾɪv
it	ɪ̈t
it	ɪt
it	ɪ̈t
italy	ɪɾl̩i
italy	ɪɾəli
item	aɪ̯ɾəm
item	aɪ̯ɾm̩
item	aɪ̯ɾəm
item	aɪ̯ɾm̩
ith	aɪ̯θ
it'll	ɪɾəɫ
jabberwocky	d͡ʒæbɚwɑki
jackbooted	-ɾəd
jar	d͡ʒɑːɹ
jar	d͡ʒɑɹ
jar	d͡ʒɐːɹ
journal	dʒɜːnəɫ
journal	dʒɝnəɫ
journal	dʒɝnɫ̩
journal	dʒɜːnəɫ
journal	dʒɝnəɫ
journal	dʒɝnɫ̩
jump	d͡ʒʌmp
juniper	d͡ʒunɪ̈pɚ
jupiter	dʒupɪɾɚ
kana	kʰɑːnə
kardashian	kʰɑɹdæʃiən
karma	kɑːmə
karma	kɑɹmə
karma	kəɾmə
karma	kɑːmə
karma	kɑɹmə
karma	kəɾmə
kash	kaʃ
katana	kɪ̈tʰɑnə
katy	kʰeɪ̯ɾi
katy	kʰeɪ̯ɾi
'kay	kʰeɪ̯
'kay	ʔkʰeɪ̯
kebnekaise	kɛbnəkaisə
keloid	kiːlɔɪd
kelvin	kʰɛlvɨn
kentucky	kʰɛntʰɐki
kentucky	kʰəntʰɐki
kentucky	kʰɪntʰɐki
kenya	kɛɲa
kettle	kʰɛtᵊɫ̩
kettle	kʰɛɾɫ̩
key	kʲʰiː
khmer	kʰəmɛɹ
kibosh	kaɪbɑʃ
kibosh	kaɪbɑʃ
kibosh	kɪbɑʃ
kick	kʰɪk
kiddie	kʰɪɾi
kielbasa	kʲɛwbasa
kierfmécher	kiə̯vməɕɐ
killer	kʰɪləɹ
killer	kʰɪɫlɚ
kimono	kɪ̈moʊ̯noʊ̯
kimono	kɪ̈moʊ̯nə
kimonoed	kɪ̈moʊ̯noʊ̯d
kimonoed	kɪ̈moʊ̯nɪ̈d
kindergarten	kʰɪndəɹɡɑːɹt̬ən
kindergarten	kʰɪɾ̃əɹɡɑːɹʔn̩
kirton	kɝʔn̩
kiss	kʰɪs
kitten	kɪʔn̩
kitty	kʰɪɾi
knar	nɑɹ
knar	nɑ˞
knoll	nəʊl
knoll	nɒʊl
knout	nʌʊt
koizumi	kʰɔi̯zumi
korea	kʰɵɹiə
korea	kʰɵɹiːə
kweng	kwɛŋ
l	l
l	ɫ
l	w
l	l
l	ɫ
ladder	læɾɚ
lambrusco	læmbɹʊskəʊ
lambrusco	læmbɹʊskoʊ
language	leɪŋɡwɪd͡ʒ
language	leɪŋɡwɪd͡ʒ
lar	lɑɹ
lar	lɑ˞
largely	laːdʒli
largely	lɑːdʒli
largely	lɑɹdʒli
largely	laːdʒli
largely	lɑːdʒli
largely	lɑɹdʒli
later	leɪ̯ɾɚ
latin	læʔn̩
latter	læɾɚ
latter	læɾɚ
laundry	lɑndɹi
laundry	lɑndɹi
learner	lɝnɚ
learner	lɝnɚ
leeway	liːweɪ
leung	lœŋ
liable	laɪ̯əbɫ̩
liable	laɪ̯əbəɫ
light	ɫɐɪ̯ʔ
lighter	laɪɾɚ
lightning	lʌɪʔnɪŋ
lincolnshire	liŋkʰə̆nʃɚ
listen	lɪsn̩
liter	liɾɚ
literary	ɫɪɾəɹɛəɹi
litter	lɪɾɚ
little	lɪtl̩
little	lɪtʰɫ̩
little	lɪɾɫ̩
little	ɫɪɾɫ
littlest	lɪɾl̩əst̚
'll	əl~l̩~ɫ̩~ʊ~ɯ
logical	lɒdʒɪkəɫ
logical	lɑdʒɪkəɫ
logorrhea	lɒɡəɹiːə
loiter	lɔjɾɚ
lubricious	lubɹɪʃəs
luck	lɐk
luddite	lʌɾʌit
lulls	lɐɫz
lulls	ɫʌɫz
lulls	lɐɫz
lulls	ɫʌɫz
lunch	lʌ̃nt͡ʃ
lycra	laɪkɹə
ma'am	mɛəm
ma'am	meəm
madder	madəɹ
madder	mæɾəɹ
madhab	mæðhæb
madhab	madhab
magnetic	mæɡnɛɾɪk
mail	meɪ̯ɫ
make	meɪkʲ
malinois	mælɪnwɑː
mamaliga	məməliɡə
man	mɛən
man	meən
man	mẽə̃n
man	mɑn
man	mɛn
manhattan	mənhætn̩
mar	mɑɹ
mar	mɑ˞
marten	mɑɹʔn̩
martyr	mɐːtəɹ
martyr	mɐːɾəɹ
martyr	mɑɹɾɚ
mash	maʃ
mat	mæʔt̚
matter	mæɾɚ
mawky	mɔːki
maybe	meɪ̯bi
mayonnaise	mɛən-
meal	miːʟ̩
medal	meɾɫ̩
medal	mɛdɫ̩
medal	mɛɾɫ̩
medal	meɾɫ̩
medal	mɛdɫ̩
medal	mɛɾɫ̩
meese	miːs
meeting	miɾɪŋ
melodic	mɨlɑɾɪk
mendacity	-ɾi
mersh	mɝʃ
merveilleuse	mɛʁvɛjøz
merveilleux	mɛʁvɛjø
messenger	mɛsɪndʒəɹ
metal	mɛɾɫ̩
metal	mɛɾɫ̩
metathesis	mətʰæθəsəs
metathesis	mɛtʰæθəsɪs
meteor	miɾiɚ
meter	miɾɚ
metic	mɛɾək
metre	miːɾɚ
mhm	m̩m̥m̩
michigander	mɪʃəɡændɚ
middle	mɪɾɫ̩
middle	mɪdəɫ~mɪdʊ
middleman	mɪdɫ̩mæn
midst	mɪdst
midst	mɪtst
mighty	mʌɪɾi
mike	mɐɪk
mi'kmaq	mɪkmæk
mi'kmaq	mɪɡəmɒq
mile	maɪ̯ɫ
milkshake	mɪɫkʃeɪk
mill	mɪɫ
minnesota	mɪnɪsoʊɾə
minter	mɪɾ̃ɚ
mirth	mɝθ
misshapen	mɪʃʃeɪpən
mister	mɪstəɹ
mister	mɪstɚ
mister	mɪstəɹ
mister	mɪstɚ
model	mɑɾɫ
molasses	məlæsɨz
molasses	mɵlæsɨz
molasses	məlæsɪz
moms	mɑmz
money	mɐni
month	mɐn̪θ
month	mʌn̪θ
mosquitoey	məskiɾoʊi
mother	mɐðəɹ
motlopi	məʊt̚ləʊpi
motlopi	moʊʔloʊpi
motorcycle	moʊɾɚsaɪkl̩
mountain	mãʊ̯̃nʔn̩
mountain	mæ̃ʊ̯̃nʔn̩
mountaineer	mãʊ̯̃nʔn̩iəɹ
mountaineer	mæ̃ʊ̯̃nʔn̩iəɹ
mr.	mɪstəɹ
mr.	mɪstɚ
muddy	mʌdi
mulga	mɔʊlɡɐ
multiplayer	mɐɫtipleɪ̯əɹ
multiplayer	mʌɫtipleɪ̯ɚ
multiplier	mʌɫtɪplaɪəɹ
multiplier	mʌɫtɪplaɪɚ
multiplier	mʌɫtɪplaɪəɹ
multiplier	mʌɫtɪplaɪɚ
murr	mɜːɹ
murr	mɝ
murr	mɜːɹ
murr	mɝ
mustard	mastəd
mustard	mʌstəd
mustard	mʌstɚd
musty	mʌstɪ
mutton	mʌʔn̩
myrrh	mɜːɹ
myrrh	mɝ
myrrh	mɜːɹ
myrrh	mɝ
myrtle	mɝtᵊɫ
myrtle	mɝɾᵊɫ
nah	næː
nah	nɑː
nares	nɛəɹiz
nares	neɹiːz
nares	næɹiːz
narration	næɹeɪ̯ʃɪ̈n
nature	næetʃɜ~nɐetʃɜ
nauruan	nɑːuːɹuːn̩
nazi	näːtsi
neato	niɾoʊ̯
need	nɪi̯d
neutral	nuːt͡ʃɹəl
nevada	nɪvæɾə
nevada	nɪvɑɾə
never	nɛvɚ̹
newcastle	njʉkʰɑːsɫ̩
newcastle	njʉkʰasɫ̩
newcastle	njʉkʰasɫ̩
newcastle	njukʰæsɫ̩
newcomer	njukʰʌmɚ
ng	ŋ̍
ng	ŋ̍
ng	m̩
niggard	nɪɡɚd
niggard	nɪɡəd
night	næt̚
nightmare	nʌɪʔmɛəɹ
nilotic	naɪlɑɾɪk
nine	naɪ̯n
niort	njɔɹ
nippon	nɪpɒn
nippon	nɪpʰɑn
nitrate	nɐɪˑtʰɹeɪt
nitrogen	nɐɪtʰɹədʒən
nonce	nɒnts
nonce	nɑnts
nonce	nɒnts
nonce	nɑnts
nope	noʊp̚
notice	noʊɾɪs
nut	nɐt
nut	nɐt
obnubilation	ɒbnjuːbɪleɪʃn̩
october	ɑktʰoʊbɚ
odder	ʔɑɾɚ
oftentime	ɒfn̩taɪm
oftentime	ɒftn̩taɪm
oil	ɔɪɫ
ointment	ɔ̃ɪ̃nʔmɪ̃nʔ
olden	ɔldn̩
olden	ɔldən
olive	ʔɑːɫlɨv̥
o'malley	oʊ̯mæli
o'malley	ɵmæli
one	wɐn
one	wän
oni	oʊniː
oppose	ʔəpʰoʊːz̥
order	ɔɹɾɚ
origami	ɔɹɪ̈ɡɑmi
otaku	əʊ̯tʰɑːkʰuː
otaku	o̞ʊ̯tʰɑkʰu
other	ɐðəɹ
other	äðə
otter	ʔɑɾɚ
our	ɑɹ
our	ɑ˞
outer	aʊɾɚ
oximeter	-ɾɚ
pack	pʰæk
paddle	pʰæɾɫ̩
paddle	pʰæɾɫ̩
paddy	pæɾi
paddy	pæɾi
pail	pʰeɪ̯ɫ
pail	pʰeəɫ
pail	pʰeɪ̯ɫ
pail	pʰeəɫ
pal	pʰæl
pale	pʰeɪ̯ɫ
pale	pʰeəɫ
pale	pʰeɪ̯ɫ
pale	pʰeəɫ
pansentience	pænsɛntʃiəns
pantry	panʰɹ̥i
pantry	pænʰɹ̥i
pantry	peəntʰɹ̥i
par	pʰɑɹ
par	pʰɑ˞
parcel	pʰaːsəɫ
parcel	pʰɑːsəɫ
parcel	pʰɑɹsəɫ
parcel	pʰaːsəɫ
parcel	pʰɑːsəɫ
parcel	pʰɑɹsəɫ
park	paːk
park	pɒək
park	pɐːk
park	pɑːk
park	pɑɹk
park	paːk
park	pɒək
park	pɐːk
park	pɑːk
park	pɑɹk
paroch	pʰäɾətʃ
parole	pəɹəʊɫ
parole	pəɹoʊɫ
parole	pəɹəʊɫ
parole	pəɹoʊɫ
partay	pʰɑɹtʰeɪ̯
partner	pɑɹʔnɚ
party	pʰɑɹɾi
party	pʰɑːɾi
pascal	pʰæskæɫ
pascal	pʰæskʰæɫ
pass	pʰɑːs
pass	pʰäːs~pʰɐːs
pass	pʰaːs
pass	pʰɑːs
pass	pʰäːs~pʰɐːs
pass	pʰaːs
pass	pʰæs~pʰɛəs~pʰeəs
pass	pʰas~pʰæs
pass	pʰäs
pass	pʰeə̯s
pass	pʰæs~pʰɛəs~pʰeəs
pass	pʰas~pʰæs
pass	pʰäs
pass	pʰeə̯s
passion	pʰæʃən
pat	pʰæt
pat	pʰæt̚
pat	pʰæˀt̚
patent	pʰæ̝ʔn̩t
patent	pʰe̞ɪʔn̩t
path	pʰɑːθ
path	pʰäːθ~pʰɐːθ
path	pʰɑːθ
path	pʰäːθ~pʰɐːθ
path	pʰæθ~pʰɛəθ~pʰeəθ
path	pʰaθ~pʰæθ
path	pʰæθ~pʰɛəθ~pʰeəθ
path	pʰaθ~pʰæθ
patrick	pʰætʃɹɪk
pattern	paʔən
pattern	pæɾɚn
patting	pʰæɾɪŋ
patting	pʰæɾɪŋ
pattings	pʰæɾɪŋz
pattings	pʰæɾɪŋz
patty	pæɾi
pay	pʰeɪ
pb&j	piːbiːənd͡ʒeɪ
pear	pʰeə
pearl	pʰəːɫ
pearl	pʰɝɫ
pearls	pʰəːɫz
pearls	pʰɝɫz
pecan	piːkɑːn
pecan	pɪkɑːn
pecan	piːkæn
pecan	piːkɑːn
pecan	piːkæn
pecan	pɪkæn
pecan	pəkɔːn
pecan	pɪkɔːn
pecan	pəkɑːn
pecan	pɪkæn
pecan	piːkn̩
peel	pʰiːɫ
peel	pʰiəɫ
peel	pʰiːɫ
peel	pʰiəɫ
peep	pʰip
peg	pʰɛɡ
penchant	pɑ̃ʃɑ̃
penes	pʰiːniːz
penes	pʰiniz
penis	pʰiːnɪs
penis	pʰinɪs
percuss	pəkʰʌs
percuss	pɚkʰʌs
performance	pəfɔːməns
performance	pɚfɔɹməns
performance	pəfɔːməns
performance	pɚfɔɹməns
person	pʰɜːsn̩
person	pʰɚsn̩
personality	pɝsənælɪɾi
peso	pɛso
pester	pʰɛstɚ
pet	pʰet
petal	pʰɛɾɫ̩
petting	pʰɛɾɪŋ
petty	pʰɛɾi
petty	pɛɾi
pewter	pjuɾɚ
phew	ɸju˥˩
phew	ɧu˥˩
philadelphia	fɪɫədɜɫfiə
philadelphia	fɪɫədɜɫfiə
phlebolith	flɛbəlɪθ
phonetic	fənɛɾɪk
photograph	foʊɾəɡɹæf
photographic	foʊɾəɡɹæfɪk
pick	pʰɪk
pierre	pʰiəɹ
piling	pʰaɪ̯ɫlɪŋ
piling	pʰaɪ̯ɫlɪŋ
pill	pʰɪɫ
pin	pʰɪn
pit	pʰɪʔt
pittance	pʰɪʔn̩s
plan	plɛən
plant	pleənt
plantigrade	pleə̯ɾ̃əɡɹeɪ̯d
plastic	pʰlæstɪk
play	pl̥eɪ
please	pʰliz
plenty	plɛɾ̃i
plenty	plɛni
plenty	plɪɾ̃i
plenty	plɪni
plenty	plɪɾ̃i
plenty	plɪni
pluto	pluɾoʊ
poem	pʰəʊ̯ɪm
poem	pʰoʊ̯əm
poem	pʰoʊ̯m̩
poem	pʰoʊ̯m
poem	poʊ̯ɪm
poet	pʰoʊ̯ɪ̈ʔt̚
poetry	pʰoʊ̯ətɹi
poetry	pəʊʷətɹɪ
poilu	pwɑːluː
polar	pʰəʊ̯ləɹ
polar	pʰoʊ̯lɚ
pole	pʰoʊ̯ɫ
pole	pʰoəɫ
pole	pʰoʊ̯ɫ
pole	pʰoəɫ
pole	pʰoʊ̯ɫ
pool	pʰuɫ
pool	pʰuəɫ
pool	pʰuɫ
pool	pʰuəɫ
popcorn	pʌpkɒːn
popcorn	pʌpkɔɹn
popping	pʰɑpɪ̈ŋ
portable	pʰɔɹɾɪ̈bl̩
portal	pʰɔːɹɾɫ̩
postal	poʊstl̩
postal	pəʊstl̩
potent	pʰoʊ̯ʔn̩t
potent	-n̩ʔ
power	pʰaʊ̯ɚ
power	pʰaʊ̯ɹ
prairie	pɹɛɹi
pramipexole	pɹæmɪpʰɛksoʊʟ
pramipexole	pɹæmɪpʰɛksəʊʟ
pressure	pɹɛʃəɹ
pressure	pɹɛʃɚ
pressure	pɹɛʃəɹ
pressure	pɹɛʃɚ
pretzel	pʰɹɛʔt͡sɫ̩
pride	pr̥aɪd
priest	pɹ̥iːst
printer	pʰɹɪɾ̃ɚ
processors	pɹəʉsesəz
processors	pɹəʊsɛsəz
processors	pɹɑsɛsɚz
prodigal	pʰɹɑɾɪɡɫ̩
produceorial	pɹɑdəsoʊɹiəl
pronto	pʰɹɑntoʊ̯
pronto	pʰɹɑ̃ɾ̃oʊ̯
propaganda	pɹɒpəɡændə
propaganda	pɹɑpəɡændə
propaganda	pɹɒpəɡændə
propaganda	pɹɑpəɡændə
property	pɹɑpɚɾi
pseudoephedrine	suːdoʊɨfɛdɹɪn
pseudoephedrine	suːdoʊɛfɨdɹiːn
pulchritude	pʰʌɫkɹətuːd
pull	pʰʊːɫ
punctuate	pʌŋkʃuːeɪt
punter	pʰʌ̃ːɾ̃ɚ
puppy	pʰɐpi
purl	pʰəːɫ
purl	pʰɝɫ
purlin	pɜːɹlɪn
purls	pʰəːɫz
purls	pʰɝɫz
push	puʃ
push	pʷʊʃ
put	pʰʊʔt
putt	pʰat
putt	pʰʌt
putt	pʰɐt
putting	pʰʊtɪŋ
putting	pʰʊɾɪŋ
putting	pʰʊɾɪŋ
putting	pʰʌtɪŋ
quaint	kʰweɪ̯nt
quaintrelle	kweintʃɹɛl
quakebuttock	-bəɾək
quality	kʰwɑɫəɾi
quantity	kʰwɑnɾɨɾi
quantity	kʰwɑntʰɨtʰi
quantum	kwɑntʰəm
quantum	kwɑɾ̃əm
quantum	kwɑntʰəm
quantum	kwɑɾ̃əm
queen	kʷwiːn
quesadilla	kʰeɪ̯sədiːljə
quesadilla	kʰeɪ̯sədijə
radar	ɹeɪɾɚ
radio	ɹeɪɾioʊ
rail	ɹeɪɫ
railing	ɹeɪlɪŋ
rambo	ɹæmbəʊ
rating	ɹeɪɾɪŋ
ratty	ɹæɾi
reading	ɹiːɾɪŋ
reading	ɹiɾiŋ
rebutter	ɹɪ̈bʌɾɚ
recension	ɹ̠ʷɪ̈sɛ̃nt̚ʃə̃n
recension	-sɛ̃nt̚ʃn̩
reconnoiter	ɹʷɛkənɔɪ̯tʰə
reconnoiter	ɹˠɛkənɔɪ̯ɾɚ
reconnoitre	ɹʷɛkənɔɪ̯tʰə
reconnoitre	ɹˠɛkənɔɪ̯ɾɚ
redeem	ɹɨdiːm
reëvoke	ɹiːʔivəʊk
regular	ɹɛɡjɪ̈lɚ
regular	ɹɛɡl̩ɚ
rehearse	ɹɪhɜːs
relative	ɹɛləɾɪv
relative	ɹɛlətʰɪv
relative	ɹɛləɾɪv
relative	ɹɛlətʰɪv
relatively	ɹɛlətʰɪvli
relatively	ɹɛləɾɪvli
relatively	ɹɛlətʰɪvli
relatively	ɹɛləɾɪvli
relinquish	ɹɪlɪŋkwɪʃ
remote	ɹɪməʊt
remote	ɹiːməʊt
remote	ɹəməʊt
remote	ɹɪmoʊt
republic	ɹɪpʌblɪk
respectable	ɹispɛktəbl̩
retail	ɹ̠ʷitʰeɪ̯ɫ
reticent	ɹɛdəsənt
revelry	ɹɛvəɫɹi
revelry	ɹɛvəɫɹi
rhotic	ɹoʊ̯ɾɪ̈k
rhotic	ɹ̠ʷɵʊɾɪ̈k
right	ɹaɪʔt̚
robotic	ɹoʊbɑɾɪk
robotics	ɹoʊbɑɾɪks
rocks	ɹʷɒks
