aa	ɑː
kalkkimaali	k ɑ l kː i m ɑː l i
kalkkimaito	k ɑ l kː i m ɑ i̯ t̪ o̞
kalkkipitoinen	k ɑ l kː i p i t̪ o̞ i̯ n e̞ n
kalkkisilikaatti	k ɑ l kː i s̠ i l i k ɑː t̪ː i
kalkkitiili	k ɑ l kː i t̪ iː l i
kalkkityppi	k ɑ l kː i t̪ y pː i
kalkkiuuni	k ɑ l kː i uː n i
kalkkivesi	k ɑ l kː i ʋ e̞ s̠ i
kalkkiviiva	k ɑ l kː i ʋ iː ʋ ɑ
kalkoliittinen	k ɑ l k o̞ l iː t̪ː i n e̞ n
kalkutella	k ɑ l k u t̪ e̞ lː ɑ ʔ
kalkuttaminen	k ɑ l k u t̪ː ɑ m i n e̞ n
kallas	k ɑ lː ɑ s̠
kallavesi	k ɑ lː ɑ ʋ e̞ s̠ i
kalle	k ɑ lː e̞
kallelleen	k ɑ lː e̞ lː e̞ː n
kalleus	k ɑ lː e̞ u s̠
kalliisti	k ɑ lː iː s̠ t̪ i ʔ
kallinen	k ɑ lː i n e̞ n
kallio	k ɑ lː i o̞
kalliohauta	k ɑ lː i o̞ h ɑ u̯ t̪ ɑ
kalliohyppijä	k ɑ lː i o̞ h y pː i j æ
kallioinen	k ɑ lː i o̞ i n e̞ n
kalliokasvillisuus	k ɑ lː i o̞ k ɑ s̠ ʋ i l l i s̠ uː s̠
kalliokielo	k ɑ lː i o̞ k i e̞̯ l o̞
kalliokiipeily	k ɑ lː i o̞ k iː p e̞ i̯ l y
kalliokiipijä	k ɑ lː i o̞ k iː p i j æ
kalliokiitäjä	k ɑ lː i o̞ k iː t̪ æ j æ
kalliokirvinen	k ɑ lː i o̞ k i r ʋ i n e̞ n
kallioleikkaus	k ɑ lː i o̞ l e̞ i̯ kː ɑ u s̠
kalliomarsu	k ɑ lː i o̞ m ɑ r s̠ u
kalliomekaniikka	k ɑ lː i o̞ m e̞ k ɑ n iː kː ɑ
kalliomurske	k ɑ lː i o̞ m u r s̠ k e̞ ʔ
kallionakkeli	k ɑ lː i o̞ n ɑ kː e̞ l i
kallionhalkeama	k ɑ lː i o̞ n h ɑ l k e̞ ɑ m ɑ
kallionkieleke	k ɑ lː i o̞ ŋ k i e̞̯ l e̞ k e̞ ʔ
kallionkolo	k ɑ lː i o̞ ŋ k o̞ l o̞
kallionlohkare	k ɑ lː i o̞ n l o̞ x k ɑ r e̞ ʔ
kallionrinne	k ɑ lː i o̞ n r i nː e̞ ʔ
kallionseinä	k ɑ lː i o̞ n s̠ e̞ i̯ n æ
kallionseinämä	k ɑ lː i o̞ n s̠ e̞ i̯ n æ m æ
kalliopyy	k ɑ lː i o̞ p yː
kalliorakentaminen	k ɑ lː i o̞ r ɑ k e̞ n̪ t̪ ɑ m i n e̞ n
kallioranta	k ɑ lː i o̞ r ɑ n̪ t̪ ɑ
kalliorinne	k ɑ lː i o̞ r i nː e̞ ʔ
kalliosara	k ɑ lː i o̞ s̠ ɑ r ɑ
kalliosinisiipi	k ɑ lː i o̞ s̠ i n i s̠ iː p i
kalliotaide	k ɑ lː i o̞ t̪ ɑ i̯ d e̞ ʔ
kalliotila	k ɑ lː i o̞ t̪ i l ɑ
kalliotöyhtöpingviini	k ɑ lː i o̞ t̪ ø̞ y̯ ç t̪ ø̞ p i ŋ ʋ iː n i
kalliovarpunen	k ɑ lː i o̞ ʋ ɑ r p u n e̞ n
kallis	k ɑ lː i s̠
kallistaa	k ɑ lː i s̠ t̪ ɑː ʔ
kallistaminen	k ɑ lː i s̠ t̪ ɑ m i n e̞ n
kallistella	k ɑ lː i s̠ t̪ e̞ lː ɑ ʔ
kallistusmittari	k ɑ lː i s̠ t̪ u s̠ m i t̪ː ɑ r i
kallo	k ɑ lː o̞
kallokas	k ɑ lː o̞ k ɑ s̠
kallollinen	k ɑ lː o̞ l l i n e̞ n
kallonkutistaja	k ɑ lː o̞ ŋ k u t̪ i s̠ t̪ ɑ j ɑ
kalloosi	k ɑ lː o̞ː s̠ i
kallu	k ɑ lː u
kalma	k ɑ l m ɑ
kalmisto	k ɑ l m i s̠ t̪ o̞
kalmo	k ɑ l m o̞
kalmojuuri	k ɑ l m o̞ j uː r i
kalomeli	k ɑ l o̞ m e̞ l i
kalori	k ɑ l o̞ r i
kalorimetria	k ɑ l o̞ r i m e̞ t̪ r i ɑ
kalottialue	k ɑ l o̞ t̪ː i ɑ l u e̞ ʔ
kalpa	k ɑ l p ɑ
kalparitaristo	k ɑ l p ɑ r i t̪ ɑ r i s̠ t̪ o̞
kalpaveljekset	k ɑ l p ɑ ʋ e̞ l j e̞ k s̠ e̞ t̪
kalpea	k ɑ l p e̞ ɑ
kalpeasti	k ɑ l p e̞ ɑ s̠ t̪ i ʔ
kalpeneminen	k ɑ l p e̞ n e̞ m i n e̞ n
kalsa	k ɑ l s̠ ɑ
kalsareisillaan	k ɑ l s̠ ɑ r e̞ i s̠ i lː ɑː n
kalsareisilleen	k ɑ l s̠ ɑ r e̞ i s̠ i lː e̞ː n
kalsarikänni	k ɑ l s̠ ɑ r i k æ nː i
kalsarikännit	k ɑ l s̠ ɑ r i k æ nː i t̪
kalsarisilleen	k ɑ l s̠ ɑ r i s̠ i lː e̞ː n
kalseasti	k ɑ l s̠ e̞ ɑ s̠ t̪ i ʔ
kalsinointi	k ɑ l s̠ i n o̞ i n̪ t̪ i
kalsium	k ɑ l s̠ː i u m
kalsongit	k ɑ l s̠ o̞ ŋː i t̪
kaltainen	k ɑ l t̪ ɑ i̯ n e̞ n
kalttaaminen	k ɑ l t̪ː ɑː m i n e̞ n
kalu	k ɑ l u
kaluaminen	k ɑ l u ɑ m i n e̞ n
kalustaa	k ɑ l u s̠ t̪ ɑː ʔ
kalustaminen	k ɑ l u s̠ t̪ ɑ m i n e̞ n
kaluste	k ɑ l u s̠ t̪ e̞ ʔ
kaluta	k ɑ l u t̪ ɑ ʔ
kalvaa	k ɑ l ʋ ɑː ʔ
kalvas	k ɑ l ʋ ɑ s̠
kalvassara	k ɑ l ʋ ɑ s̠ s̠ ɑ r ɑ
kalventua	k ɑ l ʋ e̞ n t̪ u ɑ ʔ
kalvo	k ɑ l ʋ o̞
kama	k ɑ m ɑ
kamala	k ɑ m ɑ l ɑ
kamana	k ɑ m ɑ n ɑ
kamara	k ɑ m ɑ r ɑ
kamarineuvos	k ɑ m ɑ r i n e̞ u̯ ʋː o̞ s̠
kamarioppinut	k ɑ m ɑ r i o̞ pː i n u t̪
kameleontti	k ɑ m e̞ l e̞ o̞ n̪ t̪ː i
kamelikaravaani	k ɑ m e̞ l i k ɑ r ɑ ʋ ɑː n i
kameralaukku	k ɑ m e̞ r ɑ l ɑ u̯ kː u
kamferipuu	k ɑ m f e̞ r i p uː
kamferitippa	k ɑ m f e̞ r i t̪ i pː ɑ
kamiina	k ɑ m iː n ɑ
kammata	k ɑ mː ɑ t̪ ɑ ʔ
kammio	k ɑ mː i o̞
kammiotakykardia	k ɑ mː i o̞ t̪ ɑ k y k ɑ r d i ɑ
kammiovesi	k ɑ mː i o̞ ʋ e̞ s̠ i
kammiovärinä	k ɑ mː i o̞ ʋ æ r i n æ
kammitsoiminen	k ɑ mː i t̪ s̠ o̞ i m i n e̞ n
kammota	k ɑ mː o̞ t̪ ɑ ʔ
kampa	k ɑ m p ɑ
kampaajaoppilas	k ɑ m p ɑː j ɑ o̞ pː i l ɑ s̠
kampaaminen	k ɑ m p ɑː m i n e̞ n
kampakeramiikka	k ɑ m p ɑ k e̞ r ɑ m iː kː ɑ
kampaleima	k ɑ m p ɑ l e̞ i̯ m ɑ
kampanaula	k ɑ m p ɑ n ɑ u̯ l ɑ
kampanisu	k ɑ m p ɑ n i s̠ u
kampanja	k ɑ m p ɑ n j ɑ
kampanja	k ɑ m pː ɑ n j ɑ
kampasuodin	k ɑ m p ɑ s̠ u o̞̯ d i n
kampasuomu	k ɑ m p ɑ s̠ u o̞̯ m u
kampata	k ɑ m p ɑ t̪ ɑ ʔ
kampaus	k ɑ m p ɑ u s̠
kampausneste	k ɑ m p ɑ u s̠ n e̞ s̠ t̪ e̞ ʔ
kampeaminen	k ɑ m p e̞ ɑ m i n e̞ n
kampela	k ɑ m p e̞ l ɑ
kampi	k ɑ m p i
kampiliira	k ɑ m p i l iː r ɑ
kampisarja	k ɑ m p i s̠ ɑ r j ɑ
kampittaminen	k ɑ m p i t̪ː ɑ m i n e̞ n
kamppaaminen	k ɑ m pː ɑː m i n e̞ n
kamppaileminen	k ɑ m pː ɑ i̯ l e̞ m i n e̞ n
kamppi	k ɑ m pː i
kamppiaiset	k ɑ m pː i ɑ i s̠ e̞ t̪
kampsut	k ɑ m p s̠ u t̪
kampus	k ɑ m p u s̠
kampusalue	k ɑ m p u s̠ ɑ l u e̞ ʔ
kampylobakteeri	k ɑ m p y l o̞ b ɑ k t̪ e̞ː r i
kamreeri	k ɑ m r e̞ː r i
kamu	k ɑ m u
kana	k ɑ n ɑ
kanaali	k ɑ n ɑː l i
kanadalaismies	k ɑ n ɑ d ɑ l ɑ i̯ s̠ m i e̞̯ s̠
kanadalaisnainen	k ɑ n ɑ d ɑ l ɑ i̯ s̠ n ɑ i̯ n e̞ n
kanadankääpiöpäästäinen	k ɑ n ɑ d ɑ ŋ k æː p i ø̞ p æː s̠ t̪ æ i̯ n e̞ n
kanadanmajava	k ɑ n ɑ d ɑ m m ɑ j ɑ ʋ ɑ
kanadanpikkupäästäinen	k ɑ n ɑ d ɑ m p i kː u p æː s̠ t̪ æ i̯ n e̞ n
kanadanpuupiikkisika	k ɑ n ɑ d ɑ m p uː p iː kː i s̠ i k ɑ
kanadansirri	k ɑ n ɑ d ɑ n s̠ i rː i
kanadantylli	k ɑ n ɑ d ɑ n t̪ y lː i
kanadanvaivaishiiri	k ɑ n ɑ d ɑ n ʋ ɑ i̯ ʋ ɑ i̯ s̠ h iː r i
kanadanvireo	k ɑ n ɑ d ɑ n ʋ i r e̞ o̞
kanaemo	k ɑ n ɑ e̞ m o̞
kanakarja	k ɑ n ɑ k ɑ r j ɑ
kanakoira	k ɑ n ɑ k o̞ i̯ r ɑ
kanakolera	k ɑ n ɑ k o̞ l e̞ r ɑ
kanakoppi	k ɑ n ɑ k o̞ pː i
kanakori	k ɑ n ɑ k o̞ r i
kanala	k ɑ n ɑ l ɑ
kanalasagne	k ɑ n ɑ l ɑ s̠ ɑ n j e̞
kanalasagne	k ɑ n ɑ l ɑ s̠ ɑ ɡ n e̞
kanalauma	k ɑ n ɑ l ɑ u̯ m ɑ
kanalja	k ɑ n ɑ l j ɑ
kanamainen	k ɑ n ɑ m ɑ i n e̞ n
kanamaisesti	k ɑ n ɑ m ɑ i s̠ e̞ s̠ t̪ i ʔ
kananhoito	k ɑ n ɑ n h o̞ i̯ t̪ o̞
kananjalostus	k ɑ n ɑ n j ɑ l o̞ s̠ t̪ u s̠
kanankaali	k ɑ n ɑ ŋ k ɑː l i
kanankoipi	k ɑ n ɑ ŋ k o̞ i̯ p i
kananmunakastike	k ɑ n ɑ m m u n ɑ k ɑ s̠ t̪ i k e̞ ʔ
kananmunaton	k ɑ n ɑ m m u n ɑ t̪ o̞ n
kananpaisti	k ɑ n ɑ m p ɑ i̯ s̠ t̪ i
kananpesä	k ɑ n ɑ m p e̞ s̠ æ
kananpoikanen	k ɑ n ɑ m p o̞ i̯ k ɑ n e̞ n
kananpää	k ɑ n ɑ m p æː
kananrinta	k ɑ n ɑ n r i n̪ t̪ ɑ
kananruoka	k ɑ n ɑ n r u o̞̯ k ɑ
kanansiipi	k ɑ n ɑ n s̠ iː p i
kananugetti	k ɑ n ɑ n u ɡ e̞ t̪ː i
kanapihvi	k ɑ n ɑ p i ç ʋ i
kanarianhemppo	k ɑ n ɑ r i ɑ n h e̞ m pː o̞
kanariankirvinen	k ɑ n ɑ r i ɑ ŋ k i r ʋ i n e̞ n
kanariankyyhky	k ɑ n ɑ r i ɑ ŋ k yː ç k y
kanarianpeippo	k ɑ n ɑ r i ɑ m p e̞ i̯ pː o̞
kanariantasku	k ɑ n ɑ r i ɑ n t̪ ɑ s̠ k u
kanarotu	k ɑ n ɑ r o̞ t̪ u
kanarutto	k ɑ n ɑ r u t̪ː o̞
kanasalaatti	k ɑ n ɑ s̠ ɑ l ɑː t̪ː i
kanatalous	k ɑ n ɑ t̪ ɑ l o̞ u s̠
kanatarha	k ɑ n ɑ t̪ ɑ r h ɑ
kanatuberkuloosi	k ɑ n ɑ t̪ u b e̞ r k u l o̞ː s̠ i
kanatäi	k ɑ n ɑ t̪ æ i̯
kanava	k ɑ n ɑ ʋ ɑ
kanavakirjonta	k ɑ n ɑ ʋ ɑ k i r j o̞ n̪ t̪ ɑ
kanavaliikenne	k ɑ n ɑ ʋ ɑ l iː k e̞ nː e̞ ʔ
kanavamaksu	k ɑ n ɑ ʋ ɑ m ɑ k s̠ u
kanavaneula	k ɑ n ɑ ʋ ɑ n e̞ u̯ l ɑ
kanavanvalitsin	k ɑ n ɑ ʋ ɑ n ʋ ɑ l i t s̠ i n
kanavaproteiini	k ɑ n ɑ ʋ ɑ p r o̞ t̪ e̞ i̯ i n i
kanavapujottelu	k ɑ n ɑ ʋ ɑ p u j o̞ t̪ t̪ e̞ l u
kanavaras	k ɑ n ɑ ʋ ɑ r ɑ s̠
kanavasulku	k ɑ n ɑ ʋ ɑ s̠ u l k u
kanavasäde	k ɑ n ɑ ʋ ɑ s̠ æ d e̞ ʔ
kanavatransistori	k ɑ n ɑ ʋ ɑ t̪ r ɑ n s̠ i s̠ t̪ o̞ r i
kanavaverkko	k ɑ n ɑ ʋ ɑ ʋ e̞ r kː o̞
kanavaverkosto	k ɑ n ɑ ʋ ɑ ʋ e̞ r k o̞ s̠ t̪ o̞
kandela	k ɑ n d e̞ l ɑ
kandidaatintutkinto	k ɑ n d i d ɑː t̪ i n t̪ u t̪ k i n̪ t̪ o̞
kaneli	k ɑ n e̞ l i
kanelikierre	k ɑ n e̞ l i k i e̞̯ rː e̞ ʔ
kanelikivi	k ɑ n e̞ l i k i ʋ i
kanelisorsa	k ɑ n e̞ l i s̠ o̞ r s̠ ɑ
kanerva	k ɑ n e̞ r ʋ ɑ
kanervakäärme	k ɑ n e̞ r ʋ ɑ k æː r m e̞ ʔ
kanervatyyppi	k ɑ n e̞ r ʋ ɑ t̪ yː pː i
kangas	k ɑ ŋː ɑ s̠
kangasala	k ɑ ŋː ɑ s̠ ɑ l ɑ
kangasalalainen	k ɑ ŋː ɑ s̠ ɑ l ɑ l ɑ i n e̞ n
kangaskassi	k ɑ ŋː ɑ s̠ k ɑ s̠ː i
kangaskorte	k ɑ ŋː ɑ s̠ k o̞ r t̪ e̞ ʔ
kangasmetsä	k ɑ ŋː ɑ s̠ m e̞ t s̠ æ
kangasniemeläinen	k ɑ ŋː ɑ s̠ n i e̞̯ m e̞ l æ i n e̞ n
kangasniemi	k ɑ ŋː ɑ s̠ n i e̞̯ m i
kangasräme	k ɑ ŋː ɑ s̠ r æ m e̞ ʔ
kangastella	k ɑ ŋː ɑ s̠ t̪ e̞ lː ɑ ʔ
kangasturve	k ɑ ŋː ɑ s̠ t̪ u r ʋ e̞ ʔ
kangastus	k ɑ ŋː ɑ s̠ t̪ u s̠
kangasvuokko	k ɑ ŋː ɑ s̠ ʋ u o̞̯ kː o̞
kangerrella	k ɑ ŋː e̞ r r e̞ lː ɑ ʔ
kangertaminen	k ɑ ŋː e̞ r t̪ ɑ m i n e̞ n
kani	k ɑ n i
kaniini	k ɑ n iː n i
kanittaminen	k ɑ n i t̪ː ɑ m i n e̞ n
kanjoni	k ɑ n j o̞ n i
kankaankudonta	k ɑ ŋ k ɑː ŋ k u d o̞ n̪ t̪ ɑ
kankaanpainanta	k ɑ ŋ k ɑː m p ɑ i̯ n ɑ n̪ t̪ ɑ
kankaanpää	k ɑ ŋ k ɑː m p æː
kankaanpääläinen	k ɑ ŋ k ɑː m p æː l æ i̯ n e̞ n
kankaat	k ɑ ŋ k ɑː t̪
kankaiden	k ɑ ŋ k ɑ i̯ d e̞ n
kankaiksi	k ɑ ŋ k ɑ i̯ k s̠ i
kankailla	k ɑ ŋ k ɑ i̯ lː ɑ
kankaille	k ɑ ŋ k ɑ i̯ lː e̞ ʔ
kankailta	k ɑ ŋ k ɑ i̯ l t̪ ɑ
kankain	k ɑ ŋ k ɑ i̯ n
kankaina	k ɑ ŋ k ɑ i̯ n ɑ
kankaineen	k ɑ ŋ k ɑ i̯ n e̞ː n
kankaisiin	k ɑ ŋ k ɑ i̯ s̠ iː n
kankaissa	k ɑ ŋ k ɑ i̯ s̠ː ɑ
kankaista	k ɑ ŋ k ɑ i̯ s̠ t̪ ɑ
kankaita	k ɑ ŋ k ɑ i̯ t̪ ɑ
kankaitta	k ɑ ŋ k ɑ i̯ t̪ː ɑ
kankaitten	k ɑ ŋ k ɑ i̯ t̪ː e̞ n
kankea	k ɑ ŋ k e̞ ɑ
kankeaminen	k ɑ ŋ k e̞ ɑ m i n e̞ n
kanki	k ɑ ŋ k i
kankirauta	k ɑ ŋ k i r ɑ u̯ t̪ ɑ
kankivasara	k ɑ ŋ k i ʋ ɑ s̠ ɑ r ɑ
kankkunen	k ɑ ŋ kː u n e̞ n
kanna	k ɑ nː ɑ
kanna	k ɑ nː ɑ ʔ
kannanvaihto	k ɑ nː ɑ n ʋ ɑ i̯ ç t̪ o̞
kannanvaihtomatriisi	k ɑ nː ɑ n ʋ ɑ i̯ ç t̪ o̞ m ɑ t̪ r iː s̠ i
kannas	k ɑ nː ɑ s̠
kannatinhihna	k ɑ nː ɑ t̪ i n h i h n ɑ
kannattajakortti	k ɑ nː ɑ t̪ː ɑ j ɑ k o̞ r t̪ː i
kannattajanikama	k ɑ nː ɑ t̪ t̪ ɑ j ɑ n i k ɑ m ɑ
kannattaminen	k ɑ nː ɑ t̪ː ɑ m i n e̞ n
kannattavuusraja	k ɑ nː ɑ t̪ː ɑ ʋ uː s̠ r ɑ j ɑ
kannatus	k ɑ nː ɑ t̪ u s̠
kannatusmittaus	k ɑ nː ɑ t̪ u s̠ m i t̪ː ɑ u s̠
kannatustela	k ɑ nː ɑ t̪ u s̠ t̪ e̞ l ɑ
kanneksia	k ɑ nː e̞ k s̠ i ɑ ʔ
kannel	k ɑ nː e̞ l
kannella	k ɑ nː e̞ lː ɑ
kannella	k ɑ nː e̞ lː ɑ ʔ
kanneltaja	k ɑ nː e̞ l t̪ ɑ j ɑ
kannettava	k ɑ nː e̞ t̪ t̪ ɑ ʋ ɑ
kannonkoskelainen	k ɑ nː o̞ ŋ k o̞ s̠ k e̞ l ɑ i n e̞ n
kannonkoski	k ɑ nː o̞ ŋ k o̞ s̠ k i
kannonkoskinen	k ɑ nː o̞ ŋ k o̞ s̠ k i n e̞ n
kannonnosto	k ɑ nː o̞ n n o̞ s̠ t̪ o̞
kannonpää	k ɑ nː o̞ m p æː
kannu	k ɑ nː u
kannuittain	k ɑ nː u i̯ t̪ː ɑ i̯ n
kannuksenpyörä	k ɑ nː u k s̠ e̞ m p y ø̞̯ r æ
kannunala	k ɑ nː u n ɑ l ɑ
kannus	k ɑ nː u s̠
kannuslainen	k ɑ nː u s̠ l ɑ i n e̞ n
kannusruoho	k ɑ nː u s̠ r u o̞̯ ɦ o̞
kannustaminen	k ɑ nː u s̠ t̪ ɑ m i n e̞ n
kanotoiminen	k ɑ n o̞ t̪ o̞ i m i n e̞ n
kansa	k ɑ n s̠ ɑ
kansainvälinen	k ɑ n s̠ ɑ i̯ n ʋ æ l i n e̞ n
kansainvälistymisstrategia	k ɑ n s̠ ɑ i̯ n ʋ æ l i s̠ t̪ y m i s̠ s̠ t̪ r ɑ t̪ e̞ ɡ i ɑ
kansainyhteisö	k ɑ n s̠ ɑ i̯ n y ç t̪ e̞ i̯ s̠ ø̞
kansakoululaitos	k ɑ n s̠ ɑ k o̞ u̯ l u l ɑ i̯ t̪ o̞ s̠
kansakoulunopettaja	k ɑ n s̠ ɑ k o̞ u̯ l u n o̞ p e̞ t̪ t̪ ɑ j ɑ
kansalainen	k ɑ n s̠ ɑ l ɑ i n e̞ n
kansalaisillalliset	k ɑ n s̠ ɑ l ɑ i̯ s̠ i lː ɑ l l i s̠ e̞ t̪
kansalaiskoulu	k ɑ n s̠ ɑ l ɑ i̯ s̠ k o̞ u̯ l u
kansalaisliike	k ɑ n s̠ ɑ l ɑ i̯ s̠ l iː k e̞
kansalaisoikeusaktivisti	k ɑ n s̠ ɑ l ɑ i̯ s̠ o̞ i̯ k e̞ u s̠ ɑ k t̪ i ʋ i s̠ t̪ i
kansalaispäivälliset	k ɑ n s̠ ɑ l ɑ i̯ s̠ p æ i̯ ʋ æ l l i s̠ e̞ t̪
kansalaistaito	k ɑ n s̠ ɑ l ɑ i̯ s̠ t̪ ɑ i̯ t̪ o̞
kansalaisvaikuttaminen	k ɑ n s̠ ɑ l ɑ i̯ s̠ ʋ ɑ i̯ k u t̪ː ɑ m i n e̞ n
kansalaisvapaus	k ɑ n s̠ ɑ l ɑ i̯ s̠ ʋ ɑ p ɑ u s̠
kansalaisyhteiskunta	k ɑ n s̠ ɑ l ɑ i̯ s̠ y ç t̪ e̞ i̯ s̠ k u n̪ t̪ ɑ
kansallispuisto	k ɑ n s̠ ɑ lː i s̠ p u i̯ s̠ t̪ o̞
kansallissosialisti	k ɑ n s̠ ɑ lː i s̠ s̠ o̞ s̠ i ɑ l i s̠ t̪ i
kansallistunnus	k ɑ n s̠ ɑ lː i s̠ t̪ u nː u s̠
kansallisuus	k ɑ n s̠ ɑ l l i s̠ uː s̠
kansallisuusaate	k ɑ n s̠ ɑ lː i s̠ uː s̠ ɑː t̪ e̞ ʔ
kansanalmanakka	k ɑ n s̠ ɑ n ɑ l m ɑ n ɑ kː ɑ
kansanedustaja	k ɑ n s̠ ɑ n e̞ d u s̠ t̪ ɑ j ɑ
kansanedustuslaitos	k ɑ n s̠ ɑ n e̞ d u s̠ t̪ u s̠ l ɑ i̯ t̪ o̞ s̠
kansaneläkejärjestelmä	k ɑ n s̠ ɑ n ʔ e̞ l æ k e̞ j æ r j e̞ s̠ t̪ e̞ l m æ
kansanetymologia	k ɑ n s̠ ɑ n e̞ t̪ y m o̞ l o̞ ɡ i ɑ
kansanheimo	k ɑ n s̠ ɑ n h e̞ i̯ m o̞
kansanhiihto	k ɑ n s̠ ɑ n h iː ç t̪ o̞
kansanhuolto	k ɑ n s̠ ɑ n h u o̞̯ l t̪ o̞
kansanhuoltoministeriö	k ɑ n s̠ ɑ n h u o̞̯ l t̪ o̞ m i n i s̠ t̪ e̞ r i ø̞
kansanhuvi	k ɑ n s̠ ɑ n h u ʋ i
kansanjohtaja	k ɑ n s̠ ɑ n j o̞ x t̪ ɑ j ɑ
kansanjoukko	k ɑ n s̠ ɑ n j o̞ u̯ kː o̞
kansanjuhla	k ɑ n s̠ ɑ n j u x l ɑ
kansankapitalismi	k ɑ n s̠ ɑ ŋ k ɑ p i t̪ ɑ l i s̠ m i
kansankerros	k ɑ n s̠ ɑ ŋ k e̞ rː o̞ s̠
kansankielinen	k ɑ n s̠ ɑ ŋ k i e̞̯ l i n e̞ n
kansankirjailija	k ɑ n s̠ ɑ ŋ k i r j ɑ i̯ l i j ɑ
kansankokous	k ɑ n s̠ ɑ ŋ k o̞ k o̞ u s̠
kansankommuuni	k ɑ n s̠ ɑ ŋ k o̞ mː uː n i
kansankorkeakoulu	k ɑ n s̠ ɑ ŋ k o̞ r k e̞ ɑ k o̞ u̯ l u
kansankoti	k ɑ n s̠ ɑ ŋ k o̞ t̪ i
kansankulttuuri	k ɑ n s̠ ɑ ŋ k u l t̪ː uː r i
kansankuvaus	k ɑ n s̠ ɑ ŋ k u ʋ ɑ u s̠
kansankäräjät	k ɑ n s̠ ɑ ŋ k æ r æ j æ t̪
kansanlaulu	k ɑ n s̠ ɑ n l ɑ u̯ l u
kansanleikki	k ɑ n s̠ ɑ n l e̞ i̯ kː i
kansanliike	k ɑ n s̠ ɑ n l iː k e̞ ʔ
kansanluokka	k ɑ n s̠ ɑ n l u o̞̯ kː ɑ
kansanluonne	k ɑ n s̠ ɑ n l u o̞̯ nː e̞ ʔ
kansanlääkintä	k ɑ n s̠ ɑ n l æː k i n̪ t̪ æ
kansanmies	k ɑ n s̠ ɑ m m i e̞̯ s̠
kansanmurha	k ɑ n s̠ ɑ m m u r h ɑ
kansanmurre	k ɑ n s̠ ɑ m m u rː e̞ ʔ
kansanmusiikki	k ɑ n s̠ ɑ m m u s̠ iː kː i
kansannousu	k ɑ n s̠ ɑ n n o̞ u̯ s̠ u
kansanomaisesti	k ɑ n s̠ ɑ n o̞ m ɑ i̯ s̠ e̞ s̠ t̪ i ʔ
kansanomaisuus	k ɑ n s̠ ɑ n o̞ m ɑ i̯ s̠ uː s̠
kansanopisto	k ɑ n s̠ ɑ n o̞ p i s̠ t̪ o̞
kansanosa	k ɑ n s̠ ɑ n o̞ s̠ ɑ
kansanpainos	k ɑ n s̠ ɑ m p ɑ i̯ n o̞ s̠
kansanparannus	k ɑ n s̠ ɑ m p ɑ r ɑ nː u s̠
kansanparantaja	k ɑ n s̠ ɑ m p ɑ r ɑ n t̪ ɑ j ɑ
kansanpelimanni	k ɑ n s̠ ɑ m p e̞ l i m ɑ nː i
kansanpuku	k ɑ n s̠ ɑ m p u k u
kansanrintama	k ɑ n s̠ ɑ n r i n̪ t̪ ɑ m ɑ
kansanrintamahallitus	k ɑ n s̠ ɑ n r i n̪ t̪ ɑ m ɑ h ɑ lː i t̪ u s̠
kansanruno	k ɑ n s̠ ɑ n r u n o̞
kansanrunoudentutkimus	k ɑ n s̠ ɑ n r u n o̞ u s̠ t̪ u t̪ k i m u s̠
kansansatu	k ɑ n s̠ ɑ n s̠ ɑ t̪ u
kansansivistys	k ɑ n s̠ ɑ n s̠ i ʋ i s̠ t̪ y s̠
kansansoittaja	k ɑ n s̠ ɑ n s̠ o̞ i̯ t̪ː ɑ j ɑ
kansansuosikki	k ɑ n s̠ ɑ n s̠ u o̞̯ s̠ i kː i
kansansuosio	k ɑ n s̠ ɑ n s̠ u o̞̯ s̠ i o̞
kansantaide	k ɑ n s̠ ɑ n t̪ ɑ i̯ d e̞ ʔ
kansantaiteilija	k ɑ n s̠ ɑ n t̪ ɑ i̯ t̪ e̞ i̯ l i j ɑ
kansantajuistaa	k ɑ n s̠ ɑ n t̪ ɑ j u i̯ s̠ t̪ ɑː ʔ
kansantajuistaminen	k ɑ n s̠ ɑ n̪ t̪ ɑ j u i s̠ t̪ ɑ m i n e̞ n
kansantaloustiede	k ɑ n s̠ ɑ n t̪ ɑ l o̞ u s̠ t̪ i e̞̯ d e̞ ʔ
kansantapa	k ɑ n s̠ ɑ n t̪ ɑ p ɑ
kansantauti	k ɑ n s̠ ɑ n t̪ ɑ u̯ t̪ i
kansanterveystiede	k ɑ n s̠ ɑ n t̪ e̞ r ʋ e̞ y s̠ t̪ i e̞̯ d e̞ ʔ
kansanterveystyö	k ɑ n s̠ ɑ n t̪ e̞ r ʋ e̞ y s̠ t̪ y ø̞̯
kansantulo	k ɑ n s̠ ɑ n t̪ u l o̞
kansantuote	k ɑ n s̠ ɑ n t̪ u o̞̯ t̪ e̞ ʔ
kansanusko	k ɑ n s̠ ɑ n u s̠ k o̞
kansanvalistustyö	k ɑ n s̠ ɑ n ʋ ɑ l i s̠ t̪ u s̠ t̪ y ø̞̯
kansanvaltaisesti	k ɑ n s̠ ɑ n ʋ ɑ l t̪ ɑ i̯ s̠ e̞ s̠ t̪ i ʔ
kansanäänestys	k ɑ n s̠ ɑ n æː n e̞ s̠ t̪ y s̠
kansas	k ɑ n s̠ ɑ s̠
kansi	k ɑ n s̠ i
