aag	ɑː χ
tegniek	t ɛ χ n i k
teiken	t ə i̯ k ə n
teken	t i ə̯ k ə n
tekkie	t ɛ k i
telefoon	t ɪ ə̯ l ə f ʊ ə̯ n
telefoon	t ɛ l ə f ʊ ə̯ n
telefoonhokkie	t ɪ ə̯ l ə f ʊ ə̯ n h ɔ k i
telefoonhokkie	t ɛ l ə f ʊ ə̯ n h ɔ k i
telg	t ɛ l χ
telluur	t ɛ l y r
theron	t r ɔ n
theron	t r o n
tiekie	t i k i
tiekieboks	t i k i b ɔ k s
tiet	t i t
tjap	t ʃ a p
tjorts	t ʃ ɔ r t s
toeka	t u k a
toestel	t u s t ɛ l
tooi	t oː i̯
toor	t oː r
toring	t ʊ ə̯ r ə ŋ
tot	t ɔ t
totsiens	t ɔ t͡s iː n s
tou	t œ u̯
traan	t r ɑː n
trap	t r a p
tree	t r ɪ ə̯
trein	t r ə i n
trek	t r æ k
tsaar	t͡s ɑː r
tsjeggies	t ʃ ɛ χ i s
tuin	t œ i̯ n
twee	t v ɪ ə̯
twee	t v e ə
u	y
ui	œ j
uitjie	œ j k i
uitoefen	œ i t u f ə n
uitspraakwoordeboek	œ i̯ t s p r ɑː k v o ə̯ r d ə b u k
uitstel	œ i̯ t s t ɛ l
uittog	œ i̯ t ɔ χ
universiteit	y n i v ɛ r s i t ə i̯ t
ure	y r ə
uur	y r
vaal	f ɑː l
vaartuig	f ɑː r t œ i̯ χ
vader	f ɑː d ə r
val	f a l
van	f a n
vanaand	f ə n ɑː n t
vandag	f ə n d a χ
vandeesweek	f ə n d ɪ ə̯ s v ɪ ə̯ k
vangs	f a ŋ s
vannag	f ə n a χ
vars	f a r s
vat	f a t
veel	f ɪ ə l
veertig	f ɪ ə̯ r t ə χ
vel	f ɛ l
veldbrand	f ɛ l t b r a n t
veldfliek	f ɛ l t f l i k
veldslag	f ɛ l t s l a χ
ver	f ɛ r
veral	f ə r a l
veras	f ə r a s
verbeelding	f ə r b ɪ ə̯ l d ə ŋ
verby	f ə r b ə i̯
verbygaan	f ə r b ə i̯ χ ɑː n
verdwyn	f ə r d w ɛ i n
vergeef	f ə r χ ɪ ə̯ f
vergeet	f ə r χ ɪ ə̯ t
vergewe	f ə r χ ɪ ə̯ v ə
verjaardag	f ə r j ɑː r d a χ
verjaarsdag	f ə r j ɑː r s d a χ
verkeer	f ə r k ɪ ə r
verkenner	f ə r k ɛ n ə r
verlies	f ə r l i s
verloor	f ə r l ʊ ə r
verpas	f ə r p a s
verras	f ə r a s
verrot	f ə r ɔ t
vers	f ɛ r s
versaak	f ə r s ɑː k
versie	f ɛ r s i
versigtig	f ə r s ə χ t ə χ
versin	f ə r s ə n
verskiet	f ə r s k i t
verslaan	f ə r s l ɑː n
verspil	f ə r s p ə l
verstaan	f ə r s t ɑː n
versuip	f ə r s œ i̯ p
vertrek	f ə r t r æː k
verwant	f ə r v ɑ n t
verwoes	f ə r v u s
verwyder	f ə r v ə i̯ ə r
verwysing	f ə r ʋ ɛ iː s ə ŋ
vesel	v ɪ ə̯ s ə l
veselperske	v ɪ ə̯ s ə l p ɛ r s k ə
veteraanmotor	v ɪ ə̯ t ə r ɑː n m ʊ ə̯ t ə r
vinger	f ə ŋ ə r
vink	f ə ŋ k
viool	f i ʊ ə̯ l
vir	f ə r
vis	f ə s
visse	f ə s ə
visser	f ə s ə r
vlak	f l a k
vlakte	f l a k t ə
vlam	f l a m
vleg	f l ɛ χ
vleis	f l ə i s
vlieg	f l i χ
vliegveld	f l iː χ f ɛ l t
vlinder	f l ə n d ə r
vloei	f l u i
vloeistof	f l u i s t ɔ f
vloot	f l ʊ ə̯ t
vlootblou	f l ʊ ə̯ t b l œ u
vlugteling	f l œ χ t ə l ə ŋ
voedsaam	f u t s ɑː m
voetangel	f u t a ŋ ə l
voetstap	f u t s t a p
vokaal	f ʊ ə k ɑː l
volg	f ɔ l χ
volk	f ɔ l k
volkslied	f ɔ l k s l i t
volle	f ɔ l ə
volste	f ɔ l s t ə
volste	ʋ ɔ l s t ə
vonk	v ɔ ŋ k
vonkprop	f ɔ ŋ k p r ɔ p
voor	f ʊ ə̯ r
voorgereg	f oː r χ ə r ɛ χ
voorkom	f ʊ ə r k ɔ m
voorkom	f ʊ ə r k ɔ m
vorm	f ɔ r m
vos	f ɔ s
vra	f r ɑː
vraag	f r ɑː χ
vrae	f r ɑː ə
vreemd	f r ɪ ə m t
vrees	f r ɪ ə s
vreet	f r ɪ ə t
vrot	f r ɔ t
vrugteskommel	f r œ χ t ə s k ɔ m ə l
vrydag	f r ə i d a χ
vuis	f œ i s
vuiste	f œ i s t ə
vulkaan	v œ l k ɑː n
vullis	f œ l ə s
vullis	f ə l ə s
vullisdrom	f œ l ə s d r ɔ m
vy	f ə i
vygie	f ə i̯ χ i
wa	v ɑː
waagmoedig	v ɑː χ m u d ə χ
waarnatoe	v ɑː r n a t u
waarnatoe	v ɑː r n a t u
waatlemoen	v ɑː t l ə m u n
waatlemoen	v ɑː t l ə m u n
waatlemoen	v ɑ t l ə m u n
waens	v ɑː ə n s
waëns	v ɑː ə n s
wag	v a χ
walvis	v a l f ə s
wandelpad	v a n d ə l p a t
warmte	v a r m t ə
wartlemoen	v ɑ r t l ə m u n
wartlemoen	v ɑ r t l ə m u n
wasbak	v a s b a k
wat	v a t
water	v ɑː t ə r
waterlemoen	v ɑː t ə r l ə m u n
waterstof	v ɑː t ə r s t ɔ f
waterstofbom	v ɑː t ə r s t ɔ f b ɔ m
watter	v a t ə r
wedloop	v ɛ t l ʊ ə̯ p
wees	v ɪ ə s
weet	v ɪ ə t
weg	v ɛ χ
weggaan	v ɛ χ ɑː n
weggooi	v ɛ χ χ oː i̯
wen	v ɛ n
wêreld	v ɛː r ə l t
werk	ʋ ɛː r k
wese	v ɪ ə s ə
wîe	v əː ə
wig	v ə χ
wil	v ə l
wild	v ə l t
wildtuin	v ə l t œ i̯ n
wilg	v ə l χ
wind	v ə n t
winkel	v ə ŋ k ə l
winkelsentrum	v ə ŋ k ə l s ɛ n t r œ m
wisselkoers	v ə s ə l k uː r s
wit	v ə t
wolk	v ɔ l k
wonderlik	v ɔ n d ə r l ə k
woonstel	v ʊ ə̯ n s t ɛ l
woord	v ʊ ə r t
woordeboek	v u ə̯ r d ə b u k
word	v ɔ r t
wors	v ɔ r s
worshond	v ɔː r s ɦ ɔ n t
wrak	v r a k
wurg	v œ r χ
wy	v ə i
wyd	v ə i̯ t
wyn	v ə i̯ n
wynruit	v ə i̯ n r œ i̯ t
wysheid	v ə i̯ s ɦ ə i̯ t
ysig	ə i̯ s ə χ
yster	ə i s t ə r
ystervark	ə i̯ s t ə r f a r k
