サス	s ä s ɯ̥ᵝ
きょういく	kʲ o̞ː i k ɯ̟ᵝ
きょういくがく	kʲ o̞ː i k ɯ̟ᵝ ɡ a̠ k ɯ̟ᵝ
きょういくしゃ	kʲ o̞ː i k ɯ̟ᵝ ɕ a̠
きょうえん	kʲ o̞ː ẽ̞ ɴ
きょうおう	kʲ o̞ː o̞ː
きょうか	kʲ o̞ː k a̠
きょうかい	kʲ o̞ː k a̠ i
きょうかい	kʲ o̞ː k a̠ i
ぎょうかいがん	ɡʲ o̞ː k a̠ i ɡ ã̠ ɴ
きょうかいソナタ	kʲ o̞ː k a̠ i s o̞ n a̠ t a̠
きょうかつ	kʲ o̞ː k a̠ t͡s ɨᵝ
きょうかん	kʲ o̞ː k ã̠ ɴ
きょうかんかく	kʲ o̞ː k ã̠ ŋ k a̠ k ɯ̟ᵝ
ぎょうが	ɡʲ o̞ː ɡ a̠
きょうき	kʲ o̞ː kʲ i
きょうき	kʲ o̞ː kʲ i
きょうきゅう	kʲ o̞ː kʲ ɨᵝː
きょうきゅうげん	kʲ o̞ː kʲ ɨᵝː ɡ ẽ̞ ɴ
きょうきん	kʲ o̞ː kʲ ĩ ɴ
きょうきん	kʲ o̞ː kʲ ĩ ɴ
くぎ	k ɯ̟ᵝ ɡʲ i
きょうぎ	kʲ o̞ː ɡʲ i
きょうぎ	kʲ o̞ː ɡʲ i
きょうぎ	kʲ o̞ː ɡʲ i
きょうぎ	kʲ o̞ː ɡʲ i
ぎょうぎ	ɡʲ o̞ː ɡʲ i
きょうぎかい	kʲ o̞ː ɡʲ i k a̠ i
きょうぎじょう	kʲ o̞ː ɡʲ i ʑ o̞ː
きょうぎゅうびょう	kʲ o̞ː ɡʲ ɨᵝː bʲ o̞ː
きょうくん	kʲ o̞ː k ɯ̟̃ᵝ ɴ
きょうけん	kʲ o̞ː k ẽ̞ ɴ
きょうけんびょう	kʲ o̞ː k ẽ̞ m bʲ o̞ː
きょうこつ	kʲ o̞ː k o̞ t͡s ɨᵝ
きょうことば	kʲ o̞ː k o̞ t o̞ b a̠
きょうごう	kʲ o̞ː ɡ o̞ː
きょうごく	kʲ o̞ː ɡ o̞ k ɯ̟ᵝ
きょうさんしゅぎ	kʲ o̞ː s ã̠ ɰ̃ ɕ ɨᵝ ɡʲ i
きょうさんしゅぎしゃ	kʲ o̞ː s ã̠ ɰ̃ ɕ ɨᵝ ɡʲ i ɕ a̠
きょうし	kʲ o̞ː ɕ i
ぎょうし	ɡʲ o̞ː ɕ i
きょうしきょく	kʲ o̞ː ɕ i kʲ o̞ k ɯ̟ᵝ
きょうしゃ	kʲ o̞ː ɕ a̠
ぎょうしゅ	ɡʲ o̞ː ɕ ɨᵝ
ぎょうしゅう	ɡʲ o̞ː ɕ ɨᵝː
きょうしょ	kʲ o̞ː ɕ o̞
ぎょうしょ	ɡʲ o̞ː ɕ o̞
きょうしょう	kʲ o̞ː ɕ o̞ː
ぎょうしょうにん	ɡʲ o̞ː ɕ o̞ː ɲ̟ ĩ ɴ
きょうしんしょう	kʲ o̞ː ɕ ĩ ɰ̃ ɕ o̞ː
きょうじゅ	kʲ o̞ː ʑ ɨᵝ
きょうじゅ	kʲ o̞ː ʑ ɨᵝ
きょうじょう	kʲ o̞ː ʑ o̞ː
きょうじん	kʲ o̞ː ʑ ĩ ɴ
きょうじん	kʲ o̞ː ʑ ĩ ɴ
きょうすいびょう	kʲ o̞ː s ɨᵝ i bʲ o̞ː
きょうすけ	kʲ o̞ː s ɨᵝ k e̞
きょうせい	kʲ o̞ː s e̞ː
きょうせい	kʲ o̞ː s e̞ː
きょうそ	kʲ o̞ː s o̞
きょうそう	kʲ o̞ː s o̞ː
きょうそう	kʲ o̞ː s o̞ː
きょうそうきょく	kʲ o̞ː s o̞ː kʲ o̞ k ɯ̟ᵝ
きょうぞう	kʲ o̞ː z o̞ː
きょうたく	kʲ o̞ː t a̠ k ɯ̟ᵝ
きょうだ	kʲ o̞ː d a̠
きょうだ	kʲ o̞ː d a̠
きょうだいぶん	kʲ o̞ː d a̠ i b ɯ̟̃ᵝ ɴ
きょうだん	kʲ o̞ː d ã̠ ɴ
けいちょう	k e̞ː t͡ɕ o̞ː
きょうちょう	kʲ o̞ː t͡ɕ o̞ː
きょうちょう	kʲ o̞ː t͡ɕ o̞ː
きょうちょう	kʲ o̞ː t͡ɕ o̞ː
きょうちょう	kʲ o̞ː t͡ɕ o̞ː
きょうちょう	kʲ o̞ː t͡ɕ o̞ː
きょうつうしゅうごう	kʲ o̞ː t͡s ɨᵝː ɕ ɨᵝː ɡ o̞ː
きょうてい	kʲ o̞ː t e̞ː
きょうてん	kʲ o̞ː t ẽ̞ ɴ
きょうと	kʲ o̞ː t o̞
きょうと	kʲ o̞ː t o̞
きょうとふ	kʲ o̞ː t o̞ ɸ ɯ̟ᵝ
きょうどう	kʲ o̞ː d o̞ː
きょうどう	kʲ o̞ː d o̞ː
きょうどうたい	kʲ o̞ː d o̞ː t a̠ i
きょうはく	kʲ o̞ː h a̠ k ɯ̟ᵝ
きょうはくじょう	kʲ o̞ː h a̠ k ɯ̟ᵝ ʑ o̞ː
きょうはん	kʲ o̞ː h ã̠ ɴ
きょうはんしゃ	kʲ o̞ː h ã̠ ɰ̃ ɕ a̠
きょうばい	kʲ o̞ː b a̠ i
きょうふ	kʲ o̞ː ɸ ɯ̟ᵝ
きょうふしょう	kʲ o̞ː ɸ ɯ̟̊ᵝ ɕ o̞ː
きょうふしょう	kʲ o̞ː ɸ ɯ̟̊ᵝ ɕ o̞ː
きょうべん	kʲ o̞ː b ẽ̞ ɴ
きょうほ	kʲ o̞ː h o̞
きょうほう	kʲ o̞ː h o̞ː
きょうぼう	kʲ o̞ː b o̞ː
きょうぼう	kʲ o̞ː b o̞ː
きょうむ	kʲ o̞ː m ɯ̟ᵝ
きょうめい	kʲ o̞ː m e̞ː
きょうゆう	kʲ o̞ː j ɯ̟ᵝː
きょうよ	kʲ o̞ː j o̞
きょうよう	kʲ o̞ː j o̞ː
きょうよう	kʲ o̞ː j o̞ː
きょうよう	kʲ o̞ː j o̞ː
きょうらく	kʲ o̞ː ɾ a̠ k ɯ̟ᵝ
きょうらくしゅぎ	kʲ o̞ː ɾ a̠ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i
きょうらくてき	kʲ o̞ː ɾ a̠ k ɯ̟ᵝ t e̞ kʲ i
きょりゅう	kʲ o̞ː ɾʲ ɨᵝː
きょうりゅう	kʲ o̞ː ɾʲ ɨᵝː
きょうりょう	kʲ o̞ː ɾʲ o̞ː
きょうりょく	kʲ o̞ː ɾʲ o̞ k ɯ̟ᵝ
ぎょうれつ	ɡʲ o̞ː ɾ e̞ t͡s ɨᵝ
ぎょうれつしき	ɡʲ o̞ː ɾ e̞ t͡s ɨᵝ ɕ i kʲ i
きょうわ	kʲ o̞ː ɰᵝ a̠
きょうわ	kʲ o̞ː ɰᵝ a̠
きょうわこく	kʲ o̞ː ɰᵝ a̠ k o̞ k ɯ̟ᵝ
きょか	kʲ o̞ k a̠
いいなずけ	iː n a̠ z ɨᵝ k e̞
いいなづけ	kʲ o̞ k a̠
きょがく	kʲ o̞ ɡ a̠ k ɯ̟ᵝ
ぎょがん	ɡʲ o̞ ɡ ã̠ ɴ
ぎょがんせき	ɡʲ o̞ ɡ ã̠ ɰ̃ s e̞ kʲ i
きょきん	kʲ o̞ kʲ ĩ ɴ
きょく	kʲ o̞ k ɯ̟ᵝ
ぎょく	ɡʲ o̞ k ɯ̟ᵝ
きょくあじさし	kʲ o̞ k ɯ̟ᵝ a̠ ʑ i s a̠ ɕ i
きょくげい	kʲ o̞ k ɯ̟ᵝ ɡ e̞ː
きょくげん	kʲ o̞ k ɯ̟ᵝ ɡ ẽ̞ ɴ
きょくげん	kʲ o̞ k ɯ̟ᵝ ɡ ẽ̞ ɴ
きょっこう	kʲ o̞ k ɯ̟̊ᵝ k o̞ː
きょっこう	kʲ o̞ k ɯ̟̊ᵝ k o̞ː
ぎょくざ	ɡʲ o̞ k ɯ̟ᵝ z a̠
ぎょくじん	ɡʲ o̞ k ɯ̟ᵝ ʑ ĩ ɴ
きょくせんび	kʲ o̞ k ɯ̟ᵝ s ẽ̞ m bʲ i
きょくたん	kʲ o̞ k ɯ̟̊ᵝ t ã̠ ɴ
きょくとう	kʲ o̞ k ɯ̟̊ᵝ t o̞ː
きょくめい	kʲ o̞ k ɯ̟ᵝ m e̞ː
きょくや	kʲ o̞ k ɯ̟ᵝ j a̠
ぎょくろ	ɡʲ o̞ k ɯ̟ᵝ ɾ o̞
ぎょぐん	ɡʲ o̞ ɡ ɯ̟̃ᵝ ɴ
きょこん	kʲ o̞ k õ̞ ɴ
ぎょしゃざ	ɡʲ o̞ ɕ a̠ z a̠
きょしょう	kʲ o̞ ɕ o̞ː
きょじゅう	kʲ o̞ ʑ ɨᵝː
きょじゅうせい	kʲ o̞ ʑ ɨᵝː s e̞ː
きょじん	kʲ o̞ ʑ ĩ ɴ
きょすう	kʲ o̞ s ɨᵝː
きょぜつ	kʲ o̞ z e̞ t͡s ɨᵝ
ぎょたく	ɡʲ o̞ t a̠ k ɯ̟ᵝ
きょたんやく	kʲ o̞ t ã̠ ɰ̃ j a̠ k ɯ̟ᵝ
きょだい	kʲ o̞ d a̠ i
きょだく	kʲ o̞ d a̠ k ɯ̟ᵝ
きょだつ	kʲ o̞ d a̠ t͡s ɨᵝ
きょてん	kʲ o̞ t ẽ̞ ɴ
ぎょにく	ɡʲ o̞ ɲ̟ i k ɯ̟ᵝ
きょにゅう	kʲ o̞ ɲ̟ ɯ̟ᵝː
きょねん	kʲ o̞ n ẽ̞ ɴ
きょはく	kʲ o̞ h a̠ k ɯ̟ᵝ
ぎょふ	ɡʲ o̞ ɸ ɯ̟̊ᵝ
きょみん	kʲ o̞ mʲ ĩ ɴ
ぎょもう	ɡʲ o̞ m o̞ː
ぎょもう	ɡʲ o̞ m o̞ː
ぎょゆ	ɡʲ o̞ j ɯ̟ᵝ
きょよう	kʲ o̞ j o̞ː
ぎょらん	ɡʲ o̞ ɾ ã̠ ɴ
きょり	kʲ o̞ ɾʲ i
きょりゅう	kʲ o̞ ɾʲ ɨᵝː
ぎょりゅう	ɡʲ o̞ ɾʲ ɨᵝː
きょりゅうち	kʲ o̞ ɾʲ ɨᵝː t͡ɕ i
ぎょるいがく	ɡʲ o̞ ɾ ɯ̟ᵝ i ɡ a̠ k ɯ̟ᵝ
ぎょるいがくてき	ɡʲ o̞ ɾ ɯ̟ᵝ i ɡ a̠ k ɯ̟ᵝ t e̞ kʲ i
きよ	kʲ i j o̞
きよい	kʲ i j o̞ i
きよう	kʲ i j o̞ː
きよう	kʲ i j o̞ː
きよう	kʲ i j o̞ː
きようびんぼう	kʲ i j o̞ː bʲ ĩ m b o̞ː
ギヨチン	ɡʲ i j o̞ t͡ɕ ĩ ɴ
きら	kʲ i ɾ a̠
キラー	kʲ i ɾ a̠ː
きらい	kʲ i ɾ a̠ i
きらく	kʲ i ɾ a̠ k ɯ̟ᵝ
きらす	kʲ i ɾ a̠ s ɨᵝ
きらぼし	kʲ i ɾ a̠ b o̞ ɕ i
きらめく	kʲ i ɾ a̠ m e̞ k ɯ̟ᵝ
きり	kʲ i ɾʲ i
きりさめ	kʲ i ɾʲ i a̠ m e̞
きりさめ	kʲ i ɾʲ i a̠ m e̞
きりおとす	kʲ i ɾʲ i o̞ t o̞ s ɨᵝ
きりがやつ	kʲ i ɾʲ i ɡ a̠ j a̠ t͡s ɨᵝ
きりぎりす	kʲ i ɾʲ i ɡʲ i ɾʲ i s ɨᵝ
きりぐも	kʲ i ɾʲ i ɡ ɯ̟ᵝ m o̞
きりさく	kʲ i ɾʲ i s a̠ k ɯ̟ᵝ
ギリシャ	ɡʲ i ɾʲ i ɕ i a̠
ギリシャ	ɡʲ i ɾʲ i ɕ i a̠
ギリシアじん	ɡʲ i ɾʲ i ɕ i a̠ ʑ ĩ ɴ
キリシタン	kʲ i ɾʲ i ɕ i t ã̠ ɴ
ギリシャ	ɡʲ i ɾʲ i ɕ a̠
ギリシャじん	ɡʲ i ɾʲ i ɕ a̠ ʑ ĩ ɴ
キリスト	kʲ i ɾʲ i s ɨᵝ t o̞
キリストきょう	kʲ i ɾʲ i s ɨ̥ᵝ t o̞ kʲ o̞ː
キリストきょう	kʲ i ɾʲ i s ɨ̥ᵝ t o̞ kʲ o̞ː
きりつせい	kʲ i ɾʲ i t͡s ɨᵝ s e̞ː
キリばん	kʲ i ɾʲ i b ã̠ ɴ
きりひらく	kʲ i ɾʲ i ç i ɾ a̠ k ɯ̟ᵝ
きりふだ	kʲ i ɾʲ i ɸ ɯ̟ᵝ d a̠
きりみ	kʲ i ɾʲ i mʲ i
きりょう	kʲ i ɾʲ o̞ː
ぎりょう	ɡʲ i ɾʲ o̞ː
きりん	kʲ i ɾʲ ĩ ɴ
きりんざ	kʲ i ɾʲ ĩ n d͡z a̠
きりんじ	kʲ i ɾʲ ĩ ɲ̟ d͡ʑ i
キルギスご	kʲ i ɾ ɯ̟ᵝ ɡʲ i s ɨᵝ ɡ o̞
キルギスじん	kʲ i ɾ ɯ̟ᵝ ɡʲ i s ɨᵝ ʑ ĩ ɴ
ぎれい	ɡʲ i ɾ e̞ː
きれいごと	kʲ i ɾ e̞ː ɡ o̞ t o̞
きれつ	kʲ i ɾ e̞ t͡s ɨᵝ
キレる	kʲ i ɾ e̞ ɾ ɯ̟ᵝ
キロ	kʲ i ɾ o̞
きろう	kʲ i ɾ o̞ː
きろく	kʲ i ɾ o̞ k ɯ̟ᵝ
キログラム	kʲ i ɾ o̞ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
ギロチン	ɡʲ i ɾ o̞ t͡ɕ ĩ ɴ
ぎろん	ɡʲ i ɾ õ̞ ɴ
こと	k o̞ t o̞
きん	kʲ ĩ ɴ
きん	kʲ ĩ ɴ
キンカジュー	kʲ ĩ ŋ k a̠ ʑ ɨᵝː
ぎんかん	ɡʲ ĩ ŋ k ã̠ ɴ
ぎんが	ɡʲ ĩ ŋ ɡ a̠
ぎんがけい	ɡʲ ĩ ŋ ɡ a̠ k e̞ː
ぎんがだん	ɡʲ ĩ ŋ ɡ a̠ d ã̠ ɴ
ギンガム	ɡʲ ĩ ŋ ɡ a̠ m ɯ̟ᵝ
きんがん	kʲ ĩ ŋ ɡ ã̠ ɴ
キンキ	kʲ ĩ ŋʲ kʲ i
きんき	kʲ ĩ ŋʲ kʲ i
きんき	kʲ ĩ ŋʲ kʲ i
きんきゅう	kʲ ĩ ŋʲ kʲ ɨᵝː
きんきょう	kʲ ĩ ŋʲ kʲ o̞ː
ぎんぎつね	ɡʲ ĩ ŋʲ ɡʲ i t͡s ɨᵝ n e̞
きんぎゅうきゅう	kʲ ĩ ŋʲ ɡʲ ɨᵝː kʲ ɨᵝː
きんりょう	kʲ ĩ n ɾʲ o̞ː
きんぎょ	kʲ ĩ ŋʲ ɡʲ o̞
きんぎょ	kʲ ĩ ŋʲ ɡʲ o̞
きんぎょすくい	kʲ ĩ ŋʲ ɡʲ o̞ s ɨᵝ k ɯ̟ᵝ i
きんぎょばち	kʲ ĩ ŋʲ ɡʲ o̞ b a̠ t͡ɕ i
きんぎんか	kʲ ĩ ŋʲ ɡʲ ĩ ŋ k a̠
キングストン	kʲ ĩ ŋ ɡ ɯ̟ᵝ s ɨᵝ t õ̞ ɴ
きんけい	kʲ ĩ ŋ k e̞ː
きんこう	kʲ ĩ ŋ k o̞ː
ぎんこう	ɡʲ ĩ ŋ k o̞ː
ぎんこう	ɡʲ ĩ ŋ k o̞ː
ぎんざめ	ɡʲ ĩ n d͡z a̠ m e̞
きんし	kʲ ĩ ɰ̃ ɕ i
きんし	kʲ ĩ ɰ̃ ɕ i
きんし	kʲ ĩ ɰ̃ ɕ i
きんしがん	kʲ ĩ ɰ̃ ɕ i ɡ ã̠ ɴ
きんしじゃく	kʲ ĩ ɰ̃ ɕ i ʑ a̠ k ɯ̟ᵝ
きんしゅく	kʲ ĩ ɰ̃ ɕ ɨᵝ k ɯ̟ᵝ
きんしょう	kʲ ĩ ɰ̃ ɕ o̞ː
きんしょう	kʲ ĩ ɰ̃ ɕ o̞ː
きんしょう	kʲ ĩ ɰ̃ ɕ o̞ː
きんしん	kʲ ĩ ɰ̃ ɕ ĩ ɴ
きょうじ	kʲ ĩ ɲ̟ d͡ʑ i
きょうじ	kʲ ĩ ɲ̟ d͡ʑ i
きんじ	kʲ ĩ ɲ̟ d͡ʑ i
きんじえない	kʲ ĩ ɲ̟ d͡ʑ i e̞ n a̠ i
きんじつ	kʲ ĩ ɲ̟ d͡ʑ i t͡s ɨᵝ
きんじとう	kʲ ĩ ɲ̟ d͡ʑ i t o̞ː
きんじょ	kʲ ĩ ɲ̟ d͡ʑ o̞
きんじょうてっぺき	kʲ ĩ ɲ̟ d͡ʑ o̞ː t e̞ p̚ p e̞ kʲ i
きんじる	kʲ ĩ ɲ̟ d͡ʑ i ɾ ɯ̟ᵝ
きんじる	kʲ ĩ ɲ̟ d͡ʑ i ɾ ɯ̟ᵝ
キンセアニェーラ	kʲ ĩ ɰ̃ s e̞ a̠ ɲ̟ e̞ː ɾ a̠
きんせい	kʲ ĩ ɰ̃ s e̞ː
きんせつ	kʲ ĩ ɰ̃ s e̞ t͡s ɨᵝ
きんせん	kʲ ĩ ɰ̃ s ẽ̞ ɴ
きんぞく	kʲ ĩ n d͡z o̞ k ɯ̟ᵝ
きんぞく	kʲ ĩ n d͡z o̞ k ɯ̟ᵝ
きんぞくおん	kʲ ĩ n d͡z o̞ k ɯ̟ᵝ õ̞ ɴ
きんぎょく	kʲ ĩ ŋʲ ɡʲ o̞ k ɯ̟ᵝ
きんたま	kʲ ĩ n t a̠ m a̠
きんだいち	kʲ ĩ n d a̠ i t͡ɕ i
きんだん	kʲ ĩ n d ã̠ ɴ
きんちゃく	kʲ ĩ ɲ̟ t͡ɕ a̠ k ɯ̟ᵝ
きんちょう	kʲ ĩ ɲ̟ t͡ɕ o̞ː
きんちょう	kʲ ĩ ɲ̟ t͡ɕ o̞ː
きんつぎ	kʲ ĩ n t͡s ɨᵝ ɡʲ i
きんてい	kʲ ĩ n t e̞ː
きんてん	kʲ ĩ n t ẽ̞ ɴ
きんてん	kʲ ĩ n t ẽ̞ ɴ
きんとう	kʲ ĩ n t o̞ː
きんトレ	kʲ ĩ n t o̞ ɾ e̞
いちょう	i t͡ɕ o̞ː
イチョウ	ɡʲ ĩ nː ã̠ ɴ
きんにく	kʲ ĩ ɲ̟ ɲ̟ i k ɯ̟ᵝ
きんにく	kʲ ĩ ɲ̟ ɲ̟ i k ɯ̟ᵝ
きんばく	kʲ ĩ m b a̠ k ɯ̟ᵝ
きんばくび	kʲ ĩ m b a̠ k ɯ̟ᵝ bʲ i
きんぱく	kʲ ĩ m p a̠ k ɯ̟ᵝ
きんぱく	kʲ ĩ m p a̠ k ɯ̟ᵝ
きんぱく	kʲ ĩ m p a̠ k ɯ̟ᵝ
きんぱく	kʲ ĩ m p a̠ k ɯ̟ᵝ
きんぱく	kʲ ĩ m p a̠ k ɯ̟ᵝ
ぎんぱく	ɡʲ ĩ m p a̠ k ɯ̟ᵝ
きんぱつ	kʲ ĩ m p a̠ t͡s ɨᵝ
ぎんぱつ	ɡʲ ĩ m p a̠ t͡s ɨᵝ
きんぴん	kʲ ĩ m pʲ ĩ ɴ
ぎんぶか	ɡʲ ĩ m b ɯ̟ᵝ k a̠
きんぼう	kʲ ĩ m b o̞ː
きんせい	kʲ ĩ ɰ̃ s e̞ː
きんぼし	kʲ ĩ m b o̞ ɕ i
ぎんみ	ɡʲ ĩ mʲː i
きんみらい	kʲ ĩ mʲː i ɾ a̠ i
きんむ	kʲ ĩ mː ɯ̟ᵝ
きんむさき	kʲ ĩ mː ɯ̟ᵝ s a̠ kʲ i
かねめ	k a̠ n e̞ m e̞
きんめ	kʲ ĩ mː e̞
きんめだい	kʲ ĩ mː e̞ d a̠ i
きんもくせい	kʲ ĩ mː o̞ k ɯ̟ᵝ s e̞ː
きんもつ	kʲ ĩ mː o̞ t͡s ɨᵝ
きんゆう	kʲ ĩ ɰ̃ j ɯ̟ᵝː
きんよう	kʲ ĩ ɰ̃ j o̞ː
きんよう	kʲ ĩ ɰ̃ j o̞ː
きんようび	kʲ ĩ ɰ̃ j o̞ː bʲ i
きんようび	kʲ ĩ ɰ̃ j o̞ː bʲ i
きんよく	kʲ ĩ ɰ̃ j o̞ k ɯ̟ᵝ
きんらい	kʲ ĩ n ɾ a̠ i
きんらん	kʲ ĩ n ɾ ã̠ ɴ
きんらん	kʲ ĩ n ɾ ã̠ ɴ
きんりょう	kʲ ĩ n ɾʲ o̞ː
きんりょう	kʲ ĩ n ɾʲ o̞ː
きんりょう	kʲ ĩ n ɾʲ o̞ː
きんるい	kʲ ĩ n ɾ ɯ̟ᵝ i
きんろう	kʲ ĩ n ɾ o̞ː
き゚	ŋʲ i
ク	k ɯ̟ᵝ
く	k ɯ̟ᵝ
く	k ɯ̟ᵝ
く	k ɯ̟ᵝ
く	k ɯ̟ᵝ
グ	ɡ ɯ̟ᵝ
クァ	k ɰᵝ a̠
グァ	ɡ ɰᵝ a̠
クアッガ	k ɯ̟ᵝ a̠ ɡ̚ ɡ̊ a̠
グアナコ	ɡ ɯ̟ᵝ a̠ n a̠ k o̞
グアニジン	ɡ ɯ̟ᵝ a̠ ɲ̟ i ʑ ĩ ɴ
グアバ	ɡ ɯ̟ᵝ a̠ b a̠
クィ	k ɰᵝ i
クィディッチ	k ɰᵝ i dʲ i t̚ t͡ɕ i
くい	k ɯ̟ᵝ i
くいこむ	k ɯ̟ᵝ i k o̞ m ɯ̟ᵝ
クイズ	k ɯ̟ᵝ i z ɨᵝ
くいちがい	k ɯ̟ᵝ i t͡ɕ i ɡ a̠ i
ぐう	ɡ ɯ̟ᵝː
くうい	k ɯ̟ᵝː i
くうき	k ɯ̟ᵝː kʲ i
ぐうきせい	ɡ ɯ̟ᵝː kʲ i̥ s e̞ː
ぐうぐう	ɡ ɯ̟ᵝː ɡ ɯ̟ᵝː
グーグル	ɡ ɯ̟ᵝː ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
くうぐん	k ɯ̟ᵝː ɡ ɯ̟̃ᵝ ɴ
くうこう	k ɯ̟ᵝː k o̞ː
くうさ	k ɯ̟ᵝː s a̠
くうさつ	k ɯ̟ᵝː s a̠ t͡s ɨᵝ
くうし	k ɯ̟ᵝː ɕ i
くうしょう	k ɯ̟ᵝː ɕ o̞ː
ぐうじん	ɡ ɯ̟ᵝː ʑ ĩ ɴ
くうそう	k ɯ̟ᵝː s o̞ː
ぐうぞう	ɡ ɯ̟ᵝː z o̞ː
ぐうぞうすうはい	ɡ ɯ̟ᵝː z o̞ː s ɨᵝː h a̠ i
くうちゅう	k ɯ̟ᵝː t͡ɕ ɨᵝː
くうちゅうせいぶつがく	k ɯ̟ᵝː t͡ɕ ɨᵝː s e̞ː b ɯ̟ᵝ t͡s ɨᵝ ɡ a̠ k ɯ̟ᵝ
くうちゅうせん	k ɯ̟ᵝː t͡ɕ ɨᵝː s ẽ̞ ɴ
くうちょう	k ɯ̟ᵝː t͡ɕ o̞ː
ぐうているい	ɡ ɯ̟ᵝː t e̞ː ɾ ɯ̟ᵝ i
くうどう	k ɯ̟ᵝː d o̞ː
クーニャン	k ɯ̟ᵝː ɲ̟ ã̠ ɴ
くうぼ	k ɯ̟ᵝː b o̞
クーポン	k ɯ̟ᵝː p õ̞ ɴ
クーラー	k ɯ̟ᵝː ɾ a̠ː
くうらん	k ɯ̟ᵝː ɾ ã̠ ɴ
クーリー	k ɯ̟ᵝː ɾʲ iː
ぐうわ	ɡ ɯ̟ᵝː ɰᵝ a̠
クェ	k ɰᵝ e̞
クェゼリン	k ɰᵝ e̞ z e̞ ɾʲ ĩ ɴ
さく	s a̠ k ɯ̟ᵝ
しがらみ	ɕ i ɡ a̠ ɾ a̠ mʲ i
き	kʲ i
くえ	k ɯ̟ᵝ e̞
クエーカー	k ɯ̟ᵝ e̞ː k a̠ː
クエーサー	k ɯ̟ᵝ e̞ː s a̠ː
クエリ	k ɯ̟ᵝ e̞ ɾʲ i
クォ	k ɰᵝ o̞
クォーク	k ɰᵝ o̞ː k ɯ̟ᵝ
クォーター	k ɰᵝ o̞ː t a̠ː
クォーターバック	k ɰᵝ o̞ː t a̠ː b a̠ k̚ k ɯ̟ᵝ
クオーク	k ɯ̟ᵝ o̞ː k ɯ̟ᵝ
クオーター	k ɯ̟ᵝ o̞ː t a̠ː
クオータリー	k ɯ̟ᵝ o̞ː t a̠ ɾʲ iː
くがつ	k ɯ̟ᵝ ɡ a̠ t͡s ɨᵝ
くきちゃ	k ɯ̟ᵝ kʲ i t͡ɕ a̠
くきょう	k ɯ̟ᵝ kʲ o̞ː
くきわかめ	k ɯ̟ᵝ kʲ i ɰᵝ a̠ k a̠ m e̞
くぎゅ	k ɯ̟ᵝ ɡʲ ɨᵝ
くぎょう	k ɯ̟ᵝ ɡʲ o̞ː
くぎり	k ɯ̟ᵝ ɡʲ i ɾʲ i
くくむ	k ɯ̟ᵝ k ɯ̟ᵝ m ɯ̟ᵝ
くぐつし	k ɯ̟ᵝ ɡ ɯ̟ᵝ t͡s ɨᵝ ɕ i
ググる	ɡ ɯ̟ᵝ ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
くげん	k ɯ̟ᵝ ɡ ẽ̞ ɴ
ぐげんか	ɡ ɯ̟ᵝ ɡ ẽ̞ ŋ k a̠
ぐこう	ɡ ɯ̟ᵝ k o̞ː
ぐこう	ɡ ɯ̟ᵝ k o̞ː
くさ	s o̞ː
クサイ	k ɯ̟̊ᵝ s a̠ i
くさか	k ɯ̟ᵝ s a̠ k a̠
くさか	k ɯ̟ᵝ s a̠ k a̠
くさち	k ɯ̟ᵝ s a̠ t͡ɕ i
くさぶえ	k ɯ̟ᵝ s a̠ b ɯ̟ᵝ e̞
くし	k ɯ̟ᵝ ɕ i
くし	k ɯ̟̊ᵝ ɕ i
クシー	k ɯ̟̊ᵝ ɕ iː
ぐしゃ	ɡ ɯ̟ᵝ ɕ a̠
ぐしゃ	ɡ ɯ̟ᵝ ɕ a̠
くしゃみ	k ɯ̟ᵝ ɕ a̠ mʲ i
くしょう	k ɯ̟ᵝ ɕ o̞ː
くじ	k ɯ̟ᵝ ʑ i
こうし	k ɯ̟ᵝ ʑ i
こうし	k ɯ̟ᵝ ʑ i
くじゃくざ	k ɯ̟ᵝ ʑ a̠ k ɯ̟ᵝ z a̠
くじゃくせき	k ɯ̟ᵝ ʑ a̠ k ɯ̟ᵝ s e̞ kʲ i
きゅうじゅう	k ɯ̟ᵝ ʑ ɨᵝː
きゅうじゅう	k ɯ̟ᵝ ʑ ɨᵝː
くじょ	k ɯ̟ᵝ ʑ o̞
くじらざ	k ɯ̟ᵝ ʑ i ɾ a̠ z a̠
くすぐったい	k ɯ̟ᵝ s ɨᵝ ɡ ɯ̟ᵝ t̚ t a̠ i
くすみ	k ɯ̟ᵝ s ɨᵝ mʲ i
くすりや	k ɯ̟̊ᵝ s ɨᵝ ɾʲ i j a̠
くすりゆび	k ɯ̟̊ᵝ s ɨᵝ ɾʲ i j ɯ̟ᵝ bʲ i
くず	k ɯ̟ᵝ z ɨᵝ
くずかご	k ɯ̟ᵝ z ɨᵝ k a̠ ɡ o̞
くずかみ	k ɯ̟ᵝ z ɨᵝ k a̠ mʲ i
くずし	k ɯ̟ᵝ z ɨᵝ ɕ i
くずしじ	k ɯ̟ᵝ z ɨᵝ ɕ i ʑ i
くずてつ	k ɯ̟ᵝ z ɨᵝ t e̞ t͡s ɨᵝ
