a	ɑː
cnaƿe	k n ɑː w e
cnearr	k n æ ɑ r r
cneo	k n eː o
cneorim	k n eː o r iː m
cneoris	k n eː o r i s
cnif	k n iː f
cniht	k n i x t
cnihthad	k n i ç t h ɑː d
cnihtwesende	k n i h t w e s e n d e
cnihtƿesende	k n i h t w e s e n d e
cnocian	k n o k i ɑ n
cnosl	k n oː s l
cnossian	k n o s s i ɑ n
cnotta	k n o t t ɑ
cnucel	k n u k e l
cnyss	k n y s s
cnyssan	k n y s s ɑ n
cnyssung	k n y s s u n ɡ
cnyttan	k n y t t ɑ n
cnæwe	k n æː w e
cnæƿe	k n æː w e
coc	k o k
coc	k oː k
cocc	k o k k
cocer	k o k e r
cocnian	k oː k n i ɑ n
codd	k o d d
cofa	k o f ɑ
cofgod	k oː f ɡ o d
col	k o l
col	k oː l
com	k oː m
comon	k oː m o n
copian	k o p i ɑ n
copor	k o p o r
copp	k o p p
corn	k o r n
cornbære	k o r n b æː r e
corunga	c o r u ŋ χ a
cos	k o s
cost	k o s t
costung	k o s t u ŋ ɡ
crabba	k r ɑ b b ɑ
cradol	k r ɑ d u l
cran	k r ɑ n
cranoc	k r ɑ n o k
crawe	k r ɑː w e
craƿe	k r ɑː w e
crecas	k r eː k ɑ s
crecisc	k r eː k i ʃ
creopan	k r eː o̯ p ɑ n
cribb	k r i b b
crincgan	k r i n d͡ʒ ɑ n
crist	k r i s t
cristen	k r i s t e n
cristendom	k r i s t e n d oː m
cropp	k r o p p
cruc	k r uː t͡ʃ
crudan	k r uː d ɑ n
cruma	k r u m ɑ
crycc	k r y t t͡ʃ
crypel	k r y p e l
cræft	k r æ f t
cræftig	k r æ f t i j
cræftlic	k r æ f t l iː t͡ʃ
cu	k uː
cudele	k u d e l e
culfre	k u l f r e
cuman	k u m ɑ n
cumb	k u m b
cumliþe	k u m l iː θ e
cumliþian	k u m l iː θ i ɑ n
cumliþnes	k u m l iː θ n e s
cumpæder	k u m p æ d e r
cunnan	k u n n ɑ n
cunnian	k u n n i ɑ n
cuppe	k u p p e
cusceote	k uː ʃ o t e
cuwearm	k uː w æ ɑ̯ r m
cuþ	k uː θ
cuþa	k uː θ ɑ
cuþe	k uː θ e
cuþlice	k uː θ l iː t͡ʃ e
cuƿearm	k uː w æ ɑ̯ r m
cwead	k w æː ɑ̯ d
cwealm	k w æ ɑ̯ l m
cweartern	k w æ ɑ̯ r t e r n
cweccan	k w e t t͡ʃ ɑ n
cwedol	k w e d o l
cwelan	k w e l ɑ n
cwellan	k w e l l ɑ n
cweman	k w eː m ɑ n
cweme	k w eː m e
cwen	k w eː n
cwene	k w e n e
cwene	k w eː n e
cweorn	k w e o̯ r n
cweþan	k w e θ ɑ n
cwic	k w i k
cwicbeam	k w i k b æː ɑ̯ m
cwice	k w i t͡ʃ e
cwicseolfor	k w i k s e o̯ l f o r
cwictreow	k w i k t r eː o̯ w
cwild	k w i l d
cwomon	k w oː m o n
cwæþ	k w æ θ
cwœn	k w øː n
cy	k yː
cycel	k y t͡ʃ e l
cycen	k y t͡ʃ e n
cycen	t͡ʃ y k e n
cycen	t͡ʃ yː k e n
cycene	k y t͡ʃ e n e
cyll	k y l l
cylu	k y l u
cyme	k y m e
cyme	k yː m e
cynde	k y n d e
cynegierd	k y n e j i y̯ r d
cynehelm	k y n e h e l m
cynelic	k y n e l iː t͡ʃ
cynerice	k y n e r iː t͡ʃ e
cyning	k y n i n ɡ
cynn	k y nː
cyre	k y r e
cyren	t͡ʃ y r e n
cyrf	k y r f
cyrlic	t͡ʃ y r l i k
cyrnel	k y r n e l
cyrr	t͡ʃ y r r
cyrran	t͡ʃ y r r ɑ n
cyrrednes	t͡ʃ y r r e d n e s
cyssan	k y s s ɑ n
cyst	k y s t
cystan	k y s t ɑ n
cystig	k y s t i j
cyþan	k yː θ ɑ n
cyþþu	k yː θ θ u
cæg	k æː j
cægbora	k æː j b o r ɑ
cælf	k æ l f
cƿead	k w æː ɑ̯ d
cƿealm	k w æ ɑ̯ l m
cƿeartern	k w æ ɑ̯ r t e r n
cƿeccan	k w e t t͡ʃ ɑ n
cƿedol	k w e d o l
cƿelan	k w e l ɑ n
cƿellan	k w e l l ɑ n
cƿeman	k w eː m ɑ n
cƿeme	k w eː m e
cƿene	k w e n e
cƿene	k w eː n e
cƿeorn	k w e o̯ r n
cƿeþan	k w e θ ɑ n
cƿic	k w i k
cƿicbeam	k w i k b æː ɑ̯ m
cƿice	k w i t͡ʃ e
cƿicseolfor	k w i k s e o l f o r
cƿictreoƿ	k w i k t r eː o̯ w
cƿild	k w i l d
cƿomon	k w oː m o n
cƿæþ	k w æ θ
cƿœn	k w øː n
da	d ɑː
dafen	d ɑ f e n
dagian	d ɑ ɡ i ɑ n
dagung	d ɑ ɡ u n ɡ
dah	d ɑː h
daroþ	d ɑ r o θ
dead	d æː ɑ̯ d
deadlic	d æː ɑ̯ d l iː t ʃ
deadlicnes	d æː ɑ̯ d l iː k n e s
deaf	d æː ɑ̯ f
deag	d æː ɑ ɣ
deagol	d æː ɑ̯ ɣ o l
deah	d æː ɑ̯ h
deaw	d æː ɑ̯ w
deaþ	d æː ɑ̯ θ
deaþbed	d æː ɑ̯ θ b e d
deaþbedd	d æː ɑ̯ θ b e d d
deaþscyld	d æː ɑ̯ θ ʃ y l d
deaþscyldig	d æː ɑ̯ θ ʃ y l d i j
deaƿ	d æː ɑ̯ w
declinian	d e k l iː n i ɑ n
declinung	d e k l iː n u ŋ ɡ
defe	d eː f e
delf	d e l f
delfan	d e l f ɑ n
delu	d e l u
deman	d eː m ɑ n
demend	d eː m e n d
dene	d e n e
denemearc	d e n e m æ ɑ̯ r k
denisc	d e n i ʃ
denn	d e n n
denu	d e n u
deofol	d eː o̯ f o l
deofolcund	d eː o̯ f o l k u n d
deogol	d eː o̯ ɡ o l
deon	d eː o̯ n
deop	d eː o̯ p
deoplic	d eː o̯ p l iː t ʃ
deor	d eː o̯ r
deorc	d e o̯ r k
deore	d eː o̯ r e
deorf	d e o̯ r f
deorfan	d e o̯ r f ɑ n
deorling	d eː o̯ r l i n ɡ
derian	d e r j ɑ n
diacon	d i ɑː k o n
dic	d iː t ʃ
diht	d i h t
dihtan	d i h t ɑ n
dilegian	d i l e ɡ i ɑ n
dilgian	d i l ɡ i ɑ n
disc	d i ʃ
distæf	d i s t æ f
docga	d o ɡ ɡ ɑ
dogor	d oː ɡ o r
dohte	d o h t e
dohtig	d o h t i j
dohtor	d o h t o r
dol	d o l
dolg	d o l ɡ
dom	d oː m
domboc	d oː m b oː k
domeadig	d oː m æː ɑ̯ d i j
domleas	d oː m l æː ɑ̯ s
don	d oː n
dor	d oː r
dora	d o r ɑ
dox	d o k s
draca	d r ɑ k ɑ
dracu	d r ɑ k u
dragan	d r ɑ ɡ ɑ n
dran	d r ɑː n
dreah	d r æː ɑ̯ h
dreahtes	d r æ ɑ̯ h t e s
dreahtest	d r æ ɑ̯ h t e s t
dream	d r æː ɑ̯ m
dreamcræft	d r æː ɑ m k r æ f t
dreamere	d r æː ɑ m e r e
dreamleas	d r æː ɑ̯ m l æː ɑ̯ s
dreccan	d r e t t͡ʃ ɑ n
drefan	d r eː f ɑ n
drehte	d r e h t e
drehtest	d r e h t e s t
drenc	d r e n t͡ʃ
drencan	d r e n t͡ʃ ɑ n
drenccuppe	d r e n k k u p p e
drenccuppe	d r e n t͡ʃ k u p p e
dreogan	d r eː o̯ ɡ ɑ n
dreopan	d r eː o̯ p ɑ n
dreor	d r eː o̯ r
dreorig	d r eː o̯ r i j
dreosan	d r eː o̯ s ɑ n
drepan	d r e p ɑ n
drepe	d r e p e
drifan	d r iː f ɑ n
drihten	d r i h t e n
drihtlice	d r i h t l iː t͡ʃ e
drincan	d r i n k ɑ n
dringan	d r i ŋ χ a n
drogen	d r o ɡ e n
dropa	d r o p ɑ
drugaþ	d r uː ɡ ɑ θ
drugon	d r u ɡ o n
druncen	d r u n k e n
druncnian	d r u n k n i ɑ n
drusian	d r uː s i ɑ n
dry	d r yː
drygan	d r yː j ɑ n
dryge	d r yː j e
dryht	d r y h t
dryhten	d r y h t e n
dryhtguma	d r y h t ɡ u m ɑ
dryman	d r yː m ɑ n
drægnet	d r æ j n e t
drægnett	d r æ j n e t t
dræn	d r æː n
duce	d uː k e
dufan	d uː f ɑ n
dufenal	d u f e n ɑ l
dugan	d uː ɡ ɑ n
duguþ	d u ɡ u θ
dumb	d u m b
dumbnes	d u m b n e s
dun	d uː n
dung	d u n ɡ
dunn	d u n n
durran	d u r r ɑ n
duru	d u r u
dust	d uː s t
dustsceawung	d uː s t ʃ æː ɑ̯ w u n ɡ
dustsceaƿung	d uː s t ʃ æː ɑ̯ w u n ɡ
dwelan	d w e l ɑ n
dweorg	d w e o̯ r h
dweorg	d w e o̯ r ɡ
dwild	d w i l d
dwimor	d w i m o r
dwinan	d w iː n ɑ n
dwolcræft	d w o l k r æ f t
dwolma	d w o l m ɑ
dwolmann	d w o l m ɑ n n
dwæs	d w æː s
dwæscan	d w æː ʃ ɑ n
dyhtig	d y h t i j
dyncge	d y n d͡ʒ e
dyne	d y n e
dynt	d y n t
dyppan	d y p p ɑ n
dyrne	d y r n e
dysig	d y s i j
dæd	d æː d
dædhata	d æː d h ɑ t ɑ
dæfte	d æ f t e
dæg	d æ j
dæge	d æ j e
dæge	d æː j e
dægfeorm	d æ j f e o̯ r m
dægmæl	d æ j m æː l
dægred	d æ j r eː d
dægsceald	d æ j ʃ æ ɑ̯ l d
dægsteorra	d æ j s t e o̯ r r ɑ
dægweorc	d æ j w e o̯ rˠ k
dægƿeorc	d æ j w e o̯ rˠ k
dæl	d æ l
dæl	d æː l
dælan	d æː l ɑ n
dælde	d æː l d e
dƿelan	d w e l ɑ n
dƿeorg	d w e o̯ r h
dƿeorg	d w e o̯ r ɡ
dœg	d ø ɡ
dƿild	d w i l d
dƿimor	d w i m o r
dƿinan	d w iː n ɑ n
dƿolcræft	d w o l k r æ f t
dƿolma	d w o l m ɑ
dƿolmann	d w o l m ɑ n n
dƿæs	d w æː s
dƿæscan	d w æː ʃ ɑ n
ea	æː ɑ̯
eac	æː ɑ̯ k
eaca	æː ɑ̯ k ɑ
eacan	æː ɑ̯ k ɑ n
eacen	æː ɑ̯ k e n
ead	æː ɑ̯ d
eadan	æː ɑ̯ d ɑ n
eaden	æː ɑ̯ d e n
eades	æː ɑ̯ d e s
eadgar	æː ɑ̯ d ɡ ɑː r
eadig	æː ɑ̯ d i j
eadwulf	æː ɑ̯ d w u l f
eadƿulf	æː ɑ̯ d w u l f
eadƿulf	æː ɑ̯ d w u ɫ f
eafora	æ ɑ̯ f o r ɑ
eafoþ	æ ɑ̯ f o θ
eagduru	æː ɑ̯ ɡ d u r u
eage	æː ɑ̯ ɡ e
eagæppel	æː ɑ ɣ æ p p e l
eagþyrl	æː ɑ ɣ θ y r l
eahta	æ ɑ̯ h t ɑ
eahtatiene	æ ɑ̯ h t ɑ t i y̯ n e
eahtian	æ ɑ̯ h t i ɑ n
eahtoþa	æ ɑ̯ h t o θ ɑ
eala	æː ɑ̯ l ɑː
eald	æ ɑ̯ l d
ealdbacen	æ ɑ̯ l d b ɑ k e n
ealdfæder	æ ɑ̯ l d f æ d e r
ealdmodor	æ ɑ̯ l d mː o d o r
ealdor	æ ɑ̯ l d o r
ealdorleas	æ ɑ̯ l d o r l æː ɑ̯ s
ealdorlease	æ ɑ̯ l d o r l æː ɑ̯ s e
ealdormann	æ ɑ̯ l d o r m ɑ n n
ealgian	æ ɑ̯ l ɡ i ɑ n
ealh	æ ɑ̯ l h
ealhswiþ	æ ɑ̯ l h s w iː θ
ealhsƿiþ	æ ɑ̯ l h s w iː θ
eall	æ ɑ̯ l ɫ
eallswa	æ ɑ̯ l l s w ɑː
eallsƿa	æ ɑ̯ l l s w ɑː
ealneg	æ ɑ̯ l n e j
ealu	æ ɑ̯ l u
eam	æː ɑ̯ m
ear	æː ɑ̯ r
eard	æ ɑ̯ r d
eardian	æ ɑ̯ r d i ɑ n
eare	æː ɑ̯ r e
earendel	æː ɑ̯ r e n d e l
earfeþe	æ ɑ̯ r f e θ e
earfoþdæde	æ ɑ̯ r f o θ d æː d e
earfoþe	æ ɑ̯ r f o θ e
earfoþhwil	æ ɑ̯ r f o θ h w iː l
earfoþhƿil	æ ɑ̯ r f o θ h w iː l
earfoþhƿil	æ ɑ̯ rˠ v o θ ʍ iː l
earfoþnes	æ ɑ̯ r f o θ n e s
earfoþþrag	æ ɑ̯ r f o θ θ r ɑː h
earg	æ ɑ̯ r ɡ
earh	æ ɑ̯ r h
earhring	æ ɑ̯ r h r i n ɡ
earlæppa	æː ɑ̯ r l æ p p ɑ
earm	æ ɑ̯ r m
earmcearig	æ ɑ̯ r m t ʃ æ ɑ̯ r i j
earn	æ ɑ̯ r n
earnian	æ ɑ̯ r n i ɑ n
ears	æ ɑ̯ r s
earsþerl	æ ɑ̯ r s θ e r l
east	æː ɑ̯ s t
eastan	æː ɑ̯ s t ɑ n
eastermonaþ	æː ɑ̯ s t e r m oː n ɑ θ
easterne	æː ɑ̯ s t e r n e
eastre	æː ɑ̯ s t r e
eaxl	æ ɑ̯ k s l̩
eaxlegespann	æ ɑ̯ k s l e j e s p ɑ n n
eaþ	æː ɑ̯ θ
eaþdæde	æː ɑ̯ θ d æː d e
eaþe	æː ɑ̯ θ e
ebreisc	e b r eː i ʃ
ece	e t͡ʃ e
ece	eː t͡ʃ e
ecg	e d d͡ʒ
ecnes	eː k n e s
edcwic	e d k w i k
edcyrr	e d t͡ʃ y r r
edcƿic	e d k w i k
edischenn	e d i ʃ h e n n
edlesendlic	e d l e s e n d l iː t͡ʃ
edstaþelig	e d s t ɑ θ e l i j
edwenden	e d w e n d e n
edƿenden	e d w e n d e n
efen	e f e n
efen	eː f e n
efenbyrde	e f e n b y r d e
efencempa	e f e n k e m p ɑ
efenhleoþor	e f e n h l eː o̯ θ o r
efenhleoþrian	e f e n h l eː o̯ θ r i ɑ n
efenhleoþrung	e f e n h l eː o̯ θ r u n ɡ
efenlic	e f e n l iː t͡ʃ
efenlicnes	e f e n l iː k n e s
efenmetan	e f e n m e t ɑ n
efenniht	e f e n n i h t
efenscyldig	e f e n ʃ y l d i j
efenwyrcan	e f e n w y r t͡ʃ ɑ n
efenwyrcung	e f e n w y r t͡ʃ u n ɡ
efenwyrhta	e f e n w y r h t ɑ
efenƿyrcan	e f e n w y r t͡ʃ ɑ n
efenƿyrcung	e f e n w y r t͡ʃ u n ɡ
efenƿyrhta	e f e n w y r h t ɑ
efete	e f e t e
efnan	e f n ɑ n
efstan	e f s t ɑ n
eft	e f t
eftcyrran	e f t t͡ʃ y r r ɑ n
efthweorfan	e f t h w e o̯ r f ɑ n
efthƿeorfan	e f t h w e o̯ r f ɑ n
ege	e j e
ege	e ɡ e
ege	eː ɡ e
egesian	e j e s i ɑ n
eglan	e j l ɑ n
egle	e j l e
egsian	e j s i ɑ n
ehtend	eː h t e n d
el	e l
elcor	e l k o r
eldra	e l d r ɑ
ele	e l e
elebeam	e l e b æː ɑ̯ m
eleberge	e l e b e r j e
ellen	e l l e n
ellor	e l l o r
elnboga	e l n b o ɡ ɑ
elp	e l p
elpenbænen	e l p e n b æː n e n
elpend	e l p e n d
elpendban	e l p e n d b ɑː n
elra	e l r ɑ
elreord	e l r e o̯ r d
elreordig	e l r e o̯ r d i j
elþeodig	e l θ eː o̯ d i j
embwlatian	e m b w l ɑː t i ɑ n
embƿlatian	e m b w l ɑː t i ɑ n
emn	e m n
encgel	e n d͡ʒ e l
ende	e n d e
endedæg	e n d e d æ j
endeleas	e n d e l æː ɑ̯ s
endeleasnes	e n d e l æː ɑ̯ s n e s
endesæta	e n d e s æː t ɑ
endian	e n d i ɑ n
endleofan	e n d l e o̯ f ɑ n
ened	e n e d
engel	e n d͡ʒ e l
englaland	e n ɡ l ɑ l ɑ n d
engle	e n ɡ l e
englisc	e n ɡ l i ʃ
ent	e n t
entisc	e n t i ʃ
eode	eː o̯ d e
eodor	e o̯ d o r
eoferwicscir	e o̯ f e r w iː t͡ʃ ʃ iː r
eoferƿicscir	e o̯ f e r w iː t͡ʃ ʃ iː r
eofor	e o̯ f o r
eoforlic	e o̯ f o r l iː t͡ʃ
eoforwic	e o̯ f o r w iː t ʃ
eoforþring	e o̯ f o r θ r i n ɡ
eoforƿic	e o̯ f o r w iː t ʃ
eoh	e o̯ h
eoh	eː o̯ h
eom	e o̯ m
eorcnan	e o̯ r k n ɑ n
eorl	e o̯ r l
eorþbeofung	e o̯ r θ b e o̯ f u n ɡ
eorþberige	e o̯ r θ b e r i j e
eorþbifung	e o̯ r θ b i f u ŋ ɡ
eorþe	e o̯ r θ e
eorþfæt	e o̯ r θ f æ t
eorþnafela	e o̯ r θ n ɑ f e l ɑ
eorþnafola	e o̯ r θ n ɑ f o l ɑ
eosol	e o̯ s o l
eotaland	eː o̯ t ɑ l ɑ n d
eoten	e o̯ t e n
eow	eː o̯ w
eowan	eː o̯ w ɑ n
eower	eː o̯ w e r
eowic	eː o̯ w i t͡ʃ
eowu	eː o̯ w u
eoƿ	eː o̯ w
eoƿan	eː o̯ w ɑ n
eoƿer	eː o̯ w e r
eoƿic	eː o̯ w i t͡ʃ
eoƿu	eː o̯ w u
erian	e r j ɑ n
erschenn	e r ʃ h e n n
esa	eː s ɑ
est	eː s t
etan	e t ɑ n
eþel	eː θ e l
eþelweard	eː θ e l w æ ɑ̯ r d
eþelƿeard	eː θ e l w æ ɑ̯ r d
eþian	eː θ i ɑ n
facentacen	f ɑː k e n t ɑː k e n
facn	f ɑː k n
fadian	f ɑ d i ɑ n
fagnian	f ɑ ɡ n i ɑ n
fah	f ɑː h
fam	f ɑː m
fana	f ɑ n ɑ
fand	f ɑ n d
fandian	f ɑ n d i ɑ n
fang	f ɑ n ɡ
fanu	f ɑ n u
faran	f ɑ r ɑ n
faroþ	f ɑ r o θ
faru	f ɑ r u
faþe	f ɑ θ e
faþu	f ɑ θ u
fealca	f æ ɑ̯ l k ɑ
fealdan	f æ ɑ̯ l d ɑ n
fealh	f æ ɑ̯ l h
feallan	f æ ɑ̯ l l ɑ n
fealle	f æ ɑ̯ l l e
fealu	f æ ɑ̯ l u
fealwian	f æ ɑ̯ l w i ɑ n
fealƿian	f æ ɑ̯ l w i ɑ n
fearh	f æ ɑ̯ r h
fearn	f æ ɑ̯ r n
fearr	f æ ɑ̯ r r
fearr	f æ ɑ̯ rː
feasceaft	f æː ɑ̯ ʃ æ f t
feaw	f æː ɑ̯ w
feax	f æ ɑ̯ k s
feaxnett	f æ ɑ̯ k s n e tː
feaƿ	f æː ɑ̯ w
feccan	f e t t͡ʃ ɑ n
fedan	f eː d ɑ n
fefor	f e f o r
fegan	f eː j ɑ n
feh	f e h
feht	f e x t
fela	f e l ɑ
felahror	f e l a h r oː r
felan	f e l a n
felan	f eː l a n
feld	f e l d
fellan	f e l l ɑ n
felt	f e l t
feogan	f eː o j ɑ n
feogean	f eː o j æ ɑ n
feoh	f e o̯ h
feohgift	f e o̯ h j i f t
feohtan	f e o̯ h t ɑ n
feolo	f e o̯ ɫ o
feond	f eː o̯ n d
feondræden	f eː o̯ n d r æː d e n
feor	f e o̯ r
feorbuend	f e o̯ r b uː e n d
feorh	f e o̯ r h
feorhbealo	f e o̯ r h b æ ɑ̯ l o
feorhscyldig	f e o̯ r h ʃ y l d i j
feorhweard	f e o̯ r h w æ ɑ̯ r d
feorhƿeard	f e o̯ r h w æ ɑ̯ r d
feorm	f e o̯ r m
feormere	f e o̯ m e r e
feormian	f e o̯ r m i ɑ n
feorr	f e o̯ r r
feorran	f e o̯ r r ɑ n
feortan	f e o̯ r t ɑ n
feorweg	f e o̯ r w e j
feorþa	f eː o̯ r θ ɑ
feorƿeg	f e o̯ r w e j
feower	f eː o̯ w e r
feowertiene	f eː o̯ w e r t iː y̯ n e
feoƿer	f eː o̯ w e r
feoƿertiene	f eː o̯ w e r t iː y̯ n e
feran	f eː r ɑ n
ferhþ	f e r x θ
ferian	f e r j ɑ n
fersc	f e r ʃ
ferþ	f e r θ
fesian	f eː s i ɑ n
fet	f eː t
feter	f e t e r
fetian	f e t i ɑ n
feþer	f e θ e r
fic	f iː k
fician	f i k i ɑ n
ficol	f i k o l
fictreow	f iː k t r eː o̯ w
fictreoƿ	f iː k t r eː o̯ w
fieldestol	f i y̯ l d e s t oː l
fiell	f i y̯ lː
fif	f iː f
fifealde	f iː f æ ɑ̯ l d e
fifel	f iː f e l
fifelcynn	f iː f e l k y n n
fifta	f iː f t ɑ
fiftiene	f iː f t i y̯ n e
fiftig	f iː f t i j
filmen	f i l m e n
fina	f i n ɑ
finc	f i n t͡ʃ
findan	f i n d ɑ n
findig	f i n d i j
finger	f i n ɡ e r
fingerdocce	f i n ɡ e r d o k k e
finn	f i nː
finta	f i n t ɑ
firas	f iː r ɑ s
firen	f i r e n
firentacen	f i r e n t ɑː k e n
firentacnian	f i r e n t ɑː k n i ɑ n
firgen	f i r ɡ e n
fisc	f i ʃ
fiscere	f i ʃ ʃ e r e
fiscian	f i ʃ i ɑ n
fisclacu	f i ʃ l ɑ k u
fiscoþ	f i s k o θ
fiscoþ	f i ʃ ʃ o θ
fitt	f i tː
fiþerbære	f i θ e r b æː r e
fiþere	f i θ e r e
fiþerian	f i θ e r i ɑ n
flacor	f l ɑ k o r
flan	f l ɑː n
flanhræd	f l ɑː n h r æ d
flaniht	f l ɑː n i ç t
flanþracu	f l ɑː n θ r ɑ k u
flasce	f l ɑ s k e
flat	f l ɑː t
fleah	f l æː ɑ̯ h
fleam	f l æː ɑ̯ m
fleardere	f l æ ɑ r d e r e
fleax	f l æ ɑ̯ k s
fleo	f l eː o
fleogan	f l eː o̯ ɡ ɑ n
fleoge	f l eː o̯ ɡ e
fleogenda	f l eː o̯ ɡ e n d ɑ
fleohtan	f l e o̯ h t ɑ n
fleon	f l eː o̯ n
flet	f l e t
flet	f l eː t
fletgefeoht	f l e t j e f e o x t
flett	f l e t t
flewsa	f l eː w s ɑ
fleƿsa	f l eː w s ɑ
flicorian	f l i k o r i ɑ n
fliema	f l iː y̯ m ɑ n
flitan	f l iː t ɑ n
flocc	f l o kː
flocmælum	f l o k m æː l
flod	f l oː d
flor	f l oː r
flota	f l o t ɑ
flowan	f l oː w ɑ n
floƿan	f l oː w ɑ n
flugol	f l u ɡ o l
flæsc	f l æː ʃ
fneosan	f n eː o̯ s ɑ n
fnora	f n o r ɑ
fnæst	f n æ s t
foda	f oː d ɑ
fodor	f oː d o r
folc	f o l k
folcgefeoht	f o l k j e f e o x t
folcstede	f o l k s t e d e
foldbuend	f o l d̩ b uː e n d
folde	f o l d e
folgian	f o l ɡ i ɑ n
folm	f o l m
fon	f oː n
for	f o r
for	f oː r
foran	f o r ɑ n
forbeodan	f o r b eː o̯ d ɑ n
forberstan	f o r b e r s t ɑ n
forbirnan	f o r b i r n ɑ n
forblawan	f o r b l ɑː w ɑ n
forblaƿan	f o r b l ɑː w ɑ n
forbugan	f o r b uː ɡ ɑ n
forbærnan	f o r b æ r n ɑ n
forcel	f o r k e l
forcyrran	f o r t͡ʃ y r r ɑ n
forcyrrednes	f o r t͡ʃ y r r e d n e s
forcyrring	f o r t͡ʃ y r r i n ɡ
ford	f o r d
fordeman	f o r d eː m ɑ n
fordon	f o r d oː n
fordrencan	f o r d r e n t͡ʃ ɑ n
fordrifan	f o r d r iː f ɑ n
fordwinan	f o r d w iː n ɑ n
fordƿinan	f o r d w iː n ɑ n
foreberan	f o r e b e r ɑ n
forebodian	f o r e b o d i ɑ n
forecweþan	f oː r e k w e θ ɑ n
forecƿeþan	f oː r e k w e θ ɑ n
foregenga	f oː r e ɡ e n d͡ʒ ɑ
foregenga	f oː r e ɣ e n d͡ʒ ɑ
foremearcod	f oː r e m æ ɑ r k o d
foremearcung	f oː r e m æ ɑ̯ r k u n ɡ
forenama	f oː r e n ɑ m ɑ
foresetnes	f oː r e s e t n e s
foresettan	f oː r e s e t t ɑ n
foresmeagan	f oː r e s m æː ɑ ɣ ɑ n
foresteall	f o r e s t æ ɑ l l
foresægdnes	f oː r e s æ j d n e s
foreward	f oː r e w ɑ r d
forewarnian	f o r e w ɑ r n i ɑ n
foreþingian	f o r e θ i n ɡ i ɑ n
foreƿard	f oː r e w ɑ r d
forfaran	f o r f ɑ r ɑ n
forgeaf	f o r j æ ɑ̯ f
forgeald	f o r j æ ɑ̯ l d
forgiefan	f o r j i y̯ f ɑ n
forgiefendlic	f o r j i y̯ f e n d l iː t͡ʃ
forgieldan	f o r j i y̯ l d ɑ n
forgietan	f o r j i y̯ t ɑ n
forgymeleasnes	f o r j yː m e l æː ɑ̯ s n e s
forhabban	f o r h ɑ b b ɑ n
forhatan	f o r h ɑː t ɑ n
forhatena	f o r h ɑː t e n ɑ
forhweorfan	f o r h w e o̯ r f ɑ n
forhycgan	f o r h y d d͡ʒ ɑ n
forhƿeorfan	f o r h w e o̯ r f ɑ n
forleosan	f o r l eː o̯ s ɑ n
forliden	f o r l i d e n
forlidennes	f o r l i d e n n e s
forligerhus	f o r l i j e r h uː s
forliþan	f o r l iː θ ɑ n
forlætan	f o r l æː t ɑ n
forma	f o r m ɑ
formeltan	f o r m e l t ɑ n
forn	f o r n
forn	f oː r n
forsceadan	f o r ʃ æː ɑ̯ d ɑ n
forscyldigian	f o r ʃ y l d i ɣ i ɑ n
forscyldigian	f o r ʃ y l d i ɣ j ɑ n
forsellan	f o r s e l l ɑ n
forseoþan	f o r s eː o̯ θ ɑ n
forspendan	f o r s p e n d ɑ n
forwemman	f o r w e m m ɑ n
forweorþan	f o r w e o̯ r θ ɑ n
forwlencan	f o r w l e n k ɑ n
forwrecan	f o r w r e k ɑ n
forð	f o r θ
forþ	f o r θ
forþgeriman	f o r θ j e r iː m ɑ n
forþgestigan	f o r θ j e s t iː j ɑ n
forþlædan	f o r θ l æː d ɑ n
forþrysmian	f o r θ r y s m i ɑ n
forþteon	f o r θ t eː o̯ n
forƿemman	f o r w e m m ɑ n
forƿeorþan	f o r w e o̯ r θ ɑ n
forƿlencan	f o r w l e n k ɑ n
forƿrecan	f o r w r e k ɑ n
fot	f oː t
fotscamol	f oː t ʃ ɑ m o l
fotsceamol	f oː t ʃ ɑ m o l
fotwielm	f oː t w i y l m
fotƿielm	f oː t w i y l m
fox	f o k s
fram	f r ɑ m
framateon	f r ɑ m ɑː t eː o̯ n
frambugan	f r ɑ m b uː ɡ ɑ n
franca	f r ɑ n k ɑ
francland	f r ɑ ŋ k l ɑ n d
francrice	f r ɑ ŋ k r iː t͡ʃ e
frea	f r æː ɑ̯
fream	f r æː ɑ̯ m
frean	f r æː ɑ̯ n
freana	f r æː ɑ̯ n ɑ
frec	f r e k
frecen	f r eː k e n
frecgan	f r e d d͡ʒ ɑ n
fredan	f r eː d ɑ n
freht	f r e x t
freht	f r e ç t
fremde	f r e m d e
freme	f r e m e
fremede	f r e m e d e
fremedlæcan	f r e m e d l æː t͡ʃ ɑ n
fremman	f r e m m ɑ n
frencisc	f r e n t͡ʃ i ʃ
freo	f r eː o̯
freogan	f r eː o̯ j ɑ n
freoh	f r eː o̯ x
freolsian	f r eː o l s i ɑ n
freond	f r eː o̯ n d
freondleas	f r eː o̯ n d l æː ɑ̯ s
freondlic	f r eː o̯ n d l iː t͡ʃ
freosan	f r eː o̯ s ɑ n
fretan	f r e t ɑ n
fricgan	f r i d d͡ʒ ɑ n
frician	f r i k i ɑ n
frician	f r iː k i ɑ n
friesa	f r i y̯ s ɑ
frig	f r iː j
frigedæg	f r iː j e d æ j
frignan	f r i j n ɑ n
frinan	f r iː n ɑ n
friþ	f r i θ
friþhus	f r i θ h uː s
friþotacen	f r i θ o t ɑː k e n
