Ⴁ	b
ბიცოლა	b ɪ t s ɔ l ɑ
ბიძა	b i d z ɑ
ბიძგი	b i d z ɡ i
ბიძინა	b ɪ d z ɪ n ɑ
ბიწიერად	b ɪ t sʼ ɪ ɛ r ɑ d
ბიწიერება	b ɪ t sʼ ɪ ɛ r ɛ b ɑ
ბიწიერი	b ɪ t sʼ ɪ ɛ r ɪ
ბიჭვინთა	b i t ʃʼ v i n tʰ ɑ
ბიჭი	b i t ʃʼ i
ბიჭუნა	b i t ʃʼ u n ɑ
ბიჭუნები	b i t ʃʼ u n ɛ b i
ბლაგვად	b l ɑ ɡ v ɑ d
ბლაგვი	b l ɑ ɡ v i
ბლანკი	b l ɑ n kʼ ɪ
ბლანტი	b l ɑ n tʼ ɪ
ბლოგი	b l ɔ ɡ i
ბლოკადა	b l ɔ kʼ ɑ d ɑ
ბლოკი	b l ɔ kʼ ɪ
ბლუ	b l u
ბმულად	b m u l ɑ d
ბმული	b m u l i
ბმულით	b m u l ɪ tʰ
ბმულის	b m u l ɪ s
ბმულმა	b m u l m ɑ
ბმულს	b m u l s
ბნელად	b n ɛ l ɑ d
ბნელი	b n ɛ l i
ბობოლა	b ɔ b ɔ l ɑ
ბობოქარი	b ɔ b ɔ kʰ ɑ r ɪ
ბოდვით	b ɔ d v ɪ tʰ
ბოდვითი	b ɔ d v ɪ tʰ ɪ
ბოდვისას	b ɔ d v ɪ s ɑ s
ბოდიში	b ɔ d i ʃ i
ბოზი	b ɔ z i
ბოთე	b ɔ tʰ ɛ
ბოთლი	b ɔ tʰ l i
ბოიკოტი	b ɔ ɪ kʼ ɔ tʼ ɪ
ბოლერო	b ɔ l ɛ r ɔ
ბოლი	b ɔ l i
ბოლიანი	b ɔ l i ɑ n i
ბოლივია	b ɔ l i v i ɑ
ბოლო	b ɔ l ɔ
ბოლოკი	b ɔ l ɔ kʼ i
ბოლოს	b ɔ l ɔ s
ბოლქვი	b ɔ l kʰ v ɪ
ბოლქვიანი	b ɔ l kʰ v ɪ ɑ n ɪ
ბომბავს	b ɔ m b ɑ v s
ბომბარდირები	b ɔ m b ɑ r d ɪ r ɛ b ɪ
ბომბარდირი	b ɔ m b ɑ r d ɪ r ɪ
ბომბი	b ɔ m b i
ბონბონიერი	b ɔ n b ɔ n i ɛ r i
ბორა	b ɔ r ɑ
ბორანი	b ɔ r ɑ n i
ბორბალა	b ɔ r b ɑ l ɑ
ბორბალი	b ɔ r b ɑ l i
ბორდიური	b ɔ r d ɪ u r ɪ
ბორდო	b ɔ r d ɔ
ბორი	b ɔ r i
ბორკილი	b ɔ r kʼ ɪ l ɪ
ბოროტად	b ɔ r ɔ tʼ ɑ d
ბოროტება	b ɔ r ɔ tʼ ɛ b ɑ
ბოროტი	b ɔ r ɔ tʼ i
ბოროტმოქმედი	b ɔ r ɔ tʼ m ɔ kʰ m ɛ d ɪ
ბორტზე	b ɔ r tʼ z ɛ
ბორში	b ɔ r ʃ ɪ
ბორშჩი	b ɔ r ʃ t ʃ ɪ
ბორცვებიანი	b ɔ r t s v ɛ b ɪ ɑ n ɪ
ბორცვი	b ɔ r t s v i
ბორჯომი	b ɔ r d ʒ ɔ m i
ბოსელი	b ɔ s ɛ l ɪ
ბოსტანი	b ɔ s tʼ ɑ n ɪ
ბოსტნეული	b ɔ s tʼ n ɛ u l ɪ
ბოტანიკოსი	b ɔ tʼ ɑ n ɪ kʼ ɔ s ɪ
ბოტანიკური	b ɔ tʼ ɑ n ɪ kʼ u r ɪ
ბოტსვანა	b ɔ tʼ s v ɑ n ɑ
ბოტულიზმი	b ɔ tʼ u l ɪ z m ɪ
ბოღმა	b ɔ ɣ m ɑ
ბოშა	b ɔ ʃ ɑ
ბოცვერი	b ɔ t s v ɛ r i
ბოცმანი	b ɔ t s m ɑ n ɪ
ბოჭკოვანი	b ɔ t ʃʼ kʼ ɔ v ɑ n ɪ
ბოხჩა	b ɔ χ t ʃ ɑ
ბრა	b r ɑ
ბრაგვანი	b r ɑ ɡ v ɑ n ɪ
ბრაზი	b r ɑ z i
ბრაზიანად	b r ɑ z ɪ ɑ n ɑ d
ბრაზიანი	b r ɑ z ɪ ɑ n ɪ
ბრაზილია	b r ɑ z i l i ɑ
ბრაზილიური	b r ɑ z ɪ l ɪ u r ɪ
ბრაკონიერი	b r ɑ kʼ ɔ n ɪ ɛ r ɪ
ბრალდება	b r ɑ l d ɛ b ɑ
ბრალეული	b r ɑ l ɛ u l i
ბრალეულობა	b r ɑ l ɛ u l ɔ b ɑ
ბრალი	b r ɑ l i
ბრამანი	b r ɑ m ɑ n ɪ
ბრატცი	b r ɑ tʼ t s i
ბრაწავს	b r ɑ t sʼ ɑ v s
ბრაწი	b r ɑ t sʼ ɪ
ბრბო	b r b ɔ
ბრგე	b r ɡ ɛ
ბრდღვნის	b r d ɣ v n i s
ბრეზენტი	b r ɛ z ɛ n tʼ ɪ
ბრეტელი	b r ɛ tʼ ɛ l ɪ
ბრიგადა	b r ɪ ɡ ɑ d ɑ
ბრიგადირი	b r ɪ ɡ ɑ d ɪ r ɪ
ბრიკეტი	b r ɪ kʼ ɛ tʼ ɪ
ბრინჯაო	b r i n d ʒ ɑ ɔ
ბრინჯი	b r i n d ʒ i
ბრიტანეთად	b r ɪ tʼ ɑ n ɛ tʰ ɑ d
ბრიტანეთი	b r ɪ tʼ ɑ n ɛ tʰ ɪ
ბრიტანეთით	b r ɪ tʼ ɑ n ɛ tʰ ɪ tʰ
ბრიტანეთის	b r ɪ tʼ ɑ n ɛ tʰ ɪ s
ბრიტანეთმა	b r ɪ tʼ ɑ n ɛ tʰ m ɑ
ბრიტანეთს	b r ɪ tʼ ɑ n ɛ tʰ s
ბრიტანული	b r ɪ tʼ ɑ n u l ɪ
ბრიყვი	b r i qʼ v i
ბრიჯი	b r ɪ d ʒ ɪ
ბრმა	b r m ɑ
ბროკერი	b r ɔ kʼ ɛ r ɪ
ბროკოლი	b r ɔ kʼ ɔ l ɪ
ბროლი	b r ɔ l i
ბრომი	b r ɔ m ɪ
ბრონქი	b r ɔ n kʰ ɪ
ბრონქიტი	b r ɔ n kʰ ɪ tʼ ɪ
ბრონქული	b r ɔ n kʰ u l ɪ
ბროში	b r ɔ ʃ i
ბროშურა	b r ɔ ʃ u r ɑ
ბრტყელი	b r tʼ qʼ ɛ l i
ბრტყლად	b r tʼ qʼ l ɑ d
ბრუნდება	b r u n d ɛ b ɑ
ბრუნეი	b r u n ɛ i
ბრუნვა	b r u n v ɑ
ბრუნვადი	b r u n v ɑ d ɪ
ბრუნვითი	b r u n v ɪ tʰ ɪ
ბრუნი	b r u n ɪ
ბრძანდებით	b r d z ɑ n d ɛ b ɪ tʰ
ბრძანება	b r d z ɑ n ɛ b ɑ
ბრძანებითი	b r d z ɑ n ɛ b i tʰ i
ბრძანებულება	b r d z ɑ n ɛ b u l ɛ b ɑ
ბრძენი	b r d z ɛ n i
ბრძნულად	b r d z n u l ɑ d
ბრძნული	b r d z n u l ɪ
ბრძოლა	b r d z ɔ l ɑ
ბრძოლად	b r d z ɔ l ɑ d
ბრძოლამ	b r d z ɔ l ɑ m
ბრძოლას	b r d z ɔ l ɑ s
ბრძოლით	b r d z ɔ l ɪ tʰ
ბრძოლის	b r d z ɔ l ɪ s
ბრწყინავს	b r t sʼ qʼ i n ɑ v s
ბრწყინვალე	b r t sʼ qʼ ɪ n v ɑ l ɛ
ბრწყინვალება	b r t sʼ qʼ ɪ n v ɑ l ɛ b ɑ
ბრწყინვალედ	b r t sʼ qʼ ɪ n v ɑ l ɛ d
ბრჭყალი	b r t ʃʼ qʼ ɑ l ɪ
ბრჯენი	b r d ʒ ɛ n ɪ
ბუ	b u
ბუგრი	b u ɡ r ɪ
ბუდე	b u d ɛ
ბუდიზმი	b u d ɪ z m ɪ
ბუდისტი	b u d ɪ s tʼ ɪ
ბუდობა	b u d ɔ b ɑ
ბუდუარი	b u d u ɑ r ɪ
ბუზანკალი	b u z ɑ n kʼ ɑ l ɪ
ბუზი	b u z i
ბუკლეტი	b u kʼ l ɛ tʼ ɪ
ბუკმეკერი	b u kʼ m ɛ kʼ ɛ r i
ბუკოლიკური	b u kʼ ɔ l ɪ kʼ u r ɪ
ბულბული	b u l b u l i
ბულგარეთი	b u l ɡ ɑ r ɛ tʰ i
ბულგარული	b u l ɡ ɑ r u l i
ბულდოგი	b u l d ɔ ɡ ɪ
ბულდოზერი	b u l d ɔ z ɛ r ɪ
ბულვარი	b u l v ɑ r ɪ
ბულიონი	b u l ɪ ɔ n ɪ
ბუმი	b u m ɪ
ბუნგალო	b u n ɡ ɑ l ɔ
ბუნდოვანება	b u n d ɔ v ɑ n ɛ b ɑ
ბუნდოვანი	b u n d ɔ v ɑ n ɪ
ბუნდოვნად	b u n d ɔ v n ɑ d
ბუნება	b u n ɛ b ɑ
ბუნები	b u n ɛ b ɪ
ბუნებრივად	b u n ɛ b r ɪ v ɑ d
ბუნებრივი	b u n ɛ b r i v i
ბუნებრიობა	b u n ɛ b r ɪ ɔ b ɑ
ბუნი	b u n ɪ
ბუნიობა	b u n i ɔ b ɑ
ბუნკერი	b u n kʼ ɛ r ɪ
ბუნტი	b u n tʼ i
ბურახი	b u r ɑ χ ɪ
ბურბონი	b u r b ɔ n ɪ
ბურბურა	b u r b u r ɑ
ბურბუშელა	b u r b u ʃ ɛ l ɑ
ბურგომისტრი	b u r ɡ ɔ m ɪ s tʼ r ɪ
ბურდავს	b u r d ɑ v s
ბურვაკი	b u r v ɑ kʼ ɪ
ბურთი	b u r tʰ i
ბურთულა	b u r tʰ u l ɑ
ბურნუთი	b u r n u tʰ i
ბურჟუა	b u r ʒ u ɑ
ბურჟუაზია	b u r ʒ u ɑ z ɪ ɑ
ბურჟუაზიული	b u r ʒ u ɑ z i u l i
ბურუნდი	b u r u n d i
ბურღავს	b u r ɣ ɑ v s
ბურღი	b u r ʁ ɪ
ბურცობი	b u r t s ɔ b ɪ
ბურჯი	b u r d ʒ i
ბუსუსი	b u s u s i
ბუსუსიანი	b u s u s ɪ ɑ n ɪ
ბუტკო	b u tʼ kʼ ɔ
ბუფერი	b u pʰ ɛ r ɪ
ბუფეტი	b u pʰ ɛ tʼ i
ბუქარესტი	b u kʰ ɑ r ɛ s tʼ i
ბუქსირება	b u kʰ s i r ɛ b ɑ
ბუქსირები	b u kʰ s i r ɛ b i
ბუქსირი	b u kʰ s i r i
ბუღალტერი	b u ʁ ɑ l tʼ ɛ r ɪ
ბუღალტერია	b u ɣ ɑ l tʼ ɛ r i ɑ
ბუშლატი	b u ʃ l ɑ tʼ ɪ
ბუშტი	b u ʃ tʼ i
ბუშტოვანი	b u ʃ tʼ ɔ v ɑ n ɪ
ბუშტულა	b u ʃ tʼ u l ɑ
ბუჩქი	b u t ʃ kʰ ɪ
ბუჩქნარი	b u t ʃ kʰ n ɑ r ɪ
ბუხარი	b u x ɑ r i
ბუხჰალტერი	b u x h ɑ l tʼ ɛ r i
ბჭისკარი	b t ʃʼ i s kʼ ɑ r i
ბჰუტანი	b h u tʼ ɑ n i
გ	ɡ
გააადამიანებს	ɡ ɑ ɑ ɑ d ɑ m i ɑ n ɛ b s
გააგრძელებ	ɡ ɑ ɑ ɡ r d z ɛ l ɛ b
გააგრძელებს	ɡ ɑ ɑ ɡ r d z ɛ l ɛ b s
გააკეთებს	ɡ ɑ ɑ kʼ ɛ tʰ ɛ b s
გააკუებს	ɡ ɑ ɑ kʼ u ɛ b s
გაამოთ	ɡ ɑ ɑ m ɔ tʰ
გაატარებს	ɡ ɑ ɑ tʼ ɑ r ɛ b s
გაატარეს	ɡ ɑ ɑ tʼ ɑ r ɛ s
გააფთრებული	ɡ ɑ ɑ pʰ tʰ r ɛ b u l ɪ
გააჩნია	ɡ ɑ ɑ t ʃ n i ɑ
გააცნობს	ɡ ɑ ɑ t s n ɔ b s
გაახურებს	ɡ ɑ ɑ χ u r ɛ b s
გაახურეთ	ɡ ɑ ɑ χ u r ɛ tʰ
გააჯვი	ɡ ɑ ɑ d ʒ v ɪ
გაბარდინი	ɡ ɑ b ɑ r d ɪ n ɪ
გაბარდული	ɡ ɑ b ɑ r d u l ɪ
გაბატონებულად	ɡ ɑ b ɑ tʼ ɔ n ɛ b u l ɑ d
გაბატონებული	ɡ ɑ b ɑ tʼ ɔ n ɛ b u l ɪ
გაბაშვილი	ɡ ɑ b ɑ ʃ v i l i
გაბედულად	ɡ ɑ b ɛ d u l ɑ d
გაბედულება	ɡ ɑ b ɛ d u l ɛ b ɑ
გაბედული	ɡ ɑ b ɛ d u l i
გაბერილი	ɡ ɑ b ɛ r ɪ l ɪ
გაბზარული	ɡ ɑ b z ɑ r u l i
გაბიაბრუება	ɡ ɑ b i ɑ b r u ɛ b ɑ
გაბნეული	ɡ ɑ b n ɛ u l i
გაბონი	ɡ ɑ b ɔ n i
გაბრაზებით	ɡ ɑ b r ɑ z ɛ b ɪ tʰ
გაბრაზებული	ɡ ɑ b r ɑ z ɛ b u l i
გაბრუებული	ɡ ɑ b r u ɛ b u l ɪ
გაბუტულად	ɡ ɑ b u tʼ u l ɑ d
გაბღენძილი	ɡ ɑ b ʁ ɛ n d z ɪ l ɪ
გაგებით	ɡ ɑ ɡ ɛ b ɪ tʰ
გაგიმარჯოს	ɡ ɑ ɡ i m ɑ r d ʒ ɔ s
გაგიჟებით	ɡ ɑ ɡ ɪ ʒ ɛ b ɪ tʰ
გაგიჟებული	ɡ ɑ ɡ ɪ ʒ ɛ b u l ɪ
გაგონება	ɡ ɑ ɡ ɔ n ɛ b ɑ
გაგრა	ɡ ɑ ɡ r ɑ
გადააღწევს	ɡ ɑ d ɑ ɑ ɣ t sʼ ɛ v s
გადავაღწიე	ɡ ɑ d ɑ v ɑ ʁ t sʼ ɪ ɛ
გადავიხადე	ɡ ɑ d ɑ v ɪ χ ɑ d ɛ
გადავიხადო	ɡ ɑ d ɑ v ɪ χ ɑ d ɔ
გადავიხდი	ɡ ɑ d ɑ v ɪ χ d ɪ
გადაიხადა	ɡ ɑ d ɑ ɪ χ ɑ d ɑ
გადაიხადოს	ɡ ɑ d ɑ ɪ χ ɑ d ɔ s
გადაიხდი	ɡ ɑ d ɑ ɪ χ d ɪ
გადაიხდიან	ɡ ɑ d ɑ ɪ χ d ɪ ɑ n
გადაიხდის	ɡ ɑ d ɑ i x d i s
გადაკრული	ɡ ɑ d ɑ kʼ r u l ɪ
გადამდგარი	ɡ ɑ d ɑ m d ɡ ɑ r i
გადამდები	ɡ ɑ d ɑ m d ɛ b ɪ
გადამოწმებადი	ɡ ɑ d ɑ m ɔ t sʼ m ɛ b ɑ d ɪ
გადამცემი	ɡ ɑ d ɑ m t s ɛ m ɪ
გადამწერი	ɡ ɑ d ɑ m t sʼ ɛ r ɪ
გადამწყვეტად	ɡ ɑ d ɑ m t sʼ qʼ v ɛ tʼ ɑ d
გადამწყვეტი	ɡ ɑ d ɑ m t sʼ qʼ v ɛ tʼ ɪ
გადარეული	ɡ ɑ d ɑ r ɛ u l i
გადარეცხილი	ɡ ɑ d ɑ r ɛ t s χ ɪ l ɪ
გადასაზიდი	ɡ ɑ d ɑ s ɑ z ɪ d ɪ
გადასაწყვეტი	ɡ ɑ d ɑ s ɑ t sʼ qʼ v ɛ tʼ ɪ
გადასახადი	ɡ ɑ d ɑ s ɑ x ɑ d i
გადასვლა	ɡ ɑ d ɑ s v l ɑ
გადასინჯავს	ɡ ɑ d ɑ s i n d ʒ ɑ v s
გადატანილი	ɡ ɑ d ɑ tʼ ɑ n i l i
გადატვირთული	ɡ ɑ d ɑ tʼ v ɪ r tʰ u l ɪ
გადაუდებლად	ɡ ɑ d ɑ u d ɛ b l ɑ d
გადაულახავად	ɡ ɑ d ɑ u l ɑ χ ɑ v ɑ d
გადაულახავი	ɡ ɑ d ɑ u l ɑ χ ɑ v ɪ
გადაუხაზავი	ɡ ɑ d ɑ u χ ɑ z ɑ v ɪ
გადაუხდელი	ɡ ɑ d ɑ u x d ɛ l i
გადაუხდელობა	ɡ ɑ d ɑ u x d ɛ l ɔ b ɑ
გადაუხურავი	ɡ ɑ d ɑ u χ u r ɑ v ɪ
გადაქანცული	ɡ ɑ d ɑ kʰ ɑ n t s u l ɪ
გადაღეჭილი	ɡ ɑ d ɑ ɣ ɛ t ʃʼ i l i
გადაწერეთ	ɡ ɑ d ɑ t sʼ ɛ r ɛ tʰ
გადაწერს	ɡ ɑ d ɑ t sʼ ɛ r s
გადაწყვეტილება	ɡ ɑ d ɑ t sʼ qʼ v ɛ tʼ ɪ l ɛ b ɑ
გადაწყვეტს	ɡ ɑ d ɑ t sʼ qʼ v ɛ tʼ s
გადაწყვიტა	ɡ ɑ d ɑ t sʼ qʼ v ɪ tʼ ɑ
გადაჭარბებულად	ɡ ɑ d ɑ t ʃʼ ɑ r b ɛ b u l ɑ d
გადაჭიმული	ɡ ɑ d ɑ t ʃʼ ɪ m u l ɪ
გადაჭრით	ɡ ɑ d ɑ t ʃʼ r ɪ tʰ
გადახდა	ɡ ɑ d ɑ x d ɑ
გადახდილი	ɡ ɑ d ɑ χ d ɪ l ɪ
გადახდის	ɡ ɑ d ɑ χ d ɪ s
გადახოტრილი	ɡ ɑ d ɑ χ ɔ tʼ r ɪ l ɪ
გადახრილად	ɡ ɑ d ɑ χ r ɪ l ɑ d
გადახრილი	ɡ ɑ d ɑ χ r ɪ l ɪ
გადის	ɡ ɑ d i s
გადმონაშთი	ɡ ɑ d m ɔ n ɑ ʃ tʰ i
გადმოსაკონტრრევოლუციონერებლებისნაირებისათვისაცო	ɡ ɑ d m ɔ s ɑ kʼ ɔ n tʼ r r ɛ v ɔ l u t s i ɔ n ɛ r ɛ b l ɛ b i s n ɑ i r ɛ b i s ɑ tʰ v i s ɑ t s ɔ
გადოლინიუმი	ɡ ɑ d ɔ l i n i u m i
გაერთიანებული	ɡ ɑ ɛ r tʰ i ɑ n ɛ b u l i
გაეღვიძა	ɡ ɑ ɛ ʁ v ɪ d z ɑ
გაეღვიძება	ɡ ɑ ɛ ɣ v i d z ɛ b ɑ
გავა	ɡ ɑ v ɑ
გავარვარებულად	ɡ ɑ v ɑ r v ɑ r ɛ b u l ɑ d
გავიგე	ɡ ɑ v ɪ ɡ ɛ
გავლენა	ɡ ɑ v l ɛ n ɑ
გავლენიანად	ɡ ɑ v l ɛ n ɪ ɑ n ɑ d
გავლენიანი	ɡ ɑ v l ɛ n ɪ ɑ n ɪ
გავრცელებული	ɡ ɑ v r t s ɛ l ɛ b u l i
გაზაფხული	ɡ ɑ z ɑ pʰ x u l i
გაზეთი	ɡ ɑ z ɛ tʰ ɪ
გაზელი	ɡ ɑ z ɛ l ɪ
გაზიფიკაცია	ɡ ɑ z ɪ pʰ ɪ kʼ ɑ t s ɪ ɑ
გაზომეტრი	ɡ ɑ z ɔ m ɛ tʼ r ɪ
გაზომვადი	ɡ ɑ z ɔ m v ɑ d ɪ
გაზონი	ɡ ɑ z ɔ n ɪ
გაზრდა	ɡ ɑ z r d ɑ
გაზრდილიყო	ɡ ɑ z r d ɪ l ɪ qʼ ɔ
გაზქურა	ɡ ɑ z kʰ u r ɑ
გათალეთ	ɡ ɑ tʰ ɑ l ɛ tʰ
გათეთრდება	ɡ ɑ tʰ ɛ tʰ r d ɛ b ɑ
გაიანა	ɡ ɑ i ɑ n ɑ
გაიგებს	ɡ ɑ ɪ ɡ ɛ b s
გაივლის	ɡ ɑ ɪ v l ɪ s
გაიზრდება	ɡ ɑ ɪ z r d ɛ b ɑ
გაისად	ɡ ɑ i s ɑ d
გაიფიქრეთ	ɡ ɑ ɪ pʰ ɪ kʰ r ɛ tʰ
გაიძვერა	ɡ ɑ i d z v ɛ r ɑ
გაიჭაჭებიან	ɡ ɑ ɪ t ʃʼ ɑ t ʃʼ ɛ b ɪ ɑ n
გაიხსენებს	ɡ ɑ ɪ χ s ɛ n ɛ b s
გაკეთებული	ɡ ɑ kʼ ɛ tʰ ɛ b u l i
გაკვამლული	ɡ ɑ kʼ v ɑ m l u l ɪ
გაკვეთილი	ɡ ɑ kʼ v ɛ tʰ i l i
გაკვირვებული	ɡ ɑ kʼ v ɪ r v ɛ b u l ɪ
გაკოტრებული	ɡ ɑ kʼ ɔ tʼ r ɛ b u l ɪ
გაკუება	ɡ ɑ kʼ u ɛ b ɑ
გალანტურად	ɡ ɑ l ɑ n tʼ u r ɑ d
გალანტური	ɡ ɑ l ɑ n tʼ u r ɪ
გალაქტიკა	ɡ ɑ l ɑ kʰ tʼ ɪ kʼ ɑ
გალერა	ɡ ɑ l ɛ r ɑ
გალერეა	ɡ ɑ l ɛ r ɛ ɑ
გალვანური	ɡ ɑ l v ɑ n u r i
გალია	ɡ ɑ l ɪ ɑ
გალიონი	ɡ ɑ l i ɔ n i
გალიუმი	ɡ ɑ l i u m i
გალობა	ɡ ɑ l ɔ b ɑ
გალონი	ɡ ɑ l ɔ n ɪ
გალუმპული	ɡ ɑ l u m pʼ u l i
გალური	ɡ ɑ l u r ɪ
გამა	ɡ ɑ m ɑ
გამათბობელი	ɡ ɑ m ɑ tʰ b ɔ b ɛ l i
გამალებით	ɡ ɑ m ɑ l ɛ b ɪ tʰ
გამალებულად	ɡ ɑ m ɑ l ɛ b u l ɑ d
გამალებული	ɡ ɑ m ɑ l ɛ b u l ɪ
გამამხნევებლად	ɡ ɑ m ɑ m χ n ɛ v ɛ b l ɑ d
გამანადგურებლად	ɡ ɑ m ɑ n ɑ d ɡ u r ɛ b l ɑ d
გამართული	ɡ ɑ m ɑ r tʰ u l i
გამართულობა	ɡ ɑ m ɑ r tʰ u l ɔ b ɑ
გამარჯვება	ɡ ɑ m ɑ r d ʒ v ɛ b ɑ
გამარჯობა	ɡ ɑ m ɑ r d ʒ ɔ b ɑ
გამატარეთ	ɡ ɑ m ɑ tʼ ɑ r ɛ tʰ
გამაუპატიურებელი	ɡ ɑ m ɑ u pʼ ɑ tʼ i u r ɛ b ɛ l i
გამაღიზიანებლად	ɡ ɑ m ɑ ʁ ɪ z ɪ ɑ n ɛ b l ɑ d
გამაში	ɡ ɑ m ɑ ʃ ɪ
გამაცოცხლებლად	ɡ ɑ m ɑ t s ɔ t s χ l ɛ b l ɑ d
გამაცხელებელი	ɡ ɑ m ɑ t s χ ɛ l ɛ b ɛ l ɪ
გამბედავად	ɡ ɑ m b ɛ d ɑ v ɑ d
გამბედავი	ɡ ɑ m b ɛ d ɑ v i
გამბედაობა	ɡ ɑ m b ɛ d ɑ ɔ b ɑ
გამბია	ɡ ɑ m b i ɑ
გამბიტი	ɡ ɑ m b ɪ tʼ ɪ
გამეფებული	ɡ ɑ m ɛ pʰ ɛ b u l ɪ
გამზირი	ɡ ɑ m z ɪ r ɪ
გამკილავად	ɡ ɑ m kʼ ɪ l ɑ v ɑ d
გამო	ɡ ɑ m ɔ
გამოადგებოდა	ɡ ɑ m ɔ ɑ d ɡ ɛ b ɔ d ɑ
გამოთქმული	ɡ ɑ m ɔ tʰ kʰ m u l ɪ
გამოითქმის	ɡ ɑ m ɔ i tʰ kʰ m i s
გამოითქმოდა	ɡ ɑ m ɔ ɪ tʰ kʰ m ɔ d ɑ
გამოიკითხავს	ɡ ɑ m ɔ i kʼ i tʰ x ɑ v s
გამოკლება	ɡ ɑ m ɔ kʼ l ɛ b ɑ
გამომგონებლურად	ɡ ɑ m ɔ m ɡ ɔ n ɛ b l u r ɑ d
გამომდინარე	ɡ ɑ m ɔ m d i n ɑ r ɛ
გამომივიდა	ɡ ɑ m ɔ m ɪ v ɪ d ɑ
გამომსახველი	ɡ ɑ m ɔ m s ɑ χ v ɛ l ɪ
გამომცდელი	ɡ ɑ m ɔ m t s d ɛ l i
გამომძალველურად	ɡ ɑ m ɔ m d z ɑ l v ɛ l u r ɑ d
გამომწვევად	ɡ ɑ m ɔ m t sʼ v ɛ v ɑ d
გამომწვევი	ɡ ɑ m ɔ m t sʼ v ɛ v ɪ
გამომხატველად	ɡ ɑ m ɔ m χ ɑ tʼ v ɛ l ɑ d
გამომხატველურად	ɡ ɑ m ɔ m χ ɑ tʼ v ɛ l u r ɑ d
გამონაყარი	ɡ ɑ m ɔ n ɑ qʼ ɑ r ɪ
გამონაშვერი	ɡ ɑ m ɔ n ɑ ʃ v ɛ r i
გამოპრანჭული	ɡ ɑ m ɔ pʼ r ɑ n t ʃʼ u l ɪ
გამორჩეული	ɡ ɑ m ɔ r t ʃ ɛ u l i
გამოსადეგი	ɡ ɑ m ɔ s ɑ d ɛ ɡ i
გამოსადეგობა	ɡ ɑ m ɔ s ɑ d ɛ ɡ ɔ b ɑ
გამოსავალი	ɡ ɑ m ɔ s ɑ v ɑ l ɪ
გამოსასყიდი	ɡ ɑ m ɔ s ɑ s qʼ i d i
გამოსაცდელი	ɡ ɑ m ɔ s ɑ t s d ɛ l i
გამოსახავს	ɡ ɑ m ɔ s ɑ x ɑ v s
გამოსახულება	ɡ ɑ m ɔ s ɑ χ u l ɛ b ɑ
გამოსახული	ɡ ɑ m ɔ s ɑ χ u l ɪ
გამოსვლად	ɡ ɑ m ɔ s v l ɑ d
გამოსვლამ	ɡ ɑ m ɔ s v l ɑ m
გამოსვლას	ɡ ɑ m ɔ s v l ɑ s
გამოსვლით	ɡ ɑ m ɔ s v l ɪ tʰ
გამოსვლის	ɡ ɑ m ɔ s v l ɪ s
გამოსყიდვა	ɡ ɑ m ɔ s qʼ i d v ɑ
გამოტვინებული	ɡ ɑ m ɔ tʼ v i n ɛ b u l i
გამოუვიდა	ɡ ɑ m ɔ u v ɪ d ɑ
გამოუთქმელად	ɡ ɑ m ɔ u tʰ kʰ m ɛ l ɑ d
გამოუთქმელი	ɡ ɑ m ɔ u tʰ kʰ m ɛ l i
გამოუკვლევი	ɡ ɑ m ɔ u kʼ v l ɛ v ɪ
გამოუსწორებლად	ɡ ɑ m ɔ u s t sʼ ɔ r ɛ b l ɑ d
გამოუცდელად	ɡ ɑ m ɔ u t s d ɛ l ɑ d
გამოუცდელი	ɡ ɑ m ɔ u t s d ɛ l i
გამოუცდელობა	ɡ ɑ m ɔ u t s d ɛ l ɔ b ɑ
გამოუცნობი	ɡ ɑ m ɔ u t s n ɔ b ɪ
გამოფენა	ɡ ɑ m ɔ pʰ ɛ n ɑ
გამოფიტული	ɡ ɑ m ɔ pʰ ɪ tʼ u l ɪ
გამოქანებულად	ɡ ɑ m ɔ kʰ ɑ n ɛ b u l ɑ d
გამოყენებადი	ɡ ɑ m ɔ qʼ ɛ n ɛ b ɑ d ɪ
გამოყენებითი	ɡ ɑ m ɔ qʼ ɛ n ɛ b ɪ tʰ ɪ
გამოყენებული	ɡ ɑ m ɔ qʼ ɛ n ɛ b u l i
გამოყოფილი	ɡ ɑ m ɔ qʼ ɔ pʰ ɪ l ɪ
გამოშვერილი	ɡ ɑ m ɔ ʃ v ɛ r i l i
გამოშტერებული	ɡ ɑ m ɔ ʃ tʼ ɛ r ɛ b u l i
გამოჩენილად	ɡ ɑ m ɔ t ʃ ɛ n ɪ l ɑ d
გამოჩენილი	ɡ ɑ m ɔ t ʃ ɛ n i l i
გამოჩენილობა	ɡ ɑ m ɔ t ʃ ɛ n i l ɔ b ɑ
გამოჩორკნილი	ɡ ɑ m ɔ t ʃ ɔ r kʼ n ɪ l ɪ
გამოცანა	ɡ ɑ m ɔ t s ɑ n ɑ
გამოცდილება	ɡ ɑ m ɔ t s d i l ɛ b ɑ
გამოცდილი	ɡ ɑ m ɔ t s d ɪ l ɪ
გამოცემა	ɡ ɑ m ɔ t s ɛ m ɑ
გამოცემად	ɡ ɑ m ɔ t s ɛ m ɑ d
გამოცემამ	ɡ ɑ m ɔ t s ɛ m ɑ m
გამოცემას	ɡ ɑ m ɔ t s ɛ m ɑ s
