ар	aː r
тхыпкъылъэ	t x ə p q ə ɬ a
тхылъымпӏэ	t x ə ɬ ə m p ʼ a
тхьэмыщкӏэ	t ħ aː m ə ɕ t͡ʃ a
унагъуэцӏэ	w n aː ʁʷ a t͡s ʼ a
унэгъуэцӏэ	w ə n a ʁʷ a t͡s ʼ a
унагъуэбзэ	w ə n aː ʁʷ a b z a
хуэгъэгъун	xʷ a ʁ a ʁʷ ə n
зэплъэкӏын	z a p ɬ a t͡ʃ ʼ ə n
зыплъыхьын	z ə p ɬ ə ħ ə n
лъэкӏьапӏэ	ɬ a kʲ ʼ aː p ʼ a
лъэнкӏапӏэ	ɬ a n t͡ʃ ʼ aː p ʼ a
лъэпкъэгъу	ɬ a p q
лъэкъуэцӏэ	ɬ a qʷ aː t͡s ʼ a
хьэрыфылъэ	ħ a r ə f ə ɬ a
гъэлъэпӏэн	ʁ a ɬ a p ʼ a n
ӏэщӏэукӏэн	ʔ a ɕ ʼ a w t͡ʃ ʼ a n
лъащхьэдий	ɬ aː ɕ ħ a d ə j
лӏэкъуэцӏэ	ɬ ʼ a qʷ aː t͡s ʼ a
щхьэгъубжэ	ɕ ħ a ʁʷ ə b ʒ a
щӏегъуэжын	ɕ ʼ e ʁʷ a ʑ ə n
хъулъхугъэ	χʷ ə ɬ xʷ ə ʁ a
мэлыхъуэгъу	m a ɮ ə χʷ a ʁʷ
напэкӏуэнцӏ	n aː p a kʷ ʼ a n t͡s ʼ
псэлъэкъуэн	p s a ɬ a qʷ a n
тегъэсыкӏын	t a j ʁ a s ə t͡ʃ ʼ ə n
тхьэмбылыфэ	t ħ a m b ə l ə f a
гъэутӏэпӏын	t ʼ s a p ʼ ə n
хэкъутыхьын	x a qʷ ə t ə ħ ə n
гъэджэрэзын	ʁ a d͡ʒ a r a z ə n
ӏэпкълъэпкъ	ʔ a p q ɬ a p q
лъэпхъуамбэ	ɬ a p χʷ aː m b a
гъэщӏэгъуэн	ʁ a ʃ ʼ a ʁʷ a n
лъагъуныгъэ	ɬ a ʁʷ n ə ʁ a
хьамцӏырачэ	ħ aː m t͡s ʼ ə r aː t͡ʃ a
лӏэужьыгъуэ	ɬ ʼ a w ʑ ə ʁʷ a
щӏалэгъуалэ	ɕ ʼ aː ɮ a ʁʷ aː ɮ a
щыдыхьэшхын	ɕ ə d ə ħ a ʃ x ə n
щыгуфӏыкӏын	ʃ ə ɡʷ ə f ʼ t͡ʃ ʼ ə n
хъунщӏакӏуэ	χʷ n ɕ ʼ aː kʷ ʼ a
анэдэлъхубзэ	aː n a d a ɬ xʷ ə b z a
нэпэӏэплъэщӏ	n a p a ʔ a p ɬ a ɕ ʼ
къэбэрдэйбзэ	q a b a r d a j b z a
къуагъыщхъуэ	qʷ aː ʁ ə ɕ χʷ a
кӏапсэрыкӏуэ	t͡ʃ ʼ aː p s a r ə kʷ ʼ a
кӏагъэпшагъэ	t͡ʃ ʼ aː ʁ a p ʃ aː ʁ a
хьэщхьэрыӏуэ	ħ a ɕ ħ a r ə ʔʷ
гъуэмылапхъэ	ʁʷ a m ə l aː p χ a
ӏуащхьэмахуэ	ʔʷ a ɕ ħ a m aː xʷ a
хъумпӏэцӏэдж	χʷ m p ʼ a t͡ʃ ʼ a d͡ʒ
кӏуэдыгъуафӏэ	kʷ ʼ a d ə ʁʷ a f ʼ
кӏуэцӏышыхьын	kʷ ʼ a t͡s ʼ ə ʃ ə ħ ə n
хьэндырабгъуэ	ħ a n d ə r aː b ʁʷ a
кхъухьтедзапӏэ	q χʷ ə ħ t e d͡z aː p ʼ a
лъакъуэрыгъажэ	ɬ a qʷ a r ə ʁ aː ʒ a
хьакӏэкхъуакӏэ	ħ aː t͡ʃ a q χʷ aː t͡ʃ a
бзугъуабжэгъуэщ	b z ə w ʁʷ aː b ʒ a ʁʷ a ɕ
хьэндыркъуакъуэ	ħ a n d ə r qʷ aː qʷ a
щӏакхъуэгъэтэдж	ɕ ʼ aː q χʷ a ʁ a t aː d͡ʒ
гъуэгурыкӏуэныгъэ	ʁʷ a ɡʷ ə w a n a kʷ ʼ ə n ə r
