reconstruction:gothic/𐌵𐌹𐍃𐍃	kʷ i s s
𐌰𐍄𐍅𐌰𐌽𐌳𐌹𐌳𐌰	a t w a n d i d a
𐌰𐍄𐍅𐌰𐌽𐌳𐌾𐌰𐌽	a t w a n d j a n
𐌰𐍄𐍅𐌹𐍄𐌰𐌹𐌽𐍃	a t w i t ɛː n s
𐌱𐌰𐌽𐌳𐍅𐌹𐌳𐌿𐌷	b a n d w i d u h
𐌱𐌰𐍂𐌹𐌶𐌴𐌹𐌽𐍃	b a r i z iː n s
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌴𐌹	b a r n i s k iː
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌾𐌰	b a r n i s k j a
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌰𐌹	b a r n i s k ɛː
𐌱𐌹𐍂𐌴𐌹𐌺𐌴𐌹𐌼	b i r iː k iː m
𐌱𐌹𐍂𐌴𐌹𐌺𐌴𐌹𐍃	b i r iː k iː s
𐌱𐌹𐍂𐌴𐌹𐌺𐌾𐌰𐌹	b i r iː k j ɛː
𐌱𐌹𐍂𐌿𐌽𐌰𐌹𐌽𐍃	b i r uː n ɛː n s
𐌱𐌹𐍃𐌺𐌰𐌱𐌰𐌽𐍃	b i s k a b a n s
𐌱𐌹𐍃𐌺𐌴𐌹𐌽𐌰𐌽	b i s k iː n a n
𐌱𐌹𐍃𐌼𐌴𐌹𐍄𐌰𐌽	b i s m iː t a n
𐌱𐌹𐍃𐍀𐌴𐌹𐍅𐌰𐌽	b i s p iː w a n
𐌱𐌹𐍃𐌿𐌽𐌾𐌰𐌽𐌴	b i s u n j a n eː
𐌱𐌹𐍃𐌰𐌿𐌻𐌹𐌳𐌰	b i s ɔː l i d a
𐌱𐌹𐍃𐌰𐌿𐌻𐌹𐌸𐍃	b i s ɔː l i θ s
𐌱𐌹𐍃𐌰𐌿𐌻𐌾𐌰𐌽	b i s ɔː l j a n
𐌱𐌹𐍃𐌰𐌿𐌻𐌽𐌰𐌽	b i s ɔː l n a n
𐌱𐌹𐍅𐌰𐌽𐌳𐌾𐌰𐌽	b i w a n d j a n
𐌱𐌹𐍅𐌿𐌽𐌳𐌰𐌽𐍃	b i w u n d a n s
𐌱𐌹𐍅𐌰𐌹𐌱𐌹𐌸𐍃	b i w ɛː b i θ s
𐌱𐌹𐍅𐌰𐌹𐌱𐌾𐌰𐌽	b i w ɛː b j a n
𐌱𐌹𐍈𐌰𐌹𐍂𐌱𐌰𐌽	b i ʍ ɛ r b a n
𐌱𐌹𐌲𐌰𐌹𐍂𐌳𐌰𐌽	b i ɡ ɛ r d a n
𐌱𐌹𐌰𐌿𐌺𐌰𐌽𐌳𐍃	b i ɔː k a n d s
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳	b l i ɡ ɡ w a n d
𐌱𐌻𐌴𐌹𐌸𐌴𐌹𐌽𐍉	b l iː θ iː n oː
𐌱𐌻𐌴𐌹𐌸𐌴𐌹𐌽𐍃	b l iː θ iː n s
𐌱𐌰𐌹𐍂𐌲𐌰𐌷𐌴𐌹	b ɛ r ɡ a h iː
𐌳𐌹𐍃𐌷𐌿𐌻𐌾𐌰𐌽	d i s h u l j a n
𐌳𐌹𐍃𐌷𐌿𐌻𐌾𐌹𐌸	d i s h u l j i θ
𐌳𐌹𐍃𐍃𐌹𐌲𐌵𐌰𐌽	d i s s i ŋ kʷ a n
𐌳𐌹𐍃𐍃𐌹𐌲𐌵𐌰𐌹	d i s s i ŋ kʷ ɛː
𐌳𐌹𐍃𐍄𐌰𐌷𐌹𐌳𐌰	d i s t a h i d a
𐌳𐌹𐍃𐍄𐌰𐌷𐌴𐌹𐌽	d i s t a h iː n
𐌳𐌹𐍃𐍄𐌰𐌷𐌾𐌰𐌽	d i s t a h j a n
𐌳𐌹𐍃𐍄𐌰𐌷𐌾𐌹𐌸	d i s t a h j i θ
𐌳𐌹𐍃𐍄𐌰𐌹𐍂𐌰𐌽	d i s t ɛ r a n
𐌳𐌹𐍃𐍄𐌰𐌹𐍂𐌹𐌸	d i s t ɛ r i θ
𐌳𐌹𐍃𐍄𐌰𐌹𐍂𐌰𐌹	d i s t ɛ r ɛː
𐌳𐌹𐍃𐍅𐌹𐌻𐍅𐌰𐌽	d i s w i l w a n
𐌳𐌹𐍃𐍅𐌹𐌻𐍅𐌰𐌹	d i s w i l w ɛː
𐌳𐍂𐍉𐌱𐌾𐌰𐌽𐌳𐍃	d r oː b j a n d s
𐌳𐌿𐍃𐍄𐍉𐌳𐌹𐌳𐌰	d u s t oː d i d a
𐌳𐌿𐍃𐍄𐍉𐌳𐌴𐌹𐌸	d u s t oː d iː θ
𐌳𐌿𐍃𐍄𐍉𐌳𐌾𐌰𐌽	d u s t oː d j a n
𐌳𐌿𐍅𐌰𐌺𐌰𐌽𐌳𐍃	d u w a k a n d s
𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌿𐌽	f a r i d eː d u n
𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌾𐌰	f a s t u b n j a
𐍆𐌰𐌹𐍂𐌲𐍂𐌰𐌹𐍀	f ɛ r ɡ r ɛː p
𐌹𐌽𐌽𐌹𐌿𐌾𐌹𐌸𐌰	i n n i u̯ j i θ a
𐌻𐌰𐌹𐍃𐌰𐍂𐌴𐌹𐍃	l ɛː s aː r iː s
𐌼𐌰𐌿𐍂𐌸𐍂𐌾𐌰𐌽	m ɔ r θ r i j a n
𐌼𐌰𐌹𐌼𐌱𐍂𐌰𐌽𐌰	m ɛː m b r a n a
𐍃𐌺𐌹𐌻𐌻𐌹𐌲𐌲𐍃	s k i l l i ŋ ɡ s
𐍃𐌺𐌴𐌹𐍂𐌴𐌹𐌽𐍃	s k iː r iː n s
𐌿𐍃𐍆𐌿𐌻𐌻𐌽𐌰𐌽	u s ɸ u l l n a n
𐍅𐌰𐌽𐌳𐌾𐌰𐌽𐌳𐍃	w a n d j a n d s
𐍅𐌹𐍄𐌰𐌽𐌳𐌰𐌽𐍃	w i t a n d a n s
𐍅𐌹𐍄𐌰𐌽𐌳𐌰𐌽𐍃	w i t aː n d a n s
𐍅𐌴𐌹𐌽𐌰𐌱𐌰𐍃𐌹	w iː n a b a s i
𐌲𐌰𐍃𐍄𐌹𐌲𐍉𐌸𐍃	ɡ a s t i ɡ oː θ sː
𐍆𐍂𐌰𐌱𐌰𐌹𐍂𐌰𐌽	ɸ r a b ɛ r a n
𐍆𐍂𐌰𐌲𐌹𐌻𐌳𐌰𐌽	ɸ r a ɣ i l d a n
𐍈𐌰𐌹𐍂𐌱𐌰𐌽𐌳𐍃	ʍ ɛ r b a n d s
𐌰𐌿𐌳𐌰𐌷𐌰𐍆𐍄𐍃	ɔː ð a h a ɸ t s
𐌰𐌽𐌰𐌵𐌹𐍃𐍃𐌴𐌹𐍃	a n a kʷ i s s iː s
𐌰𐌽𐌰𐌼𐌹𐌽𐌳𐌴𐌹𐍃	a n a m i n d iː s
𐌰𐌽𐌰𐌽𐌰𐌽𐌸𐌴𐌹𐌸	a n a n a n θ iː θ
𐌰𐌽𐌰𐌽𐌰𐌽𐌸𐌾𐌰𐌽	a n a n a n θ j a n
𐌰𐌽𐌰𐌽𐌹𐍅𐌹𐌳𐌹𐌽	a n a n i w i d i n
𐌰𐌽𐌰𐍀𐍂𐌰𐌲𐌲𐌰𐌽	a n a p r a ŋ ɡ a n
𐌰𐌽𐌰𐍃𐌹𐌻𐌰𐌹𐌳𐌰	a n a s i l ɛː ð a
𐌰𐌽𐌳𐌱𐌰𐌷𐍄𐌾𐌰𐌽	a n d b a h t i j a n
𐌰𐌽𐌳𐌷𐌰𐌿𐍃𐌾𐌰𐌽	a n d h ɔː s j a n
𐌰𐌽𐌳𐌸𐌰𐌲𐌺𐌾𐌰𐌽	a n d θ a ŋ k j a n
𐌰𐍂𐌺𐌰𐌲𐌲𐌹𐌻𐌿𐍃	a r k a ŋ ɡ i l u s
𐌰𐍄𐍃𐌽𐌰𐍂𐍀𐌾𐌰𐌽	a t s n a r p j a n
𐌰𐍄𐍅𐌹𐍄𐌰𐌹𐌽𐌰𐌹	a t w i t ɛː n ɛː
𐌱𐌰𐍂𐌹𐌶𐌴𐌹𐌽𐌰𐌼	b a r i z iː n a m
𐌱𐌹𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐍃	b i r i n n a n d s
𐌱𐌹𐍂𐍉𐌳𐌾𐌰𐌽𐌳𐍃	b i r oː d j a n d s
𐌱𐌹𐍃𐌺𐌰𐌱𐌰𐌽𐍉𐌽	b i s k a b a n oː n
𐌱𐌹𐍃𐍀𐌴𐌹𐍅𐌰𐌳𐌰	b i s p iː w a d a
𐌱𐌹𐍃𐍅𐌰𐌹𐍂𐌱𐌰𐌽	b i s w ɛ r b a n
𐌱𐌹𐍅𐌰𐌹𐌱𐌾𐌰𐌽𐌳	b i w ɛː b j a n d
𐌱𐌹𐌸𐍅𐌰𐌷𐌰𐌽𐌳𐍃	b i θ w a h a n d s
𐌱𐌹𐍈𐌰𐌹𐍂𐌱𐌰𐌽𐌳	b i ʍ ɛ r b a n d
𐌱𐌹𐌲𐌰𐌿𐍂𐌳𐌰𐌽𐍃	b i ɡ ɔ r d a n s
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳𐍃	b l i ɡ ɡ w a n d s
𐌱𐌻𐌴𐌹𐌸𐌾𐌰𐌽𐌳𐍃	b l iː θ j a n d s
𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽𐌳𐍃	b l ɔː θ j a n d s
𐌱𐌽𐌰𐌿𐌰𐌽𐌳𐌰𐌽𐍃	b n ɔː a n d a n s
𐌱𐍂𐍉𐌸𐍂𐌰𐌷𐌰𐌽𐍃	b r oː θ r a h a n s
𐌳𐌹𐍃𐌳𐍂𐌹𐌿𐍃𐌰𐌽	d i s d r i u̯ s a n
𐌳𐌹𐍃𐌳𐌰𐌹𐌻𐌹𐌳𐌰	d i s d ɛː l i d a
𐌳𐌹𐍃𐌳𐌰𐌹𐌻𐌹𐌸𐍃	d i s d ɛː l i θ s
𐌳𐌹𐍃𐌳𐌰𐌹𐌻𐌾𐌰𐌽	d i s d ɛː l j a n
𐌳𐌹𐍃𐌷𐌽𐌹𐌿𐍀𐌰𐌽	d i s h n i u̯ p a n
𐌳𐌹𐍃𐌷𐌽𐌿𐍀𐌽𐌰𐌽	d i s h n u p n a n
𐌳𐌹𐍃𐌽𐌹𐌼𐌰𐌽𐌳𐍃	d i s n i m a n d s
𐌳𐌹𐍃𐍃𐌺𐌰𐌹𐌳𐌰𐌽	d i s s k ɛː d a n
𐌳𐌹𐍃𐍄𐌰𐌷𐌴𐌹𐌽𐍃	d i s t a h iː n s
𐌳𐌹𐍃𐍄𐌰𐌷𐌾𐌰𐌳𐌰	d i s t a h j a d a
𐌳𐌹𐍃𐍄𐌰𐌿𐍂𐌽𐌰𐌽	d i s t ɔ r n a n
𐌳𐌹𐍃𐍅𐌹𐌽𐌸𐌴𐌹𐌸	d i s w i n θ iː θ
𐌳𐌹𐍃𐍅𐌹𐌽𐌸𐌾𐌰𐌽	d i s w i n θ j a n
𐌳𐌹𐍃𐍅𐌹𐍃𐍃𐌰𐌹𐍃	d i s w i s s ɛː s
𐌳𐍂𐌹𐌿𐍃𐌰𐌽𐌳𐌰𐌽	d r i u̯ s a n d a n
𐌳𐍂𐍉𐌱𐌾𐌰𐌽𐌳𐌰𐌼	d r oː b j a n d a m
𐌳𐌿𐌰𐍄𐍃𐌽𐌴𐍅𐌿𐌽	d u a t s n eː w u n
𐌳𐌿𐌰𐍄𐍃𐌽𐌹𐍅𐌰𐌽	d u a t s n i w a n
𐌳𐌿𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐍃	d u r i n n a n d s
𐌳𐌿𐌲𐌰𐍅𐌹𐌽𐌳𐌰𐌽	d u ɡ a w i n d a n
𐌳𐌿𐌲𐌰𐍅𐌹𐌽𐌳𐌹𐌸	d u ɡ a w i n d i θ
𐌳𐌰𐌿𐌸𐌿𐌱𐌻𐌴𐌹𐍃	d ɔː θ u b l iː s
𐍆𐌰𐍂𐌾𐌰𐌽𐌳𐌰𐌽𐍃	f a r j a n d a n s
𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌾𐌰𐌼	f a s t u b n j a m
𐍆𐌹𐌲𐌲𐍂𐌰𐌲𐌿𐌻𐌸	f i ŋ ɡ r a ɡ u l θ
𐍆𐌰𐌹𐌷𐌿𐍃𐌺𐌿𐌻𐌰	f ɛ h u s k u l a
𐍆𐌰𐌿𐍂𐌰𐌳𐌰𐌿𐍂𐌹	f ɔ r a d ɔ r i
𐍆𐌰𐌿𐍂𐌰𐍆𐌹𐌻𐌻𐌹	f ɔ r a f i l l i
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌽𐌳𐍃	f ɛ r i n oː n d s
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽	f ɛ r r i n n a n
𐍆𐌰𐌹𐌷𐌿𐌲𐌴𐌹𐍂𐍉	f ɛː h u ɣ iː r oː
𐌷𐌰𐌱𐌰𐌹𐌳𐌴𐌳𐌿𐌽	h a b ɛː d eː d u n
𐌿𐍆𐍃𐍄𐍂𐌰𐌿𐌾𐌰𐌽	u ɸ s t r ɔː j a n
𐍅𐌹𐌻𐍅𐌰𐌽𐌳𐌰𐌽𐍃	w i l w a n d a n s
𐍅𐌹𐍄𐌰𐌹𐌳𐌴𐌳𐌿𐌽	w i t ɛː d eː d u n
𐌲𐌰𐍃𐍄𐌹𐌲𐍉𐌳𐌴𐌹	ɡ a s t i ɡ oː d iː
𐌰𐌽𐌰𐍀𐍂𐌰𐌲𐌲𐌰𐌽𐍃	a n a p r a ŋ ɡ a n s
𐌰𐍀𐌰𐌿𐍃𐍄𐌰𐌿𐌻𐌿𐍃	a p ɔ s t ɔ l u s
𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌿𐌽	a t f a r i d eː d u n
𐌰𐍄𐍃𐌽𐌰𐍂𐍀𐌾𐌰𐌹𐍃	a t s n a r p j ɛː s
𐌱𐌰𐍂𐌹𐌶𐌴𐌹𐌽𐌰𐌽𐍃	b a r i z iː n a n s
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌴𐌹𐌽𐍃	b a r n i s k iː n s
𐌱𐌹𐌰𐌱𐍂𐌹𐌳𐌴𐌳𐌿𐌽	b i a b r i d eː d u n
𐌱𐌹𐍂𐍉𐌳𐌹𐌳𐌴𐌳𐌿𐌽	b i r oː d i d eː d u n
𐌱𐌹𐍃𐌰𐌿𐌻𐌹𐌳𐌰𐌹𐌼	b i s ɔː l i d ɛː m
𐌱𐌹𐍅𐌰𐌽𐌳𐌾𐌰𐌽𐌳𐍃	b i w a n d j a n d s
𐌱𐌹𐍅𐌰𐌹𐌱𐌹𐌳𐌰𐌽𐌰	b i w ɛː b i d a n a
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳𐌰𐌼	b l i ɡ ɡ w a n d s
𐌳𐌹𐍃𐌳𐌰𐌹𐌻𐌾𐌰𐌽𐌳	d i s d ɛː l j a n d
𐌳𐌹𐍃𐍃𐌺𐍂𐌹𐍄𐌽𐌰𐌽	d i s s k r i t n a n
𐌳𐌹𐍃𐍃𐌺𐍂𐌴𐌹𐍄𐌰𐌽	d i s s k r iː t a n
𐌳𐌹𐍃𐍄𐌰𐌷𐌹𐌳𐌴𐌳𐌹	d i s t a h i d eː d i
𐌳𐌹𐍃𐍄𐌰𐌿𐍂𐌽𐌰𐌽𐌳	d i s t ɔ r n a n d
𐌳𐍂𐍉𐌱𐌾𐌰𐌽𐌳𐌰𐌽𐍃	d r oː b j a n d a n s
𐌳𐌿𐍅𐌰𐌺𐌰𐌽𐌳𐌰𐌽𐍃	d u w a k a n d a n s
𐌳𐌰𐌹𐌼𐍉𐌽𐌰𐍂𐌴𐌹𐍃	d ɛː m oː n aː r iː s
𐌳𐌰𐌿𐌸𐌿𐌱𐌻𐌾𐌰𐌽𐍃	d ɔː θ u b l j a n s
𐍆𐌰𐌹𐌷𐌿𐌲𐌴𐌹𐌲𐌰𐌽	f ɛ h u ɡ iː ɡ a n
𐍆𐌰𐌿𐍂𐌰𐌳𐌰𐌿𐍂𐌾𐌰	f ɔ r a d ɔ r j a
𐍆𐌰𐌿𐍂𐌰𐍆𐌹𐌻𐌻𐌾𐌰	f ɔ r a f i l l j a
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌳𐌴𐌳𐌹	f ɛ r i n oː d eː d i
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳	f ɛ r r i n n a n d
𐍆𐌰𐌹𐍂𐌲𐍂𐌴𐌹𐍀𐌰𐌽	f ɛ r ɡ r iː p a n
𐌼𐌹𐌳𐌾𐌿𐌽𐌲𐌰𐍂𐌳𐍃	m i ð j u n ɡ a r d s
𐌽𐌰𐌿𐌱𐌰𐌹𐌼𐌱𐌰𐌹𐍂	n ɔ β ɛ m b ɛ r
𐍈𐌰𐌹𐍂𐌱𐌰𐌽𐌳𐌰𐌽𐌴	ʍ ɛ r b a n d a n eː
𐍈𐌰𐌹𐍂𐌱𐌰𐌽𐌳𐌰𐌽𐍃	ʍ ɛ r b a n d a n s
𐌰𐌽𐌰𐌽𐌰𐌽𐌸𐌾𐌰𐌽𐌳𐍃	a n a n a n θ j a n d s
𐌰𐌽𐌰𐍀𐍂𐌰𐌲𐌲𐌰𐌽𐌰𐌹	a n a p r a ŋ ɡ a n ɛː
𐌰𐌽𐌳𐌸𐌰𐌲𐌺𐌾𐌰𐌽𐌳𐍃	a n d θ a ŋ k j a n d s
𐌰𐍄𐌷𐌰𐌱𐌰𐌹𐌳𐌴𐌳𐌿𐌽	a t h a b ɛː d eː d u n
𐌰𐍄𐌲𐌰𐍂𐌰𐌹𐌷𐍄𐌾𐌰𐌽	a t ɡ a r ɛ h t j a n
𐌱𐌹𐌳𐌾𐌰𐌽𐌳𐌰𐌽𐍃𐌿𐌸	b i d j a n d a n s u θ
𐌱𐌹𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌰𐌽𐍃	b i r i n n a n d a n s
𐌱𐌹𐍂𐍉𐌳𐌾𐌰𐌽𐌳𐌴𐌹𐌽	b i r oː d j a n d iː n
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳𐌰𐌽𐍃	b l i ɡ ɡ w a n d a n s
𐌱𐌻𐌴𐌹𐌸𐌾𐌰𐌽𐌳𐌰𐌽𐍃	b l iː θ j a n d a n s
𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽𐌳𐌰𐌽𐍃	b l ɔː θ j a n d a n s
𐌳𐌹𐍃𐌷𐌽𐌹𐌿𐍀𐌰𐌽𐌳𐍃	d i s h n i u̯ p a n d s
𐌳𐌹𐍃𐌽𐌹𐌼𐌰𐌽𐌳𐌰𐌽𐍃	d i s n i m a n d a n s
𐌳𐌹𐍃𐍃𐌺𐍂𐌹𐍄𐌽𐍉𐌳𐌰	d i s s k r i t n oː ð a
𐌳𐌹𐍃𐍃𐌺𐌰𐌹𐌳𐌰𐌽𐌳𐍃	d i s s k ɛː d a n d s
𐌳𐌿𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌰𐌽𐍃	d u r i n n a n d a n s
𐍆𐌰𐌹𐌷𐌿𐍃𐌺𐌿𐌻𐌰𐌽𐌴	f ɛ h u s k u l a n eː
𐍆𐌰𐌹𐌷𐌿𐌲𐌴𐌹𐌲𐌰𐌹𐍃	f ɛ h u ɡ iː ɡ ɛː s
𐍆𐌰𐌹𐌷𐌿𐌸𐍂𐌰𐌹𐌷𐌽𐌰	f ɛ h u θ r ɛː h n a
𐍆𐌰𐌿𐍂𐌰𐍆𐌹𐌻𐌻𐌾𐌹𐍃	f ɔ r a f i l l j i s
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽	f ɔ r a m a n w j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌹𐌸	f ɔ r a ɡ a m eː l i θ
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌴𐌳𐌰𐌽	f ɔ r a ɡ a r eː d a n
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌽𐌳𐌰𐌽𐍃	f ɛ r i n oː n d a n s
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐍃	f ɛ r r i n n a n d s
𐍆𐌰𐌹𐍂𐍅𐌰𐌿𐍂𐌺𐌾𐌰𐌽	f ɛ r w ɔ r k j a n
𐍄𐌰𐌹𐌷𐌿𐌽𐍄𐌴𐍅𐌴𐌹𐍃	t ɛ h u n t eː w iː s
𐌰𐌽𐌰𐌽𐌰𐌽𐌸𐌹𐌳𐌴𐌳𐌿𐌽	a n a n a n θ i d eː d u n
𐌰𐍄𐌲𐌰𐍂𐌰𐌹𐌷𐍄𐌾𐌰𐌹𐍃	a t ɡ a r ɛ h t j ɛː s
𐌱𐌹𐍅𐌰𐌽𐌳𐌾𐌰𐌽𐌳𐌰𐌽𐍃	b i w a n d j a n d a n s
𐌳𐌹𐍃𐍃𐌺𐍂𐌴𐌹𐍄𐌰𐌽𐌳𐍃	d i s s k r iː t a n d s
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌷𐌿𐌲𐌹𐌳𐌰	f ɔ r a ɡ a h u ɡ i d a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌷𐌿𐌲𐌾𐌰𐌽	f ɔ r a ɡ a h u ɡ j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌽	f ɔ r a ɡ a l iː k aː n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌹𐌳𐌰	f ɔ r a ɡ a m eː l i d a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌹𐌸𐍃	f ɔ r a ɡ a m eː l i θ s
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌾𐌰𐌽	f ɔ r a ɡ a m eː l j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌴𐌳𐌰𐌽𐍃	f ɔ r a ɡ a r eː d a n s
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌰𐌹𐍂𐍉𐌸	f ɔ r a ɡ a r ɛː r oː θ
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍃𐌰𐍄𐌾𐌰𐌽	f ɔ r a ɡ a s a t j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍃𐌰𐍄𐌾𐌹𐌸	f ɔ r a ɡ a s a t j i θ
𐍆𐌰𐌹𐍂𐍅𐌰𐌿𐍂𐌺𐌾𐌰𐌽𐌳	f ɛ r w ɔ r k j a n d
𐍆𐌰𐌹𐍂𐌲𐍂𐌴𐌹𐍀𐌰𐌽𐌳𐍃	f ɛ r ɡ r iː p a n d s
𐌰𐌽𐌳𐌸𐌰𐌲𐌺𐌾𐌰𐌽𐌳𐌹𐌽𐍃	a n d θ a ŋ k j a n d i n s
𐌳𐌹𐍃𐌷𐌽𐌿𐍀𐌽𐍉𐌳𐌴𐌳𐌿𐌽	d i s h n u p n oː d eː d u n
𐌳𐌹𐍃𐍃𐌺𐌰𐌹𐌳𐌰𐌽𐌳𐌴𐌹𐌽	d i s s k ɛː d a n d iː n
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽𐌳𐍃	f ɔ r a m a n w j a n d s
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌰𐌽𐍅𐌹𐌳𐌰	f ɔ r a ɡ a m a n w i d a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽	f ɔ r a ɡ a m a n w j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌴𐌳𐌰𐌽𐌰𐌹	f ɔ r a ɡ a r eː d a n ɛː
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌰𐌽𐍃	f ɛ r r i n n a n d a n s
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌴𐌹𐌽	f ɛ r r i n n a n d iː n
𐌱𐌹𐍃𐌰𐌿𐌻𐌽𐍉𐌳𐌴𐌳𐌴𐌹𐌽𐌰	b i s ɔː l n oː d eː d iː n a
𐌳𐌹𐍃𐍃𐌺𐍂𐌹𐍄𐌽𐍉𐌳𐌴𐌳𐌿𐌽	d i s s k r i t n oː ð a
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽𐌳𐌴𐌹	f ɔ r a m a n w j a n d iː
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌹𐌳𐌰	f ɔ r a ɡ a l iː k ɛː d a
𐍅𐌹𐍄𐍉𐌳𐌰𐌻𐌰𐌹𐍃𐌰𐍂𐌴𐌹𐍃	w i t oː ð a l ɛː s aː r iː s
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌹𐌽𐌰	f ɔ r a ɡ a m a n w j ɛː n a
