NG	e̞ n d͡ʑ i
동쪽	t o̞ ŋ t͡ɕ͈ o̞ k̚
동창	t o̞ ŋ t͡ɕʰ a̠ ŋ
동티모르	t o̞ ŋ tʰ i m o̞ ɾ ɯ
동포	t o̞ ŋ pʰ o̞
동해	t o̞ ŋ ɦ e̞
동해	t o̞ː ŋ ɦ e̞
동행	t o̞ ŋ ɦ e̞ ŋ
동화	t o̞ː ŋ β w a̠
돛대	t o̞ t̚ t͈ e̞
돼	t w e̞
돼지	t w e̞ː d͡ʑ i
돼지갈비	t w e̞ d͡ʑ i ɡ a̠ ɭ b i
돼지고기	t w e̞ː d͡ʑ i ɡ o̞ ɡ i
돼지꿈	t w e̞ː d͡ʑ i k͈ u m
되	t w e̞
되게	t w e̞ː ɡ e̞
되뇌다	t w e̞ n w e̞ d a̠
되다	t w e̞ d a̠
되돌리다	t w e̞ d o̞ ɭ ʎ i d a̠
되찾다	t w e̞ t͡ɕʰ a̠ t̚ t͈ a̠
되풀이	t w e̞ pʰ u ɾ i
되풀이하다	t w e̞ pʰ u ɾ i ɦ a̠ d a̠
된소리	t w e̞ː n sʰ o̞ ɾ i
된장	t w e̞ː n d͡ʑ a̠ ŋ
된장녀	t w e̞ː n d͡ʑ a̠ ŋ ɲ j ʌ̹
된장찌개	t w e̞ː n d͡ʑ a̠ ŋ t͡ɕ͈ i ɡ e̞
됨됨	t w e̞ m d w e̞ m
됨됨이	t w e̞ m d w e̞ m i
됭경모치	t w e̞ ŋ ɡ j ʌ̹ ŋ m o̞ t͡ɕʰ i
두	t uː
두개골	t u ɡ e̞ ɡ o̞ ɭ
두건	t u ɡ ʌ̹ n
두견	t u ɡ j ʌ̹ n
두견새	t u ɡ j ʌ̹ n sʰ e̞
두근거리다	t u ɡ ɯ n ɡ ʌ̹ ɾ i d a̠
두근두근	t u ɡ ɯ n d u ɡ ɯ n
두꺼비	t u k͈ ʌ̹ b i
두껍다	t u k͈ ʌ̹ p̚ t͈ a̠
두께	t u k͈ e̞
두뇌	t u n w e̞
두다	t u d a̠
두더지	t u d ʌ̹ d͡ʑ i
두덩	t u d ʌ̹ ŋ
두드러기	t u d ɯ ɾ ʌ̹ ɡ i
두드러지다	t u d ɯ ɾ ʌ̹ d͡ʑ i d a̠
두드리다	t u d ɯ ɾ i d a̠
두려움	t u ɾ j ʌ̹ u m
두려워하다	t u ɾ j ʌ̹ w ʌ̹ ɦ a̠ d a̠
두렵다	t u ɾ j ʌ̹ p̚ t͈ a̠
두루미	t u ɾ u m i
두르다	t u ɾ ɯ d a̠
두리안	t u ɾ i a̠ n
두마	t u m a̠
두만가시고기	t u m a̠ n ɡ a̠ ɕʰ i ɡ o̞ ɡ i
두만강자그사니	t u m a̠ n ɡ a̠ ŋ d͡ʑ a̠ ɡ ɯ sʰ a̠ n i
두목	t u m o̞ k̚
두바이	t u b a̠ i
두발	t u b a̠ ɭ
두벌식	t u b ʌ̹ ɭ ɕʰ i k̚
두부	t u b u
두상	t u sʰ a̠ ŋ
두샨베	t u ɕʰ j a̠ n b e̞
두서너	t u sʰ ʌ̹ n ʌ̹
두서넛	t u sʰ ʌ̹ n ʌ̹ t̚
두세	t u sʰ e̞
두셋	t u sʰ e̞ t̚
두어	t u ʌ̹
두어서넛	t u ʌ̹ sʰ ʌ̹ n ʌ̹ t̚
두우쟁이	t u u d͡ʑ e̞ ŋ i
두음	t u ɯ m
두음법칙	t u ɯ m b ʌ̹ p̚ t͡ɕʰ i k̚
두줄망둑	t uː d͡ʑ u ɭ m a̠ ŋ d u k̚
두째	t u t͡ɕ͈ e̞
두통	t u tʰ o̞ ŋ
둑중개	t u k̚ t͡ɕ͈ u ŋ ɡ e̞
둔치다	t u n t͡ɕʰ i d a̠
둘	t uː ɭ
둘러보다	t u ɭ ɭ ʌ̹ b o̞ d a̠
둘러싸다	t u ɭ ɭ ʌ̹ s͈ a̠ d a̠
둘째	t uː ɭ t͡ɕ͈ e̞
둥간어	t u ŋ ɡ a̠ n ʌ̹
둥글다	t u ŋ ɡ ɯ ɭ d a̠
둥지	t u ŋ d͡ʑ i
둬	t w ɘː
뒤늦다	t ɥ iː n ɯ t̚ t͈ a̠
뒤따르다	t ɥ iː t͈ a̠ ɾ ɯ d a̠
뒤떨어지다	t ɥ iː t͈ ʌ̹ ɾ ʌ̹ d͡ʑ i d a̠
뒤섞다	t ɥ i sʰ ʌ̹ k̚ t͈ a̠
뒤쥐	t ɥ i d͡ʑ ɥ i
뒤지다	t ɥ i d͡ʑ i d a̠
뒤집다	t ɥ i d͡ʑ i p̚ t͈ a̠
뒤쫓다	t ɥ iː t͡ɕ͈ o̞ t̚ t͈ a̠
뒷간	t ɥ iː t̚ k͈ a̠ n
뒷다리	t ɥ i t̚ t͈ a̠ ɾ i
뒷마당	t ɥ iː n m a̠ d a̠ ŋ
뒷면	t ɥ iː n m j ʌ̹ n
뒷모습	t ɥ iː n m o̞ sʰ ɯ p̚
뒹굴다	t ɥ i ŋ ɡ u ɭ d a̠
뒹굴뒹굴	t ɥ i ŋ ɡ u ɭ d ɥ i ŋ ɡ u ɭ
듀오	t j u o̞
드디어	t ɯ d i ʌ̹
드라마	t ɯ ɾ a̠ m a̠
드라이기	t ɯ ɾ a̠ i ɡ i
드라이브	t ɯ ɾ a̠ i b ɯ
드라이브하다	t ɯ ɾ a̠ i b ɯ ɦ a̠ d a̠
드러나다	t ɯ ɾ ʌ̹ n a̠ d a̠
드러냄표	t ɯ ɾ ʌ̹ n e̞ m pʰ j o
드럼	t ɯ ɾ ʌ̹ m
드렁허리	t ɯ ɾ ʌ̹ ŋ ɦ ʌ̹ ɾ i
드레스	t ɯ ɾ e̞ sʰ ɯ
드론	t ɯ ɾ o̞ n
드르렁드르렁	t ɯ ɾ ɯ ɾ ʌ̹ ŋ d ɯ ɾ ɯ ɾ ʌ̹ ŋ
드리다	t ɯ ɾ i d a̠
드물다	t ɯ m u ɭ d a̠
드시다	t ɯ ɕʰ i d a̠
득	t ɯ k̚
득남	t ɯ ŋ n a̠ m
득녀	t ɯ ŋ ɲ j ʌ̹
득도	t ɯ k̚ t͈ o̞
득도하다	t ɯ k̚ t͈ o̞ ɦ a̠ d a̠
득점	t ɯ k̚ t͡ɕ͈ ʌ̹ m
득템	t ɯ k̚ tʰ e̞ m
듣다	t ɯ t̚ t͈ a̠
들	t ɯ ɭ
들	t ɯː ɭ
들것	t ɯ ɭ ɡ ʌ̹ t̚
들꿩	t ɯ ɭ k͈ w ʌ̹ ŋ
들끓다	t ɯ ɭ k͈ ɯ ɭ tʰ a̠
들다	t ɯ ɭ d a̠
들러리	t ɯ ɭ ɭ ʌ̹ ɾ i
들려오다	t ɯ ɭ ʎ j ʌ̹ o̞ d a̠
들르다	t ɯ ɭ ɭ ɯ d a̠
들리다	t ɯ ɭ ʎ i d a̠
들소	t ɯː ɭ s͈ o̞
들쇠고래	t ɯ ɭ sʰ w e̞ ɡ o̞ ɾ e̞
들어가다	t ɯ ɾ ʌ̹ ɡ a̠ d a̠
들어서다	t ɯ ɾ ʌ̹ sʰ ʌ̹ d a̠
들어오다	t ɯ ɾ ʌ̹ o̞ d a̠
들여다보다	t ɯ ɾ j ʌ̹ d a̠ b o̞ d a̠
들이다	t ɯ ɾ i d a̠
들치기	t ɯ ɭ t͡ɕʰ i ɡ i
들키다	t ɯ ɭ k ç i d a̠
들판	t ɯː ɭ pʰ a̠ n
듯	t ɯ t̚
듯싶다	t ɯ t̚ ɕ͈ i p̚ t͈ a̠
듯이	t ɯ ɕʰ i
듯하다	t ɯ tʰ a̠ d a̠
등	t ɯ ŋ
등광	t ɯ ŋ ɡ w a̠ ŋ
등나무	t ɯ ŋ n a̠ m u
등대	t ɯ ŋ d e̞
등등	t ɯː ŋ d ɯ ŋ
등락	t ɯ ŋ n a̠ k̚
등록	t ɯ ŋ n o̞ k̚
등록기	t ɯ ŋ n o̞ k̚ k͈ i
등롱	t ɯ ŋ n o̞ ŋ
등반	t ɯ ŋ b a̠ n
등받이	t ɯ ŋ b a̠ d i
등불	t ɯ ŋ p͈ u ɭ
등산	t ɯ ŋ sʰ a̠ n
등산하다	t ɯ ŋ sʰ a̠ n ɦ a̠ d a̠
등신	t ɯː ŋ ɕʰ i n
등심	t ɯ ŋ ɕʰ i m
등유	t ɯ ŋ j u
등자	t ɯ ŋ d͡ʑ a̠
등장	t ɯ ŋ d͡ʑ a̠ ŋ
등장인물	t ɯ ŋ d͡ʑ a̠ ŋ i n m u ɭ
등장하다	t ɯ ŋ d͡ʑ a̠ ŋ ɦ a̠ d a̠
등줄숭어	t ɯ ŋ t͡ɕ͈ u ɭ sʰ u ŋ ʌ̹
등줄쥐	t ɯ ŋ d͡ʑ u ɭ d͡ʑ ɥ i
등피	t ɯ ŋ pʰ i
등허리	t ɯ ŋ ɦ ʌ̹ ɾ i
디귿	t i ɡ ɯ t̚
디바이스	t i b a̠ i sʰ ɯ
디스켓	t i sʰ ɯ kʰ e̞ t̚
디스코	t i sʰ ɯ kʰ o̞
디스크	t i sʰ ɯ k x ɯ
디스프로슘	t i sʰ ɯ pʰ ɯ ɾ o̞ ɕʰ j u m
디스플레이	t i sʰ ɯ pʰ ɯ ɭ ɭ e̞ i
디엔에이	t i e̞ n e̞ i
디자이너	t i d͡ʑ a̠ i n ʌ̹
디자인	t i d͡ʑ a̠ i n
디제이	t i d͡ʑ e̞ i
디지털	t i d͡ʑ i tʰ ʌ̹ ɭ
디카	t i kʰ a̠
딜	t i ɭ
딜리	t i ɭ ʎ i
따개비	t͈ a̠ ɡ e̞ b i
따깐	t͈ a̠ k͈ a̠ n
따님	t͈ a̠ n i m
따다	t͈ a̠ d a̠
따뜻	t͈ a̠ t͈ ɯ t̚
따뜻하다	t͈ a̠ t͈ ɯ tʰ a̠ d a̠
따라가다	t͈ a̠ ɾ a̠ ɡ a̠ d a̠
따라서	t͈ a̠ ɾ a̠ sʰ ʌ̹
따라오다	t͈ a̠ ɾ a̠ o̞ d a̠
따라하다	t͈ a̠ ɾ a̠ ɦ a̠ d a̠
따르다	t͈ a̠ ɾ ɯ d a̠
따름	t͈ a̠ ɾ ɯ m
따사롭다	t͈ a̠ sʰ a̠ ɾ o̞ p̚ t͈ a̠
따오기	t͈ a̠ o̞ ɡ i
따오다	t͈ a̠ o̞ d a̠
따옴표	t͈ a̠ o̞ m pʰ j o
따지다	t͈ a̠ d͡ʑ i d a̠
딱	t͈ a̠ k̚
딱다그르르딱다그르르하다	t͈ a̠ k̚ t͈ a̠ ɡ ɯ ɾ ɯ ɾ ɯ t͈ a̠ k̚ t͈ a̠ ɡ ɯ ɾ ɯ ɾ ɯ ɦ a̠ d a̠
딱딱하다	t͈ a̠ k̚ t͈ a̠ kʰ a̠ d a̠
딱지	t͈ a̠ k̚ t͡ɕ͈ i
딴	t͈ a̠ n
딸	t͈ a̠ ɭ
딸기	t͈ a̠ː ɭ ɡ i
딸꾹질	t͈ a̠ ɭ k͈ u k̚ t͡ɕ͈ i ɭ
딸꾹질하다	t͈ a̠ ɭ k͈ u k̚ t͡ɕ͈ i ɾ ɦ a̠ d a̠
딸딸이	t͈ a̠ ɭ t͈ a̠ ɾ i
땀	t͈ a̠ m
땃쥐	t͈ a̠ t̚ t͡ɕ͈ ɥ i
땅	t͈ a̠ ŋ
땅콩	t͈ a̠ ŋ kʰ o̞ ŋ
땅크	t͈ a̠ ŋ k x ɯ
땋다	t͈ a̠ː tʰ a̠
때	t͈ e̞
때늦다	t͈ e̞ n ɯ t̚ t͈ a̠
때때로	t͈ e̞ t͈ e̞ ɾ o̞
때로	t͈ e̞ ɾ o̞
때리다	t͈ e̞ ɾ i d a̠
때문	t͈ e̞ m u n
땐스	t͈ e̞ n sʰ ɯ
땔나무	t͈ e̞ː ɭ ɭ a̠ m u
땜납	t͈ e̞ː m n a̠ p̚
땡	t͈ e̞ ŋ
땡땡이치다	t͈ e̞ ŋ t͈ e̞ ŋ i t͡ɕʰ i d a̠
떠나다	t͈ ʌ̹ n a̠ d a̠
떠돌다	t͈ ʌ̹ d o̞ ɭ d a̠
떠들다	t͈ ɘː d ɯ ɭ d a̠
떠들썩하다	t͈ ʌ̹ d ɯ ɭ s͈ ʌ̹ kʰ a̠ d a̠
떠오르다	t͈ ʌ̹ o̞ ɾ ɯ d a̠
떠올리다	t͈ ʌ̹ o̞ ɭ ʎ i d a̠
떡	t͈ ʌ̹ k̚
떡국	t͈ ʌ̹ k̚ k͈ u k̚
떡납줄갱이	t͈ ʌ̹ ŋ n a̠ p̚ t͡ɕ͈ u ɭ ɡ e̞ ŋ i
떡볶이	t͈ ʌ̹ k̚ p͈ o̞ k͈ i
떡붕어	t͈ ʌ̹ k̚ p͈ u ŋ ʌ̹
떨다	t͈ ɘː ɭ d a̠
떨리다	t͈ ʌ̹ ɭ ʎ i d a̠
떨어뜨리다	t͈ ʌ̹ ɾ ʌ̹ t͈ ɯ ɾ i d a̠
떨어지다	t͈ ʌ̹ ɾ ʌ̹ d͡ʑ i d a̠
떨잠	t͈ ɘː ɭ d͡ʑ a̠ m
떨치다	t͈ ʌ̹ ɭ t͡ɕʰ i d a̠
떫다	t͈ ɘː ɭ t͈ a̠
떫디떫다	t͈ ɘː ɭ t͈ i t͈ ʌ̹ ɭ t͈ a̠
떳떳하다	t͈ ʌ̹ t̚ t͈ ʌ̹ tʰ a̠ d a̠
떼	t͈ e̞
떼다	t͈ e̞ː d a̠
떽	t͈ e̞ k̚
뗀노	t͈ e̞ n n o̞
뗏목	t͈ e̞ n m o̞ k̚
또	t͈ o̞
또는	t͈ o̞ n ɯ n
또다시	t͈ o̞ d a̠ ɕʰ i
또한	t͈ o̞ ɦ a̠ n
똑같다	t͈ o̞ k̚ k͈ a̠ t̚ t͈ a̠
똑같이	t͈ o̞ k̚ k͈ a̠ t͡ɕʰ i
똑똑	t͈ o̞ k̚ t͈ o̞ k̚
똑똑이	t͈ o̞ k̚ t͈ o̞ ɡ i
똑똑하다	t͈ o̞ k̚ t͈ o̞ kʰ a̠ d a̠
똑바로	t͈ o̞ k̚ p͈ a̠ ɾ o̞
똠얌	t͈ o̞ m j a̠ m
똥	t͈ o̞ ŋ
똥개	t͈ o̞ ŋ k͈ e̞
똥남아	t͈ o̞ ŋ n a̠ m a̠
똥싸다	t͈ o̞ ŋ s͈ a̠ d a̠
똥양인	t͈ o̞ ŋ j a̠ ŋ i n
똥차	t͈ o̞ ŋ t͡ɕʰ a̠
똥침	t͈ o̞ ŋ t͡ɕʰ i m
뙤약볕	t͈ w e̞ j a̠ k̚ p͈ j ʌ̹ t̚
뚜껑	t͈ u k͈ ʌ̹ ŋ
뚜렷하다	t͈ u ɾ j ʌ̹ tʰ a̠ d a̠
뚜쟁이	t͈ u d͡ʑ e̞ ŋ i
뚝배기	t͈ u k̚ p͈ e̞ ɡ i
뚝섬	t͈ u k s͈ ʌ̹ m
뚫다	t͈ u ɭ tʰ a̠
뚫리다	t͈ u ɭ ʎ i d a̠
뚱뚱하다	t͈ u ŋ t͈ u ŋ ɦ a̠ d a̠
뛰다	t͈ ɥ i d a̠
뛰르끼예	t͈ ɥ i ɾ ɯ k͈ i j e̞
뛰어가다	t͈ ɥ i ʌ̹ ɡ a̠ d a̠
뛰어나다	t͈ ɥ i ʌ̹ n a̠ d a̠
뛰어넘다	t͈ ɥ i ʌ̹ n ʌ̹ m t͈ a̠
뛰어다니다	t͈ ɥ i ʌ̹ d a̠ n i d a̠
뛰어들다	t͈ ɥ i ʌ̹ d ɯ ɭ d a̠
뜨거워지다	t͈ ɯ ɡ ʌ̹ w ʌ̹ d͡ʑ i d a̠
뜨겁다	t͈ ɯ ɡ ʌ̹ p̚ t͈ a̠
뜨다	t͈ ɯ d a̠
뜨락또르	t͈ ɯ ɾ a̠ k̚ t͈ o̞ ɾ ɯ
뜨리다	t͈ ɯ ɾ i d a̠
뜬소문	t͈ ɯ n sʰ o̞ m u n
뜯다	t͈ ɯ t̚ t͈ a̠
뜰	t͈ ɯ ɭ
뜸하다	t͈ ɯ m ɦ a̠ d a̠
뜻	t͈ ɯ t̚
뜻밖	t͈ ɯ t̚ p͈ a̠ k̚
뜻밖에	t͈ ɯ t̚ p͈ a̠ k͈ e̞
뜻하다	t͈ ɯ tʰ a̠ d a̠
띄다	t͈ iː d a̠
띄어쓰기	t͈ i ʌ̹ s͈ ɯ ɡ i
띠	t͈ i
띠다	t͈ iː d a̠
띠동갑	t͈ i d o̞ ŋ ɡ a̠ p̚
띠무늬물범	t͈ i m u n i m u ɭ b ʌ̹ m
띠앗	t͈ i a̠ t̚
띵호아	t͈ i ŋ β o̞ a̠
라고	ɾ a̠ ɡ o̞
라고스	ɾ a̠ ɡ o̞ sʰ ɯ
라니	ɾ a̠ n i
라돈	ɾ a̠ d o̞ n
라듐	ɾ a̠ d j u m
라디에이터	ɾ a̠ d i e̞ i tʰ ʌ̹
라디오	ɾ a̠ d i o̞
라마	ɾ a̠ m a̠
라며	ɾ a̠ m j ʌ̹
라면	ɾ a̠ m j ʌ̹ n
라바트	ɾ a̠ b a̠ tʰ ɯ
라벨	ɾ a̠ b e̞ ɭ
라볶이	ɾ a̠ b o̞ k͈ i
라서	ɾ a̠ sʰ ʌ̹
라선	ɾ a̠ sʰ ʌ̹ n
라오스	ɾ a̠ o̞ sʰ ɯ
라오어	ɾ a̠ o̞ ʌ̹
라우터	ɾ a̠ u tʰ ʌ̹
라운지	ɾ a̠ u n d͡ʑ i
라이벌	ɾ a̠ i b ʌ̹ ɭ
라이베리아	ɾ a̠ i b e̞ ɾ i a̠
라이선스	ɾ a̠ i sʰ ʌ̹ n sʰ ɯ
라이터	ɾ a̠ i tʰ ʌ̹
라이터돌	ɾ a̠ i tʰ ʌ̹ d o̞ ɭ
라이트세이버	ɾ a̠ i tʰ ɯ sʰ e̞ i b ʌ̹
라이플	ɾ a̠ i pʰ ɯ ɭ
라인	ɾ a̠ i n
라임	ɾ a̠ i m
라자냐	ɾ a̠ d͡ʑ a̠ ɲ j a̠
라지오	ɾ a̠ d͡ʑ i o̞
라트비아	ɾ a̠ tʰ ɯ b i a̠
라트비아어	ɾ a̠ tʰ ɯ b i a̠ ʌ̹
라틴	ɾ a̠ tʰ i n
라파스	ɾ a̠ pʰ a̠ sʰ ɯ
라파엘	ɾ a̠ pʰ a̠ e̞ ɭ
라한	ɾ a̠ ɦ a̠ n
락	ɾ a̠ k̚
락사	ɾ a̠ k s͈ a̠
락타	ɾ a̠ k̚ tʰ a̠
란	ɾ a̠ n
란제리	ɾ a̠ n d͡ʑ e̞ ɾ i
란타넘	ɾ a̠ n tʰ a̠ n ʌ̹ m
람	ɾ a̠ m
랍	ɾ a̠ p̚
랍비	ɾ a̠ p̚ p͈ i
랑	ɾ a̠ ŋ
랜섬웨어	ɾ e̞ n sʰ ʌ̹ m w e̞ ʌ̹
랜턴	ɾ e̞ n tʰ ʌ̹ n
랠리	ɾ e̞ ɭ ʎ i
램프	ɾ e̞ m pʰ ɯ
랩	ɾ e̞ p̚
랩톱	ɾ e̞ p̚ tʰ o̞ p̚
랭	ɾ e̞ ŋ
랭장고	ɾ e̞ː ŋ d͡ʑ a̠ ŋ ɡ o̞
랴오닝	ɾ j a̠ o̞ n i ŋ
략어	ɾ j a̠ ɡ ʌ̹
량	ɾ j a̠ ŋ
량반	ɾ j a̠ ŋ b a̠ n
량심	ɾ j a̠ ŋ ɕʰ i m
러더포듐	ɾ ʌ̹ d ʌ̹ pʰ o̞ d j u m
러브호텔	ɾ ʌ̹ b ɯ β o̞ tʰ e̞ ɭ
러시아	ɾ ʌ̹ ɕʰ i a̠
러시아말	ɾ ʌ̹ ɕʰ i a̠ m a̠ ɭ
러시아어	ɾ ʌ̹ ɕʰ i a̠ ʌ̹
럭비	ɾ ʌ̹ k̚ p͈ i
런던	ɾ ʌ̹ n d ʌ̹ n
럼	ɾ ʌ̹ m
레	ɾ e̞
레늄	ɾ e̞ ɲ j u m
레닌그라드	ɾ e̞ n i n ɡ ɯ ɾ a̠ d ɯ
레몬	ɾ e̞ m o̞ n
레바논	ɾ e̞ b a̠ n o̞ n
레소토	ɾ e̞ sʰ o̞ tʰ o̞
레스토랑	ɾ e̞ sʰ ɯ tʰ o̞ ɾ a̠ ŋ
레슬링	ɾ e̞ sʰ ɯ ɭ ʎ i ŋ
레위기	ɾ e̞ ɥ i ɡ i
레위니옹	ɾ e̞ ɥ i n i o̞ ŋ
레이스	ɾ e̞ i sʰ ɯ
레이저	ɾ e̞ i d͡ʑ ʌ̹
레이캬비크	ɾ e̞ i k ç j a̠ b i k x ɯ
레인지	ɾ e̞ i n d͡ʑ i
레일	ɾ e̞ i ɭ
레즈비언	ɾ e̞ d͡ʑ ɯ b i ʌ̹ n
레코드	ɾ e̞ kʰ o̞ d ɯ
레퍼토리	ɾ e̞ pʰ ʌ̹ tʰ o̞ ɾ i
렉	ɾ e̞ k̚
렌즈	ɾ e̞ n d͡ʑ ɯ
려	ɾ j ʌ̹
려관	ɾ j ʌ̹ ɡ w a̠ n
려권	ɾ j ʌ̹ ɡ w ʌ̹ n
려행	ɾ j ʌ̹ ɦ e̞ ŋ
력	ɾ j ʌ̹ k̚
력사	ɾ j ʌ̹ k s͈ a̠
련	ɾ j ʌ̹ n
련맹	ɾ j ʌ̹ n m e̞ ŋ
련방	ɾ j ʌ̹ n b a̠ ŋ
렬도	ɾ j ʌ̹ ɭ t͈ o̞
렴	ɾ j ʌ̹ m
령	ɾ j ʌ̹ ŋ
령도자	ɾ j ʌ̹ ŋ d o̞ d͡ʑ a̠
령사	ɾ j ʌ̹ ŋ sʰ a̠
례	ɾ j e̞
로	ɾ o̞
로고	ɾ o̞ ɡ o̞
로그	ɾ o̞ ɡ ɯ
로동	ɾ o̞ d o̞ ŋ
로듐	ɾ o̞ d j u m
로렌슘	ɾ o̞ ɾ e̞ n ɕʰ j u m
로마	ɾ o̞ m a̠
로마자	ɾ o̞ m a̠ d͡ʑ a̠
로망스	ɾ o̞ m a̠ ŋ sʰ ɯ
로맨스	ɾ o̞ m e̞ n sʰ ɯ
로맨틱하다	ɾ o̞ m e̞ n tʰ i kʰ a̠ d a̠
로메	ɾ o̞ m e̞
로므니아	ɾ o̞ m ɯ n i a̠
로봇	ɾ o̞ b o̞ t̚
로사리오	ɾ o̞ sʰ a̠ ɾ i o̞
로션	ɾ o̞ ɕʰ j ʌ̹ n
로스앤젤레스	ɾ o̞ sʰ ɯ e̞ n d͡ʑ e̞ ɭ ɭ e̞ sʰ ɯ
로씨야	ɾ o̞ ɕ͈ i j a̠
로씨야말	ɾ o̞ ɕ͈ i j a̠ m a̠ ɭ
로조	ɾ o̞ d͡ʑ o̞
로켓	ɾ o̞ kʰ e̞ t̚
로키	ɾ o̞ k ç i
로토	ɾ o̞ tʰ o̞
록	ɾ o̞ k̚
롤러코스터	ɾ o̞ ɭ ɭ ʌ̹ kʰ o̞ sʰ ɯ tʰ ʌ̹
롭다	ɾ o̞ p̚ t͈ a̠
롯	ɾ o̞ t̚
뢰	ɾ w e̞
뢴트게늄	ɾ w e̞ n tʰ ɯ ɡ e̞ ɲ j u m
뢴트겐	ɾ w e̞ n tʰ ɯ ɡ e̞ n
료	ɾ j o
료금	ɾ j oː ɡ ɯ m
료리	ɾ j o ɾ i
료법	ɾ j o b ʌ̹ p̚
룘	ɾ j o ɭ
룡	ɾ j o ŋ
루	ɾ u
루마니아	ɾ u m a̠ n i a̠
루마니아어	ɾ u m a̠ n i a̠ ʌ̹
루멘	ɾ u m e̞ n
루므니야	ɾ u m ɯ n i j a̠
루바슈카	ɾ u b a̠ ɕʰ j u kʰ a̠
루블	ɾ u b ɯ ɭ
루비듐	ɾ u b i d j u m
루사카	ɾ u sʰ a̠ kʰ a̠
루시	ɾ u ɕʰ i
루시퍼	ɾ u ɕʰ i pʰ ʌ̹
루안다	ɾ u a̠ n d a̠
루저	ɾ u d͡ʑ ʌ̹
루카	ɾ u kʰ a̠
루테늄	ɾ u tʰ e̞ ɲ j u m
루테튬	ɾ u tʰ e̞ tʰ j u m
루페	ɾ u pʰ e̞
룩	ɾ u k̚
룩셈부르크	ɾ u k s͈ e̞ m b u ɾ ɯ k x ɯ
룰렛	ɾ u ɭ ɭ e̞ t̚
룸메이트	ɾ u m m e̞ i tʰ ɯ
류블랴나	ɾ j u b ɯ ɭ ʎ j a̠ n a̠
류월	ɾ j u w ʌ̹ ɭ
류음	ɾ j u ɯ m
류형	ɾ j uː ʝ j ʌ̹ ŋ
륙	ɾ j u k̚
륙십	ɾ j u k ɕ͈ i p̚
르네상스	ɾ ɯ n e̞ sʰ a̠ ŋ sʰ ɯ
르완다	ɾ ɯ w a̠ n d a̠
를	ɾ ɯ ɭ
리	ɾ i
리가	ɾ i ɡ a̠
리그	ɾ i ɡ ɯ
리눅스	ɾ i n u k s͈ ɯ
리더	ɾ i d ʌ̹
리듬	ɾ i d ɯ m
리똬	ɾ i t͈ w a̠
리모넨	ɾ i m o̞ n e̞ n
리모컨	ɾ i m o̞ kʰ ʌ̹ n
리무진	ɾ i m u d͡ʑ i n
리믹스	ɾ i m i k s͈ ɯ
리버모륨	ɾ i b ʌ̹ m o̞ ɾ j u m
리본	ɾ i b o̞ n
리브르빌	ɾ i b ɯ ɾ ɯ b i ɭ
리비도	ɾ i b i d o̞
리비아	ɾ i b i a̠
리셉션	ɾ i s͈ e̞ p ɕ͈ j ʌ̹ n
리스본	ɾ i sʰ ɯ b o̞ n
리야드	ɾ i j a̠ d ɯ
리어카	ɾ i ʌ̹ kʰ a̠
리옹	ɾ i o̞ ŋ
리왕조	ɾ i w a̠ ŋ d͡ʑ o̞
리우데자네이루	ɾ i u d e̞ d͡ʑ a̠ n e̞ i ɾ u
리원	ɾ i w ʌ̹ n
리을	ɾ i ɯ ɭ
리큐어	ɾ i k ç j u ʌ̹
리터	ɾ i tʰ ʌ̹
리투아니아	ɾ i tʰ u a̠ n i a̠
리투아니아어	ɾ i tʰ u a̠ n i a̠ ʌ̹
리튬	ɾ i tʰ j u m
리포트	ɾ i pʰ o̞ tʰ ɯ
리히텐슈타인	ɾ i ʝ i tʰ e̞ n ɕʰ j u tʰ a̠ i n
린	ɾ i n
린스	ɾ i n sʰ ɯ
릴	ɾ i ɭ
릴롱궤	ɾ i ɭ ɭ o̞ ŋ ɡ w e̞
릴리스	ɾ i ɭ ʎ i sʰ ɯ
림	ɾ i m
립	ɾ i p̚
립법	ɾ i p̚ p͈ ʌ̹ p̚
립스틱	ɾ i p s͈ ɯ tʰ i k̚
립자	ɾ i p̚ t͡ɕ͈ a̠
링	ɾ i ŋ
링크	ɾ i ŋ k x ɯ
마	m a̠
마가린	m a̠ ɡ a̠ ɾ i n
마구	m a̠ ɡ u
마구간	m a̠ː ɡ u k͈ a̠ n
마귀	m a̠ ɡ ɥ i
마그네슘	m a̠ ɡ ɯ n e̞ ɕʰ j u m
마나과	m a̠ n a̠ ɡ w a̠
마나마	m a̠ n a̠ m a̠
마네킹	m a̠ n e̞ k ç i ŋ
마녀	m a̠ ɲ j ʌ̹
마노	m a̠ n o̞
마누라	m a̠ n u ɾ a̠
마늘	m a̠ n ɯ ɭ
마니	m a̠ n i
마니다	m a̠ n i d a̠
마닐라	m a̠ n i ɭ ɭ a̠
마다	m a̠ d a̠
마다가스카르	m a̠ d a̠ ɡ a̠ sʰ ɯ kʰ a̠ ɾ ɯ
마당	m a̠ d a̠ ŋ
마드라스	m a̠ d ɯ ɾ a̠ sʰ ɯ
마드리드	m a̠ d ɯ ɾ i d ɯ
마디	m a̠ d i
마땅하다	m a̠ t͈ a̠ ŋ ɦ a̠ d a̠
마라톤	m a̠ ɾ a̠ tʰ o̞ n
마력	m a̠ː ɾ j ʌ̹ k̚
