abo	a b ɔ
měrił	mʲ ɪ rʲ i w
měrim	mʲ ɪ rʲ i m
měriś	mʲ ɪ rʲ i ɕ
měrje	mʲ ɪ rʲ ɛ
měŕ	mʲ ɪ rʲ
měsćanaŕ	mʲ ɪ s t͡ɕ a n a rʲ
měsćańske	mʲ ɪ s t͡ɕ a nʲ s kʲ ɛ
měsćański	mʲ ɪ s t͡ɕ a nʲ s kʲ i
měso	mʲ ɪ s ɔ
města	mʲ ɪ s t a
městno	mʲ ɪ s t n ɔ
město	mʲ ɪ s t ɔ
měś	mʲ ɪ ɕ
měto	mʲ ɪ t ɔ
mězdze	mʲ ɪ z d͡z ɛ
mězga	mʲ ɪ z ɡ a
měź	mʲ ɪ ɕ
miła	mʲ i w a
miłe	mʲ i w ɛ
miłego	mʲ i w ɛ ɡ ɔ
miłej	mʲ i w e j
miłemu	mʲ i w ɛ m u
miły	mʲ i w ɨ
miłych	mʲ i w ɨ χ
miłym	mʲ i w ɨ m
miłymi	mʲ i w ɨ mʲ i
mimo	mʲ i m ɔ
mjac	mʲ a t͡s
mjadwjeź	mʲ a d vʲ e ɕ
mjadwjeź	mʲ a d j e ɕ
mjasec	mʲ a s ɛ t͡s
mjatel	mʲ a t ɛ l
mjazy	mʲ a z ɨ
mjod	mʲ ɔ t
mła	m w a
młode	m w ɔ d ɛ
młoźinske	m ɔ ʑ i n s kʲ ɛ
młoźinski	m ɔ ʑ i n s kʲ i
mlaś	m l a ɕ
mloko	m l ɔ k ɔ
móc	m ɨ t͡s
móc	m ɛ t͡s
móc	m ʊ t͡s
móct	m ɨ t͡s t
móct	m ɛ t͡s t
móct	m ʊ t͡s t
moderne	m ɔ d ɛ r n ɛ
módle	m ɨ d l ɛ
módle	m ɛ d l ɛ
módle	m ʊ d l ɛ
módli	m ɨ d l i
módli	m ɛ d l i
módli	m ʊ d l i
módlił	m ɨ d l i w
módlił	m ɛ d l i w
módlił	m ʊ d l i w
módlim	m ɨ d l i m
módlim	m ɛ d l i m
módlim	m ʊ d l i m
módliś	m ɨ d l i ɕ
módliś	m ɛ d l i ɕ
módliś	m ʊ d l i ɕ
módra	m ɨ d r a
módra	m ɛ d r a
módra	m ʊ d r a
módre	m ɨ d r ɛ
módre	m ɛ d r ɛ
módre	m ʊ d r ɛ
módru	m ɨ d r u
módru	m ɛ d r u
módru	m ʊ d r u
módry	m ɨ d r ɨ
módry	m ɛ d r ɨ
módry	m ʊ d r ɨ
mógł	m ɨ k
mógł	m ɛ k
mógł	m ʊ k
mógła	m ɨ ɡ w a
mógła	m ɛ ɡ w a
mógła	m ʊ ɡ w a
mógłej	m ɨ ɡ w ɛ j
mógłej	m ɛ ɡ w ɛ j
mógłej	m ʊ ɡ w ɛ j
mógło	m ɨ ɡ w ɔ
mógło	m ɛ ɡ w ɔ
mógło	m ʊ ɡ w ɔ
mógli	m ɨ ɡ l i
mógli	m ɛ ɡ l i
mógli	m ʊ ɡ l i
mógu	m ɨ ɡ u
mógu	m ɛ ɡ u
mógu	m ʊ ɡ u
mój	m ɛ j
mója	m ɛ j a
móje	m ɛ j ɛ
mójej	m ɛ j ɛ j
mójo	m ɛ j ɔ
mól	m ɨ l
mól	m ɛ l
mól	m ʊ l
móla	m ɨ l a
móla	m ɛ l a
móla	m ʊ l a
mólach	m ɨ l a x
mólach	m ɛ l a x
mólach	m ʊ l a x
mólam	m ɨ l a m
mólam	m ɛ l a m
mólam	m ʊ l a m
móle	m ɨ l ɛ
móle	m ɛ l ɛ
móle	m ʊ l ɛ
móli	m ɨ l i
móli	m ɛ l i
móli	m ʊ l i
mólu	m ɨ l u
mólu	m ɛ l u
mólu	m ʊ l u
móri	m ɨ rʲ i
móri	m ɛ rʲ i
móri	m ʊ rʲ i
mórjo	m ɨ rʲ ɔ
mórjo	m ɛ rʲ ɔ
mórjo	m ʊ rʲ ɔ
mórzgi	m ɨ r z ɡʲ i
mórzgi	m ɛ r z ɡʲ i
mórzgi	m ʊ r z ɡʲ i
móst	m ɨ s t
móst	m ɛ s t
móst	m ʊ s t
móžo	m ɨ ʒ ɔ
móžo	m ɛ ʒ ɔ
móžo	m ʊ ʒ ɔ
móžom	m ɨ ʒ ɔ m
móžom	m ɛ ʒ ɔ m
móžom	m ʊ ʒ ɔ m
móžomej	m ɨ ʒ ɔ m ɛ j
móžomej	m ɛ ʒ ɔ m ɛ j
móžomej	m ʊ ʒ ɔ m ɛ j
móžomy	m ɨ ʒ ɔ m ɨ
móžomy	m ɛ ʒ ɔ m ɨ
móžomy	m ʊ ʒ ɔ m ɨ
móžoš	m ɨ ʒ ɔ ʃ
móžoš	m ɛ ʒ ɔ ʃ
móžoš	m ʊ ʒ ɔ ʃ
móžotej	m ɨ ʒ ɔ t ɛ j
móžotej	m ɛ ʒ ɔ t ɛ j
móžotej	m ʊ ʒ ɔ t ɛ j
mrěś	m rʲ ɪ ɕ
muce	m u t͡s ɛ
mucha	m u x a
mudra	m u d r a
muku	m u k u
mul	m u l
mula	m u l a
mulam	m u l a m
mule	m u l ɛ
muli	m u l i
mulu	m u l u
muše	m u ʃ ɛ
muž	m u ʃ
muže	m u ʒ ɛ
myli	m ɨ l i
mysli	m ɨ s l i
mysliś	m ɨ s l i ɕ
myslit	m ɨ s l i t
myslony	m ɨ s l ɔ n ɨ
myš	m ɨ ʃ
myś	m ɨ ɕ
myśe	m ɨ ɕ ɛ
myt	m ɨ t
na	n a
naga	n a ɡ a
nage	n a ɡʲ ɛ
nagi	n a ɡʲ i
nagich	n a ɡʲ i x
nagim	n a ɡʲ i m
nagimi	n a ɡʲ i mʲ i
nagu	n a ɡ u
nakup	n a k u p
nałpa	n a w p a
nalěwo	n a l ɪ w ɔ
nan	n a n
nana	n a n a
napšawo	n a p ʃ a w ɔ
nas	n a s
ned	n ɛ t
nejgóršy	n ɛ j ɡ ɨ r ʃ ɨ
nejgóršy	n ɛ j ɡ ɛ r ʃ ɨ
nejgóršy	n ɛ j ɡ ʊ r ʃ ɨ
ně	nʲ ɪ
něco	nʲ ɪ t͡s ɔ
někotary	nʲ ɪ k ɔ t a r ɨ
něnt	nʲ ɪ n t
něnto	nʲ ɪ n t ɔ
nich	nʲ i x
nim	nʲ i m
nima	nʲ i m a
nimcowka	nʲ i m t͡s o w k a
nime	nʲ i m ɛ
niska	nʲ i s k a
niskich	nʲ i s kʲ i x
nisko	nʲ i s k ɔ
njasł	nʲ a s
njebjo	nʲ ɛ bʲ ɔ
njejdu	nʲ ɛ j d u
njejo	nʲ ɛ j ɔ
njejsćo	nʲ ɛ j s t͡ɕ ɔ
njejsmej	nʲ ɛ j s m ɛ j
njejsmy	nʲ ɛ j s m ɨ
njejsom	nʲ ɛ j s ɔ m
njejstej	nʲ ɛ j s t ɛ j
njejsu	nʲ ɛ j s u
njejsy	nʲ ɛ j s ɨ
njejźo	nʲ ɛ j ʑ ɔ
njejźom	nʲ ɛ j ʑ ɔ m
njejźomej	nʲ ɛ j ʑ ɔ m ɛ j
njejźoš	nʲ ɛ j ʑ ɔ ʃ
njekśě	nʲ ɛ k ɕ ɪ
njerěšny	nʲ ɛ rʲ ɪ ʃ n ɨ
njetopyŕ	nʲ ɛ t ɔ p ɨ rʲ
njewjedro	nʲ ɛ vʲ ɛ d r ɔ
njewjedro	nʲ ɛ j ɛ d r ɔ
njewjericka	nʲ ɛ j ɛ rʲ i t͡s k a
njewjericka	nʲ ɛ vʲ ɛ rʲ i t͡s k a
njeźela	nʲ ɛ ʑ ɛ l a
noc	n ɔ t͡s
nocach	n ɔ t͡s a x
nocami	n ɔ t͡s a mʲ i
nocka	n ɔ t͡s k a
nocy	n ɔ t͡s ɨ
noga	n ɔ ɡ a
nogi	n ɔ ɡʲ i
nokś	n ɔ k ɕ
nos	n ɔ s
nose	n ɔ s ɛ
nowe	n ɔ w ɛ
nowo	n ɔ w ɔ
nowy	n o w ɨ
noze	n ɔ z ɛ
nož	n ɔ ʃ
nožyce	n ɔ ʒ ɨ t͡s ɛ
numer	n u m ɛ r
nutśi	n u t͡ɕ i
padali	p a d a l i
paduch	p a d u x
palach	p a l a x
palc	p a l t͡s
pale	p a l ɛ
pali	p a l i
palica	p a l i t͡s a
palice	p a l i t͡s ɛ
palił	p a l i w
paliła	p a l i w a
paliło	p a l i w ɔ
palim	p a l i m
palimy	p a l i m ɨ
pališ	p a l i ʃ
paliś	p a l i ɕ
paliśo	p a l i ɕ ɔ
palit	p a l i t
palona	p a l ɔ n a
palone	p a l ɔ n ɛ
palony	p a l ɔ n ɨ
papa	p a p a
papje	p a pʲ ɛ
paprika	p a p rʲ i k a
papriku	p a p r i k u
park	p a r k
parka	p a r k a
pas	p a s
pasam	p a s a m
pase	p a s ɛ
paśpula	p a ɕ p u l a
pata	p a t a
patu	p a t u
paw	p a w
pawa	p a w a
pawk	p a w k
pcha	p x a
pcołka	t͡s ɔ w k a
pěsć	pʲ ɪ s t͡ɕ
pěsk	pʲ ɪ s k
pěšy	pʲ ɪ ʃ ɨ
pěś	pʲ ɪ ɕ
pěta	pʲ ɪ t a
pětk	pʲ ɪ t k
pětka	pʲ ɪ t k a
pětkach	pʲ ɪ t k a x
pětkam	pʲ ɪ t k a m
pětkami	pʲ ɪ t k a mʲ i
pětki	pʲ ɪ t kʲ i
pětkoma	pʲ ɪ t k ɔ m a
pětkow	pʲ ɪ t k ɔ w
pětkowu	pʲ ɪ t k ɔ w u
pětku	pʲ ɪ t k u
piła	pʲ i w a
piłam	pʲ i w a m
piło	pʲ i w ɔ
piły	pʲ i w ɨ
pile	pʲ i l ɛ
pili	pʲ i l i
pisał	pʲ i s a w
pisaś	pʲ i s a ɕ
piś	pʲ i ɕ
piśe	pʲ i ɕ ɛ
pit	pʲ i t
pite	pʲ i t ɛ
pitu	pʲ i t u
pity	pʲ i t ɨ
piwo	pʲ i w ɔ
pjac	pʲ a t͡s
pjelch	pʲ ɛ l x
pjelniś	pʲ ɛ l nʲ i ɕ
pjenjeze	pʲ ɛ nʲ ɛ z ɛ
pjerina	pʲ ɛ rʲ i n a
pjero	pʲ ɛ r ɔ
pławiś	p w a vʲ i ɕ
płotno	p w ɔ t n ɔ
płowy	p ɔ w ɨ
pług	p w u k
pla	p l a
plasć	p l a s t͡ɕ
plasta	p l a s t a
plěś	p l ɪ ɕ
pó	p ɨ
pó	p ɛ
pó	p ʊ
pód	p ɨ t
pód	p ɛ t
pód	p ʊ t
pódla	p ɨ d l a
pódla	p ɛ d l a
pódla	p ʊ d l a
pódomk	p ɨ d ɔ m k
pódomk	p ɛ d ɔ m k
pódomk	p ʊ d ɔ m k
połny	p o w n ɨ
póla	p ɨ l a
póla	p ɛ l a
póla	p ʊ l a
pólach	p ɨ l a x
pólach	p ɛ l a x
pólach	p ʊ l a x
pólack	p ɨ l a t͡s k
pólack	p ɛ l a t͡s k
pólack	p ʊ l a t͡s k
pólak	p ɨ l a k
pólak	p ɛ l a k
pólak	p ʊ l a k
póli	p ɨ l i
póli	p ɛ l i
póli	p ʊ l i
politika	p ɔ l i tʲ i k a
politiki	p ɔ l i tʲ i kʲ i
pólka	p ɨ l k a
pólka	p ɛ l k a
pólka	p ʊ l k a
pólo	p ɨ l ɔ
pólo	p ɛ l ɔ
pólo	p ʊ l ɔ
pólsce	p ɨ l s t͡s ɛ
pólsce	p ɛ l s t͡s ɛ
pólsce	p ʊ l s t͡s ɛ
pólska	p ɨ l s k a
pólska	p ɛ l s k a
pólska	p ʊ l s k a
pólska	p ɨ l s k a
pólska	p ɛ l s k a
pólska	p ʊ l s k a
pólske	p ɛ l s kʲ ɛ
pólske	p ɨ l s kʲ ɛ
pólske	p ʊ l s kʲ ɛ
pólski	p ɨ l s kʲ i
pólski	p ɛ l s kʲ i
pólski	p ʊ l s kʲ i
pólski	p ɨ l s kʲ i
pólski	p ɛ l s kʲ i
pólski	p ʊ l s kʲ i
pólskich	p ɛ l s kʲ i x
pólskich	p ɨ l s kʲ i x
pólskich	p ʊ l s kʲ i x
pólskim	p ɛ l s kʲ i m
pólskim	p ɨ l s kʲ i m
pólskim	p ʊ l s kʲ i m
pólskimi	p ɛ l s kʲ i mʲ i
pólskimi	p ɨ l s kʲ i mʲ i
pólskimi	p ʊ l s kʲ i mʲ i
pólsku	p ɨ l s k u
pólsku	p ɛ l s k u
pólsku	p ʊ l s k u
pólšćina	p ɨ l ɕ t͡ɕ i n a
pólšćina	p ɛ l ɕ t͡ɕ i n a
pólšćina	p ʊ l ɕ t͡ɕ i n a
pólu	p ɨ l u
pólu	p ɛ l u
pólu	p ʊ l u
pomoc	p ɔ m ɛ t͡s
pón	p ɨ n
pón	p ɛ n
pón	p ʊ n
pónjeźela	p ɨ nʲ ɛ ʑ ɛ l a
pónjeźela	p ɛ nʲ ɛ ʑ ɛ l a
pónjeźela	p ʊ nʲ ɛ ʑ ɛ l a
pónjeźele	p ɨ nʲ ɛ ʑ ɛ l ɛ
pónjeźele	p ɛ nʲ ɛ ʑ ɛ l ɛ
pónjeźele	p ʊ nʲ ɛ ʑ ɛ l ɛ
popjeł	p ɔ pʲ ɛ w
póra	p ɨ r a
póra	p ɛ r a
póra	p ʊ r a
póram	p ɨ r a m
póram	p ɛ r a m
póram	p ʊ r a m
póraś	p ɨ r a ɕ
póraś	p ɛ r a ɕ
póraś	p ʊ r a ɕ
pórat	p ɨ r a t
pórat	p ɛ r a t
pórat	p ʊ r a t
pósoł	p ɨ s ɔ w
pósoł	p ɛ s ɔ w
pósoł	p ʊ s ɔ w
pótom	p ɨ t ɔ m
pótom	p ɛ t ɔ m
pótom	p ʊ t ɔ m
powědański	p o vʲ ɪ d a nʲ s kʲ i
powědaś	p o vʲ ɪ d a ɕ
powědaś	p ɔ j ɪ d a ɕ
pówětš	p ɨ vʲ ɪ t͡ʃ
pówětš	p ɛ vʲ ɪ t͡ʃ
pówětš	p ʊ vʲ ɪ t͡ʃ
powěźeś	p o vʲ ɪ ʑ e ɕ
powěźeś	p ɔ j ɪ ʑ e ɕ
powrjoz	p o w rʲ ɔ s
prama	p r a m a
pramu	p r a m u
pranje	p r a nʲ ɛ
prěcny	p rʲ ɪ t͡s n ɨ
prědk	p rʲ ɪ t k
prědny	p rʲ ɪ d n ɨ
prězy	p rʲ ɪ z ɨ
proch	p r ɔ x
proga	p r ɔ ɡ a
progi	p r ɔ ɡʲ i
prose	p r ɔ s ɛ
prozniny	p r ɔ z nʲ i n ɨ
prozny	p r ɔ z n ɨ
psa	p s a
psy	p s ɨ
pšenice	p ʃ ɛ nʲ i t͡s ɛ
pšose	p ʃ ɔ s ɛ
pšosyś	p ʃ ɔ s ɨ ɕ
pšut	p ʃ u t
pśechójźowaś	p ɕ ɛ x ɛ j ʑ ɔ w a ɕ
pśechwatanje	p ɕ ɛ x w a t a nʲ ɛ
pśed	p ɕ ɛ t
pśedešćnik	p ɕ ɛ d ɛ ɕ t͡ɕ nʲ i k
pśez	p ɕ ɛ s
pśědł	p ɕ ɪ t
pśědu	p ɕ ɪ d u
pśěsć	p ɕ ɪ s t͡ɕ
pśěźo	p ɕ ɪ ʑ ɔ
pśěźom	p ɕ ɪ ʑ ɔ m
pśi	p ɕ i
pśichod	p ɕ i x ɔ t
pśigótowaś	p ɕ i ɡ ɨ t o w a ɕ
pśigótowaś	p ɕ i ɡ ɛ t o w a ɕ
pśigótowaś	p ɕ i ɡ ʊ t o w a ɕ
pśigótujo	p ɕ i ɡ ɨ t u j ɔ
pśigótujo	p ɕ i ɡ ɛ t u j ɔ
pśigótujo	p ɕ i ɡ ʊ t u j ɔ
pśijaśel	p ɕ i j a ɕ e l
ptašk	p t a ʃ k
ptaškowy	p t a ʃ k ɔ w ɨ
pusta	p u s t a
puste	p u s t ɛ
pusty	p u s t ɨ
puta	p u t a
putam	p u t a m
putu	p u t u
pyrje	p ɨ rʲ ɛ
pytali	p ɨ t a l i
pytanje	p ɨ t a nʲ ɛ
pyto	p ɨ t ɔ
rad	r a t
rada	r a d a
radijo	r a dʲ i j ɔ
radło	r a d w ɔ
rado	r a d ɔ
rady	r a d ɨ
rak	r a k
raka	r a k a
rakach	r a k a x
rakam	r a k a m
raki	r a kʲ i
raku	r a k u
ramje	r a mʲ ɛ
rdžaś	r d͡ʒ a ɕ
rěc	rʲ ɪ t͡s
rěd	rʲ ɪ t
rědki	rʲ ɪ t kʲ i
rědne	rʲ ɪ d n ɛ
rědny	rʲ ɪ d n ɨ
rěka	rʲ ɪ k a
rězaś	rʲ ɪ z a ɕ
ricali	rʲ i t͡s a l i
rice	rʲ i t͡s ɛ
rjemjeń	rʲ ɛ mʲ ɛ nʲ
rjeśaz	rʲ ɛ ɕ a s
rjobło	rʲ ɔ b w ɔ
rjobro	rʲ ɔ b r ɔ
rod	r ɔ t
roda	r ɔ d a
rodach	r ɔ d a x
rodam	r ɔ d a m
rodami	r ɔ d a mʲ i
rodom	r ɔ d ɔ m
rody	r ɔ d ɨ
roga	r ɔ ɡ a
rogam	r ɔ ɡ a m
roj	r ɔ j
roja	r ɔ j a
roju	r ɔ j a
ros	r ɔ s
rosa	r ɔ s a
rosć	r ɔ s t͡ɕ
rose	r ɔ s ɛ
row	r ɔ w
rowny	r ɔ w n ɨ
rozgranjaś	r ɔ z ɡ r a nʲ a ɕ
ruce	r u t͡s ɛ
ruda	r u d a
rudam	r u d a m
rudawy	r u d a w ɨ
rudu	r u d u
rudy	r u d ɨ
ruka	r u k a
ruma	r u m a
ryba	r ɨ b a
rybarnik	r ɨ b a r nʲ i k
rybce	r ɨ p t͡s ɛ
rybnica	r ɨ b nʲ i t͡s a
rys	r ɨ s
ryt	r ɨ t
ryzy	r ɨ z ɨ
rza	r z a
ŕ	rʲ
sada	s a d a
sarna	s a r n a
saźe	s a ʑ ɛ
sćěna	s t͡ɕ ɪ n a
sćěnje	s t͡ɕ ɪ nʲ ɛ
sćo	s t͡ɕ ɔ
sec	s ɛ t͡s
sedło	s ɛ d w ɔ
sedym	s ɛ d ɨ m
sej	s ɛ j
sejźe	s ɛ j ʑ ɛ
sejźeł	s ɛ j ʑ ɛ w
sejźeś	s ɛ j ʑ ɛ ɕ
sejźi	s ɛ j ʑ i
sejźim	s ɛ j ʑ i m
semje	s ɛ mʲ ɛ
sena	s ɛ n a
seno	s ɛ n ɔ
sera	s ɛ r a
serbiske	s ɛ r bʲ i s kʲ ɛ
serbskich	s ɛ r s kʲ i x
serce	s ɛ r t͡s ɛ
serp	s ɛ r p
serpa	s ɛ r p a
serpam	s ɛ r p a m
skócyś	s k ɨ t͡s ɨ ɕ
skócyś	s k ɛ t͡s ɨ ɕ
skócyś	s k ʊ t͡s ɨ ɕ
skóńcowaś	s k ɨ nʲ t͡s ɔ w a ɕ
skóńcowaś	s k ɛ nʲ t͡s ɔ w a ɕ
skóńcowaś	s k ʊ nʲ t͡s ɔ w a ɕ
skóro	s k ɨ r ɔ
skóro	s k ɛ r ɔ
skóro	s k ʊ r ɔ
skót	s k ɨ t
skót	s k ɛ t
skót	s k ʊ t
słodki	s w ɔ t kʲ i
słodkich	s w ɔ t kʲ i x
słoma	s w ɔ m a
słomce	s w ɔ m t͡s ɛ
słomka	s w ɔ m k a
słomkach	s w ɔ m k a x
słowo	s w o w ɔ
słyńco	s w ɨ nʲ t͡s ɔ
słyšaś	s w ɨ ʃ a ɕ
slě	s lʲ ɪ
slěpy	s l ɪ p ɨ
slěwka	s l ɪ w k a
slězy	s l ɪ z ɨ
smej	s m ɛ j
smjerś	s mʲ ɛ r ɕ
smy	s m ɨ
snědanje	s nʲ ɪ d a nʲ ɛ
snědaś	s nʲ ɪ d a ɕ
sněg	s nʲ ɪ k
sobota	s ɔ b ɛ t a
socha	s ɔ x a
sodło	s ɔ d w ɔ
sol	s ɔ l
soli	s ɔ l i
som	s ɔ m
sona	s ɔ n a
sonje	s ɔ nʲ ɛ
sotša	s ɔ t͡ʃ a
sotše	s ɔ t͡ʃ ɛ
sotšu	s ɔ t͡ʃ u
spałej	s p a w ɛ j
spali	s p a l i
spane	s p a n ɛ
spański	s p a nʲ s kʲ i
spaštej	s p a ʃ t ɛ j
spaś	s p a ɕ
spě	s pʲ ɪ
spice	s pʲ i t͡s ɛ
spicy	s pʲ i t͡s ɨ
spitej	s pʲ i t ɛ j
spódobaś	s p ɨ d ɔ b a ɕ
spódobaś	s p ɛ d ɔ b a ɕ
spódobaś	s p ʊ d ɔ b a ɕ
spóra	s p ɨ r a
spóra	s p ɛ r a
spóra	s p ʊ r a
spóraś	s p ɨ r a ɕ
spóraś	s p ɛ r a ɕ
spóraś	s p ʊ r a ɕ
sport	s p ɔ r t
sporty	s p ɔ r t ɨ
sprjewja	s p rʲ ɛ vʲ a
sprjewja	s p rʲ ɛ j a
srjejź	s rʲ ɛ j ɕ
stadło	s t a d w ɔ
stadle	s t a d l ɛ
stare	s t a r ɛ
starej	s t a r ɛ j
stareje	s t a r ɛ j ɛ
stareju	s t a r ɛ j u
starjejše	s t a rʲ ɛ j ʃ ɛ
starjejšej	s t a rʲ ɛ j ʃ ɛ j
stary	s t a r ɨ
stej	s t ɛ j
stil	s tʲ i l
stilist	s tʲ i l i s t
stilistika	s tʲ i l i s tʲ i k a
stog	s t ɔ k
stoga	s t ɔ ɡ a
stojał	s t ɔ j a w
stojaś	s t ɔ j a ɕ
stojm	s t ɔ j m
stoł	s t ɔ w
stole	s t ɔ l ɛ
strow	s t r o w
stśěła	s t͡ɕ ɪ w a
studěrowaś	s t u dʲ ɪ r ɔ w a ɕ
studowaś	s t u d ɔ w a ɕ
stwórtk	s t w ɨ r t k
stwórtk	s t w ɛ r t k
stwórtk	s t w ʊ r t k
styri	s t ɨ rʲ i
suche	s u x ɛ
sucho	s u x ɔ
suchy	s u x ɨ
sup	s u p
supa	s u p a
swět	s vʲ ɪ t
swětki	s vʲ ɪ t kʲ i
swětły	s vʲ ɪ t w ɨ
swěty	s vʲ ɪ t ɨ
swinja	s vʲ i nʲ a
swój	s w ɛ j
swója	s w ɛ j a
swóje	s w ɛ j ɛ
swójej	s w ɛ j ɛ j
swójźba	s w ɛ j ʑ b a
sykora	s ɨ k ɔ r a
syłoj	s ɨ w ɔ j
syłojik	s ɨ w ɔ j i k
syłojk	s ɨ w ɔ j k
sylny	s ɨ l n ɨ
syn	s ɨ n
syna	s ɨ n a
syra	s ɨ r a
syre	s ɨ r ɛ
syrotny	s ɨ r ɔ t n ɨ
syry	s ɨ r ɨ
syte	s ɨ t ɛ
syto	s ɨ t ɔ
šćenje	ɕ t͡ɕ ɛ nʲ ɛ
šery	ʃ ɛ r ɨ
škobrjonk	ʃ k ɔ b rʲ ɔ ŋ k
škóra	ʃ k ɨ r a
škóra	ʃ k ɛ r a
škóra	ʃ k ʊ r a
škórc	ʃ k ɨ r t͡s
škórc	ʃ k ɛ r t͡s
škórc	ʃ k ʊ r t͡s
škrja	ʃ k rʲ a
škrjok	ʃ k rʲ ɔ k
šołta	ʃ o w t a
štunda	ʃ t u n d a
šula	ʃ u l a
šule	ʃ u l ɛ
šyś	ʃ ɨ ɕ
ś	ɕ
śamny	ɕ a m n ɨ
śańki	ɕ a n kʲ i
śele	ɕ ɛ l ɛ
śěgaś	ɕ ɪ ɡ a ɕ
śěgnuś	ɕ ɪ ɡ n u ɕ
śěło	ɕ ɪ w ɔ
śěsny	ɕ ɪ s n ɨ
śěsto	ɕ ɪ s t ɔ
śěžki	ɕ ɪ ʃ kʲ i
śichy	ɕ i x ɨ
śopły	ɕ ɔ p w ɨ
śpa	ɕ p a
tabela	t a b ɛ l a
tak	t a k
taktika	t a k tʲ i k a
taktiki	t a k tʲ i kʲ i
tapeta	t a p ɛ t a
tasa	t a s a
tase	t a s ɛ
taska	t a s k a
taski	t a s kʲ i
tasku	t a s k u
tasow	t a s ɔ w
tej	t ɛ j
teja	t ɛ j a
teje	t ɛ j ɛ
teju	t ɛ j u
teke	t ɛ kʲ ɛ
telewizor	t ɛ l ɛ vʲ i z ɔ r
tenraz	t ɛ n r a s
terasa	t ɛ r a s a
terase	t ɛ r a s ɛ
tkałej	t k a w ɛ j
tkali	t k a l i
tłocy	t w ɔ t͡s ɨ
tłocył	t w ɔ t͡s ɨ w
tłocym	t w ɔ t͡s ɨ m
tłocyś	t w ɔ t͡s ɨ ɕ
toaleta	t o a l ɛ t a
togodla	t ɔ ɡ ɔ d l a
toporišćo	t ɔ p ɔ rʲ i ɕ t͡ɕ ɔ
torm	t ɔ r m
trěś	tʲ rʲ ɪ ɕ
tšawa	t͡ʃ a w a
tśěsć	t͡ɕ ɪ s t͡ɕ
tśi	t ɕ i
tśmjel	t ɕ mʲ ɛ l
tśmjeń	t͡ɕ mʲ ɛ nʲ
tśo	t͡ɕ ɔ
tu	t u
tucne	t u t͡s n ɛ
tuni	t u nʲ i
tur	t u r
twarda	t w a r d a
twardy	t w a r d ɨ
twarjenja	t w a rʲ ɛ nʲ a
twarjenje	t w a rʲ ɛ nʲ ɛ
twój	t w ɛ j
twója	t w ɛ j a
twóje	t w ɛ j ɛ
twójej	t w ɛ j ɛ j
twóŕ	t w ɨ rʲ
twóŕ	t w ɛ rʲ
twóŕ	t w ʊ rʲ
tyźeń	t ɨ ʑ ɛ nʲ
w	w
wałma	w a w m a
wałtora	w a w t ɔ r a
wama	w a m a
wariś	w a rʲ i ɕ
we	w ɛ
wej	w ɛ j
wence	w ɛ n t͡s ɛ
wě	vʲ ɪ
wěc	vʲ ɪ t͡s
wědomnosć	vʲ ɪ d ɔ m n ɔ s t͡ɕ
wěnc	vʲ ɪ n t͡s
wětš	vʲ ɪ t͡ʃ
wětšy	vʲ ɪ t͡ʃ ɨ
wězaś	vʲ ɪ z a ɕ
wěźeś	vʲ ɪ ʑ ɛ ɕ
widlicki	vʲ i d l i t͡s kʲ i
wiki	vʲ i kʲ i
wina	vʲ i n a
wino	vʲ i n ɔ
wita	vʲ i t a
witali	vʲ i t a l i
witaś	vʲ i t a ɕ
witśe	vʲ i t͡ɕ ɛ
wiźenje	vʲ i ʑ ɛ nʲ ɛ
wiźeś	vʲ i ʑ ɛ ɕ
wjacor	vʲ a t͡s ɔ r
wjacor	j a t͡s ɔ r
wjasć	vʲ a s t͡ɕ
wjasć	j a s t͡ɕ
wjasele	vʲ a s ɛ l ɛ
wjasele	j a s ɛ l ɛ
wjasoły	j a s ɔ w ɨ
wjasoły	vʲ a s ɔ w ɨ
wjele	vʲ ɛ l ɛ
wjele	j ɛ l ɛ
wjelgin	vʲ ɛ l ɡʲ i n
wjelgin	j ɛ l ɡʲ i n
wjelike	vʲ ɛ l i kʲ ɛ
wjelike	j ɛ l i kʲ ɛ
wjeliki	vʲ ɛ l i kʲ i
wjeliki	j ɛ l i kʲ i
wjelk	vʲ ɛ l k
wjelk	j ɛ l k
włos	w ɔ s
włose	w ɔ s ɛ
wó	w ɨ
wó	w ɛ
wó	w ʊ
wob	ɔ p
wobjed	ɔ bʲ ɛ t
wobjedował	ɔ bʲ ɛ d ɔ w a w
wobjedowali	ɔ bʲ ɛ d ɔ w a l i
wobjedowaś	ɔ bʲ ɛ d ɔ w a ɕ
woblico	ɔ b l i t͡s ɔ
wobwóco	ɔ b w ɨ t͡s ɔ
wobwóco	ɔ b w ɛ t͡s ɔ
wobwóco	ɔ b w ʊ t͡s ɔ
wobwócyjo	ɔ b w ɨ t͡s ɨ j ɔ
wobwócyjo	ɔ b w ɛ t͡s ɨ j ɔ
wobwócyjo	ɔ b w ʊ t͡s ɨ j ɔ
wóda	w ɨ d a
wóda	w ɛ d a
wóda	w ʊ d a
wódaj	w ɨ d a j
wódaj	w ɛ d a j
wódaj	w ʊ d a j
wódajśo	w ɨ d a j ɕ ɔ
wódajśo	w ɛ d a j ɕ ɔ
wódajśo	w ʊ d a j ɕ ɔ
