aacatlah	aʔaːkat͡ɬ
mococohuan	mokokówaːn
mocuic	mókʷiːk
mocuitl	mókʷit͡ɬ
molli	moːlːi
momazahuan	momasáːwaːn
momilpan	momíːɬpan̥
momiquiz	momíkis
monacayo	monakájo
monahuatlahtol	monaːwat͡ɬáʔtoːɬ
monan	monaːn
monoch	mónoːt͡ʃ
moquichcho	mokítt͡ʃo
motah	mótaʔ
motecon	motékon
moteohuan	moteóːwaːn
moteouh	móteʍ
motepeuh	motépeːʍ
moteucyo	motéːkjo
moteucyohuan	moteːkjóːwaːn
motezcauh	motéskaʍ
motiyanquiz	motijáːŋkis
motlacahuan	mot͡ɬaːkáwaːn
motlacauh	mot͡ɬáːkaʍ
motlahtol	mot͡ɬáʔtoːɬ
nabox	náːpoʃ
nacaayotl	nakaaːjoːt͡ɬ
nacal	náːkaɬ
nacaocuilin	nakaokʷilin
nacatamalli	nakatamálːi
nacatlaolli	nakat͡ɬaoːlːi
nacatlaoyoh	nakat͡ɬaoːjoʔ
nacatlapatzcaayotl	nakat͡ɬapaːt͡skaaːjoːt͡ɬ
nacayo	naːkájo
nacayoh	nakajoʔ
nacazcuihcuitlatl	nakaskʷiʔkʷit͡ɬat͡ɬ
nacaztli	nakast͡ɬi
nachcocol	naːt͡ʃkóːkoːɬ
nachcocolhuan	naːt͡ʃkoːkóːɬwaːn
nahciyan	naʔsíjaːn
nahnahui	naʔnáːwi
nahuallotl	naːwalːoːt͡ɬ
nahuatl	naːwat͡ɬ
nahuatlahtolli	naːwatɬaʔtoːlːi
nahui	náːwi
nahuilhuitl	naːwiɬwit͡ɬ
namiqueh	naːmíkeʔ
namiquehqueh	naːmikéʔkeʔ
namox	náːmoʃ
nanahui	naːnáːwi
nantin	naːntin
nantli	naːnt͡ɬi
nantontli	naːntoːnt͡ɬi
nanyotl	naːnjoːt͡ɬ
nappa	naːppa
nappohualli	naːppoːwalːi
nappohualpa	naːppoːwaɬpa
nauh	náːʍ
nauhxihuitl	naːʍʃiwit͡ɬ
nealtilatl	neaːɬtiːlaːt͡ɬ
necuatl	nekʷaːt͡ɬ
nehuayo	neːwájo
nemanahuilcalli	nemaːnaːwiːɬkalːi
nexxoh	neʃːoʔ
nix	níːʃ
nocal	nókaɬ
nocenteconetzin	nosentekoneːt͡sin
nochahuanan	not͡ʃaːwánaːn̥
nochan	nót͡ʃaːn
nocheztli	noːt͡ʃest͡ɬi
nochichitohuan	not͡ʃit͡ʃitóːwaːn
nochil	nót͡ʃiːɬ
nochimal	not͡ʃíːmaɬ
nochoctli	noːt͡ʃokt͡ɬi
nocih	nósiʔ
nocihuahuan	nosiwáːwaːn
nocihuauh	nosíwaːʍ
nococohuan	nokokówaːn
noconeuh	nokóneːʍ
nocualac	nokʷálak
nocuic	nókʷiːk
nocuitl	nókʷit͡ɬ
nomazahuan	nomasáːwaːn
nomilpan	nomíːɬpan̥
nomiquiz	nomíkis
nomiuh	nómiʍ
nomiyo	nomijo
nonacayo	nonakájo
nonacaz	nonakas
nonahuatlahtol	nonaːwat͡ɬáʔtoːɬ
nonan	nonaːn
nonoch	nónoːt͡ʃ
nopil	nopiɬ
nopiltzin	nopíɬt͡sin
noquichcho	nokítt͡ʃo
notah	nótaʔ
notecon	notékon
notecuiyo	noteːkʷíjo
noteohuan	noteóːwaːn
noteouh	nóteʍ
notezcauh	notéskaʍ
notiyanquiz	notijáːŋkis
notlacahuan	not͡ɬaːkáwaːn
notlacauh	not͡ɬáːkaʍ
notlahtol	not͡ɬáʔtoːɬ
notoca	notoːka
occalli	okkálːi
oceloehuatl	oseːloːeːwat͡ɬ
ocelohe	oseːloʔé
ocelomeh	oseːlóːmeʔ
ocelotl	oːséːloːt͡ɬ
ocelotle	oseːloːt͡ɬé
ococallotl	okoːkalːoːt͡ɬ
ococentli	okoːsent͡ɬi
ococenyollohtli	okoːsenjoːlːoʔt͡ɬi
ococuahuitl	okoːkʷawit͡ɬ
ococuauhtlah	okoːkʷaʍt͡ɬaʔ
ocotl	okot͡ɬ
ocoxochitl	okoːʃoːt͡ʃit͡ɬ
ocozacatl	okoːsákat͡ɬ
octlaliloyan	okt͡ɬaːliːlóːjaːn̥
ocuilloh	okʷilːoʔ
ocuilton	okʷiɬtoːn
ohococuauhtlah	oʔokoːkʷaʍt͡ɬaʔ
ohocotlah	oʔokoːt͡ɬaʔ
ohome	oʔóːme
ohueyix	oːwéːjiʃ
ohuihcayotl	owiʔkaːjoːt͡ɬ
ohxitl	oʔʃit͡ɬ
olin	óliːn̥
ollama	oːlːáma
ollamaliztli	oːlːamalíst͡ɬi
olli	oːlːi
olloh	oːlːoʔ
ome	óːme
omicalli	omikalːi
omilhuitl	oːmiɬwit͡ɬ
ompohualilhuitl	oːmpoːwaliɬwit͡ɬ
ompohualli	oːmpoːwalːi
ompohualpa	oːmpoːwaɬpa
onxihuitl	oːnʃiwit͡ɬ
oome	oːóːme
opochmaitl	oːpoːt͡ʃmaːit͡ɬ
oppa	oːppa
oquichchotl	okítt͡ʃoːt͡ɬ
oquichcuacuahueh	okit͡ʃkʷaːkʷaweʔ
oquichhuah	okít͡ʃwaʔ
oquichhuahqueh	okit͡ʃwáʔkeʔ
oquichhuilotl	okit͡ʃwiːloːt͡ɬ
oquichozomahtli	okit͡ʃosomaʔt͡ɬi
oquichtin	okit͡ʃtin
oyahualiuh	oːjawáliʍ
ozomahtin	osomaʔtin
ozomahtli	osomáʔt͡ɬi
pahatl	paʔaːt͡ɬ
pahcalli	paʔkalːi
papalotepiton	paːpaloːtepitoːn
papalotontli	paːpaloːtoːnt͡ɬi
patolli	patóːlːi
petlazolcoatl	pet͡ɬasoɬkoːaːt͡ɬ
piccatl	piːkkat͡ɬ
piltontli	piɬtoːnt͡ɬi
pinolatl	pinolaːt͡ɬ
pipiltzitzintin	piːpiɬt͡sit͡sintin
pitzocalli	pit͡sokalːi
pitzoconetl	pit͡sokoneːt͡ɬ
pocyoh	poːkjoʔ
poliuhqui	poliʍki
pozonallotl	posoːnalːoːt͡ɬ
puñal	ponaːɬ
puñal	punaːɬ
puñaltontli	ponaːɬtoːnt͡ɬi
quehquelli	keʔkelːi
quetzalcoatl	ket͡saɬkóːaːt͡ɬ
quetzalli	ket͡salːi
quexilli	keʃiːlːi
quiliton	kilitoːn
quilmolli	kiɬmoːlːi
quilocuilin	kilokʷilin
quilpalli	kiɬpáːlːi
quimichton	kimit͡ʃtoːn
quiyahuitl	kijawit͡ɬ
quiyotl	kijoːt͡ɬ
quiyoyoh	kijoːjoʔ
semana	ʃimaːnaʔ
tacal	táːkaɬ
tacayo	taːkájo
tacel	táseːɬ
tachcocol	taːt͡ʃkóːkoːɬ
tachcocolhuan	taːt͡ʃkoːkóːɬwaːn
tahtin	taʔtin
tahtli	taʔt͡ɬi
tamalli	tamálːi
tamox	táːmoʃ
tanahtontli	tanaʔtoːnt͡ɬi
tapalcatemalacatl	tapaɬkatemalakat͡ɬ
tapalcatl	tapaɬkat͡ɬ
tapalcatlapantli	tapaɬkat͡ɬapant͡ɬi
tata	tata
tayo	táːjo
teacal	teːáːkaɬ
teachcocol	teːaːt͡ʃkóːkoːɬ
teachcocolhuan	teːaːt͡ʃkoːkóːɬwaːn̥
tecal	téːkaɬ
techahuanan	teːt͡ʃaːwánaːn̥
techalotl	tet͡ʃaloːt͡ɬ
techan	téːt͡ʃaːn
tecihuauh	teːsíwaːʍ
tecomatl	tekómat͡ɬ
teconeuh	teːkóneːʍ
tecpan	teːkpan
tecpancalli	teːkpankalːi
tecpilconetl	teːkpiɬkoneːt͡ɬ
tecpilli	teːkpilːi
tecpin	tekpin
tecpintlah	tekpint͡ɬaʔ
tecpintli	tekpint͡ɬi
tecuacan	teːkʷakaːn
tecuampiltontli	teːkʷaːmpiɬtoːnt͡ɬi
tecuancoacoconeh	teːkʷaːŋkoːwaːkoːkoneʔ
tecuancoaconetl	teːkʷaːŋkoːwaːkoneːt͡ɬ
tecuancoatl	teːkʷaːnkoːwaːt͡ɬ
tecuanconetl	teːkʷaːŋkoneːt͡ɬ
tecuanehuatl	teːkʷaːneːwat͡ɬ
tecuani	teːkʷáːni
tecuanimeh	teːkʷaːnimeʔ
tecuappantli	tekʷapánt͡ɬi
tecuicihtli	tekʷisiʔt͡ɬi
tehtetlah	teʔtet͡ɬaʔ
tehuayo	teːwájo
telpochchotl	teːɬpoːtt͡ʃoːt͡ɬ
telpochtli	teːɬpoːt͡ʃt͡ɬi
telpochtontli	teːɬpoːt͡ʃtoːnt͡ɬi
telpochyotl	teːɬpoːt͡ʃjoːt͡ɬ
temalacatl	temalakat͡ɬ
temecahuitequini	teːmekawiːtekini
temeh	temeʔ
temetzeh	temeːt͡seʔ
temetzehqueh	temeːt͡sekeʔ
temetztli	temeːt͡st͡ɬi
tenamaztli	tenamast͡ɬi
tenamic	teːnáːmik
tenantzin	teːnáːnt͡sin̥
tenextetl	teneʃtet͡ɬ
tenextli	teneʃt͡ɬi
tenochtitlan	tenoːt͡ʃtít͡ɬan
tenochtitlan	tenot͡ʃtít͡ɬan
teocalcuitlapilli	teoːkaɬkʷit͡ɬapilːi
teocaltontli	teoːkaɬtoːnt͡ɬi
teocaltototl	teoːkaɬtoːtoːt͡ɬ
teocuitlatlalli	teoːkʷit͡ɬat͡ɬaːlːi
teocuitlaxalli	teoːkʷit͡ɬaʃaːlːi
teomicqueh	teoːmikkeʔ
teomicqui	teoːmikki
teomilco	teoːmíːɬko
teopan	teoːpan
teopantontli	teoːpantoːnt͡ɬi
teopixcacalli	teoːpiʃkaːkálːi
teopixcachantli	teoːpiʃkaːt͡ʃaːnt͡ɬi
teopixcatlahtoani	teoːpiʃkaːt͡ɬaʔtoaːni
teopixcayotl	teoːpiʃkaːjoːt͡ɬ
teoquichhui	teːokít͡ʃwi
teotl	teoːt͡ɬ
teoyotl	teoːjoːt͡ɬ
tepemeh	tepeːmeʔ
tepeololli	tepeːoloːlːi
tepetlah	tepeːt͡ɬaʔ
tepetontli	tepeːtoːnt͡ɬi
tepetotontin	tepeːtoːtoːntin
tepeyahualli	tepeːjawalːi
tepezolconetl	tepeːsoːɬkoneːt͡ɬ
tepezolin	tepeːsoːlin
tepiton	tepitoːn
tepolayotl	tepoːlaːjoːt͡ɬ
tepolcamapiccatl	tepoːɬkamapíːkkat͡ɬ
tepolcuaxipeuhcatl	tepoɬkʷaːʃipeːʍkat͡ɬ
tepolehuayotl	tepoːleːwajoːt͡ɬ
tepozmaccuauhtepiton	teposmaːkkʷaʍtepitoːn
tepozmaccuauhtontli	teposmaːkkʷaʍtoːnt͡ɬi
tepozmitl	tepósmiːt͡ɬ
tepoztli	tepostɬi
tepoztopilli	tepostoːpiːlːi
tepoztopiltontli	tepostoːpiːɬtoːnt͡ɬi
tetahtzin	teːtáʔt͡sin̥
teteohuan	teteóːwaːn
teteouh	téːteʍ
tetepeh	teːtepeʔ
teteuctin	teːteːkʷtin
tetiyanquiz	teːtijáːŋkis
tetl	tet͡ɬ
tetlah	tet͡ɬaʔ
tetontli	tetoːnt͡ɬi
tetzilacatl	tet͡silakat͡ɬ
teuctli	teːkʷt͡ɬi
teuhtlah	teʍt͡ɬaʔ
teuhtli	teʍt͡ɬi
teuhtontli	teʍtoːnt͡ɬi
texcalli	teʃkalːi
texcan	teːʃkan
tezcatepiton	teskatepitoːn
tezcatontli	teskatoːnt͡ɬi
ticiyotl	tiːsijoːt͡ɬ
tilmahocuilin	tiɬmaʔokʷilin
titlantli	tiːt͡ɬant͡ɬi
tix	tíʃ
tiyamicacalli	tijaːmikaːkalːi
tiyanquiztli	tijaːŋkíst͡ɬi
tlaayotilli	t͡ɬaaːjoːtíːlːi
tlacah	t͡ɬákaʔ
tlacahuah	t͡ɬaːkáwaʔ
tlacamichin	t͡ɬaːkamit͡ʃin
tlacanacatl	t͡ɬaːkanakat͡ɬ
tlacatecolocihuatl	t͡ɬaːkatekoloːosiwaːt͡ɬ
tlacatecolooquichtli	t͡ɬaːkatekoloːokit͡ʃt͡ɬi
tlacatecolotlahtolli	t͡ɬaːkatekoloːt͡ɬaʔtóːlːi
tlacatecoloxocohuitztli	t͡ɬaːkatekoloːʃokowit͡st͡ɬi
tlacatilizilhuitl	t͡ɬaːkatilisiɬwit͡ɬ
tlacaxinachtli	t͡ɬaːkaʃinaːt͡ʃt͡ɬi
tlachcayotl	t͡ɬat͡ʃkajoːt͡ɬ
tlachihualtontli	t͡ɬat͡ʃiːwaɬtoːnt͡ɬi
tlachiuhtontli	t͡ɬat͡ʃiːʍtoːnt͡ɬi
tlacohtontli	t͡ɬaːkoʔtoːnt͡ɬi
tlacotl	t͡ɬákoːt͡ɬ
tlacuahuac	t͡ɬakʷaːwak
tlacualli	t͡ɬakwaːli
tlahcuilolli	t͡ɬaʔkʷiloːlːi
tlahtlamaliztli	t͡ɬaʔt͡ɬamalíst͡ɬi
tlahtoaniton	t͡ɬaʔtowaːnitoːn
tlahtohcapilli	t͡ɬaʔtoʔkaːpílːi
tlahtohcapipiltin	t͡ɬaʔtoʔkaːpiːpiɬtin̥
tlahtohcatepiton	t͡ɬaʔtoʔkaːtepitoːn
tlahtohcatlatquitl	t͡ɬaʔtoʔkaːt͡ɬatkit͡ɬ
tlahtohcatontli	t͡ɬaʔtoʔkaːtoːnt͡ɬi
tlahtohcatopilli	t͡ɬaʔtoʔkaːtopílːi
tlahtohcayoh	t͡ɬaʔtoʔkaːjoʔ
tlahtohcayohqueh	t͡ɬaʔtoʔkaːjóʔkeʔ
tlahuilcalli	t͡ɬaːwiːɬkalːi
tlahuilli	t͡ɬaːwiːlːi
tlahuilloh	t͡ɬaːwiːlːoʔ
tlahzolli	tɬaʔsolːi
tlaixxoh	t͡ɬaiːʃːoʔ
tlalaala	t͡ɬaːlaala
tlalcacahuatl	t͡ɬaːɬkakáwat͡ɬ
tlalchichi	t͡ɬaːɬt͡ʃít͡ʃi
tlalchichimeh	t͡ɬaːɬt͡ʃit͡ʃímeʔ
tlalcoyotl	t͡ɬaːɬkojoːt͡ɬ
tlalli	t͡ɬaːlːi
tlaloc	t͡ɬáːlok
tlalohqueh	t͡ɬaːlóʔkeʔ
tlaltetontli	t͡ɬaːɬtetoːnt͡ɬi
tlamatzohualcaxitl	t͡ɬamaːt͡sowaɬkáʃit͡ɬ
tlamatzohualli	t͡ɬamaːt͡sowálːi
tlanomitl	t͡ɬanomit͡ɬ
tlaoctacaantli	t͡ɬaoktakaaːnt͡ɬi
tlateochihualatl	t͡ɬateoːt͡ʃiːwalaːt͡ɬ
tlateochihuallaxcalli	t͡ɬateoːt͡ʃiːwalːaʃkálːi
tlatlapoloniton	t͡ɬat͡ɬapoːloːnitoːn
tlatlatlahtlalilli	t͡ɬat͡ɬat͡ɬaʔt͡ɬaːliːlːi
tlatquihuah	t͡ɬatkíwaʔ
tlatquihuahqueh	t͡ɬatkiwáʔkeʔ
tlattoyan	t͡ɬat̚tóːjaːn̥
tlaxcalatolli	t͡ɬaʃkalaːtoːlːi
tlaxcalchiquihuitl	t͡ɬaʃkaɬt͡ʃikiwit͡ɬ
tlaxcalli	t͡ɬaʃkalːi
tlaxcalmimilyahualtontli	t͡ɬaʃkaɬmimiɬjawaɬtoːnt͡ɬi
tlaxcaltexcalli	t͡ɬaʃkaɬteʃkalːi
tlaxtlahuileh	t͡ɬaʃt͡ɬaːwiːleʔ
tlaxtlahuilehqueh	t͡ɬaʃt͡ɬaːwiːleʔkeʔ
tlaxtlahuilli	t͡ɬaʃt͡ɬaːwiːlːi
tlaxtlahuiltontli	t͡ɬaʃt͡ɬaːwiːɬtoːnt͡ɬi
tlazolli	t͡ɬasoːlːi
tlazolloh	t͡ɬasoːlːoʔ
tlazololololoni	t͡ɬasoːloloːloːloːni
tlazololololoniton	t͡ɬasoːloloːloːloːnitoːn
tleatoyatl	t͡ɬeaːtojat͡ɬ
tlecalli	t͡ɬekalːi
tlecuiltontli	t͡ɬekʷiːɬtoːnt͡ɬi
tletepiton	t͡ɬetepitoːn
tletl	t͡ɬét͡ɬ
tletontli	t͡ɬetoːnt͡ɬi
tletzintli	t͡ɬet͡sínt͡ɬi
tlilatl	t͡ɬíːlaːt͡ɬ
tliltetl	t͡ɬíːɬtet͡ɬ
tlilxochitl	t͡ɬiːɬʃóːt͡ʃit͡ɬ
tocaamatl	toːkaːaːmat͡ɬ
tocal	tokaɬ
tochahuanahuan	tot͡ʃaːwanáːwan̥
tochahuanan	tot͡ʃaːwánaːn̥
tochan	tót͡ʃaːn
tochcalli	toːt͡ʃkalːi
tochil	tót͡ʃiːɬ
tochimal	tot͡ʃíːmaɬ
tochohmitl	toːt͡ʃoʔmit͡ɬ
tochtepiton	toːt͡ʃtepitoːn
tochtli	toːt͡ʃt͡ɬi
tocih	tósiʔ
tocihuahuan	tosiwáːwaːn
tococohuan	tokokówaːn
tocuic	tókʷiːk
tocuitl	tókʷit͡ɬ
toltecatontli	toːɬteːkatóːnt͡ɬi
tomatl	tómatɬ
tomazahuan	tomasáːwaːn
tomin	tómiːn
tominchiuhqui	tomiːnt͡ʃiːwki
tomiquiz	tomíkis
tomiyo	tomíjo
tonacayo	tonakájo
tonahuan	tonáːwaːn̥
tonahuatlahtol	tonaːwat͡ɬáʔtoːɬ
tonalchilli	toːnaɬt͡ʃiːlːi
tonalco	toːnaɬko
tonallan	toːnalːaːn
tonalpohualli	toːnaɬpoːwalːi
tonalpouhqueh	toːnaɬpoːʍkeʔ
tonalpouhqui	toːnaɬpoːʍki
tonan	tónaːn
tonantzin	tonáːnt͡sin
tonatiuhyoh	toːnatiʍjoʔ
tonoch	tónoːt͡ʃ
topitl	topit͡ɬ
topitzin	topit͡sin
totah	tótaʔ
totahhuan	totáʔwaːn
totec	tóteːkʷ
totecon	totékon
totecuiyo	toteːkʷíjo
toteohuan	toteóːwaːn
toteopixcahuan	toteoːpiʃkaːwaːn
toteopixcauh	toteoːpíʃkaːʍ
toteouh	tóteʍ
totepeuh	totépeːʍ
totiyanquiz	totijáːŋkis
totlacahuan	tot͡ɬaːkáwaːn
totlacauh	tot͡ɬáːkaʍ
totlahtohcatzin	totlaʔtoʔkáːt͡sin̥
totlahtohcauh	totlaʔtóʔkaːʍ
totlahtol	tot͡ɬáʔtoːɬ
totochiquihuitl	toːtoːt͡ʃikiwit͡ɬ
totoconetl	toːtoːkoneːt͡ɬ
totolayotl	toːtoɬaːjoːt͡ɬ
totolcalli	toːtoɬkalːi
totolcuitlatl	toːtoɬkʷit͡ɬat͡ɬ
totolmolli	toːtoɬmoːlːi
totoltecahcalli	toːtoɬtekaʔkalːi
totolteehuatl	toːtoɬteeːwat͡ɬ
totoltemolli	toːtoɬtemoːlːi
totoltetl	toːtoɬtet͡ɬ
totomatlatl	toːtoːmaːt͡ɬat͡ɬ
totomeh	toːtoːmeʔ
totomicqui	toːtoːmikki
tototapahzolli	toːtoːtapaʔsolːi
tototecaxtli	toːtoːtekaʃt͡ɬi
tototepiton	toːtoːtepitoːn
tototetl	toːtoːtet͡ɬ
tototontli	toːtoːtóːnt͡ɬi
tozampotzalli	toːsampoːt͡salːi
tzapa	t͡sapa
tzapaton	t͡sapatoːn
tzapatzin	t͡sapat͡sin
tzilacayohtli	t͡silakaːjoʔt͡ɬi
tzipitl	t͡sipit͡ɬ
xacalli	ʃakálːi
xahcaltontli	ʃaʔkaɬtoːnt͡ɬi
xallah	ʃaːlːaʔ
xaltetlah	ʃaːɬtet͡ɬaʔ
xamixcalchihualoyan	ʃamiʃkaɬt͡ʃiːwaloːjaːn
xamixcalcopinaloyan	ʃamiʃkaɬkopiːnaloːjaːn
xamixcalli	ʃamiʃkalːi
xamixcaltepantli	ʃamiʃkaɬtepaːnt͡ɬi
xamixcaltexcalli	ʃamiʃkaɬteʃkalːi
xicama	ʃiːkama
xicmecayotl	ʃiːkmekajoːt͡ɬ
xicohcuitlaocochiuhqui	ʃiːkoʔkʷit͡ɬaokoːt͡ʃiːʍki
xicohcuitlaocotl	ʃiːkoʔkʷit͡ɬaokoːt͡ɬ
xicohcuitlatl	ʃiːkoʔkʷit͡ɬat͡ɬ
xilotlah	ʃiːloːt͡ɬaʔ
xipintontli	ʃipintoːnt͡ɬi
xiuhtlahcuiloh	ʃiʍt͡ɬaʔkʷíloʔ
xiuhtlahcuilohqueh	ʃiʍt͡ɬaʔkʷilóʔkeʔ
xochichinancalli	ʃoːt͡ʃit͡ʃinaːŋkalːi
xochihcualcuahuitl	ʃoːt͡ʃiʔkʷaɬkʷawit͡ɬ
xochihcualcuauhtlah	ʃoːt͡ʃiʔkʷaɬkʷaʍt͡ɬaʔ
xochihcualli	ʃoːt͡ʃiʔkʷálːi
xochimicqueh	ʃoːt͡ʃimikkeʔ
xochimicqui	ʃoːt͡ʃimikki
xochincuahuitl	ʃoːt͡ʃiŋkʷáwit͡ɬ
xochiyoh	ʃoːt͡ʃijoʔ
xoconochnohpalli	ʃokonoːt͡ʃnoʔpalːi
xoconochtli	ʃokonoːt͡ʃt͡ɬi
xocotexxoh	ʃokoteʃoʔ
xolo	ʃoːlo
xoloitzcuintli	ʃolot͡skʷint͡ɬi
xolotl	ʃoːloːt͡ɬ
xoloton	ʃoːloːtoːn
xopilchicuace	ʃopiɬt͡ʃikʷase
xoxotla	ʃoʃoːt͡ɬa
xoxotlameh	ʃoʃoːt͡ɬameʔ
xoxotlaton	ʃoʃoːt͡ɬatoːn
yacacuitlatl	jakakʷit͡ɬat͡ɬ
yacacuitleh	jakakʷit͡ɬeʔ
yacatotonaton	jakatotonatoːn
yacaxihuitl	jakaʃiwit͡ɬ
yaoacalli	jaːoːwaːkalːi
yaocalli	yaːoːkalːi
yaoyotl	jaːóːjoːt͡ɬ
yecatl	jeːkaːt͡ɬ
yeliztli	jelist͡ɬi
yohualahhuachtli	jowalaʔwat͡ʃt͡ɬi
yohualahhuechtli	jowalaʔwet͡ʃt͡ɬi
yolcatlaxcalli	yoːɬkaːt͡ɬaʃkálːi
yolilizatl	joːlilísaːt͡ɬ
yoliliztlaxcalli	joːlilist͡ɬaʃkálːi
yoliliztli	joːlilíst͡ɬi
yollohtli	joːlːoʔt͡ɬi
yollohxochitl	joːlːoʔʃoːt͡ʃit͡ɬ
yāōtl	jáːoːtɬ
zacamecatl	sakamekat͡ɬ
zacaocuilin	sakaokʷilin
zacatlah	sakat͡ɬaʔ
zacayaman	sakajámaːn̥
zacayamanqui	sakajamáːŋki
zahzacatlah	saʔsakat͡ɬaʔ
zotolcactli	soːtoɬkakt͡ɬi
zotollah	soːtolːaʔ
zoyacapolin	soːjakapolin
zoyacuahuitl	soːjakʷawit͡ɬ
zoyacuauhtlah	soːjakʷaʍt͡ɬaʔ
zoyatanahtontli	soːjatanaʔtoːnt͡ɬi
zoyatepiton	soːjatepitoːn
zoyatl	soːjat͡ɬ
zoyatlah	soːjat͡ɬaʔ
āxōlōtl	aːʃóːloːt͡ɬ
