abad	a b a t̚
realitas	r e a l i t a s
reanimasi	r e a n i m a s i
rekayasa	r e k a j a s a
rekening	r ɛ k ə n i ŋ
reksa	r ə k s a
rektor	r ɛ k t o r
rem	r ɛ m
rengo	r e n ɡ o
renten	r ɛ n t ə n
resep	r ə s ɛ p
resi	r ə s i
resmi	r ə s m i
resusitasi	r e s u s i t a s i
retensi	r ə t ɛ n s i
rezeki	r ə z ə k i
riba	r i b a
risiko	r i s i k o
riskan	r i s k a n
ritme	r i t m ə
rokade	r o k a d ə
roman	r o m a n
romusa	r o m u s a
romusha	r o m u ʃ a
romusya	r o m u ʃ a
rusak	r u s a k̚
rusak	r u s a ʔ
saat	s a ʔ a t
sabo	s a b o
sabun	s a b u n
sadu	s a d u
sahaya	s a h a j a
saja	s a d ʒ a
sake	s a k e
sakelar	s a k ə l a r
sakit	s a k i t
sakti	s a k t i
sal	s a l
salah	s a l a h
sama	s a m a
samcan	s a m t͡ʃ a n
samurai	s a m u r a i
sancan	s a n t͡ʃ a n
sancan	s a ɲ t͡ʃ a n
sangat	s a ŋ a t
sangga	s a ŋ ɡ a
sangka	s a ŋ k a
sangsi	s a ŋ s i
sanksi	s a ŋ s i
sarana	s a r a n a
sasana	s a s a n a
satori	s a t o r i
satu	s a t u
satuan	s a t u a n
satwa	s a t̚ w a
saudara	s a u̯ d a r a
saudari	s a u̯ d a r i
saya	s a j a
sedap	s ə d a p̚
segel	s ɛ ɡ ə l
sehat	s ɛ h a t̚
sein	s e ɪ̯ n
seinendan	s e i n e n d a n
sekak	s ə k a k
sekali	s ə k a l i
seko	s e k o
seko	s ə k o
seko	s ɛ k o
sekong	s e k o ŋ
sekring	s e k r ɪ ŋ
sekrup	s ə k r u p
seksi	s ɛ k s i
selalu	s ə l a l u
semen	s ə m ɛ n
semen	s ɛ m ɛ n
seminar	s ə m i n a r
seminari	s ɛ m i n a r i
semir	s ə m i r
sempoa	s ə m p o a
sempurna	s ə m p u r n a
semua	s ə m u a
sengsai	s ə ŋ s a i
sengsai	s ɛ ŋ s a i
sengsara	s ə ŋ s a r a
senin	s ə n ɪ n
sensei	s e n s e i
senter	s ɛ n t ə r
sentosa	s ə n t o s a
sentral	s ɛ n t r a l
seorang	s ə o r a ŋ
sepatu	s ə p a t u
sepeda	s ə p ɛ d a
seprai	s ə p r a i
seprei	s ə p r e i
september	s ɛ p̚ t ɛ m b ə r
sepur	s ə p u r
serdadu	s ə r d a d u
seremoni	s e r e m o n i
seri	s e r i
seri	s ə r i
sertifikat	s e r t i f i k a t
sertifikat	s e r t i p i k a t
setolop	s ə t ɔ l ɔ p
setra	s ɛ t r a
setrap	s ə t r a p
setrum	s ə t r ʊ m
setuju	s ə t u d͡ʒ u
shinto	ʃ i n t o
shogun	ʃ o ɡ u n
sialan	s i a l a n
sijil	s i d͡ʒ ɪ l
silam	s i l a m
singapura	s i ŋ a p u r a
singgasana	s i ŋ ɡ a s a n a
singse	s i ŋ s ə
sinse	s i n s e
sipil	s i p ɪ l
sirkuler	s ɪ r k u l ɛ r
skema	s ə k e m a
skim	s ə k ɪ m
slang	s ə l a ŋ
soang	s o a̯ ŋ
soba	s o b a
sopir	s o p ɪ r
spanduk	s ə p a n d ʊ k̚
spaning	s p a n i ŋ
sporadis	s p o r a d ɪ s
sprei	s ə p r e i
sri	s ə r i
staf	s t a f
stasi	s t a s i
stasiun	s ə̆ t a s i u n
step	s ə t ɛ p
stoples	s t ɔ p l ɛ s
stoples	s ə t ɔ p l ɛ s
stroberi	s t r o b ɛ r i
suami	s u a̯ m i
suara	s u a r a
subuco	s u b u t͡ʃ o
suci	s u t͡ʃ i
sudoku	s u d o k u
suf	s ʊ f
suiseki	s u i s e k i
suka	s u k a
sumo	s u m o
surabaya	s u r a b a j a
surakarta	s u r a k a r t a
surga	s u r ɡ a
survei	s ʊ r v e i̯
surya	s u r j a
suster	s u s t ə r
susyi	s u ʃ i
sutra	s u t r a
swasta	s w a s t a
swatantra	s ʋ a t a n t r a
syah	ʃ a h
syahadat	ʃ a h a d a t̚
syahbandar	ʃ a h b a n d a r
syogun	ʃ o ɡ u n
syogun	ʃ ɔ ɡ u n
syuriken	ʃ u r i k ɛ n
tabel	t a b ə l
tabel	t a b ɛ l
tabelaris	t a b ə l a r ɪ s
tabib	t a b ɪ p̚
tahu	t a h u
tahu	t a u̯
tahun	t a h ʊ n
taiso	t a i s o
takeyari	t a k e y a r i
takhta	t a x t a
takoyaki	t a k o y a k i
takraw	t a k̚ r a u̯
takraw	t a k̚ r a w
taksi	t a k̚ s i
takut	t a k u t
tampil	t a m p i l
tanah	t a n a h
tangan	t a ŋ a n
tante	t a n t ə
tapa	t a p a
tar	t a r
taring	t a r i ŋ
taruna	t a r u n a
tas	t a s
tatap	t a t a p̚
teh	t ɛ h
tekidanto	t ɛ k i d a n t o
tekor	t ə k o r
telaah	t ə l a a h
telepon	t ɛ l ɛ p ɔ n
televisi	t e l e v i s i
tempo	t e m p o
tempura	t ə m p u r a
tensi	t ɛ n s i
tentang	t ə n t a ŋ
tentara	t ə n t a r a
teori	t e o r i
tepat	t ə p a t
ter	t ɛ r
teraniaya	t ə r a n i a j a
teriyaki	t ɛ r i j a k i
terjemah	t e r d ʒ e m a h
terjemah	t æ r d ʒ æ m ʌ h
terjemah	t ə r d ʒ ə m a h
terjemah	t ɛ r d ʒ ɛ m a h
terwelu	t ə r w ɛ l u
tidur	t i d u r
tiga	t i ɡ a
tinggal	t i ŋ ɡ a l
tinggi	t i ŋ ɡ i
tinta	t i n t a
tirani	t i r a n i
tirta	t i r t a
tobang	t o b a ŋ
tobiko	t o b i k o
tofu	t o f u
toilet	t o i̯ l ɛ t̚
toko	t o k o
tol	t o l
tromol	t r o m o l
tsuru	ʃ u r u
tua	t u a
tuas	t u a s
tuhan	t u h a n
tuntut	t u n t ʊ t
tustel	t u s t ɛ l
udon	u d o n
umami	u m a m i
unta	ʊ n t a
upacara	u p a t͡ʃ a r a
upawasa	u p a w a s a
usada	u s a d a
uskup	u s k ʊ p
utan	u t a n
vetsin	v ɛ t s i n
vetsin	v ɛ t ʃ i n
visite	v i s i t ə
vokal	v o k a l
wafat	w a f a t̚
wagyu	w a ɡʲ u
wahana	w a h a n a
wajah	w a d͡ʒ a h
waktu	w a k t u
wali	w a l i
wana	w a n a
wanara	w a n a r a
wangsa	w a ŋ s a
wanita	w a n i t a
wanprestasi	w a n p r e s t a s i
warsa	w a r s a
waruna	w a r u n a
wasabi	w a s a b i
wasbak	w a s b a k̚
wazari	w a z a r i
weker	w ɛ k ə r
wicara	w i t͡ʃ a r a
widyaiswara	w i d j a i s ʋ a r a
wihara	w i h a r a
wilapa	w i l a p a
wilayah	w i l aː y ɑː
wira	w i r a
wol	w o l
wol	w ɔ l
wortel	w o r t ə l
wreda	w r ə d a
yakitori	j a k i t o r i
yen	j e n
yen	j ɛ n
yogyakarta	j o ɡ j a k a r t a
yuyitsu	j u j i t s u
zen	z ɛ n
ᬤᬾᬰ	d e s ə
