a	ɒ
elnevezés	ɛ l n ɛ v ɛ z eː ʃ
elnyer	ɛ l ɲ ɛ r
elnyom	ɛ l ɲ o m
elnyomó	ɛ l ɲ o m oː
elnéptelenedés	ɛ l n eː p t ɛ l ɛ n ɛ d eː ʃ
elnéz	ɛ l n eː z
elnézés	ɛ l n eː z eː ʃ
elnézést	ɛ l n eː z eː ʃ t
elnéző	ɛ l n eː z øː
elnézőbb	ɛ l n eː z øː bː
elnök	ɛ l n ø k
elnöke	ɛ l n ø k ɛ
elnöki	ɛ l n ø k i
elnökjelöltség	ɛ l n ø k j ɛ l ø l t͡ʃ eː ɡ
elnökjelöltségek	ɛ l n ø k j ɛ l ø l t͡ʃ eː ɡ ɛ k
elnökség	ɛ l n ø k ʃ eː ɡ
elnöksége	ɛ l n ø k ʃ eː ɡ ɛ
elnökségi	ɛ l n ø k ʃ eː ɡ i
elnökválasztás	ɛ l n ø k v aː l ɒ s t aː ʃ
elnökének	ɛ l n ø k eː n ɛ k
elnökét	ɛ l n ø k eː t
elnökével	ɛ l n ø k eː v ɛ l
elnökök	ɛ l n ø k ø k
elnököt	ɛ l n ø k ø t
elolvas	ɛ l o l v ɒ ʃ
elolvashat	ɛ l o l v ɒ ʃ h ɒ t
elolvashatni	ɛ l o l v ɒ ʃ h ɒ t n i
elolvasni	ɛ l o l v ɒ ʃ n i
elosztó	ɛ l o s t oː
elpaterol	ɛ l p ɒ t ɛ r o l
elpirul	ɛ l p i r u l
elpusztul	ɛ l p u s t u l
elpusztít	ɛ l p u s t iː t
elpárolog	ɛ l p aː r o l o ɡ
elpárologtat	ɛ l p aː r o l o k t ɒ t
elrabol	ɛ rː ɒ b o l
elragadtat	ɛ rː ɒ ɡ ɒ tː ɒ t
elragadtatja	ɛ rː ɒ ɡ ɒ tː ɒ cː ɒ
elrejt	ɛ rː ɛ j t
elrejtés	ɛ rː ɛ j t eː ʃ
elrendel	ɛ rː ɛ n d ɛ l
elrendez	ɛ rː ɛ n d ɛ z
elrepül	ɛ rː ɛ p y l
elrettent	ɛ rː ɛ tː ɛ n t
elrettentés	ɛ rː ɛ tː ɛ n t eː ʃ
elront	ɛ rː o n t
elsajátítás	ɛ l ʃ ɒ j aː t iː t aː ʃ
elsajátítása	ɛ l ʃ ɒ j aː t iː t aː ʃ ɒ
elseje	ɛ l ʃ ɛ j ɛ
elsején	ɛ l ʃ ɛ j eː n
elsodor	ɛ l ʃ o d o r
elszalaszt	ɛ l s ɒ l ɒ s t
elszenved	ɛ l s ɛ ɱ v ɛ d
elszigeteltség	ɛ l s i ɡ ɛ t ɛ l t͡ʃ eː ɡ
elszánt	ɛ l s aː n t
elszántabb	ɛ l s aː n t ɒ bː
elszív	ɛ l s iː v
elszívó	ɛ l s iː v oː
elszólás	ɛ l s oː l aː ʃ
elszólások	ɛ l s oː l aː ʃ o k
elsötétít	ɛ l ʃ ø t eː t iː t
elsüllyed	ɛ l ʃ y jː ɛ d
elsüllyeszt	ɛ l ʃ y jː ɛ s t
elsüllyeszthetetlen	ɛ l ʃ y jː ɛ s t h ɛ t ɛ t l ɛ n
első	ɛ l ʃ øː
elsőbb	ɛ l ʃ øː bː
elsőbe	ɛ l ʃ øː b ɛ
elsőben	ɛ l ʃ øː b ɛ n
elsőből	ɛ l ʃ øː b øː l
elsődleges	ɛ l ʃ øː d l ɛ ɡ ɛ ʃ
elsődlegesen	ɛ l ʃ øː d l ɛ ɡ ɛ ʃ ɛ n
elsőhöz	ɛ l ʃ øː ɦ ø z
elsőig	ɛ l ʃ øːʲ i ɡ
elsők	ɛ l ʃ øː k
elsőkbe	ɛ l ʃ øː ɡ b ɛ
elsőkben	ɛ l ʃ øː ɡ b ɛ n
elsőkből	ɛ l ʃ øː ɡ b øː l
elsőket	ɛ l ʃ øː k ɛ t
elsőkhöz	ɛ l ʃ øː k h ø z
elsőkig	ɛ l ʃ øː k i ɡ
elsőkkel	ɛ l ʃ øː kː ɛ l
elsőkké	ɛ l ʃ øː kː eː
elsőkként	ɛ l ʃ øː kː eː n t
elsőknek	ɛ l ʃ øː k n ɛ k
elsőknél	ɛ l ʃ øː k n eː l
elsőkre	ɛ l ʃ øː k r ɛ
elsőkről	ɛ l ʃ øː k r øː l
elsőktől	ɛ l ʃ øː k t øː l
elsőként	ɛ l ʃ øː k eː n t
elsőkért	ɛ l ʃ øː k eː r t
elsőkön	ɛ l ʃ øː k ø n
elsőn	ɛ l ʃ øː n
elsőnek	ɛ l ʃ øː n ɛ k
elsőnél	ɛ l ʃ øː n eː l
elsőre	ɛ l ʃ øː r ɛ
elsőről	ɛ l ʃ øː r øː l
elsősegély	ɛ l ʃ øː ʃ ɛ ɡ eː j
elsősegélyek	ɛ l ʃ øː ʃ ɛ ɡ eː j ɛ k
elsősorban	ɛ l ʃ øː ʃ o r b ɒ n
elsőt	ɛ l ʃ øː t
elsőtől	ɛ l ʃ øː t øː l
elsővel	ɛ l ʃ øː v ɛ l
elsővé	ɛ l ʃ øː v eː
elsőért	ɛ l ʃ øːʲ eː r t
eltakarodik	ɛ l t ɒ k ɒ r o d i k
elte	ɛ l t ɛ
eltelik	ɛ l t ɛ l i k
elterjed	ɛ l t ɛ r j ɛ d
elterjedt	ɛ l t ɛ r j ɛ tː
elterjedtebb	ɛ l t ɛ r j ɛ tː ɛ bː
elterjedés	ɛ l t ɛ r j ɛ d eː ʃ
eltolás	ɛ l t o l aː ʃ
eltolások	ɛ l t o l aː ʃ o k
eltávolít	ɛ l t aː v o l iː t
eltávolítás	ɛ l t aː v o l iː t aː ʃ
eltávozás	ɛ l t aː v o z aː ʃ
eltávozások	ɛ l t aː v o z aː ʃ o k
eltér	ɛ l t eː r
eltérés	ɛ l t eː r eː ʃ
eltérések	ɛ l t eː r eː ʃ ɛ k
eltérő	ɛ l t eː r øː
eltérőbb	ɛ l t eː r øː bː
eltéved	ɛ l t eː v ɛ d
eltévedtem	ɛ l t eː v ɛ tː ɛ m
eltör	ɛ l t ø r
eltüntet	ɛ l t y n t ɛ t
eltűnik	ɛ l t yː n i k
eltűnt	ɛ l t yː n t
elutasít	ɛ l u t ɒ ʃ iː t
elutasító	ɛ l u t ɒ ʃ iː t oː
elv	ɛ l v
elvadul	ɛ l v ɒ d u l
elvadult	ɛ l v ɒ d u l t
elve	ɛ l v ɛ
elved	ɛ l v ɛ d
elvei	ɛ l v ɛʲ i
elveid	ɛ l v ɛʲ i d
elveik	ɛ l v ɛʲ i k
elveim	ɛ l v ɛʲ i m
elveink	ɛ l v ɛʲ i ŋ k
elveitek	ɛ l v ɛʲ i t ɛ k
elvek	ɛ l v ɛ k
elvem	ɛ l v ɛ m
elven	ɛ l v ɛ n
elver	ɛ l v ɛ r
elverné	ɛ l v ɛ r n eː
elverte	ɛ l v ɛ r t ɛ
elvesz	ɛ l v ɛ s
elveszejt	ɛ l v ɛ s ɛ j t
elveszett	ɛ l v ɛ s ɛ tː
elveszik	ɛ l v ɛ s i k
elveszni	ɛ l v ɛ s n i
elveszt	ɛ l v ɛ s t
elveszteget	ɛ l v ɛ s t ɛ ɡ ɛ t
elveszthet	ɛ l v ɛ s t h ɛ t
elvesztheti	ɛ l v ɛ s t h ɛ t i
elveszti	ɛ l v ɛ s t i
elvesztés	ɛ l v ɛ s t eː ʃ
elvesztése	ɛ l v ɛ s t eː ʃ ɛ
elveszít	ɛ l v ɛ s iː t
elveszítettük	ɛ l v ɛ s iː t ɛ tː y k
elvet	ɛ l v ɛ t
elvetek	ɛ l v ɛ t ɛ k
elveti	ɛ l v ɛ t i
elvetve	ɛ l v ɛ t v ɛ
elvetél	ɛ l v ɛ t eː l
elvi	ɛ l v i
elvileg	ɛ l v i l ɛ ɡ
elvilágiasodás	ɛ l v i l aː ɡ iʲ ɒ ʃ o d aː ʃ
elvilágiasodások	ɛ l v i l aː ɡ iʲ ɒ ʃ o d aː ʃ o k
elvisel	ɛ l v i ʃ ɛ l
elviselhetetlen	ɛ l v i ʃ ɛ l ɦ ɛ t ɛ t l ɛ n
elviselni	ɛ l v i ʃ ɛ l n i
elvonszol	ɛ l v o n s o l
elvont	ɛ l v o n t
elvontság	ɛ l v o n t͡ʃ aː ɡ
elvontságok	ɛ l v o n t͡ʃ aː ɡ o k
elvonás	ɛ l v o n aː ʃ
elvonások	ɛ l v o n aː ʃ o k
elvtárs	ɛ l f t aː r ʃ
elvtársak	ɛ l f t aː r ʃ ɒ k
elvtársnő	ɛ l f t aː r ʃ n øː
elvtársnők	ɛ l f t aː r ʃ n øː k
elvág	ɛ l v aː ɡ
elválaszt	ɛ l v aː l ɒ s t
elválaszthatatlan	ɛ l v aː l ɒ s t h ɒ t ɒ t l ɒ n
elválasztás	ɛ l v aː l ɒ s t aː ʃ
elválik	ɛ l v aː l i k
elvált	ɛ l v aː l t
elvámolnivaló	ɛ l v aː m o l n i v ɒ l oː
elvár	ɛ l v aː r
elvárható	ɛ l v aː r ɦ ɒ t oː
elvárosiasodás	ɛ l v aː r o ʃ iʲ ɒ ʃ o d aː ʃ
elvárás	ɛ l v aː r aː ʃ
elvárásai	ɛ l v aː r aː ʃ ɒʲ i
elvárások	ɛ l v aː r aː ʃ o k
elvárásokat	ɛ l v aː r aː ʃ o k ɒ t
elvárásoknak	ɛ l v aː r aː ʃ o k n ɒ k
elvégez	ɛ l v eː ɡ ɛ z
elvégezhető	ɛ l v eː ɡ ɛ s h ɛ t øː
elvégre	ɛ l v eː ɡ r ɛ
elvégzés	ɛ l v eː ɡ z eː ʃ
elvégzése	ɛ l v eː ɡ z eː ʃ ɛ
elvégzésére	ɛ l v eː ɡ z eː ʃ eː r ɛ
elvérzik	ɛ l v eː r z i k
elvész	ɛ l v eː s
elvét	ɛ l v eː t
elvétve	ɛ l v eː t v ɛ
elvük	ɛ l v y k
elvünk	ɛ l v y ŋ k
elzsibbad	ɛ l ʒ i bː ɒ d
elájul	ɛ l aː j u l
eláll	ɛ l aː lː
elállni	ɛ l aː l n i
elálmosít	ɛ l aː l m o ʃ iː t
elárul	ɛ l aː r u l
elárulnád	ɛ l aː r u l n aː d
elárulta	ɛ l aː r u l t ɒ
elás	ɛ l aː ʃ
elássa	ɛ l aː ʃː ɒ
elé	ɛ l eː
elébe	ɛ l eː b ɛ
elébed	ɛ l eː b ɛ d
elébem	ɛ l eː b ɛ m
elébetek	ɛ l eː b ɛ t ɛ k
elébük	ɛ l eː b y k
elébünk	ɛ l eː b y ŋ k
eléd	ɛ l eː d
elég	ɛ l eː ɡ
elégbe	ɛ l eː ɡ b ɛ
elégben	ɛ l eː ɡ b ɛ n
elégből	ɛ l eː ɡ b øː l
elégedetlen	ɛ l eː ɡ ɛ d ɛ t l ɛ n
elégedetlenkedik	ɛ l eː ɡ ɛ d ɛ t l ɛ ŋ k ɛ d i k
elégedetlenség	ɛ l eː ɡ ɛ d ɛ t l ɛ n ʃ eː ɡ
elégedett	ɛ l eː ɡ ɛ d ɛ tː
elégedettebb	ɛ l eː ɡ ɛ d ɛ tː ɛ bː
elégedetten	ɛ l eː ɡ ɛ d ɛ tː ɛ n
elégedik	ɛ l eː ɡ ɛ d i k
elégedve	ɛ l eː ɡ ɛ d v ɛ
elégen	ɛ l eː ɡ ɛ n
eléggel	ɛ l eː ɡː ɛ l
eléggé	ɛ l eː ɡː eː
eléghez	ɛ l eː k h ɛ z
elégia	ɛ l eː ɡ iʲ ɒ
elégig	ɛ l eː ɡ i ɡ
elégiák	ɛ l eː ɡ iʲ aː k
elégként	ɛ l eː kː eː n t
elégnek	ɛ l eː ɡ n ɛ k
elégnél	ɛ l eː ɡ n eː l
elégre	ɛ l eː ɡ r ɛ
elégről	ɛ l eː ɡ r øː l
elégszik	ɛ l eː k s i k
elégséges	ɛ l eː k ʃ eː ɡ ɛ ʃ
elégtelen	ɛ l eː k t ɛ l ɛ n
elégtelenség	ɛ l eː k t ɛ l ɛ n ʃ eː ɡ
elégtétel	ɛ l eː k t eː t ɛ l
elégtől	ɛ l eː k t øː l
elégért	ɛ l eː ɡ eː r t
eléje	ɛ l eː j ɛ
eléjük	ɛ l eː j y k
elém	ɛ l eː m
elénk	ɛ l eː ŋ k
elér	ɛ l eː r
elérem	ɛ l eː r ɛ m
elérhet	ɛ l eː r ɦ ɛ t
elérhetetlen	ɛ l eː r ɦ ɛ t ɛ t l ɛ n
elérhetetlenebb	ɛ l eː r ɦ ɛ t ɛ t l ɛ n ɛ bː
elérhető	ɛ l eː r ɦ ɛ t øː
elérhetőek	ɛ l eː r ɦ ɛ t øː ɛ k
elérhetők	ɛ l eː r ɦ ɛ t øː k
elérhetővé	ɛ l eː r ɦ ɛ t øː v eː
elérkezik	ɛ l eː r k ɛ z i k
elérni	ɛ l eː r n i
elérte	ɛ l eː r t ɛ
elérés	ɛ l eː r eː ʃ
elérése	ɛ l eː r eː ʃ ɛ
eléréséhez	ɛ l eː r eː ʃ eː ɦ ɛ z
elérésére	ɛ l eː r eː ʃ eː r ɛ
elérését	ɛ l eː r eː ʃ eː t
elétek	ɛ l eː t ɛ k
eléír	ɛ l eːʲ iː r
elír	ɛ l iː r
elírás	ɛ l iː r aː ʃ
elírások	ɛ l iː r aː ʃ o k
elízium	ɛ l iː z iʲ u m
elöl	ɛ l ø l
elügyetlenkedik	ɛ l y ɟ ɛ t l ɛ ŋ k ɛ d i k
elő	ɛ l øː
előad	ɛ l øː ɒ d
előadás	ɛ l øː ɒ d aː ʃ
előadása	ɛ l øː ɒ d aː ʃ ɒ
előadásban	ɛ l øː ɒ d aː ʒ b ɒ n
előadások	ɛ l øː ɒ d aː ʃ o k
előadásokat	ɛ l øː ɒ d aː ʃ o k ɒ t
előadást	ɛ l øː ɒ d aː ʃ t
előadásában	ɛ l øː ɒ d aː ʃ aː b ɒ n
előadó	ɛ l øː ɒ d oː
előadói	ɛ l øː ɒ d oːʲ i
előadók	ɛ l øː ɒ d oː k
előadóterem	ɛ l øː ɒ d oː t ɛ r ɛ m
előadótermek	ɛ l øː ɒ d oː t ɛ r m ɛ k
előbb	ɛ l øː bː
előbbi	ɛ l øː bː i
előbbre	ɛ l øː b r ɛ
előbőr	ɛ l øː b øː r
előd	ɛ l øː d
elődök	ɛ l øː d ø k
előfeltétel	ɛ l øː f ɛ l t eː t ɛ l
előfeltételek	ɛ l øː f ɛ l t eː t ɛ l ɛ k
előfizet	ɛ l øː f i z ɛ t
előfizetés	ɛ l øː f i z ɛ t eː ʃ
előfizetések	ɛ l øː f i z ɛ t eː ʃ ɛ k
előfizetési	ɛ l øː f i z ɛ t eː ʃ i
előfizetést	ɛ l øː f i z ɛ t eː ʃ t
előfizető	ɛ l øː f i z ɛ t øː
előfizetői	ɛ l øː f i z ɛ t øːʲ i
előfizetők	ɛ l øː f i z ɛ t øː k
előfordul	ɛ l øː f o r d u l
előfordulás	ɛ l øː f o r d u l aː ʃ
előfordulási	ɛ l øː f o r d u l aː ʃ i
előfutár	ɛ l øː f u t aː r
előfutárok	ɛ l øː f u t aː r o k
előhív	ɛ l øː ɦ iː v
előhívó	ɛ l øː ɦ iː v oː
előirányzat	ɛ l øːʲ i r aː ɲ z ɒ t
előjog	ɛ l øː j o ɡ
előjogok	ɛ l øː j o ɡ o k
előjáték	ɛ l øː j aː t eː k
előkelő	ɛ l øː k ɛ l øː
előkészít	ɛ l øː k eː s iː t
előkészítés	ɛ l øː k eː s iː t eː ʃ
előkészítése	ɛ l øː k eː s iː t eː ʃ ɛ
előkészítő	ɛ l øː k eː s iː t øː
előkészül	ɛ l øː k eː s y l
elől	ɛ l øː l
előle	ɛ l øː l ɛ
előled	ɛ l øː l ɛ d
előleg	ɛ l øː l ɛ ɡ
előlegek	ɛ l øː l ɛ ɡ ɛ k
előlem	ɛ l øː l ɛ m
előletek	ɛ l øː l ɛ t ɛ k
előlük	ɛ l øː l y k
előlünk	ɛ l øː l y ŋ k
előmozdít	ɛ l øː m o z d iː t
előnnyel	ɛ l øː ɲː ɛ l
előny	ɛ l øː ɲ
előnyben	ɛ l øː ɲ b ɛ n
előnye	ɛ l øː ɲ ɛ
előnyei	ɛ l øː ɲ ɛʲ i
előnyeit	ɛ l øː ɲ ɛʲ i t
előnyt	ɛ l øː ɲ t
előnytelen	ɛ l øː ɲ t ɛ l ɛ n
előnyök	ɛ l øː ɲ ø k
előnyökben	ɛ l øː ɲ ø ɡ b ɛ n
előnyöket	ɛ l øː ɲ ø k ɛ t
előnyökkel	ɛ l øː ɲ ø kː ɛ l
előnyös	ɛ l øː ɲ ø ʃ
előre	ɛ l øː r ɛ
előrehalad	ɛ l øː r ɛ ɦ ɒ l ɒ d
előrejelzés	ɛ l øː r ɛ j ɛ l z eː ʃ
előreláthatólag	ɛ l øː r ɛ l aː t h ɒ t oː l ɒ ɡ
előrelépés	ɛ l øː r ɛ l eː p eː ʃ
előrébb	ɛ l øː r eː bː
elősegít	ɛ l øː ʃ ɛ ɡ iː t
elősegíteni	ɛ l øː ʃ ɛ ɡ iː t ɛ n i
elősegítés	ɛ l øː ʃ ɛ ɡ iː t eː ʃ
elősegítése	ɛ l øː ʃ ɛ ɡ iː t eː ʃ ɛ
elősegítő	ɛ l øː ʃ ɛ ɡ iː t øː
előszeretet	ɛ l øː s ɛ r ɛ t ɛ t
előszeretettel	ɛ l øː s ɛ r ɛ t ɛ tː ɛ l
előszoba	ɛ l øː s o b ɒ
előszobák	ɛ l øː s o b aː k
előszó	ɛ l øː s oː
először	ɛ l øː s ø r
előterjeszt	ɛ l øː t ɛ r j ɛ s t
előterjesztés	ɛ l øː t ɛ r j ɛ s t eː ʃ
előterjesztések	ɛ l øː t ɛ r j ɛ s t eː ʃ ɛ k
előterjesztést	ɛ l øː t ɛ r j ɛ s t eː ʃ t
előtt	ɛ l øː tː
előtte	ɛ l øː tː ɛ
előtted	ɛ l øː tː ɛ d
előttem	ɛ l øː tː ɛ m
előttetek	ɛ l øː tː ɛ t ɛ k
előtti	ɛ l øː tː i
előttük	ɛ l øː tː y k
előttünk	ɛ l øː tː y ŋ k
elővigyázatos	ɛ l øː v i ɟ aː z ɒ t o ʃ
elővigyázatosság	ɛ l øː v i ɟ aː z ɒ t o ʃː aː ɡ
előváladék	ɛ l øː v aː l ɒ d eː k
előz	ɛ l øː z
előzetes	ɛ l øː z ɛ t ɛ ʃ
előzetesen	ɛ l øː z ɛ t ɛ ʃ ɛ n
előzmény	ɛ l øː z m eː ɲ
előzmények	ɛ l øː z m eː ɲ ɛ k
előzék	ɛ l øː z eː k
előzékeny	ɛ l øː z eː k ɛ ɲ
előző	ɛ l øː z øː
előzőleg	ɛ l øː z øː l ɛ ɡ
előállít	ɛ l øː aː lː iː t
előállítás	ɛ l øː aː lː iː t aː ʃ
előállítása	ɛ l øː aː lː iː t aː ʃ ɒ
előír	ɛ l øːʲ iː r
előírás	ɛ l øːʲ iː r aː ʃ
előírásai	ɛ l øːʲ iː r aː ʃ ɒʲ i
előírásainak	ɛ l øːʲ iː r aː ʃ ɒʲ i n ɒ k
előírásnak	ɛ l øːʲ iː r aː ʃ n ɒ k
előírások	ɛ l øːʲ iː r aː ʃ o k
előírásokat	ɛ l øːʲ iː r aː ʃ o k ɒ t
előírásoknak	ɛ l øːʲ iː r aː ʃ o k n ɒ k
előítélet	ɛ l øːʲ iː t eː l ɛ t
előítéletek	ɛ l øːʲ iː t eː l ɛ t ɛ k
em.	ɛ m ɛ l ɛ t
email	ɛ m aː j
email	ɛ m aː j l
email	ɛ m ɒʲ i l
emanáció	ɛ m ɒ n aː t͡s iʲ oː
emanációk	ɛ m ɒ n aː t͡s iʲ oː k
ember	ɛ m b ɛ r
emberbarát	ɛ m b ɛ r b ɒ r aː t
emberbe	ɛ m b ɛ r b ɛ
emberben	ɛ m b ɛ r b ɛ n
emberből	ɛ m b ɛ r b øː l
embercsempész	ɛ m b ɛ r t͡ʃ ɛ m p eː s
embere	ɛ m b ɛ r ɛ
embered	ɛ m b ɛ r ɛ d
emberei	ɛ m b ɛ r ɛʲ i
embereid	ɛ m b ɛ r ɛʲ i d
embereik	ɛ m b ɛ r ɛʲ i k
embereim	ɛ m b ɛ r ɛʲ i m
embereink	ɛ m b ɛ r ɛʲ i ŋ k
embereitek	ɛ m b ɛ r ɛʲ i t ɛ k
emberek	ɛ m b ɛ r ɛ k
emberekbe	ɛ m b ɛ r ɛ ɡ b ɛ
emberekben	ɛ m b ɛ r ɛ ɡ b ɛ n
emberekből	ɛ m b ɛ r ɛ ɡ b øː l
embereken	ɛ m b ɛ r ɛ k ɛ n
embereket	ɛ m b ɛ r ɛ k ɛ t
emberekhez	ɛ m b ɛ r ɛ k h ɛ z
emberekig	ɛ m b ɛ r ɛ k i ɡ
emberekkel	ɛ m b ɛ r ɛ kː ɛ l
emberekké	ɛ m b ɛ r ɛ kː eː
emberekként	ɛ m b ɛ r ɛ kː eː n t
embereknek	ɛ m b ɛ r ɛ k n ɛ k
embereknél	ɛ m b ɛ r ɛ k n eː l
emberekre	ɛ m b ɛ r ɛ k r ɛ
emberekről	ɛ m b ɛ r ɛ k r øː l
emberektől	ɛ m b ɛ r ɛ k t øː l
emberekért	ɛ m b ɛ r ɛ k eː r t
emberem	ɛ m b ɛ r ɛ m
emberen	ɛ m b ɛ r ɛ n
emberetek	ɛ m b ɛ r ɛ t ɛ k
embergyűlölet	ɛ m b ɛ r ɟ yː l ø l ɛ t
embergyűlöletek	ɛ m b ɛ r ɟ yː l ø l ɛ t ɛ k
emberhez	ɛ m b ɛ r ɦ ɛ z
emberi	ɛ m b ɛ r i
emberig	ɛ m b ɛ r i ɡ
emberiség	ɛ m b ɛ r i ʃ eː ɡ
emberiséget	ɛ m b ɛ r i ʃ eː ɡ ɛ t
emberke	ɛ m b ɛ r k ɛ
emberkereskedelem	ɛ m b ɛ r k ɛ r ɛ ʃ k ɛ d ɛ l ɛ m
emberkereskedelmektől	ɛ m b ɛ r k ɛ r ɛ ʃ k ɛ d ɛ l m ɛ k t øː l
emberként	ɛ m b ɛ r k eː n t
emberlakatlan	ɛ m b ɛ r l ɒ k ɒ t l ɒ n
embernek	ɛ m b ɛ r n ɛ k
embernél	ɛ m b ɛ r n eː l
emberrablás	ɛ m b ɛ rː ɒ b l aː ʃ
emberrablások	ɛ m b ɛ rː ɒ b l aː ʃ o k
emberre	ɛ m b ɛ rː ɛ
emberrel	ɛ m b ɛ rː ɛ l
emberré	ɛ m b ɛ rː eː
emberről	ɛ m b ɛ rː øː l
embert	ɛ m b ɛ r t
embertan	ɛ m b ɛ r t ɒ n
embertelen	ɛ m b ɛ r t ɛ l ɛ n
embertől	ɛ m b ɛ r t øː l
emberért	ɛ m b ɛ r eː r t
emberöltő	ɛ m b ɛ r ø l t øː
emberük	ɛ m b ɛ r y k
emberül	ɛ m b ɛ r y l
emberünk	ɛ m b ɛ r y ŋ k
embléma	ɛ m b l eː m ɒ
emblémák	ɛ m b l eː m aː k
embriológia	ɛ m b r iʲ o l oː ɡ iʲ ɒ
embriológiai	ɛ m b r iʲ o l oː ɡ iʲ ɒʲ i
embriológus	ɛ m b r iʲ o l oː ɡ u ʃ
embriológusok	ɛ m b r iʲ o l oː ɡ u ʃ o k
embrionális	ɛ m b r iʲ o n aː l i ʃ
embrió	ɛ m b r iʲ oː
embriók	ɛ m b r iʲ oː k
embrión	ɛ m b r iʲ oː n
eme	ɛ m ɛ
emel	ɛ m ɛ l
emelet	ɛ m ɛ l ɛ t
emeletek	ɛ m ɛ l ɛ t ɛ k
emeleteken	ɛ m ɛ l ɛ t ɛ k ɛ n
emeleten	ɛ m ɛ l ɛ t ɛ n
emeletes	ɛ m ɛ l ɛ t ɛ ʃ
emeleti	ɛ m ɛ l ɛ t i
emeletnyi	ɛ m ɛ l ɛ t ɲ i
emelettel	ɛ m ɛ l ɛ tː ɛ l
emelkedett	ɛ m ɛ l k ɛ d ɛ tː
emelkedik	ɛ m ɛ l k ɛ d i k
emelkedés	ɛ m ɛ l k ɛ d eː ʃ
emelkedő	ɛ m ɛ l k ɛ d øː
emelkedők	ɛ m ɛ l k ɛ d øː k
emellett	ɛ m ɛ lː ɛ tː
emelni	ɛ m ɛ l n i
emeltyű	ɛ m ɛ l c yː
emelvény	ɛ m ɛ l v eː ɲ
emelvények	ɛ m ɛ l v eː ɲ ɛ k
emelés	ɛ m ɛ l eː ʃ
emelése	ɛ m ɛ l eː ʃ ɛ
emelések	ɛ m ɛ l eː ʃ ɛ k
ementáli	ɛ m ɛ n t aː l i
emerre	ɛ m ɛ rː ɛ
emesza	ɛ m ɛ s ɒ
emeszai	ɛ m ɛ s ɒʲ i
emez	ɛ m ɛ z
emiatt	ɛ m iʲ ɒ tː
emigráció	ɛ m i ɡ r aː t͡s iʲ oː
emigrációk	ɛ m i ɡ r aː t͡s iʲ oː k
emigrál	ɛ m i ɡ r aː l
emigráns	ɛ m i ɡ r aː n ʃ
emik	ɛ m i k
emil	ɛ m i l
emisszió	ɛ m i sː iʲ oː
emlék	ɛ m l eː k
emléke	ɛ m l eː k ɛ
emlékei	ɛ m l eː k ɛʲ i
emlékek	ɛ m l eː k ɛ k
emlékeket	ɛ m l eː k ɛ k ɛ t
emléket	ɛ m l eː k ɛ t
emlékezet	ɛ m l eː k ɛ z ɛ t
emlékezetek	ɛ m l eː k ɛ z ɛ t ɛ k
emlékezetes	ɛ m l eː k ɛ z ɛ t ɛ ʃ
emlékezetesebb	ɛ m l eː k ɛ z ɛ t ɛ ʃ ɛ bː
emlékezik	ɛ m l eː k ɛ z i k
emlékezni	ɛ m l eː k ɛ z n i
emlékeztet	ɛ m l eː k ɛ s t ɛ t
emlékeztetem	ɛ m l eː k ɛ s t ɛ t ɛ m
emlékeztető	ɛ m l eː k ɛ s t ɛ t øː
emlékeztetőül	ɛ m l eː k ɛ s t ɛ t øː y l
emlékezés	ɛ m l eː k ɛ z eː ʃ
emlékezőtehetség	ɛ m l eː k ɛ z øː t ɛ h ɛ t͡ʃː eː ɡ
emlékirat	ɛ m l eː k i r ɒ t
emlékiratok	ɛ m l eː k i r ɒ t o k
emlékmű	ɛ m l eː k m yː
emléknap	ɛ m l eː k n ɒ p
emlékszel	ɛ m l eː k s ɛ l
emlékszem	ɛ m l eː k s ɛ m
emlékszik	ɛ m l eː k s i k
emléktárgy	ɛ m l eː k t aː r ɟ
emléktárgyak	ɛ m l eː k t aː r ɟ ɒ k
emlékére	ɛ m l eː k eː r ɛ
emlékét	ɛ m l eː k eː t
említ	ɛ m l iː t
említeni	ɛ m l iː t ɛ n i
említett	ɛ m l iː t ɛ tː
említés	ɛ m l iː t eː ʃ
említést	ɛ m l iː t eː ʃ t
emlő	ɛ m l øː
emlőbimbó	ɛ m l øː b i m b oː
emlőrák	ɛ m l øː r aː k
emlős	ɛ m l øː ʃ
emlősállat	ɛ m l øː ʃ aː lː ɒ t
emlősök	ɛ m l øː ʃ ø k
emotikon	ɛ m o t i k o n
emotikonok	ɛ m o t i k o n o k
empirikus	ɛ m p i r i k u ʃ
empirizmus	ɛ m p i r i z m u ʃ
empátia	ɛ m p aː t iʲ ɒ
empátiák	ɛ m p aː t iʲ aː k
empátiás	ɛ m p aː t iʲ aː ʃ
emu	ɛ m u
emulgeál	ɛ m u l ɡ ɛ aː l
emulzió	ɛ m u l z iʲ oː
emulátor	ɛ m u l aː t o r
emulátorok	ɛ m u l aː t o r o k
emészt	ɛ m eː s t
emésztő	ɛ m eː s t øː
emésztőcsatorna	ɛ m eː s t øː t͡ʃ ɒ t o r n ɒ
emésztőcsatornák	ɛ m eː s t øː t͡ʃ ɒ t o r n aː k
emésztőrendszer	ɛ m eː s t øː r ɛ n t s ɛ r
emésztőrendszerek	ɛ m eː s t øː r ɛ n t s ɛ r ɛ k
emír	ɛ m iː r
emírség	ɛ m iː r ʃ eː ɡ
