aba	a b a
douăsprezecea	d o w ə s p r e z e t͡ʃ e̯ a
douășpe	d o w ə ʃ p e
douășpea	d o w ə ʃ p e̯ a
douăzecea	d o w ə z e t͡ʃ e̯ a
douăzeci	d o w ə z e t͡ʃʲ
douăzecilea	d o w ə z e t͡ʃ i l e̯ a
dragon	d r a ɡ o n
dragoste	d r a ɡ o s t e
dragostei	d r a ɡ o s t e j
dramatic	d r a m a t i k
drenaj	d r e n a ʒ
drepnea	d r e p n e̯ a
dreptunghiular	d r e p t u ŋ ɟ u l a r
drogat	d r o ɡ a t
droguri	d r o ɡ u rʲ
dromader	d r o m a d e r
drongo	d r o n ɡ o
dropie	d r o p i e
dubios	d u b i o s
dublu	d u b l u
duios	d u j o s
dulce	d u l t͡ʃ e
dulceag	d u l t͡ʃ e̯ a ɡ
dulceață	d u l t͡ʃ e̯ a t͡s ə
dumesnic	d u m e s n i k
duminică	d u m i n i k ə
dumneaei	d u m n e̯ a j e j
dumnealor	d u m n e̯ a l o r
dumnealui	d u m n e̯ a l u j
dumneata	d u m n e̯ a t a
dumnezeiesc	d u m n e z e j e s k
dumnezeu	d u m n e z e w
dungat	d u ŋ ɡ a t
dur	d u r
dura	d u r a
durea	d u r e̯ a
durere	d u r e r e
dureros	d u r e r o s
dururos	d u r u r o s
duș	d u ʃ
e	e
e	e
e	j e
e	e
e	j e
ea	j a
echilibru	e k i l i b r u
echinocțiu	e k i n o k t s i u̯
ecolog	e k o l o ɡ
ecologă	e k o l o ɡ ə
econom	e k o n o m
economic	e k o n o m i k
economist	e k o n o m i s t
economistă	e k o n o m i s t ə
ecuadorian	e k u a d o r i a n
ecuatorial	e k u a t o r i a l
editorial	e d i t o r j a l
efectiv	e f e k t i v
eficace	e f i k a t͡ʃ e
egal	e ɡ a l
ei	j e j
el	j e l
ele	j e l e
electric	e l e k t r i k
electrician	e l e k t r i t͡ʃ i a n
electriciană	e l e k t r i t͡ʃ i a n ə
electromagnetic	e l e k t r o m a ɡ n e t i k
elefant	e l e f a n t
elementar	e l e m e n t a r
emerit	e m e r i t
emoțional	e m o t͡s i o n a l
empiric	e m p i r i k
enciclopedia	e n t͡ʃ i k l o p e d i j a
enciclopedie	e n t͡ʃ i k l o p e d i j e
englez	e ŋ ɡ l e z
engleze	e ŋ ɡ l e z e
englezești	e ŋ ɡ l e z e ʃ tʲ
enorm	e n o r m
entomolog	e n t o m o l o ɡ
entomologă	e n t o m o l o ɡ ə
epifanie	e p i f a n i j e
episcopal	e p i s k o p a l
eronat	e r o n a t
erpetolog	e r p e t o l o ɡ
erpetologă	e r p e t o l o ɡ ə
estetician	e s t e t i t͡ʃ i a n
esteticiană	e s t e t i t͡ʃ i a n ə
eston	e s t o n
estonian	e s t o n i a n
estoniene	e s t o n i e n e
etcetera	e t t ʃ e t e r a
eterogen	e t e r o d͡ʒ e n
etnolog	e t n o l o ɡ
etnologă	e t n o l o ɡ ə
ețetera	e t͡s e t e r a
europa	e u r o p a
european	e u r o p e̯ a n
evaziv	e v a z i v
evlavios	e v l a v i o s
evreică	e v r e j k ə
evreiesc	e v r e j e s k
evreu	e v r e̯ u
exact	e ɡ z a k t
exagerat	e k s a d͡ʒ e r a t
exasperat	e ɡ z a s p e r a t
excelent	e k s t͡ʃ e l e n t
excepțional	e k s t͡ʃ e p t͡s i o n a l
exclude	e k s k l u d e
exotic	e ɡ z o t i k
experimentat	e k s p e r i m e n t a t
explicativ	e k s p l i k a t i v
exploatare	e k s p l o a t a r e
explozibil	e k s p l o z i b i l
expresie	e k s p r e s i e
exterior	e k s t e r i o r
externa	e k s t e r n a
externa	e k s t e r n a
extraordinar	e k s t r a o r d i n a r
f	f e
f	e f
f	f e
f	e f
fad	f a d
faimos	f a j m o s
fain	f a j n
fals	f a l s
falus	f a l u s
farmacist	f a r m a t͡ʃ i s t
farmacistă	f a r m a t͡ʃ i s t ə
farmacolog	f a r m a k o l o ɡ
farmacologă	f a r m a k o l o ɡ ə
față	f a t s ə
fazan	f a z a n
făcător	f ə k ə t o r
făinos	f ə i n o s
fălcos	f ə l k o s
fățiș	f ə t͡s i ʃ
făurar	f ə w r a r
fâsă	f ɨ s ə
februarie	f e b r u a r i j e
fecioară	f e t͡ʃ j o̯ a r ə
felină	f e l i n ə
feluri	f e l u r i
feluri	f e l u rʲ
felurit	f e l u r i t
femeia	f e m e j a
femeiesc	f e m e j e s k
feminine	f e m i n i n e
ferestruit	f e r e s t r u i t
ferice	f e r i t͡ʃ e
fericirea	f e r i t͡ʃ i r e̯ a
fericit	f e r i t͡ʃ i t
fermecător	f e r m e k ə t o r
fertil	f e r t i l
feudalism	f e u d a l i s m
fier	f j e r
fierăstruit	f i e r ə s t r u i t
fierbincior	f j e r b i n t͡ʃʲ o r
fiert	f j e r t
fiji	f i d͡ʒ i
fijian	f i d͡ʒ i a n
filamentos	f i l a m e n t o s
filantropic	f i l a n t r o p i k
filozofie	f i l o z o f i e
fin	f i n
finisa	f i n i s a
fir	f i r
firav	f i r a v
firav	f i r a v
firesc	f i r e s k
firetic	f i r e t i k
fitolog	f i t o l o ɡ
fitologă	f i t o l o ɡ ə
fizic	f i z i k
fizician	f i z i t͡ʃ i a n
fiziciană	f i z i t͡ʃ i a n ə
fiziolog	f i z i o l o ɡ
fiziologă	f i z i o l o ɡ ə
flamand	f l a m a n d
flamingo	f l a m i n ɡ o
flămând	f l ə m ɨ n d
flămânzi	f l ə m ɨ n z i
flecar	f l e k a r
flexibil	f l e k s i b i l
floare	f l o̯ a r e
floarea	f l o̯ a r e̯ a
flocos	f l o k o s
flor	f l o r
florar	f l o r a r
florentin	f l o r e n t i n
florentina	f l o r e n t i n a
florentină	f l o r e n t i n ə
florentine	f l o r e n t i n e
florentini	f l o r e n t i nʲ
florența	f l o r e n t͡s a
florist	f l o r i s t
floristă	f l o r i s t ə
flotant	f l o t a n t
fluor	f l u o r
fluor	f l o r
foc	f o k
focă	f o k ə
focos	f o k o s
foios	f o j o s
fondator	f o n d a t o r
fonetic	f o n e t i k
forestier	f o r e s t i e r
formal	f o r m a l
format	f o r m a t
formata	f o r m a t a
formata	f o r m a t a
formată	f o r m a t ə
formată	f o r m a t ə
formidabil	f o r m i d a b i l
fosfor	f o s f o r
fosfor	f o s f o r
fotbalist	f o t b a l i s t
fotbalistă	f o t b a l i s t ə
fotoliu	f o t o l j u
fragă	f r a ɡ ə
fraged	f r a d͡ʒ e d
fragil	f r a d͡ʒ i l
fraier	f r a j ɛ r
franc	f r a ŋ k
franceze	f r a n t͡ʃ e z e
franțuz	f r a n t͡s u z
franțuzesc	f r a n t͡s u z e s k
franțuzești	f r a n t͡s u z e ʃ tʲ
frăgezi	f r ə d͡ʒ e z i
frâmbiat	f r ɨ m b i a t
frânge	f r ɨ n d͡ʒ e
frânt	f r ɨ n t
frecvent	f r e k v e n t
frică	f r i k ə
fricos	f r i k o s
friguroasă	f r i ɡ u r o̯ a s ə
friguros	f r i ɡ u r o s
fript	f r i p t
frizeriță	f r i z e r i t͡s ə
frumusețea	f r u m u s e t͡s e̯ a
frunzos	f r u n z o s
fudul	f u d u l
fugaci	f u ɡ a t͡ʃʲ
fugări	f u ɡ ə r i
fugi	f u d͡ʒ i
fulgerător	f u l d͡ʒ e r ə t o r
fumar	f u m a r
fumuriu	f u m u r i w
fundamental	f u n d a m e n t a l
fundaș	f u n d a ʃ
furios	f u r i o s
furtunos	f u r t u n o s
futabil	f u t a b i l
futangiu	f u t a n d͡ʒ i w
futând	f u t ɨ n d
g	ɡ e
g	d ʒ
g	ɡ e
g	d ʒ e
gaiță	ɡ a j t͡s ə
galben	ɡ a l b e n
galfed	ɡ a l f e d
galiu	ɡ a l j u
galvanizat	ɡ a l v a n i z a t
gambă	ɡ a m b ə
garaj	ɡ a r a ʒ
garnizoană	ɡ a r n i z o̯ a n ə
garson	ɡ a r s o n
gastric	ɡ a s t r i k
gata	ɡ a t a
gavial	ɡ a v i a l
gazelă	ɡ a z e l ə
găină	ɡ ə i n ə
gălbiu	ɡ ə l b i w
gălbui	ɡ ə l b u j
găoace	ɡ ə o̯ a t͡ʃ e
găoci	ɡ ə o t͡ʃʲ
găunos	ɡ ə u n o s
gâmba	ɡ ɨ m b a
gând	ɡ ɨ n d
gârbov	ɡ ɨ r b o v
gâscan	ɡ ɨ s k a n
geacă	d ʒ e̯ a k ə
geamăn	d͡ʒ e̯ a m ə n
gelos	d͡ʒ e l o s
genealogist	d͡ʒ e n e a l o d͡ʒ i s t
genealogistă	d͡ʒ e n e a l o d͡ʒ i s t ə
general	d͡ʒ e n e r a l
generic	d ʒ e n e r i k
genetician	d͡ʒ e n e t i t͡ʃ i a n
geneticiană	d͡ʒ e n e t i t͡ʃ i a n ə
geofizician	d͡ʒ e o f i z i t͡ʃ i a n
geofiziciană	d͡ʒ e o f i z i t͡ʃ i a n ə
geograf	d͡ʒ e o ɡ r a f
geografă	d͡ʒ e o ɡ r a f ə
geografic	d͡ʒ e o ɡ r a f i k
geolog	d͡ʒ e o l o ɡ
geologă	d͡ʒ e o l o ɡ ə
geologie	d͡ʒ e o l o d͡ʒ i e
georgian	d͡ʒ e̯ o r d͡ʒ i a n
gerar	d͡ʒ e r a r
geriatră	d͡ʒ e r i a t r ə
geriatru	d͡ʒ e r i a t r u
german	d͡ʒ e r m a n
germană	d͡ʒ e r m a n ə
germaniu	d͡ʒ e r m a n j u
germănar	d͡ʒ e r m ə n a r
ghepard	ɡ e p a r d
ghid	ɡ i d
ghidă	ɡ i d ə
ghimpe	ɡ i m p e
ghinduros	ɟ i n d u r o s
ghionoaie	ɡ i o n o̯ a j e
gimnast	d͡ʒ i m n a s t
gimnastă	d͡ʒ i m n a s t ə
ginecolog	d͡ʒ i n e k o l o ɡ
ginecologă	d͡ʒ i n e k o l o ɡ ə
ginere	d͡ʒ i n e r e
gingaș	d͡ʒ i ŋ ɡ a ʃ
gingaș	d͡ʒ i ŋ ɡ a ʃ
girafa	d͡ʒ i r a f a
girafă	d͡ʒ i r a f ə
glaciolog	ɡ l a t͡ʃ i o l o ɡ
glaciologă	ɡ l a t͡ʃ i o l o ɡ ə
gladiolă	ɡ l a d i o l ə
glandulos	ɡ l a n d u l o s
glas	ɡ l a s
glorificator	ɡ l o r i f i k a t o r
glumă	ɡ l u m ə
gnostic	ɡ n o s t i k
gogoașă	ɡ o ɡ o̯ a ʃ ə
gol	ɡ o l
goni	ɡ o n i
gorilă	ɡ o r i l ə
gospodar	ɡ o s p o d a r
gospodăresc	ɡ o s p o d ə r e s k
gospodină	ɡ o s p o d i n ə
grangur	ɡ r a n ɡ u r
gras	ɡ r a s
grație	ɡ r a t͡s i e
graur	ɡ r a u r
grav	ɡ r a v
gravat	ɡ r a v a t
gravid	ɡ r a v i d
gravidă	ɡ r a v i d ə
gravitațional	ɡ r a v i t a t͡s i o n a l
grădinar	ɡ r ə d i n a r
grădinăreasă	ɡ r ə d i n ə r e̯ a s ə
grădinări	ɡ r ə d i n ə r i
grădiniță	ɡ r ə d i n i t͡s ə
grăsun	ɡ r ə s u n
grăsuț	ɡ r ə s u t͡s
grâu	ɡ r ɨ w
greacă	ɡ r e̯ a k ə
grebla	ɡ r e b l a
grec	ɡ r e k
grecesc	ɡ r e t͡ʃ e s k
gregar	ɡ r e ɡ a r
greoi	ɡ r e o j
greși	ɡ r e ʃ i
grețos	ɡ r e t͡s o s
greu	ɡ r e w
gri	ɡ r i
grijuliu	ɡ r i ʒ u l i w
groaznic	ɡ r o̯ a z n i k
groh	ɡ r o x
gros	ɡ r o s
gruie	ɡ r u j e
guguștiuc	ɡ u ɡ u ʃ t j u k
guraliv	ɡ u r a l i v
gureș	ɡ u r e ʃ
gust	ɡ u s t
gustar	ɡ u s t a r
gustos	ɡ u s t o s
gustul	ɡ u s t u l
guvernamental	ɡ u v e r n a m e n t a l
guvernant	ɡ u v e r n a n t
guvernantă	ɡ u v e r n a n t ə
guvernante	ɡ u v e r n a n t e
guvernanți	ɡ u v e r n a n t͡sʲ
h	h a
h	h a ʃ
h	h
h	h a
h	h a ʃ
haide	h a j d e
haitian	h a i t i a n
halat	h a l a t
ham	h a m
hamster	h a m s t e r
harfă	h a r f ə
harnic	h a r n i k
haț	h a t͡s
hau	h a w
hazardat	h a z a r d a t
hazliu	h a z l i w
hârbui	h ɨ r b u i
hârciog	h ɨ r t͡ʃʲ o ɡ
heliu	h e l j u
hematologie	h e m a t o l o d͡ʒ i e
hering	h e r i ŋ ɡ
heterosexual	h e t e r o s e k s u a l
hidrați	h i d r a t sʲ
hidrogen	h i d r o d͡ʒ e n
hidrolog	h i d r o l o ɡ
hidrologă	h i d r o l o ɡ ə
hiperbolă	h i p e r b o l ə
hipopotam	h i p o p o t a m
hispanic	h i s p a n i k
histologic	h i s t o l o d͡ʒ i k
homofobic	h o m o f o b i k
homosexual	h o m o s e k s u a l
horticultoare	h o r t i k u l t o̯ a r e
horticultor	h o r t i k u l t o r
hotel	h o t e l
hrană	h r a n ə
hristos	h r i s t o s
hrișcă	h r i ʃ k ə
hulit	h u l i t
i	i
ia	j a
iac	j a k
iacă	j a k ə
ianuarie	j a n w a r i j e
iapă	j a p ə
iarnă	j a r n ə
iată	j a t ə
icră	i k r ə
icre	i k r e
identic	i d e n t i k
idiot	i d i o t
ie	i j e
ieftin	j e f t i n
ierbar	j e r b a r
ierbos	j e r b o s
iernatic	j e r n a t i k
iertat	j e r t a t
ieruncă	j e r u ŋ k ə
iezmăciune	j e z m ə t͡ʃ u n e
ihtiolog	i h t i o l o ɡ
ihtiologă	i h t i o l o ɡ ə
ilegal	i l e ɡ a l
iluzoriu	i l u z o r j u
imam	i m a m
imbus	i m b u s
imitare	i m i t a r e
imos	i m o s
impas	i m p a s
imperfect	i m p e r f e k t
imperial	i m p e r i a l
imposibil	i m p o s i b i l
imprecație	i m p r e k a t͡s i e
impredictibil	i m p r e d i k t i b i l
imunolog	i m u n o l o ɡ
imunologă	i m u n o l o ɡ ə
inbus	i n b u s
include	i n k l u d e
incomplet	i ŋ k o m p l e t
incompleta	i ŋ k o m p l e t a
indiferent	i n d i f e r e n t
indispensabil	i n d i s p e n s a b i l
indisponibil	i n d i s p o n i b i l
indonezian	i n d o n e z i a n
indoneziană	i n d o n e z i a n ə
industrial	i n d u s t r j a l
industrializat	i n d u s t r i a l i z a t
inel	i n e l
inelar	i n e l a r
inerție	i n e r t͡s i e
inestetic	i n e s t e t i k
inestimabil	i n e s t i m a b i l
inexplicabil	i n e k s p l i k a b i l
inexprimabil	i n e k s p r i m a b i l
inferior	i n f e r i o r
infirmier	i n f i r m i e r
infirmieră	i n f i r m i e r ə
inflamabil	i n f l a m a b i l
inflexibil	i n f l e k s i b i l
influență	i n f l u e n t͡s ə
informatică	i n f o r m a t i k ə
inimos	i n i m o s
inocent	i n o t͡ʃ e n t
inscripție	i n s k r i p t͡s i e
inseparabil	i n s e p a r a b i l
inserție	i n s e r t͡s i e
insidios	i n s i d i o s
inspectoare	i n s p e k t o̯ a r e
inspector	i n s p e k t o r
instabil	i n s t a b i l
instantaneu	i n s t a n t a n e w
instinct	i n s t i n k t
instructoare	i n s t r u k t o̯ a r e
instructor	i n s t r u k t o r
insurmontabil	i n s u r m o n t a b i l
intact	i n t a k t
integrabil	i n t e ɡ r a b i l
integral	i n t e ɡ r a l
integru	i n t e ɡ r u
intelectual	i n t e l e k t u a l
inteligent	i n t e l i d͡ʒ e n t
inteligibil	i n t e l i d͡ʒ i b i l
intempestiv	i n t e m p e s t i v
intempestive	i n t e m p e s t i v e
intens	i n t e n s
intensifica	i n t e n s i f i k a
interferență	i n t e r f e r e n t͡s ə
internațional	i n t e r n a t͡s i o n a l
interzice	i n t e r z i t͡ʃ e
interzis	i n t e r z i s
intim	i n t i m
intimida	i n t i m i d a
intranzitiv	i n t r a n z i t i v
introductiv	i n t r o d u k t i v
inuman	i n u m a n
inutil	i n u t i l
invariabil	i n v a r i a b i l
invers	i n v e r s
invidios	i n v i d i o s
invincibil	i n v i n t͡ʃ i b i l
invizibil	i n v i z i b i l
ipocrit	i p o k r i t
ipocrită	i p o k r i t ə
ireversibil	i r e v e r s i b i l
iritat	i r i t a t
irlandez	i r l a n d e z
irlandeză	i r l a n d e z ə
ironia	i r o n i j a
ironizator	i r o n i z a t o r
islanda	i s l a n d a
isoscel	i s o s t͡ʃ e l
isprăvnicel	i s p r ə v n i t͡ʃ e l
israel	i s r a e l
isteț	i s t e t͡s
istoric	i s t o r i k
italian	i t a l i a n
iubirea	j u b i r e̯ a
iulie	j u l i j e
iunie	j u n i j e
iute	j u t e
izolat	i z o l a t
îl	ɨ l
îmbătat	ɨ m b ə t a t
îmbătrânit	ɨ m b ə t r ɨ n i t
îmbelșugat	ɨ m b e l ʃ u ɡ a t
împinge	ɨ m p i n d͡ʒ e
împuțit	ɨ m p u t͡s i t
înalt	ɨ n a l t
încăpățânat	ɨ ŋ k ə p ə t͡s ɨ n a t
încăpea	ɨ n k ə p e̯ a
încerca	ɨ n t͡ʃ e r k a
încercare	ɨ n t͡ʃ e r k a r e
încet	ɨ n t͡ʃ e t
închinător	ɨ ŋ c i n ə t o r
închis	ɨ ŋ k i s
încins	ɨ n t͡ʃ i n s
încrede	ɨ n k r e d e
îndată	ɨ n d a t ə
îndărătnic	ɨ n d ə r ə t n i k
îndeajuns	ɨ n d e a ʒ u n s
îndemna	ɨ n d e m n a
îndepărta	ɨ n d e p ə r t a
îndepărtat	ɨ n d e p ə r t a t
îndoială	ɨ n d o j a l ə
îndoielnic	ɨ n d o j e l n i k
îndrăzneț	ɨ n d r ə z n e t͡s
înfigăreț	ɨ n f i ɡ ə r e t͡s
înfipt	ɨ n f i p t
înfocat	ɨ n f o k a t
înfometa	ɨ n f o m e t a
îngâmfat	ɨ ŋ ɡ ɨ m f a t
înger	ɨ n d ʒ e r
îngeresc	ɨ n d͡ʒ e r e s k
înghețat	ɨ ŋ ɟ e t͡s a t
îngrijit	ɨ ŋ ɡ r i ʒ i t
îngrozitor	ɨ ŋ ɡ r o z i t o r
îngust	ɨ ŋ ɡ u s t
înlăcrimat	ɨ n l ə k r i m a t
înotător	ɨ n o t ə t o r
înotători	ɨ n o t ə t o rʲ
înroșit	ɨ n r o ʃ i t
însă	ɨ n s ə
însărcinat	ɨ n s ə r t͡ʃ i n a t
însărcinată	ɨ n s ə r t͡ʃ i n a t ə
însemnătate	ɨ n s e m n ə t a t e
însorit	ɨ n s o r i t
înspre	ɨ n s p r e
înstelat	ɨ n s t e l a t
întâi	ɨ n t ɨ j
întâietate	ɨ n t ɨ j e t a t e
întâietăți	ɨ n t ɨ j e t ə t͡sʲ
întins	ɨ n t i n s
întinsa	ɨ n t i n s a
întinsă	ɨ n t i n s ə
întinse	ɨ n t i n s e
întinsul	ɨ n t i n s u l
întinși	ɨ n t i n ʃʲ
întoarce	ɨ n t o̯ a r t͡ʃ e
întors	ɨ n t o r s
întort	ɨ n t o r t
între	ɨ n t r e
întreagă	ɨ n t r e̯ a ɡ ə
întreg	ɨ n t r e ɡ
întrista	ɨ n t r i s t a
întru	ɨ n t r u
întrucât	ɨ n t r u k ɨ t
întrucâtva	ɨ n t r u k ɨ t v a
întunecat	ɨ n t u n e k a t
întuneric	ɨ n t u n e r i k
înțelept	ɨ n t͡s e l e p t
învățat	ɨ n v ə t͡s a t
învechit	ɨ n v e k i t
înveliș	ɨ n v e l i ʃ
învelișuri	ɨ n v e l i ʃ u rʲ
înveninat	ɨ n v e n i n a t
învingător	ɨ n v i ŋ ɡ ə t o r
învinge	ɨ n v i n d͡ʒ e
învins	ɨ n v i n s
învolt	ɨ n v o l t
înzestrat	ɨ n z e s t r a t
își	ɨ ʃʲ
j	ʒ e
j	ʒ e
jale	ʒ a l e
jalea	ʒ a l e̯ a
jalei	ʒ a l e j
jalnic	ʒ a l n i k
jamaican	ʒ a m a j k a n
jandarm	ʒ a n d a r m
japoneză	ʒ a p o n e z ə
javră	ʒ a v r ə
jegos	ʒ e ɡ o s
jidan	ʒ i d a n
jigni	ʒ i ɡ n i
joi	ʒ o j
joint	d͡ʒ o j n t
joker	d͡ʒ o k ə r
jucat	ʒ u k a t
judecat	ʒ u d e k a t
judecată	ʒ u d e k a t ə
jugar	ʒ u ɡ a r
jugular	ʒ u ɡ u l a r
june	ʒ u n e
jura	ʒ u r a
jurare	ʒ u r a r e
jurat	ʒ u r a t
jurist	ʒ u r i s t
juristă	ʒ u r i s t ə
just	ʒ u s t
juvenil	ʒ u v e n i l
juvenilă	ʒ u v e n i l ə
k	k a
k	k a
kaki	k a k i
kaliu	k a l j u
kârgâz	k ɨ r ɡ ɨ z
kirghiz	k i r ɟ i z
kiribatian	k i r i b a t i a n
kosovar	k o s o v a r
kripton	k r i p t o n
kurd	k u r d
kuweit	k u v e j t
l	e l
l	e l
la	l a
labagiu	l a b a d͡ʒ i w
lai	l a j
laie	l a j e
lalea	l a l e̯ a
lamă	l a m ə
laș	l a ʃ
lat	l a t
latin	l a t i n
lavandă	l a v a n d ə
lăbărțat	l ə b ə r t͡s a t
lăcrimos	l ə k r i m o s
lăptos	l ə p t o s
lăsat	l ə s a t
lăudător	l ə u d ə t o r
lăutar	l ə u t a r
lânced	l ɨ n t͡ʃ e d
lângă	l ɨ ŋ ɡ ə
lânos	l ɨ n o s
le	l e
legal	l e ɡ a l
lege	l e d͡ʒ e
legendar	l e d͡ʒ e n d a r
lei	l e j
lejer	l e ʒ e r
lemnos	l e m n o s
leoarcă	l e̯ o̯ a r k ə
leopard	l e o p a r d
lepidopterolog	l e p i d o p t e r o l o ɡ
lepidopterologă	l e p i d o p t e r o l o ɡ ə
lesbian	l e s b i a n
lesbiană	l e s b i a n ə
leton	l e t o n
letonă	l e t o n ə
leu	l e w
lexicograf	l e k s i k o ɡ r a f
lexicografă	l e k s i k o ɡ r a f ə
liber	l i b e r
lichid	l i c i d
lichiditate	l i k i d i t a t e
licurici	l i k u r i t͡ʃʲ
liliachiu	l i l i a k i w
limbă	l i m b ə
limbut	l i m b u t
limite	l i m i t e
limnolog	l i m n o l o ɡ
limnologă	l i m n o l o ɡ ə
limpede	l i m p e d e
lin	l i n
lingou	l i n ɡ o w
lingouri	l i n ɡ o u rʲ
lingvist	l i n ɡ v i s t
lingvistă	l i n ɡ v i s t ə
lingvistic	l i ŋ ɡ v i s t i k
lingvistică	l i n ɡ v i s t i k ə
liniar	l i n i a r
liniat	l i n i a t
liniște	l i n i ʃ t e
linx	l i n k s
lipicios	l i p i t͡ʃʲ o s
lipit	l i p i t
literar	l i t e r a r
literatură	l i t e r a t u r ə
litiu	l i t j u
litograf	l i t o ɡ r a f
litografă	l i t o ɡ r a f ə
lituanian	l i t u a n i a n
lituaniană	l i t u a n i a n ə
livadă	l i v a d ə
lizibil	l i z i b i l
lobbyist	l o b i i s t
lobbyistă	l o b i i s t ə
loc	l o k
local	l o k a l
lopătar	l o p ə t a r
lor	l o r
lori	l o r i
lotus	l o t u s
luare	l u a r e
luați	l u a t͡sʲ
luced	l u t͡ʃ e d
lucios	l u t͡ʃʲ o s
lucra	l u k r a
lucrare	l u k r a r e
lucrați	l u k r a t͡sʲ
lucrător	l u k r ə t o r
lugubru	l u ɡ u b r u
lui	l u j
lumea	l u m e̯ a
luminos	l u m i n o s
lunatic	l u n a t i k
lung	l u ŋ ɡ
lungi	l u n d͡ʒ i
luni	l u nʲ
lupesc	l u p e s k
lutier	l u t i e r
lutos	l u t o s
m	m e
m	e m
m	m e
m	e m
mac	m a k
macru	m a k r u
maestru	m a e s t r u
maghiar	m a ɟʲ a r
maghiară	m a ɡ j a r ə
maghiari	m a ɡ j a rʲ
magician	m a d͡ʒ i t͡ʃ i a n
magiciană	m a d͡ʒ i t͡ʃ i a n ə
magistru	m a d͡ʒ i s t r u
magneziu	m a ɡ n e z j u
mai	m a j
maimuță	m a j m u t͡s ə
maleabil	m a l e a b i l
malefic	m a l e f i k
maltez	m a l t e z
malteză	m a l t e z ə
mamă	m a m ə
mamifer	m a m i f e r
mamut	m a m u t
manciuria	m a n t͡ʃʲ u r i a
mandolă	m a n d o l ə
mandolină	m a n d o l i n ə
mangan	m a n ɡ a n
mangustă	m a n ɡ u s t ə
manual	m a n u a l
maratonist	m a r a t o n i s t
maratonistă	m a r a t o n i s t ə
marca	m a r k a
mare	m a r e
marea	m a r e̯ a
marfă	m a r f ə
marin	m a r i n
marsilia	m a r s i l j a
martie	m a r t i j e
marț	m a r t͡s
marți	m a r t͡sʲ
masacru	m a s a k r u
masă	m a s ə
masculin	m a s k u l i n
masturbare	m a s t u r b a r ɛ
mașină	m a ʃ i n ə
mașini	m a ʃ i nʲ
mașteră	m a ʃ t e r ə
matematician	m a t e m a t i t͡ʃ i a n
matematiciană	m a t e m a t i t͡ʃ i a n ə
materialist	m a t e r i a l i s t
mator	m a t o r
matur	m a t u r
maur	m a u r
mazăre	m a z ə r e
mă	m ə
măcăleandru	m ə k ə l e̯ a n d r u
măcelări	m ə t͡ʃ e l ə r i
măgăresc	m ə ɡ ə r e s k
măi	m ə j
măicuță	m ə j k u t͡s ə
măiestru	m ə j e s t r u
măior	m ə j o r
măr	m ə r
măreț	m ə r e t͡s
mări	m ə rʲ
mări	m ə r i
mărime	m ə r i m e
mărinimos	m ə r i n i m o s
mărire	m ə r i r e
mărit	m ə r i t
mărțișor	m ə r t͡s i ʃ o r
mărunt	m ə r u n t
mărunțel	m ə r u n t͡s e l
mărunți	m ə r u n t͡s i
mărunți	m ə r u n t͡sʲ
măsălar	m ə s ə l a r
măsliniu	m ə s l i n i w
mătăhălos	m ə t ə h ə l o s
mătușă	m ə t u ʃ ə
mâini	m ɨ j nʲ
mână	m ɨ n ə
mâncare	m ɨ n k a r e
mândrie	m ɨ n d r i e
mândru	m ɨ n d r u
mângâia	m ɨ ŋ ɡ ɨ j a
mârced	m ɨ r t͡ʃ e d
mârșav	m ɨ r ʃ a v
mârșav	m ɨ r ʃ a v
mâță	m ɨ t͡s ə
measer	m e̯ a s e r
mecanic	m e k a n i k
medic	m e d i k
medică	m e d i k ə
medici	m e d i t͡ʃʲ
medie	m e d i e
mediocru	m e d i o k r u
mediu	m e d j u
mei	m e j
melc	m e l k
melci	m e l t͡ʃʲ
membrană	m e m b r a n ə
membrane	m e m b r a n e
membranos	m e m b r a n o s
mercur	m e r k u r
meresân	m e r e s ɨ n
merge	m e r d͡ʒ e
merișoare	m e r i ʃ o̯ a r e
merișor	m e r i ʃ o r
merișori	m e r i ʃ o rʲ
meser	m e s e r
meser	m e s e r
mestecară	m e s t e k a r ə
meteorolog	m e t e o r o l o ɡ
meteorologă	m e t e o r o l o ɡ ə
meteorologică	m e t e o r o l o d͡ʒ i k ə
metrolog	m e t r o l o ɡ
metrologă	m e t r o l o ɡ ə
meu	m e w
mia	m i j a
mia	m j a
miau	m j a w
micolog	m i k o l o ɡ
micologă	m i k o l o ɡ ə
microbiolog	m i k r o b i o l o ɡ
microbiologă	m i k r o b i o l o ɡ ə
microbiologic	m i k r o b i o l o d͡ʒ i k
micuț	m i k u t͡s
miercuri	m j e r k u rʲ
miere	m j e r e
mieros	m j e r o s
milan	m i l a n
milimetric	m i l i m e t r i k
mincinos	m i n t͡ʃ i n o s
mine	m i n e
miner	m i n e r
mineralog	m i n e r a l o ɡ
mineralogă	m i n e r a l o ɡ ə
mineralogia	m i n e r a l o d͡ʒ i a
mineralogie	m i n e r a l o d͡ʒ i e
mintal	m i n t a l
mintos	m i n t o s
mințitor	m i n t͡s i t o r
minuscul	m i n u s k u l
minuțios	m i n u t͡s i o s
mioară	m j o̯ a r ə
mioară	m i o̯ a r ə
mirositor	m i r o s i t o r
mișcător	m i ʃ k ə t o r
mișel	m i ʃ e l
mititel	m i t i t e l
