abbé	abbɛː
igor	iɡɔr
ihla	iɦɫa
ihličnan	iɦɫit͡ʃnan
ihrisko	iɦriskɔ
ikra	ikra
imidž	imit͡ʃ
imrich	imrix
indium	indium
infant	infant
infantka	infantka
informovať	infɔrmɔvac
informácia	infɔrmaːt͡sia
inga	iŋɡa
ingrida	iŋɡrida
iný	iniː
inštrumentál	inʃtrumɛntaːɫ
irak	irak
iračanka	irat͡ʃaŋka
irena	irɛna
irma	irma
irán	iraːn
iránsky	iraːnski
irídium	iriːdium
iskerník	iskɛrɲiːk
iskierka	iski̯ɛrka
iskra	iskra
iskrička	iskrit͡ʃka
islam	isɫam
island	islant
islande	isɫanɟɛ
islandský	isɫandskiː
islandčina	islandt͡ʃina
istý	istiː
ivan	ivan
ivana	ivana
iveta	ivɛta
ivica	ivit͡sa
ivona	ivɔn
iza	iza
izabela	izabɛɫa
izba	izba
izidor	izidɔr
izis	izis
izo	izɔ
izák	izaːk
iľja	iʎja
ja	ja
jablko	jabɫ̩ko
jablkový	jabɫ̩kɔviː
jablkách	jabɫ̩kaːx
jablčný	jabɫ̩t͡ʃniː
jabĺk	jabɫ̩ːk
jabĺčko	jabɫ̩ːt͡ʃko
jabĺčok	jabɫ̩ːt͡ʃok
jachta	jaxta
jadro	jadrɔ
jahoda	jaɦɔda
jahodami	jaɦɔdami
jahňa	jaɦɲa
jak	jak
jakub	jakup
jamôčka	jamu̯ɔt͡ʃka
jana	jana
janko	jaŋkɔ
jano	janɔ
janov	janɔu̯
jantár	jantaːr
jantárový	jantaːrɔviː
január	januaːr
japončina	japɔnt͡ʃina
jar	jar
jarabica	jarabit͡sa
jarmila	jarmiɫa
jarmo	jarmo
jarmulka	jarmuɫka
jaro	jarɔ
jarok	jarok
jarolím	jarɔliːm
jaromír	jarɔmiːr
jaroslav	jarɔsɫau̯
jaroslava	jarɔsɫava
jaseň	jasɛɲ
jaskyňa	jaskiɲa
jastrab	jastrap
jaternica	jacɛrɲit͡sa
javor	javor
jazda	jazda
jazdec	jazɟɛt͡s
jazera	jazɛra
jazero	jazɛrɔ
jazerá	jazɛraː
jazier	jazi̯er
jazierko	jazi̯ɛrkɔ
jazvec	jazvɛt͡s
jazyk	jazik
jazykovedec	jazikɔvɛɟɛt͡s
jazyky	jaziki
jazýček	jaziːt͡ʃɛk
jačmeň	jat͡ʃmɛɲ
jašterica	jaʃcɛrit͡sa
jašterička	jaʃcɛrit͡ʃka
je	jɛ
jebať	jɛbac
jebačka	jɛbat͡ʃka
jed	jɛt
jedenásť	jɛdɛnaːsc
jediný	jeɟɪniː
jedlo	jɛdɫɔ
jedna	jedna
jednako	jeːdnako
jednej	jednej
jedno	jedno
jednoduchý	jɛdnɔduxiː
jednom	jednom
jednorožec	jɛdnɔrɔʒɛt͡s
jednou	jednou̯
jednu	jednu
jedny	jedni
jedného	jedneːɦo
jednému	jedneːmu
jedných	jedniːx
jedným	jedniːm
jednými	jedniːmi
jedový	jɛdɔviː
jeho	jɛɦɔ
jej	jɛj
jela	jɛɫa
jeleň	jɛlɛɲ
jelša	jɛɫʃa
jen	jɛn
jeremiáš	jɛrɛmiaːʃ
jerguš	jɛrɡuʃ
jeruzalem	jɛruzalɛm
jesenný	jɛsɛnniː
jeseter	jɛsɛcɛr
jeseň	jɛsɛɲ
jesienka	jɛsi̯ɛŋka
jestvovať	jɛstvɔvac
jesť	jɛsc
ježiš	jɛʒiʃ
jidiš	jidiʃ
joga	jɔɡa
jogurt	jɔɡurt
jogurtu	jɔɡurtu
jolana	jɔɫana
jozef	jɔzɛf
jozefína	jɔzɛfiːna
jozue	jɔzuɛ
jožo	jɔʒɔ
judaizmus	judaizmus
judita	judita
juh	jux
juliana	juliana
juliána	juliaːna
julo	juɫɔ
juno	junɔ
junák	junaːk
jupiter	jupiter
juraj	juraj
juro	jurɔ
justa	justa
justína	justiːna
južný	juʒniː
ján	jaːn
jánov	jaːnɔu̯
jób	jɔːp
jód	joːt
júl	juːɫ
júlia	juːlia
július	juːlius
jún	juːn
jüan	jian
jüan	jyan
kabát	kabaːt
kaderník	kaɟɛrɲiːk
kaderníčka	kaɟɛrɲiːt͡ʃka
kadmium	kadmium
kajak	kajak
kakao	kakaɔ
kalamár	kaɫamaːr
kaleráb	kaleraːp
kalifornium	kalifɔrnium
kalypso	kalipsɔ
kambodža	kambɔd͡ʒa
kameň	kamɛɲ
kamil	kamiɫ
kamila	kamiɫa
kanada	kanada
kandidóza	kandidɔːza
kanton	kantɔn
kapilára	kapiɫaːra
kapitalistický	kapitalisciskiː
kapitalizmus	kapitalizmus
kapsula	kapsula
kapusta	kapusta
kapverdy	kapvɛrdi
karina	karina
karol	karɔɫ
karolína	karɔliːna
karpaty	karpati
karta	karta
karí	kariː
kasíno	kasiːnɔ
kat	kat
kata	kata
katapult	katapult
katapultami	katapuɫtami
katapulte	katapuɫcɛ
katapultoch	katapuɫtɔx
katapultom	katapuɫtɔm
katapultov	katapuɫtɔu̯
katapultu	katapuɫtu
katapulty	katapuɫti
katarína	katariːna
katedrála	katedraːɫa
katovice	katovit͡se
kaviareň	kavi̯arɛɲ
kaviarnička	kavi̯arɲit͡ʃka
kazachstan	kazaxstan
kazateľ	kazacɛʎ
kazimír	kazimiːr
kača	kat͡ʃa
kaša	kaʃa
kaše	kaʃɛ
kašeľ	kaʃɛʎ
kašlať	kaʃɫac
kaštieľ	kaʃci̯ɛʎ
kašľať	kaʃlac
kde	ɡɟɛ
kel	kɛɫ
ker	kɛr
keď	kɛc
keňa	kɛɲa
keďže	kɛd͡ʒɛ
kila	kiɫa
kile	kilɛ
kilo	kiɫɔ
kilogram	kiɫɔɡram
kipa	kipa
klamať	kɫamac
klamstvo	kɫamstvɔ
klamár	kɫamaːr
klas	kɫas
klaudia	kɫau̯dia
klement	klɛmɛnt
klenoty	klɛnɔti
klietka	kʎi̯ɛtka
klinec	kʎiɲɛt͡s
klk	kɫ̩k
klobása	kɫɔbaːsa
klobúk	klɔbuːk
klobúčik	kɫɔbuːt͡ʃik
klus	kɫus
klára	kɫaːra
klárka	kɫaːrka
klávesnica	kɫavɛsɲit͡sa
kmene	kmɛɲɛ
kmeni	kmɛɲi
kmeň	kmɛɲ
kmeňa	kmɛɲa
kmeňmi	kmɛɲmi
kmeňoch	kmɛɲɔx
kmeňom	kmɛɲɔm
kmeňov	kmɛɲɔu̯
kmeňu	kmɛɲu
kmotor	kmɔtɔr
kmotra	kmɔtra
knieža	kɲi̯ɛʒa
kniha	kɲiɦa
knižnica	kɲɪʒɲɪt͡sa
knižočka	kɲiʒɔt͡ʃka
knižôčka	kɲiʒu̯ɔt͡ʃka
kníh	kɲiːx
kníhkupec	kɲiːxkupɛt͡s
kníhkupectvo	kɲiːxkupɛt͡stvɔ
kobalt	kɔbaɫt
koberec	kɔbɛrɛt͡s
kobier	kɔbi̯ɛr
kobra	kɔbra
kobrami	kɔbrami
kobre	kɔbrɛ
kobrou	kɔbrɔu̯
kobru	kɔbru
kobry	kɔbri
kobrách	kɔbraːx
kobrám	kɔbraːm
kobyla	kɔbiɫa
kobza	kɔbza
kocka	kɔt͡ska
kocôčka	kɔt͡su̯ɔt͡ʃka
kocúr	kot͡suːr
kohút	kɔɦuːt
kohútik	kɔɦuːcik
kokot	kɔkɔt
kolega	kɔlɛɡa
kolegyňa	kɔlɛɡiɲa
koleno	kɔlɛnɔ
koliba	kɔliba
kolibrík	kɔlibriːk
koloman	kɔɫɔman
koláč	koɫaːt͡ʃ
koláčový	kɔɫaːt͡ʃɔviː
komunistický	kɔmuniscit͡skiː
komunizmus	kɔmunizmus
konfirmácia	kɔnfirmaːt͡sia
kongres	kɔŋɡrɛs
koniec	kɔɲi̯ɛt͡s
konár	kɔnaːr
končiť	kɔnt͡ʃic
konštantín	kɔnʃtantiːn
kopa	kɔpa
kopať	kɔpac
kopernikium	kɔpɛrnikium
kopija	kɔpija
kopije	kɔpijɛ
korene	kɔrɛɲɛ
koreni	kɔrɛɲi
korenie	kɔrɛɲi̯ɛ
koreň	kɔrɛɲ
koreňa	kɔrɛɲa
koreňmi	kɔrɛɲmi
koreňoch	kɔrɛɲɔx
koreňom	kɔrɛɲɔm
koreňov	kɔrɛɲɔu̯
koreňu	kɔrɛɲu
kornel	kɔrnɛɫ
kornélia	kɔrnɛːlia
koruna	koruna
korytnačka	kɔritnat͡ʃka
korčule	kɔrt͡ʃulɛ
korčuľovať	kɔrt͡ʃuʎɔvac
kosa	kɔsa
kostol	kɔstɔɫ
kostra	kɔstra
kostrová	kɔstrɔvaː
kosť	kɔsc
kotol	kɔtɔɫ
kov	kɔu̯
kovu	kɔvu
kováč	kɔvaːt͡ʃ
kováčová	kɔvaːt͡ʃɔvaː
koza	kɔza
kozmológia	kɔzmɔɫɔːɡia
kozí	koziː
koč	kɔt͡ʃ
koža	kɔʒa
koľaj	kɔʎaj
košeľa	kɔʃɛʎa
košice	kɔʃit͡sɛ
kočiš	kɔt͡ʃiʃ
kočišová	kɔt͡ʃiʃɔvaː
koľko	kɔʎkɔ
kožuch	kɔʒux
kožušina	kɔʒuʃina
kožušník	kɔʒuʃɲiːk
kožušníčka	kɔʒuʃɲit͡ʃka
kraj	kraj
kraje	kraje
kraji	kraji
krajina	krajina
krajinou	krajinou̯
krajinu	krajinu
krajmi	krajmi
krajoch	krajox
krajom	krajom
krajov	krajou̯
kraju	kraju
krajčír	krajt͡ʃiːr
krakov	krakou̯
krava	krava
kravata	kravata
kremeň	krɛmɛɲ
kremácia	krɛmaːt͡sia
kremík	krɛmiːk
kreslo	krɛsɫɔ
kreveta	krɛvɛta
kristadelfián	kristadɛɫfiaːn
kristián	kristiaːn
kristo	kristɔ
kristína	kristiːna
krištof	kriʃtɔf
krk	kr̩k
krkavec	kr̩kavɛt͡s
krm	kr̩m
krokodíl	krɔkɔdiːɫ
krona	krona
krona	kruːna
krone	krɔnɛ
krst	kr̩st
krt	kr̩t
krv	kr̩w
krvavnica	kr̩vau̯ɲit͡sa
krvi	kr̩vi
krvou	kr̩vɔu̯
kryptón	kriptɔːn
králica	kralit͡sa
králice	kraːlit͡sɛ
králik	kraːʎik
krása	kraːsa
krásne	kraːsnɛ
krásne	kraːsɲɛ
krásny	kraːsni
krátky	kraːtki
kráľ	kraːʎ
kráčať	kraːt͡ʃac
kráľovná	kraːʎɔvnaː
kráľovstvo	kraːʎɔvstvɔ
kráľová	kraːʎɔvaː
krídlo	kriːdɫɔ
krívať	kriːvac
kríz	kriːs
kríza	kriːza
kríž	kriːʃ
króna	kroːna
krôčik	kru̯ɔt͡ʃik
krúžok	kruːʒɔk
kto	kto̞
kuba	kuba
kubo	kubɔ
kubánec	kubaːɲɛt͡s
kuchyňa	kuxiɲa
kukulienka	kukuli̯ɛŋka
kukurica	kukurit͡sa
kukučka	kukut͡ʃka
kuli	kuli
kulturistika	kuɫturistika
kuna	kuna
kunda	kunda
kupec	kupɛt͡s
kupola	kupɔɫa
kupovať	kupɔvac
kura	kura
kurence	kurɛnt͡sɛ
kuriatko	kuri̯atkɔ
kurva	kurva
kurča	kurt͡ʃa
kus	kus
kučeravý	kut͡ʃɛraviː
kvapeľ	kvapɛʎ
kvapka	kvapka
kvapôčka	kvapu̯ɔt͡ʃka
kvark	kvark
kvas	kvas
kvasnice	kvasɲit͡sɛ
kvet	kvɛt
kvetoslava	kvɛtɔsɫava
kvisling	kvisliŋɡ
kyjev	kijɛu̯
kyselina	kisɛlina
kysličník	kislit͡ʃɲiːk
kyslík	kisliːk
kábel	kaːbɛɫ
káhira	kaːɦira
káva	kaːva
kíl	kiːɫ
kórea	kɔːrɛa
kórejčina	kɔːrɛjt͡ʃina
kôpor	ku̯ɔpɔr
kôra	ku̯ora
kôrka	ku̯orka
kôrovec	ku̯ɔrɔvɛt͡s
kôstka	ku̯ɔstka
kôstkovina	ku̯ɔstkɔvina
kôstkoviny	ku̯ɔstkɔvini
kôš	ku̯oʃ
kúpeľ	kuːpɛʎ
kúpiť	kuːpic
kúty	kuːti
kýchať	kiːxac
kýl	kiːɫ
kým	kiːm
kňaz	kɲas
kĺb	kɫ̩ːb
kŕdeľ	kr̩ːɟɛʎ
kŕmiť	kr̩mic
kľuka	kʎuka
kľúč	kʎuːt͡ʃ
kľúčik	kʎuːt͡ʃik
kŕč	kr̩ːt͡ʃ
labe	ɫabɛ
labutí	ɫabuciː
labuť	ɫabuc
laco	ɫat͡so
ladislav	ɫaɟisɫau̯
ladislava	ɫaɟisɫava
lakeť	ɫakɛc
lama	ɫama
lampa	ɫampa
lamí	ɫamiː
landgróf	ɫandɡrɔːf
langue	ɫaːŋɡ
lano	ɫanɔ
lantán	ɫantaːn
lastovička	ɫastɔvit͡ʃka
lastúrnik	ɫastuːrɲik
lastúrničiar	ɫastuːrɲit͡ʃi̯ar
latrína	ɫatriːna
laura	ɫau̯ra
lawrencium	ɫau̯rɛnt͡sium
lea	lɛa
lebo	lɛbɔ
lechický	lɛxit͡skiː
lei	lɛi
lekorica	lɛkɔrit͡sa
lekár	lekaːr
lenka	lɛŋka
lenže	lɛnʒɛ
leo	lɛɔ
leonard	lɛɔnard
leopold	lɛɔpɔld
leou	lɛɔu̯
lepší	lɛpʃiː
les	lɛs
lesana	lɛsana
lesbický	lɛzbit͡skiː
lesbička	lɛzbit͡ʃka
lesť	lɛsc
letieť	lɛci̯ɛc
letisko	lɛciskɔ
letište	lɛciʃcɛ
letný	lɛtniː
leto	lɛtɔ
leu	lɛu
leu	lɛu̯
lev	lɛu̯
levitikus	lɛvitikus
levoslav	lɛvɔsɫau̯
lexikálny	lɛksikaːlni
ley	lɛi
lečo	lɛt͡ʃɔ
liana	liana
libuša	libuʃa
lichtenštajnsko	lixtɛnʃtajnskɔ
lienka	li̯ɛŋka
lietadlo	li̯ɛtadɫɔ
lietať	li̯ɛtac
lievik	li̯ɛvik
lift	lift
ligotať	liɡɔtac
ligurček	liɡurt͡ʃɛk
liknavý	liknaviː
linda	linda
lipsko	lipskɔ
list	list
lista	lista
listami	listami
liste	liscɛ
listoch	listɔx
listom	listɔm
listov	listɔu̯
listu	listu
litava	litava
liter	litɛr
literatúra	literatuːra
litovčina	litɔu̯t͡ʃina
litva	litva
liva	liva
livermorium	livɛrmɔrium
lišiacky	liʃi̯at͡ski
lodž	ɫɔd͡ʒ
logik	ɫɔɡik
logika	ɫɔɡika
lokomotíva	ɫɔkɔmɔtiːva
londýn	ɫɔndiːn
lopata	ɫɔpata
lopta	ɫɔpta
losos	ɫɔsɔs
lotyšsko	ɫɔtiʃskɔ
lotyština	ɫɔtiʃcina
loviť	ɫɔvic
lož	lɔʃ
loď	ɫɔc
lucia	ɫut͡sia
lujza	ɫujza
luk	ɫuk
lukostrelec	ɫukɔstrɛlɛt͡s
lukáš	ɫukaːʃ
luna	luna
lupina	ɫupina
lutécium	ɫutɛːt͡sium
luxembursko	ɫuksɛmburskɔ
lužica	ɫuʒit͡sa
láma	ɫaːma
lángoš	ɫaːŋɡɔʃ
láska	ɫaːska
láva	ɫaːva
léno	lɛːnɔ
líce	liːt͡sɛ
líder	liːder
lídra	liːdra
lídrami	liːdrami
lídri	liːdri
lídroch	liːdrɔx
lídrom	liːdrɔm
lídrov	liːdrɔu̯
lídrovi	liːdrɔvi
lítium	liːtium
lívia	liːvia
líška	liːʃka
líštička	liʃcit͡ʃka
lóve	ɫɔːvɛ
lúka	ɫuːka
lúč	ɫuːt͡ʃ
lýdia	liːdia
lýra	liːra
lýtko	liːtkɔ
macedónsko	mat͡sɛdɔːnskɔ
mach	max
machiavelizmus	makiavɛlizmus
machiavellizmus	makiavɛlizmus
machuľa	maxuʎa
magdaléna	maɡdalɛːna
magnetický	maɡnɛtit͡skiː
mak	mak
malachiáš	maɫaxiaːʃ
malajec	maɫajɛt͡s
malajčina	maɫajt͡ʃina
maliar	mali̯ar
malina	malina
malinový	malinɔviː
malta	maɫta
maltčina	maɫtt͡ʃina
malvér	maɫvɛːr
malvína	maɫviːna
malý	maliː
mama	mama
manažment	manaʒmɛnt
mandarínka	mandariːŋka
mandarínkovník	mandariːŋkɔvɲiːk
mangán	maŋɡaːn
mantinel	mantinɛɫ
mapa	mapa
marcel	mart͡sɛɫ
marcela	mart͡sɛɫa
marec	marɛt͡s
marek	marɛk
margaréta	marɡare̞ːta
margarétka	marɡareːtka
margita	marɡita
marhuľa	marɦuʎa
marianna	mariana
marián	mariaːn
maroko	marɔkɔ
maroš	marɔʃ
marta	marta
martin	martin
martina	martina
marína	mariːna
maslo	masɫɔ
masť	masc
mat	mat
matej	matɛj
matematik	matɛmatik
matematika	matɛmatika
matematička	matɛmatit͡ʃka
mater	macɛr
materinský	macɛrinskiː
materský	macɛrskiː
matica	macit͡sa
matilda	matiɫda
matka	matka
matkin	matkin
matúš	matuːʃ
maximilián	maksimiliaːn
mať	mac
maďar	maɟar
maďarka	maɟarka
maďarsko	maɟarskɔ
maďarčina	maɟart͡ʃina
mašina	maʃina
mačka	mat͡ʃka
maťo	matɔ
maňuška	maɲuʃka
mech	mɛx
med	mɛt
medard	mɛdard
medovina	mɛdɔvina
medvedica	mɛdvɛɟit͡sa
medvedice	mɛdvɛɟit͡sɛ
medveď	mɛdvɛc
medzi	mɛd͡zi
medzinárodný	mɛd͡zinaːrɔdniː
meitnerium	mai̯tnɛrium
melánia	mɛɫaːnia
melódia	mɛɫɔːdia
mena	mɛna
mendelevium	mɛndɛlɛvium
mene	mɛɲɛ
menej	meɲej
meniny	mɛɲini
meno	mɛnɔ
menu	mɛnu
meny	mɛni
menší	mɛnʃiː
meranie	mɛraɲi̯ɛ
merkúr	mɛrkuːr
mesiac	mɛsi̯at͡s
mesiačik	mɛsi̯at͡ʃik
mestečko	mɛscɛt͡ʃkɔ
mesto	me̞sto̞
metajazyk	mɛtajazik
metamorfóza	mɛtamɔrfɔːza
meteorológia	mɛtɛɔrɔlɔːɡia
metla	mɛtɫa
metro	mɛtrɔ
mexický	mɛksit͡skiː
mezopotámia	mɛzɔpɔtaːmia
meď	mɛc
meč	mɛt͡ʃ
mešita	mɛʃita
mias	mi̯as
miazga	mi̯azɡa
michal	mixaɫ
micheáš	mixɛaːʃ
mien	mi̯ɛn
mier	mi̯ɛr
miest	mi̯est
miesto	mi̯ɛstɔ
miezd	mi̯est
mikrobus	mikrɔbus
mikroskop	mikrɔskɔp
mikuláš	mikuɫaːʃ
milada	miɫada
milan	miɫan
milena	milɛna
milica	milit͡sa
miloslav	miɫɔsɫau̯
miloslava	miɫɔsɫava
milota	miɫɔta
milovať	miɫɔvac
miloš	miɫɔʃ
milý	miliː
minca	mint͡sa
mineralógia	minɛraɫɔːɡia
minsk	minsk
minúta	minuːta
miriam	miriam
miriama	miriama
miro	mirɔ
miroslav	mirɔsɫau̯
miroslava	mirɔsɫava
mitra	mitra
miškovec	miʃkɔvɛt͡s
mištička	miʃcit͡ʃka
mladá	mɫadaː
mladý	mɫadiː
mledzivo	mlɛd͡zivɔ
mlieko	mli̯ɛkɔ
mliečko	mli̯ɛt͡ʃkɔ
mliečny	mli̯ɛt͡ʃni
mlyn	mlin
mládež	mɫaːɟɛʃ
mláďa	mɫaːɟa
mláďatko	mɫaːɟatkɔ
mlč	mɫ̩t͡ʃ
mnoho	mnɔɦɔ
množina	mnɔʒina
mních	mɲiːx
mníchov	mɲiːxɔu̯
modlivka	mɔdliu̯ka
modrý	mɔdriː
moja	mɔja
mojmír	mɔjmiːr
mojžíš	mɔjʒiːʃ
mokrý	mokriː
molybdén	mɔlibdɛːn
monarcha	mɔnarxa
monarchia	mɔnarxia
monika	mɔnika
monoteistický	mɔnɔtɛistit͡skiː
monoteizmus	mɔnɔtɛizmus
mops	mɔps
morava	mɔrava
morave	mɔravɛ
moravský	mɔrau̯skiː
more	mɔrɛ
morfeus	mɔrfɛus
moriak	mɔri̯ak
morka	mɔrka
morča	mɔrt͡ʃa
moskva	mɔskva
most	mɔst
mostík	mo̞sciːk
motorka	mɔtɔrka
motýlí	mɔtiːʎiː
motýľ	mɔtiːʎ
mozog	mɔzɔk
moľ	mɔʎ
možno	mɔʒnɔ
možnosť	mɔʒnɔsc
mrav	mrau̯
mravec	mravɛt͡s
mrkva	mr̩kva
mrlí	mr̩liː
mráz	mraːs
mráčik	mraːt͡ʃik
mrľa	mr̩ʎa
mucha	muxa
muche	muxɛ
muchotrávka	muxɔtraːu̯ka
mudrc	mudr̩t͡s
murár	muraːr
musieť	musi̯ɛc
muž	muʃ
muži	mʊʒɪ
muška	muʃka
mužský	muʃskiː
my	mi
mydlo	midɫɔ
myslieť	misli̯ɛc
myš	miʃ
myšiu	miʃi̯u
myšlienka	miʃli̯ɛŋka
myší	miʃiː
mzda	mzda
máj	maːj
mária	maːria
mário	maːriɔ
márnica	maːrɲit͡sa
márnomyseľný	maːrnɔmisɛʎniː
mäkký	mekiː
mäkký	mækiː
mäkkýš	mækiːʃ
mäkkýš	mɛkiːʃ
mäkčeň	mækt͡ʃeɲ
mäsiar	mæsi̯ar
mäsiar	mɛsi̯ar
mät	mæt
mät	mɛt
mäta	mæta
mäta	mɛta
mäte	mæcɛ
mäte	mɛcɛ
móda	mɔːda
módny	mɔːdni
móric	mɔːrit͡s
môcť	mu̯ɔt͡sc
môj	mu̯ɔj
múch	muːx
múdrosť	muːdrɔsc
múdry	muːdri
múr	muːr
múzeum	muːzɛum
mýto	miːtɔ
mŕtvola	mr̩ːtvɔɫa
mŕtvy	mr̩ːtvɪ
mĺzť	mɫ̩ːsc
mŕľ	mr̩ːʎ
na	na
nacionalista	nat͡siɔnalista
nacionalistický	nat͡siɔnalistit͡skiː
nacionalistka	nat͡siɔnalistka
nacionalizmus	nat͡siɔnalizmus
nacista	nat͡sista
nacistický	nat͡sistit͡skiː
nactiutŕhač	nat͡sciutr̩ːɦat͡ʃ
nadlak	nadɫak
nadšený	natʃeniː
nahou	naɦɔu̯
nahum	naɦum
nahí	naɦiː
nahý	naɦiː
najlepší	najlɛpʃiː
najmenej	najmeɲej
najmenší	najmɛnʃiː
najmä	najmæ
najmä	najmɛ
najnižší	najɲiʃʃiː
najstarší	najstarʃiː
najužší	najuʃʃiː
najviac	najvjat͡s
najvyšší	najviʃʃiː
najväčší	najvɛt͡ʃʃiː
nakoľko	nakɔʎkɔ
naozaj	naɔzaj
napokon	napokon
napríklad	napriːkɫat
napätie	napæci̯ɛ
napätie	napɛci̯ɛ
naraňajkovať	naraɲajkɔvac
narkoman	narkɔman
narkomanka	narkɔmaŋka
narodeniny	narɔɟɛɲini
nataša	nataʃa
natália	nataːlia
nauru	nauru
nazdar	nazdar
naďalej	naɟalɛj
načervenkasto	nat͡ʃɛrvɛŋkastɔ
nebo	ɲɛbɔ
nebohý	ɲɛbɔɦiː
necht	ɲɛxt
nedele	ɲɛɟɛʎɛ
nedeľa	ɲeɟelʲa
negližé	nɛɡliʒɛː
nehemiáš	ɲɛɦɛmiaːʃ
nehnuteľnosť	ɲɛɦnucɛʎnɔsc
nemec	ɲɛmɛt͡s
nemecko	ɲɛmɛt͡skɔ
nemecky	ɲɛmɛt͡ski
nemecký	ɲɛmɛt͡skiː
nemka	ɲɛmka
nemý	ɲɛmiː
nemčina	ɲɛmt͡ʃina
neodým	nɛɔdiːm
nepriateľ	ɲɛpri̯acɛʎ
neptúnium	nɛptuːnium
nepárnokopytník	ɲɛpaːrnɔkɔpitɲiːk
nepárny	ɲɛpaːrni
nero	nɛrɔ
nerozumiem	ɲɛrɔzumi̯ɛm
neskôr	ɲɛsku̯ɔr
nesčíselný	ɲɛst͡ʃiːsɛlniː
netopier	ɲɛtɔpi̯ɛr
neuróza	nɛu̯rɔːza
nevädza	ɲɛvæd͡za
nevädza	ɲɛvɛd͡za
nezmysel	ɲɛzmisɛɫ
nezábudka	ɲɛzaːbutka
neón	nɛɔːn
nečujný	ɲɛt͡ʃujniː
niekoľko	ɲi̯ɛkɔʎkɔ
niekto	ɲi̯ɛktɔ
nielen	ɲi̯ɛlɛn
niesť	ɲi̯ɛsc
nijaký	ɲijakiː
nika	nika
nikel	nikɛɫ
nikola	nikɔɫa
nikto	ɲiktɔ
nina	ɲina
nitra	ɲitra
niób	niɔːp
nič	ɲit͡ʃ
nižší	ɲiʃʃiː
nobelium	nɔbɛlium
noc	nɔt͡s
noe	nɔɛ
noha	nɔɦa
nohavica	nɔɦavit͡sa
nohavice	nɔɦavit͡sɛ
nominatív	nɔminatiːu̯
nora	nɔra
norbert	nɔrbɛrt
nosiť	nɔsic
novak	nɔvak
november	nɔvɛmbɛr
noviny	nɔvini
novák	nɔvaːk
nováčik	nɔvaːt͡ʃik
nové	nɔvɛː
nový	nɔviː
nočný	nɔt͡ʃniː
nádcha	naːtxa
nádherný	naːdɦɛrniː
nádražia	naːdraʒi̯a
nádražiach	naːdraʒi̯ax
nádražiam	naːdraʒi̯am
nádražiami	naːdraʒi̯ami
nádražie	naːdraʒi̯ɛ
nádražiu	naːdraʒi̯u
nádraží	naːdraʒiː
nádražím	naːdraʒiːm
nájsť	naːjsc
námesačníctvo	naːmɛsat͡ʃɲiːt͡svɔ
námestie	naːmɛsci̯ɛ
námestíčko	naːmɛsciːt͡ʃkɔ
náreky	naːrɛki
nárečie	naːrɛt͡ʃi̯ɛ
národ	naːrɔt
národný	naːrɔdniː
nás	naːs
náter	naːcɛr
návrh	naːvr̩x
návrhy	naːvr̩ɦi
názov	naːzɔu̯
níreďháza	ɲiːrɛɟɦaːza
nízky	ɲiːski
nížina	ɲiːʒina
nór	nɔːr
nórsko	nɔːrskɔ
nórsky	nɔːrski
nórčina	nɔːrt͡ʃina
nôh	nu̯ox
nôž	nu̯oʃ
nôžka	nu̯ɔʃka
obdobie	ɔbdɔbi̯ɛ
obdĺžnik	ɔbdɫ̩ːʒɲik
obed	ɔbɛt
oblasť	ɔbɫasc
oblečenie	ɔblɛt͡ʃɛɲi̯ɛ
oblička	ɔblit͡ʃka
oblok	ɔbɫɔk
obláčik	ɔbɫaːt͡ʃik
obor	ɔbɔr
obraz	ɔbras
obrus	ɔbrus
obtiažny	ɔbci̯aʒni
obyvateľ	ɔbivacɛʎ
obťažný	ɔpcaʒniː
občiansky	ɔpt͡ʃi̯anski
oceľ	ɔt͡sɛʎ
oco	ɔt͡sɔ
od	ɔd
odborníčka	ɔdbɔrɲiːt͡ʃka
odhodlaný	odɦodlaniː
odo	ɔdɔ
odpoludnie	ɔtpɔɫudɲi̯ɛ
oheň	ɔɦɛɲ
ohovárať	ɔɦɔvaːrac
ohúriť	ɔɦuːric
ohňostroj	ɔɦɲɔstrɔj
oje	ɔjɛ
okabátiť	ɔkabaːcic
okna	ɔkna
okno	ɔknɔ
okná	ɔknaː
oko	ɔkɔ
okolo	ɔkɔɫɔ
okrem	ɔkrɛm
október	ɔktɔːbɛr
okuliare	ɔkuʎi̯arɛ
okuliarnik	ɔkuʎi̯arɲik
oldrich	ɔɫdrix
oleg	ɔlɛk
oligarchia	ɔliɡarxia
oliva	oliva
olivami	ɔlivami
olive	ɔlivɛ
oliver	ɔlivɛr
olivou	ɔlivɔu̯
olivu	ɔlivu
olivy	ɔlivi
olivách	ɔlivaːx
olivám	ɔlivaːm
olomouc	ɔɫɔmɔu̯t͡s
olomoucký	olomou̯t͡skiː
olovo	ɔɫɔvɔ
olovrant	ɔɫɔvrant
oltár	oɫtaːr
olympia	ɔlimpia
olympiáda	ɔlimpiaːda
olív	ɔliːu̯
olívia	ɔliːvia
on	ɔn
ona	ɔna
ondrej	ɔndrɛj
oni	ɔɲi
ontogenéza	ɔntɔɡɛnɛːza
ony	ɔni
opica	ɔpit͡sa
opilec	ɔpilɛt͡s
opitý	ɔpitiː
opustiť	ɔpuscic
opát	ɔpaːt
opúšťať	ɔpuːʃcac
orgazmu	ɔrɡazmu
