а	ʔ aː
гущаӏэ	ɡʷ ə ɕ aː ʔ a
гущыӏалъ	ɡʷ ə ɕ ə ʔ aː ɬ
гущыӏанчъэ	ɡʷ ə ɕ ə ʔ a n t͡ʂ ʼ a
гущыӏап	ɡʷ ə ʃʷ ʼ a p
гущыӏэ	ɡʷ ə ɕ ə ʔ a
гущыӏэгъал	ɡʷ ə ɕ ə ʔ a ʁ aː ɮ
гущыӏэгъу	ɡʷ ə ɕ ə ʔ a ʁʷ
гущыӏэн	m a ɡʷ ɕ ə ʔ a n
гущыӏэрые	ɡʷ ə ɕ ə ʔ a r ə j a
гущыӏэухыгъэ	ɡʷ ə ɕ ə ʔ a w x ə ʁ a
гуӏэн	ɡʷ ə ʔ a n
гъаблэ	ʁ aː b ɮ a
гъажъо	ʁ aː ʒʷ a
гъалэ	ʁ aː ɮ a
гъатхэ	ʁ aː t x a
гъаф	ʁ aː f
гъашӏэ	ʁ aː ʃ ʼ a
гъо	ʁʷ a
гъогогъу	ʁʷ a ɡʷ a ʁʷ
гъогу	ʁʷ a ɡʷ
гъогумаф	ʁʷ a ɡʷ m aː f
гъогуонэкӏуныр	ʁʷ a ɡʷ ə w a n a kʷ ʼ ə n ə r
гъогурыгъуазэ	ʁʷ a ɡʷ r ə ʁʷ aː z a
гъогъон	ʁʷ a ʁʷ a n
гъогын	ʁʷ a ɣ ə n
гъожьы	ʁʷ a ʑ ə
гъожьыплъыжь	ʁʷ a ʑ p ɬ ə ʑ ə
гъожьышэплъ	ʁʷ a ʑ ə ʃ a p ɬ
гъоз	ʁʷ a z
гъозадж	ʁʷ a z aː d͡ʒ
гъозэнэфы	ʁʷ a z a n a f ə
гъоин	ʁʷ a j ə n
гъойщай	ʁʷ a j ɕ aː j
гъойщэен	ʁʷ a j ɕ a j a n
гъолагъ	ʁʷ a ɮ aː ʁ
гъолагъу	ʁʷ a ɮ aː ʁ
гъолагъэ	ʁʷ a ɮ aː ʁ a
гъолъын	ʁʷ a ɬ ə n
гъолъыпӏэ	ʁʷ a ɬ ə p ʼ a
гъомыл	ʁʷ a m ə ɮ
гъомылапхъэ	ʁʷ a m ə l aː p χ a
гъонлагъэ	ʁʷ a n ɮ aː ʁ a
гъончэдж	ʁʷ a n t͡ʃ a d͡ʒ
гъоплъашъо	ʁʷ a p ɬ ə ʂʷ a
гъоплъашъу	ʁʷ a p ɬ aː ʂʷ
гъоплъышъо	ʁʷ a p ɬ ə ʂʷ a
гъопэкӏаку	ʁʷ aː p a t͡ʃ ʼ aː kʷ
гъопэкӏьаку	ʁʷ aː p a kʲ ʼ aː kʷ
гъопэкӏьэхь	ʁʷ aː p a kʲ ʼ a ħ
гъопэкӏэхь	ʁʷ aː p a t͡ʃ ʼ a ħ
гъотын	ʁʷ a t ə n
гъоу	ʁʷ a w
гъочӏэгъ	ʁʷ a t͡ʂ ʼ a ʁ
гъошэгь	ʁʷ a ʃ a ɡʲ
гъощэн	ʁʷ a ɕ a n
гъу	ʁʷ ə
гъуамэ	ʁʷ aː m a
гъуанэ	ʁʷ aː n a
гъуаплъэ	ʁʷ aː p ɬ a
гъуапэ	ʁʷ aː p a
гъубдж	ʁʷ ə b d͡ʒ
гъугъэ	ʁʷ ə ʁ a
гъуен	ʁʷ ə j a n
гъукӏэ	ʁʷ ə t͡ʃ ʼ a
гъумы	ʁʷ ə m ə
гъун	ʁʷ ə n
гъунапкъэ	ʁʷ ə n aː p q a
гъунгьэ	ʁʷ ə n ɡʲ a
гъунд	ʁʷ ə n d
гъунджэ	ʁʷ ə r d͡ʒ a
гъунэ	ʁʷ ə n a
гъунэгъу	ʁʷ ə n a ʁʷ
гъунэфын	ʁʷ ə n a f ə n
гъупчъ	ʁʷ ə p t͡ɕ
гъургьэ	ʁʷ ə r ɡʲ a
гъурз	ʁʷ ə r z
гъусэ	ʁʷ ə s a
гъусэн	ʁʷ ə s a n
гъутхьан	ʁʷ ə t ħ aː n
гъучӏы	ʁʷ ə t͡ʃ ʼ ə
гъучӏыбзыу	ʁʷ ə t͡ʂ ʼ ə b z ə w
гъучӏынэ	ʁʷ ə t͡ʂ ʼ ə n a
гъучӏыӏунэ	ʁʷ ə t͡ʂ ʼ ə ʔʷ ə n a
гъучӏӏунэ	ʁʷ ə t͡ʂ ʼ ə ʔʷ ə n a
гъушъы	ʁʷ ə ʂ ə
гъушъын	ʁʷ ə ʂ ə n
гъы	ʁ ə
гъыбзэ	ʁ ə b z a
гъымакъэ	ʁ ə m aː q a
гъын	ʁ ə n
гъычгъэ	ʁ ə t͡ʃ ʁ a
гъэ	ʁ a
гъэбылъын	ʁ a b ə ɬ ə n
гъэбыяун	ʁ a b ə j aː n
гъэбэдзэжьын	ʁ a b a d͡z a ʑ ə n
гъэгожъын	ʁ a ɡʷ a ʐ ə n
гъэгоӏэн	ʁ a ɡʷ a ʔ a n
гъэгубжын	ʁ a ɡʷ ə b ʒ ə n
гъэгумэкӏын	ʁ a ɡʷ ə m a t͡ʃ ə n
гъэгъун	ʁ a ʁʷ ə n
гъэгъушъын	ʁ a ʁʷ ʂ ə n
гъэгъын	ʁ a ʁ ə n
гъэгъэн	m a ʁ a ʁ a n
гъэгьэн	ʁ a ɡʲ a n
гъэделэн	ʁ a d a j l a n
гъэджыджэн	ʁ a d͡ʒ ə d͡ʒ a n
гъэджэн	ʁ a d͡ʒ a n
гъэдэӏон	ʁ a d a ʔʷ ə n
гъэжъон	ʁ a ʒʷ a n
гъэжъэн	ʁ a ʐ a n
гъэжьэн	j a ʁ a ʑ a n
гъэзалъэ	ʁ a z aː ɬ a
гъэзет	ʁ a z j a t
гъэзетщапӏэ	ʁ a z j a t ɕ aː p ʼ a
гъэзэжьын	ʁ a z a ʑ ə n
гъэзэзэн	ʁ a z a z a n
гъэзэн	ʁ a z a n
гъэзэщын	ʁ a z a ʃ ə n
гъэкощын	ʁ a kʷ a ɕ ə n
гъэкуон	ʁ a kʷ ə w a n
гъэкъын	ʁ a q ə n
гъэкъэбзэн	ʁ a q a b z a n
гъэкъэркъэтэн	ʁ a q a r q a t a n
гъэкьэрэгъун	ʁ a k a r a ʁʷ ə n
гъэкьэрэзын	ʁ a kʲ a r a z ə n
гъэкӏодын	ʁ a kʷ ʼ a d ə n
гъэкӏосэн	ʁ a kʷ ʼ a s a n
гъэкӏэрэкӏэн	ʁ a t͡ʃ a r a t͡ʃ a n
гъэлагъэ	ʁ a l aː ʁ a
гъэлакӏо	ʁ a ɮ aː kʷ ʼ a
гъэлъэжъон	ʁ a ɬ a ʐʷ a n
гъэлъэпӏэн	ʁ a ɬ a p ʼ a n
гъэлъэхъу	ʁ a ɬ a χʷ
гъэлыгъон	ʁ a ɮ ə ʁʷ a n
гъэлыгьын	ʁ a l ə ɡʲ ə n
гъэлыджын	ʁ a l ə d͡ʒ ə n
гъэлэжьэн	ʁ a l a ʑ a n
гъэлэлэн	ʁ a l a l a n
гъэлӏэн	ʁ a ɬ ʼ a n
гъэмартын	ʁ a m aː r t ə n
гъэмафэ	ʁ a m aː f a
гъэмэхъэшэн	ʁ a m a χ a ʃ a n
гъэны	ʁ a n ə
гъэнэфэн	ʁ a n a f a n
гъэон	ʁ a w a n
гъэохъун	ʁ a w a χʷ ə n
гъэплъын	ʁ a p ɬ ə n
гъэпрэзэн	ʁ a p r a z a n
гъэпскӏын	ʁ a p s ə t͡ʃ ʼ ə n
гъэпскӏыпӏэ	ʁ a p s t͡ʃ ə p ʼ a
гъэпсыкӏ	ʁ a p s ə t͡ʃ ʼ
гъэпсыкӏын	ʁ a p s ə t͡ʃ ʼ ə n
гъэпсыкӏьын	ʁ a p s ə kʲ ʼ ə n
гъэпсын	ʁ a p s ə n
гъэпсэн	ʁʷ a t ə n
гъэпсэфакӏо	ʁ a p s a f aː kʷ ʼ a
гъэпсэфыгъо	ʁ a p s a f ə ʁʷ a
гъэпсэфын	ʁ a p s a f ə n
гъэпсӏэн	ʁ a p s ʼ ə n
гъэпхын	j a ʁ a p x ə n
гъэпцӏакӏо	ʁ a p t͡s ʼ aː kʷ ʼ a
гъэпцӏэн	ʁ a p t͡s ʼ ə n
гъэпшъын	ʁ a p ʂ ə n
гъэпщтын	ʁ a p ɕ t ə n
гъэпщын	ʁ a p ɕ ə n
гъэпщэн	ʁ a p ɕ a n
гъэпэн	ə ʁ a p a n
гъэпӏоркӏын	ʁ a pʷ ʼ a n t͡ʃ ʼ ə n
гъэпӏэркӏьын	ʁ a p ʼ a r kʲ ə n
гъэрсысын	ʁ a r s ə s ə n
гъэрэзэн	ʁ a r a z a n
гъэрэкӏо	ʁ a r a kʷ ʼ a
гъэрэкӏопагъэ	ʁ a r a kʷ ʼ a p aː ʁ a
гъэсагъ	ʁ a s aː ʁ
гъэсмэджэн	ʁ a s m a d͡ʒ a n
гъэстын	ʁ a s t ə n
гъэсысын	ʁ a s ə s ə n
гъэсэкъатын	ʁ a s a q aː t ə n
гъэсэкӏэн	ʁ a s a t͡ʃ ʼ a n
гъэсэн	ʁ a s a n
гъэсэныгъэ	ʁ a s a n ə ʁ a
гъэсэфытхыдэ	ʁ a s a f ə t x ə d a
гъэткӏун	ʁ a t kʷ ʼ ə n
гъэтхапэмаз	ʁ a t x aː p a m aː z
гъэтхъэжьын	ʁ aː t χ a ʑ ə n
гъэтхъэн	ʁ a t χ a n
гъэтэрэзын	ʁ a t a r a z ə n
гъэтӏылъын	ʁ a t ʼ ə ɬ ə n
гъэтӏысын	ʁ a t ʼ ə ɬ ə n
гъэтӏэтӏэн	ʁ a t ʼ a t ʼ a n
гъэузын	ʁ a w z ə n
гъэунэзэн	ʁ a w n a z a n
гъэунэн	ʁ a w ə n ə n
гъэунэхъун	ʁ a w n a χʷ ʁ n
гъэунэшкӏун	ʁ a w n a ʃ kʷ ʼ ə n
гъэупысӏэн	ʁ a w p s ʼ a n
гъэупыцӏэн	ʁ a w p t͡s ʼ a n
гъэупэпцӏын	ʁ a w p a p t͡s ʼ ə n
гъэупӏэпӏэн	ʁ a w p ʼ a p ʼ a n
гъэусыен	ʁ a w s ə h a n
гъэутхъон	ʁ a w t χʷ a n
гъэутэшъон	ʁ a w t a ʃʷ a n
гъэутӏэпӏын	t ʼ s a p ʼ ə n
гъэухьазырын	ħ aː z ə r ə n
гъэуцун	ʁ a w ə t͡sʷ ə n
гъэуцун	ʁ a w ə t͡ʃʷ ə n
гъэушӏоин	ʁ a w ʂʷ a j ə n
гъэушӏоркъын	ʁ a w ʃʷ ʼ a r q ə n
гъэуэн	ʁ a w a n
гъэфэбапӏэ	ʁ a f a b aː p ʼ a
гъэхъон	ʁ a χʷ a n
гъэхъужьын	ʁ a χʷ ə ʑ ə n
гъэхъун	ʁ a χʷ ə n
гъэхъэн	ʁ a χ a n
гъэхьын	ʁ a ħ ə n
гъэцохъон	ʁ a t͡sʷ a χʷ a n
гъэцэкӏэжьын	ʁ a t͡s a t͡ʃ a ʑ ə n
гъэцэкӏэжьыпӏэ	ʁ a t͡s ə t͡ʃ a ʑ ə p ʼ a
гъэцэкӏэн	ʁ a t͡s a t͡ʃ a n
гъэцӏыон	ʁ a t͡s ʼ ə w a n
гъэцӏырэн	ʁ a t͡s ʼ ə r a n
гъэцӏэтхын	ʁ a t͡s ʼ a t x ə n
гъэчъэхын	j a ʁ a t͡ʂ a x ə n
гъэчэн	ʁ a t͡ʃ a n
гъэчэрэгъун	ʁ a t͡ʃ a r a ʁʷ ə n
гъэчэрэзын	ʁ a t͡ʃ a r a z ə n
гъэшъуен	ʁ a ʂʷ j a n
гъэшъхъын	ʁ a ʂ ə χ ə n
гъэшъхъэгъ	ʁ a ʂ χ ə ʁ a
гъэшъыпкъэжьын	ʁ a ʂ ə p q a ʑ ə n
гъэшӏон	ʁ a ʃʷ ʼ a n
гъэшӏоӏун	ʁ a ʃʷ ʼ a ʔʷ ə n
гъэшӏыкӏьэен	ʁ a ʃ ʼ ə kʲ ʼ a j a n
гъэшӏыкӏэен	ʁ a ʃ ʼ ə t͡ʃ ʼ a j a n
гъэшӏэгъон	ʁ a ʃ ʼ a ə ʁʷ a n
гъэшӏэгъоны	ʁ a ʃ ʼ a ʁʷ a n ə
гъэщтын	ʁ a ɕ t ə n
гъэщтэн	ʁ a ɕ t a n
гъэщынэн	ʁ a ɕ ə n a n
гъэӏонтӏэн	ʁ a ʔʷ a n t ʼ a n
гъэӏортӏэн	ʁ a ʔʷ a r t ʼ a n
гъэӏорышӏэн	ʁ a ʔʷ a r ʃ ʼ a n
гъэӏулэн	ʁ a ʔʷ ə l a n
гъэӏэсэн	ʁ a ʔ a s a n
гыен	ɣ ə j a n
гыкӏыгъ	ɣ ə t͡ʃ ʼ ə ʁ
гыкӏын	ɣ ə t͡ʃ ə n
гыкӏэн	ɣ ə t͡ʃ a n
гын	ɣ ə n
гыны	ɣ ə n ə
гыныплъ	ɣ ə n ə p ɬ
гырзын	ɣ ə r z ə n
гьанэ	ɡʲ aː n a
гьары	ɡʲ aː r ə
гьаур	ɡʲ aː w ə r
гьи	ɡʲ ə j
гьэгу	ɡʲ a ɡʷ
гьэгуалъэ	ɡʲ a ɡʷ aː ɬ a
гьэгун	ɡʲ a ɡʷ ə n
гьэнэпылъапӏ	ɡʲ a n a p ə ɬ aː p ʼ
гьэфы	ɡʲ a f ə
гьэч	ɡʲ a t͡ʃ
гьэш	ɡʲ a ʃ
гьэщту	ɡʲ a ɕ t ə w
гэ	ɣ a
дагъо	d aː ʁʷ a
дагъэ	d aː ʁ a
дадыу	d aː d ə w
дае	d aː j a
дакъэ	d aː q a
дакӏэ	d aː t͡ʃ a
дампӏ	d aː m p ʼ
данэ	d aː n a
дао	d aː w a
дапӏэ	d aː p ʼ a
даргу	d aː r ɡʷ
дасэ	d aː s a
даут	d a w ə t
дауш	d aː w ʃ
дахэ	d aː x a
дашӏэ	d aː ʃ ʼ a
даӏо	d aː ʔʷ a
дебзыкӏэн	d e b z ə t͡ʃ a n
дебзын	d e b z ə n
деблэ	d e b l a
дегун	d e ɡʷ ə n
дегупшысэн	d e ɡʷ ə p ʃ ə s a n
дегъэбзыхыкӏэн	ʁ a p s ə n
дегъэбылъхьэн	d e ʁ a b ə ɬ ħ a n
дегъэзэн	d e ʁ a z a n
деджэгъу	d a j d͡ʒ a ʁʷ
дежъыон	d a j ʐ ə w a n
дежъыуакӏо	d a j ʐ ə w aː kʷ a
дежъыун	d a j ʐ ə w a n
дежьыен	d e ʑ ə j a n
декъузэн	d a j qʷ ə z a n
декъыен	d a j q ə j a n
декӏэкӏьын	d a i t͡ʃ a kʲ ə n
делагъэ	d a j l aː ʁ a
делашъу	d a j l aː ʃʷ
делъэсыкӏын	d a j ɬ a s ə t͡ʃ ə n
делъэсэен	d a j ɬ a s a j a n
делъэшъоен	d a j ɬ a ʂʷ a j a n
делэ	d a j l a
делэ	d a j ɮ a
делэжъ	d a j l a ʐ
делэхъан	d a j l a χ aː n
делэщ	d a j l a ɕ
деокӏын	d a j w a t͡ʃ ə n
дес	d a j s
дестэ	d a j s t a
дестэгъу	d a j s t a ʁʷ
десэгъу	d a j s a ʁʷ
деугъоен	d e w ʁʷ a j a n
деузэндын	d a j w z a n d ə n
деузэнкӏын	d a j w z a n t͡ʃ ə n
деукъон	d a j qʷ a n
деупсэен	d e w p s a j a n
деупӏэпӏэн	d a j w p ʼ a p ʼ a n
деусын	d a j s ə n
деусэн	d a j s a n
деутын	d a j t ə n
деутэн	d e w t a n
деухьэн	d e w ħ a n
деушъэн	d a j ʂ a n
дефыен	d a j f ə j a n
дехын	d a j x ə x
дехьыен	d a j ħ ə j a n
дехьыхын	d a j ħ ə x ə n
дещыен	d a j ɕ ə j a n
деӏэн	d a j ʔ a n
деӏэтаен	d e ʔ a t aː j a n
джабгъо	d͡ʒ aː b ʁʷ a
джагъо	d͡ʒ aː ʁʷ a
джагъу	d͡ʒ a ʁʷ
джадэ	d͡ʒ aː d a
джае	d͡ʒ aː j a
джакӏо	d͡ʒ aː kʷ ʼ a
джамбырыу	d͡ʒ aː m b ə r ə w
джамбырыугъазэ	d͡ʒ aː m b ə r ə w ʁ aː z a
джанкъылъыщ	d͡ʒ aː n ə ɬ ə ɕ
джантый	d͡ʒ aː n t ə j
джанэ	d͡ʒ aː n a
джаргъэн	d͡ʒ aː r ʁ a n
джары	d͡ʒ aː r ə
джарэу	d͡ʒ aː r a w
джасэ	d͡ʒ aː s a
джау	d͡ʒ aː w
джаузэ	d͡ʒ aː w z a
джаур	d͡ʒ aː w ə r
джаущтэу	d͡ʒ aː w ə ɕ t a w
джашъо	d͡ʒ aː ʃʷ a
джащыгъум	d͡ʒ aː ɕ ə ʁʷ ə m
джы	d͡ʒ ə
джыбэ	d͡ʒ ə b a
джыджэн	m a d͡ʒ ə d͡ʒ a n
джыдэдэм	d͡ʒ ə d a d a m
джыкӏэ	d͡ʒ ə t͡ʃ ʼ a
джын	d͡ʒ ə n
джынапцӏэ	d͡ʒ ə n aː p t͡s ʼ a
джынджыф	d͡ʒ ə n d͡ʒ ə f
джыны	d͡ʒ ə n ə
джынэ	d͡ʒ ə n a
джынэс	d͡ʒ ə n a s
джынэузэщ	d͡ʒ ə n a w z a ɕ
джыри	d͡ʒ ə r i
джырыкъу	d͡ʒ ə r ə qʷ
джырэ	d͡ʒ ə r a
джырэблагъ	d͡ʒ ə r a b l aː r
джырэкӏэ	d͡ʒ ə r a t͡ʃ ʼ a
джыхашъо	d͡ʒ ə x aː ʃʷ a
джыхьан	d͡ʒ ə ħ aː n
джыхьынэм	d͡ʒ ə ħ ə n a m
джыхэкӏотэн	d͡ʒ a x a kʷ ʼ a t a n
джыхэлъэдэн	d͡ʒ ə x a ɬ a d a n
джыхэон	d͡ʒ ə x a w a n
джыхэпкӏьэн	d͡ʒ ə x a p kʲ ʼ a n
джыхэпкӏэн	d͡ʒ ə x a p t͡ʃ ʼ a n
джыхэупсӏэн	d͡ʒ ə x a w p s ʼ a n
джыхэхьэн	d͡ʒ ə x a ħ a n
джэгогъу	d͡ʒ a ɡʷ a ʁʷ
джэгу	d͡ʒ a ɡʷ
джэгуакӏо	d͡ʒ a ɡʷ aː kʷ ʼ a
джэгуалъэ	d͡ʒ a ɡʷ aː ɬ a
джэгун	d͡ʒ a ɡʷ ə n
джэгупӏэ	d͡ʒ a ɡʷ ə p ʼ a
джэгъогъу	d͡ʒ a ʁʷ ə ɡʷ
джэгъогъун	d͡ʒ a ʁʷ ə ɡʷ ə n
джэгъолӏ	d͡ʒ a ʁʷ a ɬ ʼ
джэгъун	d͡ʒ a ʁʷ ə n
джэгъучӏэлъ	d͡ʒ a ʁʷ a ɬ
джэдгъалӏэфлъэ	d͡ʒ a d ʁ aː ɬ ʼ a f ɬ a
джэдгъалӏэфлъэ	d͡ʒ a d ʁ aː ɬ ʼ a xʷ ɬ a
джэдз	d͡ʒ a d͡z
джэдыгу	d͡ʒ a d ə ɡʷ
джэдыпэ	d͡ʒ a d ə p a
джэжьын	d͡ʒ a ʑ ə n
джэлъын	d͡ʒ a ɬ ə n
джэлыгъон	d͡ʒ a ɬ ə ʁʷ a n
джэмышх	d͡ʒ a m ə ʃ x
джэн	d͡ʒ a n
джэнджэш	d͡ʒ a n d͡ʒ a ʃ
джэндын	d͡ʒ a n d ə n
джэнета	d͡ʒ a n a j t aː
джэнета	d͡ʒ a n e t aː
джэнчы	d͡ʒ a n t͡ʃ ə
джэнчыдз	d͡ʒ a n t͡ʃ ə d͡z
джэныкъохьаку	d͡ʒ a n ə qʷ a ħ aː kʷ
джэныкъу	d͡ʒ a n ə qʷ
джэнэпылъапӏ	d͡ʒ a n a p ə ɬ aː p ʼ
джэрыон	d͡ʒ a r ə w a n
джэрыуакӏо	d͡ʒ a r ə w aː kʷ ʼ a
джэуап	d͡ʒ a w aː p
джэущтэу	d͡ʒ a w ɕ t a w
джэфы	d͡ʒ a f ə
джэхашъо	d͡ʒ a x aː ʃʷ a
джэщгъум	d͡ʒ a ɕ ʁʷ ə m
дзакӏо	d͡z aː kʷ ʼ a
дзапӏэ	d͡z aː p ʼ a
дзуцон	d͡zʷ ə t͡sʷ a n
дзын	d͡z ə n
дзыо	d͡z ə w a
дзэ	d͡z a
дзэкӏолӏы	d͡z a kʷ ʼ a ɬ ʼ ə
дзэлыкъуэбгъэ	d z a l ə qʷ a b ʁ a
дзэлӏы	d͡z a ɬ ʼ ə
дзэпщ	d͡z a p ɕ ə
дигъэткӏон	d i ʁ a t kʷ ʼ a n
дунае	d u n aː j a
дунай	d u n aː j
дыгьы	d ə ɡʲ ə
дыджы	d ə d͡ʒ ə
дыин	d ə j ə n
дый	d ə j
дыйдалхь	d ə j d aː l ħ
дыйдэлъ	d ə j d a ɬ
дыйрылъ	d ə j a r ə ɬ
дыйшъо	d ə j ʃʷ a
дыйшъоутын	d ə j ʃʷ a w t ə n
дын	d ə n
дыо	d ə w a
дыргу	d ə r ɡʷ
дырын	d ə r ə n
дысы	d ə s ə
дыу	d ə w
дыухьэ	d ə w ħ a
дыухэр	d ə w a r
дыуэр	d ə w a r
дыхьэщхын	d ə ħ a ɕ x ə n
дышъэ	d ə ʂ a
дышъэкӏ	d ə ʂ a t͡ʃ
дышъэчэт	d ə ʐ a kʲ a t
дышъэчэт	d ə ʐ a t͡ʃ a t
дыщыпс	d ə ɕ ə p s
дэ	d a
дэбзыкъу	d a b z ə qʷ
дэбыбэен	d a b ə b a j a n
дэгу	d a ɡʷ ə
дэгъналъэ	d a ʁ n aː ɬ a
дэгъолъхьан	t a ʁʷ a ɬ ħ aː n
дэгъу	d a ʁʷ ə
дэгъэбыбыкӏын	d a ʁ a b ə b ə t͡ʃ ə n
дэгъэбыбэен	d a ʁ a b ə b a j a n
дэгъэбылъхьэн	d a ʁ a b ə ɬ ħ a n
дэгъэдыдыкӏын	d a ʁ a d ə d ə kʲ ə n
дэгъэзен	d a ʁ a z a j a n
дэгъэзын	d a ʁ a z ə n
дэгъэкӏоен	d a ʁ a kʷ ʼ a j a n
дэгъэнэн	d a ʁ a n a n
дэгъэптӏэн	d a ʁ a p t ʼ a n
дэгъэтын	d a ʁ a t ə n
дэгъэтӏысхьэн	d a ʁ a t ʼ ə s ħ a n
дэгъэтӏытӏэн	d a ʁ a t ʼ ə t ʼ a n
дэгъэуцон	d a ʁ a w a t͡sʷ a n
дэгъэфэн	d a ʁ a f a n
дэгъэчъыхьэн	d a ʁ a t͡ʃ ə ħ a n
дэж	d a ʒ
дэжь	d a ʑ
дэзэкӏон	d a z a kʷ ʼ a n
дэи	d a j ə
дэигъэ	d a j ə ʁ a
дэй	d a j
дэкон	d a kʷ a n
дэкьэн	d a kʲ a n
дэкӏогъу	d a kʷ ʼ a ʁʷ
дэкӏоен	d a kʷ ʼ a j a n
дэкӏон	d a kʷ ʼ a n
дэкӏоцэн	d a kʷ ʼ a t͡s a n
дэкӏояпӏэ	d a kʷ ʼ a j aː p ʼ a
дэлъхьэн	d a ɬ ħ a n
дэлъын	d a ɬ ə n
дэлъыпӏэ	d a ɬ ə p ʼ a
дэн	d a n
дэнэн	d a n a n
дэон	d a w a n
дэпкъы	d a p q ə
дэптӏэн	d a p t ʼ a n
дэсын	d a s ə n
дэтхъын	d a t χ ə n
дэтэкъон	d a t a qʷ a n
дэтэкъун	d a t a qʷ ə n
дэуахьы	d a w aː ħ ə
дэубытэн	d a w b ə t a n
дэугощын	d a w ɡʷ a ɕ ə n
дэфын	d a f ə n
дэфыцӏэн	d a f ə t͡s ʼ a n
дэфэн	d a f a n
дэхьагъо	d a ħ aː ʁʷ a
дэхьан	d a ħ aː n
дэхьапӏэ	d a ħ aː p ʼ a
дэхьащх	d a ħ aː ɕ x
дэхьащхын	d a ħ aː ɕ x ə n
дэхьын	d a ħ ə n
дэхьыхын	d a ħ ə x ə n
дэхьэ	d a ħ a
дэхьэгъу	d a ħ aː ʁʷ a
дэхьэзэ	d a ħ a z a
дэхэт	d a x a t
дэшхын	d a ʃ x ə n
дэщтэн	d a ɕ t a n
дэщыен	d a ɕ ə j a n
дэщэн	d a ɕ a n
дэялъ	d a j aː ɬ
дэӏон	d a ʔʷ a n
дэӏэпыӏэн	d a ʔ a p ə ʔ a n
е	j a
ебгъэн	j a b ʁ a n
ебгъэчэхын	j a b ʁ a t͡ʃ a x ə n
ебгын	j a b ɣ ə n
ебз	j a b z
ебзэин	j a b z a j ə n
еблэгъапӏэ	j a b l a ʁ aː p ʼ a
еблэгъэн	j a b l a ʁ a n
ебэджын	j a b a d͡ʒ ə n
ебэнын	j a b a n ə n
ебэун	b a w a n
егукӏэн	j a ɡʷ ə t͡ʃ a n
егун	j a ɡʷ ə n
егупсэн	j a ɡʷ ə p s a n
егупшысэн	j a ɡʷ ə p ʃ ə s a n
егъанэ	j a ʁ aː n a
егъашӏи	j a ʁ aː ʃ ʼ ə j
егъоин	ʁʷ a j ə n
егъуин	j a ʁʷ ə j ə n
егъэблэгъэн	j a ʁ a b l a ʁ a n
егъэбэджын	j a ʁ a b a d͡ʒ ə n
егъэджэн	j a ʁ a d͡ʒ a n
егъэжьэн	j a ʁ a ʑ a n
егъэзыгъ	j a ʁ a t ə ʁ
егъэзын	j a ʁ a t ə n
егъэкӏун	j a ʁ a kʷ ʼ ə n
егъэлъэгъун	j a ʁ a ɬ a ʁʷ ə n
егъэлыен	j a ʁ a ɮ ə j a n
егъэолӏэн	j a ʁ a w a ɬ ʼ a n
егъэпхыгъ	x a ʃ ʼ aː ʁ
егъэпхын	j a ʁ a p x ə n
егъэсэн	j a ʁ a s a n
егъэтыгъ	j a ʁ a t ə ʁ
егъэтын	j a ʁ a t ə n
егъэуагъ	j a ʁ a w aː ʁ
егъэусыен	ʁ a w s ə j a n
егъэчъэхын	j a ʁ a t͡ʂ a x ə n
егъэӏун	j a ʁ a ʔʷ ə n
егыин	j a ɣ ə j ə n
егьапӏэ	j a ɡʲ aː p ʼ a
егьэн	j a ɡʲ a n
еджакӏо	j a d͡ʒ aː kʷ ʼ a
еджапӏэ	j a d͡ʒ aː p ʼ a
еджыджэхын	j a d͡ʒ ə d͡ʒ a n
еджэжьын	d͡ʒ a ʑ ə n
еджэн	j a d͡ʒ a n
еджэнджэшын	j a d͡ʒ a n d͡ʒ a n ʃ ə n
едзын	j a d͡ʒ ə n
едэӏун	j a d a ʔʷ ə n
ежь	j a ʑ
ежьашъо	j a ʑ aː ʂʷ a
ежьхэ	j a ʑ x a
ежьэжьын	j a ʑ a ʑ ə n
ежьэн	j a ʑ a n
ежэн	j a ʒ a n
езбырэу	j a z b ə r a w
езбэрэу	j a z b a r a w
езэгъын	j a z a ʁ ə n
езэон	j a z a w a n
езэщын	j a z a ʃ ə n
еин	j a j ə n
екъудыин	qʷ ə d ə j ə n
екӏолӏэн	j a kʷ ʼ a ɬ ʼ a n
екӏошъэн	j a kʷ ʼ a ʂ a n
екӏун	j a kʷ ʼ ə n
екӏуэщэн	j a kʷ ʼ a ɕ a n
екӏэхын	j a t͡ʃ ʼ a x ə m
елъэпэон	j a ɬ a p a w a n
елэн	j a l a n
емын	j a m ə n
емынэ	j a m ə n a
енэгуен	j a n a ɡʷ ə j a n
енэгуй	j a n a ɡʷ ə j
енэгуягъо	j a n a ɡʷ ə j aː ʁʷ a
енэкъокъун	j a n a qʷ a qʷ a n
енэкӏьэон	j a n a kʲ a w a n
енэкӏэон	j a n a t͡ʃ a w a n
енэпэон	n a p a w a n
енэпэшъоон	j a n a p a ʃʷ a w a n
енэсӏын	j a n a s ʼ ə n
енэу	j a n a w
енэцӏын	j a n a t͡s ʼ ə n
еон	j a w a n
еоой	j a w a w a j
еплъын	j a p ɬ ə n
епхын	j a p x ə n
епцӏыжьын	j a p t͡s ʼ ə ʑ ə n
епщэн	j p ɕ a n
