а	a
хайч	x a i t͡ɕʰ
хайчлах	x a i t͡ɕʰ ɮ ə x
халаад	x a ɮ a t
халх	x a ɮ x
хамгаалах	x a m ɡ aː ɮ a x
хамт	x a m tʰ
хан	χ ä ŋ
хана	χ ä n
ханз	x a n t͡s
харайх	x a r a i x
харандаа	x a r ə n t a
харваа	x a r w a
харваач	x a r w a t͡ɕʰ
харгана	x a r ɢ ə n
харин	x a rʲ ə ŋ
хариу	x a rʲ ʊ
хатмал	x a tʰ m ə ɮ
хахууль	x a x ʊ ɮʲ
хаялах	x a j ɮ ə x
хаях	x a j ə x
хдхв	x eː t eː x eː w eː
хиам	xʲ aː m
хижээл	x i t͡ɕ e ɮ
хий	x iː
хиймэл	x iː m ə ɮ
хийх	x iː x
хил	x i ɮ
хирс	x i r s
хог	x ɔ ɡ
хойг	x ɔ i ɡ
хойд	χ œː tʰ
хойно	x ɔ i n
хол	χ ɔ ɬ
холбоо	χ ɔ ɮ p ɔː
холтос	x ɔ ɮ tʰ ə s
хонь	x ɔ nʲ
хоол	x ɔː ɮ
хорвоо	x ɔ r w ɔ
хордох	x ɔ r t ə x
хорсох	x ɔ r s ə x
хос	x ɔ s
хот	x ɔ tʰ
хотон	χ ɔ tʰ o ŋ
хотын	x ɔ tʰ i ŋ
хошного	x ɔ ʃ n ə ɢ
хоёр	x ɔ j ə r
хуанли	x ʊ a ŋ ɮ i
хуваарь	x ʊ w̜ aː rʲ
хуванцар	x ʊ w̜ ə n t͡s ə r
хувилбар	x ʊ wʲ ə ɮ p ə r
хувсьгал	x u v ə s x ɑ ɮ
хувцас	x ʊ w t͡sʰ ə s
хувь	x ʊ wʲ
хувьсгал	x ʊ̈ w̜ s ɡ ə ɮ
хугацаа	x ʊ ɢ t͡sʰ a
худал	x ʊ t ə ɮ
худалдах	x ʊ t ə ɮ t ə x
худалч	x ʊ t ə ɮ t͡ɕʰ
хударга	x ʊ t r ə ɢ
хуй	x ʊ i
хулгана	x ʊ ɮ ɢ ə n
хулхи	x ʊ ɮ xʲ
хумс	x ʊ m s
хун	x ʊ n
хураамж	x ʊ r aː m t͡ʃ
хурал	x ʊ r ə ɮ
хурга	x ʊ r ə ɢ
хурим	x ʊ rʲ ə m
хуруу	x ʊ r ʊ
хуруувч	x ʊ r ʊ w t͡ɕʰ
хурхирах	x ʊ rʲ xʲ ə r ə x
хусах	x ʊ s ə x
хутга	x ʊ tʰ ə ɢ
хуудас	x ʊː t a s
хууль	x ʊː ɮʲ
хуурах	x ʊː r ə x
хуурга	x ʊː r ə ɢ
хуушуур	x ʊː ʃ ʊ r
хэбид	x i p i t
хэвэл	x e v e ɮ
хэдэрлэх	x e t ə r ɮ ə x
хэзээ	x i t͡s eː
хэл	x i ɮ
хэлэлцэх	x i ɮ ə ɮ t͡sʰ ə x
хэлэх	x i ɮ ə x
хэм	x i m
хэмжээ	x i m t͡ɕ e
хэн	x i ŋ
хэрэг	k e r e ɡ
хэрэг	x i r ə ɡ
хэрэглэгдэх	x i r ə ɡ ɮ ə ɡ t ə
хэрэглэгдэхүүн	x i r i ɡ ɮ i ɡ t i x uː ŋ
хэрэглэл	x i r ə ɡ ɮ ə ɮ
хэрэглэх	k e r e ɡ l e x ʉ
хэрэглэх	x i r ə ɡ ɮ ə x
хэрэглээ	x i r ə ɡ ɮ e
хэрэглүүр	x i r ə ɡ ɮ u r
хэрэгтэй	x i r ə ɡ tʰ e
хэрүүл	x i r u ɮ
хэтэвч	x e tʰ ə w t͡ɕʰ
хэхрэх	x i x r i x
хээр	x ɛ e r
хязгаар	xʲ a t͡s ɢ a r
хялгас	xʲ a ɮ ʁ a s
хянган	x j a ŋ ɡ a ŋ
хяргах	xʲ a r ɢ ə x
хярс	xʲ a r s
хятад	x j a tʰ a t
хүзүү	x u t͡s u
хүлэх	x u ɮ ə x
хүмүүн	x u m uː ŋ
хүнд	x u n t
хүнс	x u n s
хүнцэл	x u n t͡s i ɮ
хүрз	x u r t s
хүрхрээ	x u r x r e
хүрэл	x u r ə ɮ
хүрэлзгэнэ	x u r ə ɮ t͡s ɡ ə n
хүрэх	x u r ə x
хүсэх	x u s ə x
хүч	x u t͡ɕʰ
хүү	x uː
хүүхэд	x uː x ə t
хүүхэлдэй	x uː x ə ɮ t e
хөвгүүн	x ɵ w̜ ɡ uː ŋ
хөвүүн	x ɵ w̜ ɡ uː ŋ
хөгжим	x ɵ ɡ t͡ʃ i m
хөгжимчин	x o ɡ t͡ɕ ə m t͡ɕʰ ə ŋ
хөдлөх	x o t ɮ ə x
хөлдөөгч	x o ɮ t o ɡ t͡ɕʰ
хөмрүүлэх	x o m r u ɮ ə x
хөмрөх	x o m r ə x
хөмүүн	x o m u ŋ
хөндий	x o n t i
хөнжил	x ɵ n t͡ɕ ə ɮ
хөнөг	x o n ə ɡ
хөргүүр	x ɵ r ɡ uː r
хөргөгч	x ɵ r ɡ ɵ ɡ t͡ʃʰ
хөрс	x o r s
хөрш	x o r ʃ
хөрөө	x o r o
хөхүүр	x o x u r
хөхөх	x ɵ x ə x
хөөмий	x oː m i j
хөөрөг	x oː r ə ɡ
цаасан	t͡sʰ aː s ə ŋ
цавуу	t͡sʰ a w ʊ
цаг	t͜sʰ ä k̠
цагаан	t͡s a ɢ aː ŋ
цаглабар	t͡s a ɡ ɮ a p a r
цадиг	t͡sʰ a tʲ ə ɡ
цай	t͡s a i
цайллага	t͡sʰ a i ɮ ɮ ə ɢ
цайр	t͡sʰ a i r
цамц	t͡s a m t͡s
цангаа	t͡sʰ a ŋ ɢ a
цангах	t͡sʰ a ŋ ɢ ə x
царс	t͡sʰ a r s
цас	t͡sʰ a s
цирк	t͡s i r kʰ
цогц	t͡sʰ ɔ ɡ t͡sʰ
цогцос	t͡sʰ ɔ ɡ t͡sʰ ə s
цонх	t͡s ɔ ŋ x
цохих	t͡sʰ ɔ xʲ ə x
цуйван	t͡sʰ ʊ i w ə ŋ
цус	t͡sʰ ʊ s
цэвэрлэх	t͡sʰ e w ə r ɮ ə x
цэг	t͡s i ɡ
цэрэг	t͡sʰ e r ə ɡ
цүүц	t͡sʰ uː t͡sʰ
цөл	t͡sʰ ø ɮ
цөлхөөв	t͡s ɵ ɮ x oː w̜
цөцгий	t͡sʰ o t͡sʰ ɡ i
цөөн	t͡sʰ oː ŋ
чавхдас	t͡ɕʰ a w x t ə s
чагнаал	t͡ɕʰ a ɡ n a ɮ
чанар	t͡ɕʰ a n ə r
чанарлаг	t͡ɕʰ a n ə r ɮ ə ɡ
чек	t͡ʃʰ e kʰ
чемодан	t͡ʃʰ e m t a ŋ
чи	t͡ʃʰ i
чийг	t͡ɕʰ iː ɡ
чийдэн	t͡ɕʰ iː t ə ŋ
чингис	t͡ɕʰ i ŋ ɡ ə s
чинжүү	t͡ʃʰ i n t͡ʃ uː
чих	t͡ɕʰ i x
чухаг	t͡ɕʰ ʊ x ə ɡ
чухал	t͡ɕʰ ʊ x ə ɮ
чөмөг	t͡ɕʰ o m ə ɡ
шаазгай	ʃ aː t͡s ɢ a i
шаардах	ʃ aː r t ə x
шаардлага	ʃ aː r t ɮ ə ɢ
шавар	ʃ a w ə r
шал	ʃ a ɮ
шалбархай	ʃ a ɮ p a r x a i
шалгалт	ʃ a ɮ ɢ ə ɮ tʰ
шалгах	ʃ a ɮ ɢ ə x
шалгуур	ʃ a ɮ ɢ ʊ r
шалтаг	ʃ a ɮ tʰ ə ɡ
шалтгаа	ʃ a ɮ tʰ ɡ a
шалтгаа	ʃ a ɮ tʰ ɢ a
шалтгаан	ʃ a ɮ tʰ ɢ a ŋ
шанаа	ʃ a n a
шанд	ʃ a n t
шанз	ʃ a n t͡s
шар	ʃ a r
шатаах	ʃ a tʰ a x
шатар	ʃ a tʰ ə r
шахах	ʃ a x ə x
швед	ʃ w̜ e t
швейцари	ʃ e̞ f t͜sʰ äˑ r
шивнэх	ʃ i w n ə x
шивээс	ʃ i w e s
шийдвэр	ʃ iː t w ə r
шийжүү	ʃ iː t͡ɕ u
шил	ʃ i ɮ
шилбэ	ʃ i ɮ p
шилүүс	ʃ i ɮ u s
шингэн	ʃ i ŋ ɡ ə ŋ
шинэ	ʃ i n
шинэлэг	ʃ i n ɮ ə ɡ
ширээ	ʃ i r e
шодой	ʃ ɔ t ɔ i
шоколад	ʃ ɔ kʰ ɮ a t
шонхор	ʃ ɔ ŋ x ɔ r
шоо	ʃ ɔː
шоргоолж	ʃ ɔ r ɡ ɔː ɮ t͡ʃ
шорлог	ʃ ɔ r ɮ ə ɡ
шороо	ʃ ɔ r ɔː
шпагетти	ʃ pʰ a ɡ e tʰ tʰ
шувуу	ʃ ʊ w ʊ
шугам	ʃ ʊ ɢ ə m
шулуун	ʃ ʊ ɮ ʊ ŋ
шуугиан	ʃ ʊː ɡʲ a ŋ
шуудан	ʃ ʊː t a ŋ
шээх	ʃ eː x
шүд	ʃ u d
шүлс	ʃ u ɮ s
шүлэг	ɕ y l ɛ k
шүүдэр	ʃ uː t ə r
шүүр	ʃ uː r
шүүрдэх	ʃ uː r t i x
шүүс	ʃ uː s
шүүслэг	ʃ uː s ɮ ə ɡ
шүүслэх	ʃ uː s ɮ ə x
шөнө	ʃ ɵ n
эв	i w
эвэр	e w ə r
эд	e tʰ
эзэн	i t͡s ə ŋ
экзистэнциализм	ɛ q z i s t ɛ n t s j ɑ l i z m
элэг	i ɮ ə ɡ
эм	i m
эмнэлэг	i m n ə ɮ ə ɡ
эмч	i m t͡ʃʰ
эмчилгээ	e m t͡ɕʰ ə ɮ ɡ e
эмэгтэй	e m ə ɡ tʰ e
эмээ	e m e
эмээл	i m e ɮ
энд	e n t
энэ	i n
энэтхэг	i n i tʰ x i ɡ
эр	i r
эрдэнэ	e r t ə n
эрзээн	i r t͡s eː ŋ
эрх	i r x
эрхийвч	i r x i w t͡ɕʰ
эрхтэн	i r x tʰ i ŋ
эрхүү	e r x uː
эрч	i r t͡ɕʰ
эрүү	e r u
эсгий	i s ɡ i
эх	i x
эхлэх	e x ɮ ə x
эхнэр	i x n i r
ээмэг	eː m i k
юм	j ʊ m
юмдүүжин	j ʊ m t uː t͡ʃ i ŋ
юмсан	j ʊ m s a ŋ
юу	j ʊː
яагаад	j aː ɢ a t
явдал	j a w t ə ɮ
явц	j a w t͡sʰ
явцуу	j a w t͡sʰ ʊ
ямаа	j a m a
ямар	j a m ə r
яндан	j a n t a ŋ
янжуур	j a ŋ t͡ɕ ʊ r
янз	j a n t͡s
янхан	j a ŋ x a ŋ
япон	j ä pʰ ɔˑ ŋ
ястан	j ä s tʰ ə ŋ
ятга	j a tʰ ə ɢ
ятуу	j a tʰ ʊ
ёл	j ɔ ɮ
ёотон	j ɔː tʰ ɔ ŋ
ёс	j ɔ s
ёслол	j ɔ s ɮ ɔ ɮ
ёстой	j ɔ s tʰ ɔ i
үг	u ɡ
үгийн	u ɡ i ŋ
үдэш	u t i ʃ
үе	u j
үзэх	u t͡s ə x
үзүүр	u t͡s u r
үйл	u i ɮ
үйлдвэр	u i ɮ t w ə r
үйлдвэржих	u i ɮ t w ə r t͡ɕ ə x
үйлдвэрлэл	u i ɮ t w ə r ɮ ə ɮ
үйлдвэрлэх	u i ɮ t w ə r ɮ ə x
үйлдвэрчин	u i ɮ t w ə r t͡ɕʰ ə ŋ
үйлдэл	u i ɮ t ə ɮ
үйлдэх	u i ɮ t ə x
үйлчилгээ	u ɮ t͡ʃʰ i ɮ ɡ eː
үйлчлэх	u i ɮ t͡ɕʰ ɮ ə x
үйлчлүүлэгч	u i ɮ t͡ʃʰ ɮ uː ɮ i ɡ t͡ʃʰ
үлээх	u ɮ e x
үндэс	u n t ə s
үндэсний	u n t i s n iː
үндэстэн	u n t ə s t ə ŋ
үнс	u n s
үнсэх	u n s i x
үнэ	u n
үнэг	u n ə ɡ
үнэн	u n ə ŋ
үнээ	u n e
үр	u r
үсрэх	u s r i x
үсэг	u s ə ɡ
үтрэм	u tʰ r ə m
үтрээ	u tʰ r e
үхэр	u x ə r
үүргэвч	uː r ɡ i w̜ t͡ʃʰ
өвдөг	o w t ə ɡ
өвс	o w s
өвөл	ɵ w̜ ɵ ɮ
өвөр	o w o r
өглөө	ɵ ɡ ɮ oː
өгөх	o ɡ ə x
өд	o t
өдөр	ɵ t ə r
өлмий	o ɮ m i
өлсгөлөн	o ɮ s ɡ ə ɮ ə ŋ
өлсөх	o ɮ s ə x
өмд	ɵ m t
өмнө	ɵ m n
өмсөх	o m s ə x
өнгө	ɵ ŋ k
өнчин	o n t͡ɕʰ ə ŋ
өр	ɵ r
өргөн	ø r k ø ŋ
өрсөлдөгч	ɵ r s ɵ ɮ t ɵ ɡ t͡ʃʰ
өрөм	o r ə m
өтгөн	o tʰ ɡ ə ŋ
өчүүхэн	o t͡ɕʰ u x ə ŋ
өөлд	oː ɮ tʰ
өөр	oː r
өөрчлөлт	oː r t͡ɕʰ ɮ ə ɮ tʰ
өөрчлөх	oː r t͡ɕʰ ɮ ə x
өөх	oː x
өөхлөг	oː x ɮ ə ɡ
өөш	oː ʃ
