abbé	a b eː
rýľ	r iː ʎ
rýľa	r iː ʎ a
rýľmi	r iː ʎ m i
rýľoch	r iː ʎ o x
rýľom	r iː ʎ o m
rýľov	r iː ʎ o f
rýľu	r iː ʎ u
sad	s a t
sade	s a d e
sadoch	s a d o x
sadov	s a d o f
sadra	s a d r a
sadza	s a d͡z a
samohláska	s a m o ɦ l aː s k a
satan	s a t a n
satén	s a t eː n
savej	s a v e j
savom	s a v o m
savou	s a v o u
savá	s a v aː
savé	s a v eː
saví	s a v iː
savú	s a v uː
savý	s a v iː
sebecký	s e b e t͡s k iː
sedmokráska	s e d m o k r aː s k a
semafor	s e m a f o r
semenník	s e m e n iː k
sene	s e n e
senom	s e n o m
seriál	s e r i aː l
sever	s e v e r
sexuologička	s e k s u o l o ɡ i t͡ʃ k a
sexuológ	s e k s u o l oː k
si	s i
siať	s i̯ a c
siete	s i̯ e t e
sieti	s i̯ e t i
sietí	s i̯ e t iː
sieň	s i̯ e ɲ
sieť	s i̯ e c
sih	s i x
sitina	s i t i n a
sito	s i t o
sivý	s i v iː
skleník	s k l e n iː k
sklz	s k l̩ s
skoro	s k o r o
skočiť	s k o t͡ʃ i c
skrz	s k r̩ s
slabika	s l a b i k a
slabina	s l a b i n a
slad	s l a t
sladovka	s l a d o v k a
slepo	s l e p o
slezina	s l e z i n a
slina	s l i n a
sliva	s l i v a
sliz	s l i s
sliziak	s l i z i̯ a k
slnovrat	s l n o v r a t
sloja	s l o j a
sloje	s l o j e
sloji	s l o j i
slojmi	s l o j m i
slojoch	s l o j o x
slojom	s l o j o m
slojov	s l o j o f
sloju	s l o j u
slonej	s l o n e j
slonia	s l o n i̯ a
slonie	s l o n i̯ e
sloniu	s l o n i̯ u
slovensko	s l o v e n s k o
sluchom	s l u x o m
služba	s l u ʒ b a
slza	s l̩ z a
smažiť	s m a ʒ i c
smelosť	s m e l o s c
smelý	s m e l iː
smilniť	s m i l n i c
smrek	s m r e k
smršť	s m r̩ ʃ c
smrť	s m r̩ c
sneh	s ɲ e x
snehom	s ɲ e ɦ o m
snehu	s ɲ e ɦ u
soche	s o x e
sove	s o v e
spiac	s p i̯ a t͡s
spoluhláska	s p o l u ɦ l aː s k a
spolupáchateľ	s p o l u p aː x a t e ʎ
spolužiak	s p o l u ʒ i̯ a k
správanie	s p r aː v a n i̯ e
spájkovačka	s p aː j k o v a t͡ʃ k a
spŕch	s p r̩ː x
sračka	s r a t͡ʃ k a
srb	s r̩ p
srbčina	s r̩ b t͡ʃ i n a
srdce	s r̩ t͡s e
srsť	s r̩ s c
starovek	s t a r o v e k
stať	s t a c
stebiel	s t e b i̯ e l
stebla	s t e b l a
steblo	s t e b l o
steblu	s t e b l u
steblá	s t e b l aː
stodola	s t o d o l a
stoka	s t o k a
stokami	s t o k a m i
stoke	s t o k e
stokou	s t o k o u
stoku	s t o k u
stoky	s t o k i
stokách	s t o k aː x
stokár	s t o k aː r
stokári	s t o k aː r i
stokárka	s t o k aː r k a
stotisíci	s t o t i s iː t͡s i
straka	s t r a k a
stranami	s t r a n a m i
stranu	s t r a n u
strany	s t r a n i
stranách	s t r a n aː x
stranám	s t r a n aː m
streche	s t r e x e
strechou	s t r e x o u
strechu	s t r e x u
strechy	s t r e x i
stredovek	s t r e d o v e k
strelec	s t r e l e t͡s
strelivo	s t r e l i v o
striech	s t r i̯ e x
strieľať	s t r i̯ e ʎ a c
strk	s t r̩ k
strák	s t r aː k
strúhadlo	s t r uː ɦ a d l o
strúhať	s t r uː ɦ a c
strč	s t r̩ t͡ʃ
strž	s t r̩ ʃ
studňa	s t u d ɲ a
stvorenie	s t v o r e n i̯ e
stvoriť	s t v o r i c
stárež	s t aː r e ʃ
stôk	s t u̯ o k
stĺcť	s t l̩ː t͡s c
stĺp	s t l̩ː p
sudlica	s u d l i t͡s a
sumec	s u m e t͡s
sval	s v a l
svale	s v a l e
svalmi	s v a l m i
svaloch	s v a l o x
svalom	s v a l o m
svalov	s f a l o f
svalu	s v a l u
svaly	s v a l i
sveter	s v e t e r
svietiť	s v i̯ e t i c
sviňa	s v i ɲ a
svätá	s v æ t aː
sväté	s v æ t eː
svätí	s v æ t iː
svätú	s v æ t uː
svíb	s v iː p
syn	s i n
syra	s i r a
syre	s i r e
syrmi	s i r m i
syroch	s i r o x
syrom	s i r o m
syrov	s i r o f
syru	s i r u
syry	s i r i
sánky	s aː n k i
sídlisko	s iː d l i s k o
súdiť	s uː d i c
súčasník	s uː t͡ʃ a s n iː k
sýpka	s iː p k a
sčítanie	s t͡ʃ iː t a n i̯ e
sĺnc	s l̩ː n t͡s
sĺnk	s l̩ː n k
sĺz	s l̩ː s
sŕdc	s r̩ː t͡s
sŕn	s r̩ː n
sťažeň	s c a ʒ e ɲ
tajomstvo	t a j o m s t v o
takže	t a k ʒ e
tamariška	t a m a r i ʃ k a
tanečnica	t a ɲ e t͡s ɲ i t͡s a
tchor	t x o r
teba	t e b a
temena	t e m e n a
temene	t e m e n e
temeno	t e m e n o
temenu	t e m e n u
temená	t e m e n aː
temer	t e m e r
temien	t e m i̯ e n
tenkí	t e n k iː
tenkú	t e n k uː
teoretik	t e o r e t i k
teplú	t e p l uː
tepna	t e p n a
teritórium	t e r i t oː r i̯ u m
tetami	t e t a m i
tete	t e t e
tetovanie	t e t o v a n i̯ e
tetu	t e t u
tety	t e t i
tetách	t e t aː x
tetám	t e t aː m
teória	t e oː r i̯ a
tichú	t i x uː
tiecť	c i̯ e t͡s c
tiene	t i̯ e n e
tieni	t i̯ e n i
tiet	t i̯ e t
tieňa	t i̯ e ɲ a
tieňoch	t i̯ e ɲ o x
tieňom	t i̯ e ɲ o m
tieňu	t i̯ e ɲ u
tikať	t i k a c
tisícina	t i s iː t͡s i n a
topoľ	t o p o ʎ
traktorista	t r a k t o r i s t a
trampolína	t r a m p o l iː n a
trh	t r̩ x
triezvosť	t r i̯ e z v o s c
trnava	t r n a v a
trs	t r̩ s
trsť	t r̩ s c
trávnik	t r aː v n i k
tuhí	t u ɦ iː
tuhú	t u ɦ uː
tulipán	t u l i p aː n
turban	t u r b a n
turmi	t u r m i
turoch	t u r o x
turom	t u r o m
turov	t u r o f
tury	t u r i
tvŕdz	t v r̩ː t͡s
tykadlo	t i k a d l o
tyla	t i l a
tylami	t i l a m i
tyle	t i l e
tylo	t i l o
tylom	t i l o m
tylu	t i l u
tylá	t i l aː
typografia	t i p o ɡ r a f i̯ a
tyrkys	t i r k i s
túh	t uː x
túha	t uː ɦ a
túhe	t uː ɦ e
túhou	t uː ɦ o u
túhu	t uː ɦ u
túhy	t uː ɦ i
týl	t iː l
tĺcť	t l̩ː t͡s c
tĺk	t l̩ː k
tŕň	t r̩ː ɲ
ucha	u x a
uchami	u x a m i
uchom	u x o m
uchu	u x u
uchá	u x aː
uchách	u x aː x
uchám	u x aː m
uhla	u ɦ l a
uhlami	u ɦ l a m i
uhle	u ɦ l e
uhloch	u ɦ l o x
uhlom	u ɦ l o m
uhlov	u ɦ l o f
uhlu	u ɦ l u
uhor	u ɦ o r
uja	u j a
ujca	u j t͡s a
ujcoch	u j t͡s o x
ujcom	u j t͡s o m
ujcov	u j t͡s o f
ujcovi	u j t͡s o v i
ujoch	u j o x
ujom	u j o m
ujov	u j o f
ujovi	u j o v i
ukameňovať	u k a m e ɲ o v a c
umelá	u m e l aː
umelé	u m e l eː
umelí	u m e l iː
umelý	u m e l iː
uraninit	u r a n i n i t
uspávanka	u s p aː v a n k a
uzmout	u z m o u t
uzol	u z o l
uzurpovať	u z u r p o v a c
učeň	u t͡ʃ e ɲ
učiteľ	u t͡ʃ i t e ʎ
učiteľka	u t͡ʃ i t e ʎ k a
učiť	u t͡ʃ i c
ušami	u ʃ a m i
uši	u ʃ i
ušiam	u ʃ i̯ a m
uší	u ʃ iː
val	v a l
variť	v a r i c
varna	v a r n a
vavrín	v a v r iː n
vdova	v d o v a
vdovec	v d o v e t͡s
veda	v e d a
vedami	v e d a m i
vede	v e d e
vedou	v e d o u
vedu	v e d u
vedy	v e d i
vedách	v e d aː x
vedám	v e d aː m
veka	v e k a
vekami	v e k a m i
vekmi	v e k m i
vekoch	v e k o x
vekom	v e k o m
vekov	f e k o f
veku	v e k u
veky	v e k i
veká	v e k aː
vekách	v e k aː x
vekám	v e k aː m
veno	v e n o
vesiel	v e s i̯ e l
veslami	v e s l a m i
vetchý	v e t x iː
vetra	v e t r a
vetrami	v e t r a m i
vetre	v e t r e
vetroch	v e t r o x
vetrom	v e t r o m
vetrov	f e t r o f
vetru	v e t r u
vetry	v e t r i
večernica	v e t͡ʃ e r n i t͡s a
veľryba	v e ʎ r i b a
veštiť	v e ʃ t i c
video	v i d e o
vidiek	v i ɟ i eː k
vied	v i̯ e t
viek	v i̯ e k
vier	v i̯ e r
vierach	v i̯ e r a x
vieram	v i̯ e r a m
vierami	v i̯ e r a m i
viere	v i̯ e r e
vieru	v i̯ e r u
vlažný	v l a ʒ n iː
vlk	v l̩ k
vltava	v l̩ t a v a
vláknica	v l aː k ɲ i t͡s a
vláknice	v l aː k ɲ i t͡s e
volant	v o l a n t
volmi	v o l m i
voloch	v o l o x
volom	v o l o m
von	v o n
voľba	v o ʎ b a
vrane	v r a n e
vrany	v r a n i
vraný	v r a n iː
vratič	v r a t i t͡ʃ
vrch	v r̩ x
vrchol	v r̩ x o l
vrh	v r̩ x
vrt	v r̩ t
vrán	v r aː n
vrása	v r aː s a
vráska	v r aː s k a
vrásnenie	v r aː s n e n i̯ e
vrátanie	v r aː t a n i̯ e
vrš	v r̩ ʃ
vtieravý	v t i̯ e r a v iː
vtĺcť	v t l̩ː t͡s c
vydediť	v i d e d i c
vykonateľnosť	v i k o n a t e ʎ n o s c
vykonateľný	v i k o n a t e ʎ n iː
vyrážka	v i r aː ʒ k a
vyspelý	v i s p e l iː
vzbudiť	v z b u d i c
väz	v æ s
väzeň	v æ z e ɲ
vôd	v u̯ o t
vôdzka	v ʊ̯ ɔ t s k a
vôňa	v u̯ o ɲ a
výber	v iː b e r
výbušnina	v iː b u ʃ n i n a
výhovorka	v iː ɦ o v o r k a
výrobca	v iː r o b t͡s a
vĺh	v l̩ː x
vĺn	v l̩ː n
vĺča	v l̩ː t͡ʃ a
vŕb	v r̩ː p
vŕba	v r̩ː b a
vŕš	v r̩ː ʃ
xenón	k s e n oː n
ymca	i m k a
zabiť	z a b i c
zamestnanec	z a m e s t n a n e t͡s
zanedbať	z a n e d b a c
zapaľovač	z a p a ʎ o v a t͡ʃ
zaspať	z a s p a c
zbabelec	z b a b e l e t͡s
zbabelosť	z b a b e l o s c
zbabelý	z b a b e l iː
zime	z i m e
zimu	z i m u
zitu	z i t u
zliatina	z l i̯ a t i n a
zloch	z l o x
zlocha	z l o x a
zlochová	z l o x o v aː
zložitý	z l o ʒ i t iː
zmijach	z m i j a x
zmijam	z m i j a m
zmijami	z m i j a m i
zmije	z m i j e
zmiji	z m i j i
zmijou	z m i j o u
zmiju	z m i j u
zmijí	z m i j iː
zmrd	z m r̩ t
zolvica	z o l v i t͡s a
zombie	z o m b i̯ e
zornica	z o r n i t͡s a
zuba	z u b a
zubami	z u b a m i
zube	z u b e
zubmi	z u b m i
zuboch	z u b o x
zubom	z u b o m
zubov	z u b o f
zubu	z u b u
zábradlie	z aː b r a d l i̯ e
zápalka	z aː p a l k a
zápestie	z aː p e s t i̯ e
záplata	z aː p l a t a
závideniahodný	z aː v i d e n i̯ a ɦ o d n iː
závislosť	z aː v i s l o s c
závislý	z aː v i s l iː
závora	z aː v o r a
závrat	z aː v r a t
zŕn	z r̩ː n
ångström	a ŋ k s t r e m
íl	iː l
ôk	u̯ o k
ôs	u̯ o s
úch	uː x
úpal	uː p a l
úplatkárstvo	uː p l a t k aː r s t v o
úľ	uː ʎ
úžas	uː ʒ a s
úžera	uː ʒ e r a
úžerník	uː ʒ e r n iː k
čajovňa	t͡ʃ a j o v ɲ a
čapík	t͡ʃ a p iː k
časmi	t͡ʃ a s m i
časoch	t͡ʃ a s o x
časom	t͡ʃ a s o m
časov	t͡ʃ a s o f
času	t͡ʃ a s u
časy	t͡ʃ a s i
čecha	t͡ʃ e x a
čechmi	t͡ʃ e x m i
čechoch	t͡ʃ e x o x
čechom	t͡ʃ e x o m
čechov	t͡ʃ e x o f
čechovi	t͡ʃ e x o v i
čechračka	t͡ʃ e x r a t͡ʃ k a
česi	t͡ʃ e s i
čias	t͡ʃ i̯ a s
čierna	t͡ʃ i̯ e r n a
činka	t͡ʃ i n k a
čkavka	t͡ʃ k a v k a
členstvo	t͡ʃ l e n s t v o
čremcha	t͡ʃ r e m x a
črtami	t͡ʃ r̩ t a m i
črte	t͡ʃ r̩ t e
črtou	t͡ʃ r̩ t o u
črtu	t͡ʃ r̩ t u
črty	t͡ʃ r̩ t i
črtách	t͡ʃ r̩ t aː x
črtám	t͡ʃ r̩ t aː m
čuch	t͡ʃ u x
čŕt	t͡ʃ r̩ː t
ďakovať	ɟ a k o v a c
ďasno	ɟ a s n o
ľade	ʎ a d e
ľadom	ʎ a d o m
ľadovec	ʎ a d o v e t͡s
ľadu	ʎ a d u
ľud	ʎ u t
ľudstvo	ʎ u d s t v o
ňom	ɲ o m
ňu	ɲ u
šampiňón	ʃ a m p i ɲ ɔː n
šarkan	ʃ a r k a n
šepkať	ʃ e p k a c
šešuľa	ʃ e ʃ u ʎ a
šikanovanie	ʃ i k a n o v a n i̯ e
škrabať	ʃ k r a b a c
škriabať	ʃ k r i̯ a b a c
škrt	ʃ k r̩ t
škrtnúť	ʃ k r̩ t n uː c
škvŕn	ʃ k v r̩ː n
škôl	ʃ k u̯ o l
šmrnc	ʃ m r n̩ t͡s
šoférka	ʃ o f eː r k a
šoférovať	ʃ o f eː r o v a c
špička	ʃ p i t͡ʃ k a
šplh	ʃ p l̩ x
šprt	ʃ p r̩ t
štedrosť	ʃ t e d r o s c
štedrý	ʃ t e d r iː
štekať	ʃ t e k a c
štikútať	ʃ t i k uː t a c
štikútka	ʃ t i k uː t k a
štrk	ʃ t r̩ k
štvrť	ʃ t v r̩ c
štvrťhrsť	ʃ t v r̩ c ɦ r̩ s c
štít	ʃ t iː t
švihadlo	ʃ v i ɦ a d l o
šípa	ʃ iː p a
šípe	ʃ iː p e
šípmi	ʃ iː p m i
šípoch	ʃ iː p o x
šípom	ʃ iː p o m
šípov	ʃ iː p o f
šípu	ʃ iː p u
šípy	ʃ iː p i
šľacha	ʃ ʎ a x a
šťastie	ʃ c a s c i̯ e
šťastný	ʃ c a s t n iː
šťuka	ʃ c u k a
ťa	c a
ťarbavý	c a r b a v iː
žaluď	ʒ a l u c
žbŕnd	ʒ b r̩ː n t
žehlička	ʒ e ɦ l i t͡ʃ k a
žena	ʒ e n a
žihľava	ʒ i ɦ ʎ a v a
žile	ʒ i l e
žilina	ʒ i l i n a
žilou	ʒ i l o u
žilu	ʒ i l u
žily	ʒ i l i
žlč	ʒ l̩ t͡ʃ
žlčník	ʒ l̩ t͡ʃ n iː k
žlť	ʒ l̩ c
žobrák	ʒ o b r aː k
žoldnier	ʒ o l d n i̯ e r
žralok	ʒ r a l o k
žrď	ʒ r̩ c
žul	ʒ u l
žula	ʒ u l a
žuli	ʒ u l i
žurnalistka	ʒ u r n a l i s t k a
žíl	ʒ iː l
žízeň	ʒ iː z e ɲ
žľaza	ʒ ʎ a z a
