ab	ɑ b
dəstəmaz	d æ s t æ m ɑ z
dəymək	d æ j m æ k
dəymək	d æ j m æ j
dəymək	d æ j m ɑ χ
dəyməz	d æ j m æ z
dəyirman	d æ j i r m ɑ n
dəyişdirmək	d æ j i ʃ d i r m æ k
dəyişdirmək	d æ j i ʃ d i r m æ j
dəyişdirmək	d æ j i ʃ t i r m æ k
dəyişdirmək	d æ j i ʃ t i r m æ j
dəyişkən	u n u t k ɑ n
dəyişmək	d æ j i ʃ m æ k
dəyişmək	d æ j i ʃ m æ j
dəyə	d æ j æ
dəyər	d æ j æ r
edam	eː d a m
ehtiyatla	e h t i j ɑ t ɫ ɑ
elxan	e l χ ɑ n
elita	e l i t ɑ
elitar	e l i t ɑ r
elə	e l æ
eləmək	e l æ m æ k
endirmə	e n d i r m æ
endirmək	e n d i r m æ k
endirmək	e n d i r m æ j
enlər	ɛ n l æ r
enmək	e n m æ k
enmək	e n m æ j
enmək	e mː æ k
epidemiologiya	e p i d e m i o ɫ o ɡ i j ɑ
epidemioloji	e p i d e m i o l o ʒ ɯ
epidemiya	e p i d e m i j ɑ
etdirmək	e t d i r m æ k
etdirmək	e t d i r m æ j
etdirmək	e tː i r m æ k
etdirmək	e tː i r m æ j
etmək	e t m æ k
etmək	e t m æ j
etimoloji	e t i m o l o ʒ ɯ
etiraf	eː t i r ɑ f
etiraz	eː t i r ɑ z
ev	e v
evcik	e v d͡ʒ i k
evcik	e v d͡z i t͡ʃ
evcik	e v d͡ʒ i j
evlənmək	e v l æ mː æ k
evlənmək	e v l æ mː æ j
eybəcər	e j b æ d͡ʒ æ r
eybəcər	e j b æ d͡z æ r
eyləmək	e j l æ m æ k
eyləmək	e j l æ m ɑ χ
eynək	e j n æ k
eynək	e j n æ j
eynək	e j n æ ç
eşitmək	e ʃ i t m æ k
eşitmək	e ʃ i t m æ j
fabrik	f ɑ b r i k
fahişə	f ɑ h i ʃ æ
fahişəlik	f ɑ h i ʃ æ l i k
fahişəxana	f ɑ h i ʃ æ χ ɑ n ɑ
ferma	f e r m ɑ
fındıq	f ɯ n d ɯ χ
fındıqqıran	f ɯ n d ɯ ɣ ɡ ɯ r ɑ n
fırtına	f ɯ ɾ t ɯ n ɑ
fonoloji	f o n o l o ʒ ɯ
futbolçu	f u t b o ɫ t ʃ u
fikirləşmək	f i k i r l æ ʃ m æ j
fikirləşmək	f i k i rː æ ʃ m æ j
film	f i l m
fit	f i t
fəaliyyət	f æ ɑ l i j æ t
fəhlə	f æ h l æ
fəlsəfə	f æ l s æ f æ
fərli	f æ r l i
fərli	f æ rː i
fərq	f æ r ɡ
fərqlənmək	f æ r ɡ l æ mː æ k
fərqlənmək	f æ r ɡ l æ mː æ j
fəsil	f æ s i l
gec	ɡ e d͡ʒ æ
gec	ɡ e d͡ʒ æ
gecə	ɡ e d͡ʒ æ
gecə	d͡ʒ e d͡z æ
geniş	ɡ e n i ʃ
geniş	d͡ʒ e n i ʃ
geri	ɡ e r i
getmək	ɡ e t m æ k
getmək	ɡ e t m æ j
getmək	d͡ʒ e t m ɑ χ
geymək	ɡ e j m æ k
geymək	ɡ e j m æ j
geymək	d̟͡ʒ iː m ɑ χ
geyim	ɡ e j i m
geyim	d͡ʒ e j i m
geyinmək	ɡ e j i n m æ k
geyinmək	ɡ e j i n m æ j
geyinmək	d̟͡ʒ iː n m ɑ χ
gop	ɡʲ o p
gopçu	ɡʲ o p t͡ʃ u
gopçu	ɡʲ o p t͡s u
gurluq	ɡ u r ɫ u χ
gurluq	ɡ u rː u χ
guya	ɡʲ uː j ɑ
göbələk	ɡ œ b æ l æ k
göbələk	ɡ œ b æ l æ j
göl	ɡ œ l
göl	d͡ʒ œ l
gömmək	ɡ œ mː æ k
gömmək	ɡ œ mː æ j
göndərmək	ɡ œ n d æ r m æ k
göndərmək	ɡ œ n d æ r m æ j
göndərmək	d͡ʒ œ n d æ r m ɑ χ
görmək	ɡ œ r m æ k
görmək	ɡ œ r m æ j
görmək	d͡ʒ œ r m ɑ χ
görüş	ɡ œ r y ʃ
görüşmək	ɡ œ r y ʃ m æ k
görüşmək	ɡ œ r y ʃ m æ j
görə	ɡ œ r æ
görə	d͡ʒ œ r æ
görəsən	ɡ œ r æ s æ n
görəsən	d͡ʒ œ r æ s æ n
göstərmək	ɡ œ s t æ r m æ k
göstərmək	ɡ œ s t æ r m æ j
göstərmək	ɡ œ s t æ r m ɑ χ
göstəriş	ɡ œ s t æ r i ʃ
göt	ɡ œ t
götvərən	ɡ œ t v æ r æ n
götvərənlik	ɡ œ t v æ r æ n l i k
götvərənlik	ɡ œ t v æ r æ n l i j
götürmək	ɡ œ t y r m æ k
götürmək	ɡ œ t y r m æ j
gövdə	ɡ œ v d æ
göy	ɡ œ j
göy	d͡ʒ œ j
göydələn	ɡ œ j d æ l æ n
göyərçin	ɡ ɶ j æ r t͡ʃ i n
gözləmək	ɡ œ z l æ m æ k
gözləmək	ɡ œ z d æ m æ k
gözləmək	ɡ œ z d æ m e j
gözləmək	d͡ʒ œ z l æ m ɑ χ
gözlənti	ɡ œ z l æ n t i
gözlənilməz	ɡ œ z l æ n i l m æ z
gözüaçıq	ɡ œ z y ɑ t͡ʃ ɯ χ
gözüaçıq	ɡ œ z y ɑ t͡s ɯ χ
güc	ɟ͡ʝ y d͡ʒ
güc	ɟ͡ʝ y d͡z
güc	d͡ʒ y ʒ
güclü	ɡ y d͡ʒ l y
güclü	d͡ʒ y d͡z l y
güclü	d͡ʒ y ʒ l ɪ
güllə	ɡ y lː æ
güllələmək	ɡ y lː æ l æ m æ k
güllələmək	ɡ y lː æ l æ m æ j
güllələmək	d ʒ y lː æ l æ m ɑ χ
gülmək	ɡ y l m æ k
gülmək	d͡ʒ y l m ɑ χ
gülümsəmək	ɡ y l y m s æ m æ k
gülümsəmək	ɡ y l y m s æ m æ j
gülüş	ɡ y l y ʃ
gülərüz	ɡ y l æ r y z
gülərüzlü	ɡ y l æ r y z l y
güləş	ɡ y l æ ʃ t͡ʃ
güləş	d͡ʒ y l æ ʃ
güləşçi	ɡ y l æ ʃ t͡ʃ i
güləşçi	d͡ʒ y l æ ʃ t͡s i
gün	ɡ y n
gün	d͡ʒ y n
günah	ɡʲ y n ɑ h
günah	ɡʲ u n ɑ h
günah	d͡ʒ y n ɑ h
gündüz	ɡ y n d y z
gündüz	d͡ʒ y n d y z
gündəlik	ɡ y n d æ l i k
gündəlik	d͡ʒ y n d æ l i k
gündəlik	ɡ y n d æ l i j
gündəlik	d͡ʒ y n d æ l i j
günorta	ɡ y n o r t ɑ
günya	ɡ y n j ɑ
günəbaxan	ɡ y n æ b ɑ x ɑ n
günəş	ɡʲ y n æ ʃ
gürcü	ɡ y r d͡ʒ y
gürcü	d͡ʒ y r d͡z y
gürcüstan	ɡʲ y ɾ d͡ʒ y s t ɑ n
gürcüstan	d͡ʒ y ɾ d͡z y s t ɑ n
güvənmək	ɡ y v æ n m æ k
güvənmək	ɡ y v æ mː æ j
gic	ɡ i d͡ʒ
gic	ɡ i d͡z
gicdıllaq	ɡ i ʒ d ɯ ɫː ɑ χ
girmək	ɡʲ i r m æ k
girmək	ɡʲ i r m e j
girmək	d͡ʒ i r m ɑ χ
giriş	ɡ i r i ʃ
gizləmək	ɡ i z l æ m æ k
gizləmək	ɡ i z d æ m æ k
gizlənmək	ɡ i z l æ n m æ k
gizlənmək	ɡ i z d æ n m æ k
gizlənmək	ɡ i z l æ n m æ j
gizlənmək	ɡ i z d æ n m æ j
gizlətmək	ɡ i z l æ t m æ k
gizlətmək	ɡ i z d æ t m æ k
gizlətmək	ɡ i z l æ t m æ j
gizlətmək	ɡ i z d æ t m æ j
gəlmə	ɡ æ l m æ
gəlmək	ɡ æ l m æ k
gəlmək	ɡ æ l m æ j
gəlin	ɡ æ l i n
gəlin	d͡ʒ æ l ɪ n
gəlin	ɡ æ l i n
gəmi	ɡ æ m i
gəmi	d͡ʒ æ m i
gəmirmək	ɡ æ m i r m æ j
gəmirici	ɡ æ m i r i d͡z i
gənc	ɡ æ n d͡ʒ
gənc	ɡ æ n d͡z
gənclik	ɡ æ n d͡ʒ l i k
gənclik	ɡ æ n d͡ʒ l i j
gənclik	d͡ʒ æ n d͡z l i t͡ʃ
gənəşmək	ɡ æ n æ ʃ m æ k
gənəşmək	ɡ æ n æ ʃ m æ j
gərgin	ɡ æ r ɡ i n
gərək	ɡ æ r æ j
gərəkmək	ɡ æ r æ k m æ k
gətirmək	ɡ æ t i r m æ k
gətirmək	ɡ æ t i r m æ j
gəzdirmək	ɡ æ z d i r m æ k
gəzdirmək	ɡ æ z d i r m æ j
gəzdirmək	ɡ æ z d i r m e j
gəzdirmək	d͡ʒ æ z d i r m ɑ χ
gəzmək	ɡ æ z m æ k
gəzmək	ɡ æ z m æ j
gəzmək	ɡ æ z m e j
gəzmək	d͡ʒ æ z m ɑ χ
hadisə	h ɑˑ d i s æ
hakim	h ɑː k i m
hakimiyyət	h ɑː k i m i j æ t
hakimiyyət	h ɑː t͡ʃ i m i j æ t
hakimiyyətçi	h ɑː k i m i j æ t t͡ʃ i
hakimiyyətçi	h ɑː t͡ʃ i m i j æ t t͡s i
halbuki	h ɑ ɫ b u k i
hamı	h ɑ mː ɯ
hamısı	h ɑ mː ɯ s ɯ
hamısı	h ɑ m s ɯ
hamilə	h ɑ m i l æ
hanı	h ɑ n ɯ
hansı	h ɑ n s ɯ
haqq	h ɑ ɡ
haqq	h ɑ χ
haqqında	h ɑ kː ɯ n d ɑ
haqqında	h ɑ ɢː ɯ n d ɑ
hara	h ɑ r ɑ
hara	h ɑ r ɑ
harada	h ɑ r ɑ d a
haradan	h ɑ r ɑ d a n
haralı	h ɑ r ɑ ɫ ɯ
haraya	h ɑ r ɑ j ɑ
harda	h ɑ r d a
hasilat	h ɑː s i ɫ ɑ t
hava	h ɑ v ɑ
hazır	h ɑ z ɯ r
hazırki	h ɑ z ɯ r k i
hazırki	h ɑ z ɯ r k ɯ
hazırlamaq	h ɑ z ɯ r ɫ ɑ m ɑ χ
hazırlamaq	h ɑ z ɯ rː ɑ m ɑ χ
hazırlaşmaq	h ɑ z ɯ r ɫ ɑ ʃ m ɑ χ
hazırlaşmaq	h ɑ z ɯ rː ɑ ʃ m ɑ χ
hazırlıq	h ɑ z ɯ r ɫ ɯ χ
hazırlıq	h ɑ z ɯ rː ɯ χ
haçan	h ɑ t͡ʃ ɑ n
heykəltəraş	h e j k æ l t æ r ɑ ʃ
heç	h e t͡ʃ
heç	h e t͡s
homoseksuallıq	h o m o s e k s u a ɫː ɯ χ
hoppanmaq	h o pː ɑ mː ɑ χ
hovuz	h o v u z
hökumət	h œ k y m æ t
hökumət	h œ k uː m æ t
hörmətli	h œ r m æ t l i
hörümçək	h œ r y m t͡ʃ æ k
hörümçək	h œ r y m t͡ʃ æ j
hövzə	h œ v z æ
hüceyrə	h y d͡ʒ e j r æ
hündür	h y n d y r
hündür	h y n d y r̥
hüquq	h y ɡ u ɡ
hüquq	h y ɡ u ɡ̊
hüzn	h y z n
hüznlü	h y z n l y
hədiyyə	h æ d i j æ
həftəlik	h æ f t æ l i k
həftəlik	h æ f t æ l i j
həkim	h æ k i m
hələ	h æ l æ m
həmdilli	h æ m d i lː i
həmkar	h æ m kʲ ɑ r
həmrəy	h æ m r æ j
həmrəylik	h æ m r æ j l i k
həmrəylik	h æ m r æ j l i j
həmsöhbət	h æ m s œ h b æ t
həmsöhbət	h æ m s œ h b̥ æ t
həmsöhbət	h æ m s œ j b æ t
həmsöhbət	h æ m s œː b æ t
həmyaş	h æ m j ɑ ʃ
həmin	h æ m i n
həmişə	h æ m i ʃ æ
həmişə	h æ mː i ʃ æ
həmişə	h æ mː æ ʃ æ
həqarət	h æ ɡ ɑː r æ t
həqiqi	h æ ɡ iː ɡ i
hər	h æ r
hər	h æ r̥
hərarət	h æ r ɑ r æ t
hərbçi	h æ r b t͡ʃ i
hərbçi	h æ r b t͡s i
hərbi	h æ r b i
hərəkət	h æ r æ k æ t
həyat	h æ j ɑ t
həzm	h æ z m
həştərxan	h æ ʃ t æ r χ ɑ n
janr	ʒ ɑ n ɯ r
jasmin	ʒ ɑ s m i n
jurnal	ʒ u r n ɑ ɫ
jurnalist	ʒ u r n a l i s t
kalan	kʲ ɑ ɫ ɑ n
kamança	t͡ʃ ɑ m ɑ n t͡s ɑ
kapa	k aː p a
karp	k ɑ r p
karvansara	kʲ ɑ r v ɑ n s ɑ r ɑ
karxana	kʲ ɑ r χ ɑ n ɑ
katib	kʲ ɑː t i b
katib	t͡ʃ aː t i b
katib	kʲ ɑː t ɯ b
katib	t͡ʃ aː t ɯ b
katibə	kʲ ɑː t i b æ
katibə	t͡ʃ aː t i b æ
kağız	kʲ ɑ ɣ ɯ z
kağız	t͡ʃ ɑ ɣ ɯ z
keçmək	k e t͡ʃ m æ k
keçmək	k e t͡ʃ m æ j
keçmək	k e t͡ʃ m e j
keçmək	ɡ e ʃ m ɑ x
keçi	kʲ e t͡ʃ i
keçi	t͡ʃ e t͡s i
keçi	d͡ʒ e t͡s i
keçinmək	k e t͡ʃ i n m æ k
keçinmək	k e t͡ʃ i n m æ j
keçinmək	t͡ʃ e t͡s i n m æ t͡ʃ
keçəl	k e t͡ʃ æ l
keçəl	t͡ʃ e t͡s æ l
keçəllənmək	k e t͡ʃ æ lː æ n m æ k
keçəllənmək	k e t͡ʃ æ lː æ n m æ j
keçəllənmək	t͡ʃ e t͡s æ lː æ n m æ t͡ʃ
kobud	kʲ o b u d
kobud	t͡ʃ o b u d
kol	kʲ o ɫ
kor	kʲ o r̥
köhnə	k œ h n æ
köhnə	k œ j n æ
kök	k œ k
kökəlmək	k œ k æ l m æ k
kökəlmək	k œ k æ l m æ j
kölgə	k œ l ɡ æ
kömür	k œ m y r
kömür	t͡ʃ œ m y r
kömək	k œ m æ k
kömək	k œ m æ j
kömək	k œ m æ t͡ʃ
könül	k œ n y l
könül	d͡ʒ œː l
köpük	k œ p y k
köpük	k œ p y j
körpü	k œ r p y
körpə	k œ r p æ
körpə	t͡ʃ œ r p æ
kösöv	k œ s œ v
kösöv	t͡ʃ œ s œ v
köynək	k ɶ j n æ k
köçmək	k œ t͡ʃ m æ k
köşək	k œ ʃ æ k
köşək	k œ ʃ æ j
künc	kʰ y n d͡ʒ
künc	t͡ʃ y n d͡z
kürəkçi	k y r æ k t͡ʃ i
kürəkçi	t͡ʃ y r æ t͡ʃ t͡s i
kürəkən	k y r æ k æ n
kürəkən	t͡ʃ y r æ t͡ʃ æ n
küsmək	k y s m æ k
küsmək	k y s m æ j
küçə	k y t͡ʃ æ
küçə	k y t͡s æ
küçə	t͡ʃ y t͡s æ
küçə	t͡s y t͡s æ
ki	k i
ki	k i n
kilsə	k i l s æ
kim	k i m
kimdənsə	k i m d æ n s æ
kimdəsə	k i m d æ s æ
kimsə	k i m s æ
kimsədə	k i m s æ d æ
kimsədən	k i m s æ d æ n
kimsəni	k i m s æ n i
kimsənin	k i m s æ n i n
kimsəyə	k i m s æ j æ
kimya	k i m j a
kimya	t͡ʃ i m j a
kimyaçı	k i m j a t͡ʃ ɯ
kimyaçı	t͡ʃ i m j a t͡s ɯ
kimyəvi	k i m j æː v i
kimyəvi	t͡ʃ i m j æː v i
kimi	k i m i
kimi	t͡ʃ i m i
kiminsə	k i m i n s æ
kimisə	k i m i s æ
kiməsə	k i m æ s æ
kirli	k i r l i
kirpi	k i r p i
kirpik	k i r p i k
kirpik	k i r p i j
kirpik	k i r p i ç
kiriş	k i r i ʃ
kitabxana	k i t ɑ b χ ɑ n ɑ
kitabxanaçı	k i t ɑ b χ ɑ n ɑ t͡ʃ i
kitabxanaçı	k i t ɑ b χ ɑ n ɑ t͡s i
kiçik	k i t͡ʃ i k
kiçik	k i t͡s i t͡ʃ
kiçilmək	k i t͡ʃ i l m æ k
kiçilmək	k i t͡ʃ i l m æ j
kiçilmək	t͡ʃ i t͡s i l m æ t͡ʃ
kişibaz	k i ʃ i b ɑ z
kişibazlıq	k i ʃ i b ɑ z ɫ ɯ χ
kəfgir	k æ f ɡ i r
kəlbətin	k æ l b æ t i n
kəlçə	k æ l t͡ʃ æ
kəlçə	t͡ʃ æ l t͡s æ
kənd	k æ n d
kənd	k æ n d
kənd	k æ t
kənd	t͡ʃ̟ æ t
kəpək	k æ p æ k
kəpək	k æ p æ j
kəpək	t͡ʃ æ p æ t͡ʃ
kəpənək	k æ p æ n æ k
kərpic	k æ r p i d͡ʒ̥
kərtənkələ	k æ r t æ n k æ l æ
kərə	k æ r æ
kəsdirmək	k æ s d̥ i r m æ k
kəsdirmək	k æ s d̥ i r m æ j
kəsdirmək	t͡ʃ æ s d̥ i r m ɑ χ
kəsmək	k æ s m æ k
kəsmək	k æ s m æ j
kəsmək	k æ s m e j
kəsmək	t͡ʃ æ s m ɑ χ
kəsilmək	k æ s i l m æ k
kəsilmək	k æ s i l m æ j
kəsilmək	k æ s i l m e j
kəsilmək	t͡ʃ æ s i l m ɑ χ
lahiyə	ɫ ɑː h i j æ
lakin	l aː k i n
lampoçka	ɫ ɑ m p ɯ t͡ʃ k ɑ
lampoçka	ɫ ɑ m p ɯ t͡ʃʲ k æ
lampoçka	ɫ ɑ m p ɯ t͡s kʲ æ
lampoçka	ɫ ɑ m p ɯ t͡s k ɑ
lampoçka	ɫ ɑ m b ɯ t͡s k ɑ
laqeyd	ɫ ɑː ɡ e j d
layihə	ɫ ɑː j i h æ
lazım	ɫ ɑː z ɯ m
lazım	ɫ ɑ z ɯ m
lazımsız	ɫ ɑ z ɯ m s ɯ z
laçın	ɫ ɑ t͡ʃ ɯ n
laçın	ɫ ɑ t͡s ɯ n
lövbər	l œ v b æ r
lütfən	l y t f æ n
liman	l i m ɑ n
ləzgi	l æ z ɡ i
maddi	m ɑː dː i
mahnı	m ɑ h n ɯ
makedoniya	m ɑ kʲʰ e d o n i j ɑ
makedoniya	m ɑ t͡ʃ e d o n i j ɑ
mal	m ɑ ɫ
masa	m ɑ s ɑ
matç	m ɑ t t͡ʃ
mehrab	m ɛ h ɾ ɑ b
memar	m e m ɑ r
memar	m eː m ɑ r
meydan	m e j d ɑ n
meydança	m e j d ɑ n t͡ʃ ɑ
meydança	m e j d ɑ n t͡s ɑ
meyvə	m ɛ j v æ
meyit	m e j i t
meyitxana	m e j i t χ ɑ n ɑ
mıx	m ɯ χ
molekul	m o l e k u ɫ
molla	m o lː a
morfoloji	m o r f o l o ʒ ɯ
musiqi	m uˑ s i ɡ i
musiqiçi	m uˑ s i ɡ i t͡ʃ i
musiqiçi	m uˑ s i ɡ i t͡s i
muxtar	m u χ t ɑ r
muştuluq	m u ʃ t u l u χ
muştuluqçu	m u ʃ t u ɫ u χ t͡ʃ u
muştuluqçu	m u ʃ t u ɫ u χ t͡s u
möcüzə	m œː d͡ʒ y z æ
mövcudluq	m œ v d͡ʒ u d ɫ u χ
mövcudluq	m œ v d͡z u d ɫ u χ
mübarizə	m y b ɑː r i z æ
mübarizə	m u b ɑː r i z æ
müddət	m y dː æ t
müflis	m y f l i s
müharibə	m y h ɑː r i b æ
mühüm	m y h y m
mühəndis	m y h æ n d i s
mühərrik	m y h æ rː i k
müjdə	m y ʒ d æ
müjdə	m y d͡ʒ d æ
müjdəçi	m y ʒ d æ t͡ʃ i
müjdəçi	m y ʒ d æ t͡s i
mükafat	m y kʲ ɑː f ɑ t
münaqişə	m y n ɑː ɡ i ʃ æ
münaqişə	m y n ɑː ɢ i ʃ æ
münşi	m y n ʃ i
müqayisə	m y ɡ ɑː j i s æ
müqəddəs	m y ɡ æ dː æ s
müqəssir	m y ɢ æ sː i ɾ̥
mürəkkəb	m y r æ kː æ b
mürəkkəb	m y r æ t͡ʃː æ b
müsabiqə	m y s ɑː b i ɡ æ
müstəqillik	m y s t æ ɡ i l l i k
müstəqillik	m y s t æ ɡ i l l i j
müvəffəqiyyət	m y v æ f æ ɡ i j æ t
müvəffəqiyyətli	m y v æ fː æ ɡ i j æ t l i
müxalifət	m y χ ɑː l i f æ t
müxalifət	m u χ ɑ l i f æ t
müştəri	m y ʃ t æ r i
müşəmbə	m y ʃ æ m b æ
müəllif	m y æ lː i f
müəllif	mʷ æ lː i f
müəllim	m y æ lː i m
müəllimə	m y æ lː i m æ
müəzzəm	m y æ zː æ m
milad	m i ɫ ɑ d
min	m i n
minbər	m i n b æ r
minmək	m i n m æ k
minmək	m i mː æ k
minmək	m i n m e j
minmək	m i n m ɑ χ
minnətdar	m i nː æ t d ɑ r
mismar	m i s m ɑ ɾ
mişar	m i ʃ ɑ r
mişar	m ɯ ʃ ɑ r
məcazi	m æ d͡ʒ ɑː z i
məcazi	m æ d͡z ɑː z i
məclis	m æ d͡ʒ l i s
məclis	m æ d͡z l i s
mədrəsə	m æ d r æ s æ
mədəni	m æ d æ n i
mədəniyyət	m æ d æ n i j æ t
məfhum	m æ f h u m
məhkəmə	m æ h k æ m æ
məhşur	m æ h ʃ u r
məhəbbət	m æ h æ bː æ t
məhəlli	m æ h æ lː i
məktub	m æ k t u b
məktub	m æ h t u b
məktəb	m æ k t æ b
məktəb	m æ ç t æ b
məlum	m æː ɫ u m
mələfə	m æ l æ f æ
məmur	m æ m u r
məmur	m æː m u r
məna	m æː n ɑ
mənasız	m æː n ɑ s ɯ z
mənfəət	m æ n f æ æ t
mənzərə	m æ n z æ ɾ æ
mənimsəmə	m æ n i m s æ m æ
mənimsəmək	m æ n i m s æ m æ k
mənimsəmək	m æ n i m s æ m æ j
məqsəd	m æ ɡ s æ d
məqsəd	m æ k s æ d
məqsədəuyğun	m æ ɡ s æ d æ u j ɣ u n
məqsədəuyğun	m æ k s æ d æ u j ɣ u n
mərasim	m æ r ɑː s i m
mərhələ	m æ r h æ l æ
mərkəzi	m æ r k æ z i
məsafə	m æ s ɑː f æ
məsləhət	m æ s l æ h æ t
məsuliyyət	m æˑ s u l i j æ t
məsələn	m æ s æ l æ n
mətbəə	m æ t b æ æ
mətbəəçi	m æ t b æ æ t͡ʃ i
mətbəəçi	m æ t b æ æ t͡s i
məxəz	m æ χ æ z
məzuniyyət	m æ z u n i j æ t
məğlub	m æ ɣ ɫ u b
məğlubiyyət	m æ ɣ ɫ u b i j æ t
nadir	n ɑː d i r
nal	n ɑ ɫ
namaz	n ɑ m ɑ z
namə	n ɑː m æ
narahat	n ɑ r ɑ h ɑ t
narazı	n ɑ r ɑː z ɯ
natamamlıq	n ɑ t ɑ m ɑ m ɫ ɯ χ
natamamlıq	n ɑ t ɑ m ɑ n ɫ ɯ χ
natəmiz	n ɑː t æ m i z
nazik	n ɑː z i k
nazir	n ɑː z i r
nazir	n ɑː z i r̥
nazirlik	n ɑː z i r l i k
nazirlik	n ɑː z i r l i j
necə	n e d͡ʒ æ
necə	n e d͡z æ
neft	n e f t
neft	n æ f t
neftçi	n e f t t͡ʃ i
neftçi	n e f t t͡s i
neyləmək	n e j l æ m æ k
neyləmək	n e j l æ m æ j
neynəmək	n e j n æ m æ k
neynəmək	n e j n æ m æ j
neyçün	n e j t͡ʃ y n
neçiyədir	n e t͡ʃ j æ d i r
neçiyədir	n e t͡s j æ d i r
neçənci	n e t͡ʃ æ n d͡ʒ i
neçənci	n e t͡s æ n d͡z i
nökər	n œ k æ r
nömrə	n œ m r æ
nöqtə	n œ k t æ
növbə	n œ v b æ
nifrət	n i f r æ t
nigah	n i ɡʲ ɑ h
nikah	n i kʲ ɑ h
nikah	n i ɡʲ ɑ h
nikbin	n i k b i n
nitq	n i t kʲ
niyyət	n i jː æ t
niyə	n i j æ
nəcib	n æ d͡ʒ i b
nəcib	n æ d͡z i b
nəcis	n æ d͡ʒ i s
nəcis	n æ d͡z i s
nəfər	n æ f æ r
nəfəs	n æ f æ s
nəhəng	n æ h æ ŋ ɡ
nənə	n æ n æ
nərdivan	n æ r d i v ɑ n
nəsə	n æ s æ
nəticə	n æ t i d͡ʒ æ
nəticə	n æ t i d͡z æ
nəticəsində	n æ t i d͡ʒ æ s i n d æ
nəticəsində	n æ t i d͡z æ s i n d æ
nətər	n æ t æ r
nəvə	n æ v æ
nəyinsə	n æ j i n s æ
nəyəsə	n æ j æ s æ
nəzakət	n æ z ɑː k æ t
nəçi	n æ t͡ʃ i
nəçi	n æ t͡s i
ocaq	o d͡ʒ ɑ χ
ocaq	o d͡z ɑ χ
ocaqlıq	o d͡ʒ ɑ ɣ ɫ ɯ χ
ocaqlıq	o d͡z ɑ ɣ ɫ ɯ χ
odun	o d u n
olay	o ɫ ɑ j
oldu	o ɫ d u
olmaq	o l m ɑ χ
olsun	o ɫ s u n
olsun	o sː u n
onuncu	o n u n d͡ʒ u
onurğa	o n u r ɣ ɑ
orada	o r ɑ d ɑ
oradan	o r ɑ d ɑ n
oradan	o r d ɑ n
ordu	o r d u
orta	o r t ɑ
osturaq	o s t u r ɑ χ
osturaqçı	o s t u r a χ t͡ʃ ɯ
osturaqçı	o s t u r a χ t͡s ɯ
osurmaq	o s u r m ɑ χ
otaq	o t ɑ χ
otaqda	o t ɑ ɣ d ɑ
oturacaq	o t u r ɑ d͡ʒ ɑ χ
oturacaq	o t u r ɑ d͡z ɑ χ
oturmaq	o t u r m ɑ χ
otuz	o tʰ u z
otuzuncu	o t u z u n d͡ʒ u
ov	o v
ovuc	o v u d͡ʒ
ovuc	o v u d͡z
ovuc	o u d͡z
ovuq	o v u χ
ovuq	œ j y χ
ovuq	u j u ɣ
ovuq	œː χ
ovuq	o u χ
ovuq	o j u χ
ovçu	o v t͡ʃ u
ovçu	o v t͡ʃ ɯ
ovçu	o v t͡s u
ovçu	o v t͡s ɯ
oxumaq	o χ u m a χ
oxutmaq	o χ u t m ɑ χ
oxşamaq	o χ ʃ ɑ m ɑ χ
oxşar	o χ ʃ ɑ r
oxşarlıq	o χ ʃ ɑ r l ɯ χ
oyanış	o j ɑ n ɯ ʃ
oyanmaq	o j ɑ n m ɑ χ
oyanmaq	o j ɑ mː ɑ χ
oynamaq	o j n ɑ m ɑ χ
oyun	o j u n
oçerk	o t͡ʃ e r k
oçerk	o t͡s e r t͡ʃ
oğru	o ɣ r u
oğul	o ɣ u ɫ
oğurlamaq	o ɣ u rː ɑ m ɑ χ
palçıq	p ɑ ɫ t͡ʃ ɯ χ
palçıq	p ɑ ɫ t͡s ɯ χ
papaq	p ɑ p ɑ χ
parlamaq	p ɑ r l ɑ m ɑ χ
partlamaq	p ɑ r tː ɑ m ɑ χ
partlatmaq	p ɑ r tː ɑ t m ɑ χ
partlayış	p ɑ r tː ɑ j ɯ ʃ
pasxa	p ɑ s χ ɑ
paxıl	p ɑ χ ɯ ɫ
paxıllıq	p ɑ χ ɯ ɫː ɯ χ
paylaşım	p ɑ j ɫ ɑ ʃ ɯ m
paytaxt	p ɑ j t ɑ χ t
pendir	p e n d i r
pendir	p e n d i r̥
penis	p ɛ n i s
petux	p e t u χ
peyvənd	p e j v æ n d
peşə	p e ʃ æ
planet	p ɫ ɑ n e t
polkovnik	p ɑ ɫ k o v n i k
polis	p o l i s
populyar	p o p u l j ɑ ɾ
portuqal	p o ɾ t u ɡ ɑ l
pota	p o t ɑ
pozmaq	p o z m ɑ χ
poçtalyon	p o t͡ʃ t ɑ l j o n
premyera	p r e m j e r a
proqnozlaşdırmaq	p r o ɡ n o z l ʃ d ɯ r m ɑ χ
proqnozlaşdırmaq	p r ɑ ɡ n o z l ʃ d ɯ r m ɑ χ
proqramçı	p r o ɡ r ɑ m t͡ʃ ɯ
proqramçı	p r o ɡ r ɑ m t͡s ɯ
psixoterapiya	p s i x ɔ t ɛ ɾ ɑ p i j ɑ
pul	p u ɫ
pulsuz	p u ɫ s u z
pilləkən	p i l æ kʲ æ n
pilotsuz	p i ɫ o t s u z
pinti	p i n t i
pis	p i s
