'y	ɪ
husgado	h ʊ s ɡ ɐ d o
husgahan	h ʊ s ɡ ɐ h a n
huweteng	h ʊ ɛ t ɛ ŋ
ibasco	ʔ ɪ b ɐ s k o
igib	ʔ ɪ ɰ i b
ignacio	ʔ ɪ ɡ n ɐ ʃ o
ignoransiya	ʔ ɪ ɡ n o ɾ a n ʃ ɐ
ignorante	ʔ ɪ ɡ n o ɾ a n t ɛ
ilag	ʔ i l ɐ ɡ
ilao	ʔ ɪ l a ʊ̯
iling	ʔ ɪ l i ŋ
ilog	ʔ ɪ l o ɡ
ilong	ʔ ɪ l o ŋ
ilustre	ʔ ɪ l ʊ s t ɾ ɛ
imahen	ʔ ɪ m a h ɛ n
imbentaryo	ʔ ɪ m b ɛ n t ɐ ɾ j o
imperial	ʔ ɪ m p ɛ ɾ j ɐ l
impluwensiya	ʔ ɪ m p l w ɛ n ʃ ɐ
impluwensiya	ʔ ɪ m p l ʊ ɛ n s ɪ ɐ
importansiya	ʔ ɪ m p o ɾ t a n ʃ ɐ
importante	ʔ ɪ m p o ɾ t a n t ɛ
ina	ʔ ɪ n a
inahin	ʔ ɪ n ɐ h i n
infante	ʔ ɪ n p ɐ n t ɛ
ingay	ʔ ɪ ŋ a ɪ̯
inggit	ʔ ɪ ŋ ɡ i t
inggitero	ʔ ɪ ŋ ɡ ɪ t ɛ ɾ o
inggo	ʔ ɪ ŋ ɡ o ʔ
ingrato	ʔ ɪ ŋ ɡ ɾ ɐ t o
inip	ʔ ɪ n i p
inosente	ʔ ɪ n o s ɛ n t ɛ
insulto	ʔ ɪ n s ʊ l t o
interbiyu	ʔ ɪ n t ɛ ɾ b ɪ ʊ̯
interes	ʔ ɪ n t ɛ ɾ ɛ s
intsik	ʔ ɪ n t͡ʃ i k
inumin	ʔ ɪ n ʊ m i n
inumin	ʔ ɪ n ʊ m ɪ n
inutil	ʔ ɪ n u t ɪ l
ipagbilin	ʔ ɪ p ɐ ɡ b ɪ l ɪ n
ipamigay	ʔ ɪ p ɐ m ɪ ɰ a ɪ̯
ipis	ʔ i p ɪ s
irebisa	ʔ ɪ ɾ ɛ b ɪ s a
isa	ʔ ɪ s a
isagani	ʔ ɪ s ɐ ɰ ɐ n ɪ
isangkot	ʔ ɪ s ɐ ŋ k o t
ishinare	ʔ ɪ s h ɪ n ɛ ɾ
isidro	ʔ ɪ s ɪ d ɾ o
isisi	ʔ ɪ s ɪ s ɪ
iskedyul	ʔ ɪ s k ɛ d͡ʒ ʊ l
iskolar	ʔ ɪ s k o l ɐ ɾ
iskrip	ʔ ɪ s k ɾ i p
istorya	ʔ ɪ s t o ɾ j ɐ
itlog	ʔ ɪ t l o ɡ
ito	ʔ ɪ t o
jalandoni	d͡ʒ ɐ l ɐ n d o n ɪ
jamisola	d͡ʒ ɐ m ɪ s o l ɐ
jara	d͡ʒ ɐ ɾ ɐ
jaramillo	d͡ʒ ɐ ɾ ɐ m ɪ l l o
jaranilla	d͡ʒ ɐ ɾ ɐ n ɪ l l ɐ
juarez	d͡ʒ ʊ ɐ ɾ ɛ s
jumarang	d͡ʒ ʊ m ɐ ɾ ɐ ŋ
juntilla	d͡ʒ ʊ n t ɪ l l ɐ
jurado	d͡ʒ ʊ ɾ ɐ d o
jusi	d͡ʒ ʊ s ɪ
justiniano	d͡ʒ ʊ s t ɪ n ɪ ɐ n o
kababaihan	k x ɐ b ɐ b ɐ ʔ ɪ h ɐ n
kabaligtaran	k x ɐ b ɐ l ɪ ɡ t ɐ ɾ a n
kabaong	k x ɐ b a o ŋ
kabastusan	k x ɐ b ɐ s t ʊ s a n
kabayo	k x ɐ b ɐ j o
kaberdehan	k x ɐ b ɛ ɾ d ɛ h a n
kabig	k x a b ɪ ɡ
kabiling	k x ɐ b ɪ l ɪ ŋ
kabuwanan	k x ɐ b w ɐ n ɐ n
kadena	k x ɐ d ɛ n ɐ
kadugo	k x ɐ d ʊ ɰ o ʔ
kadyos	k x ɐ d͡ʒ o s
kagalingan	k x ɐ ɰ ɐ l ɪ ŋ ɐ n
kagaw	k x ɐ ɰ a ʊ̯
kaha	k x ɐ h ɐ
kahabagan	k x ɐ h ɐ b ɐ ɰ a n
kahandaan	k x ɐ h ɐ n d ɐ ʔ a n
kahero	k x ɐ h ɛ ɾ o
kahihiyan	k x a h ɪ h ɪ a n
kahoy	k x a h o ɪ̯
kaibigan	k x a ɪ̯ b ɪ ɰ a n
kakarampot	k x ɐ x ɐ ɾ ɐ m p o t
kakulangan	k x ɐ x ʊ l ɐ ŋ a n
kalaguyo	k x ɐ l ɐ ɰ u j o ʔ
kalaliman	k x ɐ l ɐ l ɪ m ɐ n
kalan	k x ɐ l a n
kalantas	k x ɐ l ɐ n t a s
kalaswaan	k x ɐ l ɐ s w ɐ ʔ a n
kalatas	k x ɐ l ɐ t a s
kalatsutsi	k x ɐ l ɐ t͡ʃ u t͡ʃ ɪ ʔ
kalawang	k x ɐ l a w ɐ ŋ
kalawangin	k x ɐ l ɐ w ɐ ŋ i n
kalawangin	k x ɐ l ɐ w ɐ ŋ ɪ n
kalbaryo	k x ɐ l b a ɾ j o
kaldero	k x ɐ l d ɛ ɾ o
kalendaryo	k x ɐ l ɛ n d a ɾ j o
kalibre	k x ɐ l ɪ b ɾ ɛ
kalibugan	k x ɐ l ɪ b ʊ ɰ ɐ n
kalidad	k x ɐ l ɪ d a d
kaligayahan	k x ɐ l ɪ ɰ ɐ j ɐ h ɐ n
kaligkig	k x ɐ l ɪ ɡ k i ɡ
kalis	k x a l ɪ s
kaliskis	k x ɐ l ɪ s k ɪ s
kaliwanagan	k x ɐ l ɪ w ɐ n ɐ ɰ ɐ n
kaliwete	k x ɐ l ɪ w ɛ t ɛ
kalso	k x ɐ l s o
kalungsuran	k x ɐ l ʊ ŋ s ʊ ɾ a n
kaluwalhatian	k x ɐ l ʊ l ʊ ɐ l h ɐ t i ʔ ɐ n
kalyo	k x ɐ l j o
kamandag	k x ɐ m ɐ n d a ɡ
kamangmangan	k x ɐ m ɐ ŋ m ɐ ŋ a n
kamatayan	k x ɐ m ɐ t ɐ j ɐ n
kambal	k x ɐ m b ɐ l
kambyo	k x ɐ m b j o
kampana	k x ɐ m p a n ɐ ʔ
kampante	k x ɐ m p a n t ɛ
kampanya	k x ɐ m p ɐ ɲ a
kamukha	k x ɐ m ʊ k h a ʔ
kamunduhan	k x ɐ m ʊ n d ʊ h a n
kandidato	k x ɐ n d ɪ d a t o
kandila	k x ɐ n d i l ɐ ʔ
kanduli	k x ɐ n d u l ɪ ʔ
kangkungan	k x ɐ ŋ k ʊ ŋ ɐ n
kanina	k x ɐ n i n ɐ
kanino	k x ɐ n ɪ n o
kaniyugan	k x ɐ ɲ ʊ ɰ ɐ n
kanlong	k x ɐ n l o ŋ
kanlungan	k x ɐ n l ʊ ŋ ɐ n
kanselasyon	k x ɐ n s ɛ l ɐ ʃ o n
kanser	k x a n s ɛ ɾ
kanta	k x ɐ n t a
kantahin	k x ɐ n t ɐ h i n
kaopisina	k x ɐ o p ɪ s ɪ n ɐ
kapabayaan	k x ɐ p ɐ b ɐ j ɐ a n
kapakanan	k x ɐ p ɐ x ɐ n a n
kapakanan	k x ɐ p ɐ x ɐ n ʔ a n
kapalit	k x ɐ p ɐ l i t
kapanahunan	k x ɐ p ɐ n ɐ h ʊ n ɐ n
kapatawaran	k x ɐ p ɐ t ɐ w ɐ ɾ a n
kapiraso	k x ɐ p ɪ ɾ ɐ s o
kapitan	k x ɐ p ɪ t ɐ n
kaplastikan	k x ɐ p l ɐ s t ɪ x a n
kapon	k x ɐ p o n
kapre	k x ɐ p ɾ ɛ
kaputsino	k x ɐ p ʊ t͡ʃ ɪ n o
karakter	k x a ɾ ɐ k t ɛ ɾ
karakter	k x ɐ ɾ a k t ɛ ɾ
karambola	k x ɐ ɾ ɐ m b o l ɐ
karamihan	k x ɐ ɾ ɐ m ɪ h ɐ n
karampatan	k x ɐ ɾ ɐ m p a t ɐ n
karayom	k x ɐ ɾ ɐ j o m
karbon	k x ɐ ɾ b o n
karerahan	k x a ɾ ɛ ɾ ɐ h a n
karibal	k x ɐ ɾ ɪ b a l
karitela	k x ɐ ɾ ɪ t ɛ l ɐ
kariton	k x ɐ ɾ ɪ t o n
karo	k x a ɾ o
karpintero	k x ɐ ɾ p ɪ n t ɛ ɾ o
karton	k x ɐ ɾ t o n
karunungan	k x ɐ ɾ ʊ n ʊ ŋ ɐ n
karupukan	k x ɐ ɾ ʊ p ʊ x a n
karuwagan	k x ɐ ɾ ʊ ɐ ɰ a n
kasalanan	k x ɐ s ɐ l a n ɐ n
kasambahay	k x ɐ s ɐ m b ɐ h a ɪ̯
kasera	k x ɐ s ɛ ɾ ɐ
kasero	k x ɐ s ɛ ɾ o
kaserola	k x ɐ s ɛ ɾ o l ɐ
kasiguraduhan	k x ɐ s ɪ ɰ ʊ ɾ ɐ d ʊ h ɐ n
kasintahan	k x ɐ s ɪ n t ɐ h ɐ n
kasinungalingan	k x ɐ s ɪ n ʊ ŋ ɐ l i ŋ ɐ n
kasoy	k x ɐ s o ɪ̯
kastigo	k x ɐ s t ɪ ɰ o
kastiguhin	k x ɐ s t ɪ ɰ ʊ h ɪ n
kasubha	k x ɐ s u b h a ʔ
kataga	k x ɐ t ɐ ɰ a ʔ
katagalugan	k x ɐ t ɐ ɰ ɐ l ʊ ɰ ɐ n
katakawan	k x ɐ t ɐ x ɐ w ɐ n
katang	k x a t ɐ ŋ
katang	k x ɐ t a ŋ
katangahan	k x ɐ t ɐ ŋ ɐ h a n
katarata	k x ɐ t ɐ ɾ ɐ t ɐ
katawan	k x ɐ t a ʊ̯ ʔ a n
katawan	k x ɐ t ɐ w a n
katedral	k x ɐ t ɛ d ɾ ɐ l
katigbak	k x ɐ t ɪ ɡ b ɐ k
katiwalian	k x ɐ t ɪ w ɐ l ɪ a n
kato	k x ɐ t o ʔ
katolisismo	k x ɐ t o l ɪ s ɪ s m o
katungkulan	k x ɐ t ʊ ŋ k ʊ l ɐ n
katuwang	k x ɐ t w a ŋ
kawad	k x a w ɐ d
kay	k x a ɪ̯
kendi	k x ɛ n d ɪ
ketongin	k x ɛ t o ŋ ɪ n
kiamzon	k x ɪ ɐ m s o n
kikil	k x i x ɪ l
kilikili	k x ɪ l ɪ x ɪ l ɪ
kilo	k x ɪ l o
kilo	k x ɪ l o ʔ
king	k x ɪ ŋ
kintsay	k x ɪ n t͡ʃ a ɪ̯
kita	k i t ɐ
kita	k ɪ t a
kitikiti	k x ɪ t ɪ x ɪ t i
klima	k x l i m ɐ
klinika	k x l i n ɪ x ɐ
kolera	k x o l ɛ ɾ ɐ
kombinasyon	k x u m b ɪ n ɐ ʃ o n
komedya	k x o m ɛ d͡ʒ ɐ
komento	k x o m ɛ n t o
kometa	k x o m ɛ t ɐ
kompleto	k x u m p l ɛ t o
komplikasyon	k x u m p l ɪ x ɐ ʃ o n
komunidad	k x o m ʊ n ɪ d a d
kondenahin	k x o n d ɛ n ɐ h i n
kondisyon	k x o n d ɪ ʃ o n
konstitusyon	k x o n s t ɪ t ʊ ʃ o n
konsumisyon	k x o n s ʊ m ɪ ʃ o n
kontak	k x o n t ɐ k
kontakin	k x o n t ɐ x ɪ n
kontrobersiya	k x o n t ɾ o b ɛ ɾ s i ɐ
kontrobersiya	k x o n t ɾ o b ɛ ɾ ʃ ɐ
koral	k x o ɾ a l
korona	k x o ɾ o n ɐ
koronahan	k x o ɾ o n a h ɐ n
kotse	k x o t͡s ɛ
kotse	k x o t͡ʃ ɛ
krimen	k x ɾ ɪ m ɛ n
kriminal	k x ɾ ɪ m ɪ n a l
kritiko	k x ɾ i t ɪ x o
kroni	k x ɾ o n ɪ
kroniyismo	k x ɾ o n ɪ j ɪ s m o
kuba	k x u b ɐ ʔ
kubeta	k x ʊ b ɛ t ɐ
kubo	k x ʊ b o
kudkurin	k x ʊ d k ʊ ɾ i n
kuha	k x ʊ h ɐ
kulambo	k x ʊ l ɐ m b o ʔ
kulangi	k x ʊ l ɐ ŋ ɪ ʔ
kulangot	k x ʊ l a ŋ o t
kulimlim	k x ʊ l ɪ m l i m
kulugo	k x ʊ l ʊ ɰ o
kumabig	k x ʊ m a b ɪ ɡ
kumanta	k x ʊ m ɐ n t a
kumbensiyon	k x u m b ɛ n ʃ o n
kumbento	k x u m b ɛ n t o
kumbulsiyon	k x u m b ʊ l ʃ o n
kumpas	k x u m p a s
kumpederasyon	k x u m p ɛ d ɛ ɾ ɐ ʃ o n
kumpisal	k x u m p ɪ s a l
kumunoy	k x ʊ m ʊ n o ɪ̯
kumupas	k x ʊ m ʊ p ɐ s
kumuyakoy	k x ʊ m ʊ j a x o ɪ̯
kunan	k x ʊ n ɐ n
kupas	k x u p ɐ s
kupas	k x ʊ p a s
kurba	k x ʊ ɾ b a
kurbata	k x ʊ ɾ b ɐ t ɐ
kurot	k x ʊ ɾ o t
kursonada	k x ʊ ɾ s o n ɐ d ɐ
kurtina	k x ʊ ɾ t ɪ n ɐ
kusina	k x ʊ s ɪ n ɐ
kustodiya	k x ʊ s t o d ɪ ɐ
kuting	k x ʊ t i ŋ
kutis	k x u t ɪ s
kuto	k x u t o
kuto	k x ʊ t o ʔ
kutsara	k x ʊ t͡s ɐ ɾ ɐ
kutsara	k x ʊ t͡ʃ ɐ ɾ ɐ
kutson	k x ʊ t͡ʃ o n
kutya	k x ʊ t͡ʃ a ʔ
kuwan	k w a n
laba	l ɐ b a
labada	l ɐ b ɐ d ɐ
labag	l ɐ b a ɡ
labastida	l ɐ b ɐ s t ɪ d ɐ
labhan	l ɐ b h a n
labnot	l ɐ b n o t
labong	l ɐ b o ŋ
lacambra	l ɐ x ɐ m b ɾ ɐ
lacap	l ɐ x ɐ p
laganap	l ɐ ɰ ɐ n ɐ p
lagay	l ɐ ɰ a ɪ̯
lagdameo	l ɐ ɡ d ɐ m ɛ o
lagmay	l ɐ ɡ m a ɪ̯
lagundi	l ɐ ɰ ʊ n d i
laitin	l a ɪ̯ t ɪ n
lampara	l a m p ɐ ɾ ɐ
lampin	l ɐ m p i n
lana	l a n ɐ
landrito	l ɐ n d ɾ ɪ t o
langkaan	l ɐ ŋ k ɐ ʔ ɐ n
lanting	l ɐ n t ɪ ŋ
lantsa	l a n t͡ʃ ɐ
lanuza	l ɐ n ʊ s ɐ
lapis	l a p ɪ s
lapnos	l ɐ p n o s
lapuz	l ɐ p ʊ s
laquindanum	l ɐ x ɪ n d ɐ n ʊ m
larawan	l ɐ ɾ a w ɐ n
lascano	l ɐ s k ɐ n o
laspag	l ɐ s p a ɡ
lastiko	l a s t ɪ x o
laswa	l ɐ s w a ʔ
latayan	l ɐ t ɐ j ɐ n
lawa	l a w ɐ ʔ
lawaan	l ɐ w a ʔ ɐ n
laway	l a w a ɪ̯
lawlaw	l a ʊ̯ l a ʊ̯
laxamana	l ɐ k s ɐ m ɐ n ɐ
layag	l a j ɐ ɡ
layas	l ɐ j a s
laygo	l a ɪ̯ ɰ o
laylayan	l a ɪ̯ l a j ɐ n
laylo	l a ɪ̯ l o
layno	l a ɪ̯ n o
lazarte	l ɐ s ɐ ɾ t ɛ
lazatin	l ɐ s ɐ t ɪ n
lehitimo	l ɛ h i t ɪ m o
leynes	l ɛ ɪ̯ n ɛ s
libak	l ɪ b a k
libradilla	l ɪ b ɾ ɐ d ɪ l l ɐ
libre	l ɪ b ɾ ɛ
lichauco	l ɪ t͡ʃ a ʊ̯ x o
licup	l ɪ x ʊ p
ligpit	l ɪ ɡ p i t
liha	l ɪ h ɐ
lihim	l i h ɪ m
liko	l ɪ x o ʔ
limahid	l ɪ m a h ɪ d
limbaga	l ɪ m b ɐ ɰ ɐ
limjoco	l ɪ m d͡ʒ o x o
limos	l ɪ m o s
linatoc	l ɪ n ɐ t o k
lingad	l ɪ ŋ ɐ d
linggo	l ɪ ŋ ɡ o
lingon	l ɪ ŋ o n
linta	l ɪ n t a ʔ
liquigan	l ɪ x ɪ ɰ ɐ n
lising	l ɪ s ɪ ŋ
lislis	l ɪ s l i s
literasiya	l ɪ t ɛ ɾ ɐ s ɪ ɐ
litrato	l ɪ t ɾ ɐ t o
liwag	l ɪ w ɐ ɡ
lizada	l ɪ s ɐ d ɐ
llanera	l l ɐ n ɛ ɾ ɐ
llanto	l l ɐ n t o
lobo	l o b o
logarta	l o ɰ ɐ ɾ t ɐ
loko	l o x o
lola	l o l ɐ
lomibao	l o m ɪ b a ʊ̯
lona	l o n ɐ
longhitud	l o ŋ h ɪ t ʊ d
lorenzana	l o ɾ ɛ n s ɐ n ɐ
loterya	l o t ɛ ɾ j ɐ
lozada	l o s ɐ d ɐ
lubak	l ʊ b a k
lubha	l ʊ b h a ʔ
lubiano	l ʊ b j ɐ n o
lukban	l ʊ k b ɐ n
lula	l u l ɐ ʔ
lula	l ʊ l a ʔ
lumad	l u m ɐ d
lumagui	l ʊ m ɐ ɰ ɪ
lumanglas	l ʊ m ɐ ŋ l ɐ s
lumbang	l u m b ɐ ŋ
lumbao	l u m b a ʊ̯
lumibao	l ʊ m ɪ b a ʊ̯
luwag	l w a ɡ
luzano	l ʊ s ɐ n o
luzon	l ʊ s o n
luzuriaga	l ʊ s ʊ ɾ j ɐ ɰ ɐ
maagrabyado	m ɐ ʔ ɐ ʔ ɡ ɾ ɐ b j a d o
maangas	m ɐ ʔ a ŋ ɐ s
mababa	m ɐ b a b ɐ ʔ
mabalot	m ɐ b ɐ l o t
mabigat	m ɐ b ɪ ɰ a t
mabini	m ɐ b ɪ n ɪ
mabulaklak	m ɐ b ʊ l ɐ k l a k
maburyong	m ɐ b ʊ ɾ j o ŋ
mabuwisit	m ɐ b w i s ɪ t
macababbad	m ɐ x ɐ b ɐ b b ɐ d
macadangdang	m ɐ x ɐ d ɐ ŋ d ɐ ŋ
macalalad	m ɐ x ɐ l ɐ l ɐ d
macalindong	m ɐ x ɐ l ɪ n d o ŋ
macapagal	m ɐ x ɐ p ɐ ɰ ɐ l
macapinlac	m ɐ x ɐ p ɪ n l ɐ k
macapugay	m ɐ x ɐ p ʊ ɰ a ɪ̯
macaranas	m ɐ x ɐ ɾ ɐ n ɐ s
macasaet	m ɐ x ɐ s ɐ ɛ t
macasieb	m ɐ x ɐ s ɪ ɛ b
macaspac	m ɐ x ɐ s p ɐ k
macatulad	m ɐ x ɐ t ʊ l ɐ d
maceda	m ɐ s ɛ d ɐ
macuha	m ɐ x ʊ h ɐ
madalas	m ɐ d ɐ l a s
madlangbayan	m ɐ d l ɐ ŋ b ɐ j ɐ n
madriaga	m ɐ d ɾ ɪ ɐ ɰ ɐ
madulas	m a d ʊ l a s
madulas	m ɐ d ʊ l a s
magaling	m ɐ ɰ ɐ l ɪ ŋ
magallanes	m ɐ ɰ ɐ l l ɐ n ɛ s
magalona	m ɐ ɰ ɐ l o n ɐ
magandahan	m ɐ ɰ ɐ n d ɐ h a n
magbabaon	n ɐ ɡ b ɐ ʔ o n
magbanua	m ɐ ɡ b ɐ n ʊ ɐ
magbaon	m ɐ ɡ b ɐ ʔ o n
magbarena	m ɐ ɡ b ɐ ɾ ɛ n ɐ
magbihis	m ɐ ɡ b i h ɪ s
magbinata	m ɐ ɡ b ɪ n ɐ t a ʔ
magbiro	m ɐ ɡ b ɪ ɾ o ʔ
magbisikleta	m ɐ ɡ b ɪ s ɪ k l ɛ t ɐ
magboo	m ɐ ɡ b o o
magbubukid	m ɐ ɡ b ʊ b ʊ x i d
magbuhat	m ɐ ɡ b ʊ h ɐ t
magbulakbol	m ɐ ɡ b ʊ l ɐ k b o l
magdalaga	m ɐ ɡ d ɐ l ɐ ɰ a
magdayao	m ɐ ɡ d ɐ j a ʊ̯
magdeliryo	m ɐ ɡ d ɛ l i ɾ j o
magdemanda	m ɐ ɡ d ɛ m ɐ n d ɐ
maghabilin	m ɐ ɡ h ɐ b ɪ l ɪ n
maghabla	m ɐ ɡ h ɐ b l a
maghanapbuhay	m ɐ ɡ h ɐ n ɐ p b ʊ h a ɪ̯
maghanda	m ɐ ɡ h ɐ n d a ʔ
maghangad	m ɐ ɡ h ɐ ŋ a d
maghari	m ɐ ɡ h a ɾ ɪ ʔ
maghasik	m ɐ ɡ h ɐ s i k
maghati	m ɐ ɡ h ɐ t ɪ ʔ
maghiganti	m ɐ ɡ h ɪ ɰ ɐ n t i
maghikab	m ɐ ɡ h ɪ x a b
maghikaw	m ɐ ɡ h ɪ x a ʊ̯
maghilik	m ɐ ɡ h ɪ l i k
maghimagsik	m ɐ ɡ h ɪ m ɐ ɡ s i k
maghimutok	m ɐ ɡ h ɪ m ʊ t o k
maghinala	m ɐ ɡ h ɪ n ɐ l ɐ ʔ
maghingalo	m ɐ ɡ h ɪ ŋ ɐ l o
maghinto	m ɐ ɡ h ɪ n t o ʔ
maghinuha	m ɐ ɡ h ɪ n u h ɐ ʔ
maghirang	m ɐ ɡ h ɪ ɾ ɐ ŋ
maghirap	m ɐ ɡ h ɪ ɾ ɐ p
maghiyas	m ɐ ɡ h ɪ a s
maghumpay	m ɐ ɡ h u m p a ɪ̯
magkanlong	m ɐ ɡ k ɐ n l o ŋ
magkataon	m ɐ ɡ k ɐ t ɐ ʔ o n
maglalang	m ɐ ɡ l ɐ l ɐ ŋ
maglanggas	m ɐ ɡ l ɐ ŋ ɡ a s
maglangib	m ɐ ɡ l ɐ ŋ i b
maglango	m ɐ ɡ l ɐ ŋ o
maglantod	m ɐ ɡ l ɐ n t o d
maglapa	m ɐ ɡ l a p ɐ ʔ
maglarawan	m ɐ ɡ l ɐ ɾ ɐ w ɐ n
maglaro	m ɐ ɡ l ɐ ɾ o ʔ
maglaso	m ɐ ɡ l ɐ s o
maglaway	m ɐ ɡ l ɐ w a ɪ̯
maglingid	m ɐ ɡ l ɪ ŋ i d
maglingkod	m ɐ ɡ l ɪ ŋ k o d
maglola	m ɐ ɡ l o l ɐ
maglolo	m ɐ ɡ l o l o
magmaliw	m ɐ ɡ m ɐ l ɪ ʊ̯
magmartsa	m ɐ ɡ m ɐ ɾ t͡ʃ ɐ
magnakaw	m ɐ ɡ n a x a ʊ̯
magno	m ɐ ɡ n o
magpalaganap	m ɐ ɡ p ɐ l ɐ ɰ a n ɐ p
magpanatili	m ɐ ɡ p ɐ n ɐ t ɪ l ɪ
magparaya	m ɐ ɡ p ɐ ɾ ɐ j ɐ ʔ
magpasubasta	m ɐ ɡ p ɐ s ʊ b ɐ s t ɐ
magpaubaya	m ɐ ɡ p a ʊ̯ b ɐ j ɐ ʔ
magpaubaya	m ɐ ɡ p ɐ ʔ ʊ b ɐ j ɐ ʔ
magpraktis	m ɐ ɡ p ɾ ɐ k t ɪ s
magrenta	m ɐ ɡ ɾ ɛ n t ɐ
magsalang	m ɐ ɡ s a l ɐ ŋ
magsaliksik	m ɐ ɡ s ɐ l ɪ k s i k
magsimba	m ɐ ɡ s ɪ m b a
magsiwalat	m ɐ ɡ s ɪ w a l ɐ t
magsugal	m ɐ ɡ s ʊ ɰ a l
magsuntukan	m ɐ ɡ s ʊ n t ʊ x ɐ n
magtalas	m ɐ ɡ t ɐ l ɐ s
magtalo	m ɐ ɡ t ɐ l o
magustuhan	m ɐ ɰ ʊ s t ʊ h a n
mahinay	m ɐ h ɪ n a ɪ̯
mahirap	m ɐ h i ɾ ɐ p
maingay	m ɐ ʔ i ŋ a ɪ̯
mais	m ɐ ʔ i s
makalat	m ɐ x a l ɐ t
makaluma	m ɐ x ɐ l u m ɐ ʔ
makapuno	m ɐ x ɐ p ʊ n o ʔ
makatotohanan	m ɐ x ɐ t o t o h ɐ n ɐ n
makatulog	m ɐ x ɐ t ʊ l o ɡ
makiapid	m ɐ x i ʔ ɐ p i d
makibahagi	m ɐ x ɪ b ɐ h a ɰ ɪ ʔ
makina	m a x ɪ n ɐ
makinis	m ɐ x ɪ n ɪ s
makipagbati	m ɐ x ɪ p ɐ ɡ b ɐ t i ʔ
makipagsuntukan	m ɐ x ɪ p ɐ ɡ s ʊ n t ʊ x ɐ n
makontento	m ɐ x o n t ɛ n t o
makulimlim	m ɐ x ʊ l ɪ m l i m
makunan	m ɐ x ʊ n ɐ n
malabuyoc	m ɐ l ɐ b ʊ j o k
malakanyang	m ɐ l ɐ x ɐ ɲ ɐ ŋ
malaluan	m ɐ l ɐ l ʊ ɐ n
malambot	m ɐ l ɐ m b o t
malas	m ɐ l ɐ s
malaswa	m ɐ l ɐ s w a ʔ
malibiran	m ɐ l ɪ b ɪ ɾ ɐ n
malicsi	m ɐ l ɪ k s ɪ
maligaw	m a l ɪ ɰ a ʊ̯
maligaw	m ɐ l ɪ ɰ a ʊ̯
malihan	m ɐ l ɪ h ɐ n
maliksi	m ɐ l ɪ k s ɪ
mallare	m ɐ l l ɐ ɾ ɛ
mallorca	m ɐ l l o ɾ k ɐ
malubak	m ɐ l ʊ b a k
mamagitan	m ɐ m ɐ ɰ i t ɐ n
mamahagi	m ɐ m ɐ h a ɰ ɪ ʔ
mamakyaw	m ɐ m ɐ k j a ʊ̯
mamanhikan	m ɐ m ɐ ŋ h ɪ x ɐ n
mamaril	m ɐ m ɐ ɾ ɪ l
mamasada	m ɐ m ɐ s ɐ d ɐ
mamasura	m ɐ m ɐ s ʊ ɾ ɐ
mambabae	m ɐ m b ɐ b ɐ ʔ ɛ
mambola	m ɐ m b o l ɐ
mamboso	m ɐ m b o s o
mambugaw	m ɐ m b u ɰ a ʊ̯
mambuwisit	m ɐ m b w i s ɪ t
mamigay	m ɐ m ɪ ɰ a ɪ̯
mamihasa	m ɐ m ɪ h a s ɐ ʔ
mamimili	m ɐ m ɪ m ɪ l i
mamimili	m ɐ m ɪ m ɪ l ɪ
mamintog	m ɐ m ɪ n t o ɡ
mamuhunan	m ɐ m ʊ h ʊ n ɐ n
mamulaklak	m ɐ m ʊ l ɐ k l a k
mamuti	m ɐ m ʊ t i ʔ
mamuyac	m ɐ m ʊ j ɐ k
manabat	m ɐ n ɐ b ɐ t
manabunot	m ɐ n ɐ b ʊ n o t
managinip	m ɐ n ɐ ɰ i n ɪ p
manakit	m ɐ n ɐ x i t
manalad	m ɐ n ɐ l ɐ d
manalo	m ɐ n a l o
manaloto	m ɐ n ɐ l o t o
manamantala	m ɐ n ɐ m ɐ n t ɐ l a
mananahi	m ɐ n ɐ n a h ɪ ʔ
mananahi	m ɐ n ɐ n ɐ h i ʔ
manananggal	m ɐ n ɐ n ɐ ŋ ɡ a l
manangan	m ɐ n ɐ ŋ ɐ n
mananghalian	m ɐ n ɐ ŋ h ɐ l i ʔ ɐ n
mananquil	m ɐ n ɐ ŋ k ɪ l
manantan	m ɐ n ɐ n t ɐ n
manaog	m ɐ n ɐ o ɡ
manaois	m ɐ n ɐ o ɪ̯ s
manarang	m ɐ n ɐ ɾ ɐ ŋ
manatad	m ɐ n ɐ t ɐ d
mancao	m ɐ ŋ k a ʊ̯
mandaragat	m ɐ n d ɐ ɾ ɐ ɰ a t
mandirigma	m ɐ n d ɪ ɾ ɪ ɡ m a ʔ
mandocdoc	m ɐ n d o k d o k
mandukot	m ɐ n d u x o t
mandurukot	m ɐ n d ʊ ɾ u x o t
mangagat	m ɐ ŋ ɐ ɰ a t
mangailangan	m ɐ ŋ ɐ ʔ ɪ l ɐ ŋ ɐ n
mangalunya	m ɐ ŋ ɐ l ʊ ɲ a ʔ
mangamba	m ɐ ŋ ɐ m b a
mangamote	m ɐ ŋ ɐ m o t ɛ
manganak	m ɐ ŋ ɐ n a k
mangaoang	m ɐ ŋ ɐ w ɐ ŋ
mangaway	m ɐ ŋ ɐ w a ɪ̯
manggagantso	m ɐ ŋ ɡ ɐ ɰ ɐ n t͡ʃ o
manggantso	m ɐ ŋ ɡ ɐ n t͡ʃ o
manggas	m ɐ ŋ ɡ a s
