'kay	ʔ kʰ e ɪ̯
humongous	ç u̟ː m ɐ ŋ ɡ ə s
humongous	ç u̟ː m ʊ ŋ ɡ ə s
humph	h ɪ̈ m f
humph	h ʌ m f
hunter	h ʌ ɾ̃ ɚ
hurry	h ɝ ɹ i
hydra	h a ɪ̯ d ɹ ə
hydra	h a ɪ̯ d͡ʒ ɹ ə
hydropsy	h a ɪ̯ d ɹ ɑ p s i
hyperhidrosis	h a ɪ p ə ɹ h a ɪ d ɹ o ʊ s ɪ s
hypotenuse	h a ɪ p ɑ ʔ ə n uː s
háček	h aː t ʃ e k
háček	h aː t ʃ ɛ k
háček	h ɐː t ʃ e k
háček	h ɑ t ʃ ɛ k
háček	h ɑ ə t ʃ ɛ k
háček	h ɑː t ʃ ɛ k
háček	ɦ ɑː t ʃ ɛ k
iced	a ɪ̯ s t
illegal	ɪ ɫ l i ɡ ə ɫ
illegitimate	ɪ l ɨ d͡ʒ ɪ ɾ ə m ɨ t
illusion	ɪ l uː ʒ ə n
imma	aː m ə
inamorata	ɪ n æ m ɒ ɹ ɑː t ə
inamorata	ɪ n æ m ə ɹ ɑː ɾ ə
incel	ɪ n s ɛ ɫ
incidental	ɪ n s ɪ d ɛ n tʰ ə l
incidental	ɪ n s ɪ d ɛ ɾ̃ ə l
incommunicado	ɪ n k ə m j u n ɨ k ɑː d o ʊ
incredible	ɪ̈ ŋ k ɹ̥ʷ ɛ ɾ ə b ə ɫ
incredible	ɪ̈ ŋ k ɹ̥ʷ ɛ ɾ ə b ɫ̩
inexorably	ɪ n ɛ ɡ z ə ɹ ə b l i
inference	ɪ ɱ f ə ɹ ə n s
inference	ɪ ɱ f ɹ ə n s
inhalation	ɪ n ɦ ə l e ɪ ʃ n̩
insolvency	ɪ n s ɒ l v n̩ s i
installation	ɪ n s t ə l e ɪ ʃ ə n
insufferable	ɪ n s ʌ f ɹ ə b l̩
interchangeable	ɪ ɾ̃ ɚ t ʃ e ɪ n d ʒ ə b l̩
interloper	ɪ n t ɚ l o ʊ̯ p ɚ
interloper	ɪ ɾ̃ ɚ l o ʊ̯ p ɚ
international	ɪ n t ɚ n æ ʃ ə n ə ɫ
international	ɪ ɾ̃ ɚ n æ ʃ ə n ə ɫ
interstate	ɪ ɾ̃ ɚ s t e ɪ̯ t
investigate	ɪ n v e s t ɪ ɡ e ɪ̯ t
ipa	a ɪ pʰ iː e ɪ
ireland	a ɪ ɚ l ə n d
ireland	ä ɪ ɚ ɫ ɪ̈ n d
ireland	ɑ ɚ l ə n d
ireland	ɑ ɪ ə l ə n d
ireland	ɑ ɪ ɚ l ə n d
ireland	ə ɪ ɚ l ə n d
ireland	ʌ ɪ ɚ l ə n d
it	ɪ̈ t
italy	ɪ ɾ l̩ i
italy	ɪ ɾ ə l i
item	a ɪ̯ ɾ m̩
item	a ɪ̯ ɾ ə m
ith	a ɪ̯ θ
jabberwocky	d͡ʒ æ b ɚ w ɑ k i
jar	d͡ʒ ɑ ɹ
jump	d͡ʒ ʌ m p
juniper	d͡ʒ u n ɪ̈ p ɚ
jupiter	d ʒ u p ɪ ɾ ɚ
jury	d͡ʒ ɚ i
jury	d͡ʒ ʊ ə ɹ̠ i
k	kʰ e ɪ
kana	kʰ ɑː n ə
kardashian	kʰ ɑ ɹ d æ ʃ i ə n
karma	k ɑ ɹ m ə
karma	k ɑː m ə
karma	k ə ɾ m ə
katana	k ɪ̈ tʰ ɑ n ə
katy	kʰ e ɪ̯ ɾ i
kebnekaise	k ɛ b n ə k a i s ə
keloid	k iː l ɔ ɪ d
kelvin	kʰ ɛ l v ɨ n
kettle	kʰ ɛ tᵊ ɫ̩
kettle	kʰ ɛ ɾ ɫ̩
key	kʲʰ iː
kick	kʰ ɪ k
kiddie	kʰ ɪ ɾ i
killer	kʰ ɪ ɫ l ɚ
kimono	k ɪ̈ m o ʊ̯ n o ʊ̯
kimono	k ɪ̈ m o ʊ̯ n ə
kimonoed	k ɪ̈ m o ʊ̯ n o ʊ̯ d
kimonoed	k ɪ̈ m o ʊ̯ n ɪ̈ d
kindergarten	kʰ ɪ n d ə ɹ ɡ ɑː ɹ t̬ ə n
kindergarten	kʰ ɪ ɾ̃ ə ɹ ɡ ɑː ɹ ʔ n̩
kirton	k ɝ ʔ n̩
kiss	kʰ ɪ s
kitten	k ɪ ʔ n̩
kitty	kʰ ɪ ɾ i
knar	n ɑ ɹ
knar	n ɑ ˞
koizumi	kʰ ɔ i̯ z u m i
korea	kʰ ɵ ɹ i ə
l	l
l	w
l	ɫ
la	ɛ ɫ l e j
ladder	l æ ɾ ɚ
lambrusco	l æ m b ɹ ʊ s k o ʊ
land	ɫ e ə̯ n d
lander	l æ n d ɚ
language	l e ɪ ŋ ɡ w ɪ d͡ʒ
lar	l ɑ ɹ
lar	l ɑ ˞
largely	l aː d ʒ l i
largely	l ɑ ɹ d ʒ l i
largely	l ɑː d ʒ l i
later	l e ɪ̯ ɾ ɚ
latin	l æ ʔ n̩
latter	l æ ɾ ɚ
laundry	l ɑ n d ɹ i
learner	l ɝ n ɚ
leeway	l iː w e ɪ
li'l	l ɪ ɫ
li'l	l ɪ ɫ̩
liable	l a ɪ̯ ə b ə ɫ
liable	l a ɪ̯ ə b ɫ̩
light	ɫ ɐ ɪ̯ ʔ
lighter	l a ɪ ɾ ɚ
lightning	l ɐ ɪ̯ ʔ n ɪ ŋ
lightning	l ʌ ɪ̯ ʔ n ɪ ŋ
lincolnshire	l i ŋ kʰ ə̆ n ʃ ɚ
listen	l ɪ s n̩
liter	l i ɾ ɚ
literally	l ɪ ɾ ɚ ə l i
literary	ɫ ɪ ɾ ə ɹ ɛ ə ɹ i
litre	l i ɾ ɚ
litter	l ɪ ɾ ɚ
little	l ɪ ɾ ɫ̩
little	ɫ ɪ ɾ ɫ
littlest	l ɪ ɾ l̩ ə s t̚
loiter	l ɔ j ɾ ɚ
lubricious	l u b ɹ ɪ ʃ ə s
luddite	l ʌ ɾ ʌ i t
lulls	l ɐ ɫ z
lulls	ɫ ʌ ɫ z
lunch	l ʌ̃ n t͡ʃ
lycra	l a ɪ k ɹ ə
m'kay	ŋ k e ɪ
ma'am	m e ə m
ma'am	m ɛ ə m
madder	m æ ɾ ə ɹ
mail	m e ɪ̯ ɫ
make	m e ɪ kʲ
malinois	m æ l ɪ n w ɑː
mamaliga	m ə m ə l i ɡ ə
man	m e ə n
man	m ɛ ə n
man	m ẽ ə̃ n
mar	m ɑ ɹ
mar	m ɑ ˞
marten	m ɑ ɹ ʔ n̩
martyr	m ɑ ɹ ɾ ɚ
mat	m æ ʔ t̚
matter	m æ ɾ ɚ
mawky	m ɔː k i
maybe	m e ɪ̯ b i
meal	m iː ʟ̩
medal	m e ɾ ɫ̩
medal	m ɛ d ɫ̩
medal	m ɛ ɾ ɫ̩
meehan	m i ɪ n
meehan	m iː h æ̝ː n
meeting	m i ɾ ɪ ŋ
melodic	m ɨ l ɑ ɾ ɪ k
mersh	m ɝ ʃ
merveilleuse	m ɛ ʁ v ɛ j ø z
merveilleux	m ɛ ʁ v ɛ j ø
meta	m ɛ ɾ ə
metal	m ɛ ɾ ɫ̩
metathesis	m ə tʰ æ θ ə s ə s
metathesis	m ɛ tʰ æ θ ə s ɪ s
meteor	m i ɾ i ɚ
meter	m i ɾ ɚ
methoxphenidine	m ɛː θ ɑ k s f ɛː n ɨ ɾ ĩː n
metic	m ɛ ɾ ə k
metre	m iː ɾ ɚ
mhm	m̩ m̥ m̩
mi'kmaq	m ɪ k m æ k
mi'kmaq	m ɪ ɡ ə m ɒ q
michael	m ɐ ɪ kʰ ɫ̩
michigander	m ɪ ʃ ə ɡ æ n d ɚ
middle	m ɪ ɾ ɫ̩
middleman	m ɪ d ɫ̩ m æ n
midst	m ɪ d s t
midst	m ɪ t s t
mighty	m ʌ ɪ ɾ i
mike	m ɐ ɪ ʔ k̚
mikey	m ɐ ɪ kʰ iː
mile	m a ɪ̯ ɫ
milkshake	m ɪ ɫ k ʃ e ɪ k
mill	m ɪ ɫ
minnesota	m ɪ n ɪ s o ʊ ɾ ə
minnesotan	m ɪ n ə s o ʊ ʔ n̩
minter	m ɪ ɾ̃ ɚ
mirth	m ɝ θ
mister	m ɪ s t ɚ
mmm	m̩
model	m ɑ ɾ ɫ
molasses	m ə l æ s ɨ z
molasses	m ɵ l æ s ɨ z
moms	m ɑ m z
month	m ʌ n̪ θ
mosquitoey	m ə s k i ɾ o ʊ i
motlopi	m o ʊ ʔ l o ʊ p i
motorcycle	m o ʊ ɾ ɚ s a ɪ k l̩
mountain	m ã ʊ̯̃ n ʔ n̩
mountain	m æ̃ ʊ̯̃ n ʔ n̩
mountaineer	m ã ʊ̯̃ n ʔ n̩ i ə ɹ
mountaineer	m æ̃ ʊ̯̃ n ʔ n̩ i ə ɹ
muddy	m ʌ d i
multiplayer	m ʌ ɫ t i p l e ɪ̯ ɚ
multiplier	m ʌ ɫ t ɪ p l a ɪ ə ɹ
multiplier	m ʌ ɫ t ɪ p l a ɪ ɚ
murr	m ɜː ɹ
murr	m ɝ
mustard	m a s t ə d
mustard	m ɐ s t ə d
mustard	m ʊ s t ə d
mustard	m ʌ s t ɚ d
mutton	m ʌ ʔ n̩
myrrh	m ɜː ɹ
myrrh	m ɝ
myrtle	m ɝ tᵊ ɫ
myrtle	m ɝ ɾᵊ ɫ
nah	n æː
nah	n ɑː
nail	n e ɪ̯ ɫ
nares	n e ɹ iː z
nares	n æ ɹ iː z
narration	n ɛ ɚ ɹ e ɪ ʃ n̩
nauruan	n ɑː uː ɹ uː n̩
neato	n i ɾ o ʊ̯
neutral	n uː t͡ʃ ɹ ə l
nevada	n ə v æ ɾ ə
nevada	n ə v ɑ ɾ ə
never	n ɛ v ɚ̹
newcastle	n j u kʰ æ s ɫ̩
newcomer	n j u kʰ ʌ m ɚ
ng	ŋ̍
niggard	n ɪ ɡ ɚ d
niggered	n ɪ ɡ ɚ d
nightmare	n ʌ ɪ ʔ m ɛ ə ɹ
nighttime	n a ɪ ʔ t a ɪ m
nilotic	n a ɪ l ɑ ɾ ɪ k
nine	n a ɪ̯ n
nippon	n ɪ pʰ ɑ n
nitrate	n a ɪ̯ tʰ ɹ e ɪ̯ t
nitrogen	n ɐ ɪ tʰ ɹ ə d ʒ ə n
nizz	n ɪ z
nonce	n ɑ n t s
nonce	n ɒ n t s
nope	n o ʊ p̚
notice	n o ʊ ɾ ɪ s
nut	n ɐ t
o'malley	o ʊ̯ m æ l i
o'malley	ɵ m æ l i
october	ɑ k tʰ o ʊ b ɚ
odder	ʔ ɑ ɾ ɚ
oil	ɔ ɪ ɫ
olden	ɔ l d n̩
olden	ɔ l d ə n
olive	ʔ ɑː ɫ l ɨ v̥
oni	o ʊ n iː
oppose	ʔ ə pʰ o ʊː z̥
order	ɔ ɹ ɾ ɚ
origami	ɔ ɹ ɪ̈ ɡ ɑ m i
otaku	o̞ ʊ̯ tʰ ɑ kʰ u
otter	ʔ ɑ ɾ ɚ
our	ɑ ɹ
our	ɑ ˞
outer	a ʊ ɾ ɚ
pack	pʰ æ k
package	pʰ a k ɛ d͡ʒ
paddle	pʰ æ ɾ ɫ̩
paddy	pʰ æ ɾ i
padre	pʰ ɑ d ɹ e ɪ̯
pah	pʼ a
pah	pʼ aʰ
pail	pʰ e ə ɫ
pail	pʰ e ɪ̯ ɫ
pale	pʰ e ə ɫ
pale	pʰ e ɪ̯ ɫ
pansentience	p æ n s ɛ n t ʃ i ə n s
pantry	p e ə n tʰ ɹ̥ i
pantry	p æ nʰ ɹ̥ i
par	pʰ ɑ ɹ
par	pʰ ɑ ˞
parcel	pʰ aː s ə ɫ
parcel	pʰ ɑ ɹ s ə ɫ
parcel	pʰ ɑː s ə ɫ
park	p aː k
park	p ɐː k
park	p ɑ ɹ k
park	p ɑː k
park	p ɒ ə k
parole	p ə ɹ o ʊ ɫ
parole	p ə ɹ ə ʊ ɫ
parse	pʰ ɑ ɹ s
parse	pʰ ɑ ɹ z
partay	pʰ ɑ ɹ tʰ e ɪ̯
partner	p ɑ ɹ ʔ n ɚ
party	pʰ ɑ ɹ ɾ i
pascal	pʰ æ s k æ ɫ
pascal	pʰ æ s kʰ æ ɫ
pass	pʰ a s
pass	pʰ aː s
pass	pʰ e ə s
pass	pʰ e ə̯ s
pass	pʰ ä s
pass	pʰ äː s
pass	pʰ æ s
pass	pʰ ɐː s
pass	pʰ ɑː s
pass	pʰ ɛ ə s
passion	pʰ æ ʃ ə n
pat	pʰ æ t
pat	pʰ æ t̚
pat	pʰ æˀ t̚
patent	pʰ e̞ ɪ ʔ n̩ t
patent	pʰ æ̝ ʔ n̩ t
path	pʰ a θ
path	pʰ e ə θ
path	pʰ äː θ
path	pʰ æ θ
path	pʰ ɐː θ
path	pʰ ɑː θ
path	pʰ ɛ ə θ
patrick	pʰ æ t̠ ɹ̠̊ ˔ʷ ɪ k̚
pattern	p æ ɾ ɚ n
patting	pʰ æ ɾ ɪ ŋ
pattings	pʰ æ ɾ ɪ ŋ z
pay	pʰ e ɪ
pearl	pʰ ɝ ɫ
pearls	pʰ ɝ ɫ z
peculiar	pʰ ə̥ kʰ j̊ u l j ɚ
peculiar	pʰ ə̥ kʰ j̊ u l j ʊ ɹ̠
peculiar	pʰ ə̥ kʰ j̊ uː l j ʊ ə
peel	pʰ i ə ɫ
peel	pʰ iː ɫ
peep	pʰ i p
peg	pʰ ɛ ɡ
penes	pʰ i n i z
penis	pʰ i n ɪ s
people	pʰ i p ɫ̩
percuss	p ɚ kʰ ʌ s
performance	p ə f ɔː m ə n s
performance	p ɚ f ɔ ɹ m ə n s
person	pʰ ɚ s n̩
personality	p ɝ s ə n æ l ɪ ɾ i
pester	pʰ ɛ s t ɚ
pet	pʰ ɛ t
pet	pʰ ɛ ʔ t
peter	pʰ i t ɚ
peter	pʰ i ɾ ɚ
petting	pʰ ɛ ɾ ɪ ŋ
petty	p ɛ ɾ i
petty	pʰ ɛ ɾ i
pewter	p j u ɾ ɚ
phew	ɸ j u̥ ˥˩
philadelphia	f ɪ ɫ ə d ɜ ɫ f i ə
phlebolith	f l ɛ b ə l ɪ θ
phonetic	f ə n ɛ ɾ ɪ k
photo	f ŏ ʊ ɾ o ʊ
photograph	f ŏ ʊ ɾ ə ɡ ɹ̠ æ f
photographic	f o ʊ ɾ ə ɡ ɹ æ f ɪ k
photosynthesis	f ŏ ʊ ɾ o ʊ s ɪ n̪ θ ə s ɪ s
pick	pʰ ɪ k
pierre	pʰ i ə ɹ
piling	pʰ a ɪ̯ ɫ l ɪ ŋ
pill	pʰ ɪ ɫ
pin	pʰ ɪ n
pink	pʰ ɪ ŋ k
pit	pʰ ɪ ʔ t
pittance	pʰ ɪ ʔ n̩ s
place	pʰ l̥ e ɪ s
plack	pʰ l̥ æ k
plague	pʰ l̥ e ɪ ɡ
plain	pʰ l̥ e ɪ n
plan	pʰ l̥ æ n
plane	pʰ l̥ e ɪ n
plant	pʰ l̥ æ n t
plantigrade	p l e ə̯ ɾ̃ ə ɡ ɹ e ɪ̯ d
plaque	pʰ l̥ æ k
plastic	pʰ l æ s t ɪ k
plate	pʰ l̥ e ɪ t
play	p l̥ e ɪ
please	p ɫ̥ i z
plenty	p l ɛ n i
plenty	p l ɛ ɾ̃ i
plenty	p l ɪ n i
plenty	p l ɪ ɾ̃ i
pluto	p l u ɾ o ʊ
poem	pʰ o ʊ̯ m
poem	pʰ o ʊ̯ m̩
poem	pʰ o ʊ̯ ə m
poet	pʰ o ʊ̯ ɪ̈ ʔ t̚
poetry	pʰ o ʊ̯ ə t ɹ i
poilu	p w ɑː l uː
polar	pʰ o ʊ̯ l ɚ
pole	pʰ o ə ɫ
pole	pʰ o ʊ̯ ɫ
police	p ə l iː s
pool	pʰ u ə ɫ
pool	pʰ u ɫ
popping	pʰ ɑ p ɪ̈ ŋ
portable	pʰ ɔ ɹ ɾ ɪ̈ b l̩
portal	pʰ ɔː ɹ ɾ ɫ̩
postal	p o ʊ s t l̩
potato	p ə̥ tʰ e ɪ ɾ o ʊ
potato	p ə̥ tʰ e ɪ ɾ ə
potent	pʰ o ʊ̯ ʔ n̩ t
power	pʰ a ʊ̯ ɚ
power	pʰ a ʊ̯ ɹ
pressure	p ɹ ɛ ʃ ə ɹ
pressure	p ɹ ɛ ʃ ɚ
pretzel	pʰ ɹ ɛ ʔ t͡s ɫ̩
prick	pʰ ɹ̠̊ ɪ k
pride	p ɹ̥ʷ a ɪ d
priest	p ɹ̥ iː s t
prim	pʰ ɹ̠̊ ɪ m
printer	pʰ ɹ ɪ ɾ̃ ɚ
prism	pʰ ɹ̠̊ ɪ z m̩
prison	pʰ ɹ̠̊ ɪ z n̩
processors	p ɹ ɑ s ɛ s ɚ z
prodigal	pʰ ɹ ɑ ɾ ɪ ɡ ɫ̩
produceorial	p ɹ ɑ d ə s o ʊ ɹ i ə l
pronto	pʰ ɹ ɑ n o ʊ̯
pronto	pʰ ɹ ɑ n tʰ o ʊ̯
pronunciation	pʰ ɹ ə n ʌ n s i e ɪ ʃ ə n
propaganda	p ɹ ɑ p ə ɡ æ n d ə
propaganda	p ɹ ɒ p ə ɡ æ n d ə
property	p ɹ ɑ p ɚ ɾ i
psittacosis	s i ɾ ə k o ʊ s ɨ s
pulchritude	pʰ ʌ ɫ k ɹ ə t uː d
pull	pʰ ʊː ɫ
punctuate	p ʌ ŋ k ʃ uː e ɪ t
punter	pʰ ʌ̃ː ɾ̃ ɚ
puppy	pʰ ɐ p i
purl	pʰ ɝ ɫ
purlin	p ɜː ɹ l ɪ n
purls	pʰ ɝ ɫ z
push	pʷ ʊ ʃ
put	pʰ ʊ ʔ t
putt	pʰ ʌ t
putting	pʰ ʊ t ɪ ŋ
putting	pʰ ʊ ɾ ɪ ŋ
putting	pʰ ʌ t ɪ ŋ
quaint	kʰ w e ɪ̯ n t
quality	kʰ w ɑ ɫ ə ɾ i
quantity	kʰ w ɑ n tʰ ɨ tʰ i
quantity	kʰ w ɑ n ɾ ɨ ɾ i
quantum	k w ɑ ɾ̃ ə m
quantum	kʰ w ɑ n tʰ ə m
queen	kʷ w iː n
quesadilla	kʰ e ɪ̯ s ə d i j ə
quick	k w̥ ɪ k
quid	kʰ w̥ ɪ d
quiff	kʰ w̥ ɪ f
quill	kʰ w̥ ɪ l
quilt	kʰ w̥ ɪ l t
quin	kʰ w̥ ɪ n
quinn	kʰ w̥ ɪ n
quint	kʰ w̥ ɪ n t
quip	kʰ w̥ ɪ p
quit	kʰ w̥ ɪ t
quiz	kʰ w̥ ɪ z
radar	ɹ e ɪ ɾ ɚ
radio	ɹ e ɪ ɾ i o ʊ
rail	ɹ e ɪ ɫ
rajgira	ɾ ɑː d͡ʒ ɡ i r ɑː
rambo	ɹ æ m b ə ʊ
rating	ɹ e ɪ ɾ ɪ ŋ
ratty	ɹ æ ɾ i
reading	ɹ i ɾ i ŋ
reading	ɹ iː ɾ ɪ ŋ
rebutter	ɹ ɪ̈ b ʌ ɾ ɚ
recension	ɹ̠ʷ ɪ̈ s ɛ̃ n t̚ ʃ ə̃ n
reconnoiter	ɹˠ ɛ k ə n ɔ ɪ̯ ɾ ɚ
reconnoitre	ɹˠ ɛ k ə n ɔ ɪ̯ ɾ ɚ
regular	ɹ ɛ ɡ j ɪ̈ l ɚ
regular	ɹ ɛ ɡ l̩ ɚ
relative	ɹ ɛ l ə tʰ ɪ v
relative	ɹ ɛ l ə ɾ ɪ v
relatively	ɹ ɛ l ə tʰ ɪ v l i
relatively	ɹ ɛ l ə ɾ ɪ v l i
relinquish	ɹ ɪ l ɪ ŋ k w ɪ ʃ
remote	ɹ ɪ m o ʊ t
republic	ɹ ɪ p ʌ b l ɪ k
respectable	ɹ i s p ɛ k t ə b l̩
retail	ɹ̠ʷ i tʰ e ɪ̯ ɫ
reticent	ɹ ɛ d ə s ə n t
revelry	ɹ ɛ v ə ɫ ɹ i
reëvoke	ɹ iː ʔ i v ə ʊ k
rhotic	ɹ o ʊ̯ ɾ ɪ̈ k
rhotic	ɹ̠ʷ ɵ ʊ ɾ ɪ̈ k
rider	ɹ̠ a ɪ ɾ ɚ
right	ɹ a ɪ ʔ t̚
robotics	ɹ o ʊ b ɑ ɾ ɪ k s
rocks	ɹʷ ɒ k s
rocks	ɹʷ ɔ k s
rocky	ɹʷ ɒ k i
romantic	ɹ o ʊ m æ n t ɪ k
rose	ɻʷ ö̞ ʊ z̥
rot	ɹ ɑ t
roti	ɹ ɔ ʊ ɾ ɪ i̯
rotten	ɹ ɑ ʔ n̩
rubbed	ɹ ʌˑ b̚ d̥
ruby	ɹ uː b i
rule	ɹ uː ɫ
saddle	s æ d l̩
sail	s e ɪ̯ ɫ
sang	s a ŋ
sang	s e ɪ ŋ
sang	s æ ŋ
sang	s ɛ ŋ
sat	s æ ʔ t̚
sat	ɛ s e ɪ̯ tʰ i
saturday	s æ ɾ ɚ ɾ e ɪ̯
saturday	s æ ɾ ɚ ɾ i
scale	s k e ɪ̯ ɫ
scallion	s k æ l j n̩
scallion	s k æ l ɪ ə n
schemes	s k iː m z̥
screech	s k ɹ i t ʃ
screech	s k ɹ iː t ʃ
scuttle	s k ʌ ɾ ə ɫ
scuttle	s k ʌ ɾ ɫ̩
secretary	s ɛ k ɹ ə tʰ ɛ ɹ i
security	s ə k j ɔ ɹ ɪ ɾ i
security	s ə k j ʊ ɹ ɪ ɾ i
semanticity	s ɪ m æ n tʰ ɪ s ɪ̈ t i
senpai	s ɛ m p a ɪ̯
senpai	s ɛ n p a ɪ̯
sentence	s ɛ n t n̩ t͡s
sentence	s ɛ n ʔ n̩ t͡s
serious	s i ə ɹ i ə s
servant	s ɝ v n̩ ʔ
servo	s ɝ v o ʊ
sevendy	s ɛ v n̩ i
sevendy	s ɛ v n̩ ɾ̃ i
shi	ʃ a ɪ
shitty	ʃ ɪ ɾ i
shouldn't	ʃ ʊ n ʔ
shutter	ʃ ʌ ɾ ɚ
siberia	s a ɪ b ɪ ɹ i ə
siberian	s a ɪ b ɪ ɹ i ə n
sigmatism	s ɪ ɡ m ʌ t ɪ z m
sitter	s ɪ ɾ ɚ
sixth	s ɪ k s t̪
sixth	s ɪ k s θ
skillful	s k ɪ ɫ f ə ɫ
skrrt	s k r̩ ʔ
skweee	s k w iː
slaten	s l e ɪ t n̩
slight	s l̥ l͡ɐ ɪ ʔ̚
smatter	s m æ ɾ ɚ
snippet	s n ɪ p ɪ̈ ʔ t̚
snow	s n o ʊ̯
soil	s ɔ ɪ̯ ɫ
solecism	s o ʊ l ɨ s ɪ z ə m
soluble	s ɔ ɫ j ʊ b ə ɫ
some	s ɐ m
something	s ʌ m ʔ m̩
something	s ʌ n̪ θ ɪ ŋ
something	s ʌ ɪ ŋ
something	s ʌ ɾ̃ ɪ ŋ
something	s ʌ̃ː
sophisticate	s ə f ɪ s t ɪ k e ɪ t
sophisticate	s ə f ɪ s t ɪ k ə t
sorta	s ɔ ɹ ɾ ə
spaghetti	s p ə ɡ ɛ ɾ i
spar	s p ɑ ɹ
spar	s p ɑ ˞
splinter	s p l ɪ ɾ̃ ɚ
spotted	s p ɑ ɾ ɪ̈ d
squander	s kʷ ɑ n d ɚ
squee	s k w iː
standard	s t e ə n d ɚ d
standardise	s t æ n d ə ɹ d a ɪ z
started	s t ɑ ɹ ɾ ɪ d
starter	s t ɑ ɹ ɾ ɚ
starting	s t ɑ ɹ t ɪ ŋ
starting	s t ɑ ɹ ɾ ɪ ŋ
startup	s t ɑ ɹ ɾ ʌ p
steel	s t iː ɫ
stiletto	s t ə l ɛ ɾ o ʊ
stirk	s t ɝ k
stope	s t o ʊ p
strand	s t ɹ ɛ ə n d
strength	s t̠͡ɹ̠ ɛ n̪ θ
strength	s t̠͡ɹ̠ ɛ ŋ k θ
strength	s t̠͡ɹ̠ ɪ ŋ k θ
strident	s t ɹ a ɪ dˀ n t
strong	s t̠͡ɹ̠ ɔ ŋ
strong	ʃ t̠͡ɹ̠ ɔ ŋ
struggle	s t ɹ ʌ ɡ l̩
subhuman	s ʌ b h j uː m ə n
substance	s ʌ b s t ə n t s
substituent	s ʌ b s t ɪ t ʃ u ə n t
subtle	s ʌ ɾ ɫ̩
subway	s ʌ b w e ɪ̯
sudden	s ʌ d n̩
super	s u p ɚ
support	s ə pʰ o ɹ t
support	s ə pʰ ɔ ɹ t
suppose	s p o ʊ z
suppose	s ə pʰ o ʊ z
sweaty	s w ɛ ɾ i
sweetheart	s w i ɾʱ ɑ ɹ t̠̚
syllable	s ɪ l ə b ɫ
symbology	s ɪ m b ɑ l ə d ʒ i
symphony	s ɪ m p f ə n i
symphony	s ɪ ɱ f ə n i
syncline	s ɪ ŋ k l a ɪ n
syntagms	s ɪ n t æ m z
t'	t̚
t'	ʔ
t'	ː
tab	tʰ æ b̥
tackle	tʰ æ k ɫ̩
taco	tʰ ɑ k o ʊ
take	tʰ e ɪ̯ k
talib	tʰ æ l ɪ b
talked	tʰ ɔː k t
tallit	tʰ ä l i t
tallit	tʰ ɑ ɫ ɪ s
tampon	tʰ æ m p ɑ n
tap	tʰ æ p
tape	tʰ e ɪ̯ p
tapestry	t æ p ə s t͡ʃ ɹ i
tar	tʰ ɑ ɹ
tar	tʰ ɑ ɻ
target	tʰ ɑ ɹ ɡ ɪ t̚
taring	t ɛ ə ɹ ɪ ŋ
tarn	t ɝ n
tarter	t ɑ ɹ ɾ ɚ
tarter	t ɑː t ə ɹ
tatsoi	tʰ ɑ ʔ t s ɔ ɪ
tattoo	tʰ æ tʰ u̟ː
tea	tʰ i
teal	t iː ɫ
teared	t i ɚ̯ d
teared	t ɛ ɚ̯ d
teared	t ɛː d
teared	t ɪː d
tearing	t ɛ ə ɹ ɪ ŋ
tearing	t ɪ ə ɹ ɪ ŋ
tech	tʰ ɛ k
teeter	tʰ i ɾ ɚ
tej	t ɛ d͡ʒ
telangana	t̪ ɛ l ə ŋ ɡ ɑː n ə
tellurian	tʰ ə l ɝː iː ɨ̃ n
temp	tʰ ɛ m p
ten	tʰ ɛ n
tenth	tʰ ɛ n̪ θ
teotwawki	t i ɑ t w ɑ k i
tesselate	tʰ ɛ s ɫ l e ɪ tʰ
thagomizer	θ æ ɡ ə m a ɪ z ɚ
thank	θ æ ŋ k
theosophy	θ i ɒ s ə f i
theriac	θ ɛ ɹ i ɑ k
theriac	θ ɛ ɹ i ə k
thickie	θ ɪ k i
thirty	θ ɝ ɾ i
thousand	θ a ʊ̯ z ɪ̈ n d
thread	θ ɾ̪̊ ɛ d
three	θ ɾ̪̊ i
thrice	θ ɾ̪̊ ä ɪ s
thrice	θ ɾ̪̊ ɑ ɪ s
thrill	t̪ ɾ̪̊ ɪ l
thrill	θ ɾ̪̊ ɪ l
thrill	θ ɾ̪̊ ɪ ɫ
throne	θ ɹ o ʊ n
through	θ ɾ̪̊ ʊ u
throughout	θ ɹ uːʷ a ʊ t
throw	θ ɾ̪̊ o ʊ
timber	t ɪˑ m b ɚː
time	tʰ a ɪ m
tin	tʰ ɪ n
tiptoe	tʰ ɪ p tʰ o ʊ̯
tire	tʰ a ɪ̯ ɚ
titty	tʰ ɪ ɾ i
to	tʰ u̟
today	tʰ ə d e ɪ
today	tʰ ʉ ɾ e ɪː
today	tʰ ʊ d e ɪ
tomato	tʰ ə̥ m e ɪ ɾ o ʊ
tomato	tʰ ə̥ m e ɪ ɾ ə
tomato	tʰ ə̥ m ɐː tʰ ɐ ʉ
tomato	tʰ ə̥ m ɑ ɾ o ʊ
tomato	tʰ ə̥ m ɑː tʰ ə ʊ
too	tʰ u̟
toots	tʰ u t s
toots	tʰ ʊ t s
top	tʰ ɑˀ p
toronto	tʰ ə ɹ ɒ n tʰ o ʊ
toronto	tʰ ə ɹ ɒ ɾ̃ o ʊ
