آذى	ʔ aː z a
معجون	m a ʕ d͡ʒ uː n
معصب	m u ʕ a sˤː i b
معليش	m a ʕ l eː ʃ
مغرفة	m i ɣ r a f a
مغناطيس	m i ɣ n aː tˤ iː s
مفتاح	m u f t aː ħ
مفك	m a f a kː
مقابلة	m u ɡ aː b a l a
مقاس	m a ɡ aː s
مقام	m a ɡ aː m
مقدار	m i ɡ d aː r
مقدونيا	m a ɡ d oː n j a
مقرف	m u ɡ r i f
مقص	m a ɡ a sˤː
مقط	m a ɡ a tˤː
مقعد	m a ɡ ʕ a d
مقعد	m u ɡ ʕ a d
مقلب	m a ɡ l a b
مقلمة	m i ɡ l a m a
مقلي	m a ɡ l i
مقهور	m a ɡ h uː r
مكرمش	m u k a r m a ʃ
مكرونة	m a k a r oː n a
مكشطة	m i k ʃ a tˤ a
مكنسة	m u k n a s a
مكوة	m a k w a
مكياج	m i k j aː d͡ʒ
مكيف	m u k a jː i f
ملحق	m u l ħ a ɡ
ملعقة	m i l ʕ a ɡ a
مليون	m i l j oː n
مناظرة	m u n aː zˤ a r a
منتج	m u n t a d͡ʒ
منديل	m a n d iː l
منقا	m a n ɡ a
منقار	m i n ɡ aː r
منقة	m a n ɡ a
منقل	m i n q a l
منقلة	m i n ɡ a l a
منقوش	m a n ɡ uː ʃ
منكوش	m a n k uː ʃ
مهرج	m u h a rː i d͡ʒ
موعد	m a w ʕ i d
موف	m oː f
موفي	m oː f i
موقف	m a w ɡ i f
موكيت	m oː k eː t
مول	m oː l
موية	m oː j a
ميدالية	m iː d aː l i j j a
مين	m eː n
مين	m iː n
ناموسة	n aː m uː s a
نبرة	n a b r a
نجفات	n a d͡ʒ a f aː t
نجفة	n a d͡ʒ a f a
نجمة	n a d͡ʒ m a
نرفز	n a r f a z
نسي	n a sː i
نسي	n i s i
نشابة	n a ʃː aː b a
نشافة	n a ʃː aː f a
نص	n a sˤː
نص	n u sˤː
نط	n a tˤː
نطنيطة	n u tˤ n eː tˤ a
نطيطة	n u tˤː eː tˤ a
نظرة	n a zˤ r a
نقز	n a ɡ ɡ a z
نقطة	n u ɡ tˤ a
نهائي	n i h aː ʔ i
نورس	n a w r a s
نيويورك	n i j uː j oː r k
نيويورك	n j uː j oː r k
هاشتاق	h aː ʃ t aː ɡ
هالوين	h a l u w iː n
هالوين	h aː l oː w iː n
هالوين	h aː l u w iː n
هذا	h aː d a
هذا	h aː ð a
هذولا	h a d oː l a
هذولا	h a ð oː l a
هذولا	h aː d oː l a
هذولا	h aː ð oː l a
هرولة	h a r w a l a
هكر	h a k a r
هكر	h a kː a r
هكر	h a kː i r
هلا	h a l a
هليون	h i l j oː n
هم	h a mː
هم	h u m
هم	h u mː a
هنقاريا	h a n ɡ aː r j a
هو	h u wː a
هي	h i jː a
هيل	h eː l
و	oː
و	u
و	uː
و	w
وجع	w a d͡ʒ a ʕ
وخر	w a x x a r
ورا	w a r a
ورث	w i r s
ورث	w i r θ
ورشة	w a r ʃ a
وزغة	w a z a ɣ a
وسخ	w a s a x
وسخ	w a sː a x
وسخ	w i s i x
وقت	w a ɡ t
ولا	w a l a
ولا	w a l l a
ويكند	w iː k i n d
ياالله	j aː ɫː a h
ياقة	j aː ɡ a
يانسون	j aː n a s uː n
يانسون	j aː n s uː n
يخني	j a x n i
يرقة	j a r a ɡ a
يع	j i ʕː
يعسوب	j a ʕ s uː b
يقطين	j a ɡ tˤ iː n
يمامة	j a m aː m a
يمكن	j i m k i nː
يوم	j oː m
پ	p
پ	p aː ʔ
پروپقاندا	p r oː p a ɡ aː n d a
پلاستيك	p a l a s t iː k
پلاستيك	p l aː s t iː k
پلوڤر	p l oː v a r
پلوڤر	p u l oː v a r
پنسلڤينيا	p i n s i l v eː n j a
پول	p oː l
پيتزا	p iː t s a
پيتزا	p iː t z a
ڤ	v
ڤ	v aː ʔ
ڤانكوڤر	f aː n k uː f a r
ڤانكوڤر	v aː n k uː v a r
ڤايكنق	v aː j k i n ɡ
ڤلة	v i lː a
ڤيتنام	v i j i t n aː m
ڤيروس	v a j r uː s
