ՠ	æ
պետրոս	b ɛ d ɾ o s
պետրոսյան	b ɛ d ɾ ɔ s j ɑ n
պերճանք	b ɛ ɾ d ʒ ɑ n kʰ
պիլզերյան	b i l z ɛ ɾ j ɑ n
պիտանացու	b i d ɑ n ɑ t sʰ u
պիտանի	b i d ɑ n i
պիտի	b i d i
պոլիս	b o l i s
պողոսյան	b ɔ ʁ ɔ s j ɑ n
պսակ	b ə s ɑ ɡ
ջարդ	t ʃʰ ɑ ɾ tʰ
ջրհոր	t ʃʰ ə ɾ h o ɾ
ջրպան	t ʃ ə ɾ b ɑ n
ռ	r
ս	s
սագ	s ɑ kʰ
սակավ	s ɑ ɡ ɑ v
սաղավարտ	s ɑ ʁ ɑ v ɑ ɾ d
սամարիում	s ɑ m ɑ ɾ j u m
սան	s ɑ n
սանատրուկ	s ɑ n ɑ d ɾ u ɡ
սառ	s ɑ r
սառել	s ɑ r ɛ l
սառը	s ɑ r ə
սառնարան	s ɑ r n ɑ ɾ ɑ n
սառչել	s ɑ r t ʃʰ ɛ l
սասան	s ɑ s ɑ n
սեգ	s ɛ kʰ
սելեն	s ɛ l ɛ n
սեւան	s ɛ v ɑ n
սիկղ	s i ɡ ə ʁ
սիմոնական	s i m o n ɑ ɡ ɑ n
սիմոնականություն	s i m o n ɑ ɡ ɑ n u tʰ i̯ u n
սիրում	s i ɾ u m
սլանալ	s ə l ɑ n ɑ l
սկեսար	s ɡ ɛ s ɑ ɾ
սկեսրար	s ɡ ɛ s ɾ ɑ ɾ
սմբատուհի	s ə m pʰ ɑ d u h i
սողուն	s o ʁ u n
սովետական	s o v ɛ d ɑ ɡ ɑ n
սոր	s o ɾ
սորալ	s o ɾ ɑ l
սորել	s o ɾ ɛ l
սույն	s u j n
սուրահ	s u ɾ ɑ h
սուրեն	s u ɾ ɛ n
սպաս	s ə b ɑ s
սպասավոր	s b ɑ s ɑ v o ɾ
ստեղն	s d ɛ ʁ ə n
սրճագույն	s ə ɾ d͡ʒ ɑ kʰ u j n
սրճել	s ə ɾ t ʃ ɛ l
վ	v
վաթսուն	v ɑ t sʰ u n
վահագ	v ɑ h ɑ kʰ
վահագն	v ɑ h ɑ kʰ ə n
վայք	v ɑ ɪ̯ kʰ
վան	v ɑ n
վաչե	v ɑ t ʃʰ ɛ
վարաժնունի	v ɑ ɾ ɑ ʒ n u n i
վարդապետ	v ɑ ɾ tʰ ɑ b ɛ d
վենետիկ	v ɛ n ɛ d i ɡ
վերին	v ɛ ɾ i n
վեց	v ɛ t sʰ
վեցերորդ	v ɛ t sʰ ɛ ɾ o ɾ tʰ
վիշապ	v i ʃ ɑ b
վհուկ	v ə h u ɡ
վուվուզել	v u v u z ɛ l
վուվուզելա	v u v u z ɛ l ɑ
վռամշապուհ	v ɾ ɑ m ʃ ɑ b u h
վրեժ	v ə ɾ ɛ ʒ
տաղլյան	d ɑ ʁ l j ɑ n
տաճատուհի	d ɑ d ʒ ɑ d u h i
տաճկերեն	d ɑ d͡ʒ ɡ ɛ ɾ ɛ n
տայք	d ɑ ɪ̯ kʰ
տասերորդ	d ɑ s ɛ ɾ o ɾ tʰ
տասներորդ	d ɑ s n ɛ ɾ o ɾ tʰ
տարեկան	d ɑ ɾ ɛ ɡ ɑ n
տարոն	d ɑ ɾ ɔ n
տեսիլ	d ɛ s i l
տիգրանուհի	d i kʰ ɾ ɑ n u h i
տիրան	d i ɾ ɑ n
տիրել	t i ɾ ɛ l
տուրմ	d u ɾ m
ր	ɾ
ց	t͡sʰ
ցայսօր	t s ɑ j s o ɾ
ցավոք	t sʰ ɑ v o kʰ
ցել	t sʰ ɛ l
ւ	v
փ	pʰ
փակյալ	pʰ ɑ ɡ j ɑ l
փարպեցի	pʰ ɑ ɾ p ɛ t sʰ i
փողոտել	pʰ o ʁ o t ɛ l
ք	kʰ
քաղաքավար	kʰ ɑ ʁ ɑ kʰ ɑ v ɑ ɾ
քաղաքավարի	kʰ ɑ ʁ ɑ kʰ ɑ v ɑ ɾ i
քամանչա	kʰ ɑ m ɑ n t ʃʰ ɑ
քամի	kʰ ɑ m i
քայլ	kʰ ɑ j l
քայլերգ	kʰ ɑ j l ɛ ɾ kʰ
քայլերթ	kʰ ɑ j l ɛ ɾ tʰ
քանան	kʰ ɑ n ɑ n
քանոն	kʰ ɑ n o n
քանորդ	kʰ ɑ n o ɾ tʰ
քառասուն	kʰ ɑ r ɑ s u n
քարաքոս	kʰ ɑ ɾ ɑ kʰ o s
քարման	kʰ ɑ ɾ m ɑ n
քարոզարշավ	kʰ ɑ ɾ o z ɑ ɾ ʃ ɑ v
քարուկիր	kʰ ɑ ɾ u ɡ i ɾ
քարտաշյան	kʰ ɑ ɾ d ɑ ʃ j ɑ n
քաքել	kʰ ɑ kʰ ɛ l
քեն	kʰ ɛ n
քթնել	kʰ ə tʰ n ɛ l
քլոր	kʰ l o ɾ
քծնանք	kʰ ə d z n ɑ n kʰ
քյամանչա	kʰ j ɑ m ɑ n t ʃʰ ɑ
քո	kʰ o
քուղ	kʰ u ʁ
քուր	kʰ u ɾ
քսաներորդ	kʰ s ɑ n ɛ ɾ o ɾ tʰ
քցել	kʰ ə t sʰ ɛ l
օդային	o tʰ ɑ j i n
օդերեւույթ	o tʰ ɛ ɾ ɛ v u j tʰ
օթո	o tʰ o
օծել	o d z ɛ l
օհան	o h ɑ n
օձ	ɔ t͡sʰ
օմանյան	o m ɑ n j ɑ n
օմսկ	o m s k
օնանիզմ	o n ɑ n i z m
օսեթերեն	o s ɛ tʰ ɛ ɾ ɛ n
օսեթիա	o s ɛ tʰ j ɑ
օսիա	o s j ɑ
օսլո	o s l o
օսմաներեն	o s m ɑ n ɛ ɾ ɛ n
օսմանուհի	o s m ɑ n u h i
ֆ	f
ֆաշիզմ	f ɑ ʃ i z m
ֆարերյան	f ɑ ɾ ɛ ɾ j ɑ n
ֆարերներ	f ɑ ɾ ɛ ɾ n ɛ ɾ
ֆարյորերեն	f ɑ ɾ j o ɾ ɛ ɾ ɛ n
ֆիստան	f i s d ɑ n
ֆլոմ	f ə l o m
ֆշշալ	f ə ʃː ɑ l
ֆոյե	f o j ɛ
ֆոնոն	f o n o n
ֆոնոնային	f o n o n ɑ j i n
ֆոտոնային	f o t o n ɑ j i n
ֆրանսիա	f ə ɾ ɑ n s j ɑ
ֆրանսուհի	f r ɑ n s u h i
ֆրանսուհի	f ɾ ɑ n s u h i
ֆրիզյան	f ɾ i z j ɑ n
ֈ	ɦ
