aach	ɔː x
schneider	ʃ n a ɪ̯ r ɐ
schnell	ʃ n e l
schnips	ʃ n i p s
schnitt	ʃ n i t
schnuer	ʃ n uː ɐ
schnuffle	ʃ n u f l ə
schnuppe	ʃ n u p ə
schnut	ʃ n uː t
schnute	ʃ n uː t ə
schof	ʃ oː f
schone	ʃ oː n ə
schopp	ʃ o p
schoppe	ʃ o p ə
schos	ʃ oː s
schot	ʃ oː t
schote	ʃ oː t ə
schrank	ʃ r a ŋ k
schrappe	ʃ r a p ə
schraub	ʃ r a ʊ̯ p
schreck	ʃ r e k
schrecke	ʃ r e k ə
schrecklich	ʃ r e k l i ç
schrift	ʃ r i f t
schritt	ʃ r i t
schritte	ʃ r i t ə
schuh	ʃ uː
schul	ʃ uː l
schuld	ʃ u l t
schule	ʃ uː l ə
schun	ʃ u n
schuppe	ʃ u p ə
schuss	ʃ u s
schuster	ʃ u ʃ t ɐ
schutz	ʃ u t͡s
schutze	ʃ u t͡s ə
schutzengel	ʃ u t͡s ɛ ŋ l̩
schwaart	ʃ v ɔː t
schwach	ʃ v a x
schwamm	ʃ v a m
schwanger	ʃ v a ŋ ɐ
schwanz	ʃ v a n s
schwanz	ʃ v a n t͡s
schwarz	ʃ v a t͡s
schwarz	ʃ v a͡t s
schwarzbier	ʃ v a t͡s p iː ɐ
schwarzbier	ʃ v a ʁ t͡s b iː ɐ̯
schwefel	ʃ v eː f l̩
schwein	ʃ v a ɪ̯ n
schweinerei	ʃ v a ɪ̯ n ə r a ɪ̯
schweiz	ʃ v a ɪ̯͡t s
schweizer	ʃ v a ɪ̯ t͡s ɐ
schwelle	ʃ v e l ə
schwellung	ʃ v e l u ŋ
schwimme	ʃ v i m ə
schwimmer	ʃ v i m ɐ
schwitz	ʃ v i t͡s
schwitze	ʃ v i t͡s ə
schwäer	ʃ v ɛː ɐ
sechs	s e k s
sechseck	s e k s e k
sechzen	s e ç͡t s n̩
sechzich	s e ç t͡s i ç
seck	s e k
seckel	s e k l̩
see	s eː
seel	s eː l
seele	s eː l ə
seh	s eː
sehe	s eː ə
sehn	s eː n
sei	s a ɪ̯
seid	s a ɪ̯ t
seie	s a ɪ̯ ə
seif	s a ɪ̯ f
seife	s a ɪ̯ f ə
sein	s a ɪ̯ n
seit	s a ɪ̯ t
seite	s a ɪ̯ t ə
sekund	s e k u n t
send	s e n t
senger	s ɛ ŋ ɐ
september	s eː p t ɛ m p ɐ
setz	s e t͡s
setze	s e t͡s ə
sibzen	s i p t͡s n̩
sichel	s i ç l̩
sicher	s i ç ɐ
sicherlich	s i ç ɐ l i ç
sicht	s i ç t
sichte	s i ç t ə
sie	s iː
siegh	s iː ç
sies	s iː s
siete	s iː t ə
sieve	s iː v ə
siffer	s i f ɐ
sihn	s iː n
silver	s i l v ɐ
simbol	s i m p o l
simp	s i m p
sin	s i n
sind	s i n t
sinfonie	s i n f o n iː
sinfonisch	s i n f oː n i ʃ
singe	s i ŋ ə
sinke	s i ŋ k ə
sinne	s i n ə
sinner	s i n ɐ
sinonim	s i n oː n i m
sistem	s i s t eː m
sitze	s i t͡s ə
skelett	ʃ k e l e t
skorpion	ʃ k o r p i oː n
soda	s oː t a
sofa	s o f aː
sofas	s o f aː s
sohl	s oː l
sohle	s oː l ə
sohn	s oː n
soje	s oː ʃ ə
soldaat	s o l t ɔː t
solle	s o l ə
some	s oː m ə
sommer	s ɔ m ɐ
soot	s oː t
sorte	s ɔ t ə
sos	s oː s
sose	s oː s ə
spaad	ʃ p ɔː t
spaan	ʃ p ɔː n
spanje	ʃ p a n j ə
spanne	ʃ p a n ə
sparre	ʃ p a r ə
spass	ʃ p a s
spatze	ʃ p a t͡s ə
speck	ʃ p e k
sped	ʃ p e t
speen	ʃ p eː n
speicher	ʃ p a ɪ̯ ç ɐ
sperre	ʃ p ɛ r ə
spess	ʃ p e s
spiel	ʃ p iː l
spiele	ʃ p iː l ə
spieler	ʃ p iː l ɐ
spinn	ʃ p i n
spinne	ʃ p i n ə
spiss	ʃ p i s
spitz	ʃ p i t͡s
spitze	ʃ p i t͡s ə
spoer	ʃ p oː ɐ
spott	ʃ p o t
spreche	ʃ p r e ç ə
sprecher	ʃ p r e ç ɐ
sprecherei	ʃ p r e ç ə r a ɪ̯
sprich	ʃ p r i x
spring	ʃ p r i ŋ
springe	ʃ p r i ŋ ə
spritz	ʃ p r i t͡s
spritze	ʃ p r i t͡s ə
sproch	ʃ p r o x
spruch	ʃ p r u x
sprung	ʃ p r u ŋ
spuck	ʃ p u k
spucke	ʃ p u k ə
spul	ʃ p uː l
spule	ʃ p uː l ə
staab	ʃ t ɔː p
staal	ʃ t ɔː l
staat	ʃ t ɔː t
staate	ʃ t ɔː t ə
stachel	ʃ t a x l̩
stall	ʃ t a l
stamm	ʃ t a m
stampe	ʃ t a m p ə
stamper	ʃ t a m p ɐ
stang	ʃ t a ŋ
stange	ʃ t a ŋ ə
stanze	ʃ t a n t͡s ə
statt	ʃ t a t
statts	ʃ t a͡t s
steche	ʃ t e ç ə
steck	ʃ t e k
stecke	ʃ t e k ə
steel	ʃ t eː l
steen	ʃ t eː n
steenich	ʃ t eː n i ç
steere	ʃ t eː r ə
stehle	ʃ t eː l ə
stehn	ʃ t eː n
steie	ʃ t a ɪ̯ ə
steier	ʃ t a ɪ̯ ɐ
steif	ʃ t a ɪ̯ f
stell	ʃ t e l
stelle	ʃ t e l ə
stempel	ʃ t ɛ m p l̩
stengel	ʃ t ɛ ŋ l̩
stern	ʃ t ɛ n
sterne	ʃ t ɛ n ə
sterrve	ʃ t ɛ r v ə
sterz	ʃ t ɛ t͡s
sterze	ʃ t ɛ t͡s ə
stett	ʃ t e t
stetter	ʃ t e t ɐ
stich	ʃ t i ç
stick	ʃ t i k
sticke	ʃ t i k ə
sticker	ʃ t i k ɐ
stiefbruder	ʃ t iː f p r uː r ɐ
stiefkind	ʃ t iː f kʰ i n t
stiefmutter	ʃ t iː f m u t ɐ
stiefsohn	ʃ t iː f s oː n
stiel	ʃ t iː l
stier	ʃ t iː ɐ
stift	ʃ t i f t
stihl	ʃ t iː l
still	ʃ t i l
stimme	ʃ t i m ə
stinkdier	ʃ t i ŋ k t iː ɐ
stinke	ʃ t i ŋ k ə
stock	ʃ t o k
stolper	ʃ t o l p ɐ
stolpre	ʃ t o l p r ə
stols	ʃ t o l s
stoppe	ʃ t o p ə
storz	ʃ t ɔ t͡s
strauch	ʃ t r a ʊ̯ ç
straus	ʃ t r a ʊ̯ s
streck	ʃ t r e k
strecke	ʃ t r e k ə
streiche	ʃ t r a ɪ̯ ç ə
streicher	ʃ t r a ɪ̯ ç ɐ
streichle	ʃ t r a ɪ̯ ç l ə
streife	ʃ t r a ɪ̯ f ə
strem	ʃ t r eː m
strich	ʃ t r i ç
strick	ʃ t r i k
stricke	ʃ t r i k ə
strimp	ʃ t r i m p
strof	ʃ t r oː f
strofe	ʃ t r o f ə
stroh	ʃ t r oː
strom	ʃ t r oː m
strome	ʃ t r oː m ə
stros	ʃ t r oː s
stross	ʃ t r o s
strump	ʃ t r u m p
struz	ʃ t r uː t͡s
studente	ʃ t u t ɛ n t ə
stuhl	ʃ t uː l
stumm	ʃ t u m
stump	ʃ t u m p
suche	s u x ə
suckle	s u k l ə
sump	s u m p
supp	s u p
suppe	s u p ə
suttle	s u t l ə
sërviere	s e r v iː r ə
taach	t aː x
talent	tʰ a l ɛ n t
tamburin	tʰ a m p u r iː n
tanke	t a ŋ k ə
tante	tʰ a n t ə
tappes	tʰ a p ə s
tasch	tʰ a ʃ
tasche	tʰ a ʃ ə
tass	tʰ a s
tasse	tʰ a s ə
tausend	tʰ a ʊ̯ s n̩ t
taxi	tʰ a k s i
taxis	tʰ a k s i s
tee	tʰ eː
teekann	tʰ eː kʰ a n
teekanne	tʰ eː kʰ a n ə
tema	tʰ eː m a
teme	tʰ eː m ə
tempel	tʰ ɛ m p l̩
terrenos	tʰ e r eː n o s
text	tʰ e k s t
texte	tʰ e k s t ə
tint	tʰ i n t
tinte	tʰ i n t ə
tirolisch	tʰ i r oː l i ʃ
tomatt	tʰ o m a t
torte	tʰ ɔ t ə
toych	t ɔ j x
traire	t r a iː r ə
trample	t r a m p l ə
traub	t r a ʊ̯ p
traue	t r a ʊ̯ ə
trede	t r eː r ə
treffe	t r e f ə
trenne	t r ɛ n ə
treppe	t r e p ə
trieb	t r iː p
trieve	t r iː v ə
tritt	t r i t
troost	t r oː ʃ t
trupp	t r u p
truppe	t r u p ə
tumor	tʰ u m oː r
tunke	tʰ u ŋ k ə
tunkelheet	t u ŋ k ə l h eː t
tëlevisong	t h e l ə v i s ɔ ŋ
uersach	uː ɐ s a x
uerwald	uː ɐ v a l t
uff	u f
uffem	u f m̩
uffs	u f s
uher	uː ɐ
uherzeid	uː ɐ t͡s a ɪ̯ t
um	u m
umsonst	u m s ɔ n ʃ t
un	u n
unbekannt	u n p ə kʰ a n t
unfall	u n f a l
ungesund	u n k ə s u n t
unglick	u n k l i c k
uns	u n s
unschuld	u n ʃ u l t
unsicher	u n s i ç ɐ
unzufried	u n t͡s u f r iː t
urin	u r iː n
vaas	v ɔː s
vasos	v aː s o s
violin	v i o l iː n
violine	v i o l iː n ə
waal	v ɔː l
waan	v ɔː n
waar	v ɔː
wach	v a x
wache	v a x ə
wachs	v a k s
wachse	v a k s ə
wackle	v a k l ə
waff	v a f
waffe	v a f ə
waffle	v a f l ə
walse	v a l s ə
wand	v a n t
was	v a s
waser	v a s ə ɾ
wasser	v a s ɐ
watt	v a t
watte	v a t ə
wech	v e ç
weche	v e ç ə
wechsle	v e k s l ə
weck	v e k
wecker	v e k ɐ
weele	v eː l ə
ween	v eː n
weert	v eː ɐ t
weh	v eː
weib	v a ɪ̯ p
weiblich	v a ɪ̯ p l i ç
weid	v a ɪ̯ t
weider	v a ɪ̯ r ɐ
weie	v a ɪ̯ ə
wein	v a ɪ̯ n
weine	v a ɪ̯ n ə
weinflasche	v a ɪ̯ n f l a ʃ ə
weis	v a ɪ̯ s
weisbrod	v a ɪ̯ s p r oː t
weise	v a ɪ̯ s ə
weize	v a ɪ̯ t͡s ə
well	v e l
welle	v e l ə
wellef	v e l ə f
welt	v e l t
welte	v e l t ə
wend	v e n t
wer	v ɛ ɐ̯
werklich	v ɛ r k l i ç
werklichkeet	v e r k l i ç kʰ eː t
werre	v ɛ r ə
werst	v ɛ ʃ t
werter	v ɛ t ɐ
wesch	v e ʃ
wesche	v e ʃ ə
wespe	v e ʃ p ə
weste	v e ʃ t ə
wette	v e t ə
wetter	v e t ɐ
weve	v eː v ə
wever	v eː v ɐ
wichs	v i k s
wichse	v i k s ə
wichtich	v i ç t i ç
wicke	v i k ə
wickle	v i k l ə
wiest	v iː ʃ t
wild	v i l t
wille	v i l ə
wimper	v i m p ɐ
wind	v i n t
windmihl	v i n t m iː l
winsche	v i n ʃ ə
winter	v i n t ɐ
wische	v i ʃ ə
wisse	v i s ə
witz	v i t͡s
wo	v oː
woche	v o x ə
wochenn	v o x ɛ n
woher	v oː ɐ
woherheet	v oː ɐ h eː t
woherheit	v oː ɐ h a ɪ̯ t
wohne	v oː n ə
woll	v o l
wolle	v o l ə
wollef	v o l ə f
wollek	v o l k
worst	v ɔ ʃ t
wort	v ɔ t
worte	v ɔ t ə
wortschatz	v ɔ t ʃ a t͡s
wuchs	v u k s
wund	v u n t
wunner	v u n ɐ
wunsch	v u n ʃ
wut	v uː t
wutz	v u t͡s
wutze	v u t͡s ə
xloych	ʃ l ɔ j x
xtayn	ʃ t a j n
zaal	t͡s ɔː l
zaam	t͡s ɔː m
zaan	͡t s ɔː n
zaart	t͡s ɔː t
zang	t͡s a ŋ
zange	t͡s a ŋ ə
zanke	t͡s a ŋ k ə
zaum	t͡s a ʊ̯ m
zaun	t͡s a ʊ̯ n
zebra	t͡s eː p r a
zebras	t͡s eː p r a s
zeche	t͡s e ç ə
zecke	t͡s e k ə
zeen	t͡s eː n
zeh	t͡s eː
zehe	t͡s eː ə
zehn	t͡s eː n
zeich	t͡s a ɪ̯ ç
zeichne	t͡s a ɪ̯ ç n ə
zeichnung	t͡s a ɪ̯ ç n u ŋ
zeid	t͡s a ɪ̯ t
zeidich	͡t s a ɪ̯ r i ç
zein	t͡s a ɪ̯ n
zentraal	t͡s n̩ t r ɔː l
zentrum	t͡s ɛ n t r u m
zepp	t͡s e p
zettel	t͡s e t l̩
ziehe	t͡s iː ə
ziel	t͡s iː l
zimmer	t͡s i m ɐ
zimmermann	t͡s i m ɐ m a n
zimmet	t͡s i m ə t
zink	t͡s i ŋ k
zinn	t͡s i n
zins	t͡s i n s
zinse	t͡s i n s ə
zipp	t͡s i p
zippe	t͡s i p ə
zitron	t͡s i t r oː n
zitrone	t͡s i t r oː n ə
zittre	t͡s i t r ə
zopp	t͡s o p
zucker	t͡s u k ɐ
zuckre	t͡s u k r ɐ
zufried	t͡s u f r iː t
zumache	t͡s uː m a x ə
zung	t͡s u ŋ
zunge	t͡s u ŋ ə
zwanzich	͡t s v a n͡t s i ç
zweck	t͡s v e k
zweifel	t͡s v a ɪ̯ f l̩
zweifle	t͡s v a ɪ̯ f l ə
zwellef	t͡s v e l ə f
zwern	t͡s v ɛ n
zwett	t͡s v e t
zweu	t͡s v ɔ ɪ̯
zwieback	t͡s v iː p a k
zwilling	t͡s v i l i ŋ
zwinge	t͡s v i ŋ ə
zwiwel	t͡s v i v l̩
äerd	ɛː ɐ t
äerdbeer	ɛː ɐ t p eː ɐ
äärem	ɛː r m̩
äärsch	ɛː ʃ
