'tain	t ɛ̃
anglophonie	ɑ̃ ɡ l ɔ f ɔ n i
angoissa	ɑ̃ ɡ w a s a
angoissai	ɑ̃ ɡ w a s e
angoissaient	ɑ̃ ɡ w a s ɛ
angoissais	ɑ̃ ɡ w a s ɛ
angoissait	ɑ̃ ɡ w a s ɛ
angoissant	ɑ̃ ɡ w a s ɑ̃
angoissas	ɑ̃ ɡ w a s ɑ
angoissasse	ɑ̃ ɡ w a s a s
angoissassent	ɑ̃ ɡ w a s a s
angoissasses	ɑ̃ ɡ w a s a s
angoissassiez	ɑ̃ ɡ w a s a s j e
angoissassions	ɑ̃ ɡ w a s a s j ɔ̃
angoisse	ɑ̃ ɡ w a s
angoissent	ɑ̃ ɡ w a s
angoisser	ɑ̃ ɡ w a s e
angoissera	ɑ̃ ɡ w a s ʁ a
angoisserai	ɑ̃ ɡ w a s ʁ e
angoisseraient	ɑ̃ ɡ w a s ʁ ɛ
angoisserais	ɑ̃ ɡ w a s ʁ ɛ
angoisserait	ɑ̃ ɡ w a s ʁ ɛ
angoisseras	ɑ̃ ɡ w a s ʁ ɑ
angoisserez	ɑ̃ ɡ w a s ʁ e
angoisseriez	ɑ̃ ɡ w a s ə ʁ j e
angoisserions	ɑ̃ ɡ w a s ə ʁ j ɔ̃
angoisserons	ɑ̃ ɡ w a s ʁ ɔ̃
angoisseront	ɑ̃ ɡ w a s ʁ ɔ̃
angoissez	ɑ̃ ɡ w a s e
angoissiez	ɑ̃ ɡ w a s j e
angoissions	ɑ̃ ɡ w a s j ɔ̃
angoissons	ɑ̃ ɡ w a s ɔ̃
angoissâmes	ɑ̃ ɡ w a s ɑ m
angoissât	ɑ̃ ɡ w a s ɑ
angoissâtes	ɑ̃ ɡ w a s ɑ t
angoissèrent	ɑ̃ ɡ w a s ɛ ʁ
angoissé	ɑ̃ ɡ w a s e
angon	ɑ̃ ɡ ɔ̃
angoulême	ɑ̃ ɡ u l ɛ m
anguille	ɑ̃ ɡ i j
anguillule	ɑ̃ ɡ i j y l
anguinée	ɑ̃ ɡ i n e
angulaire	ɑ̃ ɡ y l ɛ ʁ
anguleux	ɑ̃ ɡ y l ø
angulée	ɑ̃ ɡ y l e
angustifoliée	ɑ̃ ɡ y s t i f ɔ l j e
angèle	ɑ̃ ʒ ɛ l
angéite	ɑ̃ ʒ e i t
angélina	ɑ̃ ʒ e l i n a
angélique	ɑ̃ ʒ e l i k
angélus	ɑ̃ ʒ e l y s
anharmonique	a n a ʁ m ɔ n i k
anhydre	a n i d ʁ
anhédonie	a n e d ɔ n i
anhélation	a n e l a s j ɔ̃
anhéler	a n e l e
anhéleuse	a n e l ø z
anille	a n i j
animai	a n i m ɛ
animal	a n i m a l
animale	a n i m a l
animalerie	a n i m a l ʁ i
animales	a n i m a l
animaliser	a n i m a l i z e
animaliste	a n i m a l i s t
animasse	a n i m a s
animasses	a n i m a s
animateur	a n i m a t œ ʁ
animation	a n i m a s j ɔ̃
animatrice	a n i m a t ʁ i s
animaux	a n i m o
anime	a n i m
animer	a n i m e
animé	a n i m e
anis	a n i
anis	a n i s
anisette	a n i z ɛ t
anisotrope	a n i z ɔ t ʁ ɔ p
anisotropie	a n i z o t ʁ ɔ p i
anisotropique	a n i z ɔ t ʁ ɔ p i k
anita	a n i t a
ankara	ɑ̃ k a ʁ a
ankyloser	ɑ̃ k i l o z e
anna	a n a
annabelle	a n a b ɛ l
annal	a n a l
annale	a n a l
annales	a n a l
annaliste	a n a l i s t
annalistes	a n a l i s t
annam	a n a m
annaux	a n o
anne	a n
anneau	a n o
anneaux	a n o
annecy	a n s i
annelet	a n l ɛ
annette	a n ɛ t
annexe	a n ɛ k s
annick	a n i k
annie	a n i
annihilation	a n i i l a s j ɔ̃
annihilatrice	a n i i l a t ʁ i s
annihiler	a n i i l e
anniv	a n i v
anniversaire	a n i v ɛ ʁ s ɛ ʁ
anniversaires	a n i v ɛ ʁ s ɛ ʁ
annonce	a n ɔ̃ s
annoncer	a n ɔ̃ s e
annonceur	a n ɔ̃ s œ ʁ
annotation	a n ɔ t a s j ɔ̃
annotative	a n ɔ t a t i v
annuaire	a n ɥ ɛ ʁ
annuel	a n ɥ ɛ l
annuellement	a n ɥ ɛ l m ɑ̃
annuité	a n ɥ i t e
annula	a n y l a
annulai	a n y l e
annulaient	a n y l ɛ
annulais	a n y l ɛ
annulait	a n y l ɛ
annulant	a n y l ɑ̃
annulas	a n y l ɑ
annulasse	a n y l a s
annulassent	a n y l a s
annulasses	a n y l a s
annulassiez	a n y l a s j e
annulassions	a n y l a s j ɔ̃
annulation	a n y l a s j ɔ̃
annulative	a n y l a t i v
annule	a n y l
annulent	a n y l
annuler	a n y l e
annulera	a n y l ʁ a
annulerai	a n y l ʁ e
annuleraient	a n y l ʁ ɛ
annulerais	a n y l ʁ ɛ
annulerait	a n y l ʁ ɛ
annuleras	a n y l ʁ ɑ
annulerez	a n y l ʁ e
annuleriez	a n y l ə ʁ j e
annulerions	a n y l ə ʁ j ɔ̃
annulerons	a n y l ʁ ɔ̃
annuleront	a n y l ʁ ɔ̃
annules	a n y l
annulez	a n y l e
annuliez	a n y l j e
annulions	a n y l j ɔ̃
annulons	a n y l ɔ̃
annulâmes	a n y l ɑ m
annulât	a n y l ɑ
annulâtes	a n y l ɑ t
annulèrent	a n y l ɛ ʁ
année	a n e
années	a n e
annélidé	a n e l i d e
annélidés	a n e l i d e
anobli	a n ɔ b l i
anoblir	a n ɔ b l i ʁ
anoblira	a n ɔ b l i ʁ a
anoblirai	a n ɔ b l i ʁ e
anobliraient	a n ɔ b l i ʁ ɛ
anoblirais	a n ɔ b l i ʁ ɛ
anoblirait	a n ɔ b l i ʁ ɛ
anobliras	a n ɔ b l i ʁ ɑ
anoblirent	a n ɔ b l i ʁ
anoblirez	a n ɔ b l i ʁ e
anobliriez	a n ɔ b l i ʁ j e
anoblirions	a n ɔ b l i ʁ j ɔ̃
anoblirons	a n ɔ b l i ʁ ɔ̃
anobliront	a n ɔ b l i ʁ ɔ̃
anoblis	a n ɔ b l i
anoblissaient	a n ɔ b l i s ɛ
anoblissais	a n ɔ b l i s ɛ
anoblissait	a n ɔ b l i s ɛ
anoblissant	a n ɔ b l i s ɑ̃
anoblisse	a n ɔ b l i s
anoblissent	a n ɔ b l i s
anoblisses	a n ɔ b l i s
anoblissez	a n ɔ b l i s e
anoblissiez	a n ɔ b l i s j e
anoblissions	a n ɔ b l i s j ɔ̃
anoblissons	a n ɔ b l i s ɔ̃
anoblit	a n ɔ b l i
anoblîmes	a n ɔ b l i m
anoblît	a n ɔ b l i
anoblîtes	a n ɔ b l i t
anodin	a n ɔ d ɛ̃
anodine	a n ɔ d i n
anodins	a n ɔ d ɛ̃
anodyn	a n ɔ d ɛ̃
anodyne	a n ɔ d i n
anodynes	a n ɔ d i n
anodyns	a n ɔ d ɛ̃
anogénitale	a n ɔ ʒ e n i t a l
anomal	a n ɔ m a l
anomale	a n ɔ m a l
anomales	a n ɔ m a l
anomaux	a n ɔ m o
anomie	a n ɔ m i
anonymat	a n ɔ n i m a
anonyme	a n ɔ n i m
anonymie	a n ɔ n i m i
anonymiser	a n ɔ n i m i z e
anonymité	a n ɔ n i m i t e
anorak	a n ɔ ʁ a k
anordir	a n ɔ ʁ d i ʁ
anormal	a n ɔ ʁ m a l
anoxie	a n ɔ k s i
anoxémie	a n ɔ k s e m i
ans	ɑ̃
ansa	ɑ̃ s a
ansai	ɑ̃ s e
ansaient	ɑ̃ s ɛ
ansais	ɑ̃ s ɛ
ansait	ɑ̃ s ɛ
ansant	ɑ̃ s ɑ̃
ansas	ɑ̃ s ɑ
ansasse	ɑ̃ s a s
ansassent	ɑ̃ s a s
ansasses	ɑ̃ s a s
ansassiez	ɑ̃ s a s j e
ansassions	ɑ̃ s a s j ɔ̃
anse	ɑ̃ s
ansent	ɑ̃ s
anser	ɑ̃ s e
ansera	ɑ̃ s ʁ a
anserai	ɑ̃ s ʁ e
anseraient	ɑ̃ s ʁ ɛ
anserais	ɑ̃ s ʁ ɛ
anserait	ɑ̃ s ʁ ɛ
anseras	ɑ̃ s ʁ ɑ
anserez	ɑ̃ s ʁ e
anseriez	ɑ̃ s ə ʁ j e
anserions	ɑ̃ s ə ʁ j ɔ̃
anserons	ɑ̃ s ʁ ɔ̃
anseront	ɑ̃ s ʁ ɔ̃
anses	ɑ̃ s
ansez	ɑ̃ s e
ansiez	ɑ̃ s j e
ansions	ɑ̃ s j ɔ̃
ansons	ɑ̃ s ɔ̃
ansâmes	ɑ̃ s ɑ m
ansât	ɑ̃ s ɑ
ansâtes	ɑ̃ s ɑ t
ansèrent	ɑ̃ s ɛ ʁ
ansé	ɑ̃ s e
antagonique	ɑ̃ t a ɡ ɔ n i k
antagoniste	ɑ̃ t a ɡ ɔ n i s t
antagonistes	ɑ̃ t a ɡ ɔ n i s t
antan	ɑ̃ t ɑ̃
antarctique	ɑ̃ t a ʁ k t i k
antarctique	ɑ̃ t a ʁ t i k
ante	ɑ̃ t
antenne	ɑ̃ t ɛ n
anthologie	ɑ̃ t ɔ l ɔ ʒ i
anthraciteuse	ɑ̃ t ʁ a s i t ø z
anthracnosée	ɑ̃ t ʁ a k n o z e
anthropise	ɑ̃ t ʁ ɔ p i z
anthropocentrée	ɑ̃ t ʁ ɔ p ɔ s ɑ̃ t ʁ e
anthropologie	ɑ̃ t ʁ ɔ p ɔ l ɔ ʒ i
anthropologiste	ɑ̃ t ʁ ɔ p ɔ l ɔ ʒ i s t
anthropologue	ɑ̃ t ʁ ɔ p ɔ l ɔ ɡ
anthropomorphe	ɑ̃ t ʁ ɔ p ɔ m ɔ ʁ f
anthropomorphes	ɑ̃ t ʁ ɔ p ɔ m ɔ ʁ f
anthropomorphique	ɑ̃ t ʁ ɔ p ɔ m ɔ ʁ f i k
anthropomorphiques	ɑ̃ t ʁ ɔ p ɔ m ɔ ʁ f i k
anthropomorphiser	ɑ̃ t ʁ ɔ p ɔ m ɔ ʁ f i z e
anthropomorphisme	ɑ̃ t ʁ ɔ p ɔ m ɔ ʁ f i s m
anthropomorphismes	ɑ̃ t ʁ ɔ p ɔ m ɔ ʁ f i s m
anthropophage	ɑ̃ t ʁ ɔ p ɔ f a ʒ
anthropophages	ɑ̃ t ʁ ɔ p ɔ f a ʒ
anthropéienne	ɑ̃ t ʁ ɔ p e j j ɛ n
antiacridienne	ɑ̃ t j a k ʁ i d j ɛ n
antiadhérente	ɑ̃ t j a d e ʁ ɑ̃ t
antiamarile	ɑ̃ t i a m a ʁ i l
antiamibienne	ɑ̃ t i a m i b j ɛ n
antiarythmisante	ɑ̃ t i a ʁ i t m i z ɑ̃ t
antiaérienne	ɑ̃ t i a e ʁ j ɛ n
antibactérien	ɑ̃ t i b a k t e ʁ j ɛ̃
antibactérienne	ɑ̃ t i b a k t e ʁ j ɛ n
antibilharzienne	ɑ̃ t i b i l a ʁ z j ɛ n
antibiotique	ɑ̃ t i b j ɔ t i k
antiblanche	ɑ̃ t i b l ɑ̃ ʃ
antibrouillée	ɑ̃ t i b ʁ u j e
anticarcérale	ɑ̃ t i k a ʁ s e ʁ a l
anticatalyseuse	ɑ̃ t i k a t a l i z ø z
antichambre	ɑ̃ t i ʃ ɑ̃ b ʁ
antichinoise	ɑ̃ t i ʃ i n w a z
antichoc	ɑ̃ t i ʃ ɔ k
antichrétienne	ɑ̃ t i k ʁ e t j ɛ n
anticipas	ɑ̃ t i s i p a
anticipation	ɑ̃ t i s i p a s j ɔ̃
anticipativement	ɑ̃ t i s i p a t i v m ɑ̃
anticipatrice	ɑ̃ t i s i p a t ʁ i s
anticiper	ɑ̃ t i s i p e
anticipez	ɑ̃ t i s i p e
anticlinale	ɑ̃ t i k l i n a l
anticoercitive	ɑ̃ t i k ɔ ɛ ʁ s i t i v
anticoloniale	ɑ̃ t i k ɔ l ɔ n j a l
anticonceptionnelle	ɑ̃ t i k ɔ̃ s ɛ p s j ɔ n ɛ l
anticoncurrentielle	ɑ̃ t i k ɔ̃ k y ʁ ɑ̃ s j ɛ l
anticonjoncturelle	ɑ̃ t i k ɔ̃ ʒ ɔ̃ k t y ʁ ɛ l
anticonservatrice	ɑ̃ t i k ɔ̃ s ɛ ʁ v a t ʁ i s
anticonsommatrice	ɑ̃ t i k ɔ̃ s ɔ m a t ʁ i s
anticonstitutionnel	ɑ̃ t i k ɔ̃ s t i t y s j ɔ n ɛ l
anticonstitutionnellement	ɑ̃ t i k ɔ̃ s t i t y s j ɔ n ɛ l m ɑ̃
anticonvulsive	ɑ̃ t i k ɔ̃ v y l s i v
anticoquelucheuse	ɑ̃ t i k ɔ k l y ʃ ø z
anticorps	ɑ̃ t i k ɔ ʁ
anticryptogamique	ɑ̃ t i k ʁ i p t ɔ ɡ a m i k
anticyclonale	ɑ̃ t i s i k l ɔ n a l
antidartreuse	ɑ̃ t i d a ʁ t ʁ ø z
antidater	ɑ̃ t i d a t e
antidote	ɑ̃ t i d ɔ t
antidreyfusarde	ɑ̃ t i d ʁ ɛ f y z a ʁ d
antidreyfusardes	ɑ̃ t i d ʁ ɛ f y z a ʁ d
antidéflagrante	ɑ̃ t i d e f l a ɡ ʁ ɑ̃ t
antidémocratique	ɑ̃ t i d e m ɔ k ʁ a t i k
antidéperditrice	ɑ̃ t i d e p ɛ ʁ d i t ʁ i s
antidépresseur	ɑ̃ t i d e p ʁ ɛ s œ ʁ
antienne	ɑ̃ t j ɛ n
antieuropéen	ɑ̃ t i ø ʁ ɔ p e ɛ̃
antieuropéenne	ɑ̃ t i ø ʁ ɔ p e ɛ n
antifa	ɑ̃ t i f a
antifarcineuse	ɑ̃ t i f a ʁ s i n ø z
antifeutrante	ɑ̃ t i f ø t ʁ ɑ̃ t
antifiscale	ɑ̃ t i f i s k a l
antifongique	ɑ̃ t i f ɔ̃ ʒ i k
antifongiques	ɑ̃ t i f ɔ̃ ʒ i k
antifrançaise	ɑ̃ t i f ʁ ɑ̃ s ɛ z
antifécondante	ɑ̃ t i f e k ɔ̃ d ɑ̃ t
antifédérale	ɑ̃ t i f e d e ʁ a l
antiféminine	ɑ̃ t i f e m i n i n
antigaleuse	ɑ̃ t i ɡ a l ø z
antigel	ɑ̃ t i ʒ ɛ l
antigerminative	ɑ̃ t i ʒ ɛ ʁ m i n a t i v
antigoutteuse	ɑ̃ t i ɡ u t ø z
antigravitationnelle	ɑ̃ t i ɡ ʁ a v i t a s j ɔ n ɛ l
antigrippale	ɑ̃ t i ɡ ʁ i p a l
antigrippales	ɑ̃ t i ɡ ʁ i p a l
antigrippaux	ɑ̃ t i ɡ ʁ i p o
antiguayenne	ɑ̃ t i ɡ w a j ɛ n
antigénéreuse	ɑ̃ t i ʒ e n e ʁ ø z
antihitlérienne	ɑ̃ t i i t l e ʁ j ɛ n
antihoraire	ɑ̃ t i ɔ ʁ ɛ ʁ
antihumaine	ɑ̃ t i y m ɛ n
antihémorroïdale	ɑ̃ t i e m ɔ ʁ ɔ i d a l
antiinflammatoire	ɑ̃ t j ɛ̃ f l a m a t w a ʁ
antijaponaise	ɑ̃ t i ʒ a p ɔ n ɛ z
antijeu	ɑ̃ t i ʒ ø
antiliante	ɑ̃ t i l j ɑ̃ t
antilibérale	ɑ̃ t i l i b e ʁ a l
antillais	ɑ̃ t i j ɛ
antillaise	ɑ̃ t i j ɛ z
antillaises	ɑ̃ t i j ɛ z
antilles	ɑ̃ t i j
antilogue	ɑ̃ t i l ɔ ɡ
antilope	ɑ̃ t i l ɔ p
antilégale	ɑ̃ t i l e ɡ a l
antilépreuse	ɑ̃ t i l e p ʁ ø z
antimicrobien	ɑ̃ t i m i k ʁ ɔ b j ɛ̃
antimicrobienne	ɑ̃ t i m i k ʁ ɔ b j ɛ n
antimigraineuse	ɑ̃ t i m i ɡ ʁ ɛ n ø z
antiministérielle	ɑ̃ t i m i n i s t e ʁ j ɛ l
antimoine	ɑ̃ t i m w a n
antimoniale	ɑ̃ t i m ɔ n j a l
antimoniure	ɑ̃ t i m ɔ n j y ʁ
antimoral	ɑ̃ t i m ɔ ʁ a l
antimorale	ɑ̃ t i m ɔ ʁ a l
antimorveuse	ɑ̃ t i m ɔ ʁ v ø z
antimoussante	ɑ̃ t i m u s ɑ̃ t
antimusulmane	ɑ̃ t i m y z y l m a n
antinationale	ɑ̃ t i n a s j ɔ n a l
antinaturelle	ɑ̃ t i n a t y ʁ ɛ l
antinazie	ɑ̃ t i n a z i
antinoire	ɑ̃ t i n w a ʁ
antinoyau	ɑ̃ t i n w a j o
antioccidentale	ɑ̃ t i ɔ k s i d ɑ̃ t a l
antioche	ɑ̃ t j ɔ ʃ
antiochien	ɑ̃ t j ɔ ʃ j ɛ̃
antiochienne	ɑ̃ t j ɔ ʃ j ɛ n
antioxydant	ɑ̃ t j ɔ k s i d ɑ̃
antioxydante	ɑ̃ t j ɔ k s i d ɑ̃ t
antipalestinienne	ɑ̃ t i p a l ɛ s t i n j ɛ n
antipaludéen	ɑ̃ t i p a l y d e ɛ̃
antiparkinsonienne	ɑ̃ t i p a ʁ k i n s ɔ n j ɛ n
antiparticule	ɑ̃ t i p a ʁ t i k y l
antipassive	ɑ̃ t i p a s i v
antipathie	ɑ̃ t i p a t i
antipathique	ɑ̃ t i p a t i k
antipesteuse	ɑ̃ t i p ɛ s t ø z
antipestilentielle	ɑ̃ t i p ɛ s t i l ɑ̃ s j ɛ l
antiphon	ɑ̃ t i f ɔ̃
antipodiste	ɑ̃ t i p o d i s t
antipodistes	ɑ̃ t i p o d i s t
antipoux	ɑ̃ t i p u
antiproton	ɑ̃ t i p ʁ ɔ t ɔ̃
antiprurigineuse	ɑ̃ t i p ʁ y ʁ i ʒ i n ø z
antipyrétique	ɑ̃ t i p i ʁ e t i k
antiquark	ɑ̃ t i k w a ʁ k
antique	ɑ̃ t i k
antiquisante	ɑ̃ t i k i z ɑ̃ t
antirationnelle	ɑ̃ t i ʁ a s j ɔ n ɛ l
antirhumatismale	ɑ̃ t i ʁ y m a t i s m a l
antirougeoleuse	ɑ̃ t i ʁ u ʒ ɔ l ø z
antirubéoleuse	ɑ̃ t i ʁ y b e ɔ l ø z
antiréglementaire	ɑ̃ t i ʁ ɛ ɡ l ə m ɑ̃ t ɛ ʁ
antirétrovirale	ɑ̃ t i ʁ e t ʁ ɔ v i ʁ a l
antirévolutionnaire	ɑ̃ t i ʁ e v ɔ l y s j ɔ n ɛ ʁ
antiscrofuleuse	ɑ̃ t i s k ʁ ɔ f y l ø z
antiscrophuleuse	ɑ̃ t i s k ʁ ɔ f y l ø z
antisens	ɑ̃ t i s ɑ̃ s
antiseptique	ɑ̃ t i s ɛ p t i k
antisocial	ɑ̃ t i s ɔ s j a l
antisociale	ɑ̃ t i s ɔ s j a l
antisociales	ɑ̃ t i s ɔ s j a l
antisociaux	ɑ̃ t i s ɔ s j o
antisthène	ɑ̃ t i s t ɛ n
antistrophe	ɑ̃ t i s t ʁ ɔ f
antisudorale	ɑ̃ t i s y d ɔ ʁ a l
antisudorifique	ɑ̃ t i s y d ɔ ʁ i f i k
antisyndicale	ɑ̃ t i s ɛ̃ d i k a l
antisyrienne	ɑ̃ t i s i ʁ j ɛ n
antisèche	ɑ̃ t i s ɛ ʃ
antisémite	ɑ̃ t i s e m i t
antisémitisme	ɑ̃ t i s e m i t i z m
antitalibane	ɑ̃ t i t a l i b a n
antitau	ɑ̃ t i t o
antitauon	ɑ̃ t i t o ɔ̃
antitaurine	ɑ̃ t i t o ʁ i n
antithyroïdienne	ɑ̃ t i t i ʁ ɔ i d j ɛ n
antithèse	ɑ̃ t i t ɛ z
antithétique	ɑ̃ t i t e t i k
antiturque	ɑ̃ t i t y ʁ k
antiulcéreuse	ɑ̃ t i y l s e ʁ ø z
antivectorielle	ɑ̃ t i v ɛ k t ɔ ʁ j ɛ l
antiverte	ɑ̃ t i v ɛ ʁ t
antivietnamienne	ɑ̃ t i v j ɛ t n a m j ɛ n
antiviral	ɑ̃ t i v i ʁ a l
antiviraux	ɑ̃ t i v i ʁ o
antivol	ɑ̃ t i v ɔ l
antivols	ɑ̃ t i v ɔ l
antivénéneuse	ɑ̃ t i v e n e n ø z
antivénérienne	ɑ̃ t i v e n e ʁ j ɛ n
antoine	ɑ̃ t w a n
antoinette	ɑ̃ t w a n ɛ t
antonyme	ɑ̃ t ɔ n i m
antonymie	ɑ̃ t ɔ n i m i
antoécienne	ɑ̃ t e s j ɛ n
antre	ɑ̃ t ʁ
antécesseur	ɑ̃ t e s ɛ s œ ʁ
antéchrist	ɑ̃ t e k ʁ i
antéchrist	ɑ̃ t e k ʁ i s t
antécienne	ɑ̃ t e s j ɛ n
antécédemment	ɑ̃ t e s e d a m ɑ̃
antécédent	ɑ̃ t e s e d ɑ̃
antécédents	ɑ̃ t e s e d ɑ̃
antédiluvien	ɑ̃ t e d i l y v j ɛ̃
antégrammaticale	ɑ̃ t e ɡ ʁ a m a t i k a l
anténuptiale	ɑ̃ t e n y p s j a l
antéposer	ɑ̃ t e p o z e
antéprédicative	ɑ̃ t e p ʁ e d i k a t i v
antépénultième	ɑ̃ t e p e n y l t j ɛ m
antérieur	ɑ̃ t e ʁ j œ ʁ
antéromaine	ɑ̃ t e ʁ ɔ m ɛ n
anucléée	a n y k l e e
anulingus	a n y l ɛ̃ ɡ y s
anus	a n y s
anusvara	a n y s v a ʁ a
anvers	ɑ̃ v ɛ ʁ
anvers	ɑ̃ v ɛ ʁ s
anversoise	ɑ̃ v ɛ ʁ s w a z
anxienne	ɑ̃ k s j ɛ n
anxieusement	ɑ̃ k s j ø z m ɑ̃
anxieux	ɑ̃ k s j ø
anxiodépressive	ɑ̃ k s j ɔ d e p ʁ ɛ s i v
anxiolytique	ɑ̃ k s j ɔ l i t i k
anxiété	ɑ̃ k s j e t e
anxiétés	ɑ̃ k s j e t e
anéanti	a n e ɑ̃ t i
anéantir	a n e ɑ̃ t i ʁ
anéantira	a n e ɑ̃ t i ʁ a
anéantirai	a n e ɑ̃ t i ʁ e
anéantiraient	a n e ɑ̃ t i ʁ ɛ
anéantirais	a n e ɑ̃ t i ʁ ɛ
anéantirait	a n e ɑ̃ t i ʁ ɛ
anéantiras	a n e ɑ̃ t i ʁ ɑ
anéantirent	a n e ɑ̃ t i ʁ
anéantirez	a n e ɑ̃ t i ʁ e
anéantiriez	a n e ɑ̃ t i ʁ j e
anéantirions	a n e ɑ̃ t i ʁ j ɔ̃
anéantirons	a n e ɑ̃ t i ʁ ɔ̃
anéantiront	a n e ɑ̃ t i ʁ ɔ̃
anéantis	a n e ɑ̃ t i
anéantissaient	a n e ɑ̃ t i s ɛ
anéantissais	a n e ɑ̃ t i s ɛ
anéantissait	a n e ɑ̃ t i s ɛ
anéantissant	a n e ɑ̃ t i s ɑ̃
anéantisse	a n e ɑ̃ t i s
anéantissement	a n e ɑ̃ t i s m ɑ̃
anéantissent	a n e ɑ̃ t i s
anéantisses	a n e ɑ̃ t i s
anéantissez	a n e ɑ̃ t i s e
anéantissiez	a n e ɑ̃ t i s j e
anéantissions	a n e ɑ̃ t i s j ɔ̃
anéantissons	a n e ɑ̃ t i s ɔ̃
anéantit	a n e ɑ̃ t i
anéantîmes	a n e ɑ̃ t i m
anéantît	a n e ɑ̃ t i
anéantîtes	a n e ɑ̃ t i t
anécique	a n e s i k
anélastique	a n e l a s t i k
anélectrique	a n e l ɛ k t ʁ i k
anémie	a n e m i
anémique	a n e m i k
anémone	a n e m ɔ n
anémophile	a n e m ɔ f i l
anépigraphe	a n e p i ɡ ʁ a f
anévrismale	a n e v ʁ i s m a l
anévrysmale	a n e v ʁ i s m a l
anœstrus	a n ɛ s t ʁ y s
aoc	a o s e
aorte	a ɔ ʁ t
aoste	a ɔ s t
aoste	ɔ s t
aostois	a ɔ s t w a
aostois	ɔ s t w a
août	a u
août	u
août	u t
aoûtat	a u t a
aoûtement	a u t m ɑ̃
aoûtement	u t m ɑ̃
aoûter	a u t e
aoûter	u t e
aoûtien	a u s j ɛ̃
aoûtienne	a u s j ɛ n
aoûts	u
aoûts	u t
apache	a p a ʃ
apaisante	a p ɛ z ɑ̃ t
apaiser	a p e z e
apaiser	a p ɛ z e
apamène	a p a m ɛ n
apamée	a p a m e
apaméen	a p a m e ɛ̃
apartheid	a p a ʁ t ɛ j d
apartisane	a p a ʁ t i z a n
aparté	a p a ʁ t e
apathie	a p a t i
apathique	a p a t i k
apatride	a p a t ʁ i d
apatriée	a p a t ʁ i j e
apax	a p a k s
apennins	a p ɛ n ɛ̃
apens	a p ɑ̃
aperceptive	a p ɛ ʁ s ɛ p t i v
apercevoir	a p ɛ ʁ s ə v w a ʁ
apert	a p ɛ ʁ
aperte	a p ɛ ʁ t
apertement	a p ɛ ʁ t ə m ɑ̃
apertes	a p ɛ ʁ t
aperts	a p ɛ ʁ
aperture	a p ɛ ʁ t y ʁ
aperçu	a p ɛ ʁ s y
aperçussent	a p ɛ ʁ s y s
aperçûmes	a p ɛ ʁ s y m
apesanteur	a p z ɑ̃ t œ ʁ
apeuré	a p œ ʁ e
aphasie	a f a z i
aphidienne	a f i d j ɛ n
aphone	a f o n
aphrodisiaque	a f ʁ ɔ d i z j a k
aphte	a f t
aphteux	a f t ø
aphtheuse	a f t ø z
aphérèse	a f e ʁ ɛ z
aphérésée	a f e ʁ e z e
apiacée	a p j a s e
apicodentale	a p i k ɔ d ɑ̃ t a l
apicole	a p i k ɔ l
apiculteur	a p i k y l t œ ʁ
apiculteurs	a p i k y l t œ ʁ
apicultrice	a p i k y l t ʁ i s
apicultrices	a p i k y l t ʁ i s
apiculture	a p i k y l t y ʁ
apiculée	a p i k y l e
apion	a p j ɔ̃
apitoiement	a p i t w a m ɑ̃
apitoyer	a p i t w a j e
aplati	a p l a t i
aplatir	a p l a t i ʁ
aplomb	a p l ɔ̃
apnée	a p n e
apocalyptique	a p ɔ k a l i p t i k
apocatastase	a p ɔ k a t a s t a z
apocopa	a p ɔ k ɔ p a
apocope	a p ɔ k ɔ p
apocoper	a p ɔ k ɔ p e
apocrite	a p ɔ k ʁ i t
apocryphe	a p ɔ k ʁ i f
apodictique	a p ɔ d i k t i k
apodose	a p ɔ d o z
apogée	a p ɔ ʒ e
apointé	a p w ɛ̃ t e
apointée	a p w ɛ̃ t e
apointées	a p w ɛ̃ t e
apointés	a p w ɛ̃ t e
apolitique	a p ɔ l i t i k
apolitisée	a p ɔ l i t i z e
apollinienne	a p ɔ l i n j ɛ n
apollodore	a p ɔ l ɔ d ɔ ʁ
apollon	a p ɔ l ɔ̃
apologie	a p ɔ l ɔ ʒ i
apologète	a p ɔ l ɔ ʒ ɛ t
apologétique	a p ɔ l ɔ ʒ e t i k
aponévrose	a p ɔ n e v ʁ o z
apophénie	a p ɔ f e n i
aporie	a p ɔ ʁ i
aposiopèse	a p ɔ z j ɔ p ɛ z
apostolat	a p ɔ s t ɔ l a
apostolicité	a p ɔ s t ɔ l i s i t e
apostolique	a p ɔ s t ɔ l i k
apostrophe	a p ɔ s t ʁ ɔ f
apostropher	a p ɔ s t ʁ ɔ f e
apothicaire	a p ɔ t i k ɛ ʁ
apothicairerie	a p ɔ t i k ɛ ʁ ə ʁ i
apothéose	a p ɔ t e o z
apotropaïque	a p ɔ t ʁ ɔ p a i k
apozème	a p o z ɛ m
apozèmes	a p o z ɛ m
appalaches	a p a l a ʃ
appalachien	a p a l a ʃ j ɛ̃
appalachienne	a p a l a ʃ j ɛ n
appalachiennes	a p a l a ʃ j ɛ n
appalachiens	a p a l a ʃ j ɛ̃
apparat	a p a ʁ a
apparaître	a p a ʁ ɛ t ʁ
appareil	a p a ʁ ɛ j
appareillage	a p a ʁ ɛ j a ʒ
apparemment	a p a ʁ a m ɑ̃
apparence	a p a ʁ ɑ̃ s
