'ch	χ
coelio	k ɔ ɨ̯ l j ɔ
coes	k oː ɨ̯ s
cof	k oː
cof	k oː v
cofbin	k ɔ v b ɪ n
coffi	k ɔ f i
cofia	k ɔ v j a
cofiai	k ɔ v j a i̯
cofiais	k ɔ v j a i̯ s
cofiais	k ɔ v j ɛ s
cofiais	k ɔ v j ɛ ʃ
cofiais	k ɔ v ɪ ʃ
cofiem	k ɔ v j ɛ m
cofio	k ɔ v j ɔ
cofiwn	k ɔ v j ʊ n
cofnod	k ɔ v n ɔ d
cofnodi	k ɔ v n ɔ d i
cofnodion	k ɔ v n ɔ d j ɔ n
cog	k oː ɡ
coginio	k ɔ ɡ ɪ n j ɔ
coleg	k ɔ l ɛ ɡ
colfen	k ɔ l v ɛ n
colled	k ɔ ɬ ɛ d
colledion	k ɔ ɬ ɛ d j ɔ n
collen	k ɔ ɬ a n
collen	k ɔ ɬ ɛ n
colli	k ɔ ɬ i
collnod	k ɔ ɬ n ɔ d
colomen	k ɔ l ɔ m ɛ n
colur	k ɔ l ɨ̞ r
coma	k ɔ m a
condemni	k ɔ n d ɛ m n ɪ
condemnio	k ɔ n d ɛ m n j ɔ
conglfaen	k ɔ ŋ l v a ɨ̯ n
cont	k ɔ n t
contract	k ɔ n t r a k t
contractau	k ɔ n t r a k t a
contractau	k ɔ n t r a k t a ɨ̯
contractau	k ɔ n t r a k t ɛ
conwy	k ɔ n ʊ ɨ̯
conwydd	k ɔ n w ɨ̯ ð
conwydden	k ɔ n w ə ð a n
conwydden	k ɔ n w ə ð ɛ n
conwydden	k ɔ n w ɨ̞ ð a n
conwydden	k ɔ n w ɨ̞ ð ɛ n
conyn	k ɔ n ɨ̞ n
cop	k ɔ p
copa	k ɔ p a
copii	k ɔ p iː i
copog	k ɔ p ɔ ɡ
copyn	k ɔ p ɨ̞ n
copïo	k ɔ p iː ɔ
copïwr	k ɔ p iː ʊ r
copïwyr	k ɔ p ɪ w ɨ̞ r
cor	k ɔ r
corcyn	k ɔ r k ɨ̞ n
corff	k ɔ r f
corfflu	k ɔ r f l ɨ
corfflunio	k ɔ r f l ɨ̞ n j ɔ
corffluniwr	k ɔ r f l ɨ̞ n j ʊ r
corffluoedd	k ɔ r f l ɨː ɔ ɨ̯ ð
corgi	k ɔ r ɡ i
corgwn	k ɔ r ɡ ʊ n
corhedydd	k ɔ r h ɛ d ɨ̞ ð
corhwyad	k ɔ r h ʊ ɨ̯ a d
corhwyaden	k ɔ r h ʊ ɨ̯ a d a n
corhwyaden	k ɔ r h ʊ ɨ̯ a d ɛ n
corhwyaid	k ɔ r h ʊ ɨ̯ a i̯ d
corhwyaid	k ɔ r h ʊ ɨ̯ ɛ d
corn	k ɔ r n
cornel	k ɔ r n a l
cornel	k ɔ r n ɛ l
corneli	k ɔ r n ɛ l i
coronafeirws	k ɔ r ɔ n a v e i̯ r ʊ s
coronafeirysau	k ɔ r ɔ n a v e i̯ r ə s a
coronafeirysau	k ɔ r ɔ n a v e i̯ r ə s a ɨ̯
coronafeirysau	k ɔ r ɔ n a v e i̯ r ə s ɛ
coronafirws	k ɔ r ɔ n a v ɪ r ʊ s
corryn	k ɔ r ɨ̞ n
corwg	k ɔ r ʊ ɡ
cosb	k oː s b
cosbau	k ɔ s b a
cosbau	k ɔ s b a ɨ̯
cosbau	k ɔ s b ɛ
cosyn	k ɔ s ɨ̞ n
cot	k ɔ t
cotiau	k ɔ t j a
cotiau	k ɔ t j a ɨ̯
cotiau	k ɔ t j ɛ
cowyll	k ɔ u̯ ɨ̞ ɬ
crac	k r a k
craf	k r aː v
craf y geifr	k r aː v ə ɡ e i̯ v r
crair	k r a i̯ r
cramen	k r a m ɛ n
crech	k r eː χ
cred	k r eː d
creda	k r ɛ d a
credaf	k r ɛ d a
credaf	k r ɛ d a v
credant	k r ɛ d a n t
credent	k r ɛ d ɛ n t
creder	k r ɛ d ɛ r
credes	k r ɛ d ɛ s
credet	k r ɛ d ɛ t
credi	k r ɛ d ɪ
credit	k r ɛ d ɪ t
credo	k r ɛ d ɔ
credu	k r ɛ d ɨ
cref	k r eː
cref	k r eː v
crefydd	k r ɛ v ɨ̞ ð
crefyddol	k r ɛ v ə ð ɔ l
cregynna	k r ɛ ɡ ə n a
creision	k r e i̯ ʃ ɔ n
creision ŷd	k r e i̯ ʃ ɔ n ɨː d
creisionen	k r e i̯ ʃ ɔ n ɛ n
creisionen ŷd	k r e i̯ ʃ ɔ n ɛ n
creisionllyd	k r e i̯ ʃ ɔ n ɬ ɨ̞ d
crempog	k r ɛ m p ɔ ɡ
creto	k r ɛ t ɔ
crewyr	k r ɛ u̯ ɨ̞ r
crist	k r iː s t
cristion	k r ɪ s d j ɔ n
cristionogion	k r ɪ s d j ɔ n ɔ ɡ j ɔ n
cristnogaeth	k r ɪ s d n ɔ ɡ a ɨ̯ θ
cristnogaeth	k r ɪ s d n ɔ ɡ ɛ θ
cristnogion	k r ɪ s d n ɔ ɡ j ɔ n
cristnogol	k r ɪ s d n ɔ ɡ ɔ l
criw	k r ɪ u̯
croen	k r oː ɨ̯ n
croeniog	k r ɔ ɨ̯ n j ɔ ɡ
croenliw	k r ɔ ɨ̯ n l ɪ u̯
croes	k r oː ɨ̯ s
croesair	k r ɔ ɨ̯ s a i̯ r
croesffordd	k r ɔ ɨ̯ s f ɔ r ð
croesgad	k r ɔ ɨ̯ s ɡ a d
croeshoeliad	k r ɔ ɨ̯ s h ɔ ɨ̯ l j a d
croeshoelio	k r ɔ ɨ̯ s h ɔ ɨ̯ l j ɔ
croesholi	k r ɔ ɨ̯ s h ɔ l ɪ
croesi	k r ɔ ɨ̯ s i
croeso	k r ɔ ɨ̯ s ɔ
croestorri	k r ɔ ɨ̯ s d ɔ r ɪ
crog	k r oː ɡ
croglen	k r ɔ ɡ l ɛ n
cromfach	k r ɔ m v a χ
cromlech	k r ɔ m l ɛ χ
cronni	k r ɔ n i
croth	k r oː θ
crwban	k r ʊ b a n
crwn	k r ʊ n
crwst	k r ʊ s d
crwt	k r ʊ t
crwth	k r uː θ
crwydr	k r ʊ ɨ̯ d r
crwyn	k r uː ɨ̯ n
crych	k r ɨː χ
crychach	k r ə χ a χ
crychau	k r ə χ a
crychau	k r ə χ a ɨ̯
crychau	k r ə χ ɛ
cryched	k r ə χ ɛ d
crychion	k r ə χ j ɔ n
crychydd	k r ə χ ɨ̞ ð
cryd	k r ɨː d
crydd	k r ɨː ð
cryddiaeth	k r ə ð j a ɨ̯ θ
cryddiaeth	k r ə ð j ɛ θ
cryddion	k r ə ð j ɔ n
crydiau	k r ə d j a
crydiau	k r ə d j a ɨ̯
crydiau	k r ə d j ɛ
cryf	k r ɨː
cryf	k r ɨː v
crymu	k r ə m ɨ
cryn	k r ɨ̞ n
cryndod	k r ə n d ɔ d
crynhoad	k r ə n h ɔ a d
crynu	k r ə n ɨ̞
crynwr	k r ə n ʊ r
crynwyr	k r ə n w ɨ̞ r
crëwr	k r ɛ ʊ r
crëyr	k r ɛ ɨ̞ r
crŷn	k r ɨː n
cu	k ɨː
cucumer	k ɨ̞ k ɨ̞ m ɛ r
cudyn	k ɨ̞ d ɨ̞ n
cul	k ɨː l
culdir	k ɨ̞ l d ɪ r
culdiroedd	k ɨ̞ l d ɪ r ɔ ɨ̯ ð
curo	k ɨ̞ r ɔ
cusan	k ɨ̞ s a n
cusanau	k ɨ̞ s a n a
cusanau	k ɨ̞ s a n a ɨ̯
cusanau	k ɨ̞ s a n ɛ
cusanu	k ɨ̞ s a n ɨ
cut	k ɨ̞ t
cwar	k w a r
cwb	k ʊ b
cwbl	k ʊ b l
cwbl	k ʊ b ʊ l
cwblhau	k ʊ b l h a ɨ̯
cwch	k ʊ χ
cwd	k uː d
cweryl	k w ɛ r ɨ̞ l
cweryla	k w ɛ r ə l a
cwerylau	k w ɛ r ə l a
cwerylau	k w ɛ r ə l a ɨ̯
cwerylau	k w ɛ r ə l ɛ
cwerylgar	k w ɛ r ə l ɡ a r
cwerylon	k w ɛ r ə l ɔ n
cwerylwr	k w ɛ r ə l ʊ r
cwerylwyr	k w ɛ r ə l w ɨ̞ r
cwest	k w eː s d
cwestau	k w ɛ s d a
cwestau	k w ɛ s d a ɨ̯
cwestau	k w ɛ s d ɛ
cwestiwn	k w ɛ s d j ʊ n
cwestiynau	k w ɛ s d j ə n a
cwestiynau	k w ɛ s d j ə n a ɨ̯
cwestiynau	k w ɛ s d j ə n ɛ
cwffio	k ʊ f j ɔ
cwis	k w ɪ s
cwlwm	k ʊ l ʊ m
cwm	k ʊ m
cwmpas	k ʊ m p a s
cwmpawd	k ʊ m p a u̯ d
cwmwd	k ʊ m ʊ d
cwmwl	k ʊ m ʊ l
cwmws	k ʊ m ʊ s
cwningen	k ʊ n ɪ ŋ a n
cwningen	k ʊ n ɪ ŋ ɛ n
cwpan	k ʊ p a n
cwpanaid	k ʊ p a n a i̯ d
cwpanaid	k ʊ p a n ɛ d
cwpaneidiau	k ʊ p a n e i̯ d j a
cwpaneidiau	k ʊ p a n e i̯ d j a ɨ̯
cwpaneidiau	k ʊ p a n e i̯ d j ɛ
cwpla	k ʊ p l a
cwpwrdd	k ʊ p ʊ r ð
cwrdd	k ʊ r ð
cwrs	k ʊ r s
cwrw	k ʊ r u
cwsg	k uː s ɡ
cwsmer	k ʊ s m a r
cwsmer	k ʊ s m ɛ r
cwsmeriaid	k ʊ s m ɛ r j a i̯ d
cwsmeriaid	k ʊ s m ɛ r j ɛ d
cwstard	k ʊ s d a r d
cwstardiau	k ʊ s d a r d j a
cwstardiau	k ʊ s d a r d j a ɨ̯
cwstardiau	k ʊ s d a r d j ɛ
cwta	k ʊ t a
cwtiar	k ʊ t j a r
cwtsh	k ʊ t ʃ
cwtshys	k ʊ t ʃ ɨ̞ s
cwtsio	k ʊ t ʃ ɔ
cwyd	k uː ɨ̯ d
cwymp	k w ɨ̯ m p
cwympo	k w ɨ m p ɔ
cwyn	k uː ɨ̯ n
cwynion	k ʊ ɨ̯ n j ɔ n
cwyno	k ʊ ɨ̯ n ɔ
cwyr	k uː ɨ̯ r
cychwyn	k ə χ w ɨ̞ n
cyd	k ɨː d
cydbreswylwyr	k ɨː d b r ɛ s ʊ ɨ̯ l w ɨ̞ r
cydgordio	k ɨ̞ d ɡ ɔ r d j ɔ
cydgordiol	k ɨ̞ d ɡ ɔ r d j ɔ l
cydseiniol	k ɨː d s e i̯ j ɔ l
cydseiniol	k ɨ̞ d s e i̯ j ɔ l
cydsynio	k ɨ̞ d s ə n j ɔ
cydweithiad	k ɨː d w e i̯ θ j a d
cydweithio	k ɨː d w e i̯ θ j ɔ
cydweithiwr	k ɨː d w e i̯ θ j ʊ r
cydweithiwr	k ɨ̞ d w e i̯ θ j ʊ r
cydweithrediad	k ɨː d w e i̯ θ r ɛ d j a d
cydweithrediadau	k ɨː d w e i̯ θ r ɛ d j a d a
cydweithrediadau	k ɨː d w e i̯ θ r ɛ d j a d a ɨ̯
cydweithrediadau	k ɨː d w e i̯ θ r ɛ d j a d ɛ
cydweithredu	k ɨː d w e i̯ θ r ɛ d ɨ
cydweithredwr	k ɨː d w e i̯ θ r ɛ d ʊ r
cydweithredwyr	k ɨː d w e i̯ θ r ɛ d w ɨ̞ r
cydweithwyr	k ɨː d w e i̯ θ w ɨ̞ r
cydweithwyr	k ɨ̞ d w e i̯ θ w ɨ̞ r
cydwelediad	k ɨ̞ d w ɛ l ɛ d j a d
cydymdeimlad	k ɨː d ə m d e i̯ m l a d
cyfaill	k ə v a i̯ ɬ
cyfair	k ə v a i̯ r
cyfair	k ə v ɛ r
cyfamod	k ə v a m ɔ d
cyfamodi	k ə v a m ɔ d i
cyfamser	k ə v a m s a r
cyfamser	k ə v a m s ɛ r
cyfan	k ə v a
cyfan	k ə v a n
cyfandir	k ə v a n d ɪ r
cyfanswm	k ə v a n s ʊ m
cyfansymiau	k ə v a n s ə m j a
cyfansymiau	k ə v a n s ə m j a ɨ̯
cyfansymiau	k ə v a n s ə m j ɛ
cyfarch	k ə v a r χ
cyfarchol	k ə v a r χ ɔ l
cyfaredd	k ə v a r ɛ ð
cyfareddol	k ə v a r ɛ ð ɔ l
cyfarfod	k w a r v ɔ d
cyfarfod	k ə v a r v ɔ d
cyfartal	k ə v a r t a l
cyfartaledd	k ə v a r t a l ɛ ð
cyfartalog	k ə v a r t a l ɔ ɡ
cyfarthiad	k ə v a r θ j a d
cyfarthiadau	k ə v a r θ j a d a
cyfarthiadau	k ə v a r θ j a d a ɨ̯
cyfarthiadau	k ə v a r θ j a d ɛ
cyfarwydd	k ə v a r w ɨ̞ ð
cyfarwyddo	k ə v a r w ɨ ð ɔ
cyfarwyddwr	k ə v a r ʊ ɨ̯ ð ʊ r
cyfarwys	k ə v a r ʊ ɨ̯ s
cyfateb	k ə v a t a b
cyfateb	k ə v a t ɛ b
cyfatebiaeth	k ə v a t ɛ b j a ɨ̯ θ
cyfatebiaeth	k ə v a t ɛ b j ɛ θ
cyfatebiaethau	k ə v a t ɛ b j e ɨ̯ θ a
cyfatebiaethau	k ə v a t ɛ b j e ɨ̯ θ a ɨ̯
cyfatebiaethau	k ə v a t ɛ b j e ɨ̯ θ ɛ
cyfatebol	k ə v a t ɛ b ɔ l
cyfathrach	k ə v a θ r a χ
cyfddydd	k ə v ð ɨ̞ ð
cyfeillgar	k ə v e i̯ ɬ ɡ a r
cyfeillion	k ə v e i̯ ɬ j ɔ n
cyfeirio	k ə v e i̯ r j ɔ
cyfenw	k ə v ɛ n u
cyfer	k ə v ɛ r
cyfernod	k ə v ɛ r n ɔ d
cyff	k ɨː f
cyfforddus	k ə f ɔ r ð ɨ̞ s
cyffredin	k ə f r ɛ d ɪ n
cyffredinol	k ə f r ɛ d ɪ n ɔ l
cyffwrdd	k ə f ʊ r ð
cyffyloca	k ə f ə l ɔ k a
cyffylog	k ə f ə l ɔ ɡ
cyfiawn	k ə v j a u̯ n
cyfiawnder	k ə v j a u̯ n d a r
cyfiawnder	k ə v j a u̯ n d ɛ r
cyfiawnhad	k ə v j a u̯ n h aː d
cyfiawnhau	k ə v j a u̯ n h a ɨ̯
cyfieithu	k ə v j e i̯ θ ɨ
cyfieithydd	k ə v j e i̯ θ ɨ̞ ð
cyflafar	k ə v l a v a r
cyflafaredd	k ə v l a v a r ɛ ð
cyflafareddiad	k ə v l a v a r ɛ ð j a d
cyflafareddu	k ə v l a v a r ɛ ð ɨ
cyflafareddwr	k ə v l a v a r ɛ ð ʊ r
cyflawni	k ə v l a u̯ n i
cyfle	k ə v l a
cyfle	k ə v l ɛ
cyflogaeth	k ə v l ɔ ɡ a ɨ̯ θ
cyflogaeth	k ə v l ɔ ɡ ɛ θ
cyflogi	k ə v l ɔ ɡ i
cyflogwr	k ə v l ɔ ɡ ʊ r
cyflogwyr	k ə v l ɔ ɡ w ɨ̞ r
cyflwr	k ə v l ʊ r
cyflwyno	k ə v l ʊ ɨ̯ n ɔ
cyflym	k ə v l ɨ̞ m
cyflymder	k ə v l ə m d ɛ r
cyfnewid	k ə v n ɛ u̯ ɪ d
cyfnither	k ə v n ɪ θ a r
cyfnither	k ə v n ɪ θ ɛ r
cyfnod	k ə v n ɔ d
cyfnodol	k ə v n ɔ d ɔ l
cyfnodolion	k ə v n ɔ d ɔ l j ɔ n
cyfnodolyn	k ə v n ɔ d ɔ l ɨ̞ n
cyfnos	k ə v n ɔ s
cyfodi	k ə v ɔ d i
cyfoethog	k ə v ɔ ɨ̯ θ ɔ ɡ
cyfraith	k ə v r a i̯ θ
cyfraith	k ə v r ɛ θ
cyfranddeiliad	k ə v r a n ð e i̯ l j a d
cyfranddeiliaid	k ə v r a n ð e i̯ l j a i̯ d
cyfranddeiliaid	k ə v r a n ð e i̯ l j ɛ d
cyfrannog	k ə v r a n ɔ ɡ
cyfreithiwr	k ə v r e i̯ θ j ʊ r
cyfrif	k ə v r ɪ
cyfrif	k ə v r ɪ v
cyfrifeg	k ə v r ɪ v ɛ ɡ
cyfrifiad	k ə v r ɪ v j a d
cyfrifiadur	k ə v r ɪ v j a d ɨ̞ r
cyfrifiant	k ə v r ɪ v j a n t
cyfrifol	k ə v r ɪ v ɔ l
cyfrifoldeb	k ə v r ɪ v ɔ l d a b
cyfrifoldeb	k ə v r ɪ v ɔ l d ɛ b
cyfrifoldebau	k ə v r ɪ v ɔ l d ɛ b a
cyfrifoldebau	k ə v r ɪ v ɔ l d ɛ b a ɨ̯
cyfrifoldebau	k ə v r ɪ v ɔ l d ɛ b ɛ
cyfrifon	k ə v r ɪ v ɔ n
cyfrifwr	k ə v r ɪ v ʊ r
cyfrifydd	k ə v r ɪ v ɨ̞ ð
cyfrin	k ə v r ɪ n
cyfrinach	k ə v r ɪ n a χ
cyfrol	k ə v r ɔ l
cyfrwng	k ə v r ʊ ŋ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s d ə ŋ ɛ d ɪ ɡ a ɨ̯ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s d ə ŋ ɛ d ɪ ɡ ɛ θ
cyfrwy	k ə v r ʊ ɨ̯
cyfrwyo	k ə v r ʊ ɨ̯ ɔ
cyfryngau	k ə v r ə ŋ a
cyfryngau	k ə v r ə ŋ a ɨ̯
cyfryngau	k ə v r ə ŋ ɛ
cyfryngi	k ə v r ə ŋ i
cyfryngiad	k ə v r ə ŋ j a d
cyfryngiadau	k ə v r ə ŋ j a d a
cyfryngiadau	k ə v r ə ŋ j a d a ɨ̯
cyfryngiadau	k ə v r ə ŋ j a d ɛ
cyfryngis	k ə v r ə ŋ i s
cyfryngu	k ə v r ə ŋ ɨ
cyfryngwr	k ə v r ə ŋ ʊ r
cyfryngwyr	k ə v r ə ŋ w ɨ̞ r
cyfun	k ə v ɨ̞ n
cyfundrefn	k ə v ɨ̞ n d r ɛ v n
cyfundrefnol	k ə v ɨ̞ n d r ɛ v n ɔ l
cyfundrefnu	k ə v ɨ̞ n d r ɛ v n ɨ
cyfweld	k ə v w ɛ l d
cyfweliad	k ə v w ɛ l j a d
cyfwelydd	k ə v w ɛ l ɨ̞ ð
cyfyd	k ə v ɨ̞ d
cyfyng	k ə v ɨ̞ ŋ
cyhoeddus	k ə h ɔ ɨ̯ ð ɨ̞ s
cyhyd	k ə h ɨː d
cyhyd	k ə h ɨ̞ d
cyhydnos	k ə h ə d n ɔ s
cyhydnos y gwanwyn	k ə h ə d n ɔ s ə ɡ w a n w ɨ̞ n
cyhydnos yr hydref	k ə h ə d n ɔ s ə r h ə d r a
cyhydnos yr hydref	k ə h ə d n ɔ s ə r h ə d r ɛ
cyhydnos yr hydref	k ə h ə d n ɔ s ə r h ə d r ɛ v
cyhyr	k ə h ɨ̞ r
cyhyrog	k ə h ə r ɔ ɡ
cylch	k ɨ̞ l χ
cylchgrawn	k ə l χ ɡ r a u̯ n
cylchgrawn	k ɨ̞ l χ ɡ r a u̯ n
cylchoedd	k ə l χ ɔ ɨ̯ ð
cylchu	k ə l χ ɨ
cylion	k ə l j ɔ n
cyll	k ɨ̞ ɬ
cyllell	k ə ɬ a ɬ
cyllell	k ə ɬ ɛ ɬ
cymaint	k ə m a i̯ n t
cymaint	k ə m ɛ n t
cymal	k ə m a l
cymar	k ə m a r
cymdeithasol	k ə m d e i̯ θ a s ɔ l
cymedr	k ə m ɛ d r
cymedrol	k ə m ɛ d r ɔ l
cymedroldeb	k ə m ɛ d r ɔ l d ɛ b
cymedroli	k ə m ɛ d r ɔ l i
cymedrolwr	k ə m ɛ d r ɔ l ʊ r
cymedrolwyr	k ə m ɛ d r ɔ l w ɨ̞ r
cymell	k ə m ɛ ɬ
cymer	k ə m ɛ r
cymharu	k ə m h a r ɨ
cymhleth	k ə m h l ɛ θ
cymhleth	k ə m l a θ
cymhleth	k ə m l ɛ θ
cymhlethdod	k ə m h l ɛ θ d ɔ d
cymhlethdodau	k ə m h l ɛ θ d ɔ d a
cymhlethdodau	k ə m h l ɛ θ d ɔ d a ɨ̯
cymhlethdodau	k ə m h l ɛ θ d ɔ d ɛ
cymhlethdodau	k ə m l ɛ θ d ɔ d a
cymhlethdodau	k ə m l ɛ θ d ɔ d ɛ
cymhlethu	k ə m h l ɛ θ ɨ
cymorth	k ə m ɔ r θ
cymorthion	k ə m ɔ r θ j ɔ n
cymraeg	k ə m r a i̯ ɡ
cymraeg	k ə m r aː ɡ
cymraeg	k ʊ m r aː ɡ
cymraes	k ə m r aː ɨ̯ s
cymraesau	k ə m r e ɨ̯ s a
cymraesau	k ə m r e ɨ̯ s a ɨ̯
cymraesau	k ə m r e ɨ̯ s ɛ
cymreig	k ə m r e i̯ ɡ
cymro	k ə m r ɔ
cymru	k ə m r ɨ̞
cymry	k ə m r ɨ̞
cymryd	k ə m r ɨ̞ d
cymwys	k ə m ʊ ɨ̯ s
cymylau	k ə m ə l a
cymylau	k ə m ə l a ɨ̯
cymylau	k ə m ə l ɛ
cymylog	k ə m ə l ɔ ɡ
cymylu	k ə m ə l ɨ
cymysg	k ə m ɨ̞ s ɡ
cymysgedd	k ə m ə s ɡ ɛ ð
cymysglyd	k ə m ə s ɡ l ɨ̞ d
cyn	k ɨ n
cyn hyn	k ɨ̞ n h ɨ̞ n
cynaeafu	k n e ɨ̯ a v ɨ
cynaeafu	k ə n e ɨ̯ a v ɨ
cynaniad	k ə n a n j a d
cynddrwg	k ə n ð r ʊ ɡ
cynffon	k ə n f ɔ n
cyngaws	k ə ŋ a u̯ s
cyngerdd	k ə ŋ ɛ r ð
cynghanedd	k ə ŋ h a n ɛ ð
cynghori	k ə ŋ h ɔ r i
cynghrair	k ə ŋ r̥ a i̯ r
cynghrair	k ə ŋ r̥ ɛ r
cyngor	k ə ŋ ɔ r
cyngyd	k ə ŋ ɡ ɨ̞ d
cyngyd	k ə ŋ ɨ̞ d
cynhadledd	k ə n h a d l ɛ ð
cynhaeaf	k ə n h eː ɨ̯ a v
cynhenna	k ə n h ɛ n a
cynhennu	k ə n h ɛ n ɨ
cynhennus	k ə n h ɛ n ɨ̞ s
cynhesu	k ə n h ɛ s ɨ
cynhorthwy	k ə n h ɔ r θ ʊ ɨ̯
cynhyrchu	k ə n h ə r χ ɨ
cynllunio	k ə n ɬ ɨ̞ n j ɔ
cynnar	k ə n a r
cynnau	k ə n a
cynnau	k ə n a ɨ̯
cynnau	k ə n ɛ
cynnen	k ə n ɛ n
cynnes	k ə n ɛ s
cynnig	k ə n ɪ ɡ
cynnud	k ə n ɨ̞ d
cynnull	k ə n ɪ ɬ
cynnwrf	k ə n ʊ r v
cynnwys	k ə n ʊ ɨ̯ s
cynnydd	k ə n ɨ̞ ð
cynnyrch	k ə n ɨ̞ r χ
cynorthwyo	k ə n ɔ r θ ʊ ɨ̯ ɔ
cynorthwywyr	k ə n ɔ r θ ʊ ɨ̯ w ɨ̞ r
cynorthwyydd	k ə n ɔ r θ ʊ ɨ̯ ɨ̞ ð
cynrychioli	k ə n r ə χ j ɔ l i
cynt	k ɨ̞ n t
cyntaf	k ə n t a
cyntaf	k ə n t a v
cyntedd	k ə n t ɛ ð
cyntefin	k ə n t ɛ v ɪ n
cynulleidfa	k ə n ɨ̞ ɬ e i̯ d v a
cynuta	k ə n ɨ̞ t a
cynyddu	k ə n ə ð ɨ
cyn‌gyd	k ə ŋ ɡ ɨ̞ d
cyn‌gyd	k ə ŋ ɨ̞ d
cyrch	k ɨ̞ r χ
cyrchu	k ə r χ ɨ
cyrhaeddaf	k ə r h a ɨ̯ ð a v
cyrhaeddwch	k ə r h a ɨ̯ ð ʊ χ
cyrhaeddwn	k ə r h a ɨ̯ ð ʊ n
cyrn	k ɨ̞ r n
cyrraedd	k ə r a ð
cyrraedd	k ə r a ɨ̯ ð
cyrraedd	k ə r ɛ ð
cyrsiau	k ə r ʃ a
cyrsiau	k ə r ʃ a ɨ̯
cyrsiau	k ə r ʃ ɛ
cysgaf	k ə s ɡ a v
cysgiff	k ə s ɡ ɪ f
cysgu	k ə s ɡ ɨ
cysgu fel clawdd	k ə s ɡ ɨ̞ v ɛ l k l a u̯ ð
cystadlaethau	k ə s d a d l e ɨ̯ θ a
cystadlaethau	k ə s d a d l e ɨ̯ θ a ɨ̯
cystadlaethau	k ə s d a d l e ɨ̯ θ ɛ
cystadleuaeth	k ə s d a d l e ɨ̯ a ɨ̯ θ
cystadleuaeth	k ə s d a d l e ɨ̯ ɛ θ
cystadleuol	k ə s d a d l e ɨ̯ ɔ l
cystadleuwr	k ə s d a d l e ɨ̯ ʊ r
cystadleuwyr	k ə s d a d l e ɨ̯ w ɨ̞ r
cystadleuydd	k ə s d a d l e ɨ̯ ɨ̞ ð
cystadlu	k ə s d a d l ɨ
cystal	k ə s d a l
cyswllt	k ə s ʊ ɬ d
cysylltair	k ə s ə ɬ d a i̯ r
cysylltiad	k ə s ə ɬ d j a d
cysylltnod	k ə s ə ɬ d n ɔ d
cysylltu	k ə s ə ɬ d ɨ
cytgord	k ə t ɡ ɔ r d
cythraul	k ə θ r a l
cythraul	k ə θ r a ɨ̯ l
cythraul	k ə θ r ɛ l
cythreuliaid	k ə θ r e ɨ̯ l j a i̯ d
cythreuliaid	k ə θ r e ɨ̯ l j ɛ d
cytref	k ə t r ɛ v
cytrefi	k ə t r ɛ v ɪ
cytsain	k ə t s a i̯ n
cytseiniaid	k ə t s e i̯ n j a i̯ d
cytseiniaid	k ə t s e i̯ n j ɛ d
cytuno	k ə t ɨ̞ n ɔ
cytûn	k ə t ɨː n
cywir	k ə u̯ ɪ r
cywydd	k ə u̯ ɨ̞ ð
cywyddau	k ə w ə ð a
cywyddau	k ə w ə ð a ɨ̯
cywyddau	k ə w ə ð ɛ
cyẅres	k ə ʊ r ɛ s
cân	k aː n
câr	k aː r
còd	k ɔ d
côd	k oː d
côr	k oː r
côr y cewri	k oː r ə k ɛ u̯ r i
côt	k oː t
côt law	k oː t l aː u̯
cŵn	k uː n
cŷn	k ɨː n
da	d aː
daclus	d a k l ɨ̞ s
dacluso	d a k l ɨ̞ s ɔ
dacw	d a k u
dad	d aː d
dadiol	d a d j ɔ l
dadl	d a d l
dadlau	d a d l a
dadlau	d a d l a ɨ̯
dadlau	d a d l ɛ
dadleuol	d a d l e ɨ̯ ɔ l
dadleuon	d a d l e ɨ̯ ɔ n
dadlwytho	d a d l ʊ ɨ̯ θ ɔ
dadwisgo	d a d w ɪ s ɡ ɔ
daear	d e ɨ̯ a r
daearfoch	d e ɨ̯ a r v ɔ χ
daeargryn	d e ɨ̯ a r ɡ r ɨ̞ n
daeargrynfeydd	d e ɨ̯ a r ɡ r ə n v e ɨ̯ ð
daeth	d aː ɨ̯ θ
dafad	d a v a d
dafarn	d a v a r n
dafarnwr	d a v a r n ʊ r
daflu	d a v l ɨ
dafydd	d a v ɨ̞ ð
dagrau	d a ɡ r a
dagrau	d a ɡ r a ɨ̯
dagrau	d a ɡ r ɛ
dail	d a i̯ l
daioni	d a j ɔ n i
dair	d a i̯ r
daith	d a i̯ θ
dal	d a l
dala	d a l a
dalan	d a l a n
dalcen	d a l k a n
dalcen	d a l k ɛ n
daled	d a l ɛ d
dalen	d a l ɛ n
dalent	d a l ɛ n t
daler	d a l ɛ r
dales	d a l ɛ s
dalet	d a l ɛ t
dalfa	d a l v a
dali	d a l i
dalia	d a l j a
daliad	d a l j a d
daliadaeth	d a l j a d a ɨ̯ θ
daliadaeth	d a l j a d ɛ θ
daliadaethau	d a l j a d e ɨ̯ θ a
daliadaethau	d a l j a d e ɨ̯ θ a ɨ̯
daliadaethau	d a l j a d e ɨ̯ θ ɛ
daliadau	d a l j a d a
daliadau	d a l j a d a ɨ̯
daliadau	d a l j a d ɛ
daliaf	d a l j a v
daliff	d a l ɪ f
dalit	d a l ɪ t
