а	a
земја	z ɛ m j a
земјичка	z ɛ m j i t͡ʃ k a
земјоделец	z ɛ m j ɔ d ɛ l ɛ t͡s
земјоделство	z ɛ m j ɔ d ɛ ɫ s t v ɔ
земјопоседник	z ɛ m j ɔ p ɔ s ɛ d n i k
зеница	z ɛ n i t͡s a
зетов	z ɛ t ɔ f
зима	z i m a
зимава	z i m a v a
зиме	z i m ɛ
зимоска	z i m ɔ s k a
зимурливост	z i m u r l i v ɔ s t
зијан	z i j a n
златарка	z ɫ a t a r k a
златарски	z ɫ a t a r s k i
златарство	z ɫ a t a r s t v ɔ
златен	z ɫ a t ɛ n
златест	z ɫ a t ɛ s t
златокрилест	z ɫ a t ɔ k r i l ɛ s t
златце	z ɫ a t t͡s ɛ
злокобност	z ɫ ɔ k ɔ b n ɔ s t
злосторница	z ɫ ɔ s t ɔ r n i t͡s a
злоупотреба	z ɫ ɔ u p ɔ t r ɛ b a
злоупотребувач	z ɫ ɔ u p ɔ t r ɛ b u v a t͡ʃ
змиест	z m i j ɛ s t
змиин	z m i i n
змииште	z m i i ʃ t ɛ
змиски	z m i s k i
змијуле	z m i j u l ɛ
змијулест	z m i j u l ɛ s t
знак	z n a k
знаме	z n a m ɛ
знаменосец	z n a m ɛ n ɔ s ɛ t͡s
знаменце	z n a m ɛ n t͡s ɛ
значи	z n a t͡ʃ i
зоврива	z ɔ v r i v a
зограф	z ɔ ɡ r a f
зора	z ɔ ɾ a
зошо	z ɔ ʃ ɔ
зошто	z ɔ ʃ t ɔ
зрее	z r ɛ ɛ
зрнест	z r̩ n ɛ s t
зрно	z r̩ n ɔ
зрнце	z r̩ n̩ t͡s ɛ
зуцне	z u t͡s n ɛ
и	i
иако	i j a k ɔ
ивичи	i v i t͡ʃ i
игла	i ɡ ɫ a
иглест	i ɡ l ɛ s t
игличка	i ɡ l i t͡ʃ k a
играч	i ɡ r a t͡ʃ
играчка	i ɡ r a t͡ʃ k a
играчки	i ɡ r a t͡ʃ k i
игривост	i ɡ r i v ɔ s t
идеален	i d ɛ a l ɛ n
идеализација	i d ɛ a l i z a t͡s i j a
идентификација	i d ɛ n t i f i k a t͡s i j a
идеја	i d ɛ j a
идиличност	i d i l i t͡ʃ n ɔ s t
идолопоклонство	i d ɔ ɫ ɔ p ɔ k ɫ ɔ n s t v ɔ
избавител	i z b a v i t ɛ ɫ
избацува	i z b a t͡s u v a
избезуменост	i z b ɛ z u m ɛ n ɔ s t
избирачки	i z b i ɾ a t͡ʃ k i
избодува	i z b ɔ d u v a
избор	i z b ɔ r
избраник	i z b r a n i k
избраница	i z b r a n i t͡s a
избрзува	i z b r̩ z u v a
избувен	i z b u v ɛ n
избувливост	i z b u v l i v ɔ s t
изведба	i z v ɛ d b a
изведувач	i z v ɛ d u v a t͡ʃ
изведувачка	i z v ɛ d u v a t͡ʃ k a
изведувачки	i z v ɛ d u v a t͡ʃ k i
извезувач	i z v ɛ z u v a t͡ʃ
известувач	i z v ɛ s t u v a t͡ʃ
известувачка	i z v ɛ s t u v a t͡ʃ k a
извештаченост	i z v ɛ ʃ t a t͡ʃ ɛ n ɔ s t
извидник	i z v i d n i k
извидничка	i z v i d n i t͡ʃ k a
извиднички	i z v i d n i t͡ʃ k i
извидува	i z v i d u v a
извидувач	i z v i d u v a t͡ʃ
извикува	i z v i k u v a
извинувачки	i z v i n u v a t͡ʃ k i
извисува	i z v i s u v a
извиткува	i z v i t k u v a
извитоперува	i z v i t ɔ p ɛ ɾ u v a
извичен	i z v i t͡ʃ ɛ n
извлекува	i z v l ɛ k u v a
извод	i z v ɔ t
изводливост	i z v ɔ d l i v ɔ s t
извонредност	i z v ɔ n r ɛ d n ɔ s t
извор	i z v ɔ r
изворче	i z v ɔ r t͡ʃ ɛ
изврива	i z v r i v a
извршен	i z v r̩ ʃ ɛ n
извршител	i z v r̩ ʃ i t ɛ ɫ
извршителка	i z v r̩ ʃ i t ɛ ɫ k a
изгали	i z ɡ a l i
изгладнетост	i z ɡ ɫ a d n ɛ t ɔ s t
изгнаси	i z ɡ n a s i
изготви	i z ɡ ɔ t v i
изгрев	i z ɡ r ɛ f
изгрејсонце	i z ɡ r ɛ j s ɔ n t͡s ɛ
изгрицка	i z ɡ r i t͡s k a
изгушка	i z ɡ u ʃ k a
издашност	i z d a ʃ n ɔ s t
издвојува	i z d v ɔ j u v a
изделка	i z d ɛ ɫ k a
издишка	i z d i ʃ k a
издлабува	i z d ɫ a b u v a
издолженост	i z d ɔ ɫ ʒ ɛ n ɔ s t
издолжува	i z d ɔ ɫ ʒ u v a
издушува	i z d u ʃ u v a
изеде	i z ɛ d ɛ
изедначеност	i z ɛ d n a t͡ʃ ɛ n ɔ s t
изедува	i z ɛ d u v a
излапен	i z ɫ a p ɛ n
излапеност	i z ɫ a p ɛ n ɔ s t
излачува	i z ɫ a t͡ʃ u v a
излезен	i z l ɛ z ɛ n
излета	i z l ɛ t a
излетува	i z l ɛ t u v a
излечивост	i z l ɛ t͡ʃ i v ɔ s t
излижува	i z l i ʒ u v a
излишност	i z l i ʃ n ɔ s t
изложбен	i z ɫ ɔ ʒ b ɛ n
излудува	i z ɫ u d u v a
измазнува	i z m a z n u v a
измамнички	i z m a m n i t͡ʃ k i
измаченост	i z m a t͡ʃ ɛ n ɔ s t
изменува	i z m ɛ n u v a
измерува	i z m ɛ ɾ u v a
изминува	i z m i n u v a
изморува	i z m ɔ ɾ u v a
измрзнува	i z m r̩ z n u v a
измрсува	i z m r̩ s u v a
изнаака	i z n a a k a
изнаброи	i z n a b r ɔ i
изнабута	i z n a b u t a
изнавари	i z n a v a ɾ i
изнавезе	i z n a v ɛ z ɛ
изнавитка	i z n a v i t k a
изнавреѓа	i z n a v r ɛ ɟ a
изнаврне	i z n a v r̩ n ɛ
изнагали	i z n a ɡ a l i
изнагнете	i z n a ɡ n ɛ t ɛ
изнаголта	i z n a ɡ ɔ ɫ t a
изнаготви	i z n a ɡ ɔ t v i
изнадава	i z n a d a v a
изнаделка	i z n a d ɛ ɫ k a
изнадроби	i z n a d r ɔ b i
изназеме	i z n a z ɛ m ɛ
изнакапе	i z n a k a p ɛ
изнакара	i z n a k a ɾ a
изнакваси	i z n a k v a s i
изнакити	i z n a k i t i
изнакопа	i z n a k ɔ p a
изнакраде	i z n a k r a d ɛ
изнакрка	i z n a k r̩ k a
изналепи	i z n a l ɛ p i
изналупа	i z n a ɫ u p a
изнамачка	i z n a m a t͡ʃ k a
изнамрчи	i z n a m r̩ t͡ʃ i
изнаоблече	i z n a ɔ b l ɛ t͡ʃ ɛ
изнапика	i z n a p i k a
изнапише	i z n a p i ʃ ɛ
изнаплете	i z n a p l ɛ t ɛ
изнаполни	i z n a p ɔ ɫ n i
изнаправи	i z n a p r a v i
изнапреде	i z n a p r ɛ d ɛ
изнапржи	i z n a p r̩ ʒ i
изнареди	i z n a ɾ ɛ d i
изнасади	i z n a s a d i
изнасее	i z n a s ɛ ɛ
изнасече	i z n a s ɛ t͡ʃ ɛ
изнастава	i z n a s t a v a
изнастиска	i z n a s t i s k a
изнатепа	i z n a t ɛ p a
изнаучи	i z n a u t͡ʃ i
изнафали	i z n a f a l i
изнафрла	i z n a f r̩ ɫ a
изнацепи	i z n a t͡s ɛ p i
изнацрпи	i z n a t͡s r̩ p i
изнашара	i z n a ʃ a ɾ a
изнајмува	i z n a j m u v a
изнемоштеност	i z n ɛ m ɔ ʃ t ɛ n ɔ s t
изненаденост	i z n ɛ n a d ɛ n ɔ s t
изненадност	i z n ɛ n a d n ɔ s t
изнервираност	i z n ɛ r v i ɾ a n ɔ s t
износеност	i z n ɔ s ɛ n ɔ s t
износува	i z n ɔ s u v a
изнудувач	i z n u d u v a t͡ʃ
изобличеност	i z ɔ b l i t͡ʃ ɛ n ɔ s t
изолациски	i z ɔ ɫ a t͡s i s k i
изопаченик	i z ɔ p a t͡ʃ ɛ n i k
изопаченост	i z ɔ p a t͡ʃ ɛ n ɔ s t
изостанок	i z ɔ s t a n ɔ k
изостреност	i z ɔ s t r ɛ n ɔ s t
изработувач	i z r a b ɔ t u v a t͡ʃ
израел	i z r a ɛ ɫ
изразитост	i z r a z i t ɔ s t
изретчува	i z r ɛ t t͡ʃ u v a
изречен	i z r ɛ t͡ʃ ɛ n
изрипува	i z r i p u v a
изрод	i z r ɔ t
изустува	i z u s t u v a
иконописец	i k ɔ n ɔ p i s ɛ t͡s
или	i l i
иловица	i ɫ ɔ v i t͡s a
илустрација	i ɫ u s t r a t͡s i j a
илјада	i l j a d a
име	i m ɛ
имено	i m ɛ n ɔ
именува	i m ɛ n u v a
именце	i m ɛ n t͡s ɛ
имиграциски	i m i ɡ r a t͡s i s k i
имиграција	i m i ɡ r a t͡s i j a
имитаторка	i m i t a t ɔ r k a
имотност	i m ɔ t n ɔ s t
императорка	i m p ɛ r a t ɔ r k a
импресија	i m p r ɛ s i j a
импровизаторка	i m p r ɔ v i z a t ɔ r k a
импровизација	i m p r ɔ v i z a t͡s i j a
имунологија	i m u n ɔ ɫ ɔ ɡ i j a
инаетчија	i n a ɛ t t͡ʃ i j a
инаквост	i n a k v ɔ s t
инаку	i n a k u
инвестициски	i ɱ v ɛ s t i t͡s i s k i
индексен	i n d ɛ k s ɛ n
индиец	i n d i j ɛ t͡s
индикација	i n d i k a t͡s i j a
индија	i n d i j a
индијка	i n d i j k a
инерција	i n ɛ r t͡s i j a
иницијаторка	i n i t͡s i j a t ɔ r k a
иницијација	i n i t͡s i j a t͡s i j a
инквизициски	i ŋ k v i z i t͡s i s k i
инквизиција	i ŋ k v i z i t͡s i j a
инкубациски	i ŋ k u b a t͡s i s k i
иновациски	i n ɔ v a t͡s i s k i
иновација	i n ɔ v a t͡s i j a
инсинуација	i n s i n u a t͡s i j a
инспекторка	i n s p ɛ k t ɔ r k a
инспекторски	i n s p ɛ k t ɔ r s k i
инспекциски	i n s p ɛ k t͡s i s k i
инсталациски	i n s t a ɫ a t͡s i s k i
инсталација	i n s t a ɫ a t͡s i j a
инструкторка	i n s t r u k t ɔ r k a
интеграциски	i n t ɛ ɡ r a t͡s i s k i
интеграција	i n t ɛ ɡ r a t͡s i j a
интеракција	i n t ɛ r a k t͡s i j a
интервју	i n t ɛ r v j u
интерен	i n t ɛ ɾ ɛ n
интерес	i n t ɛ ɾ ɛ s
интересчија	i n t ɛ r ɛ ʃ t͡ʃ i j a
интернационален	i n t ɛ r n a t͡s i j ɔ n a l ɛ n
интерпретациски	i n t ɛ r p r ɛ t a t͡s i s k i
интерпункциски	i n t ɛ r p u ŋ k t͡s i s k i
интонациски	i n t ɔ n a t͡s i s k i
интонација	i n t ɔ n a t͡s i j a
интранет	i n t r a n ɛ t
интуиција	i n t u i t͡s i j a
инфлациски	i n f ɫ a t͡s i s k i
инфлација	i n f ɫ a t͡s i j a
информатика	i ɱ f ɔ r m a t i k a
информатичарски	i ɱ f ɔ r m a t i t͡ʃ a r s k i
информациски	i ɱ f ɔ r m a t͡s i s k i
инфузија	i n f u z i j a
ираде	i ɾ a d ɛ
ирак	i r a k
иран	i r a n
иридиум	i r i d i j u m
ироничност	i r ɔ n i t͡ʃ n ɔ s t
иселеничка	i s ɛ l ɛ n i t͡ʃ k a
иселенички	i s ɛ l ɛ n i t͡ʃ k i
иселеништво	i s ɛ l ɛ n i ʃ t v ɔ
исечок	i s ɛ t͡ʃ ɔ k
искача	i s k a t͡ʃ a
искашлува	i s k a ʃ ɫ u v a
исклучив	i s k ɫ u t͡ʃ i f
исклучиво	i s k ɫ u t͡ʃ i v ɔ
исклучителност	i s k ɫ u t͡ʃ i t ɛ ɫ n ɔ s t
ископува	i s k ɔ p u v a
искористува	i s k ɔ r i s t u v a
искорнува	i s k ɔ r n u v a
искосува	i s k ɔ s u v a
искра	i s k r a
искреност	i s k r ɛ n ɔ s t
искривеност	i s k r i v ɛ n ɔ s t
искривоколчува	i s k r i v ɔ k ɔ ɫ t͡ʃ u v a
искривува	i s k r i v u v a
искричка	i s k r i t͡ʃ k a
искрснува	i s k r̩ s n u v a
иследи	i s l ɛ d i
исончаност	i s ɔ n t͡ʃ a n ɔ s t
испакнатост	i s p a k n a t ɔ s t
испива	i s p i v a
испита	i s p i t a
испитувач	i s p i t u v a t͡ʃ
испише	i s p i ʃ ɛ
исплата	i s p ɫ a t a
исплатливост	i s p ɫ a t l i v ɔ s t
испливува	i s p l i v u v a
испобаци	i s p ɔ b a t͡s i
испобега	i s p ɔ b ɛ ɡ a
испобрише	i s p ɔ b r i ʃ ɛ
испобрка	i s p ɔ b r̩ k a
исповади	i s p ɔ v a d i
исповедалница	i s p ɔ v ɛ d a ɫ n i t͡s a
исповеден	i s p ɔ v ɛ d ɛ n
исповедник	i s p ɔ v ɛ d n i k
исповеднички	i s p ɔ v ɛ d n i t͡ʃ k i
исповитка	i s p ɔ v i t k a
исповрти	i s p ɔ v r̩ t i
испогази	i s p ɔ ɡ a z i
испогмечи	i s p ɔ ɡ m ɛ t͡ʃ i
испогради	i s p ɔ ɡ r a d i
испогреши	i s p ɔ ɡ r ɛ ʃ i
испогризе	i s p ɔ ɡ r i z ɛ
исподвлече	i s p ɔ d v l ɛ t͡ʃ ɛ
испожени	i s p ɔ ʒ ɛ n i
испозаборави	i s p ɔ z a b ɔ ɾ a v i
испозагине	i s p ɔ z a ɡ i n ɛ
испозакачи	i s p ɔ z a k a t͡ʃ i
испозапали	i s p ɔ z a p a l i
испозатвори	i s p ɔ z a t v ɔ ɾ i
испоздрави	i s p ɔ z d r a v i
испоказни	i s p ɔ k a z n i
испокара	i s p ɔ k a ɾ a
испокаса	i s p ɔ k a s a
испоколе	i s p ɔ k ɔ l ɛ
испокорне	i s p ɔ k ɔ r n ɛ
испокраде	i s p ɔ k r a d ɛ
испокрпи	i s p ɔ k r̩ p i
испокубе	i s p ɔ k u b ɛ
испокупи	i s p ɔ k u p i
исполаже	i s p ɔ ɫ a ʒ ɛ
исполепи	i s p ɔ l ɛ p i
исползи	i s p ɔ ɫ z i
исполнителност	i s p ɔ ɫ n i t ɛ ɫ n ɔ s t
испомажи	i s p ɔ m a ʒ i
испомачка	i s p ɔ m a t͡ʃ k a
испомоча	i s p ɔ m ɔ t͡ʃ a
испонарача	i s p ɔ n a ɾ a t͡ʃ a
испонастине	i s p ɔ n a s t i n ɛ
испонаучи	i s p ɔ n a u t͡ʃ i
испоначичка	i s p ɔ n a t͡ʃ i t͡ʃ k a
испообеси	i s p ɔ ɔ b ɛ s i
испооговара	i s p ɔ ɔ ɡ ɔ v a ɾ a
испоотвори	i s p ɔ ɔ t v ɔ ɾ i
испопрати	i s p ɔ p r a t i
испопродаде	i s p ɔ p r ɔ d a d ɛ
испопрска	i s p ɔ p r̩ s k a
испопука	i s p ɔ p u k a
испоразбуди	i s p ɔ r a z b u d i
испорака	i s p ɔ ɾ a k a
испорачувач	i s p ɔ r a t͡ʃ u v a t͡ʃ
испоруга	i s p ɔ ɾ u ɡ a
испосакати	i s p ɔ s a k a t i
испосере	i s p ɔ s ɛ ɾ ɛ
испосече	i s p ɔ s ɛ t͡ʃ ɛ
испосник	i s p ɔ s n i k
испоснички	i s p ɔ s n i t͡ʃ k i
испосништво	i s p ɔ s n i ʃ t v ɔ
испостиска	i s p ɔ s t i s k a
испотепа	i s p ɔ t ɛ p a
испотпише	i s p ɔ t p i ʃ ɛ
испотутка	i s p ɔ t u t k a
испоубие	i s p ɔ u b i j ɛ
испоумре	i s p ɔ u m r ɛ
испоуништи	i s p ɔ u n i ʃ t i
испоутне	i s p ɔ u t n ɛ
испофаќа	i s p ɔ f a c a
испофрла	i s p ɔ f r̩ ɫ a
испохефта	i s p ɔ x ɛ f t a
испоцрка	i s p ɔ t͡s r̩ k a
испочитува	i s p ɔ t͡ʃ i t u v a
испразнува	i s p r a z n u v a
испрекинатост	i s p r ɛ k i n a t ɔ s t
испреплетеност	i s p r ɛ p l ɛ t ɛ n ɔ s t
испреплетува	i s p r ɛ p l ɛ t u v a
испржува	i s p r̩ ʒ u v a
испруженост	i s p r u ʒ ɛ n ɔ s t
испукува	i s p u k u v a
испупченост	i s p u p t͡ʃ ɛ n ɔ s t
испупчува	i s p u p t͡ʃ u v a
испцуе	i s p t͡s u ɛ
истанченост	i s t a n t͡ʃ ɛ n ɔ s t
истенчува	i s t ɛ n t͡ʃ u v a
истиснува	i s t i s n u v a
истишува	i s t i ʃ u v a
истовара	i s t ɔ v a ɾ a
истовремено	i s t ɔ v r ɛ m ɛ n ɔ
истовременост	i s t ɔ v r ɛ m ɛ n ɔ s t
истоименик	i s t ɔ i m ɛ n i k
историчарка	i s t ɔ r i t͡ʃ a r k a
источњак	i s t ɔ t͡ʃ ɲ a k
истоштува	i s t ɔ ʃ t u v a
истражувачка	i s t r a ʒ u v a t͡ʃ k a
истребувач	i s t r ɛ b u v a t͡ʃ
истребувачка	i s t r ɛ b u v a t͡ʃ k a
истрелува	i s t r ɛ ɫ u v a
истресува	i s t r ɛ s u v a
истрчува	i s t r̩ t͡ʃ u v a
истумба	i s t u m b a
исушува	i s u ʃ u v a
исфаќа	i s f a c a
исфрлен	i s f r̩ l ɛ n
исходен	i s x ɔ d ɛ n
исцицува	i s t͡s i t͡s u v a
исцрнува	i s t͡s r̩ n u v a
исцрпеност	i s t͡s r̩ p ɛ n ɔ s t
исцрпност	i s t͡s r̩ p n ɔ s t
исцрта	i s t͡s r̩ t a
исцртува	i s t͡s r̩ t u v a
исцрцорува	i s t͡s r̩ t͡s ɔ ɾ u v a
исчистува	i ʃ t͡ʃ i s t u v a
итербиум	i t ɛ r b i j u m
итност	i t n ɔ s t
итрец	i t r ɛ t͡s
итрина	i t r i n a
итрост	i t r ɔ s t
ич	i t͡ʃ
ишарет	i ʃ a ɾ ɛ t
ишка	i ʃ k a
ишмукува	i ʃ m u k u v a
ишне	i ʃ n ɛ
кабел	k a b ɛ ɫ
кабелче	k a b ɛ ɫ t͡ʃ ɛ
кабул	k a b u ɫ
кабулски	k a b u ɫ s k i
кавал	k a v a ɫ
кавалче	k a v a ɫ t͡ʃ ɛ
кавгаџика	k a v ɡ a d͡ʒ i k a
каде	k a d ɛ
кадифе	k a d i f ɛ
кадија	k a d i j a
кадра	k a d r a
кадравост	k a d r a v ɔ s t
кажигаз	k a ʒ i ɡ a s
казанџија	k a z a n d͡ʒ i j a
казахстан	k a z a x s t a n
казненик	k a z n ɛ n i k
каивче	k a i f t͡ʃ ɛ
каиш	k a i ʃ
како	k a k ɔ
какофонија	k a k ɔ f ɔ n i j a
кактус	k a k t u s
кал	k a ɫ
кале	k a l ɛ
календар	k a l ɛ n d a r
калиум	k a l i j u m
калкан	k a ɫ k a n
калорија	k a ɫ ɔ ɾ i j a
калуѓерство	k a ɫ u ɟ ɛ r s t v ɔ
калфа	k a ɫ f a
камион	k a m i j ɔ n
камионче	k a m i j ɔ n t͡ʃ ɛ
камо	k a m ɔ
камоли	k a m ɔ l i
камшик	k a m ʃ i k
камшиче	k a m ʃ i t͡ʃ ɛ
канада	k a n a d a
канбера	k a m b ɛ ɾ a
канберски	k a m b ɛ r s k i
кандило	k a n d i ɫ ɔ
кандилце	k a n d i ɫ t͡s ɛ
капак	k a p a k
капинов	k a p i n ɔ f
капнатост	k a p n a t ɔ s t
кара	k a ɾ a
карактеризација	k a ɾ a k t ɛ ɾ i z a t͡s i j a
каранфилче	k a r a ɱ f i ɫ t͡ʃ ɛ
каросерија	k a ɾ ɔ s ɛ ɾ i j a
карта	k a r t a
карти	k a r t i
картичка	k a r t i t͡ʃ k a
картографија	k a r t ɔ ɡ r a f i j a
карфиол	k a r f i j ɔ ɫ
карши	k a r ʃ i
каса	k a s a
касиер	k a s i j ɛ r
касиерка	k a s i j ɛ r k a
касичка	k a s i t͡ʃ k a
касмет	k a s m ɛ t
касметлија	k a s m ɛ t l i j a
каснатина	k a s n a t i n a
каснува	k a s n u v a
кастрација	k a s t r a t͡s i j a
кат	k a t
каталог	k a t a ɫ ɔ k
катанец	k a t a n ɛ t͡s
катанче	k a t a n t͡ʃ ɛ
катастарски	k a t a s t a r s k i
катаљарда	k a t a l a r d a
категоризација	k a t ɛ ɡ ɔ ɾ i z a t͡s i j a
катедрала	k a t ɛ d r a ɫ a
катраноса	k a t r a n ɔ s a
катче	k a t t͡ʃ ɛ
катјон	k a t j ɔ n
кафе	k a f ɛ
кафез	k a f ɛ s
кафенце	k a f ɛ n t͡s ɛ
кафеџија	k a f ɛ d͡ʒ i j a
кафиња	k a f i ɲ a
кафуле	k a f u l ɛ
каца	k a t͡s a
каци	k a t͡s i
качамак	k a t͡ʃ a m a k
качество	k a t͡ʃ ɛ s t v ɔ
каша	k a ʃ a
кашичка	k a ʃ i t͡ʃ k a
кај	k a j
кајгана	k a j ɡ a n a
кајсиичка	k a j s i i t͡ʃ k a
кајсија	k a j s i j a
кајче	k a j t͡ʃ ɛ
квадрат	k v a d r a t
квадратче	k v a d r a t t͡ʃ ɛ
квалификација	k v a l i f i k a t͡s i j a
кварт	k v a r t
квас	k v a s
квасец	k v a s ɛ t͡s
кваси	k v a s i
квебек	k v ɛ b ɛ k
квислинг	k v i s l i ŋ k
келнер	k ɛ ɫ n ɛ r
келнерка	k ɛ ɫ n ɛ r k a
кенгурче	k ɛ ŋ ɡ u r t͡ʃ ɛ
кепец	k ɛ p ɛ t͡s
кибернетика	k i b ɛ r n ɛ t i k a
кибрит	k i b r i t
кибритче	k i b r i t t͡ʃ ɛ
кивнува	k i v n u v a
киев	k i j ɛ f
киевски	k i j ɛ f s k i
килимар	k i l i m a r
килимарски	k i l i m a r s k i
килимарство	k i l i m a r s t v ɔ
килимче	k i l i m t͡ʃ ɛ
километарски	k i ɫ ɔ m ɛ t a r s k i
кимнува	k i m n u v a
кина	k i n a
кинематографија	k i n ɛ m a t ɔ ɡ r a f i j a
кинетика	k i n ɛ t i k a
кипарски	k i p a r s k i
киселкавост	k i s ɛ ɫ k a v ɔ s t
кифла	k i f ɫ a
кифличка	k i f l i t͡ʃ k a
кичма	k i t͡ʃ m a
кишињев	k i ʃ i ɲ ɛ f
кишињевски	k i ʃ i ɲ ɛ f s k i
клавичембала	k ɫ a v i t͡ʃ ɛ m b a ɫ a
клавичембало	k ɫ a v i t͡ʃ ɛ m b a ɫ ɔ
клада	k ɫ a d a
клапнува	k ɫ a p n u v a
класика	k ɫ a s i k a
класификациски	k ɫ a s i f i k a t͡s i s k i
класификација	k ɫ a s i f i k a t͡s i j a
клати	k ɫ a t i
клаустрофобија	k ɫ a u s t r ɔ f ɔ b i j a
клацка	k ɫ a t͡s k a
клекнува	k l ɛ k n u v a
клема	k l ɛ m a
клен	k l ɛ n
клептоманија	k l ɛ p t ɔ m a n i j a
клер	k l ɛ r
клетвен	k l ɛ t v ɛ n
клетка	k l ɛ t k a
кликнува	k l i k n u v a
климатизација	k l i m a t i z a t͡s i j a
клинички	k l i n i t͡ʃ k i
клинче	k l i n t͡ʃ ɛ
клистир	k l i s t i r
клитика	k l i t i k a
клише	k l i ʃ ɛ
клоцнува	k ɫ ɔ t͡s n u v a
клумка	k ɫ u m k a
клунка	k ɫ u ŋ k a
клуч	k ɫ u t͡ʃ
клуче	k ɫ u t͡ʃ ɛ
кметов	k m ɛ t ɔ f
кметува	k m ɛ t u v a
кнежевства	k n ɛ ʒ ɛ f s t v a
кнежевство	k n ɛ ʒ ɛ f s t v ɔ
кнежество	k n ɛ ʒ ɛ s t v ɔ
кнез	k n ɛ s
книга	k n i ɡ a
книгава	k n i ɡ a v a
книгана	k n i ɡ a n a
книгата	k n i ɡ a t a
книги	k n i ɡ i
книгиве	k n i ɡ i v ɛ
книгине	k n i ɡ i n ɛ
книгите	k n i ɡ i t ɛ
книго	k n i ɡ ɔ
книжар	k n i ʒ a r
книжарка	k n i ʒ a r k a
книжарница	k n i ʒ a r n i t͡s a
книжарски	k n i ʒ a r s k i
книжен	k n i ʒ ɛ n
книжуле	k n i ʒ u l ɛ
ко	k ɔ
коа	k ɔ a
кобила	k ɔ b i ɫ a
ковче	k ɔ f t͡ʃ ɛ
ковчест	k ɔ f t͡ʃ ɛ s t
кога	k ɔ ɡ a
код	k ɔ t
кодификација	k ɔ d i f i k a t͡s i j a
кодош	k ɔ d ɔ ʃ
кое	k ɔ ɛ
коза	k ɔ z a
козарски	k ɔ z a r s k i
козарство	k ɔ z a r s t v ɔ
козичка	k ɔ z i t͡ʃ k a
козметичар	k ɔ z m ɛ t i t͡ʃ a r
козметичарка	k ɔ z m ɛ t i t͡ʃ a r k a
кои	k ɔ i
кокиче	k ɔ k i t͡ʃ ɛ
кокори	k ɔ k ɔ ɾ i
кокосов	k ɔ k ɔ s ɔ f
кола	k ɔ ɫ a
колаче	k ɔ ɫ a t͡ʃ ɛ
колаченце	k ɔ ɫ a t͡ʃ ɛ n t͡s ɛ
колбас	k ɔ ɫ b a s
колебливост	k ɔ l ɛ b l i v ɔ s t
коледе	k ɔ l ɛ d ɛ
колекција	k ɔ l ɛ k t͡s i j a
колено	k ɔ l ɛ n ɔ
коленце	k ɔ l ɛ n t͡s ɛ
количество	k ɔ l i t͡ʃ ɛ s t v ɔ
колкав	k ɔ ɫ k a f
колку	k ɔ ɫ k u
колкумина	k ɔ ɫ k u m i n a
колокациски	k ɔ ɫ ɔ k a t͡s i s k i
колоквиум	k ɔ ɫ ɔ k v i j u m
колонизациски	k ɔ ɫ ɔ n i z a t͡s i s k i
колосек	k ɔ ɫ ɔ s ɛ k
команда	k ɔ m a n d a
комар	k ɔ m a r
комарец	k ɔ m a ɾ ɛ t͡s
комарци	k ɔ m a r t͡s i
комби	k ɔ m b i
комика	k ɔ m i k a
комисиски	k ɔ m i s i s k i
комичарка	k ɔ m i t͡ʃ a r k a
комичарски	k ɔ m i t͡ʃ a r s k i
комичност	k ɔ m i t͡ʃ n ɔ s t
коморач	k ɔ m ɔ ɾ a t͡ʃ
комотност	k ɔ m ɔ t n ɔ s t
компактност	k ɔ m p a k t n ɔ s t
компарација	k ɔ m p a r a t͡s i j a
компензација	k ɔ m p ɛ n z a t͡s i j a
компир	k ɔ m p i r
компиров	k ɔ m p i ɾ ɔ f
компирче	k ɔ m p i r t͡ʃ ɛ
комплексност	k ɔ m p l ɛ k s n ɔ s t
комплицираност	k ɔ m p l i t͡s i ɾ a n ɔ s t
композиторски	k ɔ m p ɔ z i t ɔ r s k i
композициски	k ɔ m p ɔ z i t͡s i s k i
компонента	k ɔ m p ɔ n ɛ n t a
компромис	k ɔ m p r ɔ m i s
компјутер	k ɔ m p j u t ɛ r
компјутеризација	k ɔ m p j u t ɛ ɾ i z a t͡s i j a
комунизам	k ɔ m u n i z a m
комшилак	k ɔ m ʃ i ɫ a k
конверзациски	k ɔ ɱ v ɛ r z a t͡s i s k i
конверзација	k ɔ ɱ v ɛ r z a t͡s i j a
конверзија	k ɔ ɱ v ɛ r z i j a
конгрес	k ɔ ŋ ɡ r ɛ s
кондензатор	k ɔ n d ɛ n z a t ɔ r
кондензација	k ɔ n d ɛ n z a t͡s i j a
кондиција	k ɔ n d i t͡s i j a
кондуктерка	k ɔ n d u k t ɛ r k a
кондуктерски	k ɔ n d u k t ɛ r s k i
конексија	k ɔ n ɛ k s i j a
конечно	k ɔ n ɛ t͡ʃ n ɔ
конзерваториум	k ɔ n z ɛ r v a t ɔ ɾ i j u m
конзервација	k ɔ n z ɛ r v a t͡s i j a
конзул	k ɔ n z u ɫ
конкуренција	k ɔ ŋ k u r ɛ n t͡s i j a
конотација	k ɔ n ɔ t a t͡s i j a
констатација	k ɔ n s t a t a t͡s i j a
конституција	k ɔ n s t i t u t͡s i j a
конта	k ɔ n t a
контактен	k ɔ n t a k t ɛ n
континент	k ɔ n t i n ɛ n t
контурен	k ɔ n t u ɾ ɛ n
