अं	ʌ̃ m
बिबाह	b i b ä ɦ ä̆
बिभिन्न	b i β ĩ nː ʌ
बियर	b i e̞ r
बियर	b i j ʌ ɾ
बिराटनगर	b i ɾ ä ʈ ɳ ʌ ɡ ʌ r
बिरामी	b i ɾ ä̃ m ĩ
बिरालो	b i ɾ ä l o
बिसौनी	b i s ʌ ũ̯ n ĩ
बिस्तारै	b i s t̪ ä ɾ ʌ i̯
बिस्तारो	b i s t̪ ä ɾ o
बिहा	b i j ä
बिहान	b i j ä̃ n ʌ
बिहिबार	b i ɦ i b ä r
बिहीबार	b i ɦ i b ä r
बुझ्नु	b u d͡z n ũ
बुढो	b u ɽ o
बुद्ध	b u d̪̚ d̪ʱ ʌ̤
बुद्धिचाल	b u d̪̚ d̪ʱ i̤ t͡s ä l
बुधबार	b u d̪ ʌ b ä r
बुबा	b u b ä
बुवा	b u w ä
बेइजिङ	b e i̯ d͡z ĩ ŋ
बेलुका	b e l u k ä
बैंक	b ʌ ĩ̯ ŋ k
बैंक	b ẽ ŋ k
बैजनी	b ʌ i̯ d͡z ʌ̃ n ĩ
बैसट्ठी	b ʌ i̯ s ʌ ʈ̚ ʈʰ i
बोका	b o k ä
ब्रह्मदेश	b r ʌ mː ʌ d̪ e s
ब्रह्माण्ड	b r ʌ mː ä̃ ɳ ɖ ʌ
ब्वाँसो	b w ä̃ s o
भ	bʱ ʌ̤
भक्तपुर	bʱ ʌ̤ k̚ t̪ ʌ p u r
भने	bʱ ʌ̤̃ n e
भनेर	bʱ ʌ̤̃ n e ɾ ʌ
भन्दा	bʱ ʌ̤̃ n̪ d̪ ä
भन्नु	bʱ ʌ̤̃ nː ũ
भरतपुर	bʱ ʌ̤ ɾ ʌ t̪̚ p u r
भाँच्नु	bʱ ä̤̃ t͡s n ũ
भाइ	bʱ ä̤ i̯
भाडा	bʱ ä̤ ɽ ä
भारत	bʱ ä̤ ɾ ʌ t̪
भालू	bʱ ä̤ l u
भाषा	bʱ ä̤ s ä
भिजेको	bʱ i̤ d͡z e k o
भिडियो	bʱ i̤ ɽ i j o
भिसा	bʱ i̤ s ä
भीर	bʱ i̤ r
भुइँ	bʱ ʌ̤̃ i̯
भुइँ	bʱ ṳ ĩ
भुइँचालो	bʱ ṳ ĩ t͡s ä l o
भुटान	bʱ ṳ ʈ ä̃ n
भुत्रो	bʱ ṳ t̪ r o
भूकम्प	bʱ ṳ k ʌ̃ m p ʌ
भूगोल	bʱ ṳ ɡ o l
भेट्नु	bʱ e̤ ʈ ɳ ũ
भैँसी	bʱ ʌ̤̃ i̯ s i
भैंसी	bʱ ʌ̤̃ i̯ s i
भोक	bʱ o̤ k
भोलि	bʱ o̤ l i
मङ्गलबार	m ʌ̃ ŋ ɡ ʌ l b ä r
मजेन्टा	m ʌ̃ d͡z ẽ ɳ ʈ ä
मन	m ʌ̃ n
मन्त्री	m ʌ̃ n̪ t̪ r i
मम	m ʌ̃ m ʌ
ममा	m ʌ̃ m ä
मराठी	m ʌ ɾ ä ʈʰ i
मरुभूमि	m ʌ ɾ u β ũ m ĩ
मर्नु	m ʌ r n ũ
मलाई	m ʌ l ä i̯
महिना	m ʌ i̯ n ä
महिला	m ʌ i̯ l ä
मा	m ä
माचिक्नी	m ä̃ t͡s i k n ĩ
माछा	m ä̃ t͡sʰ ä
माझ्नु	m ä̃ d͡z n ũ
मानिस	m ä̃ n ĩ s
माने	m ä̃ n e
मान्छे	m ä̃ n̻ t͡sʰ e
माफ	m ä ɸ
मार्ग	m ä r ɡ ʌ
मार्नु	m ä r n ũ
माला	m ä l ä
मासु	m ä s u
मिठो	m ĩ ʈʰ o
मिति	m ĩ t̪ i
मित्र	m ĩ t̪ r ʌ
मिनेट	m ĩ n e ʈ
मिस्सी	m ĩ sː i
मुख	m ũ kʰ
मुख्य	m ũ kʰ e
मुजी	m ũ d͡z i
मुटु	m ũ ʈ u
मुद्रा	m ũ d̪ r ä
मूल	m ũ l
मेरो	m e ɾ o
मोजा	m o d͡z ä
मोटरसाइकल	m o ʈ ʌ r s ä i̯ k ʌ l
मोड्नु	m o ɽ ɳ ũ
मौरी	m ʌ u̯ ɾ i
मौसम	m ʌ u̯ s ʌ̃ m
म्वाइँ	m w ä ĩ̯
यदि	e d̪ i
यस	e s
यसको	e s k o
यसमा	e s m ä
यसलाई	e s l ä i̯
यसले	e s l e
यसै	e s ʌ i̯
यहाँ	j ä̃
यहाँ	j ä̃ː
यहाँ	j ä̆ ɦ ä̤̃
यहाँ	ɦ j ä̃
यहाँको	j ä̆ ɦ ä̤̃ k o
यहाँमा	j ä̆ ɦ ä̤̃ m ä
यहाँलाई	j ä̆ ɦ ä̤̃ l ä i̯
यहाँले	j ä̆ ɦ ä̤̃ l e
यही	e i̯
या	j ä
यातायात	j ä t̪ ä j ä t̪
यानाति	j ä̃ n ä̃ t̪ i
यी	i
यूरोप	j u ɾ o p
योगदान	j o ɡ d̪ ä̃ n
योगदानहरू	j o ɡ d̪ ä̃ n ɦ ʌ ɾ u
रंडी	r ʌ̃ ɳ ɖ i
रक्सी	r ɒ k s i
रङ	r ʌ̃ ŋ
रङ्ग	r ʌ̃ ŋ
रङ्ग	r ʌ̃ ŋ ɡ ʌ
रङ्गीचङ्गी	r ʌ̃ ŋ ɡ i t͡s ʌ̃ ŋ ɡ i
रचना	r ʌ t͡s ʌ̃ n ä
रच्नु	r ʌ t͡s n ũ
रण्डी	r ʌ̃ ɳ ɖ i
रत्न	r ʌ t̪ n̪ ʌ
रन्डी	r ʌ̃ ɳ ɖ i
रमाइलो	r ʌ̃ m ä i̯ l o
रहनु	r ʌ ɦ ʌ̃ n ũ
राँबो	r ä̃ b o
राख्नु	r ä k̞ʰ n ũ
राजधानी	r ä d͡z d̪ʱ ä̤̃ n ĩ
राजा	r ä d͡z ä
रात	r ä t̪
राति	r ä t̪ i
रातो	r ä t̪ o
रामो	r ä̃ m o
राम्रो	r ä̃ m r o
राष्ट्र	r ä s̠ t̠ r ʌ
राष्ट्रपति	r ä s̠ t̠ r ʌ p ʌ t̪ i
रित्तो	r i t̪̚ t̪ o
रुख	r u k̞ʰ
रुनु	r ũ n ũ
रुपियाँ	r u p i j ä̃
रोक्नु	r o k n ũ
रोपनी	r o p ʌ̃ n ĩ
लक्ष्मी	l ʌ k s m ĩ
लक्ष्मी	l ʌ k̚ t͡sʰʲ m ĩ
लक्ष्मी	l ʌ t̚ t͡sʰ ĩ m ĩ
लगाउनु	l ʌ ɡ ä u̯ n ũ
लगानी	l ʌ ɡ ä̃ n ĩ
लघ्वातु	l ʌ ɡ̞ b ä t̪ u
लड्नु	l ʌ ɽ ɳ ũ
लसुन	l ʌ s ũ n
लाई	l ä i̯
लाउनु	l ä u̯ n ũ
लाख	l ä k̞ʰ
लागि	l ä ɡ i
लाग्नु	l ä ɡ n ũ
लाडो	l ä ɽ o
लामा	l ä̃ m ä
लामो	l ä̃ m o
लिनु	l ĩ n ũ
लुकाउनु	l u k ä u̯ n ũ
लुक्नु	l u k n ũ
लुगा	l u ɡ ä
लुम्बिनी	l ũ m b ĩ n ĩ
लेख	l e k̞ʰ
लेख	l e k̞ʰ ʌ
लेखहरू	l e k̞ʰ ɦ ʌ ɾ u
लेखिएको	l e k̞ʰ i e k o
लेखिनु	l e k̞ʰ ĩ n ũ
लेख्	l e k̞ʰ
लेख्न	l e k̞ʰ n ʌ
लेख्नु	l e k̞ʰ n ũ
लैङ्गिक	l ʌ ĩ̯ ŋ ɡ i k
वटा	o ʈ ä
वटा	w ʌ ʈ ä
वर्णमाला	b ʌ r n ʌ̃ m ä l ä
वर्णमाला	b ʌ r ɽ̃ ʌ̃ m ä l ä
वर्षा	b ʌ r s ä
वसन्त	b ʌ s ʌ̃ n̪ t̪ ʌ
वहाँ	w ä̃
वहाँ	w ä̆ ɦ ä̤̃
वहाँ	ɦ w ä̃
वहाँको	w ä̆ ɦ ä̤̃ k o
वहाँमा	w ä̆ ɦ ä̤̃ m ä
वहाँलाई	w ä̆ ɦ ä̤̃ l ä i̯
वहाँले	w ä̆ ɦ ä̤̃ l e
वाक्य	w ä k k e
वार्ता	b ä r t̪ ä
वार्तालाप	b ä r t̪ ä l ä p
विकास	b i k ä s
विकिपीडिया	w i k i p i ɽ i j ä
विजयादशमी	b i d͡z ʌ j ä d̪ ʌ s ʌ̃ m ĩ
विज्ञान	b i ɡ j ä̃ n
विडूर	b i ɽ u r
विद्यार्थी	b i d̪ j ä r t̪ʰ i
विभिन्न	b i β ĩ nː ʌ
विराटनगर	b i ɾ ä ʈ ɳ ʌ ɡ ʌ r
विवाह	b i b ä ɦ ä̆
विश्व	b i sː o
विषाणु	b i s ä ɽ̃ u
वृश्चिक	b ɾ i s t͡s i k
श	ʃ ʌ
शनिबार	s ʌ̃ n ĩ b ä r
शब्दकोश	s ʌ b̚ d̪ ʌ k o s
शब्दकोष	s ʌ b̚ d̪ ʌ k o s
शरद	s ʌ ɾ ʌ d̪
शान्त	s ä̃ n̪ t̪ ʌ
शास्त्र	s ä s t̪ r ʌ
शाह	s ä ɦ ä̆
शिक्षक	s i k̚ t͡sʰʲ ʌ k
शिक्षक	s i t̚ t͡sʲ ʌ k
शिक्षक	ʃ i k ʃ ʌ k
शिक्षा	s i k̚ t͡sʰʲ ä
शिक्षा	s i t̚ t͡sʰ j ä
शुक्रबार	s u k r ʌ b ä r
शुभ	s u β ʌ
शुभकामना	s u β ʌ k ä̃ m ʌ̃ n ä
शून्य	s ũ nː e
शून्य	s ũ nː ä
शौचालय	s ʌ u̯ t͡s ä l ʌ e̞
श्रावण	s r ä w ʌ ɽ̃
श्रेणी	s r e ɽ̃ i
श्रेष्ठ	s r e s̠ t̠ʰ ʌ
सँग	s ʌ̃ ŋ ɡ ʌ
संग	s ʌ̃ ŋ ɡ ʌ
संगति	s ʌ̃ ŋ ɡ ʌ t̪ i
संगीत	s ʌ̃ ŋ ɡ i t̪
संवाद	s ʌ̃ m b ä d̪
संस्कृत	s ʌ̃ n s k ɾ i t̪
संस्कृति	s ʌ̃ n s k ɾ i t̪ i
संस्कृति	s ʌ̃ s k ɾ i t̪ i
संस्था	s ʌ̃ n s t̪ʰ ä
सक्नु	s ʌ k n ũ
सक्नुहुन्छ	s ʌ k n ũ ɦ ũ n̻ t͡sʰ ʌ
सखर	s ʌ k̞ʰ ʌ r
सगरमाथा	s ʌ ɡ ʌ r m ä t̪ʰ ä
सङ्गति	s ʌ̃ ŋ ɡ ʌ t̪ i
सङ्गीत	s ʌ̃ ŋ ɡ i t̪
सड्सठ्ठी	s ʌ ɽ s ʌ ʈʰ ʈʰ i
सतचालीस	s ʌ t̪ t͡s ä l i s
सतसट्ठी	s ʌ t̪ ʌ s ʌ ʈ̚ ʈʰ i
सतहत्तर	s ʌ t̪ ʌ ɦ ʌ t̪̚ t̪ ʌ r
सत्तरी	s ʌ t̪̚ t̪ ʌ ɾ i
सत्ता	s ʌ t̪̚ t̪ ä
सत्ताईस	s ʌ t̪̚ t̪ ä i̯ s
सन्चै	s ʌ̃ n̻ t͡s ʌ i̯
सन्ताउन्न	s ʌ̃ n̪ t̪ ä u̯ nː ʌ
सन्तानब्बे	s ʌ̃ n̪ t̪ ä̃ n ʌ b̚ b e
सन्देश	s ʌ̃ n̪ d̪ e s
सन्सरबार्	s ʌ̃ n s ʌ ɾ ʌ b ä r
सपना	s ʌ p ʌ̃ n ä
सफा	s ʌ ɸ ä
समय	s ʌ̃ m ʌ e̞
समस्या	s ʌ̃ m ʌ s j ä
समस्याको	s ʌ̃ m ʌ s j ä k o
समाज	s ʌ̃ m ä̃ d͡z
समुद्र	s ʌ̃ m ũ d̪ r ʌ
समृद्ध	s ʌ̃ m ɾ i d̪̚ d̪ʱ ʌ̤
सम्पर्क	s ʌ̃ m p ʌ r k ʌ
सम्बन्धी	s ʌ̃ m b ʌ̃ n̪ d̪ʱ i̤
सम्म	s ʌ̃ mː ʌ
सय	s ʌ e̞
सरोज	s ʌ ɾ o d͡z
सहपाठी	s ʌ ɦ ʌ p ä ʈʰ i
सहायता	s ä̆ ɦ ä̤ e t̪ ä
सहि	s ʌ i̯
साँप	s ä̃ p
सांझ	s ä̃ d͡z
साइकल	s ä i̯ k ʌ l
साचो	s ä t͡s o
साट्नु	s ä ʈ ɳ ũ
साठी	s ä ʈʰ i
साढे	s ä ɽ e
सात	s ä t̪
साता	s ä t̪ ä
साथी	s ä t̪ʰ i
सानो	s ä̃ n o
साप	s ä p
सामान्य	s ä̃ m ä̃ nː e
सिंह	s ĩ ŋ ɦ ʌ
सिकाउनु	s i k ä u̯ n ũ
सिक्किम	s i k̚ k ĩ m
सिक्नु	s i k n ũ
सिपाही	s i p ä i̯
सिम्रिक	s ĩ m r i k
सिरानी	s i ɾ ä̃ n ĩ
सिसाकलम	s i s ä k ʌ l ʌ̃ m
सीपाही	s i p ä i̯
सुझाव	s u d͡z ä b
सुत्नु	s u t̪ n̪ u
सुन	s ũ n
सुन्तला	s ũ n̪ t̪ ʌ l ä
सुन्दर	s ũ n̪ d̪ ʌ r
सुन्ना	s ũ nː ä
सुन्नु	s ũ nː ũ
सुन्नुहोस्	s ũ nː ũ ɦ o s
सूर्य	s u rː e
सैंतालीस	s ʌ̃ i̯ t̪ ä l i s
सोधपुछ	s o d̪̚ p u t͡sʰ
सोध्नु	s o d̪ n̪ u
सोमबार	s õ m b ä r
सोमबार	s ʌ̃ u̯ b ä r
सोह्र	s o ɾ ʌ
स्याउ	s j ä u̯
स्वतन्त्र	s o t̪ ʌ̃ n̪ t̪ r ʌ
स्वागत	s w ä ɡ ʌ t̪
स्वादिलो	s w ä d̪ i l o
स्वास्नि	s w ä s n ĩ
हग्नु	ɦ ʌ ɡ n ũ
हजार	ɦ ʌ d͡z ä r
हप्ता	ɦ ʌ p̚ t̪ ä
हप्‍ता	ɦ ʌ p̚ t̪ ä
हरियो	ɦ ʌ ɾ i j o
हरेक	ɦ ʌ ɾ e k
हवाईजहाज	ɦ ʌ w ä i̯ d͡z ä̆ ɦ ä̤ d͡z
हस्कनु	ɦ ʌ s k ʌ̃ n ũ
हस्तमैथुन	ɦ ʌ s t̪ ʌ̃ m ʌ i̯ t̪ʰ ũ n
हाँक्नु	ɦ ä̃ k n ũ
हाँसो	ɦ ä̃ s o
हाँस्नु	ɦ ä̃ s n ũ
हाइड्रोजन	ɦ ä i̯ ɖ r o d͡z ʌ̃ n
हात	ɦ ä t̪
हात्ती	ɦ ä t̪̚ t̪ i
हामी	ɦ ä̃ m ĩ
हामीमा	ɦ ä̃ m ĩ m ä
हामीलाई	ɦ ä̃ m ĩ l ä i̯
हामीले	ɦ ä̃ m ĩ l e
हाम्रो	ɦ ä̃ m r o
हावा	ɦ ä w ä
हिँड्नु	ɦ ĩ ɽ ɳ ũ
हिन्दी	ɦ ĩ n̪ d̪ i
हिमाल	ɦ ĩ m ä l
हिमालय	ɦ ĩ m ä l ʌ e̞
हुकुम	ɦ u k ũ m
हुनु	ɦ ũ n ũ
हुनुहुन्छ	ɦ ũ n ũ ɦ ũ n̻ t͡sʰ ʌ
हुनुहुन्न	ɦ ũ n ũ ɦ ũ nː ʌ
हुनेछ	ɦ ũ n e t͡sʰ ʌ
हुन्छ	ɦ ũ n̻ t͡sʰ ʌ
हुन्छन्	ɦ ũ n̻ t͡sʰ ʌ̃ n
हृदय	ɾ i d̪ ʌ e̞
हेटौडा	ɦ e ʈ ʌ u̯ ɽ ä
हेर्नु	ɦ e r n ũ
हेर्नुहोस्	ɦ e r n ũ ɦ o s
होइन	ɦ o ĩ̯ n ʌ
होइनौ	ɦ o ĩ̯ n ʌ u̯
होईन	ɦ o ĩ̯ n ʌ
होला	ɦ o l ä
ह्रस्व	r ʌ sː o
