'n	ə
selde	s ɛ l d ə
selmaat	s ɛ l m ɑː t
sending	s ɛ n d ə ŋ
sent	s ɛ n t
serp	s ɛ r p
servet	s ə r f ɛ t
seun	s e ø n
seuntjie	s e ø n k i
seën	s ɪ ə̯ n
siek	s i k
siektekiem	s i k t ə k i m
sien	s i n
sierwa	s i r v ɑː
sigbaar	s ə χ b ɑː r
siklus	s i k l œ s
silwer	s ə l v ə r
sin	s ə n
sing	s ə ŋ
sink	s ə ŋ k
sirkel	s ə r k ə l
sirkus	s ə r k œ s
sit	s ə t
sjokolade	ʃ ʊ ə̯ k ʊ ə̯ l ɑː d ə
skaamte	s k ɑː m t ə
skaamteloos	s k ɑː m t ə l ʊ ə̯ s
skaap	s k ɑː p
skaars	s k ɑː r s
skaatsplank	s k ɑ t s p l a ŋ k
skadu	s k ɑː d y
skaduwee	s k ɑː d ə v i ə̯
skandelik	s k a n d ə l ə k
skare	s k ɑː r ə
skarminkel	s k a r m ə ŋ k ə l
skat	s k a t
skedel	s k ɪ ə̯ d ə l
skiet	s k i t
skildery	s k ə l d ə r ə i̯
skim	s k ə m
skip	s k ə p
skoen	s k u n
skoolvoeding	s k ʊ ə̯ l f u d ə ŋ
skoon	s k ʊ ə̯ n
skoorsteen	s k ʊ ə̯ r s t ɪ ə̯ n
skoot	s k ʊ ə t
skottelgoed	s k ɔ t ə l χ u t
skroef	s k r u f
skroewe	s k r u v ə
skuld	s k œ l t
skyf	s k ə i f
skêr	s k ɛː r
slaan	s l ɑː n
slaapkamer	s l ɑː p k ɑː m ə r
slaat	s l ɑː t
slagoffer	s l a χ ɔ f ə r
slak	s l a k
slank	s l a ŋ k
slavin	s l ɑː v ə n
slawe	s l ɑː v ə
sleutel	s l ɪ ø t ə l
sloep	s l u p
sluit	s l œ i t
slurp	s l œ r p
smid	s m ə t
smous	s m œ u̯ s
snaaks	s n ɑː k s
snags	s n a χ s
snawel	s n ɑː v ə l
sneeu	s n i u
snert	s n ɛ r t
snik	s n ə k
snoek	s n u k
snol	s n ɔ l
snorkel	s n ɔ r k ə l
soen	s u n
soet	s u t
soewerein	s u ʋ ə r ə i n
soewereiniteit	s u ʋ ə r ə i n i t ə i t
sog	s ɔ χ
sok	s ɔ k
soldaat	s ɔ l d ɑː t
solder	s ɔ l d ə r
somers	s ʊ ə̯ m ə r s
soms	s ɔ m s
son	s ɔ n
sonder	s ɔ n d ə r
sonneblom	s ɔ n ə b l ɔ m
sonnig	s ɔ n ə χ
soontoe	s ʊ ə̯ n t u
soos	s ʊ ə s
sou	s œ u
sous	s œ u̯ s
spaarsamig	s p ɑː r s ɑː m ə χ
spaarvark	s p ɑː r f a r k
spaarwiel	s p ɑː r v i l
speelgrond	s p ɪ ə l χ r ɔ n t
spel	s p ɛ l
speld	s p ɛ l t
spieël	s p iː l
spieëls	s p iː l s
splinternuut	s p l ə n t ə r n y t
spoedbult	s p u t b œ l t
spoel	s p u l
spook	s p ʊ ə̯ k
spoorweg	s p oː r w ɛ χ
spraakvryheid	s p r ɑː k f r ə i̯ ɦ ə i̯ t
spyker	s p ə i̯ k ə r
staafkode	s t ɑː f k ʊ ə̯ d ə
staal	s t ɑː l
staan	s t ɑː n
staatshoof	s t ɑː t s ɦ ʊ ə̯ f
stad	s t a t
stadsaal	s t a t s ɑː l
stadspoort	s t a t s p ʊ ə̯ r t
staking	s t ɑː k ə ŋ
standbeeld	s t a n t b ɪ ə̯ l t
steen	s t ɪ ə̯ n
steenkool	s t ɪ ə̯ n k ʊ ə̯ l
stichting	s t ɪ x t ɪ ŋ
stigting	s t ə χ t ə ŋ
stillewe	s t ə l l ɪ ə̯ v ə
stilte	k ə l t ə
stoel	s t u l
stoep	s t u p
stof	s t ɔ f
stokkielekker	s t ɔ k i l ɛ k ə r
stol	s t ɔ l
stoom	s t ʊ ə̯ m
stoomroller	s t ʊ ə̯ m r ɔ l ə r
stowwe	s t ɔ v ə
straal	s t r ɑː l
straatvrou	s t r ɑː t f r œ u̯
strand	s t r a n t
strek	s t r ɛ k
strepieskode	s t r ɪ ə̯ p i s k ʊ ə̯ d ə
strik	s t r ə k
stront	s t r ɔ n t
stroop	s t r ə ʊ̯ p
stroopwafel	s t r ʊ ə̯ p v ɑː f ə l
strydwa	s t r ə i t v ɑː
stug	s t œ χ
stuk	s t œ k
sug	s œ χ
suig	s œ i χ
suigstokkie	s œ i̯ χ s t ɔ k i
suiker	s œ i̯ k ə r
sus	s œ s
suster	s œ s t ə r
suur	s y r
swaan	s v ɑː n
sweep	s v ɪ ə̯ p
sweet	s v ɪ ə̯ t
swembad	s v ə m b a t
swembad	s v ɛ m b a t
sy	s ə i
sê	s ɛː
taal	t ɑː l
taalbeleid	t ɑː l b ə l ə i̯ t
tabernakel	t a b ə r n ɑː k ə l
tafel	t ɑː f ə l
tale	t ɑː l ə
tamatie	t a m ɑː t i
tandeborsel	t a n d ə b ɔ r s ə l
tandepasta	t a n d ə p a s t a
tandepasta	t a n ə p a s t a
tanzanië	t ɑ n z ɑː n i ə
te	t ə
tee	t ɪ ə̯
teef	t i ə f
teekoppie	t ɪ ə̯ k ɔ p i
teel	t i ə̯ l
teen	t ɪ ə n
teerpad	t ɪ ə̯ r p a t
tegniek	t ɛ χ n i k
teiken	t ə i̯ k ə n
teken	t i ə̯ k ə n
tekkie	t ɛ k i
telefoneer	t ɪ ə̯ l ə f ʊ ə̯ n ɪ ə̯ r
telefoon	t ɛ l ə f ʊ ə̯ n
telefoon	t ɪ ə̯ l ə f ʊ ə̯ n
telefoonhokkie	t ɛ l ə f ʊ ə̯ n h ɔ k i
telefoonhokkie	t ɪ ə̯ l ə f ʊ ə̯ n h ɔ k i
telg	t ɛ l χ
telluur	t ɛ l y r
theron	t r o n
theron	t r ɔ n
tiekie	t i k i
tiekieboks	t i k i b ɔ k s
tiet	t i t
tjap	t ʃ a p
tjorts	t ʃ ɔ r t s
toeka	t u k a
toenadering	t u n ɑː d ə r ə ŋ
toesig	t u s ə χ
toestel	t u s t ɛ l
tong	t ɔ ŋ
tonnel	t ɔ n ə l
tooi	t oː i̯
toonbank	t ʊ ə̯ n b a ŋ k
toor	t oː r
tor	t ɔ r
toring	t ʊ ə̯ r ə ŋ
tot	t ɔ t
totsiens	t ɔ t͡s iː n s
tou	t œ u̯
traan	t r ɑː n
trap	t r a p
tree	t r ɪ ə̯
trein	t r ə i n
trek	t r æ k
tsaar	t͡s ɑː r
tsjeggies	t ʃ ɛ χ i s
tuin	t œ i̯ n
tuis	t œ i̯ s
tuiste	t œ i̯ s t ə
twee	t v e ə
twee	t v ɪ ə̯
u	y
ui	œ j
uitdrukking	œ i̯ t d r œ k ə ŋ
uitjie	œ j k i
uitoefen	œ i t u f ə n
uitspraakwoordeboek	œ i̯ t s p r ɑː k v o ə̯ r d ə b u k
uitstel	œ i̯ t s t ɛ l
uittog	œ i̯ t ɔ χ
universiteit	y n i v ɛ r s i t ə i̯ t
ure	y r ə
uur	y r
vaal	f ɑː l
vaartuig	f ɑː r t œ i̯ χ
vader	f ɑː d ə r
val	f a l
van	f a n
vanaand	f ə n ɑː n t
vandag	f ə n d a χ
vandeesweek	f ə n d ɪ ə̯ s v ɪ ə̯ k
vangs	f a ŋ s
vannag	f ə n a χ
vars	f a r s
vat	f a t
veel	f ɪ ə l
veertig	f ɪ ə̯ r t ə χ
veiligheid	f ə i̯ l ə χ ɦ ə i̯ t
veiling	f ə i̯ l ə ŋ
vel	f ɛ l
veldbrand	f ɛ l t b r a n t
veldfliek	f ɛ l t f l i k
veldslag	f ɛ l t s l a χ
ver	f ɛ r
veral	f ə r a l
veras	f ə r a s
verbeelding	f ə r b ɪ ə̯ l d ə ŋ
verbrysel	f ə r b r ə i̯ s ə l
verby	f ə r b ə i̯
verbygaan	f ə r b ə i̯ χ ɑː n
verdwyn	f ə r d w ɛ i n
verf	f ɛ r f
vergeef	f ə r χ ɪ ə̯ f
vergeet	f ə r χ ɪ ə̯ t
vergewe	f ə r χ ɪ ə̯ v ə
verjaardag	f ə r j ɑː r d a χ
verjaarsdag	f ə r j ɑː r s d a χ
verkeer	f ə r k ɪ ə r
verkenner	f ə r k ɛ n ə r
verlies	f ə r l i s
verloor	f ə r l ʊ ə r
vermaak	f ə r m ɑː k
verpas	f ə r p a s
verras	f ə r a s
verrot	f ə r ɔ t
vers	f ɛ r s
versaak	f ə r s ɑː k
versekering	f ə r s ɪ ə̯ k ə r ə ŋ
versie	f ɛ r s i
versigtig	f ə r s ə χ t ə χ
versin	f ə r s ə n
verskiet	f ə r s k i t
verslaan	f ə r s l ɑː n
verspil	f ə r s p ə l
verstaan	f ə r s t ɑː n
versuip	f ə r s œ i̯ p
vertrek	f ə r t r æː k
verveling	f ə r f ɪ ə̯ l ə ŋ
verwaarloos	f ə r v ɑː r l ʊ ə̯ s
verwant	f ə r v ɑ n t
verwoes	f ə r v u s
verwoesting	f ə r v u s t ə ŋ
verwyder	f ə r v ə i̯ ə r
verwysing	f ə r ʋ ə i̯ s ə ŋ
vesel	v ɪ ə̯ s ə l
veselperske	v ɪ ə̯ s ə l p ɛ r s k ə
veteraanmotor	v ɪ ə̯ t ə r ɑː n m ʊ ə̯ t ə r
vinger	f ə ŋ ə r
vink	f ə ŋ k
viool	f i ʊ ə̯ l
vir	f ə r
vis	f ə s
visse	f ə s ə
visser	f ə s ə r
vlak	f l a k
vlakte	f l a k t ə
vlam	f l a m
vleg	f l ɛ χ
vleis	f l ə i s
vlerk	f l ɛ r k
vlieg	f l i χ
vliegveld	f l iː χ f ɛ l t
vlinder	f l ə n d ə r
vloei	f l u i
vloeistof	f l u i s t ɔ f
vloer	f l u r
vloot	f l ʊ ə̯ t
vlootblou	f l ʊ ə̯ t b l œ u
vlugteling	f l œ χ t ə l ə ŋ
voedsaam	f u t s ɑː m
voetangel	f u t a ŋ ə l
voetstap	f u t s t a p
vokaal	f ʊ ə̯ k ɑː l
volg	f ɔ l χ
volharding	f ɔ l ɦ a r d ə ŋ
volk	f ɔ l k
volkslied	f ɔ l k s l i t
volle	f ɔ l ə
volste	f ɔ l s t ə
volste	ʋ ɔ l s t ə
vonk	v ɔ ŋ k
vonkprop	f ɔ ŋ k p r ɔ p
voor	f ʊ ə̯ r
voorbok	f ʊ ə̯ r b ɔ k
voordeur	f ʊ ə̯ r d ɪ ø r
voorgereg	f oː r χ ə r ɛ χ
voorkom	f ʊ ə r k ɔ m
vorm	f ɔ r m
vos	f ɔ s
vra	f r ɑː
vraag	f r ɑː χ
vrae	f r ɑː ə
vreemd	f r ɪ ə m t
vreemdeling	f r ɪ ə̯ m d ə l ə ŋ
vrees	f r ɪ ə s
vreet	f r ɪ ə t
vrot	f r ɔ t
vrugteskommel	f r œ χ t ə s k ɔ m ə l
vrydag	f r ə i d a χ
vuis	f œ i s
vuiste	f œ i s t ə
vulkaan	v œ l k ɑː n
vullis	f œ l ə s
vullis	f ə l ə s
vullisdrom	f œ l ə s d r ɔ m
vy	f ə i
vyand	f ə i̯ a n t
vyandig	f ə i̯ a n d ə χ
vygie	f ə i̯ χ i
wa	v ɑː
waagmoedig	v ɑː χ m u d ə χ
waardeer	v ɑː r d ɪ e̯ r
waarnatoe	v ɑː r n a t u
waatlemoen	v ɑ t l ə m u n
waatlemoen	v ɑː t l ə m u n
waens	v ɑː ə n s
wag	v a χ
walvis	v a l f ə s
wandelpad	v a n d ə l p a t
wantroue	v a n t r œ u̯ ə
wantrouig	v a n t r œ u̯ ə χ
warmte	v a r m t ə
wartlemoen	v ɑ r t l ə m u n
wasbak	v a s b a k
wat	v a t
water	v ɑː t ə r
waterlemoen	v ɑː t ə r l ə m u n
waterstof	v ɑː t ə r s t ɔ f
waterstofbom	v ɑː t ə r s t ɔ f b ɔ m
waterval	v ɑː t ə r f a l
watter	v a t ə r
waëns	v ɑː ə n s
wedloop	v ɛ t l ʊ ə̯ p
weemoed	v ɪ ə̯ m u t
wees	v ɪ ə s
weet	v ɪ ə t
weg	v ɛ χ
weggaan	v ɛ χ ɑː n
weggooi	v ɛ χ χ oː i̯
wen	v ɛ n
wenteltrap	v ɛ n t ə l t r a p
werk	ʋ ɛː r k
wese	v ɪ ə s ə
wet	v ɛ t
wig	v ə χ
wil	v ə l
wild	v ə l t
wildtuin	v ə l t œ i̯ n
wilg	v ə l χ
wind	v ə n t
winkel	v ə ŋ k ə l
winkelsentrum	v ə ŋ k ə l s ɛ n t r œ m
wisselkoers	v ə s ə l k uː r s
wit	v ə t
woensdag	v u n s d a χ
wolk	v ɔ l k
wonderlik	v ɔ n d ə r l ə k
woonstel	v ʊ ə̯ n s t ɛ l
woord	v ʊ ə r t
woordeboek	v u ə̯ r d ə b u k
word	v ɔ r t
wors	v ɔ r s
worshond	v ɔː r s ɦ ɔ n t
wrak	v r a k
wurg	v œ r χ
wy	v ə i
wyd	v ə i̯ t
wyn	v ə i̯ n
wynruit	v ə i̯ n r œ i̯ t
wysheid	v ə i̯ s ɦ ə i̯ t
wêreld	v ɛː r ə l t
wîe	v əː ə
ysig	ə i̯ s ə χ
yster	ə i s t ə r
ystervark	ə i̯ s t ə r f a r k
