わ゙	b a̠̠
かいかん	k a̠ i k ã̠ ɴ
がいかん	ɡ a̠ i k ã̠ ɴ
かいが	k a̠ i ɡ a̠
かいがい	k a̠ i ɡ a̠ i
かいがく	k a̠ i ɡ a̠ k ɯ̟ᵝ
かいがら	k a̠ i ɡ a̠ ɾ a̠
かいがん	k a̠ i ɡ ã̠ ɴ
かいがんせん	k a̠ i ɡ ã̠ ɰ̃ s ẽ̞ ɴ
かいき	k a̠ i kʲ i
かいき	k a̠ i kʲ i
がいきけん	ɡ a̠ i kʲ i k ẽ̞ ɴ
かいきせん	k a̠ i kʲ i̥ s ẽ̞ ɴ
かいきゃく	k a̠ i kʲ a̠ k ɯ̟ᵝ
かいきゅう	k a̠ i kʲ ɨᵝː
がいきゅう	ɡ a̠ i kʲ ɨᵝː
かいきょ	k a̠ i kʲ o̞
かいきょう	k a̠ i kʲ o̞ː
かいきょう	k a̠ i kʲ o̞ː
かいきょうと	k a̠ i kʲ o̞ː t o̞
かいきん	k a̠ i kʲ ĩ ɴ
かいきん	k a̠ i kʲ ĩ ɴ
かいきん	k a̠ i kʲ ĩ ɴ
かいきんしょう	k a̠ i kʲ ĩ ɰ̃ ɕ o̞ː
かいぎ	k a̠ i ɡʲ i
かいぎ	k a̠ i ɡʲ i
かいぎしつ	k a̠ i ɡʲ i ɕ i t͡s ɨᵝ
うみうし	ɯ̟ᵝ mʲ i ɯ̟ᵝ ɕ i
かいぎょ	k a̠ i ɡʲ o̞
かいぎょう	k a̠ i ɡʲ o̞ː
かいぎょう	k a̠ i ɡʲ o̞ː
かいぐん	k a̠ i ɡ ɯ̟̃ᵝ ɴ
かいけい	k a̠ i k e̞ː
かいけいし	k a̠ i k e̞ː ɕ i
かいけつ	k a̠ i k e̞ t͡s ɨᵝ
かいけん	k a̠ i k ẽ̞ ɴ
かいけん	k a̠ i k ẽ̞ ɴ
かいけん	k a̠ i k ẽ̞ ɴ
かいけん	k a̠ i k ẽ̞ ɴ
がいけん	ɡ a̠ i k ẽ̞ ɴ
かいげつ	k a̠ i ɡ e̞ t͡s ɨᵝ
がいげんご	ɡ a̠ i ɡ ẽ̞ ŋ ɡ o̞
かいこ	k a̠ i k o̞
かいこ	k a̠ i k o̞
かいこ	k a̠ i k o̞
かいこう	k a̠ i k o̞ː
かいこう	k a̠ i k o̞ː
かいこう	k a̠ i k o̞ː
かいこう	k a̠ i k o̞ː
がいこう	ɡ a̠ i k o̞ː
がいこうかん	ɡ a̠ i k o̞ː k ã̠ ɴ
がいこうじれい	ɡ a̠ i k o̞ː ʑ i ɾ e̞ː
かいこく	k a̠ i k o̞ k ɯ̟ᵝ
がいこく	ɡ a̠ i k o̞ k ɯ̟ᵝ
がいこく	ɡ a̠ i k o̞ k ɯ̟ᵝ
がいこくご	ɡ a̠ i k o̞ k ɯ̟ᵝ ɡ o̞
がいこくじん	ɡ a̠ i k o̞ k ɯ̟ᵝ ʑ ĩ ɴ
がいこくじんきょうふしょう	ɡ a̠ i k o̞ k ɯ̟ᵝ ʑ ĩ ŋ ʲkʲ o̞ː ɸ ɯ̟ᵝ ɕ o̞ː
がいこくじんけんお	ɡ a̠ i k o̞ k ɯ̟ᵝ ʑ ĩ ŋ k ẽ̞ ɰ̃ o̞
がいこっかく	ɡ a̠ i k o̞ k̚ k a̠ k ɯ̟ᵝ
がいこつ	ɡ a̠ i k o̞ t͡s ɨᵝ
かいころく	k a̠ i k o̞ ɾ o̞ k ɯ̟ᵝ
かいこん	k a̠ i k õ̞ ɴ
かいこん	k a̠ i k õ̞ ɴ
かいこん	k a̠ i k õ̞ ɴ
かいご	k a̠ i ɡ o̞
かいご	k a̠ i ɡ o̞
がいご	ɡ a̠ i ɡ o̞
かいごう	k a̠ i ɡ o̞ː
かいさ	k a̠ i s a̠
かいさい	k a̠ i s a̠ i
かいさつ	k a̠ i s a̠ t͡s ɨᵝ
かいさつぐち	k a̠ i s a̠ t͡s ɨᵝ ɡ ɯ̟ᵝ t͡ɕ i
かいさん	k a̠ i s ã̠ ɴ
かいざん	k a̠ i z ã̠ ɴ
かいさん	k a̠ i s ã̠ ɴ
かいし	k a̠ i ɕ i
かいし	k a̠ i ɕ i
かいし	k a̠ i ɕ i
がいし	ɡ a̠ i ɕ i
がいして	ɡ a̠ i ɕ i t e̞
かいしめ	k a̠ i ɕ i m e̞
かいしゃ	k a̠ i ɕ a̠
かいしゃ	k a̠ i ɕ a̠
がいしゃ	ɡ a̠ i ɕ a̠
かいしゃいん	k a̠ i ɕ a̠ ĩ ɴ
かいしゃく	k a̠ i ɕ a̠ k ɯ̟ᵝ
かいしゃく	k a̠ i ɕ a̠ k ɯ̟ᵝ
かいしゅう	k a̠ i ɕ ɨᵝː
かいしゅう	k a̠ i ɕ ɨᵝː
がいしゅういっしょく	ɡ a̠ i ɕ ɨᵝː i ɕː o̞ k ɯ̟ᵝ
かいしゅうりつ	k a̠ i ɕ ɨᵝː ɾʲ i t͡s ɨᵝ
ガイシュツ	ɡ a̠ i ɕ ɨᵝ t͡s ɨᵝ
がいしゅつ	ɡ a̠ i ɕ ɨᵝ t͡s ɨᵝ
かいしょ	k a̠ i ɕ o̞
かいしょ	k a̠ i ɕ o̞
かいしょう	k a̠ i ɕ o̞ː
かいしょう	k a̠ i ɕ o̞ː
セイウチ	s e̞ː ɯ̟ᵝ t͡ɕ i
かいしょう	k a̠ i ɕ o̞ː
がいしょう	ɡ a̠ i ɕ o̞ː
かいしょく	k a̠ i ɕ o̞ k ɯ̟ᵝ
がいしょく	ɡ a̠ i ɕ o̞ k ɯ̟ᵝ
かいしょたい	k a̠ i ɕ o̞ t a̠ i
かいしん	k a̠ i ɕ ĩ ɴ
がいしん	ɡ a̠ i ɕ ĩ ɴ
かいじ	k a̠ i ʑ i
かいじ	k a̠ i ʑ i
かいじゅう	k a̠ i ʑ ɨᵝː
かいじゅう	k a̠ i ʑ ɨᵝː
がいじゅう	ɡ a̠ i ʑ ɨᵝː
かいじゅうえいが	k a̠ i ʑ ɨᵝː e̞ː ɡ a̠
かいじょ	k a̠ i ʑ o̞
かいじょう	k a̠ i ʑ o̞ː
かいじょう	k a̠ i ʑ o̞ː
かいじん	k a̠ i ʑ ĩ ɴ
かいじん	k a̠ i ʑ ĩ ɴ
がいじん	ɡ a̠ i ʑ ĩ ɴ
かいすいパンツ	k a̠ i s ɨᵝ i p ã̠ n t͡s ɨᵝ
かいすうけん	k a̠ i s ɨᵝː k ẽ̞ ɴ
かいする	k a̠ i s ɨᵝ ɾ ɯ̟ᵝ
がいする	ɡ a̠ i s ɨᵝ ɾ ɯ̟ᵝ
かいず	k a̠ i z ɨᵝ
かいせい	k a̠ i s e̞ː
かいせい	k a̠ i s e̞ː
かいせい	k a̠ i s e̞ː
かいせき	k a̠ i s e̞ kʲ i
かいせきがく	k a̠ i s e̞ kʲ i ɡ a̠ k ɯ̟ᵝ
かいせきりきがく	k a̠ i s e̞ kʲ i ɾʲ i kʲ i ɡ a̠ k ɯ̟ᵝ
かいせつ	k a̠ i s e̞ t͡s ɨᵝ
かいせつ	k a̠ i s e̞ t͡s ɨᵝ
かいせつ	k a̠ i s e̞ t͡s ɨᵝ
がいせつ	ɡ a̠ i s e̞ t͡s ɨᵝ
がいせつえん	ɡ a̠ i s e̞ t͡s ɨᵝ ẽ̞ ɴ
かいせん	k a̠ i s ẽ̞ ɴ
かいせん	k a̠ i s ẽ̞ ɴ
かいせん	k a̠ i s ẽ̞ ɴ
かいせん	k a̠ i s ẽ̞ ɴ
がいせん	ɡ a̠ i s ẽ̞ ɴ
がいせん	ɡ a̠ i s ẽ̞ ɴ
がいせん	ɡ a̠ i s ẽ̞ ɴ
かいぜん	k a̠ i z ẽ̞ ɴ
かいそ	k a̠ i s o̞
なまこ	n a̠ m a̠ k o̞
かいそう	k a̠ i s o̞ː
かいそう	k a̠ i s o̞ː
かいそう	k a̠ i s o̞ː
かいそう	k a̠ i s o̞ː
かいそう	k a̠ i s o̞ː
かいそう	k a̠ i s o̞ː
かいそうろく	k a̠ i s o̞ː ɾ o̞ k ɯ̟ᵝ
かいぞうど	k a̠ i z o̞ː d o̞
かいぞえにん	k a̠ i z o̞ e̞ ɲ̟ ĩ ɴ
かいぞく	k a̠ i z o̞ k ɯ̟ᵝ
かいぞく	k a̠ i z o̞ k ɯ̟ᵝ
かいぞくせん	k a̠ i z o̞ k ɯ̟̊ᵝ s ẽ̞ ɴ
かいぞくばん	k a̠ i z o̞ k ɯ̟ᵝ b ã̠ ɴ
かいぞくばん	k a̠ i z o̞ k ɯ̟ᵝ b ã̠ ɴ
かいたい	k a̠ i t a̠ i
かいたく	k a̠ i t a̠ k ɯ̟ᵝ
かいたくしゃ	k a̠ i t a̠ k ɯ̟ᵝ ɕ a̠
がいためほう	ɡ a̠ i t a̠ m e̞ h o̞ː
がいたん	ɡ a̠ i t ã̠ ɴ
かいだい	k a̠ i d a̠ i
かいだい	k a̠ i d a̠ i
かいだく	k a̠ i d a̠ k ɯ̟ᵝ
らっこ	ɾ a̠ k̚ k o̞
かいだん	k a̠ i d ã̠ ɴ
かいだん	k a̠ i d ã̠ ɴ
かいだん	k a̠ i d ã̠ ɴ
かいちく	k a̠ i t͡ɕ i k ɯ̟ᵝ
がいちゅう	ɡ a̠ i t͡ɕ ɨᵝː
かいちゅうでんとう	k a̠ i t͡ɕ ɨᵝː d ẽ̞ n t o̞ː
かいちょう	k a̠ i t͡ɕ o̞ː
かいちょう	k a̠ i t͡ɕ o̞ː
かいちょう	k a̠ i t͡ɕ o̞ː
かいちょう	k a̠ i t͡ɕ o̞ː
がいちょう	ɡ a̠ i t͡ɕ o̞ː
かいちょうふん	k a̠ i t͡ɕ o̞ː ɸ ɯ̟̃ᵝ ɴ
あいつ	a̠ i t͡s ɨᵝ
にお	ɲ̟ i o̞
かいつぶり	k a̠ i t͡s ɨᵝ b ɯ̟ᵝ ɾʲ i
かいて	k a̠ i t e̞
かいてい	k a̠ i t e̞ː
かいていばん	k a̠ i t e̞ː b ã̠ ɴ
かいてん	k a̠ i t ẽ̞ ɴ
かいてんずし	k a̠ i t ẽ̞ n d͡z ɨᵝ ɕ i
かいてんとびら	k a̠ i t ẽ̞ n t o̞ bʲ i ɾ a̠
かいてんドア	k a̠ i t ẽ̞ n d o̞ a̠
かいてんもくば	k a̠ i t ẽ̞ m m o̞ k ɯ̟ᵝ b a̠
がいでん	ɡ a̠ i d ẽ̞ ɴ
がいでん	ɡ a̠ i d ẽ̞ ɴ
かいとう	k a̠ i t o̞ː
かいとう	k a̠ i t o̞ː
かいとう	k a̠ i t o̞ː
かいとう	k a̠ i t o̞ː
がいとう	ɡ a̠ i t o̞ː
がいとう	ɡ a̠ i t o̞ː
かいとり	k a̠ i t o̞ ɾʲ i
かいどう	k a̠ i d o̞ː
かいちゅうどけい	k a̠ i d o̞ k e̞ː
うで	ɯ̟ᵝ d e̞
かいならす	k a̠ i n a̠ ɾ a̠ s ɨᵝ
かいなんけいはん	k a̠ i n ã̠ ŋ k e̞ː h ã̠ ɴ
かいにん	k a̠ i ɲ̟ ĩ ɴ
かいはい	k a̠ i h a̠ i
がいはく	ɡ a̠ i h a̠ k ɯ̟ᵝ
かいはくしつ	k a̠ i h a̠ k ɯ̟ᵝ ɕ i̥ t͡s ɨᵝ
がいはつ	ɡ a̠ i h a̠ t͡s ɨᵝ
かいばぼうかい	k a̠ i b a̠ b o̞ː k a̠ i
カイパーベルト	k a̠ i p a̠ː b e̞ ɾ ɯ̟ᵝ t o̞
あざらし	a̠ z a̠ ɾ a̠ ɕ i
かいびょう	k a̠ i bʲ o̞ː
かいびょう	k a̠ i bʲ o̞ː
かいびょう	k a̠ i bʲ o̞ː
かいふくたいい	k a̠ i ɸ ɯ̟ᵝ k ɯ̟ᵝ t a̠ i i
かいぶつ	k a̠ i b ɯ̟ᵝ t͡s ɨᵝ
かいぶん	k a̠ i b ɯ̟̃ᵝ ɴ
がいぶん	ɡ a̠ i b ɯ̟̃ᵝ ɴ
かいぶんしょ	k a̠ i b ɯ̟̃ᵝ ɰ̃ ɕ o̞
かいへい	k a̠ i h e̞ː
かいへい	k a̠ i h e̞ː
かいへいき	k a̠ i h e̞ː kʲ i
かいへいたい	k a̠ i h e̞ː t a̠ i
かいへん	k a̠ i h ẽ̞ ɴ
かいべん	k a̠ i b ẽ̞ ɴ
かいページ	k a̠ i p e̞ː ʑ i
かいほう	k a̠ i h o̞ː
かいほう	k a̠ i h o̞ː
かいほう	k a̠ i h o̞ː
がいほう	ɡ a̠ i h o̞ː
かいぼうがく	k a̠ i b o̞ː ɡ a̠ k ɯ̟ᵝ
カイマン	k a̠ i m ã̠ ɴ
かいみょう	k a̠ i mʲ o̞ː
がいむ	ɡ a̠ i m ɯ̟ᵝ
がいむしょう	ɡ a̠ i m ɯ̟ᵝ ɕ o̞ː
かいめつ	k a̠ i m e̞ t͡s ɨᵝ
かいめつてき	k a̠ i m e̞ t͡s ɨᵝ t e̞ kʲ i
かいめん	k a̠ i m ẽ̞ ɴ
かいもん	k a̠ i m õ̞ ɴ
がいや	ɡ a̠ i j a̠
がいやしゅ	ɡ a̠ i j a̠ ɕ ɨᵝ
かいゆ	k a̠ i j ɯ̟ᵝ
かいよう	k a̠ i j o̞ː
がいよう	ɡ a̠ i j o̞ː
かいようおせん	k a̠ i j o̞ː o̞ s ẽ̞ ɴ
かいようがく	k a̠ i j o̞ː ɡ a̠ k ɯ̟ᵝ
がいようらん	ɡ a̠ i j o̞ː ɾ ã̠ ɴ
くぐつ	k ɯ̟ᵝ ɡ ɯ̟ᵝ t͡s ɨᵝ
がいらい	ɡ a̠ i ɾ a̠ i
がいらいご	ɡ a̠ i ɾ a̠ i ɡ o̞
かいらいし	k a̠ i ɾ a̠ i ɕ i
かいらくしゅぎ	k a̠ i ɾ a̠ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i
かいらん	k a̠ i ɾ ã̠ ɴ
かいり	k a̠ i ɾʲ i
かいり	k a̠ i ɾʲ i
かいり	k a̠ i ɾʲ i
かいり	k a̠ i ɾʲ i
かいり	k a̠ i ɾʲ i
かいり	k a̠ i ɾʲ i
かいりくぐん	k a̠ i ɾʲ i k ɯ̟ᵝ ɡ ɯ̟̃ᵝ ɴ
がいりゃく	ɡ a̠ i ɾʲ a̠ k ɯ̟ᵝ
かいりゅう	k a̠ i ɾʲ ɨᵝː
かえる	k a̠ e̞ ɾ ɯ̟ᵝ
かいれんせき	k a̠ i ɾ ẽ̞ ɰ̃ s e̞ kʲ i
カイロ	k a̠ i ɾ o̞
かいろ	k a̠ i ɾ o̞
がいろ	ɡ a̠ i ɾ o̞
かいろう	k a̠ i ɾ o̞ː
えび	e̞ bʲ i
がいろじゅ	ɡ a̠ i ɾ o̞ ʑ ɨᵝ
カイロプラクター	k a̠ i ɾ o̞ p ɯ̟ᵝ ɾ a̠ k ɯ̟ᵝ t a̠ː
かいわい	k a̠ i ɰᵝ a̠ i
うなばら	ɯ̟ᵝ n a̠ b a̠ ɾ a̠
かいん	k a̠ ĩ ɴ
かう	k a̠ ɯ̟ᵝ
かう	k a̠ ɯ̟ᵝ
かう	k a̠ ɯ̟ᵝ
カウチ	k a̠ ɯ̟ᵝ t͡ɕ i
カウパーせん	k a̠ ɯ̟ᵝ p a̠ː s ẽ̞ ɴ
カウボーイ	k a̠ ɯ̟ᵝ b o̞ː i
ガウン	ɡ a̠ ɯ̟̃ᵝ ɴ
がうん	ɡ a̠ ɯ̟̃ᵝ ɴ
カウンタ	k a̠ ɯ̟̃ᵝ n t a̠
カウンター	k a̠ ɯ̟̃ᵝ n t a̠ː
カウンターストップ	k a̠ ɯ̟̃ᵝ n t a̠ː s ɨᵝ t o̞ p̚ p ɯ̟ᵝ
カウンターテナー	k a̠ ɯ̟̃ᵝ n t a̠ː t e̞ n a̠ː
かえうた	k a̠ e̞ ɯ̟ᵝ t a̠
かえしん	k a̠ e̞ ɕ ĩ ɴ
かえす	k a̠ e̞ s ɨᵝ
かえす	k a̠ e̞ s ɨᵝ
かえすがえす	k a̠ e̞ s ɨᵝ ɡ a̠ e̞ s ɨᵝ
へんしょ	h ẽ̞ ɰ̃ ɕ o̞
かえだま	k a̠ e̞ d a̠ m a̠
かえでか	k a̠ e̞ d e̞ k a̠
かえり	k a̠ e̞ ɾʲ i
かえりのかい	k a̠ e̞ ɾʲ i n o̞ k a̠ i
かえりみち	k a̠ e̞ ɾʲ i mʲ i t͡ɕ i
かえりみる	k a̠ e̞ ɾʲ i mʲ i ɾ ɯ̟ᵝ
かえりみる	k a̠ e̞ ɾʲ i mʲ i ɾ ɯ̟ᵝ
かえる	k a̠ e̞ ɾ ɯ̟ᵝ
かえる	k a̠ e̞ ɾ ɯ̟ᵝ
かえる	k a̠ e̞ ɾ ɯ̟ᵝ
かえる	k a̠ e̞ ɾ ɯ̟ᵝ
かえる	k a̠ e̞ ɾ ɯ̟ᵝ
かえる	k a̠ e̞ ɾ ɯ̟ᵝ
えび	e̞ bʲ i
かえる	k a̠ e̞ ɾ ɯ̟ᵝ
かえんびん	k a̠ ẽ̞ m bʲ ĩ ɴ
かえんほうしゃき	k a̠ ẽ̞ ɰ̃ h o̞ː ɕ a̠ kʲ i
あひる	a̠ ç i ɾ ɯ̟ᵝ
かおう	k a̠ o̞ː
かおかたち	k a̠ o̞ k a̠ t a̠ t͡ɕ i
かおげい	k a̠ o̞ ɡ e̞ː
カオス	k a̠ o̞ s ɨᵝ
かおだし	k a̠ o̞ d a̠ ɕ i
かおだち	k a̠ o̞ d a̠ t͡ɕ i
かおつき	k a̠ o̞ t͡s ɨᵝ kʲ i
かおみしり	k a̠ o̞ mʲ i ɕ i ɾʲ i
びじん	bʲ i ʑ ĩ ɴ
カオリャン	k a̠ o̞ ɾʲ ã̠ ɴ
かか	k a̠ k a̠
がか	ɡ a̠ k a̠
がか	ɡ a̠ k a̠
がか	ɡ a̠ k a̠
かかあでんか	k a̠ k a̠ː d ẽ̞ ŋ k a̠
がかい	ɡ a̠ k a̠ i
かかえる	k a̠ k a̠ e̞ ɾ ɯ̟ᵝ
カカオ	k a̠ k a̠ o̞
かかく	k a̠ k a̠ k ɯ̟ᵝ
かかげる	k a̠ k a̠ ɡ e̞ ɾ ɯ̟ᵝ
がかざ	ɡ a̠ k a̠ z a̠
かかし	k a̠ k a̠ ɕ i
かかす	k a̠ k a̠ s ɨᵝ
かかたいしょう	k a̠ k a̠ t a̠ i ɕ o̞ː
かかみがはら	k a̠ k a̠ mʲ i ɡ a̠ h a̠ ɾ a̠
かかりじょし	k a̠ k a̠ ɾʲ i ʑ o̞ ɕ i
かかる	k a̠ k a̠ ɾ ɯ̟ᵝ
かかる	k a̠ k a̠ ɾ ɯ̟ᵝ
かかる	k a̠ k a̠ ɾ ɯ̟ᵝ
かかる	k a̠ k a̠ ɾ ɯ̟ᵝ
かかわり	k a̠ k a̠ ɰᵝ a̠ ɾʲ i
かかわる	k a̠ k a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
こだわる	k o̞ d a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
かがいしゃ	k a̠ ɡ a̠ i ɕ a̠
かがく	k a̠ ɡ a̠ k ɯ̟ᵝ
かがく	k a̠ ɡ a̠ k ɯ̟ᵝ
かがくかん	k a̠ ɡ a̠ k ɯ̟ᵝ k ã̠ ɴ
かがくぎじゅつ	k a̠ ɡ a̠ k ɯ̟ᵝ ɡʲ i ʑ ɨᵝ t͡s ɨᵝ
かがくこうがく	k a̠ ɡ a̠ k ɯ̟ᵝ ̥ k o̞ː ɡ a̠ k ɯ̟ᵝ
かがくしゃ	k a̠ ɡ a̠ k ɯ̟ᵝ ɕ a̠
かがくしゃ	k a̠ ɡ a̠ k ɯ̟̊ᵝ ɕ a̠
かがくてき	k a̠ ɡ a̠ k ɯ̟ᵝ t e̞ kʲ i
かがくてき	k a̠ ɡ a̠ k ɯ̟̊ᵝ t e̞ kʲ i
かがくでんたつぶっしつ	k a̠ ɡ a̠ k ɯ̟ᵝ d ẽ̞ n t a̠ t͡s ɨᵝ b ɯ̟ᵝ ɕː i t͡s ɨᵝ
かがくはくぶつかん	k a̠ ɡ a̠ k ɯ̟ᵝ h a̠ k ɯ̟ᵝ b ɯ̟ᵝ t͡s ɨ̥ᵝ k ã̠ ɴ
かがくはんのう	k a̠ ɡ a̠ k ɯ̟ᵝ h ã̠ nː o̞ː
かがくへいこう	k a̠ ɡ a̠ k ɯ̟ᵝ h e̞ː k o̞ː
かがくりょうろん	k a̠ ɡ a̠ k ɯ̟ᵝ ɾʲ o̞ː ɾ õ̞ ɴ
かがし	k a̠ ɡ a̠ ɕ i
かがみ	k a̠ ɡ a̠ mʲ i
かがみ	k a̠ ɡ a̠ mʲ i
かがみもじ	k a̠ ɡ a̠ mʲ i m o̞ ʑ i
かがみもち	k a̠ ɡ a̠ mʲ i m o̞ t͡ɕ i
かがむ	k a̠ ɡ a̠ m ɯ̟ᵝ
かがやき	k a̠ ɡ a̠ j a̠ kʲ i
かがやく	k a̠ ɡ a̠ j a̠ k ɯ̟ᵝ
かがり	k a̠ ɡ a̠ ɾʲ i
かがりかご	k a̠ ɡ a̠ ɾʲ i k a̠ ɡ o̞
かがりび	k a̠ ɡ a̠ ɾʲ i bʲ i
かがりびそう	k a̠ ɡ a̠ ɾʲ i bʲ i s o̞ː
かがりや	k a̠ ɡ a̠ ɾʲ i j a̠
かがわ	k a̠ ɡ a̠ ɰᵝ a̠
かがわけん	k a̠ ɡ a̠ ɰᵝ a̠ k ẽ̞ ɴ
かがんせん	k a̠ ɡ ã̠ ɰ̃ s ẽ̞ ɴ
ががんぼ	ɡ a̠ ɡ ã̠ m b o̞
かき	k a̠ kʲ i
かき	k a̠ kʲ i
かき	k a̠ kʲ i
かき	k a̠ kʲ i
かき	k a̠ kʲ i
かき	k a̠ kʲ i
かき	k a̠ kʲ i
かき	k a̠ kʲ i
かきあげ	k a̠ kʲ i a̠ ɡ e̞
かきおろす	k a̠ kʲ i o̞ ɾ o̞ s ɨᵝ
かきくだしぶん	k a̠ kʲ i k ɯ̟ᵝ d a̠ ɕ i b ɯ̟̃ᵝ ɴ
かきけす	k a̠ kʲ i k e̞ s ɨᵝ
カキコ	k a̠ kʲ i k o̞
かきこみ	k a̠ kʲ i k o̞ mʲ i
かきこむ	k a̠ kʲ i k o̞ m ɯ̟ᵝ
かきごおり	k a̠ kʲ i ɡ o̞ː ɾʲ i
かきたま	k a̠ kʲ i t a̠ m a̠
かきだし	k a̠ kʲ i d a̠ ɕ i
かきつばた	k a̠ kʲ i t͡s ɨᵝ b a̠ t a̠
カキツバタ	k a̠ kʲ i t͡s ɨᵝ b a̠ t a̠
かきとめる	k a̠ kʲ i t o̞ m e̞ ɾ ɯ̟ᵝ
かきとる	k a̠ kʲ i t o̞ ɾ ɯ̟ᵝ
かきなおす	k a̠ kʲ i n a̠ o̞ s ɨᵝ
かきね	k a̠ kʲ i n e̞
かきのき	k a̠ kʲ i n o̞ kʲ i
かきはん	k a̠ kʲ i h ã̠ ɴ
かきまわす	k a̠ kʲ i m a̠ ɰᵝ a̠ s ɨᵝ
かきみだす	k a̠ kʲ i mʲ i d a̠ s ɨᵝ
かきむしる	k a̠ kʲ i m ɯ̟ᵝ ɕ i ɾ ɯ̟ᵝ
かきゅう	k a̠ kʲ ɨᵝː
かきゅうてき	k a̠ kʲ ɨᵝː t e̞ kʲ i
かきょ	k a̠ kʲ o̞
かきわけ	k a̠ kʲ i ɰᵝ a̠ k e̞
かきん	k a̠ kʲ ĩ ɴ
かきん	k a̠ kʲ ĩ ɴ
かぎあけ	k a̠ ɡʲ i a̠ k e̞
かぎかっこ	k a̠ ɡʲ i ɡ a̠ k̚ k o̞
かぎしめ	k a̠ ɡʲ i ɕ i m e̞
かぎっこ	k a̠ ɡʲ i k̚ k o̞
かぎまわる	k a̠ ɡʲ i m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
かぎや	k a̠ ɡʲ i j a̠
かぎり	k a̠ ɡʲ i ɾʲ i
かぎる	k a̠ ɡʲ i ɾ ɯ̟ᵝ
とんぼ	t õ̞ m b o̞
かぎをにぎる	k a̠ ɡʲ i o̞ ɲ̟ i ɡʲ i ɾ ɯ̟ᵝ
おのおの	o̞ n o̞ o̞ n o̞
かく	k a̠ k ɯ̟ᵝ
かく	k a̠ k ɯ̟ᵝ
かく	k a̠ k ɯ̟ᵝ
かく	k a̠ k ɯ̟ᵝ
が	ɡ a̠
かく	k a̠ k ɯ̟ᵝ
らく	ɾ a̠ k ɯ̟ᵝ
がく	ɡ a̠ k ɯ̟ᵝ
あご	a̠ ɡ o̞
がくい	ɡ a̠ k ɯ̟ᵝ i
がくいん	ɡ a̠ k ɯ̟ᵝ ĩ ɴ
かくうん	k a̠ k ɯ̟ᵝ ɯ̟̃ᵝ ɴ
かくおび	k a̠ k ɯ̟ᵝ o̞ bʲ i
かくかくしかじか	k a̠ k ɯ̟ᵝ k a̠ k ɯ̟ᵝ ɕ i k a̠ ʑ i k a̠
きゃっかん	kʲ a̠ k̚ k ã̠ ɴ
がくがく	ɡ a̠ k ɯ̟ᵝ ɡ a̠ k ɯ̟ᵝ
かくかっこ	k a̠ k ɯ̟ᵝ ɡ a̠ k̚ k o̞
かくぎ	k a̠ k ɯ̟ᵝ ɡʲ i
かくぎょう	k a̠ k ɯ̟ᵝ ɡʲ o̞ː
がくげい	ɡ a̠ k ɯ̟ᵝ ɡ e̞ː
かくげん	k a̠ k ɯ̟ᵝ ɡ ẽ̞ ɴ
かくゲー	k a̠ k ɯ̟ᵝ ɡ e̞ː
かくご	k a̠ k ɯ̟ᵝ ɡ o̞
かくご	k a̠ k ɯ̟ᵝ ɡ o̞
かくさ	k a̠ k ɯ̟ᵝ s a̠
かくさん	k a̠ k ɯ̟ᵝ s ã̠ ɴ
かくさん	k a̠ k ɯ̟̊ᵝ s ã̠ ɴ
かくし	k a̠ k ɯ̟ᵝ ɕ i
がくし	ɡ a̠ k ɯ̟̊ᵝ ɕ i
かくしあじ	k a̠ k ɯ̟ᵝ ɕ i a̠ ʑ i
かくしカメラ	k a̠ k ɯ̟ᵝ ɕ i k a̠ m e̞ ɾ a̠
かくしご	k a̠ k ɯ̟ᵝ ɕ i ɡ o̞
かくしつ	k a̠ k ɯ̟ᵝ ɕ i t͡s ɨᵝ
かくしもく	k a̠ k ɯ̟ᵝ ɕ i m o̞ k ɯ̟ᵝ
かくしゅ	k a̠ k ɯ̟ᵝ ɕ ɨᵝ
かくしゅう	k a̠ k ɯ̟ᵝ ɕ ɨᵝː
がくしゅう	ɡ a̠ k ɯ̟ᵝ ɕ ɨᵝː
がくしゅうしょうがい	ɡ a̠ k ɯ̟ᵝ ɕ ɨᵝː ɕ o̞ː ɡ a̠ i
がくしょう	ɡ a̠ k ɯ̟ᵝ ɕ o̞ː
かくしょうたい	k a̠ k ɯ̟ᵝ ɕ o̞ː t a̠ i
がくしょく	ɡ a̠ k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ
かくしん	k a̠ k ɯ̟ᵝ ɕ ĩ ɴ
かくしん	k a̠ k ɯ̟ᵝ ɕ ĩ ɴ
かくじ	k a̠ k ɯ̟ᵝ ʑ i
かくじつ	k a̠ k ɯ̟ᵝ ʑ i t͡s ɨᵝ
がくじゅつしょ	ɡ a̠ k ɯ̟ᵝ ʑ ɨᵝ t͡s ɨᵝ ɕ o̞
かくじょし	k a̠ k ɯ̟ᵝ d͡ʑ o̞ ɕ i
かくじん	k a̠ k ɯ̟ᵝ ʑ ĩ ɴ
かくす	k a̠ k ɯ̟ᵝ s ɨᵝ
かくすい	k a̠ k ɯ̟̊ᵝ s ɨᵝ i
