ᆜ	j ɯ
도롱뇽	t o̞ ɾ o̞ ŋ ɲ j o ŋ
도료	t o̞ ɾ j o
도루	t o̞ ɾ u
도륙	t o̞ ɾ j u k̚
도리	t o̞ ɾ i
도리	t o̞ː ɾ i
도리어	t o̞ ɾ i ʌ̹
도마	t o̞ m a̠
도망	t o̞ m a̠ ŋ
도망치다	t o̞ m a̠ ŋ t͡ɕʰ i d a̠
도망하다	t o̞ m a̠ ŋ ɦ a̠ d a̠
도메인	t o̞ m e̞ i n
도모	t o̞ m o̞
도모하다	t o̞ m o̞ ɦ a̠ d a̠
도미니카	t o̞ m i n i kʰ a̠
도박	t o̞ b a̠ k̚
도벽	t o̞ b j ʌ̹ k̚
도살장	t o̞ sʰ a̠ ʎ t͡ɕ͈ a̠ ŋ
도삽	t o̞ sʰ a̠ p̚
도서관	t o̞ sʰ ʌ̹ ɡ w a̠ n
도시	t o̞ ɕʰ i
도시락	t o̞ ɕʰ i ɾ a̠ k̚
도안	t o̞ a̠ n
도예	t o̞ j e̞
도와주다	t o̞ w a̠ d͡ʑ u d a̠
도우미	t o̞ u m i
도움	t o̞ u m
도움말	t o̞ u m m a̠ ɭ
도이췰란드	t o̞ i t͡ɕʰ ɥ i ɭ ɭ a̠ n d ɯ
도입	t o̞ː i p̚
도입부	t o̞ i p̚ p͈ u
도자기	t o̞ d͡ʑ a̠ ɡ i
도작	t o̞ d͡ʑ a̠ k̚
도장	t o̞ d͡ʑ a̠ ŋ
도저히	t o̞ː d͡ʑ ʌ̹ ʝ i
도적	t o̞ d͡ʑ ʌ̹ k̚
도전	t o̞ d͡ʑ ʌ̹ n
도중	t o̞ː d͡ʑ u ŋ
도착하다	t o̞ː t͡ɕʰ a̠ kʰ a̠ d a̠
도청	t o̞ː t͡ɕʰ ʌ̹ ŋ
도청기	t o̞ t͡ɕʰ ʌ̹ ŋ ɡ i
도체	t o̞ː t͡ɕʰ e̞
도토리	t o̞ tʰ o̞ ɾ i
도파민	t o̞ pʰ a̠ m i n
도표	t o̞ pʰ j o
도하	t o̞ ɦ a̠
도합	t o̞ ɦ a̠ p̚
도회인	t o̞ β w e̞ i n
독	t o̞ k̚
독감	t o̞ k̚ k͈ a̠ m
독극물	t o̞ k̚ k͈ ɯ ŋ m u ɭ
독도	t o̞ k̚ t͈ o̞
독립	t o̞ ŋ n i p̚
독립성	t o̞ ŋ n i p s͈ ʌ̹ ŋ
독물	t o̞ ŋ m u ɭ
독방	t o̞ k̚ p͈ a̠ ŋ
독사	t o̞ k s͈ a̠
독살	t o̞ k s͈ a̠ ɭ
독서	t o̞ k s͈ ʌ̹
독서실	t o̞ k s͈ ʌ̹ ɕʰ i ɭ
독소	t o̞ k s͈ o̞
독수리	t o̞ k s͈ u ɾ i
독신	t o̞ k ɕ͈ i n
독신자	t o̞ k ɕ͈ i ɲ d͡ʑ a̠
독어	t o̞ ɡ ʌ̹
독음	t o̞ ɡ ɯ m
독일	t o̞ ɡ i ɭ
독일어	t o̞ ɡ i ɾ ʌ̹
독자	t o̞ k̚ t͡ɕ͈ a̠
독점	t o̞ k̚ t͡ɕ͈ ʌ̹ m
독주	t o̞ k̚ t͡ɕ͈ u
독특하다	t o̞ k̚ tʰ ɯ kʰ a̠ d a̠
돈	t o̞ n
돈	t o̞ː n
돈가스	t o̞ n ɡ a̠ sʰ ɯ
돈까스	t o̞ n k͈ a̠ sʰ ɯ
돈벌레	t o̞ n p͈ ʌ̹ ɭ ɭ e̞
돋다	t o̞ t̚ t͈ a̠
돋보기	t o̞ t̚ p͈ o̞ ɡ i
돋우다	t o̞ d u d a̠
돌	t o̞ ɭ
돌	t o̞ː ɭ
돌가자미	t o̞ ɭ ɡ a̠ d͡ʑ a̠ m i
돌격	t o̞ ɭ ɡ j ʌ̹ k̚
돌고기	t o̞ ɭ ɡ o̞ ɡ i
돌다	t o̞ː ɭ d a̠
돌돔	t o̞ː ɭ d o̞ m
돌드	t o̞ ɭ d ɯ
돌려주다	t o̞ ʎ ʎ j ʌ̹ d͡ʑ u d a̠
돌리다	t o̞ ʎ ʎ i d a̠
돌마자	t o̞ ɭ m a̠ d͡ʑ a̠
돌멩이	t o̞ː ɭ m e̞ ŋ i
돌보다	t o̞ː ɭ b o̞ d a̠
돌상어	t o̞ ɭ sʰ a̠ ŋ ʌ̹
돌솥	t o̞ː ɭ sʰ o̞ t̚
돌아가다	t o̞ ɾ a̠ ɡ a̠ d a̠
돌아가시다	t o̞ ɾ a̠ ɡ a̠ ɕʰ i d a̠
돌아다니다	t o̞ ɾ a̠ d a̠ n i d a̠
돌아보다	t o̞ ɾ a̠ b o̞ d a̠
돌아서다	t o̞ ɾ a̠ sʰ ʌ̹ d a̠
돌아오다	t o̞ ɾ a̠ o̞ d a̠
돌연	t o̞ ɾ j ʌ̹ n
돌연변이	t o̞ ɾ j ʌ̹ n b j ʌ̹ n i
돌연사	t o̞ ɾ j ʌ̹ n sʰ a̠
돌잔치	t o̞ ʎ d͡ʑ a̠ ɲ t͡ɕʰ i
돌잡이	t o̞ ʎ d͡ʑ a̠ b i
돌파	t o̞ ɭ pʰ a̠
돌팔이	t o̞ː ɭ pʰ a̠ ɾ i
돌하르방	t o̞ː ɾ ɦ a̠ ɾ ɯ b a̠ ŋ
돕다	t o̞ː p̚ t͈ a̠
돗자리	t o̞ t̚ t͡ɕ͈ a̠ ɾ i
동	t o̞ ŋ
동	t o̞ː ŋ
동갑	t o̞ ŋ ɡ a̠ p̚
동거	t o̞ ŋ ɡ ʌ̹
동거인	t o̞ ŋ ɡ ʌ̹ i n
동경	t o̞ ŋ ɡ j ʌ̹ ŋ
동공	t o̞ː ŋ ɡ o̞ ŋ
동굴	t o̞ː ŋ ɡ u ɭ
동그라미	t o̞ ŋ ɡ ɯ ɾ a̠ m i
동글	t o̞ ŋ ɡ ɯ ɭ
동글다	t o̞ ŋ ɡ ɯ ɭ d a̠
동기	t o̞ ŋ ɡ i
동남	t o̞ ŋ n a̠ m
동남아시아	t o̞ ŋ n a̠ m a̠ ɕʰ i a̠
동네	t o̞ː ŋ n e̞
동등하다	t o̞ ŋ d ɯ ŋ ɦ a̠ d a̠
동력	t o̞ː ŋ ɲ j ʌ̹ k̚
동료	t o̞ ŋ ɲ j o
동명사	t o̞ː ŋ m j ʌ̹ ŋ sʰ a̠
동명인	t o̞ ŋ m j ʌ̹ ŋ i n
동무	t o̞ ŋ m u
동문서답	t o̞ ŋ m u n sʰ ʌ̹ d a̠ p̚
동물	t o̞ː ŋ m u ɭ
동물원	t o̞ː ŋ m u ɾ w ʌ̹ n
동물학	t o̞ː ŋ m u ɾ ɦ a̠ k̚
동반자	t o̞ ŋ b a̠ ɲ d͡ʑ a̠
동방	t o̞ ŋ b a̠ ŋ
동부	t o̞ ŋ b u
동사	t o̞ ŋ sʰ a̠
동사리	t o̞ ŋ sʰ a̠ ɾ i
동산	t o̞ ŋ sʰ a̠ n
동성	t o̞ ŋ sʰ ʌ̹ ŋ
동시	t o̞ ŋ ɕʰ i
동아리	t o̞ ŋ a̠ ɾ i
동안	t o̞ ŋ a̠ n
동양	t o̞ ŋ j a̠ ŋ
동업자	t o̞ ŋ ʌ̹ p̚ t͡ɕ͈ a̠
동역학	t o̞ ŋ j ʌ̹ kʰ a̠ k̚
동요	t o̞ ŋ j o
동의	t o̞ ŋ ɰ i
동의어	t o̞ ŋ ɰ i ʌ̹
동의하다	t o̞ ŋ ɰ i ɦ a̠ d a̠
동이	t o̞ ŋ i
동일	t o̞ ŋ i ɭ
동일하다	t o̞ ŋ i ɾ ɦ a̠ d a̠
동자	t o̞ ŋ d͡ʑ a̠
동자	t o̞ː ŋ d͡ʑ a̠
동작	t o̞ː ŋ d͡ʑ a̠ k̚
동전	t o̞ ŋ d͡ʑ ʌ̹ n
동전주	t o̞ ŋ d͡ʑ ʌ̹ ɲ d͡ʑ u
동정	t o̞ ŋ d͡ʑ ʌ̹ ŋ
동지	t o̞ ŋ d͡ʑ i
동쪽	t o̞ ŋ t͡ɕ͈ o̞ k̚
동창	t o̞ ŋ t͡ɕʰ a̠ ŋ
동티모르	t o̞ ŋ tʰ i m o̞ ɾ ɯ
동포	t o̞ ŋ pʰ o̞
동호회	t o̞ ŋ β o̞ β w e̞
동화	t o̞ː ŋ β w a̠
돼지	t w ɛː d͡ʑ i
돼지고기	t w ɛː d͡ʑ i ɡ o̞ ɡ i
돼지꿈	t w ɛː d͡ʑ i k͈ u m
되	t w e̞
되게	t w e̞ː ɡ e̞
되놈	t w e̞ n o̞ m
되뇌다	t w e̞ n w e̞ d a̠
되다	t w e̞ d a̠
되돌리다	t w e̞ d o̞ ʎ ʎ i d a̠
되살다	t w e̞ sʰ a̠ ɭ d a̠
되살리다	t w e̞ sʰ a̠ ʎ ʎ i d a̠
되찾다	t w e̞ t͡ɕʰ a̠ t̚ t͈ a̠
되풀이	t w e̞ pʰ u ɾ i
되풀이하다	t w e̞ pʰ u ɾ i ɦ a̠ d a̠
된기윽	t w e̞ n ɡ i ɯ k̚
된디읃	t w e̞ n d i ɯ t̚
된비읍	t w e̞ n b i ɯ p̚
된소리	t w e̞ː n sʰ o̞ ɾ i
된시옷	t w e̞ː n ɕʰ i o̞ t̚
된장	t w e̞ː ɲ d͡ʑ a̠ ŋ
된장녀	t w e̞ː ɲ d͡ʑ a̠ ŋ ɲ j ʌ̹
된장풀	t w e̞ ɲ d͡ʑ a̠ ŋ pʰ u ɭ
된지읒	t w e̞ ɲ d͡ʑ i ɯ t̚
됨됨	t w e̞ m d w e̞ m
됨됨이	t w e̞ m d w e̞ m i
됭경모치	t w e̞ ŋ ɡ j ʌ̹ ŋ m o̞ t͡ɕʰ i
두	t uː
두건	t u ɡ ʌ̹ n
두견	t u ɡ j ʌ̹ n
두근거리다	t u ɡ ɯ n ɡ ʌ̹ ɾ i d a̠
두근두근	t u ɡ ɯ n d u ɡ ɯ n
두꺼비	t u k͈ ʌ̹ b i
두껍다	t u k͈ ʌ̹ p̚ t͈ a̠
두께	t u k͈ e̞
두뇌	t u n w e̞
두다	t u d a̠
두더지	t u d ʌ̹ d͡ʑ i
두덩	t u d ʌ̹ ŋ
두드러기	t u d ɯ ɾ ʌ̹ ɡ i
두드러지다	t u d ɯ ɾ ʌ̹ d͡ʑ i d a̠
두드리다	t u d ɯ ɾ i d a̠
두려움	t u ɾ j ʌ̹ u m
두려워하다	t u ɾ j ʌ̹ w ʌ̹ ɦ a̠ d a̠
두렵다	t u ɾ j ʌ̹ p̚ t͈ a̠
두루마기	t u ɾ u m a̠ ɡ i
두루미	t u ɾ u m i
두르다	t u ɾ ɯ d a̠
두리안	t u ɾ i a̠ n
두마	t u m a̠
두만가시고기	t u m a̠ n ɡ a̠ ɕʰ i ɡ o̞ ɡ i
두만강	t u m a̠ n ɡ a̠ ŋ
두만강자그사니	t u m a̠ n ɡ a̠ ŋ d͡ʑ a̠ ɡ ɯ sʰ a̠ n i
두목	t u m o̞ k̚
두바이	t u b a̠ i
두반장	t u b a̠ ɲ d͡ʑ a̠ ŋ
두발	t u b a̠ ɭ
두벌식	t u b ʌ̹ ɭ ɕʰ i k̚
두부	t u b u
두상	t u sʰ a̠ ŋ
두샨베	t u ɕʰ a̠ n b e̞
두서너	t u sʰ ʌ̹ n ʌ̹
두서넛	t u sʰ ʌ̹ n ʌ̹ t̚
두세	t u sʰ e̞
두셋	t u sʰ e̞ t̚
두어	t u ʌ̹
두어서넛	t u ʌ̹ sʰ ʌ̹ n ʌ̹ t̚
두연	t u j ʌ̹ n
두음	t u ɯ m
두음법칙	t u ɯ m b ʌ̹ p̚ t͡ɕʰ i k̚
두절	t u d͡ʑ ʌ̹ ɭ
두줄망둑	t uː d͡ʑ u ɭ m a̠ ŋ d u k̚
두통	t u tʰ o̞ ŋ
두티다	t u tʰ i d a̠
둑	t u k̚
둔치다	t u ɲ t͡ɕʰ i d a̠
둘	t uː ɭ
둘러보다	t u ɭ ɭ ʌ̹ b o̞ d a̠
둘러싸다	t u ɭ ɭ ʌ̹ s͈ a̠ d a̠
둘치	t u ʎ t͡ɕʰ i
둥간어	t u ŋ ɡ a̠ n ʌ̹
둥글다	t u ŋ ɡ ɯ ɭ d a̠
둥지	t u ŋ d͡ʑ i
둥치	t u ŋ t͡ɕʰ i
둬	t w ɘː
뒤	t ɥ i
뒤	t ɥ iː
뒤늦다	t ɥ iː n ɯ t̚ t͈ a̠
뒤따르다	t ɥ iː t͈ a̠ ɾ ɯ d a̠
뒤떨어지다	t ɥ iː t͈ ʌ̹ ɾ ʌ̹ d͡ʑ i d a̠
뒤보다	t ɥ i b o̞ d a̠
뒤섞다	t ɥ i sʰ ʌ̹ k̚ t͈ a̠
뒤쥐	t ɥ i d͡ʑ ɥ i
뒤지다	t ɥ i d͡ʑ i d a̠
뒤집다	t ɥ i d͡ʑ i p̚ t͈ a̠
뒤쫓다	t ɥ iː t͡ɕ͈ o̞ t̚ t͈ a̠
뒷간	t ɥ iː t̚ k͈ a̠ n
뒷다리	t ɥ iː t̚ t͈ a̠ ɾ i
뒷마당	t ɥ iː n m a̠ d a̠ ŋ
뒷면	t ɥ iː n m j ʌ̹ n
뒷모습	t ɥ iː n m o̞ sʰ ɯ p̚
뒹굴다	t ɥ i ŋ ɡ u ɭ d a̠
뒹굴뒹굴	t ɥ i ŋ ɡ u ɭ d ɥ i ŋ ɡ u ɭ
듀엣	t j u e̞ t̚
듀오	t j u o̞
드디어	t ɯ d i ʌ̹
드라마	t ɯ ɾ a̠ m a̠
드라이기	t ɯ ɾ a̠ i ɡ i
드라이브	t ɯ ɾ a̠ i b ɯ
드라이브하다	t ɯ ɾ a̠ i b ɯ ɦ a̠ d a̠
드러나다	t ɯ ɾ ʌ̹ n a̠ d a̠
드럼	t ɯ ɾ ʌ̹ m
드렁허리	t ɯ ɾ ʌ̹ ŋ ɦ ʌ̹ ɾ i
드레스	t ɯ ɾ e̞ s͈ ɯ
드론	t ɯ ɾ o̞ n
드르렁	t ɯ ɾ ɯ ɾ ʌ̹ ŋ
드르렁드르렁	t ɯ ɾ ɯ ɾ ʌ̹ ŋ d ɯ ɾ ɯ ɾ ʌ̹ ŋ
드리다	t ɯ ɾ i d a̠
드립	t ɯ ɾ i p̚
드물다	t ɯ m u ɭ d a̠
드시다	t ɯ ɕʰ i d a̠
득	t ɯ k̚
득남	t ɯ ŋ n a̠ m
득녀	t ɯ ŋ ɲ j ʌ̹
득도	t ɯ k̚ t͈ o̞
득도하다	t ɯ k̚ t͈ o̞ ɦ a̠ d a̠
득점	t ɯ k̚ t͡ɕ͈ ʌ̹ m
득템	t ɯ k̚ tʰ e̞ m
듣다	t ɯ t̚ t͈ a̠
들	t ɯ ɭ
들	t ɯː ɭ
들것	t ɯ ɭ ɡ ʌ̹ t̚
들국화	t ɯ ɭ ɡ u kʰ w a̠
들기름	t ɯ ɭ ɡ i ɾ ɯ m
들꿩	t ɯ ɭ k͈ w ʌ̹ ŋ
들끓다	t ɯ ɭ k͈ ɯ ɭ tʰ a̠
들다	t ɯ ɭ d a̠
들뜨다	t ɯ ɭ t͈ ɯ d a̠
들러리	t ɯ ɭ ɭ ʌ̹ ɾ i
들려오다	t ɯ ʎ ʎ j ʌ̹ o̞ d a̠
들르다	t ɯ ɭ ɭ ɯ d a̠
들리다	t ɯ ʎ ʎ i d a̠
들소	t ɯː ɭ s͈ o̞
들숨	t ɯ ɭ sʰ u m
들어가다	t ɯ ɾ ʌ̹ ɡ a̠ d a̠
들어서다	t ɯ ɾ ʌ̹ sʰ ʌ̹ d a̠
들어오다	t ɯ ɾ ʌ̹ o̞ d a̠
들어옮기다	t ɯ ɾ ʌ̹ o̞ m ɡ i d a̠
들여다보다	t ɯ ɾ j ʌ̹ d a̠ b o̞ d a̠
들이다	t ɯ ɾ i d a̠
들쭉날쭉하다	t ɯ ʎ t͡ɕ͈ u ŋ n a̠ ʎ t͡ɕ͈ u kʰ a̠ d a̠
들치기	t ɯ ʎ t͡ɕʰ i ɡ i
들판	t ɯː ɭ pʰ a̠ n
듯	t ɯ t̚
듯이	t ɯ ɕʰ i
듯하다	t ɯ tʰ a̠ d a̠
등	t ɯ ŋ
등걸	t ɯ ŋ ɡ ʌ̹ ɭ
등광	t ɯ ŋ ɡ w a̠ ŋ
등급	t ɯ ŋ ɡ ɯ p̚
등기우편	t ɯ ŋ ɡ i u pʰ j ʌ̹ n
등나무	t ɯ ŋ n a̠ m u
등등	t ɯː ŋ d ɯ ŋ
등락	t ɯ ŋ n a̠ k̚
등록	t ɯ ŋ n o̞ k̚
등록기	t ɯ ŋ n o̞ k̚ k͈ i
등롱	t ɯ ŋ n o̞ ŋ
등반	t ɯ ŋ b a̠ n
등받이	t ɯ ŋ b a̠ d i
등불	t ɯ ŋ p͈ u ɭ
등산	t ɯ ŋ sʰ a̠ n
등산하다	t ɯ ŋ sʰ a̠ n ɦ a̠ d a̠
등신	t ɯː ŋ ɕʰ i n
등심	t ɯ ŋ ɕʰ i m
등유	t ɯ ŋ j u
등자	t ɯ ŋ d͡ʑ a̠
등장	t ɯ ŋ d͡ʑ a̠ ŋ
등장인물	t ɯ ŋ d͡ʑ a̠ ŋ i n m u ɭ
등장하다	t ɯ ŋ d͡ʑ a̠ ŋ ɦ a̠ d a̠
등줄숭어	t ɯ ŋ t͡ɕ͈ u ɭ sʰ u ŋ ʌ̹
등줄쥐	t ɯ ŋ d͡ʑ u ʎ d͡ʑ ɥ i
등피	t ɯ ŋ pʰ i
등허리	t ɯ ŋ ɦ ʌ̹ ɾ i
디귿	t i ɡ ɯ t̚
디디다	t i d i d a̠
디바이스	t i b a̠ i s͈ ɯ
디스켓	t i sʰ ɯ kʰ e̞ t̚
디스코	t i sʰ ɯ kʰ o̞
디스크	t i sʰ ɯ k x ɯ
디스프로슘	t i sʰ ɯ pʰ ɯ ɾ o̞ ɕʰ u m
디스플레이	t i sʰ ɯ pʰ ɯ ɭ ɭ e̞ i
디엔에이	t i e̞ n e̞ i
디자이너	t i d͡ʑ a̠ i n ʌ̹
디자인	t i d͡ʑ a̠ i n
디저트	t i d͡ʑ ʌ̹ tʰ ɯ
디제이	t i d͡ʑ e̞ i
디지털	t i d͡ʑ i tʰ ʌ̹ ɭ
디카	t i kʰ a̠
딜	t i ɭ
딜리	t i ʎ ʎ i
딩딩	t i ŋ d i ŋ
딮	t i p̚
따깐	t͈ a̠ k͈ a̠ n
따님	t͈ a̠ n i m
따다	t͈ a̠ d a̠
따뜻	t͈ a̠ t͈ ɯ t̚
따뜻하다	t͈ a̠ t͈ ɯ tʰ a̠ d a̠
따라가다	t͈ a̠ ɾ a̠ ɡ a̠ d a̠
따라서	t͈ a̠ ɾ a̠ sʰ ʌ̹
따라오다	t͈ a̠ ɾ a̠ o̞ d a̠
따라하다	t͈ a̠ ɾ a̠ ɦ a̠ d a̠
따로	t͈ a̠ ɾ o̞
따르다	t͈ a̠ ɾ ɯ d a̠
따르릉	t͈ a̠ ɾ ɯ ɾ ɯ ŋ
따름	t͈ a̠ ɾ ɯ m
따사롭다	t͈ a̠ sʰ a̠ ɾ o̞ p̚ t͈ a̠
따오기	t͈ a̠ o̞ ɡ i
따오다	t͈ a̠ o̞ d a̠
따옴표	t͈ a̠ o̞ m pʰ j o
따위	t͈ a̠ ɥ i
따이	t͈ a̠ i
따지다	t͈ a̠ d͡ʑ i d a̠
딱	t͈ a̠ k̚
딱다그르르딱다그르르하다	t͈ a̠ k̚ t͈ a̠ ɡ ɯ ɾ ɯ ɾ ɯ t͈ a̠ k̚ t͈ a̠ ɡ ɯ ɾ ɯ ɾ ɯ ɦ a̠ d a̠
딱딱하다	t͈ a̠ k̚ t͈ a̠ kʰ a̠ d a̠
딱지	t͈ a̠ k̚ t͡ɕ͈ i
딴	t͈ a̠ n
딸	t͈ a̠ ɭ
딸기	t͈ a̠ː ɭ ɡ i
딸꾹질	t͈ a̠ ɭ k͈ u k̚ t͡ɕ͈ i ɭ
딸꾹질하다	t͈ a̠ ɭ k͈ u k̚ t͡ɕ͈ i ɾ ɦ a̠ d a̠
딸딸이	t͈ a̠ ɭ t͈ a̠ ɾ i
딸아들	t͈ a̠ ɾ a̠ d ɯ ɭ
땀	t͈ a̠ m
땃쥐	t͈ a̠ t̚ t͡ɕ͈ ɥ i
땅	t͈ a̠ ŋ
땅감	t͈ a̠ ŋ ɡ a̠ m
땅거미	t͈ a̠ ŋ ɡ ʌ̹ m i
땅속길	t͈ a̠ ŋ sʰ o̞ k̚ k͈ i ɭ
땅콩	t͈ a̠ ŋ kʰ o̞ ŋ
땅크	t͈ a̠ ŋ k x ɯ
땅크병	t͈ a̠ ŋ k x ɯ b j ʌ̹ ŋ
땋다	t͈ a̠ː tʰ a̠
땔나무	t͈ ɛː ɭ ɭ a̠ m u
땜납	t͈ ɛː m n a̠ p̚
떠나가다	t͈ ʌ̹ n a̠ ɡ a̠ d a̠
떠나다	t͈ ʌ̹ n a̠ d a̠
떠다니다	t͈ ʌ̹ d a̠ n i d a̠
떠돌다	t͈ ʌ̹ d o̞ ɭ d a̠
떠들다	t͈ ɘː d ɯ ɭ d a̠
떠들썩하다	t͈ ʌ̹ d ɯ ɭ s͈ ʌ̹ kʰ a̠ d a̠
떠벌리다	t͈ ʌ̹ b ʌ̹ ʎ ʎ i d a̠
떠오르다	t͈ ʌ̹ o̞ ɾ ɯ d a̠
떠올리다	t͈ ʌ̹ o̞ ʎ ʎ i d a̠
떡	t͈ ʌ̹ k̚
떡국	t͈ ʌ̹ k̚ k͈ u k̚
떡볶이	t͈ ʌ̹ k̚ p͈ o̞ k͈ i
떡붕어	t͈ ʌ̹ k̚ p͈ u ŋ ʌ̹
떨다	t͈ ɘː ɭ d a̠
떨리다	t͈ ʌ̹ ʎ ʎ i d a̠
떨어뜨리다	t͈ ʌ̹ ɾ ʌ̹ t͈ ɯ ɾ i d a̠
떨어지다	t͈ ʌ̹ ɾ ʌ̹ d͡ʑ i d a̠
떨잠	t͈ ɘː ʎ d͡ʑ a̠ m
떨치다	t͈ ʌ̹ ʎ t͡ɕʰ i d a̠
떫다	t͈ ɘː ɭ t͈ a̠
떫디떫다	t͈ ɘː ɭ t͈ i t͈ ʌ̹ ɭ t͈ a̠
떰치	t͈ ʌ̹ m t͡ɕʰ i
떳떳하다	t͈ ʌ̹ t̚ t͈ ʌ̹ tʰ a̠ d a̠
떼	t͈ e̞
떼다	t͈ e̞ː d a̠
떼아트르	t͈ e̞ a̠ tʰ ɯ ɾ ɯ
떼지어	t͈ e̞ d͡ʑ i ʌ̹
떼짓다	t͈ e̞ d͡ʑ i t̚ t͈ a̠
떽	t͈ e̞ k̚
뗀노	t͈ e̞ n n o̞
뗏목	t͈ e̞ n m o̞ k̚
또	t͈ o̞
또는	t͈ o̞ n ɯ n
또다시	t͈ o̞ d a̠ ɕʰ i
또한	t͈ o̞ ɦ a̠ n
똑	t͈ o̞ k̚
똑같다	t͈ o̞ k̚ k͈ a̠ t̚ t͈ a̠
똑같이	t͈ o̞ k̚ k͈ a̠ t͡ɕʰ i
똑똑	t͈ o̞ k̚ t͈ o̞ k̚
똑똑이	t͈ o̞ k̚ t͈ o̞ ɡ i
똑똑하다	t͈ o̞ k̚ t͈ o̞ kʰ a̠ d a̠
똑바로	t͈ o̞ k̚ p͈ a̠ ɾ o̞
똠얌	t͈ o̞ m j a̠ m
똥	t͈ o̞ ŋ
똥구멍	t͈ o̞ ŋ k͈ u m ʌ̹ ŋ
똥남아	t͈ o̞ ŋ n a̠ m a̠
똥싸다	t͈ o̞ ŋ s͈ a̠ d a̠
똥양인	t͈ o̞ ŋ j a̠ ŋ i n
똥차	t͈ o̞ ŋ t͡ɕʰ a̠
똥침	t͈ o̞ ŋ t͡ɕʰ i m
똥파리	t͈ o̞ ŋ pʰ a̠ ɾ i
뙤약볕	t͈ w e̞ j a̠ k̚ p͈ j ʌ̹ t̚
뚜껑	t͈ u k͈ ʌ̹ ŋ
뚜렷하다	t͈ u ɾ j ʌ̹ tʰ a̠ d a̠
뚝뚝하다	t͈ u k̚ t͈ u kʰ a̠ d a̠
뚝섬	t͈ u k s͈ ʌ̹ m
뚫다	t͈ u ɭ tʰ a̠
뚫리다	t͈ u ʎ ʎ i d a̠
뚱뚱하다	t͈ u ŋ t͈ u ŋ ɦ a̠ d a̠
뛰다	t͈ ɥ i d a̠
뛰르끼예	t͈ ɥ i ɾ ɯ k͈ i j e̞
뛰어가다	t͈ ɥ i ʌ̹ ɡ a̠ d a̠
뛰어나다	t͈ ɥ i ʌ̹ n a̠ d a̠
뛰어넘다	t͈ ɥ i ʌ̹ n ʌ̹ m t͈ a̠
뛰어다니다	t͈ ɥ i ʌ̹ d a̠ n i d a̠
뛰어들다	t͈ ɥ i ʌ̹ d ɯ ɭ d a̠
뜨거워지다	t͈ ɯ ɡ ʌ̹ w ʌ̹ d͡ʑ i d a̠
뜨겁다	t͈ ɯ ɡ ʌ̹ p̚ t͈ a̠
뜨다	t͈ ɯ d a̠
뜨락또르	t͈ ɯ ɾ a̠ k̚ t͈ o̞ ɾ ɯ
뜨리다	t͈ ɯ ɾ i d a̠
뜬소문	t͈ ɯ n sʰ o̞ m u n
뜯기	t͈ ɯ t̚ k͈ i
뜯다	t͈ ɯ t̚ t͈ a̠
뜰	t͈ ɯ ɭ
뜸하다	t͈ ɯ m ɦ a̠ d a̠
뜻	t͈ ɯ t̚
뜻밖	t͈ ɯ t̚ p͈ a̠ k̚
뜻밖에	t͈ ɯ t̚ p͈ a̠ k͈ e̞
뜻하다	t͈ ɯ tʰ a̠ d a̠
띄다	t͈ iː d a̠
띄어쓰기	t͈ i ʌ̹ s͈ ɯ ɡ i
띠	t͈ i
띠걸이	t͈ i ɡ ʌ̹ ɾ i
띠다	t͈ iː d a̠
띠동갑	t͈ i d o̞ ŋ ɡ a̠ p̚
띠무늬물범	t͈ i m u n i m u ɭ b ʌ̹ m
띠앗	t͈ i a̠ t̚
띵띵	t͈ i ŋ t͈ i ŋ
띵호아	t͈ i ŋ β o̞ a̠
라고	ɾ a̠ ɡ o̞
라고스	ɾ a̠ ɡ o̞ sʰ ɯ
라니	ɾ a̠ n i
라돈	ɾ a̠ d o̞ n
라듐	ɾ a̠ d j u m
라디에이터	ɾ a̠ d i e̞ i tʰ ʌ̹
라디오	ɾ a̠ d i o̞
라마	ɾ a̠ m a̠
라며	ɾ a̠ m j ʌ̹
라면	ɾ a̠ m j ʌ̹ n
라바트	ɾ a̠ b a̠ tʰ ɯ
라벨	ɾ a̠ b e̞ ɭ
라볶이	ɾ a̠ b o̞ k͈ i
라비올리	ɾ a̠ b i o̞ ʎ ʎ i
라서	ɾ a̠ sʰ ʌ̹
라선	ɾ a̠ sʰ ʌ̹ n
라선특별시	ɾ a̠ sʰ ʌ̹ n tʰ ɯ k̚ p͈ j ʌ̹ ɭ ɕʰ i
라오스	ɾ a̠ o̞ sʰ ɯ
라오어	ɾ a̠ o̞ ʌ̹
라우	ɾ a̠ u
라우터	ɾ a̠ u tʰ ʌ̹
라운지	ɾ a̠ u ɲ d͡ʑ i
라이벌	ɾ a̠ i b ʌ̹ ɭ
라이베리아	ɾ a̠ i b e̞ ɾ i a̠
라이선스	ɾ a̠ i sʰ ʌ̹ n sʰ ɯ
라이터	ɾ a̠ i tʰ ʌ̹
라이터돌	ɾ a̠ i tʰ ʌ̹ d o̞ ɭ
라이트세이버	ɾ a̠ i tʰ ɯ sʰ e̞ i b ʌ̹
라이플	ɾ a̠ i pʰ ɯ ɭ
라인	ɾ a̠ i n
라임	ɾ a̠ i m
라자냐	ɾ a̠ d͡ʑ a̠ ɲ j a̠
라지오	ɾ a̠ d͡ʑ i o̞
라침반	ɾ a̠ t͡ɕʰ i m b a̠ n
