'n	ə
nis	n ə s
nog	n ɔ χ
nooddruf	n ʊ ə̯ d r œ f
nooi	n oː i̯
nooit	n oː i t
noordwaarts	n ʊ ə̯ r t v ɑː r t s
noot	n ʊ ə̯ t
nou	n œ u
noukeurig	n œ u̯ k ɪ ø r ə χ
novelle	n ʊ ə̯ f ɛ l ə
nuus	n y s
nuut	n i t
nuut	n y t
nè	n ɛ
oefen	u f ə n
oes	u s
oeste	u s t ə
of	ɔ f
offisieel	ɔ f i s i ɪ ə̯ l
offisieel	ɔ f i ʃ ɪ ə̯ l
oggend	ɔ χ ə n t
ogiesdraad	ʊ ə̯ χ i s d r ɑː t
olie	ʊ ə̯ l i
olifant	ʊ ə̯ l i f a n t
olifantslurp	oː l i f ɑ n t s l u r p
omgang	ɔ m χ a ŋ
omgewing	ɔ m χ ɪ ə̯ v ə ŋ
omsons	ɔ m s ɔ n s
omstandigheid	ɔ m s t a n d ə χ ɦ ə i̯ t
onaards	ɔ n ɑː r t s
onbeteuelbaar	ɔ n b ə t ɪ ø ə l b ɑː r
onderbroek	ɔ n ə r b r u k
ondier	ɔ n d i r
onkruid	ɔ ŋ k r œ i̯ t
onkruiddoder	ɔ ŋ k r œ i̯ t d ʊ ə̯ d ə r
onleesbaar	ɔ n l ɪ ə̯ s b ɑː r
onleesbaarheid	ɔ n l ɪ ə̯ s b ɑː r ɦ ə i̯ t
onnodig	ɔ n ʊ ə̯ d ə x
ons	ɔ n s
onse	ɔ n s ə
ontbyt	ɔ n t b ə i̯ t
onteenseglik	ɔ n t ɪ ə̯ n s ɛ χ l ə k
onthou	ɔ n t ɦ œ u̯
ontkenning	ɔ n t k ɛ n ə ŋ
ontploffing	ɔ n t p l ɔ f ə ŋ
ontsteking	ɔ n t s t ɪ ə̯ k ə ŋ
ontvang	ɔ n t f a ŋ
onverhoeds	ɔ n f ɛ r ɦ u t s
onvriendelik	ɔ n f r i n d ə l ə k
onwaardig	ɔ n v ɑː r d ə χ
oog	o ə χ
ooglid	ʊ ə̯ χ l ə t
ook	ʊ ə̯ k
oom	o ə m
oond	ʊ ə̯ n t
oop	ʊ ə̯ p
oor	ʊ ə̯ r
oorbly	ʊ ə̯ r b l ə i̯ f
oorblyfsel	ʊ ə̯ r b l ə i̯ f s ə l
oorledene	ʊ ə̯ r l ɪ ə̯ d ə n ə
oorlog	ʊ ə r l ɔ χ
oorly	ʊ ə̯ r l ə ɪ̯
oorname	ʊ ə̯ r n ɑː m ə
oorslaan	ʊ ə r s l aː n
oorspoel	ʊ ə̯ r s p u l
ooswaarts	ʊ ə̯ s v ɑː r t s
opdaag	ɔ p d ɑː χ
opdrag	ɔ p d r a χ
opeet	ɔ p ɪ ə̯ t
open	ʊ ə̯ p ə n
opname	ɔ p n ɑː m ə
orde	ɔ r d ə
ordentlik	ɔ r d ɛ n t l ə k
orgaan	ɔ r χ ɑː n
organisasie	ɔ r χ a n i s ɑː s i
orkes	ɔ r k ɛ s
oseaan	ʊ ə̯ s ɪ ə̯ ɑː n
ossewa	ɔ s ə v ɑː
ot	ɔ t
ou	œ u
ounooi	œ u n oː i̯
outisme	œ u̯ t ə s m ə
outonomie	œ u t ʊ ə n ʊ ə m i
paal	p ɑː l
padda	p a d a
padda	p a r a
paddavoet	p a d a f u t
paling	p ɑː l ɪ ŋ
paljas	p a l j a s
palmboom	p a l m b ʊ ə̯ m
pampoen	p a m p u n
pan	p a n
pap	p a p
papier	p a p iː r
paradoks	p a r a d ɔ k s
partyleier	p a r t ə i̯ l ə i̯ ə r
paspoort	p a s p ʊ ə̯ r t
passaat	p a s ɑː t
peer	p ɪ ə̯ r
pels	p ɛ l s
perd	p æː r t
perfek	p ə r f ɛ k
perfek	p ɛ r f ɛ k
pers	p æː r s
pers	p ɛ r s
pers	p ɛː r s
perske	p ɛ r s k ə
persoonlik	p ə r s ʊ ə̯ n l ə k
persoonlikheid	p ə r s ʊ ə̯ n l ə k ɦ ə i̯ t
piek	p i k
pienk	p i ŋ k
piering	p i r ə ŋ
piesang	p i s a ŋ
pil	p ə l
pla	p l ɑː
plaas	p l ɑː s
plaasaanval	p l ɑː s ɑː n v a l
plaasdier	p l ɑː s d i r
plaasmoord	p l ɑː s m ʊ ə̯ r t
plaende	p l ɑː ə n d ə
plank	p l a ŋ k
platejoggie	p l ɑː t ə j ɔ χ i
platteland	p l a t ə l a n t
plek	p l ɛ k
plesier	p l ə s iː r
pluimbal	p l œ i̯ m b a l
pluk	p l œ k
poes	p u s
pofadder	p ɔ f a d ə r
polder	p ɔ l d ə r
pole	p ʊ ə l ə
polisie	p ʊ ə̯ l i s i
polisiekantoor	p ʊ ə̯ l i s i k a n t ʊ ə̯ r
pols	p ɔ l s
pomp	p ɔ m p
pools	p ʊ ə l s
poot	p ʊ ə̯ t
portret	p ɔ r t r ɛ t
positief	p ʊ ə̯ s i t i f
poskantoor	p ɔ s k a n t ʊ ə̯ r
poësie	p ʊ ə̯ ə s i
praalgraf	p r ɑː l χ r a f
praat	p r ɑː t
pragtig	p r a χ t ə χ
praktyk	p r a k t ə i̯ k
preek	p r ɪ ə̯ k
prent	p r ɛ n t
presies	p r ə s i s
pretoria	p r ə t ʊ ə r i a
prinses	p r ə n s ɛ s
produk	p r ʊ ə̯ d œ k
profeet	p r ʊ ə f ɪ ə t
proses	p r ʊ ə̯ s ɛ s
protes	p r ʊ ə̯ t ɛ s
pruim	p r œ i̯ m
publikasie	p y b l i k ɑː s i
publiseer	p y b l i s ɪ ə̯ r
pyn	p ə i n
pynappel	p ə i̯ n a p ə l
pyne	p ə i n ə
pynlik	p ə i̯ n l ə k
pynstiller	p ə i̯ n s t ə l ə r
pyp	p ə i p
raadpleeg	r ɑː t p l ɪ ə̯ χ
raaf	r ɑː f
raai	r ɑː i
raap	r ɑː p
radio	r ɑː d i ʊ ə̯
rampokker	r a m p ɔ k ə r
rand	r ɐ n t
raserny	r ɑː s ə r n ə i̯
rassis	r a s ə s
reebok	r ɪ ə̯ b ɔ k
reeks	r ɪ ə̯ k s
reeksmoordenaar	r ɪ ə̯ k s m ʊ ə̯ r d ə n ɑː r
regering	r ə χ ɪ ə̯ r ə ŋ
regisseur	r ɪ ə̯ χ i s ɪ ø r
regmatig	r ɛ χ m ɑː t ə χ
regs	r ɛ χ s
regstaat	r ɛ χ s t ɑː t
reier	r ə i̯ ə r
rekenaar	r ɪ ə̯ k ə n ɑː r
renoster	r ə n ɔ s t ə r
respek	r ə s p ɛ k
restaurant	r ɛ s t u r a n t
restaurant	r ɛ s t ʊ ə̯ r a n t
reus	r ɪ ø s
reën	r eː ə n
reën	r ɪ ə̯ n
riet	r i t
risiko	r i s i k ʊ ə̯
ritme	r ə t m ə
rivier	r ə f iː r
robot	r ʊ ə̯ b ɔ t
roep	r u p
roereier	r u r ə i̯ ə r
rof	r ɔ f
rok	r ɔ k
rol	r ɔ l
rolle	r ɔ l ə
rolstoel	r ɔ l s t u l
rond	r ɔ n t
roofdier	r ʊ ə̯ f d i r
rooi	r oː i̯
rooibos	r oː i̯ b ɔ s
rooikappie	r oː i̯ k ɑ p i
rook	r ʊ ə̯ k
room	r ʊ ə̯ m
roos	r ʊ ə̯ s
rou	r œ u
rower	r ʊ ə̯ v ə r
rug	r œ χ
rugsak	r œ χ s a k
ruiker	r œ i̯ k ə r
ruit	r œ i̯ t
ruiter	r œ i̯ t ə r
rus	r œ s
rusie	r y s i
ruïne	r y i n ə
ry	r ə i
rym	r ə i̯ m
rûe	r œː
s'n	s ə n
saal	s ɑː l
saam	s ɑː m
saamkom	s ɑː m k ɔ m
saans	s ɑː n s
saffier	s a f i r
sag	s a χ
sakdoek	s a k d u k
sakevrou	s ɑː k ə f r œ u̯
sal	s a l
salamander	s a l a m a n d ə r
salmander	s a l m a n d ə r
sambreel	s a m b r ɪ ə l
samespraak	s ɑː m ə s p r ɑː k
samevatting	s ɑː m ə f a t ə ŋ
sand	s a n t
sandkasteel	s a n t k a s t ɪ ə̯ l
sappig	s a p ə χ
se	s ə
see	s ɪ ə
seekomkommer	s ɪ ə̯ k ɔ m k ɔ m ə r
seep	s ɪ ə p
seeskap	s ɪ ə̯ s k a p
seevlak	s ɪ ə̯ f l a k
seis	s ə i s
seisoen	s ə i̯ s u n
sekere	s ɪ ə k ə r ə
sekerlik	s ɪ ə̯ k ə r l ə k
sel	s ɛ l
selde	s ɛ l d ə
selmaat	s ɛ l m ɑː t
sending	s ɛ n d ə ŋ
sent	s ɛ n t
senuweeagtig	s ɪ ə̯ n y v ɪ ə̯ a χ t ə χ
serp	s ɛ r p
servet	s ə r f ɛ t
seun	s e ø n
seuntjie	s e ø n k i
seën	s ɪ ə̯ n
siek	s i k
siekehuis	s i k ə ɦ œ i̯ s
siektekiem	s i k t ə k i m
sien	s i n
sierwa	s i r v ɑː
sigbaar	s ə χ b ɑː r
siklus	s i k l œ s
silwer	s ə l v ə r
sin	s ə n
sing	s ə ŋ
sink	s ə ŋ k
sinsbou	s ə n s b œ u̯
sirkel	s ə r k ə l
sirkus	s ə r k œ s
sit	s ə t
sitkamer	s ə t k ɑː m ə r
sjokolade	ʃ ʊ ə̯ k ʊ ə̯ l ɑː d ə
skaamte	s k ɑː m t ə
skaamteloos	s k ɑː m t ə l ʊ ə̯ s
skaap	s k ɑː p
skaars	s k ɑː r s
skaatsplank	s k ɑ t s p l a ŋ k
skadu	s k ɑː d y
skaduwee	s k ɑː d ə v i ə̯
skandelik	s k a n d ə l ə k
skare	s k ɑː r ə
skarminkel	s k a r m ə ŋ k ə l
skat	s k a t
skedel	s k ɪ ə̯ d ə l
skiet	s k i t
skildery	s k ə l d ə r ə i̯
skim	s k ə m
skip	s k ə p
skipbreuk	s k ə p b r ɪ ø k
skoen	s k u n
skool	s k ʊ ə̯ l
skoolmaat	s k ʊ ə̯ l m ɑː t
skoolvoeding	s k ʊ ə̯ l f u d ə ŋ
skoon	s k ʊ ə̯ n
skoorsteen	s k ʊ ə̯ r s t ɪ ə̯ n
skoot	s k ʊ ə t
skootrekenaar	s k ʊ ə t r ɪ ə̯ k ə n ɑː r
skotland	s k ɔ t l a n t
skottelgoed	s k ɔ t ə l χ u t
skroef	s k r u f
skroewe	s k r u v ə
skrywer	s k r ə i̯ v ə r
skuld	s k œ l t
skuldig	s k œ l d ə χ
skuldige	s k œ l d ə χ ə
skyf	s k ə i f
skêr	s k ɛː r
slaaf	s l ɑː f
slaan	s l ɑː n
slaapkamer	s l ɑː p k ɑː m ə r
slaat	s l ɑː t
slagoffer	s l a χ ɔ f ə r
slak	s l a k
slank	s l a ŋ k
slavin	s l ɑː v ə n
slawe	s l ɑː v ə
sleutel	s l ɪ ø t ə l
sloep	s l u p
sluit	s l œ i t
slurp	s l œ r p
smid	s m ə t
smous	s m œ u̯ s
smuts	s m a t s
smuts	s m œ t s
snaaks	s n ɑː k s
snags	s n a χ s
snawel	s n ɑː v ə l
sneeu	s n i u
snert	s n ɛ r t
snik	s n ə k
snoek	s n u k
snoeker	s n u k ə r
snol	s n ɔ l
snorkel	s n ɔ r k ə l
sodoende	s ʊ ə̯ d u n d ə
soen	s u n
soet	s u t
soewerein	s u ʋ ə r ə i n
soewereiniteit	s u ʋ ə r ə i n i t ə i t
sog	s ɔ χ
sok	s ɔ k
soldaat	s ɔ l d ɑː t
solder	s ɔ l d ə r
somers	s ʊ ə̯ m ə r s
sommer	s ɔ m ə r
soms	s ɔ m s
son	s ɔ n
sondaar	s ɔ n d ɑː r
sondares	s ɔ n d ɑː r ɛ s
sonder	s ɔ n d ə r
sonneblom	s ɔ n ə b l ɔ m
sonnig	s ɔ n ə χ
soontoe	s ʊ ə̯ n t u
soos	s ʊ ə s
sorg	s ɔ r χ
sou	s œ u
sous	s œ u̯ s
sout	s œ u̯ t
spaarsamig	s p ɑː r s ɑː m ə χ
spaarvark	s p ɑː r f a r k
spaarwiel	s p ɑː r v i l
spanje	s p a n j ə
speel	s p ɪ ə̯ l
speelgrond	s p ɪ ə l χ r ɔ n t
spel	s p ɛ l
speld	s p ɛ l t
spelonk	s p ə l ɔ n k
spelonk	s p ɪ ə̯ l ɔ n k
spieël	s p iː l
spieëls	s p iː l s
splinternuut	s p l ə n t ə r n y t
spoedbult	s p u t b œ l t
spoel	s p u l
spook	s p ʊ ə̯ k
spoorweg	s p oː r w ɛ χ
spraakvryheid	s p r ɑː k f r ə i̯ ɦ ə i̯ t
spreektaal	s p r ɪ ə̯ k t ɑː l
spyker	s p ə i̯ k ə r
spyskaart	s p ɛ i̯ s k aː r t
staafkode	s t ɑː f k ʊ ə̯ d ə
staal	s t ɑː l
staan	s t ɑː n
staat	s t ɑː t
staatshoof	s t ɑː t s ɦ ʊ ə̯ f
stad	s t a t
stadsaal	s t a t s ɑː l
stadspoort	s t a t s p ʊ ə̯ r t
staking	s t ɑː k ə ŋ
stam	s t a m
standbeeld	s t a n t b ɪ ə̯ l t
stasie	s t ɑː s i
steen	s t ɪ ə̯ n
steenkool	s t ɪ ə̯ n k ʊ ə̯ l
stem	s t ɛ m
stichting	s t ɪ x t ɪ ŋ
stigting	s t ə χ t ə ŋ
stillewe	s t ə l l ɪ ə̯ v ə
stilte	k ə l t ə
stoel	s t u l
stoep	s t u p
stof	s t ɔ f
stofpad	s t ɔ f p a t
stok	s t ɔ k
stokkielekker	s t ɔ k i l ɛ k ə r
stol	s t ɔ l
stoom	s t ʊ ə̯ m
stoomroller	s t ʊ ə̯ m r ɔ l ə r
stowwe	s t ɔ v ə
straal	s t r ɑː l
straatvrou	s t r ɑː t f r œ u̯
strand	s t r a n t
streek	s t r ɪ ə̯ k
streekliteratuur	s t r ɪ ə̯ k l i t ə r a t y r
strek	s t r ɛ k
strepieskode	s t r ɪ ə̯ p i s k ʊ ə̯ d ə
strik	s t r ə k
stront	s t r ɔ n t
stroop	s t r ə ʊ̯ p
stroopwafel	s t r ʊ ə̯ p v ɑː f ə l
strydwa	s t r ə i t v ɑː
stug	s t œ χ
stuk	s t œ k
sug	s œ χ
suidwaarts	s œ i̯ t v ɑː r t s
suig	s œ i χ
suigstokkie	s œ i̯ χ s t ɔ k i
suiker	s œ i̯ k ə r
sus	s œ s
suster	s œ s t ə r
suur	s y r
swaan	s v ɑː n
sweep	s v ɪ ə̯ p
sweet	s v ɪ ə̯ t
swembad	s v ə m b a t
swembad	s v ɛ m b a t
swyn	s v ə i̯ n
sy	s ə i
sê	s ɛː
sôe	s oː ə
taal	t ɑː l
taalbeleid	t ɑː l b ə l ə i̯ t
taalgeleerde	t ɑː l χ ə l ɪ ə̯ r d ə
tabernakel	t a b ə r n ɑː k ə l
tafel	t ɑː f ə l
taktiek	t a k t i k
tale	t ɑː l ə
tamatie	t a m ɑː t i
tandeborsel	t a n d ə b ɔ r s ə l
tandepasta	t a n d ə p a s t a
tandepasta	t a n ə p a s t a
te	t ə
teater	t ɪ ə̯ ɑː t ə r
tee	t ɪ ə̯
teef	t i ə f
teekoppie	t ɪ ə̯ k ɔ p i
teel	t i ə̯ l
teen	t ɪ ə n
teenoor	t ɪ ə̯ n ʊ ə̯ r
teerpad	t ɪ ə̯ r p a t
tegniek	t ɛ χ n i k
teiken	t ə i̯ k ə n
teken	t i ə̯ k ə n
tekkie	t ɛ k i
telefoneer	t ɪ ə̯ l ə f ʊ ə̯ n ɪ ə̯ r
telefoon	t ɛ l ə f ʊ ə̯ n
telefoon	t ɪ ə̯ l ə f ʊ ə̯ n
telg	t ɛ l χ
telluur	t ɛ l y r
theron	t r o n
theron	t r ɔ n
tiekie	t i k i
tiekieboks	t i k i b ɔ k s
tiet	t i t
tjap	t ʃ a p
tjorts	t ʃ ɔ r t s
toeka	t u k a
toenadering	t u n ɑː d ə r ə ŋ
toesig	t u s ə χ
toespraak	t u s p r ɑː k
toestel	t u s t ɛ l
tong	t ɔ ŋ
tonnel	t ɔ n ə l
tooi	t oː i̯
toonbank	t ʊ ə̯ n b a ŋ k
toor	t oː r
tor	t ɔ r
toring	t ʊ ə̯ r ə ŋ
tot	t ɔ t
tou	t œ u̯
traan	t r ɑː n
trap	t r a p
tree	t r ɪ ə̯
trein	t r ə i n
tronk	t r ɔ ŋ k
tsjeggies	t ʃ ɛ χ i s
tuin	t œ i̯ n
tuis	t œ i̯ s
tuiste	t œ i̯ s t ə
tussen	t œ s ə n
twee	t v e ə
twee	t v ɪ ə̯
twyfel	t v ə i̯ f ə l
u	y
ui	œ j
uitdrukking	œ i̯ t d r œ k ə ŋ
uitgawe	œ i̯ t χ ɑː v ə
uithol	œ i̯ t ɦ ɔ l
uitjie	œ j k i
uitoefen	œ i t u f ə n
uitskel	œ i̯ t s k ɛ l
uitsondering	œ i̯ t s ɔ n d ə r ə ŋ
uitspraakwoordeboek	œ i̯ t s p r ɑː k v o ə̯ r d ə b u k
uitstel	œ i̯ t s t ɛ l
uittog	œ i̯ t ɔ χ
universiteit	y n i v ɛ r s i t ə i̯ t
ure	y r ə
uur	y r
vaal	f ɑː l
vaart	f ɑː r t
vaartuig	f ɑː r t œ i̯ χ
vader	f ɑː d ə r
vakansie	f a k a n s i
val	f a l
valskerm	f a l s k ɛ r m
van	f a n
vanaand	f ə n ɑː n t
vandag	f ə n d a χ
vandeesweek	f ə n d ɪ ə̯ s v ɪ ə̯ k
vangs	f a ŋ s
vannag	f ə n a χ
vark	f a r k
vars	f a r s
vas	f a s
vat	f a t
veel	f ɪ ə l
veertig	f ɪ ə̯ r t ə χ
veiligheid	f ə i̯ l ə χ ɦ ə i̯ t
veiling	f ə i̯ l ə ŋ
vel	f ɛ l
veldbrand	f ɛ l t b r a n t
veldfliek	f ɛ l t f l i k
veldslag	f ɛ l t s l a χ
ver	f ɛ r
veral	f ə r a l
veras	f ə r a s
verbeelding	f ə r b ɪ ə̯ l d ə ŋ
verbrysel	f ə r b r ə i̯ s ə l
verby	f ə r b ə i̯
verbygaan	f ə r b ə i̯ χ ɑː n
verdagte	f ə r d a χ t ə
verdwyn	f ə r d w ɛ i n
verf	f ɛ r f
vergeef	f ə r χ ɪ ə̯ f
vergeet	f ə r χ ɪ ə̯ t
vergewe	f ə r χ ɪ ə̯ v ə
verhaal	f ə r ɦ ɑː l
verhouding	f ə r ɦ œ u̯ d ə ŋ
verjaardag	f ə r j ɑː r d a χ
verjaarsdag	f ə r j ɑː r s d a χ
verjonging	f ə r j ɔ ŋ ə ŋ
verkeer	f ə r k ɪ ə r
verkenner	f ə r k ɛ n ə r
verlies	f ə r l i s
verloor	f ə r l ʊ ə r
vermaak	f ə r m ɑː k
verminder	f ə r m ə n d ə r
verpas	f ə r p a s
verras	f ə r a s
verrot	f ə r ɔ t
vers	f ɛ r s
versaak	f ə r s ɑː k
versekering	f ə r s ɪ ə̯ k ə r ə ŋ
versie	f ɛ r s i
versigtig	f ə r s ə χ t ə χ
versin	f ə r s ə n
verskiet	f ə r s k i t
verslaan	f ə r s l ɑː n
verspil	f ə r s p ə l
verstaan	f ə r s t ɑː n
versuip	f ə r s œ i̯ p
verte	f ɛ r t ə
vertrek	f ə r t r ɛ k
verveling	f ə r f ɪ ə̯ l ə ŋ
verwaarloos	f ə r v ɑː r l ʊ ə̯ s
verwant	f ə r v ɑ n t
verwoes	f ə r v u s
verwoesting	f ə r v u s t ə ŋ
verwyder	f ə r v ə i̯ ə r
verwysing	f ə r ʋ ə i̯ s ə ŋ
vesel	v ɪ ə̯ s ə l
veselperske	v ɪ ə̯ s ə l p ɛ r s k ə
veteraanmotor	v ɪ ə̯ t ə r ɑː n m ʊ ə̯ t ə r
vind	f ə n t
vinger	f ə ŋ ə r
vink	f ə ŋ k
viool	f i ʊ ə̯ l
vir	f ə r
vis	f ə s
visse	f ə s ə
visser	f ə s ə r
vlak	f l a k
vlakte	f l a k t ə
vlam	f l a m
vleg	f l ɛ χ
vleis	f l ə i s
vlerk	f l ɛ r k
vlieg	f l i χ
vliegveld	f l iː χ f ɛ l t
vlinder	f l ə n d ə r
vloei	f l u i
vloeistof	f l u i s t ɔ f
vloer	f l u r
vloot	f l ʊ ə̯ t
vlootblou	f l ʊ ə̯ t b l œ u
vlugteling	f l œ χ t ə l ə ŋ
voeding	v u d ə ŋ
voedingstof	v u d ə ŋ s t ɔ f
voedsaam	f u t s ɑː m
voedsaamheid	f u t s ɑː m ɦ ə i̯ t
voedsel	f u t s ə l
voedselgewas	v u t s ə l χ ə v a s
voetangel	f u t a ŋ ə l
voetstap	f u t s t a p
vokaal	f ʊ ə̯ k ɑː l
vol	f ɔ l
volg	f ɔ l χ
volharding	f ɔ l ɦ a r d ə ŋ
volk	f ɔ l k
volkslied	f ɔ l k s l i t
volle	f ɔ l ə
volste	f ɔ l s t ə
volste	ʋ ɔ l s t ə
volstruis	f ɔ l s t r œ i̯ s
vonk	v ɔ ŋ k
vonkprop	f ɔ ŋ k p r ɔ p
voor	f ʊ ə̯ r
voorbeeld	f ʊ ə̯ r b ɪ ə̯ l t
voorbok	f ʊ ə̯ r b ɔ k
voordeur	f ʊ ə̯ r d ɪ ø r
voorgereg	f oː r χ ə r ɛ χ
voorkom	f ʊ ə r k ɔ m
voorskoot	f ʊ ə r s k ʊ ə t
voortbrengsel	f ʊ ə̯ r t b r ɛ ŋ s ə l
vorm	f ɔ r m
vos	f ɔ s
voël	f ʊ ə̯ l
vra	f r ɑː
vraag	f r ɑː χ
vrae	f r ɑː ə
vrede	f r ɪ ə̯ d ə
vreemd	f r ɪ ə m t
vreemdeling	f r ɪ ə̯ m d ə l ə ŋ
vrees	f r ɪ ə s
vreet	f r ɪ ə t
vrot	f r ɔ t
vrou	f r œ u̯
vrug	f r œ χ i
vrugteskommel	f r œ χ t ə s k ɔ m ə l
vrydag	f r ə i d a χ
vuis	f œ i s
vuiste	f œ i s t ə
vulkaan	v œ l k ɑː n
vullis	f œ l ə s
vullis	f ə l ə s
vullisdrom	f œ l ə s d r ɔ m
vulstasie	f œ l s t ɑː s i
vuurblusser	f y r b l œ s ə r
vuurhout	f y r ɦ œ u̯ t
vuurhoutjie	f y r œ u̯ k i
vuurhoutjie	f y r ɦ œ u̯ k i
vy	f ə i
vyand	f ə i̯ a n t
vyandig	f ə i̯ a n d ə χ
vygie	f ə i̯ χ i
wa	v ɑː
waagmoedig	v ɑː χ m u d ə χ
waarnatoe	v ɑː r n a t u
waatlemoen	v ɑ t l ə m u n
waatlemoen	v ɑː t l ə m u n
waens	v ɑː ə n s
wag	v a χ
walvis	v a l f ə s
wandelpad	v a n d ə l p a t
want	v a n t
wantroue	v a n t r œ u̯ ə
wantrouig	v a n t r œ u̯ ə χ
warmte	v a r m t ə
wartlemoen	v ɑ r t l ə m u n
wasbak	v a s b a k
wat	v a t
water	v ɑː t ə r
waterlemoen	v ɑː t ə r l ə m u n
waterstof	v ɑː t ə r s t ɔ f
waterstofbom	v ɑː t ə r s t ɔ f b ɔ m
waterval	v ɑː t ə r f a l
watter	v a t ə r
waëns	v ɑː ə n s
wedloop	v ɛ t l ʊ ə̯ p
weemoed	v ɪ ə̯ m u t
weergawe	v ɪ ə̯ r χ ɑː v ə
weerstand	v ɪ ə̯ r s t a n t
wees	v ɪ ə s
weet	v ɪ ə t
weg	v ɛ χ
weggaan	v ɛ χ ɑː n
weggooi	v ɛ χ χ oː i̯
wen	v ɛ n
wenteltrap	v ɛ n t ə l t r a p
werk	ʋ ɛː r k
werkwoord	v ɛ r k v ʊ ə̯ r t
wese	v ɪ ə s ə
weswaarts	v ɛ s v ɑː r t s
wet	v ɛ t
wetgewing	v ɛ t χ ɪ ə̯ v ə ŋ
wig	v ə χ
wil	v ə l
wild	v ə l t
wildtuin	v ə l t œ i̯ n
wilg	v ə l χ
wind	v ə n t
winkel	v ə ŋ k ə l
winkelsentrum	v ə ŋ k ə l s ɛ n t r œ m
winter	v ə n t ə r
wisselkoers	v ə s ə l k uː r s
wit	v ə t
witman	v ə t m a n
woensdag	v u n s d a χ
wolk	v ɔ l k
wonderlik	v ɔ n d ə r l ə k
woonstel	v ʊ ə̯ n s t ɛ l
woord	v ʊ ə r t
woordeboek	v u ə̯ r d ə b u k
word	v ɔ r t
wors	v ɔ r s
worshond	v ɔː r s ɦ ɔ n t
wrak	v r a k
wurg	v œ r χ
wy	v ə i
wyd	v ə i̯ t
wyn	v ə i̯ n
wynruit	v ə i̯ n r œ i̯ t
wysheid	v ə i̯ s ɦ ə i̯ t
wêreld	v ɛː r ə l t
wîe	v əː ə
ysig	ə i̯ s ə χ
yslik	ə i̯ s l ə k
yster	ə i s t ə r
ystervark	ə i̯ s t ə r f a r k
