aa	ɑː
eläkevakuutusmaksu	e l æ k eˣ ʋ ɑ k uː t u s m ɑ k s u
eläkkeelle	e l æ kː eː lː eˣ
eläkkeellä	e l æ kː eː lː æ
eläkkeensaaja	e l æ kː eː n s ɑː j ɑ
eläköityminen	e l æ k ø i̯ t y m i n e n
eläköityä	e l æ k ø i̯ t y æˣ
elämismaailma	e l æ m i s m ɑː i l m ɑ
elämyksellisesti	e l æ m y k s e lː i s e s t iˣ
elämyksellisyys	e l æ m y k s e lː i s yː s
elämysmaailma	e l æ m y s m ɑː i l m ɑ
elämysmatkailu	e l æ m y s m ɑ t k ɑ i̯ l u
elämyspedagogiikka	e l æ m y s p e d ɑ ɡ o ɡ iː kː ɑ
elämyspohja	e l æ m y s p o h j ɑ
elämysteollisuus	e l æ m y s t e o lː i s uː s
elämäkertaelokuva	e l æ m æ k e r t ɑ e l o k u ʋ ɑ
elämäkertakirjallisuus	e l æ m æ k e r t ɑ k i r j ɑ lː i s uː s
elämäkertaromaani	e l æ m æ k e r t ɑ r o m ɑː n i
elämäkertateos	e l æ m æ k e r t ɑ t e o s
elämäkertatutkimus	e l æ m æ k e r t ɑ t u t k i m u s
elämäkerturi	e l æ m æ k e r t u r i
elämänaikainen	e l æ m æ n ɑ i̯ k ɑ i̯ n e n
elämänalue	e l æ m æ n ɑ l u eˣ
elämänarvo	e l æ m æ n ɑ r ʋ o
elämänasenne	e l æ m æ n ɑ s e nː eˣ
elämänehto	e l æ m æ n e h t o
elämäneliksiiri	e l æ m æ n e l i k s iː r i
elämänfilosofia	e l æ m æ n f i l o s o f i ɑ
elämänhallinta	e l æ m æ n h ɑ lː i n t ɑ
elämänhaluinen	e l æ m æ n h ɑ l u i̯ n e n
elämänhistoria	e l æ m æ n h i s t o r i ɑ
elämänihanne	e l æ m æ n i h ɑ nː eˣ
elämänilmiö	e l æ m æ n i l m i ø
elämäniloinen	e l æ m æ n i l o i̯ n e n
elämäniloisesti	e l æ m æ n i l o i̯ s e s t iˣ
elämänjano	e l æ m æ n j ɑ n o
elämänjuoksu	e l æ m æ n j u o̯ k s u
elämänjärjestys	e l æ m æ n j æ r j e s t y s
elämänkaari	e l æ m æ n k ɑː r i
elämänkaariterapia	e l æ m æ n k ɑː r i t e r ɑ p i ɑ
elämänkatsomuksellisesti	e l æ m æ n k ɑ t s o m u k s e lː i s e s t iˣ
elämänkatsomustieto	e l æ m æ n k ɑ t s o m u s t i e̯ t o
elämänkerrallinen	e l æ m æ n k e rː ɑ lː i n e n
elämänkielteinen	e l æ m æ n k i e̯ l t e i̯ n e n
elämänkielteisesti	e l æ m æ n k i e̯ l t e i̯ s e s t iˣ
elämänkielteisyys	e l æ m æ n k i e̯ l t e i̯ s yː s
elämänkipinä	e l æ m æ n k i p i n æ
elämänkohtalo	e l æ m æ n k o h t ɑ l o
elämänkokemus	e l æ m æ n k o k e m u s
elämänkulku	e l æ m æ n k u l k u
elämänkumppani	e l æ m æ n k u m pː ɑ n i
elämänkutsumus	e l æ m æ n k u t s u m u s
elämänkäsitys	e l æ m æ n k æ s i t y s
elämänlanka	e l æ m æ n l ɑ ŋ k ɑ
elämänläheinen	e l æ m æ n l æ h e i̯ n e n
elämänläheisesti	e l æ m æ n l æ h e i̯ s e s t iˣ
elämänläheisyys	e l æ m æ n l æ h e i̯ s yː s
elämänmeno	e l æ m æ n m e n o
elämänmuutos	e l æ m æ n m uː t o s
elämänmyönteinen	e l æ m æ n m y ø̯ n t e i̯ n e n
elämänmyönteisesti	e l æ m æ n m y ø̯ n t e i̯ s e s t iˣ
elämänmyönteisyys	e l æ m æ n m y ø̯ n t e i̯ s yː s
elämännautinto	e l æ m æ n n ɑ u̯ t i n t o
elämännälkä	e l æ m æ n n æ l k æ
elämänodotus	e l æ m æ n o d o t u s
elämänohje	e l æ m æ n o h j eˣ
elämänpelko	e l æ m æ n p e l k o
elämänpiiri	e l æ m æ n p iː r i
elämänpolitiikka	e l æ m æ n p o l i t iː kː ɑ
elämänrytmi	e l æ m æ n r y t m i
elämäntaistelu	e l æ m æ n t ɑ i̯ s t e l u
elämäntaiteilija	e l æ m æ n t ɑ i̯ t e i̯ l i j ɑ
elämäntaito	e l æ m æ n t ɑ i̯ t o
elämäntaival	e l æ m æ n t ɑ i̯ ʋ ɑ l
elämäntapa	e l æ m æ n t ɑ p ɑ
elämäntapasairaus	e l æ m æ n t ɑ p ɑ s ɑ i̯ r ɑ u s
elämäntarina	e l æ m æ n t ɑ r i n ɑ
elämäntehtävä	e l æ m æ n t e h t æ ʋ æ
elämäntie	e l æ m æ n t i e̯
elämäntoveri	e l æ m æ n t o ʋ e r i
elämäntyyli	e l æ m æ n t yː l i
elämänura	e l æ m æ n u r ɑ
elämänusko	e l æ m æ n u s k o
elämänvaihe	e l æ m æ n ʋ ɑ i̯ h eˣ
elämänvesi	e l æ m æ n ʋ e s i
elämänviisaus	e l æ m æ n ʋ iː s ɑ u s
elämöidä	e l æ m ø i̯ d æˣ
elämöiminen	e l æ m ø i̯ m i n e n
elänyt	e l æ n y t
elätti	e l æ tː i
elättivaris	e l æ tː i ʋ ɑ r i s
elättäminen	e l æ tː æ m i n e n
elätys	e l æ t y s
elävyys	e l æ ʋ yː s
eläväisesti	e l æ ʋ æ i̯ s e s t iˣ
elävästi	e l æ ʋ æ s t iˣ
elävöittäminen	e l æ ʋ ø i̯ tː æ m i n e n
elävöitys	e l æ ʋ ø i̯ t y s
elävöityä	e l æ ʋ ø i̯ t y æˣ
eläymys	e l æ y m y s
eläytyminen	e l æ y t y m i n e n
eläytymiskyky	e l æ y t y m i s k y k y
eläytymismenetelmä	e l æ y t y m i s m e n e t e l m æ
elää	e l æːˣ
emakko	e m ɑ kː o
emali	e m ɑ l i
emalikattila	e m ɑ l i k ɑ tː i l ɑ
emalimaalaus	e m ɑ l i m ɑː l ɑ u s
emalimuki	e m ɑ l i m u k i
emalipinta	e m ɑ l i p i n t ɑ
emalipäällyste	e m ɑ l i p æː lː y s t eˣ
emalitaide	e m ɑ l i t ɑ i̯ d eˣ
emalityö	e m ɑ l i t y ø̯
emaliväri	e m ɑ l i ʋ æ r i
emaloiminen	e m ɑ l o i̯ m i n e n
emansipatorinen	e m ɑ n s i p ɑ t o r i n e n
embleema	e m b l eː m ɑ
embolia	e m b o l i ɑ
embryologi	e m b r y o l o ɡ i
embryologia	e m b r y o l o ɡ i ɑ
emergenssi	e m e r ɡ e n sː i
emergentti	e m e r ɡ e n tː i
emeritaprofessori	e m e r iː t ɑ p r o f e sː o r i
emeritaprofessori	eː m e r i t ɑ p r o f e sː o r i
emeritusprofessori	e m e r iː t u s p r o f e sː o r i
emfaattinen	e m f ɑː tː i n e n
emi	e m i
emigrantti	e m i ɡ r ɑ n tː i
emigranttikirjallisuus	e m i ɡ r ɑ n tː i k i r j ɑ lː i s uː s
emigroitua	e m i ɡ r o i̯ t u ɑˣ
emigroituminen	e m i ɡ r o i̯ t u m i n e n
emiiri	e m iː r i
emiirikunta	e m iː r i k u n t ɑ
emikasvi	e m i k ɑ s ʋ i
emikukka	e m i k u kː ɑ
emikäpy	e m i k æ p y
emilia	e m i l i ɑ
eminorkko	e m i n o r kː o
emiraatti	e m i r ɑː tː i
emissio	e m i sː i o
emissioida	e m i sː i o i̯ d ɑˣ
emissiokurssi	e m i sː i o k u r sː i
emissiosumu	e m i sː i o s u m u
emissiovoitto	e m i sː i o ʋ o i̯ tː o
emitoida	e m i t o i̯ d ɑˣ
emittanssi	e m i tː ɑ n sː i
emitteri	e m i tː e r i
emittoida	e m i tː o i̯ d ɑˣ
emiö	e m i ø
emma	e mː ɑ
emmamme	e mː ɑ mː e
emme	e mː e
emmental	e mː e n tː ɑ l
emmi	e mː i
emmimme	e mː i mː e
emmintä	e mː i n t æ
emoalus	e m o ɑ l u s
emoeläin	e m o e l æ i̯ n
emoji	e m o j i
emokallio	e m o k ɑ lː i o
emokasvi	e m o k ɑ s ʋ i
emokenno	e m o k e nː o
emokki	e m o kː i
emolevy	e m o l e ʋ y
emosolu	e m o s o l u
emotiivisuus	e m o t iː ʋ i s uː s
emotivismi	e m o t i ʋ i s m i
emoyhtiö	e m o y h t i ø
empaatti	e m p ɑː tː i
empaattisuus	e m p ɑː tː i s uː s
empatiakykyinen	e m p ɑ t i ɑ k y k y i̯ n e n
empiiri	e m p iː r i
empiminen	e m p i m i n e n
empire	e m p i r e
empirekaupunginosa	e m p i r e k ɑ u̯ p u ŋː i n o s ɑ
empiä	e m p i æˣ
emulaatio	e m u l ɑː t i o
emulgoida	e m u l ɡ o i̯ d ɑˣ
emulgoitua	e m u l ɡ o i̯ t u ɑˣ
emulsiovoide	e m u l s i o ʋ o i̯ d eˣ
emä	e m æ
emäjoki	e m æ j o k i
emäkallio	e m æ k ɑ lː i o
emäkaupunki	e m æ k ɑ u̯ p u ŋ k i
emäkirkko	e m æ k i r kː o
emäksinen	e m æ k s i n e n
emäksisesti	e m æ k s i s e s t iˣ
emäksisyys	e m æ k s i s yː s
emälaiva	e m æ l ɑ i̯ ʋ ɑ
emälammas	e m æ l ɑ mː ɑ s
emälippu	e m æ l i pː u
emämaa	e m æ m ɑː
emännyys	e m æ nː yː s
emännöidä	e m æ nː ø i̯ d æˣ
emännöiminen	e m æ nː ø i̯ m i n e n
emännöitseminen	e m æ nː ø i̯ t s e m i n e n
emäntä	e m æ n t æ
emäntäkoulu	e m æ n t æ k o u̯ l u
emäntäväki	e m æ n t æ ʋ æ k i
emäpitäjä	e m æ p i t æ j æ
emäputki	e m æ p u t k i
emäpuu	e m æ p uː
emäs	e m æ s
emäseurakunta	e m æ s e u̯ r ɑ k u n t ɑ
emäsika	e m æ s i k ɑ
emäsryhmä	e m æ s r y h m æ
emäsvakio	e m æ s ʋ ɑ k i o
emätila	e m æ t i l ɑ
emätin	e m æ t i n
emätinhuuhtelu	e m æ t i n h uː h t e l u
emätinneste	e m æ t i n n e s t eˣ
emätinpuikko	e m æ t i n p u i̯ kː o
emätti	e m æ tː i
emävalhe	e m æ ʋ ɑ l h eˣ
en	e n
endokrinologi	e n d o k r i n o l o ɡ i
endomorfinen	e n d o m o r f i n e n
endomorfismi	e n d o m o r f i s m i
endoskopia	e n d o s k o p i ɑ
endosymbiontti	e n d o s y m b i o n tː i
endosymbioosi	e n d o s y m b i oː s i
enemmistö	e n e mː i s t ø
enemmistöhallitus	e n e mː i s t ø h ɑ lː i t u s
enemmistökansallisuus	e n e mː i s t ø k ɑ n s ɑ lː i s uː s
enemmistökieli	e n e mː i s t ø k i e̯ l i
enemmistöperiaate	e n e mː i s t ø p e r i ɑː t eˣ
enemmistövaali	e n e mː i s t ø ʋ ɑː l i
enemmistövalta	e n e mː i s t ø ʋ ɑ l t ɑ
enemmyys	e n e mː yː s
enemmälti	e n e mː æ l t iˣ
enempi	e n e m p i
eneneminen	e n e n e m i n e n
enenevästi	e n e n e ʋ æ s t iˣ
enennys	e n e nː y s
enentyminen	e n e n t y m i n e n
energetiikka	e n e r ɡ e t iː kː ɑ
energia	e n e r ɡ i ɑ
energiahuolto	e n e r ɡ i ɑ h u o̯ l t o
energiahyötykäyttö	e n e r ɡ i ɑ h y ø̯ t y k æ y̯ tː ø
energiahäviö	e n e r ɡ i ɑ h æ ʋ i ø
energiajuoma	e n e r ɡ i ɑ j u o̯ m ɑ
energiajäte	e n e r ɡ i ɑ j æ t eˣ
energiakasvi	e n e r ɡ i ɑ k ɑ s ʋ i
energiakomissaari	e n e r ɡ i ɑ k o m i sː ɑː r i
energiakriisi	e n e r ɡ i ɑ k r iː s i
energiakustannus	e n e r ɡ i ɑ k u s t ɑ nː u s
energiakäyttö	e n e r ɡ i ɑ k æ y̯ tː ø
energialaitos	e n e r ɡ i ɑ l ɑ i̯ t o s
energialaji	e n e r ɡ i ɑ l ɑ j i
energiamerkintä	e n e r ɡ i ɑ m e r k i n t æ
energiamerkki	e n e r ɡ i ɑ m e r kː i
energiametsä	e n e r ɡ i ɑ m e t s æ
energiamittari	e n e r ɡ i ɑ m i tː ɑ r i
energianeuvos	e n e r ɡ i ɑ n e u̯ ʋ o s
energianhallinta	e n e r ɡ i ɑ n h ɑ lː i n t ɑ
energianhinta	e n e r ɡ i ɑ n h i n t ɑ
energianhukka	e n e r ɡ i ɑ n h u kː ɑ
energianhäviö	e n e r ɡ i ɑ n h æ ʋ i ø
energiankulutus	e n e r ɡ i ɑ n k u l u t u s
energiansiirto	e n e r ɡ i ɑ n s iː r t o
energiansäästö	e n e r ɡ i ɑ n s æː s t ø
energiantarve	e n e r ɡ i ɑ n t ɑ r ʋ eˣ
energiantuotanto	e n e r ɡ i ɑ n t u o̯ t ɑ n t o
energiantuotantolaitos	e n e r ɡ i ɑ n t u o̯ t ɑ n t o l ɑ i̯ t o s
energiapakkaus	e n e r ɡ i ɑ p ɑ kː ɑ u s
energiapalkki	e n e r ɡ i ɑ p ɑ l kː i
energiapatukka	e n e r ɡ i ɑ p ɑ t u kː ɑ
energiapitoinen	e n e r ɡ i ɑ p i t o i̯ n e n
energiapitoisuus	e n e r ɡ i ɑ p i t o i̯ s uː s
energiapula	e n e r ɡ i ɑ p u l ɑ
energiapuu	e n e r ɡ i ɑ p uː
energiasisältö	e n e r ɡ i ɑ s i s æ l t ø
energiataloudellinen	e n e r ɡ i ɑ t ɑ l o u d e lː i n e n
energiatalous	e n e r ɡ i ɑ t ɑ l o u s
energiatase	e n e r ɡ i ɑ t ɑ s eˣ
energiataso	e n e r ɡ i ɑ t ɑ s o
energiatasokaavio	e n e r ɡ i ɑ t ɑ s o k ɑː ʋ i o
energiatehokas	e n e r ɡ i ɑ t e h o k ɑ s
energiatehokkuus	e n e r ɡ i ɑ t e h o kː uː s
energiatehokkuusluokka	e n e r ɡ i ɑ t e h o kː uː s l u o̯ kː ɑ
energiateknologia	e n e r ɡ i ɑ t e k n o l o ɡ i ɑ
energiatila	e n e r ɡ i ɑ t i l ɑ
energiatodistus	e n e r ɡ i ɑ t o d i s t u s
energiatuotanto	e n e r ɡ i ɑ t u o̯ t ɑ n t o
energiavalli	e n e r ɡ i ɑ ʋ ɑ lː i
energiavara	e n e r ɡ i ɑ ʋ ɑ r ɑ
energiavarasto	e n e r ɡ i ɑ ʋ ɑ r ɑ s t o
energiavero	e n e r ɡ i ɑ ʋ e r o
energiavyö	e n e r ɡ i ɑ ʋ y ø̯
energiayhtiö	e n e r ɡ i ɑ y h t i ø
energisoida	e n e r ɡ i s o i̯ d ɑˣ
energisyys	e n e r ɡ i s yː s
enetä	e n e t æˣ
engelsmanni	e ŋː e l s m ɑ nː i
englanninbulldoggi	e ŋ l ɑ nː i n b u lː d o ɡː i
englanninkettukoira	e ŋ l ɑ nː i n k e tː u k o i̯ r ɑ
englanninkääpiöterrieri	e ŋ l ɑ nː i n k æː p i ø t e rː i e r i
englanninlakritsi	e ŋ l ɑ nː i n l ɑ k r i t s i
englanninpeninkulma	e ŋ l ɑ nː i n p e n i n k u l m ɑ
englanninraiheinä	e ŋ l ɑ nː i n r ɑ i̯ h e i̯ n æ
englanninsinililja	e ŋ l ɑ nː i n s i n i l i l j ɑ
englanninspringerspanieli	e ŋ l ɑ nː i n s p r i ŋː e r s p ɑ n i e l i
englannintaa	e ŋ l ɑ nː i n t ɑː
englannintaa	e ŋ l ɑ nː i n t ɑːˣ
englannintaminen	e ŋ l ɑ nː i n t ɑ m i n e n
englanti	e ŋ l ɑ n t i
englantilainen	e ŋ l ɑ n t i l ɑ i̯ n e n
englantilaismies	e ŋ l ɑ n t i l ɑ i̯ s m i e̯ s
englantilaisnainen	e ŋ l ɑ n t i l ɑ i̯ s n ɑ i̯ n e n
enharmoninen	e n h ɑ r m o n i n e n
enigma	e n i ɡ m ɑ
enigmaattinen	e n i ɡ m ɑː tː i n e n
enimmin	e n i mː i n
enimmiten	e n i mː i t e n
enimmäinen	e n i mː æ i̯ n e n
enimmäisarvo	e n i mː æ i̯ s ɑ r ʋ o
enimmäishinta	e n i mː æ i̯ s h i n t ɑ
enimmäiskoko	e n i mː æ i̯ s k o k o
enimmäismäärä	e n i mː æ i̯ s m æː r æ
enimmäisnopeus	e n i mː æ i̯ s n o p e u s
enimmäispaino	e n i mː æ i̯ s p ɑ i̯ n o
enimmäispitoisuus	e n i mː æ i̯ s p i t o i̯ s uː s
enimmäisteho	e n i mː æ i̯ s t e h o
enimmäistukkuhinta	e n i mː æ i̯ s t u kː u h i n t ɑ
enimmäkseen	e n i mː æ k s eː n
enimmälti	e n i mː æ l t iˣ
enimmältään	e n i mː æ l t æː n
enimmän	e n i mː æ n
enin	e n i n
enintään	e n i n t æː n
eniten	e n i t e n
enkeli	e ŋ k e l i
enkelihai	e ŋ k e l i h ɑ i̯
enkelihierarkia	e ŋ k e l i h i e̯ r ɑ r k i ɑ
enkelihoito	e ŋ k e l i h o i̯ t o
enkelikolibri	e ŋ k e l i k o l i b r i
enkelinkasvoinen	e ŋ k e l i n k ɑ s ʋ o i̯ n e n
enkelinkiharat	e ŋ k e l i n k i h ɑ r ɑ t
enkelipöly	e ŋ k e l i p ø l y
enkeliterapia	e ŋ k e l i t e r ɑ p i ɑ
enkelitomu	e ŋ k e l i t o m u
enkeliys	e ŋ k e l i y s
enkka	e ŋ kː ɑ
enkku	e ŋ kː u
enkkulainen	e ŋ kː u l ɑ i̯ n e n
enkliitti	e ŋ k l iː tː i
enkliittinen	e ŋ k l iː tː i n e n
enkooderi	e ŋ k oː d e r i
ennakkoarvelu	e nː ɑ kː o ɑ r ʋ e l u
ennakkoarvio	e nː ɑ kː o ɑ r ʋ i o
ennakkoasenne	e nː ɑ kː o ɑ s e nː eˣ
ennakkoehkäisy	e nː ɑ kː o e h k æ i̯ s y
ennakkoesitys	e nː ɑ kː o e s i t y s
ennakkoilmoitus	e nː ɑ kː o i l m o i̯ t u s
ennakkokappale	e nː ɑ kː o k ɑ pː ɑ l eˣ
ennakkokorko	e nː ɑ kː o k o r k o
ennakkokäsitys	e nː ɑ kː o k æ s i t y s
ennakkolaskelma	e nː ɑ kː o l ɑ s k e l m ɑ
ennakkoluulo	e nː ɑ kː o l uː l o
ennakkoluulottomuus	e nː ɑ kː o l uː l o tː o m uː s
ennakkomaine	e nː ɑ kː o m ɑ i̯ n eˣ
ennakkomainonta	e nː ɑ kː o m ɑ i̯ n o n t ɑ
ennakkomainostus	e nː ɑ kː o m ɑ i̯ n o s t u s
ennakkomerkintä	e nː ɑ kː o m e r k i n t æ
ennakkomielipide	e nː ɑ kː o m i e̯ l i p i d eˣ
ennakkomyynti	e nː ɑ kː o m yː n t i
ennakkonäytös	e nː ɑ kː o n æ y̯ t ø s
ennakkoperintä	e nː ɑ kː o p e r i n t æ
ennakkopiste	e nː ɑ kː o p i s t eˣ
ennakkopäätelmä	e nː ɑ kː o p æː t e l m æ
ennakkopäätös	e nː ɑ kː o p æː t ø s
ennakkoratkaisu	e nː ɑ kː o r ɑ t k ɑ i̯ s u
ennakkosensuuri	e nː ɑ kː o s e n s uː r i
ennakkosuoritus	e nː ɑ kː o s u o̯ r i t u s
ennakkosuunnittelu	e nː ɑ kː o s uː nː i tː e l u
ennakkosävel	e nː ɑ kː o s æ ʋ e l
ennakkotapaus	e nː ɑ kː o t ɑ p ɑ u s
ennakkotarkastus	e nː ɑ kː o t ɑ r k ɑ s t u s
ennakkotilaaja	e nː ɑ kː o t i l ɑː j ɑ
ennakkotilaus	e nː ɑ kː o t i l ɑ u s
ennakkotoimi	e nː ɑ kː o t o i̯ m i
ennakkotorjunta	e nː ɑ kː o t o r j u n t ɑ
ennakkotuonti	e nː ɑ kː o t u o̯ n t i
ennakkouutinen	e nː ɑ kː o uː t i n e n
ennakkovaatimus	e nː ɑ kː o ʋ ɑː t i m u s
ennakkovaraaja	e nː ɑ kː o ʋ ɑ r ɑː j ɑ
ennakkovaraus	e nː ɑ kː o ʋ ɑ r ɑ u s
ennakkovaroitus	e nː ɑ kː o ʋ ɑ r o i̯ t u s
ennakkovero	e nː ɑ kː o ʋ e r o
ennakkoverolippu	e nː ɑ kː o ʋ e r o l i pː u
ennakkovienti	e nː ɑ kː o ʋ i e̯ n t i
ennakkoäänestäminen	e nː ɑ kː o æː n e s t æ m i n e n
ennakoida	e nː ɑ k o i̯ d ɑˣ
ennakoimaton	e nː ɑ k o i̯ m ɑ t o n
ennakoiminen	e nː ɑ k o i̯ m i n e n
ennakointi	e nː ɑ k o i̯ n t i
ennakolta	e nː ɑ k o l t ɑ
ennakonkanto	e nː ɑ k o n k ɑ n t o
ennakonpidätystodistus	e nː ɑ k o n p i d æ t y s t o d i s t u s
ennallaan	e nː ɑ lː ɑː n
ennalleen	e nː ɑ lː eː n
ennallistaa	e nː ɑ lː i s t ɑːˣ
ennallistaminen	e nː ɑ lː i s t ɑ m i n e n
ennallistus	e nː ɑ lː i s t u s
ennaltaehkäisevä	e nː ɑ l t ɑ e h k æ i̯ s e ʋ æ
ennaltaehkäisy	e nː ɑ l t ɑ e h k æ i̯ s y
ennaltamääräys	e nː ɑ l t ɑ m æː r æ y s
ennaltamäärääminen	e nː ɑ l t ɑ m æː r æː m i n e n
enne	e nː eˣ
ennen	e nː e n
ennenaikainen	e nː e n ɑ i̯ k ɑ i̯ n e n
ennenkuulumattomasti	e nː e ŋ k uː l u m ɑ tː o m ɑ s t iˣ
ennennäkemättömästi	e nː e n n æ k e m æ tː ø m æ s t iˣ
ennennäkemätön	e nː e n n æ k e m æ t ø n
enni	e nː i
enninne	e nː i nː e
ennus	e nː u s
ennustaa	e nː u s t ɑːˣ
ennustaja	e nː u s t ɑ j ɑ
ennustajaeukko	e nː u s t ɑ j ɑ e u kː o
ennustaminen	e nː u s t ɑ m i n e n
ennustavuus	e nː u s t ɑ ʋ uː s
ennuste	e nː u s t eˣ
ennustejakso	e nː u s t eˣ j ɑ k s o
ennustettava	e nː u s t e tː ɑ ʋ ɑ
ennustettavuus	e nː u s t e tː ɑ ʋ uː s
ennustus	e nː u s t u s
ennustuskyky	e nː u s t u s k y k y
ennustusmenetelmä	e nː u s t u s m e n e t e l m æ
ennättäminen	e nː æ tː æ m i n e n
ennättää	e nː æ tː æːˣ
ennätyksellisesti	e nː æ t y k s e lː i s e s t iˣ
ennätyksellisyys	e nː æ t y k s e lː i s yː s
ennätysaika	e nː æ t y s ɑ i̯ k ɑ
ennätysjuoksu	e nː æ t y s j u o̯ k s u
ennätyskirja	e nː æ t y s k i r j ɑ
ennätyskorkeus	e nː æ t y s k o r k e u s
ennätyslukema	e nː æ t y s l u k e m ɑ
ennätysmies	e nː æ t y s m i e̯ s
ennätysmäisesti	e nː æ t y s m æ i̯ s e s t iˣ
ennätysnainen	e nː æ t y s n ɑ i̯ n e n
ennätyspaino	e nː æ t y s p ɑ i̯ n o
ennätyspituus	e nː æ t y s p i t uː s
ennätyssato	e nː æ t y s s ɑ t o
ennätystasovertailu	e nː æ t y s t ɑ s o ʋ e r t ɑ i̯ l u
ennätystulos	e nː æ t y s t u l o s
eno	e n o
enolaasi	e n o l ɑː s i
enologi	e n o l o ɡ i
enologia	e n o l o ɡ i ɑ
enonkoskelainen	e n o n k o s k e l ɑ i̯ n e n
enonkoski	e n o n k o s k i
enontekiö	e n o n t e k i ø
enontekiöläinen	e n o n t e k i ø l æ i̯ n e n
ensi	e n s i
ensiapu	e n s i ɑ p u
ensiapuasema	e n s i ɑ p u ɑ s e m ɑ
ensiapukaappi	e n s i ɑ p u k ɑː pː i
ensiapukurssi	e n s i ɑ p u k u r sː i
ensiapuopas	e n s i ɑ p u o p ɑ s
ensiapupakkaus	e n s i ɑ p u p ɑ kː ɑ u s
ensiaputarvike	e n s i ɑ p u t ɑ r ʋ i k eˣ
ensiarvoinen	e n s i ɑ r ʋ o i̯ n e n
ensiarvoisuus	e n s i ɑ r ʋ o i̯ s uː s
ensiasteinen	e n s i ɑ s t e i̯ n e n
ensiasunto	e n s i ɑ s u n t o
ensiesiintyjä	e n s i e s iː n t y j æ
ensiesiintymä	e n s i e s iː n t y m æ
ensiesitys	e n s i e s i t y s
ensiharvennus	e n s i h ɑ r ʋ e nː u s
ensihoitaja	e n s i h o i̯ t ɑ j ɑ
ensikertainen	e n s i k e r t ɑ i̯ n e n
ensikertalainen	e n s i k e r t ɑ l ɑ i̯ n e n
ensikesäinen	e n s i k e s æ i̯ n e n
ensikirja	e n s i k i r j ɑ
ensikko	e n s i kː o
ensikonsertti	e n s i k o n s e r tː i
ensikoti	e n s i k o t i
ensiksimainittu	e n s i k s i m ɑ i̯ n i tː u
ensikuinen	e n s i k u i̯ n e n
ensikuitu	e n s i k u i̯ t u
ensikylvö	e n s i k y l ʋ ø
ensikäyttö	e n s i k æ y̯ tː ø
ensilumi	e n s i l u m i
ensiluokkaisesti	e n s i l u o̯ kː ɑ i̯ s e s t iˣ
ensiluokkaisuus	e n s i l u o̯ kː ɑ i̯ s uː s
ensimaito	e n s i m ɑ i̯ t o
ensimarkkinat	e n s i m ɑ r kː i n ɑ t
ensimmäinen	e n s i mː æ i̯ n e n
ensimmältä	e n s i mː æ l t æ
ensin	e n s i n
ensinnäkin	e n s i nː æ k i n
ensinnäkään	e n s i nː æ k æː n
ensio	e n s i o
ensioire	e n s i o i̯ r eˣ
ensipainos	e n s i p ɑ i̯ n o s
ensipäivänkuori	e n s i p æ i̯ ʋ æ n k u o̯ r i
ensipäivänleima	e n s i p æ i̯ ʋ æ n l e i̯ m ɑ
ensirakastaja	e n s i r ɑ k ɑ s t ɑ j ɑ
ensirakkaus	e n s i r ɑ kː ɑ u s
ensisijaisuus	e n s i s i j ɑ i̯ s uː s
ensisilmäyksellä	e n s i s i l m æ y k s e lː æ
ensisynnyttäjä	e n s i s y nː y tː æ j æ
ensitalvinen	e n s i t ɑ l ʋ i n e n
ensitieto	e n s i t i e̯ t o
ensivaikutelma	e n s i ʋ ɑ i̯ k u t e l m ɑ
ensivierailu	e n s i ʋ i e̯ r ɑ i̯ l u
ensiviikkoinen	e n s i ʋ iː kː o i̯ n e n
ensiviulu	e n s i ʋ i u̯ l u
ensivuotinen	e n s i ʋ u o̯ t i n e n
ensiö	e n s i ø
ensiökuitu	e n s i ø k u i̯ t u
ensiökäämi	e n s i ø k æː m i
ensiöpaperi	e n s i ø p ɑ p e r i
ensiötutka	e n s i ø t u t k ɑ
ensyklopedia	e n s y k l o p e d i ɑ
enteellisesti	e n t eː lː i s e s t iˣ
enteellisyys	e n t eː lː i s yː s
enteillä	e n t e i̯ lː æ
enteillä	e n t e i̯ lː æˣ
enteily	e n t e i̯ l y
enter	e n tː e r
enteraalinen	e n t e r ɑː l i n e n
enterolaktoni	e n t e r o l ɑ k t o n i
entisaikainen	e n t i s ɑ i̯ k ɑ i̯ n e n
entiselleen	e n t i s e lː eː n
entispäättymä	e n t i s p æː tː y m æ
entistys	e n t i s t y s
entistäjä	e n t i s t æ j æ
entistäminen	e n t i s t æ m i n e n
entistämisavustus	e n t i s t æ m i s ɑ ʋ u s t u s
entistämissuunnitelma	e n t i s t æ m i s s uː nː i t e l m ɑ
entisyys	e n t i s yː s
entisöidä	e n t i s ø i̯ d æˣ
entisöijä	e n t i s ø i̯ j æ
entisöinti	e n t i s ø i̯ n t i
entlebuchinpaimenkoira	e n t l e b uː h i n p ɑ i̯ m e n k o i̯ r ɑ
entomologi	e n t o m o l o ɡ i
entomologia	e n t o m o l o ɡ i ɑ
entraus	e n t r ɑ u s
entropia	e n t r o p i ɑ
entä	e n t æ
entäminen	e n t æ m i n e n
entäpä	e n t æ p æ
entäs	e n t æ s
entää	e n t æːˣ
enä	e n æ
enää	e n æː
eoliitti	e o l iː tː i
eoni	e o n i
eoseeni	e o s eː n i
epatto	e p ɑ tː o
epenteettinen	e p e n t eː tː i n e n
