Adar	ɑː d ɑː ɾ
nexşekêş	n ɛ x ʃ ɛ k eː ʃ
ney	n ɛ j
nifir	n ɪ f ɪ ɾ
nimêjker	n ɪ m eː ʒ k ɛ ɾ
nivêj	n ɪ v eː ʒ
nivîs	n ɪ v iː s
nivîsbarî	n ɪ v iː s b ɑː ɾ iː
nivîskar	n ɪ v iː s k ɑː ɾ
nivîskî	n ɪ v iː s k iː
nivîsîn	n ɪ v iː s iː n
nizm	n ɪ z m
nok	n oː k
noqavok	n oː q ɑː v oː k
nêm	n eː m
nêrekew	n eː ɾ ɛ k ɛ w
nêtarî	n eː t ɑː ɾ iː
nîgarvan	n iː ɡ ɑː ɾ v ɑː n
nîr	n iː ɾ
nîtrojen	n iː t ɾ oː ʒ ɛ n
nîveşkêl	n iː v ɛ ʃ k eː l
nîvgirav	n iː v ɡ ɪ ɾ ɑː v
nû	n uː
nûjen	n uː ʒ ɛ n
nûjenî	n uː ʒ ɛ n iː
nûçe	n uː t͡ʃ ɛ
nûçename	n uː t͡ʃ ɛ n ɑː m ɛ
ocax	oː d͡ʒ ɑː x
odontolojî	oː d oː n t oː l oː ʒ iː
oksîd	oː k s iː d
oksîjen	oː k s iː ʒ ɛ n
ol	oː l
operator	oː p ɛ ɾ ɑː t oː ɾ
orgazm	oː ɾ ɡ ɑː z m
otomobîl	oː t oː m oː b iː l
pal	p ɑː l
pale	p ɑː l ɛ
paqij	p ɑː q ɪ ʒ
paqijker	p ɑː q ɪ ʒ k ɛ ɾ
paqijî	p ɑː q ɪ ʒ iː
par	p ɑː ɾ
parastin	p ɑː ɾ ɑː s t ɪ n
pare	p ɑː ɾ ɛ
pargîdanî	p ɑː ɾ ɡ iː d ɑː n iː
parsek	p ɑː ɾ s ɛ k
parzemîn	p ɑː ɾ z ɛ m iː n
parzemînî	p ɑː ɾ z ɛ m iː n iː
parêzer	p ɑː ɾ eː z ɛ ɾ
parêzerî	p ɑː ɾ eː z ɛ ɾ iː
parêzgeh	p ɑː ɾ eː z ɡ ɛ h
pay	p ɑː j
payiz	p ɑː j ɪ z
paytext	p ɑː j t ɛ x t
paşxwarin	p ɑː ʃ x w ɑː ɾ ɪ n
pej	p ɛ ʒ
pejirandin	p ɛ ʒ ɪ ɾ ɑː n d ɪ n
pembe	p ɛ m b ɛ
pembû	p ɛ m b uː
penaber	p ɛ n ɑː b ɛ ɾ
penaberî	p ɛ n ɑː b ɛ ɾ iː
pene	p ɛ n ɛ
pentoksîd	p ɛ n t oː k s iː d
penêr	p ɛ n eː ɾ
pepûk	p ɛ p uː k
perdaq	p ɛ ɾ d ɑː q
perestroyka	p ɛ ɾ ɛ s t ɾ oː j k ɑː
pergal	p ɛ ɾ ɡ ɑː l
peroksîd	p ɛ ɾ oː k s iː d
perwerde	p ɛ ɾ w ɛ ɾ d ɛ
pesinandin	p ɛ s ɪ n ɑː n d ɪ n
petêx	p ɛ t eː x
peyam	p ɛ j ɑː m
peyarê	p ɛ j ɑː ɾ eː
peykel	p ɛ j k ɛ l
peyman	p ɛ j m ɑː n
peyv	p ɛ j v
pez	p ɛ z
piling	p ɪ l ɪ ŋ ɡ
pir	p ɪ ɾ
pirs	p ɪ ɾ s
pirsgirêk	p ɪ ɾ s ɡ ɪ ɾ eː k
pirsker	p ɪ ɾ s k ɛ ɾ
pirsîn	p ɪ ɾ s iː n
pirteqal	p ɪ ɾ t ɛ q ɑː l
pirteqalî	p ɪ ɾ t ɛ q ɑː l iː
pirtûk	p ɪ ɾ t uː k
pirtûkhez	p ɪ ɾ t uː k h ɛ z
pirtûkhezî	p ɪ ɾ t uː k h ɛ z iː
pirtûkxane	pʰ ɪ ɾ t uː k x ɑː n ɛ
pirtûkxanevan	p ɪ ɾ t uː k x ɑː n ɛ v ɑː n
pirûd	p ɪ ɾ uː d
pispor	p ɪ s p oː ɾ
pisîk	p ɪ s iː k
piv	p ɪ v
piyale	p ɪ j ɑː l ɛ
piyes	p ɪ j ɛ s
piştgirî	p ɪ ʃ t ɡ ɪ ɾ iː
polonî	p oː l oː n iː
polîtolojî	p oː l iː t oː l oː ʒ iː
post	p oː s t
prolîn	p ɾ oː l iː n
pêlav	p eː l ɑː v
pêrar	p eː ɾ ɑː ɾ
pêxember	p eː x ɛ m b ɛ ɾ
pêşbazî	p eː ʃ b ɑː z iː
pêşbendik	p eː ʃ b ɛ n d ɪ k
pêşbirk	p eː ʃ b ɪ ɾ k
pêşdîrok	p eː ʃ d iː ɾ oː k
pêşdîrokî	p eː ʃ d iː ɾ oː k iː
pêşmerge	p eː ʃ m ɛ ɾ ɡ ɛ
pêşnav	p eː ʃ n ɑː v
pêşxwarin	p eː ʃ x w ɑː ɾ ɪ n
pî	p iː
pîremêr	p iː ɾ ɛ m eː ɾ
pîroz	pˤ iː ɾ oː z
pîrozbahî	p iː ɾ oː z b ɑː h iː
pîrozker	p iː ɾ oː z k ɛ ɾ
pîrozî	p iː ɾ oː z iː
pîton	p iː t oː n
pîvaz	p iː v ɑː z
pîşe	p iː ʃ ɛ
pûnijîn	p uː n ɪ ʒ iː n
pûrt	p uː ɾ t
pûşper	p uː ʃ p ɛ ɾ
qad	q ɑː d
qanûn	q ɑː n uː n
qat	q ɑː t
qawin	q ɑː w ɪ n
qayiş	q ɑː j ɪ ʃ
qaşo	q ɑː ʃ oː
qedandin	q ɛ d ɑː n d ɪ n
qefes	q ɛ f ɛ s
qehbe	q ɛ h b ɛ
qehwe	q ɛ h w ɛ
qehweyî	q ɛ h w ɛ j iː
qelb	q ɛ l b
qelen	q ɛ l ɛ n
qencî	q ɛ n d͡ʒ iː
qenepe	q ɛ n ɛ p ɛ
qepax	q ɛ p ɑː x
qesel	q ɛ s ɛ l
qesem	q ɛ s ɛ m
qetandin	q ɛ t ɑː n d ɪ n
qetran	q ɛ t ɾ ɑː n
qeysî	q ɛ j s iː
qeşartin	q ɛ ʃ ɑː ɾ t ɪ n
qeşe	q ɛ ʃ ɛ
qire	q ɪ ɾ ɛ
qomî	q oː m iː
qonax	q oː n ɑː x
qozeqer	q oː z ɛ q ɛ ɾ
qumrî	q ʊ m ɾ iː
qurm	q ʊ ɾ m
qutabxane	q ʊ t ɑː b x ɑː n ɛ
quz	q ʊ z
qîr	q iː ɾ
qîz	q iː z
qîzik	q iː z ɪ k
qûn	q uː n
qût	q uː t
rabûn	r ɑː b uː n
rahênan	r ɑː h eː n ɑː n
rahêner	r ɑː h eː n ɛ ɾ
raketin	r ɑː k ɛ t ɪ n
ramîn	r ɑː m iː n
rastî	r ɑː s t iː
rawestîn	r ɑː w ɛ s t iː n
ray	r ɑː j
reaktor	r ɛ ɑː k t oː ɾ
realîzm	r ɛ ɑː l iː z m
reh	r ɛ h
rekeh	r ɛ k ɛ h
rengdêr	r ɛ ŋ ɡ d eː ɾ
rengîn	r ɛ n ɡ iː n
reqabet	r ɛ q ɑː b ɛ t
resûl	r ɛ s uː l
retronîm	r ɛ t ɾ oː n iː m
rev	r ɛ v
revandin	r ɛ v ɑː n d ɪ n
revîn	r ɛ v iː n
rewşenbîr	r ɛ w ʃ ɛ n b iː ɾ
rexne	r ɛ x n ɛ
reyîn	r ɛ j iː n
rez	r ɛ z
riberiz	r ɪ b ɛ ɾ ɪ z
rih	r ɪ h
risq	r ɪ s q
riwekxwer	r ɪ w ɛ k x w ɛ ɾ
roj	r oː ʒ
rojane	r oː ʒ ɑː n ɛ
rojhilat	r oː ʒ h ɪ l ɑː t
rojname	r oː ʒ n ɑː m ɛ
rojnamevan	r oː ʒ n ɑː m ɛ v ɑː n
rojî	r oː ʒ iː
ronakbîr	r oː n ɑː k b iː ɾ
rovî	r oː v iː
rêber	r eː b ɛ ɾ
rêgeh	r eː ɡ ɛ h
rêveber	r eː v ɛ b ɛ ɾ
rêwî	ɾ eː w iː
rêxistin	r eː x ɪ s t ɪ n
rêz	r eː z
rêziman	r eː z ɪ m ɑː n
rî	r iː
rîtin	r iː t ɪ n
rîx	r iː x
rîş	r iː ʃ
rû	r uː
rûmet	r uː m ɛ t
rûnas	r uː n ɑː s
rûniştin	r uː n ɪ ʃ t ɪ n
rûpel	r uː p ɛ l
rûreş	r uː ɾ ɛ ʃ
saet	s ɑː ɛ t
sal	s ɑː l
salname	s ɑː l n ɑː m ɛ
saqî	s ɑː q iː
savar	s ɑː v ɑː ɾ
sedsal	s ɛ d s ɑː l
seet	s ɛ ɛ t
sefaret	s ɛ f ɑː ɾ ɛ t
sefîr	s ɛ f iː ɾ
sekinandibî	s ɛ k ɪ n ɑː n d ɪ b iː
sekinîn	s ɛ k ɪ n iː n
sempatî	s ɛ m p ɑː t iː
serbajar	s ɛ ɾ b ɑː ʒ ɑː ɾ
serbixwe	s ɛ ɾ b ɪ x w ɛ
serbixwetî	s ɛ ɾ b ɪ x w ɛ t iː
serenav	s ɛ ɾ ɛ n ɑː v
serhildan	s ɛ ɾ h ɪ l d ɑː n
serhildêr	s ɛ ɾ h ɪ l d eː ɾ
serokdewlet	s ɛ ɾ oː k d ɛ w l ɛ t
serokkomar	s ɛ ɾ oː k k oː m ɑː ɾ
serokwezîr	s ɛ ɾ oː k w ɛ z iː ɾ
sifir	sˤ ɪ f ɪ ɾ
sike	s ɪ k ɛ
simbêl	s ɪ m b eː l
sinîtî	s ɪ n iː t iː
sirişt	s ɪ ɾ ɪ ʃ t
sist	s ɪ s t
sivore	s ɪ v oː ɾ ɛ
sixêf	s ɪ x eː f
siyasetnasî	s ɪ j ɑː s ɛ t n ɑː s iː
sond	s oː n d
sondname	s oː n d n ɑː m ɛ
sondxwer	s oː n d xʷ ɛ ɾ
soranî	s oː ɾ ɑː n iː
sosyalîst	s oː s j ɑː l iː s t
sosyolojî	s oː s j oː l oː ʒ iː
spanî	s p ɑː n iː
spî	s p iː
spîk	s p iː k
stranbêj	s t ɾ ɑː n b eː ʒ
stêrnasî	s t eː ɾ n ɑː s iː
sêv	s eː v
sêwî	s eː w iː
sêwîtî	s eː w iː t iː
sêwîxane	s eː w iː x ɑː n ɛ
sêşem	s eː ʃ ɛ m
sî	s iː
sîbaq	s iː b ɑː q
sîleh	s iː l ɛ h
sîqilandin	s iː q ɪ l ɑː n d ɪ n
sîr	s iː ɾ
sîwan	s iː w ɑː n
sîx	s iː x
sîxur	s iː x ʊ ɾ
sûl	s uː l
tarîgan	t ɑː ɾ iː ɡ ɑː n
tarîkirin	t ɑː ɾ iː k ɪ ɾ ɪ n
tawannasî	t ɑː w ɑː n n ɑː s iː
taybet	t ɑː j b ɛ t
tayîn	t ɑː j iː n
tazî	t ɑː z iː
tazîtî	t ɑː z iː t iː
taşandin	t ɑː ʃ ɑː n d ɪ n
tebax	t ɛ b ɑː x
tebeq	t ɛ b ɛ q
tebîet	t ɛ b iː ɛ t
tefandin	t ɛ f ɑː n d ɪ n
teknîkî	t ɛ k n iː k iː
temînat	t ɛ m iː n ɑː t
tendirûst	t ɛ n d ɪ ɾ uː s t
tendirûstî	t ɛ n d ɪ ɾ uː s t iː
tendûrustî	t ɛ n d uː ɾ ʊ s t iː
tenzîlat	t ɛ n z iː l ɑː t
tenûr	t ɛ n uː ɾ
teqawid	t ɛ q ɑː w ɪ d
teqîn	t ɛ q iː n
terazî	t ɛ ɾ ɑː z iː
terazû	t ɛ ɾ ɑː z uː
tercime	t ɛ ɾ d͡ʒ ɪ m ɛ
terewîl	t ɛ ɾ ɛ w iː l
teyr	t ɛ j ɾ
tijî	t ɪ ʒ iː
tilyak	t ɪ l j ɑː k
tilûr	t ɪ l uː ɾ
tirkî	t ɪ ɾ k iː
tirsandin	t ɪ ɾ s ɑː n d ɪ n
tirsîn	t ɪ ɾ s iː n
tiwalet	t ɪ w ɑː l ɛ t
toksîn	t oː k s iː n
tomarkirin	t oː m ɑː ɾ k ɪ ɾ ɪ n
torin	t oː ɾ ɪ n
tov	t oː v
trîptofan	t ɾ iː p t oː f ɑː n
têkilî	t eː k ɪ l iː
tîprêz	t iː p ɾ eː z
tîprêzî	t iː p ɾ eː z iː
tîr	t iː ɾ
tîrbûn	t iː ɾ b uː n
tîrmeh	t iː ɾ m ɛ h
tîrosîn	t iː ɾ oː s iː n
tû	t uː
valageh	v ɑː l ɑː ɡ ɛ h
valîn	v ɑː l iː n
vazo	v ɑː z oː
veavakirin	v ɛ ɑː v ɑː k ɪ ɾ ɪ n
vegotin	v ɛ ɡ oː t ɪ n
vekirin	v ɛ k ɪ ɾ ɪ n
vexwarin	v ɛ x w ɑː ɾ ɪ n
vexwendin	v ɛ x w ɛ n d ɪ n
vexwendname	v ɛ x w ɛ n d n ɑː m ɛ
viyolîn	v ɪ j oː l iː n
vokatîv	v oː k ɑː t iː v
volkan	v oː l k ɑː n
vîkîng	v iː k iː ŋ ɡ
watenasî	w ɑː t ɛ n ɑː s iː
wekhevî	w ɛ k h ɛ v iː
welat	w ɛ l ɑː t
welatparêz	w ɛ l ɑː t p ɑː ɾ eː z
welatparêzî	w ɛ l ɑː t p ɑː ɾ eː z iː
werger	w ɛ ɾ ɡ ɛ ɾ
wergerandin	w ɛ ɾ ɡ ɛ ɾ ɑː n d ɪ n
wergêr	w ɛ ɾ ɡ eː ɾ
westandin	w ɛ s t ɑː n d ɪ n
wext	w ɛ x t
wezîr	w ɛ z iː ɾ
wêje	w eː ʒ ɛ
wêne	w eː n ɛ
wêranker	w eː ɾ ɑː n k ɛ ɾ
wîkî	w iː k iː
wîlayet	w iː l ɑː j ɛ t
xal	x ɑː l
xalxalok	x ɑː l x ɑː l oː k
xanî	x ɑː n iː
xapîner	x ɑː p iː n ɛ ɾ
xar	x ɑː ɾ
xaç	x ɑː t͡ʃ
xebatkar	x ɛ b ɑː t k ɑː ɾ
xefnêr	x ɛ f n eː ɾ
xela	x ɛ l ɑː
xelatgir	x ɛ l ɑː t ɡ ɪ ɾ
xemgîn	x ɛ m ɡ iː n
xemgînî	x ɛ m ɡ iː n iː
xemilandin	x ɛ m ɪ l ɑː n d ɪ n
xemsarî	x ɛ m s ɑː ɾ iː
xeniqîn	x ɛ n ɪ q iː n
xerûze	x ɛ ɾ uː z ɛ
xew	x ɛ w
xewn	x ɛ w n
xewxane	x ɛ w x ɑː n ɛ
xezeb	x ɛ z ɛ b
xilwet	x ɪ l w ɛ t
xiyar	x ɪ j ɑː ɾ
xizêm	x ɪ z eː m
xort	x oː ɾ t
xox	x oː x
xuda	x ʊ d ɑː
xwarin	xʷ ɑː ɾ ɪ n
xwaringeh	xʷ ɑː ɾ ɪ n ɡ ɛ h
xwedî	xʷ ɛ d iː
xwedîmaf	xʷ ɛ d iː m ɑː f
xwelî	xʷ ɛ l iː
xwelîdank	xʷ ɛ l iː d ɑː ŋ k
xwen	xʷ ɛ n
xwenda	xʷ ɛ n d ɑː
xwendekar	xʷ ɛ n d ɛ k ɑː ɾ
xwendevan	xʷ ɛ n d ɛ v ɑː n
xwendingeh	xʷ ɛ n d ɪ n ɡ ɛ h
xwerist	xʷ ɛ ɾ ɪ s t
xweserî	xʷ ɛ s ɛ ɾ iː
xwestin	xʷ ɛ s t ɪ n
xwestok	xʷ ɛ s t oː k
xweza	xʷ ɛ z ɑː
xwezanas	xʷ ɛ z ɑː n ɑː s
xweşbextane	xʷ ɛ ʃ b ɛ x t ɑː n ɛ
xweşkirin	xʷ ɛ ʃ k ɪ ɾ ɪ n
xweşî	xʷ ɛ ʃ iː
xwê	xʷ eː
xwêdan	xʷ eː d ɑː n
xwêdank	xʷ eː d ɑː ŋ k
xwîn	xʷ iː n
xwîndarî	xʷ iː n d ɑː ɾ iː
xîç	x iː t͡ʃ
yahodî	j ɑː h oː d iː
yane	j ɑː n ɛ
yarî	j ɑː ɾ iː
yek	j ɛ k
yekîtî	j ɛ k iː t iː
zagon	z ɑː ɡ oː n
zagonîtî	z ɑː ɡ oː n iː t iː
zanist	z ɑː n ɪ s t
zanistvan	z ɑː n ɪ s t v ɑː n
zanko	z ɑː n k oː
zanîn	z ɑː n iː n
zanîngeh	z ɑː n iː n ɡ ɛ h
zarok	z ɑː r oː k
zava	z ɑː v ɑː
zayend	z ɑː j ɛ n d
zazakî	z ɑː z ɑː k iː
zelam	z ɛ l ɑː m
zemawend	z ɛ m ɑː w ɛ n d
zengînî	z ɛ n ɡ iː n iː
zer	z ɛ ɾ
zerd	z ɛ ɾ d
zerdelî	z ɛ ɾ d ɛ l iː
zerik	z ɛ ɾ ɪ k
zevî	z ɛ v iː
zewicîn	z ɛ w ɪ d͡ʒ iː n
zeytûn	z ɛ j t uː n
zik	z ɪ k
ziman	z ɪ m ɑː n
zimankuj	z ɪ m ɑː n k ʊ ʒ
zimankujî	z ɪ m ɑː n k ʊ ʒ iː
zimanmalbat	z ɪ m ɑː n m ɑː l b ɑː t
zimannas	z ɪ m ɑː n n ɑː s
zimannasî	z ɪ m ɑː n n ɑː s iː
zina	z ɪ n ɑː
zindanker	z ɪ n d ɑː n k ɛ ɾ
zindankirin	z ɪ n d ɑː n k ɪ ɾ ɪ n
zirav	z ɪ ɾ ɑː v
zirto	z ɪ ɾ t oː
zivirandin	z ɪ v ɪ ɾ ɑː n d ɪ n
zivistan	z ɪ v ɪ s t ɑː n
zivêrkirin	z ɪ v eː ɾ k ɪ ɾ ɪ n
zordarkuj	z oː ɾ d ɑː ɾ k ʊ ʒ
zordarkujî	z oː ɾ d ɑː ɾ k ʊ ʒ iː
zêf	z eː f
zêr	z eː ɾ
zîv	z iː v
Çem	t͡ʃ ɛ m
çakar	t͡ʃ ɑː k ɑː ɾ
çande	t͡ʃ ɑː n d ɛ
çapemenî	t͡ʃ ɑː p ɛ m ɛ n iː
çare	t͡ʃ ɑː ɾ ɛ
çarşem	t͡ʃ ɑː ɾ ʃ ɛ m
çav	t͡ʃˤ ɑː v
çay	t͡ʃ ɑː j
çek	t͡ʃ ɛ k
çekdanîn	t͡ʃ ɛ k d ɑː n iː n
çekhilanîn	t͡ʃ ɛ k h ɪ l ɑː n iː n
çekûç	t͡ʃ ɛ k uː t͡ʃ
çem	t͡ʃ ɛ m
çerm	t͡ʃ ɛ ɾ m
çewder	t͡ʃ ɛ w d ɛ ɾ
çexdar	t͡ʃ ɛ x d ɑː ɾ
çip	t͡ʃ ɪ p
çipik	t͡ʃ ɪ p ɪ k
çivîk	t͡ʃ ɪ v iː k
çiya	t͡ʃ ɪ j ɑː
çêlek	t͡ʃ eː l ɛ k
çêlekew	t͡ʃ eː l ɛ k ɛ w
çêr	t͡ʃ eː r
çîrok	t͡ʃ iː ɾ oː k
çîrokbêj	t͡ʃ iː ɾ oː k b eː ʒ
çûk	t͡ʃˤ uː kˤ
çûn	t͡ʃ uː n
çûçik	t͡ʃ uː t͡ʃ ɪ k
êvar	eː v ɑː ɾ
êzing	eː z ɪ ŋ ɡ
êş	eː ʃ
îlac	iː l ɑː d͡ʒ
împerator	iː m p ɛ ɾ ɑː t oː ɾ
împeratorî	iː m p ɛ ɾ ɑː t oː ɾ iː
înan	iː n ɑː n
îqame	iː q ɑː m ɛ
îsot	iː s oː t
îtalî	iː t ɑː l iː
îzotop	iː z oː t oː p
û	uː
ûr	uː ɾ
Şivan	ʃ ɪ v ɑː n
şalyar	ʃ ɑː l j ɑː ɾ
şampo	ʃ ɑː m p oː
şandin	ʃ ɑː n d ɪ n
şano	ʃ ɑː n oː
şeftalî	ʃ ɛ f t ɑː l iː
şekir	ʃ ɛ k ɪ ɾ
şer	ʃ ɛ ɾ
şev	ʃ ɛ v
şewitîn	ʃ ɛ w ɪ t iː n
şik	ʃ ɪ k
şikayet	ʃ ɪ k ɑː j ɛ t
şikeft	ʃ ɪ k ɛ f t
şilêl	ʃ ɪ l eː l
şimşûr	ʃ ɪ m ʃ uː ɾ
şirket	ʃ ɪ ɾ k ɛ t
şivan	ʃ ɪ v ɑː n
şofar	ʃ oː f ɑː ɾ
şofêr	ʃ oː f eː ɾ
şor	ʃ oː ɾ
şorbe	ʃ oː ɾ b ɛ
şwîştin	ʃ w iː ʃ t ɪ n
şêlim	ʃ eː l ɪ m
şêr	ʃ eː ɾ
şîn	ʃ iː n
şîr	ʃ iː ɾ
şûr	ʃ uː ɾ
şûşe	ʃ uː ʃ ɛ
şûştin	ʃ uː ʃ t ɪ n
