aba	âː ɓ a
umntrwana	ú ḿ̩ːⁿ tʳʷ aː n a
umntu	ú ḿ̩ːⁿ t u
umntwana	ú ḿ̩ⁿ tʷ aː n a
umnwe	ú ḿ̩ː nʷ e
umnyaka	ú ḿ̩ ɲ âː k a
umnyango	ú ḿ̩ ɲ aːᵑ ɡ̊ o̤
umnyazi	ú ḿ̩ ɲ âː z̥ i̤
umoji	ú m óː d̥ ʒ i̤
umoya	ú m ôː j a
umphanda	ú ḿ pʰ aːⁿ d̥ a̤
umphathi	ú ḿ̩ pʰ áː tʰ i
umphefumlo	ú ḿ̩ pʰ é f ú m̩ː l o
umpheki	ú ḿ̩ pʰ eː k i
umpu	ú m̩ː p ú
umqala	ú ḿ̩ k ǃ aː l a
umqeqeshi	ú ḿ̩ k ǃ é k ǃ éː ʃ i
umqeshi	ú ḿ̩ k ǃ éː ʃ i
umqeshwa	ú ḿ̩ k ǃ éː ʃʷ a
umqhagi	ú ḿ̩ k ǃʰ áː ɡ̊ i̤
umqhubi	ú ḿ̩ k ǃʰ uː ɓ i
umqolo	ú ḿ̩ k ǃ ôː l o
umqwayitho	ú ḿ̩ k ǃʷ á j íː tʰ o
umsa	ú m̩ː s á
umsebenzi	ú ḿ̩ s é ɓ éⁿ d̥ z i̤
umsebenzi	ú ḿ̩ s é ɓ êːⁿ d̥ z i̤
umsi	ú m̩ː s í
umsila	ú ḿ̩ s îː l a
umsindo	ú ḿ̩ s îːⁿ d̥ o̤
umsonto	ú ḿ̩ s oːⁿ t o
umsuthu	ú ḿ̩ s ûː tʰ u
umthambo	ú ḿ̩ tʰ áːᵐ b̥ o̤
umthamo	ú ḿ̩ tʰ áː m o
umthandazo	ú ḿ̩ tʰ áⁿ d̥ a̤ː z̥ o̤
umthetho	ú ḿ̩ tʰ êː tʰ o
umthi	ú m̩ː tʰ í
umthombo	ú ḿ̩ tʰ ôːᵐ b̥ o̤
umthunzi	ú ḿ̩ tʰ ûːⁿ d̥ z i̤
umthwa	ú m̩ː tʰʷ á
umthwalo	ú ḿ̩ tʰʷ áː l o
umtshato	ú ḿ̩ t ʃ aː t o
umtya	ú m̩ː c á
umvulo	ú ḿ̩ v̥ ṳː l o
umvundla	ú ḿ̩ v̥ ṳ᷈ːⁿ d̥ ɮ a̤
umvuzo	ú ḿ̩ v̥ ṳː z̥ o̤
umxoxozi	ú ḿ̩ k ǁ ó k ǁ óː z̥ i̤
umyeni	ú ḿ̩ j eː n i
umzala	ú ḿ̩ z̥ ǎ̤ː l a
umzali	ú ḿ̩ z̥ ǎ̤ː l i
umzantsi	ú ḿ̩ z̥ ǎ̤ːⁿ t s i
umzekelo	ú ḿ̩ z̥ ě̤ k eː l o
umzi	ú ḿ̩ː z̥ i̤
umzimba	ú ḿ̩ z̥ i̤᷈ːᵐ b̥ ǎ̤
umzulu	ú ḿ̩ z̥ ṳː l u
uncedo	ú ŋ ǀ eː d̥ o̤
undwendwe	úⁿ d̥ʷ ě̤ːⁿ d̥ʷ e̤
unina	ú n iː n a
unomadudwane	ú n ó m á d̥ ṳ d̥ʷ ǎ̤ː n e
unonkala	ú n óᵑ k aː l a
unoposi	ú n ó p óː s i
unwele	ú nʷ éː l e
unxano	ú ŋ ǁ âː n o
unxweme	ú ŋ ǁʷ eː m é
unyana	ú ɲ âː n a
unyawo	ú ɲ aː w o
unyoko	ú ɲ oː k o
uphondo	ú pʰ oːⁿ d̥ o̤
uqhekezo	ú k ǃʰ é k eː z̥ o̤
uqhoqhoqho	ú k ǃʰ ó k ǃʰ oː k ǃʰ o
uqongqothwane	ú k ǃ ó ŋ ǃ o̤ tʰʷ aː n é
urhanisi	ú x á n íː s i
urhulumente	ú x u l u m éːⁿ t e
urhwebo	ú xʷ eː ɓ o
usana	ú s áː n a
usapho	ú s âː pʰ o
usiba	ú s îː ɓ a
usibonda	ú s í ɓ oːⁿ d̥ a̤
usisi	ú s iː s í
usuku	ú s ûː k u
uswazi	ú sʷ aː z̥ i̤
uthando	ú tʰ âːⁿ d̥ o̤
uthixo	ú tʰ íː k ǁ ó
uthuli	ú tʰ uː l i
utsotsi	ú t s oː t s í
utyuthu	ú c úː pʰ u
utywala	ú cʷ aː l á
uvuyo	ú v̥ ṳ᷈ː j o
uxam	ú k ǁ âː m̩
uxande	ú k ǁ aːⁿ d̥ ě̤
uxolo	ú k ǁ oː l o
uyihlo	ú j iː ɬ ó
uyise	ú j iː s é
uzipho	ú z̥ i̤ː pʰ o
va	v̥ a̤
wena	w eː n á
xa	k ǁ á
xabela	k ǁ á ɓ eː l a
xaxa	k ǁ aː k ǁ a
xela	k ǁ eː l a
xhwaleka	k ǁʰʷ a l eː k a
xobula	k ǁ ó ɓ uː l a
xoza	k ǁ oː z̥ a̤
za	z̥ a̤
zala	z̥ a̤ː l a
