'bout	b a ʊ t
disingenuous	d ɪ s ɪ n d ʒ ɛ n j u ə s
disingenuously	d ɪ s ɪ n d ʒ ɛ n j u ə s l i
disinherit	d ɪ s ɪ n h ɛ ɹ ɪ t
disinhibit	d ɪ s ɪ n h ɪ b ɪ t
disintegrable	d ɪ s ɪ n t ə ɡ ɹ ə b ə l
disinter	d ɪ s ɪ n t ɜː ɹ
disinterested	d ɪ s ɪ n t ə ɹ ɛ s t ɪ d
disintricate	d ɪ s ɪ n t ɹ ɪ k e ɪ t
disinvite	d ɪ s ɪ n v a ɪ t
disjoint	d ɪ s d ʒ ɔ ɪ n t
disjunctive	d ɪ s d ʒ ʌ ŋ k t ɪ v
disk	d ɪ s k
disleaf	d ɪ s l iː f
disleal	d ɪ s l iː ə l
dislike	d ɪ s l a ɪ k
dislocate	d ɪ s l o ʊ k e ɪ t
dismantle	d ɪ s m æ n t ə l
dismay	d ɪ s m e ɪ
dismember	d ɪ s m ɛ m b ə ɹ
dismiss	d ɪ s m ɪ s
dismissed	d ɪ s m ɪ s t
dismount	d ɪ s m a ʊ n t
disney	d ɪ z n i
disneyland	d ɪ z n iː l æ n d
disopyramide	d a ɪ s ə p ɪ ɹ ə m a ɪ d
disorder	d ɪ s ɔː ɹ d ɚ
disordered	d ɪ s ɔ ɹ d ɚ d
disorient	d ɪ s ɔː ɹ i ə n t
disorientation	d ɪ s ɔ ɹ i ɪ n t e i ʃ n̩
dispair	d ɪ s p ɛ ə ɹ
disparadise	d ɪ s p æ ɹ ə d a ɪ s
disparadised	d ɪ s p æ ɹ ə d a ɪ s t
disparage	d ɪ s p æ ɹ ɪ d͡ʒ
disparate	d ɪ s p æ ɹ ə t
disparate	d ɪ s p ə ɹ ə t
disparate	d ɪ s p ɛ ɹ ə t
dispatch	d ɪ s p æ t ʃ
dispathy	d ɪ s p ə θ i
dispeed	d ɪ s p iː d
dispensable	d ɪ s p ɛ n s ə b ə l
dispensatory	d ɪ s p ɛ n s ə t ɔ ɹ i
dispenser	d ɪ s p ɛ n s ə
disperse	d ɪ s p ɜ ˞ s
dispersed	d ɪ s p ɜ ˞ s t
displace	d ɪ s p l e ɪ s
displacement	d ɪ s p l e ɪ s m ɪ n t
displacement	d ɪ z p l e ɪ s m ə n t
display	d ɪ s p l e ɪ
displayed	d ɪ s p l e ɪ d
displaying	d ɪ s p l e ɪ ɪ ŋ
displays	d ɪ s p l e ɪ z
displease	d ɪ s p l iː z
displeased	d ɪ s p l iː z d
displeasing	d ɪ s p l iː z ɪ ŋ
displeasure	d ɪ s p l ɛ ʒ ɚ
disponge	d ɪ s p ʌ n d͡ʒ
disport	d ə s p ɔ ɹ t
disposable	d ɪ s p o ʊ z ə b l̩
dispose	d ɪ s p o ʊ z
disposed	d ɪ s p o ʊ z d
disposition	d ɪ s p ə z ɪ ʃ ɪ n
disprove	d ɪ s p ɹ uː v
disprovide	d ɪ s p ɹ ə v a ɪ d
dispunct	d ɪ s p ʌ ŋ k t
disputatious	d ɪ s p j ə t e ɪ ʃ ə s
disputatious	d ɪ s p j ʊ t e ɪ ʃ ə s
dispute	d ɪ s p j uː t
disputed	d ɪ s p j uː t ɪ d
disqualification	d ɪ s k w ɑː l ə f ɪ k e ɪ ʃ n
disquietude	d ɪ s k w a ɪ ə t u d
disquietude	d ɪ s k w a ɪ ɪ t j u d
disquisition	d ɪ s k w ə z ɪ ʃ ə n
disrecommend	d ɪ s ɹ ɛ k ə m ɛ n d
disremember	d ɪ s ɹ ɪ m ɛ m b ɚ
disrepair	d ɪ s ɹ ɪ p ɛ ɚ
disreputable	d ɪ s ɹ ɛ p j ʊ t ə b ə l
disrobe	d ɪ s ɹ o ʊ b
disroot	d ɪ s ɹ uː t
disruption	d ɪ s ɹ ʌ p ʃ ə n
disruptive	d ɪ s ɹ ʌ p t ɪ v
diss	d ɪ s
dissatisfaction	d ɪ s s æ t ɪ s f æ k ʃ ə n
dissatisfied	d ɪ s s æ t ɪ s f a ɪ d
dissect	d a ɪ s ɛ k t
dissect	d ɪ s ɛ k t
dissection	d a ɪ s ɛ k ʃ ə n
dissection	d ɪ s ɛ k ʃ ə n
dissed	d ɪ s t
disseize	d ɪ s iː z
dissemination	d ɨ s ɛ m ɨ n e ɪ ʃ ə n
dissension	d ɪ s ɛ n ʃ ə n
dissensus	d ɪ s ɛ n s ə s
dissent	d ɪ s ɛ n t
dissentious	d ɪ s ɛ n ʃ i ə s
dissentious	d ɪ s ɛ n ʃ ə s
dissertate	d ɪ s ɚ t e ɪ t
dissertation	d ɪ s ɚ t e ɪ ʃ ə n
disservice	d ɪ s s ɝ v ɪ s
disses	d ɪ s ɪ z
dissever	d ɪ s ɛ v ɚ
dissident	d ɪ s ɪ d ə n t
dissilition	d ɪ s ɪ l ɪ ʃ ə n
dissimilate	d ɪ s ɪ m ɪ l e ɪ t
dissimulate	d ɪ s ɪ m j ʊ l e ɪ t
dissing	d ɪ s ɪ ŋ
dissipable	d ɪ s ɪ p ɪ b l̩
dissipate	d ɪ s ɪ p e ɪ t
dissipation	d ɪ s ɪ p e ɪ ʃ ə n
dissite	d ɪ s a ɪ t
dissocial	d ɪ s ə ʊ ʃ ə l
dissociate	d ɪ s o ʊ s i e ɪ t
dissociate	d ɪ s o ʊ ʃ i e ɪ t
dissociative	d ɪ s o ʊ s i ə t ɪ v
dissociative	d ɪ s o ʊ ʃ i ə t ɪ v
dissolution	d ɪ s ə l u ʃ ə n
dissolve	d ɪ z ɑ l v
dissolved	d ɪ z ɑ l v d
dissonance	d ɪ s ə n ə n s
dissonance	d ɪ s ə n ɪ n s
dissonate	d ɪ s o n e ɪ t
dissuade	d ɪ s w e ɪ d
distaff	d ɪ s t æ f
distal	d ɪ s t ə l
distance	d ɪ s t ɪ n s
distancing	d ɪ s t ə n s ɪ ŋ
distaste	d ɪ s t e ɪ s t
distaxy	d ɪ s t æ k s i
distension	d ɪ s t ɛ n ʃ ə n
distention	d ɪ s t ɛ n ʃ ə n
distillate	d ɪ s t ɪ l ə t
distilled	d ɪ s t ɪ l d
distilment	d ɪ s t ɪ l m ə n t
distinct	d ɪ s t ɪ ŋ k t
distinction	d ɪ s t ɪ ŋ k ʃ ə n
distinctive	d ɪ s t ɪ ŋ k t ɪ v
distinctly	d ɪ s t ɪ ŋ k t l i
distingue	d ɪ s t æ ŋ ɡ e ɪ
distinguish	d ɪ s t ɪ ŋ ɡ w ɪ ʃ
distinguishable	d ɪ s t ɪ ŋ ɡ w ɪ ʃ ə b l̩
distinguished	d ɪ s t ɪ ŋ ɡ w ɪ ʃ t
distinguishment	d ɪ s t ɪ ŋ ɡ w ɪ ʃ m ə n t
distitle	d ɪ s t a ɪ t ə l
distort	d ɪ s t ɔ ɹ t
distorted	d ɪ s t ɔ ɹ t ɪ d
distract	d ɪ s t ɹ æ k t
distraction	d ɪ s t ɹ æ k ʃ ə n
distrait	d ɪ s t ɹ e ɪ
distress	d ɪ s t ɹ ɛ s
distressed	d ɪ s t ɹ ɛ s t
distressing	d ɪ s t ɹ ɛ s ɪ ŋ
distribute	d ɪ s t ɹ ɪ b j u t
distributed	d ɪ s t ɹ ɪ b j u t ɪ d
distributing	d ɪ s t ɹ ɪ b j u t ɪ ŋ
distribution	d ɪ s t ɹ ə b j uː ʃ ə n
district	d ɪ s t ɹ ɪ k t
districts	d ɪ s t ɹ ɪ k t s
distrust	d ɪ s t ɹ ʌ s t
disturbance	d ɪ s t ɝ b n̩ s
disulfide	d a ɪ s ʌ l f a ɪ d
disulfiram	d a ɪ s ʌ l f ə ɹ æ m
disulfite	d a ɪ s ʌ l f a ɪ t
disuniate	d ɪ s j u n i e ɪ t
disunify	d ɪ s j u n ɪ̈ f a ɪ
disuse	d ɪ s j u s
disused	d ɪ s j uː z d
disutility	d ɪ s j uː t ɪ l ɪ t i
disvantageous	d ɪ s v æ n t e ɪ d͡ʒ ə s
disvantageous	d ɪ s v ɑː n t e ɪ d͡ʒ ə s
disvantageous	d ɪ s v ə n t e ɪ d͡ʒ ə s
dit	d ɪ t
ditch	d ɪ t ʃ
ditched	d ɪ t ʃ t
ditches	d ɪ t ʃ ɪ z
ditching	d ɪ t ʃ ɪ ŋ
ditchings	d ɪ t ʃ ɪ ŋ z
dite	d a ɪ t
dithematic	d a ɪ θ ə m æ t ɪ k
dither	d ɪ ð ɚ
dittany	d ɪ t ə n i
ditto	d ɪ t o ʊ
diu	d iː uː
diurnal	d a ɪ ɝ n ə l
div	d ɪ v
divan	d a ɪ v æ n
divan	d ɪ v æ n
divaricate	d a ɪ v æ ɹ ɪ k e ɪ t
divaricated	d ʌ ɪ v æ ɹ ɪ k e ɪ t ɪ d
dive	d a ɪ v
dive	d iː v e ɪ
dived	d a ɪ̯ v d
diver	d a ɪ̯ v ə ɹ
diverge	d ɪ v ɝ d ʒ
divergence	d a ɪ v ɜː ɹ d ʒ ə n s
divergence	d ɪ v ɜː ɹ d ʒ ə n s
divergent	d ɪ v ɝ d ʒ ə n t
divers	d a ɪ v ə ɹ s
divers	d a ɪ v ə ɹ z
divers	d a ɪ v ɜː ɹ s
diverse	d a ɪ v ɚ s
diverse	d a ɪ v ɝ s
diverse	d ɨ v ɝ s
diversification	d a ɪ v ɝ s ɪ f ɪ k e ɪ ʃ ə n
diversification	d ɪ v ɝ s ɪ f ɪ k e ɪ ʃ ə n
diversion	d a ɪ v ɝ ʒ ə n
diversion	d ɪ v ɝ ʒ ə n
diversity	d a ɪ v ɜː ɹ s ɪ t i
diversity	d ɪ v ɜː ɹ s ɪ t i
divert	d a ɪ v ɝ t
divert	d ɪ v ɝ t
diverticulum	d ɑ ɪ v ɜː t ɪ k j ə l ə m
divertimento	d ə v ɝ t ə m ɛ n t o ʊ
divertive	d a ɪ v ɜː ɹ t ɪ v
dives	d a ɪ v z
divest	d a ɪ v ɛ s t
divest	d ɪ v ɛ s t
divestment	d a ɪ v ɛ s t m ə n t
divey	d a ɪ v i
dividend	d ɪ v ɪ d ɛ n d
dividual	d ɪ v ɪ d ʒ u ə l
divination	d ɪ v ɨ n e ɪ ʃ ə n
divine	d ɪ v a ɪ n
diviner	d ɪ v a ɪ n ə ɹ
diving	d a ɪ v ɪ ŋ
divinization	d ɪ v ɪ n a ɪ z e ɪ ʃ ə n
division	d ɪ v ɪ ʒ ə n
divisions	d ɪ v ɪ ʒ ə n z
divisive	d ɪ v a ɪ s ɪ v
divisive	d ɪ v ɪ s ɪ v
divisor	d ɨ v a ɪ z ɚ
divo	d iː v o ʊ
divorce	d ɪ v ɔ ɹ s
divot	d ɪ v ə t
divulgate	d ɪ v ʌ l ɡ e ɪ t
divulge	d a ɪ v ʌ l d ʒ
divulge	d ɪ v ʌ l d ʒ
diwali	d ɪ v ɑ l i
diwali	d ɪ w ɑ l i
dixey	d ɪ k s i
dixie	d ɪ k s i
dixon	d ɪ k s ə n
diya	d iː j ə
diya	d iː ə
diyarbakır	d i a ɹ b ə k i ɹ
diyarbakır	d i j a ɹ b ə k i ɹ
dizzardly	d ɪ z ɚ d l i
dizzy	d ɪ z i
dj	d i d ʒ e ɪ
dj	d iː d ʒ e ɪ
djamba	d ʒ ɑ m b ə
djembe	d ʒ ɛ m b e ɪ
djibouti	d ʒ ɪ b uː t iː
djinn	d ʒ ɪ n
dna	d iː ɛ n e ɪ
dnieper	d ə n j e p ə ɹ
dnieper	n i p ə ɹ
do	d o ʊ
do	d u
do't	d uː t
doable	d uː ə b ə l
dob	d ɑ b
doberthar	d o bʲ e r θ a r
dobutamine	d o ʊ b j uː t ə m iː n
dobérthar	d o bʲ eː r θ a r
docent	d o ʊ s ə n t
docetaxel	d o ʊ s ə t æ k s l̩
docile	d ɑː s a ɪ l
docile	d ɑː s ə l
dock	d ɑ k
docker	d ɑ k ɚ
dockize	d ɒ k ɑ ɪ z
docks	d ɒ k s
doctor	d ɑ k t ɚ
doctor's	d ɑ k t ɚ z
doctorate	d ɑ k t ə ɹ e ɪ t
doctorate	d ɑ k t ə ɹ ə t
doctored	d ɒ k t ə ɹ d
doctors	d ɑ k t ɚ z
doctrinal	d ɑ k t ɹ a ɪ n ə l
doctrinal	d ɑ k t ɹ ɪ n ə l
doctrine	d ɑ k t ɹ ɪ n
doctrines	d ɑ k t ɹ ɪ n z
document	d ɑ k j ʊ m ə n t
document	d ɑ k j ʊ m ɛ n t
documentary	d ɑ k j ə m ɛ n t ɚ ɹ i
documentary	d ɑ k j ʊ m ɛ n t ɚ ɹ i
documentation	d ɑ k j ə m ə n t e ɪ ʃ ə n
documents	d ɑ k j ə m ə n t s
documents	d ɑ k j ə m ɛ n t s
docusate	d ɑ k j ə s e ɪ t
dod	d ɑ d
doddle	d ɒ d ə l
dodecad	d o ʊ d ɛ k æ d
dodecahedra	d ə ʊ d e k ə h iː d ɹ ə
dodecahedron	d o ʊ d ɛ k ə h iː d ɹ ə n
dodge	d ɒ d ʒ
dodger	d ɑ d ʒ ə ɹ
dodger	d ɒ d ʒ ə ɹ
dodgy	d ɒ d ʒ i
dodipoll	d ɒ d ɪ p o ʊ l
dodipoll	d ɒ d ɪ p ɒ l
dodman	d ɑ d m ə n
dodo	d o ʊ d o ʊ
dodoesque	d o ʊ d o ʊ ɛ s k
doe	d o ʊ
doer	d uː ə ɹ
does	d o ʊ z
does't	d ʌ z t
doesn't	d ʌ z ə n t
doeth	d u ɪ θ
dofetilide	d o ʊ f ɛ t ə l a ɪ d
doff	d ɑ f
doff	d ɔ f
dog	d ɑ ɡ
dog	d ɔ ɡ
dogberry	d ɑ ɡ b ɛ ɹ i
dogberry	d ɔ ɡ b ɛ ɹ i
doge	d o ʊ d ʒ
doge	d o ʊ ʒ
doge	d ə ʊ d ʒ
doge	d ə ʊ ɡ
doge	d ə ʊ ʒ
dogged	d ɔ ɡ d
dogged	d ɔ ɡ ɪ d
doggedly	d ɔ ɡ ə d l i
dogging	d ɔ ɡ ɪ ŋ
doggy	d ɑ ɡ i
doggy	d ɔ ɡ i
dogie	d o ʊ ɡ i
dogleg	d ɔː ɡ l ɛ ɡ
dogma	d ɑ ɡ m ə
dogma	d ɔ ɡ m ə
dogpile	d ɑ ɡ p a ɪ l
dogpile	d ɔ ɡ p a ɪ l
dogra	d o ʊ ɡ ɾ ə
dogs	d ɑ ɡ z
dogs	d ɔ ɡ z
dogsbody	d ɑ ɡ z b ɑ d i
dogsbody	d ɔ ɡ z b ɑ d i
dogso	d ɑ ɡ s o ʊ
dogso	d ɔ ɡ s o ʊ
dogwatch	d ɒ ɡ w ɒ t ʃ
doh	d o ʊ
doha	d o ʊ h ɑː
doilem	d ɔ ɪ l ə m
doilem	d ɔ ɪ l ɪ m
doily	d ɔ ɪ l i
doing	d uː ɪ ŋ
doing	d ɔ ɪ ŋ
doink	d ɔ ɪ ŋ k
doit	d ɔ ɪ t
dojo	d o ʊ d ʒ o ʊ
dolan	d o ʊ l ə n
dolasetron	d o ʊ l æ s ə t ɹ ɑ n
dolcetto	d o ʊ l t ʃ ɛ t o ʊ
doldrum	d ɑ l d ɹ ə m
doldrums	d ɑ l d ɹ ə m z
dole	d o ʊ l
doleful	d o ʊ l f ə l
dolent	d o ʊ l ə n t
dolichophallic	d ɒ l ɪ k ə ʊ f æ l ɪ k
doll	d ɑ l
doll	d ɔ l
dollar	d ɑ l ɚ
dollarization	d ɑ l ɝ ɪ z e ɪ̯ ʃ ɪ n
dollars	d ɑ l ɚ z
dollop	d ɑ l ə p
dolly	d ɑ l i
dolman	d o ʊ l m ə n
dolmen	d o ʊ l m ə n
dolmen	d ɑ l m ə n
dolomite	d o ʊ l ə m a ɪ t
dolomite	d ɒ l ə m a ɪ t
dolomites	d o ʊ l ə m a ɪ t s
dolomites	d ɒ l ə m a ɪ t s
dolor	d o ʊ l ə ɹ
dolor	d ɒ l ə ɹ
doloriferous	d ə ʊ l ə ɹ ɪ f ə ɹ ə s
doloriferous	d ʌ l ə ɹ ɪ f ə ɹ ə s
dolorous	d o ʊ l ə ɹ ə s
dolorous	d ɒ l ə ɹ ə s
dolphin	d ɑ l f ɪ n
dolphinarium	d ɑ l f ɪ n ɛ ə ɹ i ə m
dolt	d o ʊ l t
dolts	d o ʊ l t s
dolus	d o ʊ l ə s
dom	d ɑ m
doma	d o ʊ m ə
domable	d o ʊ m ə b l̩
domain	d o ʊ m e ɪ n
domain	d ə m e ɪ n
domal	d ə ʊ m ə l
dombrowski	d ɑ m b r a ʊ s k i
dome	d ə ʊ m
domestic	d ə m ɛ s t ɪ k
domhnall	d o ʊ n ə l
domicile	d ɑ m ɪ s a ɪ l
domicile	d ɑ m ɪ s ɪ l
domiciliary	d o ʊ m ɪ s ɪ l i ɛ ɹ i
domiciliary	d o ʊ m ɪ s ɪ l j ə ɹ i
dominance	d ɑː m ɪ n ə n s
dominant	d ɑ m ə n ə n t
dominate	d ɑː m ə n e ɪ t
domination	d ɑː m ə n e ɪ ʃ ə n
dominguan	d ɔ m ɪ ŋ ə n
dominic	d ɑ m ə n ɪ k
dominica	d ɑ m ɪ n iː k ə
dominica	d ə m ɪ n ɪ k ə
dominical	d ə m ɪ n ɪ k ə l
dominican	d ɑ m ɪ n i k ə n
dominican	d ə m ɪ n ɪ k ə n
dominion	d o ʊ m ɪ n j ə n
dominion	d ə m ɪ n j ə n
dominions	d ə m ɪ n j ə n z
domino	d ɑ m ɪ n o ʊ
dominoes	d ɑ m ɪ n o ʊ z
dominus	d ɒ m ɪ n ə s
domitable	d ɒ m ɪ t ə b ə l
dommy	d ɒ m i
domperidone	d ɑ m p ɛ ɹ ɪ d o ʊ n
dompt	d ɒ m p t
dompt	d ɒ m t
domy	d o ʊ m i
don	d ɑ n
don't	d o ʊ n t
donaghadee	d ɒ n ə h ə d iː
donald	d ɑ n ə l d
donate	d o ʊ n e ɪ t
donation	d o ʊ n e ɪ ʃ ə n
donations	d o ʊ n e ɪ ʃ ə n z
donative	d ə ʊ n ə t ɪ v
donbas	d ɒ n b æ s
done	d ə ʊ n
done	d ʌ n
donegal	d ɑ n ɪ ɡ ɔ l
donegal	d ɑ n ɪ ɡ ə l
donepezil	d o ʊ n ɛ p ə z ɪ l
donepezil	d ɑ n ɛ p ə z ɪ l
dong	d ɒ ŋ
donger	d ɒ ŋ ə
dongle	d ɑ ŋ ɡ l̩
donjon	d ɒ n d ʒ ə n
donkey	d ɑ ŋ k i
donkey	d ɔ ŋ k i
donkey	d ʌ ŋ k i
donna	d ä nː ə
donna	d ɑ n ə
donnean	d ʌ n i ə n
donnie	d ɒ n i
donny	d ɒ n i
donnybrook	d ɒ n ɪ b ɹ ʊ k
donor	d o ʊ n ɚ
donors	d o ʊ n ɚ z
donovan	d ɒ n ə v ɪ n
donovan	d ʌ n ə v ɪ n
dontcha	d o ʊ n t ʃ ə
donut	d o ʊ n ə t
donut	d o ʊ n ʌ t
doo	d u
doob	d uː b
doodle	d uː d ə l
doody	d uː d i
doof	d uː f
doofer	d uː f ɚ
doofus	d uː f ə s
doogh	d uː ɡ
doohickey	d u h ɪ k i
doolittle	d u l ɪ t ə l
doom	d uː m
doomed	d uː m d
dooming	d uː m ɪ ŋ
dooms	d uː m z
doomsayer	d u m s e ɪ ɚ
doomsday	d uː m z d e ɪ
doon	d uː n
doona	d uː n ə
door	d ɔ ɹ
doorbell	d ɔ ɹ b ɛ l
doorframe	d ɔ ɹ f ɹ e ɪ m
doorframes	d ɔ ɹ f ɹ e ɪ m z
doorknob	d ɔ ɹ n ɑ b
doorleaf	d ɔ ɹ l i f
doors	d ɔ ɹ z
doorway	d ɔ ɹ w e ɪ
dop	d ɒ p
dopamine	d o ʊ p ə m i n
doped	d o ʊ p t
dopey	d ə ʊ p i
doppelganger	d ɑ p ə l ɡ ɛ ŋ ə ɹ
dor	d ɔː ɹ
dora	d ɔː ɹ ə
dorcas	d ɔ ɹ k ə s
dordrecht	d ɔ ɹ d ɹ ɛ k t
dorf	d ɔ ɹ f
doris	d ɒ ɹ ɪ s
dork	d ɔ ɹ k
dorm	d ɔ ɹ m
dormant	d ɔ ɹ m ə n t
dormitory	d ɔ ɹ m ɪ t ɔ ɹ i
dormouse	d ɔ ɹ m a ʊ s
dorothy	d ɔ ɹ ə θ i
dorothy	d ɔ ɹ θ i
dorsal	d ɔ ɹ s ə l
dorse	d ɔː ɹ s
dorter	d ɔː ɹ t ə ɹ
dortoir	d ɔː ɹ t w ɑː
dortour	d ɔː ɹ t ʊ ə ɹ
dorty	d ɔ ɹ t i
dory	d ɔː ɹ i
dos	d o ʊ z
dos	d uː z
dose	d o ʊ s
dosh	d ɒ ʃ
dosser	d ɒ s ə ɹ
dossier	d ɑ s i e ɪ
dossier	d ɑ s j e ɪ
dossier	d ɔ s i e ɪ
dossier	d ɔ s j e ɪ
dost	d ʌ s t
dot	d ɑ t
dota	d o ʊ t̬ ə
dotage	d o ʊ t ɪ d ʒ
dotard	d o ʊ t ɚ d
dotcom	d ɑ t k ɑ m
doted	d ə ʊ t ɪ d
doth	d ɒ θ
doth	d ʌ θ
dothan	d o ʊ θ ə n
dotted	d ɑ t ɪ d
dotterel	d ɒ t ɹ ə l
dotty	d ɒ t i
doty	d a u t i
douane	d uː ɑː n
douane	d w ɑː n
douanier	d uː ɑː n i e ɪ
douanier	d w ɑː n i e ɪ
douaouda	d uː a ʊ d ə
douar	d uː ɑː
double	d ʌ b ə l
doubled	d ʌ b l̩ d
doublet	d ʌ b l ə t
doubly	d ʌ b l i
doubs	d uː
doubt	d a ʊ t
doubted	d a ʊ t ɪ d
doubtful	d a ʊ t f ə l
doubting	d a ʊ t ɪ ŋ
doubtings	d a ʊ t ɪ ŋ z
doubtless	d a ʊ̯ t l ə s
doubts	d a ʊ t s
doucet	d uː s ɪ t
douche	d uː ʃ
douchebag	d uː ʃ b æ ɡ
douchebaggery	d uː ʃ b æ ɡ ə ɹ i
douchy	d uː ʃ i
doug	d ʌ ɡ
dough	d o ʊ
doughnut	d o ʊ n ə t
doughnut	d o ʊ n ʌ t
dought	d a ʊ t
doughtiness	d a ʊ t i n ə s
doughty	d a ʊ t i
doughy	d o ʊ i
douglas	d ʌ ɡ l ə s
dougong	d o ʊ ɡ ʊ ŋ
doujin	d o ʊ d ʒ ɪ n
doujinshi	d o ʊ d ʒ ɪ n ʃ i
doula	d uː l ə
doune	d uː n
dour	d a ʊ ɚ
dour	d ʊ ɹ
douse	d a ʊ s
douth	d a ʊ θ
doux	d uː
douzeper	d u z p ɪ ɹ
dove	d o ʊ v
dove	d ʌ v
dovecote	d ʌ v k ɑ t
dover	d o ʊ v ə ɹ
doves	d ʌ v z
dovetail	d ʌ v t e ɪ l
dovish	d ʌ v ɪ ʃ
dow	d a ʊ
dowager	d a ʊ ə d ʒ ɚ
dowd	d a ʊ d
dowdy	d a ʊ d i
dowdy	d o u d ē
dowed	d a ʊ d
dowel	d a ʊ ə l
dower	d a ʊ ə ɹ
dowing	d a ʊ ɪ ŋ
dowitcher	d a ʊ ɪ t ʃ ə ɹ
dowle	d a ʊ l
down	d a ʊ n
downbent	d a ʊ n b ɛ n t
downed	d a ʊ n d
downer	d a ʊ n ɚ
downgrade	d a ʊ n ɡ ɹ e ɪ d
downie	d a ʊ n i
downing	d a ʊ n ɪ ŋ
downings	d a ʊ n ɪ ŋ z
downlink	d a ʊ n l ɪ ŋ k
download	d a ʊ n l o ʊ d
downloading	d a ʊ n l o ʊ d ɪ ŋ
downright	d a ʊ n ɹ a ɪ t
downs	d a ʊ n z
downshift	d a ʊ n ʃ ɪ f t
downside	d a ʊ n s a ɪ d
downsize	d a ʊ n s a ɪ z
downstairs	d a ʊ n s t ɛ ɹ z
downvote	d a ʊ n v o ʊ t
downward	d a ʊ n w ɚ d
downwards	d a ʊ n w ɚ d z
downy	d a ʊ n i
dowry	d a ʊ ɹ i
dows	d a ʊ z
dowse	d a ʊ s
dowse	d a ʊ z
dowser	d æ ʊ z ə
doxastic	d ɒ k s æ s t ɪ k
doxazosin	d ɑ k s e ɪ z ə s ɪ n
doxepin	d ɑ k s ə p ɪ n
doxercalciferol	d ɑ k s ɚ k æ l s ɪ f ə ɹ ɔ l
doxology	d ɑ k s ɑ l ə d ʒ i
doxorubicin	d ɑ k s ə ɹ u b ɪ s ɪ n
doxx	d ɑ k s
doxycycline	d ɑ k s ɪ s a ɪ k l i n
doxylamine	d ɑ k s ɪ l ə m iː n
doyen	d ɔ ɪ ə n
doyen	d ɔ ɪ ɛ n
doze	d o ʊ z
dozen	d ʌ z ə n
dozenal	d ʌ z ə n ə l
drab	d ɹ æ b
drabble	d ɹ æ b ə l
drachm	d ɹ æ m
drachma	d ɹ æ k m ə
drachmae	d ɹ æ k m iː
draco	d ɹ e ɪ k o ʊ
draconian	d ɹ ə k o ʊ n i ə n
dracula	d ɹ æ k j ə l ə
dracula	d ɹ æ k j ʊ l ə
draculin	d ɹ æ k j ə l ɪ n
draff	d ɹ æ f
draff	d ɹ ɑː f
draft	d ɹ æ f t
drafty	d ɹ æ f t i
drageoir	d ɹ æ ʒ w ɑː
dragged	d ɹ æ ɡ d
dragging	d ɹ æ ɡ ɪ ŋ
draggings	d ɹ æ ɡ ɪ ŋ z
dragline	d ɹ æ ɡ l a ɪ n
dragon	d ɹ æ ɡ ə n
dragonfly	d ɹ æ ɡ ə n f l a ɪ
dragonize	d ɹ æ ɡ ə n a ɪ z
dragoon	d ɹ ə ɡ uː n
dragra	d ɹ ʌ ɡ ɹ ə
drags	d ɹ æ ɡ z
dragée	d ɹ æ ʒ e ɪ
draids	d ɹ e ɪ d z
drail	d ɹ e ɪ l
drain	d ɹ e ɪ n
drainage	d ɹ e ɪ n ə d ʒ
drained	d ɹ e ɪ n d
draining	d ɹ e ɪ n ɪ ŋ
draino	d ɹ e ɪ n o ʊ
drains	d ɹ e ɪ n z
drake	d ɹ e ɪ k
dram	d ɹ æ m
drama	d ɹ ɑ m ə
dramata	d ɹ ɑ m ə t ə
dramatic	d ɹ ə m æ t ɪ k
dramaturgy	d ɹ æ m ə t ɜː ɹ d͡ʒ i
drank	d ɹ æ ŋ k
dranken	d ɹ æ ŋ k ə n
drapa	d ɹ ɑː p ə
drape	d ɹ e ɪ p
draped	d ɹ e ɪ p t
draper	d ɹ e ɪ p ə ɹ
draper	d ɹ e ɪ p ɚ
drapery	d ɹ e ɪ p ə ɹ i
drapes	d ɹ e ɪ p s
drapey	d ɹ e ɪ p i
draping	d ɹ e ɪ p ɪ ŋ
drapings	d ɹ e ɪ p ɪ ŋ z
drastic	d ɹ æ s t ɪ k
drat	d ɹ æ t
draught	d ɹ æ f t
draughts	d ɹ æ f t s
drava	d ɹ ɑː v ə
dravidian	d ɹ ə v ɪ d ɪ ə n
draw	d ɹ ɔ
drawal	d ɹ ɔ ə l
drawback	d ɹ ɔː b æ k
drawbar	d ɹ ɔ b ɑ ɹ
drawbridge	d ɹ ɔː b ɹ ɪ d ʒ
drawer	d ɹ ɔ ɚ
drawer	d ɹ ɔ ɹ
drawer	d ɹ ɔ ɹ ɚ
drawers	d ɹ ɔ ɹ z
drawing	d ɹ ɔ w ɪ ŋ ɡ
drawings	d ɹ ɔ ɪ ŋ z
drawl	d ɹ ɔ l
drawl	d ʒ ɹ ɑː w
drawly	d ɹ ɔː l i
drawn	d ɹ ɔː n
draws	d ɹ ɔː z
drawsheet	d ɹ ɔː ʃ iː t
dray	d ɹ e ɪ
dread	d ɹ ɛ d
dreaded	d ɹ ɛ d ɪ d
dreadful	d ɹ ɛ d f ʊ l
dreadfully	d ɹ ɛ d f ʊ l i
dreading	d ɹ ɛ d ɪ ŋ
dreadlocks	d ɹ ɛ d l ɒ k s
dreadnought	d ɹ ɛ d n ɔː t
dreads	d ɹ ɛ d z
dream	d ɹ i m
dream	d ʒ ɹ i m
