а	ɑ
город	ɦ ɔ r ɔ d
городище	ɦ ɔ r ɔ d ɪ ʃ t͡ʃ e
городня	ɦ ɔ r ɔ dʲ nʲ ɐ
горох	ɦ ɔ r ɔ x
горілка	ɦ o rʲ i ɫ k ɐ
горілки	ɦ o rʲ i ɫ k e
горілки	ɦ ɔ rʲ i ɫ k ɪ
горілок	ɦ o rʲ i ɫ ɔ k
горілок	ɦ ɔ rʲ i ɫ ɔ k
горіти	ɦ o rʲ i t e
горіх	ɦ o rʲ i x
господарство	ɦ ɔ s p ɔ d ɑ r s t w ɔ
господине	ɦ ɔ s p ɔ d ɪ n e
господинею	ɦ ɔ s p ɔ d ɪ n e j ʊ
господинь	ɦ ɔ s p ɔ d ɪ nʲ
господиню	ɦ ɔ s p ɔ d ɪ nʲ ʊ
господиня	ɦ ɔ s p ɔ d ɪ nʲ ɐ
господиням	ɦ ɔ s p ɔ d ɪ nʲ ɐ m
господинями	ɦ ɔ s p ɔ d ɪ nʲ ɐ m e
господинях	ɦ ɔ s p ɔ d ɪ nʲ ɐ x
господині	ɦ ɔ s p ɔ d ɪ nʲ i
гостиниця	ɦ ɔ s t ɪ n e t͡sʲ ɐ
гостинний	ɦ ɔ s t ɪ nː e i̯
гостинність	ɦ ɔ s t ɪ nʲː i sʲ tʲ
гоститися	ɦ ɔ s t ɪ t e sʲ ɐ
гострий	ɦ ɔ s t r e i̯
гостювати	ɦ ɔ sʲ tʲ ʊ ʋ ɑ t e
гостя	ɦ ɔ sʲ tʲ ɐ
готель	ɦ ɔ t ɛ lʲ
готовий	ɦ ɔ t ɔ ʋ e i̯
гра	ɦ r ɑ
грабельки	ɦ r ɐ b e lʲ k ɪ
граблі	ɦ r ɐ b lʲ i
грабіж	ɦ r ɐ bʲ i ʒ
гравець	ɦ r ɐ ʋ ɛ t͡sʲ
град	ɦ r ɑ d
градус	ɦ r ɑ d ʊ s
грам	ɦ r ɑ m
граматика	ɦ r ɐ m ɑ t e k ɐ
граматичний	ɦ r ɐ m ɐ t ɪ t͡ʃ n e i̯
грамотний	ɦ r ɑ m ɔ t n e i̯
грамотність	ɦ r ɑ m ɔ tʲ nʲ i sʲ tʲ
гранат	ɦ r ɐ n ɑ t
граната	ɦ r ɐ n ɑ t ɐ
границя	ɦ r ɐ n ɪ t͡sʲ ɐ
грати	ɦ r ɑ t e
гратися	ɦ r ɑ t e sʲ ɐ
гребля	ɦ r ɛ b lʲ ɐ
гребти	ɦ r e b t ɪ
грець	ɦ r ɛ t͡sʲ
грецький	ɦ r ɛ t͡sʲ k e i̯
греція	ɦ r ɛ t͡sʲ i j ɐ
гречка	ɦ r ɛ t͡ʃ k ɐ
гриб	ɦ r ɪ b
грива	ɦ r ɪ ʋ ɐ
гривня	ɦ r ɪ u̯ nʲ ɐ
григорій	ɦ r e ɦ ɔ rʲ i i̯
гризти	ɦ r ɪ z t e
гринда	ɦ r ɪ n d ɐ
гродно	ɦ r ɔ d n ɔ
гроза	ɦ r ɔ z ɑ
громада	ɦ r ɔ m ɑ d ɐ
громадський	ɦ r ɔ m ɑ d͡zʲ sʲ k e i̯
громадянин	ɦ r ɔ m ɐ dʲ ɑ n e n
громадянка	ɦ r ɔ m ɐ dʲ ɑ n k ɐ
громадянство	ɦ r ɔ m ɐ dʲ ɑ n s t w ɔ
громадянська	ɦ r ɔ m ɐ dʲ ɑ nʲ sʲ k ɐ
громадянський	ɦ r ɔ m ɐ dʲ ɑ nʲ sʲ k e i̯
громико	ɦ r ɔ m ɪ k ɔ
громило	ɦ r ɔ m ɪ ɫ ɔ
грошей	ɦ r ɔ ʃ e i̯
гроші	ɦ r o ʃʲ i
гроші	ɦ r ɔ ʃʲ i
грубий	ɦ r u b e i̯
грудень	ɦ r u d e nʲ
груди	ɦ r u d e
грудь	ɦ r u dʲ
грузинський	ɦ r ʊ z ɪ nʲ sʲ k e i̯
грузія	ɦ r u zʲ i j ɐ
група	ɦ r u p ɐ
груша	ɦ r u ʃ ɐ
грязь	ɦ rʲ ɑ zʲ
гріб	ɦ rʲ i b
грізний	ɦ rʲ i z n e i̯
грім	ɦ rʲ i m
гріх	ɦ rʲ i x
гріш	ɦ rʲ i ʃ
грішити	ɦ rʲ i ʃ ɪ t e
губа	ɦ ʊ b ɑ
гуляти	ɦ ʊ lʲ ɑ t e
гуртожиток	ɦ ʊ r t ɔ ʒ e t ɔ k
гуртожиток	ɦ ʊ r t ɔ ʒ ɪ t ɔ k
гусак	ɦ ʊ s ɑ k
гусениця	ɦ u s e n e t͡sʲ ɐ
гуси	ɦ u s e
гуска	ɦ u s k ɐ
гуслі	ɦ u sʲ lʲ i
густий	ɦ ʊ s t ɪ i̯
густота	ɦ ʊ s t ɔ t ɑ
гуся	ɦ ʊ sʲ ɑ
гусятко	ɦ ʊ sʲ ɑ t k ɔ
гуцульщина	ɦ ʊ t͡s u lʲ ʃ t͡ʃ e n ɐ
гігієна	ɦʲ i ɦʲ i j ɛ n ɐ
гігієнічний	ɦʲ i ɦʲ i j e nʲ i t͡ʃ n e i̯
гідність	ɦʲ i dʲ nʲ i sʲ tʲ
гідроген	ɦʲ i d r ɔ ɦ ɛ n
гілка	ɦʲ i ɫ k ɐ
гілля	ɦʲ i lʲː ɐ
гілля	ɦʲ i lʲː ɑ
гімно	ɦʲ i m n ɔ
гін	ɦʲ i n
гіпотеза	ɦʲ i p ɔ t e z ɐ
гіркий	ɦʲ i r k ɪ i̯
гірший	ɦʲ i r ʃ e i̯
гість	ɦʲ i sʲ tʲ
гітара	ɦʲ i t ɑ r ɐ
давай	d ɐ ʋ ɑ i̯
давальний	d ɐ ʋ ɑ lʲ n e i̯
давати	d ɐ ʋ ɑ t e
давид	d ɐ ʋ ɪ d
давильця	d ɐ ʋ ɪ lʲ t͡sʲ ɐ
давній	d ɑ u̯ nʲ i i̯
далекий	d ɐ ɫ ɛ k e i̯
далеко	d ɐ ɫ ɛ k ɔ
дальше	d ɑ lʲ ʃ e
далі	d ɑ lʲ i
данелаг	d ɐ n e ɫ ɑ ɦ
дані	d ɑ nʲ i
данія	d ɑ nʲ i j ɐ
дарвінізм	d ɐ r ʋʲ i nʲ i z m
дарина	d ɐ r ɪ n ɐ
дата	d ɑ t ɐ
дати	d ɑ t e
датський	d ɑ t͡sʲ k e i̯
дах	d ɑ x
дбати	d b ɑ t e
два	d ʋ ɑ
двадцятий	d ʋ ɐ d͡zʲ t͡sʲ ɑ t e i̯
двадцятиоднокутник	d ʋ ɐ d͡zʲ t͡sʲ ɐ t e ɔ d n o k u t n e k
двадцять	d ʋ ɑ d͡zʲ t͡sʲ ɐ tʲ
дванадцятий	d ʋ ɐ n ɑ d͡zʲ t͡sʲ ɐ t e i̯
дванадцять	d ʋ ɐ n ɑ d͡zʲ t͡sʲ ɐ tʲ
двері	d ʋ ɛ rʲ i
двигати	d ʋ ɪ ɦ ɐ t e
двигун	d ʋ e ɦ u n
двомовність	d w ɔ m ɔ u̯ nʲ i sʲ tʲ
двоногий	d w ɔ n ɔ ɦ e i̯
двоє	d w ɔ j e
дві	dʲ ʋʲ i
двір	dʲ ʋʲ i r
двісті	dʲ ʋʲ i sʲ tʲ i
двічі	dʲ ʋʲ i t͡ʃʲ i
де	d ɛ
дебелий	d e b ɛ ɫ e i̯
дев'яностий	d e ʋ j ɐ n ɔ s t e i̯
дев'яносто	d e ʋ j ɐ n ɔ s t ɔ
дев'ясил	d e ʋ j ɐ s ɪ ɫ
дев'ятеро	d ɛ ʋ j ɐ t e r ɔ
дев'ятий	d e ʋ j ɑ t e i̯
дев'ятнадцятий	d e ʋ j ɐ t n ɑ d͡zʲ t͡sʲ ɐ t e i̯
дев'ятнадцять	d e ʋ j ɐ t n ɑ d͡zʲ t͡sʲ ɐ tʲ
дев'ять	d ɛ ʋ j ɐ tʲ
декларація	d e k ɫ ɐ r ɑ t͡sʲ i j ɐ
декорація	d e k ɔ r ɑ t͡sʲ i j ɐ
декриміналізація	d e k r e mʲ i n ɐ lʲ i z ɑ t͡sʲ i j ɐ
декілька	d ɛ kʲ i lʲ k ɐ
дельфін	d e lʲ fʲ i n
делікатний	d e lʲ i k ɑ t n e i̯
делікатність	d e lʲ i k ɑ tʲ nʲ i sʲ tʲ
демократичний	d e m ɔ k r ɐ t ɪ t͡ʃ n e i̯
демократія	d e m ɔ k r ɑ tʲ i j ɐ
демонстрація	d e m ɔ n s t r ɑ t͡sʲ i j ɐ
демонструвати	d e m ɔ n s t r ʊ ʋ ɑ t e
демілітаризація	d e mʲ i lʲ i t ɐ r e z ɑ t͡sʲ i j ɐ
дендрохронологія	d e n d r ɔ x r ɔ n ɔ ɫ ɔ ɦʲ i j ɐ
день	d ɛ nʲ
депресія	d e p r ɛ sʲ i j ɐ
депутат	d e p ʊ t ɑ t
дерево	d ɛ r e w ɔ
дерен	d e r ɛ n
дерен	d ɛ r e n
держава	d e r ʒ ɑ ʋ ɐ
держпозика	d e r ʒ p ɔ z e k ɐ
дерзкий	d e r z k ɪ i̯
деркач	d e r k ɑ t͡ʃ
десерт	d e s ɛ r t
десертам	d e s ɛ r t ɐ m
десертами	d e s ɛ r t ɐ m e
десертах	d e s ɛ r t ɐ x
десерти	d e s ɛ r t e
десертові	d e s ɛ r t ɔ ʋʲ i
десертом	d e s ɛ r t ɔ m
десерту	d e s ɛ r t ʊ
десерті	d e s ɛ r tʲ i
десертів	d e s ɛ r tʲ i u̯
десь	d ɛ sʲ
десятеро	d ɛ sʲ ɐ t e r ɔ
десятий	d e sʲ ɑ t e i̯
десятиліття	d e sʲ ɐ t e lʲ i tʲː ɐ
десятиріччя	d e sʲ ɐ t e rʲ i t͡ʃʲː ɐ
десять	d ɛ sʲ ɐ tʲ
деталь	d e t ɑ lʲ
дефіс	d e fʲ i s
дефіцит	d e fʲ i t͡s ɪ t
дешевий	d e ʃ ɛ ʋ e i̯
деїзм	d e j i z m
джгут	d͡ʒ ɦ u t
джгутик	d͡ʒ ɦ u t e k
джерело	d͡ʒ e r e ɫ ɔ
джибуті	d͡ʒ e b u tʲ i
джинси	d͡ʒ ɪ n s e
джміль	d͡ʒ mʲ i lʲ
джунглі	d͡ʒ u n ɦ lʲ i
дзвоник	d͡z w ɔ n e k
дзвонити	d͡z w ɔ n ɪ t e
дзвін	d͡zʲ ʋʲ i n
дзвіниця	d͡zʲ ʋʲ i n ɪ t͡sʲ ɐ
дзвінкий	d͡zʲ ʋʲ i n k ɪ i̯
дзвінкість	d͡zʲ ʋʲ i nʲ kʲ i sʲ tʲ
дзеркало	d͡z ɛ r k ɐ ɫ ɔ
дзиґа	d͡z ɪ ɡ ɐ
дзьоб	d͡zʲ ɔ b
дзюбенко	d͡zʲ ʊ b ɛ n k ɔ
дзюрчалка	d͡zʲ ʊ r t͡ʃ ɑ ɫ k ɐ
дивак	d e ʋ ɑ k
диван	d e ʋ ɑ n
дивина	d e ʋ e n ɑ
дивитися	d e ʋ ɪ t e sʲ ɐ
дивний	d ɪ u̯ n e i̯
диво	d ɪ w ɔ
дивізій	d e ʋʲ i zʲ i i̯
дивізію	d e ʋʲ i zʲ i j ʊ
дивізія	d e ʋʲ i zʲ i j ɐ
дивізіям	d e ʋʲ i zʲ i j ɐ m
дивізіями	d e ʋʲ i zʲ i j ɐ m e
дивізіях	d e ʋʲ i zʲ i j ɐ x
дивізіє	d e ʋʲ i zʲ i j e
дивізією	d e ʋʲ i zʲ i j e j ʊ
дивізії	d e ʋʲ i zʲ i j i
дизентерія	d e z e n t e rʲ i j ɐ
диканя	d e k ɑ nʲ ɐ
дикий	d ɪ k e i̯
дикобраз	d e k ɔ b r ɑ z
дим	d ɪ m
динамізм	d e n ɐ mʲ i z m
динаміка	d e n ɑ mʲ i k ɐ
динамічний	d e n ɐ mʲ i t͡ʃ n e i̯
динамічно	d e n ɐ mʲ i t͡ʃ n ɔ
диня	d ɪ nʲ ɐ
диплом	d e p ɫ ɔ m
диплома	d e p ɫ ɔ m ɐ
дипломи	d e p ɫ ɔ m e
дипломів	d e p ɫ ɔ mʲ i u̯
директор	d e r ɛ k t ɔ r
дисиміляція	d e s e mʲ i lʲ ɑ t͡sʲ i j ɐ
дискусія	d e s k u sʲ i j ɐ
дискутант	d e s k ʊ t ɑ n t
дислокація	d e s ɫ ɔ k ɑ t͡sʲ i j ɐ
диспетчер	d e s p ɛ t͡ʃː e r
дитина	d e t ɪ n ɐ
дитинство	d e t ɪ n s t w ɔ
дитя	d e tʲ ɑ
дитята	d e tʲ ɑ t ɐ
дихати	d ɪ x ɐ t e
диявол	d e j ɑ w ɔ ɫ
для	dʲ lʲ ɑ
днище	d n ɪ ʃ t͡ʃ e
дно	d n ɔ
днр	d ɛ ɛ n ɛ r
дня	dʲ nʲ ɑ
днях	dʲ nʲ ɑ x
дніпр	dʲ nʲ i p r
дніпро	dʲ nʲ i p r ɔ
дніпропетровськ	dʲ nʲ i p r ɔ p e t r ɔ u̯ sʲ k
до	d ɔ
доба	d ɔ b ɑ
добраніч	d ɔ b r ɑ nʲ i t͡ʃ
добре	d ɔ b r e
добривечір	d ɔ b r e ʋ ɛ t͡ʃʲ i r
добридень	d ɔ b r e d ɛ nʲ
добрий	d ɔ b r e i̯
добробут	d ɔ b r ɔ b ʊ t
доброчесний	d ɔ b r ɔ t͡ʃ ɛ s n e i̯
доброчесність	d ɔ b r ɔ t͡ʃ ɛ sʲ nʲ i sʲ tʲ
довгий	d ɔ u̯ ɦ e i̯
довго	d ɔ u̯ ɦ ɔ
довгоніг	d ɔ u̯ ɦ o nʲ i ɦ
довгоніжка	d ɔ u̯ ɦ o nʲ i ʒ k ɐ
довгошиїй	d ɔ u̯ ɦ ɔ ʃ ɪ j i i̯
довідник	d ɔ ʋʲ i d n e k
довідник	d ɔ ʋʲ i d n ɪ k
довіра	d ɔ ʋʲ i r ɐ
довіряти	d ɔ ʋʲ i rʲ ɑ t e
договір	d ɔ ɦ ɔ ʋʲ i r
додавати	d ɔ d ɐ ʋ ɑ t e
додати	d ɔ d ɑ t e
дозволити	d ɔ z w ɔ ɫ e t e
дозвольте	d ɔ z w ɔ lʲ t e
дозволяти	d ɔ z w ɔ lʲ ɑ t e
дозвілля	d ɔ zʲ ʋʲ i lʲː ɐ
докладний	d ɔ k ɫ ɑ d n e i̯
доконаний	d ɔ k ɔ n ɐ n e i̯
докторат	d ɔ k t ɔ r ɑ t
документ	d ɔ k ʊ m ɛ n t
документувати	d ɔ k ʊ m e n t ʊ ʋ ɑ t e
долар	d ɔ ɫ ɐ r
долина	d ɔ ɫ ɪ n ɐ
долоне	d ɔ ɫ ɔ n e
долонею	d ɔ ɫ ɔ n e j ʊ
долонь	d ɔ ɫ ɔ nʲ
долоню	d ɔ ɫ ɔ nʲ ʊ
долоня	d ɔ ɫ ɔ nʲ ɐ
долоням	d ɔ ɫ ɔ nʲ ɐ m
долонями	d ɔ ɫ ɔ nʲ ɐ m e
долонях	d ɔ ɫ ɔ nʲ ɐ x
долоні	d ɔ ɫ ɔ nʲ i
долото	d ɔ ɫ ɔ t ɔ
доля	d ɔ lʲ ɐ
домініка	d ɔ mʲ i nʲ i k ɐ
домініканський	d ɔ mʲ i nʲ i k ɑ nʲ sʲ k e i̯
донбас	d ɔ n b ɑ s
донець	d ɔ n ɛ t͡sʲ
донецьк	d ɔ n ɛ t͡sʲ k
донька	d ɔ nʲ k ɐ
допомагати	d ɔ p ɔ m ɐ ɦ ɑ t e
допомога	d ɔ p ɔ m ɔ ɦ ɐ
допомогти	d ɔ p ɔ m ɔ ɦ t ɪ
дорога	d ɔ r ɔ ɦ ɐ
дорога	d ɔ r ɔ ɦ ɑ
дорогий	d ɔ r ɔ ɦ ɪ i̯
дорожній	d ɔ r ɔ ʒ nʲ i i̯
дорослий	d ɔ r ɔ s ɫ e i̯
доріжка	d o rʲ i ʒ k ɐ
досвід	d ɔ sʲ ʋʲ i d
досвідчений	d ɔ sʲ ʋʲ i d͡ʒ t͡ʃ e n e i̯
досить	d ɔ s e tʲ
досконалий	d ɔ s k ɔ n ɑ ɫ e i̯
досконалість	d ɔ s k ɔ n ɑ lʲ i sʲ tʲ
дослідження	d o sʲ lʲ i d͡ʒ e nʲː ɐ
достатньо	d ɔ s t ɑ tʲ nʲ ɔ
достатній	d ɔ s t ɑ tʲ nʲ i i̯
доступ	d ɔ s t ʊ p
доступний	d o s t u p n e i̯
досягати	d ɔ sʲ ɐ ɦ ɑ t e
досягнення	d ɔ sʲ ɑ ɦ n e nʲː ɐ
досягти	d ɔ sʲ ɐ ɦ t ɪ
досяжний	d ɔ sʲ ɐ ʒ n ɪ i̯
досяжний	d ɔ sʲ ɑ ʒ n e i̯
доторкатися	d ɔ t ɔ r k ɑ t e sʲ ɐ
доторкнутися	d ɔ t o r k n u t e sʲ ɐ
доходити	d ɔ x ɔ d e t e
дохід	d o xʲ i d
дочка	d ɔ t͡ʃ k ɑ
дошка	d ɔ ʃ k ɐ
дошкам	d ɔ ʃ k ɐ m
дошками	d ɔ ʃ k ɐ m e
дошках	d ɔ ʃ k ɐ x
дошки	d ɔ ʃ k e
дошко	d ɔ ʃ k ɔ
дошкою	d ɔ ʃ k ɔ j ʊ
дошку	d ɔ ʃ k ʊ
дошці	d ɔ sʲ t͡sʲ i
дощ	d ɔ ʃ t͡ʃ
дощовий	d ɔ ʃ t͡ʃ ɔ ʋ ɪ i̯
дощок	d ɔ ʃ t͡ʃ ɔ k
доїжджати	d ɔ j i ʒ d͡ʒ ɑ t e
доїти	d ɔ j i t e
доїхати	d ɔ j i x ɐ t e
дракон	d r ɐ k ɔ n
древній	d r ɛ u̯ nʲ i i̯
дрижаки	d r e ʒ ɐ k ɪ
дрова	d r ɔ ʋ ɐ
дровця	d r ɔ u̯ t͡sʲ ɑ
друг	d r u ɦ
другий	d r u ɦ e i̯
дружина	d r ʊ ʒ ɪ n ɐ
друкувати	d r ʊ k ʊ ʋ ɑ t e
дрібний	dʲ rʲ i b n ɪ i̯
дрівця	dʲ rʲ i u̯ t͡sʲ ɑ
дріжджі	dʲ rʲ i ʒ d͡ʒʲ i
дрізд	dʲ rʲ i z d
дрімати	dʲ rʲ i m ɑ t e
дріт	dʲ rʲ i t
дуже	d u ʒ e
дужий	d u ʒ e i̯
дума	d u m ɐ
думати	d u m ɐ t e
думка	d u m k ɐ
дунай	d ʊ n ɑ i̯
дупа	d u p ɐ
дупло	d ʊ p ɫ ɔ
дур	d u r
дурити	d ʊ r ɪ t e
дурний	d ʊ r n ɪ i̯
дуріан	d ʊ rʲ i ɑ n
дути	d u t e
дух	d u x
духовенство	d ʊ x ɔ ʋ ɛ n s t w ɔ
духовний	d ʊ x ɔ u̯ n e i̯
духівництво	d ʊ xʲ i u̯ n ɪ t͡s t w ɔ
душ	d u ʃ
душа	d ʊ ʃ ɑ
дядько	dʲ ɑ dʲ k ɔ
дядьо	dʲ ɑ dʲ ɔ
дядя	dʲ ɑ dʲ ɐ
дякувати	dʲ ɑ k ʊ ʋ ɐ t e
дякую	dʲ ɑ k ʊ j ʊ
дятел	dʲ ɑ t e ɫ
діагноз	dʲ i ɑ ɦ n ɔ z
діагностика	dʲ i ɐ ɦ n ɔ s t e k ɐ
діагностичний	dʲ i ɐ ɦ n ɔ s t ɪ t͡ʃ n e i̯
діалог	dʲ i ɐ ɫ ɔ ɦ
діаметрально	dʲ i ɐ m e t r ɑ lʲ n ɔ
діана	dʲ i ɑ n ɐ
діафрагм	dʲ i ɐ f r ɑ ɦ m
діафрагма	dʲ i ɐ f r ɑ ɦ m ɐ
діафрагмам	dʲ i ɐ f r ɑ ɦ m ɐ m
діафрагмами	dʲ i ɐ f r ɑ ɦ m ɐ m e
діафрагмах	dʲ i ɐ f r ɑ ɦ m ɐ x
діафрагми	dʲ i ɐ f r ɑ ɦ m e
діафрагмо	dʲ i ɐ f r ɑ ɦ m ɔ
діафрагмою	dʲ i ɐ f r ɑ ɦ m ɔ j ʊ
діафрагму	dʲ i ɐ f r ɑ ɦ m ʊ
діафрагмі	dʲ i ɐ f r ɑ ɦ mʲ i
дівер	dʲ i ʋ e r
дівка	dʲ i u̯ k ɐ
дівча	dʲ i u̯ t͡ʃ ɑ
дівчата	dʲ i u̯ t͡ʃ ɑ t ɐ
дівчина	dʲ i u̯ t͡ʃ e n ɐ
дівчина	dʲ i u̯ t͡ʃ ɪ n ɐ
дівчинка	dʲ i u̯ t͡ʃ e n k ɐ
дід	dʲ i d
дідусь	dʲ i d u sʲ
дідух	dʲ i d u x
дійний	dʲ i i̯ n e i̯
дійсний	dʲ i i̯ s n e i̯
дійсність	dʲ i i̯ sʲ nʲ i sʲ tʲ
дійти	dʲ i i̯ t ɪ
діл	dʲ i ɫ
ділити	dʲ i ɫ ɪ t e
діло	dʲ i ɫ ɔ
ділянка	dʲ i lʲ ɑ n k ɐ
дім	dʲ i m
дірка	dʲ i r k ɐ
діти	dʲ i t e
дітки	dʲ i t k e
дітлах	dʲ i t ɫ ɑ x
дітлахи	dʲ i t ɫ ɐ x ɪ
дія	dʲ i j ɐ
діяльний	dʲ i j ɑ lʲ n e i̯
діяльність	dʲ i j ɑ lʲ nʲ i sʲ tʲ
діяння	dʲ i j ɐ nʲː ɐ
діяння	dʲ i j ɑ nʲː ɐ
діяти	dʲ i j ɐ t e
дієвідміна	dʲ i j e ʋʲ i dʲ mʲ i n ɐ
дієвідмінювання	dʲ i j e ʋʲ i dʲ mʲ i nʲ ʊ ʋ ɐ nʲː ɐ
дієприкметник	dʲ i j e p r e k m ɛ t n e k
дієприслівник	dʲ i j e p r e sʲ lʲ i u̯ n e k
дієслово	dʲ i j e s ɫ ɔ w ɔ
евакуація	e ʋ ɐ k ʊ ɑ t͡sʲ i j ɐ
евакуювати	e ʋ ɐ k ʊ j ʊ ʋ ɑ t e
едо	ɛ d ɔ
екваторіальний	e k ʋ ɐ t ɔ rʲ i ɑ lʲ n e i̯
екологія	e k ɔ ɫ ɔ ɦʲ i j ɐ
економіка	e k ɔ n ɔ mʲ i k ɐ
економіст	e k ɔ n o mʲ i s t
економічний	e k ɔ n o mʲ i t͡ʃ n e i̯
екран	e k r ɑ n
екскурсія	e k s k u r sʲ i j ɐ
екслібрис	e k sʲ lʲ i b r e s
експедицій	e k s p e d ɪ t͡sʲ i i̯
експедицію	e k s p e d ɪ t͡sʲ i j ʊ
експедиція	e k s p e d ɪ t͡sʲ i j ɐ
експедиціям	e k s p e d ɪ t͡sʲ i j ɐ m
експедиціями	e k s p e d ɪ t͡sʲ i j ɐ m e
експедиціях	e k s p e d ɪ t͡sʲ i j ɐ x
експедиціє	e k s p e d ɪ t͡sʲ i j e
експедицією	e k s p e d ɪ t͡sʲ i j e j ʊ
експедиції	e k s p e d ɪ t͡sʲ i j i
експеримент	e k s p e r e m ɛ n t
експериментальний	e k s p e r e m e n t ɑ lʲ n e i̯
експерт	e k s p ɛ r t
експозиція	e k s p ɔ z ɪ t͡sʲ i j ɐ
експрес	e k s p r ɛ s
елегантний	e ɫ e ɦ ɑ n t n e i̯
елегантність	e ɫ e ɦ ɑ n tʲ nʲ i sʲ tʲ
електорат	e ɫ e k t ɔ r ɑ t
елемент	e ɫ e m ɛ n t
ель	ɛ lʲ
еліпс	ɛ lʲ i p s
емблема	e m b ɫ ɛ m ɐ
емблематичний	e m b ɫ e m ɐ t ɪ t͡ʃ n e i̯
емоцій	e m ɔ t͡sʲ i i̯
емоційний	e m o t͡sʲ i i̯ n e i̯
емоцію	e m ɔ t͡sʲ i j ʊ
емоція	e m ɔ t͡sʲ i j ɐ
емоціям	e m ɔ t͡sʲ i j ɐ m
емоціями	e m ɔ t͡sʲ i j ɐ m e
емоціях	e m ɔ t͡sʲ i j ɐ x
емоціє	e m ɔ t͡sʲ i j e
емоцією	e m ɔ t͡sʲ i j e j ʊ
емоції	e m ɔ t͡sʲ i j i
ему	ɛ m ʊ
емілія	e mʲ i lʲ i j ɐ
енергій	e n ɛ r ɦʲ i i̯
енергію	e n ɛ r ɦʲ i j ʊ
енергія	e n ɛ r ɦʲ i j ɐ
енергіям	e n ɛ r ɦʲ i j ɐ m
енергіями	e n ɛ r ɦʲ i j ɐ m e
енергіях	e n ɛ r ɦʲ i j ɐ x
енергіє	e n ɛ r ɦʲ i j e
енергією	e n ɛ r ɦʲ i j e j ʊ
енергії	e n ɛ r ɦʲ i j i
епідеміолог	e pʲ i d e mʲ i ɔ ɫ ɔ ɦ
епідеміологічний	e pʲ i d e mʲ i ɔ ɫ o ɦʲ i t͡ʃ n e i̯
епідеміологія	e pʲ i d e mʲ i ɔ ɫ ɔ ɦʲ i j ɐ
епідемічний	e pʲ i d e mʲ i t͡ʃ n e i̯
епідемія	e pʲ i d ɛ mʲ i j ɐ
епістемологія	e pʲ i s t e m ɔ ɫ ɔ ɦʲ i j ɐ
епітет	e pʲ i t e t
епіфіз	e pʲ i fʲ i z
ескадрилья	e s k ɐ d r ɪ lʲ j ɐ
естонський	e s t ɔ nʲ sʲ k e i̯
естонія	e s t ɔ nʲ i j ɐ
етап	e t ɑ p
етимолог	e t e m ɔ ɫ ɔ ɦ
етимологічний	e t e m ɔ ɫ o ɦʲ i t͡ʃ n e i̯
етимологія	e t e m ɔ ɫ ɔ ɦʲ i j ɐ
ефект	e f ɛ k t
ефективний	e f e k t ɪ u̯ n e i̯
ефективність	e f e k t ɪ u̯ nʲ i sʲ tʲ
ефіопія	e fʲ i ɔ pʲ i j ɐ
жаба	ʒ ɑ b ɐ
жадний	ʒ ɑ d n e i̯
жадібний	ʒ ɑ dʲ i b n e i̯
жало	ʒ ɐ ɫ ɔ
жало	ʒ ɑ ɫ ɔ
жалоба	ʒ ɐ ɫ ɔ b ɐ
жалоба	ʒ ɑ ɫ ɔ b ɐ
жаль	ʒ ɑ lʲ
жарити	ʒ ɑ r e t e
жарт	ʒ ɑ r t
жартувати	ʒ ɐ r t ʊ ʋ ɑ t e
жасмин	ʒ ɐ s m ɪ n
жати	ʒ ɑ t e
жах	ʒ ɑ x
жебрак	ʒ e b r ɑ k
женитися	ʒ e n ɪ t e sʲ ɐ
жених	ʒ e n ɪ x
живець	ʒ e ʋ ɛ t͡sʲ
живий	ʒ e ʋ ɪ i̯
живіт	ʒ e ʋʲ i t
жид	ʒ ɪ d
жила	ʒ e ɫ ɑ
жила	ʒ ɪ ɫ ɐ
жир	ʒ ɪ r
жити	ʒ ɪ t e
житло	ʒ e t ɫ ɔ
жито	ʒ ɪ t ɔ
житомир	ʒ e t ɔ m e r
життя	ʒ e tʲː ɑ
житіє	ʒ e tʲ i j ɛ
жлуктати	ʒ ɫ ʊ k t ɑ t e
жлуктити	ʒ ɫ u k t e t e
жнець	ʒ n ɛ t͡sʲ
жовтень	ʒ ɔ u̯ t e nʲ
жовтий	ʒ ɔ u̯ t e i̯
жовтогарячий	ʒ ɔ u̯ t ɔ ɦ ɐ rʲ ɑ t͡ʃ e i̯
жовток	ʒ ɔ u̯ t ɔ k
жовч	ʒ ɔ u̯ t͡ʃ
жоден	ʒ ɔ d e n
жодний	ʒ ɔ d n e i̯
жолудь	ʒ ɔ ɫ ʊ dʲ
жона	ʒ ɔ n ɑ
жорстокий	ʒ ɔ r s t ɔ k e i̯
жук	ʒ u k
жупан	ʒ ʊ p ɑ n
журавель	ʒ ʊ r ɐ ʋ ɛ lʲ
журавлина	ʒ ʊ r ɐ u̯ ɫ ɪ n ɐ
журнал	ʒ ʊ r n ɑ ɫ
журналіст	ʒ ʊ r n ɐ lʲ i s t
журналістка	ʒ ʊ r n ɐ lʲ i s t k ɐ
журналістський	ʒ ʊ r n ɐ lʲ i sʲ k e i̯
жінка	ʒʲ i n k ɐ
жіночий	ʒʲ i n ɔ t͡ʃ e i̯
з	s
з	z
