অ	ɔ
চিংৰা	s i ŋ ɹ a
চিকা	s i k a
চিকাৰ	s i k a ɹ
চিকাৰী	s i k a ɹ i
চিকিৎসক	s i k i s s ɒ k
চিকিৎসক	s i k i t s ɒ k
চিকুট	s i k u t
চিকুটা	s i k u t a
চিকৰা	s i k ɒ ɹ a
চিগাৰেট	s i ɡ a ɹ ɛ t
চিঙৰা	s i ŋ ɒ ɹ a
চিঠি	s i tʰ i
চিন	s i n
চিনা	s i n a
চিনাকি	s i n a k i
চিনাকী	s i n a k i
চিন্তা	s i n t a
চিপ	s i p
চিম্পাঞ্জী	s i m p a n z i
চিয়াঁহী	s i ã ɦ i
চিলাকেন্থ	s i l a k ɛ n tʰ ɒ
চিলোৱা	s i l ʊ a
চিৰতা	s i ɹ ɒ t a
চিৰিয়াখানা	s i ɹ i a kʰ a n a
চিৰিয়াখানা	s i ɹ i a x a n a
চু	s u
চুঙা	s u ŋ a
চুট	s u t
চুটি	s u t i
চুটিকে	s u t i k ɛ
চুটিকৈ	s u t i k ɔ ɪ
চুটিগল্প	s u t i ɡ ɒ l p ɒ
চূণ	s u n
চেউৰী	s ɛ u ɹ i
চেনি	s e n i
চেপা	s ɛ p a
চেপেটা	s ɛ p ɛ t a
চেলা	s ɛ l a
চেলাউৰি	s ɛ l a u ɹ i
চেলেকা	s ɛ l ɛ k a
চেল্ফি	s ɛ l pʰ i
চেহেৰা	s ɛ ɦ ɛ ɹ a
চোদ	s ʊ d
চোফা	s ʊ f a
চোফা	s ʊ pʰ a
চোফা	s ʊ ɸ a
চোবা	s ʊ b a
চোবোৱা	s ʊ b ʊ a
চোলা	s ʊ l a
চোৰাং	s ʊ ɹ a ŋ
চোৰাংচোৱা	s ʊ ɹ a ŋ s ʊ a
চোৱা	s ʊ a
চৌ	s ɔ ʊ
চৌকা	s ɔ ʊ k a
চৌখা	s ɔ ʊ kʰ a
চৌত্ৰিছ	s ɔ ʊ t ɹ i s
চৌবিছ	s ɔ ʊ b i s
চৌষষ্ঠি	s ɔ ʊ x ɒ s tʰ i
চৌসত্তৰ	s ɔ ʊ x ɒ t t ɒ ɹ
চৌৰান্নব্বৈ	s ɔ ʊ ɹ a n n ɒ b b ɔ ɪ
চৌৰাল্লিছ	s ɔ ʊ ɹ a l l i s
চৌৰাশী	s ɔ ʊ ɹ a x i
চৌৱন	s ɒ ʊ ɒ n
চৰ	s ɔ ɹ
চৰকাৰ	s ɒ ɹ k a ɹ
চৰাই	s ɒ ɹ a ɪ
চৰিওৱা	s ɒ ɹ i ʊ a
চৰিত্ৰ	s ɔ ɹ i t ɹ ɔ
চৰু	s ɒ ɹ u
চৰ্বত	s ɔ ɹ b ɔ t
চৰ্বত	s ɔː b ɔ t
চৰ্বি	s ɒ ɹ b i
চ’বতকে	s ɔ b ɒ t k ɛ
ছ	ɕ ɔ
ছটিওৱা	s ɒ t i ʊ a
ছনা	s ɒ n a
ছবি	s ɒ b i
ছয়	s ɒ j
ছয়চল্লিছ	s ɒ é s ɒ l l i s
ছয়ত্ৰিছ	s ɒ é t ɹ i s
ছয়ষষ্ঠি	s ɒ é x ɒ s tʰ i
ছয়সত্তৰ	s ɒ é x ɒ t t ɒ ɹ
ছয়ান্নব্বৈ	s ɒ é a n n ɒ b b ɔ ɪ
ছয়াশী	s ɒ é a x i
ছলি	s ɔ l i
ছাই	s a ɪ
ছাগলী	s a ɡ ɒ l i
ছাতি	s a t i
ছানা	s a n a
ছাপন	s a p ɒ n
ছাবিছ	s a b i s
ছাল	s a l
ছাৱ	s a w
ছাৱা	s a w a
ছিগা	s i ɡ a
ছিঙা	s i ŋ a
ছিটা	s i t a
ছিটিকনি	s i t i k ɒ n i
ছিটিকা	s i t i k a
ছিটিকোৱা	s i t i k ʊ a
ছিপ	s i p
ছু	s u
ছুৰী	s u ɹ i
ছেকনী	s ɛ k ɒ n i
ছেকা	s ɛ k a
ছেলোৱা	s ɛ l ʊ a
ছো	s ʊ
ছোৱা	s ʊ a
ছোৱালী	s ʊ a l i
ছৰ্পত	s ɒ ɹ p ɒ t
ছৰ্বত	s ɔ ɹ b ɔ t
ছৰ্বত	s ɔː b ɔ t
ছৱাল	s ɒ w a l
জ	z ɔ
জঁকা	z ɒ̃ k a
জঁপা	z ɒ̃ p a
জকা	z ɒ k a
জখলা	z ɒ kʰ ɒ l a
জখলা	z ɒ x ɒ l a
জগা	z ɒ ɡ a
জগোৱা	z ɒ ɡ ʊ a
জঙাই	z ɒ ŋ a ɪ
জনপ্ৰিয়	z ɒ n ɒ p i ɒ
জনপ্ৰিয়	z ɒ n ɒ p ɹ i ɒ
জনা	z ɒ n a
জপনা	z ɒ p ɒ n a
জপা	z ɒ p a
জপোৱা	z ɒ p ʊ a
জবকা	z ɒ b ɒ k a
জল	z ɒ l
জলফাই	z ɔ l f a ɪ
জলফাই	z ɔ l pʰ a ɪ
জলফাই	z ɔ l ɸ a ɪ
জলবায়ু	z ɔ l ɔ b a j u
জলহুৱা	z ɒ l ɒ ɦ u a
জলা	z ɒ l a
জলাহ	z ɒ l aʱ
জলোৱা	z ɒ l ʊ a
জল্পে’	z ɒ l p e
জহামলা	z ɒ ɦ a m ɒ l a
জহামাল	z ɒ ɦ a m a l
জাঁত	z ã t
জাঁতমিল	z ã t m i l
জাঁতি	z ã t i
জাঁপ	z ã p
জাং	z a ŋ
জাংফাই	z a ŋ pʰ a ɪ
জাক	z a k
জাগা	z a ɡ a
জান	z a n
জানা	z a n a
জানোঁ	z a n ʊ̃
জাপ	z a p
জাপা	z a p a
জাম	z a m
জামু	z a m u
জামুক	z a m u k
জাল	z a l
জালা	z a l a
জালুক	z a l u k
জাৰ	z a ɹ
জাৰা	z a ɹ a
জাৰু	z a ɹ u
জিক	z i k
জিঞাঁ	z i a
জিঞাঁ	z ĩ ã
জিনা	z i n a
জিভা	z i bʱ a
জিয়াঁ	z i a
জিয়াঁ	z ĩ ã
জিলি	z i l i
জিলিকা	z i l i k a
জিলী	z i l i
জিৰণি	z i ɹ ɒ n i
জিৰাফ	z i ɹ a pʰ
জিৰোৱা	z i ɹ ʊ a
জী	z i
জী	z iː
জীউ	z i u
জীয়	z i ɒ
জীয়া	z i a
জীৱ	z i b ɔ
জীৱ	z i β ɔ
জীৱাণু	z i b a n u
জীৱাণু	z i β a n u
জুই	z u i
জুইশলা	z u i x ɒ l a
জুইশাল	z u i x a l
জুটুলিপকা	z u t u l i p ɒ k a
জুতি	z u t i
জুপুৰি	z u p u ɹ i
জুবুৰিয়া	z u b u ɹ i a
জুলা	z u l a
জুলীয়া	z u l i a
জেং	z ɛ ŋ
জেকা	z ɛ k a
জেগা	z ɛ ɡ a
জেঠা	z ɛ tʰ a
জেঠাই	z ɛ tʰ a ɪ
জেঠী	z ɛ tʰ i
জেঠু	z ɛ tʰ u
জেতুকা	z ɛ t u k a
জেপ	z ɛ p
জেব্ৰা	z ɛ b ɹ a
জেলুক	z ɛ l u k
জোঁৱাই	z ʊ̃ a ɪ
জোং	z ʊ ŋ
জোক	z ʊ k
জোকাৰা	z ʊ k a ɹ a
জোখ	z ʊ kʰ
জোখ	z ʊ x
জোখা	z ʊ kʰ a
জোখা	z ʊ x a
জোতা	z ʊ t a
জোতাঠোঁটীয়া	z ʊ t a tʰ ʊ̃ t i a
জোন	z ʊ n
জোনবাই	z ʊ n b a ɪ
জোনাক	z ʊ n a k
জোনাকী	z ʊ n a k i
জোপোহা	z ʊ p ʊ ɦ a
জোলোঙা	z ʊ l ʊ ŋ a
জ্বলন	z ɔ l ɔ n
জ্বলা	z ɒ l a
জ্বলোৱা	z ɒ l ʊ a
জ্বালা	z a l a
জ্বৰ	z ɒ ɹ
জৰা	z ɒ ɹ a
জৰি	z ɒ ɹ i
জৰিগছ	z ɒ ɹ i ɡ ɒ s
জৰী	z ɒ ɹ i
ঝ	zʱ ɔ
ঝাড়ু	z a ɹ u
ঝাড়ু	zʱ a ɹ u
ঝাৰা	zʱ a ɹ a
ঝিঞা	zʱ i a
ঝিঞা	zʱ ĩ ã
ঝিলি	zʱ i l i
ঝিলী	zʱ i l i
ঞ	j ɔ
ট	t ɔ
টকিঅ’	t ɔ k i o
টনা	t ɒ n a
টমটম	t ɒ m t ɒ m
টানা	t a n a
টালিটোপোলা	t a l i t ʊ p ʊ l a
টিকা	t i k a
টিপা	t i p a
টিভি	t i bʱ i
টিলা	t i l a
টুকুৰা	t u k u ɹ a
টুকুৰিওৱা	t u k u ɹ i ʊ a
টুট	t u t
টুপী	t u p i
টুল	t u l
টেংকি	t ɛ ŋ k i
টেঙা	t ɛ ŋ a
টেমা	t ɛ m a
টোকা	t ʊ k a
টোপোলা	t ʊ p ʊ l a
টোপোলাটাপলি	t ʊ p ʊ l a t a p ɒ l i
ঠ	tʱ ɔ
ঠগ	tʰ ɒ ɡ
ঠগা	tʰ ɒ ɡ a
ঠগোৱা	tʰ ɒ ɡ ʊ a
ঠাই	tʰ a ɪ
ঠান	tʰ a n
ঠানি	tʰ a n i
ঠাল	tʰ a l
ঠালি	tʰ a l i
ঠাৰি	tʰ a ɹ i
ঠিলা	tʰ i l a
ঠেং	tʰ ɛ ŋ
ঠেক	tʰ ɛ k
ঠোঁট	tʰ ʊ̃ t
ঠোঙা	tʰ ʊ ŋ a
ড	d ɔ
ডলা	d ɒ l a
ড়	ɾ ɔ
ডাঁৰ	d ã ɹ
ডাঁৰা	d ã ɹ a
ডাঁৰি	d ã ɹ i
ডাউক	d a u k
ডাক্তৰ	d a k t ɒ ɹ
ডাঙৰ	d a ŋ ɔ ɹ
ডাঠ	d a tʰ
ডাঠুৱা	d a tʰ u a
ডাব	d a b
ডাল	d a l
ডালি	d a l i
ডালিম	d a l i m
ডালিমা	d a l i m a
ডাৱৰ	d a ɒ ɹ
ডিঙি	d i ŋ i
ডিম	d i m
ডিমৰু	d i m ɒ ɹ u
ডিল	d i l
ডিলা	d i l a
ডিলামাৰি	d i l a m a ɹ i
ডুবা	d u b a
ডুবাৰু	d u b a ɹ u
ডুৰি	d u ɹ i
ডেউকা	d ɛ u k a
ডেকা	d ɛ k a
ডেকেৰী	d ɛ k ɛ ɹ i
ডেৰা	d ɛ ɹ a
ডোং	d ʊ ŋ
ডোঙা	d ʊ ŋ a
ডোল	d ʊ l
ডোৰ	d ʊ ɹ
ডোৰা	d ʊ ɹ a
ঢ	dʱ ɔ
ঢকা	dʱ ɒ k a
ঢলা	dʱ ɒ l a
ঢ়	ɾ ɔ
ঢাকন	dʱ a k ɒ n
ঢাকনি	dʱ a k ɒ n i
ঢাকনী	dʱ a k ɒ n i
ঢাকা	dʱ a k a
ঢাপ	dʱ a p
ঢাপলি	dʱ a p ɒ l i
ঢাপলিকা	dʱ a p ɒ l i k a
ঢাপৰ	dʱ a p ɒ ɹ
ঢালা	dʱ a l a
ঢুকা	dʱ u k a
ঢেঁকী	dʱ ẽ k i
ঢেৰা	dʱ ɛ ɹ a
ণ	n ɔ
ত	t ɔ
তই	t ɒ i
তজু	t ɒ z u
তত্ব	t ɒ t t ɒ
তথা	t ɒ tʰ a
তথাপি	t ɒ tʰ a p i
তপত	t ɔ p ɔ t
তপিনা	t ɒ p i n a
তবলা	t ɒ b ɒ l a
তম্বু	t ɒ m b u
তল	t ɒ l
তলা	t ɒ l a
তহঁত	t ɒ ɦ ɒ̃ t
তাঁত	t ã t
তাঁতশাল	t ã t x a l
তাঁতিনী	t ã t i n i
তাঁতী	t ã t i
তাই	t a ɪ
তাইক	t a ɪ k
তাইৰ	t a ɪ ɹ
তাও	t a ʊ
তাজমহল	t a z m ɒ ɦ ɒ l
তাজা	t a z a
তাত	t a t
তাপ	t a p
তামাম	t a m a m
তামীঘৰা	t a m i ɡʱ ɒ ɹ a
তামোল	t a m ʊ l
তাল	t a l
তাহুন	t a ɦ u n
তাৰিখ	t a ɹ i kʰ
তাৰিখ	t a ɹ i x
তিওৱা	t i ʊ a
তিতা	t i t a
তিতামৰা	t i t a m ɒ ɹ a
তিতৌ	t i t ɔ ʊ
তিতৰ	t i t ɒ ɹ
তিনি	t i n i
তিমি	t i m i
তিয়ঁহ	t i ɔʱ
তিয়াল্লিছ	t i a l l i s
তিল	t i l
তিৰান্নব্বৈ	t i ɹ a n n ɒ b b ɔ ɪ
তিৰাশী	t i ɹ a x i
তুতাংসামোন	t u t a ŋ x a m ʊ n
তুমি	t u m i
তুলা	t u l a
তুলি	t u l i
তুলী	t u l i
তূলী	t u l i
তেঁতেলী	t ẽ t ɛ l i
তেইছ	t ɛ i s
তেওঁ	t ɛ ʊ̃
তেওঁলোক	t ɛ ʊ̃ l ʊ k
তেখেত	t ɛ kʰ ɛ t
তেজপিয়া	t ɛ z p i a
তেজা	t ɛ z a
তেতিয়া	t ɛ t i a
তেত্ৰিছ	t ɛ t ɹ i s
তেনে	t ɛ n ɛ
তেনেহলে	t ɛ n ɛ ɦ ɒ l ɛ
তেনেহ’লে	t ɛ n ɛ ɦ ɔ l ɛ
তেল	t ɛ l
তেলটুপি	t ɛ l t u p i
তেলাকুচা	t ɛ l a k u s a
তেলাল	t ɛ l a l
তেলীয়া	t ɛ l i a
তেলীয়াসাৰেং	t ɛ l i a x a ɹ ɛ ŋ
তেষষ্ঠি	t ɛ x ɒ s tʰ i
তেসত্তৰ	t ɛ x ɒ t t ɒ ɹ
তেৱন	t ɛ ɒ n
তোমালোক	t ʊ m a l ʊ k
তোমাৰ	t ʊ m a ɹ
তোমোলাক	t ʊ m ʊ l a k
তোলা	t ʊ l a
ত্ৰিছ	t ɹ i s
তৰমুজ	t ɔ ɹ m u z
তৰা	t ɒ ɹ a
তৰামাছ	t ɒ ɹ a m a s
তৰোৱাল	t ɒ ɹ ʊ a l
তৰ্জমা	t ɒ ɹ z ɒ m a
থ	tʱ ɔ
থকা	tʰ ɒ k a
থপা	tʰ ɒ p a
থপিওৱা	tʰ ɒ p i ʊ a
থপৰ	tʰ ɒ p ɒ ɹ
থপৰিওৱা	tʰ ɒ p ɒ ɹ i ʊ a
থাইলেণ্ড	tʰ a ɪ l ɛ n d
থাক	tʰ a k
থাকা	tʰ a k a
থান	tʰ a n
থাপ	tʰ a p
থাপা	tʰ a p a
থাপ্পৰ	tʰ a p p ɒ ɹ
থাপৰ	tʰ a p ɒ ɹ
থাম	tʰ a m
থাল	tʰ a l
থালি	tʰ a l i
থিয়	tʰ i ɒ
থিৰ	tʰ i ɹ
থু	tʰ u
থুঁতৰি	tʰ ũ t ɒ ɹ i
থুঁপ	tʰ ũ p
থুম	tʰ u m
থোঁতা	tʰ ʊ̃ t a
থোৱা	tʰ ʊ a
দ	d ɔ
দখল	d ɒ kʰ ɒ l
দখল	d ɒ x ɒ l
দঙা	d ɒ ŋ a
দফা	d ɒ pʰ a
দবা	d ɒ b a
দবাখেল	d ɒ b a kʰ ɛ l
দবাখেল	d ɒ b a x ɛ l
দমা	d ɒ m a
দমোৱা	d ɒ m ʊ a
দমৰা	d ɒ m ɒ ɹ a
দলং	d ɒ l ɒ ŋ
দলম’ৰা	d ɒ l m ɔ ɹ a
দলিওৱা	d ɒ l i ʊ a
দহ	d ɒ ɦ
দা	d aː
দাঁত	d ã t
দাঁৰ	d ã ɹ
দাউদাউ	d a u d a u
দাঙা	d a ŋ a
দাপোণ	d a p ʊ n
দাম	d a m
দামী	d a m i
দালাল	d a l a l
দালালি	d a l a l i
দাৰি	d a ɹ i
দাৱত	d a ɒ t
দিওৱা	d i ʊ a
দিঠক	d i tʰ ɒ k
দিন	d i n
দিয়া	d i a
দীগ	d i ɡ
দীঘ	d i ɡ
দীঘলোৱা	d i ɡʱ ɒ l ʊ a
দীঘা	d i ɡʱ a
দুই	d u i
দুধ	d u d
দুধ	d u dʱ
দুৰাকাছ	d u ɹ a k a s ɒ
দুৱাৰ	d u a ɹ
দে	d ɛ
দেউতা	d ɛ ʊ t a
দেউতি	d ɛ u t i
দেখা	d ɛ kʰ a
দেখা	d ɛ x a
দেতা	d ɛ t a
দেহা	d ɛ ɦ a
দেৱনাগৰী	d ɛ w n a ɡ ɒ ɹ i
দেৱালী	d ɛ w a l i
দৈকলা	d ɔ i k ɔ l a
দৈনিক	d ɔ ɪ n i k
দোতাৰা	d ʊ t a ɹ a
দোতোৰা	d ʊ t ʊ ɹ a
দোলা	d ʊ l a
দোহাৰ	d ʊ ɦ a ɹ
দোৱা	d ʊ a
দোৱাত	d ʊ a t
দৌৰা	d ɔ ʊ ɹ a
দ্বীপ	d i p
দৰা	d ɒ ɹ a
দৰ্খাস্ত	d ɒ ɹ kʰ a s t ɒ
দৰ্খাস্ত	d ɒ ɹ x a s t ɒ
দৰ্জা	d ɒ ɹ z a
দৰ্জী	d ɒ ɹ z i
দ’তি	d ɔ t i
ধ	dʱ ɔ
ধনিয়া	dʱ ɒ n i a
ধন্যবাদ	dʱ ɔ ɪ nː ɔ b a d
ধান	dʱ a n
ধাননি	dʱ a n ɒ n i
ধুনীয়া	dʱ u n i a
ধুমুহা	dʱ u m u ɦ a
ধুৰা	dʱ u ɹ a
ধূলি	dʱ u l i
ধেমালি	dʱ ɛ m a l i
ধোৱা	dʱ ʊ a
ধৰ	dʱ ɒ ɹ
ধৰণ	dʱ ɔ ɹ ɔ n
ধৰ্ষণ	dʱ ɒ ɹ x ɒ n
ন	n ɒ
নউ	n ɔ ʊ
নকল	n ɒ k ɒ l
নক্সা	n ɔ k s a
নখ	n ɒ kʰ
নখপালিচ	n ɒ k p a l i s
নগৰ	n ɒ ɡ ɒ ɹ
নচা	n ɒ s a
নতুন	n ɒ t u n
নদী	n ɒ d i
নব্বৈ	n ɒ b b ɔ ɪ
নমা	n ɒ m a
নমাজ	n ɒ m a z
নমোৱা	n ɒ m ʊ a
নম্বৰ	n ɒ m b ɒ ɹ
নহয়	n ɒ ɦ ɒ ɛ
নহৰু	n ɒ ɦ ɒ ɹ u
নহ’লে	n ɒ ɦ ɔ l ɛ
নাই	n a i
নাই	n a ɪ
নাইপিয়া	n a ɪ p i a
নাও	n a ʊ
নাক	n a k
নাঙল	n a ŋ ɒ l
নাচা	n a s a
নাজানোঁ	n a z a n ʊ̃
নাট	n a t
নাটনি	n a t ɒ n i
নাপিত	n a p i t
নামনি	n a m ɒ n i
নামা	n a m a
নামাজ	n a m a z
নাম্বাৰ	n a m b a ɹ
নাহৰ	n a ɦ ɒ ɹ
নাহৰফুটুকী	n a ɦ ɒ ɹ pʰ u t u k i
নাৰিকল	n a ɪ k ɒ l
নাৰিকল	n a ɹ i k ɒ l
নিওৱা	n i ʊ a
নিচা	n i s a
নিচান	n i s a n
নিজ	n i z
নিজা	n i z a
নিজে	n i z ɛ
নিজৰ	n i z ɒ ɹ
নিমখ	n i m ɒ kʰ
নিয়া	n i a
নিয়ান্নব্বৈ	n i a n n ɒ b b ɔ ɪ
নিযুত	n i z u t
নিলিখা	n i l i kʰ a
নিলিখা	n i l i x a
নিশাহ	n i x aʱ
নীলা	n i l a
নুমুউৱা	n u m u a
নুমুউৱা	n u m uː a
নুমুৱা	n u m u a
নে	n ɛ
নেউল	n ɛ u l
নেকি	n e k i
নেকি	n i k i
নেগুৰ	n ɛ ɡ u ɹ
নেজ	n ɛ z
নেজানোঁ	n ɛ z a n ʊ̃
নৈ	n ɔ ɪ
নৰম	n ɒ ɹ ɒ m
প	p ɔ
পঁচপন	p ɒ̃ s p ɒ n
পঁচানব্বৈ	p ɒ̃ s a n ɒ b b ɔ ɪ
পঁচাশী	p ɒ̃ s a x i
পঁচিছ	p ɒ̃ s i s
পঁয়ত্ৰিছ	p ɒ̃ é t ɹ i s
পঁষষ্ঠি	p ɒ̃ x ɒ s tʰ i
পঁসত্তৰ	p ɒ̃ x ɒ t t ɒ ɹ
পকা	p ɒ k a
পকোৱা	p ɒ k ʊ a
পখিলা	p ɔ kʰ i l a
পগোৱা	p ɒ ɡ ʊ a
পঘা	p ɒ ɡʱ a
পচন	p ɒ s ɒ n
পচন্দ	p ɒ s ɒ n
পচন্দ	p ɒ s ɒ n d
পচলা	p ɒ s ɒ l a
পচা	p ɒ s a
পচোৱা	p ɒ s ʊ a
পছন্দ	p ɒ s ɒ n
পছন্দ	p ɒ s ɒ n d
পঞ্চল্লিছ	p ɒ n s ɒ l l i s
পঞ্চাছ	p ɒ n s a s
পঞ্জাৱ	p ɔ n z a b
পঞ্জাৱ	p ɔ n z aᵇ
পটাখৰি	p ɒ t a kʰ ɒ ɹ i
পঠা	p ɒ tʰ a
পঠিওৱা	p ɒ tʰ i ʊ a
পঠোৱা	p ɒ tʰ ʊ a
পঢ়া	p ɔ ɦ a
পঢ়া	p ɔʴ ɦ a
পঢ়াশালি	p ɒ ɦ a x a l i
পঢ়াশালি	p ɒ ɹʱ a x a l i
পঢ়োৱা	p ɔ ɦ ʊ a
পঢ়োৱা	p ɔʴ ɦ ʊ a
পতা	p ɒ t a
পথালি	p ɒ tʰ a l i
পথাৰ	p ɒ tʰ a ɹ
পথৰুৱা	p ɒ tʰ ɒ ɹ u a
পদূলি	p ɒ d u l i
পনীয়া	p ɒ n i a
পনৰু	p ɒ n ɒ ɹ u
পলা	p ɒ l a
পলিথিন	p ɒ l i tʰ i n
পলু	p ɒ l u
পলোৱা	p ɒ l ʊ a
পশু	p ɔ x u
পহিলা	p ɒ ɦ i l a
পহু	p ɔ ɦ u
পাঁচ	p ã s
পাঁজৰ	p ã z ɒ ɹ
পাঁজৰা	p ã z ɒ ɹ a
পাং	p a ŋ
পাউণ্ড	p a ʊ n
পাউণ্ড	p a ʊ n d
পাক	p a k
পাকঘৰ	p a ɡ ɡʱ ɒ ɹ
পাকৈত	p a k ɔ ɪ t
পাখি	p a kʰ i
পাখি	p a x i
পাগ	p a ɡ
পাগলামি	p a ɡ ɒ l a m i
পাগুলা	p a ɡ u l a
পাগুৰি	p a ɡ u ɹ i
পাচলি	p a s ɔ l i
পাট	p a t
পাণ	p a n
পাণ্ডা	p a n d a
পাতল	p a t ɒ l
পাতিহাঁহ	p a t iʱ ã ɦ
পাত্থৰ	p a t tʰ ɒ ɹ
পাথৰ	p a tʰ ɒ ɹ
পানী	p a n i
পানীচকু	p a n i s ɒ k u
পাল	p a l
পালিচ	p a l i s
পালেং	p a l ɛ ŋ
পাহ	p aʱ
পাহাৰ	p a ɦ a ɹ
পাহি	p a ɦ i
পাহৰ	p a ɦ ɒ ɹ
পাহৰা	p a ɦ ɒ ɹ a
পাৰ	p a ɹ
পাৰ	p a ɹ ɒ
পাৰা	p a ɹ a
পিঁজৰা	p i z ɒ ɹ a
পিক	p i k
পিকোৱা	p i k ʊ a
পিচলা	p i s ɒ l a
পিটা	p i t a
পিটিকা	p i t i k a
পিঠা	p i tʰ a
পিঠি	p i tʰ i
পিত	p i t
পিতা	p i t a
পিন্ধা	p i n dʱ a
পিপৰ	p i p ɒ ɹ
পিপৰা	p i p ɒ ɹ a
পিয়া	p i a
পিয়াঁজ	p i j a s
পিয়াঁজ	p i j a z
পিহা	p i ɦ a
পিৰা	p i ɹ a
পিৰানা	p i ɹ a n a
পুঁওৱা	p ũ ʊ a
পুং	p u ŋ
পুখুৰী	p u kʰ u ɹ i
পুত	p u t
পুতাই	p u t a ɪ
পুথি	p u tʰ i
পুনু	p u n u
পুলি	p u l i
পুৰণা	p u ɹ ɒ n a
পুৰণি	p u ɹ ɒ n i
পুৰুষ	p u ɹ u x
পুৱা	p u a
পূৰঠ	p u ɹ ɒ tʰ
পৃথিৱী	p i tʰ i b i
পৃথিৱী	p i tʰ i w i
পৃথিৱী	p ɹ i tʰ i w i
পেঁপা	p ẽ p a
পেঙ্গুইন	p ɛ ŋ ɡ u i n
পেট	p ɛ t
পেটাৰি	p ɛ t a ɹ i
পেটী	p ɛ t i
পেটু	p ɛ t u
পেলু	p ɛ l u
পেলোৱা	p ɛ l ʊ a
পেহা	p ɛ ɦ a
পেহী	p ɛ ɦ i
পেৰা	p ɛ ɹ a
পৈ	p ɔ ɪ
পৈণত	p ɔ ɪ n ɒ t
পো	p ʊ
পোক	p ʊ k
পোতা	p ʊ t a
পোন	p ʊ n
পোনা	p ʊ n a
পোন্ধৰ	p ʊ n dʱ ɒ ɹ ɒ
পোহা	p ʊ ɦ a
পোহাৰ	p ʊ ɦ a ɹ
পোহৰ	p ʊ ɦ ɒ ɹ
পোহৰোৱা	p ʊ ɦ ɒ ɹ ʊ a
পোৱাল	p ʊ a l
পোৱালী	p ʊ a l i
প্লেটিপাছ	p l ɛ t i p a s
প্ৰক্ৰিয়া	p ɒ k i a
প্ৰক্ৰিয়া	p ɒ k ɹ i a
প্ৰক্ৰিয়া	p ɹ ɒ k i a
প্ৰক্ৰিয়া	p ɹ ɒ k ɹ i a
প্ৰথমতে	p ɔ tʰ ɔ m ɔ t ɛ
প্ৰথমতে	p ɹ ɔ tʰ ɔ m ɔ t ɛ
প্ৰথমে	p ɔ tʰ ɔ m ɛ
প্ৰথমে	p ɹ ɔ tʰ ɔ m ɛ
পৰ	p ɒ ɹ
পৰম্পৰা	p ɒ ɹ ɒ m p ɒ ɹ a
পৰা	p ɒ ɹ a
পৰিয়াল	p ɒ ɹ i a l
পৰুৱা	p ɒ ɹ u a
পৰ্বত	p ɒ ɹ b ɒ t
পৰ্বত	p ɔː b ɔ t
ফ	f ɔ
ফ	pʰ ɔ
ফ	ɸ ɔ
ফচল	pʰ ɒ s ɒ l
ফটকা	pʰ ɒ t ɒ k a
ফটা	pʰ ɒ t a
ফটো	pʰ ɒ t ʊ
ফণী	pʰ ɒ n i
ফল	f ɔ l
ফল	pʰ ɔ l
ফল	ɸ ɔ l
ফলা	pʰ ɒ l a
ফাঁক	pʰ ã k
ফাট	pʰ a t
ফাটা	pʰ a t a
ফান্দ	pʰ a n
ফান্দ	pʰ a n d
ফান্দ	ɸ a n
ফান্দ	ɸ a n d
ফাল	pʰ a l
ফালা	pʰ a l a
ফিঙ	pʰ i ŋ ɒ
ফিঙা	pʰ i ŋ a
ফুটা	pʰ u t a
ফুল	f u l
ফুল	pʰ u l
ফুল	ɸ u l
ফুলনি	pʰ u l ɒ n i
ফুলনিবাৰী	pʰ u l ɒ n i b a ɹ i
ফুলবাৰী	pʰ u l b a ɹ i
ফুলা	pʰ u l a
ফুলোৱা	pʰ u l ʊ a
ফুৰা	pʰ u ɹ a
ফেঁচা	f ɛ s a
ফেঁচা	pʰ ɛ s a
ফেঁচা	ɸ ɛ s a
ফেঁট	pʰ ẽ t
ফেঁটী	pʰ ẽ t i
ফেন	pʰ ɛ n
ফেনা	pʰ ɛ n a
ফ্লেমিংগ	pʰ l ɛ m i ŋ ɡ ɒ
ফ্লেমিঙ্গ	pʰ l ɛ m i ŋ ɡ ɒ
ফৰাচী	f ɔ ɹ a s i
ফৰিং	pʰ ɒ ɹ i ŋ
ফৰিঙা	pʰ ɒ ɹ i ŋ a
ব	b ɔ
বঁটা	b ɒ̃ t a
বকলা	b ɒ k ɒ l a
বকা	b ɒ k a
বখলিওৱা	b ɒ kʰ ɒ l i ʊ a
বখলিওৱা	b ɒ x ɒ l i ʊ a
বগ	b ɒ ɡ
বগলী	b ɔ ɡ ɔ l i
বগা	b ɒ ɡ a
বগোৱা	b ɒ ɡ ʊ a
বগৰী	b ɒ ɡ ɒ ɹ i
বঙহ	b ɒ ŋ ɒ ɦ
বঙাল	b ɒ ŋ a l
বচা	b ɒ s a
বছৰ	b ɒ s ɒ ɹ
বজাৰ	b ɒ z a ɹ
বজোৱা	b ɒ z ʊ a
বটল	b ɒ t ɒ l
বটা	b ɒ t a
বঠা	b ɒ tʰ a
বঢ়োৱা	b a ɹʱ ʊ a
বঢ়োৱা	b ɒ ɦ ʊ a
বতাহ	b ɔ t aʱ
বত্ৰিছ	b ɒ t ɹ i s
বতৰ	b ɒ t ɒ ɹ
বন	b ɒ n
