reconstruction:gothic/𐌲𐌿𐍄𐌰	ɡ u t a
𐌲𐌰𐌲𐌲𐌰𐌽	ɡ a ŋ ɡ a n
𐌲𐌰𐌳𐌰𐌹𐌻𐌾𐌰𐌽	ɣ a d ɛː l j a n
𐌲𐌰𐌳𐌰𐌿𐌱𐌹𐌳𐌰	ɡ a d ɔː b i d a
𐌲𐌰𐌳𐌰𐌿𐌱𐌾𐌰𐌽	ɡ a d ɔː b j a n
𐌲𐌰𐌳𐌰𐌿𐌺𐌰𐌽𐍃	ɡ a d ɔː k a n s
𐌲𐌰𐌳𐍂𐌹𐌿𐍃𐌰𐌽	ɡ a d r i u̯ s a n
𐌲𐌰𐌹𐍂𐌽𐌾𐌰𐌽	ɡ ɛ r n j a n
𐌲𐌰𐌺𐌰𐍂𐍉𐌽	ɣ a k a r oː n
𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌽	ɡ a l iː k aː n
𐌲𐌰𐌽𐌰𐌽𐌸𐌹𐌳𐌰	ɡ a n a n θ i d a
𐌲𐌰𐌽𐌰𐌽𐌸𐌾𐌰𐌽	ɡ a n a n θ j a n
𐌲𐌰𐍃𐍄𐌹𐌲𐍉𐌳𐌴𐌹	ɡ a s t i ɡ oː d iː
𐌲𐌰𐍃𐍄𐌹𐌲𐍉𐌸𐍃	ɡ a s t i ɡ oː θ sː
𐌲𐌰𐍄𐌰𐌹𐍂𐌰𐌽	ɣ a t ɛ r a n
𐌲𐌰𐍄𐌰𐌿𐌾𐌰𐌽	ɣ a t ɔː j a n
𐌲𐌰𐍅𐌰𐍃𐌾𐌰𐌽	ɡ a w a s j a n
𐌲𐌰𐍆𐌴𐍄𐌴𐌹𐌽𐍃	ɡ a f eː t iː n s
𐌲𐌿𐌻𐌸	ɡ u l θ
𐌲𐌿𐌼𐌰	ɡ u m a
𐌲𐍂𐌰𐌱𐌰𐌽	ɡ r a b a n
𐌲𐍂𐌴𐌳𐌰𐌲𐍃	ɡ r eː d a ɡ s
𐌲𐍂𐌴𐌹𐍀𐌰𐌽	ɡ r iː p a n
𐌲𐍉𐌸𐍃	ɣ oː θ s
𐌳𐌰𐌹𐌲	d ɛː x
𐌳𐌰𐌹𐌻𐌾𐌰𐌽	d ɛː l j a n
𐌳𐌰𐌹𐌼𐍉𐌽𐌰𐍂𐌴𐌹𐍃	d ɛː m oː n aː r iː s
𐌳𐌰𐌻𐌰𐌸	d a l a θ
𐌳𐌰𐌻𐌰𐌸𐌰	d a l a θ a
𐌳𐌰𐌻𐌴	d a l eː
𐌳𐌰𐌿𐌸𐌿𐌱𐌻𐌴𐌹𐍃	d ɔː θ u b l iː s
𐌳𐌰𐌿𐌸𐌿𐌱𐌻𐌾𐌰𐌽𐍃	d ɔː θ u b l j a n s
𐌳𐌰𐌿𐌸𐌿𐍃	d ɔː θ u s
𐌳𐌰𐌿𐍀𐌾𐌰𐌽	d ɔː p j a n
𐌳𐌰𐌿𐍆𐍃	d ɔː f s
𐌳𐌹𐌲𐌰𐌽	d i ɡ a n
𐌳𐌹𐌲𐌰𐌽𐌰	d i ɡ a n a
𐌳𐌹𐌲𐌰𐌽𐌳𐌹𐌽	d i ɡ a n d i n
𐌳𐌹𐌲𐌰𐌽𐌳𐍃	d i ɡ a n d s
𐌳𐌹𐌲𐌰𐌽𐍃	d i ɡ a n s
𐌳𐌹𐌲𐍂𐌴𐌹	d i ɣ r iː
𐌳𐌹𐌲𐍂𐌴𐌹𐌽	d i ɣ r iː n
𐌳𐌹𐍃𐌳𐌰𐌹𐌻𐌹𐌳𐌰	d i s d ɛː l i d a
𐌳𐌹𐍃𐌳𐌰𐌹𐌻𐌹𐌸𐍃	d i s d ɛː l i θ s
𐌳𐌹𐍃𐌳𐌰𐌹𐌻𐌾𐌰𐌽	d i s d ɛː l j a n
𐌳𐌹𐍃𐌳𐌰𐌹𐌻𐌾𐌰𐌽𐌳	d i s d ɛː l j a n d
𐌳𐌹𐍃𐌳𐍂𐌰𐌿𐍃	d i s d r a u̯ s
𐌳𐌹𐍃𐌳𐍂𐌹𐌿𐍃𐌰𐌽	d i s d r i u̯ s a n
𐌳𐌹𐍃𐌷𐌽𐌹𐌿𐍀𐌰𐌽	d i s h n i u̯ p a n
𐌳𐌹𐍃𐌷𐌽𐌹𐌿𐍀𐌰𐌽𐌳𐍃	d i s h n i u̯ p a n d s
𐌳𐌹𐍃𐌷𐌽𐌿𐍀𐌽𐌰𐌽	d i s h n u p n a n
𐌳𐌹𐍃𐌷𐌽𐌿𐍀𐌽𐍉𐌳𐌴𐌳𐌿𐌽	d i s h n u p n oː d eː d u n
𐌳𐌹𐍃𐌷𐌿𐌻𐌾𐌰𐌽	d i s h u l j a n
𐌳𐌹𐍃𐌷𐌿𐌻𐌾𐌹𐌸	d i s h u l j i θ
𐌳𐌹𐍃𐌽𐌹𐌼𐌰𐌽	d i s n i m a n
𐌳𐌹𐍃𐌽𐌹𐌼𐌰𐌽𐌳𐌰𐌽𐍃	d i s n i m a n d a n s
𐌳𐌹𐍃𐌽𐌹𐌼𐌰𐌽𐌳𐍃	d i s n i m a n d s
𐌳𐌹𐍃𐍃𐌹𐌲𐌵𐌰𐌹	d i s s i ŋ kʷ ɛː
𐌳𐌹𐍃𐍃𐌹𐌲𐌵𐌰𐌽	d i s s i ŋ kʷ a n
𐌳𐌹𐍃𐍃𐌺𐌰𐌹𐌳𐌰𐌽	d i s s k ɛː d a n
𐌳𐌹𐍃𐍃𐌺𐌰𐌹𐌳𐌰𐌽𐌳𐌴𐌹𐌽	d i s s k ɛː d a n d iː n
𐌳𐌹𐍃𐍃𐌺𐌰𐌹𐌳𐌰𐌽𐌳𐍃	d i s s k ɛː d a n d s
𐌳𐌹𐍃𐍃𐌺𐍂𐌴𐌹𐍄𐌰𐌽	d i s s k r iː t a n
𐌳𐌹𐍃𐍃𐌺𐍂𐌴𐌹𐍄𐌰𐌽𐌳𐍃	d i s s k r iː t a n d s
𐌳𐌹𐍃𐍃𐌺𐍂𐌹𐍄𐌽𐌰𐌽	d i s s k r i t n a n
𐌳𐌹𐍃𐍃𐌺𐍂𐌹𐍄𐌽𐍉𐌳𐌰	d i s s k r i t n oː ð a
𐌳𐌹𐍃𐍃𐌺𐍂𐌹𐍄𐌽𐍉𐌳𐌴𐌳𐌿𐌽	d i s s k r i t n oː ð a
𐌳𐌹𐍃𐍄𐌰𐌷𐌴𐌹𐌽	d i s t a h iː n
𐌳𐌹𐍃𐍄𐌰𐌷𐌴𐌹𐌽𐍃	d i s t a h iː n s
𐌳𐌹𐍃𐍄𐌰𐌷𐌹𐌳𐌰	d i s t a h i d a
𐌳𐌹𐍃𐍄𐌰𐌷𐌹𐌳𐌴𐌳𐌹	d i s t a h i d eː d i
𐌳𐌹𐍃𐍄𐌰𐌷𐌾𐌰𐌳𐌰	d i s t a h j a d a
𐌳𐌹𐍃𐍄𐌰𐌷𐌾𐌰𐌽	d i s t a h j a n
𐌳𐌹𐍃𐍄𐌰𐌷𐌾𐌹𐌸	d i s t a h j i θ
𐌳𐌹𐍃𐍄𐌰𐌹𐍂𐌰𐌹	d i s t ɛ r ɛː
𐌳𐌹𐍃𐍄𐌰𐌹𐍂𐌰𐌽	d i s t ɛ r a n
𐌳𐌹𐍃𐍄𐌰𐌹𐍂𐌹𐌸	d i s t ɛ r i θ
𐌳𐌹𐍃𐍄𐌰𐌿𐍂𐌽𐌰𐌽	d i s t ɔ r n a n
𐌳𐌹𐍃𐍄𐌰𐌿𐍂𐌽𐌰𐌽𐌳	d i s t ɔ r n a n d
𐌳𐌹𐍃𐍅𐌹𐌻𐍅𐌰𐌹	d i s w i l w ɛː
𐌳𐌹𐍃𐍅𐌹𐌻𐍅𐌰𐌽	d i s w i l w a n
𐌳𐌹𐍃𐍅𐌹𐌽𐌸𐌴𐌹𐌸	d i s w i n θ iː θ
𐌳𐌹𐍃𐍅𐌹𐌽𐌸𐌾𐌰𐌽	d i s w i n θ j a n
𐌳𐌹𐍃𐍅𐌹𐍃𐍃	d i s w i s s
𐌳𐌹𐍃𐍅𐌹𐍃𐍃𐌰𐌹𐍃	d i s w i s s ɛː s
𐌳𐌿𐌰𐍄𐍃𐌽𐌴𐍅𐌿𐌽	d u a t s n eː w u n
𐌳𐌿𐌰𐍄𐍃𐌽𐌹𐍅𐌰𐌽	d u a t s n i w a n
𐌳𐌿𐌲𐌰𐌽	d u ɣ a n
𐌳𐌿𐌲𐌰𐍅𐌹𐌽𐌳𐌰𐌽	d u ɡ a w i n d a n
𐌳𐌿𐌲𐌰𐍅𐌹𐌽𐌳𐌹𐌸	d u ɡ a w i n d i θ
𐌳𐌿𐌲𐌹𐌽𐌽𐌰𐌽	d u ɡ i n n a n
𐌳𐌿𐌲𐌹𐌽𐌽𐌹𐌳	d u ɡ i n n i θ
𐌳𐌿𐌲𐌹𐌽𐌽𐌹𐌸	d u ɡ i n n i θ
𐌳𐌿𐌷𐌸𐌴	d u h θ eː
𐌳𐌿𐌸𐌴	d u θ eː
𐌳𐌿𐌸𐌴𐌹	d u θ iː
𐌳𐌿𐌸𐌸𐌴	d u θ θ eː
𐌳𐌿𐌻𐌸𐌾𐌰𐌼	d u l θ j a m
𐌳𐌿𐌻𐌸𐌾𐌰𐌽	d u l θ j a n
𐌳𐌿𐍂𐌹𐌽𐌽𐌰𐌽	d u r i n n a n
𐌳𐌿𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌰𐌽𐍃	d u r i n n a n d a n s
𐌳𐌿𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐍃	d u r i n n a n d s
𐌳𐌿𐍃𐍄𐍉𐌳𐌴𐌹𐌸	d u s t oː d iː θ
𐌳𐌿𐍃𐍄𐍉𐌳𐌹𐌳𐌰	d u s t oː d i d a
𐌳𐌿𐍃𐍄𐍉𐌳𐌾𐌰𐌽	d u s t oː d j a n
𐌳𐌿𐍅𐌰𐌺𐌰𐌽	d u w a k a n
𐌳𐌿𐍅𐌰𐌺𐌰𐌽𐌳𐌰𐌽𐍃	d u w a k a n d a n s
𐌳𐌿𐍅𐌰𐌺𐌰𐌽𐌳𐍃	d u w a k a n d s
𐌳𐍂𐌰𐌲𐌺𐌾𐌰𐌽	d r a n k j a n
𐌳𐍂𐌰𐌹𐌱𐌴𐌹	d r ɛː v j a n
𐌳𐍂𐌰𐌹𐌱𐌴𐌹𐍃	d r ɛː v iː s
𐌳𐍂𐌰𐌹𐌱𐌹𐌸𐍃	d r ɛː v i θ s
𐌳𐍂𐌰𐌹𐌱𐌾𐌰𐌽	d r ɛː v j a n
𐌳𐍂𐌴𐌹𐌱𐌰𐌽	d r iː β a n
𐌳𐍂𐌹𐌿𐌲𐌰𐌹𐍃	d r i u̯ ɡ ɛː s
𐌳𐍂𐌹𐌿𐌲𐌰𐌽	d r i u̯ ɡ a n
𐌳𐍂𐌹𐌿𐍃𐌰𐌽	d r i u̯ s a n
𐌳𐍂𐌹𐌿𐍃𐌰𐌽𐌳𐌰𐌽	d r i u̯ s a n d a n
𐌳𐍂𐍉𐌱𐌾𐌰𐌽	d r oː b j a n
𐌳𐍂𐍉𐌱𐌾𐌰𐌽𐌳𐌰𐌼	d r oː b j a n d a m
𐌳𐍂𐍉𐌱𐌾𐌰𐌽𐌳𐌰𐌽𐍃	d r oː b j a n d a n s
𐌳𐍂𐍉𐌱𐌾𐌰𐌽𐌳𐍃	d r oː b j a n d s
𐌴𐌹𐌸𐌰𐌽	iː θ a n
𐌵𐌰𐌹𐌽𐍉𐌽	kʷ ɛː n oː n
𐌵𐌰𐌼𐍄	kʷ a m t
𐌵𐌹𐌼𐌰𐌽	kʷ i m a n
𐌷𐌰𐌱𐌰𐌹𐌳𐌴𐌳𐌿𐌽	h a b ɛː d eː d u n
𐌷𐌰𐌱𐌰𐌽	h a b aː n
𐌷𐌰𐌶𐌾𐌰𐌽	h a z j a n
𐌷𐌰𐌹𐌸𐌹	h ɛː θ i
𐌷𐌰𐌹𐌻𐌰𐌲𐍃	h ɛː l a x s
𐌷𐌰𐌹𐍄𐌰𐌽	h ɛː t a n
𐌷𐌰𐌹𐍄𐌹	h ɛː t i
𐌷𐌰𐌿𐌷𐌾𐌰𐌽	h ɔː h j a n
𐌷𐌰𐌿𐌽𐌾𐌰𐌽	h ɔː n j a n
𐌷𐌰𐌿𐍃𐌾𐌰𐌽	h ɔː s j a n
𐌷𐌰𐍄𐌰𐌽	h a t aː n
𐌷𐌰𐍄𐌾𐌰𐌽	h a t j a n
𐌷𐌹𐌻𐌼𐍃	h i l m s
𐌷𐌻𐌰𐌹𐍅	h l ɛː w
𐌷𐌻𐌹𐍆𐌰𐌽	h l i ɸ a n
𐌷𐌽𐌴𐌹𐍅𐌰𐌽	h n iː w a n
𐌷𐌿𐌲𐌲𐍂𐌾𐌰𐌽	h u ŋ ɡ r i j a n
𐌷𐌿𐌲𐌾𐌰𐌽	h u ɡ j a n
𐌷𐌿𐌽𐌳𐍃	h u n d s
𐌸𐌰𐌷𐍄𐌰	θ aː h t a
𐌸𐌰𐌽	θ a n
𐌸𐌰𐌽𐌳𐌴	θ a n d eː
𐌸𐌰𐌿𐍂𐌱𐌰𐌽	θ ɔ r β a n
𐌸𐌰𐌿𐍂𐍃𐍄𐌴𐌹	θ ɔ r s t iː
𐌸𐌰𐍂	θ a r
𐌸𐌴𐌹𐌷𐌰𐌽	θ iː h a n
𐌸𐌴𐌹𐌽𐍃	θ iː n s
𐌸𐌹𐌿𐌱𐌹	θ i u̯ b i
𐌸𐌻𐌹𐌿𐌷𐌰𐌽	θ l i u h a n
𐌸𐌿	θ uː
𐌸𐌿𐌺	θ u k
𐌸𐌿𐍃	θ u s
𐌸𐍅𐌰𐌷	θ w a x
𐌸𐍅𐌰𐌷𐌰𐌽	θ w a h a n
𐌸𐍅𐌰𐌷𐌰𐌽𐌳	θ w a h a n d
𐌸𐍅𐍉𐌷𐌹	θ w oː h i
𐌹𐌱𐌰𐌹	i β ɛː
𐌹𐌲𐌵𐌰𐍂	i ŋ kʷ a r
𐌹𐌲𐌵𐌹𐍃	i ŋʷ kʷ i s
𐌹𐌶𐍅𐌰𐍂	i z w a r
𐌹𐌶𐍅𐌹𐍃	i z w i s
𐌹𐌺	i k
𐌹𐌽	i n
𐌹𐌽𐌽𐌹𐌼𐌰𐌽	i n n i m a n
𐌹𐌽𐌽𐌹𐌿𐌾𐌹𐌸𐌰	i n n i u̯ j i θ a
𐌹𐌽𐍃𐌰𐌷𐍄𐍃	i n s a x t s
𐌹𐍄𐌰𐌽	i t a n
𐌺𐌰𐌹𐍃𐌰𐍂	k ɛː s a r
𐌺𐌰𐌿𐍂𐌽	k ɔ r n
𐌺𐌰𐍂𐍉𐌽	k a r oː n
𐌺𐌰𐍄𐌹𐌻𐍃	k a t i l s
𐌺𐌻𐌹𐍃𐌼𐍉	k l i s m oː
𐌺𐌿𐌺𐌾𐌰𐌽	k u k j a n
𐌺𐌿𐌽𐌽𐌰𐌽	k u nː a n
𐌺𐍂𐌹𐌿𐍃𐍄𐌰𐌽	k r i u̯ s t a n
𐌻𐌰𐌲𐌲𐍃	l a ŋ ɡ s
𐌻𐌰𐌹𐍃𐌰𐍂𐌴𐌹𐍃	l ɛː s aː r iː s
𐌻𐌴𐌺𐌹𐌽𐍉𐌽	l eː k i n oː n
𐌻𐌹𐌸𐌿𐍃	l i θ u s
𐌻𐌿𐍆𐍄𐌿𐍃	l u ɸ t u s
𐌼𐌰𐌲𐌰𐌽	m a ɣ a n
𐌼𐌰𐌸𐌰	m a θ a
𐌼𐌰𐌹𐌼𐌱𐍂𐌰𐌽𐌰	m ɛː m b r a n a
𐌼𐌰𐌹𐍃	m ɛː s
𐌼𐌰𐌻𐍉	m a l oː
𐌼𐌰𐌽𐌰𐍃𐌴𐌸𐍃	m a n a s eː θ s
𐌼𐌰𐌽𐌽𐌹𐍃𐌺𐍃	m a nː i s k s
𐌼𐌰𐌿𐍂𐌸𐍂𐌾𐌰𐌽	m ɔ r θ r i j a n
𐌼𐌴𐌹𐌽𐍃	m iː n s
𐌼𐌴𐌻𐌾𐌰𐌽	m eː l j a n
𐌼𐌴𐍂𐌹𐌻𐌰	m eː r i l a
𐌼𐌴𐍂𐌾𐌰𐌽	m eː r j a n
𐌼𐌹𐌳𐌾𐌹𐍃	m i ð j i s
𐌼𐌹𐌳𐌾𐌿𐌽𐌲𐌰𐍂𐌳𐍃	m i ð j u n ɡ a r d s
𐌼𐌹𐌺	m i k
𐌼𐌹𐌽𐍃	m i n s
𐌼𐌹𐍃	m i s
𐌼𐌿𐌽𐌰𐌽	m u n a n
𐌽𐌰𐌿𐌱𐌰𐌹𐌼𐌱𐌰𐌹𐍂	n ɔ β ɛ m b ɛ r
𐌽𐌴𐍈𐌾𐌰𐌽	n eː ʍ j a n
𐌽𐌹𐌼𐌰𐌽	n i m a n
𐌽𐌹𐌿𐌾𐌹𐌸𐌰	n i u̯ j i θ a
𐌾𐌰𐌱𐌰𐌹	j a β ɛː
𐌾𐌰𐌹𐌽𐍃	j ɛː n s
𐌾𐌹𐌿𐌻𐌴𐌹𐍃	j i u̯ l iː s
𐌾𐌿𐍃	j uː s
𐌾𐌿𐍄	j u t
𐌿𐌱𐌹𐌶𐍅𐌰	u β i z w a
𐌿𐌲𐌲𐌺𐌹𐍃	u ŋ k i s
𐌿𐌲𐌺𐌰𐍂	u ŋ k a r
𐌿𐌲𐌺𐌹𐍃	u ŋ k i s
𐌿𐌻𐌱𐌰𐌽𐌳𐌿𐍃	u l β a n d u s
𐌿𐌽𐍃	u n s
𐌿𐌽𐍃𐌰𐍂	u n s a r
𐌿𐌽𐍃𐌹𐍃	u n s i s
𐌿𐍃	u s
𐌿𐍃𐌳𐍂𐌴𐌹𐌱𐌰𐌽	u s d r iː β a n
𐌿𐍃𐍆𐌿𐌻𐌻𐌽𐌰𐌽	u s ɸ u l l n a n
𐌿𐍆𐍃𐍄𐍂𐌰𐌿𐌾𐌰𐌽	u ɸ s t r ɔː j a n
𐍀𐌻𐌹𐌽𐍃𐌾𐌰𐌽	p l i n s j a n
𐍂𐌴𐌹𐌺𐌴𐌹𐍃	r iː k iː s
𐍂𐌴𐌹𐌺𐍃	r iː k s
𐍂𐌹𐌺𐌰𐌽	r i k a n
𐍂𐌹𐌽𐌽𐌰𐌽	r i nː a n
𐍃𐌰	s a
𐍃𐌰𐌴𐌹	s a iː
𐍃𐌰𐌹𐌷𐍃	s ɛ x s
𐍃𐌰𐍄𐌾𐌰𐌽	s a t j a n
𐍃𐌴𐌹𐌽𐍃	s iː n s
𐍃𐌹𐌱𐌿𐌽	s i β u n
𐍃𐌹𐌲𐌵𐌰𐌽	s i ŋ kʷ a n
𐍃𐌹𐌺	s i k
𐍃𐌹𐌽𐌰𐍀𐌹𐍃	s i n aː p i s
𐍃𐌹𐌽𐌴𐌹𐌲𐍃	s i n iː x s
𐍃𐌹𐌽𐍄𐌴𐌹𐌽𐍃	s i n t iː n s
𐍃𐌹𐍃	s i s
𐍃𐌹𐍄𐌰𐌽	s i t a n
𐍃𐌹𐍄𐌻𐍃	s i t l̩ s
𐍃𐌺𐌰𐌹𐌳𐌰𐌹	s k ɛː d ɛː
𐍃𐌺𐌰𐌹𐌳𐌰𐌽	s k ɛː d a n
𐍃𐌺𐌰𐌹𐌳𐌹𐌸	s k ɛː d i θ
𐍃𐌺𐌰𐌼𐌰𐌽	s k a m aː n
𐍃𐌺𐌰𐌿𐍂𐍀𐌾𐍉	s k ɔ r p j oː
𐍃𐌺𐌴𐌹𐌼𐌰	s k iː m a
𐍃𐌺𐌴𐌹𐌽𐌰𐌽	s k iː n a n
𐍃𐌺𐌴𐌹𐍂𐌴𐌹𐌽𐍃	s k iː r iː n s
𐍃𐌺𐌹𐌻𐌳𐌿𐍃	s k i l d u s
𐍃𐌺𐌹𐌻𐌻𐌹𐌲𐌲𐍃	s k i l l i ŋ ɡ s
𐍃𐌺𐌿𐌻𐌰	s k u l a
𐍃𐌺𐌿𐌻𐌰𐌽	s k u l a n
𐍃𐌻𐌰𐌷𐌰𐌻𐍃	s l a h a l s
𐍃𐌽𐌹𐍅𐌰𐌽	s n i w a n
𐍃𐌿𐌽𐌾𐌹𐍃	s u n j i s
𐍃𐍀𐌰𐌿𐍂𐌳𐍃	s p ɔː r d s
𐍃𐍄𐌰𐌽𐌳𐌰𐌽	s t a n d a n
𐍃𐍄𐌹𐌻𐌰𐌽	s t i l a n
𐍃𐍄𐍂𐌰𐌿𐌾𐌰𐌽	s t r ɔː j a n
𐍃𐍅𐌴𐌹𐌽	s w iː n
𐍃𐍅𐌹𐌲𐌻𐍉𐌽	s w i ɣ l oː n
𐍃𐍅𐌹𐌻𐍄𐌰𐌽	s w i l t a n
𐍃𐍅𐌽𐌰𐌲𐍉𐌲𐌴	s y n a ɡ oː ɡ eː
𐍄𐌰𐌷𐌾𐌰𐌽	t a x j a n
𐍄𐌰𐌹𐌷𐌿𐌽	t ɛ h u n
𐍄𐌰𐌹𐌷𐌿𐌽𐍄𐌴𐍅𐌴𐌹𐍃	t ɛ h u n t eː w iː s
𐍄𐌰𐌿𐌾𐌰𐌽	t ɔː j a n
𐍄𐌹𐌲𐌿𐍃	t i ɣ u s
𐍄𐌹𐌿𐌷𐌰𐌽	t i u̯ h a n
𐍄𐍅𐌰𐌻𐌹𐍆	t w a l i ɸ
𐍅𐌰𐌲𐌲𐍃	w a ŋ ɡ s
𐍅𐌰𐌹𐌽𐌰𐌷𐍃	w ɛː n a h s
𐍅𐌰𐌹𐍀𐍃	w ɛː p s
𐍅𐌰𐌹𐍂𐌸𐌰𐌽	w ɛ r θ a n
𐍅𐌰𐌺𐌰𐌹𐌸	w a k ɛː θ
𐍅𐌰𐌺𐌰𐌹𐌼𐌰	w a k ɛː m a
𐍅𐌰𐌺𐌰𐌽	w a k a n
𐍅𐌰𐌻𐌳𐌰𐌽	w a l d a n
𐍅𐌰𐌽𐌳𐌴𐌹	w a n d iː
𐍅𐌰𐌽𐌳𐌾𐌰𐌽	w a n d j a n
𐍅𐌰𐌽𐌳𐌾𐌰𐌽𐌳𐍃	w a n d j a n d s
𐍅𐌰𐌿𐍂𐌳	w ɔ r d
𐍅𐌰𐌿𐍂𐌺𐌾𐌰𐌽	w ɔ r k j a n
𐍅𐌰𐍃𐌾𐌰𐌽	w a s j a n
𐍅𐌴𐌲𐍃	w eː x s
𐍅𐌴𐌹𐌷𐌹𐌸𐌰	w iː h i θ a
𐍅𐌴𐌹𐌷𐍃	w iː x s
𐍅𐌴𐌹𐌽	w iː n
𐍅𐌴𐌹𐌽𐌰𐌱𐌰𐍃𐌹	w iː n a b a s i
𐍅𐌴𐌹𐍃	w iː s
𐍅𐌴𐌹𐍄𐍅𐍉𐌸𐍃	w iː t w oː θ s
𐍅𐌹𐌸𐍂𐌰	w i θ r a
𐍅𐌹𐌻𐌸𐌴𐌹𐍃	w i l θ iː s
𐍅𐌹𐌻𐌾𐌰𐌽	w i l j a n
𐍅𐌹𐌻𐍅𐌰𐌽	w i l w a n
𐍅𐌹𐌻𐍅𐌰𐌽𐌳𐌰𐌽𐍃	w i l w a n d a n s
𐍅𐌹𐌻𐍅𐌰𐌽𐌳𐍃	w i l w a n d s
𐍅𐌹𐌽𐍄𐍂𐌿𐍃	w i n t r u s
𐍅𐌹𐍃	w i s
𐍅𐌹𐍃𐌰𐌽	w i s a n
𐍅𐌹𐍄	w i t
𐍅𐌹𐍄𐌰𐌹	w i t ɛː
𐍅𐌹𐍄𐌰𐌹𐌳𐌰	w i t ɛː d a
𐍅𐌹𐍄𐌰𐌹𐌳𐌴𐌳𐌿𐌽	w i t ɛː d eː d u n
𐍅𐌹𐍄𐌰𐌹𐌸	w i t ɛː θ
𐍅𐌹𐍄𐌰𐌽	w i t a n
𐍅𐌹𐍄𐌰𐌽	w i t aː n
𐍅𐌹𐍄𐌰𐌽𐌳𐌰𐌽𐍃	w i t a n d a n s
𐍅𐌹𐍄𐌰𐌽𐌳𐌰𐌽𐍃	w i t aː n d a n s
𐍅𐌹𐍄𐌰𐌽𐌳𐌴𐌹	w i t a n d iː
𐍅𐌹𐍄𐌰𐌽𐌳𐌴𐌹	w i t aː n d iː
𐍅𐌹𐍄𐌰𐌽𐌳𐍃	w i t a n d s
𐍅𐌹𐍄𐌰𐌽𐌳𐍃	w i t aː n d s
𐍅𐌹𐍄𐍉𐌳𐌰𐌻𐌰𐌹𐍃𐌰𐍂𐌴𐌹𐍃	w i t oː ð a l ɛː s aː r iː s
𐍅𐌹𐍄𐍉𐌸	w i t oː θ
𐍅𐌿𐌻𐌸𐌿𐍃	w u l θ u s
𐍅𐌿𐌻𐍆𐍃	w u l f s
𐍅𐍂𐍉𐌷𐌹𐌸𐍃	w r oː h i θ s
𐍅𐍂𐍉𐌷𐌾𐌰𐌽	w r oː h j a n
𐍅𐍉𐌳𐍃	w oː θ s
𐍅𐍉𐌸𐌴𐌹𐍃	w oː θ iː s
𐍆𐌰𐌹𐌰𐌽	f ɛː a n
𐍆𐌰𐌹𐌰𐌽𐌳𐌰	f a i a n d a
𐍆𐌰𐌹𐌰𐌽𐌳𐍃	f ɛː a n d s
𐍆𐌰𐌹𐌷𐌿	f ɛ h u
𐍆𐌰𐌹𐌷𐌿𐌲𐌴𐌹𐌲𐌰𐌹𐍃	f ɛ h u ɡ iː ɡ ɛː s
𐍆𐌰𐌹𐌷𐌿𐌲𐌴𐌹𐌲𐌰𐌽	f ɛ h u ɡ iː ɡ a n
𐍆𐌰𐌹𐌷𐌿𐌲𐌴𐌹𐍂𐍉	f ɛː h u ɣ iː r oː
𐍆𐌰𐌹𐌷𐌿𐌸𐍂𐌰𐌹𐌷𐌽𐌰	f ɛ h u θ r ɛː h n a
𐍆𐌰𐌹𐌷𐌿𐍃𐌺𐌿𐌻𐌰	f ɛ h u s k u l a
𐍆𐌰𐌹𐌷𐌿𐍃𐌺𐌿𐌻𐌰𐌽𐌴	f ɛ h u s k u l a n eː
𐍆𐌰𐌹𐍂𐌲𐍂𐌰𐌹𐍀	f ɛ r ɡ r ɛː p
𐍆𐌰𐌹𐍂𐌲𐍂𐌴𐌹𐍀𐌰𐌽	f ɛ r ɡ r iː p a n
𐍆𐌰𐌹𐍂𐌲𐍂𐌴𐌹𐍀𐌰𐌽𐌳𐍃	f ɛ r ɡ r iː p a n d s
𐍆𐌰𐌹𐍂𐌹𐌽𐍉	f ɛ r i n oː
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌳𐌴𐌳𐌹	f ɛ r i n oː d eː d i
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌸	f ɛ r i n oː θ
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌽	f ɛ r i n oː n
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌽𐌳𐌰𐌽𐍃	f ɛ r i n oː n d a n s
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌽𐌳𐍃	f ɛ r i n oː n d s
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐍃	f ɛ r i n oː s
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽	f ɛ r r i n n a n
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳	f ɛ r r i n n a n d
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌰𐌽𐍃	f ɛ r r i n n a n d a n s
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌴𐌹𐌽	f ɛ r r i n n a n d iː n
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐍃	f ɛ r r i n n a n d s
