a	aː
endlech	æ n d l ə ɕ
eneen	ə n eː n
engem	æ ŋ ə m
engen	æ ŋ ə n
enger	æ ŋ ɐ
england	æ ŋ l ɑ n t
englesch	æ ŋ l ə ʃ
englänner	æ ŋ l æ n ɐ
enkel	æ ŋ k ə l
enkelin	æ ŋ k ə l i n
enorm	ə n o ʀ m
enregistréieren	ɑ̃ː ʀ ə ʒ i s t ʀ ɜ ɪ̯ ə ʀ ə n
entbannen	æ n d b ɑ n ə n
entdecken	æ n d d æ k ə n
entfléien	æ n t f l ɜ ɪ̯ ə n
entsat	æ n d͡z aː t
entschlofen	æ n t͡ʃ l oː f ə n
entschloss	æ n t͡ʃ l o s
entschléissen	æ n t͡ʃ l ɜ ɪ̯ s ə n
entschëllegen	æ n t͡ʃ ə l ə ʑ ə n
entschëllegt	æ n t͡ʃ ə l ə ɕ t
entsetzen	æ n d͡z æ t͡s ə n
entspriechen	æ n t ʃ p ʀ i ə̯ ɕ ə n
entweder	æ n d v eː d ɐ
entwéckelen	æ n d v e k ə l ə n
entwécklung	æ n d v e k l u ŋ
entwëschen	æ n d v e ʃ ə n
enveloppe	ɑ̃ v l o p
eppes	æ p ə s
equipe	ə k i p
eraleeën	ə ʀ ɑ l eː ə n
erbaarmen	ɐ b aː ʀ m ə n
erfrëschen	ɐ f ʀ ə ʃ ə n
ergätzen	ɐ ɡ æ t͡s ə n
erhuuschen	ɐ h uː ʃ ə n
erhuuschten	ɐ h uː ʃ t ə n
eriwwer	ə ʀ i v ɐ
erkennen	ɐ k æ n ə n
erlaben	ɐ l aː b ə n
erof	ə ʀ oː f
eroffalen	ə ʀ oː f f aː l ə n
erofsetzen	ə ʀ oː v z æ t͡s ə n
eropsetzen	ə ʀ o b z æ t͡s ə n
ersetzen	ɐ z æ t͡s ə n
erstécken	ɐ ʃ t e k ə n
erwaarden	ɐ v aː ʀ d ə n
erwëschen	ɐ v ə ʃ ə n
erzéien	ɐ t͡s ɜ ɪ̯ ə n
erzéiung	ɐ t͡s ɜ ɪ̯ u ŋ
eréischt	ə ʀ ɜ ɪ̯ ʃ t
erëffnung	ə ʀ ə f n u ŋ
erënneren	ə ʁ ə n ə ʁ ə n
erënnerung	ə ʀ ə n ə ʀ u ŋ
esou	ə z u
esou	ə z ə ʊ̯
esoubal	ə z u b aː l
esouguer	ə z u ɡ uː ɐ
esoulaang	ə z u l aː ŋ
esseg	æ s ə ɕ
estland	æ z d l ɑ n t
et	ə t
etapp	eː t ɑ p
etlech	æ d l ə ɕ
ettelbréck	æ t ə l b ʀ e k
ewech	ə v æ ɕ
ewell	ə v æ l
ewéi	ə v i
ewéi	ə v ɜ ɪ̯
exageréieren	æ ɡ z ɑ ʒ ə ʀ ɜ ɪ̯ ə ʀ ə n
exploitatioun	æ k s p l w ɑ t ɑ t s j ə ʊ̯ n
exteren	æ k s t ə ʀ ə n
faarf	f aː χ f
faart	f aː χ t
faarweblann	f aː ʀ v ə b l ɑ n
faaschten	f aː ʃ t ə n
faaschtenzäit	f aː ʃ t ə n t͡s æˑ ɪ̯ t
faassen	f aː s ə n
fach	f ɑ χ
fahrlehrer	f aː l eː ʁ ɐ
fakel	f aː k ə l
falen	f aː l ə n
fall	f ɑ l
fallek	f ɑ l ə k
falls	f ɑ l t s
famill	f ɑ m i l
fanger	f ɑ ŋ ɐ
fangernol	f ɑ ŋ ɐ n oː l
fangerspëtz	f ɑ ŋ ɐ ʃ p ə t͡s
fann	f ɑ n
fannen	f ɑ n ə n
fannt	f ɑ n t
far	f aː χ
farcéieren	f ɑ ʀ s ɜ ɪ̯ ə ʀ ə n
fascht	f ɑ ʃ t
fassad	f ɑ s aː t
faszinatioun	f ɑ s t͡s i n ɑ t s j ə ʊ̯ n
fatz	f ɑ t͡s
faulen	f ɑ ʊ̯ l ə n
faulenzen	f æˑ ʊ̯ l æ n t͡s ə n
fauscht	f æˑ ʊ̯ ʃ t
februar	f eː b ʀ u aː χ
feelen	f eː l ə n
feeler	f eː l ɐ
feeën	f eː ə n
feier	f ɑ ɪ̯ ɐ
feierblumm	f ɑ ɪ̯ ɐ b l u m
feierdag	f ɑ ɪ̯ ɐ d aː χ
feieren	f ɑ ɪ̯ ə ʀ ə n
feil	f ɑ ɪ̯ l
feind	f ɑ ɪ̯ n t
festsetzen	f æ z d z æ t͡s ə n
feststellen	f æ s t ʃ t æ l ə n
feuter	f øː t ɐ
fichier	f i ʃ j eː
fidderen	f i d ə ʀ ə n
fieder	f i ə̯ d ɐ
fiederball	f i ə̯ d ɐ b ɑ l
fiels	f i ə̯ l t s
fierkel	f i ə̯ k ə l
fierschter	f i ə̯ ʃ t ɐ
fierwen	f i ə̯ v ə n
fies	f i ə̯ s
figebam	f iː ɡ ə b aː m
figur	f i ɡ u ə̯
figur	f i ɡ uː ɐ
fiicht	f iː ɕ t
fiichtegkeet	f iː ɕ t ə ɕ k eː t
fillen	f i l ə n
filz	f i l t s
filzstëft	f i l t s ʃ t ə f t
fir	f i ə̯
fir	f iː ɐ
fir	f ɐ
fir	f ə
fiselen	f i z ə l ə n
fisemreen	f i z ə m ʀ eː n
fixfeier	f i k s f ɑ ɪ̯ ɐ
fixspoun	f i k s ʃ p ə ʊ̯ n
flack	f l ɑ k
fladderen	f l ɑ d ə ʀ ə n
flanell	f l ɑ n æ l
flank	f l ɑ ŋ k
flapp	f l ɑ p
flechten	f l æ ɕ t ə n
fleegeheem	f l eː ʑ ə h eː m
flicht	f l i ɕ t
fliedermaus	f l i ə̯ d ɐ m æˑ ʊ̯ s
fligel	f l i ʑ ə l
fliger	f l iː ʑ ɐ
fliicht	f l iː ɕ t
flirten	f l œː χ t ə n
flitzen	f l i t͡s ə n
flou	f l uː
flou	f l ə ʊ̯
flouer	f l ə ʊ̯ ɐ
flouernumm	f l ə ʊ̯ ɐ n u m
floumaart	f l ə ʊ̯ m aː χ t
fluchgesellschaft	f l u ʁ ɡ ə z æ l ʃ ɑ f t
flued	f l u ə̯ t
fluess	f l u ə̯ s
fluesssom	f l u ə̯ s oː m
fluesssom	f l u ə̯ z z oː m
flutschen	f l u t͡ʃ ə n
fläch	f l æ ɕ
fläiss	f l æˑ ɪ̯ s
fläissen	f l æˑ ɪ̯ s ə n
fléck	f l e k
flécken	f l e k ə n
fléi	f l ɜ ɪ̯
fléien	f l ɜ ɪ̯ ə n
fléimouk	f l ɜ ɪ̯ m ə ʊ̯ k
fléissen	f l ɜ ɪ̯ s ə n
flënt	f l ə n t
fofzeg	f o f t͡s ə ɕ
fofzéng	f o f t͡s e ŋ
fofzéngt	f o f t͡s e ŋ k t
folleg	f o l ə ɕ
follegen	f o l ə ʑ ə n
fooschen	f oː ʃ ə n
force	f o χ s
formatéieren	f o ʀ m ɑ t ɜ ɪ̯ ə ʀ ə n
formidabel	f o ʀ m i d aː b ə l
fou	f ə ʊ̯
fouen	f ə ʊ̯ ə n
fouer	f ə ʊ̯ ɐ
fouss	f ə ʊ̯ s
foussball	f ə ʊ̯ z b ɑ l
foussen	f ə ʊ̯ s ə n
foussgänger	f ə ʊ̯ z ɡ æ ŋ ɐ
foussnout	f ə ʊ̯ z n ə ʊ̯ t
fousssuel	f ə ʊ̯ s u ə̯ l
fousssuel	f ə ʊ̯ z z u ə̯ l
fra	f ʀ aː
frachtschëff	f ʀ ɑ χ t͡ʃ ə f
frack	f ʀ ɑ k
frankräich	f ʀ ɑ ŋ k ʀ æˑ ɪ̯ ɕ
fransous	f ʀ ɑ n z ə ʊ̯ s
franséisch	f ʀ ɑ n z ɜ ɪ̯ ʃ
franséisin	f ʀ ɑ n z ɜ ɪ̯ z i n
frascht	f ʀ ɑ ʃ t
frechheet	f ʀ æ ɕ eː t
frechheet	f ʀ æ ɕ h eː t
freeën	f ʀ eː ə n
freideg	f ʀ ɑ ɪ̯ d ə ɕ
freien	f ʀ ɑ ɪ̯ ə n
fridden	f ʀ i d ə n
friddlech	f ʀ i d l ə ɕ
frieden	f ʀ i ə̯ d ə n
friem	f ʀ i ə̯ m
friess	f ʀ i ə̯ s
friessen	f ʀ i ə̯ s ə n
friesst	f ʀ i ə̯ s t
fritten	f ʀ i t ə n
fro	f ʀ oː
froen	f ʀ oː ə n
frou	f ʀ ə ʊ̯
fräi	f ʀ æˑ ɪ̯
fräistouss	f ʀ æˑ ɪ̯ ʃ t ə ʊ̯ s
fréi	f ʀ ɜ ɪ̯
fréier	f ʀ ɜ ɪ̯ ɐ
fréieren	f ʀ ɜ ɪ̯ ə ʀ ə n
fréijoer	f ʀ ɜ ɪ̯ j oː ɐ
frënd	f ʀ ə n t
frësch	f ʀ ə ʃ
frëss	f ʀ ə s
frësst	f ʀ ə s t
fudder	f u d ɐ
fuedem	f u ə̯ d ə m
fuer	f u ə̯
fuer	f uː ɐ
fueren	f u ə̯ ʀ ə n
fueren	f uː ʀ ə n
fuererflucht	f u ə̯ ʀ ɐ f l u χ t
fuerplang	f u ə̯ p l ɑ ŋ
fuerplang	f uː ɐ p l ɑ ŋ
fuerschen	f u ə̯ ʃ ə n
fuert	f u ə̯ t
fuert	f uː ɐ t
fuerz	f u ə̯ t͡s
fuerzen	f u ə̯ t͡s ə n
fächer	f æ ɕ ɐ
fäeg	f eː ə ɕ
fäeg	f ɛː ə ɕ
fäerdeg	f ɛ ə̯ d ə ɕ
fäerten	f ɛ ə̯ t ə n
fähr	f ɛ ə̯
fäil	f æˑ ɪ̯ l
fäischt	f æˑ ɪ̯ ʃ t
fälleg	f æ l ə ɕ
fälschen	f æ l ʃ ə n
fändel	f æ n d ə l
fänken	f æ ŋ k ə n
fécken	f e k ə n
féieren	f ɜ ɪ̯ ə ʀ ə n
féiss	f ɜ ɪ̯ s
féiwer	f ɜ ɪ̯ v ɐ
fëmmen	f ə m ə n
fënnef	f ə n ə f
fënneft	f ə n ə f t
fënns	f ə n t s
fënnt	f ə n t
fënster	f ə n s t ɐ
fësch	f ə ʃ
fëschen	f ə ʃ ə n
fëscher	f ə ʃ ɐ
gaalgen	ɡ aː l ʑ ə n
gaapsen	ɡ aː p s ə n
gaardeboun	ɡ aː ʀ d ə b ə ʊ̯ n
gaarf	ɡ aː χ f
gaart	ɡ aː χ t
gafel	ɡ aː f ə l
gamm	ɡ ɑ m
gang	ɡ ɑ ŋ
gank	ɡ ɑ ŋ k
ganz	ɡ ɑ n t s
gar	ɡ aː χ
gare	ɡ aː χ
garrelen	ɡ ɑ ʀ ə l ə n
gebai	ɡ ə b ɑ ɪ̯
gebass	ɡ ə b ɑ s
gebeess	ɡ ə b eː s
gebiet	ɡ ə b i ə̯ t
gebitt	ɡ ə b i t
geblitt	ɡ ə b l i t
geblosen	ɡ ə b l oː z ə n
gebonnen	ɡ ə b o n ə n
gebot	ɡ ə b oː t
gebrach	ɡ ə b ʀ ɑ χ
gebrauchen	ɡ ə b ʀ æˑ ʊ̯ χ ə n
gebroden	ɡ ə b ʀ oː d ə n
gebräichlech	ɡ ə b ʀ æˑ ɪ̯ ɕ l ə ɕ
gebueden	ɡ ə b u ə̯ d ə n
gebuert	ɡ ə b u ə̯ t
gebuert	ɡ ə b uː ɐ t
gedanken	ɡ ə d ɑ ŋ k ə n
gediechtnes	ɡ ə d i ə̯ ʑ d n ə s
gedoen	ɡ ə d oː ə n
gedold	ɡ ə d o l t
gedriwwen	ɡ ə d ʀ i v ə n
gedroen	ɡ ə d ʀ oː ə n
gedronk	ɡ ə d ʀ o ŋ k
geeschteg	ɡ eː ʃ t ə ɕ
geeschter	ɡ eː ʃ t ɐ
geeschtlech	ɡ eː ʃ t l ə ɕ
geeschtlechen	ɡ eː ʃ t l ə ɕ ə n
geeschtlechkeet	ɡ eː ʃ t l ə ɕ k eː t
geessebock	ɡ eː s ə b o k
gefaach	ɡ ə f aː χ
gefalen	ɡ ə f aː l ə n
gefier	ɡ ə f i ə̯
gefier	ɡ ə f iː ɐ
gefill	ɡ ə f i l
gefisems	ɡ ə f i z ə m p s
geflass	ɡ ə f l ɑ s
geflunn	ɡ ə f l u n
gefor	ɡ ə f oː ɐ
gefriess	ɡ ə f ʀ i ə̯ s
gefuer	ɡ ə f u ə̯
gefuer	ɡ ə f uː ɐ
gefäll	ɡ ə f æ l
gehacktes	ɡ ə h ɑ k t ə s
gehaen	ɡ ə h aː ə n
gehalen	ɡ ə h aː l ə n
geheechnes	ɡ ə h eː ʑ n ə s
geheien	ɡ ə h ɑ ɪ̯ ə n
geheim	ɡ ə h ɑ ɪ̯ m
geheimnis	ɡ ə h ɑ ɪ̯ m n i s
gehir	ɡ ə h i ə̯
gehir	ɡ ə h iː ɐ
geholl	ɡ ə h o l
gehuewen	ɡ ə h u ə̯ v ə n
gehéiereg	ɡ ə h ɜ ɪ̯ ə ʀ ə ɕ
gehéieren	ɡ ə h ɜ ɪ̯ ə ʀ ə n
gei	ɡ ɑ ɪ̯
gejot	ɡ ə j oː t
geklommen	ɡ ə k l o m ə n
gelaf	ɡ ə l aː f
geleeën	ɡ ə l eː ə n
gelidden	ɡ ə l i d ə n
gellecht	ɡ æ l ə ɕ t
gelooss	ɡ ə l oː s
gelungen	ɡ ə l u ŋ ə n
gelunn	ɡ ə l u n
geléngen	ɡ ə l e ŋ ə n
gemaach	ɡ ə m aː χ
gemeng	ɡ ə m æ ŋ
gemidden	ɡ ə m i d ə n
gemitt	ɡ ə m i t
geméis	ɡ ə m ɜ ɪ̯ s
genee	ɡ ə n eː
genereel	ʒ ə n ə ʀ eː l
generol	ʒ ə n ə ʀ oː l
genie	ʒ ə n iː
genoss	ɡ ə n o s
genuch	ɡ ə n u χ
genéieren	ʒ ə n ɜ ɪ̯ ə ʀ ə n
genéissen	ɡ ə n ɜ ɪ̯ s ə n
gepaakt	ɡ ə p aː k t
gepëspers	ɡ ə p ə s p ɐ s
geraf	ɡ ə ʀ aː f
geraimeg	ɡ ə ʀ ɑ ɪ̯ m ə ɕ
gerass	ɡ ə ʀ ɑ s
gerecht	ɡ ə ʀ æ ɕ t
gerechtegkeet	ɡ ə ʀ æ ɕ t ə ɕ k eː t
gereest	ɡ ə ʀ eː s t
geridden	ɡ ə ʀ i d ə n
geriicht	ɡ ə ʀ iː ɕ t
geriwwen	ɡ ə ʀ i v ə n
germanesch	ɡ ɛ ə̯ m aː n ə ʃ
geroden	ɡ ə ʀ oː d ə n
geräisch	ɡ ə ʀ æˑ ɪ̯ ʃ
geräischer	ɡ ə ʀ æˑ ɪ̯ ʃ ɐ
geréieren	ʒ ə ʀ ɜ ɪ̯ ə ʀ ə n
geschass	ɡ ə ʃ ɑ s
geschicht	ɡ ə ʃ i ɕ t
geschitt	ɡ ə ʃ i t
geschlass	ɡ ə ʃ l ɑ s
geschlechtsflësseg	ɡ ə ʃ l æ ɕ t͡s f l ə s ə ɕ
geschlechtsverkéier	ɡ ə ʃ l æ ɕ t s f ɐ k ɜ ɪ̯ ɐ
geschmaach	ɡ ə ʃ m aː χ
geschmass	ɡ ə ʃ m ɑ s
geschwënn	ɡ ə ʃ w ə n
geschéien	ɡ ə ʃ ɜ ɪ̯ ə n
gesell	ɡ ə z æ l
gesetz	ɡ ə z æ t͡s
gesetzlech	ɡ ə z æ t͡s l ə ɕ
gesiicht	ɡ ə z iː ɕ t
gesinn	ɡ ə z i n
gesond	ɡ ə z o n t
gespier	ɡ ə ʃ p i ə̯
gespier	ɡ ə ʃ p iː ɐ
gesprongen	ɡ ə ʃ p ʀ o ŋ ə n
gespréich	ɡ ə ʃ p ʀ ɜ ɪ̯ ɕ
gespréicheg	ɡ ə ʃ p ʀ ɜ ɪ̯ ɕ ə ɕ
gestraich	ɡ ə ʃ t ʀ ɑ ɪ̯ ɕ
gestreits	ɡ ə ʃ t ʀ ɑ ɪ̯ t s
gesträift	ɡ ə ʃ t ʀ æˑ ɪ̯ f t
getratt	ɡ ə t ʀ ɑ t
getrueden	ɡ ə t ʀ u ə̯ d ə n
getëppelt	ɡ ə t ə p ə l t
gewannen	ɡ ə v ɑ n ə n
gewierz	ɡ ə v i ə̯ t͡s
gewiicht	ɡ ə v iː ɕ t
gewinnen	ɡ ə v i n ə n
gewosst	ɡ ə v o s t
gewuess	ɡ ə v u ə̯ s
gewuesst	ɡ ə v u ə̯ s t
gewunnecht	ɡ ə v u n ə ɕ t
gewënn	ɡ ə v ə n
gewëssen	ɡ ə v ə s ə n
gezei	ɡ ə t͡s ɑ ɪ̯
gezunn	ɡ ə t͡s u n
gezwitschert	ɡ ə t͡s w i t͡ʃ ɐ t
giedel	ɡ i ə̯ d ə l
giel	ɡ i ə̯ l
gierwen	ɡ i ə̯ v ə n
gierwer	ɡ i ə̯ v ɐ
gierwerei	ɡ i ə̯ v ə ʀ ɑ ɪ̯
giess	ɡ i ə̯ s
giicht	ɡ iː ɕ t
giraff	ʒ i ʀ ɑ f
gittar	ɡ i t aː χ
glace	ɡ l ɑ s
glanz	ɡ l ɑ n t s
glaseg	ɡ l aː z ə ɕ
glatz	ɡ l ɑ t s
glawen	ɡ l aː v ə n
gleewen	ɡ l eː v ə n
glidderen	ɡ l i d ə ʀ ə n
gliesen	ɡ l i ə̯ z ə n
glous	ɡ l ə ʊ̯ s
glousen	ɡ l ə ʊ̯ t s ə n
gläich	ɡ l æˑ ɪ̯ ɕ
gläichen	ɡ l æˑ ɪ̯ ɕ ə n
gléck	ɡ l e k
glécken	ɡ l e k ə n
glëtsch	ɡ l ə t͡ʃ
glëtz	ɡ l ə t͡s
goen	ɡ oː ə n
goldfësch	ɡ o l t f ə ʃ
gonnen	ɡ o n ə n
gonscht	ɡ o n t ʃ t
goût	ɡ uː
graff	ɡ ʀ ɑ f
grafschrëft	ɡ ʀ aː f ʃ ʀ ə f t
gramm	ɡ ʀ ɑ m
granat	ɡ ʀ ɑ n aː t
granatapel	ɡ ʀ ɑ n aː d aː p ə l
grand	ɡ ʀ ɑ n t
grapp	ɡ ʀ ɑ p
graskaarp	ɡ ʀ aː s k aː χ p
gratinéieren	ɡ ʀ ɑ t i n ɜ ɪ̯ ə ʀ ə n
gravitatioun	ɡ ʀ ɑ v i t ɑ t s j ə ʊ̯ n
gravitéit	ɡ ʀ ɑ v i t ɜ ɪ̯ t
griich	ɡ ʀ iː ɕ
griicheland	ɡ ʀ iː ɕ ə l ɑ n t
griichesch	ɡ ʀ iː ɕ ə ʃ
grimmel	ɡ ʀ i m ə l
gro	ɡ ʀ oː
grommelen	ɡ ʀ o m ə l ə n
gromper	ɡ ʀ o m p ɐ
grondel	ɡ ʀ o n d ə l
grouf	ɡ ʀ ə ʊ̯ f
grouss	ɡ ʀ ə ʊ̯ s
groussem	ɡ ʀ ə ʊ̯ s ə m
groussen	ɡ ʀ ə ʊ̯ s ə n
grousser	ɡ ʀ ə ʊ̯ s ɐ
groussmamm	ɡ ʀ ə ʊ̯ z m ɑ m
grousspapp	ɡ ʀ ə ʊ̯ s p ɑ p
grousst	ɡ ʀ ə ʊ̯ s t
gruef	ɡ ʀ u ə̯ f
gruewen	ɡ ʀ u ə̯ v ə n
gräifen	ɡ ʀ æˑ ɪ̯ f ə n
gräisslech	ɡ ʀ æˑ ɪ̯ s l ə ɕ
gréif	ɡ ʀ ɜ ɪ̯ f
gréissen	ɡ ʀ ɜ ɪ̯ s ə n
gréisst	ɡ ʀ ɜ ɪ̯ s t
gréiwemaacher	ɡ ʀ ɜ ɪ̯ v ə m aː χ ɐ
gréng	ɡ ʀ e ŋ
gréngen	ɡ ʀ e ŋ ə n
grëff	ɡ ʀ ə f
grënnen	ɡ ʀ ə n ə n
grënner	ɡ ʀ ə n ɐ
grëtz	ɡ ʀ ə t͡s
guddem	ɡ u d ə m
gudden	ɡ u d ə n
gudder	ɡ u d ɐ
gued	ɡ u ə̯ t
guer	ɡ u ə̯
guer	ɡ uː ɐ
gäertner	ɡ ɛ ə̯ d n ɐ
gäipmännchen	ɡ æˑ ɪ̯ b m æ n ɕ ə n
gäissel	ɡ æˑ ɪ̯ s ə l
gäisselen	ɡ æˑ ɪ̯ s ə l ə n
gäiz	ɡ æˑ ɪ̯ t͡s
gäizen	ɡ æˑ ɪ̯ t͡s ə n
gäns	ɡ æ n t s
gässen	ɡ æ s ə n
géi	ɡ ɜ ɪ̯
géigend	ɡ ɜ ɪ̯ ʑ ə n t
géigner	ɡ ɜ ɪ̯ ʑ n ɐ
géint	ɡ ɜ ɪ̯ n t
géinteneen	ɡ ɜ ɪ̯ n d ə n eː n
géintiwwer	ɡ ɜ ɪ̯ n d i v ɐ
géissen	ɡ ɜ ɪ̯ s ə n
gëft	ɡ ə f t
gëllen	ɡ ə l ə n
gënnen	ɡ ə n ə n
gëscht	ɡ ə ʃ t
gëschter	ɡ ə ʃ t ɐ
ha	h aː
haaptfach	h aː p t f ɑ χ
haaptsaach	h aː b d͡z aː χ
haaptsächlech	h aː b d͡z æ ɕ l ə ɕ
haart	h aː χ t
haarz	h aː χ t͡s
haassen	h aː s ə n
hachéieren	h ɑ ʃ ɜ ɪ̯ ə ʀ ə n
hackernoss	h ɑ k ɐ n o s
haen	h aː ə n
haff	h ɑ f
haifësch	h ɑ ɪ̯ f ə ʃ
hait	h ɑ ɪ̯ t
haiteg	h ɑ ɪ̯ t ə ɕ
halen	h aː l ə n
hall	h ɑ l
hallef	h ɑ l ə f
hallefnuecht	h ɑ l ə v n u ə̯ ɕ t
hallem	h ɑ l ə m
hals	h ɑ l t s
halschent	h ɑ l ʃ ə n t
hambier	h ɑ m b i ə̯
hambier	h ɑ m b iː ɐ
hamster	h ɑ m s t ɐ
hand	h ɑ n t
handbrems	h ɑ n d b ʀ æ m p s
handduch	h ɑ n d u χ
handelen	h ɑ n d ə l ə n
handgelenk	h ɑ n d ɡ ə l æ ŋ k
handlung	h ɑ n d l u ŋ
handyen	h æ n d i ə n
hank	h ɑ ŋ k
hannen	h ɑ n ə n
hannendran	h ɑ n ə n d ʀ ɑ n
hannendrun	h ɑ n ə n d ʀ u n
hannenno	h ɑ n ə n oː
hanner	h ɑ n ɐ
hannereneen	h ɑ n ə ʀ ə n eː n
hannerwands	h ɑ n ɐ v ɑ n t s
hanneschtsetzen	h ɑ n ə ʒ d͡z æ t s ə n
hannevir	h ɑ n ə f iː ɐ
happ	h ɑ p
har	h aː χ
harespel	h aː ʀ æ s p ə l
harespel	h ɑ ʀ æ s p ə l
harf	h ɑ χ f
hatt	h ɑ t
hauf	h ɑ ʊ̯ f
haus	h æˑ ʊ̯ s
hausdéier	h æˑ ʊ̯ z d ɜ ɪ̯ ɐ
haut	h æˑ ʊ̯ t
haut	h ɑ ʊ̯ t
hautdokter	h ɑ ʊ̯ d d o k t ɐ
hauwemees	h ɑ ʊ̯ v ə m eː s
hee	h eː
heefen	h eː f ə n
heelen	h eː l ə n
heemecht	h eː m ə ɕ t
heemechtshaus	h eː m ə ɕ t s h æˑ ʊ̯ s
heemschécken	h eː m ʃ e k ə n
heeschen	h eː ʃ ə n
heeschnapp	h eː ʃ n ɑ p
heften	h æ f t ə n
hei	h ɑ ɪ̯
heiansdo	h ɑ ɪ̯ ɑ n d z d oː
heizkierper	h ɑ ɪ̯ t͡s k i ə̯ p ɐ
hellblo	h æ l b l oː
helleg	h æ l ə ɕ
hellegspriechen	h æ l ə ɕ ʃ p ʀ i ə̯ ɕ ə n
hengscht	h æ ŋ k ʃ t
herno	h ɐ n oː
herrlech	h æ ʀ l ə ɕ
herrlechkeet	h æ ʀ l ə ɕ k eː t
herzog	h æ χ t͡s o χ
herzogtum	h æ χ t͡s o χ t u m
hessesch	h æ s ə ʃ
hexen	h æ k s ə n
hicken	h i k ə n
hidden	h i d ə n
hiecht	h i ə̯ ɕ t
hief	h i ə̯ f
hiel	h i ə̯ l
hielenner	h i ə̯ l æ n ɐ
hiem	h i ə̯ m
hien	h i ə̯ n
hier	h i ə̯
hier	h iː ɐ
hierk	h i ə̯ k
hierscht	h i ə̯ ʃ t
hierschtkueb	h i ə̯ ʃ t k u ə̯ p
hiert	h i ə̯ t
hiert	h iː ɐ t
hieselnoss	h i ə̯ z ə l n o s
hieselter	h i ə̯ z ə l t ɐ
hiewel	h i ə̯ v ə l
hiewen	h i ə̯ v ə n
himmel	h i m ə l
himmelblo	h i m ə l b l oː
himmelen	h i m ə l ə n
himmelräich	h i m ə l ʀ æˑ ɪ̯ ɕ
himmelsdéierchen	h i m ə l d z d ɜ ɪ̯ ɐ ɕ ə n
hindeiten	h i n d ɑ ɪ̯ t ə n
hinnen	h i n ə n
hir	h i ə̯
hir	h iː ɐ
hirsch	h i χ ʃ
historesch	h i s t oː ʀ ə ʃ
historiker	h i s t oː ʀ i k ɐ
hiweisen	h i v ɑ ɪ̯ z ə n
hiwwel	h i v ə l
ho	h oː
hoer	h oː ɐ
hoerbiischt	h oː ɐ b iː ʃ t
hoffen	h o f ə n
holland	h o l ɑ n t
hollännesch	h o l æ n ə ʃ
holz	h o l t s
homard	h o m aː χ
honger	h o ŋ ɐ
honnert	h o n ɐ t
hoppelen	h o p ə l ə n
horaire	h o ʀ ɛ ə̯
horaire	h oː ʀ ɛ ə̯
houer	h ə ʊ̯ ɐ
houf	h ə ʊ̯ f
houfeisen	h ə ʊ̯ v ɑ ɪ̯ z ə n
houfert	h ə ʊ̯ f ɐ t
houfreg	h ə ʊ̯ f ʀ ə ɕ
houfschmadd	h ə ʊ̯ f ʃ m ɑ t
houscht	h ə ʊ̯ ʃ t
houschten	h ə ʊ̯ ʃ t ə n
huel	h u ə̯ l
huelen	h u ə̯ l ə n
huelt	h u ə̯ l t
huer	h u ə̯
huer	h uː ɐ
huerteg	h ʊ ə̯ t ə ɕ
hues	h u ə̯ s
huesenziwwi	h u ə̯ z ə n t͡s i v i
huewer	h u ə̯ v ɐ
hummer	h u m ɐ
hunneg	h u n ə ɕ
huppen	h u p ə n
huschen	h u ʃ ə n
huwwel	h u v ə l
huwwelen	h u v ə l ə n
häerd	h ɛ ə̯ t
häerden	h ɛ ə̯ d ə n
häerz	h ɛ ə̯ t͡s
häip	h æˑ ɪ̯ p
hällewull	h æ l ə v u l
häls	h æ l t s
hämmelfleesch	h æ m ə l f l eː ʃ
händchen	h æ n t͡ɕ ə n
hänken	h æ ŋ k ə n
hänselen	h æ n z ə l ə n
hätschelen	h æ t͡ʃ ə l ə n
héchstens	h e k s t ə n t s
héich	h ɜ ɪ̯ ɕ
héichhaus	h ɜ ɪ̯ ɕ h æˑ ʊ̯ s
héichsprong	h ɜ ɪ̯ ɕ ʃ p ʀ o ŋ
héicht	h ɜ ɪ̯ ɕ t
héichtenangscht	h ɜ ɪ̯ ɕ t ə n ɑ ŋ k ʃ t
héichuewen	h ɜ ɪ̯ ʑ u ə̯ v ə n
héieren	h ɜ ɪ̯ ə ʀ ə n
héiflech	h ɜ ɪ̯ f l ə ɕ
héiflechkeet	h ɜ ɪ̯ f l ə ɕ k eː t
héijen	h ɜ ɪ̯ ʑ ə n
héil	h ɜ ɪ̯ l
héiss	h ɜ ɪ̯ s
héissen	h ɜ ɪ̯ s ə n
hénger	h e ŋ ɐ
héngeree	h e ŋ ɐ ʔ eː
héngeree	h e ŋ ə ʀ eː
héngerhaut	h e ŋ ɐ h æˑ ʊ̯ t
hëft	h ə f t
hëllef	h ə l ə f
hëllefen	h ə l ə f ə n
hëllefsverb	h ə l ə v z v æ χ p
hëls	h ə l t s
hëlt	h ə l t
hëlzen	h ə l t͡s ə n
hënt	h ə n t
hëtzen	h ə t͡s ə n
hëtzt	h ə t͡s t
ideal	i d ə aː l
iech	i ə̯ ɕ
iech	ə ɕ
iechternach	i ə̯ ɕ t ɐ n ɑ χ
ielebou	i ə̯ l ə b ə ʊ̯
ierbes	i ə̯ b ə s
ierflech	i ə̯ v l ə ɕ
iergenden	i ə̯ ʑ ə n d ə n
iergendeng	i ə̯ ʑ ə n d æ ŋ
