.f	ʔ ɛ f
msḫtyw	m ɛ s x ɛ t iː uː
msꜣḏt	m a s w i ʀ cʼ i t
msꜣḏt	m a s w i ʀ tʼ i ʔ
msꜣḏt	m ə s w iː tʼ ə
msꜣḏt	m ɛ s ɑ d͡ʒ ɛ t
mt	m ɛ t
mtj	m ɛ t i
mtr	m ɛ t ɛ r
mtrt	m e ʔ ɾ ə
mtrt	m i t ɾ a t
mtrt	m i ʔ ɾ a ʔ
mtrt	m ɛ t r ɛ t
mtt	m eː t ə
mtt	m uː t a t
mtt	m ɛ t ɛ t
mtw	m ɛ t uː
mtwt	m ɛ t uː t
mw	m a w
mw	m uː
mwjbw	m uː i b uː
mwt	m aː w a t
mwt	m aː w a ʔ
mwt	m e ʔ w ə
mwt	m i ʔ w a t
mwt	m i ʔ w a ʔ
mwt	m oː w
mwt	m uː t
mww	m uː ʔ uː
my	m iː
mz	m ɛ z
mzwr	m ɛ z uː r
mzwt	m ɛ z uː t
mzḥ	m V s a ħ
mzḥ	m V z a ħ
mzḥ	m ə s a ħ
mzḥ	m ɛ z ɛ ħ
mšrw	m ɛ ʃ r uː
mšw	m ɛ ʃ uː
mšꜥ	m a ʃ ʕ a j
mšꜥ	m a ʕ ʃ ə
mšꜥ	m ɛ ʃ ɑː
mḏrj	m e tʼ ɾ a ʔ
mḏrj	m e tʼ ɾ ə
mḏrj	m i cʼ ɾ i t
mḏrj	m i tʼ ɾ i ʔ
mḏrj	m ɛ d͡ʒ ɛ r i
mḏt	m ɛ d͡ʒ ɛ t
mḏw	m eː tʼ
mḏw	m uː cʼ a w
mḏw	m uː tʼ a w
mḏw	m uː tʼ ə ʔ
mḏw	m ɛ d͡ʒ uː
mḏwtj	m u cʼ a w aː t a j
mḏwtj	m u t͡ʃʼ a w aː t a j
mḏwtj	m ə t͡ʃʼ ə w aː t ə ʔ
mḏwtj	m ə t͡ʃʼ ə w oː t
mḏwtj	m ɛ d͡ʒ uː t i
mḏḥ	m ɛ d͡ʒ ɛ ħ
mḏꜣt	m ɛ d͡ʒ ɑ t
mḏꜣy	m ɛ d͡ʒ ɑ iː
mḥ	m ɛ ħ
mḥj	m ɛ ħ i
mḥn	m ɛ ħ ɛ n
mḥsḥs	m a ħ a s ħ a s
mḥsḥs	m ə ħ a s ħ ə s
mḥsḥs	m ɛ ħ ɛ s ħ ɛ s
mḥt	m ɛ ħ ɛ t
mḥtj	m ɛ ħ t i
mḥtjw	m ɛ ħ t i uː
mḥtt	m ɛ ħ t ɛ t
mḥw	m ɛ ħ uː
mḥyt	m a ħ iː j V t
mḥyt	m a ħ iː j V ʔ
mḥyt	m a ħ uː j V t
mḥyt	m a ħ uː j V ʔ
mḥyt	m ə ħ eː ʔ
mḥyt	m ə ħ eː ʔ ə ʔ
mḥyt	m ə ħ uː ʔ ə ʔ
mḥyt	m ɛ ħ iː t
mḫꜣt	m ɛ x ɑ t
mṯn	m ɛ t͡ʃ ɛ n
mṯwn	m a c w a n
mṯwn	m a ʔ w a n
mṯwn	m a ʔ w ə n
mṯwn	m ɛ t͡ʃ uː n
mẖ	m ɛ ç
mẖnt	m a ç n aː j i t
mẖnt	m a ç n aː j i ʔ
mẖnt	m ə ç n oː ʔ
mẖnt	m ɛ ç n ɛ t
mẖr	m ɛ ç ɛ r
mẖtw	m ɛ ç t uː
mẖꜥqt	m a ç ʕ aː qʼ i t
mẖꜥqt	m a ç ʕ aː qʼ i ʔ
mẖꜥqt	m ə ç ʕ oː qʼ ə
mẖꜥqt	m ɛ ç ɑː k ɛ t
mꜣ	m ɑ
mꜣj	m aː j ə ʔ
mꜣj	m aː ʀ i j
mꜣj	m oː j
mꜣj	m ɑ i
mꜣnw	m ɑ n uː
mꜣqt	m a j ʀ aː qʼ i t
mꜣqt	m a j ʀ aː qʼ i ʔ
mꜣqt	m oː qʼ ə
mꜣqt	m ɑ k ɛ t
mꜣqt	m ə ʔ aː qʼ a ʔ
mꜣqꜣrꜣ	m ɛ k ɛ r
mꜣr	m ø ʔ
mꜣr	m ɑ r
mꜣt	m aː ʀ i t
mꜣt	m aː ʀ i ʔ
mꜣt	m aː ʔ ə ʔ
mꜣt	m oː ʔ
mꜣt	m ɑ t
mꜣtt	m ɑ t ɛ t
mꜣwj	m i ʀ w i t
mꜣwj	m i ʀ w i ʔ
mꜣwj	m iː w ə
mꜣwj	m ɑ uː i
mꜣwt	m a ʀ w a t
mꜣwt	m a ʀ w a ʔ
mꜣwt	m oː w ə
mꜣwt	m ɑ uː t
mꜣy	m ɑ iː
mꜣṯ	m ɑ t͡ʃ
mꜣẖ	m ɑ ç
mꜣꜣ	m ɑ ʔ ɑ
mꜣꜥ	m aː ʀ a ʕ
mꜣꜥ	m oː ʔ ə ʕ
mꜣꜥ	m ɑ ʔ ɑː
mꜣꜥt	m eː ʕ ə
mꜣꜥt	m u ʀ ʕ a t
mꜣꜥt	m u ʀ ʕ a ʔ
mꜣꜥt	m uː ʕ a ʔ
mꜣꜥt	m ɑ ʔ ɑː t
mꜣꜥtj	m ɑ ʔ ɑː t i
mꜣꜥw	m ɑ ʔ ɑː uː
mꜥbꜣ	m a ʕ b a ʀ
mꜥbꜣ	m ɑː b ɑ
mꜥkꜣ	m ɑː k ɑ
mꜥnḏt	m V ʕ n i cʼ w V t
mꜥnḏt	m V ʕ n i tʼ w V ʔ
mꜥnḏt	m ɑː n d͡ʒ ɛ t
mꜥnḏt	m ə ʕ n e tʼ w a ʔ
mꜥnḏt	m ə ʕ n e tʼ w ə
mꜥq	m ɑː k
mꜥr	m ɑː r
mꜥḥꜥt	m a j ħ i ʕ w a ʔ
mꜥḥꜥt	m a ʕ ħ i ʕ w a t
mꜥḥꜥt	m ɑː ħ ɑː t
mꜥḥꜥt	m ə ħ e ʕ w ə
n	n e
n	n i
n	ɛ n
nb	n a β ʔ ə
nb	n e p
nb	n eː β
nb	n i b
nb	n iː b u w
nb	n ɛ b
nbj	n ɛ b i
nbnb	n ɛ b n ɛ b
nbs	n ɛ b ɛ s
nbt	n iː b a t
nbt	n iː b a ʔ
nbt	n iː β ə
nbt	n ɛ b ɛ t
nbtj	n ɛ b t i
nbw	n aː b a w
nbw	n oː β
nbw	n ɛ b uː
nf	n ɛ f
nfj	n ɛ f i
nfr	n aː f i ɾ
nfr	n aː f i ʔ
nfr	n aː f ə
nfr	n oː f ə
nfr	n ɛ f ɛ r
nfrt	n a f ɾ a t
nfrt	n a f ɾ a ʔ
nfrt	n a f ɾ ə
nfrt	n ɛ f ɛ r ɛ t
nfrtj	n ɛ f ɛ r t i
nfrw	n a f ɾ a w
nfrw	n ɛ f ɛ r uː
nfrwt	n ɛ f r uː t
nfꜣ	n ɛ f ɑ
ngꜣw	n ɛ ɡ ɑ uː
nhj	n ɛ h i
nhm	n ɛ h ɛ m
nhmhm	n ɛ h ɛ m h ɛ m
nhp	n aː h a p
nhp	n oː h ə p
nhp	n ɛ h ɛ p
nht	n aː h a t
nht	n aː h a ʔ
nht	n oː h ə
nht	n ɛ h ɛ t
nhw	n ɛ h uː
nhzj	n e h s ə
nhzj	n i h s i ʔ
nhzj	n i h z i t
nhzj	n ɛ h z i
nhꜣy	n ɛ h ɑ iː
nj	n i
nj	n i j
nj	n ə ʔ
njk	n i k
njs	n i s
njtjt	n i t i t
njw	n i uː
njꜣj	n i ɑ i
nk	n ɛ k
nkt	n u k u t
nkt	n u k u ʔ
nkt	n ə k ø ʔ
nkt	n ɛ k ɛ t
nkw	n ɛ k uː
nmj	n ɛ m i
nmnm	n ɛ m n ɛ m
nms	n ɛ m ɛ s
nmsw	n ɛ m s uː
nmt	n ɛ m ɛ t
nmtj	n ɛ m t i
nmtt	n ɛ m t ɛ t
nmw	n ɛ m uː
nmḥ	n ɛ m ɛ ħ
nmꜣrṯ	n ɛ m ɑ r ɛ t͡ʃ
nmꜥ	n ɛ m ɑː
nn	n ɛ n
nnj	n ɛ n i
nnw	n aː n a w
nnw	n oː n
nnw	n ɛ n uː
nnšm	j
nnšm	n
nnšm	n a j ʃ
nnšm	n a n ʃ V m
nnšm	n a n ʃ V w
nnšm	n ɛ n ʃ ɛ m
npnpt	n ɛ p n ɛ p ɛ t
npꜣw	n ɛ p ɑ uː
nqdd	n ɛ k d ɛ d
nqꜥ	n ɛ k ɑː
nqꜥwt	n ɛ k ɑː uː t
nrj	n ɛ r i
nrt	n aː ɾ a t
nrt	n aː ɾ a ʔ
nrt	n oː ɾ ə
nrt	n ɛ r ɛ t
nrw	n ɛ r uː
ns	l e s
ns	l i s
ns	n ɛ s
nsrt	n a s ɾ a t
nsrt	n a s ɾ a ʔ
nsrt	n a s ɾ ə
nsrt	n ɛ s r ɛ t
nst	n ɛ s ɛ t
nswt	n i j s iː w a t
nswt	n i s iː w a ʔ
nswt	n ɛ s uː t
nswt	ʔ ə n s iː ʔ
nswt	ʔ ə n s iː ʔ ə ʔ
nswtyw	n ɛ s uː t iː uː
nsyt	n ɛ s iː t
nt	n ɛ t
ntb	n ɛ t ɛ b
ntf	n V t a f
ntf	n ə t a f
ntf	n ɛ t ɛ f
ntf	ɛ n t ɛ f
ntj	n ɛ t i
ntj	ɛ n t i
ntk	n V t a k
ntk	n ə t a k
ntk	n ɛ t ɛ k
ntk	ɛ n t ɛ k
nts	n V t a s
nts	n ə t a s
nts	n ɛ t ɛ s
nts	ɛ n t ɛ s
ntsn	n ɛ t ɛ s ɛ n
ntsn	ɛ n t ɛ s ɛ n
ntsnj	n ɛ t ɛ s ɛ n i
ntsnj	ɛ n t ɛ s ɛ n i
ntt	n ɛ t ɛ t
ntt	ɛ n t ɛ t
nttn	n ɛ t ɛ t ɛ n
nttn	ɛ n t ɛ t ɛ n
ntw	n ə t a w
ntw	n ɛ t uː
ntw	ɛ n t uː
ntṯ	n V t a ʔ
ntṯ	n ə t a ʔ
ntṯ	n ɛ t ɛ t͡ʃ
ntṯ	ɛ n t ɛ t͡ʃ
ntṯn	n V t aː c a n
ntṯn	n V t aː t a n
ntṯn	n ə t oː t ə n
ntṯn	n ɛ t ɛ t͡ʃ ɛ n
ntṯn	ɛ n t ɛ t͡ʃ ɛ n
nw	n u w w u w
nw	n uː
nw	n ø w w
nwd	n uː d
nwdt	n uː d ɛ t
nwdw	n uː d uː
nwj	n uː i
nwt	n eː ʔ ə
nwt	n uː t
nwt	n uː ʔ a t
nwt	n uː ʔ a ʔ
nwtj	n uː t i
nwtkꜣrṯ	n uː t k ɑ r ɛ t͡ʃ
nwtwt	n uː t uː t
nwy	n uː iː
nwyt	n uː iː t
nwḥ	n uː ħ
nwḫ	n uː x
nyny	n iː n iː
nznzn	n ɛ z ɛ n z ɛ n
nš	n ɛ ʃ
nšm	n ɛ ʃ ɛ m
nšmt	n ɛ ʃ m ɛ t
nšnj	n ɛ ʃ n i
nšp	n ɛ ʃ ɛ p
nšt	n ɛ ʃ ɛ t
nḏ	n ɛ d͡ʒ
nḏdnḏd	n ɛ d͡ʒ ɛ d n ɛ d͡ʒ ɛ d
nḏm	n aː cʼ a m
nḏm	n aː cʼ i m
nḏm	n aː tʼ a m
nḏm	n aː tʼ i m
nḏm	n oː tʼ ə m
nḏm	n ɛ d͡ʒ ɛ m
nḏnḏ	n ɛ d͡ʒ n ɛ d͡ʒ
nḏr	n ɛ d͡ʒ ɛ r
nḏrj	n ɛ d͡ʒ ɛ r i
nḏs	n aː cʼ a s
nḏs	n aː tʼ a s
nḏs	n oː tʼ ə s
nḏs	n ɛ d͡ʒ ɛ s
nḏt	n ɛ d͡ʒ ɛ t
nḏyt	n ɛ d͡ʒ iː t
nḏꜣ	n ɛ d͡ʒ ɑ
nḏꜣw	n ɛ d͡ʒ ɑ uː
nḏꜣḏꜣ	n ɛ d͡ʒ ɑ d͡ʒ ɑ
nḥ	n ɛ ħ
nḥbt	n ɛ ħ b ɛ t
nḥd	n ɛ ħ ɛ d
nḥm	n aː ħ a m
nḥm	n oː ħ ə m
nḥm	n ɛ ħ ɛ m
nḥmn	n ɛ ħ m ɛ n
nḥr	n ɛ ħ ɛ r
nḥrj	n ɛ ħ r i
nḥrw	n ɛ ħ ɛ r uː
nḥsj	n ɛ ħ s i
nḥtj	n e ħ t ə
nḥtj	n i ħ t i t
nḥtj	n i ħ t i ʔ
nḥtj	n ɛ ħ ɛ t i
nḥḏt	n u t ʃʼ ħ a ʔ
nḥḏt	n u ħ cʼ a t
nḥḏt	n u ħ t ʃʼ a ʔ
nḥḏt	n ø t ʃʼ ħ ə
nḥḏt	n ø ħ t ʃʼ ə
nḥḏt	n ɛ ħ d͡ʒ ɛ t
nḥḥ	n e ʔ ħ ə ħ
nḥḥ	n i j ħ a ħ
nḥḥ	n ɛ ħ ɛ ħ
nḫ	n ɛ x
nḫbt	n ɛ x b ɛ t
nḫbḫb	n ɛ x ɛ b x ɛ b
nḫj	n ɛ x i
nḫn	n ɛ x ɛ n
nḫnt	n ɛ x n ɛ t
nḫnw	n ɛ x ɛ n uː
nḫt	n ɛ x ɛ t
nḫwt	n ɛ x uː t
nḫꜣw	n ɛ x ɑ uː
nḫꜣḫꜣ	n ɛ x ɑ x ɑ
nṯr	n aː c a ɾ
nṯr	n aː t a ʔ
nṯr	n oː t ə
nṯr	n ɛ t͡ʃ ɛ r
nṯrj	n u c ɾ i j
nṯrj	n u c ɾ i t
nṯrj	n u t ɾ i j
nṯrj	n u t ɾ i ʔ
nṯrj	n ə t ɾ e ʔ
nṯrj	n ɛ t͡ʃ r i
nṯrj	n ɛ t͡ʃ ɛ r i
nṯrt	n a c aː ɾ a t
nṯrt	n a t aː ɾ a ʔ
nṯrt	n ə t oː ɾ ə
nṯrt	n ɛ t͡ʃ ɛ r ɛ t
nṯrtj	n ɛ t͡ʃ ɛ r t i
nṯrw	n a c uː ɾ a w [ 1 ]
nṯrw	n a t uː ɾ a w
nṯrw	n ə t eː ɾ ə
nṯrw	n ɛ t͡ʃ ɛ r uː
nṯryt	n ɛ t͡ʃ r iː t
nẖnm	n ɛ ç n ɛ m
nẖs	n ɛ ç ɛ s
nꜣ	n i ʀ
nꜣ	n ɑ
nꜣ	n ə ʔ
nꜣj	n e j
nꜣj	n ɑ i
nꜣy	n ɑ iː
nꜣyw	n ɑ iː uː
nꜣḏꜣ	n ɑ d͡ʒ ɑ
nꜣḏꜣrw	n ɑ d͡ʒ ɑ r uː
nꜥj	n ɑː i
nꜥr	n ɑː r
nꜥrt	n ɑː r ɛ t
nꜥꜥ	n ɑː ʔ ɑː
p	p ɛ
pds	p ɛ d ɛ s
pf	p ɛ f
pfꜣ	p ɛ f ɑ
pgꜣ	p ɛ ɡ ɑ
pj	p i
pn	p ɛ n
pnw	p iː n
pnw	p iː n a w
pnw	p iː n ə ʔ
pnw	p ɛ n uː
pnꜥ	p ɛ n ɑː
ppy	p ɛ p iː
pr	p aː ɾ u w
pr	p aː ɾ ə ʔ
pr	p oː ɾ
pr	p ɛ r
prj	p iː ɾ a ʔ
prj	p iː ɾ i t
prj	p iː ɾ i ʔ
prj	p iː ɾ ə
prj	p ɛ r i
prt	p a ɾ aː j i t
prt	p a ɾ aː j i ʔ
prt	p u ɾ u t
prt	p u ɾ u ʔ
prt	p ə ɾ aː ʔ ə ʔ
prt	p ə ɾ oː ʔ
prt	p ə ɾ ø ʔ
prt	p ɛ r ɛ t
prwypwsꜣ	p ɛ r uː iː p uː s ɑ
psg	p ɛ s ɛ ɡ
psj	p iː s i t
psj	p iː s i ʔ
psj	p iː s ə
psj	p ɛ s i
psmṯk	p ɛ s m ɛ t͡ʃ ɛ k
psš	p ɛ s ɛ ʃ
psšt	p ɛ s ʃ ɛ t
psštj	p ɛ s ʃ ɛ t i
psḏ	p ɛ s ɛ d͡ʒ
psḏj	p e s tʼ ə
psḏj	p i s cʼ i t
psḏj	p i s tʼ i ʔ
psḏj	p ɛ s ɛ d͡ʒ i
psḏjw	p i s cʼ i j j a w
psḏjw	p ɛ s ɛ d͡ʒ i uː
psḏntjw	p ɛ s d͡ʒ ɛ n t i uː
psḏnw	p ɛ s ɛ d͡ʒ n uː
psḏt	p i s iː cʼ a t
psḏt	p i s iː tʼ a ʔ
psḏt	p ə s iː tʼ ə
psḏt	p ɛ s ɛ d͡ʒ ɛ t
psḏw	p i s iː cʼ a w
psḏw	p i s iː tʼ a w
psḏw	p ə s iː tʼ
psḏw	p ə s iː tʼ ə ʔ
psḏw	p ɛ s ɛ d͡ʒ uː
pt	p e ʔ
pt	p eː w ə
pt	p i t
pt	p i ʔ
pt	p uː w a t
pt	p uː w a ʔ
pt	p ɛ t
ptpt	p ɛ t p ɛ t
ptr	p ɛ t ɛ r
ptwꜣrwmys	p ɛ t uː ɑ r uː m iː s
ptḥ	p i t a ħ
ptḥ	p ə t a ħ
ptḥ	p ɛ t ɛ ħ
pw	p uː
pwnt	p uː n ɛ t
pwntjw	p uː n t i uː
pwrꜣsꜣtj	p uː r ɑ s ɑ t i
pwy	p uː iː
py	p iː
pzn	p ɛ z ɛ n
pzḥ	p aː s a ħ
pzḥ	p aː z a ħ
pzḥ	p oː s ə ħ
pzḥ	p ɛ z ɛ ħ
pzḫ	p aː s a χ
pzḫ	p aː z a χ
pzḫ	p oː s ə χ
pzḫ	p ɛ z ɛ x
pšn	p ɛ ʃ ɛ n
pḏt	p iː cʼ a t
pḏt	p iː tʼ a ʔ
pḏt	p iː tʼ ə
pḏt	p ɛ d͡ʒ ɛ t
pḏtj	p ɛ d͡ʒ ɛ t i
pḥ	p ɛ ħ
pḥrr	p ɛ ħ r ɛ r
pḥtj	p e ħ t ə
pḥtj	p i ħ t a j
pḥtj	p ɛ ħ t i
pḥwj	p ɛ ħ uː i
pẖr	p ɛ ç ɛ r
pẖrt	p ɛ ç r ɛ t
pꜣ	p i ʀ
pꜣ	p ɑ
pꜣ	p ə
pꜣ	p ə ʔ
pꜣj	p ɑ i
pꜣq	p ɑ k
pꜣqj	p i ʀ qʼ i t
pꜣqj	p i ʀ qʼ i ʔ
pꜣqj	p iː qʼ ə
pꜣqj	p ɑ k i
pꜣqt	p ɑ k ɛ t
pꜣw	p ɑ uː
pꜣwt	p ɑ uː t
pꜣwtj	p ɑ uː t i
pꜣy	p ɑ iː
pꜣz	p ɑ z
pꜣḏ	p ɑ d͡ʒ
pꜣḫd	p ɑ x ɛ d
pꜥt	p ɑː t
qbb	k ɛ b ɛ b
qbb	qʼ a b a b
qbb	qʼ ə β a p
qbw	k ɛ b uː
qbḥ	k ɛ b ɛ ħ
qbḥw	k ɛ b ɛ ħ uː
qd	k ɛ d
qd	qʼ aː tʼ
qd	qʼ oː tʼ
qdd	k ɛ d ɛ d
qdj	k ɛ d i
qdj	qʼ e tʼ ʔ ə
qdj	qʼ i tʼ j i t
qdj	qʼ i tʼ j i ʔ
qdj	qʼ i tʼ ʔ a ʔ
qdnw	k ɛ d n uː
qdt	k ɛ d ɛ t
qdtt	k ɛ d t ɛ t
qdš	k ɛ d ɛ ʃ
qdšw	k ɛ d ʃ uː
qjs	k i s
qmꜣ	k ɛ m ɑ
qnb	k ɛ n ɛ b
qnbt	k ɛ n b ɛ t
qnj	k ɛ n i
qnj	qʼ e n j ə
qnj	qʼ i n j i t
qnj	qʼ i n j i ʔ
qnjt	k ɛ n i t
qnjw	k ɛ n i uː
qnt	k ɛ n ɛ t
qnw	k ɛ n uː
qnyt	k ɛ n iː t
qqtj	k ɛ k t i
qrf	k ɛ r ɛ f
qrf	qʼ a ɾ a f
qrf	qʼ ə ɾ a f
qrft	k ɛ r f ɛ t
qrr	k ɛ r ɛ r
qrrt	k ɛ r ɛ r ɛ t
qrs	k ɛ r ɛ s
qrs	qʼ aː ɾ a s
qrs	qʼ aː ʔ s
qrs	qʼ oː ʔ s
qrst	k ɛ r ɛ s ɛ t
qrsw	k ɛ r ɛ s uː
qrwjwꜣpꜣdrꜣ	k ɛ r uː i uː ɑ p ɑ d r ɑ
qs	k ɛ s
qs	qʼ e s
qs	qʼ i s
qsn	k ɛ s ɛ n
qsnt	k ɛ s ɛ n ɛ t
qysrs	k iː s r ɛ s
qꜣb	k ɑ b
qꜣbt	k ɑ b ɛ t
qꜣbt	qʼ i ʀ b V t
qꜣbt	qʼ i ʀ b V ʔ
qꜣbt	qʼ iː b a ʔ
qꜣbt	qʼ iː β ə
qꜣdt	k ɑ d ɛ t
qꜣj	k ɑ i
qꜣqꜣw	k ɑ k ɑ uː
qꜣr	k ɑ r
qꜣs	k ɑ s
qꜣꜣ	k ɑ ʔ ɑ
qꜣꜥ	k ɑ ʔ ɑː
qꜥḥ	k ɑː ħ
r	ɛ r
r	ɝ
r	ɾ a ʀ
r	ɾ a ʔ
r	ɾ aː ʀ a w
r	ɾ oː w
rbw	r ɛ b uː
rd	r ɛ d
rd	ɾ a tʼ w a w
rd	ɾ a tʼ ʔ
rd	ɾ aː tʼ u w
rd	ɾ e tʼ
rd	ɾ i tʼ
rd	ɾ oː tʼ
rhn	r ɛ h ɛ n
rhn	ɾ aː h a n
rhn	ɾ e h n ə
rhn	ɾ i h n i t
rhn	ɾ i h n i ʔ
rhn	ɾ oː h ə n
rk	r ɛ k
rkḥ	r ɛ k ɛ ħ
rkḥ	ɾ aː k a ħ
rkḥ	ɾ oː k ə ħ
rm	r ɛ m
rmj	r ɛ m i
rmj	ɾ iː m a
rmj	ɾ iː m i t
rmj	ɾ iː m i ʔ
rmj	ɾ iː m ə
rmn	r ɛ m ɛ n
rmyt	r a m iː j V t
rmyt	r a m iː j V ʔ
rmyt	r ə m eː ʔ
rmyt	r ə m eː ʔ ə ʔ
rmyt	r ɛ m iː t
rmṯ	r ɛ m ɛ t͡ʃ
rmṯ	ɾ aː m a c
rmṯ	ɾ aː m a ʔ
rmṯ	ɾ oː m ə
rmṯt	r ɛ m ɛ t͡ʃ ɛ t
rmṯt	ɾ a m c a t
rmṯt	ɾ a m t a ʔ
rmṯt	ɾ a m t ə
rn	r ɛ n
rn	ɾ e n
rn	ɾ i n
rnn	r ɛ n ɛ n
rnp	r ɛ n ɛ p
rnpj	r ɛ n ɛ p i
rnpj	ɾ e n p a ʔ
rnpj	ɾ e n p ə
rnpj	ɾ i n p i t
rnpj	ɾ i n p i ʔ
rnpt	r ɛ n p ɛ t
rnpt	ɾ a n p a t
rnpt	ɾ a n p a w w a t
rnpt	ɾ a n p a w w a ʔ
rnpt	ɾ a n p a ʔ
rnpt	ɾ a n p ə
rnpt	ɾ ə n p a w w ə
rnpwt	r ɛ n p uː t
rnpwt	ɾ i n p iː w a t
rqj	r ɛ k i
rrj	r ɛ r i
rrj	ɾ iː ɾ
rrj	ɾ iː ɾ i j
rrj	ɾ iː ɾ ə ʔ
rs	r ɛ s
rsj	r ɛ s i
rsw	r ɛ s uː
rswt	r ɛ s uː t
rtḥ	r ɛ t ɛ ħ
rtḥtj	r ɛ t ħ ɛ t i
rwd	r uː d
rwj	r uː i
rwt	r uː t
rwḏ	r uː d͡ʒ
rwḏt	r uː d͡ʒ ɛ t
rwḏt	ɾ a w cʼ i t
rwḏt	ɾ a w tʼ a ʔ
rwḏt	ɾ a w tʼ i ʔ
rwḏt	ɾ a w tʼ ə
rš	r ɛ ʃ
ršrš	r ɛ ʃ r ɛ ʃ
ršw	r ɛ ʃ uː
ršwt	r ɛ ʃ uː t
ršwt	ɾ a ʃ w a t
ršwt	ɾ a ʃ w a ʔ
ršwt	ɾ a ʃ ʔ ə
rḏj	r ɛ d͡ʒ i
rḏj	tʼ iː ʔ
rḏj	ɾ V cʼ iː j i t
rḏj	ɾ V tʼ iː j i ʔ
rḏj	ɾ ə tʼ iː ʔ ə ʔ
rḏw	r ɛ d͡ʒ uː
rḥw	r ɛ ħ uː
rḥwj	r ɛ ħ uː i
rḫ	r ɛ x
rḫs	r ɛ x ɛ s
rḫyt	r ɛ x iː t
rḫyt	ɾ a χ j a t
rḫyt	ɾ a χ j a ʔ
rḫyt	ɾ a χ ʔ ə
rṯnw	r ɛ t͡ʃ ɛ n uː
rꜣ	r ɑ
rꜥ	r ɑː
rꜥ	ɾ eː ʕ
rꜥ	ɾ iː ʕ u w
rꜥ	ɾ iː ʕ ə ʔ
s	s ɛ
sbj	s ɛ b i
sbjw	s ɛ b i uː
sbk	s ɛ b ɛ k
sbn	s ɛ b ɛ n
sbnw	s ɛ b ɛ n uː
sbq	s ɛ b ɛ k
sbtj	s ɛ b t i
sbḥ	s ɛ b ɛ ħ
sbḫt	s ɛ b x ɛ t
sbꜣ	s a b a ʀ
sbꜣ	s iː b a ʀ
sbꜣ	s iː b ə ʔ
sbꜣ	s iː β
sbꜣ	s ə β a ʔ
sbꜣ	s ɛ b ɑ
sbꜣgj	s ɛ b ɑ ɡ i
sbꜣqj	s ɛ b ɑ k i
sbꜣtj	s ɛ b ɑ t i
sbꜣyt	s a b a ʀ j a t
sbꜣyt	s a b a ʀ j a ʔ
sbꜣyt	s ə b aː ʔ ə ʔ
sbꜣyt	s ə β oː ʔ
sbꜣyt	s ɛ b ɑ iː t
sd	s aː tʼ
sd	s e tʼ
sd	s i tʼ
sd	s oː tʼ
sd	s ɛ d
sdb	s ɛ d ɛ b
sdm	s ɛ d ɛ m
sdmj	s ɛ d ɛ m i
sdwḫ	s ɛ d uː x
sdyt	s ɛ d iː t
sdꜣ	s ɛ d ɑ
sf	s e f
sf	s i f
sf	s ɛ f
sfkk	s ɛ f ɛ k ɛ k
sfsf	s ɛ f s ɛ f
sfḫ	s ɛ f ɛ x
sfḫjw	s a f χ i j j a w
sfḫjw	s ɛ f x i uː
sfḫnw	s ɛ f ɛ x n uː
sfḫw	s a f χ a w
sfḫw	s a f χ ə ʔ
sfḫw	s a χ f
sfḫw	s ɛ f ɛ x uː
sfḫḫ	s ɛ f ɛ x ɛ x
sfṯ	s ɛ f ɛ t͡ʃ
sgnn	s a kʼ n a n
sgnn	s a ʔ kʼ ə n
sgnn	s ɛ ɡ ɛ n ɛ n
sgr	s ɛ ɡ ɛ r
shꜣj	s ɛ h ɑ i
sj	s i
sjdj	s ɛ i d i
sjhm	s ɛ i h ɛ m
sjm	s i m
sjn	s i n
sjnj	s i n i
sjnw	s i n uː
sjsjw	s a ɾ s i j j a w
sjsjw	s i s i uː
sjsnw	s i s n uː
sjsw	i
sjsw	s a j s a w
sjsw	s a ɾ s a w
sjsw	s i s uː
sjsw	ʔ ə s s a w
sjzj	s ɛ i z i
sjꜣ	s aː j a ʀ
sjꜣ	s aː ʔ ə ʔ
sjꜣ	s i ɑ
sjꜣ	s oː ʔ
sjꜣt	s ɛ i ɑ t
sjꜥr	s i ɑː r
sk	s ɛ k
skj	s ɛ k i
skm	s ɛ k ɛ m
skn	s ɛ k ɛ n
sksj	s ɛ k s i
sksk	s ɛ k s ɛ k
skt	s ɛ k ɛ t
skꜣ	s ɛ k ɑ
sm	s ɛ m
smdt	s ɛ m d ɛ t
smj	s ɛ m i
smn	s i m iː n i t
smn	s i m iː n i ʔ
smn	s ə m iː n ə
smn	s ɛ m ɛ n
smnmn	s ɛ m ɛ n m ɛ n
smnḫ	s ɛ m ɛ n ɛ x
smr	s ɛ m ɛ r
smsj	s ɛ m ɛ s i
smsm	s ɛ m s ɛ m
smsw	s ɛ m ɛ s uː
smw	s iː m
smw	s iː m i w
smw	s iː m ə ʔ
smw	s ɛ m uː
smwn	s ɛ m uː n
smḥ	s ɛ m ɛ ħ
smḥj	s ɛ m ħ i
smḫ	s ɛ m ɛ x
smꜣ	s ɛ m ɑ
smꜣwj	s ɛ m ɑ uː i
sn	s a n
sn	s a n uː w a w
sn	s ə n eː w
sn	s ɛ n
snb	s ɛ n ɛ b
snb.tj	s ɛ n ɛ b ʔ t i
snbb	s ɛ n b ɛ b
snbj	s ɛ n b i
snd	s ɛ n ɛ d
snfj	s ɛ n ɛ f i
